happy 	 always travel , stay many hotel , really like helpful happy staff ! ! 
 Fantastic View 	 two word , " Awesome View " . give amount high rise building Shanghai , location tower 360 degree unobstructe view city . lobby start 38th floor room go 60th floor . the room typical Marriott size nicely furnish . extensive food choice around Shanghai , use hotel 's restaurant . read construction around Bund preparation 2010 Expo , glad choose hotel near Bund construction 24 hour . JW Marriott centrally locate Nanjing Road West within walk distance Nanjing Road East , shop locate . disappointment Tomorrow Square , turn shopping area , one giant restaurant . overall , would recommend JW Marriott Shanghai . 
 great hotel convenient location 	 great stay - hotel convenient subway , ideal we get around city quickly . concierge lounge good - breakfast include congee , dumpling , selection pastry , couple hot dish , cereal , fruit etc . not seem like lot look around room , actually plenty selection . hor d'oevre also good many time would come CL snack enjoy view . do not chance try pool look amazing ! one caveat - rollaway bed friend find bed hard . ask 2 extra duvet could sleep top - ' m sure housekeeping puzzle get promptly request : ) need rollaway , may wish reconsider get another room . 
 Jun 10 2007 	 wery nice hotel- sad Shanghai air 	 JW Shanghai luxury motel truly landmark buidle . leave extra minute want go though- hotel lobby 38th floor need switch elevator get hotel room 38 . 55th floor access concierge lounge . room well decorate sumptuous bedding . view ( rm 5505 ) include prominent building Shanghai wrap we great vista- unfortunately haze evening replace stark reality Shanghai air pollution day . opening curtain morning light remind sepia tone photo- shade grey brown inter mixed spelling another day breathing . concierge level worth fine wine , dim sum , great breakfast . Marriott well locate get anything Shaghai area . familiar Hong Kong travel , great MTR & quot ; Octopus & quot ; like transport card purchase . park across street convenient , beautifully arrange bit greenery catch moment surprisingly . concierge great job secure us center stage seat Shanghai acrobat show- pay minimla extra vip seats- really worth . 
 May 21 2007 	 Great Hotel 	 spend 2 week business JW Marriott May 2007 . hotel great . room bathroom nice . room 55th floor splendid view . service good also . always pleasure breakfast 38th floor great view . buffet find everything want ( include & gt ; 10 different corn flake asian dish ) . another good point free wireless lan lobby executive floor lounge . sum : good hotel ( ' m sure one good Shanghai ) good location excellent service 
 May 15 2007 	 Great Business Traveler USA 	 Regardless review , seriously doubt 5 well hotel Shanghai . great experience JW early May ( 8th - 12th ) . check breeze corner room oversize everything need , include large bathroom view . upgrade Executive Level brainer give amount food , beverage , attentive service . bed super comfortable never hear noise 47th floor room . gym excellant - large outfitted modern equipment ( always open ) . negative elevator ( require switch 38th floor ) food quality average . great location business Puxi area , super clean , attentive service , Starbucks downstairs case one need reminder home . walk nearby Meridien , seem nice surrounded construction local sell counterfeit product - ideal book . 
 Apr 15 2007 	 Great experience 	 spend week holiday wife daughter first week April . JW marriott ideally situate near centre Shanghai . close museum , shopping , walk distance Bund adjacent beautiful landscaped garden . hotel locate edge use Shanghai Race course . well Starbucks hotel , another one 100 yds away costa across road opposite Ferrari garage adjacent hotel . view hotel simply stunning . choice 3 excellent restaurant . spa facility also well worth visit . find staff helpful eager please . room well equip , walk shower etc . toiletry restock frequently . would certainly return . 
 Apr 1 2007 	 impressed service JW Marriott 	 late review family stay JW Marriott duirng Chinese New Year . arrive Shanghai Chinese New Year 's Eve witness many firework travel airport hotel . upon check - in , find staff extremely professional . front desk clerk escort we 54th floor rom stunning view towards Pearl Tower . throughout night , firework erupt skyline make spectacular sight room . room standard size Marriott room bathroom especially large walk show sink bathtub . everything hotel 5 star , include staff . ask concierge various staff member interpret chinese provide travel instruction various venue . extremely pleasant . breakfast one morning , breakfast buffet find staff nice variety Chinese , japanese american food extensive . view 38th floor dining area also spectacular . chance use swimming whirlpool locker area ... find nice . however , bit inconvenient transferring elevator get pool area . overall , Shanghai trip Chinese New Year great JW Marriott good place stay . 
 Apr 1 2007 	 not stay 	 book hotel , Trip Advisor rate # 1 find lot problem hotel1 . toxic smell hotel , could not breathe2 . poor location3 . store hotel need tolitire , walk long way find TAMPAX4 . Shanghai cash , hotel ATM run money day end5 . 3 attendant elevator serve purpose6 . conciere clueless7 . business center could not make copy , even though pay exra stay business levelwhat like hotel:1 . starbuck lobby2 . view 
 Mar 20 2007 	 Faulty tower 	 Marriott mean well suffer problem face foreign run Hotels China , simply can not get quality staff . customer service aspect shangai life contrive natural Marriott capable implement basic hotel standard . ' ve fail . design hotel room easy bit ... yes ' ve get right . bed comfortable Marriotts . say , easy part . do not order room service . know expect bell whistle order room , least expect cook . try room service twice say late night kitchen shut food standard agency ( be one exist ) .The breakfast pleasant surprise usual hotel fodder . try get cup coffee breakfast room prove rather much staff wife invent ingenious method coax hiding , like walk kitchen beg staff fill empty cup . unforeseen , staff training exercise receive hoot laughter us staff unfortunately fail pick irony episode continue ignore thirsty guest . my advice Marriott fly senior staff Hong Kong show do advice , punter , not stay ! 
 Feb 3 2007 	 Luxury bearthtaking view boot 	 stay twice tomorrow Square ( local call , simply ' Ming Tian ' i.e . ' tomorrow ' , late Jan year end-2005 . twice satisfied service , facility location . recent stay , satisfaction level increase . follow reasons:1 . check - in simplify seamless . previously , one reach hotel , let bellboy take luggage , get tag take express lift 38th floor lobby check . , take another lift 38th floor room . recent stay , check take place first floor ( newly setup ) counter , bellboy go room luggage . one still need go 38th floor first take another lift room . anyway , improvement show hotel listen customer ' feedback , precisely suggest early stay.2 . recognise return guest , make sure feel welcome . partially stay standard 2 - 3 night , partially Marriott Rewards Card , allow corner room time round . slightly big usual standard room , nice view bathroom . nice touch go mile , least . feel want back , 's mighyt next time round.3 . smile lower - rank staff obviously , endeavoured learn speak English . Mandarin speaker notice even lift attendant , chambermaid restaurant waiter speak standard English big extent . two thumb . maybe China prepare 2008 Olympics , Shanghai gear 2010 World Expo , regardless , effort commendable ! course , hotel . location near People 's Park Square mean literally heart Puxi , near many attraction . main subway station Lines 1 & amp ; 2 also near , 2 - 3 min ' walk . get taxi also straightforward , 400 - 500 metre west hotel retail shop , restaurant supermarket . within 5 - 10 min walking distance local food street , Nanjing Road Pedestrian Mall , Starbucks ( downstairs ) , McDonald 's , bank , post office shopping ( gaudy ) tourist stuff . twice business , not really time complete circuit . and oh yes , tomorrow part tall buidle , many people swear view . must say be quite nice , oftentime , Shanghai skyline block hazy , cumulus stuff . pollution perhaps . personally like tomorrow service , location , luxurious facility newness . stay not mind pay premium will not regret . 
 Feb 1 2007 	 Prefect location 	 view great 53rd floor hotel room . Located People 's Square / Tomorrow Square , many major site within walking distance . taxis cheap , traffic horrible . city commerce . great restaurant . miss City Planning Museum historical photo well future plan . 
 Jan 18 2007 	 Fantastic hotel 	 stay JW Marriot 2 night January 2007 must say fantastic hotelhave originally plan stay hostel glad choose pay extra stay somewhere nicestaff helpful concierge useful helping decide go . speak good english . room fantastic great gym poollocation heart city next people square short walk Bund 
 Jan 10 2007 	 uninspiring - executive room deluxe 	 even though hotel book use Marriott website , check - in instant , take ten minute . room big window , nice view 45th floor . room uninspire , special edge extreme luxury . we ask upgrade executive room , find executive room ( except 9 floor ) small , less window deluxe . incredible ! 60us night room small regular room ! be view , pick another hotel , plenty room high floor . consider JW Marriotts ' rate , will problem find well value money place Shanghai . 
 Jan 8 2007 	 great view good location service 	 stay hotel 31 December 6 January 2007.we lucky enough upgrade executive suite 54th floor . view stunning ! access executive lounge ( breakfast , drink entrées evening ) excellent added bonus . the room huge , bed difficult get . bose cd / radio good someone else say dvd player would nice . service smile ever - helpful . breakfast buffet plenitful fresh . the gym excellent large , pool . location really good everyhte close taxi metro SHanghai not think location important criterion . at rate would definitely stay . loved stay . 
 Dec 19 2006 	 wonderful hotel great location . 	 stay JW Marriott Tomorrow Square 3 day business trip China . one nice hotel ' ve stay Asia . lucky enough upgrade suite top floor , view amazing . one tip - go top floor executive lounge , ask one lady take onto roof . door hide behind bookcase & quot ; high library world & quot ; . one good view Shanghai ! make sure night see various light display around city . this hotel within walk distance Nanjing Road well Bund , subway stop right across street Starbucks . 
 Dec 10 2006 	 excellent good . 	 pros:1 . service spectacular . true 5 star hotel China , not think service JW well would get comparably price hotel Shanghai . 2 . give complimentary upgrade one & quot ; service apartment & quot ; room . really condo room include full kitchen , separate living room , washer / dryer . since long trip , access washer dryer fantastic bonus . & quot ; service apartment & quot ; room room 10 36 get high floor room important , will not like room . hand , air pollution consistently bad Shanghai will never able see squat anyway . 3 . hotel restaurant , good . expensive , good . near cheap place eat 300 yard away shopping mall attach Radison Hotel . way , would say Radison much , much superior location . Cons:1 . reviewer rave location . yes , close People 's Square terminal give access 2 different line , taxis cheap Shanghai not know people even bother train . plus , language barrier subway employee insurmountable . advice take taxi forget subway system.2 . tourist business traveler , believe Pudong side enjoyable convenient . spend time go Bund Pudong side river wish stay begin . 3 . Nanjing Road major shopping area , street peddlers street prostitute numerous aggressive never set foot street . since proximity Nanjing Road suppose one JW 's selling point , would discount location factor . 4 . shower disappointing . shower powerful , one cloth shower curtain keep blow around stick leg . irritate would expect 5 star hotel . 5 . toilet disappointing . ' m one guy read toilet direct light toilet dark read . 
 Dec 1 2006 	 great hotel 	 last time Shanghai stay shangri - la Pudong . preferred hotel , well location . staff friendly nice , well - appoint luxe room . north american standard upscale place . Shanghai , place bite flashy one , like Hyatt . nevertheless , great place stay great location . close bund , shopping , main attraction . marriott bed firm comfy , linen always quite nice . breakfast buffet quite nice , really want see buffet hop shangri - la : - ) . 
 Oct 31 2006 	 nice stay . 	 recently stay five night Marriott . 's american hotel rate american hotel , be quite good . rating class asian hotel , be notch low . travel Asia twice year pleasure , partly luxury hotel outstanding good price . choose Marriott time give 3 frequent flyer point every dollar spend . irresistable . Marriott well place Bund . the room average size , pleasant clean , anything particularly outstanding . staff deal pleasant . general restaurant good . club room evening appetizer extensive see clearly mean subsitute dinner want . hotel need find well tour agency affiliate . hire private guide twice , neither nearly professional guide Beijing Xian . however , conceirge agency provide car driver $ 20 / hr . take anywhere want go . like cab driver , speak English . give Concierge itinerary write chinese discuss driver . long not want change , be fine . driver even park walk store ticket window make sure know go , nice . 
 Oct 28 2006 	 Fabulous hotel location 	 staying day real joy . slight muddle booking , easily fix upgrade executive floor junior suite . room great- thing think miss power point charge equipment . but location excellent , food hotel good , staff helpful Shanghai amazing interesting city . many thing want visit walk distance- hard get lose hotel real landmark . need cab , really plentiful cheap . highly recommend ! 
 Oct 19 2006 	 beautiful hotel great location - JW Marriott Tomorrow Square 	 family stay hotel second time two year . hotel begin 25th+ floor , view city room spectacular . love everything hotel - staff , room , location . withiin walk distance major shopping street Nanjing Road well luxury shop locate opposite direction .. bund also within easy walk distance . many great restaurant Shanghai , would spend money hotel food , unless must business reason . expensive well value find . take subway Shanghai experience travel do taxi - cab cheap plentiful . JW Marriott , never far part Shanghai want visit , include french Concession area huge outdoor area many counterfeit good sell . we love Shanghai recommend hotel highly . do not ' go summer month avoid . hot humid ! 
 Oct 7 2006 	 terrific place 	 14 hrs travel Shanghai Chicago , hotel welcome ! nothing positive thing say -- staff incredibly service orient , room absolutely gorgeous -- first rate . brunch next day display picture worthy - food wonderful . would go back heartbeat ! 
 Sep 24 2006 	 one good Marriott property world ... 	 wife spend 3 night JW Marriott Shanghai one executive level floor , upgrade suite . hotel new modern . localation convient several torist area , brisk 15 minute walk Bund . club level spectacular view Shanghai skyline , professional helpful staff . the downside holiday traveler tend go hotel often busiens traveler , transfer 38th floor get lobby get tireseome . overall good experience . 
 Jul 24 2006 	 great hotel family 	 Hotel spectacular view prime location ( good view face river Pudong ) . luxurious accomodation . connect room except suite connect corner room ( expensive ) . regular room small - ish . great choice family . 
 Jul 16 2006 	 amazing hotel experience ! 	 stay many Marriott property around US abroad , hotel definitely good bunch . husband selective , usually stay Four Seasons hotel local luxury boutique property vacation . particular case , choose Marriott location zillion point spend . service impeccable , room chic , nice , elegant touch . usually eat hotel restaurant , would definitely recommend Sunday brunch . enjoy alaskan king crab leg , caviar , foie gras , free flow Perrier Jouet , love brunch ... concierge staff knowledgeable helpful , especially count head staff assist English good group . trust , town , concierge good friend . write thing taxi driver , get reservation hot place town . overall , experience perfect check check , would gladly return property . 
 Jul 7 2006 	 Awesome Hotel 	 hotel AWESOME . great room , great club lounge , great restaurant bar , great lobby , great location , great spa , etc . complaint one service ( notice people also comment ) . really , really need train employee 100 % customer service encounter level hotel check , housekeeping , club lounge , etc . probably restaurant bad . aside , love hotel always choose stay visit Shanghai . 
 Jun 25 2006 	 Excellent Stay JW 	 stay two night towards end may enjoy every minute ! room spacious bathroom . service simply outstanding - doorman , front desk , waitstaff coffee shop , housekeeping - staff gym ! even staff wait elevator hit & quot ; & quot ; & quot ; & quot ; button ! gym facility top rate food cafe good . location bad - close Shanghai Museum Nanjing East shopping street . otherwise , sight easily accessible taxi - expensive . hotel highly recommend . as transfer airport , meet taxi driver ( new Mercedes Benz vehicle ) arrange trip airport ( domestic ) rmb150 . 
 Jun 23 2006 	 Holiday Inn 2000 ft 	 would spend month planning trip China spend hour research stay time Shanghai feel disappointed hotel . location wise hotel fine . be within walk distance Bund French Concession , 's subway close by . however be 5 star . despite upgrade junior suite , room not worth money overall atmosphere like Holiday Inn 50 floor ground . executive lounge well stock excellent view , staff stony face atmosphere non existent . in general , hotel staff not seem interested guest ( maybe bit pamper excellent Four season Hong Kong Peninsula Beijing ) . little thing like bag take car check , mistake bill , ask stay ok , give wrong type room check ... add mediocre uninspiring experience . I understand Marriott american chain hotel , would say stand clearly ( good way either ) ! 
 Jun 16 2006 	 Loved 	 Excellent - Excellent - Excellent . perhaps little way attraction , taxis cheap ( pay 1.50 US dollar get place city ) , definately worth stay . 
 May 8 2006 	 Best Shanghai 	 Great Location , Great room , great view .... pretty much sum . hotel iconic look see fit major metropolitian area . room spectacular grand view entire city . room seperate sit area/ office slightly seperate bed , beyond expectation perfect sleep jet lag trip china . bathroom large feature seperate shower bath , shower feature traditional shower head along wall mount spray 's nice touch . chance access & quot ; executive lounge & quot ; great breakfast pre dinner meal ( JW Burger die ) , make difficult pull away try local fare . many & quot ; food street & quot ; locate near soak local culture , along muesuem Grand Opera House .... convinent subway system step away hotel make great location . problem though : location pool gym hide require find right bank elavator take walk second set elevator follow another walk get pool area , painfully keep cold . high profile perhaps Grand Hyatt Westin Bund second none term room , location , service . 
 Mar 9 2006 	 great hotel 	 budget take hit , highly recommend hotel location amenity . ' ve stay twice -- executive floor , regular room 45th floor . be similar except room executive level large ( least mine ) bathroom look skyline -- really amazing view . still , second stay regular room also fine -- nice , without window bath . bed amazing . staff friendly without obnoxious , although find strange woman press elevator button . room service typical Marriott , nothing special . hotel arrange car pick PVG airport , be expensive -- 590 rmb ( ~ $ 73 ) , least 2x normal cab would cost . still , normal cab scare heck Shanghai everyone drive fast crazy , not mind cost . would warn not really feel like be China inside hotel -- could New York , London , Tokyo . be look chinese atmosphere will want look elsewhere . be tired business traveler ( like people hotel ) , will find comfortable , dependable place call home Shanghai . highly recommend . 
 Feb 24 2006 	 almost perfect 	 start title almost perfect bad experience hotel front desk lady check , happy ask non smoking room end smoking room , also proof deserve co 's corporate rate , make dig luggage lobby find business card.oth , food hotel delicious , view room great , location excellent ( nice & amp ; hip bar restaurant + important museum / theatre close ) , little plant room flower bathroom nice touch , bathroom nice ( well Portman Ritz Carlton ) , room coffee instant mix.wa 5 night , nice home away home , , almost perfect 
 Jan 24 2006 	 excellent choice first class 	 stay hotel two night , upgrade free studio suite 45th floor . view spectacular room . bathroom huge jacuzzi bath seperate shower . bed extreemly comfortable . swimming pool good . nice little touch room like gift inc sweet pillow , pottery teapot box etc . staff freindly helpful , always someone open lift etc . bad point , cocktail first night lobby lounge look city try repeat second night tell allow cocktail lobby lounge go bar want one . also price quite expensive tax add everything suppose price expect top class hotel like one . 
 Jan 23 2006 	 good niggle 	 wife book JW friday saturday night . hotel look fantastic quite unique skyline . main lobby 38th floor ( strange true ) . nice bellboy escort we 1st 38th floor bit information hotel restuarant , even give we free tourist map get lobby . check flawless great fortune upgrade suite rather deluxe room book . suite fantastic , 45th floow overlook nanjing road . everything perfect . 2 bathroom , jacuzzi , lounge area large separate bedroom . far good . bad point encounter . 1st night go JW Bar ( 40th floor ) nice cocktail . sit minute rather tired look chinese girl ( wear old coat ) come seat area ( small alcove area one chair one long , set back seat ) ask we would mind sit . objection talk plan weekend . chinese girl proceed ask we come , whether husband wife finaly say like english man . obviously respond correct / usual manner leave repeat thing group Americans , substitute like english man American Men . leave bar go lobby lounge / bar another cocktail arrive order . take bar explain wrong ( velevet glove chocolate / vanilla / creme de menthe cream ) drink obviously contain cream rather like martini . barman apologise bring another free double bourbon whilst make correct cocktail . duly arrive still correct thing . yes contain cream time , fact look remarkably like large alcoholic milkshake . still nevermind taste nice . next night go bar ask cocktail menu , tell not cocktail bar go bar 40th floor . take we back little cocktail bar day .. waitress adamant go 40th . not , go room rang service manager expect form apology . not get one , seems not give cocktail 1st night .. mistake . explains not correctly make . whole though good hotel . 
 Jan 5 2006 	 one good hotel ' ve stay 	 absolutely superb hotel , fantastic service , well equip room , wonderfully comfortable bed , great resturant great location . take time visit Mandarin Spa also . trust , Hyatt Pudong good hotel , much well . 
 Dec 8 2005 	 Excellent slightly behind Grand Hyatt experience 	 stay stunning Grand Hyatt disappoint Ritz Carlton , check - in JW Marriott Tomorrow Square . think post Grand Hyatt stay , hotel come close match experience . quite wrong JW Marriott quite contender although way outshine Hyatt . location : prime position middle Nanjing road Renmin Park Shanghai Museum across road . visit Shanghai Urban Planning Exhibition Hall amidst park must provide scale model current future Shanghai . massive shopping center landmark locally - own department store within walk distance . exterior : architecturally striking , either love loathe . futuristic 60 storey skyscraper Shanghai ' third tall . resemble pen pyramid shape roof unique twisting half structure block midway , visually interesting view different angle . building design architect give Portman Ritz Carlton , Westin Shanghai , Oriental Regent Singapore ; Hyatt Regency Atlanta & amp ; San Francisco : atrium wizard , John Portman . DESIGN : similar format Grand Hyatt Shanghai : guest whisk lobby Level 38 ( Hyatt 54 ) view similarly stunning . absence central core atrium Hyatt , Marriott ' lobby level spacious small 3 storey atrium grand staircase leading restaurant . room start Level 41 59 ( Hyatt 57 87 ) .ROOMS : room size small Hyatt 's , plan typical rectangular hotel room . décor mainstream 5 star hotel may suit wide audience whereas Hyatt design - orient , sophisticated stylish . nonetheless , still nice room one whole timber panel wall bed , nice platform wall sit enjoy view . sit area cramp twin bed room , look king bed room extra space . also , opt room face Huangpu river / oriental Pearl Tower . mid winter period , fog obstruct view literally live sky . bathroom spacious nicely finish bright color marble frosted glass door . service : typical 5 star . ' always beautiful female staff lift greeting guest seemingly genuine smile Ground Lobby level . beware porter entrance way trick hotel guest hire expensive Mercedes Taxi ( own hotel ) . hail regular taxi Zhouzuang ( Unesco ' world heritage site ) couple hour drive Shanghai . step , female porter ask we get change Mercedes taxi claim price . start drive , driver refuse use meter start bargain price . say normally 4 hour trip would cost RMB1000 ( half hotel price ) , day claim gladly offer RMB600 . simply feel cheat , choice . great ride anyway brand new Mercedes , ' complain . facility : great facility hotel complex . adjoining retail podium house Starbucks shop ; spacious Mandara Spa , rooftop indoor outdoor pool . winter , free - form pool big empty hole . visit pool , guest pass Spa entrance , walk across different lift bank , take lift , stroll along long glass - house corridor amidst zen garden reach pool ' club house ' style lobby . nice despite long journey . overall , good hotel . excellent location , beautiful room , comprehensive facility good pool area . would rate hotel slightly low Grand Hyatt , Hyatt well : well building , well design stylish . 
 Nov 10 2005 	 Fantastic 5 star ! 	 last visit : March 2005I spend 2 week Shanghai . stay Four Seasons ( Awful ) , Grand Hyatt ( Average , poor service ) stay JW Marriott . cancel book night Four Seasons / Grand Hyatt go back JW Marriott . service fantastic ! really quality service ! great stay . may recommend get club room . club lounge Oasis fantastic view great people . really help ask ! great place ! highly Recommended not say often . 
 Nov 4 2005 	 Nice Hotel -- Skip Executive Floor though 	 agree previous post part . hotel nice . nice room , huge ( upgrade corner room suppose big ) , nice bathroom , comfortable bed ( hard find China ) . executive floor lounge dissapointment good . hardly food , hardly anything drink bad , rude service . stay executive room way exactly stay standard room . stay like 8 time . not pay extra executive room - not get anything access executive lounge explain worth . ' ve hear wonderful thing Westin plan try one next time . 
 Nov 1 2005 	 wonderful view 	 recently stay JW Marriott read reviews Trip Advisor . friend stay Executive Room - big fairly comfortable . bathroom bite disappointing much small led believe . 57th floor magnificent view towards Bund . executive lounge 59th . food Executive lounge fairly ordinary nice never less . drink another matter - serve 5 7.30 . receive drink well mixed , either much gin , much tonic etc . , last night ask brandy ginger tell & quot ; none leave & quot ; .Everytime ( quite often ) go lounge ask room number . 6 day seem bit strange ask many time . two woman amongst mainly man , would think would stood out . we go two tour tour group recommend hotel - first round Shanghai little disappointed lack ground cover 8 hour . next tour Zhouzhuang - driver guide . guide forthcoming much information wander round beautiful water village lunch mediocre little place . way back instead tell we information audacity go sleep . also find car driver guide become shopping trip take place buy - commission guess incentive . large tour party pressure put buy . would use tour company again . other compare Club Executive room stay JW Tomorrow Square uninspire . hotel though magnificent hotel well worth visit not bother executive lounge unless business person ane require facility . 
 Sep 13 2005 	 many Splendored Thing 	 live Canada everything self - service call 5 star establishment . this hotel tomorrow 's future tody 's dain age . staff drown politeness . upgrade large corner room . each time leave room come tidy . Stayed Grand Hyatt Sept./05 . standard same . food excellent location great . stay Wynn Hotel , Las Vegas last week nothing write home , everything self - service . welcome China new superpower , lead other follow envy . 
 Jul 27 2005 	 JW Marriott Tomorrow Square 	 Fabulous , highly recommend hotel . cab ride & quot ; market & quot ; 15yuan include tip . great location . 
 Jul 20 2005 	 Gas Mask Swimming Pool 
 Jun 25 2005 	 like hotel 
 Jun 15 2005 	 good expensive breakfast 
 May 23 2005 	 wow ! 
 Mar 30 2005 	 Great JW Mariott Shanghai 
 Mar 21 2005 	 JW Marriottt Shanghai - Worthy 5 star rating 
 Mar 14 2005 	 Excellent location 
 Jan 2 2005 	 good choice 
 Nov 30 2004 	 good 
 Aug 26 2004 	 Excellent business hotel 
 Nov 18 2009 	 ? ? ? ? ? ? 
 Nov 15 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 2 ? ? ? 
 Sep 26 2009 	 ? ? ? ? ? ? ? ? 
 Sep 16 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Sep 7 2009 	 good ! 
 Sep 2 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 27 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 22 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 9 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 9 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Apr 16 2009 	 Nicht zu empfehlen 
 Feb 5 2009 	 ? ? ? ? ? 
