Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 Feb 19 2009 	 although service always seem erratic love hotel 	 ' ve stay business several time although check process never seem go smoothly ' ve request change room couple time , always end ask extra ( large ) bathtowel , really rather like place . the room comfortable quiet , view thame ( especially get tower bridge view ) fabulous listen sound river drift sleep - like that . its right St Katherines dock , nice safe feeling place stroll around evening , plenty place eat . the hotel staff friendly pleasant . there well design hotel , well service , be something one charm I . oh , minute stroll ( past tower london ) river boat dock - commute anywhere river business pleasure thoroughly recommend river boat trip thame - take canary wharf - much civilised morning tube dlr way less crowded . 
 Feb 19 2009 	 overall great - one big niggle 	 location stunning next Tower Bridge . Underground 5 minute walk . little isolated term shop particularly evening . room fine , still Thistle Hotel . major issue breakfast though . hot tray poor keep speed . would upset ask pay £ 8 let along £ 18 menu . definitely go back , go , make sure get breakfast include deal . 
 Feb 17 2009 	 great .... always ! 	 stay 2 night mid february . stop 2 occasion keep come back ... service great whole ambience hotel lovely . ok , location might everybodie cup tea view bar across river bridge make 15 minute tube journey West End . ask room overlook Tower Bridge high floor get ! would stop hotel London even though ' posher ' central hotel . would definitely recommend . 
 Feb 16 2009 	 disappoint 	 book Tower base experience stay Cumberland Hotel ( also Gourman chain ) hugely impressed . however Tower hotel disappoint compare Cumberland . book Superior Room grotty , bed two bed push together , bathroom dirty low standard . room generally tatty certainly nothing like picture display website . book , room description state would receive Elemis toiletry - none room . also mini bar empty ! good thing view . certainly would recommend hotel think low quality . dread think standard standard room mine superior ! 
 Feb 12 2009 	 real mixed bag high low 	 stay colleague guest one evening follow evening . arrival check shortly one guest tell pay room book agency bill back company . guest problem hotel would check way guest . eventually follow lengthly call someone company email booking agency check . check take good 30 minute . the room tatty wear sure look nice ninety . bed two single push together pet hate pillow duvet flat pancake . everything clean though . on plus side view world despite first floor amazing view tower bridge light breathtaking . I meet colleague bar drink service great drink repleneshe straight away bar staff recall everyone drink . I breakfast bedwhich ok say arrive room 8.35 instead 8.30 request waiter apologetic . 5 min nice . the follow night go bar hour barman recall drink also room put . problem charge room original check problem go reception resolve problem whilst drool lovely view again . check easy happy card charge register simply hand key leave . overall ok room desparately need do . nice room pay charge refurbish room 5th floor frankly pay enough already . 
 Feb 6 2009 	 customer service poor 	 book hotel one night business . got room find minibar lock unable get open wantewd galss wine dinnner ; tell malfunction would give new room someone would come help move . go back key wait hour move ! Hurrah room minibar ; tell ice machin floor - yes broken . ask bucket ice wine minibar ! another hour ice ! also wine glass room despite well stocked minibar wine champagne ; rang ask ice - tell go room move ; ask wine glass ; tell standard room . hotel 2 hour 9 pm . Drank wine , chill enough tumbler bathroom dinnner ... 1/2 hour later ... yes whilst bath ... room service arrive ice bucket . aaargghh . room noisy . gym poor broken equipment . whole experience good ; money much well . 
 Feb 1 2009 	 Lesson English Virtue - Queing ! 	 book one night B & amp ; b stay Superbreaks . the location hotel stunning - right next Tower Bridge St Katharines Dock . seem splendid view around . bit treck Tower Hill underground station , apart step station entrance pretty much level , road cross . if unfamiliar London - remember Tower Bridge Tower London Eastern - most edge ' tourist London ' heart thing , everywhere else ride away ! ( although , feel fit , Thames Path go right westminster - beyond ) . afford London taxi always plenty wait outside whenever go outside . arrival hotel - predict reveiwer - queue check . can not somehow fault reception staff seem work full capacity - 's number desk overwhelmed ( 15:30 ) .The reception desk try offer upgrade . offer £ 20 £ 35 upgrade well room . the room large enough big bed ' ve ever sleep ! ( good quality ) flat screen tv , tea coffee make facility - yes cafetiere real coffee ! view ! real opening window could see Tower Bridge accross river . significant traffic noise , bit smell cook come . could see room , . hotel south side river get afternoon sun , sunset Tower Bridge - also get wind come along river , straight North Sea ! crack night 's sleep , really comfy bed - although pillow seem bit limp ! breakfast serve two place ground floor Carvery first floor - long queue . eventually get breakfast good - typical buffet style , good quality bacon sausage . staff try really hard , bit reluctant let we second pot tea . hotel clearly overwhelm breakfast time too . a large number guest appear coach trip London , fair coach outside hotel . not hear foreign accent ( unless count Welsh ! ) not take evening meal hotel - although notice good value special 2 course £ 13.95 . walk east along Thames Path Town Ramsgate pub wapping - quite way , splendid value great atmosphere . again , queue checkout ! hotel offer efficient leave luggage facility Concierge desk , need leave bag last day . we would happily stay , would recommend anyone could get room sort price pay . 
 Feb 1 2009 	 good value fantastic location 	 Excellent location , 3 min walk nearby underground , Hotel next Tower , fantastic view Restaurant bar area . room whick look back St. Kathrines dock . room small functional clean , good size bathroom . arrive late morning , room ready yet , offer leave baggage concierge , fine . pay £ 90 room without breakfast excellent value . breakfast Hotel within 3 min walk St Kathrines Docks wide choice nice little coffeeshop , serve excellent breakfast . 
 Jan 29 2009 	 Great 	 stay hotel many time business always great experience . reception efficient friendly . room good size central London hotel comfortable good fixture fitting . if lucky enough get Tower view room great .. see way thame eye . it 10 minute stroll tube , 2 min walk tower london . St Katherines dock host number nice bar restaurant make great meeting place summer evening . breakfast great . eat via room service nice plenty food reasonable cost . 
 Jan 18 2009 	 pretty much faultless 	 good : large , well furnished room . spotless . amazing location . friendly helpful staff . bad : breakfast . £ 22 buffet full english stretchy bound reality . similarly cost per night ... not pay business paying think could find similar standard less elsewhere . 
 Jan 6 2009 	 Great Location - Fantastic Views 	 great central location great view book Tower VIew Room . comfortable room spacious would expect location . 
 Jan 4 2009 	 Good Experience 	 always want stay hotel view dissapointe , excellent value money quick check reception staff helpful wonderful accessible room look Tower Bridge . staff everything help courteous , friendly polite room cold tell reception quickly remedied turned switch . carvery good value breakfast plentiful .Plenty taxis close riverboat attraction . view bar well . would certainly go . 
 Jan 4 2009 	 mixed bag . 	 use Tesco voucher break great , cheap way part London . £ 300 pound worth not buy much London though ........ deluxe room would describe ok'ish . wife birthday weekend location perfect Tower London etc . we evening trip plan comedy club Embankment Wicked Apollo Theatre easily reach nearby tubestation . having que breakfast morning bit much think . however offer free room service breakfast alternative . hotel bar expensive too . the location great , accomodation expensive . pay £ 300 rather use voucher may little annoy . 
 Dec 15 2008 	 let 	 husband weekend away part xmas present . he book class website romance river package . the package champagne arrival bath - robe slipper , complimentary room service breakfast deluxe room . we speedy check lady check let we know extras room . on get room 381 nothing room class deluxe would like stay standard room . we safe door ! ! basic toiletry face cloth . we phone champagne robe arrive 20 min later apology . booked breakfast honestly say one bad breakfast 's London , serve unsmile waiter . Hubby go breakfast next day queue 20mins well except choice egg . the thing hotel could classed 4 * location fantastic . 
 Dec 15 2008 	 great place 	 book weekend theatre trip husband birthday hotel choose Guoman Tower . room ready arrive check state book 2 pm , one hour early . invite leave bag concierge , , take walk St Katherines Dock 2 minute away , find nice place call Dickens Inn , enjoy bar meal , good value . stroll back hotel check , excellant service desk reach room discover wonderful view London Tower Bridge , pretty breathtaking . room clean nicely decorate . shower great , powerful invigorating . bed comfortable too . we full english breakfast next morning could fault . everything could possibly want wait staff polite too . this hotel ice cake wonderful weekend . 
 Dec 10 2008 	 one least favourite hotel London price / rating 	 stay hotel several time past year , last renovation / name change do little improve experience stay . main issue : - large hotel , staff stretch - check take long time , check even long , even simple thing like send porter room move another take 45mins- & quot ; renovate room & quot ; - do cosmetic way - big plasma make room well ! - depend room location , noisy traffic around Tower Bridge- noise travel room room- taxis - readily available plus - close enough City business , get cab ... - good location tourist - magical look Thames Tower Bridge . overall , hotel rating over - state reality room service . price pay , well value - for - money place stay London - perhaps manage get good discounted deal , worth , certainly rack rate , even arrange corporate rate firm . 
 Nov 30 2008 	 great view comfortable room 	 book one night standard room . lovely comfortable clean stylish room , great picture window view St Katherines Dock . room lovely size , table chair also comfortable sofa . plenty amenity wadrobe space suitcase rack . surface put kettle make tea & amp ; coffee . lovely quiet room comfortable bed . bathroom amentie include bath . breakfast great , good choice well cook . car parking hotel premise convenient . staff helpful . public area great view Tower Bridge . do dinner meal occasion , comment . 
 Nov 27 2008 	 great view . 	 modern hotel stunning riverside location . check - in slow despite confirmation paper , check - in person speak quietly could heard busy environment . stay beautifully appoint single room spectacular view river , London Bridge London Tower . Bathroom modern , well appoint exceptionally clean . unusually three telephone available use include one loo ! eat restaurant evening meal breakfast . food high quality . criticism plate cold food warm reach table . book opposite experience booking , member hotel staff collect swipe card stand queue extra pay . 
 Nov 12 2008 	 Great Location hotel ( staff ) parr ! 	 location simply fantastic - right beside Tower Bridge look simply stunning ( especially illuminated night ! ) near tube station Tower Hill ( two stop circle line Liverpool Street . ) walk hotel , tube fabulous - along perimeter wall Tower London . the hotel right beside St Katherine 's dock - beautiful set lovely selection bar restaurant . however , could not help little disappointed hotel - not cheap - £ 189 per room per night . stay deluxe room - massive bed lot else go . simply look little tired need refurb . we also delay admin issue check check out . would stay - yes - location simply can not beat ! 
 Nov 12 2008 	 Ok 	 Boyfriend stay Tower Hotel November 2008 . gift birthday - virgin experience theatre break . choose hotel Virgin Experience we . excited go , picture hotel look amazing knew location go fantastic whole weekend cost £ 325 think yep hotel go posh one : - ) wrong ! ! ! hotel reception area amazing look lovely , wait check quite long time not seem system , push hard enough would see first . quite busy 3 reception staff duty ! get check go room . well not fool picture website think must belong pen house apartment top floor : - ) . room great look boot harbor room basic pretty small . bathroom clean towel fine . we pretty hungry travel thought would order food . look menu start laugh £ 15 sandwich . much spoilt birthday could not justify decide go find somewhere else . lot place eat around hotel well worth go walk outside great much cheap hotel . we fantastic night London watch Lion King great , get back hotel sleep ... bed comfortable pillow nice : - ) . breakfast next day advertise £ 18.75 full English . lucky include rate . thought would leave breakfast pretty late ( think 10 am ) get breakfast area queue get . stay queue 30 minute impressed ! ! finally get sit breakfast pretty horrible bacon salty egg runny not anything special all . the price advertise board £ 260 night , hotel nice £ 260 nice ! ! ! would go , probably , think probably cheap well hotel one . shame though set review like one advertise fantastic look hotel website ! ! ! 
 Nov 10 2008 	 Excellent Value near city 	 book hotel go dinner . initially walk desk quote £ 249 evening use phone check expedia find could book online £ 99 inc . breakfast two we . Suffice say agree would pay low price . also get free upgrade not overly full . the hotel excellent postion next St Katherines dock . look awful outside inside 's different story . room clean well appoint - want watch tv get 40 & quot ; LCD . bathroom clean nice marble . staff always polite freindly ( despite come £ 150 rate ) good evening . Breakfast bufffet affair not put , fast turnover food mean always hot well ( ) cook . one remember back pocket friday night stuck town . 
 Nov 10 2008 	 not impressed 	 book hotel see picture room website . web site look like something little special great location amazing view . pay extra deluxe room special occation , well say room small decor date nothing show web site . view average . bed hard towl thin ... nothing ever expect . queue quite sometime check see people problem book . say want average stay somewhere . say refune money check without say anything think may give wrong room . honest upset want stay special money not issue ... 
 Nov 9 2008 	 fantastic service fantastic view fantastic location 	 book twin executive room hotel . check , ask could bridge view room , unfortunately , none non - smoking , take smoking , bridge view , executive twin room . room not smell smoke thankfully , absolutely fine . view amazing . arrive night , bridge light beautifully . we order breakfast 2 am , deliver door time specify . later night , use room service perfect . highly recommend hotel . would nice free internet access , consider executive room . £ 9 / day extra . 
 Nov 7 2008 	 Superb hotel outstanding value ! ! 	 one time seem parallel universe previous reviewer - base old photo , suspect lot hotel renovate 5th floor deluxe room ! stay one night business , prior exhibition hotel follow day . pay hundred pound basic room offer , imagine definite qualm would get . first , checkin staff delightful - ask quiet room offer either bridge marina view room - go latter advise few people pass window etc . offer upgrade deluxe room £ 40 , would ' ve include complimentary car parking pay £ 20 anyway , think good deal . expense policy would not agree , decline ! first floor , tell room rate . corridor look way promise expect get lift ( see photo ) , recently decorate good quality finishing . room absolutely perfect business stay ; understate decor , comfortable bed nice white linen , clean well fit bathroom decent shower . large widescreen plasma tv desk area opposite bed , plus minibar ( stock could request ) tea / coffee make facility - not check work colleague note cafetiere filter coffee , usual sachet nescafe . ice machine available alternate floor , ice bucket provide . my tiny gripe officially nonsmoke room corridor , definite & quot ; old smoke & quot ; smell room . would probably move have ask , not worth bother - bad enough make clothe smell anything . I pretty view marina totally peaceful night 's sleep . breakfast next morning also excellent , queue see time , option fruit / yoghurt / cereal/ cold meat & amp ; cheese / wide range cook stuff , do buffet style . overall , never stay london hotel £ 200 experience tolerable , let alone enjoyable . place mutt 's nut , hope room rate stay will back every single time stay town . oh , mention fabulous view Tower Bridge bar ? spectacular night , throw free ... staff also unbelievably helpful around arrangement exhibition , every single one go beyond expectation : could not get access exhibition space night , help we get stuff van store luggage area , not get work clothe dirty lugging follow day . different guy come end day help get everything back downstairs , wait entrance whilst bring car around , help load car . may sound much make huge difference tired girl heavy kit move , face long drive home : - ) 
 Nov 6 2008 	 quiet comfortable 	 lovely view friend 's yacht harbour ! plenty breakfast option water get late . huge queue check room rather hot . otherwise perfect spot spectacular area ( Tower , Tower Bridge , South Bank etc ) Tower gateway station ( DLR ) close present convenient re - open Canary Wharf etc . look deal , upgrade etc www . stay £ 99 
 Nov 4 2008 	 Loved hotel 	 lovely hotel great location . partner find staff friendly , efficient room service quick . 
 Nov 2 2008 	 Fantastic 	 book one night Tower surprise boyfriend birthday . arrived upgrade recently refurbish room fifth floor ( room 567 ) cost extra £ 25 . must say well worth every penny view Tower Bridge fantastic . room comfortable however complaint little warm . hotel also provide travel cot 6month old son clean comfortable . could not fault room 's facility , wish could stayed long . breakfast also wonderful would advise go early check 9.30am queue right across foyer enter brasserie . overall , wonderful stay would definitely book . 
 Nov 1 2008 	 excellent pricey 	 Excellent quality - spacious room lovely view overlook St Katharines Dock . unlike hotel London nice quiet get good night 's sleep . pay quality budget , fact change hotel ! also - free wifi , something would expect price pay ! 
 Oct 30 2008 	 good standard 	 stay business could fault it . superb location absolutely wonderful view . order room service dinner , although pricey , food simply amazing ! room good standard well worth money . staff polite service faultless . 
 Oct 28 2008 	 second time around love ! 	 second time husband stay Tower safely say would not stay anywhere else London . we first stay Christmas 2007 2 night room yet refurbish . pay upgrade king size bed never see huge bed life ! could use one side store suitcase ! top fantastic view across Tower Bridge . could literally lay bed light see lay ! 3rd floor . quite walk lift , downside , that s thing complain pretty safe say hotel great . I work travel industry travel agent people complain silly thing . could fault Tower all . the second trip around August see exhibition book Tower , book website , get special rate sign hotel email advise special rate . we also mention second trip hotel ( also mention stay Towers sister hotel , Cumberland Marble Arch ) check , always fast painless , lady ( happy smiley , make we even happy smiley ) ask want upgrade refurbish room 5th floor . limit budget weekend , decline , extremely grateful say repeat customer would get upgrade free , save we £ 100 ! ! ! start fantastic weekend ! have request view across Tower Bridge dissapointe . room nice size , brand new fitting feature , tastefully decorate . bed comfy sleep really well . shower powerful plenty hot water , completely spick span . could fault cleanliness . first time stay , breakfast include . ok , well cook breakfast ' ve ever , reasonable way start day . also order room service , tasty , expensive . the hotel 4 - 5 minute walk Tower Hill station , great link rest London . the hotel also right next Tower london , also HMS Belfast World War 2 history thing , also St Katharines Docks . walk hotel Tube , wall tube decorate history area , interesting well worth look . all , back , yearly tradition . always stay look forward next visit ! 
 Oct 25 2008 	 Wish stay long ! 	 stay 1 night last week . really wish book long , really lovely hotel . fantastic view accross river Thames , St Katherines dock Tower bridge , room bar , huge window enjoy panoramic view . lovely room , comfy big double bed , nice fluffy dress gown good bit .... Complimentary Elemis product bathroom . flat screen tv , large window , soundproof . hotel modern / contemporary throughout , room nicely decorate . I like hotel location , enjoy walk hotel , along south bank westminster bridge . take we around hour , take time enjoy sight . comment breakfast , wake late . guest nothing praise . cook continental offer . would definately stay next time come London . good value money ! 
 Oct 24 2008 	 Great HotelBrilliant location excellent staff 	 stay Tower 2 night Oct ' 08 business trip . not stay read previous review bit worried room may good . go experience hotel say 2 good night spend hotel London . hotel spotlessly clean , staff friendly would expect kind price , room stay excellent wonderful view . also use Brasserie night , food good - not cheap - not get cheap London hotel , also not always get value money - . staff restaurant excellent , could helpful - second night hotel change menu - chicken dish top quality . location hotel beat London view directly onto Thames right next Tower Bridge , one minute walk Tower London load sight , want . conference facilities hotel also top class . can not recommend one highly - not give praise lightly trip deserve . not know reviewer get bad day - maybe change ownership still bed experience first class . 
 Oct 8 2008 	 Average 	 stay business three night room 's extremely average . four we stay one us room meet standard price pay . room extremely long walk lift key card not work third time become extremely irritating ! would recommend anyone stay , room average staff extremely unhelpful . 
 Sep 28 2008 	 Customer Service indeed dead ! 	 stay business trip , terrible experience . room ok , ok , worth price ( company ) pay . breakfast good , bad part internet access -- £ 15 per DAY . not tell buy & quot ; discount & quot ; rate £ 10 per day ( online , find later , see ) , sell three day soon check , £ 45 . internet service validate use 24 - hour scratch card , last day third card not work , hotel would replace . would BT ( service provider ) , say fault . eventually write hotel 's customer service get refund , purchase fourth day , third day lobby 6am , irate , showered , BT mobile customer service ear try straighten , get absolutely service front desk . top , run card , tell could purchase service online , get help front desk , insist use three card even though 50 hour . imagine hotel put guest ? not take ph.d. customer service realize well solution get customer irate . the location good , view good ( mine not hear ) , customer service awful . bad customer experience Tower well , definitely bad . trust , option customer service important , go another hotel . place respect . stay request non - smoking room , make sure check first mine reeked cigarette smoke change room . 
 Sep 24 2008 	 predictable 	 Stayed 2 nite business conference . hotel change hand several time short time may show review different name . new proprietor , Guoman , upgrade several floor . upgrade material improvement other , pay $ 50 nite . room small tight , although update room well appoint . Windows open , pleasant get fresh air instead usual recirculate stuffy air . find room quiet even cry baby next door ( hear corridor ) . however , room face away tower bridge onto river . bridge side might noisy , although view upper floor dramatic . bell staff utterly indifferent seem vanish entirely time . desk clerk pleasant , somewhat overwhelmed peak check . eat , although conference food provide hotel acceptable . location short walk underground directly thame walkway within step tower london . however , main tourist sight ( national gallery , westminster , etc ) far away walk . tour boat regularly depart dock front . cab service bit challenge unorthodox location away main road . difficult property tourist get bag via public transportation near underground stop entail 10 minute walk numerous stair . well take taxi one main transport hub . charge wireless internet access . , well US marriott pay room upgrade , comparable otherwise . 
 Sep 8 2008 	 great view shame room . 	 sort business person think good night sleep important pre - requisite heavy meeting next day , hotel certainly you . I actually like Tower - location amazing view , proximity City business area . also good deal available . however must something dramatically wrong engineering . three ( five ) separate visit torment noise emanating building . fan noise kitchen bad boiler room , place whine , vibrate hum louder anywhere ' ve ever stay . the last time limit . sorry guy , great view convenience ok , need sleep well . never . 
 Sep 6 2008 	 amazing view 	 return home stay hotel , would like say stay satisfactory . hotel easy access public transport , check - in efficient friendly , view room 10th floor way beyond expectation . look Tower Bridge River Thames , view stretch beyond far Crystal Palace . room clean , bed extremely comfortable , bathroom also clean , everything need . well two single bed , room also table , two comfortable chair , plenty drawer wardrobe space , tea & amp ; coffee make facility , good lighting . room side hotel look St Katharine Dock , almost equally beautiful . book stay direct hotel , offer good rate time , deal efficiently . 
 Aug 29 2008 	 nice room - shambolic breakfast 	 Slap bang next Tower Bridge 10 minute walk Tower Hill tube station Tower Hotel 1970 's block , outside look promise nothing , inside look terrific view . our room fifth floor clean , well equip rather souless character . however , bed large comfortable , bathroom well fit modern flat - screen television ( view ! ) make altogether good room . the room hotel 's ( middle ) & quot ; deluxe & quot ; price bracket . able see one cheap room low floor certainly show sign age ! reception efficient , concierge staff helpful , , follow excellent night 's sleep , everything appear shape pleasant weekend . until hit breakfast . Sunday morning ; rush ; come 10.00 ( breakfast Sunday available 11.00 ) lo - and - behold queue brasserie stretch front reception desk . therefore next floor breakfast location ( Carvery ) queue even long ! back Brasserie ( queue appear moved ) line . that 10.05 - eventually seat table 10.30 - full 25 minute ! one stage member staff come along say realise queue ( be state obvious ! ) guest prefer could get coffee croissant service point hallway . the hallway area large could easily accommodate number chair enough table sit guest chair , take room number call table become available ? answer simple - 1 person door lie table well deal guest . visible management presence ! finally seat note tea coffee serve insulate jugs member staff . proper tea coffee pot put table . everything else help youself buffet . mediocre quality sausage anaemic scramble egg ever see . do learn lesson ? ! rather book breakfast room second morning come ( time little early ) time 3 queue ( least sense open vacant function room ) real sense urgency staff , organisation relaying table , food quality boarding house 4 - star hotel . all tell would find difficult recommend Tower Hotel . stay usual haunt ( also group ) full . happen future will not accept Tower Hotel alternative . 
 Aug 28 2008 	 fantastic hotel 	 good exterior brilliant , staff helpful friendly exceptional view tower room . room clean could bit colour , well worth visit . two Wetherspoons nearby , one across Bridge one 500 yard past Tower , good value decent food . 
 Aug 28 2008 	 Disappointing ` ` 4 star '' hotel 	 spend 2 night Guoman Tower weekend tour trip London . location spectacular , right beside Tower Bridge . decor room date furniture tonne scratch dent . another member tour group say bed break . 's definately time renovation . ok be spend time sight - seeing , ' m sure cheap accomodation would fine . check - in check - out smooth . Breakfast Saturday morning huge line - up skip . breakfast Sunday . stern hostess bring we table command we sit without friendly smile & quot ; good morning . & quot ; food average . next time go London will not tour group choose another accommodation . 
 Aug 23 2008 	 Hated Tower 	 hotel , whilst great location near Thames , poor - cramp old fashioned room first floor also noisy early hour rubbish bin empty . room stay 3 single bed - long past overdue replacing - spring go dig back . remain furniture shabby - chair big room struggle squeeze past ! shower ok - mold ceiling , not particularly clean . the lift morning nightmare , use stair - mop time , hence slip -the end awful stay . would recommend Crowne plaza Shoreditch High St - much well room clean - near great restaurant Hoxton . use poor area , much come near tube station get around City . 
 Aug 22 2008 	 great location 	 stay spouse 5 night find extremely comfortable . request non smoking room king bed ahead time , view . arrive realize close actually Tower Bridge ask could preferred view . luckily problem get great room 5th floor look directly Thames Tower Bridge . room small use hotel room US , fine far european UK standard . small seating area desk . great flat screen tv . robe great surprised great hairdryer hotel . sheet , pillow bed comfortable . read another review refurbish room , assume one . sure ask booking . 's least 10 minute walk Tower Bridge Tube . be windy , rain someone trouble walk would keep mind . never use gym , believe charge stay certain floor . wireless internet since 5 night get 30 day package 40 pound think lot , need . starbuck within walk ditance nice . eat casual italian restaurant Zizzy twice ( within walking distance ) nice dinner night . world , good . service great ( almost everywhere go though . ) use concierge couple time friendly helpful . bring small umbrella ! one lend rainy morning tell could buy one . St. Catherine 's dock right outside hotel , catch boat take different place . go Greenwich day nice getaway ( would ' ve see major attraction city . ) need lot walk Greenwich , nice day buy round trip boat ticket ( save money . ) 
 Aug 17 2008 	 enjoyable stay .... 	 return spending weekend celebrate 50th birthday husband daughter Tower Hotel . book two deluxe room guarantee view Tower Bridge wonder sort view would glimpse ? disappointed room amazing view . room comfortable clean . eat two occassion hotel food good service pleasent . queue minute breakfast Carvery quickly redirect another function room breakfast serve . food hot plentiful . reception staff helpful efficient . area surround hotel nice , would recommend wander around St Katherines dock . overall would definitlely stay hotel future . 
 Aug 13 2008 	 peaceful stay peak season 	 Guoman venue overnight stay coach trip tour Buckingham Palace . we arrive early evening tired wet summer downpour . check - in simple soon room dry 2 hairdryer ( handy ) .We quickly drink ready -pleased see proper teapot cafetiere . the room clean comfy pleasant view St Katherine 's Dock . good night sleep peaceful inner London Hotel . bathroon clean lovely BIG fluffy towel Elemis toiletry . read early review arrive 7:15 continental breakfast ( fairly standard quality ) wait 5mins . come long queue go . drawback wait one 4 lift . all , great location , problem would recommend Tower . 
 Aug 7 2008 	 Good Hotel 	 good choice want stay City ( tourist might need aware fact talk City mean Financial District - London - tourist hotel West end ) . alternative Grange Nototel Tower nowhere near good case grange expensive strangely Grange five star whereas four star - well . location good , next Tower Bridge , Circle Line easily accessible Tower Hill 's plenty bus route always line Taxis outside . room excellent , clean , spacious , good bathroom , mod con etc . usual mountain pillow cushion bed ( hotel ? ) .It busy stay long queue breakfast would complaint . ' ve also stay Cumberland Marble Arch also own Guoman problem - obviously not put enough staff . probably good skip breakfast go starbuck nearby . staff helpful always seem smile face . generally impressed . 
 Aug 5 2008 	 Fab ! 	 standard hotel London hotel good . room immaculate clean , excellent size London hotel . good selection Elemis product bathroom well robe use . pleased service receive two night stay staff encounter . problem breakfast ( decribed review ) , find good selection food ( full English , fruit , cerealsetc ) good quality . hotel convenient location excellent view wither Tower bridge St Katherines Dock . pleased experience hotel would return . 
 Jul 28 2008 	 Smokey room 	 check quick easy enter room non - smoking room immediately smell smoke . contact reception many phone call total lasted hour finally relocate another room . breakfast good small wait busy . location hotel great bar resturant . hotel bar great view tower bridge drink expensive even london hotel . would go back price increae location . 
 Jul 25 2008 	 Great Hotel 	 little worried read review hotel holiday quite alot bad review pleasantly suprise arrive . firstly get taxi train station arrive case someone immediately run greet we carry belonging hotel . check quick hassel free , staff curteous . room nice , although do not think refurbish one . decor perhaps little date spotless tidy . view st Katherines dock breathtaking , could see gerkin ! breakfast nice , lot choose staff attentive eventhough busy . night sit outside terrace drink , lovely view tower bridge . cavery nice good value money . would recommend hotel . 
 Jul 21 2008 	 waste ! 	 stay one night husband London see Bruce Springsteen . ' glad ' back room 12.30am concert ' think would want spend time . grant hotel excellent location minus definitely outweigh plus . find lady check we extremely rude . book non - smoking double room hotel obviously overbooke give room away try compensate give we suite smoking floor . informed want non - smoking room tell grateful lucky get suite ! ' care get suite want simple room non - smoking floor lady persist argue manager call . think totally unprofessional . end getting ask first place ' make sense ! room fine . outdate comfortable enough amazing view Thames . however breakfast follow morning poor . queue lobby restaurant . get seat nobody come take tea / coffee order food cold obviously sit . ' think ' overly picky expect general manner standard level service simply apparent hotel . many good hotel London definitely give one miss future wish ' bother . 
 Jul 16 2008 	 poor value small room 	 one strag room ' ve ever . & quot ; bedroom & quot ; area big enough Twin bed desk perhaps second twin bed . 's . maybe 100 sq . ft . , plus bathroom . the room clean , service great . although could not check early . price outrageous decor need update . however , could not find anything else , have problem stay . view alone great . 
 Jul 9 2008 	 suprisingly good 	 night Tower not find £ 287 company pay ! prepare upgrade arrive , read review warn hard sell reception . offer ' refurbish room 5th floor ' £ 70 . offer £ 60 accept . at reception ask 2 extra pillow arrive room time did- good ! room good . little small maybe follow morning still discover extra touch ! include ; heated floor mirror bathroom , illuminated shaving mirror , bathrobe , USA continental plug socket ( first experience ) great tray umbrella , shoe horn , clothe brush various bag , minibar ( price list ) , large led tv ( instruction different model ) , phone ( number list ) , hairdryer ( wall- proper one ! ) large safe would hold laptop ( main socket INSIDE safe ) extension box tv desk take various computer connection ( hdtv etc ) , tea/ coffee facility ( real coffee- real cafetiere , enough milk sachet always . ) standard decoration high lighting option staggering . we perfect view London Bridge , City hall thame . they convert ballroom extra breakfast room . estimate hold 600 people breakfast service spot ! breakfast good way would pay £ 18 extra ! newspaper complimentary morning . we would definately stay pay somewhat exorbitant rate ! 
 Jul 7 2008 	 could not ask 	 stay Tower Hotel London weekend say could not ask . first - location . 's right Thames depend way look , ' ve get view Tower Bridge , Tower London , St Katharines dock old Butlers Wharf Building side river . hotel easy walk distance Tower Hill tube station - important travel companion 70 ! not put exterior hotel , 70 's concrete cubist line ; justice inside . check - in simple staff courteous attentive . ask two quiet , non - smoking room floor pleased find arrange . lobby pleasant little bar / coffee shop one corner . plenty sofas lounge around . 's big bar area first floor , not check can not really comment it . we stay two single room 10th floor , look dock . suppose not big room ' ve ever stay ( maybe cosy well description ! ) overall fine . also , spotlessly clean comfortable . breakfast serve three place - carvery , brasserie one place forget name ! queue brasserie advise go place not queue . sure enough , get straight usual selection hot & amp ; cold buffet plus much tea coffee manage . I guess impressed place staff . moment arrive pleasant courteous - maid , bar staff , check - in & amp ; restaurant staff great . ' ve stay hotel London ( elsewhere ) staff simply could not bother , case here . would recommend - yes . stay - yes . I book Superbreak , also & quot ; visit London & quot ; website . 
 Jul 2 2008 	 pleasant stay 	 England business . husband 13 year old daughter meet London weekend . arrange meet Hotel lobby Friday morning . husband daughter arrive 9.15 tell room ready . however not third bed room daughter . explain arrival within 5 min housekeeper come room make extra bed . room first floor lovely view St Katherine 's dock . decore room bit shabby everything need . bed comfortable . lobby really nice beautiful fresh flower . staff friendly helpful . go breakfast ( serve brasserie ) Saturday morning 9 join queue . go early Sunday morning . Monday morning breakfast serve Carvery . location hotel lovely ( quiet ) although somewhat centre . however walk centre London along Thames path side hotel . take we one hour . walk back evening along Thames path side river . lovely evening walk pass lovely restaurant . would stay . 
