small 	 husband stay one night enough . know may sound harsh never disapointe hotel . boast family stay 4 * hotel admit return not much boast . room tiny , walk around sideways apart bathroom must say good point especially way water run tap must stress good point . dusty continue refurbishment happen . know many peopke take account work finished be go cause disruption fot guest . next pitfall parking , something specifically look suggest parking available guest not state long willing pay £ 40 night . last least breakfast , enter dining room wait 10 minute clear table subsequently clear , wait 10 minute clean plate forgot ask clean cup time take another 5 minute get . eventually sit breakfast not nice hear funny noise follow two guest unplug warming hub sound though blow . shortlly check . respond review website offer apology free upgrade clubroom next stay pay double standard room . personally think bit joke ! ! ! ! point find enter debit card detail online ask pay hotel get not take money online book top everything else little irritating ! ! ! ! ! 
 Mar 3 2007 	 Small well place 	 stay Clarion Shaftesbury 2 night recently . little put review midnight need hotel next day . with bit shopping around get excellent deal £ 69 per night ( hotel would not bargain pay advertise £ 160 per night ) .The location excellent . two tube station within 2 minute walk access central london within 8 minute ( 5 stop ) .you walk hotel 50 metre Hyde Park great get traffic . the hotel quite well do room stay small everything need . room large plasma screen tv build wall InterNet access free , plug go . bed fine there s addition kettle iron room . bathroom although small well decorate quite modern . to summarize stay hotel great location , cheap ( may go search site get bargain try doorman bookings.com ) everything need short break London . would wary could start feel bit cramp staying day . 
 Feb 25 2007 	 get shaft Shaftesbury 	 operating sham . stay away hotel . book lastminute.com . arrive , take credit card ( simply check - in procedure ) , check , promptly tell taxi call problem not room available . send poor hotel Earls Court expose wire hang hole ceiling . complain Shaftesbury , tell would move back next day give concession . the next day tell could not move hotel stay . complain told manager would call back . nearly 8 month ago still not call . lodge formal complaint write response forthcoming . advise credit card company sham . credit card company check hotel , produce invoice claim fact stay . dispute ongoing hotel take phone call . I would advise anyone give hotel wide berth , unless want pay 4 star price stay 2 star hotel side London . 
 Feb 22 2007 	 great rate small nicely refurbish . 	 stay single traveller single room . room small everything need . get deal Clarion reading review ( thank ! ) .I change room asigned smoking room begin . reception staff helpful not mind move all . the corridor narrow maze find room get back lift soon get hang it . the bathroom clean newly decorate . shower glass screen useless someone else point leave bathmat floor dry water . water pressure not great shower rush nice warm shower could not complain . I think room come tea coffee facility great also Wifi not use this . it pleasant stay use hotel future . 
 Feb 4 2007 	 worth Try 	 agree previous review stay hotel depend room . luckily room fine . room 109 . read many review website concerned stay hotel . say pleasantly surprised room . yes , tiny . bathroom tiny . clean hot . assist room bellman . never happen . helpful . shower plenty hot water good water pressure , shower curtain , small glass wall keep water shower .... not work well . not really careful , bathroom cover water . use caution fine . location great easy access Hyde Park two tube station two different line . block busy road many restaurant selection will not go far meal . during checkout hear another couple complain people enter room three time night . sound scary .... use caution . 
 Feb 1 2007 	 much well expect ! ! 	 honestly do not know people expect hotel ! stay one night £ 55 ( even Travelodge would cost £ 70 check ! ! ) read reivew seriously think cancel can not stand hot hotel room ! however , night nothing cheap be not crummy B & amp ; B decide stick it . the reception well present staff happy help . room ground floor . room bit small enough space move around ' ve certainly stay small place ! boyfriend well 6 ' do not problem ! decor really nice modern bedroom bathroom . massive LCD tv ! fair , room may really differ book fairly last minute manage get decent sized room . please do not put hotel previous review . price excellent london consider get , like say , somewhere like Travelodge could easily cost lot lot less . it be also well situated near 2 tube station ( queensway bayswater ) negative aspect be not much go area , however , be much London 's reason hang around place day ! 
 Jan 22 2007 	 comfy clean hot small ! ! ! 	 second time ' ve stay hotel , purely location great price low . first time disappointing room small mean small ! ! also warm stuffy even window open . January admit room well . slighly big , step room nicely decorate . conclusion therefore opinion hotel depend solely room staff pleasantly show around good available room . happily recommend hotel like budget require CLEAN pleasant room . 
 Dec 30 2006 	 4 * ? really ! 	 stay 1 night . nice location wish could say hotel . staff pleasant room cramp . " Executive Room " window leaking , phone broadband faulty . bed comfortable , bathroom & amp ; loo cramp . use torch get room corridor fuse blow nobody able fix fault next day . borrow electric heater hotel reception , surprisingly turn faulty . check 1 day check Ramada Ealing ( great value money ) . 
 Dec 30 2006 	 small ... small 	 hotel typical brittish one . first arrive astonished lobby full old dusty wall - paper , antic furniture screaming clean , floor - rug feel suffocate . room not well - thing , small . bathroom small enough child maybe . almost not stay bath tub brushing tooth . summer , window could not get open much , manage open , difficult keep open . we kitchen something , almost & quot ; cooked & quot ; . window look fire - escape , think anyone could reach window street - feel not good . friend room problem cockroach , , fortunately , not . breakfast so - so , nothing special . so , overall , not good experience hope , not disgusting . know will not stay anymore ... 
 Dec 24 2006 	 Pokey little joint ... good location . 	 late flight get last available room , even though would pre - booked family room . room small missus want open suitcase , daughter stand hallway outside ... seriously . ( edwardian era ) elevator crank away loudly night , central heating adjust - able . freeze cold outside , endure fitful night ' sleep small double bed 30c temperature . english love warmth , extreme . nice location , area full people seem consider tourist akin something may step . handy Kensington Palace Gardens / Notting Hill etc . 
 Dec 13 2006 	 4 * ? not think ! 	 understand hotel claim 4 * . be 2 good . stay one night thankfully certainly could not stay another . I arrive friend around lunchtime tell room ready ( fair enough ) return 3 . look bag whilst away . 's good bit ! return show room expect look bit like one website ( foolishly ) could not believe eye see room . small hotel room ever see . 3 step bed wardrobe sort mezzanine level bed bathroom , speak bath could fit one person time . lean toilet shut door behind ! immediately complain not expect move another room bath one level . , small room not website thinking might look . 5 minute discover floor wet ( take shoe ) , fridge not work plug sink call reception send someone take look whilst go bar . when go back Reception ask do tell female receptionist nothing could floor , fridge sink offer another room basement . porter take bag go take look 3rd room space hour find room window seal shut , otherwise seem fine . begin settle get ready go etc discover tv not work call Reception say probably battery remote send porter change not work . 20 minute finally give say be break . time enough , rang Reception ask room dry floor , fridge work , sink plug , tv work window open ( way , hotel boil hot way reason need window open ) tell room fit criterion first one go one 2 level . gave move right back start ! , real disappointment ! actually look forward weekend away 4 * hotel come back disappointed . we not stay breakfast one drink bar ( massively over - price ) .I certainly would recommend hotel anyone would love find possibly 4 * hotel . I stay lake district previous weekend 4 * hotel world apart . absolutely gorgeous hotel trimming . 's idea 4 * not go Shaftesbury surely disappoint ! 
 Dec 7 2006 	 Unique Service 	 Clarion Collection Shaftesbury Hyde Park Hotel London . top Marks ! many place name , lose nearly 100 pound cash , not even notice fact check another city , hotel staff acknolwedge find money put safe - keeping ? .That 's Clarion . , speak volume professional value hold staff Clarion . November 2006 check Clarion flight New Zealand . desk staff friendly , courteous helpful . shock small size room ( delux double ) find later different similarly grade hotel London . room well - appoint clean conveniently locate good shopping , underground Paddington Station . big plus comlimentary broadband internet access . stay 3 night helpfulness staff consistent time . warmly recommend Clarion traveller . 
 Dec 3 2006 	 terrible attitude ! 	 friend book twin room -- -.com extremely disappointed service receive . hotel staff make mistake reserve single room us reluctant offer we alternative arrangement . eventually offer we single room happy , however room opposite end hotel . remain polite courteous staff rude arrogant say not acceptable . offer 2 single next show leave stunned disappointed . ridiculously small , infact bathroom home big . walk suitcase unable even turn round without first put case tiny bed . extremely poor quality far cry expect . make matter worse , overhear chinese tourist complain intense heat room . reception staff rude casually announce air conditioning hotel . absolutely stiffle tiny room . refuse stay demand money back . refuse take matter -- -.com . pay little extra hotel want expect abit class get bad manner awful attitude staff . wholeheartedly advise people avoid hotel . end stay beautiful hotel next street call Central Park nearly half price Shaftesbury include breakfast . room spacious clean staff lovely . go instead ! ! 
 Nov 18 2006 	 generally bad hotel 	 pro : -close proximity Queensway station ( start poing go anywhere use tube ) -nicely decorate furnished room ( room appear newly re - decorate ) -let 's say friendly staff - a cozy cute hotel bar - towel change every day - flat screen tv - keycards ( get two 's two room ) con : -wooden floor cover carpet ( minor issue ) -very narrow hallway ( width big suitcase ) -not easy understand english spoken staff - extremely small room bathroom ( even consider book ' deluxe ' room ; enough space walk one direction one time ; recommend claustrophobic ) -empty minibar - very low pressure bath / showerAll , ok time hotel - probably would go . 
 Nov 16 2006 	 good value beautiful bathroom 4 * 	 great hotel sleep . stay 1 night mum go see show . room great , little small . bathroom could fault . booked twin , get double- staff reception helpful . plus side , ask milk tea room- knock door within 5 min replenish . not use breakfast dinner service rate . sister stay room 611 , single , stay room stunk damp , wet carpet window . price fault , stay expensive travelodge pretty , close 2 different tube station , 3 stop west end , great . 
 Nov 14 2006 	 bad review 	 hotel bad review although agree sure manage obtain four star . pay £ 55 room consider location think hotel good value money . two minute bayswater Queensway subway . check painless , however receptionist 's direction room & quot ; way & quot ; . agree previous reviewer comment feel like Gulliver . room low ground floor narrow corridor , small overnight case . think would struggled manoevre way anything large . apply room , everything small . suppose executive double . fine would bit tight anyone else room . open double wardrobe find actually four inch deep could accomodate iron ironing board . shower room impossibly small ; sink tiny shower tray likewise yet shower head disproportionately large . however everything newly decorate clean small fridge like . problem . bath towel bathroom take two phonecall deliver . promise free broadband , however work . might little thing hotel hotel directory , none find . room roast , temperature adjustable radiator room even turn right do not make much difference . finally importantly bed bit wonky lumpy - conducive sleep . thought could get comfortable bed may actually use hotel fine purpose . 
 Nov 6 2006 	 Hotel Good Bad 	 hubby stay 6 night 29th October 2006 4th November 2006.although encounter problem hotel , not mind overall experience hotel reason . probably place stay week ALOT bad ! ok , positive first : yes room small , expect small not phase ; free broadband internet room , hook laptop away go . find connection pretty fast well . hotel charge fortune use internet room , BIG positive ; staff front desk porter fairly friendly / helpful , although check / check get quite hectic - sometimes wait awhile query answer people everywhere 2 people front desk ; great location next Hyde Park , close Queensway Bayswater tube station ; negative , must say mainly housekeep rather front desk / porter : try check 9 am Saturday room not ready , fair enough .. leave luggage .. ok . negative come back 1.30pm not ready , back 2.15pm not ready ... not 3 pm ready housekeeping behind clean room ; last night , housekeeping replace bathroom 2 large towel ( small towel replace ) . 9 pm call reception ask 2 large towel tell would send . 10 pm call apologised porter busy send . 10.30pm husband call say send right away . finally someone door tell we large towel leave ? ? ! give we 3 small towel . not really enjoy dry shower next morning face washer ! ! problem laundry day something . the grumble would find housekeeping day overall sloppy . one day tissue not replace . bath / shower not clean well . 's . not use restuarant / bar hotel can not comment . lot restuarant / bar around bayswater anyway . overall , bad experience . 
 Nov 2 2006 	 worth 75 pound night 	 room way small space second suitcase . room hallway elevator hot . get fan room . street noise ask move back hotel . however , tell even noiser back . shower adventure . shower curtain , step tub side , recommend elderly . opague window bathroom door silly . other room see business . bed small . foot stuck end bed , ' m 6 foot . internet connection free light really low room . I guess force bar $ 7 beer . room nicely appoint , modern , staff friendly , location good near 2 tube stop different line . overall clean . 
 Nov 2 2006 	 great value money : 	 lovely hotel . book twin room son , hotel offer two single room rate . hotel lovely area numerous restaurant shop . two tube station within five minute walk . room small clean large flat screen tv . internet access free staff helpful . 
 Oct 29 2006 	 would rather spend Night Jail 	 bad hotel ever stay . wife arrive send deluxe double room accessible without climb many stair lift stop second floor . room tiny room ever see pass bedroom . ten inch bed three wall . bed push fourth wall . one we stand bed want pass . store suitcase bathroom . I immediately go front desk feeling must error . tell , deluxe double . staff member show five room none well . this horrible hotel ! ! ! ! ! 
 Oct 26 2006 	 rabbit Hutch great hotel Dwarfs CLARKE JONES 	 Great hotel ' thirsty 11:00 pm either stare borrower Dwarf ! 4 star , room ridiculously small refuse open hotel bar 11:00 pm 9 us meal . good location room well equip LCD flat screen tv ' let face - room conventional tv ! would stay ! 
 Oct 25 2006 	 Excellent Quality Fittings 	 Lynn - NorthamptonshireI read many review hotel somewhat amazed write . sure people expect London hotel offer single room web £ 59 per night contain modern facility flat screen tv , Brand new luxury fit bathroom , good quality bedroom fitting etc . find hotel lack nothing . want spend day room comment would room small want spend time enjoy city sit room ( assume people come great city ) . reception staff especially second none case store & quot ; free CHARGE & quot ; till 7.00pm day go home even though check hotel 10.00am . feel must write review nearly cancel room due negative one , luckily not disappointed . look good value money hotel . however want luxury ' possible spend day hotel cost £ 100 plus single room check RITZ £ 150 per night . I one use hotel sorry people may miss bargain due bad review ! 
 Oct 25 2006 	 Gulliver land little 	 arrive book double delux Hotels.com give key room 301 . room small stairway lead bed platform -- closet locate along stairway wall bathroom also side stair . way luggae could fit ( travel 2 small carry - on suitcase ) . think must error , could not double delux . husband go desk show several room -- tiny delux double . finally end room 217 tiny alcove could use luggage set laptop . internet work half time . lobby overhear one phone conversation another customer want big room . bathroom tiny person could hardly turn around . feel like Gulliver land small hotel . desire live doll house ticket . 
 Oct 23 2006 	 lovely hotel . 	 stay 2 night 14th & amp ; 15th October find lovely hotel . I book standard double room last minute.com good price 4 * london . hotel great location also . the room small boyfriend not find problem , enough space walk around bed get bathroom etc . anything size make cosey . the room decorate wonderfully , bathroom clean modern , bed comfortable television huge ! iron board wardrobe seem pretty pointless idea excatly would put luckily be not need ! room stay 3 step lead actual room right behind door ! careful stay 502 give warning ( probably woman reception rude everyone say ) could accident . other female receptionist , staff polite friendly . overall great weekend break . 
 Oct 5 2006 	 rate 4 star ? 	 so - style 4 - star hotel abysmal . arrive think location seem good , first impression lobby favourable ; marble floor , tidy small , plenty staff . change quickly . give Room 902 - never take room ! firstly , lift go 8th floor . good . help porter lugging bag arrive room . even laugh open door .... not room stand two case end , go bed . bed fill sleep area end end , impossible get side except go . sheet dirty . cobwebs corner , probably cleaner could not get bed ? fridge , despite list claim room one . ironing board - to set , not know . tea facility far side bed , clamber carry steaming kettle make cuppa . toilet drip night . power shower , would not even wet hair . little skylight not close . boyfriend could operate tv foot bed short , despite take whole room .. offer another room air - con instead , basement . we leave next morning , keep deposit . must make money way ... 
 Oct 5 2006 	 Nightmare 	 book corporate travel agent . upon arrival hotel never hear . hotel manager work reception ( badge ) berate front guest print confirmation . 7 pm , fail reach anyone office . hotel people tell go wait agent search 200 web site find booking . half hour watch people go reservation problem , ask manager , get rude woman . she continue berate ' assume fault ' , tell responsible travel agent messing . rude loud , impossible normal conversation . patient person , would sense humour sort booking issue next day , simply give room meantime . I give option wait indefinitely lobby find booking , pay advance two day walk - in book cancel travel agent booking . could not cancel agent , be pre - pay , tell could ' confirm past booking ' get refund . eventually half hour wrangling manager , agree ( visibly angry ) put room pay front card , come next day confirmation , would refund charge card . it therefore take hour discord get tiny , semi - functional room . a / c problem mention previous review still happen , room hot . window wedge open without stuff curtain behind , make light shine brightly room . hallway bed claustrophobic , could not move past iron board set . dangerous iron shirt could not move safely around iron board . corridor absolutely must fire hazard . water pressure . next day come back confirmation , desk . tell receive confirmation morning , late , fault travel agent . agree refund card , continue tell fault . notice confirmation ' hotel confirmation reference ' , include staff name . tell confirm person work hotel reservation department , mean indeed confirm reservation travel agent day book , not enter system . so long , multiple conflict hotel manager mess , take mistake customer . completely unacceptable . the last day , problem check , try charge first day 's breakfast ( pre - pay inclusive travel agent ) , demand confirmation . say pay , ask read confirmation . manage get sort , delay departure . never . 
 Sep 19 2006 	 bad treatment ever ! ! ! 	 reservation deluxe triple room one night Shaftesbury . book hotels.com four star hotel , get good price triple room . Thought would nice hotel newly refurbish newly open ( since April year ) . lobby well decorate clean . think , far good actually start look forward stay . upon check - in young woman tell we deluxe triple room hotel going send friend another hotel . ask star rate one , 4 star . say yes . arrange taxi we pay . probably overbooke pretty well hear phone say : ' get transfer , yes another one . ok . taxi take we Bloomsbury hotel call Euro hotel . frontside promise decide give chance go . find 3 star bed breakfast ! ! ! send we 4 star hotel 3 star bed breakfast ! possible ? usually hotel overbooke send another 4 star hotel upgrade 5 star hotel , send we bed breakfast . ' get wrong bed breakfast nice , clean small staff helpful , book want . lady own bed breakfast helpful . show we fax Shaftesbury send Euro hotel . say please disclose rate guest . though already pay room know price . accord fax , Shaftesbury go pay room Euro hotel going take rest . shaftesbury 200 pound Euro hotel 90 pound . also call hotels.com furious . find also strange Shaftesbury hotel would downgrade we upgrade . say going refund we 200 pound also 90 pound Euro hotel , compensation . would recommend hotel Shaftesbury anyone , unless want treat badly , obviously staff ' know anything customer service . fortunately phone number Shaftesbury still ' call . believe go , soon , ' know yet . think clear ' ! never , ever go hotel ! 
 Sep 16 2006 	 cheap ridiculously tiny ! 	 well , location good - close tube station walk distance park lot attraction . room ridiculously small - avoid room 522 ! standard double two night stand wall - foot bed measure 6 inch space walk past - flat screen tv wall mean slide along bed instead walk past end ! really wonder health safety aspect ! nicely decorate bathroom fine - comment state , air con bust flat screen tv work . alone hear many other complain reception staff seem hear shrug ! suppose get pay - £ 60 night cheap since 8 hour job . not expect decent size room hope not need get bed visit bathroom night without clamber across bed ! 
 Aug 22 2006 	 please avoid 	 start one lift dodgy one work . go hotel room , tiny , discover terrible damp smell find floor absolutley soaken . much complain get move another room ninth floor even small least dry ! ensuite enough room turn around tile still spacer grout . a / c not work instead fan take little space available . hotel suppose recently refurbish , would like see hand . favour , choose another hotel area good location . 
 Aug 19 2006 	 big disappointment ! 	 quite experience mind … good bad , enough bad girlfriend decide would never go back . on plus side , room nicely decorate appear refit fairly recently . bathroom fitting new , pretty well fit . tv nice new Philips widescreen lcd . ' really interaction hotel staff difficult judge . hotel situate within stone throw Hyde Park Queensway tube station . on negative side … well room might nicely decorate tiny . let put way . double bed fit , literally step bed bathroom . really enough room walk , sideways , bed wall . bathroom really nice , , tiny . bath , sink , door wc available space approximately 1 square metre … less . in - room safe exist , either fit steal . air conditioning whole hotel fail repair stay , fact look like fairly serious problem room , presumably other , portable aircon room . good try , really good enough . window room dirty initially think cover net … open window keep cool , even portable aircon unit . unfortunately ) window swing open style around central vertical axis would stay open without use curtain wedge b ) remember say size room , type window … well watch head ! fridge room , stock . uncertain whether ' actually work , whether forget whether ( 4 star ) hotel policy ! ' also find something odd hotel open ' April 2006 ' state public area décor . lift … use stair able . all fairly typical tourist class hotel central London , would never stay . 
 Aug 8 2006 	 like 2 star 	 wife book hotel 10 night basis website state hotel recently open April 2006 room air - condition . when arrive , two porter interested chat help we bag . reception desk , least 20 people waiting check , wait least 30 minute . when finally check , show two lift look like Churchill 's day . one lift work wait 5 - 10 minute lift come . meanwhile , porter take bag busily try sell we various tour / taxis 's affiliate with . our room ninth floor get eighth floor walk two additional flight stair . open door , could believe eye . room size closet . literally , one guest eliquently describe , & quot ; bed surround four wall & quot ; . room move window tiny porthole small one would find greek ferry . water trickle shower bath tap toilet leeke water constantly . immediately ask room change tell hotel fully book out . the next day , manage move we slightly large room one floor still roof attic building . room overlook Inverness Terrace one noisy street Bayswater . opposite hotel backpacker hostel night , could hear shout police siren . make matter worst , 5:30 , wake loud banging door . turn fire alarm go ( hear room ) need evacuate building . quickly dress walk 9 flight stairs street tell false alarm . real fire , would roasted alive ! unbelievably , struggle stay hotel . the next day , air - conditioning room break . enquire politely tell whole building without air - conditioning 's nothing could . ask fix tell know . stage receptionist duty manager apologise guest condition hotel . constantly overhear guest complain heat various problem hotel . attic , room unbearably hot . continue like 2 day . finally complain , provide we fan blow hot air around . finally enough 7 night hellhole decide cut loss move another hotel . tell duty manager decision , say air - conditioning advertised website . say booked room reluctantly admit remove recently . this hotel potential completely stuff decide open without basic infrastructure place . staff ( duty manager cleaner ) train probably . example constant knock door cleaner morning despite fact & quot ; disturb & quot ; sign door . cleaner speak read English could reason & quot ; disturb & quot ; sign meaning . even , basic training could solve lack English . stay vacumm floor , change sheet wipe bath . one time , even leave door open finish totally shock return afternoon find room completely open public . service lift cleaner bag bag use towel occupy work lift , make good 10 minute wait lift morning . we stay numerouse hotel around world hostel 5 star . get pay hotel advertise 4 star , well infrastructure place back . take much make hotel stay enjoyable . clean room , sheet , towel toilet basic ingredient . next come overall well guest ( eg . run water room temperature ) attitude staff towards guest . we never stay hotel ever hope other read review stay well clear hotel . V & amp ; K , London August 2006 . 
 Aug 7 2006 	 IMPRESSED 	 arrive hotel hot weather .. quite tired acknowledge hotel staff arrival . grab attention ask check , receptionist explain transfer another hotel sort trail . be not give clear instruction ask pay ( even though fellow tourist pay room transfer ) . take across london unknown hotel oxford street , rele clue , information give pitiful . hotel transfer thankfully nicer noisy . yet go pay room tell prepay . pay deposit internet tell pay rest departure , instead allow pay wihtout notification charge dad , cause problem . although comment stay hotel , tel u communication terrible uninformative cause one night stop valuable time london disrupt . 
 Aug 6 2006 	 great price 	 book online average £ 62 / night double room . dirt cheap central London time year . remember read review , get pay . back home amount money would get real 4 star hotel , London , . thing expensive . want room style US Hilton , will not find London £ 200 . however , want somewhere nice youth hostel significantly cost 2 people , place . would stay again . the room small comparison american hotel , comparison London hotel . photo show website much big one get book online . maybe pay rack - rate will get one nice big room big window , sure not . end basement room . window let enough light , well enough secure protect valuable . the entryway hotel lovely edwardian , 's red carpet reasonable condition lead . room refinish beautifully dark modern style . in - room internet work advertise ( seem 8M/1 M speed ) free . frankly , , thing matter . one come London admire London , spend time hotel room . that say , be perfect . importantly , airconditione . verballe manager , admit feeder cable power company handle current draw airconditioner time year , air - conditioning turn keep power supply everything else . claim work would commence next week upgrade cable , since will not , wonder sincerity . 's reasonable excuse , especially since air - conditioner instal year , still , end result air - con sweaty humid London . place romantic get - away time year , unless like really hot sweaty . secondly , nice 40 inch plasma tv room , seem policy replace lose steal remote . maybe never remote first place , not know , mean £ 1000 tv 's make good clock ( small clock tv 's frame ) . seem insane leave £ 1000 tv dormant want £ 9 remote , almost crazy notion steal remote control hotel room , maybe not understand people today . staff suggest buy one retailer Oxford St want watch tv . pass suggestion , sorry get room next . remote . thirdly , finally , come bathroom . frosted glass door assure choice use facility night - time light entire room , partner 's chagrin , remain darkness , peril . door curtain bath / shower , extractor fan . additionally , refit finish April ( much later , poster belive ) , brown stain ceiling bathroom room . powdery nature suggest mould , pattern look like leak . either seem feasible . the staff seem reasonably helpful , although first three speak never come across concept extractor fan bathroom management less forthcoming exact cause lack airconditione , someone help we room bag . , be north america , probably will not like staff , not worry , be nothing personal , be fish tip like many ' ve meet back home . I not check yet , assume be go try trip hide charge . seem honest enough . all though , great money . 
 Jul 31 2006 	 not bother ! ! ! ! ! ! 	 first impression good 's far go ! & quot ; room & quot ; size postage stamp , although decor nice , large room fancy would well . the website book hotel state room air condition , arrival realise version air con fan ! ! query advise not work due electrical problem even though obviously work reception area ! ! impressive flat screen wall mount T.V also work ! fridge not work either , along bedside lamp ! make stay uncomfortable especially temperature 33 degree ! ! bathroom ( although beautifully decorate ) also small , make shower bit tricky say least ! ! also alarm see guest meet reception make complaint hotel .this first choice hotel definately return ! ! ! 
 Jul 26 2006 	 thief ! 	 want offer long week end ( jul . 10th ) London small family get book & quot ; deluxe & quot ; hotel nice room well locate . clearly write request & quot ; three adult luggage & quot ; .When propose tiny little room airco sense prison cell garbage hallway , go back desk propose sleep another Shaftesbury premise show room basement single & quot ; petite & quot ; window ... impossible we stay uncomfortably three night ( want London good souvenir kid ) , run off . they charge card rough 500 gbp ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! never , promise ! 
 Jul 24 2006 	 terrible shame London 	 Booked Hotel one night . web site state A / c . first thing check , Reception say Air Con available outside temperature 30c day day heat London . complaint get assign single room work A / c . room horrible small , rather closet room hot humid ( A / C work ) . bathroom water come ceiling badly smell . way . go back Receiption ( many people day lucky check around 1 pm ) . got another room top floor . double , little big see two adult stay luggage . room A / c terefore nice cool move . however , simply space . nice big flat screen tv , good channel available . unfortunately room window ceiling ( well top floor ) , sun shine face around 4 morning . possibility close window curtain anything similar . top floor access elevator , small step climb small floor . nothing want luggage . not seem Hotel Bell Boys available help hotel guest .what horrible stay , mention , Hotel Bar , Restaurant Minibar room . say , never , shame , sure Hotel refurbish recently , do worth price ( even reduce fee stay ) . 
 Jul 21 2006 	 Shaftesbury Hyde Park Sauna - mildewy experience 	 oh wish find Trip Advisor book hotel . book via another website , shockingly , hotel list & quot ; highly recommend & quot ; area . during stay air - conditioning work , time record heat ( mid - July ) . haul heavy luggage narrow flight stair instead take lift advertised . ah well , think least could pop ice fridge cold drink - however refrigerator work . hotel room smell wretchedly rot mildewy carpet mould due overflow ensuite soak bedroom carpet . impossible avoid , entire ensuite ( include toilet , hand basin shower ) approximately 1x1 m wide drain not - even show night 32 degree heat , entire floor still awash water follow morning . actually possible stand crossway shower area without one shoulder touch wall hip hit basin . even window could open properly provide sort ventillation room . problem : informaiton room can not telephone reception ; newspaper , trouser press hairdryer advertise ; poor cleaning ( stain coffee cup , half - use shampoo bottle previous guest leave ) .Staff unable help apparently hear - start complain issue manager finish sentence chance . one staff member even say sorry stay place ! shame room would fine ( though small ) minimum basic maintenance spend fix air - con drainage problem . ' ve clearly spend fair bit re - fitting , make actually functional ? least plasma tv big . big - ish , anyway , relative size room . oh boy , pump lot heat tiny little mildewy sauna room take ! 
 Jul 6 2006 	 good location great price ! 	 nice hotel stay newly refurbish also value money get . I book room £ 69 think inxpensive 4 star hotel must say lucky think must introductory price . as enter lobby astoune decor traditional value preserve refurbishment . the set back stay air - conditioning working day stay hotel hot day 32 degree temperature . but must say staff willing help provide air cooler cool room put ease . the additional advantage breakfast choice continental english breakfast enjoy most . also must mention bar get cozy atmospeher hence perfect place quite romantic evening partner . the room well decorte LCD screen tv free broadband internet access help touch family . to sum good place stay strongly recommend friend family . 
 Jul 6 2006 	 shame ... 	 be often go London , rare not stay friend ' . occasion girlfriend 's birthday , seem right make bit special . book ' superior ' room well advance ensure would good one . arrive morning find hotel without problem . little disconcert arrive reception , wait check - in behind two group people , complain service hotel condition . hope experience would one . sadly ' , every subsequent journey past hotel 's reception , witness another guest making complaint . we forewarn room give ' quite compact ' , air - condition . give option leave bag come back later afternoon , whereupon could big room , one without air - conditioning . due workman outside hotel hold back pneumatic drill , preference keep window close air - con blasting ( hot weekend ) , opt ' compact ' option . 9th floor . this involve carry bag lift 9th narrow corridor , flight stair floor ( eave ) must servant ' quarter , back build home . I finger cross ' compact ' exaggeration . sadly , rather generous description condition . double bed thing could fit room , perhaps , 1 foot clearance side foot bed . bedside cabinet , table tea coffee make facility , small wardrobe , smart HD ready LCD tv wall foot bed ( carefully navigated attempt get far side bed ) . mean nowhere store luggage . sadly even LCD tv unnecessary signal pipe room poor , channel unwatchable , rest degree imagination . the bathroom small functional everything clean tidy - cleanliness fault . decide keep room , basis ' well devil know ' , least cool . spend day visit sight return hotel find bathroom 's flaw . shower barely trickle . power low water follow gravity , tilt shower - head make difference direction water . , sadly , feature appreciate hotel room , one big frustration . on leave hotel ( have check morning leave bag we collect catch train home ) , wait 10 minute bag return we , provide prompt taxi back Paddington . all , try stay , stay long , luggage without ability return home get proper shower , would make thought know hotel ' management . however , seem two - penneth would surplus requirement complaint guest cover mine . ' delightful building great location , state everything keep clean tidy , staff polite . sadly seem management lack thing generally seem disorganised . lot work patience require make pleasant stay . disappointing . 
