excellent 	 actually purchase room priceline sure expect price quite reasonable . arrive hotel pleasantly suprise . lovely hotel extremely helpful front desk staff . beautiful public space room comfortable free minibar wonderful hot shower . location perfect well heart Mayfair . Hotel highly recommend . 
 beyond expectation - perfect location amazing service . 	 fabulous place stay adult traveler family . stay 2 kid ( 8 6 ) - child 's concierge amazing ... bring movie , Wii , Monopoly , kid ' map , ... - give kid plenty activity content long day sightseeing . perfect location - across park , quick walk Buckingham Palace walk distance ( 10 min ) Westminster Abbey , Big Ben , London Eye , short walk tube station . staff attentive accommodate every request . would absolutely recommend hotel stay . hide gem ! 
 Fabulous Hotel 	 truly fabulous hotel , book hotel laterooms.com romantic break partner . arrive hotel staff polite friendly ( yes doorman ! : ) tell upgrade apartment nice bath , huge bed , living room kitchen . bed comfy partner trouble get morning . the nice late check mean could relax use sauna spa room well equip gymAs fleeting visit not time use bar restaurant look fabulous . I would recommend hotel without hesitation . centrally locate two min walk Greens park tube station hop skip Buckingham palace . see show evening 10 minute walk theatreland West End 2 tube stops.fabulous fabulous fabulous ! stay Athenaeum hotel want glorious time London . Georgina Hurcombe Documentary Producer 
 Apr 3 2009 	 5 star standard good food 	 Husband stay one night last March- much need night 3 month old baby . live London want stay nice hotel centrally little break rigour new baby . book 5 star get good deal last minute dot com . we disappoint quality- expect 5 star . room tiny particularly luxurious- high partial view park though . next lift shaft constant noise ask move promptly . move low floor imagine expensive room nextr room big indeed , standard decor etc . the bathroom standard fare- marble counter top etc , toiletry awful , synthetic luxurious , 5 star . we eat restaurant makeover lovely , warm space- approach really cosy bar area . perfect romantic meal- shade pink gold table close together . food excellent good value . I would recommend Athenaeum get deal internet otherwise definitely well 5 star option central london- Dorchester one Churchill portman Square fantastic place luxury room great breakfast . 
 Apr 1 2009 	 good location great staff 	 really enjoy recent stay hotel . standard room small one would expect city central hotel room , staff welcome helpful would recommend hotel anyone . make world difference get sense genuine hospitality . 
 Mar 17 2009 	 great hotel great location ! 	 stay night whilst catch friend London . Booked well know late availability site impress hotel ! usually stay Cavendish Jermyn St decide try Athenaeum parent stayed say nice . arrival greet friendly polite doorman equally friendly polite chap reception ( think name Jonathan ) . could helpful also tell give upgrade room ( room 803 anyone be interested ! ) . room fantastic - view across Green Park - spacious spotlessly clean . nicely furnish even swanky coffee machine , cd player minibar complimentary chocolate , nut , crisp soft drink nice touch . ' m guess would Executive Room upgrade availability - nice . bathroom nice powerful shower plenty fluffy towel . location perfect - short walk Green Park tube close Buckingham Palace , Fortnum & amp ; Mason wealth shop Piccadilly Regent St. also 10 - 15 minute walk Leicester Square . also lot great restaurant nearby include nice Shepherd Market area step away . would emphasise lucky enough give upgrade room whilst parent stay standard room - however absolutely complaint . not think park view happy . find staff really friendly helpful definitely & quot ; big hotel & quot ; indifference . really seem care make sure guest nice stay . quality accomodation price pay feel Athenaeum extremely good value would definitely recommend stay . 
 Mar 15 2009 	 incredible staff wonderful Hotel 	 husband & amp ; lovely 40th wedding Anniversary Weekend Athenaeum Hotel , staff friendly & amp ; helpful . special thank Diane organize room upgrade . return soon , thank much make special . 
 Mar 11 2009 	 Hypnos Beds Fantastic breakfast Super friendly staff 	 fifth visit Athenaeum last three year . hotel currently shroud scafflde exterior work do . finish soon . usually bad sign . . show room bubbly front desk girl clearly love job . room recently renovate spotless . maintaned lovely marble bathroom , put new large flat screen tv's . after two night luxurious mattress wife look see kind wa voila , Hypnos bed . bedmaker Queen particularly good like allergy dust mite . home wake every morning feeling stuff , problem . great time we consider buy bed , want sure worth high price . thank Athenaeum go ahead purchase complete confidence . fantastic side benefit return hotel . breakfast serve modern smart restaurant excellent varied . staff front desk , concierge , bellman , restaurant staff really seem love job . see repeat visit , think good sign . I hope glow review much make hotel much popular ( selfish know ) . 
 Mar 9 2009 	 worth money friendly service 	 book lastminute many ppl recently birthday trip bf . we actually walk past hotel time could not find refurbishment work go outside . we apartment way lovely view office block worker watch we . the room twin , receptionist show we room comment oh dear , twin - will make double - bed push together . comfortable . the thermostat set 32c get -so put aircon , noisy night ! filthy insect sink ( think silverfish ) morning . the longlife milk frisge date tea morning . appauling consider 5 star hotel . 
 Mar 8 2009 	 uniquely design room pleasure . 	 room public area hotel fairly plush well design luxurious feature . stay one night fly overseas take opportunity go west end . fairly easy walk Piccadilly Circus Soho , pass St James ' Park Buckingham Palace ( opposite hotel ) , bus stop right outside take heart thing less five minute feel inclined . the side would willing raid minibar , ahem , thirsty definitely starve price wall . hotel charge five quid kitkat ? 
 Mar 6 2009 	 get well 	 second time stay get well . build work upgrade apartment 13 stunning . staff welcome freindly . whole place lovely feel unlike lot 5 star hotel London . definately stay . 
 Jan 29 2009 	 brillian birthday 	 brilliant stay celebrate Wife 's 30th birthday . because build work do front build lovely woman reception upgrade we apartment ! needless say world . Grand , charming , spacious clean . we could not get attentive staff . would bend backwards we feel well truly look after . I ' m sure renevation work complete Executive room front would adequate . the spa also top draw . exactly massive steam room powerful jaquzzi well worth visit . will definately come back ! ! 
 Dec 27 2008 	 friendly hotel excellent staff ! 	 boyfriend return home spending week Athenaeum Hotel London . stay excellent staff amazing ! treat like special guest every member staff pay real attention we whatever need . book agent Greece standard double room upgrade & quot ; Green Park view & quot ; one soon check . room newly refurbish nice furniture fresh colour . everything brand new excellent condition . view bit obstruct scaffold ( renovation go ) will not last long believe . restaurant bar great . everyone polite eager offer service . even beauty salon great ! selim reception sweetest friendliest guy ' ever meet 5 * hotel - travel lot , usually stay hotel like Hilton Sheraton . location Piccadilly extremely convenient . 15 minute walk Oxford st . , Knightsbridge , right next Park Lane Hyde Park . I ' m glad select hotel be definitely go back . feels make new friend London ! 
 Dec 26 2008 	 worth price 	 work Christmas party take place close hotel Lastminute.com wonderful deal hotel thought would take advantage it . we inform building work take place hotel disappointed view Green Park replace plastic sheeting . also expect come bathroom wear towel find 3 work man stand right outside window . in morning really need sleep party excesse drilling start around 9.30 unable rest . in addition not actually think hotel worth discount rate pay let alone full price . bedroom small side , tv mind 's , bath small sit leg bent plus not great deal hot water . there far well hotel London fraction price . 
 Dec 15 2008 	 bad 5 * hotel ' ve ever displeasure stay ! 	 suppose great weekend getaway wife , well , consider spend good money hotel , say disappointed say least understatement ! good thing Athenaeum hotel door man , Jim , man real gentleman , shine example door man . not , doubt would spent night . treat wife , like make gold , amazing ! hotel room though , check , informed upgrade normal room newly refurbish executive room , think great news . however get room find long black hair bath , bed , consider wife blond , know not , already bit disturbing . also , find stain pillowcase , type cleanliness expect 5 star hotel centre London . cupboard door would not close properly either , plain annoying , especially consider recently refurbish executive room . one issue room little porcelain cover top cold tap label & quot ; Cold & quot ; chip keep fall sink , underside sink filthy well . there also renovation go hotel never mention book , well timeless & quot ; Green Park view & quot ; advertise , well ruin renovation work go moment , look window , see scaffold red netting , timeless . also phone downstairs Sunday morning get bag retrieve car bring room , tell would 15 minute time . well , 15 minute come go , even phone say go breakfast , would pick bag reception . breakfast , go reception desk , tell receptionist go wrong person car , adn could not find bag , could not remember room in . it seem other great experience hotel , atrocious , never go back hotel . honestly wonder hotel receive 3 star ! honest , ' ve always great luck last Minute , occasion feel honestly let , feel like waste close £ 200 occasion . feel last Minute least update listing reflect renovation go present . 
 Nov 17 2008 	 amazing ! 	 stay hotel boyfriend 's 30th birthday find hotel staff fantastic hotel wonderful . contact hotel prior visit pay room upgrade champagne birthday . arrive hotel upgrade we amazing suite even birthday card wait . apartment fantastic staff ever friendly . would definitely recommend hotel experience fantastic . 
 Nov 6 2008 	 great place stay London 	 stay one Apartments attach Hotel 2 small child , plus single Hotel mother - in - law . fantastic place stay London - will never stay anywhere else future . love kitchen fix breakfast coffee - several time go local store bring home prepare food heat kitchen . benefit apartment , also get fantastic doorman hail taxi help luggage . Awesome stay London - recommend highly . 
 Oct 31 2008 	 amazing brilliant staff beautiful place 	 book ' top secret ' hotel last Minute . within half hour make book one team hotel call see anything extra have like , occassion etc . wedding anniversary tell decline extras ( £ 50 bottle champagne could manage ) .When get hotel exterior work , noise . check inform upgrade apartment show beautiful place , lounge , kitchenette , diner huge bedroom beautifully decorate furnish . staff member show we genuinely keen make sure happy seem make happy pleased - rare thing hotel find . card wine , really nice little touch mean everything . all staff helpful , polite condescending ( something find frequently London hotel ) keen ensure enjoy ourself need etc . even remind we clock change ! cocktail fabulous ... would love go back , maybe try restaurant . I think new favourite hotel ! 
 Oct 27 2008 	 Fantastic 	 return weekend break London husband 30th birthday . book hotel one ' last minute.com ' mystery 5 * hotel want near west end . hotel confirm send email upgrade standard double room executive room extra cost £ 30 ( make nightly tariff £ 150 ) . arrival inform upgrade we one bedroom apartment free charge . situate back hotel private entrance . stay apartment 17 ( house 3 ) impress size , cleanliness , quality . ideal stay long one night , happen facility require brief visit ( although much appreciate enjoy ) ! hotel place birthday card husband room , nice personal touch . we eat hotel restaurant ( Damask ) food lovely , staff fantastic , effort make staff celebrate husband birthday write happy birthday chocolate around dessert plate ( thankfully , candle singing ! ) . price restaurant reasonable cost £ 26 pp 3 course meal glass champagne . criticism would limited availability room service 11 pm ( mostly sandwich hot food choice ) , lucky enough stay apartment could stock late night snack ! overall , staff professional friendly , hotel communal area impeccable . directly opposite palace short walk west end . perfect location would recommend anyone . not put scaffold front hotel , weekend not see one workman hear maintenance . 
 Oct 26 2008 	 perfection ! 	 book Athenaeum 3rd year anniversary . arrive early use spa facility tell room ready even though not check time . people behind reception helpful one man kindly show we room . get room blow away . upgrade we apartment mention anniversary . later amazed we bring complimentary wine , fruit nuts room along anniversary card . thoughtful . afternoon tea garden room day service wonderful . everyone attentive great value money . certainly go back truly special weekend . 
 Oct 23 2008 	 Fabulous Honeymoon stay 	 husband spend two romantic night Athenaeum . staff go beyond try help make last two night special . upon check , girl behind desk warm , friendly helpful . room spacious , clean tastefully decorate . watch fabaulous musical every see ( Billy Elliott ) go back room find candle , chocolate , chill champagne rise petal shape heart bed . mean , WOW . wonderful surprise much appreciate we ! ! stay every time ' ve visit London continue loyal guest . look ? service spectacular ! thank Athenaeum ! ! 
 Oct 21 2008 	 Excellent Room Service 	 hotel pleasant surprise , even take account previous comment . welcome good . room good ( despite without view upgrade like many previous reviewer ) . radio good selection channel . handy location - short walk Green Park underground , shepherd 's market , Hyde Park . size position bath something desire - presume thing like rectify work underway hotel . can not comment restaurant eat ( although hotel not push restaurant evening meal ) . also take advantage room service excellent breakfast deliver room . worth take advice early reviewer book travel website . luckily read investigate cost B & amp ; b direct hotel , would significantly expensive compare offer website . little surprising find experience tend show opposite . needless say booked web save £ 60 deal . 
 Oct 20 2008 	 enjoyable stay 	 stay London quite regularly normally stay one Hiltons , recently lose privilege Hilton Honours gold card , long see Hilton chain attractive proposition try number 5 star hotel year Langham , Raddisons , Howard Ritz.etc . this stay ( Oct 08 ) last minute decision book use point obtain credit card booking make EBookers include standard room continental breakfast . we arrive outside taxi ( little disturbed see entire exterior cover scaffold sheet unaware ) taxi door open bag whisk away . arrive hour official check time problem . reception staff amongst efficient friendliest come across London . advise upgrade executive room room almost ready call house keeping give room priority . meanwhile , complete usual paperwork , ask could help we lunch dinner arrangement explain already book lunch restaurant 2 pm go straight Maitre re - confirm also let room number . escort we show we lounge , bar restaurant spa area escort we right room . the room nice size , good order lot character – traditional style décor great curtain ( light seeping morning ) . scaffold outside window walkway privacy issue . room overlook side street side view onto Green Park . table two chair ( nice nuts seeds complementary bottled water table ) , mini bar , complementary tea coffee ( carton milk fridge ) , nice toiletry , dress gown , dvd player , good quality tv quite small beautifully present marble bathroom heat mirror ( although mean get hot left light ) .if anything , criticism would many mirror ( along one wall adjacent bed mirror door two wall bathroom ) – personal thing , prefer see angle ! ! lunch restaurant book Top Table ( lunch 3 course inc coffee truffle glass champagne £ 21 ) . love restaurant – quirky décor quite buzzy first arrive . service good . opt buffet starter good ( although probably well go early lunch sit rather late ) consist selection cold starter include seafood meat , salad etc . choose duck game main course one available offer cooked venison . may due lateness eat find duck venison little over - cook – sign pink sauce serve bit " gloopy " – say , ate still enjoy – could little well . dessert opt crème caramel good . coffee truffle also lovely . – come £ 100 + service think excellent value money consider half bottle taittinger order . we order room service breakfast morning deliver promptly lovely fresh pastry excellent hot chocolate ( although eat much lunch book later ) tray charge room service breakfast . all really enjoy stay . location good us hotel stay really far walk Covent Garden etc surround area nice . service receive throughout stay truly 5 star , room lovely comfortable ( although bed little hard we ) , restaurant excellent value money big issue we personally add compulsory service charge everything – tray charge room service anything – gratuity clearly discretion complementary bottled water – always begrudge pay extra five star hotel . sure return . 
 Oct 1 2008 	 wonderful ! 	 book & quot ; Christmas London & quot ; tour Maupintour stay hotel . first class way - bellman desk staff . stay apartment beautifully decorate antique well contemporary ( , plasma television living room bedroom ) . complaint coffee pot washer / dryer . could not quite figure ... ' m sure staff would ' ve happy assist , make use they . the hotel within walk distance Buckingham Palace , Picadilly Circus short bus ride Oxford Street . location perfect . restaurant staff beyond expectation - address us name time see . top notch customer service training . the food restaurant delicious ; particularly love fresh fruit offer breakfast . we would definitely stay would recommend , price huge issue . 
 Sep 29 2008 	 feel like royality 	 return 1 night stay 5 * athenaeum perfect bliss . arrival upgrade apartment . arrive service brilliant every member staff . bag coat take apartment car park return we ( parking cost £ 30pn ) . total surprise 40th ! ! husband book side side ( n ) back massage facial . girl extremely professional experienced feel totally relaxed afterwards . spa facility compact adequate everything need . unhappy leave return normality . would like say big thankyou hope see soon xx 
 Sep 23 2008 	 Location location location ! ! ! 	 wonderful 2 night Christmas ' 07 special occasion ( propose wife ) ! staff professional . door staff particularly friendly . helpful guy concierge even manage get we last minute table apparently exclusive restaurant call pretty much everywhere not show hint disappointment suddenly cancel effort last moment instead , rather impulsively , opt pop big question middle Green Park night ... romantic place way , Buckingham Palace , Ritz even Big Ben light - up surround peaceful , old - style - lampost - ride green expanse ! room ( park view , overlook say Green Park , honest , main road front hotel reasonable Green Park view beyond ... well room 3rd floor ) small side , guess 's par course London ! remember request simple thing like shaver toothbrush could not believe supply standard pricey establishment , house staff extremely prompt meeting need , request . enjoy amazing room service dinner . highly recommend ! restaurant bit & quot ; cozy & quot ; side ( quite small intimate ) , food service good . overall , pleasant well - run hotel , not exceptional , 5 star luxury imagine ( maybe expectation unrealistic London hotel unfairly measure hope hotel ' ve stay country Japan example ) ! guess matter choose London , majority hard - earn cash go actual location venue extra fringe benefit associate establishment level city . say , would give place full mark really could not wish well location London ... easy walking distance ( healthy thirty - something anyway ) main site Piccadilly Circus , Leicester Square , Buckingham Palace , way Trafalgar Square , Big Ben London Eye ( never use transport foot whole time ) ! probably will not stay , 's reflection hotel . want try one top - end hotel area next time ' m town ( might another year anyway ) ! hotel = great . location = perfect ! 
 Sep 19 2008 	 Firm Favourite ! 	 hi , ' m new tripadvisor think write review Athenaeum . boyfriend stay average year , sometimes . be definitely hotel choice whenever be London . it be location perfect , close Buckingham Palace Ritz , be right Piccadilly line get touristy spot like Covent Garden Leicester Square really easy . the room always beautiful . first time go upgrade apartment , ( ask twin bed put together ) world . flat screen tv 's know living area big home ! brother girlfriend also upgrade apartment , glitch processing payment . rest assured make feel even little put Athenaeum go way make you . the last time stay ( Feb 2008 ) upgrade park view suite , actually prefer apartment due 's amazing view Park , London Eye slowly move background . the food wine good , pricey , would expect 's close centre London never really stay . hotel may look expensive first , shop around usually find really good online deal . 
 Sep 17 2008 	 absolutely Perfect 	 book lastminute.com Top Secret Hotel sure would get . say pleasantly surprised understatement . fabulous . athenaeum boutique feel room perfect . apparently update neither see hear sign apart odd stain carpet would noticed need update . arrive early 11.30 expect leave bag could check change room could check straight away wonderful . side one night not chance fully appreciate . location wonderful despite Piccadilly could hear traffic noise room back hotel . staff meet friendly helpful . would definitely stay . 
 Aug 31 2008 	 Perfect 	 stay twice 3 week business whilst viste trade show Olympia showroom central London . I book time Travelsupermarket.com get good deal occasion ( include breakfast huge saving . ) first time state start August . colleague arrive mistakenly book we double room tell fully book , begin curse good deal , however manager tell we complimentary drink bar whilst sort we . glass wine later sorted room provide twin complimentary bottle Tattinger room nice gesture – especially ' book offer upgrade we next night apartment . room - clean , roomy good standard décorbathroom - pleasant great shower , Breakfast - would not pay hotel price – excellent include , bar small supplement £ 5 per person upgrade full . good selection . service : 10/10 pleased staff , friendly , especially duty manager tall doorman ! book come back London 2 week later . happy occasion 
 Aug 27 2008 	 wonderful Hotel ! 	 Boyfriend head bright city light London celebrate entry middle age ( keep tell 40 old 30 listen ? ? ? ) . anyway , dear reader digress . I book Athenaeum Hotel via last Minute one Secret Hotels pay princely sum £ 246 Earth Pounds two night room only . I ring hotel week say boyfriend Birthday able anything speacial , expectation all . on arrival , make welcome delightful Alexis . car whisk away John doorman secrete away next require ! give upgrade delight find give suite overlook park bottle wine await arrival ! Alexis show we room really feel special . the room lovely , bedroom , bathroom sit room , immaculate order clean comfortable . amazed hear process renovation , certainly do not feel tired look worn . I would definately recommend hotel location . Buckingham Palace across park , picadilly short walk along road . in summary , choice Sanderson ( see review Peke ) Athenaeum , location value money , one win hand down . thank look we . the Peke Boyfriend ( think ' rather marvellous ' ) . 
 Aug 24 2008 	 delightful stay ! 	 wonderfuyl stay Athenaeum ! .... greet warmly give room upgrade upon arrival : lovely room , light spacious , view Green Park . find service outstanding breakfast , view , good breakfast ever comparable hotel ! ... read review comment need hotel refurbish , manager tell we start work renovation . room absolutely perfect every detail . simply love Athenaeum plan go back soon possible ! 
 Aug 23 2008 	 well ! pleasant surprise- 	 last week manage obtain late deal hotel . having stay many London hotel countless year , always 4 5 star , find non - chain establishment little gem . Doorman always helpful , carry bag , get taxi , open door make sure slip ( rain ) . often today doorman seem disappear need . gentleman check - in helpful & amp ; efficient . unfortunately room still clean , wait 15 min time offer use spa refreshment . room huge , comparable London hotel . spotlessly clean comfortable bed good quality bed linen . normal facility would expect first class hotel , incude hanger hook ( clip thing pet hate ) plus useful London information guide keep . breakfast / dining room comfortable , choice buffet cook breakfast , well good selection item order . first glance buffet look quite small , advantage everything freshly top . good choice meat , cheese , cereal , yoghurt , fresh fruit - even fresh honeycomb . cook breakfast could fault refill tea & amp ; coffee always offerere attentive & amp ; polite staff . we dine hotel excellent lunch snack lounge . at hotel say & quot ; Afternoon Tea & quot ; enjoy ! ! altough use concierge service seem excellent : actually sit desk unlike hotel stand counter . throughout stay Executive Manager always stop chat & amp ; ask we everything ok enjoy visit . indeed staff equally attentive & amp ; helpful . to sum , hotel many hotel aspire limited & amp ; untrained staff , nearly always fail . HIGHLY RECOMMENDED 
 Aug 12 2008 	 Lovely Boutique Hotel Great Location 	 family ( 2 adult 2 kid ) return stay beautiful boutique hotel . arrival , immediately greet Jim ( Doorman ) ask name remember stay , would say good welcome ' ve ever receive kid love . also helpful give we good advice . love decor think lounge extremely beautiful . bedroom good size although feel need redecorate . location excellent . problem road noise would stay . find staff pleasant special mention go Jim ! 
 Aug 8 2008 	 Allright 	 can not really say anything bad hotel . location superb staff . however , find quite difficult sleep due noise . room seventh floor overlook main room noise car , siren honk night time unbearable . would expect 5 star hotel proper window isolate noise unfortunately case . pilow also quite bad ( paper thin ) call reception get new one . size room bathroom quite small 5 star hotel good enough London . overall impression would good hotel London , case , would recomend . 
 Aug 4 2008 	 Wonderful Hotel Staff 	 get room part theatre package stunned quality hotel staff . one good hotel ever stay . 
 Jul 15 2008 	 nightmare ... ! ! ! 	 first time stay athenaeum never come back , rather advise everyone visit hotel ! ! ! call hotel directly & quot ; welcome & quot ; switchboard do not even say name . ask speaker name , said & quot ; say jet , Meg speak & quot ; sounded force . last transfered resevation department nice conversation Kinda make book efficiently inform facility provide . think , get hotel , wait checkin 5 min , indian guy something ask would like check , fact noone else , like nighrmare , poor customer service , work abn amro inform department 
 Jul 8 2008 	 Superb location 	 one good location London , park across road , stroll Piccadilly St James . great restaurant nearby ( try fashionable Wolseley ) , Fortnum & amp ; Mason , bookshop art gallery . apartment side road hotel , extremely comfortable . would happy stay . 
 Jul 5 2008 	 Pleasant surprise ! 	 patrner get good deal hotel , not expect well , outside initially still reservation . dismiss soon walk experience cute boutique hotel . staff interior fabulous truely recommend . 
 Jun 30 2008 	 great breakfast staff helpful friendly . 	 stay number occasion past couple year enjoy every visit . location excellent , main shopping area within walk distance lot restaurant / cafe doorstep . stay different grade room difference , opinion , size , facility excellent ( complaint slightly short bed suite ) . decor room , although bit date place , well maintain individual touch everywhere . breakfast particularly good ( try creme brulee - odd breakfast truly delicious ) . health spa , although small , clean well run , excellent choice treatment . would thoroughly recommend hotel business leisure stay . 
 Jun 26 2008 	 return Athenaeum Hotel 	 book hotel thought would like 5 star hotel ( especially price ) , rude awakening . check go without problem . get room , dirty , smell dank expect . friend 2 room away room stain carpet , bedspread curtain . try get new room , staff tell we completely book offer solution . stay 2 week group friend ( end total bill $ 100,000 US ! ) . stay apartment absolutely love room . well furnished , clean , private entrance , kitchenette washing machine apartment . call room service answer immediately . rest we stay within hotel building experience awful room service . time try get information concierge , two man desk would joke amongst give we half answer ( not know last day trip close royal palace , literally 3 minute walk ) . front desk also little help stay . also mail small box home US ( weigh 2 pound ) charge $ 100 US hotel ! tell pay special currier service get package ' international shipping center . ' already send box home various european city point know case . one good point hotel locate close great shop restaurant . hotel restaurant also agreeable . London 3 week later change reservation Athenaeum Mandarin Oriental Hyde Park ( absolutely fabulous ! ) . 
 Jun 24 2008 	 surprisingly good 	 stay 2 night hotel , choose mainly extremely good location . however prove surprisingly good . room clean lovely linen , good bit standard staff . every single person helpful go way help . well do lot . manage turn might stay convenience nice mini - break . think . 
 Jun 17 2008 	 Special Vacation 	 recently stay Athenaeum Hotel Apartments . friend London want place everyone could come visit . find apartment online sit area , small well equipte kitchen , lovely balcony . need 2 room able get one connect open , give we 2 living room along 2 kitchen . could believe gorgeous invite room . really hate leave room ! also stock fridge breakfast item request . travel week able laundry machine provide room ( BIG PLUS ) . contact hotel ahead ask special arrangement celebrate college graduation , 50th birthday , wedding anniversary . tell worry would take care . wow suprise remember every detail arrange special treat occasion expense ( flower , Champagne , Chocolates Strawberries , Cakes Cheese Trays ) . stay good hotel world never royal treatment ! time call anything knock door could hang phone . ' m sure many fine hotel London , return future one place we 's ATHENAEUM HOTEL . Doormen even remember name one day . thank make vacation PERFECT ! ! ! P.S . afternoon tea also something miss ! 
 Jun 16 2008 	 good ! 	 tell excited stay Athenaeum afternoon tea year , good ! husband pay parent stay go see Spamalot , fab ! arrive noon room ready , problem know check 2 pm . book receptionist answer phone whilst attend , find rude not even say excuse I . when go room kindly give Father law bottle wine birthday , nice touch . be positive . the room need decorate . paint peeling , wallpaper mark room look shabby . room well law be really say much . put cup tea side faux leather ( plastic ) metle leave lovely ring mark ....... classy ! afternoon tea cocktail , although pricey , good . when get back Theatre 11 pm go law room drink . people next door kind rave .... good , would expect 5 * hotel , Aiya Napa , yes ! phone send someone ask turn . ...... 30 min later fire alarm go ( 9th floor ) . go . hear set people next door . walk back 9th floor go bed . Air con noisy sleep unlike law awake 3 - 30 / 4 - 00 / 4 - 30 club dance music next . phone someone go ask stop ...... cause many problem allow stay hotel ? not even ask in - law want move room ( hotel full ) .We check early could not get back sleep . breakfast not tempt we £ 27 ! ask we enjoy stay tell go . say come back would not happen ... possibly kind cost room , will go find another 5 * hotel . 
 Jun 10 2008 	 awful experience Athenaeum 	 awful experience ' ve ever hotel ' ve stay stay Athenaeum Hotel March / April year - night left , find rat room . call front desk , not even sound genuinely apologetic move another room last night . even incident , though , already decide would never stay hotel week stay , find many concierge unfriendly service consistently low - standard , especially room rate charge . drycleane return pair pant three time , another shirt twice , stain remove point time . , room tiny . good part hotel gym , be small , great new equipment . location also fantastic especially get room view Green Park , price will pay , would definitely recommend stay Intercontintental Radisson Mayfair . this disappointing stay would not recommend anyone . 
 May 28 2008 	 great hotel central london 	 Stayed Athenaeum Hotel London two night mid - May . find fantastic deal room ( single room ) Skoosh.com pay 192 dollar two night include continental breakfast . room lovely , double bed , clean bright bath . staff amazing . first greeting & quot ; big Jim & quot ; derby hat doorman , reception , everyone wait staff could nicer . travel alone make feel comfortable . high tea Sunday dinner food excellent . continental breakfast include room rate large lovely- every kind pastry , fruit , fresh yogurt , cereal . location hotel excellent , Piccadilly directly across Green Park . finally , spa basement level small great . steam room , sauna , lovely jacuzzi , perfect soak bed day walk . hope return often . 
 Apr 22 2008 	 room need update 	 several enjoyable stay hotel past , sadly time good . we stay Parkview room , clearly need refurbishment . chair stain , headboard room general quite grubby . we also unimpresse clean knock door 7.50 clean room ( stay one night ! ) .The Lobby , Restaurant Garden Room nice refurbish . lovely evening meal particularly enjoy return Theatre dessert serve we garden room . we would stay , refurb ! 
 Apr 13 2008 	 great experience - recommend 	 Chose hotel last minute 's secret selection really pleased birthday treat . on arrival upgrade penthouse room 10th floor stunning view green park London panorama . room warm , welcome comfortable room relax rest . whilst pristene contemporary 's competitor add quirkiness charm . all staff helpful charming doorman , reception staff house dining team . whisky bar recommend although partake afternoon tea look fab . all great bijoux boutique hotel little soul . we would certainly return another stay . 
 Mar 31 2008 	 great location ok need update 	 husband take 2 kid ( 13 , 15 ) London Paris spring break ton internet research settle hotel London . 's location great sort ok far look go . could use update ( chair room wear thin arm - nick table lobby , etc ) say not bad experience exactly 5 star . room small - which would expect UK really small tiny bathroom . contact we get say would need upgrade ( $ $ ) different room configuration age kid split stay room . ditch upgrade idea , ( upon see tiny size room ) look upgrade apt . get . way much money make . kid stay room fine . shower good , bed comfortable . awoken one night sound guy business call next door maybe quiet . Breakfast outrageously price blame value US dollar one . Starbucks & amp ; food street serve we well breakfast . common area ( bar breakfast room ) need update . staff pleasant altogether eager please . ask see room service menu bar drink ( see 's kid want ) really throw front desk girl loop not downstairs could not quite figure solution ( trotting room get -- try avoid ! ) also ask we want free newspapaer morning -- say yes never get one whole stay ( 3 day ) however offer keep hot tub open long go dip late day . great location , decent value give price London , not expect luxury . 
 Mar 31 2008 	 great room - poor special dietary requirement 	 husband book birthday really like hotel , executive room spacious , reception staff door man helpful . fault although resturant menu states special dietary requirment advise help - could not ! ! - explain condition Coeliac disease could provide breakfast response evening staff ( positive ) breakfast stafff totally change unable help gluten + wheat free diet therefore pay £ 22 coffee , juice , yoghurt fresh fruit - leave feel hungry ! 
 Mar 28 2008 	 Incredible Value ! 	 recently stay Athenaeum could not happy . choose hotel base upon review read website book thru lastminute.com use & quot ; secret hotel & quot ; feature . pretty good idea hotel getting . could not believe deal , particularly give exchange rate . great location across Green Park . time check time leave , service excellent . room nice , comfortable , quiet . bed comfortably appoint Frette linen . bathroom marble spotless . eat use spa can not comment . definitely stay ! 
 Mar 27 2008 	 Lovely Hotel 	 stay three night pleasant time . hotel dining room little overprice , room clean nicely appoint . conveniently locate take long walk beautiful park pick tour bus ! door man quite delight ! 
 Mar 25 2008 	 Disappointing ! 	 husband recently stay Athenaeum Hotel two night Easter break . overall impression hotel really five star standard . lobby small surprised note permanent wheelchair access street lobby instead ramp put place necessary . simple remodelling step would take care this . the room good enough size central London request view Green Park lovely . decor however date . appreciate tourist enjoy & quot ; olde worlde & quot ; room however furniture instead look antique , actually look shabby curtain throw bed wear . the bathroom separate shower instead shower bath . opinion one would expect five star establishment . last morning room television stop work . book room website receipt state rate pay & quot ; Bed Breakfast & quot ; . therefore eat cook breakfast dining room morning . check present bill . query bill tell breakfast . point pay bed breakfast tell continental breakfast include . girl reception produce computer printout hotel state continental breakfast produce receipt ( thankfully bring we ) point nowhere state continental breakfast include also point one either check breakfast tell we continental breakfast include room rate . much haggle Manager reception tell girl remove charge breakfast bill . clearly something hotel clear agent sell room . summary would stay hotel would recommend other . stay Cumberland Hotel Marble Arch previously , less expensive far superior . 
