good 	 good thing hotel location , convenient base see Beijing major " tourist " site . room nice bathroom ' functional ( flush issue ) .hint : seven eleven close lot good yummy item great price . 
 comfortable 	 stay night husband , part organise tour group . pay tour whole , can not really judge value particular hotel . it be well situated , shopping mall , enormous supermarket , pizza restaurant lot restaurant nearby . room clean comfortable , though bathroom look tired . bed hard , many chinese hotel room . two bottle drink water lot toiletry tea - make necessary provide . a little information would useful - example , electric socket use UK visitor , be hide round side desk , first night charge gadget shaver socket ! also , need room key use lift ; know mean take age get room , husband get trap 12th floor wait rescue . I would stay . 
 Great Location Good Value 	 stay , ask .pdf file hotel 's name address chinese show driver airport . immediately respond satisfaction . location can not beat . connected mall , near subway exit , surround local chinese restaurant many open 24 hour , bar coffee shop , mall , international food chain , near Wangfujing , Forbidden CIty , Sanlitun , easy hail cab hour . outside hotel lot car day 's hire case want go Great Wall , Ming Tombs , etc .. speak English well bargain good price . police outpost nearby too . check - in check - out breeze . front desk efficient . concierge readily help we hotel card direction tourist spot . the deluxe room stayed recently refurbish . bed comfy well pillow . get extra pillow request , extra towel : ( bathroom gripe . 2 we register guest , one set toiletry . probably could ask another set , not bother . soap replenish , even though stay 3 night . weird . bathroom ceramic tile , ugly completely unexpected , like throwback past . showerhead tub also antiquate need upgrade . particular bathroom cleanliness sad say , hotel need improve area . I regular Marriott client , safely say hotel one bad bathroom ever . due renovation soon . free wifi also instal keep current hotel trend . nonetheless , satisfied location value . 
 Apr 23 2008 	 ok stay 	 arrive airport , new subway build Olympics yet run , instead take Airport Shuttle Bus # 3 16rmb , get last stop Beijing Railway Station walk 5 minute hotel . stay free hotel point 2 night . first room get , # 629 , smoky smell room . call desk immediately bring we key another room , time clean - smell , 14th floor ( re - painting hallway ) fabulous view busy street corner . gigantic room , nicely appoint , sign wear other report , bathroom marble countertop , see picture . provide two small bottled water , tap water drinkable Beijing . Front desk staff speak good English , concierge helpful finding sight . elevator . room charge pay check - out . free room rate include meal . breakfast Courtyard Cafe expensive , 100rmb , lot food , eat buffet , cook egg order - open 6:30am . see internet plug room , pc . internet service hotel Business Center expensive 30RMB ( $ 5USD ) 30 minute . find internet place department store busy corner - smoky , inexpensive . could not find reasonable place internet . hotel 5 minute subway station . either take 1 stop walk 30 minute reach Tiananmen Square . Temple Heaven 10 - minute walk hotel . 
 Mar 15 2008 	 Nice Great price 	 reading review site bit skeptical decide give shot . glad . yes hotel need work remodel whole hotel finish June 2008.when arrive allow we check room . large clean upper floor . carpet look worn room due get new carpet renovation . e - mail contact hotel trip tell wife 's birthday soon . hotel manager arrange wonderful cake room upon arrival charge . hotel right next large mall enter second floor hotel . within 1 block hotel many place eat include McDonald , Pizza Hut , Subways . remember ifyou want try local food , people speak english menus Chinese . concierge arrange driver english speaking tour guide we . guide name Mary great . hire two people 4 day $ 140 / day give we exclusive use people private car . we try breakfast buffet unimpressive . Ths could remodel use main restaurant instead regular place . we arrive last day Chinese New Year room great view firework , last 5 hour . I would stay service location . 
 Mar 3 2008 	 sketch 	 hotel good location - roughly 45 minute old airport close Tianamen Square Forbidden City ( 15 minute walk ) Temple Heaven . the Hadimen Hotel ( behind hotel ) home great restaurant want peke duck . the hotel 's concierge desk help arrange tour want visit Great Wall China Ming Tombs . the onsite cafe poor service ( slow unattentive ) . room sort small musty smelling . blowdrier hidden desk drawer unplug move bathroom outlet annoying since light poor room . the executive lounge small not offer type nutritious item save old fruit . staff speak good English quite disappointing consider 2008 summer Olympics hold city . front desk staff not even aware two airport operating city . one helpful person able provide we fairly accurate help direction entire hotel . the staff quite snotty slow pay attention detail ( request correct room key type room several time - even though email confirmation regard selection ) .The room safe not work yet housekeeping staff appear & quot ; dummy code & quot ; reset - warn backup plan valuable may carry you . overall , location make poor customer service lack ambiance . 
 Feb 4 2008 	 bad sleep trip . 	 2 week trip china Courtyard Marriott bad hotel stay entire trip .... actually , probably bad hotel stay ever . chose hotel read review know carpet wear bed ' firm , ' use point think would worth couple day . it bad decision . far well hotel cheap rate . lose sleep worth money saved.1 . many review sad bed firm hard . ok , translate , would good sleep floor.2 . would never imagine sleep floor Discusting . would even take shoe . 3 . use point , would suggest go renaissance.4 . use priceline get great deal , not . worth risk stay . instead , try hotel like highly rank Bamboo garden TA currently show $ 42 . ( stay bamboo , look retrospect wish do ) fool think Marriott / Courtyard would work fine . stay one night , stay risk . one night , please try somewhere else . truly one bad hotel ever stay 500 night hotel past 3 year . review may seem little harsh , think many american traveler go & quot ; american brand / chain & quot ; seem safe comfortable americain standard . hotel . well go another hotel ! please send PM question . if hotel renovate past year , aware . 
 Dec 31 2007 	 Pass Marriott Courtyard 	 frequent business traveler know hotel chain well . hard believe Marriott hotel general low standard . staff , chinese , courteous responsive , well train dealing hotel staff disorganize . check - in confusing 16th floor . tell front desk upgrade , apparent , , though speak Chinese , one could explain English . confusion breakfast . rent two hotel room ok . one slow drain problem . compare hotel Beijing money , good value . lobby attractive one computer business center work usb port ; another internet access . confusion find use gym pool , locate adjacent mall . Sign - in desk find locker , find go back desk ask towel . , back desk get bathing cap charge . money give swimming point . Courtyard Cafe snack bar quality food . location conveniently connect New World Shopping Center major avenue . 
 Dec 9 2007 	 Priceline Give 4 Star 	 beware ! priceline cheat ! request 4 star hotel priceline give 3 star hotel instead . try complain , response .... since already charge credit card , work you . do use priceline book Beijing ! 
 Dec 2 2007 	 bad rate 	 stay 6 night happy hotel . room wear bed hard , bed China hard . front desk staff helpful well bellman , need know little Mandarin get good use . room corner room two double bed . seat area ample closet space . room adequately clean day hotel supply kettle , help becuase boil water . charge internet business center 30 rmb half hour- opt much cheap intnernet cafe neighouhood . bring passport . the hotel conveniently locate next New World Centre within walking distance Subway . across street indoor market call Origus . buy many meal - cheap good . point want hand money . 10 rmb good meal . market tourist find twice much . overall , hotel old clean . not expect north american standard . service friendly elevator slow . workout facility modern own private residence next door . book three room expect pay extra $ 40 usd third person , never charge - bonus ! 
 Nov 20 2007 	 look elsewhere first 	 husband decide make reservation Courtyard Marriott base thought would live Marriott standard . wrong ! ! ! problem check go 3 room day manager , Johnny give we upgrade junior suite . request , non - smoking , queen bed executive floor . room put we smoke even suite . spend 3 hour get room decide not worth move travel 13 hour get tired . , Johnny could help we offer we club level breakfast / dinner . we problem room provide credit card tell decline want cash deposit ( even though room pay advance ) tell come later , credit card go problem . other Johnny , staff understand speak english well . poor customer service . even problem housekeeping give we & quot ; stained & quot ; towel use . the club level joke . however , offer good selection breakfast . dinner different story . offer small square sandwich appetizer stale quantity put limit ( maybe 10 piece ) apply ( 2 ) hot appetizer .. limit . take long time restock everything not worth go relax drink appetizer . I would book hotel last resort hotel Beijing well however may pay worth end . 
 Oct 30 2007 	 Nice Hotel Great Location Great Amenities 	 please hotel . location great - 2 small block Chongwenmen subway stop . 's grocery store several american , chinese , japanese fast food restaurant close proximity 's great home base vacation . might say miss full cultural experience stay western hotel , amenity currency exchange ability make credit card cash withdrawal lifesaver ATM card would not work ATMs try . business center offer relatively pricey internet access ( still bad US standard ) , be handy be much hurry walk couple block dirt - cheap internet cafe . hotel concierge provide card hotel info print Chinese always present cab driver get back hotel be sightseeing . will also write name place want go chinese . hotel provide couple tiny bottle water day , recommend go grocery store pick large jug keep bathroom brushing tooth drinking water be room , use little hotel one carry w/ be sightseeing . there con . bed pretty hard always tired not issue . carpet mildew stain reviewer note , feel hotel room plenty clean overall - nothing feel dirty . bed linen , toilet , sink area clean , important mind . tub clean except stain grout line . would definitely recommend hotel would probably stay ever find back Beijing . 
 Oct 22 2007 	 great 	 location & amp ; staf excellent . room great . carpet sofa filthy need replaceing . bathroom need upgrade tile grout mold mildew throughout . bed rock hard . favor look another hotel area management owner address issue . 
 Sep 27 2007 	 Clean Comfortable Rooms Courteous Staff great Executive Lounge 	 read TA review first chinese hotel , reasonably low expectation hotel . fortunately , expectation quickly dismiss . executive level room receive 860 rmb clean smell fresh , tv CNN HBO , third bed request deliver promptly , in - room refridgerator safe . executive lounge provide adequate breakfast evening hor dourve bottled water juice , soda , beer , wine available . complaint lounge keep refreshment refridgerator lock could not raid bottled water day like executive lounge . front desk staff personable extremely helpful send amazingly friendly cell phone store obtain SIM card recommend tasty restaurant 4 course meal , beer , soda cost 83 rmb ( 11 usd ) ! generally find front desk staff useful concierge case . change easily give front desk though one time run 20 rmb note give 5s 10 instead . hotel location impeccable inside Chong Wen district within walk distance Tiananmen Square . several american offering within walk distance include McDonalds Haagen Dazs . unfortunately , pay internet Courtyard unlike Courtyards America . several thing note experience may differ other . Marriott Platinum member ' m conversational Mandarin Chinese . know & quot ; chinese queue & quot ; lack thereof therefore pretty aggressive demand attention staff . 
 Sep 2 2007 	 budget hotel 	 choose stay hotel value , location Marriott chain ( big surprise ) . stay week . several points:1 . location : mall lot restaurant downstairs . far away Tiananmen Square . also one block away subway station.2 . reception : receptionist polite professional . may , , experience , wait line something take grant Beijing . People tend cut line shamelessly whenever . several chinese tourist attempt cut front us reception area check hotel . glad receptionist refuse serve unless get back line.3 . internet : offer free internet usage . use internet connection 40RMB @ hour 80rmb day . however , 1 cable room , system not allow share internet service multiple computer . husband 2 laptop , & quot ; purchase & quot ; service individually even though room . however , talk receptionist , fix problem , reimburse final bill.4 . guest room : room generally clean adequately maintain ( although agree could use renovation update especially bathroom ) . strange smell room . however , forget request non - smoking room ( not think get & quot ; non - smoking room & quot ; anywhere Beijing actually ... ) .5 . common area : reception area pretty nice . elevator strange smell morning , carpet old . wash carpet hallway stay , seem look wash .... 6 . concierge : seem merged bellboy concierge together . provide adequate service ( book 1 - day tour great wall help ) . often one concierge area , wonder rely help plan sightseeing trip / route.7 . breakfast : breakfast expensive offer - would recommend get breakfast many restaurant downstairs ( Mcdonald 's downstairs , open starbuck soon . , get chinese style breakfast several restaurant ) .In general , ok experience budget hotel . 
 Aug 25 2007 	 rate 3 's really 1.5 star 	 return Korea stay 6 night Courtyard Beijing Marriot . 2 nice thing hotel . 1 location , 2 Kil & quot ; Temple Heaven & quot ; & quot ; Pearl Market & quot ; . 2 little lobby bar ( bar ) , staff professional , nice big flat screen show everynight game show Beijing , contestant win chance carry torch next year Olympics . program Chinese , be easy follow . other two item , completely disappointed stay . middle renovate hotel , way hotel look , need renovation 10 year early . elevator ( 1 renovate ) smelly , carpet completely stain . public restroom look may clean day . breakfast buffet ( included run 110.00 CYN 2 adult ) , nothing special . staff look like prison force work . egg person , not care egg break cooking , would shove onto plate . finally get floor ( 7th ) elevator door open nice wall unit . however make way hall , can not help notice shreds carpet , stain , many rip way room . superior room , choose wrong name . king size bed , small bathroom , bathtub fixture rusty chip . stain wall , furiture stain everywhere , water mark something . give normal tolietrie , mini bar , liquor though , beer . 2 station English , 's chinese . rate book Marriot website ( reward member ) 598.00 CYN per night plus tax fee . Sunday morning around 7:30 ( mention Sunday ) , waken construction noise hammer jack hammering . call front desk ask could stop noice 10:00 . firmly say renovation . ask speak manager receive answer . however ask would like upgrade different room right moment . chinese restaurant second floor ( restaurant 2nd floor ) , nice asian decor . eat lunch day arrival . braise lamb yellow curry quite good . husband enjoy ice tea , 5 , refill free , ice tea cost entire meal . check simple ( leave 5:00 ) , catch taxi run we 180.00 CYN . taxi driver pull 1 street away airport . Scam airport man offer cart & quot ; be free use anyway & quot ; , wheel entrance demand pay 50.00 CYN . get cart ... locate everywhere . fly Dunhuang several day return back Beijing . reservation return stay courtyard experience , book we & quot ; Prime Hotel & quot ; 10.00 large nice room ... plus breakfast buffet wonderful . 
 Jul 27 2007 	 Great Location use Marriott point ! 	 walk distance Tiananmen Square right Metro station ... key bus route . typical Marriott location great one Courtyard Hotels great use Marriott Rewards . clean room , good service - would expect . 
 Jul 16 2007 	 good experience great location 	 great experience overall – stay Beijing . Felt safe comfortable first - time visitor China . quiet , comfortable room need amenity ; A / C , cable tv , fridge ( two small bottle complimentary water provide daily ) , hot pot , shower & amp ; tub , desk , small couch & amp ; table . great location nearby subway stop ( one stop Tiananmen Square ) , grocery store & amp ; mall . Breakfast , although pricey include room package , plentiful , quality western - orient buffet omelet station . pool health club renovation visit thus comment ground floor bar / lounge always smoky we ' patronize look like pleasant place rest drink . front desk & amp ; concierge staff speak extremely little English & amp ; overly friendly find service around China . guidebook suggest , make sure name & amp ; address hotel write Chinese ( map hotel & amp ; surround area also helpful illiterate driver ) venture . book taxi directly versus Concierge day trip save we money ( negotiate usd 25.00 rate taxi take we Mutinayu section Great Wall back ) . 
 Jul 15 2007 	 three star hotel 	 stay 5 night hotel . looby nice bedroom need renovation . carpet dirty , furniture run queen size bed good . room fairly large . pool renovate . breakfast room fine . breakfast reasonnably good , coffee horrible . hotel locate quiet street , near good shopping centre grocery store basement . 
 May 28 2007 	 enjoy stay 	 thoroughly enjoy 4 night stay feel previous negative view read unfair . room good size , clean well UK hotel standard . breakfast excellent inhouse restaurant evening good reasonably price . like location -it near metro : one occasion walk back centre Beijing take we 30 - 45 min . surround area interesting - 2 adjoining upmarket shopping mall ( one skate rink ! ) massive subterranean supermarket . we feel give we good feel chinese innercity area like walk round area night . the staff pleasant time would definitely recommend other . concern negative review , travel co. would prepare transfer we another hotel like it . however , contact tell want take offer happy hotel . it good start China trip . 
 May 4 2007 	 Acceptable Marriott Courtyard 	 Marriott Courtyard quite quality Marriott Courtyards US , ok . furniture room fairly shop - wear , room clean comfortable . executive floor , pay daily internet access ( around $ 8 per day ) . hotel provide free bottled water . room refrigerator / mini - bar , know room refrigerator . enough room keep food breakfast ( yogurt , juice , etc . ) hotel good location - right next large shopping complex department store , supermarket , Starbucks , food court , etc . close subway . despite say website , walk Forbidden City hotel . however , walk Temple Heaven . major taxi stand right around corner hotel , need bellman hail taxi . 
 May 4 2007 	 pleasantly surprised 	 read review would book hotel travel agency Hong Kong . quite worried reading comment decide going see city hotel . when arrive seem confusion booking quickly deal upgrade we . room quite nice well PRC hotel would stay . gym/ pool undergo refurb ( two hotel trip ) facility use bar good staff encounter helpful . 
 Mar 16 2007 	 bad aware 	 get hotel night , light look fantastic . frontdesk little cold ward we , think that s chinese people must , tired really notice much . got room , nice room , excellent view warm feeling room . have shower , go restaurant dinner . tell closed . go shopping center wich attach hotel , go supermarket , bottom floor . got noodle . go back room , boilt water could something eat . woke feel groggy morning , go breakfast , hungry . got , nobody sign , thought would wait moment . 10 minute , nothing . walk , get buffet breakfast , sit table , waiter came run , say , private dinner room , please leave . usher , friend walk . tourguide try explain waiter book room breakfast , allow eat . believe , get supervisor , check book , yes , see book room . as already plate breakfast , tell could take setup little group , breakfast cold . ask toast , get . the remainder stay ok , except last day . go tour leave mobile room ( forgot bedside table ) get back room , mobile go . go receptio complain , tell prove , lose city . angry , call manager , tell busy . got back home , explain travel agent , contact hotel , claim none ever happend . know happen , friend know .. 
 Feb 22 2007 	 Dissatisfied Hotel 	 stay 2 night hotel Platinum ( top tier ) member hotel . despite call confirm eligible upgrade suite , check , front desk staff extremely rude . flat refused upgrade refuse call Marriott confirm . give we non - toll free number tell we call say could call we . extremely rude unhelpful staff . Maid service respect Disturb sign . doorman never help we bag came leave . upsetting part doorman would purposely call we taxi would try rip we . take taxis several time day 7 day row time blatantly rip hotel . first time , taxi refuse put meter try charge we triple rate . second time , taxi drive we circle double regular rate . another time , get driver rip we end get cab get taxi street . room comfortable , end get free internet , although , indicate fee charge sign , suppose free Courtyards . 
 Nov 16 2006 	 Standard hotel - nice stayed 	 always know hotel go less desirable other stay China ( other 4/5 star 3 star ) , however , book hotel central location ( 10rmb taxi ride away Tianamen Square ) meet sister family book here . the staff friendly concierge helpful . love two niece ( 3 year old 7 month old ) lavish much attention . aloof member staff Executive Lounge manager even soften kid eventually ! ! ! stay Executive Room 6th floor like standard hotel room however , everything tired worn look . joke stardard Executive Room would hate see stardard room ! room large consider Executive bathroom shabby . stay Executive room 3 star hotel Shanghai comparison Courtyard hotel seem poor . we breakfast every morning Executive Lounge really nice good selection food chef cook breakfast want ( within reason ) . also lounge time too . the hotel connect shopping centre leisure facility hotel guest use . use swimming pool regularly ( free hotel guest ) , mostly refreshing dip hot day sightseeing . pool nice hotel pool bear mind public pool , though must say clean . one point note take swimming hat - mandatory matter little hair ! sister also pedicure foot massage leisure centre . could get much cheap elsewhere bit shame even toe nail paint cost extra ! overall , hotel tired shabby shame location good right facility lot shop food place nearby . 
 Sep 29 2006 	 Oasis Chaos 	 pretty horrible string luck hotel China get Marriott . hotel beautiful service wonderful . also love breakfast buffet . stay executive room huge . seperate living room 1/2 bath . executive room include internet breakfast . hotel also near Starbucks Hongqiao ( Pearl ) Market . 
 Sep 19 2006 	 ok .. standard 	 stay @ Courtyard Beijing stay @ Renaissance Yangtze Hotel Shanghai ... difference ... negative . the hotel overall ' shabby ' condition , room well lobby . from ' amenity ' ( lack thereof ) exist , think happen one first ' western ; hotel build Beijing . ' elite ' Marriott member even receive ' usual ' amenity provide ... morning paper one . although location bad , close ' pearl market ' heavenly palace subway , lack comfort feel one look forward upon return eveningnext visit Beijing @ Renaissance ! 
 Sep 15 2006 	 Courtyard Marriott Beijing Beijing Review 	 First , bid 3 star ( high star level offer ) Forbidden City district , get win bid . , bid 4 star Chongwen district Beijing get Courtyard Marriott ( reasonable price decent hotel ) . 100 rmb taxi PEK . talk Beijing taxis later . lobby nice , 3 4 star lobby , initial room smokey shabby carpet wallpaper . go front desk give much nice upgrade room . carpet new stain , walk around hotel room wear flip flop anyway . hotel manager call we couple time make sure like new room well , appreciate . decide see available hotel city , actually may lucke get Marriott . believe third world country , seem standard may little different would expect US . would suggest always stay & quot ; 4 star & quot ; , least , Beijing , assume like 2 1/2 3 star US standard . the front desk staff nice overall , find understood speak English well other staff . concierge desk efficient write chinese translation , destination , card taxi excursion take ( highly recommend also circle destination map taxi driver ) .The location great ! nice go 5th floor adjoin New World Mall selection little eatery go , also nice walk Pearl Market Tiennamen Square area . feel safe walking often comment feel little safe walk thru large city US . think justice severe China , probably help alot . we read recent US article explain Americans frown upon social ettiquette chinese visitor US . admit sometimes get tiresome , Beijing , get bump chinese bag come realization custom practice different US standard . can not expect another country like , ? 's part experience visit another country , enjoy experience thing Beijing . bathroom consistent problem , , not US standard . honestly , woman , could force use : flat floor , smelly , toilet paper / soap . bring tissue hand sanitizer gel emergency , otherwise use restroom back hotel . taxi seem often little & quot ; game & quot ; . meet outside market , shop significant bag purchase , quote & quot ; $ 80 rmb Rush Hour & quot ; . take taxi get Marriott , may pay 10 25 rmb . ask use taxi meter , say cost way get back hotel rush hour . stuck know , negotiate get taxi , like . next taxi offer take back $ 70 rmb , negotiate $ 30 rmb . , get taxi go hotel airport . driver say use meter show , ask , meter start $ 10 rmb . whole way airport , somehow cover meter see , zeros airport see final amount . ride cost $ 130 rmb . think 's good negotiate total price get taxi go airport . let us forget , , driver add 10 total road toll . game taxi driver play ! oh , show driver chinese translation destination , seem understand want go , get , drive around awhile pull ask see location map ( meter run whole time ) . good thing exchange rate make bill high . there say : & quot ; _ _ _ _ _ _ , _ _ _ _ _ _ _ do . & quot ; would apply China probably place world . China , like native , hold place line negotiate low price . overall , really enjoy experience ( understand rule ) go back . 
 Aug 30 2006 	 enjoy ; see other not 	 stay four night , two free ( point ) two pay . let first give good , keep mind mixed - message title ... hotel well typical U.S. Courtyard Marriot ( , three story low - rise minimal service good room free continental breakfast ) . location also pretty good- short taxi ride Beijing 's major tourist site . room fine internet work without hitch . hotel connect New World Center mall , decent shopping good food court cheap tasty ( fancy ) food . yes , speak Chinese might help order , food pretty much front you- point pay , not fluent Mandarin . eat dinner twice . return Beijing catch flight , almost come back place ( price bit higher , decide try something different compare ) .We see comment , agree likely room smoke- true many hotel China . ' cultural thing . anything , would expect foreign hotel LOWER frequency smoke issue . pool huge cold ( american standard ) . kid lap instead usual lounge around stay warm ! pool actually inside health club attach shopping center complex- not think big deal & quot ; leave building & quot ; 50 - 100 foot . bring bathing cap , however- regular health club pool China , enforce rule strictly . send shopping mall buy cap ( 20 - 50 yuan ) , last day see other get basic cap health club sell 10 yuan . wart also could turn . want change money downstairs also get rebuff couple time ( wait business manager arrive , 10AM ; right exchange cash traveler 's check , . ) change money eventually , bad . taxis- agree cab front quite routinely & quot ; owner - drive & quot ; car - mean work consider meter optional . take short ride , wife convince fare high ( speak chinese whole ride , put meter ask ) . worry , insist cab like , flag cab half block street - 's taxi ride back airport . would also note stay HolidayInn Downtown Beijing , hotel staff also insist & quot ; cab alike . & quot ; point many 4 star hotel tell thing Marriot . regard & quot ; seedy neighborhood & quot ; comments- ChongWenMen south center , true south great . immediate area fine . walk TianTan Park ( less mile ) , see plenty & quot ; poor Beijing & quot ; not make tourism brochure . compare poverty area U.S. actually not bad . approach beggar walk back hotel . see building definitely aged need repair . as far breakfast- never pay big buck hotel want . willing eat local food , strongly encourage try Yong Da Wong restaurant one block right hotel ( ask bellboy concierge ; restaurant sign ' picture guy look little bit like Asian Colonel Sanders ) . food good , & quot ; local price & quot ; ( 25 - 32 yuan day feed two adult two child quite well ) . also bacon & amp ; egg special might pass & quot ; western food . & quot ; one warning : whole menu chinese , good number picture , plenty people eat could probably point thing success . yes be long wind , want give full picture . would say hotel build 4.5 star quality , neighborhood 4 star , staff quality 2.5 - 3 start , amenity 3 - 4 star . overall , good place come knowledge may annoying little thing . 
 Aug 12 2006 	 much well expect ! 	 read last review hesitant book hotel price location . find hotel typical Courtyards clean spacious room . room 2 double bed ( small double ! ) roll away set ready arrival . take train Shanghai get hotel 8 am . front desk allow we check give we key room even though clean yet - able leave bag room . breakfast good - typical hotel breakfast buffet . check quick . location great - next mall within walking distance Pearl Market ( close 7pm though ! ) . 
 Jul 15 2006 	 bitterly disappoint 	 bitterly disappointed Courtyard Marriott - level service offer stay attrocious - toilet leaking , stink whole room front desk staff unresponsive show understand discomfort raise voice - something . giggle smirk staff repeat & quot ; Sorry & quot ; look pretend busy level customer service expect international hotel chain Marriott . if choose stay , prepared stench cigarette smoke everytime enter lobby fitness club , demand pay swimming cap know nothing check - in , stale limp hotel breakfast , 40RMB / hr cost internet access , taxi driver know hotel name ( speak fluent chinese pronounciation problem ) , old smelly carpet occasional foul smell waft air conditioner among thing . clearly , management incapable require operate provide expect hotel Marriott 's calibre . do stay use usual standard Marriott - bitterly disappointed . 
 Jul 13 2006 	 beware : disappoint 	 impression 4 star hotel . see rate 3 , would not even give . like 2 star . thing go location , excellent , close Pearl Market ( Hung Qiao ) , subway shopping . carpeting throughout filthy , lobby elevator wreak smoke . furniture room old worn . concurr post , watch taxi . foolishly assume concierge Marriot hotel would hail we rip taxi use meter , wrong . jump 6:30 morning head airport half awake realize get rip ride . previous hotel Beijing would use driver without meter , guard . never , ever assume anything China , even door step Marriot . marriot standard . want clean bed rest head great location place . would try find true 3 4 star hotel near 's look , pass one . d . Davis 
 Jun 28 2006 	 avoid cost 	 simply abomination hotel . first impression greet , dirty entrance , rude doorman , terrible front desk staff . avoid taxi que fron hotel - risk rip . many visitor complain stay . also , enjoy fact lobby seat take smoking taxi driver break assorted riff - raff - place . Marriott ashame ! ! ! ! ! ! friviolous charge check - surly confrontational service stay . never encounter Marriott brand customer worry ( we many other ) . unsafe - particularly night - unsupervise entry - inattentive staff - non - existent doorman bellcap . ugly experience . avoid trap stay hotel ( Marriott West Renaissance exceptionel ) . 
 Jun 5 2006 	 Courtyard Marriott New World good choice 	 nice big hotel , good location . walk distance & quot ; pearl marked & quot ; . hotel connect big shopping centre . several resturant build . lived 1 week , great time ! 
 May 16 2006 	 good convenient hotel 	 location hotel perfect take one minute subway station . hotel behind shopping mall . inside mall , Starbucks KFC eat reasonable price . room clean although internet connection . breakfast 4 - star standard . 
 May 8 2006 	 good hotel - quite usual Mariott standard . 	 frequently stay Courtyard Marriott hotel around world , high expectation property . whilst live expectation , numerous aspect somewhat disappointing compare usual 5 star Mariott experience . there many reason would stay hotel . particular , modern , spotlessly clean , excellent location ( 5 minute subway , 10 minute wangfuje Street , easy 25 - 30 minute Tiananmen Square ) . breakfast superb quality variety , hotel site also feature shopping mall , supermarket , Starbucks , KFC , Pizza Hut McDonalds . booking make online , checkin procedure swift efficient . get room order , take 5 minute get upstairs room . business center , although expensive , well equip useful . on side , front - of - house staff almost always surly rude . limit English , urgently need learn smile ! also , air conditioning room work properly , seem blow warm air around room . despite maintenance request , address stay . mini - bar coffee bar well stock , we tea drinker , suggest BYO tea bag . finally , mattress like sleep slab granite . may well suit somebody prefer rock solid bed , rest we suffer . mind , bed linen superb , real positive . overall , modern , clean well locate property good business tourist guest . however , anticipate usual Marriott experience , may slightly disappoint . particular , recommend staff give remedial training customer satisfaction . whist rate 4 5 , earn score . 
 Apr 24 2006 	 Nice Hotel 	 stay 4 night . room non smoking room odor . upgrade deluxe room 2 double bed , couch bathrobe . yes furnishing carpet bite old side still good shape . room spotless daily maid service wonderful . 4yr old we Pizza Hut , Mc Donalds KFC come handy since local food . shop mall grocery store convient helpful . neighborhood fine . the problem front desk excuse everyday exchange currency . would change anyrthe $ 100 usd time . always say short money open drawer full bill . breakfast good . stay food fresh . egg make order . fruit bread fresh tasty . a hote dish like noodle lukewarm ok . eat dinner resturant , ok . drink water give water bottle everyday . hotel close tian anman Square , Forbidden City , Silk Market shopping , Temple Heaven subway short block away . Business Center use computer well staff easy access , free . lobby nice smoky . Front desk concierge speak good english . check check quick bill correct . overall happy hotel would stay . 
 Apr 8 2006 	 Good Hotel 	 nice 4 star hotel relatively recent ( open less 10 year ago ) . business pleased service , room , restaurant . bathrobe room always nice . however tourist would probably stay elsewhere much see around hotel . also stay american hotel China kind funny . to answer previous reviewer : hotel China charge extra internet use . 
 Apr 5 2006 	 typical Marriott Courtyard 	 standard US style Marriott Courtyard . close Forbidden city inside mall . grocery story -1 floor mall , get mineral water 2 rmb , hotel charge 38 rmb.english speak staff chinese culture . call concierge room ask send trip ticket room , since want go . agree show . call 30 minute later ask . agree come ticket never show . later , hour go collect it . internet free ( 40 rmb per hour ) , eventhough advertise free . everything else pretty decent . 
 Mar 31 2006 	 unless smoker stay away 
 Nov 17 2005 	 Bland introduction Beijing 
 Nov 14 2005 	 Hotel 
 Nov 2 2005 	 Pleasant Stay 
 Sep 19 2005 	 Better Average Courtyard 
 Aug 21 2005 	 would not go back 
 Jul 3 2005 	 Modern hotel convenient location 
 Jan 31 2005 	 like America 
 Oct 22 2004 	 great Stay New World Courtyard 
 Oct 22 2004 	 great hotel 
 Oct 23 2009 	 peggior hotel pechino da evitare 
 Aug 29 2009 	 Très bien 
