exceptional 	 go Montreal weekend getaway husband . Stayed Emabby Suites disappoint . arrive receive warm welcome quick check . staff bilingual gladly speak either English French . fact everyone encounter Montreal completely bilingual happy speak English . truly friendliest people ever meet . hotel centrally locate short walk old Montreal go block direction heart downtown shopping ! hotel room clean well maintain . although bedroom bit small rest room quite spacious make . kitchen equip fridge , microwave lot cupboard space . large living room huge bathroom whirlpool tub . never trouble find parking spot underground spot provide ( fee ) prvilege . Manager 's reception hold night oferre complimentary snack two complimentary drink night stay . also provide complimentary breakfast large spread bacon , egg , omlet -prepared spot , sausage , cereal , standard fruit morning pastry . hotel well worth . 
 Best Embassy Suite ever 	 well - design modern hotel wonderful walking location , adjacent old Montreal Chinatown . suite spacious fireplace , large jacuzzi tub , extremely comfortable mattress , living room , kitchen , two - flat screen television hook mp3 player . service excellent . definitely stay . 
 Jun 28 2009 	 could well -- Location Staff Room Amenities PERFECT 	 read review convince we stay honeymoon . well , good thing write GREAT bad thing write bad . first foremost , location perfect . walk Old City , Latin Quarter , China Town literally across street , Bell Center / Museums area easy walk . highlight trip Botanical Gardens , easy ride Metro , station around corner hotel . Gardens extraordinary . our suite great big jacuzzi , two flat screen tv stainless steel appliance . and staff could nice . Stephanie , Emily , Benny , Robert rest -- merci bou coup ! lot people complain line breakfast . would expect everyone show time ? perfect , quiet breakfast day 7:30 . wife usually arrive later rather wait omelet line , get juice , cereal , yogurt , fruit crouisant without delay . the complaint construction noise next door - the Westin expand . front side build ocaisional siren , quiet . all perfect experience . 
 Jun 26 2009 	 Outstanding every way -- except breakfast 	 book room Hilton website , little concerned would find , give rate almost good true . need not worried : hotel gem ! suite room know , bed comfortable hotel bed ' ve sleep year , fireplace , plenty closet . bathroom enormous , great whirlpool tub , separate lighted makeup mirror wife , ton plush towel . corner shower bit cramp , however . best part hotel ? front staff . could not ask friendly , helpful , cheerful welcome group people ! commendation ! give property overall rating & quot ; 4 & quot ; instead & quot ; 5 & quot ; ? breakfast . weekend stay , chaos reign . two morning eat , restaurant run dish , run silverware , run bread , run decaf coffee , serve food mediocre good inedible worst -- run basic customer service . wife ask server would make decaf , reply & quot ; & quot ; walk away . take management 's intervention fix one . skip hotel 's breakfast last morning eat Eggspectation around corner -- pricey worth . tell Embassy 's food service contract new vendor 6 - month tryout . let us hope find new vendor real soon . will return Embassy ? absolutely ! 's quality , location , friendliness value superb . maybe will get decent breakfast next visit . 
 Jun 25 2009 	 good choice 	 location good . step old Montreal modern Montreal . room comfortable exceed expectation . good breakfast manager reception . clean . 
 Jun 24 2009 	 Nicest Hotel far ! 	 far good hotel ever stay . absolutely beautiful inside . room great provide complimentary breakfast morning include omelet , bacon , sausage , etc . also , every night happy hour guest receive two complimentary drink well appetizer snack . location also plus . face downtown montreal back Old Montreal . one Block Rue St Paul . definately stay next visit ! 
 Jun 15 2009 	 place Montreal call home 	 will try make quick usually write fairly extensive review . chance stay sixth time less year past week - end Embassy Suites Montreal . past year , ' ve try quite montreal hotel , include new Hilton Garden Inn Sherbrooke , part Hilton family brand attitude get check - in make cancel reservation spot go back book first place : hotel . stay , , prove hotel 's staff eager please really care guest 's well . manager ' ve see also ALWAYS ball available . two front desk staff remember check - in , mean not even need say name be already type computer even get counter . ' ve never , ever , 5 young year fairly extensive travel , experience something like large hotel . see interact guest , everyone equally well - treat . service staff happy hour run around busy saturday make sure everyone one free drink include room rate pick dirty dish . suite immaculately clean . will not repeat everyone else say layout , picture speak . hotel relatively new ( open late 2007 ) , might still construction go behind condo tower going ' ve never hear anything week - end . Westin build next door also finish , considerably reduce early morning noise weekday . good bet ask St - Antoine facing suite ( available ) . bed comfortable ' ve find Montreal . comparison . local call free , high speed internet also , memory serve right . overall , hotel , prime location mere block Notre - Dame basilica Old Montreal , yet , less 5 minute walk Ste - Catherine , genuine friendliness front desk staff competitive rate make place hotel consider Montreal trip . ' ve stay Square Phillips , rate # 1 Montreal ( last time check ) , frankly , free full breakfast , 2 drink per person much comfortable mattress , would say win suite - hotel category . give try will see will become home Montreal ( , like appartment ! ) . course , con , like kitchen smell still somehow get low floor ( although significantly improve situation last fall ) promise pool construction year ! , rest make it . I rarely review Embassy Suites management , read , please make sure never loose front desk personel congratulate hard work . far good Montreal restaurant recommendation , Julie ( believe name ) book knowledge ! kudo ! 
 Jun 15 2009 	 great service attitude nice room okay breakfast lousy happy hour 	 think pretty much sum want say hotel . location fabulous -- stone throw away major Old Montreal attraction , metro block away . view hotel though , surround hotel tall building . room 's air conditioning fail , service repairman come three time try fix , finally let we know would open window . luckily , nice night . next morning , come not , fix . unfailingly pleasant helpful . breakfast pure madness . would recommend skip omelet station go buffet ( quite hidden , look around ) go close closing time possible . happy hour drink good . determined get free drink , stick red white wine . bearable . not martini , will put ice . scotch taste like pipe cleaner . hey , be free . overall , enjoy stay . 
 Jun 10 2009 	 satisfactory moderate budget 	 hotel one good hotel ever compare price pay . room view courtyard quality room compensatory . staff always cheerful helpful every way . breakfast delicious . also adore 17:00 o'clock free drink snack . location great , near metro old city . believe , never regret . 
 Jun 8 2009 	 great location Great hotel breakfast disappointing 	 love location hotel . across Metro block Notre Dame Old Montreal . fortunate upgrade 2 bedroom suite absolutely fantastic . suite beautifully appoint clean . really good hotel ! complaint would breakfast . whole organisation shamble . Sunday morning course breakfast busy . want nice leisurely Sunday breakfast place go ! food fine organisation leave lot desire ! ! ! upon arrival speak waitress tell we line hot food would get we table . , get food stand wait frantically run around goodness know . find table 3 pull extra chair 4 we . time get 2 kid organise hot breakfast cold . would really well seat guest tell go order hot food ! 's point line guest order food nowhere sit - saw people give take food back room . plus run clean trays cutlery ( probably people leave restaurant food due lack table ) 
 May 31 2009 	 # 1 Montreal . question . good stay good people ! 	 wife stay 3 night ( May 16 - 19 2009 ) town Quebec Poker Tournament League Championships hold Palais Du Congres . second stay similar event January early year . the Embassy Suites locate right accross street Palais Du Congres . give idea close , tournament go supper break one hour , able leave 3rd level tournament hold , less five minute , room . less one minute walk door door across Saint Antoine St. ask well Montreal event Palais Du Congres . this hotel modern clearly recently renovate . stay Junior Suite , seperate bedroom ( King Size ) , french door open enter room . could access huge bathroom either bedroom main area room . room full kitchen include full size fridge freezer , microwave , sink , dishwasher , coffee machine cupboard space would not believe . stove room though . plate cutlery room , request , supply . bathroom unbelievable . two person ( side side ) jet tub . thing huge great addition possible . end day ( anytime ) thing relax . huge optional underwater light also cool . also nice stand shower excellent water pressure . nice little corner vanity ( wife love ! ) beautiful modern sink counter area . want leave . in main living room area , pull couch face large wall mount LCD tv , locate directly nice electric fireplace . front bedroom door , nice desk office chair business need . computer , hook up high speed there . in bedroom , confortable king size bed situate directly front yet another wall mount LCD tv ! ! ! ! ! ! ! , much closet dresser space , could easily move place good . would amazing apartment sure . another thing love place free breakfast buffet . mean road Delta Centre Ville , pay 22.99 plus tax per person buffet . one include room ! custom omelette make group chef line wait custom order . see hotel . basic hot buffet breakfast item , omelette make buffet extra special . bill end nice ! ! ! oh mention get two free drink bar per person per day include room ! ! ! use specific cocktail hour , believe 5:30 7:30 , ever drink hotel bar , know significant saving , complimentary . parking underground always access . elevator quick come go parking area . price 19 per day , , downtown Montreal fair price . Delta Queen Elizabeth , pay 22 per day . least easy access vehicle location secure . also notice laundy centre several washer dryer hotel guest detergent fabric softener available front desk . the staff amazing . dedication customer service start top . manager , Francois go way make sure amazing stay . else would actually contact manager ? ? front desk staff also friendly helpful . go . administative staff concierge always service , cleaning staff , find weak spot regard staff hotel . all , find new favorite hotel Montreal , hand . stay . stay several downtown hotel Montreal , happy finally find Embassy Suites . 
 may 24 2009 	 great location comfy room crowd breakfast 	 elegant new hotel . spacious room well - appoint -- huge jacuzzi well comfortable bed / pillow , gas fireplace . lovely hair / body care product . staff helpful especially friendly child 's need . 's easy hotel relax in . the location can not beat -- Place des Armes metro stop block away , Vieux Montreal minute ' walk away . excellent base family touring . the weak area breakfast . review point line make - to - order omelet way fruit table , prior trip , not seem like big problem . logistic breakfast quite poor . Saturday morning , 9 - 9:30 , line omelet actually stretch restaurant area across elevator lobby , seat area quite crowded . line dense difficult people get fruit . tea water not really warm enough hold temperature cup table , tea would cold halfway meal , potato also really warm enough . pastry cereal great ( easily accessible ) , hotel really need rethink get guest access breakfast smoother manner . People want quick hot breakfast might well go around corner fabulous Eggspectation . 
 May 15 2009 	 engage experience since 5 year travel Montreal 	 request go far expectation : help configure laptop use WiFi room , information project new terrasse , 2 breakfast morning ( 6h30 10h30 kitchen supposely closed ) on . staff really friendly client . ' m use hotel stay Montreal since 5 year never fully satisfied , stop look place ! 
 Apr 27 2009 	 great value spacious centrally locate . 	 wife , 5 - year - old daughter , recently stay 3 night hotel . get good deal online 50 % third night free parking . even without discount , great value large suite ( separate bedroom living room large bathroom ) . like full size refrigerator microwave leftover night nearby Chinatown . location great ; close Old Montreal downtown , well subway station across hotel . staff friendly helpful . breakfast include price , pretty good . small business center 3 computer we check e - mail quick search Montreal . overall , great value family 3 , definitely stay . 
 Apr 16 2009 	 Relaxed 	 spend weekend April 10 - 12 , Montreal . drive Montreal Toronto easy relaxed . stay Embassy Suites , locate old city , comfortable . wait breakfast long worth . strongly suggest try local restaurant , food fresh prepared style . Notredam Basilica 2 minute walk , stunning interior , must place visit . avoid visit basilica service , limit movement inside . take buggy ride city . street european blend , great place walk . cold expectedall restaurant visit excellent . Mount royal great place visit , easy way get drive mountain . plenty parking , main view area 5 minute walk parking . great place spend 2 - 3 day . 
 Apr 15 2009 	 Clean room spacious Great Location . 	 overall loved hotel stay next time visit Montreal . complaint room face construction site get active 6:45am ! ! ! hotel 's fault , nuisance . see attach pic & quot ; view . & quot ; booked & quot ; Studio & quot ; room plenty spacious 2 we . clean comfortable , important we . hotel locate right across street Place Des Armes metro stop . big plus hotel breakfast . cooked order egg , pancake , omelet . plus wide variety cereal bread . staff friendly helpful . look , stay ! 
 Apr 12 2009 	 sweet stay Embassy Suites Montreal 	 wife stay weekend getaway five - year old infant son . overall hotel good value , clean , modern , spacious excellent location . get fair deal deal Embassy Suites website $ 149 / night include free self - serve parking ( worth $ 21 per day ) . lot positive . reception staff polite , friendly helpful . like Embassy Suites , element self - serve expect . room among well furnish design Embassy Suites visit . kitchen feature full - size fridge well dishwasher , double sink , coffee maker microwave . bathroom feature large Jacuzzi tub separate shower stall . convenient counter overhang kitchen couple bar stool replace need dining table . two flat screen tv nice touch . location excellent metro / subway station nearby easy road access sight . hotel address put visitor within walk distance sight eatery Old Montreal Chinatown . but downside hotel . morning breakfast ample chaotic . service uneven well grumpy bad . organization breakfast clumsy long line omelette pancake shortfall freshly bake food ; e.g . croissant . line also block access plate , cutlery , fruit yogurt . another quibble othewise excellent kitchen suite ample cupboard space utensil , plate cutlery provide . city hotel expect compromise . whole , Embassy Suites Montreal worth visit . family expect go back next Montreal . 
 Apr 9 2009 	 WOW great find ! 	 place great . fantastic room centrally locate place . everyone work super friendly . problem find concierge not really know much area . seem look internet everything ( could do ) . not rely concierge real tidbit , hotel world . huge , beautiful room , decent breakfast nice happy hour include . would absolutely stay . 
 Apr 4 2009 	 Great Deal clean 	 stay hotel find staff friendly , room clean location excellent want spend time old Montreal . room full kitchen , flat screen tv gas fireplace . manager 's reception buffet breakfast great . problem lineup breakfast . People wait line make order omelette block access fruit buffet item line slow . overall great experience . wish spend time room . 
 Mar 26 2009 	 wow ! superb cheap luxury 	 venue far exceed expectation . truly five star . the room lush , bed ... oooooh . firm plush . jet bath perhaps comfortable 2 - person one ' ve in . all staff super friendly helpful . something expect , non - french speaker . right edge Old Montreal , easy walk distance boutique gallery , restaurant cute place . however , get downtown area bit , especially walk underground ( entrance underground city opposite front entrance ) . 
 Mar 20 2009 	 amazing find ! 	 book room another hotel , reservation lose , scramble find something last minute . search hour Net , base review Tripadvisor , decide give Embassy Suites chance . pleased ! clean , quiet , spacious , confortable , close Old Montreal downtown core . be even decent complimentary buffet breakfast morning . certainly book . one good value price Montreal . drawback : utensil , pot pan even dish go otherwise great kitchen ... forewarn : stay Embassy Suites day plan cook , bring basic . otherwise , everything perfect . 
 Mar 1 2009 	 can not really beat room ! 	 would say picture say . hotel less 2 year old modern feel . room large suite . Fireplace , LCD tv , basic kitchen facility , modern bathroom . feel like nice apartment . service good , great . 4 star would say accomodation standout part . location good , close area may get stay right downtown walk 10 minute , take less $ 10 cab $ 2 subway get right downtown . old port , near chinatown . I would stay weekend getaway ! 
 Jan 14 2009 	 excellent - good Embassy Suites offer ! 	 excellent property - well Embassy Suites . family five , suite hotel hotel choice . Embassy Suites outstanding hotel . suite exceptionally clean modern , 2 flat screen tv , wireless internet , huge bathroom , closet full kitchen . find people warm helpful , breakfast standard , parking easy underground . location perfect - one block Old Montreal ( lot see , great restaurant ) , Cathedral Notre Dame , Chinatown , etc . HIGHLY RECOMMEND hotel ! ! 
 Jan 2 2009 	 beautiful suite contemporary style 	 family five always stay suite style hotel . room Embassy suite appear newly renovate granite countertop , flat screen tv , comfortable bed one nice bathroom hotel stay . hotel locate across street underground walk foot access subway wide variety shopping . could walk three block center old Montreal evening dining . Breakfast include plentiful sufficient . evening reception include free cocktail . staff good part find everyone frienedly willing answer question . would highly recommend hotel anyone . 
 Dec 21 2008 	 Excellent Value 	 recently join Hilton Honors loyalty program , good experience Embassy Suites Deerfield Beach , book Embassy Suites business trip Montreal . disappoint . staff cater request quiet room away street noise . give room 1103 , two - room suite full kitchen . bonus long - term stay ! room service prompt , serve generous tasty . full buffet breakfast include price . croissant well ! issue jacuzzi tub go sort self - clean cycle around 6:00 , ready wake . write comment card checking , hopefully problem fix . since stay one night venture , unsure convenient shopping , etc . , notice quite close Old Montreal . 
 Nov 29 2008 	 Modern well appoint room 	 Embassy Suite nice hotel second away Old Montreal next Metro subway system . during last stay , upgrade & quot ; executive suite & quot ; include electric freplace Neptune jet tub . room modern , well appoint enough lot space . room type feature partial kitchen ( microwave , fridge , sink , dishwasher ) . dish available requestthis hotel 1 2 year old thing already fail : thermostat main bedroom , fixing around electric fireplace , ... already renovation ( restaurant / kitchen ) certain area hotel . breakfast include rate ok slightly high quality compl . breakfast chain - impressive Montreal . do not get wrong , nice place - good family business people , attentive staff , ... something not feel right , hence neutral rating 
 Nov 18 2008 	 nice room get 	 room remind Hotel Mandelay Bay Las Vegas . maybe funiture nice much nice typical Embassy Suites , Brand new , huge bathroom 2 person air tub seperate shower , 2 lcd tv , comfortable bed , stainless kitchen appliance , location block away Old Montreal . 
 Oct 25 2008 	 much nice average Embassy Suites awesome location 	 stay Embassy Suites Oct. 11 - 15 , 2008 . room 912 . let start two negative get way . first negative view .... interior view look driveway building construction ( basically , view ) . big deal , since not look hotel view . secondly , one evening , despite & quot ; smoking & quot ; policy , waken STRONG smell cigarette smoke . fact bad , actually look hallway 2am see smoke visable , fear might actually fire . never report anyone see rude guest problem , something management control ( however write e - mail afterwards hope maybe ventilation system could examine ) . 's negative . mediocrity breakfast buffet . variety good . quality fairly good average ( frozen breakfast potato , pre - mixed egg mix ommlette , etc . ) . two day thing , ' ve enough want something different . rest quite positive . first , would definately return hotel need return Montreal . literally around corner Old Montreal , across street Metro station easy transportation , modern , immaculately clean , staff amazing people helpful ! one front desk staff , Camilla , huge stand - out we . make restaurant reservation / recommendation , assistance picking tour , greet we name , everything genuine warmth hospitality ( clear love job not something & quot ; expect do . & quot ; one year old , everything tip - top shape . lobby little small hotel size . business center nice , wih three terminal , printer access , private key - access room use internet . room , really quite nice . like small loft apartment city hotel room . faeux fireplace not put much heat , nice touch chilly evening . folk complain previous review dishwasher not open hotel supply dish / supply . read sign kitchen , indicate , front desk call , unlock appliance bring supply dish utensil . everything suite immaculately clean , excellent repair . previously mention smell smoke , absolutely complaint hotel ! caveat ... hotel staff like recommend Bonaparte restaurant ( street affiliate different hotel ) . dinner ... expensive , frankly dish little bland ( Filet Sole , Rack Lamb ) . even price high , would return restaurant . fact , difficult time find restaurant really stand we . one good .... 3 - 4 star , would say . good St. Paul St. call Vieux Port . , secure room $ 225 per night , excellent value ! staff room quite nice . good location ! ! 
 Oct 22 2008 	 great hotel caveat 	 book hotel partner 's business travel , ' m sure price , understand , be good value . stay one suite , leave weekend , return 2 day . suite basically identical . full kitchen microwave , fridge , dishwasher -- though find odd dish silverware anything room ; however front desk folk prompt willing bring anything ask . also suit spacious , bathroom jacuzzi tub large enough comfortably fit two people . wonderful ! also say , staff nice , part - cut razor bring band - aid : ) include breakfast average make - to - order omelette fantastic . , aware , include breakfast end 9:30 - miss first day , still jetlagge , not realize it . the hotel clean new . overall , good experience . now complaint . first day go day return nearly five o'clock find maid cleaning room . go since one , want relax disappointed not finish early . next day show knock door 9:00 morning , even though & quot ; disturb & quot ; door , never return ! seem clean room like 11 4 like hotel . also , internet access spotty problematic , though nice staff front desk helped connect manually system . do not expect much concierge - wise -- not appear really one , front desk say could help busy really interested give good dinner recommendation disappointing . oh , second room stay shower WORK . use wonderful tub avoid dealing issue not want change room , ' m fairly certain would dealt issue promptly complain . still , make sure thing work check ! overall , great location right heart everything Vieux Montreal , right across street Metro station make minute away downtown ( also walkable ) . caveat mind , confident will good stay above - average hotel : ) 
 Oct 22 2008 	 nice but . . . 	 stay Embassy Suites Montreal 6 day early part October , 2008 . lot upside hotel , , relatively trivial downside . first , good . we find hotel excellent shape , give less 2 year old . accommodation , large one - bedroom king suite , overlook Rue St Antoine , light , bright spacious , completely insulate us noise street . ' look rear - face suite , would look onto blank wall building behind , would light be . everything suite spotless , kitchen ( equip microwave oven , dishwasher enormous refrigerator , stove ) bedroom living room roomy bathroom . the suite equip two flat - screen television set , adequate lighting activity evening . king bed simply magnificent , bed linen pillow . adequate supply high - quality towel toiletry bathroom . the breakfast ( include room rate ) excellent – well average cold buffet cereal , juice , fruit bread , plus person hand cook egg like , fried self - define omelette . hot buffet , pre - cook scramble egg available , together bacon , sausage potato . the lobby spacious , nicely decorate spotlessly clean . overall pleasant place sit watch world go . reception staff friendly helpful . evening , manager ' reception hold lobby / restaurant , free drink hand array dip vegetable make available – nice day trek city . the location hotel ' fault – less 10 minute walk old Montreal old port , also less 10 minute walk main shopping area Rue St Catherine , Chinatown , Latin Quarter , Museum Modern Art , Village . Place ' Armes metro station ( Orange line ) almost directly across road easily get central area use Montreal souterrain – underground network 30 Km walkway connect shopping area – perfect rain snow . for downside – much . main problem we despite presence kitchen , advertise self - catering accommodation , practically zero kitchen way self - catering equipment – 4 coffee mug , 2 water glass 2 wine glass . cutlery , crockery , microwave cooking dish , nothing . eventually find everything available housekeeping ask . however , dishwasher detergent seem available , drill leave dirty thing sink housekeeping would take away morning . big - housekeeping ' replace thing ( include original complement mug glass ) . , day ask . seem we silly waste people ’ time effort . deal building activity go immediate area , could noisy dirty , though ' hear anything suite . finally , concierge function seem we seldom present , knowledgeable city . find front desk much useful . overall , excellent place stay time Montreal . 
 Oct 16 2008 	 Nice Room 	 huge Hilton Hotels fan , quick decide stay work conference . 50 % glad 50 % glad . good part front desk service room . bad part construction adjacent build poor service / selection hotels restaurant . want detail stay , see co - worker / sister 's review . oh side note never montreal , aware take good 2 hour lunch long dinner due & quot ; different & quot ; way provide food service . european friend say like home . 
 Oct 11 2008 	 good location service . 	 find hotel great location service friendly . room large - Embassy Suites standard . clean , well lit modern convenience . the hotel lack gift shop , not expect find item like bottled water , newpaper , etc . shop within block hotel . find food acceptable ; nothing special , , service friendly . all good value right downtown Montreal . 
 Oct 9 2008 	 Great Location ! 	 look hotel stay work conference convention center , hotel become fantastic choice ! special King Suites equal less cost regular room nearby hotel . due hotel worker strike Fairmont ( keep eye strike ! ) , boss move hotel far away convention center . since Suites nice big , end give reservation share suite coworker also sister . reception staff friendly helpful throughout stay . room extremely nice . full kitchen nice appliance ( LG fridge / freezeer , dishwasher , oven ... ) even cutlery pot / pan food storage container ( could request ) . sit area pull couch extra bed , LG flatscreen tv , free wireless access . bedroom great King bed flatsceen tv . room could closed slide wood door . bathroom huge one entrance bedroom one room 's entrance hall . small glass stand alone shower , huge two person jacuzzi tub vanity area additon sink vanity . the robe povide ok , would like something soft / plusher . toiletry nice , however small problem replace housekeeping . reception inform , two day occur , send nice bag full extra ! couple comment room design ... closet location bit odd . one bedroom tiny small chest drawer . dresser anywhere . hall closet behind kitchen narrow hallway , near thefront door . room safe provide . mirror bathroom . location perfect . walk across street get convention center . China Town short walk one way Old Town Montreal short walk . could also easily walk one many underground mall entrance . during time , much Old Town Montreal construction , include build adjacent hotel . experience serveral rude awakening jackhammer right 7 am . even though 11th floor , sound like next door ! good thing meeting get to . the complimentary breakfast expect . Buffet style , cereal , bread , egg , waffle , juice , make order omlette .... save time money ! evening Manager 's Reception great touch , complimentary select drink veggie / dip/ pretzel / salsa / chip snack . give ticket check - in both . the one complaint hotel food selection lunch / dinner . extremely limit discriptive ... order ceasar salad lunch vegetarian , surprised arrive bacon bit . discription . also , service leave much desire . inattentive . want anything ( order , check , refill ) basically flag nearby waitstaff manager go search . waitress mention busy excuse . make sense . two waitress manager work 5 table ( one two people , one large party ) . find type service similiar Montreal restaruant , experience extreme ( brief description ) . would strongly recommend restaurant sit meal . odd attention receive buffet style breakfast Manager 's reception , probably mostly self - serve not require check . as side note , tell king suit separate jacuzzi tub , tub / shower cutlery , etc , kitchen , may need request . 
 Oct 8 2008 	 Nicest Embassy Suites ever stay 	 stay one night Embassy Suites love . room far upscale Embassy Suites ever stay . granite counter , stainless steel appliance , 2 large flat screen TV 's , halogen lighting , gas fireplace , large jacuzzi tub , chic decor . bed comfy , room quiet . staff helpful polite . free breakfast standard E.S . fare cook order egg , etc . parking garage little hard find , turn right main entrance garage door open automagically . hotel 10 min walk Old Montreal 15 St. Catherine Street . definitely stay . 
 Oct 6 2008 	 Great Hotel Great Location 	 wife stay hotel last moth two night . location excellent business traveller tourist alike 's close Le Palais de Congres , Old Montreal , Chinatown also shop St Catherine Street . suite extremely well equip usual Embassy Suites amenity include HD LCD tv 's sit bedroom area . buffet breakfast wide assortment plus omlette station satisy anyone Managers Cocktail Reception outstanding great Martini 's ! ! hotel not cheap well worth stay 's excellent value round . 
 Sep 23 2008 	 Nice Embassy Suites Experience 	 stay Embassy Suites concert one night use Hilton Honors award . overall , hotel 's appearance wonderful . check - in experience wonderful front desk attendant willing give recommendation restaurant area . the room look relatively new give King Suite Jacuzzi . kitchen area nice touch fridge microwave along granite countertop . almost feel like 1 bedroom apartment city . area little quitet weekend . construction go area , ' m sure will look nice construction complete . Breakfast Buffet nice selection , include cook order omlet statation . be Montreal , will definitely go back hotel . nice Job ! ! 
 Sep 11 2008 	 good experience part 	 good area close Old Montreal . Front desk staff helpful . mechanical problem room move two time , time upgrade well room . part room nice . want participate free breakfast go early everyone go 9:15 stop serve 9:30 . 
 Sep 2 2008 	 fantastic location 	 great location , fantastic value money room . front desk staff really friendly helpful . 
 Aug 29 2008 	 Brand New Unusual Design Great Location 	 stay couple night August , 2008 . drive town , first thing notice 720 construction MapQuest direction not help , hotel easy find ( complaint , caveat drivor familiar area ) .The location hotel FANTASTIC . right edge old town , block Chinatown , downtown underground mall , McGill , etc . ( within walking distance ) , right across street ( catty - corner ) Place D - Armes metro station . Metro great - easy use , expensive , punctual . use Metro go Olympic Park , back Mount Royal park , walk back hotel . take 15 - 20 minute top edge Mount Royal park back hotel . the design hotel bit unusual . brand new , contemporary look feel . room small ES property , understandably type setting . two room - one whirlpool bathtub bathroom setup , normal bathroom setup . whirlpool nice , compensate , shower stall small , could not bend without knock door open ! look room property nice sleek , seem though practicality miss ( lot open floor space bathroom , tiny shower , little shelf space ; could not get around 2nd double bed without hit wall head mount tv , etc . ) . minor nit , kind interesting . 2 tv suite , 1 LR , 1 br . also bar area kitchen high chair seating . room could fit 2 people problem , 3 4 much difficulty . the staff pleasant helpful - front desk restaurant bell stand management . dining area kind small size hotel , always crowded breakfast manager 's reception , well stock food drink , staff keep thing clean move . might recommend get towards begin time slot make sure get table . seat outside well nice weather cool . breakfast selection great - lot selection always well stocked . we issue happening floor - one night - management resolve problem swiftly satisfaction . , highlight stay great location , full breakfast ( keep we feed well late afternoon ) , hotel staff deal ( esp . manager LaChance ) . Montreal , would likely stay . 
 Aug 12 2008 	 wish stay long ! 	 stay overnight way back Montreal . extremely impressed room , low price ! modern - hotel seem brand new . comfortable bed spacious room , mount plasma tv . huge bathroom , combine tub & amp ; shower . downside breakfast finish extremely early ( 9 am ) . partner able bring tray food room though , mean able much need sleep . laundry facilities hotel , come handy . location wise , close Old Montreal within walk distance downtown . return Montreal , definitely stay . 
 Aug 6 2008 	 excellet choice Montreal 	 spend three day end July . staff courteous , helpful responsive . example : iron break , need extra towel toilet get plug . case response less 10 minute ! 's outrageously efficient standard . we know go parking charge accept part cost vehicle secure prime location major city . room excellent two minor drawback -- towel rack rather small shower stall . need dishware dishwasher -- fridge . breakfast buffet indeed congested staff roll , . recent poster want table service , sure , think would happen reasonable room rate ? talk manager ( quite charming ) explain 's simply difficult gauge many guest arrive time . still consider quite bonus get nice buffet include room cost . the evening reception adequate -- would miss offer . contrary poster , find front desk staff helpful , unfailingly polite eager assist . location splendid -- Metro near , close Old Montreal Old Port , various interesting neighborhood ( Latin Quarter , Chinatown , Village ) .In sum , Embassy Suites great bargain , conveniently locate , offer excellent customer service . 
 Aug 4 2008 	 good deal overall 	 quick overnighter Montreal . need place decent close Old Montreal , not want pay much consider little time time around . the ES good rate , be new ( almost brand new ) . walk distance thing Old Montreal -- fact 's fringe , location ( Old Montreal ) good . room spacious , say , new . service good . staff handle breakfast courteous friendly . Front desk valet people nice . also , answer email fast . breakfast include room , would suggest go early not want trouble find table . btw , could use well ventilation open kitchen . could smell cook lobby well floor . our room separate shower tub . surprised shower stall not big . certainly bathroom large enough . be fine . toilet seat stay difficulty , big deal . Toiletries Bloom . nice . kitchen room , though want silverware , etc call downstair ask . full size fridge . microwave . coffeemaker . nice . crazy thing , though . dishwasher turn several time blue . Aircon . cool efficiently . window open , 's want .... would come back ? sure , quick . long stay , think would opt something bit luxury feel . nothing ES , though . 
 Jul 31 2008 	 wonderful stay 	 book hotel base locaton , price review tripadvisor . find room comfortable , clean adequate . not use kitchen can not really comment . staff friendly even recall come breakfast one day . breakfast great - everything could want - fresh fruit ( strawberry & amp ; pineapple pick bunch ! ) , omelette , toast , waffle , pancake , pastry , scramble egg , cereal , coffee juice . location also great - right near notre dame , old port great restaurant . stumble across great french restaurant 2 block away ( Bonaparte ) great 6 course degustation menu 's thing . overall , wonderful stay . 
 Jul 31 2008 	 disappoint 	 - hotel new great location . 's area downtown quiet ( except construction ... see last part review ) clean . easily walk Old Montreal without stay chaos . - breakfast good . cooked order omlette , fresh fruit , etc . pretty typical Embassy Suites . weekend busy crazy . usually take tray room could relax enjoy eat . - room clean picture website accurate . nice separate shower jacuzzi tub . yes shower small , bathroom large . surprised mirror makeup counter make easy two people get ready time . , nice unwind jacuzzi tub day mile walking.- bedroom separate way . typical Embassy Suites set . separate pocket door living area . big deal , something aware people sleep pullout sofa.- parking expensive ( $ 26 / day - valet ) . garage right across street less . charge 2 day valet instead 1 . point , refunded front desk manager immediately.- construction . try stay odd numbered room / one face front hotel . build across backside hotel start construction 5:55am ( seriously , joke ) . stop Saturday Sunday , Friday morning miserable ! all - in - all , would stay . 
