CLEAN 	 stay London travelodge , never South Bank . excellently locate hotel , 100 yard tube station Southwark 5 minute walk Thames . great base want bed night clsoe amenitie London town . reception staff helpful . 
 Mar 9 2009 	 would recommend ! ! 	 pleasantly surprised stay Travelodge . Booked Travelodge website £ 9 one night £ 19 second night , bargain ! ! hotel look pretty much brand new . room clean comfortable . staff friendly helpful checking . room overlook railway track 2nd floor although plenty train go past , not hear thing , not problem . location quite quiet , especially night . be several nice bar restaurant area Southwark station 2 minute walk away simple get town . would definitely recommend . 
 Feb 27 2009 	 nice cold 	 stay need go conference normal standerd travelodge . people polite problem cold room could not find anything would warm . however noisy air conditioning system . not eat restraunt find food expensive . 
 Feb 27 2009 	 Great Trainspotters 	 short , thew bad hotel ever stay . upon arrival inform hotel spend £ 75,000 soundproof , however , stop wake every night 23:56 Victoria Waterloo train . highlight stay check ! also annoying problem lift ! 
 Feb 25 2009 	 Brilliant budget accomodation 	 book way advance order get room £ 19 . aware walk distance Waterloo Southwark , not realise close Southwark tube station . hotel amazingly clean , room pristine . quite basic room , expect £ 19 . large double bed comfy , air con / heating room , tea & amp ; coffee make facility , flat screen tv , plenty pillow ! can not go wrong ! check easy chap helpful . Breakfast feel little expensive £ 7.50 ( buffet style ) , add cost room , turn ar £ 34 us B & amp ; b ! can not bad ! although room look onto train track , window really well insulate never hear thing . shower remarkably powerful abundance roast hot water ! massive snowstorm hotel great finding information regard transport require . definitely recommend return . 
 Feb 24 2009 	 £ 9 room ! ! ! bargain ! 	 2nd time stay Travelodge . 2 min Southwark tube Jubilee line . 4 stop Bond Street . think location ideal . go Vinopolis Sunday within walking distance . also close Borough Market . there shop next door hotel sell newspaper / snack etc , alcohol . walk bit road costcutter . to avoid train track , request room look . usuall accomodate busy . will not view ( building oppo ) , quiet night sleep - hear noise . room 418 ! ! comfy bed , clean room , much space ideal location get about . only fall shower ...... slow trickle , annoying hey one night pay £ 9 unbelievable . staff check extremely friendly helpful ! ! 
 Feb 20 2009 	 surprisingly good 	 expect little bias Travelodge work Premier Inn could not resist book hotel cheap . book saver rate work well value anything could get company central London . hotel great location near Southwark tube station . actually walk past entrance look like office build small sign door . arrive 2:50 pm check 3 pm . think little strange tell could check 3 pm pay addittional £ 10 . surprisingly wait bar along six group people till 3 pm wait queue 15 min check . would think could check whatever time make thing easy staff guest . the room give quite nice . basic budget hotel tend . room clean well furnish . bathroom perhaps little small really problem . we issue stay though . reception not staff various time day . wait occasions member staff appear back office . fire alarm go 8 am day departure - talk wake call . presume test go four time . understand alarm need test would make sense test time later day people not sleep . overall nice place stay . think negative point find rare occurance not put anyone stay . be look place stay 's cheap central would . would definitely stay . ' m visit London later year book Travelodge Liverpool St see compare . finger cross ! 
 Feb 17 2009 	 Excellent value money 	 stay Southwark travelodge London valentine weekend . bit apprehensive go due get room £ 35 night ! ! total bargain , thought must catch somewhere . arrive king Cross train station get Piccadilly line Green Park change onto Jubilee line Southwark . really simple quick . within 10 - 15 minute Southwark tube station . directly across road Costcutter ( excelent cheap beer , wine nibble ) less 2 minute walk away hotel . hotel open May 2008 everything still fresh new . stain carpet mould tile bathroom . slight drawback could check 3 pm . room large ( especially London standard ) , clean even tea / coffee make facility . basic contemporary design . eat hotel breakfast buffet £ 7.50 per person evening meal bar . find fault hotel whatsoever . last time London stay Premier Inn County Hall £ 200 2 night . room size although slightly central , still buy day pass tube £ 5.20 would highly recommend Southwark fantastic value . book even early could got room little £ 9 ! ! unbelievable . use money save acommodation see couple musical . 
 Feb 9 2009 	 Excellent Base Central London 	 husband stay travelodge Feb 4th - 6th . book via website £ 19 per night , budget hotel perfect need . close Southwark tube station ( 1 minute walk ) , convenience shop next door , plenty pub around . breakfast one morning , nice although bit pricey £ 7.50 . staff friendly helpful need , let we check slightly early arrive 3pm . basically get pay - frill hotel , clean , comfortable cheap find central london . plan return hotel next visit London . 
 Feb 9 2009 	 frill ! 	 stay 3 friend girl weekend . get deal £ 50 per room pay extra £ 10 early check ( midday ) . pay room cheap overnight stop London . 2 room 7th floor one 4th floor . one room much big ( 7th large room ) .The bathroom new clean , bed double , although single sofa bed room . mention bed make sheet etc leave bag . surprisingly tea coffee room although hairdryer . plenty towel . the bed ok , although stay Premier Inn well there . the location initially look bit grim , grotty pub opposite , near Southwark tube station London Eye plenty bus round corner . check bit slow arrive ( midday ) bad . if want cheap nonsense hotel London would stay may look around budget hotel compare quality etcThere shop next door sell drink , sandwich snack etc handy seem open fairly late . we discover tapas restaurant road opposite Southwark Street tube station , would come handy realise night ! 
 Feb 8 2009 	 okay 	 Southwark , London Travelodge would okay find not many different lane car road London , clearly spot . 's close newsagent local park , opposite Travelodge . staff okay be outside smoking . inside hotel cafe , yo get lift upstairs disabled . option take stair . car park next Travelodge handy . room nice , sofa underneath bed double bed family three . night gangster teenager shout smoke noisy night . view pretty nice be look common flat River Thames sight . locally Metro bus stop tram station travel around London . location could not well nearby pool leisure centre , different museum thing . 
 Feb 2 2009 	 great stay hotel 	 return 3 night stay hotel , 11 year old daughter . find great , safe location . room 2nd floor spacious , bed comfty , etc , yes tv small curtain tolitrie want 5 star would pay 5 star thing do not really matter city break . staff friendly help we query , enjoy breakfast every morning find reasonable £ 7.50 child eat free , fill we day sightseeing . location great find quiet safe return hotel dark evening tube minute road . pop Lord Nelson bar across road staff really welcome give we board game sweet kid , great night , worth visit nice drink . definately return hotel . 
 Feb 1 2009 	 New building ; little else . 	 stay last day spend 4 week USA ; mainly good western property . staff talk , two remotely helpful . property new , funky little room keep promise good stay ; every turn disappoint . seem like one try . room clean one day , one towel leave twp person room every day , bad cleaning , ask reception soap toilet paper not replace , smelly room , loud door , UHT milk room date , un- adjustable air con , lift dirty common area clean .. seem go .. seem like whole point penny pinching , part hospitality industry . I keep try like , every time say & quot ; must & quot ; something else happen drag . not mind next train line , that s sort fun , insolent staff treat like interrupt real work make angry . never ! ! 
 Jan 29 2009 	 find another hotel 	 even price hotel good , it´s basic , didn´t even put sheet sofa bed , put plastic bag front door , arrange , incredible ? ? ? room smelly , like humidity , turn window beside rail train ........ well imagine .... hear good advice don´t go hotel , want least minimal accomodation peace mind 
 Jan 26 2009 	 can not fault location 	 everyone know Travelodge no - frill experience , one use 4 time problem . bed comfy , bath adequate well build male , ok need . close Tate Modern , Southbank , Imperial War Museum , mid - way Waterloo London Bridge station , plus 2 min Southwark Tube , ideally place . contrary suggestion area rough , be anything , regeneration take place form new office Southwark Street . restaurant cafe 's Cut opposite , also restaurant wine bar near Blue Fin Building ( IPC Media HQ ) Southwark Street . want good breakfast , lunch , try first Frank 's Cafe Southawark st ( must good local tradesman cabby eat ) another cafe Great Suffolk Street - leave hotel , railway arch , leave light 's 300 yard leave . 
 Jan 25 2009 	 surprisingly good 	 surprised Travelodge branch London Southwark . the hotel stone throw Southwark Underground station 5 minute Tate Modern Gallery . nice area good choice pub sight local vicinity . when enter hotel welcome staff friendly helpful , check process quick . room 402 hotel , clean nice touch . disadvantage view room , look rail - track . I would recommend go breakfast option staying weekend . cheap place Southwark area . go somewhere like Blackfriars Cafe 169 Blackfriars Road good fry breakfast Young 's pub near Tate Modern . all , visit London would stay here . positive point 1 . clean good functional rooms.2 . good security . electronic lock front door electronic floor door . 3 . friendly staff.4 . good location Negative Points 1 . air - conditioning unit complicated could not get work properly 2 . room door use shake someone else floor close . 3 . limited choice television channel . could not get BBC3 , BBC4 digital channel . 
 Jan 20 2009 	 Brand New Bargain 	 not book old roadside travelodge , travelodge create creaky old hotel see well day . brand new Travelodges bargain , £ 19 Central London pretty unbeatable . Travelodge close Southwark tube decent restaurant Cut Bankside . simply Food & amp ; around corner , room good . be barely equipped , modern design not make feel cheat . feel ' minimal ' design , rather penny - pinch style . plasma screen tv work , blind job , carpet good condition , bathroom new . yes , bring buy toiletry , towel frill . yes , wi - fi extra , tea coffee limit , clothe hang open rail rather wardrobe , not phone room . mobile signal strength good , bed comfortable . think excellent , certainly price . two cautionary note : cafe restaurant look expensive rather underwhelme range food , not breakfast . access ground level take straight street bedroom , ' m sure safe single traveller , woman traveller unfamiliar London might feel . swipe card require access bedroom floor leave lift , still feel little isolated . overall , really good money . 
 Jan 11 2009 	 Basic ok 	 Basic room , take toiletry though ! comfy bed clean . good location . naff cook brekkie , ok 5000 sausage £ 2 , rock solid bacon tin tomatoes type food £ 7 , bit cheeky ! ! friendly helpful staff great plus budget hotel . 
 Jan 8 2009 	 great VFM 	 ideal location 2 min walk tube 10 min walk Waterloo . room clean . need small wardrobe drawer though use sofa bed daughter 3 hanger directly bed live case 3 day problem . eat Bar ok feel sorry 1 member staff serve bar serve food pleasant though despite busy . food clearly freeze / chill pre prepared cook ( microwave think order ) nice price would eat . breakfast serve bar busy bar small room hotel good selection offer constantly refill . complaint breakfast staff slow clearing table cause queue table . would definately stay though . 
 Jan 8 2009 	 Great Location Modern Travelodge 	 well locate Travelodge modern ( room airconditione ! ) well locate close Southwark tube , Waterloo station attraction South Bank ie London Eye , Aquarium , Tate Modern , Imax etc within walking distance . book one Travelodge 's cheap deal family room 2 night weekend . room spacious ( much way clothe storage ) clean , bed ok soft , window open . hotel open last year still good condition , fine Travelodge - know expect fine . bar / cafe not use , pay £ 10 early check - in facility leave luggage annoying ( use leave luggage facility Waterloo station £ 6.50 per item ) . room directly overlook train track could noisy - lucky train noise till Monday morning , bad expect . stay many travelodge , one well one would happily stay long price right . 
 Jan 6 2009 	 Great value 	 2nd stay Hotel last 3 month . manage get £ 19 room time ( unbelievable value , especially London ) .We family room time round , lovely last time , big sofa bed adequate little boy . hotel really clean , enough towel , bed tea , etc . we walk embankment time ( Southwark tube close ) .. surprise straight - forward 20 minute walk ! little noisy time round , guess depends stay Hotel time . my mum room also , unfortunate one back train track run - say noisy keep awake night . would recommend Hotel , book early exceptional value . nb : not check till 9 pm worried , check - in straight - forward problem . 
 Jan 4 2009 	 Great Location 	 hotel recently open stay reception bit messy great . room comfy air conditioning view St Pauls ( train line ) . 10 minute walk Tate Modern 2 min walk tube . I would certainly recommend stopppe people would think use go London . price location great . 
 Dec 29 2008 	 Perfect location - great value 	 great location great value ! book 3 night mid - December £ 19 / night sale Travelodge website . sister USA visit husband family room suit we perfectly . colleague warn Southwark rough place problem -- need use common sense , would anywhere . room ideal everything need -- clean bed towel . nice cuppa well ! not buy breakfast comment . seem expensive . instead , bring bowl , spoon , cereal , box long - life milk . trick cost hardly anything . money save three day pay lovely dinner one night London : ) 
 Dec 28 2008 	 agree possibly good Travelodge UK 	 hotel get 5 star rating becuase 5 star hotel , sheer value money recent stay could fault . along poster comment probably good Travelodge uk.hotel situate Union Street 1 min walk Southwark Tube Station ( although Waterloo less 5 min away along Cut ) Buses 45 , 63 100 Night bus N63 pass hotel . blackfriar 10 min walk across bridge location great . yes hotel situate Waterloo East / Blackfriars trainline meet , room back overlook train line , tip ask high floor , noise bothersome high up . full mark go check staff let check early 2.30 instead 3 pm without charge . Travelodge notorious enforce 3 pm check rule , nice see customer service ! hotel new build open May 2008 , room update Travelodge variety i.e . white duvet . the bed little soft side , although pillow adequate . room 15 & quot ; LCD tv wall , quite nice mood lighting change also departure Travelodge room actually wall art one wall instead 4 white wash wall ! ! quite totally basic . bathroom clean tidy , double give shower bath , shower powerful one anyway . Travelodge law provide bar soap classify hotel , get way toiletry bring own . tea coffee make facility big plus travelodge leave gob smack . air conditioning ! ! ! work treat , cold hot ! ! room back mention overlook railway line , although get stunning view London upper floor St Pauls Cathedral . hotel would charge premium type view Cathedral ! ! hotel also one quiet Travelodge 's stay although may lucky Christmas period . chain notorious door slam easily attract large group respect guest feel need shout corridor first thing morning . superb value consider pay £ 9.00 winter sale promotional rate definately would stay ! ! 
 Dec 21 2008 	 rare value money London 	 OK Travelodge , , get pay . case , would summarise VFM ! room clean modern looking : flat screen tv wall bed , lead bedside light . Decor ultra modern rather plush . I book early pay £ 60 last Friday night Christmas- probably busy night year town office party . the hotel 5 min walk Southwark tube 15 min West End City . will probably change line least get onto Jubilee line , close enough make price room well worth it . I 1st floor , side hotel train line , noise street . crawl bed 2 be still partygoer head home outside noise evident rather intrusive . want early night 's sleep kid , may want request room little higher up . as Travelodges- not get shower gel shampoo supply make sure take . 
 Dec 16 2008 	 great experience ! ! 	 great stay hotel.we book travel lodge web site get family room £ 32 ! ! great value money clean convenient . I reservation stay outside city always stay centre proove great location . it take 10 min tube reach oxford street .The southwark tube station 2 minute walk hotel bright modern.the room , frill etc tea / coffee soap , bed really fresh too . it great see tv perfect picture english channel . you could purchase breakfast eat hotel , decide go option great breakfast local cafe past tube station delicious £ 2 huge sausage sandwich delicious coffee.there downside though 3 pm check nightmare wait line 30 min , would pay £ 10 extra next time early check in . also nowhere store luggage tell good option leave leave luggage convenient train station . we overnight bag carry around day could problem lot luggage . we also contact reception bed son , instanly rectify . there local costcutter road want extra sullpie reasonably pricedour room great view ( trainline ) train go pass huge disstraction really noisy . I would recommend highly ! ! 
 Dec 15 2008 	 basic functional convenient 	 although hotel basic , good location 2 minute walk near tube . clean ' even think ' build long . area quiet feel safe female . room meter main train line notice train curtain open , noise ! problem encounter queue check . check 3 pm daily 6 people front meaning take 25 minute get check many behind moral check bit later . 
 Dec 14 2008 	 nice would reccomend everyone . 	 stay weekend ( 13/14 december ) happy stay . DOWNSIDES : - family room allow 4 peep either 2 adult 2 kid 1 adult 3 kid 2 adult 3 kid pay 2 room one room go unused room big child young ( young 4 ) plenty room we one room prefer sleep together . allow first place could save £ 70 . - ur back hotel close train track hear people complain noisy really honest never hear thing train sleep til 8 am , maybe quiet sunday morning . - dispite hotel 7 floor huge amount customer cafe area serve breakfast quite small recommend get breakfast quite early leave latish let get do buffet regulary refile shouldent miss out . UPSIDES : security fantastic use roomcard get public area corridoor room . - room air conditioning , plasma screen , kettle tea coffee milk sugar . clean towle sheet . bed make make kid bed dident mind . - room spotlessly clean , bathroom spotless . - staff extremly friendly even help tourist question lol - great bar / cafe huge light , nicely decorate plasma screen frienldly staff reccomend u want food do not leave late go 9.45 tell stop serve even though menu say til 10 . - breakfast well stock choice toast , tea coffee , complete english breakfast buffet , cereal , coissant , muffin , fruit salad , yogurt , juice 7.50 adult kid eat free pay adult go refill may times want believe kid take challenge . - hotel quiet dispite good amount customer hear people hall ect . - 2 minute walk southwark underground , quite pub food find costcutter underground kid could stock munchies.i would recomend hotel anyone need somewhere stay area even area close tube . 
 Dec 12 2008 	 AWESOME - LOVED ! 	 partner stay 4 night awesome ! newly refurbish airconditioning , plasma tv , really comfortable bed ! 2 min walk Southwark tube station ( get turn leave main road ) . near 3 pub lot great restuarant laundry . staff ok , manager , Tanner , oustanding - help anything need . breakfast cost 7.50 ( pound ) pre - pay 6.95 ( pound ) book internet . also serve lunch dinner internet reception . 2 security door outside really safe . HIGHLY RECOMMENDED ! 
 Dec 11 2008 	 Excellent value money 	 Travelodge Southwark new hotel outside still look like work progress inside modern clean . book family room online 3 adult discount price , get 3 night around £ 170 excellent London hotel . check quick efficient , hotel desk situate 2nd floor find bit unusual . room rear hotel spacious curvy ! flat screen tv wall change channel bit dodgy . downside view window basically brick wall train track top ! noise train be not bad night ( live main road use traffic noise ) bathroom clean bath power shower room air conditioning . the room clean tidy every day clean towel coffee / tea etc top . staff deal polite helpful . they provide breakfast think bit steep £ 7 find greasy spoon around corner run lovely lady : ) breakfast room always full though . there several pub walk distance ( one right road hotel ) tube station approx 2 minute walk hotel . overall want cheap , clean , basic hotel one 
 Nov 29 2008 	 fantastic location value 	 new hotel , 5 min walk tube within walk distance attraction westminster abbey , london eye . we breakfast day . excellent value especially pick mid week special ( 2 adults,2 kid ) stay 3 night around 160 pound . 
 Nov 17 2008 	 could ask ? ! 	 arrival , wait minute whilst friendly receptionist find we room .. room spacious clean , bathroom , downside view window ... directly infront us huge disuse metal box ! ( small private car parking space ) literally block natural light abit eerie , plus side , quiet dead end road , car traffic rowdy antic ! however , London look outside window four day , be not big deal ! ! maid clean room daily always , always leave we tea coffee , new towel fresh bed linen . everything close central spot , south bank short walk away , magical night time , light hustle bustle , go fantastic restaurant along here . there costcutter store round want get nibble , biccie , crisp etc . southwark tube station generally quiet two minute walk away travelodge , bonus . the negative thing say place times wake drunk people stomp along hallway talk really loudly unholy hour morning , pro stay way bad point long shot .. definitely stay , next march infact ! great value money , clean basic , great base explore city . 
 Nov 15 2008 	 good place stay 	 live Paris year decide jump neighbor London . want stay cheap central location able visit interesting place , be find Travelodge London Southwark ! check tripadvisor sure review ok , choose hotel . we London finally 7 - 9 November ( good time sightseeing 2 - year old girl ... ) .but anyway , hotel super , quite new , clean , personnel kind helpful . first time stay travelodge , will surely stay next time base experience . in room ( 2nd floor ) hear noise review refer ... location hotel also good , km walk direction see tower , westminster st paul . Metro station ( southwark - jubilee line ) meter away well several bus line . dinner big deal ... next street cheap restaurant find , try breakfast . 
 Nov 13 2008 	 beware train ... 	 stay hotel two night early week colleague . check quick easy relatively new Travelodge , bedroom , café bar , reception etc smartly furnish . I bath check plug attach chain , could pull let water love money , advise reception . return dinner , take plug reattached chain , next guest problem . when check dark could not see much window . however 5.45 morning rudely awake first many loud train roar past , 30 foot bed ( please see photo see close track - 4th floor ! ) . noise unbelieveable - would urge anyone plan staying ensure get room opposite side hotel plan get decent night 's sleep .... go shower get find not work - water come tiny drizzle . well pleased , bath try put plug slight angle could get . train , not relax start day .. ! despite report reception shower work assure problem log , still work follow morning ( yet awoken train ) , quite unacceptable . pay £ 89 per night hotel ( exc breakfast ) will not stay . ' ve stay Travelodges usually happy , time . perhaps unlucky bathroom ( result lack service ) value sleep could cope train ! 
 Nov 10 2008 	 basic clean 	 spend one night business . the first problem experience give door security card room , turn someone else 's room ! walk right - luckily , time , obvious security issue . prepare write mistake make , man reception polite apologetic ( though money offer ) .However , level cleanliness room acceptable . look like room give quick clean part therefore never clean . toilet bowl clean , pedestal streaked brown yellow stain . edge around room line assorted crumb hairy detritus suggest never properly vacuum . spongey sofabe ( family room ) also stain , glaringly obvious crusty white mark . look like someone wipe hand make cake , though reality probably revolt . the air - conditioning / heating complicated instruction . phone room go 6 floor reception find use it . on plus side , fairly quiet London , close underground station . 
 Nov 9 2008 	 impress 	 Travelodge pretty basic , standard high . think must new building ? everything look modern & amp ; new ... impressed & amp ; would definately stay future london visit . good security & amp ; helpful staff . we stay one night . excellent value money - stay central london , clean comfortable room £ 49 , although think rate vary deal etc .. not need check midday . pay extra £ 6 wonderful ' eat u like ' buffet style breakfast .. cook , cereal , fruit , toast .... absolutely recommend ! nice area . lots taxi be about . tourist site within walk distance.2 min walk tube station . less 10mins walk thame , 20mins westminster .... 
 Nov 4 2008 	 Best Travelodge UK ? 	 possibly good Travelodge UK . ( family 3 ) stay 2 night October half - term . stay Travelodges ( good , bad ) one excellent . location absolutely superb - 2 minute safe walk Southwark Tube station , 5 minute walk Southwark Bridge ( therefore minute walk away city ) , 10 minute walk Tate Modern . hotel clean , room clean , great stay . 
 Oct 21 2008 	 Comfy bed die ! ! 	 really please Travelodge . one London one far well , probably quite new one . everything need sightseeing time . bed amazing soooo comfy ! ! plasma screen tv , kettle , tea , coffee , really lovely shower chair desk . storage space tiny side stay 2 night fine . stay London go 02 see Lee Evans , £ 25 way taxi boyfriend not like tube train , four we not bad . hotel not far Waterloo ( walk wrong way hotel - mean heading leave dungeon ! ! ) fifteen - 20 minute walk . think pay £ 60 night good location . super market two minute away turn hotel turn right . problem two travelodge visit give one set towel , time able get another set reception quite easily . would recommend hotel anyone . 
 Oct 19 2008 	 perfect location 	 15 yr old daughter stay 3 night tue - fri . Location wise 2 min walk Southwark tube jubilee line . reception 1st floor vend machine also sell drink ( break throughout stay ) sweet toothpaste , shampoo paracetamol . check quick hassle free.we 7th floor room double spotless . flatscreen tv kettle , coffee & amp ; tea make facility 2 teabag coffee sugar milk provided.the window floor ceiling have not head height .... oops ! ! ! ! bathroom spotless towel change daily bed make bin emptied.we arrive lateish 1st night decide eat cafe / bar .. unfortunately tell delivery do not arrive day limited choice . choose soup ( veg ) bread be not impressed identical one that s sell aldi 50cent tin.breakfast good , sausage rasher , mushroom bean delicious scramble egg .. also cereal yogurt etcthe downside storage space , 5 hanger that s , nothing else drawer etc akward teenager LOT CLOTHES .. would definately stay short walk bankside tate modern shakespeare globe . 
 Oct 17 2008 	 basic cheap 	 pleasantly suprise room rate £ 49 midweek overnight stay Central London . room basic adequate one night stay , clean bed comfortable . disappoint thing ; 1 towel provide 2 guest think bit stingy . hairdrier chair seat sit bed 
 Oct 7 2008 	 great place stay excellent price . 	 spend age computer look room would take 3 adult without add extra £ 30 third adult sharing ie : novotel & amp ; holiday inn , premmier inn allow 2 adult per room web site . son autism 21 need room three we . this first time travelodge please hotel . room 6th floor overlook many set railway track disturb . view top St Pauls , gerkin , tate could see dockland distance . room spotless comfy double bed crisp white linen also double sofa bed . complementary soap bathroom even though say web site supply toiletry . flat screen tv wall , tea / coffee etc . the lady check us pleasent helpful . the hotel excellent location load go around , borough market , load good old London pub great history . southwark tube station along end street keep walk along Cut come Waterloo train station . manage show son transport , war science museum , big ben , piccadilly circus , trafalger square etc , etc , etc . come back next year fit London plan stay travelodge . 
 Oct 1 2008 	 great value speical price 	 book hotel website directly , since get super saver price Sunday . stay night arrive London . 29 pound , wife fully satisfied . the hotel nice take 2 - 3 min Southwark tube station . place clean , tidy large expectation , check breakfast include , shampoo , luggage store since place convenient 's okay we stay one night . 
 Sep 17 2008 	 Excellent Stay 	 bad experience travelodge past doubtful staying need cheap hotel 1 night London go gig Royal Festival Hall South Bank . after read review website make book pleased choice hotel hope Southwark Travelodge would like upto review . the hotel easy find - short walk Southwark Tube Station . although roadwork right outside hotel , do not disturb we all . we pay extra £ 10 able check 12 noon . check quick staff friendly . our room 7th floor ( top floor ) . room good size large double bed sofa , also become bed require . plasma tv , desk , bedside lamp , tea & amp ; coffee make facility . bathroom basin , wc bath overhead shower . the room bathroom extremely clean . from window could see St Pauls , Gherkin , Tower Bridge Canary Wharf ! hotel 15 - 20 min walk river Southbank Center . couple min walk Southwark Tube Station big advantage . the negative hotel near train line train run til midnight start early morning.i would stay hotel . 
 Sep 3 2008 	 good location price London 	 book hotel 4 month advance internet , Location great 2 minute walk Southwark tube station . close Thames . pay GBP98 two night . room clean , bed comfortable , LCD tv tea / coffee facility room . restaurant site serve buffet breakfast GBP7.50 . new hotel . staff pleasant enough . room allocate double bed staff happy change room two single drama . good experience would recommend hotel . ( even pub directly opposite though not go ) 
 Sep 3 2008 	 great comfortable base London tourist ! 	 great experience Travelodge . Booking & amp ; checking - in easy ! problem ever . check - in left thing , knew need anything . go reception twice though , request tea & amp ; milk sachet . room comfortable , basic & amp ; clean . need base London trip . spend three night . air conditioning great , night warm . never hear thing anyone else , slight sound train wake we , even though light sleeper . bed comfortable . flat screen tv work fine . channel 1 - 5 & amp ; radio station , not watch tv . everything work . bathroom clean good shower , toilet , basin , bar soap , plenty towel , loo roll & amp ; plastic cup . room much storage space , i.e . drawer keep undie . fine , put shelf open wardrobe . small kettle , cup & amp ; spoon sachet milk , tea bag , coffee ( decaf ) & amp ; sugar ( white & amp ; brown ) . would definately stay . southwark great location centre south London Southwalk tube 2 minute walk road & amp ; Waterloo 5 - 10 minute away . pub & amp ; restaurant nearby . would recommend Tas , popular turkish restaurant . outstanding meal £ 38 ! review restaurant , look ! 
 Aug 26 2008 	 clean comfortable 	 spotlessly clean , quiet , spacious room , comfortable bed air conditioning . bathroom also new clean looking . room bit dark , small window , gloomy view wall railway line , otherwise can not fault . other mention , be handy underground , Tate south bank sight . four star rating take account bargain price pay family room could sleep 4 . course place character - 's Travelodge - could feel depressingly bland , £ 29 room great value comfortable stay central London . 
 Aug 18 2008 	 Excellant Value Sevice 	 get back 3 night new Travelodge Southwark . Locationt , 3 min tube station , close river .. centrally locate . one new design Travelodge modern style room , flat screen tv first Central London .. room air con work well . well sound proof , room overlook ( right next two major rail line ) could barely hear anything . good value . often stay London tl well far . certainly stay . Excellant pub area good food want ( like ) light breakfast ( pastry etc ) several shop close proximity . do not eat breakfast TL , let good value £ 7.50 do not want cook breakfast anyway .. plenty Tea Coffee provide room reception always provide request . staff good speak fluent English quite unusual tl stay in . my criticism TL housekeeping public area need improve , 4 month get bit worn .. that s minor . pay £ 29 night book well advance ... great value . 
 Aug 18 2008 	 great location price 	 usuallyknow expect book Travelodge nice surprise one brand new . bright clean other stay in . we get family room £ 49 excellent value give central London location . five minute Tate Modern Southbank attraction next door Southwark Tube Station . sadly go start week not open also handy Borough Market open weekend . we pre book breakfast £ 6.95 child eat free . choice cereal , fruit , croissant , bread full fry . good world plenty good filling day 's sightseeing . the breakfast room also use bar bar snack not try can not comment . hotel room clean flat screen tv wall , tea coffee facility , air conditioning . the downside noise train track behind hotel . check early booking deal . 
 Aug 6 2008 	 Comfy bed great stay ! 	 relief book clean comfortable hotel , greet friendly staff ( actually sound like bear within sound Bow Bells ! ) reasonably price . this Travelodge pretty new yes , basic everything need . bed really comfy , air conditioning brilliant hot week room spotlessly clean arrival . corridor could do hoover put round often niggle . towel change bathroom clean every day . I borrow iron ironing board Reception handy , plenty tea + coffee available . Travelodge not supply usual showergel etc hey , live ! breakfast tad expensive £ 7.50 pop cereal , yogurt , fruit , croissant , muffin , toast , + usual cook b.fast stuff juice + hot drink could easily eat enough last lunch + squirrel stuff away later ! also mention hotel quiet location soundproof really good . right next two tube line could hardly hear it . the location brilliant , 5 min away Tate Modern Thames riverside walk . easily get across Millennium Bridge be St Pauls within minute . also easy walk distance Tower Bridge , Tower London , London Eye , Houses Parliament , Imperial War Museum forget London Dungeon ! 
 Aug 5 2008 	 good value 	 stay three night . 7th floor top floor . room large clean . bathroom exceptionally clean functional nice powerful shower . do breakfast comment . staff check friendly courteous time . location great , 10 min walk Waterloo 5 min walk Southwark underground . fab location London , go O2 Saturday night hotel ideal 5 stop away Jubilee line . would definately recommend Travelodge good base see London would definately stay . 
 Aug 2 2008 	 great value 	 Stayed Travelodge Southwark 2 day pre - cruise . pay 49 GBP per night family room plus 10 pound early check - in first day . surprised nice clean hotel . breakfast can not comment . room spacious . problem day go desk get extra set towel son 2 set room . also put bedding together turn couch bed . room face railway track really could not hear anything . great location , walk distance London Eye , South Bank , etc . also one block tube station . make sure check Burough Market also walk distance . happy stay quiet , clean hotel . 
 Jul 23 2008 	 Location Clean Really Basic ! minor Issues 	 family 4 stay twice & quot ; family room & quot ; ( 3 night start vacation , 2 night end vacation ) . advantages:1 . price : pay 69 pound per night first stay , 85 pound per night second stay , inexpensive London standards.2 . location : family find location convenient sight seeing . hotel block Southwark underground station . close Queen 's Walk wonderful pedestrian walkway run along South Bank Thames London Eye Tower Bridge . also close recreate Shakespeare 's Globe Theatre , Tate Modern Museum , Millenium Bridge . ( see many interesting site walk would miss take tube everywhere . ) 3 . Breakfast Option : order breakfast online , 6.75 pound per adult , 2 child eat free pay adult . take option originally save time , 2 boy big money saver since eat London expensive north american standard . onsite cafe basically breakfast room large LCD television music video , London morning show . breakfast item include egg , bacon , sausage , baked bean , toast , croissant , muffin , good variety cold cereal , milk , juice , tea , coffee . ( breakfast room / cafe also set - up bar drink watch tv later day . also menu order food item lunch / dinner , can not speak quality . ) issue : first visit , 4th floor face Union Street , issue . second visit , first room assign 2nd level ( check - in level ) face train track . ask different room determine air conditioner not work . second room , also 2nd level , face street ( well ) , toilet would not stop run . advisory : :1 ) phone ( therefore wake call ! ) 2 ) alarm clock / clock radio ( even available borrow front desk ) 3 ) family room & quot ; sofa bed & quot ; child . actually consist couch long single back cushion easily lift make bed sleep one person . couch , trundle wheel pull require second set bed linen use bed . would stay , clean , inexpensive opinion , conveniently enough locate . 
