Loved 	 get great deal website promo code Thanksgiving holiday . hotel all - suite , huge room / bathroom , quiet , smoke free staff top notch . great service Concierge ( Ozzy ) front desk check - in breeze . never see housekeeping hall , room make every day ( electronic system let know want housekeeping ) . Stayed Tower 1 -- close MGM Casino , enough distance feel like frenzy ( second - hand smoke ! ) . walk escalator & quot ; people movers & quot ; provide high heel wearer respite walk casino . use monorail MGM Grand travel strip -- convenient . ticket purchase right monorail & quot ; station & quot ; ... not though -- nice man give we ticket leave next day use ticket 2 day :0 free WI - FI ! ! ! ! ! definitely stay . 
 amazing hotel 	 boyfriend return 6 - night stay signature . stay one bedroom suite Tower 2 . hotel room absolutely beautiful . great experience would definately return . complaint distance casino ( 10 - min walk ) . day tired make long walk back room . aside , be great hotel regret choose stay . 
 watch ! 	 ' watch . stay 2 night , get 3rd night free deal even paperwork name people talk even though e - mail offer send directly , take hour get honor . however hour , every single person check kind deal something , drink , whatever every single person fight hard get honor special . travel living , go Vegas least couple time year work . really great place , 35th floor Strip view Jacuzzi kitchen . get private cabana pool , might well , ' pay resort fee . fight ruin though . go leave high dry finally prevail upon right thing . never see anything like people , even Newark ( personal standard hassle travel ) . plus try make feel cheap honor deal . give break . 
 worth walk ! 	 yes , hotel strip . take 15 minute get front MGM ( strip ) . walk signature hang leave walk Planet Hollywood strip ( 15 minute walk ) . walk easy big deal . the hotel beautiful . 1 bedroom junior suite connect . room clean , king bed comfortable kitchen set - up helpful . use kitchen make breakfast , store water , beer snack . car drive 5 - 10 minute Albertson ' supermarket . the mattress sofa pullout could little firm . average sized guy ' comfortable . we Tower 1 , Starbucks , fitness center ( modern ) , lobby bar business center . valet parking ( free ) end tip every time . fast friendly.2 minor issue – ( 1 ) get sofa bed make . make request front desk , fulfil . call housekeeping come make sofa ' . 1 day checkout must think check close sofa bed . call housekeeping - fast courteous . ( 2 ) gamble MGM Casino apply comp room MGM Signature . overall great stay . want get away madness end day place . 
 nice hotel 	 can not really comment stay authority , first time Vegas , idea expect . one night , not use hotel facility . however - night , nice hotel . price pay ( GBP80 mid - week ) , promise & quot ; Junior Suite & quot ; , expect Vegas term normal small room . however , definitely suite - sized , fully appoint , way fully - equip blender kitchen area . overkill one night , definitely great long stay . also , one night - 's fair trek strip . assume next MGM Grand ... quite ! although access walk MGM reception , past restaurant , past show , several enclose walkway ... time get ( Tower 1 3 - furth ) , have walk half mile ! tourist - walking , foot pretty tired end stay there . however - hotel nice , long stay , ' m sure would welcome little distance away . service friendly efficient . one night , perhaps try brave one big hotel actually strip , night , be great mix close , close .... 
 Oct 5 2009 	 Hidden Gem MGM 	 get enjoy benefit connect large MGM side , include pool , lounge , casino , bar . also get away signature use 's pool spa lounge day away . yes main street , take Skyway even easy walk 8 minute around back away Planet Hollywood plaza . oh ya 's non - smoking 's thing , Vegas 's easy come . 
 Oct 5 2009 	 Great Place LOTS walk ... 	 stay Mom sister Sept. 28 - Oct. 2/09 . airport checkin great , get hotel shuttle ticket checkin desk bring bag . secure , shuttle driver give name guard property gate enter . beautiful 29th floor junior suite , king bed pullout sofa . loved balcony , spend much time take gorgeous view would nicer chair instead stand . suite must intend 2 people , request 3rd coffee cup another robe ignore . clean , jacuzzi tub walk shower . big drawback walk hotel . not find hard start morning , come back tired long day evening activity seem take forever get room . depend 3 tower , take several minute least 2 ' move sidewalk ' get MGM Grand entrance . way enter / leave hotel property foot . bring MGM ' Studio Walk ' near food court monorail want walk outside walk casino . go back signature , must use room key unlock connect door . enjoy stay book would probably try get room tower 1 minimize long trek . 
 Oct 3 2009 	 still good 	 ' ve stay Tower 1 select one bedroom suite . love upscale apartment feel , especially 2 bathroom . we register airport fast , easy , people friendly definitely take advantage . recommend take shuttle airport . take hour guy tag bag walk we outside wait airport shuttle get hotel . later realize pay pay cab . cab ride , 2 people , hotel back airport cost $ 15 , include tip . the distance signature MGM Grand may seem far depend mobility . hurt ankle 2nd day feel lot furthur pain day pain free . even would stay signature everything perfect . plenty cab outside lobby not want walk anywhere . we eat meal Studio Cafe locate inside MGM Grand . downsize menu due economy bring few people ( accord manager ) still love . food wonderful quality quantity . sure ask special order . go breakfast 6 - 8 am ask Grand Breakfast special . will save $ 6 cost . time ~ due time zone/ body clock difference ~ not know special pay full price mentioning advance . everything order delicious count toward $ 75 resort credit . fish chip great chocolate milk shake come burger slider well would ever have . we see 2 show . ' the Jersey Boys ' buy ticket concierge . seat great loved show . old crowd maybe Frankie Valli Four Seasons belong generation . love be sure child would love quite much . highly recommend it . the show Cirque Du Soleil ' Beatles - Love ' buy ticket discount place close MGM call ' Tix 4 tonight ' . save money get good seat . however , need know give voucher show take box office advance assign seating ; mean either walk taxi cost time money morning show . not get early possible possibility will not get 2 seat together . work great we love show ! tix 4 tonight office right giant Coke bottle place call Gameworks block MGM.We also go titanic exhibit use Tix 4 tonight voucher problem walk use immediately . exhibit really interesting still can not believe see real portion ship . my husband say although like Las Vegas not nice . come home pay $ 10 milk bread say nice get something money instead guy take give nothing return like happen trip . however , decide forgive Las Vegas , come back , stay wonderful , clean , quiet , upscale place great staff . would highly recommend anyone . 
 Oct 1 2009 	 awsome first impresson vegas 	 great first trip Vegas girlfriend decide stay anywhere else signature next many visit . stay junior suite tower 3 22nd floor strip view fabulous . room well appoint bathroom exceed expectation picture signature website room justice much well person . walk strip 10 minute air - condition comfort take short cut ( 5 min ) tower 3 exit walk Harmon . visit many hotel strip visit like peace quiet signature crazy day / night Vegas life . staff friendly check - in check - out quick easy . look experience Vegas offer place escape madness need signature . 
 Sep 30 2009 	 one year later be still Tops ! 	 wife stay 38 story condo hotel 9/08 return last week Mom Sis . signature still fav place stay Vegas , & quot ; world within world & quot ; , connect MGM cover walkway people mover escalator ( minute hotel MGM ) . be quiet , peaceful smoke gambling - free , although minute away . 3 building complex ( build # 3 furth MGM , , leisurely stroll ) starbuck , lounge , breakfast cafe pool . room plush plush completely outfit cooking desire . comfortable bed ever sleep . request high balcony , 27th floor view strip . beef business center bill $ 1 / minute use computer confirm flight , 's chintzy . otherwise AAA ! 
 Sep 30 2009 	 amazing experience never stay anywhere else ! 	 hotel truly amazing ! upon arrival , property secure know arrive . every single staff member call last name , friendly ! really want emphasize friendly helpful staff . stay Tower 2 , romance tower ( good opinion ) . wall rise petal fresh flower everywhere ! infuse lobby flower scent ! stay one bedroom suite . huge ! bathroom amazing kitchen top line appliance . enjoy view private pool , although get chance experience . deliGHTS , restaurant lobby amazing . like fine dining paradise bakery . eat everyday . $ 12 plate include sandwhich side ... definately large enough share . skywalk tower MGM Grand . enjoy Starbucks tower 1.We also go MGM Wet Republic Pool party . awesome time ! ! drink well overprice girl pretty easy get free drink . ; ) impress private exit signature guest . 
 Sep 28 2009 	 Luxury Close Srip 	 stay Signature 11 - 14 Sept 09 . Booked WestJet Vacations , get signature less basic MGM Grand would be . we immediately greet bellman open car door we , whisk luggage away , need we worry . check , go room , bellman meet we luggage , give we rundown hotel , room available amenity . ' strip view ' room ( entire wall window ) , since hotel actually strip , could really see Planet Hollywood , PH Westgate , Miracle Mile Shops Monte Carlo . could see toward strip actual strip . 23rd floor Tower 2.the hotel amazing . choose mainly completely smoke free non - gaming . since not smoke , gamble , perfect we . want go build get Strip , need go MGM Grand casino , find part fun . not go , never would see lion Casino , would go Studio Walk . People say take long get Signature Strip , take route ( Tower 2 ) take we 10 min ( mind , be military , hate slow walker , might fast other ) . would bit long Tower 3 , short Tower 1 . eventually , start go straight signature lobby take Harmon Ave Miracle Mile Shops , , mean not go smoke fill casino . when check , girl front desk ( Kim ) could not helpful . tell we favourite show , navigate hotel ( get MGM Grand ) , even hunted & quot ; Vegas 2 Go & quot ; guide we , give map list attraction restaurant area . the concierge Tower 1 great , will give recommendation restaurant , print menus MGM restaurant ( whether signature MGM own hotel / casino ) . will even recommend cheap area get ticket ( ie : tix4tonight ) .housekeepe great . stay first night , stain sheet , ask change , do problem get back . organize stuff ( toiletry like ) washcloth , make sure everything first night stay there . all room hotel kitchenette ( equip stovetop , microwave , blender , bar fridge coffeemaker , well utensil , dish , glassware pot pan might need ) , would nice long stay , want eat everyday , never use since short time . bar fridge useful though , free water day nice , although provide small bottle ( think 325ml ) .The ' do Disturb ' ' Housekeeping Required ' button nice . instead door hanger , push button room , light small sign outside room . find hallway loud ( never really hear anything , case 's rowdy bunch outside ) , every two room another door outside two close , unlocked key two room . give add bit privacy . we stay King room , bed extremely comfortable . also little office area window table two chair , free wireless ( include $ 20 resort fee ) , plug build table plug laptop , little couch armchair , coffee table , flat screen tv mount wall DVD player . bathroom absolutely huge , giant Jacuzzi tub ( amazing soak foot back walk strip day ) , separate glassed shower ( though could pressure ) , two sink , magnify vanity mirror separate room toilet . also small tv bathroom phone toilet ( be sure ... ) .Inside light closet find two oversized robe ( linen oppose cotton , mean even bleach , still stay soft ) safe quite bit large hotel stay . also , get program combination , rather worry lose key . when go back , will definitely stay signature , especially consider 's less basic hotel . oh , almost forgot . stay , CSI : experience open , entire cast stay signature , , think , pretty good recommendation hotel ( actually see actor play Greg check ) . 
 Sep 27 2009 	 Awesome hotel ! ! ! walk alot ! 	 amazing , amazing hotel ! check check ... nothing polite amazing ! one morning , forgot turn housekeeping light . husband call front desk , explain dinner plan hour , need clean towel , accomodating . go back hour , time return , room clean ! also , unlike hotel , little bottle bath gel give we almost empty , leave brand new one ! ! bath gel make great bubble tub ! ! do not use much like ! coffee mediocre room , be starbuck tower 1 , really good breakfast / lunch spot tower 2.I would totally recommend hotel anyone want feel spoil relaxed , still enjoy hustle bustle strip . walk entire mgm hotel get strip , bring comfy shoe ! 
 Sep 27 2009 	 Great Alternative 	 get back 4 day stay signature must say , great alternative Las Vegas strip hotels chaos go . jr suite comfortable make nice retreat full day . bathroom huge seperate whiripool tub large . glass enclose shower . tower 3 , long walk reach strip . , tower 1 would choice . please advise E Harmon Ave currently construction , may impact plan stay . however , not think big deal . stay Paris previous trip Vegas think signature compare favorably many area . real complaint $ 20 + tax per day resort fee many hotel go . also would like choice self park rather force use valet service . addition pay resort fee , be constantly tip valet time get car . , would certainly stay . 
 Sep 27 2009 	 absolutely amazing . elegant surrounding attentive 	 stay one bedrooom condo 7 night & amp ; service absolutely amazing ! ! ! doormen polite & amp ; accomodate . 's nice bugged housekeeping staff . need call time not know drain tub & amp ; lightbulb . polite & amp ; answer question courteously . Eating & amp ; drink relax pool well . bit crowded fight day , be separate pool relaxation not crowd . hate come back & amp ; even though not gambler , look forward come back soon . hotel beautiful & amp ; walk not bad 's back way strip . like fact 's peaceful & amp ; middle hub bub & amp ; drunk / obnoxious people . 
 Sep 26 2009 	 luxurious accommodation excellent location 	 husband , daughter return 12 night stay add positive review site . stay beautiful one - bedroom suite book directly owner brilliant helpful . originally book another owner foreclose property retain full balance payment . cancel reservation leave we accommodation 2 week arrival ! repay whole amount , need try keep cost reasonable ( hence book directly MGM price extremely high ) take chance re - book alternative owner receive positive review could not satisfied . the suite magnificent ample room three us . include dishwasher washer / drier well usual kitchen appliance . never actually cook food suite nice able make coffee etc . also keep drink sandwich huge fridge . massive en - suite bathroom plus small bathroom shower . suite corner Penthouse great view three big window . pool relax quiet ( busy weekend ) comfortable lounger heap soft towel . the front - desk staff really pleasant helpful check - in easy straightforward . walk casino MGM Grand bad walk along Harmon Avenue Planet Hollywood also good alternative opposite direction . positive comment already post site , anyone question , please feel free ask would also happy pass e - mail address person book anyone would like send private message ( although planning return next year maybe keep quiet date take ! ) 
 Sep 26 2009 	 relax clean great bed kitchen facility . 	 third time still good value Vegas . walk good exercise , something look forward end day . get back room feel safe calm . service decline couple point . resort fee $ 20 inroom directory still say $ 15 . suppose get newspaper every day , nobody far could see . reviewer say find tea . guess Vegas many foreigner visit . trick walk road Walgreens buy tea bag milk . , get breakfast cereal bread butter . toaster room . use microwave heat water tea , coffee maker . Buffet MGM good use . far less choice . buffet well . maybe Ballys . we eat Studio Cafe MGM good . ask English Breakfast tea . exist . only Earl Grey . ( yuk ) funny thing , right entrance Cafe Starbucks , english Breakfast Tea . hard would server go 20 ' Starbucks swap Earl Grey English Breakfast . DUH . needless say tip . public transport cost go . monorail great accessing place strip ( less distance walk signature ) plan time . single one trip Monorail fare $ 5 . buy pass use wisely . still little thing would put we stay Signature . well prepare . and book ahead . room rate go book due newly schedule boxing match . 
 Sep 26 2009 	 gorgeous oasis amidst madness Vegas tea drinker beware ... 	 Stayed Signature recently go Vegas get marry . hotel room everything say would . not realise saw alot hotel bonus novelty balcony . give we good view strip mountain surround Vegas . particularly like way signature set back Strip ( though still easy walk ) could retreat back calm sanctuary throwing melee . MGM turn really good place eat cut gambling tooth ( dealer patient understanding ! ) .The ( minor ) criticism throw signature tea / coffee thing . be allow 1 sachet ( i.e . cup ) coffee per day , tea drinker completely overlook . kettle , tiny sachet loose tea look like since hotel open . someone need decent cup tea several time day , fully aware Americans not get tea thing , would take stash . fellow tea drinker strongly advise . pack travel kettle next time avoid battle boiling water coffee maker . apart room perfect . staff helpful , friendly polite . however , find bit gaule expect tip everyone job smile , appreciate English unaccustomed tipping Americans make decent cup tea ! live learn ! 
 Sep 25 2009 	 top quality hotel close ` ` major '' casino 's 	 great quality hotel Vegas . true need walk 10 - 15 minute strip that s Vegas . need walk , walk , walk everywhere mile . 5 - 10 minute MGM Grand via walkways access pool well MGM Grand 's magnificent pool area well . great restaurant facility inside MGM Grand . two disappointing thing Vegas - costly ATM fee food expensive . servicing room , service cleanliness great hotel . tower pool small quiet . hotel room tower 1 penthouse suite - 1 room suite 4 person family 1 hotel room inlaw stay we . work well - separate living area sleep area . suggest ask tower 1 upper level . room spacious well furnished . say return stay signature - great experience . 
 Sep 24 2009 	 Loved ! 	 come Las Vegas end trip five night . lovely place stay away madness Las Vegas yet far away . drive Las Vegas San Francisco , entrance little bit tricky find quite road work find private gate entrance valet take car . check breeze put 38th floor top floor high ! ! room huge , clean could want . bed huge , shower jacuzzi bath , two sink even tv bathroom . kitchen plate , pan etc not use anything go everyday . tower 2 five minute walk main MGM Grand move walkway 's probably another five minute strip not let put really not far . monorail station come signature MGM not use . need room card get access back signature good . choice pool use , use Tower 2 pool river pool MGM Grand . river pool must . $ 20 daily charge cover water room etc also water towel use pool . beginning stay good idea go see Concierge Tower 1 advise good place go , book restaurant , show etc . go see Peepshow really good show exactly say go well boyfriend ! ! strip quite long walk bus call Deuce go strip 24 hour day $ 7 24 hour . 
 Sep 24 2009 	 Best Place stay Vegas - get great Rate BlueChipVegas.com 	 stay three tower signature MGM Grand . reason simple . , far , good place stay Las Vegas ! room suit . huge . decoration similar upscale apartment - generic picture wall . also , extremely soft linen pillow bed , balcony , flatscreen television , ... jacuzzi ! - kicker get access amenity regular MGM Grand Signature affiliate . also cut line MGM Buffet get instant access Spa . all , find good world : luxurious , comfortable , practical . finally , honestly say get three great deal Blue Chip Vegas stay suite ( month June twice September ) . definitely recommend Peter crew . will happy answer question may . 
 Sep 24 2009 	 hotel style service without LV bling . 	 book hotel celebrate special birthday grow family , base feedback traveller . stay three top LV strip hotel , merit , signature new different . the entrance signature rather plain check - in painless apart $ 20+tax pn resort fee per room . valet parking work treat bellman bring bag minute . a real bonus ground level casino area negotiate suit I . I one bedroon suite huge bedroom pop flatscreen tv desk small flat screen bathroom . bathroom size normal double room twin berth jacuzzi separate washbasin huge shower . lounge well furnish another flat screen tv , table chair well large sofa bed . lounge en suite wet room type shower . what luxury ........... kitchen area good get . really good quality equipment , dishwasher , hob , microwave fridge freezer . Villeroy Bosh crockery , fine glass top quality cutlery tool . really , could live ! small balcony catch sun morning . downside view lounge bedroom window face mountain rather strip , hey , problem really . the signature tower locate back side MGM Grand involve short walk use travelator get MGM strip . use taxis rental car mainly get around . East Harmon Avenue undergo major construction traffic flow horrendous meaning use sort rat run strip hotel back lot otherwise stick age Harmon Koval . ( September 2009 ) pool tower 2 lovely busy . get lounger easily could pay extra cabana need , hide tent sun ? tip room maid day 1 get great service week result . eat limited Deli Signature , Tower 2 , MGM eatery close by . we dinner Stratosphere Revolving Restaurant enjoy , especially change view . one revolution every 70 minute . count $ 60 70 per head plus drink ! also book junior suite 2 family , scale version one bedroom suite without separate room slightly small kitchen . the $ 20 pn resort fee cover parking , use great fitness centre , free wi - fi paper ok , front price , sneak extra . also like tip Valet , keep pocket full buck handy . our favourite mexican resaurant Lindos Micocan East Desert Inn Rd . try try first . I recommend hotel enough . however want casino build , think . 
 Sep 24 2009 	 MGM signature - excellent accommodation 	 return excellent stay 7 night MGM Signature . lovely all - suite accommodation . huge bed large bathroom large walk - in shower jacuzzi tub . kitchenette useful , especially fridge put bottle water microwave handy warming pizza slice ! Walgreens CVS Pharmacy far away . hotel link MGM Grand enclose walkway . provide nice peaceful retreat away noise main Strip . service excellent would definitely stay return Vegas future . 
 Sep 23 2009 	 worthy positive review 	 book 4 night stay end 2 week tour round California read positive review hotel disappoint . room large well appoint nice hotel casino walk front entrance . three tower make signature connect MGM grand series corridor walkways good welcome way keep heat . take good part 20 minute walk tower 3 entrance MGM strip honest quite nice bit away . whilst restaurant evening meal signature number MGM Grand ( visit craftsteak Fiamma good ) little deli serve nice breakfast lunch good quality reasonable price . would recommend hotel anyone good review well deserve 
 Sep 23 2009 	 favorite place stay Las Vegas ! 	 go Las Vegas per year good place stay Signature . like walk like fact not & quot ; Strip & quot ; felt walk help burn excess calorie consume buffet eat . park car valet arrive not retrieve leave 3 day later . room ( studio ) beautiful enjoy view mountain . love jacuzzi tub ! not spend much time room clean ' ve ever experience . also like fact signature non - smoking quiet . although room face airport , never notice noise either airport hallway . my dislike try check nearly 6pm room not ready yet wait nearly hour . also not appreciate & quot ; facility fee & quot ; add per day use gym / wi - fi/2 bottle water - daily / newspaper - daily . not use gym , wi - fi ( not bring laptop ) , read paper $ 15 / day couple bottle water seem little steep . charge extra thing like mini - bar : add room charge use / request . otherwise want charge extra $ 15 / day , include price room not suprise extra $ 45 add bill check . Jeeze ... $ 45 6 bottle water seem like rip - off I . overall ... would stay , next time ask additional fee book room . 
 Sep 22 2009 	 fantastic stay love ! ! ! 	 child give we vacation birthday . immaculate , front lobby hallway suite . cook breakfast morning , great get breakfast suite get ready day . stay Tower 2 pool complex beautiful . go back soon , place stay . love ! ! ! 
 Sep 21 2009 	 stay ! ! ! 	 want spoil ! private guard gate entry , attentive friendly staff , beautiful room . hate schleppe casino get car , pool , spa , etc . , be none . casino action short ( private , signature guest ) skywalk away , spa MGM Grand - treat go , wonderful . room Junior Suite strip view balcony wonderful . normally stay JW Marriott , new favorite hotel can not imagine stay anywhere else . perfect blend private condo hotel - amenite MGM Grand guest ( room service , hello ) without noise smoke want . want live like VIP / high roller ? place ! one thing know - road surround property work delay , especially Koval / Harmon intersection . 
 Sep 21 2009 	 fabulous vacation 	 husband get back today 5 day trip signature . favorite hotel Vegas . jr . suite big , jacuzzi tub , separate room toilet , kitchenette . order grocery vons.com , cook room , save ton money . real reason like stay Sig MGM Grand Lazy river . stay Sig , use MGM Grand pool plus Sig pool . much fun ! husband enjoy stay completely non - smoking property allergic cigarrette smoke . also quiet slot machine either . room also dvd player high speed internet include resort fee . 
 Sep 20 2009 	 Fantastic jr suite 	 really love two day signature . massive 900 square foot ( 82 m2 ) room fantastic , large bathroom jacuzzi balcony overlook Strip . find hard leave room ! hotel currently offer great deal make affordable luxury real suite . beware overprice breakfast mandatory service though .... 
 Sep 20 2009 	 Fantastic Junior suite great view jacuzzi bath ! ! 	 partner return road trip California finish we spend 4 night Vegas Nevada . hop drive lot trip stay motel decide want somewhere bit special stay last 4 night disappoint . the room huge tastefully decorate . large bathroom double sink large jacuzzi bath struggle get partner time ! ! bad large comfortable seat area also small kitchenette refridgerator , hob , microwave etc . do not make use much like make food away perfect . also heat pizza take back room could not finish : ) 35 floor tower 3 view great . although would not recommend high fear height ! ! : ) staff great , especially doorman , friendly yet professional . I would defo recommend anyone look somewhere stay Vegas look something bit special . access gym pool facility well $ 20 per day resort fee , think pay , also cover wifi access well . on wifi access , room average signal . well sometimes other get well move different area room sometimes . reason stay business would perhaps request ensure decent wifi reception room also LAN access well use seating area . that . go back Vegas I m sure near future would definately book suite . little bit luxury easy access strip . 
 Sep 19 2009 	 good place ever 	 place absolutely perfect . everything need . won´t regret .The straff friendly plus it´s non smoking casino ding dong . stay tower 3 14 floor balcony . take 5 - 7 min walk MGM grand tower 3 . close . smell hotel nice . glad time come back . pool ever crowd . really nice . absolutely good hotel vegas dout . 
 Sep 17 2009 	 Top Class hotel 	 stay 4 night husband 2 teenage daughter end August . we stay one bedroom suite ideal 4 we . the suite lovely 2 bathroom kitchenette . master bathroom amazing , even 's television . I use fitness room couple time , well equip plenty bottled water cold towel . the pool signature peaceful hustle everywhere else . pool attendant supply bed cover , towel chill water . spend morning , whilst husband daughter prefer MGM pool , play inflatable lazy river . minute walk Signature . we phone ahead request room Tower 1 , get . it 4 minute leisurely stroll reception area Tower 1 MGM , compare walk Strip , nothing . another good point MGM stop monorail really close entrance MGM Signature . overall could not fault signature , staff really friendly helpful , suite excellent location ideal . this first trip Vegas be already plan next year 's visit . 
 Sep 17 2009 	 thoroughly enjoy stay 	 spend three night Tower 1 signature MGM Grand . suite extremely comfortable spacious . impressed quality cleanliness room , comfy bed . bathroom huge . not hear noise room time . room , hallway , public area smell fresh inviting . very pleasant helpful reception staff . great staff around pool well . enjoyed lounge around pool quiet guest . the hotel short walk MGM Grand , amenity . welcome separation main complex , comfort hotel offer . use monorail MGM Grand , find convenient explore go dinner night . starbuck ground floor tower 1 . nice fitness center , well equip . we would not stay anywhere else return trip . really enjoy hotel . 
 Sep 16 2009 	 Loved - comfortable home home 	 book luxury suite international $ 370 total 1 bed suite . stay 2 night , night night wedding 27th August . the room really spacious , great kitchen oven , big friedge / freezer , dishwasher , microwave , toaster , little thing like bottle opener etc - even find washing machine cupboard great ! sit / din area great perfect space get ready morning wedding . 2 toilet good quite lot people mill around day wedding make thing easy ! bit party wedding ( unplanned ) - problem get 15 people suite , room everyone mill around . we find check really fast , room service great problem - like away noice hotel - still 10min walk action . I love stay next Vegas trip : ) 
 Sep 16 2009 	 Fantastic Hotel within stroll LV offer 	 return forma great stay signature . we great rate incude $ 300 resort credit . we palce Tower 2 ask nicely reception give room 34th floor ( class Penthouse floor , think top 8 ) . partial view strip view tower 2 's pool ( bit tower 3 's pool ) .room spacious exactley website describe . use fridge , receive water day room clean well day time request ( use button inside door - great idea ) . turndown service one night good - although partner 's birthday turn 5 pm ( ! ! ) even go .. opp . walk MGM minor , understand people complain 5 minute top . we also cut side onto Harmon ( think ) could Planet Hollywood 5 min . also 10 min walk way Ellis Island cheap dinner ! staff signature friendly public area keep immaculate . pool quiet change MGM grand pool much comfy sunbed , lot shade free water .... need ! great week would hesitate return . visit casino 's strip stay deliberate choice month soooo glad choose signature , come home peace quiet want chill perfect . Ohh jacuzzi tub plus , fit two nicely ; - ) 
 Sep 16 2009 	 Great Hotel 	 everything good stay . normal check - in 4pm . arrive 11:30AM problem get room early . room always keep clean . room roomy . nice view form 34th floor . they quite . staff helpful . my disappointment distance strip . take journey MGM get strip take 10 - 15 minute . , be probably room nice quiet . I would stay . 
 Sep 15 2009 	 amazing hotel not want leave ! 	 recommend signature suit highly enough . love every minute amazing suite not want leave . junior suite huge ! even small tv bathroom could see jacuzzi walk - in shower . bed massive comfortable separate living area kitchen . suite also quiet night could not hear noise room . the hotel staff friendly super - efficient . pool well maintainte plenty lounger umbrella . gift shop , deli , starbuck , restaurant etc spread 3 tower . tower quiet unlike MGM strip hotel constantly crowd nice get R & amp ; r want . MGM Grand 5 min away also use facility want . also see several concer MGM Grand Garden arena great walk min back room . not get charge resort fee include rate pay . definitely worth look forward stay ! one tip check tower stay prior arrival . taxi driver happily call ahead confirm suite number could take we correct tower check - in . 
 Sep 13 2009 	 Loved - Gorgeous Rooms ! 	 stay tower 1 get upgrade suite part ' birthday celebration promotion ' hotel run . stay one - bedroom suite 7th floor . room beautifully appoint modern decor . Suite include 2 bathroom his / her sink , June Jacobs complimentary item . housekeeping prompt efficient . front desk staff nice helpful . 's suitate strip actually like 's busy not walk smoky gaming area get room . 's 5 minute walk MGM ( move walkway ) MGM monorail get end stip need . signature nice pool bar wait staff . be far less crowded MGM pool although big . tip : love Belliago Dinner Buffett . 
 Sep 13 2009 	 ABSOLUTELY GREAT RELAXING . Excellent Service ! 	 read review , book 2 night MGM Signature . love hotel . well Four Seasons . 1 ) Service EXCELLENT ! lot friendly helpful staff . Doorman concierge well top doorman NYC.2 ) quiet relax . well resort mob people . last month stay Ritz Carlton Carlsbad say hotel relax calm well service . 3 ) beautiful room view . stayed 25th floor balcony . afraid height , would recommend ask room balcony . room suit 520 sqft kitchenettes.4 ) great bathroom - spa like LCD tv . powerful Rain shower . huge Jacuzzi Tubs . great towel robes.5 ) nice private pool . tower ( 3 ) serene pool plenty lounge chair cabanas . problem find one . want go main pool MGM joint loud smoke drunken college crowd . difficult seating there.6 ) Great Starbucks Bar Cafe ( overprice ) resort . perfect breakfast gourmet light lunch.7 ) great workout room . new top line equipment . stocked chill towel , water fruit . 8 ) building room NON smoke . lobby great clean . good place conduct business conversation . 9 ) MGM main casino 8 10 minute walk away ( probably 3 city block ) . INDOOR airconditione MOVING walkway . personally love walk find fast walk casino . inside huge MGM , casino , take 20 minute walk across crowded smoky casino ( 1 block ) . walk , perhaps stay somewhere else . 10 ) SECURITY tight . general riff - raff enter property get suit Casino street . see , party hotel , literally next one large Party Casinos strip . good world . September 2009 , sure get standard 200 sqft room Monte Carlo $ 60 night , spend $ 120 get really luxurious 520 sqft room EXCELLENT service ? sure going lose 10 time difference casino anyway . sure $ 20 per day charge , give free internet parking access MGM spa . this probably place stay go Vegas . 
 Sep 12 2009 	 great value good location 	 friend town , want find hotel stay Vegas classy suite , could fit 4 we , not expensive . great experience Palms Place couple month also look another condo turn hotel non smoking not attach casino , close casino close strip . signature definitely satisfy look . 's easy get MGM Grand use skywalk also easy get strip . pool Signature nice relaxing breakfast place actually make good breakfast . want fine dining , many great restaurant MGM Grand , really love poker room MGM Grand . room one - bedroom suite perfect 4 people . pullout couch comfortable , 2 full bathroom . would definitely stay . 
 Sep 11 2009 	 Nice stay personal favourite 	 go Vegas friend pick hotel . stay junior suite Tower 1 view pool strip . room nice spotless mini kitchen , ideal want breakfast room . staff great . road work many street around hotel planning go in / out often car , learn & quot ; shortcuts & quot ; . hotel strip - good 10 min walk strip ( front Planet Hollywood ) , take good 15 min get strip go thru MGM casino ( recommend ) .note : $ 20 resort fee per day cover thing like pool fitness centre access , local call , internet valet parking . pool hour short 3 pool open every day week . overall nice place personal favourite place stay Vegas - prefer Hilton Grand Vacations Strip . 
 Sep 10 2009 	 would definatly recommend friend ! ! ! 	 stay hotel 5 night August 09 love ! ! staff helpful friendly . room really spacious clean . hotel & quot ; Strip & quot ; 5 - 10 minute walk air condition move walkway MGM Grand . fantastic hotel would stay . 
 Sep 10 2009 	 can not wait go back ! ! ! ! Loved ! ! ! ! 	 husband Vegas September 2009 long weekend . first trip Vegas , really idea stay . read signature review site find really great deal flight hotel book Signature . I LOVED hotel . treat well entire stay . staff member saw say hello ask stay need anything . room stay junior suite , enough room husband well clean . bathroom big huge jetted tub also . as far walk , far MGM ! maybe 10 minute walk , move walkway make even easy . dinner one night Paris hotel decide take cab hot dress clothe walk outside , next day walk strip tower 3 15 minute . my favorite part hotel pool ! ! ! signature private pool tower , not deal craziness MGM pool . never problem get lounger matter time day go , service great ! Sara , tower 3 pool server , fantastic ! ! make great drink suggestion always available need . pablo pool also great ! ! ! always around get we water , towel etc . ! ! ! ! GREAT experience : ) , love signature MGM Grand . , go Vegas crazy party may hotel . couple block strip much quieter hotel . however , look calm , clean hotel within walk distance strip , adore hotel . can not wait go back ! ! ! ! 
