hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 Apr 16 2009 	 Superb stay 	 pick hotel read Trip advisor review , glad . absolute pleasure stay , moment let we check - in two hour early , get we cab back airport . check easy quick . lift amazingly fast ! room lovely ( re - furbished , think , not chintz decor photo ) . treat breakfast first morning feast , not eat hour ! staff helpful courteous , front desk , security . would especially like mention Ruben , feel like friend end stay , could not helpful friendly . would hesitate recommend hotel anyone return one day would definately use Helmsley . 
 Mar 30 2009 	 great hotel fantastic location 	 partner stay New York Helmsley hotel 7 night March 3rd March 10th 2009 first ever visit New York City . love would definitely recommend anyone , particularly first - time visitor , give convenient location Grand Central . arrive day late due massive snow storm rip east ; problem request non - smoking room could met arrival night due amount strand visitor . result , give premium room 38th floor smell like smoke ! decor modern , unlike review room low floor , happy upgrade . staff extremely helpful , friendly happy provide advice first time visitor . give location Grand Central ( 5 min walk ) , quality room wonderful staff , would definitely stay . 
 Mar 27 2009 	 Nice hotel excelent location 	 stay 6 night month , happy choice hotel . location excelent , next chryshler buliding , walk distance grand central also times square . get room 28th floor nice view low manhattan empire state builiding . room big , well furnished . staff friendly roomservice come really quick , food nice . travel manhattan eat hotel . thing like clean bathroom well . love hotel , great te PAX next door buy brekfast . 
 Mar 21 2009 	 Excellent hotel ! 	 second trip New York , select hotel convenient location . staff member reception give we room 10 th floor ( high possible location ) , get beautiful room nice view Chrysler building . room quite spacious ( New York ) , clean stylishly decorate . staff member helpful friendly . 
 Mar 19 2009 	 perfect location 	 stay hotel Feb 18 Feb 24 . friendly staff , clean room perfect location . 15 minute walk times square broadway . think good room higher . stay 32nd floor view Chrysler building . value money 
 Mar 13 2009 	 Poor stay New York Helmsley Hotel 	 stay New York Helmsley Hotel 12/30/2008 1/4/2009 two room 8th floor . 31st december give we newspaper whereas expect give everyday . our experience negative follow reasons:1 arrival son ( age 17 ) notice bathrobe go use already use contain cigarette 's packet pocket .. 2 room usually clean afternoon deeply bed make linen changed.3 room noisy noise street come window soundproof.4 second day find bed dirty pair under - garment together lot dust , sign room not clean long.5 hall really small . 6 1st January room 812 ( son ' room ) one man shoe ( brand Hogan ) disapperead room clean . not find shoe room , call housekeeping service , woman come room tell we would look , speak also direction reception . shoe find 4th january ( leave date ) Direction Service assistant suggest husband fill security form tell one month would inform we shoe refunding . end february still not contact we write 2 e - mail , first 2/20/2009 second 03/02/2009 . Direction Service Assistant Security finally answer 03/02/2009 , say thing tell we leave hotel ( shoe find ) . 03/03/2009 write third e - mail ask information refund , today ( 13th march ) answer . 
 Mar 13 2009 	 lovely room great location ! 	 stay hotel run Christmas husband another couple . hotel perfect location explore city stone throw Grand Central Station . room emmaculate , well furnish always clean high standard . negative would grumpy old man concierge desk , two lady speak always helpful efficient man less helpful little rude time . would highly recommend stay hotel . 
 Mar 12 2009 	 Favourite Hotel East Coast Tour 	 great hotel , buzzing activity , good location albiet fair walk Central Park , 5th Ave , Museums . find door receptionist staff helpful tell seperate bed say request king say hotel pretty full manage find we another room , honest thought would back beyond , fact face Empire State . receptionist tell we local cocktail bar nice restaurant even print detail we . find room clean bright , although aircon / heating not terribly effective , not find issue . room fair size armchair , numerous lamp plenty drawer . plasma TV , heavy lined curtain room furniture perfectly acceptable find hotel tired previous review mention . bathroom huge perfectly adequate , good hot shower one pathetic running shower either ( although power shower ! ) provide usual shower gel shampoo , much delight hair conditioner also . need take hairdryer . also 4 bath towel addition hand towel , mean dry towel evening use morning towel . charge gym hotel stay 11 day trip around east coast charge seperate fee gym well equip gym ( towel provide ) .The lift fast lift think ever experience , 6 lift wait less 30 second one time . eat Mindys restaurant find food lovely watch wine price , menu slightly limit display outside check first . negative would room tea coffee facility mini - bar daylight robbery . not dispair , deli next door breakfast food tea / coffee / juice take literally 5 min whip get food drink bring back room . I little noisey , NYC . personally find pillow ridiculously high makeshift flat pillow towel pillow case , bed divine . comfy . unless unlucky get random bad room definately good hotel season Tripadvisor reader stay anywhere ! 
 Mar 12 2009 	 bargain ! 	 travel NY 3 night attend Allman Brothers 40th Anniversary gig , want good value hotel . certainly find Helmsley . although customer seem buisness man , everyone treat care attention moment taxi drop we . read couple negative review , honesty , really go New York working tv room ? get see place ! room great size , comfortable bed , request room around middle floor region due partner fear height honour . room tidy clean every day , complimentary toiletry replace . location , couple block Grand Central , pick point Airport express great breakfast Pershing Square diner . 
 Mar 11 2009 	 love everything hotel 	 get back first trip New York , stay New York Helmsley . love . location great , couple block Grand Central Station . room clean , staff friendly helpful . also PAX next door , could buy $ 5.00 breakfast , many sandwich pastry . cvs locate block away . would recommend . 
 Mar 11 2009 	 great location mediocre room good maid service average reception staff 	 love location NY Helmsley 's round corner UN could get work easily . disappointed room ' ve motel room well facility Millenium Hotel far superior . bedside light one side go low setting could not read bed ; refrigerator request not work ; get invoice something mini - bar not take . ' ve recommend hotel many people ; one friend come every year visit NY stay . sometimes ask well room usually get . 's noisy hotel full style door slam loudly however close . 
 Mar 10 2009 	 great hotel staff well ...... 	 Excellent hotel , great location . big ... do not think staff friendly especially bar , seem tip .. great hotel otherwise , 19th floorwhich great street noise . deli next door ' pax ' great breakfast . whole great tiime . 
 Mar 3 2009 	 Staff can not keep Aging Hotel 	 stay one night girl ' getaway . location fantastic , couple block Grand Central Station . room good . problem time crunch . run water take shower , water initially come tinge brown . call front desk say would send someone . let water run eventually come clear . time service person arrive , send away problem resolve . call desk speak manager available . time check 45 minute late manager still contact we . desk say manager still deal problem . come back later hotel day pick bag finally able speak hotel manager . manager unsympathetic unapologetic . say give chance anything send service person away . not recommend hotel think age hotel tend keep staff busy address problem guest problem , hotel either less able less willing fix problem . 
 Mar 2 2009 	 Perfect round hotel ! ! 	 spend 9 good day helmsley can not rave enough . want go hotel minimal headache great service , choose place . soon get , request email via booking , com .. surely enough delviere spare mini fridge room girlfriend could store milk , water , basic etc ( need 9 day stay ) .The room exceptionally clean . request high floor give floor mid 30 's level view brill ... staff would expect stay Waldorf . location perfection . one central point Manhattan , simply close everything . time sqaure , 5th avenue , empire state - metro stop etc etc etc . everything walk distance , would hesitate go back . fussy person know honestly say think 1 bad factor . space plenty , room massive New york . yes curtain maybe decade date , ' ve get issue , will not enjoy antythe new york ! ! 
 Feb 27 2009 	 trip advisor another Solid 	 would not notice place travel site ' m glad Trip Advisor reader point . got low rate book directly hotel . bed comfy , staff friendly ( one warning : concierge wrong everything ) . accept low floor room view ready early check - in glad option . PERFECT location - try bakery Grand Central Station , ' m still dream almond croissant ... 
 Feb 27 2009 	 Perfect location comfortable room fab view ! 	 four adult , two complex health issue need share room , Helmsley one hotel offer two large bed adequate sized room good price , despite poor communication hotel get - bother reply question email - welcome fine apologetic service hitherto . room back hotel wonderful view accross Manhattan spectacular view side Empire State frame two sky scraper . comfortable though refrigerator - robe , towel soap high quality - bath - ok ! staff kind though concierge service fail send we restaurant 21 welcome - cause quite upset . the location hotel good . iconic Chrysler building short hop road room front hotel must wonderful view - Grand Central Sation short walk Times Square ten minute on . the restaurant expensive ok - ok - even staff charming ..... yet ..... would happy stay , great value well expect 
 Feb 26 2009 	 great hotel great location 	 book hotel package deal flight pleasantly surprised quality receive price . room clean , service great . front desk staff not friendly check , however 2nd shift check great . reason give 5 star bath tub faucet leak whole time ( flood bathroom ) offer another room . 
 Feb 25 2009 	 friendliest staff ever 	 back four day stay New York Helmsley . request ( advance ) nice non smoking room high floor , girl check note request meet . room beautiful , cosy quite large . long day walk , shop sight seeing thrilled return little & quot ; home & quot ; comfy bed bath robe . everyone hotel welcome we warmly door man lovely . note bar bill gratuity already add . elsewhere tip give work much tip , , double tax add little bit . work recommend 18 - 20 % . hotel great location less five min Grand Central station 15 min Time Square ( leave outside Hotel ) . travel subway lot . ( go Ground Zero / Century 21 , take downtown number 4 5 green line Fulton Street ) , journey time & lt ; 10 min . well signpost $ 7 metro ticket cover return journey 2 people . Deli next door , ( $ 20 breakfast , french toast coffee x 2 ) however like hate paper plate plastic knife fork , try Pershing Square Restaurant . ( leave hotel , 5 min walk . breakfast fab , $ 42 inc tip two breakfast coffee . warn Juice $ 7 glass , cereal , decline main coffee . brioche nicest have ever taste . Lunch would recommend Porter House , Time Warner building,10 Columbus Circle , ( corner Central Park ) . lunch though , go last year friend recommendation dinner cost we $ 200 . lunch $ 25 per person three course , good steak ever taste ( lunch special offer 7 day week ) . lunch stroll 5th Ave , visit Abercrombie Fitch Disney store , Tommy Hilfiger renovating building 5th Ave , sure 's opening . bargain shopping would recommend Jersey Gardens Woodbury Common , $ 80 two return Woodbury 1 hr bus . $ 21 return 2 Jersey Gardens 1/2 hr journey . bus leave Port Authority . like Tommy Hilfiger one Jersey Gardens pleny bargain . taxi Manhattan cost around $ 60 way inc tip toll . take bus $ 54 return two we . drop Grand Central . turn right 5 min walk hotel . slightly slow option collect terminal , journey time 45 min . remember city always busy noise problem night . buy ear plug sleep soundly . this second visit New York although hotel last year 5 * , would choose Helmsley day . good friendly staff ever . well do Helmsley , will back . 
 Feb 24 2009 	 great place stay ! back ! 	 room great view , request ! Chrysler building right ! cool ! beautiful lobby , not stop ... good size room , clean , nice bathroom hot shower , bed sooo comfy . tv great ! not stay room much location perfect ! walk theatre times square . Nice Hotel get great deal pleased ! not eat restaurant , be GREAT lil place next door fo breakfast , coffee ... even think serve lunch dinner , eat elsewhere midtown . 
 Feb 24 2009 	 nice hotel excellent location 	 back enjoyable 6 night stay Helmsley . really nice , spacious room corner view Empire State Building street outside . hotel 5mins walk distance Grand Central station go anywhere walk town either be far main attraction . choose room option go either pax next door Comfort Diner 45th St breakfast . staff helpful friendly . free wireless internet excellent feature able research place go comfort room save money . overall have hesitation recommend place anyone look somewhere stay New York . 
 Feb 15 2009 	 Decent Room Minor Problems 	 stay week 2/7 2/14 . hotel nice , lobby etc well keep . room clean , bed comfy , nice linen . bathroom spotless . carpet decor slightly date , well keep . front desk , valet parking , doormen etc wonderfully helpful pleasant . restaurant staff snotty . food average expensive . $ 28 standard breakfast 1 person . not waste money . ton good restaurant within block two . problem heating system . stayed 39th floor , room 82 degree check . ( travel alarm clock thermometer ) turn heat , open window . go 5 hour , come back room 76 degree . engineer quickly call come right away . unable help much , use hot water powered system . 's heat , time . provide us box fan , fan run 24/7 , thermostat turn , window wide open week keep room & lt ; 76 degree . lot privacy since window / curtain open time , noisy due traffic city noise . alternative swelter . public area like hallway , lobby etc always way warm . so probably will not stay , kind shame . nice hotel , nice room staff , excellent location , reasonable price . hot taste . 
 Feb 14 2009 	 absolutely Loved Helmsley can not wait go back . miss NY ! 	 many search hotel new york read many negative comment hotel . finally decide Helmsley less negative comment . bit worry deco ( flower thing ) fact get good deal Expedia - I think definately go end room low floor would noisy hell . even though request room high floor , convinced would get good room.we arrive hotel friday check breeze ! ! ! easy . receptionist girl nice friendly . door man helped bag freindly . room , 2214 , good / clean decoration see expedia ( flower ) . modern 80 's deco describe other . happy get high floor good view chrysler . bed comfy , comfy . leave newyork would seriosuly ask get ! ! flat screen tv room huge good selection channels.our room clean everyday , anything request do ( first day request extra bathrobe arrive immediately . remote control ) . come night , security check room key ( find reassuring ! ) . overall CANT SAY ENOUGH HOTEL APART LOVED EVERY single minute spend ! location brilliant , 3 block grand central , 5 min times sqaure , top rock . 10 min ESB , Macy 's . even walk Batttery park ! ! walk major tourist site ! would definately stay . probably book another hotel helmsley room ! ! one thing warn -- mini bar - have ticker ! remove product long 20 second . register room account . good thing notice 5 second go ! ! ! 
 Feb 12 2009 	 New York Helmsley - Loved . can not wait go back ! 	 New York Helmsley excellent ! locate close Grand Central Station 10 - 15 minute walk times square . room huge , spotlessly clean bed massive . staff reception extremely friendly helpful . have New York time stay hotel , would definitely recommend New York Helmsley look forward visit ! ! Great Value - Great Location - Great Housekeeping - great Time ! 
 Jan 26 2009 	 Bravo Old New York ! 	 stay NY Helmsley 4 night swelter NYC August heat . lobby old New York , swanky dimly light . spend several pre- night hotel bar wonderful bartender , work several NYC bar many amazing story ! also aid we great advice insight throughout journey . the room , least one stay , standard hotel room , nothing fancy- 2 bed dresser , tv , bath . , right outside window Empire State build lovely view ! ! security also superb , come even close enter elevator without check security first . several night escort room ensure make ok . heart city , near grand central station , empire state building 5th ave ! blast , would love stay future . 
 Jan 22 2009 	 Fantastic Helmsley 	 stay 3 night 17th jan 2009 . fantastic stay moment check moment leave taxi . the staff friendly helpful . email ahead ask would possible room view . check lady say receive email room view ...... right . 36th floor Chrysler Building leave great view . the room spotless bed towel need clean every day . definately stay recommend anyone stay here . in walk distance everywhere , Times Square , Empire State Building , Central Park ... even walk Battery Park ! 
 Jan 20 2009 	 good quality location great value 	 stay 5 night mid - January . find excellent quality , reasonably - sized room , friendly effective staff . great value hotels.com sale - € 102 night mid - Manhattan . room breakfast excellent , order . dine in - house one night Mindy 's restaurant , staff diner ; quality ok even Price Fixe menu costly . only mild criticism - coffee - maker , hot room ( window open let nice cold air - 16F minus 8C ! - E41St quiet ) .We find Osteria Laguna , directly across E42nd St hotel , provide good dinner - nicely cook , balanced sensible , reasonably price . nice wine reasonable price - recommend . PAX deli next door serve quick good quality food coffee ( include breakfast ) bacon & amp ; egg never plastic plate ! 
 Jan 20 2009 	 xmas holiday 	 Hemsley Hotel 42nd st new york.27th december 2008.-3rd January 2009.myself family would like thank wonderful staff lovley hotel make stay happy time . return near future . many thank fabian sam delicious cocktail company provide we evening . welcome day staff work front hotel always warm friendly . bed die , comfortable like lie cloud walk around city allday . thank , Angela & amp ; Billy coslett & amp ; family.wale . 
 Jan 19 2009 	 Fabulous 	 stay 3 night March 2008 really impress overall hotel . room spotless bed nicely make daily reception staff polite friendly bar staff . look resteraunt choose eat much else nearby . price resteraunt overly expensive really nice eatery nearby negative comment review possibly hotel must either mistake malicious . would recommend hotel anyone would definately stay . 
 Jan 13 2009 	 Winter break Big Apple 	 stay New York Helmsley 4 night 27 December 2008 . ask room top floor good view be get ! 41st floor corner room view two different direction - could see Chrysler really close Empire State well river . room medium sized , bed enormous comfortable . big plus could turn heat open window - hotel often stuffy overheat . Bathroom work fine clearly refurbish number year . not hear noise room soundproof appear good . price high go night New Year 's Eve approach . local taxis also significant - 4 night cost 1,500 dollar . not breakfast meal hotel expensive 's good deli next door . location excellent , overall , strongly recommend . 
 Jan 10 2009 	 Good Central Hotel 	 New York Helmsley well situate . stay executive room - two double bed . room clean , relatively quiet ( tenth floor ) nowhere free occasional cop , ambulance , fire siren ! view great - could see Chrysler Tower next door . helmsley short walk Grand Central far Times Square . Fifth Avenue also far away . cost 7 dollar taxi . Bill taxi JFK 50 dollar include toll 60 dollar include tip . take hour 90 minute depend traffic . hotel staff always helpful . breakfast though expensive ... plenty diner etc nearby though , one right next door fact . overall would definitely stay 
 Jan 8 2009 	 Fantastic Hotel 	 really enjoy stay helmsley . room spacious plenty light look right onto chrysler building ... clean everyday ... bed soooo comfortable ! not think could find well location city ... short walk subway , times square , empire state building etc . bar small nice drink head out . restaurant ... go 2days breakfast do not enjoy either ... quite expensive . there s little bakery right beside hotel get lovely breakfast cheap ! ! ! 
 Jan 8 2009 	 Windy 	 enjoy stay hotel , big room . good points- Location . centrally locate , be easy walk attraction . near gorgeous Grand Central Station mean hop Subway long trips.- Breakfast . lovely , although expensive ( add 19 % service charge ) .- room . big expecting , want . comfortable bed . not good points- 39th floor , wind literally whistle room ( go outward corridor ) . noise keep we awake . end put pillow along base door , make much quieter . believe tall building design allow wind blow , otherwise would blow ! not much fun wind come room . avoid room 3920.- expensive internet access . although free wifi , everyone want take laptop holiday . two pc lobby , guest use , cost whopping 10 dollar 15 minute . costly want check e - mail . 
 Jan 7 2009 	 must - get good deal 	 Christmas New York - Expectation higharrive late ( 12.45am ) long flight . check - in smooth , reception staff could not enough we . ask fridge room ( request F.O.C ) . send soon arrive . know Tea / Coffee make facility available room pack kettle . arrival ask milk bar staff fall accommodate request . the room clean ( little dated ) bed comfortable not want get they . there good deli next door buy breakfast / salad , good sandwich & amp ; cake . great take room long day walk around New York.24hr Pharmacy ( sell sort ) corner . you easily walk Times square ( 10 - 15 min ) metro 2 min , take ( good price $ 24 week ) .if one criticism would restaurant . food poor & amp ; costly , staff require customer Service training . Oliver Tree ( Time Square ) italian meal must . quality food reasonable price . staff lovelyWe look forward go back next year ! 
 Jan 6 2009 	 enjoyable stay 	 good stay Christmas . nice clean comfortable room side view empire state building . good value money . thing not keen location , bit far place want go . 
 Jan 2 2009 	 impressed hotel 	 really impressed stay New York Helmsley , consider price pay ! room clean spacious staff really friendly . bar hotel quite small food really good reasonably price . hotel good location subway nearby 10 - 15 min walk 5th Ave , Central Park Times Square . plenty restaurant nearby , 24 hour pharmacy shoe shop . I would definately stay 
 Dec 30 2008 	 average Stay Helmsley 	 arrival Helmsley midnight 8hrs plane , look forward get hotel grab coffee bite . outside look like something film , ble , bit seventy . arrive hotel : doorman let we struggle door bag , great start , woman behind desk act upset deal customer . manner poor , border rude , lay law would charge credit card potential damage room , elude , ' approval ' see credit card good . faith hotel fall . we ask could get drink .... answer . bar shut , room service close not know anywhere nearby get drink hour . way , would visit NYC know would somewhere - do not know neighbourhood find somewhere day later . our first room 19th floor , cold , broken heat , even break door lock take many open ( go reception take 15min anyone show ) . room okay - break hairdrier , good view , nice tv , great bed , though little shabby . call reception heat ignore . next morning shower , cold ( 13f outside room not much ) head reception . complain tell issue would resolve immediately . not . reception staff not care look simple info like bar suppose open etc . it take several call final visit reception issue finally escalate move 31st floor well ( less broken ) small room well view . the new room solve issue , though doorlock still intermittently faulty - fault guest speak seem agree . director also kindly send bottle bubbly try make right appreciated go way salvage trip . to honest , tired complaining leave remain issue outstanding really spoil trip . room service dire time . always least 35 + minute want coffee ( facility room ) bar regularly do not coffee ( NYC Christ 's sake ! ) . lucky 2 starbuck within block two though dissapointe able breakfast bed couple time least drink set out . if stay , would recommend mini market 2nd ave ( right hotel , right onto second 's right ) . breakfast - also Second Ave - Townhouse Cafe NICEST staff food great value . leave hand side , couple block leave hand side second . conclusion . would not stay . Helmsley not cheap last year pay little Hilton Times Square light year well term facility service . unless be big improvement , will not stay . 
 Dec 28 2008 	 great Base ..... 	 arrival impressed , location great . frontage impressing . take case taxi , hotel help ? [ -- -- ] . 8 month pregnant wife haul bag offer assistance . despite previous email ask high floor give 4th . complain give 26th , nice . aware glass helmsley paper thin , wife need ear plugs . think we d drink , bug mistake , 3 shot whisky soda water hour later , $ 50 ! ! ! ! ! ! $ 8 per half pint ! ! short great local , nice hotel , clean spacious room , bit avoid bar ! , unless want remortgage house . 
 Dec 24 2008 	 great hotel great location 	 stay girlfriend one week mid december . absolutely love stay , apart hassel room ( get later ) . location hotel great , east midtown busy street ( 42th ) aprox 15 - 20 min walk times square 25 - 30 min walk central park . hotel right next Chrysler Building Grand Central Terminal , great subway ( do not use much , instead walk pretty much everywhere , location convenient ) room huge great ; two double bed ( big comfortable bed ever ) , near spotless bathroom huge bathtub , flat screen tv , big window make room well light . however issue though ; problem toilet upon arrival window could not seal shut , result noise traffic first night , even 33rd floor ( i m light sleeper ) . next day speak reception guy help we 5 minute . People front desk kind , help kind question . nice . there restaurant hotel look nice ; never try though always eat . breakfast , take food PAX next door ( cheap good ) hotel room , go Pershing Square ( cheap good ) right opposite Grand Central Terminal . pershe Square also good valuable lunch dinner . be also good mexican restaurant near hotel recommend ; be call El Rio Grande 's 38th street 3th ave . I highly recommend hotel good locate , friendliness staff cleanliness high standard room . girlfriend good vacation NY hope return ; simply many thing do not time , new york city truly amazing place . 
 Dec 21 2008 	 Excellent value 	 book hotel week ago hotels.com , rate $ 200 plus taxis , unbelieveable rate weekend Christmas ( actually sad indication state economy ) . location good , although prefer stay close 5th Avenue room rate , happily walk . room relatively big Manhattan hotel room clean . furnish bit outdated bed terrific , excellent linen . feel secure -- 9 pm must show room key security get onto elevator . direct dorrman inexpensive greek diner breakfast call Joe 's , corner 2nd Avenue 44th street ( 2 1/2 block hotel ) , check - out breeze problem leave luggage bellman 5 hour checking walk around . extremely polite staff -- , excellent stay . 
 Dec 16 2008 	 second visit even well first 	 third trip New York second Helmsley New York . time mix business pleasure . arrive late ( JFK ) hotel usual buzz similar traveller airline cabin crew use hotel due superb location . ask high - up room reward 37th floor view Empire State , tower hotel , Chrysler Building . superb . room also big large last stay . service excellent - though not really make use facility . room extremely clean good condition . good thing hotel location . less anywhere central downtown Manhattan walkable area feel like proper NYC . get taxi front door easy happen little bad wear leave venue not want struggle avenue street , simply say ' Chrysler building ' enough get home . , excellent worth every penny . 
 Dec 15 2008 	 Great Time NYC 	 stay Dec 7 & amp ; 8 , 2008 . book double - double use Travelzoo discount code $ 259+taxes / night . rate great value great location . provide south face room 32nd floor . staff great . minor complaint parking . phone ahead tell reservation staff hotel parking $ 45 / day . turn $ 51 . get car immediately tired . discover several garage behind hotel $ 35 - 40 range . tell front desk staff since valet parking part hotel advise guest lower cost alternative . 
 Dec 14 2008 	 disappoint 	 back 6 night hotel say come expectation good quality hotel . lobby area come first impressive , porter attentive girl reception friendly . plush red carpet carpeting throughout hotel excellent . room upmarket , feel like pamper staying hotel . I stay 8th floor find room comfortable , heat right . could turn get hot switch wall could open window need fresh air . I never hear traffic noise sleep night , report other site . daughter son stay street side hotel experience . now thing like food , particular hotel . dining room nice ambience though waiter professional . find food New York greasy , heavy sickening . the location central would hesitation recommend hotel friend would certainly go back . 
 Dec 11 2008 	 Loved ! 	 great great great ! find great rate hotels.com . hotel nice , room huge two double bed , bathroom big clean , towel change every day . decoration update care New York ! 200 mts Grand central minute 5th avenue . 42 st nice lot shop restaurant around . & quot ; middle everyhting & quot ; nice walk ditance everywhere . service reception also good , not try restaurant overprice . get comfy shoe start walk big apple ! 
 Dec 7 2008 	 Great Location 	 stay Helmsley 7 night girl holiday New York . book hotel read review trip advisor disappoint . good part hotel location . couple hundred metre Grand Central Station get subway quick bite eat . good deli right next door hotel lovely bacon egg roll . formal breakfast sit restaurant directly opposite Grand Central Station . recomend New Yorker breakfast . hotel 15mins walk Empire State Building , Times Square . hotel clean friendly . four we stay one room plently space . 2 queen size bed room big enough share . safe wardrope radio could dock ipod . hairdryer bathroom fine , UK GHD hair straightner work fine . thing find bit awkward fact miror plug socket bathroom , four girl get read time bit wait around . really big problem . drink fairly expensive hotel bar , $ 7.5 beer , $ 8.5 vodka coke $ 9.5 bailey ( that s without tax tip ) . 24 hour chemist door hotel plenty bank walk hotel Grand Central Station . would recommend buy tour bus ticket hotel . get loop tour $ 49 last 48hour . downtown loop see Empire State Building , Flatiron building , Ground Zero , China Town , South Street Sea Port etc . walk across Brooklyn Bridge pick Brooklyn Tour bus . problem could find bus stop get lose wrong area ! eventually catch bus along Cadmen Plaza West Clark Street . also uptown loop take we around Central Park Harlem . bit fun wave earth cam outside TGI Fridays Times Square people back home see . good highlight apart shop : empire State Building , Statue Liberty , Top Rock night , watch little Mermaid Broadway ice skate Central Park . hotel great location fit comfortably . 
 Dec 2 2008 	 Wonderful Hotel 	 wife recently stay weekend New York Helmsley extremely happy choice . service excellent ( friendly , efficient accommodate ) . large , comfortable clean room 40th floor great view Chrysler Building . overall - excellent location , service , accomodation value ! 
 Nov 30 2008 	 nice hotel 	 ( 2 adult , 2 kid ) stay night Thanksgiving . nice hotel , friendly staff . room 2 double bed decent size room NYC standard . would stay would also recommend . 
 Nov 29 2008 	 great Thanksgiving getaway 	 return two night stay NY Helmsley . husband , 2 child come city see Macy 's Parade . the hotel good location especially come Grand Central Station . 15 - 20 minute walk Times Square . the staff helpful , polite efficient . room clean decent size 4 people . complaint room little warm seem way cool unless open window . also , hear street noise surprising 26th floor . overall pleased hotel would stay could get & quot ; special rate & quot ; . 
 Nov 20 2008 	 Helmsley really grow we ! 	 aware seem different grade room available . check midnight tell King deluxe room available , despite request pay one advance . room give , 16th floor disappointing . 2 double bed decor tired . none feature list hotel guide - flat screen tv , robe , safe , although small fridge bathroom ( ! ) carpet dirty stain pillow smell old smoky . glass , plastic cup . not feel right ? ! next morning ask change room . lady reception friendly helpful . move 22nd floor room 100 % improvement - clean , spacious comfortable . although decor bit 1980 timewarp , Helmsley great hotel . 's good location , comfortable bar area good cafe restaurant short stroll away . 
 Nov 14 2008 	 Cozy nice 	 room two bed . room spacious cozy . the bathroom elegant clean . staff friendly time . right next Grand Central Station . breakfast place right next door serve healthy sandwich , fresh orange juice fresh baked good . our room not fridge though . compare hotel ' ve stay New York one well one . 
 Nov 14 2008 	 Brilliant ! 	 friend visit Helmsley bit girlie holiday . little dubious first get really good deal assume must reason ! wrong . email advanced ask high level room get email back straight away say request acknowledge . arrive early request accept go staright room , great start . room clean basic ( floral ! ! ) . bathroom little date , infact debate whether suppose art deco fitting whether leave since hay day . to fair do not spend much time hotel , enjoy . majority staff really great , except one receptionist always look snotty attitude whenever speak . always breakfast nextdoor , great little place morning bagel orange juice ! fab time , hotel great location majority staff friendly . would def recommend def come back hotel . 
 Nov 7 2008 	 Good Hotel friendly reception staff 	 stay last weekend Marathon , find public area clean modern reception staff friendly arrival departure , reviewer find bedroom old fashioned time keep clean good condition . stay 12th floor could hear traffic noise clearly night . overall good experience leave posative impression Helmsley . 
 Nov 2 2008 	 New York Helmsley 	 hotel good base would stay could tea machine room one morning 4.30am could cup fo tea , room service 7.00am 
 Oct 17 2008 	 great location ; show age 	 first , perhaps important NYC , location can not beat . less two block access subway Grand Central . I stay two night ( Weds / Thurs ) , book king room . ' m Hilton Diamond , could not find Hilton property & lt ; $ 500 / night trip , find alternative hotels.com $ 360 / night . when arrive , literally walk right registration desk . not much lobby speak , mean peak time , get quite congested hectic check - in . still , check - in friendly prompt . get key head room . unfortunately key work , return downstair get new key . get room , walk room already occupy ( thankfully guest ) . turn front desk write wrong room number key folder ( thus first key not work ) . write correct room number , another set key , back go find double / double room , king , reserve . third trip back downstairs , correct upgrade corner premiere floor LCD - TV.The room hotel definitely show age , perhaps part appeal go . remind Waldorf style ... floral bedspread drape ; really look like something early 80 's . bed comfortable , though linen good quality . pipe quite loud , give age many building NYC , not unusual . room bathroom generously sized ( # 3719 ) NYC standard . room service quick , though quality lacking not match price ( $ 38 total bill breakfast ) .WiFi free room public area , real rarity high end hotel . good speed , though slow bit evening hour . fitness center 6th floor good supply cardio equipment ( maybe 4 - 5 treadmill , 2 eliptical , 2 bike ) well dumbbell ( though bench ) small supply machine weight . to save money , , good alternative . personally , would not choose usual property NYC ( Doubletree Lex , Hilton Sixth , Millenium Hilton downtown ) . base quality bedding fitness center . 
 Oct 12 2008 	 classy clean helpful staff 	 visit helmsley pleasure , ideal location sightseeing , reception helpful , doorman TONI excellent recomende great breakfast diner invite family restraunt little italy . 10 min walk empire state , 5 min central station . good room service hotel size . lift always free fast .. fassssssttt . overall enjoyable stay , room average size warm hard cool . 
