hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 Mar 28 2009 	 Great Service - Simplistic Decor - Decent location 	 return stay Fairmont kid spring break . great special Fairmont site buy 2 night , get 3rd free . give $ 100 restaurant credit , $ 50 spa credit , discount parking $ 25 per night ( regularly $ 49 ) . arrival check problem excellent service time originally make reservation check . room great size Chicago hotel . Decor simplistic Euro style flair . like shower stall door always hate hotels water pool shower curtain . nice large bathroom Miller Harris toiletry ( daughter 's hate shampoo ' m think low flow waterfall showerhead ) . closet room safe however drawer almost non existent ( room pad bench two pull drawer one nightstand drawer ) . like pad window seat catch glimpse lake ( block mostly building though ) . bed crisp comfy always love hotel bathrobe . use $ 100 credit breakfast . cover one breakfast three adult one child tip $ 98 certainly amount normally spend breakfast . two day walk AON Center next door Starbucks , Au Bon Pain , another little cafe breakfast . not try bar definately like vibe . pretty much museum trip mix little shopping . take cab every place . decide first day walk Field Museum ..... probably would not . not realize first 2 1/2 mile get . within walking distance find Giordano 's fantastic stuff pizza 's also walk distance State Street shopping . first time ' ve stay far south good locale since need one trip Mag Mile shopping first evening . wish could find evening restaurant around area feel lack . sign President 's Club ( be free ) get free internet service . utilize heck time connection nearby Hyatt keep overtake signal Fairmont keep lose connection . , nice stay . pay place would five pay $ 200 per night would probably give 3 . will average . mention , service 5 . Decor not personal preference wish within several block . 
 Mar 17 2009 	 nice hotel problem 	 hotel room nicely decorate , one drawer speak , live suitcase . wide screen tv HD , SD would maintain sd aspect ratio , keep reset stretch . annoying shower head rainshower type , little water pressure , adjustable , hot water take 15 minute arrive . give one bar soap week , maid never leave . bed comfortable , ventilation good , reliable wakeup call , elevator fast . restaurant bar downstairs expensive . buffet , full breakfast $ 35 , dinner question . local brew Honkers Ale $ 7 / bottle , mixed drink $ 12 , dizzy bar waitress . find place eat breakfast $ 15 drink , like houdibra around corner . hotel staff pleasant , doorman helpful . Valet parking steep , downtown Chicago . 
 Mar 16 2009 	 Fantastic Hotel Great Follow - up 	 recently complete second stay Fairmont Chicago . check - in process quick painless front desk staff almost disintereste whole procedure . fine travel business , leisure trip would appreciate warm greeting . the hotel host convention time stay , see signage / attendee lobby , would not notice . probably due separation conference area guest room 8 speedy elevator . stay Parkview Suite large room great view Millenium Park . anteroom well appoint sofa , coffee table , desk , mini - bar sink coffee maker , dining area . bedroom appear standard Fairmont room , maybe slightly large . bathroom also appear similar standard Fairmont room , , possibly slightly large . upscale modern decor pleasing overtly luxurious , several small touch shoe shine station ( extra collar tab ) , pepper throughout . we book evening activity concierge everything perfectly handle . hotel restaurant , Aria , could not find reservation oddly new name remember hotel call make reservation we . problem seat we dinner ( food service ) lovely . minor complaint : pillow could well . ' m sure remember preference non - down bedding last visit , seriously , thing barely feel like pillow . will suffer congestion get well neck support . also , valet parking attendant seem overly eager take car ( charge $ 49 ) . mention , front desk experience could improve . good feature : first stay , give brief review comment section Fairmont President 's Club ( membership free ) website . receive phone call Director Rooms day ask discuss experience . stay , leave comment essentially thank hotel staff great stay , still receive warm , friendly phone call Director room ask could anything improve next stay . Kudos Fairmont take customer seriously , , ' ve loyalty . 
 Mar 14 2009 	 * AWESOME * hotel ! ! 	 friend book Fairmont bookingwiz.com get room $ 112.00 tax include 1 night . lobby beautiful . arrive 10:00am want put bag & quot ; hold tank & quot ; shopped check we room point . thrilled ! ! room INCREDIBLE ! ! bathroom area separate bar area , walkin closet , enter bathroom double sink , shower , bath enclose toilet . bedroom corner room window 2 side , 2 comfortable bed , couch , desk area , bench HUGE flat screen T.V . location GREAT . close commuter train station Millenium Park . eat Giordono 's around corner . wonderful grocery store , Bockwinkles , locate backside hotel . spend $ 15.00 per glass wine hotel decide go buy 2 bottle price . people hotel helpful never problem get cab either . hopefully help . HAPPY travel ! ! ! 
 Mar 3 2009 	 regular guest little dissapointe time ... 	 stay Chicago Fairmont many year . this time , find totally redecorate style , opinion , make look cheap . water preassure shower bad , guy come fix , change shower still , nothing even close good enough . room service mention 25 minute time delivery make order , take one hour come , another hour table pick . bathroom door really bad shape , humidity badly paint . light WC area totally insuficient . staff ok , hotel well locate . like idea Lakeshore Spa next door spend hour work Spa ... good . as redecoration , guess change tv little detail would enough , guess million dollar spend doubtable result . 
 Feb 11 2009 	 dump ! 	 redecorate room cheap furniture ( 3 - legged coffee table fall brush ) , water pressure shower , polyester pillow old & amp ; flat unusable ( be allergic feather ) , overcharge bill ( $ 138 breakfast hotel restaurant , never visit ) ... crown blow buffet breakfast 20 set room next door two consecutive morning ( 7:00am ! ) , make sleep impossible . complain told & quot ; not tomorrow & quot ; . 
 Feb 1 2009 	 Upgrade Fairmont 	 price Marriott spend night ( $ 122 + tax ) enjoyable brief stay . other note hotel recently renovate , room furnish attractive sleek scandanavian - type design . staff polite attentive , seem match redesign hip kind feel . parking pricey $ 49 , use adjacent lot self - park , other note , lack water - pressue shower disappointing . good location . would return , esp pricepoint . 
 Jan 22 2009 	 Nice Place ; Nice Location 	 stay Fairmont Chicago 1/12 thru 1/15 convention McCormick . convention rate $ 159 , use President 's Club upgrade certificate upgrade park view 1 bedroom suite ( room # 2301 ) . take cab O'Hare ... cost $ 45 include tip not hassle parking , typically expensive downtown hotel large city . cab plentiful everywhere go , always available hail bellman quickly . location central right across river Michigan Ave shop . the lobby nice modern . fact , hotel & quot ; un - fairmont & quot ; like . old luxury , rather modern , scandinavian feel furniture , etc . room HUGE well equip . spa exercise area beautiful . bed great , water pressure great though . recommend join Fairmont 's president club . get free local call free internet access , alone $ 15 day . stay 5 night calendar year become premiere member , give upgrade dining certificate . , nice comfortable place stay . probably worth regular rack rate . 
 Jan 4 2009 	 Fantastic Hotel 	 family four ( two daughter 14 , 9 ) stay Fairmont December 22 four night . definitely family hotel , consider go leisure trip plan visit Chicago 's main attraction , surely plenty keep busy two week amenity like pool fitness room inside hotel unnecessary . reserve two ( 2 ) connect corner room 2701 2702 . also breakfast dinner famous Aria restaurant . hotel cater mainly upper class senior honeymooner , everything top notch , mean & quot ; everything & quot ; . well maintain physical structure ( inside ) , well appoint large room , well train personnel ( doorman housekeeping ) food Aria superb ( second none ) . everybody friendly eager help . compliment hotel management staff . 
 Jan 1 2009 	 high parking cost- $ 49.00 	 spend New Years Eve Chicago overall trip great . after pay $ 200.00 stay charge another $ 49.00 parking . want park weretold suppose park vehicle .So next morningwe receive charge $ 49.00 park vehicle itwa say do spend $ 275.00unless like spend alot money would not recommend . say something next morning tell cost money park . 
 Dec 2 2008 	 beautiful room good location 	 property refreshing change classic Fairmont hotel strike reception area give pizzazz trendier hotel brand . front desk service exceptional check - in check - out . representative check flight print boarding pass rather direct business center procedure many hotel . much - appreciate time - saver we . ' ask well view 31st floor room , overlook park Lake Michigan beyond calm color palette contribute , along décor , pleasantly serene room city . bed comfortable like large somewhat walk - in closet . couple concern may want inquire – go work - out room around 7:30a tell ' open 9:00a ' make sense business hotel . also , ' pool hotel , tell $ 25 , use athletic facility pool next door . ' know pool mention another review , ' ( accord concierge ) pool property . excellent service , great location comfortable room , ' stay , however long period , would probably choose hotel recreational amenity . 
 Nov 7 2008 	 little disappointing money 	 stay one night Fairmont end Oct. , 2008 . price find pretty average hotel experience . book superior room view lake . especially mild night day autumn Chicago , appreciate able crack open window fresh air ( although climb furniture even get curtain ) . underwhelme room decor . room relatively spacious , seem little 1980 style date . bathroom room 's good feature , somewhat water pressure problem take shower morning . nice robe guest use closet . the bed comfortable room pretty well lit reading work . charge internet use , not take advantage since pay $ 15 4 hour connection seem waste I . check - in quick fairly perfunctory , although thank goodness give specific detailed direction find elevator would quite lose . since get late , order room service dinner . service quick . dinner average though . breakfast next morning Aria much satisfying . not dislike hotel . fine similar circumstance would probably stay . $ 414.00 midweek , seem overpriced quality . realize downtown Chicago area location pricey , $ 180 room Doubletree Rosemont way back Chicago compare favorably fairmont room twice price . 
 Nov 7 2008 	 would stay 	 hotel great . room great . food great . pool great . service great . near michifgan ave . would stay . 
 Nov 6 2008 	 High Marks ' round 	 fine property staff offer excellent hospitality . kiss away Michigan Avenue , peaceful location . great city view , beautifully appoint , good choice place property enjoy food beverage . especially love Aria 's eclectic menu ( Pacific cod favorite ) pamper service , eat two night run . Fairmont Chicago prove fine place stay put top list next trip Chicago . 
 Nov 4 2008 	 comfartable getaway 	 travel Chicago October 23 - 28 , conference / vacation overwheleme choice hotels downtown area . read alot review select Fairmount really glad . great location see Navy Pier , museum attraction . room spacious comfortable always keep clean . staff friendly helpful dinner suggestion . trip wasa success part due great time hotel . downside loud slamming door night hallway 's much hotel . 
 Oct 6 2008 	 wonderful hotel wonderful stay 	 love San Francisco Fairmont wealso love Fairmont Chicago ! big THANK Chicago hotel terrific service , lovely accommodation , excellent location . start finish -- stay great . we nice room 9th floor quiet -- floor plan place room little podsof four , long hall -- drapery really keep light . good big - screen tv ( give 4 star ) . close everything -- museum , Michigan Avenue , El -- either foot cab . plumb mishap forgot take & quot ; disturb & quot ; sign door knob , result unmade room , staff beautifully take care everything asap . also , discover have leave item behind , send home without charge . wonderful breakfast menu Aria restaurant , ! love hotel ! ! ! 
 Sep 23 2008 	 excellent choice 	 stay Fairmont professional conference . say conference , meet room small , term traveler 's comfort hotel exceptional ! can not think single thing room not perfect . accommodation luxurious hotel conveniently situate within walk distance many Chicago attraction . 
 Sep 16 2008 	 great stay 	 would agree positive recent review . stay July 08 happy hotel . room well appoint , clean , spacious , quiet . travel family , often stay family hotel decide splurge bit city . however join President 's club , able score nice price nice hotel . save cash park Millenium underground facility half block away . location one half block river half block park . area number hotel within walkable distance number downtown attraction , however night become somewhat deserted . 
 Sep 11 2008 	 nothing good 	 concierge helpful . without hesitation good recommendation restaurant attraction turn wonderful . even give we business card restaurant take reservation could obtain preferential immediate seating ' . loved health club back hotel . join president club , cost ten dollar day use facility . room large , update view look 3 direction . coffee maker room exceptional . location great get mostly anywhere . parking overprice take cart underground Millennium Garage $ 25.00 per 24 hour block walk hotel . 
 Sep 10 2008 	 really like esp vs Chicago Intercontinental 	 Chicago , stay Intercontinental Michigan Avenue , change hotel abruptly Intercon lose reservation last night conference attend . secretary get standard room , last minute , Fairmont . skeptical bad mood anyway via Intercon experience , pleasantly surprised ! $ 329 ( corp rate ) , receive 33rd floor suite view Lake Michigan . room spotless homey / cool - think West Elm decor . lobby reception area cool peaceful , wine bar right center . even get chance try hotel restaurant - Aria - excellent , except clueless service bring everything ... ? food quite good left want try - warm nan - like bread dipping sauce start , gratis , nice touch . bed v comfortable ( well Heavenly Westin bed ) , well - stock mini - bar welcome basket full goody ( extra charge ) ... even chamber service friendly - evening service person actually come turn - down chat couple second unobtrusively , appreciate , travel alone . I though Fairmont would stodgy choice , fan convert . would definitely stay . great service , calm / soothe atmosphere , everything be button - first class ! 
 Sep 4 2008 	 Decent downtown dig 	 stay Fairmont 's recently curious see Fairmont Chicago stack pass test without break sweat . unlike many other Fairmont chain hotel not heritage historic landmark modern feel . design somewhat retro 70 's chic time try little hard , flash white light inbedde floor front desk . location short block Jay Pritzker Pavillion Millennium Park make comfortable morning walk feel celebrate Buckingham Fountain , Field Museum , Soldier Field Adler Planetarium much far . direction take Chicago River riverwalk lot restaurant choice . term get hotel , ride blue line CTA train right Clark & amp ; Lake walk approx 5 minute Fairmont $ 2.00 one way CTA O'Hare many time cheap airport mini - van transfer $ 27.00 one way . room deluxe king room , # 3104 decent view look towards Millennium Park though not unobstructe view tall tower nearby limit view degree . retro look carry within guest room wooden chaise lounge chair green cusion 60's/70 's Euro design feel comfortable enough . large flat screen tv little modern appliance set amongst retro design not enclose cabinet hotel use . large king bed fairly standard luxury chain room really excel bathroom separate large tub & amp ; large walk shower great rainfall shower head make relax start day . would always wonder whether good hype would hear part would agree mile well regular shower head . Fairmont sell shopping website $ 470 pass keep old shower head . one small annoyance 2 night stay relax big tub turn button recess plug not pop let water drain without fingernail could not get grip pull minute give . notice housekeeping look like equally unsucessful maintenance must ' ve new different plug instal return room late day , though nobody bother actually clean tub process . when make booking month early receive email say Fairmont & amp ; Aveda work together offer guest nominal fee travel liquid pack ask one put room upon arrival . check notice not way dinner mention concierge lobby room upon return never show hotel bil check must ' ve make complimentary goodwill gesture appreciate . travel package gift niece hope like would not order really not anything would replace utilitarian travel liquid pack not facial cream eyebrow lotion . I pre - meal drink Aria lounge , retro look feel . note lounge middle round lobby wine bar , cocktail . service use site business center offer first 30 minute internet use guest take advantage airline online check print boarding pass , save load time O'Hare Labour Day long weekend . four terminal prepare full time . the staff encounter fairly young good attitude friendly polite manner happy quiet refined retro luxury surrounding . Fairmont Chicago deliver everything would hope little would return . price always consideration hotel sale would easily stay other Magnificent Mile area like Fairmont 's location . would pay $ 400 + per night ? probably ' ve see sale time low $ 149- $ 179 range think good value . 
 Aug 21 2008 	 Great Hotel ! 	 stay Fairmont Chicago 3 night Aug 1 - 4 3 friend . go Lollapalooza Grant Park . hotel great location . clean room great view . 36th floor corner room . ask mini fridge room bring we within 5 minute . the pod dock room nice touch . I hear guest talk room , pretty quiet . hotel Complimentary Car take place around area . take advantage Mondays- Saturdays . great breakfast place call West Egg ... usually 15 - 40 minute wait worth . food great price not bad either . 10 minute walk , ask concierge West Egg ... hotel car take drop . put name list wait tell we would 20 min , walk around Magnificant Mile area bit come back . this great hotel awesome city ! definetly return hotel next year concert ! 
 Aug 19 2008 	 Love new look 	 year stay several time must say need remodel turn great trendy fresh comfort atmosphere . find unusual room chair . tell come China rather strange feel could easily tell take room certainly not go Chicago sit room even beautiful lake view . really bad restaurant could not locate hotel window . although Aria good one might expect linen table price service certainly par rest wonderful staff . impressed guest evening ride Hotel car - 2008 beautiful Bentley . one ask park front often get nice ride dining destination . miss President 's Club reception area check - in allow wait line convention checking . wonderful experience live expectation . time go Segway tour office two block East take Segway tour different fun thing . 
 Aug 16 2008 	 Nice Chicago Hotel 	 Nice hotel property good location Chicago . check - in fast pleasant . room average size great view City . bathroom great separate bath classy tile shower stall . bed comfortable bedding high quality . small clock / alarm iPod port provide nightstand . flat screen tv perfect size room . desk area adequate work good lighting . high speed internet line , however , disconnect wall desk , try log , nothing happen . pull desk wall sure enough , line desk internet plug receptacle unplugged . plug internet begin work pc . sure unplug someone less resourceful would call front desk wait someone come fix connection . not order room service eat restaurant . would stay . 
 Aug 14 2008 	 avoid possible 	 frequent business traveller surprise hotel get away Fairmont name . Fairmont Quebec , Bermuda , Boston especially Seattle excellent hotel . I stay past ( renovation ) poor experience ( dirty room , poor service , noise , etc ) decide try since know recently renovate . first , first hotel ever experience lobby room well renovation . the former room classic Fairmont old - world comfortable feel . not know describe today . basic , bare , drab , uncomfortable , unattractive room little color cheap carpeting . hotel also offer little insulation . could hear everything say room next door guest talk normal tone . reacall happen last time stay well . the lobby nothing big lounge . walk lobby see lounge . meeting / seat area plan informal meeting lobby . odd typical Fairmont .. want sit lounge get $ $ .No doorman greet cab arrive front desk clerk barely acknowledege look computer check . long line check . one person front desk 12:00 noon - peak check - in / check - out timethink mostly result poor management . so many great hotel Chicago . avoid one . 
 Aug 13 2008 	 first class way 	 second time stay Fairmont . couple year pass , room redone modern , minimalist style . neat . hotel remain first class establishment every way . professional , courteous staff , swank lobby , spacious top notch room , luxurious marble bathroom . new wine bar lobby really nice way sample flight wine around world . finally , location can not beat . away traffic residential area , still couple block Michigan Avenue Millenium Park . bike rental place less block away easy access Chicago 's stellar lakeshore bike path . bargain , place . overnight parking alone $ 50 . downtown Chicago , tend get pay . anniversay splurge , well worth . 
 Aug 7 2008 	 Fantastic Stay 	 friend stay Fairmont 2 night attend Lollapalooza Grant Park . tradition able stay different hotel every year . hotel well far . we enter hotel , entrance low key . sit quietly corner . go lobby see modern detail , wine bar center lobby really cute . check get room right away . 25th floor , city view partial lake view . room large . plenty room we stay people come concert . bathroom also large beautifully design . entire feel cool modern . we eat hotel purchase anything gift shop , tell expensive part . thing seem reasonable sushi restaurant . price seem comparable would pay anywhere else city . the service great . everyone speak nice . admit surprised ! 
 Aug 3 2008 	 Trendy Place 	 stay one evening . trendy hotel . room huge . bed comfortable . pillowtop mattress , comforter , soft pillow . huge moveable flat screen tv wall , nice view . room service expensive . part , room clean , small thing leave floor like vacuum could not pick . walk distant lakeshore , shopping , food , Grant Park . would stay ! 
 Aug 3 2008 	 worth $ - good part hotel MySpa . 	 Fairmont remodeling , except apology , inconvenient stay time . room worth price ; even gorgeous view Lake . plus make way new chocolate / wine bar thing , not worth . expensive place stay , folk , be use pay luxury hotel ( i.e. , Ritz ) . fairmont need provide well signage 's confusing , well customer service guest stay , especially business . parking horrendous , good thing suck pay valet , realize be go cost . Aria 's breakfast buffet hot turn cold food every day , problem kitchen staff 1 day restaurant apologize breakfast ala carte item free . be use stay Renaissance , well location , without view Lake . $ 100 price difference , not worth room . accommodation website get unless pay exact room . however , want good spa treatment , go MySpa . holy cow - 's wonderful . be new ; whole atmosphere relax enjoy 2 treatment 2 separate occasion . if travel Chicago , would stay Renaissance go myspa massage . be great , staff spa pleasant accommodate . 
 Jul 30 2008 	 spacious room excellent service 	 stay business labor day 2007 hotel excellent . room spacious well appoint . seperate bathroom incredible . staff helpful . location hotel great walk local park history venue . 
 Jul 24 2008 	 Great Experience 	 Fairmont Hotel fabulous hotel Millennium Park area downtown Chicago . location , amenity quality make ideal choice business vacation traveler . attend conference hotel . lobby hotel chic feel wine bar middle ( Eno ) front desk subtle , flash light effect . staff friendly helpful throughout hotel . room spacious ( especially big city standard ) comfortable bed , decent size bathroom ( marble , separate rain shower stall , separate commode area ) , nice work space ( iPod station internet access ) , HD tv couch window . 36th floor great view city . everything clean . two bar include swanky sushi bar part Aria restaurant . eat restaurant Eno food choice . the meeting room comfortable efficient conference . food decent … would expect business function . hotel short walk Miracle Mile area may need cab restaurant property bit tuck away , block action . if signup President ' Club program ( free ) free access internet workout facility ( clean fair number exercise equipment . complaint really ' much well visit Chicago . 
 Jul 16 2008 	 nice 	 husband stay Fairmont 4 day . honest , reason stay due reduced rate offer hotel , business trip . beautiful hotel , lobby exude serene atmosphere . feel way room . shower nice separate bathtub , sink area vanity . bellman pleasant always welcome guest back . however , agree would probably return Fairmont give usual high rate . 
 Jul 8 2008 	 expect 	 concern $ 49 parking . public lot right across street . however , run late dinner reservation friend , line get , opt drop car $ 49 parking . check - in easy . we 2619 , face lake , look condo construction , limited view lake fault , realize . room slightly disappointing . sure whether room renovate . certainly not look like photo . expect oppulent look . basic Marriott Westin decor . window treatment bore gray panel cornice . wish take picture post ! single picture wall . ipod dock desk lamp . read reviews thin wall . time find true late afternoon trying take quick nap dinner . not know music come , be bass loud disturb . afternoon plate sugar cookie arrive . sign President 's Club arrival , sure everyone receive . must present get . could not find anywhere stash clothe except bedside table . upon pack leave , realize drawer ottoman end bed . find espresso machine search drawer highlight trip ! wobbly , funky table floor lamp front window . room seem large , occasional chair . chair desk chair . could not decide bed comfortable . first night . get well get tired explore city . lobby , bar common area pretty staff super nice friendly . we book pre - pay rate web site $ 160 night July 4 weekend . good deal price . probably try different hotel next time . 
 Jul 8 2008 	 great location disappoint .... 	 celebrate 3rd July firework family ..... first all - the good thing ever sign Presidents club . frequent user club fantastic . we stay many thi hotel always experience . absolutely surprised nice hotel . disappoint hotel south Wacker Chicago - prefer stay four season Peninsula family event Westin Michigan . if want walk- way really & quot ; feel & quot ; city- hotel simply far . enjoy museum - Grant Park concert festival Navy Pier hope find hotel south Wacker . it feel Four Seasons could well compete gem . lobby chocolate bar fun kid . room service well ' ve ..... enjoy ... 
 Jul 4 2008 	 Mixed 	 stay Fairmont Chicago last nite , place stay multiple time . room re - do well . fairmont use reflect turn century french style original Fairmont San Franciso lovely soigne feel . new room style like Motel 6 . carpet tissue thin industrial type , lovely furniture laminate particle board . desk relocate away window face wall . picture wall vinyl thing bed , CHAIRS desk chair . call front desk ask miss chair , acknowledge yes , problem . light fixture Home Depot , etc , etc , not pleasant room . still good sized room leave limestone shower , quality experience . the restaurant ARIA good . imaginative dish extremely friendly staff . indeed staff cheerful make every effort make feel like guest . although hotel build excellent standard , problem appear new ownership skimping expense . think look alternative East Side neighborhood . 
 Jun 24 2008 	 amazing ! 	 first time Chicago first time ' luxury ' ( least compaired ' m used ) disappoint . from check check hotel amazing . to begin , book Hotels.com get decent price St. Patrick 's Day weekend . ( Sub $ 1000 Fri - Tues ) room upgrade Deluxe room extra charge , complaint ! room spacious comfortably decorate . marble bathroom nice indeed . seperate shower bathtub full marble vanity . seperate water closet . Bathrobes include ! outside bathroom , full vanity exceptional lighting ( girlfriend spend plenty time ) .A large tv plenty cable channel . Mini - bar nice ( use ) however , make use espresso machine include room . a spacious marble desk sit front double window overlooked lake . ( although construction next block take little away view , Hotel 's fault ) Room service though expensive , ( expect ) adequite food phenominal ! stay Fairmont Chicago enjoyable experience right price . 
 Jun 24 2008 	 appreciate great service stay 	 back three - night stay Fairmont . really happy hotel . staff ( check - in , concierge , wait staff , etc . ) ball miss beat . seem know everything Chicago . helpful booking restaurant , tour etc . room generous size amenity ( include espresso maker great ) . location convenient easily walk Wrigley Building , Millenium Park , Navy Pier , Magnificant Mile Art Institute . go wrong stay . 
 Jun 20 2008 	 Absolute luxury 	 go 4 day conference love . travel 50 % time job , usually 3 - 4 star hotel . location great , wonderful sushi bar lobby , bartender friendly . would definitely go . 
 Jun 15 2008 	 Fairmont refurbish Fabulous ! 	 recently spend 4 night Fairmont impress excellent customer service - staff extremely friendly helpful . room recently refurbish spotless , bed really comfortable . nightly rate include breakfast well worth . definitely would recommend hotel ! 
 Jun 1 2008 	 Quiet Hotel near everything 	 second stay Fairmont . first visit week business event hotel , second visit weekend pleasure trip . conference facility cater top notch . lobby renovation time second visit . newly renovate room , still think nice . staff greeter / valet , front desk , bellman , concierge nice helpful . go Aria Bar , good atmosphere service . recently open spa nice , except wait area small many seat steam shower service . deep tissue massage fabulous . like fitness center equipment , stock chill bottled water wet towel . hotel quiet weekend – weekday business hotel . ' far enough Michigan Avenue Chicago River quiet , yet short walk everything . cab also readily available . weekend rate slightly low hotel even less quality Michigan Avenue River North . would return . 
 May 31 2008 	 great location 	 great hotel . full service reasonable price ( $ 249 / night ) .The room nice . 42 & quot ; LCD room also dock / speaker iPod . also nice little box could use hook component television bring they . be sure sign Fairmont President 's Club go , even not stay fairmont often . be free sign , allow make local toll - free call room free ( normally charge ) use internet free , normally around $ 16 24 - hour period . the thing issue airport shuttle , drive car , park $ 49 / night . otherwise , really like place , convenient everything downtown Chicago offer . Millennium Park directly across street , place rent bicycle Segways . Navy Pier short walk , well Sears Tower . depend side building floor may even able see Lake Michigan . 30th floor east side building could . if North west side building , may able see Navy Pier firework room , every Wednesday Saturday evening ( believe , maybe Sunday ) Memorial Day Labor Day . 
 May 27 2008 	 Excellent Choice Chicago 	 Chicago Fairmont excellent location 5 day . walk distance number great attraction -- include Millenium Park , Art Institute Chicago , right next great city park young kid . like spa -- recommend Thai Massage cross swedish message physiotherapy . hotel coffee / muffin station main level bit limited , hotel connect via one low level office block small shopping concourse excellent breakfast , snack light lunch choice . 
 May 11 2008 	 good example ' if be not break not fix ' 	 stay last summer think Fairmont excellent every way - decor service room , etc . know would back walk advertisement hotel . since , ' ve renovate still process . along come problem - respect - opinion prefer hotel , ' classic hotel ' look staff season experience totally accommodate guest . check - in ardious , room reserve month , even confirm night arrive , available . guarantee smoking room ' we guarantee request ' - put Fairmont long list hotel claim thing . fact , everything rank good hotel street . 's shame - stood rank high prior change . pro : location superb . housekeeping , doorman , bellhop - service 100 % .cons : problematic wireless internet access . never able connect inside hotel , even iPhone . front desk repeatedly refer tech help , repeatedly refer back front desk . layout room stay ill - conceive , brand new plasma tv unable face bed . absolutely stupid design . two thing want hotel room long day - internet television - neither right . room service prompt , food average . when great experience hotel , hope next time well . case , dissappointe change around would opt another hotel future . 
 May 10 2008 	 paper - thin wall ! 	 hotel room reasonable . nice bathroom rainshower . room recently paint smell bit strong . two important flaw : paper thin wall - could literally hear snore next door ; hallway sad condition . carpet see well day - loose spot , multiple paint mark etc . 
 May 9 2008 	 wonderful Stay Chicago 	 husband business Chicago tag along 5 night stay Fairmont . first visit Chicago . upon check staff friendly attentive . deluxe room 10th floor view Millineum Park , observatory lake - beautiful ! room update , contemporary , decent size couch , desk internet hookup / phone , 42 & quot ; flat screen tv . mini - bar along snack cabinet . love Nespresso machine provide make good use . thoughtfully replenish daily . sleep wonderfully King bed 4 goosedown pillow goosedown comforter . appreciate 3 sheet bed . the bathroom separate rain shower ( huge plus ) addition tub . plenty thick white towel . separate toilet w / door well . 2 robe , blowdryer , wine glass , coffee mug , glass ice bucket . every thing provide first rate . Soaps shampoos high quality also . we 1 lunch 1 dinner Aria well 2 evening Aria bar . food service excellent . hotel proximity great sight want see . definitely stay . 
 Apr 16 2008 	 great stay Fairmont 	 lovely stay Fairmont 4/11 - 15/08 . Platinum Fairmont President 's Club use suite upgrade certificate get large ( 700 sf ) lovely suite $ 429 view south Millenium Park , Art Institute Field Museum . room well - appoint , clean . two large flat screen tv 's . 13 year old son we . request rollaway , check - in clerk recommend one . charge it . eat dinner Aria restaurant - we quite pleased meal . service friendly efficient ; indeed , case throughout hotel . concierge ( particularly Tim ) helpful great advice restaurant , direction , etc . hotel conveniently locate - walk several site restaurant , take car long journey . do room service quite pricey , pick pastry lobby bar couple morning . hotel unveil new lobby bar evening arrive . 
 Apr 15 2008 	 Realy Great Hotel 	 recently stay Fairmont Chicago find fantastic hotel . staff always courteous helpful - front desk staff check - in wait staff Aria restaurant , maid clean room . room recently update , large flat - screen TV 's , beautiful linen , exceptional toiletry room . room even view Monroe St. harbor . truly first - rate hotel . Location south river east Michigan Ave – normally stay north river seem little way ( be possible downtown Chicago ) , however location significantly lower street noise . hotel excellent access Millennium Park , Aon center ( connect concourse ) , 4 block shop North Michigan Ave . eat dinner Aria fantastic ! room service breakfast quite good well . overall , ' stay minute business loop , leisure plan Millennium Grant Parks . 
 Apr 15 2008 	 terrible business traveler 	 be business traveler , stay away hotel . internet connectivity provide company call Superclick . track every website go . translate slow speed , random redirect , devastatingly , difficulty access secure work email via webmail . Vista note snoop , remote email site , block half time . work straightforward easy take three time long . otherwise hotel nice enough convenient , will remember stay hassle try get work do . see Superclick & quot ; Superclick Evil & quot ; : [ -- ] 
 Apr 13 2008 	 live expectation 	 nervous hotel read bad review , fine . check - in bit confusing , book conference site get date wrong , Fairmont staff sort . construction entrance site aside , hotel nice . staff friendly helpful , one rude person . the room , basic one , spacious big - city hotel room . clock radio get not turn . within 5 minute housekeeping staff member come check , realize break , replace immediately . the bathroom nice separate shower good - quality toiletry , mold , everything work well . room hotel clean . excess noise room hall . the view 17th floor great , able see water . however , view construction would beyond control hotel consider good view bonus . do not try restaurant room service , price selection seem reasonable . 's easy walk store , restaurant deli hotel . overall pleasant hotel experience would not hesitate return . 
