Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Sep 24 2009 	 stick 1972 	 book suite stratosphere , base internet review picture ... rate great guess begger can not chooser , room straight bad b gangster movie , smell terrible , view ... parking lot despite 18th floor . beware prepay line , still hit tourism tax upon arrival ... check , Terrible 's clean , cheap super friendly ! . one thing , restaurent top tower way rate hyper expensive . 180 usd 2 basic meat potato couple glass wine .... view great , get cocktail lounge .... oh , also wifi access 11USD ... free terrible 's ... 
 Sep 24 2009 	 Value money 	 clean basic Las Vegas hotel - frill . free entry Stratosphere tower . located end strip - main casino attraction within walk ( & lt ; 15 min ) distance . monorail however good option start Sahara Casino across street ( usd 13 one day unlimited use ) . WiFi 12 dollar 24hrs . fast check - in check - out . free parking , noisy aircon . 
 Sep 24 2009 	 Great Value 	 great value hotel . little date even though website state room update 2008 . bed great , bathroom little ropey . fantastic value money locate well bus stop right outside hotel easy access strip . casino good fun . Lucky 's restaurant - extremely slow service . check good , little waiting . check early booking issue . pool great service good . would stay . 
 Sep 24 2009 	 way well expect ! 	 can not praise Stratosphere enough ! check service room cleanliness could find fault hotel . pay £ 27 per night 5 night September arrival not two non - smoking king room together , give we free upgrade ! pool area spotless , guest relation desk great . would recommend make much use concierge possible . question every day incredibly helpful even book tour we . buffet excellent value money one tip - get reward card soon get . get 25 % discount buffet restaurant 's definitley worth . eat every morning three day eat evening . $ 19.99 eat unlimited day . Stratosphere offer brunch buffet not surprised find spaghetti bolognese offer breakfast ! service restaurant excellent recommend visit Roxy 's Diner , casino floor . great food ( , well value reward card ) server even sing classic hit ! ! would definitely stay . 
 Sep 23 2009 	 good hotel good location 	 want go Las Vegas stay strip know hotel end strip . good clean hotel big room . incredible restaurant top tower many attraction . also organize good show cabaret course do not miss elvis presley . swim pool great also jacuzzi . good luck 
 Sep 23 2009 	 Stratospere Excels Hotels.com Screwup 	 arrive Stratosphere exhausted drive Napa try check - in . tell hotels.com mess reservation make follow day . tell rate much high night , erke keep cool ( can not say sister crazy friend ) , front desk agent bring MOD ( Christopher ) talk . wa personable professional , front desk girl help we first ( never get name Hawaii also cute ) , decide stay . Anthony bell - hop , also nice , show we room awesome view Vegas . next day go pool imprese . topless pool location well , pain get girl see topless not worth time make . parking pain that s valet . overall noce hotel . thank make stay enjoyable . 
 Sep 21 2009 	 Great Hotel little far strip 	 stay 4 night great , hotel huge room great . area near pool cool fun . fitness center lot shop 2nd floor . everybody really nice . problem hotel far strip , car need move visit Las vegas . 
 Sep 21 2009 	 great hotel good price complaint 	 stay friend one week first trip Vegas , hotel stand time book due price . pleasantly surprised arrive everything expect . twin room pretty big room clean , cool tidy . hotel big attraction roof add bonus thrill seeker there . the criticism location , 2.5 mile ( 4 km ) would call ' the strip ' mean big casino like Paris , Caesars Palace , Bellagio , TI Wynn . get easy enough get monorail Sahara , 10 min walk away . monorail frequent journey approx 20mins . walk strip problem , find take lot time stop traffic light ( intersection ) , take we almost 2 hour walk busy ' fight ' night . bus stop right outside hotel , hop bus call ' the Deuce ' traffic make journey take age . there much nearby apart Stratosphere Sahara form entertainment eat . find local 7 - Eleven Gas ( Petrol ) station good snack , water donut . we enjoy stay would stay , look something close popular hotel casino not fancy walk get bus / monorail Stratosphere may . someone mid 20 problem . 
 Sep 19 2009 	 room without view 	 choose romantic suite could stay hotel spend day resting room . room 6th floor , view ... could see white wall ceiling ... even ask change , keep we room ... 
 Sep 19 2009 	 great price 	 recently come back vege spend week stay Stratosphere stay ....... read review expect bad .... however fine , fact fine . get cheap deal 6 night stay , room 17th floor , clean , spacious quiet . hotel efficeint check staff , helpful conceige generally nice place stay . hotel 2 swimming pool 1 level 8 nice , 1 level 24 - one free lady get gent pay ..... take we figure ... topless area sunbathe ! ! oh also roxys diner good milkshake ....... also eat top world restaurant top stratosphere tower , pricey good food view vegas fabulous . location ..... ok yes right top end strip , Sahara hotel 5 minute walk monorail station take right hotel along strip - 5 6 stop total , run 2 3 am find efficient . Stratosphere starbuck every morning get latte wander monorail ... Grand Canyon ..... must ... go Pappilon first class sunset tour , amazing go slightly late day , sun setting save 42 degree heat - shade grand canyon . must ..... go see dolphin mirage white lion tiger , could stay day watch .... play crap ... hilarious actually nothing , not big gambler vegas interested see sight gamble fun . show .... go see Jubilee Ballys long running show vegas think , showgirl , lot bling feather also Cirque du soleil - mystere old original - 6 cirque du soleil show vegas . show amazing . end trip stay one night bellagio ....... omg amazing ..... definately great way end holiday ... can not wait go back ... 
 Sep 18 2009 	 great holiday spot lovely pool restaurant casino tacky 	 really enjoy stay ... day buffet great value good selection food , nice pool relax beside reasonably price bar , bizarre american hang up toplessness aside , roxys diner lively , staff helpful , room spacious although get talk pay upgrade get & quot ; overbooke price level & quot ; end great room . handy retail floor 24 hour Mcdonalds hotel .... yarm Angus burger ! disadvantage quite long distance srip hub major prob 
 Sep 16 2009 	 treat brutal way security personnel 	 stay hotel August 23rd . room quite nice clean , way treat compelling stratosphere tower ( part hotel ) simply brutal . security entrance stratosphere tower treat unprofessional impolite way security personnel . responsible officer behave impolitely shout wife ( 10 - year - old ! ! ) child . metal detector go , behave even crude way . behaviour classic example misuse position . respond question misbehaviour , make apology . understand safety hotel ensure , do respect guest . want ot avoid disappointing experience stay away hotel not pay visit tower . complain website hotel , simply get reaction . 
 Sep 15 2009 	 Sad Priceline choose hotel 	 priceline thing name price . $ 90 night 3 star well choose Stratosphere . not think STrat 3 star little disappointed choose Strat we . husband Vegas one time know probably go trip Vegas . hotel old . light room flicker come . kind like horror movie . third floor Regency tower window wonderful view roof generator . shower flip flop not walk carpet . upholstry stain . housekeeping not do cleaning room check . forgot shampoo soap room call twice never come . bed comfortable . comfortable . frequent Vegas traveler would reccommend get nice hotel strip price use rental car drive destination strip . nice hotel ... Belagio , Wynn , etc free self parking . really wish would stay nice hotel strip drive stip . parking free . pool ok . super clean super dirty . free wi fi . would never stay . lot well option . 
 Sep 14 2009 	 first timer 	 stay statosphere , be not expect much pleasantly surprised . we upgrade suite whole 18 night whcih mean seperate room apart bedroom . cost we another £ 60 ! ! ! room spotless room service second none , matter wath time day leave room come back towel linen , bin empty . the hotel little way ( end strip ) never bother we . honest manic hotel nice come back bit sanity ! . go pools adult pool , 24th floor ok worth $ 10 we could not sit long . pool fine much lager pool eat area , do not see child either . the good part holiday trip , glad book , Grand Canyon fly , helicopeter , boat trip walk around top fabulous well worth money life time think . we also lake mead hoover dam trip , much cheap day also brilliant . we big show honest enjoy Frank Sinatra Barbara Streisand , & quot ; show never & quot ; Riverea , briliant sound like would think look too . we escort , couple sit table , ( must back rat pack day . ) artist shake everybodys hand leave little theatre . Unfortunaltey do not get dress ( judge previous big show go ) soory do not would appropriate occation . the last day go resturant top tower , brunch spend brunch 1/4 price evenign meal , another fabulous excellent service value money . 
 Sep 11 2009 	 clean ' old ' hotel ! 	 great room - clean ( two separate room far eachother floor ) ; quite surprised , hotel quite time find sweet deal similar website & lt ; hint & gt ; . : ) eat one casino restaurant -- way price . find somewhere else strip much well value . the View room marginal - make sure check ask room face strip - will get well view back - side industrial lot ! make sure ride top be ! ! ( typically give free ticket ride spire ! ) ride nominally price , also , worth $ 36 per person ride ! definitely good bragging rite get back home ! ! , enjoy , room clean , amenity ( workout gym level shop ! not charge extra use ! ) . pool nice , ! ! 
 Sep 9 2009 	 can not say enough 	 recently get back Vegas want share experience reader . place sure exceed every expectation every aspect . room basic , else want place plunk head hour back out - and - about ? ? , clean , neat tidy everything work . view room good well . hotel eatery par entertain food ... oh food ... sure know prepare fabulous meal ! ! back alley girl dealer unexpectedly good ... include knowledgable , helpful importantly easy eye ! ! ! wow , nothing negative say Strat first choice return ! ! 
 Sep 9 2009 	 nice enough want return 	 want say nice stay end strip easy get around . amenitys right congested people . would return stay stratosphere again . good food entertainment . machine pay o.k . much gambler anyways . 
 Sep 8 2009 	 average walking distance strip 	 stay 4 night - big fancy shmancy hotel , one average -normal room , nothing outstandig , counld cheaper pay . Hotel 's casino definitely well one Vegas recomment waisting time ... location good - far strip , however , get around use public bus , come every 20 minute ... buffet quite good , nothing really esle admire . would recommend search well / same price deal close strip ! 
 Sep 7 2009 	 another good visit - casino / public area need little TLC 	 fourth time stay Stratosphere last 5 year . like quieter big strip hotel provide easy access expressway , downtown etc not get congested part strip . the check time much quick previous visit ( good improvement wait 45 minute ) . book NWA world vacation room airfare ( work $ 25 per night + resort fee charge two night stay $ 7.50 per night ) . cheap accomodation . give sort upgrade end mini suite separate sit area regular size hotel room - divid wall - nice room , clean two tv 's fridge . clean comfortable come expect . Great valueThe pool area much nicer adequate pool area last visit . spend money new surrounding chair show . enjoyable simple pool area . as title suggest though - rest resort - casino public area slip bit show sign age . casino much less fun wtih many favourite game miss - much sparsely fill video poker / slot last visit - although like new ' video blackjack ' game 6 7 people sit around big screen play real rule blackjack . Washrooms , tower area , common area start age less clean ( especially washroom ) last visit . fortunately find cocktail service good ( one reason come ) - way well strip hotel almost good outlying hotel downtown hotel . good visit - recommend cheap , comfortable accomodation . tip : gamble stratosphere - use point / comp Arizona Charlies - own group comp go lot location - free breakfast day gambling night way see town - decatur boulder depend direction go . comp not go far ( ) Stratosphere quite frank find food restaurant good Strat anyways - usually eat elsewhere ACG coupon . 
 Sep 6 2009 	 Excellent accomodation everything fingertip 	 stay Romance Suite please luxurious room . bathroom alone be spa bath size small unit king size bed comfy . also sofa bed two tv 's . also bar fridge coffee machine . the whole room big enought size fit Husband , five yr old . I love fact stratosphere everything fingertip . son love Mcdonalds , buffet excellent Roxy 's dinner great service wonderful food . food outlet shopping floor also tasty affordable . while stay opportunity see american Stars show brilliant . also enjoy view deck tower . however brave enough try thrill ride . we also love fact bus take along strip outside convenient . the side stay laundry facilite . great free use , enough dryer one two work dry clothe properly . unfortunately one take 3 hrs clothe still damp even hot setting . thing feel hotel lack shade pool . enjoy pool umbrella shade chair far sit near pool soon become hot uncomfortable expecially try rest watch kid . overall stay wonderful would stay 
 Sep 5 2009 	 great value money 	 recommend single traveller group friend . hotel locate Streep , least 20 min casino hotel . hotel offer convenient shuttle service middle Streep ( Planet Hollywood hotel ) back . save time money take shuttle instead walk major hotel take & quot ; crawling & quot ; Duece service . pool great . hotel lot enterntainment , restaurant , cafe bar . bar ground level offer unlimited drink 4 p.m. 8 p.m. $ 20 . great deal ! hotel close Premium Outlet Mall ( 5 - 7 min cab ride ) monorail ( 5 min walk ) downtown . 
 Sep 3 2009 	 pretty good 3 star 	 group friend preselecte hotel therefore book hotel . I think , consider hotel 3star , pretty good value money . may glamouros hotel Vegas short taxi ride away ( 20mins foot ) .room decent size clean - trendy furniture ( throughout hotel ) bed comfy , bathroom always clean . when stay March open new pool look pretty good top Stratosphere Tower ( compare old , exist one ) staff friendly , casino downstairs glam good enough lose buck end good night out . when stay March open new pool look pretty good ( least could see top Tower ) since not need sleep much go Vegas - hotel good enough drop suitcase go back shower change clothe ! PS : dare ride Stratosphere tower ! : - ) 
 Sep 3 2009 	 reasonable hotel little distance Strip 	 recently stay Stratospher Tower Vegas . check easy one . arrival offer upgrade room strip view . expensive say yes . however get room find strip view block large signiature tower front hotel . offer check please confirm room get may possible view also block . strip view limit . the room double queen size room . good size furniture date . apart two bed , table two chair . tv old CRT tv house old cabinet . think 60 's get picture . the room also duplex room door join apartment next door . although lock , could hear everything go talk tv going , every morning around 5 . either early riser late bed ? regardless , would wise ask room dual entry room order avoid this . the staff friendly . restaurant hotel well decorate , clean . hotel little distance main hotel strip either take walk hour , bear mind 40 c , hot tiring . fail get day ticket Deuce travel length stip allow hop like . day ticket US $ 7 three day ticket US $ 15 . well worth it . the hotel amazing , think next time would recommend stay strip though aware lot major hotel major club within , may noisy . walk past one , think venetian club look onto stip could hear sure far noise would travel hotel . pleasant trip . lot show see . careful gambling easy money eat up . the strip day pleasant . night people wander around drink seem quite drunk get loud little roudy . daytime crowd much well . from Vegas day trip Grand Canyon Hoover Dam . long day 14 hour worth it . oh internet hotel expensive . US $ 5 fifteen minute . 
 Sep 2 2009 	 Stratosphere not refund reservation fee 	 book suite January 2009 trip August 2009 . July find well deal Excalibur Hotel . cancel Stratosphere reservation receive email confirmation cancellation number . trust reservation charge account going credit back . credit reflect credit card account 3 - 5 business day get busy totally forgot check back . September 2 , see charge Stratosphere hotel credit card $ 2.84 . first time call accounting department person speak tell charge something authorize front desk not see . tell cancel reservation never stay hotel . rude . said not see reservation cancel since first time happen , courtesy credit account . Courtesy ? ! ? ! tell could give cancellation number get email . decline . hung call back speak front desk manager see charge tell since reservation never cancel system charge one night plus taxis . mean reservation fee $ 103 never credit account $ 2.84 see charge taxis . accounting person tell will credit $ 2.84 courtesy ? ! ? ! sure see system charge one night ! call accounting time angry give back money . 2nd accounting representative also rude . hung angrily say account credit back . call back ask send email confirmation account credit back . make feel like try cheat infact try cheat . even apology . customer service ! would never even consider Stratosphere Hotel next time go Vegas . think usually go big group . 
 Sep 1 2009 	 nice touch mold cigarette ... 	 recent stay Stratosphere ok . could great though . work airline , able take mom first trip Vegas . look online , decide Stratosphere prospect great view . arrive hotel without hitch take one many pay shuttle LAS . cost $ 16.00 ( one way ) . arrive hotel , check , go room tower three tenth floor . upon exit elevator , bombard stench mold stale cigarette smoke . complain management anyone concern , mention survey ask about . if travel child Vegas , careful hotel . two swimming pool , one topless say ' " adult " . way get around ? ' budget , go Mass Transit . get 24 hour access pass bus $ 7.00 ! 
 Sep 1 2009 	 amazing ; will back sure ! ! ! 	 stay Stratosphere august 22 26 2009 . choose TOWER PREMIER room , situate 21st floor view Strip . pleased room : clean , well decorate , big bathroom ... pay little price stay hotel room expectation . the service major positive point hotel : everyone smile , caring , make sure satisfied . room clean perfectly different personnal touch leave room every day ( extra towel , extra lotion shampoo , extra pillow ... ) . concierge desk useful , competent employee help matter 're look . also order room service couple time food always excellent , service amazing quick , even call 15 minute delivery make sure order ok . menu available 24hours plenty choice , sandwich elaborate meal like Dijon salmon pecan crust 12 oz T - Bone . feel like cozy relax evening room , trust room service meal , will not regret it . the VALET parking good thing . every hotel Vegas offer free valet parking . Strat , serve nice competent employee , ready give we information city direction . well worth tip . the casino less crowd resort , smoky big enough please anyone . glamourous Bellagio 's casino , hey : least be walk foot bunch tourist come resort visit . many casino , drink free , long be play ... go Top World restaurant enjoy nice dinner splandid view Strip . bit pricy expect classy restaurant . try Duck Ravioli Foie Gras : be excellent ! also access Tower 's observation deck ride ( BigShot X Scream ) . wait ride thrill lifetime ; not miss that . some people say Strat far everything : be true . north end Strip , yes , not car walk lot get south end . kind enjoy couple block away noisy , crowded , traffic jammed mid - strip night time . rent car problem . even not car , couple monorail ( free , expensive ) , plenty taxi also bus ... be never option . in word , ever go back Vegas ( almost certain ) , sure will not hesitate book Stratosphere . visit Bellagio , Wynn , Mandalay Bay ... gorgeous , manage lobby surround hundred tourist flip - flop take picture every step ... would not pay much money luxury resort Las Vegas . crowd will not enjoy thing pay . Stick Stratosphere , pleased ! 
 Aug 31 2009 	 Wicked could not ask ! ! 	 spend 15 night Stratosphere month brilliant . second trip Vegas time want 1/2 way strip Fremont that s get . last visit stay Terribles good hotel also much away Fremont close Sams Town . room fantastic good size bed comfortable find hard get morning . staff friendly front desk housekeeping staff lovely , room clean daily request . pool brilliant well topless one top hotel . woman go free woo hoo , like bikini line . aware perve pay $ 10 watch ! ice machine every floor free . lift spacious quick one ' ve . make sure take use room key good advantage get top tower watch ride free , other pay fee also gym pretty neat . the downfall hotel base people , walk little get strip . mind , foot end trip blister . monorail good Vegas 's shame go be far , do full route duece foot would suffer bad . main concern Vegas transport , especially deuce ( bus ) take approx one hour get strip . if go Luckys even get takeaway , good want eat . love vegetable spring roll chip chilli sauce . addictiveif stay Vegas would stay hotel . staff room fely like home , not want leave . 
 Aug 30 2009 	 great restaurant horrible casino ... 	 stay husband make dinner reservations restaurant & quot ; Top World & quot ; sunset , go little early kill time casino . view restaurant amazing , food fine pricey like everything else Vegas -- pay view . casino dump , bad see Las Vegas , dealer incompetent rude , smoke much bad casino . surround neighborhood good . view worth place hang otherwise . 
 Aug 30 2009 	 great hotel money bite away action 	 hotel clean , staff courteous feel comfortable safe . breakfast buffet great , lunch much . walk 4 block really fun part strip , might want late night . room really comfortable . pool nice , nothing great . think obviously much nice place stay vegas , cost quality really great . get free trip tower room . think ride 3 ride day 45 dollar . 
 Aug 27 2009 	 great $ $ $ 	 , , stay @ stratosphere twice . bit away hotel , however , get 24hr . bus pass $ 7 , take length strip include Freemont St. ( old Vegas ) .if use room sleep shower , be great . would not stay @ hotel goint spending extend ammount time room . be clean , cheap , pool bar area fun , staff friendly efficient . I also see many child Strat , think great . Vegas gambling , drink , party . 's definately place kid . disney well choice family vacation . I also stay @ Treasure Island stay @ Mirage year , , would rule Strat future trip due saving factor alone . 
 Aug 27 2009 	 AMAZING HOTEL GREAT value 	 Stratosphere ffantastic hotel & amp ; great value due location main strip . we get taxi strip not expensive . room huge lovely big bathroom & amp ; great view strip panoramic window . nice big pool area space sunbathe . scary ride top tower , manage 2/3 , rollercoaster hang edge awesome ! ! do not think ! ! ! ! literally never sleep , people sit casino day & amp ; night ! fab helicopter trip strip & amp ; trip Gand Canyon well worth money , even though early start ! overall hotel great value money compare hotel Vegas & amp ; go every hotel anyway would stay . 
 Aug 26 2009 	 30th Birthday Celebration 	 room nothing like picture . not expect Ritz room old view garage . local channel , real cable channel . glad buy Timeshare strip . staying anytime come . 
 Aug 24 2009 	 stay ! 	 read many review website never las vegas decide book 8 night facillity . tell extremely disappointed hotel numberous different aspect . first look stratosphere website look like totally different place acutally . acutally far activitive go want locate central area strip hotel might well downtown . locate bad part town . cost min . $ 20.00 cab ride place like flamingo anything central . cabby laugh mention area say bad call naked city stripper use lay roof house run bad . hotel old well need update . room suppose & quot ; suite & quot ; wedding honeymoon stay far suite ! small , & quot ; jetted tub & quot ; pathetic , old nasty ! a / c probably bad part . design way face wall ! ! also control motion censor turn air either reach temp motion room . well , night time motion horrible . day night come back hot room frustrating . come room say nothing could . next morning sweat night try get room change . explain honeymoon expect & quot ; suite & quot ; . seem ver understanding say would take care problem , would move we cost we . show we room GREAT ! really true suite . wife love start pack bag . go back finalize everything tell would problem would another 150.00 weekday 300.00 night weekend . become frustrated ask speak manager . manager smile continued state thing last rep . wife get mad decided check hotel right then . they seem even care stay . move wedding party flamingo enjoyable time . good thing stratosphere roller coaster although somewhat pricey , not vegas . also , 50 's diner hotel sing every minute 's pretty neat . anyway , would highly recommend ponye extra cash stay centralized location . enjoy ! 
 Aug 24 2009 	 bad little bit far strip 	 spend 3 night august . price really competitive , be pick . pay attention locate far north strip will take cab bus get well know hotel casino ( way , bus always get stuck traffic may take 30 min get centre strip ) . room nice , clean spacious . also like swimming pool 's also free gym hotel guest . finally , use internet station : time work charge anyway ( happen twice we go reception get money back ) . free parking . 
 Aug 23 2009 	 fantastic suite great value money - Las Vegas family 	 stay 2 night Romance Spa suite ( huge room bathroom jacuzzi ) connect 2 queen bedroom kid , 16th floor , less price Holiday Inn LA . great value money , staff efficient particularly friendly . 11 year old love ' extreme ' ride top tower , see amazing magic show Sahara next door , complete disappear tiger . but ! ! have wonder whether include Las Vegas fly - drive California / Arizona ( yes know 's Nevada , get picture ) . have hear Las Vegas gambling , drink shopping . ' family friendly ' - well not believe ! start hotel : can not avoid cross ( enormous ) casino floor get restaurant , tower , shop etc . be smoky seedy ( grim - face loner play machine luggage next .... ) kid much stop second look roulette table cross floor breakfast , pounce security guard tell keep move . ' family ' pool area practically shade , temp 95 , , go within 10 yard bar order food , bark barman . major Strip hotel ( Forum , Circus Circus , Bellagio etc ) amazing see . overall , find extravagance depressing , atmosphere totally un - family friendly . could not wait leave get Grand Canyon . 's real wonder world , make God property developer . conclusion : kind thing like , will love . not take family . 
 Aug 19 2009 	 fantastic room .... fantastic view .... get premier suite though 	 room fantastic . staff friendly , give book voucher . side casino shabby comparison hotel . however premier suite well stay Vegas . stay Luxor , MGM , friend stay Venetian also think room great , wirlpool bath , 2 television seat area ect . hotel end strip though ... monorail within easy reach . stay hotel get go tower time free ... ride top must ... even watch ! ! ! ! ! ! go night well see Vegas light . 
 Aug 19 2009 	 1st time Vegas - love ! ' m go back 	 family vacation kid Vegas . stay Stratosphere . huge room 2 double queen bed comfortable . stay high floor ( 21 ) - noise . possibility view Spring Range Mountains Vegas strip . price unbelievably cheap , 38 $ US / night great family hotel - staff efficient pleasant ! 's lot interesting thing kid hotel - bored . return hotel , since wonderful time Vegas - great city ! 
 Aug 19 2009 	 Excellent hotel 	 Excellent hotel , stay Stratosphere 8 day love much go back 2 year later 8 day .... hotel grand , staff friendly helpful , room excellent nice big ' m normally use . would defintley recommend hotel , recommend hotel friend mine stay back June 2009 , love much decide go back get married 2012 ..... 
 Aug 19 2009 	 Awesome hotel bit isolate 	 arrive Vegas 1st time friday night . staff upon arrival unreal friendly helpful check room 20 minute max . Place buzz . stay 5 night go NYNYThis hotel fault . staff food restraunt wonderful esp 50 's Diner staff singe away . room great strip view . the problem 1st vegas trip find without car rely Deuce hotel way . make conveniant downtown plus time spend sightseeing strip conveiniant , apart location good hotelWe great time would consider stay service vibe place alone . 
 Aug 18 2009 	 far strip attraction . 	 hotel clean nice . check uneventful . room clean comfortable . casino within hotel leave lot desire however amenity shop good . location quite way main action strip prepare use public transportation taxi . 
 Aug 16 2009 	 great value 	 inexpensive thank early reservation , give least attractive room book early . get handicapped room roll shower , ' pleasant .. room good , rather small . they free guest laundry room , nice ! 
 Aug 15 2009 	 great value money .... clean hotel comfortable bed 	 prefer stay bit strip . hotel great pay . room large , clean comfortable bed . guess remodelle room 2005 2006 . staff quite accomodating . book deluxe room get two queen bed . difference deluxe ( 8th floor ) premier room premier room high floor view mountain strip . unlimited access Tower need view room ? drawback may walk five minute monorail ( Sahara Hotel ) . highly recommend take monorail stay Stratosphere . purchase three day pass $ 30.00 neighbourhood great break beer bottle street homeless people may may harass you . although feel bit uneasy take monorail back think walk back , single problem solo traveller stay . also , good thing wait long elevator ( unlike previous hotel stay right strip ) . would definitely stay Stratosphere 
 Aug 15 2009 	 great hotel price ! 	 read review Stratosphere , bit apprehensive staying - especially get midweek deal $ 15 per room per night . need not worry - room roomy clean , even though less plush & quot ; Tower II & quot ; part hotel . be go around hotel ( especially kid ) 's worth consider unlimited day buffet . sign casino card , pay $ 20 buffet another family member eat price . really work we ! hotel far end strip , might want catch bus centre . however , parking strip seem free drove park save bus fare . Stratophere Hotel good bargain holiday ! 
 Aug 15 2009 	 can not beat money 	 July 27th , 2009 stay stratosphere make reservation online . check little bumpy book hotels.com direct . clerk confirm reservation irritate difficult . want we pay non - smoking room together confirm start trip . first night keep hear noise keep wake family room . next day management comp we free show whole family get we room together . room roomy clean really nice bedding . Slept like King every night . show great kid get picture singer . Mc Donalds property big help think would return hotel late go various show night . not forget pool 8th floor -- -but go early late sun brutal afternoon sun . book room Sunday Thursday save money . 
 Aug 14 2009 	 excellent quality low price . tower view outstanding attraction ! 	 could stay 2 day leave happy ! skip go top tower ! Views Xtreme attraction amazing ! back ! 
 Aug 13 2009 	 Total Value 	 surprised hotel nice . quality comparable Best western , Holiday inn , La Quinta etc . staff nice ( except one problem ) problem room give free upgrade question ask . although way , catch Deuce tourist bus right outside front door walk 1.5 block Shara jump monorail , take 10 minute get busy part strip . -- -we room jacuzzi overlook living room suite could watch tv tub . good value - get 36 / night . 
 Aug 12 2009 	 Excellent Hotel ... 3 * price tag 5 * service ... 	 read bad review hotel , say must stayed different Stratosphere one ! ! want 5 * Hotel middle strip ... ' book ! save substantial amount money fortnight compare price central strip hotel . first time Vegas nothing compare , could not fault hotel ... ... 3 star hotel , try anything . check check , every staff member speak friendly , attentive nothing much . ' m sure tipping make difference know work hospitality industry ! room clean , housekeeping always present around hotel throughout day leave DND sign door morning , would leave voicemail call ready room service . pool area great , complimentary towel always plenty sunlounger matter time go . fair enough not designate swim lane ... holiday practise Olympics ! ! staff great around pool food really good . great choice restaurant , eat Fellini 's , food service perfect . also food Top Tower restaurant , lunch instead dinner half price , food nice still expensive . be worth go though experience revolving restaurant 800 foot high . not chance eat Roxy 's queue always long .. speak ! popular . observation deck free unlimited hotel resident , definately good view Vegas . ride free ; $ 15 ride . check give $ 5 free slot play nice touch $ 23 we . watch ' american superstar ' hotel half price hotel resident . show lot fun great value money $ 19.99 . hotel fair walk strip definately worth least take everything . not use Monorail , deuce bus service stop right outside casino side entrance . $ 7 24hr access pass definately worth money use almost every day . never wait long 15 minute bus driver entertain ! Fremont experience close hotel get Deuce aswell . advice avoid deuce rush get somewhere . decide get cab airport not make stop change , cost we $ 40 day arrive roadwork $ 20 journey back airport . negative comment make approach time spare change walk general store . long ' polite stern , thank acknowledge leave alone . however , reflection hotel area . hope review help plan stay Stratosphere , still go see expensive hotel , know put head long day ... still Vegas pay lot less everyone else experience ! put money save perspective , able watch David Copperfield , Jay Z , american Superstars , KA Cirque Du Soleil go Grand Canyon ! ! ! ... bad sacrifice stay ' supposedly budget ' hotel ; ) 
 Aug 12 2009 	 well worth price ! ! 	 stay stratosphere end july / start august . read review little sceptical review concern check distance strip worry bit . head soon , nothing worry ! ! check around 5 pm easy take around 10mins queue , serve room complaint . room modest ( oversized luxury studio ) , be not expect anything major room pleasant surprise ( comfy bed , fridge clean - vegas , much time go spend room ? ! ) distance main strip little way , , little exaggerated . girlfriend walk fashion show mall virtually every morning take around 25mins night drink eat quite nice ! day do not fancy walk , sahara is5mins strat monorail easy use fairly cheap ( $ 5 per ride $ 13 per day ) restaurant hotel good , eat fellini 's twice reasonable service great , roxys look good fun - we do not eat look good atmosphere everyone always look happy ! bar hotel casino also friendly / fairly cheap compare strip take advantage 4hr happy hour can not fail fun ! ride top tower must , high well worth ( $ 30 dollar tower pass ride pass ) . 8th floor pool lively fun , cold problem place .as 8th floor get hot daytime tend get around 5 couple hour - go vegas lie around pool day - that spain ! ! fantastic time - ok , plush bellagio perfectly locate , ridiculously cheap price , want hotel vegas ? 
 Aug 11 2009 	 Top World - Top Strip 	 Stratosphere locate old end town close downtown , old end Vegas . it fair hike high end town well suit purpose . really enjoy Top World restaurant wife 's birthday . good ride close due wind .......... gentle breeze . pool gymnasium good . room comfortable bit pricey end Vegas . 
 Aug 10 2009 	 beware come kid ! ! ! ! 	 go Stratosphere July family & quot ; Breakfast Package & quot ; . book two room include two breakfast buffet per room . go first morning tell people 21 qualified include breakfast . bit embarrase end pay kid . go booking process see miss small print , mention anything . seem can not gamble , can not food ! ! room swimming pool level . room fine , awful view multi - storey car park . give room due , triple glaze mean noise car . overall though , come away feel wool pull eye rip . good feeling . 
 Aug 10 2009 	 absolutely never even set foot hotel 	 customer service terrible . rude dismissive . people take room , specifically tell change key b / c allow . come back hotel security still allow room . defense & quot ; note computer specifically state let in . & quot ; take name , change key , really need say job allow 2 random people hotel ? 
