good 	 second time Sams Town know expect generally . booked room online good rate since mid - week , season people , ask inside room . willing give one ponie another $ 20 night decline - room decor inside outside different , view inside boring . Valet service friendly , room adequate , check check fast place one low resort fee . hotel shuttle Strip warn could take hour get . budget hotel / casino clean okay night rv'rs - quite distance Strip 's Walmart around area need pick anything . eat mexican restaurant hotel mediocre good .. 
 Bad Bed pillow 	 be go stay not get room waterfall sound show noisy unless plan bring ear plug . another thing , need replace bed pillow horrible . bring pillow 
 Jul 26 2008 	 cheap alternative ! 	 Sam 's Town offer good world - quiet room away strip shuttle take heart action ! receive mailer offer group $ 30 / night stay along funbook . price , one might expect hotel look like Motel 6 Super 8 . however , think Sam 's Town far exceed expectation consider price . they bowl alley open 24 hour ( be cheap play non - peak hour ) , movie theater play recent release , typical buffet , cafe , fast food restaurant inside hotel . favorite restaurant Willie Jose 's Cantina . Yum - o mexican food reasonable price ! shuttle service dependable efficient . long try plan day around pick - up time convenient service . if young couple young group people , Sam 's Town may . not kind place be look hot table action club . aside , would highly encourage visit Sam 's Town ... $ 30 night , can not go wrong ! ! 
 Jul 25 2008 	 great place stay strip ! 	 nice stay Sam 's Town . first trip Vegas little unsure expect find easy city get around problem find Sam 's Town . stay 2 night , go Utah come back spending last night . enjoy able get away hustle bustle strip plenty Sam 's Town . light water show nice watch evening . store also nice shop , crowd convenient . love Fireside Cafe offer breakfast buffet $ 6.00 believe dinner time one $ 10 . lot fantastic food reasonable price . read couple review concern smell cigarette smoke , not notice . midweek big crowd non smoker expect smell bit could not detect . course ask non smoking room stay 3rd floor first stay 4th floor second time . valet parking make thing easy convenient we . pull front door unload do . ready check go downtown , hardly wait time pleasant attendant . plan stay return Vegas , get room reasonable price satisfied . 
 Jul 22 2008 	 would return ! ! ! 	 hear great stuff Sam 's Town stay nothing go right . decide stay day strip move Sam 's town change pace . book Expedia request smoking room yes know guarantee - but Vegas - do not think would problem -anyway smoking room available check 4 pm early could check 3 pm front desk staff ( Vic ) nice say call front desk morning request move smoking room . think problem easy go people . go smoke quite ordeal since seventh floor go way casino whenever want smoke - no balcony smoking hall allow . call morning tell might move we around 2 pm smoking room stayed wait around then - if not time could not hold room us - we absolutely wait day hotel maybe get smoking room ! ! talk manager finally tell move luggage room could keep front desk room could hold we could not occupy two room even coulple hour - we stay midweek ' m sure vacant room manger willing help we . finally decide could not fight get anywhere transfer stuff another room rest group stay get hold smoking room we plan day . they helpful accomadating ! ! ! one thing go wrong everything seem go hill . pool small open late thought great go night see cockroach crack ! ! ! understand everywhere - even dead one pool ! ! ! parking far room fun long night walk . People friendly good time - unlike stay strip . buffet well price fairly decent . Mystic Falls currently open - under construction - which disappoint 's long drive strip . not like staff atmosphere Sam 's Town - would never stay 
 Jul 12 2008 	 average Vegas ! 	 's Vegas ... unless get one new hotel , will basically get room anywhere . Sam 's town way strip ... want ... free shuttle strip . construct new casino next door , not issue hear noise . room clean , staff nice parking close . not want stay strip , Sam 's good place well worth money ! 
 Jul 7 2008 	 solidly sub - par 	 stay Sam 's Town 4th July week . part wedding party , since 'd good stay Boyd 's property Vegas , not expect problem . room nicer average room price ( $ 35 cheap day $ 115 peak nonsmoking , king bed ) , number & quot ; little thing & quot ; overlook / ignore really sour stay . first , enter room , room clean number scuff mark various point wall . easy clean , disappointed see . next , stack linen bathroom . two four display ( bath mat hand towel ) large , brown - red stain -- ' m sure would well bad hide . luckily , take away next day . bathtub oval - shape wretchedly uncomfortable . look right soaking , able see -- week -- toilet clean not particularly thorough . also complimentary conditioner shower cap , though see housekeeping cart make round . room fine , wall thin . half stay neighbor fight nightly significant via cell phone , rise dawn accompany boom box . also note television station variety Motel 6 stay return journey . Sam 's Town 15 channel , include 2 CNN feed , Fox News , 3 internal channel , TNT , TBS , USA , local network affiliate . one argue 's need good cable stay casino , slot ridiculously tight , run admittedly meager gambling budget day 2 . see movie theatre second night . projector not focus . buffet affordable , starch - heavy bland . due commitment not try restaurant hotel . checking , look head notice AC filter disgusting . probably explain allergy act stay . far wedding , important part friend end married , atrium balcony good site casino ceremony . casino - provide flower brown edge , one notice . 
 Jun 20 2008 	 love great place load buffet brilliant friendly staff 	 always want stay Sam 's , phone night get great rate , love .. actually forget capri pant leave ... silly , move Freemont Street , take free shuttle back neatly package , wait , great service , thank , super place , great room , good food happy slot .. 
 may 26 2008 	 lot one Location 	 great rate entertainment , meal , place sleep one place . 19 - year - old daughter meet parent family reunion . leave hotel / casino explore Hoover Dam Red Rock Park . blast bowling alley , cost $ 2 per person / game $ 2 shoe rental . huge hotel courtyard plus refreshing -- -you not feel like usual casino hotel reek cigarette smoke . room nice , hallway lack cleaning -- -dust bunny along edge hall , quite noticeable . luckily , not spend much time hall . room face outward towards west fifth floor -- -did not even mind not overlook courtyard . plenty food choice within building -- -we eat dinner room Subway , eat breakfast McDonald 's Dunkin Donuts . , good stay ! 
 may 22 2008 	 Great Alternative 	 stay Flamingo new & quot ; go Room & quot ; May 13th 17th . 17th , move Sams Town . two compe room third night $ 85.00 . check , contact casino host get night compe also . find Sam 's great alternative craziness Strip . employee extremely courteous helpful . lose shirt Strip , could nothing win Sam 's . slot loose ! room 6th floor , could choose look lobby , amazing laser show evening , could opt outside view . bedroom comfortable bathroom clean . array eat place ... MacDonalds , Dunkin Donuts , Delis , Panda Express , Sbarros , course , buffet restaurant . $ 4.99 steak egg breakfast Fresh Harvest Cafe every morning ( choice also $ 4.99 ) , fantastic . also , movie theater , bowling alley , arcade premise . would good travel kid . buffet Excellent ! ! ! would go back .... casino two floor huge ! 
 May 6 2008 	 good time ! 	 book Sam 's Town April 27th May 2nd . check go without hitch . upgrade interior room without even ask . room great view waterfall show take place day . eat buffet times , breakfast well . also eat cafe really try steak egg ham egg , can not beat price . gambling expect , let us say Las Vegas light burn little bright result we . casino not take money quickly , let we lot entertainment prior take . daughter get hooked bingo , say great fun watching & quot ; oldster & quot ; try win . , great trip . return next year . else get reasonable room , good entertainment , good food friendly atmosphere . strip crowd fast paced , place lay back relax . 
 Apr 18 2008 	 like hardwood floor 	 Ritz ? .... price right ! ! ! love Vegas Sam 's Town clean casino . I like small casino huge mega one . also like stay Blouder Hwy . 
 Apr 8 2008 	 ok 	 stay 2 night spring break prior go Grand Canyon . hotel good little drive strip ( 15 - 20 minute depend traffic ) . lobby casino area ( walk get ) extremely smoke fill . , say room good size clean . upgrade atrium view $ 10 per night . room much due short stay . spend time strip explore Vegas . say , would probally stay small chance ever come Vegas . would choose hotel strip . happy travel ! ! 
 Apr 2 2008 	 comfortable relaxed 	 stay 5 night end March . check 4:30 pm fast , friendly uncrowded . inside bright atrium gambling area . room much quieter other ' ve hotel Vegas . clean throughout . washing carpet floor we . the pillow slightly well Orleans bring case . bed . hard everyone else like . long counter window perfect microwave always bring along . soft easy chair chair table also pad nice soft . usual hard wooden motel chair . make sure count towel pillow leave sign say charge anything missing . like $ 40 bath towel ! going use quick checkout box exit sign say fill unspecified & quot ; form & quot ; . go front desk instead checked ask & quot ; form & quot ; get reply . problem since busy far way . surprised charge dollar day extra ( & quot ; local phone call charge & quot ; ) oppose usual $ 5 $ 6 per day other charge . not use phone anything else would tack .. go buffet , get early expect wait get . lunch always crowd right end . food ok service food quality would drop toward end lunch hour worker interested prepare dinner menu . this probably true buffet . wait get always much long Orleans . I buy many hard - to - find shirt huge Shepler 's Western Wear store delight meet Mr Shepler , friendly soft - spoken old gentleman . like western wear place go ! overall , like Sam 's Town return . 
 Apr 2 2008 	 everything great - except ... 	 stay 5 night 2 adjoining room . stay 80 yr old mom 3 child . spent day strip sister hotel ( Circus Circus ) . kid use pool bowling alley daily . room nice , especially mini suite give without upcharde . room good size look atrium . service prompt . restaurant ok . 4th stay property , sadly last . my problem start morning check packing . 7 suitcase wehad travel end Vegas . one suitcase miss ! medium size case - already 1/2 pack clothe ! discover daughter cell phone , mom ' i d pouch i d brand new jean go ! security take everything tell claim stuff ! grumble front desk wave hotel fee & quot ; & quot ; investigation complete . ' m least $ 400 worth good . stay hotel lock bag even room ! good thing put valuable room safe . 
 Mar 30 2008 	 love 	 mom stay March 23rd 24th . stay mom receive two free night buffet . check , give room view atrium , charge . room nice clean . one thing notice carpet need vacuum around edge . bed little hard . the buffet fairly good , breakfast dinner . movie theater bowling there . the casino ok . travel Boulder Highway visit Sunset Fiesta Casinos like much well . the thing Sam 's Town , away Strip . want journey beyond Sam 's Town , would rent car . shuttle bus , sure go to . I would stay , free room . nice place far away everything else . 
 Mar 29 2008 	 Incredible Value 	 choose place car not necessarily need stay strip . think clean , large room staff nice . steakhouse delicious large portion . would stay car 2 mile strip . 
 Mar 2 2008 	 great place strip 	 nice , cheap , stip , quiet hotel . garden section & amp ; waterfall indoor place sit evening . room large , hair dryer clothe iron . room nice view overlook Vegas , other could booked look inward garden approx $ 10 night . guest stay hotel get half American Super Star show hotel . would recommend see . also get free ticket tower view Vegas take picture . really brave , ride top tower hang edgeThe hotel place eat McDonalds fancy , plus lot nightclub music dance . Walmart across street get digital image develop 19 cent nice job . good thing hotel leave car park use free shuttle different area . pick schedule keep return time . free shuttle Fremont street light show evening . shuttle leave side hotel close garage # 2 
 Feb 28 2008 	 Great Value 	 second stay Sam 's Town . overall , love place . restaurant good , atmosphere relax , people quite friendly . casino bit smoky room perfectly adequate , though luxurious . crowd tend old ... 20 - something might prefer something bit rowdier . I hesitate stay future . 
 Feb 13 2008 	 Great Hotel Casino good past . 	 visit Las Vegas February 3 - 7 stay Sam 's Town . past six year , stay hotel visit Las Vegas . love hotel . atrium nice relax atmosphere . good selection restaurant . room clean reasonably price . also , nice movie theater bowling alley . offer shuttle service strip downtown Las Vegas . past always give Sam 's Town 5 star . would still give hotel rating , casino use . recently renovate Sports Betting Room . beautiful . unfortunately , , raise limit table game . also , slot tight . guess help pay renovation . want nice hotel reasonably price , good place stay . want gamble , may want take shuttle strip . note : book room Sam 's Town Reservation Department . give credit card , not charge card deposit room . arrive day hotel almost sell . arrive , tell cancel room pay deposit . luckily one room leave . call confirm room day ahead time . 
 Jan 2 2008 	 not ever sick stay Sam 's Town 	 friend decide book room Sam 's Town rather Strip last visit , rent car Sam 's Town bus would take we Strip want go . unfortunately , stay , become ill sort virus ( take 2 week recover whatever ) . could not quantify emergency department visit ( would require call ambulance ) friend call front desk around 3:00am find urgicare center nearby hotel name physician could refer sick guest . desk clerk help whatsoever . first time ' ve ever sick town frustrating absolutely assistance / referral offer suggest . therefore , town traveler beware -- be MUCH well stay Strip . traveler - friendly hotel would able assist we , minimum , information number call . guarantee will never stay . service important absolutely useless . 
 Dec 26 2007 	 festive 	 Excellent stay 1st time around holiday . entire indoor park / atrium do light , decoration holiday theme show instead usual laser / water show . add usual great service , price amenity overall value experience would hard beat . 
 Nov 30 2007 	 time next year sam 's town 	 second time Sam 's Town , impress ever . check ask atrium view , problem , $ 10 extra per night worth still surprise extra . room excellent , like Orleans , suite agret kingsize bed couple comfy armchair roomy bathroom .The casino big airy two level , atrium area brilliant bar casino nice restaurant . we ate eat Mexican , willy jose , lovelly especially large margarita , eat Fellini 's real treat , never know pasta could tasty wash lovelly pouilly fuisse wine list . we take friend first time Sam 's Town love it . we bowl , gamble , drank eat ( bit pattern Las Vegas ) , pleasure Sam 's town.ps not forget look around Sheplers Western wear second floor , wife never leave without pair cowboy boot , price mind . 
 Nov 27 2007 	 quiet room nice place price 	 stay Oct. 2007 . hotel one quiet room ' ve ever stay . not hear noise room include toilet flush , telephone ring , people talk , seldom door slam . price $ 105 night weekend $ 55 nice weekday . half price hotel strip . quiet area town easy drive strip . parking ramp , little confusing trying find front desk . sign not real clear . room clean comfortable . thing companion want room coffee maker . nice choice many place eat hotel short walk various store . movie theater bowling alley property convenient . pool nice ended shade pretty early afternoon . would definitely stay . want avoid congestion high price hotel room strip , place go . 
 Nov 5 2007 	 Great Place stay Less ! ! 	 great hotel stay less Las Vegas . first time hotel great experience . end stay 4 night hotel service great . parking close , hotel check - in breeze . numerous restaurant food court hurry . although hotel super fancy room like expensive hotel . room clean , mattress comfortable . heating cool system work quiet . bathroom spacious clean . housekeeping excellent . overall , stay great room price well hotel strip . even offer free shuttle take property strip . 
 Oct 23 2007 	 need renovation 	 stay Sam 's Town October 5 -12th . room okay place clean . need major update . the room dark , need color . little food court nice good food Panda Expree ( like chinese food ) . also little snack shop back casino great soup ( ) sandwich . the major drawback price room , old hotel want much room . since come play lot rate $ 35.00 week bad . $ 85.00 weekend worth it . I still would stay since close food place , casino store . right street night Super WalMart . 
 Oct 19 2007 	 new home vegas .... 	 hit jackpot sams town ..... reason ... staff friendly helpful make feel welcome . room almost new roomy whata price 105 weekend . good slot poker machine couple time . great buffett seafood buffett 18 buck one good meal whole trip . ( even sushi wasa plus ) mother one night do not want go we go movie nice newe theater lounge band cheap drink cool hang atrium bar favorite cheap good strong drink , friendly bartendere , look water show , 65 bar poker machine coffee house good starbuck price one complaint u wan na geta tan do not look , way build build put pool shadde day long nice pool hot tub swing ton room pool bar also cheap like lie suck . frequent traveler sams town give 9out 10 ... -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- See 's new AOL.com Make AOL Homepage . 
 Oct 16 2007 	 lot fun whole family . 	 book two room family . group include 4 adult , tween toddler . able get two adjoining room . the good part hotel something everyone . center hotel large atrium tree , bench , shop / food court . evening laser light show kid LOVED ! nice outdoor pool arcade kid -- well bowl alley movie theater . addition , great buffet restaurant quite reasonable . could stay hotel entire time fun . the hotel easy 8 10 minute drive strip . the room nicely appoint reasonably comfortable . coffeemaker ( ugh ) , microwave fridge . ( ) request fridge , however , charge . air conditioning cold -- issue times I . overall , great place stay -- especially family friendly Vegas . weekday reasonably price , . would not hesitate recommend place anyone . 
 Oct 5 2007 	 Bad Hotel Policies Rates Confusing 	 although room great , hotel charge rate accord availability explain well management insist . also card number take hold room process first night explain . employee parking take priiority patron walk bag long Stretch 
 Oct 4 2007 	 o.k . place 	 stay hotel enjoy . price right $ 49 per night . nice strip . room standard issue . nice clean basic . be go complain rate like . upgrade atrium view + $ 10 atrium nice . do not upgrade view parkade . Breakfast morning buffet good . super cheap Sams club member . overall low key resort nice change strip . find strip little bit top day . way many people . little room . mention traffic . thing not like hotel super small pool . pool freak like fine . 
 Sep 29 2007 	 Good Time 	 like place . room nice , plenty room , even though ask king size bed get double . get early , could not get room right away , since hungry , get something eat wait . I wish would coffee maker room , McDonald 's take care . eat Harvest Cafe couple time , Belly Bomber , whatever call . good , long plane trip . breakfast buffet one day , fine . the shuttle prompt , take advantage . good way get strip downtown . we would recommend place . 
 Sep 11 2007 	 2 night @ Sam 's Town 	 hotel 15 minute East Flamingo Rd Strip - peak commute traffic time . easy walk distance form parking garage room elevator 2nd floor avoid casino floor . room next elevator short walking distance . check desk atrium garden . room 4th floor far elevator . window view roof casino bldg . room view atrium $ 10 . summer month avoid room face South will keep AC time . room clean well keep , King bed comfortable ( fall asleep sit bedspread ) , two comfy plush sit chair small table , desk another comfy chair , standard size armoire w / tv - enough drawer two night stand . ironing board & amp ; iron . standard bathroom w/ basic amenity , hairdryer , lot towel . great email deal $ 26.99 / night - always sigh slot card & amp ; online email list every casino hotel goto . eat mostly food court restaurant snack always get arrive store along way , especially pack water time year . slot play last long time , good mixture reel & amp ; video slot - new & amp ; old . over nice stay Sam 's Town . placeI will stay next trip . 
 Sep 9 2007 	 great Alternative stay Strip 	 May 2007 decide fly Las Vegas , rent car road trip Grand Canyon park . couple extra day end trip return Las Vegas Saturday . not book hotel ahead time not sure day would return . prospect find hotel Saturday starting seem impossible ( extremely expensive ) decide try Sam 's Town . get room , get $ 89 rate Saturday night - much less could find strip . room decent clean - quite fancy strip hotel ' ve stay , equal well place would stay road trip . room view atrium , not excessive noise . casino area large split two floor . crowd mainly old - not trendy place , enjoy casual atmosphere . slot seem ok spent bit time race book . notice casino bit smoky , bad . breakfast buffet average nighttime show probably well kid . since rental car Sam 's Town great start point - drive strip not far able park one casino day . 's also strip shuttle need . since return ' ve see cheap rate Sam 's town - place would great look casual strip place stay look cheap room rate . 
 Aug 26 2007 	 comfortable low - key resort 	 really enjoy stay Sam 's . never even visit property , find great summer deal room $ 26.99 / night . could not beat want stay off - Strip try something new . I room 450 view atrium . right outside elevator lobby noisy . handicapped seat handrail bathroom shower . believe smoking room several ashtray sit smell like smoke smoke . housekeeping efficient leave extra soap / shampoo product request tip . Mystic Falls atrium lovely place hang afternoon coffee cocktail . Waterfall pretty animatronic animal fun . however , care several - time - a - night water / laser show . watch ok , get old 3 night music again . casino fine good selection machine table game . luck slot 2nd floor . half bingo hall construction make difficult get seat worker helpful . cocktail service prompt courteous . dine buffet , cafe , Willy & amp ; Jose 's restaurant . leave review TA page well . shuttle service Downtown Strip great free . please tip driver . leave time , every time . overall pleased comfortable Sam 's . would stay since price wonderful . nice , relaxed atmosphere away hustle bustle Strip . like whole different vacation . 
 Aug 24 2007 	 excellent ! one exception ! ! ! 	 Overall Sam 's Town Excellent Casino Hotel . one exceptiion buffet BAD . food buffet dry greasy look like heat lamp hour . poor quality food . otherwise Sam 's Town GREAT ! ! ! ! 
 Aug 12 2007 	 good hotel underperform staff 	 good hotel , underperform staff . check - in Sam 's Town family mundane energize one would think visit Las Vegas . front desk staff appear distract somewhat unattentive not much interested question activity , restaurant , casino comp , etc . check - in , another staff member condescendent tell we remove teenager casino gambler 's club registration . kid simply line parent registration , gambling , yet rudely tell could not stay . , first ten minute arrive hotel , not get good impression place . opinion , hotel 's management need take serious look employee ' customer service relation sensitivity pay customer . little courtesy -- -- even smile face -- - go long way . however , overall , hotel clean , update , bed comfortable , get superb rate . multi - plex theatre ( teenager love movie ) . another perk hotel shuttle routinely take several strip hotel walk strip . bottom line : stay want inexpensive , clean room . do not stay be expect treat nicely . 
 Aug 4 2007 	 great stay 	 stay Sam 's Town july 31 - august 3 dissappointe . great . usually look room vacation something clean comfortable since 's slept wash go back . room Sam 's Town perfect . nothing flashy clean everything recently update . arrive late first night stay smoking room ( not bad though ) able switch next day without problem . eat buffet twice , breakfast lunch . basically get pay . ' m picky eater , food not great . 's tough beat price though $ 5 ( breakfast ) $ 7 ( lunch ) able easily find enough like . much competition , choice , coupon place next time probably will not eat Sam 's buffet . also try mexican restaurant good . shuttle service always prompt friendly . complaint wish continue later night / morning . last trip back hotel 10:30pm cab back hotel ( ~ $ 20 per trip ) . big deal though . overall good experience . much cheap we stay strip , little far everything Sam 's Town offer enough would problem stay . 
 Jul 30 2007 	 oasis crazy Vegas 	 get Vegas Tuesday , July 24 room book Sam 's three night . bit drive strip , enjoy Sam 's much hardly even go strip ! second - floor room overlook park , really enjoy sit easy chair read enjoy sunlight filter forest - like atrium . also sit park enjoy cup coffee glass wine . & quot ; show & quot ; would well would keep nature theme create artificial thunder lightning something instead multicolore laser light , not seem fit forest creature . we get amazing rate ( 26.99 / night ) check promotion code online . would ' ve worth three four time amount . every employee encounter really nice friendly . room lovely clean , housekeep really top thing room hall everyplace else . downstair room McDonald 's , Panda Express , one two fast food place , though unfortunately open late night get back see show . tv channel available . Buffet nice , drive Terrible 's buffet several time , 2 - for-1 coupon print online ... Sam 's might want think offer coupon keep people in - house , since people stay Sam 's Terrible 's tend budget - conscious Terrible 's advantage close strip . shop show would nice , well , would reason go anywhere else ! thank , Sam 's , relax time Vegas ... rare ? really enjoy . 
 Jul 23 2007 	 favorite place stay Vegas 	 stay several hotel along strip last 3 time Las Vegas stay Sams Town . within last couple year room update really nice . room clean nice big . bathroom also nice . love atrium laser / water show pretty cool . always receive exceptional service . price also seem reasonable . last time stay actually drive Cal stay Vegas night break drive . case , Sams Town end convenient not really close freeway . future driving think pick somewhere little convenient freeway . Vegas final destination definately stay Sam Town . 
 Jul 8 2007 	 Perfect every way 	 moment pull valet parking moment first walk atrium impressed friendliness staff look hotel ! park beautiful peacful laser show nice entertaining . room great view park show . room clean nice touch two nice comfortable chair sit . complaint would small TV , first night South Point 42 ' plasma . the restaurant excellent try huge hispanic population Central California & quot ; Jose & amp ; Willys & quot ; far good Mexican Restaurant ever eat ! ! ! ! try Garlic / Orange juice chicken dish OH GOSH ! ! ! buffet excellent deal coffee shop . bowled see movie nice movie Theatre Sam's . bowl great deal cheap anything town least 50 % ... think Ice Cream shop tad overprice could use extra staff ( one person ) evening . also hotel food court great fast early morning way baseball event nephew . we use pool hot tub great , pool crowded lot 's fun . we Sam 's 5 night GREAT DEAL ! impressed come back California tell everyone well keep secret Las Vegas ! ! well mention hotel 6 mile strip car pretty much need ( use shuttle ) traffic time day night never bad take maybe 15 minute top get strip UNLV . 
 Jun 22 2007 	 Great Hotel 	 stay Sam 's Town friend two night June . pleasant surprise . hotel wonderful . clean , steamy hot shower , comfortable room . shuttle service excellent . right time ... time . eat Fireside Buffet breakfast dinner . dinner o.k . breakfast well . selection fabulous . would recommend hotel anyone . go return Sept surely stay Sam 's Town . 
 Jun 16 2007 	 like lukewarm water ? 	 look forward 6 month assign non - smoking room lukewarm shower water , smokey hallway next noisy ice machine ! ! daughter make reservation day phone directly motel check 3times insure understand need room close together . time assure request enter would honor good way could . upon arrival , tell notation indicate ! ! give different room second day mean move luggage -- piddle around day waiting room ready . check early return home , daughter discover bill credit deposit take bank upon make reservation eventhough voice concern check in . & quot ; oh , often not show bill check & quot ; . yeah right ! ! oh , poker tourney appearance borderline crook -- dealer know local name playing preference , true vacationer want play poker march restroom lukewarm shower flush entry fee ! mojito amazing ! ! ! ! ! ! ! ! ! ! ! ! ! 
 may 22 2007 	 Cheap may worth ... 	 Sam 's Town local go ... old one . room nice cheap . 's kind cheesy , quaint . small staff , group event not work smoothly . drink ton cheap Strip , be great way start night hit Strip . free shuttle Strip , last one 10:30pm . otherwise , be $ 20 cab ride anywhere - airport , Strip , Fremont Street . stay away italian restaurant ( Fellini 's ) make sure stop Billy Bob 's , not order much since portion huge refridgerator room . take advantage coupon join casino member reward program ( get $ 10 free slot play Southwest Airlines magazine way we $ 40 ) . be nice place retreat end night ... uh , morning ... need anything , Walmart Walgreens walk distance . 
 May 19 2007 	 wonderful off - strip casino hotel 	 also stay Sam 's Town time Intercessor ( see post ) . believe meet husband pool area ! experience wonderful Sam 's Town well . first - timer Las Vegas want get foot wet stay strip first day . great choice ! rent car , get problem we . need car get plan hefty taxi fare airport . believe shuttle run hotel airport , not check . check breeze everyone front desk helpful direction , supply map , answer question area . ask complimentary upgrade available . offer atrium view room two queen . elect keep original room king bed view mountain ... actually view parking ramp mountain distance , appreciate offer not spend much time room anyway ! king bedroom basic , clean . two club chair remind we home . comfy invite long day see sight . large bathroom . lot counter space lot hot water good pressure shower . no coffee pot plenty coffee available many restaurant on - site . we take advantage shuttle system Sam 's Town run strip Fremont Experience . driver great , amusing we story answer many question area . one retired firefighter ( occupation close heart ) , enjoy conversation . shuttle run exactly schedule , contrary experience report TA.We eat Firelight Buffet breakfast day . cost $ 4.99 per person player 's card great . check pende review also TA . eat dinner one night . great selection receive ticket glass wine beer include price meal . not play table game , can not comment . not gamble big , experience slot limit . practice Jacks Better month , disappointed find one low denom 8/5 machine , low denom 9/6 machine . find couple $ 5 pull range , rich ! Casino nicely lay , somewhat smokey area , other could hardly smell smoke . sicken pipe - in perfume scent strip casino use ( thank goodness ) .pool area much nice website make look . nice - sized pool whirlpool . 's enclose give secluded feel . new cabanas use . hardly ever anyone pool we - quiet relaxing space . we recommend Sam 's Town anyone look off - strip experience Las Vegas . think excellent value money . 
 May 13 2007 	 Breathtaking 	 husband take vacation time Sam 's Town . anniversay . experience wonderful staff everything power fulfill request . when arrive , amazed beauty atrium . bird sound rush water take breath away . while , hair cut salon , Jon Ric . Liz true artist highly recommend anyone want change appearance . very thing not care , Harvest Resturant . inspite experience , bless take time Sam 's Town . Sam 's Town parking large vehicle , bless we make live road . we higly recommend Sam 's Town contemplating get away Las Vegas . 
 Apr 24 2007 	 execent room check 	 return week stay sam town casino hotel las vegas . the hotel renovate room excelent . king non - smoking room sixth floor . the room new furniture , carpeting , paint , wallpaper , well new bath tub , toilet , vanity , tile floor . early check take five minute check do room . 
 Apr 6 2007 	 even well ! 	 return Sam 's Town , 2nd visit year not normally write review set record straight . regular visitor Vegas last 15 year move around different hotel find Sam 's Town never look anywhere else . read review hotel common theme seem general criticism Firelight Buffet . well could generally agree , , WOW ! improvement , say wife could believe good eat 5 time 8 night stay . last day quee brunch buffet notice new sign erect , Sam 's Town Firelight Buffet award good buffet Vegas , wholly justified . great room , great slot great staff . good value Vegas . 
 Mar 3 2007 	 pretty good right expectation 	 staying work , foot bill corporate discount , can not say much price . overall , think pretty nice strip . huge atrium - style . want lot gambling bunch restaurant , not want deal strip , place you . food : fast food : McDonalds , Panda ExpressSit - down : breakfast buffet , other mention , great . italian restaurant also great . the mexican place good , bit bland - get extra sauce want spice thing up . I not eat place . room : room spacious shower / toilet work fine . nothing elegant . bed cheap side . cover include 1 sheet 1of nasty foam - like blanket , comforter . would never let near face near one ... ( hotel ) . INTERNET : wireless internet $ 10 / day , multi - day package . signal sporadic , good . FITNESS - NONE ACTIVITIESThe on - site bowling fun ! also laser light / water show call & quot ; Sunset Stampede & quot ; 2:00 p.m. , 6:00 p.m. , 8:00 p.m. 10:00 p.m. daily . never make point watch . 
 Mar 2 2007 	 great hotel away strip 	 husband along another couple stay Sam 's Town March 2006 . really like clean room Atrium really beautiful . night laser light show pretty cool . maid service hotel wonderful really friendly not mind leave extra towel . basement really large bowling alley open believe night . like glass elevator look atrium . choice restaurant inside hotel wonderful find quite good deal shop main floor . would definitely stay not busy hotel strip still relatively close strip . 
 Feb 24 2007 	 $ 164 night - room town - great - great Breakfast Buffet 	 not really bad stay . 's cost room unjustified NBA star weekend . price , include jacuzzi . small mini fountain cool truly love breakfast buffet , price make mad . 
 Jan 28 2007 	 Excellent hotel ! 	 stay hotel attend CES convention . come Vegas attend 2007 CES convention . impressed well time . 5 mile strip , car shuttle necessary get action . however , straight shoot right Flamingo St. Tropicana St. strip ? hotel large , modern room clean well keep . atrium lobby front desk , locate near waterfall restaurant . staff always friendly . rate inexpensive even time heavy convention . strip hotel charge $ 300 plus night CES , stay less $ 80 . try restaurant time . buffet leave underwhelme last time . everything else fine . it worth deal distance ? well , rental car , answer & quot ; yes & quot ; . great property bargain . will stay ! 
 Jan 8 2007 	 nice place without glitz 	 stay one night Jan. considerably cheap hotel Strip ( however , usually find last minute deal lasvegas.com may similar ) . Sam 's Town 15 minute Strip , give take , depend traffic . mainly bill & quot ; locals casino & quot ; . casino little dreary lively biggie Strip . hotel really nice- beautiful atrium light laser show , etc . room adequate- major complaint , basic no - frill . room clean , nice view Vegas skyline . car , consider different hotel Boulder Highway like Sam 's Town , since cheap , always drive Strip . 
 Dec 9 2006 	 Great Family 	 great hotel , ten minute taxi ride airport . spend one night ( 12 hour flight ! ) start holiday & amp ; another 3 night end hol . we find check quick ..... room spacious & amp ; clean , & amp ; quiet . recommend room look atrium ... view scenic light show twice day ! basic double room 2 huge double bed . see inside one suite room & amp ; look amazing , one really posh penthouse one ! travel 3 teenager & amp ; love hotel ... atrium fun place ' hang ' feel secure . several good meal twice family cafe , one mega breakfast buffett , plus usual fast food place kid . parking secure & amp ; plentiful . the swimming pool good size warm ..... place three time ! really comment gambling except say usual thing go ! book hotel convenience & amp ; price pleasantly surprised quality ... would hesitate return . close several supermarket / family restaraunt come handy whilst make travel family . 
 Dec 1 2006 	 good room great food far Strip 	 Read review trip advisor decide book Sam 's Town . $ 28 / night exceptional deal . take taxi 's instead use free shuttle since take way long short trip . room clean comfortable - nothing special . food Willy 's Jose 's excellent great margarita . drive car would stay , plan stay Strip next time . 
