Fantastic 	 stay Blue Moon Hotel November great time . the hotel lovely little bit history place . our room lovely plenty room , also small balcony look Williamsburg Bridge . bed firm ensure great night sleep . bathroom well appoint , flush toilet time clear . shower powerful , towel dry small side . the front house guy meet first day , Paul , fantastic . friendly full information . really make difference stay . we would definitely stay . hotel great location get around New York neighbour hood lovely restaurant stroll distance . 
 Oct 4 2008 	 Blue Moon honeymoon 	 spend wedding night day Blue Moon Hotel New York City , hear comfortable friendly hotel . much . make reservation explain would first night bride . arrive close 1 owner greet we . treat like royalty . staff make available moment notice . first thing notice view Manhattan skyline . order room service attend quickly . bed comfortable , room bathroom impeccably clean . next morning wonderful typical New York breakfast offer open hand . come late , expect night wedding variety freshness food pleasant suprise . the owner joke we make small talk really make we feel like family . staff warm friendly could not believe New York City . over year hear New York 's Lower east Side . terrible shopper even love go store neighborhhood . go tenement museum touch story history . go lunch , also plethora choice greet we . visit couple art galerie , shop Chinatown really closeby . whole area historic alive . exhausted get back Blue Moon hotel . Exhausted happy . can not write enough wonderful stay staff Blue Moon hotel . look forward go back next trip NYC . do not like spoil ? 
 Oct 3 2008 	 AMAZING HOTEL 	 Culture , art history one place ! large room ny , great service , close Seaport , SOHO , TRIBECA , East Village Greenwich Village , walk everywhere . recomme highly . 
 Sep 27 2008 	 disappoint 	 excited book room hotel husband 's birthday . book mid price room -- $ 650 one night -- expect ammenitie would match price tag . also ask since special occasion would appreciate get cut room price range . stay many fine boutique hotel always give good room available , even range room pay . ask hotel sell get run house room anyway . well ... honestly , room ok . bed comfortable , nice little extra touch . lighting room bad . morning II want pack leave quickly possible . staff nice friendly breakfast bagel fruit pastry , really inadequate . price tag , much nice . book . want really love . 
 Sep 22 2008 	 MIxed feeling Blue Moon 	 wife stay Blue Moon June 3 day . travel Australia , third trip New York last 4 year . review fantastic feedback TA enthusiastic staying . find room size excellent , staff extremely friendly accomodating . theme hotel however , believe movie star 1930 's , leave little desire . breakfast , whilst fresh , disappointment , simply bagel , pastry piece fruit . feel hotel great value money would stay future . 
 Sep 21 2008 	 Fabulous service 	 2 night hotel . Larry Antonella credit hotel . provide great service hospitality . wealth information personable friendly . hotel couple block subway stop ideally situate sightseeing . the view room incredible . free internet access provide lobby . 
 Sep 17 2008 	 great little find ! 	 popping see charming lobby wander Orchard Street previous visit NYC 6 month , spend nite little gem last week find wonderful experience . room , Milton Berle , funky side & quot ; deluxe & quot ; authentic , roomy homey make . staff terrific ( especially Antonella , personal helpful concierge ; Larry , whose enthusiam history artifact make staying feel like privelege ) . sense set temporary & quot ; home & quot ; - way ' ve experience B & amp ; B be never New York Area . 
 Sep 16 2008 	 Great Property Awful Service 	 girlfriend plan one - night stay Blue Moon Hotel . upon see web site read handful review , sell . hotel beautiful look , like anything ' ve see before . we love room . view could little bit nicer ; plus idea have share balcony neighboring room . information conveniently leave upon booking . even worse , balcony door not lock . , room fine . the problem come later , say couple day later . check bank account ( pay debit card ) , charge $ 6,000 instead $ 600 room cost . imagine panic . call hotel ask reverse charge -- unacceptable . nice first , 's honest mistake . man phone tell call back ! okay , panic continue . I call back 30 minute later speak woman name Shayna , rude . not even apologize mistake . amount astronomical , shame tell make account negative ! upset explain situation Shayna ( negative dollar name 's fair , would fix soon possible ) . instead kindness compassion , get rudeness . fact , speak someone phone , hear call & quot ; irate customer & quot ; mock fact upset . tear point absolutely need account bring back accurate amount order buy grocery pay bill month . I ask Shayna speak supervisor someone else hotel assist nice fashion , hang phone . call back tell need someone else help respond , & quot ; thought do . 's nothing else you . & quot ; ' ve never encounter poor service life . line work , ' ve go plenty hotel ' ve never receive kind treatment . hotel nice , people work ( particularly Shayna woman ) , nice . never go hotel , let alone recommend friend , relative public . 
 Sep 15 2008 	 Unique NY experience 	 wantie experience another part city great place feel like local tourist . Antonella Larry aretwo good desk -clerk / concierge town . helpful direction great suggestion dining . view 5th floor seem good . relax cozy feel hotel . nicely locate subway stop easy cab ride entire downtown area . 
 Sep 9 2008 	 good boutique NYC 	 love location . low east side blow we away . & amp ; come social scene . hotel right next subway quick ride uptown . room extremely large New York standard also clean . atmosphere , despite review contrary , extremely quiet tranquil . bagel morning delicious . staff 's service truly impeccable . Larry , Andy , Antonella , Randy excellent host ! anything , want good time possible . full great recommendation always go beyond expectation . possible suggestion concern bed , bit hard . would highly recommend ! make perfect romantic getaway . 
 Aug 22 2008 	 CARING SERVICE 	 Blue Moon Hotel quaint hotel great location . close Chinatown , Little Italy resonalbe cab fare Time Square . difficulty air conditioning kindness , care respect receive manager staff overwhelming . fix problem continue check okay . advice always available try hard please customer . breath fresh air personable care New York City . 
 Aug 8 2008 	 fine bill come . 	 first , good . hotel pretty , period theme , nicely situate edge Chinatown within walk distance little Italy East Village . staff attentive stay pleasant . continental breakfast enjoyable , overall atmosphere positive . , bad . travel business book hotel two guest ( separate room ) base somewhat affordable room rate ( $ 365 / night ) . tell cancellation reservation must make 72 - hour advance , notify stay end early would charge 100 % room rental remain night . consequently , business conclude early , force pay amount roughty 1/3 cost stay . experience large NY hotel host business traveller . manager , nice point , refuse compromise , unlikely stay hotel recommend traveler ( fact , give personal attention manager / owner , base upon review , probably invite back hotel ) . 
 Aug 8 2008 	 nice hotel ' ve ever stay ! 	 stay & quot ; Burns Allen & quot ; room week late July ' 08 , every single aspect hotel service exceed expectation . room amazingly spacious , comfortable , appealingly design , staff wonderful , great value . Lower East Side neighborhood Blue Moon locate favorite part Manhattan : tourist plan visit NYC not put idea 's & quot ; central , & quot ; fact be right next great area like SoHo Village , much fun , peaceful , stay faceless , pollute Midtown . recommend hotel everyone know . 
 Aug 7 2008 	 wonderful hotel 	 wonderful hotel - full character cozy - friendly , competent staff , quiet . the negative thing find breakfast serve disposable plate & quot ; silverware & quot ; plastic . 
 Aug 6 2008 	 great place stay Lower East Side 	 stay Blue Moon first week August enjoy stay . room tastefully decorate big expected Manhattan . noise level not high even though room face street . staff friendly helpful owner , came talk we . definitely stay area . 
 Aug 5 2008 	 great value location 	 Funky hotel , wonderful location Lower East Side , quiet street Delancey . fabulous price NYC . friendly staff , delicious bagel breakfast , old - fashioned room modern bathroom . would definitely stay . 
 Aug 4 2008 	 Unique hidden jewel Manhattan 	 wonderful hotel ! ! husband stay Blue Moon hotel recently extremely impressed historic , pristine authentic everything . furnishing antique show owner restore much historic time period New York truly regular hotel stay . when first walk lobby greet , feel like transport back time music restore furnish . room stay Deluxe everything perfect right antique furnish LCD tv mini fridge , could not even hear anything street noise . hotel Orchard Street quiet street right next door Tenement Museum . nice french cafe feel lobby breakfast serve morning ( fresh bakery good , bagel , pastry , o.j . , coffee , tea , etc . ) much say hotel definitely back recommend hotel friend visit ny . 
 Jul 29 2008 	 make Anniversary Memorable 	 wife celebrate 15th wedding anniversary Blue Moon Hotel low east side new york city June 19th , 2008 . Texas usual iteniary start five star hotel mid - town . time try something different ' m glad . staff hotel top friendly make every effort make stay unique , custom , first class . stay Eddie Cantor suite spacious double door balcony great view low east side midtown . hotel & quot ; artist & quot ; give we tour various room , history hotel 's remodel local history . artist front desk person , Olga , give we great suggestion restaurant / bar / shopping / and entertainment low east side . cool thing could get reservation hotel staff make call get we vip style . also able make car transportation hookup we . night go olga staff member would call ahead we , arrange car service , print we detailed map . unique & quot ; local & quot ; experience ever New York . first time feel less like tourist like people neiborhood . can not say enough Blue Moon . staff make memory never forget . 
 Jul 28 2008 	 like staying friend 	 stay Blue Moon hotel 2 night , love . spend 3 night midtown , Royalton hotel . truth tell , area Blue Moon much ' local ' , compare area midtown manhattan , however , warmth friendliness staff make ! room clean spacious . breakfast superb , local delight NY visitor get idea culture area : bagel rugelach local bakery date back 100 year old ! ! yummy ! even doggy bagged ( ziplocke , actually ) we take we day ! would definitely stay , especially know area well . actually , close Soho , Little Italy , Chinatown area , would plus anyone want spend time area . compare cold , formal staff big hotel , lovely change , especially be new city . thank , Blue Moon , make last 2 day ny good whole trip ! 
 Jul 18 2008 	 charming 	 stay blue moon exceptional . room staff , definitely first class . 's average NYC hotel , place exude charm . be look somewhere stay NYC whether be weekend week place . 
 Jul 18 2008 	 love Blue Moon ! 	 great fortune stay Blue Moon Hotel week find little jewel ! new hip area way downtown Manhattan charming atmosphere . the staff ( Randy , Andy , Larry ) fantastic welcoming . could not help feel comfortable relaxed . the hotel restore beautiful feature . stay Abbott Costello room . everything fresh clean . there cute lounge area front host breakfast morning . also amentitie hotel , however , also allow usage dvd player room DVD 's free lobby ! highly recommend Blue Moon . I plan go back . 
 Jul 7 2008 	 swiss experience nyc 	 great stay nyc thanks blue moon hotel friendly staff . fine room , quiet . excellent location downtown . highly recommandable 
 Jun 30 2008 	 great place stay 	 room incredibly comfortable . lot room feel like studio apartment hotel room . staff helpful . give excellent dinner recomendation overall nice friendly . 
 Jun 16 2008 	 five star Blue Moon 	 Cozie & amp ; charming , hotel welcome new life New York . immediately upon enter lobby hotel , feel though ' ve travel somewhere far abroad . plush bead pillow give couch warmth & amp ; comfort , wonderful local artwork give wall inspirational glow , & amp ; free glass wine upon arrival make relax place hang . room put ease historical & amp ; personal warmth . beautiful faux paint wall , big nice iron bed , fluffy pillow , beautiful bathroom & amp ; lot room unwind . like french flat forget time . staff consist artist , give whole scene boho - chic appeal well . sit heart Orchard Street , super - lux - hip Lower East Side . second really groovy bar , fantastic restaurant , sinful shopping , & amp ; much . hear unlike hotel New York , see return pleasure . Hats Olga , recommend & quot ; Jin & quot ; wonderful sushi restaurant we . several yummy place , not enough time wine & amp ; dine . , another trip Blue Moon mean time explore adore . 
 Jun 9 2008 	 lovley friendly hotel 	 family stay blue moon hotel new year 2007 , first time new york sure expect tell conflicting story hotel new york.to surprise hotel clean tidy hotel staff could helpful , room spacious andtastefully restore theme hotel era built.we enjoy stay much enjoy talk ownerof hotel could see effort care take owner restore old tenament building quaint enjoyable place stay.a nice enjoyable stay would definitively stay return new york.thank dennise 
 Jun 4 2008 	 delightful weekend ! 	 dad decide come weekend course book bluemoon hotel pleasure stay previously , always great experience , warmth atmosphere , easy deal , great location , comfortable.le reste es pour des francais qui le lirais et qui se diron mais pourkoi aller bluemoon hotel , si vous voulez retrouver l ambience un hotel du marais sur la place des vosge , ou il du jazz qui joue en arriere note , et ou tout es en bois cirer et en couleur chaude . le boutique hotel es l endroit rever pour echapper de l agression de manahatttan pour vivre une nuit dans une chaude atmosphere ... je confirme le bluemoon . 
 Jun 4 2008 	 great cultural experience 	 typical hotel choice . Manhattan hotel especially pricey particular week , choose Blue Moon rate decent look intriguing . Blue Moon great like boutique hotel beat path something unique offer . on plus side : room decent size Manhattan standard , period detail lobby room nice , owner embrace cultural significance Orchard Street Lower East Side . also , climate control excellent . love ceiling fan room . amenity good - good toiletry , small nice tv , solid furnishing . on room - for - improvement side : interior hotel nice quiet , room ( colleague ) face Orchard Street pretty good amount street noise - siren , large truck , etc . - throughout night . not get good sleep result . $ 450 night room , would also expect slightly high quality bed , particularly pillow sheet . requirement leave room key front desk leave bit odd - kind hostel - like . so whole , enjoyable stay . spa - love , luxury hotel regular , might better another choice . 
 Jun 2 2008 	 great boutique hotel 	 last minute booking , pleasantly surprised . greet check - in complimentary glass wine friendly knowledgeable young lady . give Ella Fitzgerald room , nicely decorate sit area perfect enjoy glass wine . bathroom stock Bath Body work product , well , two toothbrush travel toothpaste ( favorite touch ) . quiet sleep continental breakfast provide morning . shortcoming find ( control ) parking garage validate guest full , need walk 6 block back one track little far away . 
 may 22 2008 	 great stay Blue Moon 	 return long weekend New York stay Lower East Side fantastic boutique hotel . hotel refurbish tenement house owner ( present friendly ) try preserve much original detail possible - marble floor , original tenement door , tin ceiling ... lobby quaint tad & quot ; shabby - chic & quot ; room modern clean . ( 2 we ) small room hotel fine size - wise - even floor room many standard room chain hotel , would say . although room second floor front building , quiet . my criticism hotel would complementary breakfast serve morning - coffee OJ good bagel pastry might fresher high quality . the hotel staff front desk friendly , especially Andy helped set coffee pastry morning . the hotel 5 - 10 minute walk Soho East Village close subway line . I would definitely stay recommend anyone encounter planning trip NYC ! 
 May 20 2008 	 absolute favorite hotel New York City 	 ah , breath fresh air experience exquisite little gem Blue Moon Hotel ! 2nd visit ' probably never stay anywhere else city . usually ' m bit snob stay Ritz Four Seasons , hotel caliber . opinion though pale comparison will greet second pull Blue Moon . quiet street low east side area China Town Little Italy . way touristy area city worth every hair raise second cab get . ' historic little bldg inspire hotel yesteryear . proprietor , Randy , always lobby , sit cozy table wait guest arrive announce enter . pretentious manner . be do way respect honor choose hotel spend time in . the hall room decorate collage old postcard artifact find basement century year old hotel renovate . room individually dedicate star 30 ' 40 ' Molly Picon Mickey Katz . simply yet elegantly decorate , feel one find fine bed breakfast establishment . everything clean . hard find hotel let alone old one city . Randy enthusiastically tell history premise . warm heart tell we desire ' preserve soul building ' . know listen truly mean . attention detail friendly , welcome staff add ambiance . fare local vendor complimentary continental breakfast well offer nice glass wine retire complete journey . I reluctantly recommend hotel selfish ' want little secret get hard time get next trip . rest assure though , Randy tell call personally ' find hook . wow … love , LOVE hotel ! 
 May 18 2008 	 real Gem Delightful Lower East Side 	 Blue Moon Hotel beautiful little boutique hotel nestle Lower East Side Manhattan , exciting corner city . painstaking process Randy Settinbrino go keep spirit build alive obvious soon one enter hotel , detail former tenement flat utilise throughout . the free wine upon arrival , free internet acce , free breakfast , dvd library special parking rate give add value additional cost . room large spacious , bathroom come huge bath , like small bath typical New York hotel . Antonella staff extrememly helpful willing give help advice make stay New York memorable . for tourist visit city think Midtown area , would advise consider Lower East Side , many exciting bar , restaurant boutique shop , easy access Little Italy , Chinatown , Brooklyn Bridge etc . hotel beside subway , be far sight sound rest city . 
 May 16 2008 	 love 	 stay child . room captivate . old world charm . name movie star . tenanent door . Colorsof wall pleasant room large overlook Williamsburg Bridge . service friendly engaging neighborhood blast . love ! 
 may 12 2008 	 love little gem 	 would stay - great improved . new complimentary glass wine - red husband , white - late arrival deeply appreciated . hotel clean , painstakingly restore well maintain ; staff consistently helpful charming . clearly operation labor love . view Williamsburg Bridge balcony ' Duke Ellington - cozy room ' lovely calming , day night . bathroom wonderful deep tub , perfect long drive busy New York day ; even place rest arm read , soak unwound . noisy room back . note : need use wi - fi computer connection , call desk get good access code . able log - on laptop simultaneously . my grandparent ' custom - make clothing store ( woman 's cloaks & amp ; suit ) block , corner Division St & amp ; Orchard short walk see . mother sister live Division Ave Williamsburg bridge , also close . hotel celebration era extend feeling ' come home ' still part neighborhood , despite never live . guest without tie visit Tenement Museum next door connect area history . the hotel bit B & amp ; b quality , watch owner ' adorable young child leave school morning , chat staff owner light breakfast , like impersonal anonymous hotel may cup tea though respectful husband 's need privacy . lobby couple ( Ireland , believe , would week ) came thank Randy effusively excellent suggestion night 's dining mention we recommendation wonderful treat . night manager helpful book online ; make sure able stay room would love previous visit Antonella , artist time , charm helpful have ' 07 visit celebrate birthday . will back ! Sura 
 May 12 2008 	 worth 	 stay hotel day bank holiday disappoint , ok hotel way worth money spend . first day desperate move check leave pay full amount rest stay warn . read small print ! one redeem factor bathroom nice never go stay . go be happy waste money something spend least half ask . 
 May 9 2008 	 amazing experienece ! ! 	 Husband stay Hotel business trip roccomende stay come manhatten visit friend . glad ! ! service extraordinary ! bed comfortable size room almost impossible find hotel outside NY much less city . staff helpful friendly decor work art . Owner Blue Moon create great hotel , rather unique experience descerne customer appreciate . 
 May 7 2008 	 great experience 	 8th time ' ve stay Blue Moon . staff friendly , owner thoughtful appreciative . room spacious immaculate . era boutique hotel tiny overpriced room , Blue Moon oasis . I highly recommend stay . area one popular city great restaurant , shop , within walking distance . wonderful value five star property . 
 Apr 28 2008 	 good secret NYC 	 ' m native New Yorker live Ohio . stay new hotel Manhattan 's trendy Lower East Side 2 night . staff friendly , helpful , knowledgeable area . room huge price view historic Orchard Street ( Delancey ) . everything clean update . far warm decor ever see . generous , century - old woodwork -- lovingly restore -- everywhere . lobby visual feast , lead immediately vibrant neighborhood teem contrast old new , interesting restaurant , night spot , bargain trendy upscale shop . quick walk Little Italy Chinatown . knock shopping , Hotel feel like home , friendly help , space spread , great shower firm , comfortable bed . place good secret NYC . 
 Apr 15 2008 	 fabulous hotel historic Lower East Side 	 stay Blue Moon Hotel past weekend really great experience . write similar review Yelp.com ... Blue Moon Hotel unique quaint boutique hotel Lower East Side ! apparently , be couple year old guess word not really spread , yet . although , build erect 1879 . Tenement Museum right next door , historical information area easy get . Blue Moon Hotel spacious room , friendly staff cute theme ! outside , may know boutique hotel . reception area look like quaint cafe ! walk right first get . 22 room name old movie star , recognize ... hallway decorate old New York relic , picture year past salvage ornament original building strew . stay James Cagney room 4th floor , overlook historic Orchard Street . ( lot cute restaurant / cafe boutique shopping street , btw . ) room & quot ; Comfort & quot ; room iron wrought queen size bed sofa bed . stay include complimentary continental breakfast gym pass Ludlow Fitness , not get take advantage . oh even set 2 toothbrush travel size toothpaste ! be perfect , course ... ( thing ? ) elevator slow leave key front desk every time came go . remind we bit Europe ... , cute hotel write many travel mag & quot ; hide gem & quot ; New York National Geographic special Blue Moon Hotel month ! ' m glad get stay . ( special thank Olga Larry ! Front desk staff really help we make stay super great ! ) 
 Apr 14 2008 	 Blue Moon Charmer ! 	 travel lot usually prefer big hotel - make exception recent stay Manhattan stay completely charming Blue Moon Hotel Lower East Side . hotel spotlessly clean , room large ( NYC standard ) comfortable , staff helpful friendly . stay one small room please - notice large terrace upper floor suite outside - afford , spring one ! say favorite thing old fashioned scheme get key desk time return room - make feel look ! return hotel quite late evening believe oasis warmth light rainy NY night . like step bygone day hotels family own proprietor actually care whether enjoy stay . first arrive , irish couple leaving say wished stay long love Blue Moon much . feel exactly way - 's new favorite NYC hotel . 
 Apr 12 2008 	 Home Home New York City 	 say ' New York 's Hidden Jewel ' website not lie . several night say thing like ' meet back home six ' . hotel people still interested people , meet many lovely human being different place , culture tradition hotel enlighten experience old cynic like . room name iconic movie star think central casting may hand select staff . beautiful , willowy receptionist Olga - always happy keep Google map guide come - Larry , night manager gentle manner sympathetic ear , passionate Antonella amazing career path ever present ever helpful manager , Randy , late night philosophy discussion . Hilton Four Seasons ' brand ' . uniquely honest sincere , , good endeavour life , willingness contribute reward enormously . grateful find home New York look forward see soon . 
 Apr 10 2008 	 Cozy peaceful spot stay 	 perfect hotel . do marvelous job building . amazing detail make charming . locate cozy neighborhood side street . the salon type atmosphere breakfast nice . Delicious NY bagel coffee visit guest read morning paper . everyone work kind helpful . it nice welcome home feel day run city . nice get away sensory overload Manhattan . I highly recommend . 
 Apr 10 2008 	 wonderful experience ! 	 hotel far one charming every stay . step back place decorate much taste , attention detail , beauty , every room , molding , picture frame tell story Lower East side past . charming escape busy New York City life , moment away village offer ! staff wonderful , attentive , kind respectful . love selection old DVD 's could watch player room . bed sheet nicest clean smell hotel ' ve ever well , free breakfast perfect touch ! huge room , gorgeous balcony quaint chair table , perfect set relax weekend luxury ! 
 Apr 8 2008 	 Lower East Side 	 love hotel area . much fun midtown . safe stroll China Town Little Italy . Walkable Brooklyn Bridge . 
 Apr 8 2008 	 absolutely LOVED Blue Moon Hotel NYC ! ! 	 first book another hotel NYC ( Howard Johnson ) terrible . soon walk Blue Moon Hotel , know perfect we . & quot ; girl & quot ; trip NYC . 4 us blast . room unbelievable clean , bed soo comfy , bathrrom towel soft & amp ; cozy . trundle bed fabulous , ' m look purchase one like ! amazing view , much history lobby area . staff , 100 % excellent . morning , fresh bagel coffee lobby , chat concierge . evening , never go room w / out hang lobby & amp ; talk w / the concierge . even pleasure meeting owner & amp ; lovely family . do lot travel , stay several 5 star Hotels , one top list . would suggest , stay Blue Moon anytime visit NYC ! ! ! 
 Apr 7 2008 	 wonderful taste old world elegence Modern New York 	 surprise come & quot ; cold & quot ; New York City greet old world warmth beauty Lower East side location , wonderful & quot ; Blue Moon Hotel & quot ; . sit middle old New York , panoramic view whole city window , 1800 's . upper floor room , large french door balcony . although January , could resist stand balcony view city . great Old New York view . room large othe New York hotel stay . staff , especially manager , tall , bespeckaled , literate poet , greet we family . lobby come old Paris european cultural center . room name great theater entertainment personality past , many rare photograph view lobby . could spend whole time New York hotel , still feel exceptional holiday . neighborhood history lesson , warmth thought come old world charm , even myth . good hotel stay year . go , love experience . 
 Apr 1 2008 	 friendly hotel New York 	 3 us 5 great night Blue Moon large room ( Benny Goodman ) clean bathroom . & quot ; bagel breakfast & quot ; keep we go day . staff friendly helpful . contrast large NY hotel one usually bother . negative comment would expensive price Blue Moon New York ! would good idea hunt around deal internet maybe ring hotel direct see would make competitive deal . discount 20 % repeat visit might flexible already full ! would happily return 
 Apr 1 2008 	 love ambiance ! 	 really enjoy stay hotel middle Lower East Side New York ! owner capture essence history neighborhood , great collage era artwork paraphernalia . room ( Sophie Tucker ) , unique design . staff friendly go way make we feel comfortable . truly gem . 
 Mar 30 2008 	 wonderful stay Blue Moon 	 daughter stay Blue Moon 3 night , March 10th-13th . want try different location usual make great choice . staff wonderful . dealing Antonella , Larry Andy . go way answer question , give suggestion helpful . I love room . although one least expensive room hotel beautiful . nice color , homey . Tommy Dorsey room . I enjoy stay would hesitate stay hotel . 
 Mar 29 2008 	 Beautifully Restored Hotel NY 	 Hotel beautiful owner treat like mom dad . problem though reservation ; reserve confirm two room on - line use Hotel 's web site , system book one room . hotel full panic brief time . owner work quickly arrange room associate beautiful Euro hotel two block away even walk we book room . room Blue Moon big expertly restore match rest hotel . place much work art hotel ' m sure get lot repeat business . pleasant experience . glass wine check nice touch . 
 Mar 13 2008 	 great bijou hotel 	 writing review JFK airport wish night Blue Moon . Hotel beautifully lovingly restore old tenement build refreshing change usual NYC hotel chain . staff welcome warm pleased help . room good size , individual , cosy , comfortable romantic . although place midtown Manhattan subway around corner enable easy ( 15mins ) access mid town area . importantly local area ( Lower East Side ) vibrant night restaurant bar include live music , however hotel quiet free noise . travel around world fortunate stay top notch hotel , little gem soul , character , charm warmth shall recommend friend . 
 Feb 20 2008 	 impressed 	 look hotel near Bond Street show go theatre . Blue Moon ideal location turn wonderful experience . stay George Raft room fine -- clean surprisingly roomy -- especially Manhattan standard . staff extremely helpful friendly -- would definitely stay give opportunity . 
 Feb 11 2008 	 find Gem Trip Advisor 	 like , probably use internet search option hotel city visit . short notice , go New York City , unfortunately Fashion Week . reasonable rate hard find . option seem extremely pricey , ultra small room . take chance Blue Moon Hotel , extremely pleased . clean hotel , good sized room , excellent breakfast choice . for visit Lower East Side , think happy hotel selection . 
 Feb 11 2008 	 definitely stay ... 	 family , particularly , travel lot . pretty demanding , not mind pay top dollar friendly service , clean , nice room . use live Canal Ludlow want share low east side experience partner child . excited find Blue Moon TripAdvisor , use month - long trip Italy 2007 . boy ! disappointed . 's way expensive so - so experience . rent & quot ; quintessential & quot ; penthouse . nice view . large room . shade top windown . jacuzzi work accuse owner & quot ; family probably boke ... & quot ; would pay $ 600 / night book penthouse break jacuzzi ? ! insult . restaurant nearby ( Jin , Sticky Rice ) good . nice try miss . cafe 88 fantastic breakfast . Katz ' Deli melt - in - your - mouth pastrami ; fantastic chocolate egg cream , super authentic new york experience ( line meat ? ) ... lunch 4 come $ 100 . wow . next time will look place stay . nice idea . star . 
 Feb 10 2008 	 wonderful boutique hotel ! 	 boutique hotel lovingly restore tenement building retain original character offer comfort high - end hotel . management warm , welcoming , helpful , point we good local restaurant . locate next Tenement Museum , Blue Moon Hotel fascinating , historic neighborhood . definitely return ! 
 Jan 6 2008 	 Vintage New York Best ! 	 Traveler Sweden high standard - husband - pleased ! travel Europe US , plenty hotel experience , honestly say never enjoy HOTEL much ! spend January weekend Blue Moon Hotel , true delight - quite unique place , full charm nostalgic New York atmosphere . Gibson girl , theater poster , 1920 's original decorate wall ; quaint lobby antique objet trouvé load embroidered pillow ; consistent vintage Americana flavor throughout , tremendous appeal . - mention staff pleasant , room comfortable , bathroom gleam , every inch hotel absolutely spank clean ? ! New York nostalgia buff , glory complimentary Sunday morning coffee bagel cream cheese , recline window seat adorable lobby , Frank Sinatra Al Jolson croon softly background . not get much well ! also chat bit owner , live premise young family . artist , renovation decorate , creativity apparent every detail . wish much success future - want return , ... 
 Dec 5 2007 	 Loved Blue Moon Hotel 	 hotel first class way . everyone Blue Moon , owner staff , could not nicer pleasant . could not accommodate willing go extra mile guest . accommodation utterly beautiful . food absolutely fabulous . recommend hotel highly anyone need hotel Lower East Side . 
 Dec 4 2007 	 stay anywhere else ? 	 Holiday season New York mean street full shopper , visitor , seem stay closet - sized room mid - town hotel . Blue Moon Lower East Side escape ! stay 5 night Jimmy Durante room share balcony rear building Sophie Tucker - room lady . ok , great plus November doubt bonus summer . huge room buck compare hotel NYC comfortable bed , sufficient closet space plenty draw space . everything room clean well care . hotel wi - fi work well flat screen tv great improvement old tv hotel still provide . Kosher beigel pastry lobby morning , complement fresh hot coffee , always good way start day . hotel staff helpful offer glass chill wine check - in welcome surprise New York . opportunity talk owner , live property , take child two dog local school morning bonus : leave kid school bring dog back later . the near subway station couple three block away make travel rest NYC simple - even tourist . Brooklyn stop away see first run movie $ 11 ticket Brooklyn Academy Music ( BAM ) rather $ 25 charge tourist movie theater around Times Square . great place eat nearby . Noah 's Ark Grand Street offer authentic deli food Katz 's East Houston . west along East Houston Russ Daughters good selection fresh cut herring smoke fish New York newly open Wholefoods store want buy food . Guss ' Orchard Street across hotel Pickle Guys Essex Street still sell pickle straight plastic ' barrel ' offer taste buy . tell food store nowadays . glut Chinese , Thai Vietnamese , italian american eatery everywhere else area local people eat they . we back New York next year : friend ask we stay . Blue Moon course ! ! 
 Dec 2 2007 	 hotel difference . 	 date 26.11.07 Stuart Julie 25th wedding anniversary . hotel convert tenement Lower East Side Manhatten . many original feature keep recreate . room vary size even smallest spacious , clean comfortable . bathroom perfectly adequate deep bath shower . area dangerous tourist safe many variety bar restuarant area . near subway station approx 150 yard away , give excellent access city attraction . excellent place stay want sample alternative usual say Midtown . 
 Nov 16 2007 	 Delightful ... CLEAN ! 	 recently recover breast cancer treatment look forward roadtrip Mobile Alabama redd CT . pick good friend , Sue , Baltimore drive NYC ... BEAUTIFUL Blue Moon hotel . hotel exquisitely lovingly renovate hotel 's owner , Randy . Sue impress pure cleanliness huge room luxurious bath . Sophie Tucker room ( room name 1920s & amp ; 30 vaudeville star ) perfect two friend . daybe much comfortable pull sofa high back end Sue feel like space privacy time go bed . the people work Blue Moon wonderfully sweet helpful . fact , initial phone conversation ( manager ? ) Antonella , get exctie hotel make decision stay two night inste one . glad . thank , Antonella ( Roma call ! ) stay Blue Moon next time be NYC - will not sorry ! ! 
 Nov 11 2007 	 great location hotel NYC 	 let us see ... service good not want leave place .... actually feel home ( hotel not feel way ) front desk lady polite ( olga ... think ) rest management ... suggest historic seeker come ... place attraction middle Lower East Side.one special thank owner Randy Settenbrino would anything guest guide everything around area 
 Oct 22 2007 	 not Book hotel 	 stay hotel spring . hotel meet expectation , try leave early , management rude family . hotel would honor cancellation policy . bad hotel experience 30 year travel . 
 oct 9 2007 	 lovely 	 love hotel , husband stay everytime go New York . staff friendly room unique comfortable ( perhaps roomy ' ve NYC ) .Plus nice stay Lower East side , away tourist traffic Midtown . 
 Sep 21 2007 	 friendly ! 	 2 night NY ! friend & amp ; treat like royalty moment arrive ! stay Benny Goodman suite ! second trip NYC , however staff freely offer many wonderful recommendation lunch , dinner , drink , NY experience direction necessary ! ! idea turn real treat ! hotel cosy friendly , room spotless comfortable every aspect show much love put development ! congratulation Blue Moon . another satisfied hopefully soon - to - be repeat customer friend ! thank ! 
