Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Jan 7 2009 	 Great Place Right City 	 book hotel , really do not know expect . know San Fransisco street one side street & quot ; slums & quot ; & quot ; glam & quot ; part town . drive hotel pretty scarey must say area do not look safe . hotel one block block & quot ; should not & quot ; . comfort valet wait we outside hotel take luggage park car . get room clean , stuffy ( like big hotel ) spacious . decor beautifully do . service great , although do not room service New Years Day . hotel 3 block away Union Square right shopping . breakfast every morning Max 's Diner ( Delicious ! ) walk easily center town shopping . pleased stay would definitely reccoment anyone . P.S . also floor allow dog ! 
 Dec 16 2008 	 great little gem fantastic price . 	 every December meet friend girl ' weekend San Francisco . usually get room Priceline , year decide location take precedence look good rate hotel near Union Square . find wonderful rate hotels.com Serrano Hotel , Kimpton property . know Kimpton 's reputation note fantastic location decide give hotel try glad ! review suggest area criminal threatening , esp . woman travel , come go dark never felt threaten afraid . not even nervous . Hilton Nikko hotel right around corner walk Union Square along O'farrell absolutely fine . yes , might ask change someone along way , happen almost street downtown . the hotel easy walk BART station Powell . lobby cute decor Christmas cheery . front desk , play hand blackjack clerk win , pick list daily prize ( get bottle wine deliver room ) . lose , donate animal charity . check - in fast . elevator tiny slow side , annoyingly . room two double . room small , nicely decorate . love ipod docking alarm clock / radio , comforter comfy bed . flat panel tv nice touch also . closet ample room iron / ironing board , plenty hanger cheetah - print robe guest use . bathroom , tiny well - stock Aveda bath amenity ( shampoo , conditioner , lotion , two kind soap ) . love pack extra toiletry , nice product big plus . counter space speak , narrow shelf run length mirror . enough room toothbrush , etc . shower really high wall , perfect tall people . water pressure fine . big surprise we absence street noise . room face O'Farrell St. expect loud , remark every morning quiet night . think be use put noisy SF street , unexpected surprise quiet night . we eat restaurant attend wine reception one afternoon . 1 hour afternoon , wine reception lobby choice house red white wine . check board game many choice front desk relax . 's lot fun good time meet guest . also coffee tea available every morning . the staff always friendly helpful . Everytime walk door , & quot ; welcome back & quot ; . , really enjoy stay Serrano would go back instant . location can not beat , staff friendly bed comfy . 
 Dec 4 2008 	 Favorite Hotel San Francisco ! 	 visit San Fran August ' 08 husband return Serrano anniversary getaway Thanksgiving weekend . can not wait visit ! love everything boutique - style hotel . friendly , accommodate , convenient , great room . walk distance main tourist attraction popular restaurant . love comfortable bed clean , quiet room . , book Executive King suite . bathroom huge ! count 7 shower head shower even tv ! spacious room , 2 tv 's , bed separate living area curtain , large sofa pullout living area . internet available hotel room lobby . coffee tea available free lobby morning . wine hour late afternoon . doorman great direction . play quick game blackjack check might get free continental breakfast . pet friendly , restaurant site lot restaurant within walk distance miss . they include Taylor Street Cafe Doris ' breakfast . trust . be good reasonable . expect 45 min wait Doris ' , worth it . try Max 's dinner . also Daily Grill close . lot sushi indian eatery nearby . not try , maybe next trip . thing think could improve . although offer coffee lobby , would like small pot room , get dime be wake . need brand soap last long . parking expensive , valet service $ 45 day . not need car plus 's nowhere park city . about area , yes , lot homeless . also lot tourist . hotel fringe Tenderloin district use common sense fine . be also extremely close one main cable car station , Union Square , shopping , food , Westfield Mall ( love food court ) . big hill negotiate . serrano across Hilton always plenty taxi nearby . overall , stay big part success trip . case , serrano first choice . good value , walk distance main site , quiet clean room friendly staff . although not fancy amenity luxury hotel everything need great city . check rate Travelzoo hotel website . happy Travels ! 
 Nov 17 2008 	 serrano - convenient . 	 serrano San Francisco superb hotel - stay 4 night 8th Nov 2008 love . location convenient tourist thing - Union Sq , cable car , Golden Gate ( bus outside hotel ) , China town . also drop point car rental opposite . tenderloin nearby concerned worry feel threatened . staff friendly helpful - check give small room - perfectly adequate comfortable except travel 3 week 4 large piece luggage . speak receptionist immediately get we big room upgrade throw complimentary breakfast- excellent service . bed comfortable ever would agree past review shower bath dangerous - last year spanish hotel cicumstance husband slip break 2 rib ! ! free wine reception night wonderful idea give opportunity socialise guest . criticism coffee maker room . arrive noon drive 4 hour gasp coffee go find coffee shop . coffee available lobby morning 10 0'clock thereafter . conclusion would compliment hotel friendliness staff willingness offer assistance advice . 
 Nov 11 2008 	 Jewel 	 see room special $ 99 Travel Zoo book room Labor Day Weekend . wow surpise . book normal king room AMAZED room get . one top floor , amazing view , huge widown let much light . bed ... oh gosh ! ! come home order Frette linen try find bed ( cheap buy . ) couple downside .. staff seem like could care less . hope al least smile pleasant conversation check . also coffeemake room go downstairs morning cup ( pot ) . want tea late night tell could not get . also tub / shower combo ... tub slpoe side towards middle , make difficult stand take shower without fall .. little dangerous ask . great time otherwise plan return room . hotel great area find amazing restaurant within block . 
 Nov 4 2008 	 Serrano Hotel San Francisco 	 stay Serrano week great experience . ninety - nine percent staff extremely courteous . negative staff person experience one female desk personnel grumpy . room extremely well - appoint clean . housekeep people attentive . office center low level useful , two computer printer available use . location Serrano perfect we although people suggest not walk toward Tenderloin District night , female walk around area alone day not threaten . lot great restaurant ( Foley 's Irish House , House Thai , Backstage ( think call ) Bagel shop / deli , dottie , proximity car rental , Market Street , etc . convenient . husband would stay Serrano without hesitation . 
 Oct 27 2008 	 great time serrano 	 spend long weekend Serrano fly home trip Wine Country . everyone staff courteous helpful hotel charm well - care - for . the complimentary wine reception great opportunity relax socialize day walk explore evening great dining . the location perfect , drop rental car first day walk everywhere . time feel uncomfortable area surround hotel , even walk local restaurant evening . we would highly recommend Serrano great place stay visit San Francisco . 
 Oct 9 2008 	 good find ! 	 read review Serrano say little scared location might find ! say San Francisco rife homeless , everywhere can not avoid Australian like hard digest hard ignore scary .... great city should not let deter ! serrano however great location close Union Sq Cable Cars anything might want ! staff courteous , friendly quick assist ( great doorman ! ) , room clean , well equipped el ; egant character ( stylish character wear charm ! ) ... wine taste great touch , stock bathroom Aveda ( fav ! ) bed delicious ! do not worry location issue other may mention mention homeless everywhere way avoid . sad sorry sight otherwise fabulous city hotel ! 
 Oct 6 2008 	 wonderful even expect experience Serrano 	 recently return 6 day stay Serrano nothing kind word entire staff . doormen pleasant welcome come back long day travel city front desk staff concierge full helpful dinner / city tip . complimentary wine fit experience give great reason mingle cozy lobby . the location hotel really could not well opinion . take front desk 's advice , take EASY walk toward Market ' ve get everything need shopping / transportation / restaurant disposal . as far room , check early due fact come another hotel ( serrano not availability first night ) . hotel manager , Antonio accomodate welcome ready - room sparkle clean every night return . I would highly recommend hotel , absolutely complaint , look forward stay . 
 Sep 26 2008 	 impress everything . 	 book Serrano part trip present Mother 65th birthday . she bite nervous first first visit USA , within minute arrive feel right home . all staff come across friendly welcoming , service receive doorman , check - in staff restaurant staff excellent start finish . we stay ' Luxury Suites ' 14th floor . room big clean 32 & quot ; flat screen bedroom living room . ' Honor Bar ' well stock bathroom tidy size . nighty wine reception lobby 5 6 also great bonus . not let comment location worry , be couple minute walk Union Square never feel threaten around hotel once . I would problem recommend hotel anyone would definetally stay lucky enough visit San Francisco again . thank Mr Flores staff great stay . 
 Sep 11 2008 	 much well expect 	 great , great 4 day stay - 40 dollar airport never need car ( rental comapanie around corner need car vs. airport - caution - parking expensive everywhere SF ) hotel charm character great retreat long day night . great hotel work leisure . friendly , helpful . unique . great experience . would definitely stay again . walkable conference location - 2 - 5 easy entertaining block . great varied food area diner , mexican , thai , chinese , name . 
 Sep 6 2008 	 five STAR SERVICE Great Getaway Serrano 	 ' ve stay many hotel SF , one look forward stay often . world class service door man lady working floor , unbelievable five star experience front desk . know gentleman 's name working desk early evening 9/1/8 , would lavish praise . really make stay special experience . highly Recommend hotel San Francisco luxury affordable price , great location near shopping , dining , cable car ... excellent opportunity business traveler , family vacation , even accept pet , see beautiful little dog happy companion . bed float cloud comfortable , can not say enough good thing serrano , play check game donate favorite charity ! ! thank Serrano & amp ; Hotwire show way ... 
 Sep 5 2008 	 everything little family need Serrano 	 stay five day serrano make long labor day weekend . hotel busy operation smooth . excellent place bring little child - crib bring time room high - chair room entire duration stay . room quiet , lucky 15th floor almost could not hear traffic there . it be true standard room small side ok three we . restaurant ( Ponzu ) breakfast serve ok much style rather expensive . San Fran better place go ! also aware minibar : 's full goody free lunch ! location convenient easy access city ( walk Fisherman 's first day ) public transport Market Street shop . take Powell Street go Market St avoid Tenderloin area would advise 
 Aug 31 2008 	 Luke Warm Serrano 	 first let start say staff serrano wonderful ! door man greet we day name concierge helpful give we information regard city . hotel centrally locate Union square make catch trolley site ( i.e . China town , Fisherman 's Wharf ) easy , however , go 1 block east hotel overcome homeless people . make feel extremely uncomfortable definetely something ' m accustomed see vacation . room really small . husband say , & quot ; can not even change mind room let alone clothe & quot ; . closet smell bad . stay 3 night confess excited move next hotel . wish would listen husband , go modern , stay Financial District instead suck charm bygone era . 
 Aug 25 2008 	 close Cable Car shopping 	 hotel ok stay visit San Francisco . 5 minute away Powell cable car station ( foot ) also close Union Square ( great shopping , Saks , Macy 's , Neiman Marcus , plenty well - know brand ) . 5 starbuck walk distance . room , least one stay , fairly small , modern tv . room ok , nothing outstanding . donwside : open window , air quite stuffy window steam outside , possible get great view San Francisco . wine - tasting entrance hall . staff helpful over - friendly . waiter breakfast room struggle English . breakfast expect , buffet anything . bagel rather plain . restaurant hotel nice though , asian - style cuisine friendly polite staff . food good . staff make dining worthwhile , feel welcome . doorman say walk direction away Hilton ( see Hilton serrano Hotel ) , apparently nice area . afford , would still recommend stay elsewhere . 
 Aug 22 2008 	 Great Hotel ! 	 Aug 9 - 10 husband decide get jump start 5 year wedding anniversary , ( 08 - 16 - 03 ) , stay SF one night . SPG member enjoy stay Le Meridien Westin Hotels . first time Kimpton Hotel Serrano make lasting impression . doorman reception personnel , seem though everyone return weekend long customer service training . Smiles , & quot ; , & quot ; & quot ; may help ? & quot ; everyone . read many positive review , find Asst GM , Antonio Flores . decide confirm stay email directly inform special occassion . expectation king size bed perhaps chocolate pillow . boy , surprised . upon open door , see small platter strawberry chill champagne . room nice spacious jacuzzi ( executive king room ) . plan go shop Union , eat nice restaurant ( Ana Mandara ) enjoy night life SF . complete first two enjoy room instead night life . would stay hotel , Mr. Flores recognize special occassion go extra mile , overall service staff . hotel nice , course , cozy elegant . future SF getaway , would stay versus usual hotel . location great , two block Union Square . safety issue . lot people enjoy weekend night life . park adjacent hotel $ 30 total per night . thank Serrano Staff Mr. Flores . 
 Aug 20 2008 	 Incredible Stay 	 ' m usually cynical hotel not typically write praise hotel . hotel break mold impressed point write positive review . the staff incredibly friendly professional : concierge acknowledgment we walk bellman remember name throughout entire stay ... truly feel important . room clean plenty room plenty amenity . staff incredibly helpful great food recommendation affordable close . also helpful general San Francisco information . this hotel bump tenderloin area , would never guess ever danger . wife never feel threaten uncomfortable situation concern safety . my complaint hotel minor toilet seat would stay try use restroom ... wife find trick useful : ) .The Serrano Hotel good wife decide call book another Kimpton hotel return San Francisco ... book Prescott Hotel . nothing high praise Serrano Hotel , staff , Kimpton property . 
 Aug 19 2008 	 Cool 	 little nervous since husband convince Hotel would tenderloin try point close Union Square . pull taxi Doorman grab suitcase - ask we name escort we front desk . service delightful 2 little block Union Square - ha ha ! perfect location . european feel guest mostly european . & quot ; game theme & quot ; - game play lobby + check - in game miss . toy play room -- cute . satisfied stay would stay . 
 Aug 17 2008 	 Excellent hotel 	 recent visit Bay area , decide try different hotel every night . ' m partially glad also wish complete stay excellent hotel . we stay Fairmont upgrade Tower Signature Suite , King Executive Room Hotel Rex upgrade room Serrano . far , enjoy Serrano . Mr. Antonio Flores rest excellent staff make stay much nice personalized service . our arrival early , nonetheless , room thankfully available . request amenity honor , upper floor view , feather pillow , etc . Mr. Flores make sure personalized welcome item , base discussion have via email . nobody else giver level service ! hotel cusp Tenderloin district issue quickly learn avoid walk direction . feel completely safe immediate area around within hotel direction Union Square . hotel easy walk excellent shopping transportation ( give easy access entire city ) . bit surprised relative paucity fine dining entire area , reflection hotel ( maybe not wander right spot ) .Our room large bathroom , jacuzzi , good shower three hotel . believe hotel Aveeda bath product , personal favorite . room clean , free internet access , well lit . emergency route well - mark . fault could come ' impossible get bathroom sofa bed extend . , part acrobat , able get without wake family . the concierge helpful arrange last minute tour us ensure go smoothly . great suggestion . really can not say may good thing facility , even without consider reasonable room rate , Serrano beat competitor ... hand , include upgrade Fairmont room . I heartily recommend hotel , regardless travel budget . final special thank Mr. Flores . 
 Aug 17 2008 	 consistently Kimpton 	 often stay Kimpton Hotels work , week visit Serrano San Francisco fun . really like chain quality little perk consistent . know will good coffee lobby every morning New York Times . wine afternoon nice bonus . room SF spotless , always . sheet always crisp love feather pillow assorted size . one quirk might time address cheesy robe look like come 70 bachelor pad . Leopard print terry tasteful . let us think white waffle weave spa robe . additionally , ' ve pretty impressed frequent traveller program . ' ve consistently upgrade almost every stay . program say will never seem deliver . one gripe 's astronomical parking fee . $ 40 , even SF excessive seem wrong directly across street garage charge $ 10 less . send nickel - and - dim message guest really stand since much mark . 
 Aug 6 2008 	 good hotel adventuresome 	 serrano lovely old hotel bill & quot ; theatre district & quot ; San Francisco . hotel nice . interesting old world feel lobby . helpful staff . extremely spacious room . nice add touch afternoon wine tasting . however , location , 3 block Union Square , appear little iffy . theatre see couple block away appear dark . maybe area well show play . the downside restaurant breakfast . not open 8 weekend . good group try catch tour bus 8:15 ! one day able eat , extremely slow one waitress constantly tell we & quot ; ' m server & quot ; whenever would ask something . breakfast food average well . overall , good hotel spacious room comfortable bed . plus outweigh minus . 
 Aug 3 2008 	 enjoy stay serrano 	 significant much enjoy stay Serrano ! target hotel priceline , happy get great rate turn really nice property . email Mr. Antonio Flores trip , helpful accommodate late check - out request . check - in fast professional ( mention priceline reservation ) .here pluse minus room : + funky decor ( Kimpton hotel not cookie cutter hotel , be sure ! Kimpton fun , although may suit taste ) .+ Super Comfy Bed ( really important ) .+ impeccably clean ( room spotless ) + evening wine / beer reception lobby ( make one , fun ) + super helpful friendly staff- small room . ( old building , space tight . know go would actually count part charm , people different taste aware ) .In , would love stay Serrano . 's nicely run operation ! 
 Aug 3 2008 	 cheap average 	 3 day break London see friend San Francisco . hotel cheap book Kimpton 's website , discount get subscribe in - touch programme ( free ) . cost £ 60 per night really not get right complain much . the room fine although small side little noisy near elevator low level ( request opposite hotel full ) . reasonably clean although bathroom tiny angle leg sit toilet bath close one side . the air con outlet make strange rattle noise bothersome . as base go party though 's fine , location good enough despite minor issue place represent good value would stay . 
 Jul 26 2008 	 one Kimpton 's good ... 	 Kimpton reputation beautiful , boutique - style hotel offer exceptional service . serrano Hotel San Francisco disappointment . location fantastic & quot ; walkable city America & quot ; . able get mode transportation easily , great shopping nearby , great restaurant convenient . hotel run like typical Kimpton . be prepared ... downtown , space hotel feel squeeze . room small . stayed & quot ; double - double & quot ; husband , two kid , dog , luckily one night . afterwards , stay queen room , corner building , room feel perfect one person . Kimpton suppose pet friendly . though dog allow , special attention give , occur Kimptons . also , next time go San Fran pet , need choose place grass / plant around business ! except doorman , staff assist we smile . however , odd policy . Kimpton place placard bathroom let know provide case forget something . friend mention need toothbrush ( something placard say hotel provide free ) , tell get one honor bar ! $ 3.00 . hotel provide room service , not plan use early morning weekend . 8 bus catch , room service available 8 oclock morning . unfortunately , not see fine print order form count 7 meal hotel . give money Starbucks hotel across street instead . my complaint relatively small , expect exceptional service not experience , interpretation disappointing . will not stay ... sorry , Serrano . 
 Jul 25 2008 	 clean friendly 	 's small & quot ; chic & quot ; hotel . busy stay due trade show & quot ; semiconwest & quot ; service friendliness hotel staff always outstanding . everyone greet smile & quot ; good morning & quot ; . room clean comfortable . lucky upgrade Luxury Suite beautiful . & quot ; thank Mr. Flores & quot ; . kid like room tv . coffee tea great morning . oh game great entertainment kid . play different one day . location bad , yes little close homeless , never feel unsafe . would definitely go back . C. Family 
 Jul 13 2008 	 nice boutique hotel would stay 	 hotel Priceline , feel get great deal price . hotel locate right next Tenderloin , lead questionable activity walk two block wrong direction , also really close great shopping eat Union Square . since pretty familiar area , know walk avoid , location good want . parking indeed pricey , two parking garage next hotel offer overnight parking $ 30 . ' ve stay couple Kimpton property contemporary modern , like feel hotel nonetheless . room cozy ( case hotel SF ) clean well furnish . like wine beer taste lobby 5 - 6pm , even anti - social self use take free wine room ! downside call front desk ask toothbrush / toothpaste ( yup , traveler forget ) wait room half hour , finally go downstairs get . apparently front desk person forget send - apologize , inform we toothbrush , paste . tell could walk corner market pick . not big deal , since room sign clearly state list complementary item available we forgetful traveler ( toothpaste one ) , think bit discouraging . overall , think nice hotel decent location . score $ 100 / night , will not displeased ! 
 Jul 7 2008 	 nice stay Use Priceline Better Rate 	 would never think stay not winner priceline bid . Sunday night stay bid $ 80 charge $ 99 taxis . book room next Sunday Expedia rate $ 230.overnight valet parking cost $ 39.room pleasant . bed linen ok , duvet ... top sheet . business center two Macs . charge $ 5.95 15 minute access . disappointing consider hotel ' ve stay recently , include Doubletree Hilton Garden Inn complimentary internet access business center . 
 Jul 4 2008 	 great hotel 	 hotel great location -- close main transportation line , shop main sight . staff friendly . get upgrade suite simply point member . room clean hotel generally quiet . heating cool system loud though . 
 Jun 27 2008 	 nice experience well manage 	 return home today pleasant stay Serrano Hotel . please everything stay hotel seem well manage . cozy room clean , comfortable quiet . location central short walk trolley , train , great shopping around Union Square etc . employee polite helpful . would definitely recommend Serrano guest stay future . 
 Jun 23 2008 	 good hotel ... scrabble lobby ! 	 really enjoy happy hour every evening , coffee every morning , friendly staff . Chad doorman recommend great restaurant attentive need ! comfy bed , quiet room ! 
 Jun 19 2008 	 satisfied . 	 nice hotel , although especially pretty neighborhood two block Union Square . room small , nicely furnish . bed comfortable comforter lot pillow . staff friendly helpful , wine reception night nice touch . recommend one thing would safety bar tub area . difficult time get narrow deep tub nothing hold . serve coffee morning lobby . nice little cafe nearby serve reasonable breakfast . hotel four block Powell & amp ; Market Street although able get Cable Car O'Farrrell two block away . 
 Jun 18 2008 	 Serrano Grand 	 Serrano hotel fabulous , stay 4 night enjoyable time . staff helpful direction , see around city . location ideal . would highly recommend hotel . 
 Jun 17 2008 	 Great Hotel 	 Great Hotel . travel stepdaughter & amp ; hotel offer suite King & amp ; fold - out Queen sleeper . drape could close room . two armoire tv , huge bath steam shower . Jacuzzi bath another option . great location near Union Square , next border bum town . free wine happy hour 5 - 6 daily lobby fun way meet guest . wonderful bed & amp ; pillow . negative , room view . however , get decent rate that . gorgeous lobby . small , chic hotel . 
 Jun 17 2008 	 Liked Hotel Staff 	 really like hotel . staff pleasant cheerful . stay time other review hotel negatively . receive room rate $ 99 ( taxis course ) , receive use hotel website . for purpose , first time SF boyfriend 's 15th , total tourist . hotel good location . find go one night , watch street go b / c hotel locate near tenderloin district , NYC , not big deal problem . we like could get coffee morning Lobby well newspaper . also , afternoon wine beer hour free guest . wine nice boyfriend like choice beer . the con room small , comfortable clean . I would recommend hotel friend . 
 Jun 6 2008 	 meet expectation ...... 	 CONS - let us start CONS not waste time research Serrano HotelFirst , let start hotel rate . see rate $ 104.88 per night travelocity , decide book via hotel website incase want cancel well rate available Westin . call request rate , give $ 140 + . ask high compare see travelocity , put hold quick minute respond & quot ; match & quot ; . think alone decieve able knock $ 40 per night we within 1 min . second - although see review location convenient spot , night , street pretty quiet intersection Hilton locate . also seem homeless people loiter around area compare other . third - hotel charge $ 50 ( believe insurance charge ) night stay top room rate . deduct form payment supposedly return back account . either right check 48 hour check . fine actually return money back . fourth - boyfriend check , person front desk give we two key card even work hotel room PLUS charge we twice stay not even acknowledge . boyfriend not know either look online statement - thankfully . notify front desk situation , apologize contact accounting dept unfortunately tell we could not even anything . step ask , go return $ 50 insurance charge per night upon check , can not return second charge valid charge ? could even give answer try resolve . finally , next front desk person speak say try accounting dept . give we call follow business day , Monday ( leave friday ) . point - Thursday , refund make even bother contact we . believe wait expect us dispute charge bank completely insane transaction investigation dispute take week compare refund hotel - already notify delay nothing do . amount lot use debit card . fifth - give key bar locate tv shelf . tell key bar make sound like anything bar complimentary . first think drink / snack complimentary not mention pay everything ask - leave sign anywhere compare hotel ' ve stay . conclusion - Hotel really small , picture hotel give much big nicer impression hotel walk . next time visit , think stay Westin pay 50 dollar convenience , safety , security , big room staff provide even ounce satisfaction guest . PROSDoormen nice room clean . please find hotel 's either Fisherman 's wharf right next Union Square park . spend extra money per night worth . 
 Jun 4 2008 	 Good Location need facelift 	 around corner Union Square . the room spacious pretty scruffy , floor room pretty dirty , noticed walk around rom new pair white sock , sole black take hour later . the room service menu terrible , really limited , sandwich burger even fry ( exactly hard item get hand ) , asian , mood like asain food , tough lookThe business centre well equite 2 Apple pc & amp ; comfortable clair , gym also great , machine tv . the front desk staff pleasure deal bell man . it ok hotel , could good face lift . Im sure clean option available area ; go back 
 May 23 2008 	 stop look Book ! 	 end stay Palace Sir Francis Drake sell . ' m glad first two choice book misfortune lead us favourite hotel , hand ! first , price moderate consider expensive boutique hotel Union Square . option upgrade room king size suite $ 49 extra / night . well worth . room beautiful bathroom die . decor bedroom fabulously fun chic without pretentious . fact , love room much try cancel activity plan could spend time lounge amazing room ! also , bed incredibly comfortable . addition , hotel room amenity well think find discover little detail make stay even enjoyable ( board game ) .The decor lobby elevator lovely introduction hotel front desk personnel door man helpful ( pam particular front desk make trip much easy ) .Anyways , could make already long glow review even long love Serrano much will stop urge people read book room ASAP ! definitely hotel stay go back San Fran ! 
 May 20 2008 	 Poor Customer Service 	 First , book room , preference select not actually mean anything . book two bed smoking room , arrive , tell could accommodate we . great . so go room . seem ok . start unpack find pair dirty undie closet . go downstairs , tell nothing hotel completely sell night . demand sort compensation basically call liar manager duty . 
 May 7 2008 	 great location small room superb staff . V Happy 	 book via Hotwire.com get rate around $ 120 night . , superb . hotel lovely , lobby great , free wine - nice perk , staff , , 100 % fantastic . we suffer problem noise . panhandler seem common feature SF none aggressive . honest , memory panhandler charming people try charm cent ( go outside smoke frequently meet fair lol ) thing would say have pay rack rate queen room would miff $ 299 - room small could . lovely , work well , put way , tv cabinet door extend , can not get one side bed . problem , worth 300 buck mind . say - probably central sf.i wholeheartedly recommend hotel space issue . oh - free Internet , essential we travel extensively . we move Cathedral Hill Hotel - rack rate hotwire rate serrano - none charm room twice size . count lot we 5 night . put way , would stay Serrano could secure night rate . book confidence ! ( oh Hotwire fan - 's 3.5 star & quot ; thumb & quot ; boutique option area : - ) ) 
 May 2 2008 	 Great Hotel 	 recently stay Serrano two girlfriend business / pleasure trip April . hotel definitely would consider high - end boutique hotel . King Executive suite , sleep area armoire television . separate live area sleeper sofa , coffee table , desk , 2nd armoire tv . bathroom huge plenty space spread Jacuzzi tub . room could hope . bed comfortable room well keep clean . gym hotel nice , although ' use anything sauna , everything nice , clean equipment top line . the hotel staff friendly extremely helpful . concierge ' make sure always cab time us depart hotel . housekeeping accommodate service quick . hotel also hold wine reception every night @ 6:00 pm , nice add feature . restaurant tad pricy get menu limit . want eat good breakfast , would recommend walk block one many diner . the negative give hotel location . would prefer close Union Square hotel right cusp Tenderloin district many homeless people approach we location make we uneasy . depart hotel everything interest right , hill toward Union Square approx . 3 block . hotel sit right corner Taylor Street Powell , close proximity Mission / Powell trolley embarkation spot . think travel male companion location would tolerable 3 woman accustom homeless problem San Francisco . again , top notch hotel , clean , comfortable accommodating . definitely deserve consideration deal slightly sketchy area . 
 Apr 29 2008 	 great stay ! 	 find great deal hotel - $ 109 / night King room - book two night stay right away ! part , really enjoy stay . get late Saturday night upgrade suite , unexpected surprise . hotel beautiful , great detail , room clean comfortable . one small problem wall thin . often hear door slam , people 's conversation , bit annoying . addition , $ 20 / night taxis , park $ 40 / night ! safe place park ( worried might safe use hotel 's parking ) Taylor right next hotel - $ 24 / night . full get , suck , would definitely recommend it . the location hotel make easy get Union Square - couple dodgy moment , still feel safe area . overall - hotel great , bed super comfy , everything nice clean . would definitely stay hotel ... 
 Apr 22 2008 	 Lovely 	 Stayed Serrano week around newyear . quite bargain approx 90 euro 's night include taxis , consider location quality service . close shop Union Square . cable car around corner , well BART - breeze get airport via public transportation . service good : efficient friendly . room not huge , adequate . good shower , nice amenity , - importantly - great bed . leopard - print bathrobe hilarious ( good way ) . problem noise , inside outside hotel . downside window not open , create bit stuffy atmosphere . unfortunately far many hotel issue . short , excellent place stay be visit SF . odd interior end ; beat cookie - cutter hotel average . serrano deserve high rating popularity index current position 50 . 
 Apr 21 2008 	 love free wine ! 	 find hotel great review travelzoo.com go $ 100 night - definitely steal ! sister enjoy complimentary wine bar 5 - 6 . generous pourer , quickly find talk guest share story tip city . the room little small side , comfy , especially bed comforter pillow ! aveda ammenitie also nice touch . if breakfast include rate , suggest skip hotel 's b - fast head one many dinner walk union square . cost less . location great noisy . section near hotel not cross night , not trouble . definitely would recommend hotel , especially $ 100 night ! 
 Apr 21 2008 	 great location great service 	 Booked Serrano 3 - night weekend stay San Francisco . location great , be right across street Hilton San Francisco , easy access Powell Station Cable Cars , BART , muni.the room bathroom little cramp 2 double bed , downtown San Francisco , be spend time hotel room . room exceptionally clean . late check - in luggage storage handle great care . issue . favorite part stay ? every evening 5:00pm & quot ; Wines World & quot ; reception lobby complimentary wine beer . great way unwind walk around city ! 
 Apr 15 2008 	 great price / location 	 stay Serrano Hotel 5 day March & amp ; great time San Francisco . hotel close Union Square ( within walking distance ) , BART station Powell St cable car line . lot dining location choose . take BART SF Airport - take Powell St north O'Farrell head west Taylor St. make mistake head east BART walk Tenderloin District - nice area , lot homeless people . , good place stay - love evening wine service lobby board game available playing anytime . take cable car wharf - 2 mile walk - actually take awhile steep hill . 
 Apr 9 2008 	 Great Start ! ! ! would go ..... 	 great start honeymoon , little worried reading review go area . problem , yes might see odd weirdo let face see anywhere . hotel expect , room clean comfortable , honeymoon ask high room hotel oblige give we room top floor 17th something like . location handy everything ( dollar rent car right round corner ) travel San Fran would stay hotel . overall excelent start trip round USA . next stop Santa Barbara.5 * 
 Apr 4 2008 	 serrano absolutely perfect 	 return trip California / Las Vegas San Francisco first stop . Serrano sound good Tripadvisor live reputation . the room absolutely beautiful , extremely comfortable clean . review say room small find adequate spaceous need . staff extremely friendly great come back hotel day sightseeing greet smile use name . well do Serrano , husband definately back return San Francisco , make we feel welcome , special home . 
 Apr 1 2008 	 Great Location -- even Better Bed 	 Serrano part Kimpton boutique chain . relate hotel host evening wine / beer hour lobby , nice perk . check - in unbelievably smooth . stay another Kimpton ( Hotel Triton ) early week check noon walk 1/3 mile Serrano . fully expect able check , hope least leave luggage head . much surprise , greet warmly give preferred room immediately . my room 12th floor so - so view east Union Square . room wonderful -- decadently comfortable queen sized bed , sufficent armoire tv , decent bathroom bath / shower combo Aveda product . room not large , hard - press find large room middle San Francisco . room spotless immaculately tend morning housekeeping . I ' m member loyalty program Kimpton , include & quot ; gift & quot ; upon arrival . arrive room , find 16 oz . bottle spring water small box Napa - produce truffle . nice touch . the concierge assist twice -- arrange shuttle transportation airport another time make reservation party nearby restaurant . time , Chad gracious helpful . my complaint room - service adjacent restaurant ( Ponzu ) . last morning , order breakfast tell delivery would take place within 30 minute . 55 minute , call inquire order since shuttle due pick 45 minute . tell kitchen back order would ready least another 25 minute . emphasize convey different information place order would need cancel order due shuttle . within 5 minute , knock door breakfast usher room . restaurant manager deliver tell house . spite frustration waiting , felt handle well . one final note : many reviewer comment / complain large number transient area . San Francisco large city Serrano Hotel locate middle . unfortunately , homelessness sad reality city life United States . encounter one hostile transient entire stay . feel completely safe comfortable ( spend much time alone ) . Homelessness make much we uncomfortable -- . threaten issue dissuade visitor stay Union Square area . it be hard go wrong Kimpton property . 
