good 	 great location , reasonable conference rate , small clean & amp ; tidy room , free wireless business hotel ! convenient Blue Line Jackson station 
 Aug 24 2008 	 great 1 night stay 	 wife , along another couple plan trip Chicago day bike ride concert Ravinia . book Orbitz.com read many review . pay $ 150 ( tax include ) Saturday night stay pleased rate . hotel right loop 4 block union Station . upon arrival front desk staff nice store bicycle secure room hotel free ( want risk leave lock onto bike rack parking garage ) . room small , bad downtown hotel basically sleep . room recently remodel bed comfortable . window thick pane could hear little street noise . tub bathroom , since not use tub shower adequate good size . free bottled water every floor , nice . area around hotel ok . walk back hotel 2 am quite distance away never feel unsafe . overall hotel great value money would definately stay . validate parking garage 2 1/2 blcok away pay $ 19 24 hour stay - bad downtown Chicago ! . 
 Aug 5 2008 	 good location comfortable sleep small room - ammenitie 	 book priceline . next time ' m go target hotel directly Michigan Ave . instead one Adams Clark try negotiate . average value expect . say , $ 120 night Priceline feel lucky , since find , Lalapalooza Cub 's game last weekend ! pro : good location , convenient , clean , quiet , pleasant staff , microwave , mini - fridge , free refillable water bottle . con : amenity 4 - star , small room , clunky tv / remote , small bathroom , tub , view . because be business hotel not type hotel would want stay relax tv go spa , case type ' getaway traveler ' Chicago . . 's sleep . nothing . 
 Jul 31 2008 	 Perfect Fit 	 3rd time stay location time happy stay , expecially price loop . July stay birthday 5th floor . tell reconstruction room glad . bed comfortable bathroom plenty big . tub , shower nice big too . in hallway closet extra pillow , blanket , iron , etc . closet room . yes , room small , still big enough husband get around . business class hotel first foremost , Chicago always much see , matter many time . also ... stay Chicago many time stay fine hotel room much big Club Quarters , great service too . this hotel right corner Adams & amp ; Clark . short walk distanvce State St. Shopping Mall ! great british pub next door call Elephant & amp ; Castle . bread pudding devine , also website want check go . there also Giordano 's Pizza 2 block away deliver hotel . not mention Starbucks corner right outside hotel , 7 - 11 across street , great deli Wabash call , & quot ; Ada 's Deli & quot ; . always take Amtrak train , 4 block hotel . while time go see Blue Man Group ! incredible show great age , go can . we back ClubQuarters ... think next time go try one Wacker ! 
 Jul 29 2008 	 Club worth join 	 bit worried read many iffy review Tripadvisor , moment walk room anxiety disappear . though smallish compare typical modern hotel room , crisply clean comfortable , indeed , small room have 4 - star Loop hotel separate occasion . figure cost two - night stay Club Quarters 60 % comparable stay elsewhere Loop . likewise , reviewer concern Club Quarters ' location seem odd , since feel hotel ideally locate accommodate to - ing fro - ing . despite 60 year , walk Sears Tower , Ogilvie Transportation Center , State Street , El , subway , Grant Park , Art Institute not unreasonable . be also pretty handy freeway . parking self - park garage two block away , though cost half overnight parking Loop hotel . valet parking available . small sour note : though check - in Friday afternoon check - out Sunday morning quick easy , desk clerk seem otherwise swamp lobby - full traveler whenever wish inquire something . , smart little hotel help make visit enjoyable care - free . 
 Jul 24 2008 	 return 	 hotel comfortable , attractive nice amenity reasonable price . reason give 5 - star rating housekeeping service room sub - par . stay week housekeeping service bad day -- end bring towel replenish clean coffee service . everything else great . like fitness room . comfortable work lounge free refreshment use evening . print document free online service . desk staff extremely helpful , polite accommodating . room quite small nice comfortable . fridge microwave important not like eat out . I need go Chicago two week year go back Club Quarters ! 
 Jun 30 2008 	 stop use priceline place 	 got assign place priceline guy family come Chicago weekend catch Cubs game . hotel , forever swear priceline . room small University Chicago dorm room living time , furnishing spartan . clean , kind like Motel 6 term amenity . unlike Motel 6 , ( happen like , way ) $ 29.95 
 Jun 27 2008 	 good location friendly staff noisy 	 hotel well locate centre Chicago , block away many important location . staff friendly bare bone level , take long time check , especially late afternoon . the room small clean . problem noise . construction go be wrong room , be wake 7 bang drilling . room face back hotel , right garbage can , continually disturb midnight truck bang around . 
 Jun 25 2008 	 great hotel bit way 	 hotel nice room luxurious little modern . service excellent . downside location edge centre bit trek lively place . many bar , etc immediate vicinity . overall though good place stay . 
 Jun 23 2008 	 small room unique value - add partially make 	 stay three night early June 2008 - book online withexpedia . the good : - Free filter water & amp ; bottles- Good business desk internet access- Location - lot good place eat within walk distance - reasonable fitness facilities- great shower head hosethe bad : - renovations front facade hallways- small tv face bed area comfortably ( get sore neck strain see it- fairly small room - quite Manhattan bachelor apartment , whole lot room stretch 
 May 28 2008 	 would stay 	 right financial district safe area town . Elephant Castle restaurant connect hotel , good food . one thing keep mind get charge something like $ 15 rent hotel room night go state Illinois city Chicago . room nice , desk wifi able connect laptop get work do . right street Sears tower . 
 May 22 2008 	 great find ! 	 stay town friend wedding ... great little find ! hotel immaculate location perfect . within walk distance number EL station plenty food nearby . price completely reasonable quality location ! 
 May 16 2008 	 great room great location .. 	 boyfriend stay 3 night enjoy hotel immensely . book Expedia $ 105 CAD per night . room modern , clean bed comfortable . washroom great ... love stand - in shower rather traditional bath style . front desk staff responsive friendly . room tidy clean nice daily . non - recommendation location . locate financial sector downtown .. approximately 15 minute walk distance Magnificent Mile , fun place ! feel uncomfortable walk back hotel night . visit Chicago , would probably stay hotel Magnificent Mile . tip : - famous Chicago deep dish pizza not great.- Cocktails Sears tower building not great either window seat usually always taken.- boat tour must ! ! ! - shop great Magnificent Mile area ! 
 may 11 2008 	 aware - hotel renovation choose room carefully 	 hotel renovation/ construction , room stale musty smell , ( try 2 differnt room ) hallway noisy ( floor 4 ) , combine alley view 2 trash truck alley . think bad possible room hotel - understand room rate good , would rate 3 star hotel . 
 May 4 2008 	 steal aware 	 purse get pick pocket revolving door hotel . hotel employee front pay attention vigilant 's happen watch . management notify , say not & quot ; responsibility & quot ; take interest . 
 Apr 16 2008 	 absolutely Love Hotel Service ! 	 recently stay hotel skeptical bad review . construction still ongoing , hotel 's staff top accomodate go beyond common courtesy assure stay wonderful . dust incovenience . critical person come cleanliness , especially customer service . staff helpful informative . room service fast ever experience , ! & quot ; always & quot ; someone available 24 hrs . day always extremely professional well keep . receive help personal item require assistence one 's make suggestion create work . always stay hotel stay Chicago . area centrally locate many convenience nearby , . room little small side , perfect , include cleanliness ! 
 Apr 9 2008 	 great choice one - night business trip 	 book stay Hotwire conference fine hotel ' win ' . stay Club Quarters San Francisco expect small room limited amenity . surprised see fridge microwave room . nice perk . unfortunately bed horrible -- -there indent resemble bowling alley lane middle bed . pillow soft neck hurt next day . the service fine ( extraordinary ) . definitely recommend cheap one night stay . 
 Mar 11 2008 	 good deal loop 	 stay attend wedding July 2005 . know small , business person hotel pleasantly surprised size room . room spacious two people bathroom also large . staff friendly knowledgeable area L block away . 
 Mar 11 2008 	 Perfect Business 	 sure problem reviwer reference . recently stay Club Quarters could tell renovate renovation handle professional manner hardly notice . business traveler experience far bad renovation . internet perfect , feel secure downtown Chicago , room spotless bed comfortable . could pay $ 100 street little room feel get great value . Morenique Aaron incredibly helpful front desk . 
 Mar 2 2008 	 check early move another hotel ! 	 renovation hallway lobby ? mean dust , fume , dust . one mention book . night cough , swollen eye , sleep , move . oh , shut restaurant week day 's notice . internet not work properly outgoing email not send time . offer reduction price ? course . dollar , move less 2 block away hotel normal sized room , much comfortable bed , heat work , really pleasant helpful staff rather people watch tv talking problem . never - ' ve stay many time - time one problem another . be cheap 's reason be cheap . use say least clean . well , time . 
 Feb 28 2008 	 construction woe Club Quarters Central Loop Chicago 	 partner check Club Quarters Chicago Central Loop two week business trip . inform check would move first room 6th floor day , construction schedule begin . hotel 's plan move guest around construction progress : supposedly move renovate floor . day room switch , discover move construction zone . renovation new floor complete plan : ceiling hallway tile -- wire hang , pipe expose . plastic sheet hung front area construction ongoing . hallway paint wallpaper -- electrical socket faceplate . whole floor smell dust , paint , etc . note management guest room switch thank we cooperation , beyond belief -- hotel guest could reasonably expect stay circumstance . hotel manager upset complaint ( doubt one complain ) wrangle offer move we Club Quarters mile away . accept offer . know whether offer make everyone affect . hotel never expect guest pay sub - standard accomodation . delay start construction new floor room ready occupation another floor . accord management , construction complete June 2008 -- consider stay Club Quarters -- warn ! ! 
 Feb 15 2008 	 would stay 	 lower expectation due feed back read guest comment . it be true room small side helpful staff location make room size . there three we staying room need roll away bed . need upgrade & quot ; Premium & quot ; room space roll away . premium room fridge microwave handy leftover . room clean good repair . free bottled water elevator nice touch . I ' m small town difficulty find parking garage approximately three block away . Joseph work night desk walk half block point way . impressed would go outside cold night help like . note regular public parking rate $ 38 day . Club Quarters validate ticket reduce rate $ 20 day . we also come home early one day startled maid throw routine . going replace empty Kleenex box forgot scurry room . quickly chase ask get Kleenex apologize four time forget leave new box . nothing positive experience staff deal with . the hotel also offer complimentary wireless internet helpful checking schedule activity site see . the location perfect right heart downtown . happy location would surely stay hotel . 
 Feb 12 2008 	 bad thought ! 	 go husband business trip Chicago . week go good week , snow / rain entire time . last trip honeymoon St. Lucia , mindset still 5 star quality ! ! ! little hesitant see picture room .... actuality , not bad . suite little extra room . sort strange long narrow room . bathroom tiny , not enough room unpack toiletry . view course alley , sort bothersome . since hotel aim business traveler , give necessity , nothing past . nice free bottled water hallway . check workout room third floor . adequate , couple treadmill weight machine . although say request workout machine bring room . food pub downstairs ok , great . plenty room service available , menus restaurant deliver . favorite meal pizza / italian place right around corner hotel , forgot call ... gordono something ? anyways , really good . want sight seeing go signature Lounge Hancock building . nice . also fun skating outside rink Millenium Park : ) Michigan Avenue need store shop . hotel ok . great , bad . 
 Feb 5 2008 	 Hotel remodeling January 2008 	 hotel undergo renovation 2008 , part first floor close . hotel generally well Club Quarters visit DC , New York Chicago . staff professional attentive . the hotel also appear clean well keep . problem room fix day report they . this good hotel choose work financial district ; many thing area close night , usual Chicago attraction far away . nevertheless , hotel connect & quot ; Elephant Castle & quot ; restaurant , Starbucks corner . 
 Jan 23 2008 	 so - so 	 hotel thing go - 1 ) great location , 2 ) clean , 3 ) neat pub first floor . however , extremely tight . wer not expect spectacular view view alley little grim . thin fiance , feel like could barely even get room . think may coverted 1 room 2 room around hotel . also , be bathtub - small shower shower curtain cause water leak floor ... would go back - much rather go Embassy Suites Doubletree . 
 Jan 12 2008 	 good stay frill 	 central location Loop , convenient train , good restaurant adequate shopping nearby basically business district unlike Magnificent Mile area 's quiet ( = dead ) night . although CQ know small room , quite spacious clean nice furnishing . fridge safe , though . construction go front building ; management say would put we another room noise problem never hear . room little chilly day warm evening . interaction staff except check seem ok . one thing really appreciate even though show 7:00 a.m. red - eye flight O'Hare let we check room right away , hassle . amenity include computer room small exercise room . free coffee usually available lobby ( always construction go ) . internet connection available room ( fee think ) not use it . all satisfied , especially since get reasonable rate internet , basically use base work entertainment expedition . be look place full range amenity probably will not want . 
 Jan 1 2008 	 frill good 	 little skeptical staying since review good , pleasantly surprised greet nice lady lobby , help check use kiosk . it be true ... room stay small ( european - size ) , especially bathroom , price pay Hotwire , decent accommodation downtown Chicago . be light sleeper , slamming door might bother , tired explore city hear anything . locate financial district , nice quiet hour pleasant walk Michigan Ave close beautiful Millenium Park . parking bit hassle since 's on - site , $ 19 / night compare average $ 30 - 40 / night elsewhere , ok especially be budget . for good breakfast , try Lou Mitchell 's near Union Station cafe ( even Starbucks beside hotel ) not open Sunday morning . 
 Dec 25 2007 	 yeah good location .... ..... 	 stay Club Quarters July 2006 . 2nd stay particular Club Quarters visit Chicago . first trip 2004 . rate .... reason stay second time cause 1st experience grand . not know happen 2nd time around , cause nothing really right time . 1st time go , friend go Chicago short notice short wknd need hotel stay not far everything come across Club Quarters search online finally find place centrally locate downtown good price . ( like $ 98 per night ) ... downtown Chicago , that s bad . location GREAT . carefully read review , take chance see neither us picky people anyway . 1st time Chicago , kind expect small room , cause seem 90 % review mention . yes , room small be not type require much space , do not care . room time anyway . 1st stay great , 2nd stay ... scary . the room FREEZING . air would't go even ! ! ! ! ! ! complain never move state booked weekend . be # 1 answer complaint front desk ? ? secondly , parking . park like 3 block away hotel , WALK back . TERRIBLE ! ! ! , also be not case 1st time go . hmm ... anyway . yes valet , insanely expensive price time . not know be change . say lobby pretty part , hotel quiet stay . occasionally hear people room next enter leave room , part ' r recall constantly awaken noise . overall , & quot ; okay & quot ; ... guess . 2nd experience , will probably never stay . 
 Dec 24 2007 	 Great Location Value 	 rate AVERAGE + great location travel train , 3 block Union Station . easy walk theater district bad walk Michigan Ave shopping . star buck Elephant & amp ; Castle Pub djacent 24 hour 7 - eleven across street . small , clean room well lay everything possibly need . see much small room Chigaco money . get excellent rate tis stay Hotels.com . computer internet lobby nice desk clerk helpful polite . would recommend single couple go Chicago visit . planning stay week . 
 Dec 19 2007 	 nice location small room 	 book trip Hotwire do not get choose hotel . location price great though list 3 star hotel . Im 6 ' 4 consider read far . everything hotel small ... lobby , elevator , hall , room . room tiny bed , tiny window , tiny bathroom , overall small . be not bad since do not anything sleep easily small hotel room I d ever see . hotwire price can not complain though . hotel within walk distance Sears Tower , Lake Michigan , Chicago River , Magnificent Mile . take subway wherever want go . many place eat around hotel walk several block away . subway station 2 block either way . overall decent hotel , suit small people travel alone . do not think room one bed . 
 Dec 19 2007 	 efficient 	 great location within walking distance everything South river , business center locate . great food theatre within short walk ... 
 Dec 19 2007 	 Great Hotel Affordable Excellant Location 	 Pro 's Con 's hotel . front desk awesome . especially Joseph- super informative helpful . call O'hare Airport ask get hotel . give step step direction litterally take way door . book shuttle trip back airport , instead tell information , may forget , type . anything need , good get , find alternative . Hotel Pros . Automated Check ... never see , thank JosephVery clean roomsfree WifiFriendly staffcon . Super Small RoomsPros weigh con opinion . I stay . stay everytime I m Chicago . 
 Dec 18 2007 	 Great Place 	 recently stay Club Quarters - Central Loop . place clean nice room lobby computer , cookie coffee . room although littler small amenity need something else front desk staff get . Aaron , Alyia Marcus tend guest quite knowledgable area restaurant . would stay sure agian , can not beat price . 
 Dec 3 2007 	 Club Quarters- Terrible 	 stay hotel . hotel bad hotel ' ve ever stay at.1- hotel staff EXTREMELY rude . lay - back low key person could believe rudeness personal conversation , gum chewing , overall lack personal care check , check ask staff question direction . hope would least fake smile make eye contact . would get well service comatose monkey.2- Valet parking joke -- valet front circle 4 time call car front desk ask & quot ; valet & quot ; ? finally came state & quot ; $ 36 per night - save money & quot ; WTF ! ! ! ! ! ! ! ! 3- room extremely small bed little big twin bed . ' m think be fine ' m pay $ 169 per night . worst -- put feather bed top bed make & quot ; nice & quot ; feather poke prick skin night . think bite bug first -- - turn feather feather bed . extra sheet nothing put top that . I would never ever stay place . stay friend mention locate need . worth money -- even rate cheaper -- -YOU REGRET ! ! ! ! ! SUCK ! ! ! ! 
 Nov 18 2007 	 eh ... ' ve stay well ' ve stay bad . 	 first trip Chicago get room priceline.com $ 100 per night . go 2 people share room room . room two people two TWIN bed . could not believe eye ! never see twin bed hotel life . two grown man say feel like summer camp slumber party . first room also two bed , front desk accomodate let switch right away room one full size bed ( also extremely strange ) . however , go get room key , front desk clerk jokingly suggest might problem guest tell come back get room view . yes , absoloutely view except alley another building 1/4 size window . however happy enough sleep twin bed . the room nicely contemporarily decorate , overall hotel layout still odd ( like enter room angle , really small hallway , weird window , tiny terrible tv ) . stang part entire experience sign bathroom say something conserve energy water , replace towel every day ( also bedsheet ) . however , would like replace towel second day , may place bathroom floor happy replace fresh towel . well decide need new towel first night , place towel floor replace . long day , get back hotel go take shower . hotel staff take dirty towel not replace towel . literally one towel entire bathroom . call housekeeping , apparently close 5 6 pm get transferrre front desk . front desk send someone incomplete set towel 25 minute . find annoyance inconvenience remainder trip never put towel floor fear would replace . last part want discuss checkout process . purpose trip business one people travel put room company credit card . day check , get catch business meeting advise hotel check late . even though tell would done 3 pm , never tell we would incremental charge $ 30 1pm-3pm another $ 36 3pm-6pm finally 6 pm another $ 216 ! ! ! check 5 pm ask place charge original card , demand see ( fortunately coworker still ) . plus ask pay room service separate personal credit card , tell would problem take card . however next day check credit card statement charge room service late room fee credit card yet refund money . good thing hotel centralize location , bottled water machine , bar / restaurant connect hotel ( last call 12:15am Friday night - totally odd New Yorker ) , lobby lovely little room internet coffee tv 5 time size one provide room . nice amenity way make hotel lacking . would stay ? . definately . many option large , lovely city waste time Club Quarters . 
 Oct 30 2007 	 Par ........ 	 stay Club Quarters loop location night Oct. 19 & amp ; 20 , 2007 . get rate $ 95 / night Priceline.com . put & quot ; standard & quot ; room , consist double bed , small desk , nightstand , small bathroom . big complaint bathroom . small cramped room put toiletry -- one shelf 5 & quot ; wide 20 & quot ; long , be . also , bathroom fan , seem something wrong flush valve toilet , toilet drip water night long . iron iron board room . room quite noisy night -- could hear sound traffic , siren , l - train . plus 's -- front desk helpful , room clean . probably would stay . 
 Oct 24 2007 	 Fantastic Hotel 	 go Chicago visit friend attend Taste Chicago . hotel perfect location event . 5 block walk taste , Columbus Drive . hotel clean , nice , large room . highly recommend staying would definitely stay . 
 Oct 8 2007 	 adequate ! ! 	 find package Travelocity inclusive airfare . yes room small , clean extra touch free wireless access , also nice touch complimentary bottled water hallway . staff accomodate , thing hold luggage arrive early also leave late afternoon Ohare . nice exercise facility , although three four treadmill work . overall great value would definetely go back . also assume site British Pub good always pack , never go . take blue train Ohare walk one block hotel ! 
 Oct 2 2007 	 great hotel . nice room Great Bed 	 nice hotel . stay 2 night . ask extra pillow roll away receive promptly . room clean modern . get room priceline , decide upgrade suite . nice room . 2 room big regular room . staff excellant . bed good also . thing not like put key elavator every time go room . would stay . 
 Oct 1 2007 	 Great Hotel ! ! 	 read review hotel , expect arrive room size matchbox . surprise 's large previous guest describe . room small kitchenette ( microwave , sink , utensil , plate mini - ref ) . layout great everything seem well maintain . starbuck build 7 - 11 across street . hotel block away blue line , use train go city o'hare ( $ 2 one way ! cheap ! ) EL train station also close go tourist attraction easy . try buy ride - all - you - can cta ticket , be well worth price . free wi - fi internet bottled water . hotel great find ! 
 Sep 17 2007 	 Positive experience 	 hotel recommend want Loop get good deal . single small , ' ve lot small , clean comfortable . shower ( tub ) odd , long nozzle take use like hose . little fridge work well , sink , tableware micro not need . get ice bucket third floor , also washer dryer ( free ! ) couple computer internet access printer ( also free ) . two computer pleasant lounge , get toothpaste toothbrush front desk . location big factor , though - easy walking distance El airport , close Loop attraction . one complaint hear neighbor 's tv loud . not try restaurant . 
 Sep 8 2007 	 Great Hotel - Great Location 	 arrive subway middle day . ride bit long ( 55 ) minute O'Hare , cheap . Jackson ( blue line ) block away hotel problem find hotel . exit subway hotel room approximately 10 minute , check fast . stay third floor , view not spectacular nice . room clean seem well keep . room not huge , hey downtown expect . mind smallness room plan take break sleep . really enjoy location hotel . couple block Sears Tower red blue line . location make easy travel anywhere fairly quick . great stay would definitly recommend hotel . plan return Chicago near future stay Club Quarters . price definitly well downtown hotel . fairly picky cleanliness problem Club Quarters . hotel well keep efficiently run . 
 Aug 9 2007 	 upgrade Hostel 	 room small date dorm room 15 year ago . room ready time . share co - worker rearrange TWIN bed would not jump bed get restroom . everything room old wear . 
 Aug 7 2007 	 great find - efficient hotel 	 use Trip Advisor , book stay Club Quarters thru hotels.com . $ 40 less per night hotel consider close enough walk business meeting location . I able take Metro Orange line Midway Loop , exit Quincy . hotel 3 block away , save time cab fare . a small lobby need room key access elevator contribute private club feel sense safety . note review , room quite small , contain essential - a comfortable bed , work desk , free internet access , cable tv . bathroom - small efficient essential . I order dinner restaurant downstairs - the Elephant & amp ; Castle . good fish & amp ; chip deliver within 15 minute order , pipe hot . Starbucks corner , although hotel complimentary coffee lobby morning . 7 - 11 across street . great location , good price , complaint . 
 Aug 2 2007 	 Good Location Good Value 	 last week , attend national conference Chicago . organisation put conference suppose obtain hotel reservation one number place , reduce , negotiate rate . never happen . last minute force look . ' ve price downtown Chicago hotel know horror discover . after call handful hotel conference list tell room would cost , least , twice conference rate would go on - line service . there really not anything downtown offer except Club Quarters . read poor review seem settle fact room small . picture post seem bear description . but conference good schedule activity plan evening , need big room ? room exactly post photo indicate . bathroom clean exact bed spread photo . ' ve stay mid price european hotel room seem small . service worker Chicago - general - friendly . counter staff bit well average . clean staff restaurant staff nice helpful . size room help keep cool , nice come back trapse around downtown Chicago July . door staff seem attentive people coming go add safety feature need room key use elevator . order food , four different restaurant menu post room deliver hotel . there garage . not mention criticism , comment . hotel nicely locate ambulatory , could stay never need car . Red Line CTA station block away come airport get almost anywhere . could take conference , blue club , restaurant , even Wrigley Field catch Cubs game . at half price & quot ; cheap & quot ; downtown hotel , next time save hassle try get conference hotel look CQ deal . 
 Jul 25 2007 	 ok . 	 stay one night business trip May . airport , take El make long trip . walk nice El station hotel . lobby gorgeous , especially lounge pub attach . however , room big closet . barely room move light work . exhaust business meeting , settle turn bathroom light go thing . husband come , would enough room two us room . could access bed one side T.V . hang desk , one person could see . air conditioner run night , although turn , strange trickling noise come vent try sleep . bright side , bed comfortable nice pillow soft sheet . in end , not think would stay , unless know could get big room ! 
 Jul 9 2007 	 hear Club Quarters ! ! ! 	 place awesome . clean , comfy well lay . even bottle water ! staff friendly pub downstair good food . GREAT LOCATION EL station close . back 
 Jun 25 2007 	 Location location location ! 	 Club Quarters heart loop — walk distance Art Institute Millenium Park , two block blue line train O'Hare , close shopping , theater , unpretentious modern well design , spotless , quiet , welcome true value city know reasonable hotel rate . small large - enough room great city view well microwave mini - fridge . still can not get good luck find little gem . never hear Club Quarters seek city . 
 Jun 19 2007 	 reasonably PricedGood Location 	 stay Club Quarters Central Loop long weekend vacation . many note , room small , efficiently lay problem . room clean , staff courteous . seem neighborhood much business orient many place closed weekend , short walk many ' touristy ' site . train stop within block could get anywhere want el walk . one thing aware king size bed actually two twin bed . bed comfortable unless lay center , could get elbow stick two mattress ! think queen would comfortable line middle . , good hotel money , would stay could get good rate . 
 Jun 15 2007 	 great hotel great price 	 hotel half price downtown competitor . stack every good hotel ' ve . look pamper service not desk folk polite busy preoccupy . however room clean , well keep comfortable . associate pub impressive breakfast ( bit greasy ) hear leave dinner comment smoky loud . block restaurant call think good short walk . would stay . 
 Jun 9 2007 	 good central Location 	 moderate priced hotel Chicago price get rather high . room small . not tiny yes small clean well maintain . short city business stay perfect . shopping serve purpose perfectly location great / safe easy walk city central area mag ' mile . Metro / train airport close within minute central loop . I would stay . functional hotel reasonable price comparie location downtown area . bar restaurant location / next door try always busy . 
 Jun 5 2007 	 Great Hotel ... keep read info 	 skeptical staying reading review size room ..... two room . club room superior room . club room small size , bad people make .... spend hardly time room really matter . superior room average size hotel room . sit area / desk kitchenette whereas room . hotel clean , free access computer / printer , nice club room lobby daily paper , game , flat screen tv . floor access endless amount free water bottle ! location great , 4 block park 2 block train state street shopping . would defiantly go back ! 
 may 30 2007 	 great location 	 note review , room small , clean quiet . staff not particularly friendly , unfriendly either . pub restaurant premise excellent . location ideal , locate close train bus route . 
 May 17 2007 	 nice place + cheap = Best Deal ever ! 	 head Chicago long weekend end April . not want spend lot hotel flight free feel like bum around near museum & amp ; architecture , shop magnificent mile . we find Club Quarters - Loop Travelocity . $ 99 night sound good true , figured suck could go somewhere else . even though W block away , reason leave cq.the location great - easy in / out Midway since be Loop area - be one hop away entire city . CQ look like clean , efficient business - orient hotel , nice furnishing , 15 % small . room small , plenty room two we . lobby little narrow hotel - hallway ( 7 ) seem little narrow , claustrophobic . employee seem regular size . there starbuck build pub restaurant well . financial district get slow weekend , nice 2 place open nearby . course 2 3 dunkin ' donut within walking distance , not go hungry . the CQ popular young kid weekend - talk bachelor party club waft around floor . room quiet . can not recommend hotel enough folk budget traveller , typically stay nice hotel ( plan Burnham find CQ ) , not fussy can not & quot ; rough & quot ; day ( not feel rough ) . 
 may 11 2007 	 great place price 	 stay one week - end night pleasant experience . room $ 130 , great deal consider location hotel ! sweet price quality stay . room clean spacious , place quiet relaxing . people work front desk seem warm friendly . important mention , job do correctly time - effective manner ? hotel offer two type parking ( everybody already drive Chicago know find parking place become expensive nightmare ... ) : self parking two block away $ 20 per 24 hrs ( drawback : in - and - out privilege ) valet parking $ 36 per 24 hrs ( request car many time want ) . choose valet parking everything go fine . return Chicago next month definitively book room hotel . 
 May 9 2007 	 back ! 	 panic huge convention gobble room Chicago . luckily , find CQ great rate . take Orange line Midway , exit Quincy walk around corner right door . GREAT ! friendly staff welcome we , hail taxi , give direction , etc . funny thing , one poster mention not explain use card elevator . lucky , happen month ago aware ! room 529 , corner , view . bottom half window frosted privacy . first , not like , want check rain , etc , could stand chair . blind work well keep room dark quiet except normal door noise . room seem brand new- stain , tear furniture , etc supremely clean . sheet okay , pillowcase deluxe ! room small limited storage- two drawer desk closet . iron . frig mini bar , coffee maker real ceramic mug ! easy use digital climate control . tub , spacious shower great removable shower head . small countertop shelf storage . swivel makeup mirror bathroom small hairdryer . tv 25 & quot ; place table angle , free HBO , Showtime rental movie . pleasantly surprised workout room . 4 Cybex treadmill , Cybex elliptical , one true elliptical , 2 bike , one regular , one recumbent . also free weight , machine space floor work . room 2 tv channel list wall . also scale , water machine towel . not eat british pub style restaurant , Elephant Castle . not serve breakfast , btw . menu pathetic vegetarian one entree- veggie burger- meat free salad pasta . hey , be Chicago , well choice short walk away time ! another nice touch water bottle dispenser elevator . bottom line , pay lot $ $ $ spacious room , toiletry , etc save money great shopping , restaurant , etc stay place need . stay long day , might miss storage space . however , ' m use living suitcase satisfied guest place ! back ! 
 May 3 2007 	 nice room ... great deal 	 get room 149.00 per night . great deal consider right central loop ! must gotten one big room floor ; right elevator ... one person ; would happy small place . update decor mini fridge wet bar , microwave coffee maker ! bathroom little small ( counter space ) room right elevator pretty loud , deep sleeper not problem night . plus bed far away side elevator ... window . btw , bed comfortable , probably get well sleep , bed ! view ally could see people office building pretty clearly ... business , view not matter . nice desk set laptop also wifi work great ! problem card go elevator get room ; not explain , maybe be norm Chicago big city .. idea door shut luckly someone elevator tell . card stop work ( along guest ) get card ( re - magnitize ) . check id , feel confortable ... doorman front desk people nice helpful , look lose , would help . starbucks downstairs corner , nice . walk Sears Tower , many resturant near . would stay ! thank Club Quarters ! 
 Apr 30 2007 	 Great Location Great Price Great Hotel 	 want arrange stay night Chicago see play , & quot ; Wicked . & quot ; improved weather Spring Summer , increase pricing hotel . pleased find Club Quarters web search . not know expect never hear . ' ve stay Chicago four time last eight month . read Club Quarters review Trip Advisor find people pleasant experience . find hotel quite lovely . bed great well pillow . yes , room small ( cozy ) noone expect spend lot time room downtown Chicago . pleased accomodation . Chef Salads select restuarant show right . would stay ? heartbeat . 
 Apr 19 2007 	 location good hotel acceptable 	 Booked Orbitz $ 80 night weekend really could not complain . hotel couple block subway ( blue line bring straight O'Hare couple dollar ) . business district little quiet weekend walk town find varied selection bar / restaurant . Elephant & amp ; Castle pub / restaurant attach hotel good drink like fake british pub . food great find rather smoky easy option . our room small american standard perfectly adequate 2 we ( 1xqueen bed ) . 6th floor face Adams Street ( ask high room read previous comment noise ) . think 8th floor high . hotel really quiet no - one next door we . whilst simple modern decor thought room ( bathroom particular ) look little tired & amp ; could repaint . bathroom small shower ( tub ) - problem aware child large average . only 2 pillow bed want . room instruction say available & quot ; Guest Amenities & quot ; closet locate floor . look closet find 2 pillow neither cover stain ( nice ! ) .room would benefit safe guest use . one . machine floor empty plastic bottle dispense drinking water fill nice touch . staff friendly . particularly cold April weekend concierge always open closed door behind we . front desk staff always acknowledge we come . Felt reassure requirement elevator use room key operate - good security measure . whilst understand previous reviewer full situation can not really comment interested note observation take hour concierge find person chair . large guest lounge lobby see plenty seat . fail bar / restaurant lobby side . perhaps different hotel ? 
 Apr 11 2007 	 Rudest concierge ever 	 stay 5 day Club Quarters . excellent location people interested architecture , bedroom dark spacious clean . come hotel concierge would answer greeting . last day suffer accident breakfast ( outside hotel ) come back hospital , groggy use crutch , doorman even help get taxi hold heavy door hotel open . wait hour shuttle would take airport , concierge fail arrange chair glass water . ask 5 time wait almost hour chair , give water . exhaust , pain , explain concierge , barely look , treat worm . good hotel would pampered person distress , Club Quarters service particularly rude uncivil . write letter afterwards , answer properly apologetic . 
