hotel 	 husband , mother inlaw stay 3 night lovely hotel . moment step taxi welcome feel ease . staff friendly helpful . room quaint warm , one could ask anything far amenity go . turn service include light candle side bath , nice touch one could help enjoy long bubble bath . resuraunt cozy homelike food wonderful . look forward go future . 
 excellent service perfect location 	 second stay Milestone . charm truly exceptional hotel . service excellent . enough . highly recommend . 
 Food Service need Good Rooms 	 stay weekend November , 2009 . hotel great location lovely public area . reception staff great doorman really friendly show we room . room lovely , well furnish big bathroom - generally high standard . the place hotel let come food service restaurant . eat dinner hotel experience dinner breakfast service bit chaotic . first day ask quite time room number serve omelette not order . food come ok nothing special - would expect something bit ordinary room rate hotel charge . on second day wait around 30 minute breakfast & quot ; everyone turn breakfast time & quot ; . surprise London hotel weekend . Whislt wait breakfast , ( friendly ) staff wander around look bit confused really achieve much . get breakfast serve waitress forgot bring milk , forgot pen , forgot notepad , etc . etc . seem quite disorganised . our third day well - hotel encourage people take breakfast bed . service still little odd . day get milk , . day 's honey table . order two course breakfast might find show time . generally , great hotel would recommend make sure either get good deal include breakfast start day elsewhere . 
 Milestone apartement - perfect base London 	 stay Milestone apartment September 2009 2 year old son nanny . the apartment perfect choice , offer beautiful traditional decor like rest hotel , space kitchen . public area hotel beautifully decorate . rather small side not matter give hotel intimate feeling . our apartment beautiful , full light amenity , service twice day . marble bathroom specious huge bottle Penhaligon 's toiletry . bedroom plush matching drapery , carpet , bed canopy wallpaper traditional english style . location hotel great , right across Kensington Gardens close major attraction great shopping . staff helpful knowledgeable . truly home away home London . 
 superlative true ! 	 book hotel American Express , cross reference London hotel book Trip Advisor . milestone high trip advisor review , choose family four happy do . if look authentic holiday London , think find follow true Milestone Hotel : location : excellent , ; 5th floor room wonderful view Hyde park Kensington Palace . short walk Park , Palace Orangery serve lovely tea cake . also short walk South Kensington tube many small restaurant . roughly fifteen minute stroll Harrods Harvey Nichols , approximately sixteen pound taxi ride , ( traffic ) british museum . check check : excellent ; efficient , welcome friendly . room : excellent ; elegantly tastefully appoint , immaculately clean , fine linen , comfortable bed pillow , cozy . marble bathroom also perfect -- clean new , great water pressure ... room service restaurant : excellent ; much enjoy dine Milestone . server manage strike perfect balance friendly attentive , yet intrusive . happy learn history hotel whilst enjoy hearty english breakfast . husband son could think well way begin day . daughter particularly enjoy afternoon tea fire , surround book . concierge : excellent ; knowledgeable , friendly helpful . lastly , visit England love history . could bear , , large chain hotel could anywhere world . end , people encounter travel , think , make journey enjoyable . gratify we encounter Milestone speak english knowledge history legacy . last trip England year ago , stay Mandarin Knightsbridge , , lovely many way , could hold candle Milestone . we wonderfully memorable holiday Milestone would happy return.high mark activity teenager : Sherlock Holmes museum , International Friends tour Stonehenge ( Nicholas drive Pat guiding ) , pub fun well , Army museum also well do . 
 Apr 20 2009 	 world luxury service ! ! ! ! ! ! ! ! ! ! ! ! 	 husband stay Milestone Kensington say enough much enjoy stay . upon arrival advise upgrade suite pure luxury . give personal tour hotel show we facility ( include pool gym ) take room welcome glass champagne . room huge overlook Kensington Gardens although hotel hub everything peaceful relaxing . room everything could want - wide screen wall mount tv , cd dvd player along access library cd 's dvds , huge 4 poster bed luxurious bathroom . unpacked , enjoy delicious champagne afternoon tea . experience many London hotel afternoon tea say one good value money . dine restaurant evening lose count number wine available enjoy dinner ! every member staff know name make we feel welcome . bar intimate lounge comfortable good selection cocktail . when return room maid turn bed , light candle leave sweet pillow soft music background . even weather forecast next day ! every member staff friendly feel like nothing much trouble . normally , would able pick one member staff stand customer service say occasion every member staff exceptional . the location superb Kensington Palace garden across hotel London 's high quality shop within walk distance . I definitely return Milestone would recommend anyone look luxury excellent customer service ! 
 Mar 30 2009 	 Dream Hotel 	 hotel everything important , comfortable hotel yes , luxurious hotel also , stand we care attention staff , throughout charming establishment staff smile , enjoy work , love job , show speak , force smile here . yes London term bit expensive , british pound US Dollar , money well worth spend . we plan evening Albert Hall see Carmen meet star beforehand moment walk hotel nothing much trouble , Doormen , Waiters , Concierge , pleasant chap take we around Hotel show we Restaurant history charming establishment early London time . we nothing complain , often say Hotel , may scoff say , pay £ 400 one glorious evening , superb night sleep , wonderfully fresh cook breakfast , superb late night sandwich lovely lunch , well say , great two day , largely due Hotel charming pleasant staff make feel though King Queen short time stay , Thank Milestone , pleasure come back someday soon . 
 Mar 25 2009 	 penultimate hotel experience 	 wife stay Safari Suite layover trip home LA African Safari . minute hotel 's Range Rover pick we Heathrow , feel royalty . hotel accept extra luggage ship state evening clothe would carry bush : get we ticket West end show , arrange lunch British Museum Cafe , dinner reservation night . hotel restaurant wonderful ! little extra amenity , include tea every afternoon minibar selection unsurpasse . stay Four Seasons , Wyndham , Klimpton , Intercontinental , Chateau & amp ; Relais , numerous boutique five star hotel , must say outside safari camp stay , favorite hotel world , literally . romance , Safari Suite wonderful . 
 Mar 22 2009 	 Perfect 40th Birthday Party Overnight stay 	 24th January year ( 2009 ) celebrate 40th birthday Milestone Hotel private dinner 34 people Windsor Suite . husband respective parent ( well guest ) also spend night . give Mistinguet Suite one memorable room ever stay hotel . experience fantastic . initial booking planning stage night , everything run smoothly professionally coordiante Stefan Otto , F & amp ; B Manager . on night , Windsor Suite look wonderful staff fantastic – attention detail service unsurpassable . guest comment delicious food say lamb well ever chocolate cake sublime ( even well one try menu taste ! ! ) . also impressed butter salt introduction Stefan give ( lovely little touch ! ) . champagne reception lounge last morsel birthday cake 1 am , everything perfect .Our room beautiful kind gift champagne touch candle canapés help make whole experience one remember year come . 
 Mar 22 2009 	 perfect ..... exactly need 	 wife plan romantic weeekend getaway London , decide stay beauitfully theme hotel , somewhere individuallity , certain special character ... say make good decision stay milestone.our room overlook park , theme Saville Row , beautiful cosy , warm ... breakfast delicious tasty , fireplace lobby extremely cosy . I admit do not praise staff , deserve salute , helpful , kind always smile , add nice personal touch stay . to honest think hotel london ... advice .... & quot ; stay Milestone & quot ; 
 Mar 16 2009 	 Review Milestone Hotel 	 Milestone Hotel London home away home . stay time visit London business . lovely , traditional hotel . treat warmth grace every member staff management , know name . service impeccable . restaurant Tea setting intimate old world service attention . room beautifully keep update fresh fabric unique interior design . facility right . rave enough fine hotel experience . Sandra Newport , Rhode Island 
 Mar 12 2009 	 totally amazing place 	 moment arrive door make feel welcome . everyone encounter seem work make stay perfect . beautiful decor little treat personal touch wonderful . the room stun , large comfortable . restaurant fantastic bar public area elegant . the hotel ideally situate Albert Hall , V & amp ; , natural history , Science Museums . 
 Mar 10 2009 	 Perfection . 	 recent trip London , opportunity stay Milestone 3 wonderful evening . never wow property 's staff , level service uniqueness . , review not go , will list feel highlight . 1 . ) corner room 4th floor ( 407 ) , perfect view Kensington Palace surround park.2 . ) arrive jetlagge hurry get next appointment , take thing bag lay bed not time hang . return even tired , thing hang closet . 3 . ) evening , call wakeup call greet & quot ; would like coffee & quot ; . kidding - coffee wakeup call - 's dream come true.4 . ) restaurant absolutely amazing make even well charming genuinely enthusiastic Stefan.5 . ) , day rain forcaste Terry run 5 block catch we hotel umbrella would not get wet . could keep go 's charm , ultimate comfort , amazing bed , view pamper staff be look , . look . 
 Feb 24 2009 	 Outstanding every respect 	 moment arrive Milestone Hotel , treat like royalty ! service receive every single member staff outstanding . nothing much trouble . room immaculate everything could possibly need stay . leisure facility also first class . we choose eat Chenestons , hotel restaurant , meal amazing . introduce new wine compliment every course perfectly . 
 Feb 16 2009 	 pure luxury 	 moment walk hotel treat like people world . nothing much trouble . special place stay . I massage morning due leave . need somewhere shower change room already vacate . staff find second room ( fully prepare another guest ) allow use extra charge . real old fasione service . thank . 
 Feb 12 2009 	 magical Milestone ! 	 Milestone make stay London pleasure . hotel wonderfully situate opposite Kensington Palace well place Kensington High Street short trip West End etc . the Milestone Staff quite exceptional . Stephan restaurant amazing - ask recommendation prepare entertain ! bar cosy offer amazing cocktail twist classic drink . will want much come food drink . the service exceptional . daughter leave hair straightener home ( major challenge be teen ) ask hotel . ten minute later brand new set arrive , fuss , additional comment buy - happy help . the Milestone magic London make first choice not- find excuse stay ! 
 Feb 3 2009 	 Outstanding Stay 	 recently enjoy wonderful 3 night stay Milestone . hotel perfectly situate Kensington , near many attraction . upon arrival , immediately upgrade fantastic suite overlook Kensington Gardens across street . staff terrific doorman GM ( surprise we two last minute ticket Cirque du Soleil nearby Royal Albert Hall ) . breakfast excellent , one dinner Cheneston 's . would definitely recommend come back next visit London . 
 Jan 28 2009 	 Treat yourseld stay fab hotel 	 pleasure stay Milestone last Saturday ( 24 - 01 - 09 ) without exception every member staff encounter courteous , polite keen ensure enjoy stay hotel . we already recommend hotel friend would hesitation re - booking next time stay London . 
 Jan 26 2009 	 Le Cirque Package 	 great stay Milestone . huge choice luxury hotel suit West London , one vote Conde Naste Traveller number one service think worth try . the service , expect great . staff fantastic . the good thing far though & quot ; package & quot ; put together Cirque du Soleil Albert Hall . programme suite , Pre theatre meal , Bentley transferspost theatre coffee cognacs5 * hotel 5 * package 3 * price . great value 
 Jan 21 2009 	 treat like Royalty 	 husband wish express thank Management Staff Milestone hotel Cheneston Restaurant warm welcome receive concerned . food delectable service impeccable . every member staff meet charm helpful congratulate we reach Golden Wedding Anniversary . delight us hotel spend honeymoon fifty year ago go pain make stay special . particular joyous experience remember always . certain husband feel . thank , sincerely , Sylvia a. Carruthers ( Mrs D. Carruthers ) . 
 Jan 20 2009 	 Superb Service warm welcome ever ! 	 October 2008 lose job reorganisation company , due financial crisis . depress experience give we lot stress . reason want short break another atmosphere also celebrate birthday November partner . Via Small Luxury Hotels world internet find Milestone Hotel London . sure choose check Trip advisor clear Milestone correct choose we . year work world young trendy people denim - fashion world look something totally different , nothing trendy traditional real value eye quality good service respect client . find Milestone Hotel 1 Kenstington Court London . arrive hotel get really warm welcome doorman come straight we help we taxi take care lugguage . inside organise check immediatly get tour think hotel real nice friendly traditional Englishmen passion enthousiasme job . also meet tour hotel manager Andrew Pike super friendly give we warm welcome well . room wonderfull decorate luxury curtain , fantastic bed big fresh white sheet perfect cushion . every evening staff open sheet bed put tv guide open right page , put candel badroom leave different sweet cushion . walk shop day London love go back hotel feel hunderd procent home , atmosphere relaxed luxury enjoy every minute . take massage well ever . book Sunday high tea Milestone , area fire place . Delicious , area decorate Christmas material , fire , room fully book nice guest sandwich cake present fantasic taste lovely . staff give good service world , restaurant , lobby , fireplace , bar . staff international , Austria , Hungary UK always friendly service mind real respect customer . we trip London Milestone good trip 2008.on birthday partner bring wonderful birthday cake good chocolate town . tip go long weekend London want feel great get top service good food drink go Milestone . thank Milestone Team good feeling give we stay feel really happy satisfied go home . Mr. & amp ; Mrs van den Berg , Netherlands 
 Jan 16 2009 	 Outstanding hotel 	 stay London regularly business pleasure . use wide range hotel , mostly five star , include Hilton Waldorf , Grosvenor Claridges . the Milestone experience surpass respect . room excellent , well think , well equip , right small item like scissor . decor excellent , , unlike many large city hotel , show sign age whatsoever . the restaurant superb , lovely size maintain intimacy . but like many place experience depend staff , faultless . everyone welcome , helpful , friendly knowledgeable . really true feel like one family . I return , unlikely use hotel London . 
 Jan 12 2009 	 fantastic go go go 	 well begin stay milestone hotel doorman housekeeping treat royalty stay new year eve woww room overlook park little fiinishing touch fantastic fluffy pillow new year stocking great food fantastic waiter service excellent give plenty time check morning beautiful breakfast cold walk round london go back afternoon tea near open fire cosy sit near fire afternoon tea oh die every little cake could possible want little finger sandwich plenty pot tea service also excellent waiter charm yet time leave pleasure fantastic would tell go yes right make feel comfortable part book afternoon tea see right also shop step away well need say 
 Jan 12 2009 	 Milestone- Luxury Intimacy Character 	 one favourite boutique hotel London . fancy splurge get one suite room four poster bed . feel like genteel English country house . great room design bathroom beautiful townhouse . good service . please note huge 5 star hotel use may suit . old building creaky floor lot character- big luxury . the location great next Kensington Park . make sure walk Kensington Gardens road enter alongside Garden Court Hotel ( look close public actual fact non - authorised car . interesting mansion ambassadorial residence ( include expensive house ever sell - Lakshmi Mittal- prior Lilly Safra sell pad Monaco last year ) .You turn leave Notting Hill loop back around Kensington Church Street pub cool shop . also explore neighbourhood behind hotel way Kensington Square . when hotel refurbish find 11million pound - worth old painting conceal behind one wall ! 
 Dec 20 2008 	 Excellent 	 stay many hotel London one get good . say excellent every way especially freindly professional staff , definatly stay . 
 Dec 2 2008 	 impeccable Experience Milestone 	 wait bit write review , want thought Milestone synthesize merely gush ceaselessly . having travel stay every major & quot ; brand & quot ; luxury hotel , e.g. , Four Seasons , Ritz Carlton , St. Regis , etc . , never uniformly wonderful experience enjoy Milestone . first , upgrade Master Suite absolute surprise . ask upgrade , expect upgrade . tremendous first impression . second , one expect 500 pound plus per night staff courteous , welcoming , helpful . however , staff Milestone , reception , concierge staff , butler staff , dining room staff , housekeep exceptional . know name every member family within hour commencement stay . third , physical condition property maintain meticulous way . paint chip , curtain fray , questionable linen . everything perfect shape . fourth , location difficult beat . Hyde Park Kensington Palace step away . High Street Kensington shopping step away , tube stop four minute walk . fifth , unlike almost every property , Red Carnation Group ( own / operate Milestone ) get someone spend great deal hotel , gall get & quot ; nickle dimed & quot ; , suppose , & quot ; five - pence ten - pence & quot ; thing include amenity , free internet access in - room common area , free business service , free electric converter , free computer loan , complimentary canape drink evening . thing part one 's stay Milestone . though small , touch make one 's stay much relaxing . finally , travel son . many property ( restaurant ) & quot ; tolerate & quot ; child little . staff Milestone treat son like treat : actual person , like dislike , opinion , sense humor , personality . well - travel 9 year old , country already 30 ; stay even uniquely wonderful , unparalleled hotel stay family . though review lengthy , merely scratch surface excellence Milestone . imagine stay another property London , hope never . moreover , first stay Red Carnation property . seek . 
 Nov 24 2008 	 Excellent 	 return short overnight stay Milestone Hotel London . must say friendly , helpful efficient staff . husband surprised theatre trip overnight stay London birthday . great time make extra nice hotel staff . meet arrival man call Terry helpful , show we around hotel . room lovely , immaculate , spacious comfortable . breakfast restuarant must say scrambled egg well ever taste ! ! staff brilliant . would recommend hotel anyone want quality comfort great atmosphere . would certainly return future . 
 Nov 9 2008 	 Loved Apartment one 	 everything exactly describe hotel website . wonderful accomodation fantastic service . can not speak highly enough friendly helpful staff . really feel like home stay . private entrance especially appreciate location hotel really make we feel safe . stay 10 night day full sight - see walking , true pleasure walk door relax front fireplace . spend three day Paris hotel gracious enough keep huge piece luggage we not need mail back early . first trip London spend three week research hotel decide Milestone . would not consider stay anywhere else return . make point find hotel consider ( Dorchester , Stafford , etc . ) confirm pick BEST ! 
 Sep 25 2008 	 charming cozy hotel ! 	 wonderful hotel , great room , comfortable bed , super room ameniitie , good breakfast outstanding service . great massage spa ! 
 Sep 5 2008 	 wonderful ! 	 stay 4 day precruise early August . really one good hotel experience anywhere ( travel quite bit ) .We arrive early allow check upgrade fabulous Safari Suite . attention detail staff top , amazed anyone would give beautiful hotel 3 star ! breakfast divine high tea quite experience SoCal folk . request small handle promptly grace , dinner drink bar ( although charming ) .The area close tube , various museum , Hyde Park , Kensington Palace ( across street ) . lot shopping neighborhood . nice package Luxury Link worth every penny twice . believe wonderful thing read review treat fantastic holiday . treat like royalty ! 
 Aug 30 2008 	 Best Hotel Stayed . . .By Mile ! ! ! 	 hotel boyfiend impressed , still talk ! concert Royal Albert Hall wich 5 minute walk hotel ( be situate road ! ! ) perfect position , opposite park iddylic . from moment arrive warm greeting notice fresh , signiture red carnation . lift , room , room service tray every member staff 's button hole . lovely touch . our room split level second floor cosy . little ' extras ' could imagine put room , . Stationery , slipper , extra towel smelly be gorgeous . we spend one night , not see bar use restaurant pool order room service concert . get big fluffy robe endulge good meal ever , lemon gougon follow incredible cheescake ever . breakfast room service , die ! recent visit West End show take we Montague Gardens , hotel Red Carnation Group dissappointe unbelievable . stay close show wish not ruin stay , Milestone way next time . we plan go back next year date special one hotel pay huge personal part . 
 Aug 19 2008 	 WOW 	 oh wow ! ! ! ! partner book surprise . stay fabulous room four poster bed wonderfully luxurious feel . ( think Tudor suite ? ) almost wish winter could light fire sit snug area ! Terry butler great guide hotel local area . entertain well informative . go bar pre - dinner drink , Daniel barman welcome Stephan offer we Champagne & quot ; be Champagne day every day Milestone ! ! & quot ; .... fantastic lovely nibble , would happy stay bar night . Dinner Cheneston 's wonderful experience , lovely setting . never feel important special , partner treat ! Zana lovely , treat like royalty staff . meal truly treat . start Endive , Gruyere Pancetta terrine delicious ( could main course ! ! ) , instead go Pot Roast Dover sole world . unfortunately full could not manage dessert , steal mouthful Simon 's soufflé ....... oh goodness . Thomas make sure excellent wine course even convince we cognac coffee lounge . could get use ! breakfast calm quality food service near perfect . ' thank staff enough make short break memorable special can not describe much love Milestone , can not wait return ~ might even arrange girl night dinner . sure Stephan , Thomas Daniel would make another great night ! 
 Aug 18 2008 	 english hospitality good 	 someone ask recommend hotel London start tell Milestone . stay , time think put review net , realise great impression make we unique experience be . recall great welcome , fantastic location , outstanding attention detail superb customer care though really let people know unique experience . hotel wonderful , situated opposite Kensington Gardens near good shop world superbly decorate throughout not think well ! time , really must take afternoon tea . class ! not hesitate stay . look superb staff great hotel guarantee 's experience recall pleasure many year come . 
 Aug 18 2008 	 five star hotel 	 really not know write review . many hotel around world certainly five star hotel ! first enter hotel , floor squeaking , first time hotel experience . enter room give man accompany we big tip tell empty mini - bar promise ' , fact never see stay . the room small price pay 550 $ night ! see hotel small ' know get five start rating ! maybe five star small hotel category . the curtain bed cover smell nasty like never wash try take shower , shower head fall ! ! try turn sink faucet one part drop hand ! add surprise , bed small ! ! queen size 4 foot wide barley enough wife , 2 foot sleep ! turn bed unless want find floor ' want see ant ! ! one plus thing say hotel staff friendly , ' expect five star hotel anyway ? actually use friendly staff 3 star hotel part world . overall , good location stay , safe quite lot shopping area Kensington park across street , enough money , well go big room . one last thing , stay room 401 , please avoide ! 
 Aug 15 2008 	 Superb Hotel 	 stay Milestone sister last month birthaday treat coincide matinee trip theatre . never imagine would highlight trip . the room outstanding much large expect look Kensington Palace thrill we . Neil reception efficient courteous , order we tray tea send room , complete delicious cookie , lovely chap call Paul . we decide early supper bed , go plan good time . eat 8 pm Chicken Pot Pie chop Aberdeen Angus steak outstanding . would nibble bar serve we lovely guy ( maresh ? ) glad , order starter . wine waiter knowledgeable attentive , wish could remeber name wine recommend could order ! squeeze dessert moreish , not manage get bed till go 11 pm , good time . comfortable night sad leave try plan next visit , least Sunday Lunch special treat . 
 Aug 15 2008 	 outstanding Hotel UK 	 hotel fabulous , location , room food . service first class . Terry butler make stay special Gavin concierge go way arrange personal itinerary get see sight great city . everyone make trip London special - treat like royalty . afternoon tea good London . definitely go back . 
 Aug 15 2008 	 Superb ! ! 	 stay Milestone August good experience long time . travel frequently visit London often want try Milestone . location fantastic , right middle Kensington overlook beautiful Kensington Gardens . arrive first thing notice wonderful staff , genuinely friendly seem really care we . doorman gentleman give we guide tour offer we complimentary glass champagne , lady service room , everyone could not enough we . room beautifully decorate , believe newly refurbish well , room 502 lovely four poster bed . room spotlessly clean evening turn service superb - every day get different surprise wait pillow ! breakfast every day good , cook order particularly like way Manager recommend certain dish try every morning -a nice touch ! also dinner one evening find service impeccable food , good . menu seem focus genuine comfort food bit pizzazz , well compliment great wine service . thoroughly enjoyable experience . great hotel experience , cheap would expect less hotel calibre . definitely return . 
 Aug 14 2008 	 ok - friendly efficient 	 book stay one night birthday treat partner . various personal reason choose Milestone expectation high . service friendly , though always efficient . junior suite overlook park front hotel lovely outlook , whilst quiet not noisy many complain - central London ! room not ready arrival wait pleasant lounge . room fun , interesting theme well decorate clean . bathroom different era though ( turn revamp many room bathroom - show ! ) . use spa good . order romantic turndown ( rise petal bed , champagne etc . ) early ( 6 pm ! ) rather dinner ( would seem sensible ) chase champagne . din hotel , look like might good - not . go taster menu accompany wine menu . sommeli excellent wine propose perfect . food good indifferent would even struggle get 1/10 Good Food Guide . save grace pudding . transpire kitchen staff new - except pastry chef . breakfast worse , poach egg solid could use weapon . the bill - number error check ! freindly , good atmosphere , good room , poor bathroom , efficient , moment , food poor value . 
 Aug 14 2008 	 beware - not leave valuable room ! 	 spend 5 night Milestone Hotel frequent season traveler throughout US , Europe & amp ; Asia , honestly bad hotel experience ' ve ever . souvenir money take room . hear right ! ! ! make mistake leave wallet room unattended ( , contain $ 100 usd ) learn upon arrival airport return home clean ( taxi money ride home airport ) ! also , 2 souvenir beer pint take well ( course manager Neil claim must misplaced ) glass not get walk away . last night , switch we & quot ; large & quot ; suite courtesy upgrade ... room old smell age , air conditioning not work , rug filthy even want remove shoe . Book elsewhere - definitely worth spend ... $ 2400 pound ( nearly $ 4500 usd 5 day ) ! 
 Aug 12 2008 	 Tired 	 firstly , let say location fantastic - love situate large open park middle London , easy cab / tube ride anywhere interesting . the service hotel little oppresive , people could regarded highly favourable . build decor tired , quaint , depend one 's perespective . room tiny , polite , stuff unnesessary furniture decor board kitch . definite smell sewage everytime enter , overly - compact , room . would attribute ' quaintness ' , read old - world - ness , hotel . for price would say pay marginally stay modern , up - market , establishment Park Lane . not impressed . 
 Jul 24 2008 	 Seasoned traveler 	 review Milestone excellent , beg differ . find hotel stuffy , old fashioned appropriate first time traveler uk.i much prefer Baglioni door ( fully book timer ) .The room much furniture tschoke place . bar full blue haired laddie . service stifiling . the resistance pool ok location good . great place bring Aunt Edna first trip UK . 
 Jul 16 2008 	 beautiful place stay ... 	 love stay Milestone Hotel .. english staff helpful . room small elegant extremely clean . beautiful view Hyde Park ... also side street , surprisedly quiet . actually , specifically notice thing hotel , everything well take care clean . daughter breakfast room every morning , food good somewhat expensive . pretty much food London expensive . eat dinner restaurant one evening , good service good too . I would definitely recommend hotel , good location ... great staff beautiful room ... stay . 
 Jul 13 2008 	 Fantastic 	 stay 5 star hotel world service one good . staff could enough . Gavin concierge excellent . complimentary tea arrive 11.30 pm impeccable service throughout stay . gripe room ( 311 ) face road traffic noise ( sort intererior glazing would fix ) also creak floorboard room guest keep walk 1 annoying . want class hotel live status . 
 Jun 29 2008 	 gem 	 ideal London boutique hotel . right size -- amenity available , right staff -- warm welcoming , right location -- overlook Kensington Park . duplex room decorate like library feature billard table / dining table ( would need see ) upstairs living area serve child 's sleeping area . Bathroom well appoint ( though find european shower enclosure frustrating ) . everynight candy canape deliver turn - down service excellent . comfy bed . roll - away bed need look couple miss slat . breakfast classic british continental choose . sweet little bar / conservatory area make nice nook drink tea . significant complaint pool quite small seem over - dose chemical . we will absolutely return . 
 Jun 16 2008 	 good hotel ever stay 	 originally book close Royal Albert Hall go concert there . what find , nothing much trouble staff helpful . Terry show we around hotel room . the afternoon tea huge lovely , cake scone could finish send room later . the room excellent decorate victorian theme . after concert come back sit lounge entertained person singe play piano excellent . overall wonderful place make feel special . much well Ritz stay week pricy . 
 May 21 2008 	 Pleasant Expreience ! 	 husband return long weekend Milestone May 15 - 19th . hotel completely charming . staff friendly accomodating , especially Neil concierge , help we restaurant reservation even offer personally check table restaurant get make sure appropriate we ! speak restaurant , must try Ffiona 's block away - delicious meal ! ! stay superior double room clear view Kensington Palace room cozy , nicely decorate comfortable . bathroom spacious spotless . hotel really feel like home away home . would definitely recommend anyone ! see remain top review fellow traveller . 
 Apr 23 2008 	 Best Hotel experience many year 	 wife stay Milestone Hotel 4 day visit London daughter 's grad school graduation . book Superior King room delight upon receive upgrade upon arrival . travel frequently business personal reason , demand come service accomodation . Milestone exceed requirement expectation category . member staff greet we name without exception , include upon exit cab upon arrival , quick offer assistance suggestion meet every need . attentive friendly hotel professional encounter extensive world travel period many year . personal touch appreciate . receive prompt , professional friendly assitance organizing banquet 17 hotel 's beautiful Windsor Suite , precede cocktail reception Conservatory . event great success thank staff , make graduation night memorable occasion . afternoon tea fireplace lounge another highlight . certainly stay establishment . 
 Apr 17 2008 	 staff care 	 supprise weekend right moment car pull outside front door . doorman welcome we ( like Baglioni ) take luggage could say Jack Flash . inside partner check whilst chat one knowledgable butler . assertaine travel know without list . a quick friendly check give grand tour whilst route Jungle Room . meet introduce F @ b staff would look we next two day . well say like long lose friend , staff know ( couple town cornwall ) willingness look everyone passion flair amazing . the hotel spotless area , food superb ( 1st night new spring menu ) wine list pleasure read sample . the room soon refurbish do not know immaculate comfortable . H / K first calss discreet . I do not know go home Cornwall benefit . may guess love place find home form home London . 
 Mar 19 2008 	 mind Gap ! 	 frist trip England wife celebrate birthday , London cold time year ... care , never make special . London magical , feel like Peter Pan although ' m old , feel like kid enter Disneyland first time , never feel tired end day , day walk , sightseeing , watch show west end , shopping , dining ... end day goose king size bed pillow make rest much different level . milestone idsaapoint even think construction day , noise one time tolerable .. old hotel muh character show age ... need upkeep . room elegant , though small cramp ... London . wife say stay Park Palace Victoria Stationwas roomier agree , even close character hotel room . feel like home away home . know moment walk door come home . nothing spare , care . ; feel like hotel , ever ... pricey . yeah want cheap , thn not go London , Europe matter . go money not matter really enjoy London . day arrive , birthday make afternoon tea special make delicous chocolate cake give we champagne .... 's service . way , make cake whn find birthday ask later afternoon tea ... never get Ritz ! service british , subtle yet classy . location near tube well yet , starbuck around corner . else could make feel home ... one thing London , be , top converting dollar want enjoy rest trip ... good part trip come back America .... realize bless country ... plan go back London soon ... Milestone definitely list .... & quot ; Mind Gap & quot ; 
 Mar 4 2008 	 unforgettable 	 girlfriend lucky enough stay luxurious Milestone Hotel , Kensington . collect Liverpool street station Bentley Terry butler Keith chaffer give guide tour London way Milestone . stay hotel outstanding find every member staff dedicate enhance experience stay luxurious hotel . first thing check shop , escort Jim head concierge give we feel safe hand . would recommend hotel anyone ' never somewhere customer orientate hope get chance soon . bar mixologist , Daniel , cocktail experience miss . food exquisite excellently present , fine dining offer Milestone Hotel . we truly experience never forget would like use chance thank every member staff dedicate make stay unforgettable . ' look somewhere luxurious friendly atmosphere nothing much quite simply Milestone Hotel . 
 Feb 26 2008 	 problem solve great stay ! 	 stay Milestone hotel London two son , aged 5 8 , previous fantastic stay couple month ago . book two connect room , face serious problem upon arrival . room fifth floor , recently refurbish , evidently process quite finished . lock outer door , room really extremely small , dvd - player working . tv - channel mix , airco order , etc . staff member extremely helpfull kind , problem remain . evening tell Milestone worth five star rating splending reputation invite come solution next morning . solution offer great : give fantastic spacious two bedroom apartment adjacent building , normally rent weekly basis ( really ? ) pleasant stay remainder holidays London . the Milestone fantastic hotel . really set service attitude staff . however - standard - expensive . breakfast hotel two adult two kid easily cost near £ 100 ..... believe Milestone great hotel want spend romantic luxury weekend ( junior ) suite boutique London hotel budget first choice . doubt standard room , base experience . later learn staff room fifth floor hardly use . also , hotel fully book stay . yes , make terrific response complaint , one question remain : try give we room first place offer we available apartment right away ..... ? 
 Feb 13 2008 	 fab boutique hotel worth visit ! 	 husband recently return two - week jaunt Europe include London front back end . trip include Spain , Switzerland Sweden tell , hand , Milestone highlight trip ( ' m hard impress ) . butler ( Terry ) scream , proper , british sort way . since one night beginning trip , book least expensive room rate . Terry show we room , show we room available upgrade . love little tour , decide upgrade already late get early catch flight . room small smartly decorate other preview , bathroom large nicely appoint . problem air - conditioning ( room stifle hot ) take mechanic three try work again . we make way bar ( recommend family ) . bartender top - notch really know drink ( good kir royal ' ve date ) love , love , love quaintness ( be teeny tiny ) .When leave next morning , book return two week later . return escort room jump joy door open upgrade we beautiful suite could live rest day in . we explain concierge look restaurant dinner nail Ffiona 's . within walking distance hotel , everything place perfect . candle , unpretentious food , atmosphere ( small , 15 few table ) , hilarious proprietor , etc . highly recommend . we will definitely back . keep mind , though , be someone look deal London hotel . hotel traveler appreciate something different well ( willing pay ) typical mega hotel experience . 
