Pleasant 	 search many hotel web site , choose Galleria Park . want stay large hotel , appreciate ammenitie provide . wonderful hotel provide . do nicely Art Deco theme . room good sized & amp ; clean update bathroom , adequate sized elevator , free internet , room coffee refrigerator , personable staff , workout room , outdoor 3rd floor terrace jog walk dog GARBAGE TRUCKS middle night . we able park SUV garage 1/2 block away $ 30 / day ( & amp ; tho ' ) 
 Mar 2 2009 	 Staying Galleria Park Hotel wonderful experience 	 Staying Galleria Park Hotel wonderful experience . really feel Joie de Vivre hospitality ! invite beautiful , hotel present pleasurable atmosphere . room super clean , spacious , quiet , extremely comfortable well decorate . fabulous location hotel close Cable car line , Union Square , Embarcadero , China Town . staff friendly , sincere . Paul , General Manager , delight meet . extremely helpful knowledgeable every aspect City transportation , late hot spot din entertainment . take time meet we arrange special dinner reservation ticket late exhibit de Young Museum . Melinda , assistant General Manager , also wonderful personality informative . fantastic attitude atmosphere match throughout hotel staff door , front desk , house keeper , always eager provide quality assistance ensure need care for . I stay Joie de Vivre location always good experience . highly recommend Galleria Park Hotel return . 
 Feb 10 2009 	 great location value 	 location around corner hustle bustle Union Square yet close enough attraction . service friendly . typical budget boutique hotel , room small size ( room 2 bed ) design edgy , bed amenity nice , room clean , free WiFi appreciate . check 3rd floor rooftop garden not miss happy hour . use hotel . 
 Jan 24 2009 	 Super service super location ! 	 stay New Years Eve great . young staff happy helpful . free morning coffee complimentary wine cracker evening deco fireplace . walk distance Union Square , Chinatown , BART subway stop many site . long walk North Beach area . cute coffee stop corner . 
 Dec 11 2008 	 Weekend Trip San Fran 	 research hotel read review , nervous would find something price range still nice . luckily last minute , find Galleria Park Hotel relieve . hotel great , true picture everyone nice . great boutique hotel place lot nice little touch throughout . staff nice helpful , room CLEAN ( important survey room immediately upon arrival ) . room small understand , San Fran . even though small , give everything need comfy cozy . bed comfortable linen soft warm ( thing - pillow therefore thin little support ) . location ideal central everything , perfect able walk everything . 
 Dec 10 2008 	 great boutique hotel 	 great boutique hotel right near Market Street , Union Square , Chinatown , Moscone Center ! first stay San Francisco , need close moscone present Oracle OpenWorld past September . room bit small , nicely appoint , clean daily , keep spotless . staff extremely courteous , friendly , welcoming , professional . free Internet service slightly spotty overall solid . nightly wine break lobby great way meet fellow traveller unwin ( e ) end day . new in - hotel restaurant go , world - class place stay ! stop back next time ' m visit SFO see 's new . 
 Nov 9 2008 	 Beautiful Place Reasonable City Rates 	 nice place border Union Sq Financial Districts . price reasonable city incl . parking book Expedia . newly renovate . old building room small nicely appoint . easy access city attraction . staff attentive . would stay . 
 Oct 30 2008 	 cute hotel extremely friendly staff ! 	 get marry San Francisco September look nice , affordable hotel good location host wedding guest . without much effort , quickly realize Galleria Park Hotel optimal choice we . 's block Union Square , nestle right near Chinatown Financial District . like fact not feel huge impersonal . much boutique feel , staff quickly get know recognize . use hotel wedding & quot ; headquarters & quot ; since 30 + room book location central . hotel great accomodate we , even thing not plan advance . instance , plan 45 guest meet lobby one night go town . right , decide bring alcohol lobby guest could cocktail departure . little gathering actually end last 45 minute turn big party , hotel staff problem . fact , even quickly clean mess make left . wonderful ! stay suite , huge , spacious comfortable . bed quite nice . price mini bar reasonable ' ve see . complication room type reserve unavailable , check , hotel manager extremely generous make we . certainly loyalty , refer out - of - town guest hotel future . 
 Oct 27 2008 	 Great Find 	 stay two night April find great experience . the hotel cool location ( well San Fran cool ) 's really close Union Square .... warn though quite hike touristy thing like Fishermans wharf , close trolley line though . outside not seem like much inside hotel recently renovate cool . room small barely notice much character comfortable . also find hotel good value consider expensive San Francisco . also offer wine taste hour hotel fun . 
 Oct 21 2008 	 Excellent Experience Galleria ! 	 stay Galleria OracleOpenWorld 2008 event back September 4 night . pay $ 200 / nite well worth . bed super - comfortable room quite adequate . bathroom clean well - keep . fan / AC work great . complaint wireless internet little slow time available . staff friendly , courteous helpful . location UNBEATABLE ! ! ! would definitely stay ! ! ! 
 Oct 21 2008 	 Hip Boutique Hotel Financial District 	 wife spend three night San Francisco vacation . get great rate , happy try place . upon arrive nice bellhop help we bag warmly greet front desk staff . Chris check we nice seem fit perfectly cool city boutique hotel . obviously old hotel , renovation really make place shine . lobby decorate cool , large cozy fireplace . front desk staff also knowledgeable give we great advice eat . pleased learn daily 5:30on happy hour complimentary wine , awesome ! everyone come room congregate lobby , socialize drink wine . coffee morning . our room somewhat awkward layout , relatively big , happy . bed comfortable nice couch lounge , everything nice clean two sink . side , absolutely view room ( building ) bummer . future would try grab room view any . all , location great , staff friendly room clean . nice change pace chain hotel would totally recommend hotel friend . great price well . 
 Oct 7 2008 	 wonderful staff cute boutique hotel 	 request transfer hotel last minute Expedia terrible experience Hilton Union Square ( offer we room sofa bed refuse refund we ) . late night arrival much stress Hilton , walk Galleria Park like enter little oasis . the staff Galleria Park outstanding , helpful happy give tip transport , restaurant etc - even volunteer extra information without ask . hotel clean well maintain hip boutique style decor . small room hardly surprising San Francisco . they also large outdoor terrace jog track , nice morning step outside get sun fresh air venture city . they not restaurant moment open January . , Galleria Park warm welcome experience definitely stay . 
 Oct 3 2008 	 Hip Hotel 	 stay Galleria Park September . nice experience . staff check quick , room clean , air conditioning every day wine taste early evening . would highly recommend hotel quiet , clean overall good experience . old redone problem . 
 Sep 25 2008 	 Great Location Strange Smell ! 	 hotel great location close Union Square . we greet valet find staff helpful . my concern stay 4th floor entire duration stay experience disgusting smell sick everytime step lift corridor . problem small part corridor walk get room - pleasant ! would recommend hotel , long not stay 4th floor ! ( would like think smell go strong 4th day 1st sure ! ) 
 Sep 24 2008 	 Great Value 	 Galleria Park favoritve father 's travel San Francisco business one mine . think slip bit since Kimpton sell , still great right reason . it reasonably price San Francisco room get always large well appoint . old hotel bump grind old , botique hotel , also reason like . remind Europe character . get enough & quot ; perfect & quot ; room Residence Inns & amp ; Hilton Suites place like Omaha , Fresno & amp ; El Paso , little imperfection ok . and location convenient shopping , business , BART & amp ; Muni . look perfect , try Mardarin . look charm value , 's place . 
 Sep 16 2008 	 bad service decent location room 	 arrive Galleria Park Hotel , greet courteously valet . bad politeness stop . front desk manager chip shoulder obvious time mouth first word . & quot ; welcome hotel & quot ; & quot ; thank choose stay we & quot ; - greet extremely flip & quot ; name reservation ? & quot ; tell print reservation would get , demand & quot ; name & quot ; could even finish sentence . ask room upgrade ( since book contact enthusiastically inform , possible , make note give we suite upgrade ) , quickly say stern tone voice , & quot ; , be book . & quot ; simple & quot ; ' m sorry , book , hope enjoy stay we & quot ; would ' ve great . no- ! ! & quot ; please let we know need anything & quot ; & quot ; thank choose Galleria Park Hotel . & quot ; guest lug bag room - offer send . eye contact cease soon give we room key . ! ! , realize request bell service choose less painful route bring bag rather talk front desk manager long need . room ( 2 queen ) decent - decor nice quite bit charm . window DISGUSTING . could barely see smut not clean age . room small inviting . bathroom small serve purpose . bed comfortable , wall thin could hear every click , clatter clang . voice carry throughout hall plumbing poorly insulate . hear every shower go off . the thing terribly good hotel location . believe well option city - will get respectful service ( even pay ) well night 's rest . hence , return Galleria Park Hotel . 
 Sep 11 2008 	 Great Boutique Hotel - charming clean 	 stay GPH Labor Day weekend ( three night ) wed San Francisco really enjoy hotel , staff location . the hotel completely refurbish modern standard : new bathroom ( shower , sink , toilet ) room awesome . light beautiful , sofas bed comfortable swank . San Francisco , be great value . the staff great room location . every time come room back day sightseeing , front desk bell hop always friendly smile ask we 's everything go . want direction , extra pillow ... anything , jump right away give we need - smile face entire time . service outstanding . finally , location . awesome - right heart City block away Union Square shop . ticket Frida Kahlo exhinit SF MOMA ... ten minute walk . walk North Beach - 's great italian feel restaurant - ten minute walk . chinatown - love walk street - ten minute away - quick catch bus easy . get Mission Castro District get real flavor city neighborhood ... three minute walk Muni / Bart station quick ten minute , straight shoot downtown cool area . need sock - 's Lohman 's right across street . come home late one night want snack - 's 7 - 11 around corner . great spot , great hotel , friendly service orient staff , beautifully appoint room ... defintately check Galleria Park booking somewhere else . 
 Aug 29 2008 	 Excellent Location 	 spend three night Galleria Park attend conference Ritz . three day take cab one . Galleria Park centrally locate . block away Montgomery BART station , take SFO OAK airport . able walk conference every day hotel within block distance restaurant an shop . room newly remodel , brand new furnishing staff service terrific . if be look amenity great price , Galleria Park great choice . 
 Aug 25 2008 	 solid rock 	 like clean , efficient , useful , critter , yes Dwell Magazine vibe , like find lodging cheap Priceline . hotel fulfil , $ 95 per night . location decent ( Market Street area sometimes dicey , Ted Baker store two block away ! ) , gym need improvement , basic . 's rare find hotel room day work , pleasure . 
 Aug 24 2008 	 Great Location ! 	 get back business conference San Francisco stay Galleria Park Hotel . hotel conveniently locate conference site Bush Street , within walk distance Union Square Embarcadaro . hotel staff friendly courteous . problem check . reserve king bed get twin double since full not anything could . offer move we follow day , not feel necessary . hotel room nice ; build old take consideration . AC noisy , make . hear occasionaly street traffic , emergency vehicle would go , nothing not tolerable . request late check since last day conference run 5 pm check morning . accomodate we well could hold room 3 pm . overall enjoy stay would stay . 
 Aug 23 2008 	 Perfect honeymoon 	 anyone charm hotel staff nut outrageous expectation . stay week never dissatisfied choice venue spend first week together husband wife . 
 Aug 19 2008 	 pleasant stay 	 stay Galleria Park 6 night San Francisco convention Moscone Center . hotel minute away convention center convenient . room clean tastefully decorate , bed super comfortable service excellent . one good hotel experience long time . free wi - fi huge plus make easy catch work and/or check email laptop . hotel perfect business traveller although would go back stay even SF pleasure . actually feel like well experience stay nearby Westin San Francisco Market Street another business trip . complaint window face shaft cell phone service room - however , could cell phone provider . overall , pleasant stay Galleria Park would definitely stay . 
 Aug 4 2008 	 stay ... 	 start review , 5 hard get . 's reserve exceed expectation . say , Galleria average hotel . the location : can not complain location . 2 block Montgomery Bart Station make convenient go either OAK SFO . far shop , be prime real estate - 's surrounded store think . also , be short walk cable car . lastly , close good restaurant end walk majority place helped work extra calorie ... service : service hotel great . help we get cab , recommend place eat , store bag , even let we check noon ! probably friendliest hotel staff ' ve encounter . hold true San Francisco guest service - much well east coast ! room : gripe hotel . claim undergo $ 7 million renovation . well , could not see spend $ 7 renovate room . carpet dark questionably dirty . paint job horrible , tv whatever ( yes , know 's go SF , least upgrade somewhat ) , cabinet furniture wear , let start bathroom . paint chip everywhere , tub dirty , tile kinda gross place . positive room , big one nice , comfortable bed . outside , not expect much . luckily we , hour spend room sleep . overall : book place hotwire , place list 3 1/5 star approx $ 125 / night ( taxis ) . personally , know know , would not spend $ 100 / night place . staff location great , room need quite bit help . ' ve stay large city ( NY , DC , Philly ) know expect city room , par . room 2 star location service 4 star . be look sleep shower place , be okay bet , want , look elsewhere ... 
 Jul 31 2008 	 Met expectation 	 San Fran first stop U.S. holiday look forward catch much need sleep flight . room comfortable meet need . hotel close public transport , tourist attraction , food coffee ! put coffee morning wine afternoon happy hour . front desk rude friendly ( expect extent give review tripadvisor ) even issue get deposit back ( still wait nearly 2 week stay ) not suprise give people write . however , hotel quick correspond email ( bank ) can not fault . porter friendly great chat . overall , meet expectation . 
 Jul 24 2008 	 pleasant surprise 	 pleasant surprise -- -the Galleria Park HotelDate : July 23 , 2008reviewer : Las Cruces , nmmy wife return Galleria Park Hotel pleasant surprise . great hotel fantastic staff situate almost perfect location . mind simple euro style hotel basic amenity . mind walk ... four block Chinatown five Market Square , 15 Ferry Building . wine hour 17:30 -18:30 nice staff offer great sightseeing idea helpful hint dining , coffee nightlife . truly great stay ! breakfast great coffee ! interested seeing San Francisco ... would recommend take car SF hotel charge $ 35 - $ 50.00 night parking . Lorrie Taxi pick airport take hotel . also & quot ; MUNI & quot ; pass $ 11 day $ 18.00 3 day get around SF via bus/ cable car / trolley train . 
 Jul 20 2008 	 comfortable stay 	 2nd stay Galleria Park . visit stay one night - town see Eddie Izzard . block Montgomery Street BART station . great way get Orpheum Theatre cost $ 3 RT . pleasant walk next day Ferry Building lunch . front desk staff say parking fee charge hotel allow we park 6:00 p.m . keep bag we ready leave . ( parking insanely expensive S.F . ) bed comfortable bed good quality . coffeepot room advertise , electric kettle . also coffee mezzanine morning . refrigerator nice extra . 's nice & quot ; park & quot ; 3rd floor . staff efficient quite pleasant . ' ve pay lot money lot less hotel San Francisco past . 
 Jul 16 2008 	 ok 	 hotel renovate nice comfortable bed , bathroom large amount paint chip wall , tub large chip bottom , toilet seem loose wall . to make matter bad , really noisy neighbor talk party night . call front desk three time complain , still nothing do neighbor room next door keep we awake 5:30 morning . wake morning 3 hour sleep tell morning shift staff problem . tell manager never manager actually talk we offer sort apology discount room not get sleep . never stay . 
 Jul 13 2008 	 Trusty reliable 	 semi - frequently stay Galleria Park business . 's affordable ( San Francisco ) clean , staff professional always treat right . yes , room little small people not spend much time room San Francisco . aspect hotel like within 5 minute walk MUNI BART line . highly recommend hotel . 
 Jul 7 2008 	 great hotel great location ! 	 stay hotel 4th July getaway love ! location critical - close Montgomery BART station , close Union Square , easily accessible Muni . room well maintain feel comfortably home . price , probably hotel caliber SF . 
 Jun 30 2008 	 Spoiled Galleria 	 4 night stay 6/25 - 29 San Francisco celebrate 10th anniversary third visit Galleria Park hotel . arrive exhaust around 11 pm , treat surprise complementary upgrade suite ( room 811 ) . food / drink : attend complementary wine reception trip , happy see still offer . although disappointed Perry 's ( attach restaurant ) close , appear new , upscale restaurant / night club schedule open fall . one thing always amaze hotel incredibly reasonably price mini - bar ( see attach photo ) .location : hotel financial district , 5 minute walk necessary get shop restaurant weekend . right street Montgomery Street BART MUNI station , travel around outside city incredibly convenient we . staff encounter extremely friendly courteous . San Francisco wonderful city could imagine stay anywhere else Galleria Park . 
 Jun 13 2008 	 nice small hotel 	 Galleria Park old hotel locate financial district . within walking distance Union Square Moscone Center next door Galleria mall . staff helpful knowledgeable area . maid service , front desk everyone pleasant , speak fluent English able help we various business personal need arise business trip . we stay jr . suite 5 day . room spacious include 2 closet , desk , small couch king bed comfortable well furnish . include free wireless service . this small property hotel work hard make feel comfortable . lobby small include seat around gas fireplace . offer wine serve early evening lobby . although hotel restaurant , offer room service local restaurant . hotel surround various small restaurant make dinng easy enjoyable . this large hotel . encounter lobby bar hustle bustle large hotel downtown SF . mine completely enjoyable experience . 
 May 23 2008 	 impressed 	 apprehension stay hotel base review lack picture junior suite , however glad . hotel locate within walking distance everything . Union Square Chinatown Moscone Center shopping , diamond sea ordinary . if look run mill hotel , one . eclectic tastefully design give feel home ... least home . husband lucky enough stay junior suite offer we find low rate book directly . ( must within 24 hour reservation ) room normal sized room may elsewhere room see small going visit , spend time room perfect size . room service actually cheap visit restaurant get across street unless order nine , little option around food . complaint air conditioner . not feel like put much room size open window addition come find last day heater window simultaneously way turn . window open cool , run problem sure get earplug light sleeper . bed little soft we use sleep Tempurpedic . we partake wine service think nice see people mingle enjoy other company . must say housekeep outstanding well concierge . complementary WiFi alright use high speed internet . bathroom small junior suite complaint hot water dirty . overall glad change reservation , save lot money price match get service comfort pay three time original room rate . favor stay , leave heart San Francisco , also Galleria Park Hotel . 
 may 14 2008 	 Good Hotel Business Tourist 	 San Francisco business stay hotel several night . good location - Financial District shopping area surround Union Square . 2 block Market St BART MUNI transport accessible . 3 block Union Square - quick walk . staff pleasant helpfull . room remodel nicely . several place get food nearby - Crocker Galleria shopping area next door . overall great value . 
 May 8 2008 	 Fabulous Service Wedding 	 husband choose get marry City Hall San Franciso . find great deal Galleria Park Hotel TravelZoo book room husband room parent . location convenient . room clean . service great . staff go beyond make wedding experience entire weekend truly memorable . come great price location return friendly service ! 
 Apr 30 2008 	 great location ; conservative Mgt 	 hotel great location decent price , especially discout ability i.e . government rate , AAA , etc . room small well furnish . service however , spotty . go back pick luggage bell captain find desk clerk redeem bag . , computer would allow access site use judge ' adult ' and therfor inaccessible . alternative would ' ve take cab elsewhere tolerant internet cafe ... expense , course . some guest get local paper drop front room , other ... . overall lack tolerance shaky service cut city like San Francisco . let us hope go business ! 
 Apr 22 2008 	 Perfect many way . 	 Galleria wonderful location , really close shopping , museum , walk distance Pier , right near BART station . bus stop also accessible . the hotel clean , room include , staff helpful . wine hour terrance nice welcoming touch . room well sized , really need , especially single couple . decor really update swanky . the area bit start weekend , near financial center many office , block middle Union Square . not much say bad place . get deal stay well worth highly recommend . comfortable great access sight . 
 Apr 22 2008 	 Perfect location nice room pleasant stay 	 stay Galleria Park hotel San Francisco portion honeymoon , really enjoy . first , location absolutely perfect . hotel , Union Square short walk away , chinatown gate within block two , muni line available Market street block two direction . make excellent base operation many trip explore city . the room bite small side , sufficient two we . decor ambiance throughout modern classy . one slight downside room inside , window look open area hotel four side . would call courtyard , not pretty , think hold thing like air conditioner like . on hand , want get outside without go far , hotel nifty rooftop park plant walk / running track . pretty nice get fresh air . be also complimentary wine hour , attend , not return since wine awful . can not really complain free wine , certainly would not plan schedule around it . overall , Galleria Park nice hotel pleasant stay . pretty expensive , may SF general , rather hotel specifically . also , be pretty hefty charge valet parking , valet friendly helpful . besides , complaint , really perfect location . 
 Apr 13 2008 	 Fabulous Stay right next Chinatown 	 book hotel room $ 99 / night hotwire.com . boutique hotel , company own many hotel city . stay room 822 . room small yet clean , face courtyard ( request away street noise ) . basic need include air conditioning , hair dryer , tv , desk , chair , wireless , internet cable . incredibly comfortable quiet . basically come back hotel night wonderful place rest busy / crazy day . great thing hotel include personable , helpful staff , great 3rd floor rooftop garden bench sip morning coffee ( close night ) . accessibility city easy . hotel 10 min walk Union Square , right around corner china town , close market catch BART , muni , many bus line . another plus - after come back bar night , easy find busy street walk back hotel instead creepy , lonely street . definitely stay . 
 Apr 6 2008 	 consider Galleria Park -- read . 	 wife professional . young ( 41 & amp ; 34 ) kid yet like travel well . Galleria Park choose research online ( ExOrbHot.com , etc . ) book directly property 's website . hope help you . as first vacation SanFran Napa Valley , feel well station Union Square area . Galleria Park ( GP ) choose boutique style - say not & quot ; another chain & quot ; hotel something nice enough unique city visit . take BART SFO ( easy safe not one bag ) walk hotel problem . GP safe area entirely - issue completely settle . Checkin prompt efficient . actually arrive noon fully anticipate room would ready yet intinde check bag till later . point important factor good stay begin . attendant Jacob ( ? ) accomodate every way unusual ability without make feel crowded rush uncomfortable 's bucking tip . be little difficult explain , hindsight believe 's customer service we keep incredibly helpful throughout stay . 's thing GP need consideration . we inform noon room yet ready upgrade large room . ? not know , wonder personally keep reservation time online 's ( period one week ) dramatically cut rate per night $ 50 - 75 . notice hotel consider . jitter economy , wonder hotel need fill . not seem crowded SanFran / Napa . ( March 29 - April 4 ) room much like website show . see picture room ( 715 ) . room clean daily maid service well . bathroom small counter space . shower pressure awesome temp good . not hotel install fan bathroom ? linen good . floor good . hotel old , 's redone . fine . king bed good , great . pillow . really fine , exceptional . differ Campton Place Ritz . 's hotel room well do could old facility . not camp room vacation , really , not need good room nice place average ? gp good choice . feel comfortable safe . staff make difference be away home unfamiliar territory . study planning make difference . chinatown close , cable car close , cab available without much ado , etc . , etc . will write overall review visit SanFran . say Mr. Toad 's tour one want . drop we right gp save we another ride wharf . bottom line : get good deal , good deal . would stay could sure get large type room . read recent review make believe hotel 's small room would compromise impression quite bit small type room hotel past good . , , . require certain level luxury travel room GP meet level problem . 
 Mar 29 2008 	 expect 	 stay 2nd night 4 day northern Cali trip . find boutique hotel travelzoo , think deal great , although valet parking little pricier normally would pay , think give shot . well , let say stay completely everything boyfriend & amp ; expect . aside pricy parking fee , room small stuffy . first reaction open door & quot ; uh ... ok & quot ; . much space room , bed take . even much room put one small luggage 's use . one inconvennience sink area , face bed away bathroom . hard get thing do one place . another thing bother noisy sound outside hotel night since hotel right street financial district . hard sleep night , even window open . also another feature happy conference room hotel room floor , hard get quietness one would like . early morning , hear open slamming door , people use conference room talk . feel separate floor conference room like hotel . distract . other note , clean , friendly hotel wireless internet access . lady like shoe shop , be 2 shoe store right hotel . hotel also locate close transportation , make visit SF easy . 
 Mar 23 2008 	 staff nice room adequate horrible bed 	 get hotel Priceline $ 76 plus taxis one night , check late Saturday night leave Easter Sunday . I ' m surprised many positive review . find room adequate , A / C noisy , room stuffy , bed extremely uncomfortable . even one person , move around bed make feel like waterbed . two people uncomfortable . bed seem basic mattress cheap , simple platform . bed tendency move around rock side side slight movement . hope mine problem can not imagine anyone comfortable . early morning move couch not much well , least not move make seasick ! hotel seem convert single room occupancy hotel . room look like could studio apartment one point sro's . as walk small sink / wet bar , closet right desk front . desk leave basic office supply , sticky note , paperclip etc . also offer pad paper & quot ; sale & quot ; . room full size couch.which good need . comfortable sleep bed . room also large pot heating water , 27 & quot ; tv satellite dish reception , normal pay per view movie , etc . hotel also provide drinking water glass coffee cup . hotel offer free Wifi trouble connect to . one note people child , potential safety issue bathroom window . open easily , nothing limit wide open . handle close floor , would easy child climb open window . ' m bit afraid height , open window see view ( not ) , surprised easy would child fall . hope hotel something make window child friendly . room alright unless something bed , would not stay . hotel advertise & quot ; boutique & quot ; hotel usually equate 3 1/2 star level accomodation service . wish book cheap 3 star hotel even 2 star , would comfortable . ' ve stay Motel 6 hotel comfortable this . in summary , room nice , bed rock back forth night not get sleep , nice amenity will not make . 
 Mar 18 2008 	 Good Hotel 	 hotel pretty much picture , clean . bathroom decent size SF . Felt comfortable , safe . close public transportation business district . restaurant first floor really good , overpriced . would stay : ) 
 Mar 16 2008 	 great ' boutique ' hotel 	 want clean hotel , close Moscone Convention Center , reasonalbly price . Gallaria Park excede expectation . bed comfortable . decor pleasing hotel . staff pleasant . evening 1 hour complemenatary wine . thrilled walk next door coffee / deli shop morning breakfast . walk pleasant 7 block Moscone Center . feel safe area . king room small room , work room small functional . would not try cram several people room would disappoint . love hotel reason would definetly return . 
 Jan 16 2008 	 Hotel great - restaurant stink 	 stay Galleria Park conference town . stay one week . hotel fine , consider price per night competition around area . safe provide convenient access everything . hotel staff courteous , friendly accommodating . room relatively big ( price area , consider 's big hotel chain ) . big complaint restaurant attach hotel - place call & quot ; Parkers & quot ; . two version Parker 's - one Union Square , also original continue get rave review - attach hotel one bad mid - price restaurant area . order pork chop add house salad . salad deliver without dress ( really need remind wait staff salad not dress ) . pork chop taste like piece rubber gravy - absolute waste money . couple inattentive staff , place take hotel rating & quot ; 5 & quot ; something else . enjoy stay Galleria Park , avoid Parker 's like 's infect disease . 
 Dec 31 2007 	 good location walk 	 husband stay Thanksgiving holiday past year . pick base review Trip Advisor visit fine . room bit small think common downtown hotel room . closet really large helpful store extra suitcase anything else not need . front desk really helpful first check NWA & quot ; misplaced & quot ; suitcase hotel able help lot necessity . really appreciate . also able arrange transportation back airport one less thing we deal . wine hour end day nice think would prefer breakfast instead . location good walk cable car , restaurant shopping . the problem hotel honor bar . check notice charge two dollar item take . correct immediately upon review credit card statement day later , notice another charge seven dollar . call hotel say honor bar . tell not take anything credit account . however , wonder many time go happen people staying room . 
 Dec 27 2007 	 Boutique Hotel 	 generally like Hotel . locate corner Kearny Sutter conveniently close Montgomery St Bart Station . nearby Financial District , China Town , Union Square Market Street . location would well block west close Union Square night life . instead Financial District feel neighborhood mean dead night . dead especially quiet lot traffic noise . however close window shut noise . square building hallow middle , mean room face interior space . imagine room much quieter . small roof - top track jogger would appreciate . the hotel old building excellent job remodel . everything first rate linen bed original art print wall . hotel modern , sophisticated look . room average size small bathroom odd corner . wish central air instead noisy unit window . the Hotel staff ok . valet parking around $ 33 per day . allow leave car 6:00 pm day check . People mention wine taste afternoon ; try it . the Galleria Park Hotel clean , comfortable , modern design . location great , price reasonable . book Priceline price reasonable . 
 Dec 24 2007 	 great price - unbeatable location 	 husband stay one night good time . generaly ask Hilton , book settle Boutique hotel . the hotel tastefully decorate room lager avarage SF room . pillow sheet good soft . my glitch noise street , guess heart SF get . they happy hour , impress wine quality . the concierge good , not waste time ask recommendation . concierge duty refer we bad greek restaurant ever life ! 
 Nov 15 2007 	 ok special 	 three friend mine stay three night , visit San Francisco sightseeing . book hotel thru priceline get rate 160 US , ok hotel . hotel locate minute food walk Union Square , location ok . room nice good size , big . bathroom ok perfect . lobby nice interior . service free wine late afternoon , nice . room patio nice , kind dark . look room friend much nicer much light . check check fine , room service fine . book hotel , look offer hotel internet . ' know , price high weekend San Francisco , reason think value hotel ok . hotel ok . sure would come back hotel next time . ' get wrong , hotel bad anything , something ' like – even ' tell . really sure give 3 4 point hotel , let ' say give 3.5 point . overall , come ' anything wrong , ' expect much . think boutique hotel something miss . 
 oct 9 2007 	 Top Shelf Service 	 see mixed review get worry , change check . staff top notch , accommodate even odd need sniff . room small , like european hotel , classy Frette sheet 10 minute walk Convention Center nice place come home . great place stay ! ! 
 Oct 4 2007 	 great location worth price ! 	 stay convention . convenient everything , especially shop dine Union Square . block Chinatown Gate ! staff great , really convenient valet parking . room small , travel another couple end adjoining room . help lot , especially since also travel toddler , go bed early we . quiet room centre courtyard area . kind dark , though , since sunlight filter tall building financial district . would definitely stay . free wine reception every day 5:30pm . nice touch . 
 Sep 20 2007 	 Fine boutique - rough Edges - decent deal 	 bidding via Priceline , luck assign Galleria Park Hotel stay Sept 7 8th . quick get away spend time SFO . primarily look nice , quite hotel near Union Square . Galleria Park decently locate . location decent simple get Bart . arrive early Friday . not bother request early check - in , nothing request . submit email call request direction early checkin . neither honor . arrive hotel , pleased decor . tastfully present . lobby small , intimate , overbear . I ask early checkin front desk agent pretty rough around edge . seem hospitable type entire weekend . hence , tend use service man employee instead . tell hour room .... wait 2 hour ... finally get boom boom room . I not know put room Priceline consumer , small , noisy , need repair . will post picture . on Saturday , request assistance direct Legion Honor museum . tell taxi would approx . 15 dollar . hotel employee call we cab , send cab driver wrong park wrong museum . hence , cost 35 dollar . I not know would stay . maybe one thi property . little work hospitality front . 
 Sep 19 2007 	 great boutique hotel downtown SF ! 	 great find downtown SF ! little boutique hotel big comfortable bed , free wifi , clean , nicely decorate room . recent renovation . get special discount think run regularly make great deal area ! 
 Sep 18 2007 	 leave heart ..... 	 return two week stay Galleria Park , great little hotel , clean nicely furnish comfortable bed ! ! check swap 4th floor internal room top floor street facing room , much bright & amp ; bit large & amp ; happy , do hassle fuss all . staff friendly , polite & amp ; oblige .The location GREAT , fairly quiet night weekend Financial District , approx 1/2 block Chinatown gate , 2/3 block Union Square & amp ; 15 min walk seafront / embarcadero area , one direction North Beach . Perrys restaurant underneath hotel good food & amp ; nice atmosphere . the neighbourhood clean & amp ; feel safe . there rooftop terrace 3rd floor ( large garden side adjoin Crocker Galleria mall ) great bit fresh air sit end long day 's sightseeing coffee tea something strong ! ! would hesitate reccommende family friend ( fact already ! ! ) 
 Sep 16 2007 	 highly recommend Galleria Park 	 husband stay Galleria Park recent weekend trip San Francisco love . room decorate soothe color ( actually make note remember next home renovation ) , bed comfortable , everything clean -- overall impression fresh tranquil . travel quite often ' m easily excite little thing like toilettrie , say shampoo / soap room add whole & quot ; fresh & quot ; appeal -- nice . happen stroll one evening wine reception ; not hang around , several people relax enjoy . ( , however , take couple glass wine us room -- also nice . ) front desk service excellent , everyone always friendly come go . location obviously excellent . be move SF soon definitely friend family stay Galleria Park come visit . 
 Sep 9 2007 	 neutral good word ! 	 stay Galleria 3 night Aug 31st Sept 3rd good experience . the renovation read paint job fixture furniture . the room 7th floor trim fall A / c unit air dam area room look like painter could not get next room quick enough .. room clean check bed quite comfy .. watch toilet plug easy mention check staff member look & quot ; please not bother & quot ; look . all say nice place great location .. think Orchard Bush St nicer hotel money wiil probably book go back . 
 Aug 30 2007 	 great location 	 live San Francisco decide get house weekend wife group woman friend over . great location near good transportation . Wine pour lobby evening . Deluxe queen ( # 424 ) somewhat small large closet bathroom . comfortable bed soft top . ask quiet room inside rather street side fine . 
 Aug 27 2007 	 pleasant boutique hotel great location 	 pleasant boutique hotel . room clean tastefully decorate . complimentary wine serve lobby evening . nice restaurant attach . great location financial district . good complimentary wine serve evening lobby . Valet parking $ 35/ night less SF Omni $ 45 competitive downtown SF . would definitely return 
