Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Mar 14 2008 	 great - interrupt unwanted visitor 	 stay 7 night october 07 ( I m really slow reviewing ) girlfriend . book due location ( mistake ) get good price . ( last time ill ) . 2 first timer New york location be not suitable 9 block Times Square . arrival first evening go walk promptly get lose ( word first timer New York- try find Times Square light sky silly idea get map ) . much immeadiate area- pizza place 2 supermarket . irish pub across road avoid - be Irish figured could go irish pub back home time waste time New York so . hotel 20/25 minute Times square Port Authority bus station . really far we travellle back drop bag shopping travel back Times Square . ( end get lot taxi cut travel time maximise shopping sight - see time ) get back hotel fill mini - fridge cold drink temperature pretty high . however fridge make loud humming noise disturb turn get sleep . bed comfortable room size adequete 2 people though floor space limit leave suitcase top second bed . hear upgrade part hotel look fine we . corridor bit date look issue . tv reception fuzzy though ( watch fox news week ) .Breakfast buffet style food good . however 3rd day get charge day exact breakfast dispute angrily supervisor . do not bother tipping feel service lousy . concierge great - really helpful answering question get go transportation etc . also great help we get ticket Phantom Opera ( $ 40 dollar less theatre price ! ) do not use restaurant evening do not stay hotel day do not use bar reason . negative part- second last night around 3 morning woken persistent squeaking noise , turn light see small mouse scurry behind desk ! ! ! disgust alarmed 5th floor . tear go mad request move let girlfriend sleep ( reason behind already awful experiance Tenerife 2 month early do not want dream trip New York remember wrong reason ) decide say nothing ................ ( GF management ) perhaps good option know . leave hotel day anyway . next time go definatley stay lot nearer Times Square , hotel ok bar problem nothing special . porter helpful - as leave one basically stand middle road hail cab . refuse tip ( be not meagre amount offering ) politeness nice insist . ( side note say mouse get back Shannon - and get trouble it- talk poor judgement call ) 
 Mar 6 2008 	 great location Midtown NYC ! 	 ok , forget horror story mean street New York - Giuliani do major clean city show ! private apartment change hand $ 1.5 million Chelsea Village , Skyline Hotel little gem otherwise expensive location hotel accommodation . stay 3 night February 08 - book direct hotel internet negotiate reasonable rate ( careful additional taxis - unlike UK , include quote price food accommodation throughout city ) not put functional outside facade rather plain lobby hotel arrival ... room large , comfortable spotlessly clean . bed ( 2 double ) die , immaculate bathroom load classic white towel boil hot water . Plenty ( US ) channel choose tv easy access internet main lobby . front office staff ok , leave bag Porter need checking . Norman , concierge , organise theatre ticket even deliver room . price discount full rate , purchase even cheaply ticket booth downtown - do not forget queue - get pay ! Situated & quot ; Hells Kitchen & quot ; area west side Manhattan ( 10th Avenue ) , Skyline perfect location sight Midtown : two occasion go see Broadway show , hotel convenient 10 - 15 minute walk main theatre area . do not put name area : , like many neighbourhood NYC , fast become desirable place live - right Harlem ! walk ( safely ) everywhere Midtown ( New Yorkers ! ) - want use subway near stop block away . take Uptown Downtown ( Night ) bus tour general overview City arrival - leave 8th Avenue/49 Street - 10 minute walk skyline front door . 3 day & quot ; hop on / hop & quot ; option available incorporate 3 day pass even great savingsthe area come place eat / buy food , although hotel brilliant base see sight , do not worry eat - 's much value , choice quality street without join line Planet Hollywood ( must ! ) . look & quot ; Fixed Price & quot ; menus - exceptional value 3 course meal $ 13.95 upwards ! be interetse see much possible short space time , purchase New York Pass - 3 7 day unlimited free access main visitor attraction - save fortune admission price - buy internet go collect Times Square - skip queue Empire State elsewhere ! direct airport bus service from / to Newark arrive / departs Port Authority Bus Terminal ( 42nd street/8th Avenue ) every 15 minute ( $ 25 return trip ) - 15 min walk hotel - pay $ 35 taxi + tip ( one way ? ) yes , get hotel & quot ; central & quot ; & quot ; sights & quot ; would not sacrifice comfort , price convenience Skyline overprice noisy & quot ; image & quot ; location anywhere else city ! like people visit New York , spend hour hotel bedroom - sound like , book Skyline - will not disappoint ! wee gem ... WONT need pepper spray leave home ( lol ) . enjoy Big Apple ! 
 Feb 26 2008 	 Great Hotel . 100 % recommend 	 stay Jan 5 night great time . hotel brilliant . clean , tidy staff friendly . help number occassion recommend certain thing . also sort taxi airport . eat hotel fine reasonable . gift shop friendly staff make easy sort small gift cheap . stay room two double bed fine . change daily tidy . room spotless everyday perfect tourist ony spend around 1 - 2 hour awake room day . tv fine plenty choice . movie demand go NYC watch movie ? everything nice room fridge good . kettle everything perfect , right ? hotel close time square walking distance thing . time can not bother walk get cab not expensive get around area . MSG 30 min slow walk away $ 10 approx taxi fare . fine place city , public transport easy . overall would give hotel 10/10 perfect . night not loud anything compare somewhere central , think perfect want sleep . area situate also lovely plenty eat place close like subway handy quick snack . good , will not dissapointe . 
 Feb 22 2008 	 indoor pool pet allow 	 pick Hotel indoor pool ( pool open 5 - 10pm ) pet allow ( $ 200.00 refundabl deposit ) . hotel far Time Square , Radio City . cooffee pot alrm clock room , do not watch would jam . Nintendo list accommodation $ 6.00 charge one game ( per 60min ) think fair . also Continental Breakfast - Restaurant Hotel . great family , pricy pool hotel CITY . would stay . 
 Feb 6 2008 	 false advertisement 	 book smoking room Skyline hotel Feb 1 - 4 2008 . get hotel tell we non - smoking hotel . website ask smoke non smoking . would never book would tell we non smoking . also get room tv work . nothing take care problem . website also say live entertainment every night . also untrue . find another hotel next day check . would never stay hotel urge people beware . 
 Feb 6 2008 	 bad review 	 go New York mum 21st present parent really well present ! stay skyline hotel choose make booking . 100 % honest would not stay would fancy somewhere little upmarket nothing wrong . hotel lovely clean double bed great . sheet clean bed comfortable do not take much notice you ve walk 12 hour ! downfall hotel slightly way would rather stay central be not hugely modern would expect fashion capital ! 
 Feb 5 2008 	 Good Hotel Good Location 	 Stayed week recently . hotel bit old fashioned clean quiet even though look onto 10th Avenue . room big enough 3 us plenty clean towel every day . problem really room way hot put noisy Air Con cool . dinner restaurant good everyone say there s nice diner across street ( turn left go door ) . location 10 min walk Times Square perfect . will not strike good part city safe enough , would not walk around alone dark that s anywhere really . hotel concierge good organising trip . drop we Woodbury Common go shopping do not go look bus etc . good hotel stay would appear well other friend stay New York . 
 Jan 24 2008 	 surprisingly good ! 	 stay one night hotel Tuesday Jan. 22 , 2008 . frequent traveler NYC , always stay New Jersey take PATH subway city , hear horror story hotel price , drive NYC , cost parking ( find ) . trip season , see performance nearby Ars Nova theater , knock preconceived notion . the winter rate cheap would pay usual Jersey City chain hotel . room big expect ( knowing expect tiny , room decent city standard ) . room clean , renovate least semi - recently . staff great , exception slow check process . the hotel locate close Lincoln Tunnel entrance city . parking site $ 10 day , add room charge . hotel west side , little south Central Park close theater district . cab ride to / from south end Manhattan $ 20 , take subway , easy navigate . area ( formerly know Hell 's Kitchen ) exact BEST term cleanliness feel safe , young woman travel alone , walk around alone late night problem . not present tourist though ( map , camera , act lose ) might help . bring pepper spray case , use . fine , especially travel group day . 
 Jan 24 2008 	 Fab fab fab ! 	 stay hotel 5 time . stay New York 9 time . large room stay , bed sooo comfortable , room everything need . deli road think open 24 hour . shop opposite buy alcohol diner corner . could need ? never use swimming pool - 's bag - can not comment . gift shop useful friend say find cheap compare & quot ; gift & quot ; shop . not eat hotel time find deli could sit eat 53rd street sooo cheap bacon roll lovely ! previously find breakfast good value . bar area could spruce bit , ' m honest , staff always nice . honestly say never problem hotel , area 's food . love ! anyone want information stay - send mail try help . 
 Jan 19 2008 	 make trip 	 friend stay Skyline August 2007 , awesome time NYC , first visit US , hotel clean tidy , room spaciious aircon god send ! ! resturant make delicous food deli hudere meter away fab . amzing time NYC , stay week would definately come back . although constantly tell food portion would huge , do not find , food , shopping attraction reasonably price , £ 7.50 ( $ 17.00 ) Rockefella centre , bargain quiksiver jean £ 30 that s amazing , ever visit UK realise much rip . 
 Jan 3 2008 	 Big Apple 	 friend go New York Nov'07 celebrate hit big 30 ! ! ! evening flight arrive hotel 11.30pm - problem thou check room within 5 min . the room lovely - 2 double bed , plenty storage space , safety deposit box provide & amp ; clean bathroom towel / bed change daily basis . the location hotel fine - 5 min Broadway / Times Square 15 min Macys / Empire State building . food ate - walk we good ! ! use Hotel restaurant stay day - recommend 10 Avenue diner ( turn leave hotel & amp ; 30 sec walk ) brilliant breafast . eat different restuarant night ok - remember tip 15 - 20 % check automatically add bill . if go NY would recommend see show - see Wicked ! ! ! complete shopaholic hotel arrange day trip woodbury common ( £ 20 return fare ) - shopper heaven - load shop even lower discount price ! ! ! ny 5 day manage everthing want - many sight / attraction see - run time ! ! Macy 's & amp ; bloomingdale distract ! ! tip dept store go morning lot quieter - check Macy 's visitor centre , show passport get 11 % discount card - make even cheap ! ! also Sex City tour really good , get see different part NY & amp ; sit Carrie 's step - fan show understand mean ! ! ! time stay feel unsafe - infact like people say feel safe ! ! NY & amp ; Skyline Hotel brilliant - defintely go back thing not time & amp ; would happily stay Skyline . 
 Dec 31 2007 	 nice hotel 	 dissapointment honest . think everything ny bigger well , ! small family room 4 us hotel high rise want good view city . clean staff helpfull , WAW expect . good location block away WAW get first view Empire State Building ! great place explore breakfast plentyfull . New York - city yet come standard ! must ! 
 Dec 28 2007 	 enjoy stay 	 first trip New York City hotel help make first trip success . find fantastic rate website front desk attendant want know obtain . hotel two block subway walk Times Square area not bad , especially two small child . concierge front lobby helpful help we identify place eat kid . room nice sleep well . problem coke machine front desk quickly help resolve issue . as review mention , hotel not visually appeal outside , inside nice . value convenience get good could get NYC . would definitely stay . 
 Dec 23 2007 	 Great Value 	 little nervous Skyline read review . absolutely reason . 7 us group 4 room . spacious , clean bed comfortable . the hotel little distance away centre thing Manhattan Times Square 15min walk away Central Park distance way . negative breakfast - restaurant pure chaos . group difficult get table . would problem 2 . also good range eat place within short walk . the area seem safe walk around night problem . feel far comfortable walk around Hell 's Kitchen dark UK ! ! pool open early morning evening clean , well - supervise large enough decent swim . great way stretch ache walk ! concierge helpful ( busy ) put we right track subway trip Woodbury Common ( going allow full day- rather large , wrap well , store outside - give wife excuse buy another jacket ! ) .would definitely stay , soon hopefully . 
 Dec 19 2007 	 Mixed Feelings 	 be not sure expect never . arrival gentleman behind desk sightly rude , evening arrival hungry . we could not use hotel restuarant facility book private function . basically drop bag find restuarant strange big city . room clean comfortable sparkling clean bathroom lot fluffy white towel ( remain throughout stay ) give room back hotel ok overlook early morning noisy parking lot ) . next morning ask question travel amenetie concierge desk none question could answer make way city . three time 4 day stay could use restuarant book private use , use tenth street diner excellent . feel reception staff customer service ability . 
 Dec 18 2007 	 basic clean good location 	 girlfriend stay skyline 4 night recently must say everything fine hotel . always one reading review many site possible people moan decor , carpet etc often sleep ? ! arrive late afternoon check problem . make way room great surprise . 2 king size double bed , nice new bathroom load storage space . also much delight view Empire State Building . room clean spacious . the hotel boast dining room ( not eat expensive cafe road , one particular call Galaxy 9th Avenue . excellent breaky great price ) . also bar not use 9am-10pm day hotel use crash . one point make way top floor find swimming pool . think use often would great child want exercise ( although walk enough we ! ! ) concierge hotel friendly . book Empire State ticket say weather poor not use would give we re - fund . luckily sunny one day go top . also discount show theatre ticket always worth ask they . so view would definately stay Skyline next time head NYC . ok , be 15 minute walk Macy 's Empire State many site sound feel far . tube run uptown downtown efficient fairly cheap . buy 7 day tube pass $ 24 think worth check . a tip : 1 . go visitor centre Macy 's passport receive 11 % shopping 2 . remember add tax almost everything price see need 11 % add 3 . place put 8 - 12 % tip go meal . though bit cheeky expecially place service poor . 
 Dec 17 2007 	 Awesome time 	 first time visit N.Y ( 4 girlie friend join celebrate special birthday ) ! Skyline Hotel execellent ... room clean spacious . definitely go back hotel . location good . recommend Radio City ( Theatre xmas show ) magical . Mamma Mia amazing . love time together , shop 5th Ave brilliant ... say . Di Firkins Worcestershire . 
 Dec 11 2007 	 Basic well locate hotel 	 wife return first visit NYC , read numerous review Skyline Hotel , not understand fellow guest negative hotel . find Skyline clean warm throughout 4 day stay , staff kind informative , hotel 10 min walk Times Sq , attraction perfectly safe walk around especially night , even though hotel notorius Hell 's Kitchen area . use restaurant fro breakfast , fine , could Continental American . leave ask PAYG Internet Service lobby , check - in online 24 hrs flight book seat go airport $ 2 10 min well worth , pc lobby area . 
 Nov 26 2007 	 Grateful thank 	 third visit Skyline Hotel never disappoint . time however thing slightly different . arrive New York Saturday afternoon actually stay near airport travel City train evening . Sunday morning collect hire car drive Manhattan hour travel way 3 week tour New England States . husband remember parking facility Skyline head park could take short walk Town . unfortunately husband collapse Street seizure spend next 4 day hospital . evening make way back car park call desk see room . luckily morning ring reservation see available . Tuesday morning tell fully book bell boy point young woman tell speak . turn Director Operations - Daisy Ramerez - moment become star help much . go way beyond call duty eternally grateful . tell stay tell room long need . cancel trip husband advise drive Daisy help cancel booking , let use telephone office carry make call go visit husband . know mean comment Hotel want let people know situation . first warm human contact have two day apart Husband truly brilliant . everyone would offer support like ! skyline splendid location , room recently refurbish ongoing work happen dining area . husband come hospital two day walk take beauty City . hope one day go back New York ' m sure visit Skyline . Daisy read & quot ; guardian angel & quot ; time feel low - thankyou . 
 Nov 19 2007 	 Loved hotel 	 Nice hotel situate far Times Square & amp ; Broadway , outside hotel busy main street , shop across street , hotel clean & amp ; tidy , great food , nice bar , hotel room good , great view Manhatten , internet main lobby use Hotels computer , drink machine floor ... 
 Nov 19 2007 	 great hotel fab location 	 I ve stay hotel 9th november 2007 4 night , , the brochure do not hotel justice , book package include transfer , get taxi could cost fortune traffic , , the staff helpfull guard time help , room big 2 double bed , tv sky , game internet room , , the bathroom clean fresh towel every day , , , do not use restaurant bar time internet lobby use , , there pizza place face hotel good , , , , hotel 3 block time square close , , , , would recomend hotel anybody I m travel agent recomending , , I go girl work , 
 Nov 19 2007 	 problem ! ! ! 	 review previous Hotel sure expect . stay 10th -13th Nov 2007 fine . problem . room huge two double bed . daughter comfy .The bed clean bathroom . Maids staff great . location not bad short walk along 49th Street Times square . suppose everyone see ' ' how see ' ! not ..... never breakfast ... always eat 10th Street Diner collect previous review . great ..... cheap . hotel turn leave , side road , minute away . couple day card would not swipe door .. call reception deal straight away . have great time ... go back .. beside review ! 
 Nov 13 2007 	 dive ! 	 break window would not close front desk would answer phone -- place place stay -- even budget ! 
 Nov 13 2007 	 great location allow dog 	 stay 3 night group Oct 07 . great walk hotel . get Broadway quickly . felt safe . breakfast good . however , aware hotel allow dog not require owner take care . bark dog keep we awake 3 one night hotel would anything . would stay could guarantee dog floor within 3 room . 
 Nov 12 2007 	 good value hotel ! 	 boyfriend stay five night March 2006 . get bus Port Authority bus station walk hotel luggage , not far . hotel also not far key location , within walking distance . room quite small , exected . room clean fridge , hair dryer iron . quite noisy hotel night lot kid stay , not control noise ! would go back hotel stay New York . 
 Nov 8 2007 	 plesantly surprised 	 honest reading recent review hotel dreading visit , could happy , hotel room first class , spotless well set , overlook main road add holiday view room could well , manhattan skyline light , fourth floor great . we aim return next year walk around NY find hotel also list go book Skyline , short walk Times Square far enough away busy part . if anything restaurant staff least helpfull friendly , try breakfast ... explore Times Sq instead that . the bell boy clean maid brilliant staff reception cab wait outside hotel ready help . 
 Nov 6 2007 	 definatly going 	 arrive hote love , staff helpful . room front hotel , 2nd floor big tidy . side concierge ( think that s spelt ) book taxi unsure get airport time trip home speak what s good , convince us book private company ' trustworthy ' .... wrong . make we 3 pick end 10 us squashed van ( $ 22 ) ...... far enough 2 get yellow cab , get room price ... anyway back hotel ... hotel 10/15 minute walk time square fab .. also boat trip pier 83 , also good 10min walk . Im go back new york next year use skyline ... 2 thumb 
 Nov 5 2007 	 Bug House 	 Sorry folk stay two night part tour disappoint . our room front part hotel 2nd floor second morning partner bite bed bug actually catch bed sheet low end bed . ( gross ! ! ) speak tour director problem present bug manager . even receive apology manager grunt we . the last see house keeping supervisor go look situation never hear another thing relation problem . seven day later land hospital allergic reaction bug bite . the good thing hotel location restaurant , food good well price . apart take insect spray . 
 Nov 4 2007 	 Great Hotel Great Location 	 family stay skyline hotel 23rd Sept 2007 3 night { wish long } know expect hotel cheap pleasantly surprised . location hotel brilliant walk easily sight , barely 10 min Times Square Broadway do not seem many decent eating place near vicinity evening meal hotel , excellent , wait staff pleasant particularly waiter serve we MEXICAN CORONAS ! lounge area lovely comfy sofas remind friend ; wish would put light dark lounge . bedroom 5th floor fantastic view EMPIRE STATE BUILDING ! room clean comfortable would recommend hotel anyone . we hope return NYC would definately stay hotel . b SCOTLAND 
 Oct 31 2007 	 ok place stay 	 stay Skyline 1 week 21st October 2007 . read review must admit bit wary , everything ok . room fine , bed cover bit & quot ; 70 's chic & quot ; spotlessly clean give clean sheet towel every day . would also read wardrobe hang space , large walk closet coat hanger , iron ironing board safe , guess depend room get . bad thing tea / coffee make facility , although couple deli 's opposite hotel . fridge either . like other say 10th avenue diner place go breakfast . the location good , 10 minute walk broadway . have great time New York . great time you re going- lucky devil ! ! 
 Oct 31 2007 	 Unworthy 3 star - Pay Less Get elsewhere ! 	 first impression hotel clean , dingy bit shabby . staff , except pleasant reception girl friendly polish porter , surly say least ( would love know poster find friendly helpful staff - talk hotel ? ) bedroom adequate , lack coffee make facility major disappointment ( think every hotel kettle coffee sachet room nowadays ! ) ' m afraid like coffee wake whilst may seem trivial , known advance , would book elsewhere ! read review Trip Advisor mention fridge , feel let item remove . bath plug miss not work make shower . the view room awful - garbage area spare parking lot underneath . make huge mistake first morning use hotel Breakfast - burn bacon , curl sausage revive previous day hostile staff . bill incorrect ( one american two Continental suddenly become three american ( funny go expensive one ! ) needless say , not get tip ! ( not realise 10th Street Diner thoughtfully recommend guy Shotts close good ! ) , use 10th Street Diner humbly suggest likewise ! use HOTEL restaurant - 'S worth ! ! ! always feel stay centre thing Big Apple , be really case . Staten Island ferry free reasonably price hotel stay stop subway , combine subway bus ticket $ 7 day unlimited travel . since Mayor Giuliani exercise zero tolerance thuggery , New York pretty safe ! overall Hotel adequate , worth money pay - even budget hotel like Holiday Inn Express La Quinta Inn offer service value ! 
 Oct 25 2007 	 good hotel - Great Location 	 enjoy stay hotel . good clean double room daily maid service . shower great ! ! ! ! staff helpful booked airport transfer Newark Broadway ticket front desk - reasonable price . do not bother use pool book breakfast hotel . breakfast go 10th Avenue Diner hotel turn left - great place . hotel far Times Square Central park . use ever lucky enough New York . 
 Oct 14 2007 	 good base decent price 	 stay Skyline back not look something spectacular , rather somewhere clean , safe good location could you . I not eat can not comment bar friendly , decent atmosphere although room basic nice enough . I not really deal staff lot say hello smile pass etc . the hotel quite central , maybe ten minute walk broadway Times square , give exhobortant price NYC hotel good place any . there bar nearby also takeaway food store shop . , give much New York hotel cost , decent choice . 
 Oct 10 2007 	 alright money not buy breakfast ! 	 stay Skyline 4 night July 07 . hotel ok room ok good size ( apart smell stale smoke - must old smoking room ) . let place though staff something go wrong . 2 teenage boy tv whole time no - one care . not whatever buy buffet breakfast - rip ! thing run 's tough luck cause not refil . go 10th Avenue diner ( hotel turn leave ) breakfast fab ! room bathroom clean parking excellent well . hotel well situate Times Square excellent restaurant Hells Kitchen . miserable member staff award go woman ticket desk Natural History Museum ! 
 Oct 1 2007 	 Great New York Hotel 	 ' ve family holiday New York - Skyline rate 3 star site would say definitely 4 star . great accommodation , clean comfortable place stay famlie . the room spacious ( 4 we stay comfortably deluxe King sofa bed ) staff friendly helpful , nothing much trouble . pool penthouse must one good view Manhattan skyline could see comfort ! lucky clear view Empire State Building room new block , 7th floor . the hotel leisurely ten minute stroll Times Square , safe residential area . lot good place nearby eat 9th 8th avenue good Deli 's right across road cheap take - away food drink . if get chance go back New York , would stay . would definitely reccommend hotel family 
 Sep 30 2007 	 Average Hotel good base short stay New York 	 four night trip see sight new york . much see not spend great deal time hotel . find clean well price ideal requirement . overall staff freindly helpful not problem . not however double room free arrival instantly upgrade suit first night . may say pain move room stay not complain . thing may surprise hotel high rise building like other . consider 's name make smile . 
 Sep 26 2007 	 ' great ' 	 friend family New York recommend Skyline glad , nice hotel , pleasent helpful staff , might say hard find New York ! - close Times Square groovy place , going definately recommend hotel friend look visit ... skyline everytime ; ) 
 Sep 21 2007 	 Nice hotel shame staff 	 Skyline nice hotel good location . could bit modernisation room clean comfortable bathroom spotless . would read review say area bit dodgy find ok - suppose depends use ! handy Times Square , n.the excellent restaurant diner 9th Ave . would excellent stay one member staff extremely rude unhelpful problem ( cause third party ) . pleasant helpful rest staff would ok.overall reasonable stay mention good locatio 
 Sep 19 2007 	 Great Location Good Prices Nice room 	 husband book Skyline Hotel New York ( manhattan ) anniversary . hotel onsite parking daily fee ( cheap garage ) . skyline 10th avenue , within walk distance Broadway , rockefeller center , radio city music hall , david letterman show , etc . hotel indoor pool overlook city . pool need update back , still nice & amp ; clean . hotel staff friendly room really nice . room clean bed comfortable . attach restaurant , much good food New York , never even step inside adjacent restaurant . overall , would recommend hotel .. clean , quiet , comfortable good rate . 
 Sep 6 2007 	 pleased ! 	 spend 6 night Skyline . read review bit concerned pleasantly surprised . stay Deluxe Queen room . spacious , clean bed comfortable . hotel staff friendly maid service excellent . daughter walk Times Square every evening always feel safe . block center thing definitely within walk distance away crowd . one well price hotel value ! 
 Sep 5 2007 	 stay somewhere else want service 	 travel lot stay lot hotel rare find combination dirty room , smelly elevator ridiculously rude unhelpful front desk staff - Skyline ! example , ask late checkout tell & quot ; impossible & quot ; end discussion . nice . oh yeah recently upgrade room ? move room disgusting describe tv work . the plus kid like pool view provide room quiet . beyond merit hotel all . in city would $ 59 / night Motel 
 Aug 25 2007 	 Rodent room 	 find staff unhelpful unfriendly good rude bad . also find mouse sharing room we , staff apologetic concerned seem surprised . move another room overly clean . not already pay whole 2 week several month ago would move elsewhere . never unpleasant stay hotel . third time New York not problem . find area around hotel intimidate time , seem high average number drug addict drunk nearby see gang intimidate people couple occasion . 
 Aug 5 2007 	 another great stay Skyline 	 return another great stay Skyline Hotel locate Hell 's Kitchen area . stay room 549 newly renovate section hotel . room large NY standard ( king bed full pull sofa- great family four ) . staff great , room exceptionally clean . arrive NYC noon unable check room . bell hop store luggage could start enjoy city . park car ramp next door $ 10.00 per day ( in / out ) reasonable NYC . miss coffee maker room Amish Market one block 9th excellent coffee bagel . tv work finally check 6:30 pm fix time arrive back hotel next afternoon . ( big deal we exhausted care tv ! ) use pool , comment . room small fridge- great store Roxy 's cheesecake ! would highly recommend Skyline- not afraid Hell 's Kitchen area either- never problem even walk Times Square midnight . 
 Jul 26 2007 	 great hotel 	 get back new york spend three nite skyline hotel read review hotel bit afraid would find pleasantly surprised hotel clean staff helpful nice view city 3 long block walk broadway take 10 minute starbuck way great view swimming pool amaze nite 
 Jul 24 2007 	 good location value . 	 location hotel great . two long block subway . close enough Times Square enjoy . far enough away avoid noise light good night sleep . problem walk around area . bed firm - firm . tv work - tell satelite dish issue . pool could open little early afternoon , offerre good way rest weary leg foot . clock radio room coffee maker . room keep clean . 
 Jul 10 2007 	 not forget earplug ... 	 stay Mar 9th thru ' Mar 13th year ( miss St. Patrick 's day -d'oh ! ) , be thought ... pro : * price - reasonable GBP480 four night , include taxis . * room size - yowza ! big NY , relatively small cost . room 409 - squint video upload want see size / layout etc ( although make apology quality film - 's prize anyone make end without fall asleep ... ) * facility - not many hotel ny good sized pool , on - site parking another definate plus . * location - folk might consider Skyline 's location far , we perfect ; five minute stroll along 8th Ave safe day night . * Maid service - efficient unobtrusive , exactly want maid service . con : * coffee - make facility room ( although fab wee deli 's across road fill void , require . ) * hang - space room - tonne room one little rail hang clothe ! not really unpack five day , dig deep suitcase ! * bang door - one thing hotel find hard live . happen share corridor kind school / club gathering , hence every room corridor seem least three teenager resident . might imagine , lot room - hop odd hour day night ( ... ahem ... ) , remarkable lack stealth subtlety involve say hop . basically , room door bang unless close softly . teenager corridor clearly not master art soft door close ( truly complicated task , ... ) whoever suppose supervise clearly drink oblivion bar , cope mechanism , go unchecked . yes folk , lot bang go Skyline weekend ... * pool open hour - great . would much prefer early morning swimming , pool hour late afternoon evening . there quite bit say T / a surly staff Skyline , general , find reception staff porter okay - nothing write home , certainly rude . could say breakfast room personnel . will go back ? absolutely , may begin petition soft - close door go ... 
