great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Oct 1 2008 	 Fantastic ! ! ! 	 partner return weekend break Russell Hotel . hotel fantastic ! ! short walk Russell Square tube station ( mean short walk - 2mins approx ) check without problem . room first floor , absolutley lovely . think bed possibly comfy ever sleep ! often bed hotel rather hard side , one ! room equip everything need short stay - tea coffee make facility , iron board , etc . request refurbish room make booking , read review bit dubious sort state room would . request obviously note room far shabby , lovely bathroom attach side . breakfast include price pay hotel . plentiful variety thing choose , include croissant , fruit salad full english breakfast . nice not think worth £ 20 charge not already pre - booked room - bit steep think . unfortunately , Russell Square Station close weekend maintenance , speaking concierge ( helpful ) , point we right direction near station , Holborn . still short walk away ( 10 min ) . location Hotel fanatstic . within walking distance Oxford Street close number tube station . fairly central away hustle bustle . nice restaurant close Hotel , would recommend go Leicester Square evening . load bar restaurnat choose ! much London weekend simply long enough . however , recommend London Dungeons ( scary ! ! ) London Zoo . also , like bargain Camden must . load market boutique nose around . overall , would give stay Russell 10 10 , definitely return near future ! 
 Sep 28 2008 	 become tired 	 stay Russell couple time past . enjoy previous stay immensely . two year since last visit feel whole place look tired . arrive late afternoon find room ready . big deal really wait 15 minute . the room spacious comfortable look old tired . curtain hanging hook high fix . stay like 6 night stay . confusion breakfast . first morning apparently include booking . next day name ' list ' tell would ' sort ' . continue next morning check find charge 80 pound breakfast . ? ? ? ? young fellow check tell lucky charge every day ! mind difficulty understand accent , perhaps problem mine ! ! ! ! would stay ? sure . be close everything aspect lovely . however standard appear slip little . staff happy helpful previous experience . maybe 's time give another hotel go . 
 Sep 18 2008 	 nice service 4 star quality 	 excited book Russell great price . entrance lobby quite beautiful clean . however , inefficiency front desk begin problem experience Russell . first tell could not find room ... glad confirmation paper . say not style room available , would put nice room refund difference . first room take small , cluttered , view brick wall . hallway outside door paint smell paint strong . call ask another room . move another floor . next morning , begin paint . order room service one night , order come miss salad bread . order gourmet flatbread , burn cover grease . call kitchen , say chef long cook hot food night ( even though 45 minute advertise closing time ) . hung & quot ; Disturb & quot ; sign door late one evening . 9 am , housekeeper begin call room ask could come . apparently sign mean will not knock , will not disturb . upon check , find room service meal invoice . complain , take three people decide take . location great , service amenity certainly one would expect 4 star hotel . 
 Sep 15 2008 	 Architectural Beauty inside - relax stay . 	 Stayed end August ( Bank Holiday ) book last Minute.com - great deal Room / Breakfast / Dinner . Comfortable Room usual amenity include small fridge ( minibar ) . ensuite shower room adequate large shower cubicle drawback slide sideway onto toilet gap washbasin . we open french window onto small balcony reasonable airconditioning ( go 19c ) .dinner book least half hour advance - though dozen people dining time dinner . dinner good - taste presentation -and staff obliging . our dinner include room rate 3 course £ 25 2 £ 20 think . the tiny coke see £ 2 ( 200ml ) .Breakfast ok number people dining room astonish - crowd - not know come aware small number people time atmosphere calm time everywhere . the slight problem check reception staff take little sort booking also check try finalise bill . conclude satisfactorily - take little time patience . there lot place close buy eat also small Tesco buy thing eat drink Tube close 15mins walk St. Pancras / king Cross relax , pleasant place stay 
 Sep 11 2008 	 Great Hotel Great Location 	 stay Hotel several time last 10 year . find Hotel pleasant , great location . think standard slip since Hotel change hand , drasticly enough notice . as single traveler single room small , past always large room . room still comfortable . price , never understand people pay £ 100 pound night , like say ' ve stay several time never pay £ 60 pound night always include full english Breakfast . try net well know travel company , Hotel always offer . 
 Sep 10 2008 	 elegant hotel contemporary room perfect location . 	 beautiful hotel , within 5 minute taxi drive St Pancras station . request furbish room read review trip advisor , get one problem . medium sized room , stylish , lot lighting , nice shower room , sky tv etc , breakfast lovely , dining room hallway within hotel elegant traditional . overall great hotel , definitely use . 
 Sep 9 2008 	 good location .... 	 useful location West End , Euston , St Pancras etc . generally well - appoint furnished , nice period feature . well usual tea - make facility room . tv set could modern model . efficient , friendly staff , particularly concierge . good quality foodstuff breakfast though choice fall short upper - end four - star , also reflect table setting down - market paper napkin . pot tea coffee bring table promptly , hot ( often hotel coffee luke - warm ) . downside ( one address PH Hotels asap ) ; double - glaze ( fifth floor ) sleep disturb noise reveller downstairs hum large ( central heating ? ) plant central courtyard . Michel Parfois - Sage . 
 Sep 7 2008 	 Low Quality - High Price 	 Hotel Russell continue inexorable slide quality London accommodation . board agency classify four - star hotel need go continental Europe find two star hotel compare favourably Hotel Russell . stay Room 536 follow comment make : Negative- badly stain carpet foot bed ; - one drawer reasonably use store clothe - three small ; - wardrobe bottomless , limited quantity hanger available , clothe remain luggage ; - window open couple inch keep check , rather crudely , couple wooden piece screw frame ; - bible anywhere room ; - watch tv go entire procedure welcome , choosing & quot ; entertainment & quot ; among option , by - pass invitation view pornographic material , select preferred channel ; - wall - paper come away wall edge ; - airconditione unit unusable emit smell indicate filter change / clean age ; - member staff obviously use English first language consequently struggle communicate ; - wooden writing desk one corner become detach rest frame . Positive- bathroom facility good ; - bed comfortable ; - breakfast good varied ; - staff good help ; - ideally locate . I reiterate opinion hotel seriously over - rate . travel quite often permit compare hotel . say , four - star hotel Brussels , Amsterdam , Hague , Malta , Rome , Florence , Bolzano , Vienna , Interlaken , Stockholm , Oslo , Alesund , Dublin Agrigento vastly superior . indeed , even good old Travel Lodge provide well service , , modest price . 
 Sep 7 2008 	 DEFINITELY stay 	 hi - bit worried staying read previous review ( read booking ! ) say critic ... stay place ? hotel lovely , elegant , friendly & amp ; helpful staff moment enter , moment left - room party ( friend 's 40th bash ) beautiful SPACIOUS ! ( four different room different area hotel ) - bathroom beautiful clean ... see none cricitical point mention here . the breakfast great - service staff really friendly helpful - selection good food available really outstanding . would definitely stay . 
 Sep 4 2008 	 great location 	 wife stay Hotel Russell one night July . read wide range report Trip Advisor , good bad , somewhat apprehensive await we – event ' bad . visit start bad nightmare – record booking ; however , short delay whilst retire bar assure room available , problem sort allocate room 3rd Floor . whilst clean , well prepare nicely decorate , big room 4 * hotel bed standard 4 ' 6 " double ( hotel similar standard least king size day find ) . en - suite combine shower bath could difficult old guest . weather warm use air - conditioning , unfortunately quite noisy . typical many hotel , coat hook wet outer garment ( issue we time ) . disappointed lack storage space would problem extend stay fact one armchair . like provision empty fridge rather usual exorbitantly expensive mini - bar . public area generally well decorate throughout , entrance quite spectacular . point member , step corridor could hazardous old unwary . also corridor plain wall reduce luxurious feel place ( see photo ) . view window fairly open roof nearby tree distance , bad central London think . window ' Friend Hand ' pub , convenient consider hotel bar price - pay £ 40 couple drink two round fairly ordinary sandwich . breakfast good , aware Continental Breakfast serve bar full service standard available Dining Room . last point concern lift seem capacity problem , whilst notice say 8 passenger ( 545 kgs ) carry , overweight warning go whenever 3 people step – bit embarrassing concerned ! ! notwithstanding minor issue relate review , would stay hotel mainly superb location close many London ' tourist attraction ; example Covent Garden many theatre within walk distance Russell Square tube station doorstep . thing conclude other enjoy stay amongst 373 room must really awful one . 
 Sep 4 2008 	 disappointed return 	 return 4 star hotel wonderful stay last year . book 3 double room . friend arrive tell 1 room book able check , keep wait hour , return enquire happening . reception staff seem know handle situation totally irresponsibly . finally arrive situation resolve . check give appear staff quarter ! ROOM 549 room outdate , old furniture , wear carpet , tile grotty bathroom , fridge mini bar . outside constant hum extractor fan . three night . mention reception disapointe quality room last year allocate lovely room ( would expect 4 star ) hence return . go back Russell . one good aspect stay hotel great location sight see breakfast ok . DISAPPOINTED GUEST . 
 Aug 29 2008 	 return 	 stay - think safe choice . reception poor- money deduct card immediately- take 40 minute . plug bath - tell could not one health safety ! fridge not work - fix . breakfast complete chaos - not believe say set bar - not ! staff overwork unhelpful . Russell Square tube station shut - could get alternative route . final straw - wake call last morning . poor return London time . go Bruges Hotel Tuilereen - contrast ! 
 Aug 21 2008 	 disappointing 4 * great breakfast 	 book hotel overnight stay theatre trip London surprise husband . I look several hotel book one alpharoom . decide factor site state hotel undergone refurbishment central 4 * , plus photo bedroom look great , boutique style . we give room definitely refurbish big double bed , bathroom flight step unfroste window filthy curtain emergency exit bottom stair ? ? ? decide complain reception fair immediately change room . mention room not look like photo see state alpharoom use photo . also mention site state hotel room refurbish claim 50 % room do . think go , get pay pay budget budget get ! plus side - breakfast great . 
 Aug 13 2008 	 Fab hotel brilliant location 	 boyfriend treat day London xmas present hotel make really special , visit London year since little , stay lot city centre hotel definately good . room lovely comfortable double bed , lovely bathroom good shower . centrally locate ie tube stop around corner , taxi 's £ 5ish centre . breakfast brilliant really set day . concierge helpful , recommend restaurant book taxis we . wish could stayed long . 
 Aug 11 2008 	 fantastic hotel excellent service accommodation 	 despite read negative review hotel , pleasantly surprise Hotel Russell . minute arrive minute leave , excellent service staff , especially irish concierge duty manager go way help we . the room lovely quiet , ensure good night 's sleep . breakfast excellent great service - like review post traveller . I would definitely stay . get great deal Travel Republic would recommend hotel visitor planning trip London . theatre etc within 10 minute walk tube doorstep . 
 Aug 10 2008 	 NEVER 	 book Birthday present partner day / night London . enjoy time apart accommodation . deeply disappointed regard stay apparently ` ` four star hotel '' likely two star . consider pay £ 116.90 1 night room breakfast give filthy room . 558 view court yard full pipe , bin , filth noisy air vent . window room not probably wash year , room dusty , lampshade stain bonus unbearable heat bedroom . Generaly decor outdate hotel ashamed advertise untrue picture website probably ` ` good room '' .Aircondittioning go 19 degree , however even help constant heat . could open window either , noise air vent . morning hope least breakfast would pleasant experience consider price continental breakfast £ 18.50 . wrong ! like cattle market , come breakfast cafe join massive que , everything disorganize mess . pay £ 18.50 2 croissant coffee expect different kind service ! would also like point upon check hotel receptionist inform we pay £ 1 extra full english breakfast , however actually breakfast everyone help anything anyway sure kind rip . honestly tell will not recommend Russell Hotel mine partner 's friend / family / colleague sure never stay filthy , filthy disorganized place again . I book IHR booking service website www.bookahotel.com also complain staff info @ internet-hotel-reservation.com far response . 
 Aug 9 2008 	 stay elsewhere 	 pay sure could well . big positive close tube British Museum . contrary review find front desk staff useless . concierge hand wonderful . breakfast nothing great price , cold toast , pedestrian pastry greasy bacon . room large , nice amenity bathroom , towel warm work . coffee , tea hot chocolate available room water bar fridge . bring drink bar cleaning staff put hallway first night , still check three day later . phone charge outrageous . wake call 4:30 get airport , never come ! Tesco , right across tube station handy drink park across road lovely . 
 Aug 6 2008 	 Excellent Hotel 	 stay hotel one night business trip London ; second time stay hotel , find hotel nice change ubiquitous modern chain . exterior wonderfully unique situate Russell Square 200 yard around corner Russell Sq Tube Station . room rate quite expensive , time ' stay room allocate rather small ; however well fit good quality modern wardrobe unit adequate storage . build safe within unit . I find front desk staff professional friendly , service smile . the foyer give feel quality , quiet cool surrounding marble flooring , panel grand staircase . I eat breakfast impressed quality food service staff . stay last August hotel extremely busy queue seat restaurant due number " diner " service affect noise " chatter " within room horrendous . price drink hotel bar expect , high even London price , surrounding pleasant , would expect build age quality . numerous bar restaurant around area , towards Holborn Covent Garden towards king Cross . as hotel set within busy urban area , usual night noise . woken Holiday Inn garbage collection 5 , imagine sleeper neighbourhood ! would certainly stay . 
 Aug 3 2008 	 Poor Housekeeping 	 Hotel beautiful property decorate high standard . location ideal visitor london handy tube bus stop . the staff friendly helpful breakfast good standard serve lovely efficent restaurant . the hotel really let poor housekeeping standard . bathroom floor fitting dirty hair previous occupant everywhere . floor clean 3 day stay general housekeeping really let hotel . ironically bed linen towel change everyday , neglect essential like clean floor ! plate , glass dirty tray leave hotel corridor 2 day remove . hotel standard size really acceptable . real shame standard housekeeping let hotel otherwise would perfect . warn standard rear face room overlook large air con fan extremely noisey 24 hour day . do not like noise whilst try sleep , ask locate near fan . tollerate bit dirt noise bad hotel . friend stay nearby Radisson hotel seem well standard similar money . 
 Jul 31 2008 	 grand lady 	 fantastic hotel within wonderful historic building . single room , yes small clean comfortable . location next Russell square pleasant convenient British Museum University College London , London School Hygiene Tropical Medicine . hotel close Underground , hop hop bus , bus route . little restaurant enclave nearby , nice book shop ( Bernard Black 's black book ) .I find breakfast bit dissapointe not bother . fruit fruit stall corner instead . much healthy . I would advise add water room ( even $ $ bottled water would good ) - wake thirst one night go bar pjs glass water . felt silly . 
 Jul 30 2008 	 great location - great stay 	 stay hotel russell 3 night would recommend anyone good base see London . hotel entrance grand right russell square - lovely sit coffee beside fountain . tube station less 2 min away . woman 2 teenage daughter feel safe use tube walk hotel . share room get fantastic rate sunday night half price stay fri sit - worth check book . although room small , clean bathroom fair size lovely shower . staff helpful bed comfy - want whistle stop site see tour london . major attraction 3 tube stop taxi fare ok fairly central . go campden sunday amazing great base west end show . king cross station 1 tube ride find easy walk case take 15 minute . would stay sure . 
 Jul 22 2008 	 Great Hotel 	 lovely traditional hotel , center London , yet 20 minute walk west end . picture web - site exactly , look Russell Square . inside wonderful . book single room look Square , ample space nice bathroom attatche . bed comfortable room need four star hotel . floor non - smoking . staff friendly moment walk door . although stay one night , lovely breakfast , wide choice . also stay lunch good . certainly come back , good traditional hotel , lovely room , friendly staff good food , great one night stay business , long weekend even long stay London . 
 Jul 13 2008 	 Nice 	 stay hotel area decide would try Russell . excellent hotel . room nice , although decor bit outdate . bathroom update . trouble heat a / c unit . thankfully not bother we . one word caution , door corridor paper thin could hear anything & amp ; everything hallway . light sleeper problem . the staff desk pleasant . 
 Jul 11 2008 	 great hotel 	 Booked hotel connextion website special offer time pleasantly suprise nice even review little negative . think hotel location great visit London close British Museum tube station . reception staff polite friendly . room quite modern clean , spacious . however request change room second night find room first floor look inward hotel large air conditioning unit outside window mean disturbed night sleep however reception staff accomodate arrange us room face outside hotel even move bag we day . sum great stay definitely stay hotel . 
 Jul 4 2008 	 great hotel great location 	 think hotel great . pricey , expect London . location amazing ; close British Museum tube station . nice let check early tell not like room ( since one available early ) could wait well one . room different ' ve ever stay - two floor , bedroom one floor bathroom another - think charming , clean , spacious ( fact bathroom large hotel ) . not find noisy , like reviewer say . complaint windows can not open fan not seem work properly . great stay definitely stay . 
 Jul 2 2008 	 never 	 wife stay Russell hotel October 2006 attend business conference host hotel . stayed institute negotiate reduce rate formal dinner hold evening . arrived finally get check , long queue conference attendee front we . room adequately size clean , nothing special . dinner evening appalling , complain event organiser organiser quality food well cleanliness waiting staff . frank waiter serve table , employ hotel , severe body odour issue . mention hotel management get stony stare response not problem contact event organiser . Breakfast not include package report much . understand local cafe good trade disgruntle guest . adivse institute hold event . check nightmare , bill wrong argue checkout woman make telephone call . fantastic facade outside let shabby staff take visitor UK guest grant poor service surly attitude . 
 Jun 29 2008 	 good perfect 	 stay Russell one night May 2008 attend meet hotel conference centre follow day . room meet organise office . hotel right Russell Square essentially next door Underground station , find without great difficulty . check - in relatively hassle - free , not impressed attitude receptionist , certainly not one might describe & quot ; eager please & quot ; . room first floor bit trek lift , include go another step first floor . not problem disabled guest have worth request room direct access lift . room comfortable . twin London good size two single bed , wardrobe , work desk chair , tv , tea / coffee tray , large bathroom . window far side room cover film make impossible see outside . think room back onto wall case . would make seem little claustrophobic room good size . the breakfast good standard , hold grandiose hotel restaurant . complaint . meeting room reasonably well equip ( see photo ) , coffee biscuit locate outside room entrance conference centre , mean everyone pass would help facility ! complain business centre people quick assist we . after meeting go hotel bar make use special offer & quot ; 1/3 first round drink & quot ; conference delegate . take good part 20 minute bar staff would believe meet hotel , quite honestly fuss make deduct amount £ 10 bill ( well thousand column ) almost sour whole stay ! summary Russell nice hotel , staff attitude leave little desire reason probably would not choose stay . & quot ; place & quot ; office night hotel unavailable 'd happy enough return . 
 Jun 28 2008 	 love rip - go hotel 	 want centraly locate hotel since number meeting attend want peaceful night 's sleep meet next day 's challenge . pay premium nearby hotel claim website . whole stay end one bad 15 year international travel . start room give cubbyhole great picture put website . protest ask well room , tell sell nothing could do . the plumbing bathroom iffy since rush meeting , ignore think sort time come back evening . wrong . come back skip soak bath tub take shower instead - allow drain take time drain water . the hair dryer work despite repeat call help , none forthcoming . room service take 45 minute food deliver cold little courtesy . time , know come wrong place . good possible thing circumstance - check soon work - promise never RETURN tell world one else get fool website . Kim 
 Jun 27 2008 	 avoid - much well hotel London 	 resist writing review , read review site , think also make contribution . traveladvisor good past , probably give something back . stay July 2007 , friend , book via wotif.com location price convince stay . stay two occasion , different room price time . first time , offer upgrade executive room additional 40pound , take offer . room nice ( see picture ) , although incredibly noisy . use stay city , good hotel nowadays double - glaze window - room not , mean sleep 4 - 5 am , London noise take bit lull ... location good though - close British Museum , walk distance Soho , etc . - little shopping area around corner ( near tube station ) place cheap , wholesome breakfast . , okay . the second time , not offer upgrade , stay centre room , look airconditione system . room tiny , small climb bed get side room . uncomfortable night 's sleep . , think much well hotel London , price . , avoid Russell , even mention Old Possum 's Book Practical Cats T. S. Eliot . 
 Jun 22 2008 	 least reasonably price 	 stay recently London business . overall , would not stay , although might ok vacation cheap enough price . plus ( 1 ) reasonably central location , e.g . visit tourist site like British Museum ( 2 ) discount available , make moderately price London standardsminuse ( 1 ) poor service - call guest service take & gt ; 10 ring answer ; long queue check - in / check - out ; ask newspaper preference check - in , charge check - out ( i.e . tell newspaper free ) ( 2 ) room face internal courtyard view ( window frosted ) . least not face busy main road ( 3 ) although bathroom renovate , bedroom furniture tired look like renovate ( 4 ) gym 
 Jun 17 2008 	 would return 	 stay hotel 1nt , honest , night could not quick enough ! room compact find difficult sleep feel squashed ! breakfast ok eat .. bad tummy ! communal area hotel quite elegant good location get Covent gdn , Trocadero etc , however , think room size terrible 
 Jun 16 2008 	 not stay might experience like 	 normally book 4 & amp ; 5 star hotel want visit 1st Emperor Tutankhamen exhibition instance use travel company , Superbreak . ask adjoining room 15 year old son we . get hotel room next door interconnect door , tell join room available . size room , 309 310 , incredibly small 4 Star hotel . room unplugged fridge , minibar . quality television picture poor . tea make facility replenish first night . our bathroom particularly shabby , blind rip bottom , water ' go sink easily take stopper speed flow , something really horrible , look like ' clean year . wall side toilet splatter goodness know what . breakfast food good , staff want take plate away still chew last mouthful food , second day milk table several table nearby one guest ask milk chorus go please . we try room service end give we meal free ! ask hot steak sandwich vegetable buffalo mozzarella sandwich . wait hour rang ask arrive waiter say write room number 316 310 food ok keep warm . food awful , cold chip one sandwich burn . rang reception ask do . waiter bring virtually refuse take away first lot say ' get free eat . insist take first lot away he . the bar dimly light , fine bit astonishing service everyone . go know want 2 Kir Royals , normally crème de cassis Champagne . man behind bar say sit colleague would come take order . , ' come , meantime people come bar make drink ? ? ? ? ? ? ? eventually summon young lady take order , arrive champagne strawberry juice drank left bit dishearten whole experience . I ' recommend hotel anyone else think quality far four star . disappointed whole experience . we write hotel via Superbreak comment hotel offer we free night accommodation . decide give hotel another chance try take offer free night contact writer letter email , receive reply , also telephone go straight voicemail leave two message ' still wait reply . I would avoid hotel like plague 
 Jun 3 2008 	 Great Location 	 stay Russell Hotel 3 night May . location fantastic - within walk distance lot main sight - Covent Garden , Theatre District , British Museum , Oxford Street - Russell Square underground literally 2 min walk reach rest city . hotel room quite small , comfortable clean need city break . breakfast nice - hot cold buffet staff friendly helpful . only side extremely price bar - plenty place nearby - need go ! would definitely stay . 
 Jun 2 2008 	 great cheap ( ish ) find : ) 	 book direct hotel , day £ 125 per night full english breakfast , upgrade room ambassador free . room spacious , air condition , clean , first floor balconey . hotel perfectley situate , 20 min walk oxford street . 2 tube within walk discount , ( 5 min 7 min ) bus stop right hotel ( 188 ) go o2 arena , take exactly one hour . breakfast adequate good amount choice available . only gripe noise main road , busy road , day night . personally would ask room high 2nd floor , preferably back hotel , otherwise would definately stay , two woman travel alone , walk back tube , bus o2 etc , feel perfectly safe , rounded evening great curry first night restaruant 3 min walk road , meal hotel 2nd night . 
 may 28 2008 	 poor 	 stay weekend , impressed , , room basic , staff helpful , 3 * ... breakfast average .... 
 may 26 2008 	 good - beware telephone charge 	 room small comfortable . small refrigerator coffeemaker useful since could save breakfast . location excellent . but - beware charge 70p per minute local phone call ! one brief call add $ 6 ( U.S. ) bill ! 
 May 25 2008 	 elegant grand hotel 	 Hotel Russel . grand , elegant hotel . great location top Russel Sq tube , short stroll British Museum . love foyer public room , marble , mosaic , stained glass , polished brass . nice . standard double room , huge , understate elgantly furnished . neat small bathroom nowhere put thing . let queue get dining room breakfast , 4 * ! poor staff run try keep ! surely improve . otherwise great stay , get deal 100 pound double room , highly recommend . 
 May 20 2008 	 great place 	 old characterful building great facade overlook Russell Square London , wife expect class hotel money . twin room large well appoint ( fridge etc ) , plumbing work ( seem odd comment stay enough hotel ) , even proper reading light . breakfast good quite great , staff cheerful helpful . the hotel excellent location close Russell Square tube station ( maybe 100 yds ? ) , Brunswick shopping arcade , Tesco Express 24 hour , British Museum across square , 10/10 location . there be one downside 's traffic noise London - exactly hotel fault , take advice pass view square quieter room around back , ask high floor . 
 May 20 2008 	 Fanstastic location little noisy ! 	 stay 16th - 19th May 2008 nice stay ! Room ' ambassador ' room upgrade freebie . Check- non fussy deliver competence . although request non - smoking upper floor quiet room give 2nd floor front hotel room ashtray ! ! size room , lot large expect , make obvious lack attention request . the plumbing work brilliantly bed comfortable . refurbish room really clean , spotless fact boast small ironing board , fridge ( not work ) room safe tea make facility . room tick away lift ( one 3 ) noise interior hotel nil - say traffic street noise ..... Russell errrrr .... Russell Square noisy day night . first night horrendous seem siren horn blaring night long - double glazing chap ! second night well we getting use ? ? deal come breakfast really ok . cooked section visit patron time also pastrie , yoghurt cereal . table oversee well show table middle room somebody walk round end row table get side gap squeeze . condiment check see need re - fill indeed table ! mini Jam , marmalade honey replace use . , could end table second morning - salt pepper , spoon , selection Strawberry jam honey possible selection 4 different jam etc . lot staff wait around negligence rather understaffing . the location great ! minute away Russell Square tube round block British Museum . across tube station Tesco metro store Brunswick Centre could shop , eat coffee without travel far base , lovely . unfortunately not see way disabled patron access building . step hotel lobby sign offer alternative entrance ramp lift . inside hotel access disabled fine lift service floor incude breakfast room ease . would stay , London visit - yes small ' oversight ' enough really spoil stay . 
 May 15 2008 	 leave lot desire beware get locked bathroom 	 stay Russell family weekend break . arrival room not ready ok 11.30am leave luggage concierge tell room may ready 5.00pm think little late . go Covent Garden , come back 4.00pm give key room refurbish look date . I go bathroom room , find could not open door get ! good , especially could child stick . husband call maintenance come 10 minute later use chisel unstick catch door . tell we regularly happen ' old ' room beg question not room take service door catch repair ? ? ? fire hotel someone stick bathroom - nice thought .... call reception ask move obviously real problem room , immediately swap second room . get room find disabled room really much good husband 6 foot tall sink rather low course design wheelchair user . , contact reception eventually decide would upgrate we trouble move we third room . this room much well previous 2 fantastic view Russell Square guess work ok end room , although one ' upper 4 star ' hotel provide trouser press bathrobe room . as reviewer say , hotel date area , although restore former glory other . we find staff helpful , although feel service bar slow drink price pretty high , even central london . Breakfast take rather cramp dining room would rate food average . also , perhaps small thing , terribly happy go hunt around salt pepper none table ! eventually borrow guest next table manage find empty table ! location hotel great Euston Kings Cross mainline station within easy 10 minute walk , 15 minute stroll Covent Garden . Russell Square tube minute away , Holborn 6 minute walk . all , pay stay , would not say really value money hotel not really justify upper 4 star rating . many hotel near vicinity sort price offer high level service realistic price food drink . 
 May 14 2008 	 19th Century Grandeur -- Perfect Location 	 Russell one favorite hotel . Bloomsbury location simply good , charming area fill bookstore , small shop , British Museum -- within walk distance theater district / Chinatown . Russell also right next Russell Square underground stop . previously stay near Sloan Square & amp ; hate location -- bore residential neighborhood long , wide , hard - to - cross bullevard , long walk restaurant , etc .. love atmospheric old - fashioned charm , happy Bloomsbury Russell . student stay small London B & amp ; B 's ( hold soggy cornflake ) use walk Russell dream stay . huge , grand late-19th Century railroad hotel ; beautiful winding staircase , breakfast large , lovely old dining room high victorian window . get excellent deal rate British Airways . recommend hotel sister , stay Russell husband & amp ; two teenage son last year ( 2007 ) , please . 's five - star luxury , comfortable & amp ; charming hotel perfect location . ' ve always find London hotel ridiculously overprice Russell good value money . return London , definitely try stay Russell . 
 May 12 2008 	 Small well appoint room fresh modern bathroom splendid set 	 pleasant four star hotel . wow reception victorian lobby get feel grander lot public space convert conference facility . efficient staff fast small lift . lovely wide corridor give feel space opulence room small modern , luxurious stylish . bathroom snug modern spotless , equip luxurious toileterie stand shower bath great powershower . pleasant airconditione tea coffee facility , plenty storage , iron board room good tv dvd . dress gown slipper unfortunately turndown service come back bed fluff etc . dire view onto ventialation shaft , disguise use opaque window , also turn little noisey . average mass produce buffet breakfast overcrowd victorian dining room good service . good location Russell Square tube station minute away , along tesco mini supermarket doorstep Brunswick Centre shopping centre couple minute away . smart Carluccio cafe , within five minute Gay 's Word bookshop also open air farm . ten minute walk St Pancras Station Eurostar hop British Museum . 
 May 5 2008 	 old elegance 	 husband decide treat short break show london christmas could not wish grander hotel.after initial confusion room stay great room spacious bathroom lovely , clean would need night stay.the breakfast lovely hot buffet extras coninental require , grandure hotel breathtaking fabulouse marble staircase lobby.the staff helpfull apart head barman do not seem want serve us.overall beautiful hotel within walking distance centre london.we would advise buy bus pass get around well worth money get see need day . 
 May 1 2008 	 reasonable Hotel Nice Location 	 stay hotel last week five night . find staff helpful friendly . room small side adequate bathroom big . nice range toiletry . breakfast food good . excellent location park opposite tube station around corner . not particularly cheap GBP185 per night ( include breakfast ) would definitely consider stay . 
 Apr 28 2008 	 russell well 	 go london two theatre night , great location far walk covent garden . room tastefully decorate clean . breakfast enjoyable plenty choice . staff helpful friendly , would definately recommend Russell would return . 
 Apr 26 2008 	 Great Makeover 	 spend two day business trip . having see rate glad firm pay . pity not pay bar bill - pretty steep even London . my room 1st floor overlook sidestreet , excellent well lay great ensuite fridge etc great bed . the public room great lot marble Hotel & quot ; White Star Shipping Line & quot ; high ceiling wonderful staircase , resturant believe copy one Titanic . comment pass breakfast , find nothing great service full hotplate lot helpful staff . reception merit 5 * helpful , special vote thank Franscesca work wonder multilpe booking . 
 Apr 21 2008 	 great room 	 stay colleague work event . have fantastic room front , extremely comfortable bed . breakfast morning quite crowded difficult get serve toast coffee , food fine . service bar good , bit pricey , central London . 
 Apr 20 2008 	 Wonderful Hotel 	 find Russell wonderful hotel . location quite conveinent , right Piccadilly Line , handy get airport , get around tube , close Covent Garden well . hotel face Russell Square lovely park right around corner British Museum . our room nothing less spectacular . 3rd floor face square . room pretty large , sizable bath , comfortable bed ! shower awesome , big rainfall shower head great pressure ( not find everywhere go ! ) . Tesco Express around corner load fridge wine refreshment could relax get back day 's adventure . room also kettle , tea , coffee , snack leave day . could occassion hear noise traffic ( horn / siren ) , even light sleeper not bother . reception helpful well , checkin question city . overall really enjoy stay Russell would recommend anyone travel London . 
 Apr 17 2008 	 great location - good value money 	 book via Laterooms . great location . literally right next tube station . good 10 - 15 minute walk Covent Gardens ... however weatherspoon walk great place stop drink ideal breakfast . would recommend other also stay . good room helpful staff 
 Apr 12 2008 	 Awful - never 	 spend 100 night year hotel UK , quite use vagary hotel room quality . Russell simply awful . know location , ask quiet room reservation . first offer single glazed room second floor look straight onto HVAC fan . second room joke . stay already late meeting . bedlinen wear tear ; security chain miss ; phone not work could not ring housekeeping ; secondary glazing remove ; wall skirting dirty scruffy ; window catch not work ; soap ; mattress small , worn , give support ; bang door service stair opposite ; housekeeping knock follow morning even though check ; - hotel room offer ? clean , safe , comfortable , quiet ? Russell £ 128 without breakfast , law . I will stay . 
 Apr 1 2008 	 Superb ! ! 	 come London romantic break , Russell Hotel play big part accomplish ! arrival hotel , receptionist inform we upgrade us suite ! suite decorate old fashioned style ' Londonish ' , add atmosphere . suite lovely 4 poster bed , warm fabulous view across Russell Sq . staff friendly , concierge helpful . hotel magnificent sight , especially mosaiq floor staircase ! location fabulous 2 minute walk Russell Sq Station , Picadilly Line . wonderful time Russell Hotel . would recommend anyone go London . 
