word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 May 21 2008 	 satisfied … 	 read 100 review traveler London pick Thistle Marble Arch decide stay in . the hotel definitely 4 star , clean , large room . I stay room 495 ( non - smoking one ) huge ( nearly 35 s.q ) stay lot room , lot country , find although full , could easily breakfast take information everything go town reception . the hotel 5 min . one central underground station ( Marble Arch ) , near club , pub , super market , cinema , mention Hyde Park . its price accord opinion great ( book website Thistle ) pay 119 pound per night . 
 may 12 2008 	 nice stay THISTLE ! 	 spend 2 night Thistle Marble Arch complaint . arrive 2:00 morning check smooth quick . allocate 7 floor ( next lift bonus consider large hotel may get walk lot corridor ! ) , get airy double room , spacious London standard , clean comfortable big double bed , flat screen tv good choice channel , bathroom could comfortably turn around . bit surprised find minibar actually empty could stock drink snack buy convenience store nearby . everything could possibly want literally around corner imagine location hotel unbeatable – especially shopping – tube 2 minute away , Hyde park 2 block .. staff brilliant , polite , friendly helpful . always greet we smile , open door we , carry luggage .. impeccable , really . second stay Thistle Hotel ' disappoint . needless say highly recommend ! 
 may 11 2008 	 want poor service staff non - english - stay ! 	 stay hotel friend book hotel due 's central London location - wish not ! LOL Firstly would specifically request early check - in have arrive early flight Middle East therefore want freshen up / rest journey . arrive hotel tell check - in 2.00pm - arrive around 9.00am plan . explain have specifically book hotel early check - in give bland nonsense & quot ; fully book last night , Sir ' ve room available check come back 2 pm check - in ! & quot ; . imagine happy . side note leave luggage side entrance hotel porter store . come back side entrance around midday follow aimless walk around around West end couple hour fill time find escalator not work - not work day . fyi side entrance bank three set step walk escalator not work prepared climb hotel ! LOL discover sign late state customer lift never bother go find it . once get upstairs mezzanine/1st floor manage get give room midday although smoking room have request non - smoking room . get room follow hike around 7th floor - hotel massive 8 floor prepare long walk room opposite side hotel bank lift ! lolunfortunately room allocate smoking room non - smoking room available apparently . allocate Room 733 ( quite small ) imagine room part floor room locate smell badly smoke . not find anything actually wrong room - be perfectly acceptable small . we go late lunch afternoon leave room come contact three housekeeping staff ask quick way lift another set lift we use . unfortunately despite number attempt part get understand ask - could not get understand ask . assume English first language ; find frustrating . rest actual stay ok . hotel busy seem quite full time conference / seminar / large holiday group stay 's location etc prepare queue check - in , concierge , restaurant , bar etc . the final straw breakfast . order breakfast deliver room 7.00am 7.30am early flight catch . have hope would arrive near 7.00am possible leave late 7.20am . not arrive leave therefore arrive 7.25am - have already pay bill , check left building . breakfast arrive , sign pour cup coffee , make bowl cereal butter half slice toast . manage eat bowl cereal half slice toast take mouthful orange juice phone rang room . room service check breakfast arrive ok . said & quot ; yes fine & quot ; - meet - & quot ; well ' ve get breakfast go pay ! & quot ; said & quot ; partner settle bill include breakfast therefore would not pay & quot ; . said & quot ; unfortunately check could post breakfast room would pay nearly £ 30 food & quot ; . said & quot ; & quot ; begin become quite belligerant said & quot ; fine come take away & quot ; - ! contact partner say have make sure breakfast pay bill well pleased . customer service obviously one strong suit Thistle Marble Arch - be particularly bother thing like not mind spend life queue - fine staying sub - standard hotel Central London . however never stay Thistle Group get custom normal example service guest . people skill require get staff scratch . 
 Apr 18 2008 	 Great experience 	 adult son stay Marble Arch Thistle , London one week . totally pleased aspect accomodation . twin bed room much large expect ( certainly english standard North Americans ! ) . clean maintain way impeccable daily maid service . wonderful ' plus ' switch could adjust interior room indicate ' do Disturb ' ' Clean Room ' ( word effect ) . mean privacy ensure maid would barge disturb . continental breakfast ( buffet ) , substantial use ' fill ' day 's sightseeing . additional four pound could opt hot breakfast choose ( conscious cholestral , calorie salt ! ) . service staff courteous one experience front desk ( check ) good . assorted doorman welcome pleasant - son get know well since smoker would go street cigarette . need instruction use iron room , housekeeper willingly politely show use say , ' no problem , 's job . ' reality misread instruction . check breeze since opt automated checkout . a thoroughly wonderful experience . would gladly return hotel next time visit London . 
 Apr 13 2008 	 great hotel great location 	 stay Thistle Marble Arche number time last year . Hotels London vary quality star rating always reflect value get . one thing like hotel certainty - always sure get pay . location excellent . right end Oxford street - absolute perfect like shopping . Metro 200 meter away , lot great restaurant around - KFC McDonalds high end . room spacious - unusual London . breakfast excellent , whatever fancy - diet & quot ; high energy & quot ; . room service - decent price food good ! reception staff - , compliment . keep good service look forward see ! ! 
 Apr 7 2008 	 good bad quality 	 experience one - week stay hotel mix . credit , hotel staff ( especially concierge ) courteous eager help . however , book hotel part tour package , coordination tour company hotel leave something desire . upon arrival , suppose give detailed instruction tour itinerary , desk employee initially ask tell we tour company leave nothing we hotel , resolve problem need contact tour company . well , Sunday office close , tour begin next day , quite frustrated . however , later speak another employee hotel , tell we check concierge desk tour information , lo behold , . therefore , desk employee cause we needless frustration misinformation . there seem general air confusion surround operation front desk . check - in , tell credit card provisionally charge accessory service week . however , later , try bill charge room , tell credit card file . also , minor problem reservation , last night reason book separate reservation , front desk initially tell we reservation last night & quot ; system . & quot ; finally , check - out , front desk employee tell since reservation pre - pay , would receive itemized statement accessory charge week - tell we , without documentation . ' m say over - charge we , think strange hotel would provide guest itemized statement every charge upon check - out . there also problem accomodation . bed terrible ; mattress wear could feel spring mattress poking lay . wall also quite thin . room close pub locate building hotel , Friday Saturday night noise pub keep we awake wee hour morning . 
 Apr 4 2008 	 great hotel central London 	 stay 4 night end March love . ask check - in wish up - grade decline . however , return get room key , up - grade anyway great . room comfortable good a / c heating control . Elemis toiletry nice tea / coffee room welcome . staff friendly go way help . breakfast great - it certainly set busy day London . location central extremely close tube . right Oxford Street shopping nowhere far away via tube . would recommend hotel anyone . 
 Apr 2 2008 	 Excellent ! ! ! 	 Thistle Marble Arch great hotel stay ! book hotel londonhotels.com get great rate . make sure include breakfast room - disappoint . buffet cold offereing ( cereal , juice , muffin , danish , cold cut , cheese , fruit , yogurt , oats ) hot buffet potato cake , sausage , bacon , egg , toast , english muffin , etc . make sure get discount site becasue hotel 15 pound per person per day breakfast . standard room fine we . luxury traveler budget . Europe expect large room well shell $ 500 luxury hotel . room clean , cozy , importantly , bed comfortable . staff accomodate . arrive early hope get early check - in . initially tell available room come check time . luggage drop area attend drop bag go breakfast . finish go back front desk room we ! room 815 . hotel great location- conveinent everything . marble Arch Tube station literally 1 minute walk . go area day ditch cab take Underground . make sure & quot ; Mind Gap & quot ; ! get oyster card . 4 day put 20 pound card work perfectly . also take tube Heathrow . defintely way go . lot great restaurant James Street short walk street . make sure eat Fresso . little italian restaurant area favorite ! ask concierge direction . close Selfridges lot great shopping . corner market pharmacy around corner well . locate front Hyde Park close Buckingham Palace many landmark . hotel win ! ! ! 
 Mar 31 2008 	 Good Hotel good spot U.K . 	 hotel good buy . close lot shop good public transportation . hotel room bit small , typical London . room clean view Oxford Street great . staff great ! downside escalator go upstairs , step go . handicap lift ( London term elevator .. ) behind reception desk . 
 Mar 28 2008 	 great hotel great location ! 	 bookke double room 4 night hotels.com 25 % discount price pay 100gbp / night . Thistle Marble Arch centrally locate Oxford street , 200 east Marble Arch tubestation , main entrance Bryanston street , north Oxford Street . spacious , nicely decorate furnished room everything clean good comfort . nice bed , AC heating idividually control , fridge room , flatscreen tv tile , spacious bathroom . service staff outstanding , entire stay great experience . breakfast ground - floor restaurant good great variety warm cold course . Thistle Marble Arch small , cosy hotel , almost 700 room , will experience excellent service many facility . hotel build Art deco style , great standard . would definitely recommend stay anyone ! location excellent , take 7 - 10 minute walk Regent 's Street Soho . also nice Indian - french restaurant Bryanston Street , la Porte des Indes , would like recommend . 
 Mar 26 2008 	 Great Location 	 stay several time November December although bit tired place location make it . it right end Oxford Street tube station make life easy . my advice would ask want inner outer room , light sleeper ask inner room . although view room look central area incredibly quiet centre London . outer room one stay difference incredible . overall nothing special say nothing overly wrong hotel . 
 Mar 25 2008 	 bad check great improvement 	 book Expedia 3 night Easter weekend double room breakfast include . review - start negative end positive ! arrive check girlfriend noon good Friday . first offerre upgrade room 25 pound per night decline . follow tell double room currently free arrive early day ( understandable problem people vacate 12 ) . however complete check - in , put bag concierge tell come back 2 pm pick room key . arrive back 4 pm tell upgrade deluxe room two single bed - good romantic weekend ! clearly happen run standard double room since noon re - allocate room someone else scribble original room number check - in folder hold key . complain tell make book twin ( true expedia paperwork would allocate double original arrival ) . man check - in discussion supervisor upgrade executive room double bed . ok ... negative way . hotel v.good location central London theatre west end . executive room v.good term size & amp ; comfy bed & amp ; good shower . breakfast excellent though prepare short 5 min wait go peak time efficiently handle staff . term facility use hotel bar ok nothing special . the good thing say though hotel staff apart check - in immense : everyone friendly , polite helpful whether bar , concierge , dining room even pass room service staff corridor . if check - in handle well would give reccomendation without reservation . however , look review reason other experience . standard double really short supply need rennovation ? suspect latter . 
 Mar 24 2008 	 Excellent Choice ! ! ! 	 definitelly great Value Money choice ! ! ! location superb : next lot bus tube station , store , restaurant , etc . room ( standard ) good amenity expect category . breakfast state guest good , especially like full english breakfast style . hotel completely full Easter season one day line breakfast , nothing critical . during afternoon there s always someone play piano Lobby niceonce , great value money ( 110 £ per night , taxis include ) TIP : arrive Heathrow , buy Oyster card ( valid bus metro recharge need ) heathrow underground station , catch tube Picadilly Circus ( 45 min , direct ) . leave station Regent Street catch one bus : 15 , 23 , 159 , 94 ( go Oxford Street / Marble Arch ) 10 min you´ll arrive hotel , spend 3 £ . valid return airport . we charge Oyster card 20 £ ( 17 £ + 3 £ deposit ) 4 day go city come / go airport still pound leave . London vibrant ! ! ! 
 Mar 23 2008 	 great location ! ! ! 	 Birthday weekend 3 friend ( aged 35 - 45yr ) . great location - close Oxford Street . upgrade executive suite wonder difference standard room . breakfast excellent -variety choice - self service quick . excellent service provide porter ( look many bag shopping return shop ) ! ! ! would definitely recommend hope stay soon . 
 Mar 18 2008 	 Fab Time 	 check offer free upgrade deluxe room lovely . staff come contact impeccable . Mohammed luggage man lovely gentleman shop . nothing much trouble . breakfast lovely . feel may queue , problem . 13 year old son we , love whole experience . want go go back next year . 
 Mar 17 2008 	 good location bit tired 	 10 we stay last week function Park Lane . the location excellent we , would good location london generally . public area nice , room bit tired need update . tell upgrade ' deluxe ' room - think standard room would small delapidate ! get good price would stay central base , especially spend much time hotel . 
 Mar 15 2008 	 really Nice Hotel 	 stay hotel september 2006 , staff really friendly helpful , room everything could ask prosentible , breakfast fab lot choice ceral , cake full english breakfast topping , location brilliant want hit shop oxford street 2minute walk away , even see new look hotel . would defanatley go back hotel would recomend group , couple & amp ; family 
 Mar 12 2008 	 Great Location 	 get good deal Priceline hotel , less third normal rate . when check , get hard sell upgrading room ( extra cost course ) . stand firmI happy room . nice spacious , good room safe , wireless internet available ( reasonable fee ) . bathroom nice , complaint all . I get bit feeling look upon priceline customer . not give credit card room credit fine . would not trust credit card . the location hotel top notch . marble arch great area stay in . overall can not complain , get stay hotel less cost B & amp ; Bs . 
 Feb 20 2008 	 ordinary hotel great location 	 check quick efficient , offer room upgrade £ 25 decline not plan spend much time much see London . room 7th floor fairly small adequate , window could open good bit quite safely bright open view . bed exceptionally comfortable , bathroom well light clean plenty towel . two dining room breakfast , one large soulless , much interesting breakfast , fine , . good thing hotel location , 5 minute walk Marble Arch Station , right Oxford Street huge choice restaurant . balance , would probably stay miss swimming pool hotel . 
 Feb 20 2008 	 lovely hotel ! 	 hotel brilliant ! , , husband,2 year old daughter & amp ; ( time 2 month old son ) , stay family room , arrive approx 9:30am check not 2/3ish check we immediately ( much unexpected impressed ! ) , room huge ! , ( think may upgrade ) , big kingsize bed , 2 big average single bed ( 1 bedroom type bedroom area , private ) , nice big modern bathroom speaker , good modern room teperature feature , table , chair , bedside cabinet lamp next bed , desk chair & amp ; accesorie expect , safe , plenty wardrobe , tea / coffee / kettle etc , lovely bedding , breakfast include price amazing ! pay small fee room be not rush morning get kid & amp ; dress , telephone reception ask pick list item want , lot food list endless say yes nearly everything be not sure husband & amp ; daughter want , staff helpful , hotel beautifful & amp ; clean , right oxford street , keep nip back change nappy etc convienient , thing notice be not good room service expensive ! shop near reception snack cold drink kfc nearby ! , baby sick bed need new bedding telephone housekeeping around 11 pm lady answer rude want know need new bed man come polite offer change aswell , book direct thistle telephone , get special rate book 6 week advance , £ 150-£170 pay think , would definetly visit ! ! ! 
 Feb 19 2008 	 good shopping location 	 well situate short walk shop restaurant Oxford St. bedroom 2nd floor outlook room facility good large bed nice white cover . breakfast ok good choice food available small gripe pot tea coffee need catch waiter / waitress attention want more . all staff polite . 
 Feb 9 2008 	 great location great hotel ! 	 book twin room daughter theatre trip . check - in tell we twin room leave allocate double . tell not happy offered upgrade extra £ 35 . complain situation give free upgrade king size room . the room reasonably spacious feel date . mini bar empty . awoken several time night people bang door walk noisily along corridor . daughter shower shower would not turn ok want shower . finish shower even powerful - hot , luke warm - powerful . would turn . report time finish get ready one sort . however , return breakfast find shower mechanism take apart bath panel take shower trickle gently . we eat dinner breakfast restaurant mediocre . Ido not usually complain hotel . last week stay Radisson Edwardian - lovely , December stay Le Meridien - gorgeous , decidely average . that say , care cose Oxford Street shop , go ! 
 Jan 23 2008 	 ok go blow water ! ! 	 amazing stay hotel ! ! incredible ! ! read review think ... wow . firstly good family room ever stay ( apart suite ) . look like really two room one bathroom . partial wall king room boy twin sleeping area . kid think great . think hotel room tv well . room ( ) beautifully decorate , quiet clean . internal side building view across thr room side . I problem noise staff . guess must English - speak week something respond quickly politely request make . can not really comment food sleep breakfast every day kid discover excellent Marlborough Head pub around corner , insist upon meal area ( great atmosphere yummy traditional british food ) . right Oxford Street a+ convenience well . Handy Underground although mainly travel bus stop Oxford Street . also close park wonderful place waste afternoon deckchair , people - watch boy play soccer . I would go back flash kid .... worth every penny comfort convenience . 
 Jan 23 2008 	 overall satisfied 	 return London read review little worried . stay year ago wonder could go wrong . we arrive 12 noon give room immediately . the room spacious clean ( like one hotel show web site ) never disturb noise corridor neighbouring room . our luggage take room efficiently . the heating working room overlook roof pipe , boiler etc emit faint hum . tell Reception maintenance man come fix heating straight away . offerre change room decide bother . breakfast good usual - especially hot , ` stay great variety cheese cold meat perfectly adequate . dish replenish promptly . never wait second table service prompt efficient . all staff come contact polite friendly . it ` large hotel ` expect personal attention get small establishment . we never wait minute infamous lift . we eat Carvery - good . meat cook really well veg hot fresh . soup , antipasti desert excellent . service first class . the real criticism entrance . escalator main floor stair go . lift ( bit way ) avoid stair front entrance go leave luggage room . if choose stay Marble Arch area would definately return . 
 Jan 16 2008 	 perfect location 	 stay part 21 day 20th anniversary trip . we 12 day hotel different time . first arrive big flight australia checkin great . pay night get 5.30 morning want assured room could shower thing long flight . guess booking ` ( girl reception say & quot ; system yesterday & quot ; ) .I guess ` check 15th dec booking must cancel . hand voucher travel agent say accomodation eg double room breakfast include .As flight delay , check 10 morning hungry . pay breakfast would nice suggest we go breafast would sort , sit wait , tell ` double ready could twin room . explain 20th anniversay trip lifetime would prefer least double bed ! ! anxious moment give & quot ; free & quot ; upgrade . room give lovely , complaint . we 3 night ireland , return xmas eve 2 night venture paris . check 19th thought would ask room return tell yes would fine 31st . get voucher 24th 25th dec , Guess ? book date . book 31st 6th jan . take photo copy say would sort arrive back 24th . arrive back guess ? booking find . needless say upgrade suite . Christmas day rain spend afternoon glenn miller bar bottle moet christmas night dinner awesome ! ! yum ! ! arrive back paris put we suite really sure booking . reception stage care . hotel good position light oxford street beautiful . breakfast day nice staff restaurant bar could enough you . the concierge porter fantastic man ticket counter . book ticket see Phantom opera get great seat . it 20 minute walk theatre everywhere ease get . three tun pub around corner great place eat serve lot aussie girl ! ! 
 Jan 14 2008 	 Theatre weekend 	 wife arrive hotel 2.00pm 12/01/08 , make journey car park next door NCP car park , £ 32.00 24 hour ( 25 % discount leave bring cost £ 24.00 hotel staff validate ticket ) .Check straight forward , book standard room give ' free ' upgrade . find staff polite even though struggle little English . room nice , little noisey fifth floor overlook Oxford Street . expect really , , middle London countryside . complimentary tea coffee really nice chocolate chip cookie , bottle water , toiletry bath robe . five channel tv little basic ' pay tv ' want , not really bother , want watch tv would stay home ! breakfast nice , choice continental English , bit queue wait worth it . check straight forward quick . go Oxford Street shop hotel ideally situate Hyde Park couple minute walk away . go see Hairspray Shaftesbury Theatre good 25 minute walk , easy get nice stroll back . all fantastic stay , would go back Thistle Marble Arch . 
 Jan 14 2008 	 good 	 group we book hotel see review shock . lack english language reception ridiculous , lady book we fine yet companion receptionist ludicrous ( end pay extra £ 25 room somehow ) .The Glenn Miller bar way over - price lacked sort atmosphere . get lift room feel like trek Cape Town Highveld . finally arrive room shock find tiny little bedroom ( £ 116 per night ) littlest , albeit clean modern , bathroom ever see . bath dry bedroom lack space bathroom . furthermore , tv channel ( 5 ? ) , plus pay channel movie porn . all , good experience . 
 Jan 14 2008 	 Nice hotel shame extra 's 	 stay Thistle Marble Arch party work - main person book accomodation , book 100 room total . thought may give little well service would appreciate custom . wrong could ! arrive later expect get stick traffic central London - hotel give direction Marble Arch oxford street - close peak time ! ! find hotel eventually park next door NCP carpark , give 20 % discount parking hotel - make sure get parking ticket validate end pay £ 30 per night park ! check take least 20 minute , non staff speak english , previously speak several time get direction lose London , not help . eventually give room key 5th floor . room small - much small anything stay . tv basic - 5 channel . bathroom decent size nice toiletry - 1 bath towel 2 we . go awards party grosvenor hotel do not spend time hotel night . follow morning maid tried come room 8 am , wake we ( do not get home 3 am ! ! ) continue every 15 minute hour half end get go breakfast . apparently suppose put light something say do not want disturb - one tell we ! anyway , try go breakfast - wait 15 minute lift . end walk emergency stair get 1st floor . wait 15 minute seat breakfast , go get breakfast counter ' toast girl ' take long serve us table give away sit . brekfast horrible , would expect meal cost £ 12 per head . end leave breakfast go back room - time maid , could not get change . take thing leave . take another 10 min check parking ticket validate . ask direction hotel back M1 , receptionist offer tube map ! ! , good location - know london get ! ! small room , horrible breakfast , rubbish staff . company pay £ 145 per night 100 room , would never go back ! 
 Jan 2 2008 	 excellent location shopper 	 recently return pre christmas break friend . we stay Thistle Hotel Marble Arch London . hotelhas fantastic location shopper sightseer . hotelwa beautiful . standard twin room spacious enough fortwo comfortable . arrival reception staff notover friendly welcome ask immediately want upgrade room 25 pound extra night . did'nt tell we times breakfast , hand bag bring room we . our room top floor wonderful view . mini barwa empty enquire restock advise brochure tell welcome bring ownwine etc . hotel restock minibar . perhaps theyshould update literature ! ! ! Breakfast next morning notinclude overall price know cost 14.95 . average breakfast big hotel . second morning go italian restaurant Pontis Duke Street full english Breakfast 12.00 . fab . on return second night midnight bitof difficulty get drink bar . room card tell hotel accross roadsroom card would get verification receptionbefore serve . went return require piece paper another staff member serve we immediately without even ask we resident . abit annoying . overall nice . 
 Dec 27 2007 	 perfect location shopping 	 Thistle Marble Arch wonderful . service friendly room larger expect . affordable , clean breakfast great . would return hotel . 
 Dec 26 2007 	 great hotel - fantastic service 	 stayd hotel 15th 18th December . arrive early room ready . receptionist promise give we nice room , return , get nice large room 6th floor . the room clean , big comfy bed nice bathroom . we breakfast include , find meal tasty good start day . what make hotel special , feel welcome . there always time & quot ; hello & quot ; smile - give good atmosphere . location also fantastic . this 2nd visit , already book week hotel April 2008 . 
 Dec 23 2007 	 Average Hotel 	 stay Hotel recently attend concert O2 . arrival Hotel uninspire decor lobby area date stale ( clean ) . check standard check usual nicitie tired script . the room small basic view Oxford Street . window rather curious . old single glaze two set stick together , quite sure neither keep noise heat ( thank God Air con ) .breakfast wash brown food soak fat service ok . the location Hotel fault however Oxford Street handy shop major site . overall underwhelming stay would return . 
 Dec 11 2007 		 encounter several problem stay past weekend . one bright light staff especially Ushma reception . charge quote telephone course receive evidence support claim write email confirmation reservation number . room give awful , ask family room get triple basic stank airfreshener make wonder smell mask ! address suggest vacate room two hour ! travel early shopping day option . change junior suite much appreciate much well except sofa bed needed use three us - not work - report house keeping return late bedding room sleep sister lie across sofa . report keep fall sofa try stuff night . overall disappointing stay especially parent stay will not back ! thankfully concierge porter wonderful , friendly helpful ! 
 Nov 26 2007 	 wonderful experience 	 stay 6 night hotel November 2007 . overall , extremely pleased . location excellent ; easy access tube bus . Breakfast ( include ) satisfactory . staff work hard quite pleasant , even english first language frequently . room quite nice . take room near corner Portman Oxford , 2nd floor . concerned street noise ( give review ) problem . check early ( 11 ) hotel ( mercifully ) able take we early ( exhaust due overnight flight ) . would happily stay anytime . great pub around corner ( three tun ) . not try carvery room service . free newspaper daily . safe room . queen size bed . window open . could ask ? ? 
 Nov 25 2007 	 Manager save day 	 find hotel staff nice helpful . the hotel good area get around . we somewhat disappointed room give upon check - in . room drab curtain need replace , view one forget . request different room let staff know disappointed short time manager we move much well room . due manager action would stay , however , would book standard room . 
 Nov 19 2007 	 really overate 	 stay last weekend part coach party South Wales . first impression Hotel look stunning marble floor impressive welcome staff . every hotel stay past nice clean brilliant white towel . towel grey hard . really shock hotel stunningly present . Sunday morning leave pull bed cover back amazement find white duvet cover large area dry blood . disgusting guest find pay much stay . either staff underpaid worked could not bother change hope one see . disgusting . would not stay . anyone wish stay warn pull cover back check thing arrival . late already sleep bed noticing . YUK . coud not fault staff . helpful polite . 
 Nov 9 2007 	 thoroughly enjoy stay 	 wife stay hotel 3 night find enjoyable . the staff helpful location excellent . the room good food restaurant . I particularly like buffet breakfast handy good night . gripe Marble Arch serve Central Line usually change tube get hotel . 
 Nov 9 2007 	 good hotel 	 clean , kind staff , good location , comfortable bed . 
 Oct 31 2007 	 opinion value money 	 large comfortable bed well stuff pillow , strong shower pressure adequate facilite , clean . disappointing service Dinner Breakfast spoil overall experience . steam shower room service notification check . 
 Oct 30 2007 	 over - rate 	 stay 2 day business trip June , attend conference hotel . totally over - rate hotel , living reputation London city centre hotel . seem able charge whatever like always full business traveller ( not care pay ) american tourist willing rip - off . location good nothing offer merit high price 4 star . seem hundred staff , none impressed . reception staff totally incompetent couldn'teven tell vacancy arrive conference - call central reservation . 
 Oct 29 2007 	 mainly good Thistle . 	 spend 2 night October 2007 . huge place occupy whole block shop street level . long way walk along corridor room diagonally opposite lift . room ready & amp ; persuade pay bit extra one overlook busy Oxford Street . Room & amp ; bathroom huge . shower bath . background noise traffic bad . slept v well even though mattress good . breakfast rival QM2 . attend hundred 2 separate room . dinner good . well locate . 20 minute walk Hyde Park Harrods . scenic tour bus start nearby Speakers ' Corner . Commissionaire & amp ; cab rank front door . good , traditional english pub , & quot ; two Tuns & quot ; 50 yard along front door . ample staff bit vague / hard understand . parcel post hotel week arrival wait I . John Exner , 2 Buena Vista Avenue , Wentworth Falls , NSW , 2782 , Australia . 
 Oct 28 2007 	 Marble Arch - Brilliant Base First Visit London 	 inner room 8th floor , guess basic room deal hotel offer . however , feel well basic enough space feel comfortable four night stay . bathroom clean well - arrange . breakfast excellent look good start day , carvery meal really good . would read varied review staff - apart two fairly minor incident , come across really helpful friendly . not feel much like big hotel , though breakfast time towards weekend get fraught . first time London , want central possible reliable establishment . spend age TripAdvisor , research hotel grow feel concern . originally attract Thistle Charing Cross , could not offer triple room facility date want . suggest Marble Arch , real case serendipity . positive - right start two bus tour route ( Speaker 's Corner ) , shop kind unexpected requirement , within three minute walk hotel ( Sainsbury Marble Arch shut midnight , & amp ; food hall 9:00 , Superdrug neath , Primark across road need replace clothing emergency ) . clientele seem good mix - business , family , old couple , young couple , friend away together , foreign tourist british tourist - not feel out - of - place . large hotel , find quiet settled room . coffee bar serve light snack unil quite late , convenient tired , number option within walk distance . negative - one morning breakfast room really busy get bad table ever . three we put onto two person table , right next clearing bench . focus get go bus tour get . really - everything else hotel helped make vacation family really special time . would go back , without hesitation whatsoever . 
 Oct 8 2007 	 would stay 	 usual haunt book , send last week . slightly high rate usually pay , room surprisingly large London hotel , fixture good , room service speedy reception staff effective pleasant . pay much far bad . convenient various tube bus route amenity . would unhappy Expotel put . 
 Oct 7 2007 	 Great Location 	 stay wife 3 night . location hotel excellent . hotel block Oxford St 's entrance parallel side street . use National Express A6 bus service get hotel Stansted Airport . stop pickup point Oxford Street beside hotel . location excellent shopping Oxford St. go 2 show Palladium Picadilly theatre 10min walk Palladium maybe 20min Picadilly . Marble Arch tube station beside hotel block multiple bus stop . we book hotel asiarooms.com . competively price breakfast include . full price pay advance . check in / out smooth except seem book twin room . can not point say error way make book online error part asiaroom hotel . room 8th floor nice size clean . breakfast average hot cold food selection nice muffin etc . dinner lunch hotel comment . use hotel coffee shop near reception area would recommend . medium size bar hotel also . overall would highly recommend hotel . 
 Oct 4 2007 	 disapointing 	 wife spend last week end September hotel . two incident spoil stay : - check ( around 9pm Friday night ) , use key give , enter think empty private room ! ! fact room occupy somebody ! ! ! computer allocate room already allocate ? ? besides say sorry , nobody , desk could explain could happended- dinner Friday night restaurant ( expensive , worth plate ) . bill amount 41 £ ( two colfd buffet , one beer , one still water ) , gratuity include . leave Sunday , amount final bill climb 46 £ . 20 minute discussion see original bill , front desk manager accept show we dinner bill : one amount 41 £ , sign , one ( date , time ... ) sign , say : confirm not dinner correspond 46 £ ( signature ! ! ! ) . stupid question ask customer ? way , third time hotel , afraid last timebeside , well locate want shop Oxford Street . 
 Sep 22 2007 	 Average Hotel Great Location 	 hotel , overall , , good , average . positive thing say location ( great shopping Oxford Street ) access Underground . bed rock hard , view uninspire , hotel food ( breakfast dinner ) dull overprice . pay $ 80 buffet dinner incredibly average . be , take walk James Street ( Oxford ) great little restaurant . 
 Sep 15 2007 	 Meh - good . 	 hotel okay , would not go again.1 . arrive early 7 morning early flight Singapore , tell we go back 1 pm , 5 hour ! extremely jet lag , decide go walk.2 . get back everyone evacuate hotel , fire elevator shaft.3 . staff quite bitchy . especially woman call ' londre ' downstair lobby.4 . smoking allow upstairs lobby , horrible.5 . food overpriced.6 . room average , give impression english hotel quite plain compare 's neighbour France , Spain etc.7 . view depress . 8 . be livable couple night maximum.9 . area pretty good , quite vibrant tube station near . 
 Sep 4 2007 	 good hotel great location 	 mum treat birthday february wait light night stay 12th 13th may . round corner marble arch tube station brilliant transport . staff friendly like hotel london clear english spoken . room nice even welcome television . view window not great onto back hotel not really room much . light switch confuse we bit seem master swith turn light another . bathroom small side ok usual tea coffee facility . not get back till midnight see les miserable hungry catch kfc round corner close . sunday free newspaper huge buffet breakfast continental full english . make fill we rest day . check early left case euston go round east end brick lane get beigel huge eccle cake 50p . although not really stay hotel much nice clean friendly . breakfast brilliant would recommend . 
