gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Jan 21 2009 	 Nice Stay hiccup 	 originally book stay main building Fairmont SF , great old world quality though area could use fresh paint . first night , awaken travel companion take early morning shower find shower would turn . hour maintanence try fix problem , request move new room . promptly move another room tower amazing view Bay . though tower room lack old world charm square footage main building , nicer bathroom seem paint recently . having live Bay Area 4 year , always want stay Fairmont enjoy stay , though honesty , recommend hotel San Francisco , would say new Intercontinental Howard St. preferable . 
 Jan 19 2009 	 great visit ! 	 Fairmont match special rate Expedia Fairmont . love main building suite ! excellent bed ! not go Tonga room unless big group . many people worth fee get . great service throughout hotel ! ! ! walk anywhere hotel , probably need taxi get back hill ! ! ! restaurant : Big Four across street love 's ambiance , bar atmosphere piano player ! great food ! Joe DiMaggio 's italian Chophouse ( * north beach ) : beautiful place ! go great bar scene , big steak inexpensive pizza 's ! excellent service ! Tadich Grill ( able walk ) : great clam chowder rather expensive otherwise ! eat bar enjoy fun lunch ! Boulevard also nice ..... well Bob 's Steakhouse walk Bob 's . House nanke great lunch ... cheap .... go early lunch ... long line ! 's Kearny , easy walk ! take ferry Tiburon Sausalito . Tiburon , Guaymas Restaurant great . request table window ! stuff Chile Poblanos ... excellent ! ia good half day adventure weather nice . shopper , make sure go Customer Service Macy 's Bloomingdales ... show room key ... get extra 12 % discount anything buy store .. even be already sale . look cheap , strong drink extremely bizarre mix people ... go Tunnel Top . short stroll hotel . suit ..... old lady . like people watch ... get kick place . top Mark fun dance well Harry Denton 's St. Francis . 
 Jan 19 2009 	 depend room overall nice expensive 	 3rd stay take time pass along feedback . impt : beautiful historic hotel room either main building new tower . really depend taste .... prefer new room renovate vs. date suite . make reservation ask give ! choose new room book reservation directly toll free number Fairmont .. however arrive 9 pm long flight try put room face concrete wall old section hotel . 2 day 5 people finally get move tower , 8th floor corner room enjoy rest stay . previous trip stay tower & quot ; Del Monte & quot ; 1 bedroom suite .. wow ! ! ! gorgeous view , $ well worth . pros : - historic , beautiful main lobby area - great brunch sundays- close public transportation - nice extra adidas fitness program , nominal fee pre order shoe , top , short mp3 player . - view fantastic ( depending ) - lobby bar good food nice live piano musiccon : - $ $ $ $ room service ( surprise fairmont ) breakfast toast coffee for1person $ 45 right . - service front desk great president club expect well ... frustrating . - wifi ... plug free unless join president club first ( save $ 10 day ) - fitness centre small- spa onsite- Tonga restaurant awful ! ! ! bad taste ( overprice ) food ever eat . surrounding think would fun actually quite tacky . use hotel 's swimming pool .... 
 Jan 2 2009 	 Fabulous Fairmont ! 	 stay Fairmont four night first leg recent west coast holiday . build impose magnificent eye service staff first class throughout stay . book bed breakfast basis find buffet high quality service match friendly efficient staff . absolute must stay hotel even pay $ 35 per head normally charge . one side particularly elderly infirm property location . sit atop Nob hill surround steep bank 1 mile attraction Union Square Fishermans wharf . cable car stop nearby regularly full especially return journey back hill $ 5 one way touch expensive . first class highly recommend 
 Jan 1 2009 	 Fairmont worth price ! 	 spend several night Fairmont past June wonderful time . member Disney Vacation Club use point book stay . somewhat nervous regard large number point per night costing , pleased arrive . hotel sit top hill halfway Union Square Warf . well , two cable car line run past either side hotel . recently renovate , lobby amazing ! spectacular look restaurant adjoining . not dine restaurant , appear formal dining need week . check go spacious room , walk closet large hotel room . minute room notice loud child next door . disregarded noice go excursion plan . upon return child throw temper tantrum know go put damper stay . call front desk within 3 minute gentleman door key different room ! room wonderful view city bay background . hotel reputation exceed find someone ask stay reply Fairmont . dislike not coffee maker room rather expensive get deliver room , understandable style hotel . block two away small restaurant get fix breakfast crepe bargain . though rate hotel high end , money well spend luxurious stay experience . highly recommend ! 
 Jan 1 2009 	 Terrific Hotel 	 stay 3 night Fairmont Hotel late December work vacation . get room Bay view . whole stay terrific . room large clean , great bathroom . super view , service excellent . also twice eat breakfast buffet fresh tasty . hotel attraction , viz . grand historic lobby , also well situated -- 20 - 25 min walk North Beach , minute walk financial district , Chinatown etc . ' ve stay number nice hotel different country hotel favorite . look forward next stay . 
 Dec 31 2008 	 great view upgrade room 	 Loved stay great upgrade room ( signature Room ) sweeping bay view Alcatraz Golden Gate Bridge . get good deal Expedia really not think hotel worth high price charge . be nice 's two cable car line shop pain go back top Nob hill drop purchase end lug everything around several hour instead . stay Union Square would work much well shopping . next visit stay Union Square . 
 Nov 28 2008 	 Great Old World Hotel ! 	 take week one favorite U.S. city . spur moment , book day get deal century , directly hotel ! odd , fave full one nice place available . first time stay posh old - world & quot ; destination & quot ; . besides get greatly reduce rate , receive $ 100.00 spend anywhere hotel ( drank bar , ; - ) ) , nice bottle Champagne chocolate dip strawberry deliver room commemorative book celebrate 100 year historical landmark . what really make odd receptionist also amazed deal receive . " wow , long ago book package ? " " yesterday . " " ' kid ! full actually take guest hotel . " ( shrug ) room tower . certainly large enough week ' visit well appoint . Bathroom include shower well large tub fantastic view . spot minor thing lobby area could taken care nothing consequence . location fabulous remember top Nob Hill , always climb walker ( walk everywhere ) . consider however , middle everything city offer . we would hesitate make Fairmont home , could afford ! truly lucke . thank Fairmont ! 
 Nov 23 2008 	 wonderful respite top Nob Hill 	 fan Fairmonts general , though brand absolutely consistent , often deliver high quality service physical facility . Fairmont SFO exception . nice property generally courteous professional service . location great . be right top Nob Hill , view quite spectacular . tower , room harbour view , mean could see Alcatraz room . night light city quite enticing . I SFO business Union Square area , quarter mile hotel . hotel hill , be away noise crowd . consider location Fairmont ideal -- close enough thing place escape after . but 's hill . steep one boot . like walk , still going get tough especially two three time day . course also cable car , take cab . think walk would good nice good city . the room spacious . 's call deluxe room Tower . marble bathroom . separate shower tub . Miller Harris toliterie usual . Bathrobes , etc . large flat screen tv , though reception bit iffy . stereo equipment , IPOD dock station / alarm clock . coffee / tea make equipment room -- disappointment , since always enjoy cup nice Fairmont selection tea room . electronic safe room , nice . a / C work , extremely powerful , effective enough . good closet space , though lot overcoat etc may become bit cramp . room good condition . encounter none wear condition reviewer mention . , room , least , even need reno job . be nice enough Fairmont . Breakfast Laurel Court . 's include rate . wide selection food breakfast buffet . $ 28 per person . give 's available quality , 's bargain . meal hotel . the lobby probably grandest part hotel . impressive . all , nice hotel . go back SFO , will definitely check hotel first . 
 Nov 18 2008 	 Kind oldish 	 like Fairmont hotel . favorite . hotel seem need remodel . suite nice clean , bathroom mold . think good stay somewhere see mold mildew . nice balcony . food pretty bad selection restaurant even bad . location good central . stay attend wedding serve purpose . 
 Nov 14 2008 	 really fullfille expectation 	 terrible flight UK , really tired . take share shuttle last drop . lovely surprise see wonderful hotel . my room adequate olde world well quiet really need sleep . however disppointe tea coffee facility . room service extortionate sleep . next day find really good cafe basement could get back lift . great coffee fruit salad great alternative divine experience Fairmont buffet breakfast . great breakfast ever pleasure devour . the concierge helpful little dismissive . , great recommendation . hotel feel like refuge safe well look central gallery , shop , market restaurant . wonderful would love return one day partner romantic rendezvous . 
 Nov 10 2008 	 Classy Old Dame sit top Nob Hill 	 ( family four ) stay wonderful Fairmont end October 08 , get super deal Hotels.com take ( non pushy ) receptionist advice upgrading room . she helpful ( can not recall name recall Witches costume Halloween ! ) upgrade boy 4th floor tower without charge charge we $ 60 per night upgrade 20th floor tower give we breathtaking view San Fran Bay / Alcatraz / the Golden Gate Bridge , treat miss ! time taxi pull front door really feel like truly appreciate Guests Hotel Staff , wonderful classical Hotel reception welcome alternative today 's modern hotel one hotel like last one stay , beautiful building exceptional full history , great fun reading caption photograph line corridor , add uniqueness Fairmont . ! build really wonderful would nothing without exceptional staff . 
 Nov 8 2008 	 ` ` Queen Nob Hill '' continue Reign 	 partner stay Fairmont SF Halloween weekend we could not please experience . personally stay Fairmont multiple time prior , last time 6 year ago , experience seem new well . everything everyone encounter Fairmont first class . timeless elegance Grand Lobby envelope opulence without feel stiff cold . arrival process swiftly efficiently ensconce room luggage within 10 minute walk door , even though arrive 2 hour prior official check time . ' m member President 's Club , upgrade without ask corner room 9th floor Tower Building , fine we . personally would rather breathtake view Bay Coit Tower one set window soma district other . concierge extremely attentive helpful every request room service attendant come contact . hotel locate great location traverse city via many form public transit available . fairmont truly wonderful hotel stay whether special occasion & quot ; get away & quot ; weekend . recommend highly enough . surely return come back beautiful San Francisco . 
 Nov 4 2008 	 great Stay 	 book Fairmount hotel travel agent , get we great deal standard room . upon arrival hotel staff upgrade room tower . room great magnificent veiw bay , problem give we smoking room , non - smoker smell unbearable . ask change room hotel completly book , offer we air clean machine let we run entire lenght trip , nice . great historic hotel beatiful lobby , cafe downstaris good coffe crossant . whould stay whould wait deal . 
 Oct 26 2008 	 Unbelievable Stay 	 get unbelievable deal Travelzoo.com $ 179 / night ... end include good breakfast buffet ever .... french toast bananas foster topping , egg benedict , omelette station , etc . basically feel like get room free . upgrade we suite 715 upon late arrival ... free joined reward club originally book hotel month ago . staff nice . complaint . would surely go back . lobby beautiful . excellent stay . 
 Oct 25 2008 	 Best Spot stay San Francisco 	 San Francisco great city much go one not always focus stay . however year find well ! ! deal expedia introduce we Fairmont Nob Hill . locaion hotel might deter always climb back hill get home . however love walk bonus central everywhere . beautiful lobby provide tremendous first impression historical hotel . room face inner court view room extremely well decorate , meticulously clean , well equip anything need quiet . travel city many time love . people friendly staff hotel exeption tremendous . hint breakfast - great coffee downstairs small cafe cable car stop ( busy worth wait coffee ) . Saturday morning walk market - wonderful . lot great restaurant close by . highly recommend hotel ! 
 Oct 23 2008 	 Great Base San Fran -- parking outrageous ! 	 Fairmont gorgeous historic property . room second floor ( though request high floor ) king bed view financial district . bed comfy room feel pretty spacious . bathroom nice Miller Harris toiletry ! may A / c room , could tell work . fortunately , hot SanFran ... want open window breeze ( , surprisingly , could second floor -- screen bar ! ) , also listen trolley bell midnight well traffic . beware valet parking cost $ 50 night ! taxis , come $ 64 / night -- absolutely outrageous ! normally not car we city , prefer take taxi walk everywhere , travel south city decide keep car go back airport . word , pay $ 64 / night park car still pay take taxi dinner , etc . favor be stay within city proper -- not rent car ! decide venture city day , rent car one & quot ; city & quot ; location return afternoon . drive , garage around corner charge , not even bother look elsewhere , captive audience . also , notice staff ( even concierge ) seem strong opinion good place dine go nightlife . do preliminary research Zagat Citysearch , fair idea want , enough fine dining look good & quot ; local 's & quot ; perspective place grab good burger decent draft beer , look we like alien . pleasure stay great location ( prepared & quot ; hike & quot ; back hill anywhere go -- way easy , way back EXERCISE ! ) elegant surrounding , get good price pricey SanFran , Fairmont good deal ( get corporate rate ) memorable property . service standpoint , however , really impressed would pay full price experience . 
 Oct 22 2008 	 beautiful ! 	 hotel big grand ornate feature old charming style . peice throughout ( wall paper , furniture ) could use update overall 's really great property . location top Nob Hill nice - hill really get be walk though ! Crown Room top hotel amazing view whole city . bathroom small , lot room one double queen size bed , nice flat screen tv 's bose radio suite huge balcony lot furniture great relax . would definitley return . 
 Oct 5 2008 	 Perfect Hotel 	 stay Fairmont four night part honeymoon fantastic time . Fairmont fab hotel , historic , beautiful decor , great food great location . without pretentious . staff exteremely helpful professional add lovely atmosphere hotel . tip bit fun book meal Tonga Restaurant hotel , beautiful thai food rainstorm every half hour ! ! age enjoy . location also perfect cable car stop directly outside hotel not fancy hill make life easy . next time San Fran definitely stay Fairmont . 
 Oct 4 2008 	 Excellent ... 	 Superb , characterful hotel - old , refurbish style . agree comment lobby stunning continue throughout . room good huge , comfortable bed , desk couple armchair . bathroom nice small . soundproof definitely problem - hallway room . breakfast include deal high standard , although mention elsewhere , feel little formal . parking $ 50 + tax / day ! afford eat ' m sure would nice , rest we go Fisherman 's Wharf , Pier 39 sit Pier Market . wonderful , fresh food reasonable cost 
 Oct 3 2008 	 nice ! 	 warning ; charge extortionate Daily parking fee $ 50 plus 14 % tax beware . check slow friendly exceptional lobby area . room would expect 5 * hotel add luxury describe sumptuous bed . on negative side old building easily hear people corridor obligatory loud american voice especially 6 am get frustrating , oh mention parking fee $ 50 day ? well worth stay . I must recommend eat David ' Deli road Geary Street . lunch little expensive superb , dinner pier market pier 39 excellent reasonably price fish . 
 Oct 1 2008 	 # 30 - can not imagine 29 	 Fellow Travellers , Fairmont San Fran last stop 5 hotel trip California ( 1 . Fairmont Miramar , 2 . inn Spanish Garden , 3 . Intercontinental Clement , 4 . Napa Valley Lodge ) .First , Fairmont hold arguably one well location city , right atop Nob Hill - great unless walk hill time . first suggestion get 3 - day ( however many day stay ) pass transit use ! save foot . two major cable car line go right past hotel . the hotel certianly one historic San Fran , wall inside fairly tastefully plaster lot memorabilia remind this . the lobby quite spectacular , ton marble seating , old world style . staff wonderful one notable exception - Rick . Rick completely unhelpful time misfortune trying seek assistance front desk . avoid fine ! initially room 14th floor , staff happy move we top floor ( 23 ) next day - spectacular view bay , include Alcatraz bridge . the Tower room nice , well keep spacious bathroom completely swathe marble . seperate tub glass shower - amenity would expect . bed exceptionally comfortable , staff great ( except Rick ) great location make memorable stay . since corporate rate , also Fairmont President Club status able get upgrade great price . highly recommend Fairmont President Club - one good industry humble opinion - 5 stay get gold status ! nothing business traveller . would definitely stay . downside , large hotel , price food onsite outrageous . use $ 50 food certificate breakfast last day , even cover full cost ! ! problem pay $ 200- $ 300 great dinner top scale restaurent , idea pay $ 60 breakfast spin around . get perfectly good breakfast sandwich , large latte starbuck $ 6.50 . nothing justife 10x that . wonderful historic hotel , great location ( despite climb get ) , great staff ( except Rick ) , wonderful room bath - problem recommend hotel . high list - top 15 would think . wish time money hit otgher 30 San Francisco hotel BETTER Fairmont - would something . end hotel review trip ( whew ! ) , like twice many restaurent review write . good cause fellow traveller . 
 Sep 24 2008 	 Great Hotel 	 room huge nice . view great . staff nice treat we great ! surprised well keep hotel age . would hesitate stay . great location ! 
 Sep 9 2008 	 Fairmont SF Historical Wonder ! 	 first foremost , get amazing deal via hotels.com $ 200 night 800 sq ft , 2 room suite - LUXOUMBERG SUITE . go Fairmont website see room would booked direct whopping $ 550 night . Main Building would love view new tower , lack view make style , comfort amenity . wander hotel , get great feeling oppulance , history , wealth . hear weird fact every US President FDR visit SF always stay Fairmont . certainly see . lobby trendy , sexy , grand full fine marble . must 15 different little couch area sit drink wait someone . please promise visit in - house TONGA ROOM bar restaurant , least drink . be quite scene ! great place Mai Tai head . feature make rain band play move boat . feel like really Tahiti . ( even though never ) also worth drink Top Mark Bar Lounge right across street Intercontinental hotel . one minute amazing view SF , next minute encompass fog . like sign President 's Club free , check inn . get free internet , gym usage , daily paper . fairmont website . problem 's hotel fault , darn hill ! say add character city ; simply find annoying . ' m 28 decent shape huff puff return dinner bar around area . like little mountain . feel like Sherpa time 's wife bag shopping . little skeptical keep hear hotel & quot ; old & quot ; & quot ; outdate , & quot ; area look , include room , show sign wear - and - tear . late flight ( 10 pm ) bell desk happy hold bag 8 pm . fact , also get we Fairmont House Car / Luxury Sedan take we airport , rather regular cab price . overall great hotel . seem get old crowd 's W mean , be try be . if need additional info , please contact : [ - ] 
 Sep 3 2008 	 nothing bad say ok 	 travel frequently work find hotel least 75 night year . fairmont hotel suppose & quot ; breathtaking & quot ; & quot ; top notch . & quot ; can not really say much bad hotel , will say not think would worth month regular rate . receive corporate rate $ 229 per night honestly say ' ve receive well room Hilton Garden Inn . room not ready arrive 4 pm odd check - in 3 pm . wait assign room 5th floor . ok , nothing real special , standard hotel room . food bar restaurant WAY overprice , guess expect San Francisco . want get attraction SFO hotel real convenient , short ride trolley cab . overall would say not bad , price would pay regular rate , would check less expensive option . 
 Sep 2 2008 	 get visit hotel property 	 go San Fran 2008 Labor Day Weekend . stay 4 night wish would could stayed 4 more . if remember 80 's tv Show call & quot ; Hotel & quot ; , hotel film model . hotel lobby take breath away . stay many 5 star 4 Diamond level property one right there . the stay great , chamber maid extremely pleasant , concierge know everything hotel surronding drink bar world . the hotel beautiful 4 night thi 2 wedding day . hotel locate directly top Knob Hill Union Square area Fisherman 's warf . you walk Union Square warf due hill grade . I go bit make feel comfortable hotel time . tell book hotel trip back San Fran Christmas . PS - forget one thing . hotel two area room . stay original side new tower side . difference : original side - room large , 12 ft ceiling , old wonderful crown modeling , victorian type look feel charm . draw back view . look garden area onto street . the Tower side - room large ( approx 450 - 500sq ft include large bathroom ) view either downtown look onto Union Square directly face bay . 20th floor look direclty bay , golden gate bridge , alcatrez China Town . view worth every dollar spend . 
 Aug 31 2008 	 Nice .. 	 book 3 night stay Fairmont , look upscale 5 star hotel . stay , expection meet , other not . fairmont real 5 star hotel many thing aspect let expernece fall down . the building nearly top Nob Hill , offer wonderful sight San Francisco . at arrival immediataly 2 member staff ready open taxi 's door take luggage car ; give card order take suitcase back check - in . the lobby huge spectacular , one good ever see : floor colum full marble , beautifiul ceiling carpet . due misunderstand hotel travel agency , booking ( 2 queen size bed room ) transorme king size bed room . not 2 queen bed room available , upgrade large room partail view tha bay place rollaway bed . the check - in anyway fast , bell - boy immediatelky take luggage room . lifts corridor nothing special compare lobby ; size room quiet good ( 30 sq . mt ) : comfortable king size bed middle , LCD flat screen ( 37 & quot ; 40 & quot ; ) , lamp 2 armchair . small marble bathroom ( product 's bathroom Miller Harris ) big closet . the room ( locate old palace ) full contradiction : beutiful lamp old armchair , marble bathroom old bathtub , beautiful bed LCD tv old clean curtain . and feel whole stay . every morning leave front door copy US Today . on one day stay , SF authority plan simulate huge nuclear attack SF 's downtown . evening , hotel staff inform event detailed letter describe training ( letter even street would close ) . nice useful touch . staff confirm skill inform guy stain rollaway bed 's sheet . wrongly think member housekeeping not need call housekeeping let sheet change : guy ( probably hotel 's supplier ) inform directly hotel staff . the hotel offer two great restaurant option : famous Tonga Room restaurant adjiacent lobby , latter , amazing wall , furniture ceiling . since electronic check - out not available departure date , check front desk take rollaway bed cost ( 90 $ ) .Another nice touch really appreciate . think one basic 5 star hotel guest ' expectation pay lot money room find hotel everyone seem ready charge everything ( another example king minibar , luckily , electronic one . check - out happy hear long time question & quot ; take something minibar ? & quot ; ) .and finally issue find not allow describe Fairmont experience like five star one : 1 . room not absolutely soundproof . always , especially early morning , could hear bed many terrrible noisy door 's slam . REALLY ANNOYING standar luxury hotel . 2 . something look old subject recent restructuring : one leave carpet lobby big rip , like sheet bed . , write , corridor , lift moquette line beauty lobby . all , Fairmont SF feature order amazing hotel : beautiful building common area , skilled staff . need bring high level detail describe . probably , actually Fairmoint 's rate , be possible find something well SF . 
 Aug 30 2008 	 great place ; worth money 	 ' m local SF Bay area stay twice , family come visit want stay fancy hotel city proper . ' ve upscale hotel ( Mandarin Oriental , Pebble Beach , etc . ) would say par pay , although PB overprice - see review separately . staff always gracious accomodate staying birthday , generous enough upgrade we room Tower georgeous view . , room service show 30 minute later complimentary bottle sparkle wine chocolate dip strawberry - 's class . 's place ' ve stay thoughtful . tower great view bit new , original building much character . stay deluxe double original two year ago truly charming . huge bathroom walkin closet , beautiful view large vertical window open sit ledge look . stay least see like . oh , Tonga room bit cheesy band decent , much like wedding band , not expect much . drink strong , worth visit check . think food decent . 's fun thing , especially place hop . 
 Aug 29 2008 	 Perfect hotel one big problem 	 hotel absolutely beautiful room gorgeous . could live bathroom , huge ! bed comfortable . one major problem wake morning barely hot water , call front desk inform aware problem . breakfast water go lukewarm cold . guess could happen anywhere , would think company much prestige Fairmont would offer hospitality suite later day since check day , without hot shower ! 
 Aug 27 2008 	 absolutely top notch professional service 	 Fairmont simply classy . be difficult find high quality service professionalism day . want truly exceptional experience world class hotel , stay . will not disappoint . 
 Aug 25 2008 	 beautiful classic old - world style hotel ... couple glitch 	 return 3 - night stay Fairmont . stay room 675 , old main building , tower . room book queen sized bed , interior courtyard view . view speak - be look room across . fine know book least expensive room . check - in go smoothly able accomodate early arrival time 11 am . the room gorgeous fairly large . bathroom bite small , nicely appoint marble shower pressure excellent . great walk - in closet . usual overprice minibar dresser kind small stay 3 - 4 day , closet space make . clean . beds BEST ever experience hotel ( sorry Ritz Carlton ! ) comfortable fall asleep effortless . while fall asleep effortless , actually stay asleep provide great challenge . wall main building paper thin couple room next we first night major argument , complete thing throw around room profanity abound . call security midnight thing seem calm awhile , pick behavior . could hear everything . grant , people completely inconsiderate , even tenant change follow day , could still hear talking - beware room indeed beautiful , conversation activity completely own . the lobby indeed palatial deserve place grand hotel history . complimentary coffee offer morning . eat Laurel Court , although look quite nice . the hiccup Fairmont stay Tonga Room - low floor bar complete fake rain , thunder lightning . go Friday night happy hour , since read multiple time good happy hour city . joke . buffet waste 9.95 , nasty frozen egg roll overfrie chicken wonton salty noodle side . not even bother . definitely disappoint Tonga Room . & quot ; thunder rain & quot ; effect appear super - cheesy well - honest , well job kind thing Rainforest Cafe . the staff friendly . Maid service great . request wake - up call last evening promptly administer follow morning . location wonderful atop Nob Hill - really can not ask anything location Fairmont San Fran . would stay couple thing would change firsthand knowledge . have spring room tower hope wall thick since new structure would avoid Tonga Room cost . 
 Aug 25 2008 	 not miss ! 	 great first stop California trip . staff extremely friendly helpful . build historical beautifully maintain .... also wonderful location . travel plan include breakfast / brunch , fabulous ! would highly recommend Fairmont . 
 Aug 25 2008 	 live past glory ... 	 Positivley ; hotel good location junction two cable car line . furthermore , hotel grand reception area bar . however , room leave much desire .... room tower pay extra view city . opinion room date need modernisation . example , find hole one curtain even switch table light circa 1950 ! however , bad experience deal concierge exceptionally rude ; entire conversation come telephone . even , advise give we inacurrate answer question . 
 Aug 21 2008 	 Beautiful formal 	 stay Hapsburg Suite ( sound grand basically bedroom extra lounge ) .On enter , build impressive , marble interior . lobby fault place ' be comfortable ' . whole atmosphere hotel grand rather staid . room faultless . Miller Harris toiletry bathroom , beautiful decor , spacious . and yet , despite central location Nob Hill , cross two cable line , feel central . 10 minute cable ride Fishermans Wharf - come back wait cable half hour . 5 - 10 minute walk steep hill Union Square , cable car way recommend . beautiful historical hotel , maybe good relaxed family holiday . 
 Aug 18 2008 	 would highly recommend ! 	 stay 4 night San Francisco begin 2 - week west coast trip thoroughly enjoy Fairmont . book travel agent , anxious reading 's review thankfully find completely unfounded . infact every local discover stay Fairmont call & quot ; top hotel San Francisco & quot ; .staye great double room , view overlook bay , include Coit Tower Alcatraz Island . room light airy , comfortable quite luxurious . hotel great location , block Chinatown Union Square ( main shopping area ) 25 minute walk downhill Pier 39 . also option take tram , two line ( head 4 main destination ) quite literally pass hotel . there negative - obviously quite pricey part , expect give initial price , etc . tonga - relate bar also bite bizarre , real atmosphere strange water light effect every 10 minute miss live band apparently make worthwhile . very friendly staff nice stay . would definitely recommend other stay Fairmont ! ! ! ! ! 
 Aug 17 2008 	 charming grand hotel 	 Fantastic hotel grand beautiful lobby entry , friendly check - in staff kindly offer we rollaway bed three child not share two double bed . concierge always friendly offer great restaurant advice dinner . room fairly large clean well maintain . breakfast buffet Laurel Court terrific ! 
 Aug 14 2008 	 top steep hill great hotel 	 stay Fairmont part wedding party otherwise probably would not pick . try get room high - preferably corner - 614 three huge window incredible view south city . not draw curtain night could wake see view . everyone else talk service lobby will keep review - not stay can not manage walk hill . fairmont website claim close BART station , not exactly lie , map not show hill . Fairmont top one . steep one . luckily , brave street traffic drive bag hotel drop car airport Napa . frankly would not make hill , , luggage . even without heavy bag , hill put come go day , unless either drive prepared pay taxi everywhere . if nothing else , say stay Fairmont San Francisco real buzz forgive hill fray decor ( John McCain stay 2 day we ) , be guarantee always find hotel SF / USA guide book - 's city landmark . 
 Aug 5 2008 	 Classic Hotel Style Charm 	 wife stay Fairmont two night , 7/26 7/27 quite impressed grand lobby . addition , get super rate Expedia 60 % , upgrade Tower Room scenic view Union Square rooftop garden . the room spacious , comfortable king - size bed , separate desk dresser . bathroom luxurious , glass - enclose shower marble sink counter . as location , LOVED top Nob Hill . get two 3 - day muni pass , walk hill breakfast take cable car hill afterwards . folk bad - mouthed hotel date , much prefer turn - of - the - century grand dame cookie cutter Marriotts Hiltons look every city . good suggestion join president Club free get free internet access free gym usage . 
 Aug 1 2008 	 nice hotel date decor respect 	 stay Atherton Suite 2 night June 2008 . book hotel ( room ) get great rate Expedia one 60 % one - day sale . check fast , courteous , efficient . give detailed direction get check - in area room tower addition . first thing notice upon entry room fact strange juxtaposition date furniture fixture , modern . big flat panel television , couch do fabric clearly early 80 . curtain heavy , gold - colored , bed almost brand new , plush , comfortable . iPod dockable clock - radio bedroom . bathroom fantastic , reminiscent setup intercontinental ' ve stay : nice deep bath one side , shower ( one rain shower head ) . bathroon spacious , tub great water pressure produce excellent bubblebath ( mention deep ? ) slide door block sit area sleep area , nice , also separate temperature control . corner suite , due hotel 's layout , neighbor side -- room wonderfully quiet . not eat meal hotel , check Tonga Room ( kitschy ) -- drink & quot ; buffet & quot ; pretty expensive really worth atmosphere , think . enjoy Laurel Court bar , quieter , comfortable seating couch such . overall , hotel definitely live reputation . we likely will not stay Fairmont , unless Expedia another sale like ! -- stay , would probably try check room main building . 
 Jul 23 2008 	 Great Hotel Old - Hotel Drawbacks 	 love hotel ! really beautiful property look feel classic funky . staff friendly helpful . would gladly stay get deal price range ( $ 150 / night ) . thing not like , understandable old hotel . bad thing wall transmit noise room . change room overpower voice guest next door , discover even second room could also hear everything say next room . also , bathroom small , though nicely renovate find use . finally , elevator extremely slow . not mind drawback much end ; classic feel grand old hotel great attitude staff make . 
 Jul 22 2008 	 good hotel smooth service 	 Fairmont San Francisco , without doubt , one world 's grand hotel . deserve reputation . facility ( 1970s Tower extension ) bit date , generally , good hotelwhen arrive hotel late ( around midnight ) , plane delay , long give room historic part ( book ) , tower . however , upgrade we top floor , corner view deluxe room ( actually floor InterContinental 's hotel bar ' Top Mark ' opposite , could easily look ) . room facilities excellent grand interior design cosy , elegant atmosphere . bathroom spacious clean - provide separate shower , toilette bath tub . bed comfortable , desk perfect business need could generally fault hotel service anything . arrive back San Fran late restaurant shut thus decide use room service . drink sandwich arrive time good quality . checkout good . quick summary : location : goodfacilitie : goodroom : goodspecial factor : entrance hall bar look amazing . service : good 
 Jul 20 2008 	 historic luxory hotel good location 	 stay hotel two day July 2008 . though hotel rate expensive , worthy . hotel building antique . lobby classic beautiful . room spacious equip large LCD tv . bathroom big bed comfortable . staff polite helpful . the hotel locate juction two cable car line take cable car easily many people may change car . moreover , far away China Town . however , luxory hotel need prepare pay broadband access usually free low class hotel . also , hotel designate airport shuttle service $ 4 / person high market . case want save money , need call shuttle . 
 Jul 17 2008 	 great old classic hotel 	 stay fairmont atop nob hill local call & quot ; snob & quot ; hill july 4th weekend . great stay . stay one original suite main building separate living room balcony stretch entire length suite . balcony look upon rooftop garden . classic room great character , do not good view city though . well view city would recommend get room tower ask face north . front d service exceptional willing accomodate try get we good view possible . decide suite charm huge balcony . poke head tonga room look like could fun , tiki polynesian feel bar . workout facility pretty good . hotel great central location touristy stuff . walkable chinatown . also walk fisherman wharf would not reccomend walk back since uphill . cable car line accessible , line stop right hotel . definitly recommend get citypass however long stay $ 5 cable car ride add . think be $ 18 3 day unlimited ride . do not get citypass thinking be not go use cable car line wrong use everyday get major tourist spot . be also great bike rental around city . do not try restaurant hotel get breakfast room service daily delicious ! maid staff great clean room twice day . overall think hotel great location service . keep mind hotel old lot history one key landmark san francisco . look new modern sleek hotel probably be not right . do not mean shabby mean . grand old school feel great marble column room flat screen tv . remember get lot history behind ! 
