peaceful 	 Beaufort feel bit like home . nice staff , complimentary bar soft drink alcoholic beverage , liitle lounge , quiet street , close Harrods , Knightbridge even Piccadilly . we Junior Suite King size bed , sofa bed rollaway , stay 2 adult 2 teen . bathroom bite small one washbassin . 's charm houses Beaufort settle , guess . 
 Mar 22 2008 	 overprice 	 stay three night suite , small room entitle ' suite' . there obviously form staff accomodation room wake morning early someone get ready - noise shower , walk creaking floorboard etc - ideal leisurely break . beware ' sale pitch ' Hotel website - chocolate room arrival - consist two small dinner sized chocolate ! ! ! first day ! ! tea / coffee facility room ! ! ! Guest lounge get drink also breakfast full 6 people occupy - small . cleanliness room hotel good overprice indeed . excellent location Harrods , selfridge Museums that s - disappointed . 
 Mar 11 2008 	 Home Away home 	 January 2007 , two adult daughter , 24 29 , join 9 day trip London stay entire time beaufort . nervous trip first trip abroad absolutre delight Beaufort perfect . service excellent , junior suite comfortable , clean modern decour . entire atmosphere wonderful know , refer Beaufort & quot ; home & quot ; - initially plan book trip 4 5 star hotel find beaufort much enjoyable stay feel though center attention . especially enjoy afternoon tea scone - actually still talk joy tea scone bring room tray china . wine refreshment add bonus . the staff helpful thoughtful . neighbor Knightsbridge quiet less tourist area . feel much home . a year later still talk great trip London Beaufort stand foremost memory . miss . opportunity stay location - ' m positive return Beaufort highly recommend great boutique hotel . close harrod underground easily get around city visit sight . it make trip London experience lifetime . LindaSouthern California 
 Mar 10 2008 	 Loved Cream Tea ! 	 enjoy weekend stay much . hotel location central we , road Harrods minute taxi ride Royal Albert Hall visit evening . the hotel staff welcome check process speedy . arrive 3 pm tell cream tea would brought room - treat , together free resident bar downstairs , include price stay . there lift , beware claustrophobic tiny room two people luggage , one person luggage ! however , perform function perfectly well complaint . our double room third floor compact well furnish modern decor air conditioning lovely , spacious en suite bathroom , immaculately clean . breakfast next day bring room - extra charge service - along Sunday paper could relax morning . as stay one night arrange go evening , spend time downstair guest ' lounge , look comfortable inviting , next time stay hotel , plan summer , make sure make full use facility . overall feel hotel offer good value money fthought far personal number other stay central London . 
 Mar 10 2008 	 quiet retreat heart Knightsbridge 	 pick Beaufort Trip Advisor review . I take parent London day sightseeing - thi 70 's . want somewhere quiet , resonably price central West London West end - get exactly that . the staff superb - afternoon team great addition already nice hotel experience free guest bar make dear old mother happy free afternoon aperatif ! ( sorry spelling ) . agree one reviewer 's comment decor start look little tired without attention could stop stay point future . however - right , real fan . London often overprice , overblown dissappointe hotel experience . the beaufort disappoint . oh mention , really sweet quiet cul - de - sac 2 min walk Harrods Knightsbridge tube ? . 
 Mar 5 2008 	 finally high - end boutique hotel London ! oasis ! 	 year try various hotel London , pay incredibly high price get terrible quality service , finally find oasis Central London ! ' ve stay Beaufort 4 5 time November 07 March 08 . unmatched . room clean well appoint . lobby area , though small , comfortable welcoming . staff good ' ve ever come across . the not - so - perfect thing ' ve notice room ' ve stay window old well seal , sometimes get little drafty windy outside . however , minor item comparison excellent standard everything else hotel . first choice visit London . well worth price charging ! 
 Feb 22 2008 	 love beaufort 	 spend 6 night beaufort wife . junior suite . beaufort really boutique hotel . staff great service exceptionaly good . glitch size room small suite . 
 Feb 4 2008 	 good get tierd 	 agree reviewer - great location - room good - get little tiere - need new carpet lick paint - lot sratche door ect - stay 
 Feb 1 2008 	 Nice Stay 	 hi find website several vacation enter . go Europe April 2006 go London , Amsterdam Paris . Nice Hotel one well room . Slept well keep busy London almost busy . recently retire take several vacation last 3 year . London nice see much could last three day . make sure get Heathrow early get two hour flight Amsterdam take almost long get security . beaufort fine hotel friendly people work want thank . 
 Jan 31 2008 	 cute hotel great staff ! 	 stay 2 night standard double room 6 month old . upon arrival advise may find room somewhat small cotbed . special rate offer upgrade . inspect room go ahead stay standard room . bit difficult move around cotbed due lay - out , otherwise spacious european standard . staff extremely helpful suggest restaurant make reservation . call we mobile inform we reservation . help baby stroller up / down stair , arrange taxi , serve ( complimentary ) scone tea room , breakfast we minute early ! ( ! ) nothing much trouble . loved complimentary mini - bar lobby . great location ! right around corner harrod cute quiet street . would stay . 
 Jan 25 2008 	 ok 	 honest , not get review hotel get . ok , even good , ok . first location good -- around corner Harrods , etc . internet access also good . however disappointed website mislead ' photo ' . yes know small charming hotel , former town home , however photo 's misleading ! ! ! , take wide angle lense , portray room lobby somewhat expansive . jr . suite , say , pay , hype website review give , well perhpas jade . room small , rug bordeline line dirty . free drink snack tell get room , bag 5 mini short bread cookie , two mint . drink tell available downstair , nothing mini bar lobby , nothing special unique . travel extensively , usually stay small large luxury hotel -- say like bell whistle . expect beaufort -- boy disppointe . will not return Beaufort . ' m sure miss . 
 Jan 24 2008 	 Excellent always 	 always Beaufort Hotel oasis tranquility centre London . lovely staff , elegant room lounge nothing much trouble . please not stay loud want large hotel chain , please stay want personal service , peace quiet , expect fellow guest . 
 Nov 30 2007 	 Excellent hotel 	 stay hotel 3 night could fault location , friendly efficient staff restful decor . would definitely hesitate book Beaufort . fantastic ! 
 Nov 30 2007 	 Small Charming Hotel 	 wife spend 4 night beaufort , place great ! unbeatable location , lovely room , great inroom breakfast service , quiet / relaxing , young , caring & amp ; professional staff , free drink afternoon , clean , charming , good relationship quality / price consider expensive city neighborhoodwe give room 32 suppose one large double ( standard ) room : small large bathroom separate room stairswe love back ! 
 Nov 29 2007 	 Gratitude charming Beaufort 	 many lovely , small hotel London stay enjoy number . must say beaufort rank top list . wonderfully locate ( almost literally around corner Harrod 's ) , be pretty hotel , contemporary , yet gentle edge personal style make one feel comfortable . receive reception desk graciously , offer cream tea , could serve either room draw room downstair lounge . choose room invite -- huge , beautifully appoint quiet , everything soft cream color luxurious bed jewel - tone silk pillow drapery . bless hotel Gods -- surely one nice single room offer . the hotel also provide drink late day , accompany olive nuts chip , enough see one til dinner good room service menu ( breakfast arrive exactly time ) .everyone nice -- need help get online communal computer , someone immediately come rescue . also impressed well maintain Beaufort -- always case London building vintage . single night 's stay ( try stay additional day , , understandably , book ) . hope next time be long . 
 Nov 20 2007 	 seriously recommend ` ` beaufort '' visitor London 	 extremely delighted stay & quot ; Beaufort & quot ; Hotel last year think shareour experience visitor . apart central convenient location London 's major shopping district Knightsbridge , ( harrod around corner ) , find hotel provide upmost comfort , congenial pleasurable surrounding client service match want visit nation 's capital . we delight room extremely , tastefully furnish , provide every comfort need . love also extra ' little touch ' provide management - complimentary scone , jam cream ; perfect way relax long day spend shopping enjoy , complimentary drink bar .We find service provide Hotel 's Management team , extremely good . prepared go ' extra yard ' helpful ensure stay hotel visit London indeed memorable one . I / we would highly recommend hotel discering visitor London - good recommendation say certainly return visit London next . m Jillian Menon 
 Nov 16 2007 	 touch paradise 	 beaufort classic charm would expect boutique hotel heart Knightsbridge . hospitality impeccable staff friendliest cheerful encounter hotel . hub one nice part London , hotel quiet , quintessential London street yet moment Harrods , shop , transport , Hyde Park Kensington Gardens . hotel comfort home , warm & quot ; good morning & quot ; breakfast arrive ability relax champagne evening . room tastefully decorate little extra count lot - water , biscuit , chocolate course delicious scone high tea afternoon . this great find heart London . 
 Nov 12 2007 	 Relaxing break 	 like small boutique hotel one . around corner quiet tree line street hustle bustle Harrods . room stretch front back hotel window end . room spacious , clean well appoint . positive : room quiet comfortable . free resident bar definate plus good selection . soft drink available free time day night free charge . staff polite friendly . flat screen tv good variety international channel . bed really comfortable . morning paper complementary good selection available lounge . negative ( really nitpick ! ) : water shower weak flow - close power shower effect . ask receptionist recommend resturant locally resort & quot ; google & quot ; reply . if want centrally locate , small boutique hotel London ok . & quot ; well available & quot ; internet rate value money . would recommend upgrade room aspect good . receptionist also recommend offer show we different room wish see difference . 
 Sep 27 2007 	 beaufort - great night Knightsbridge 	 stay hotel attend wedding London enjoyable stay . well locate well know shop area fantastic offering afternoon tea bar include price ! excellent find another date diary ! 
 Sep 9 2007 	 elegant sophistacate hotel 	 second time stay hotel surpass first experience .... great location safe sophistacate area London ample restratant Harrods around corner Krispy Kreme donut ! first time mother stay first wedding dress fitting ... staff friendly room stuffy one window lead small courtyard exit , make uncomfortable case fire etc . however , hotel much offer second time stay ( collect dress ) request large room space well view etc check upgrade junior suite ... include price open bar three pm onwards ... collect dress decide head back hotel , mentally exhausted , decide glass champagne olive course lead bottle half champagne .... include price ! ! ! top hotel fellow travel look home away home ! 
 Aug 31 2007 	 Fantastic 	 amazing time spend hotel . negative thing report size room , ( deluxe ) .The staff excellent , could helpful . afternoon tea worth leave shop ! ! help - yourself mini bar foyer ( free 3 - 11pm ) gratefully appreciate ! ! ! well stock wine , champagne , spirit etc . even cocktail mixer ! take 90 second walk Harrods , tube . I certainly return- however , breakfast expensive , advisable eat one many nearby restaurant . 
 Jul 24 2007 	 relax pleasure great location 	 beautifully appoint boutique hotel locate midst everything . find everyone pleasant responsive . especially appreciate prompt response technical help wifi room service . place enjoy . 
 Jul 15 2007 	 pleasure ! 	 family arrive weary assortment italian lodging . delighted charming comfortable environment . hotel immaculate thoughtfully appoint . technologically well - equip . two public area gather relax . staff knowledgeable extremely helpful . great location . highly recommend Beaufort hope return . 
 Jun 29 2007 	 Great Little Boutique Hotel 	 situate quiet garden cul - de - sac heart Knightsbridge Beaufort wonderfully locate . hotel nicely decorate overly do . room slightly small cost clean well furnished . staff efficient , helpful knowledgeable . 
 May 21 2007 	 absolutely love Beaufort Hotel London ! 	 wonderful experience Beaufort Hotel London . hotel charm extremely comfortable ... complimentary cocktail 3p 11p every day ! room perfect location Beaufort within walk distance London 's interesting site . definately stay beaufort again . Todd NancyMichigan 
 May 11 2007 	 Tea 33 	 Porter greet we arrive Beaufort Gardens . bag take care check Suite within 5 minute . open terrace door , take sunshine jump bed utter delight , order Cream Tea . say .... wow . the room well furnish , Guest Lounge equally impressive staff could enough we , organise babysitte sort congestion charge , nothing much trouble . after come back party late night , unfortunately miss free bar offer hotel , however allow sit demolish Champagne Krispy Kreme doughnut early hour . it hotel choice London . 
 Apr 30 2007 	 great stay beaufort 	 wonderful boutique hotel . close Harrods central many restaurant shop walking distance . hotel clean nicely furnish . room small , expect Europe , comfortable stylish . staff responsive helpful . arrive late young lady front desk go way call local restaurant see open late would inconvenience . free bar evening unexpected . stay brief , literally overnight , plesant think good value money . definitely return recommend other . 
 Apr 23 2007 	 Charming Beaufort Hotel 	 lovely comfortable . beautiful hotel ! 
 Apr 12 2007 	 problem Second Visit 	 stay beaufort twice . first stay pleasant although room tiny . recent stay nice . elevator work trouble walk put basement room 1 . large open street outdoor light shine night . noise reception area . location convenient Harrods service fine although seem hardly 2 3 staff around time . nice afternoon tea offer free drink evening , 
 Mar 16 2007 	 Ssssoooooo relax 	 beautiful hotel . lovely place return day London . staff helpful friendly everything do right . comfortable whether relax room one Beaufort 's common room ..... keep secret ! ; - ) 
 Aug 22 2006 	 Fit Madonna 	 long review worth read ! want quick review 's simple sentence - stay BEAUFORT PERTECT HOTEL VISIT LONDON ! last minute friend supprised ticket see Madonna Birthday concert , Confessions tour . could not believe ! ! ! problem find hotel ' my standard ' ! London large city thousand hotel - start ? - Knightsbridge answer ! Beaufort Hotel well present ideal location - next Harrods - manage fit shopping 24 hour stay . love good cup Coffee - Nespresso around corner . ( give chance get coffee acessorie machine ) stock upon Ristretto bring back life morning ! ! ! choose Beaufort among vast array Hotels ? simple answer - Cream Tea ! ! ! beaufort offer complimentary cream tea 3 pm . lovely english touch ! also complimentary bar - see hotel website detail . the staff : one know , know like thing simple easy - stress free . 's work stress - full environment . not need stress social life . staff friendly , helpful joy meet . even chance meet Sales Marketing Director - accident really - lounge reviewing Beaufort website -- cream tea serve . give feedback website . easy use - would recommend booking , plus will probably get good price booking direct ! check - check OutReally simple problemsoverall rating 5 5 ! ! ! ' ve recommend Beaufort family friend simply hotel , staff cream tea really add something special . work within customer service always nice hear good thing well bad . hotel awards - Beaufort staff deserve one ! GP Fradgley 
 Jan 21 2006 	 Pleasant stay 	 stay beaufort last weekend 2 night . pleasant hotel like another review say , complimentary afternoon tea drink evening really nice touch time take advantage , not unfortunately . we stay room 6 , couple step entrance hall near lady toilet . the room small enormous bed , not help , would say single room . one step side bed en - suite , good size compare bedroom . difficult husband move around time , get ready go quite effort , plus unbearably hot air con not seem work , take front radiator cover turn radiator off . there not dress table room full length mirror inside door tiny build wardrobe , mean tiny , would able stay length time 's hardly space clothe plus , one lady , find really difficult dry hair mirror / plug situation . the room we must wooden floor wake morning 7 am people walk around . the hotel really convenient position spotlessly clean staff really friendly . would stay guarantee different / much big room . 
 Jan 18 2006 	 Fantastic Value 	 overprice London hotel market one really stand . fabulous location ; stylish , well think - out bedroom ; sleek invite lobby interesting artwork wall . good little touch : free afternoon tea scone bring room ; free drink – include chill champagne – help - yourself bar ; free movie internet access . course ' drink tea champagne , ' watch movie , ' like art ' use internet may well stay somewhere else . thing , ' immediately shave quite lot money bill – reasonable first place . 
 Nov 5 2005 	 beaufort ...... stay basement 	 beaufort small hotel nice location central London . place give facelift recently , quite pleasant . room well appoint modern . however , room get important . one word caution .... stay BASEMENT ! ! floor thin paper , ceiling low ( maybe 2.3 m 7 foot ) constant activity reception area head . friend stay ground level say pleasant . also , hotel London generally overprice . would expect Ritz States price , small , relatively simple boutique hotel . one plus ; free wine champagne evening . 
 Oct 19 2005 	 well ever 	 stay hotel several time although last couple year . imagine surprise see major change since last stay . first wonder right place ! go cozy , comfy country house new , sleek modern style . first not like , grow love . although lobby area quite cold unwelcome plan fireplace may make welcome . room large , immaculate complete amenity . service remain superb complementary afternoon tea , bar wonderful breakfast serve Wedgewood China . room 3 basement right across lounge house computer ( complementary internet access ) snack , cofee comfy chair . feel like home least elegant suite . one might imagine would make bedroom noisy , everything quiet elegant . inflate London Hotel market , little gem offer great value can not wait return . 
 Jun 20 2005 	 one nice hotel world 	 beaufort gem middle London . quiet , welcoming , clean , personal , hotel oasis midst busy London . hotel conveniently locate heart Knightsbridge -- stone 's throw Harrod 's lot tourist attraction . convenience one reason choose Beaufort , Warm , efficient service another . clean , quiet , comfortable room another . great karna peace two other . business traveler , tire another busy , transactionally - base hotel , real find . leisure traveler , look warm , charne base explore London , great bet . 
 Apr 4 2005 	 transition 	 come back two night Beaufort , March 29 - 30 . stay property number times 10 + year clearly transition . floor redone laminate , clean brighten thing . common room renovate , one guest room basement place get drink , coffee computer link internet browse . wireless internet work , time ( will get back call let know 's ) . room time quite small - definitely two people . staff remain friendly location still wonderful . , seem work progress - property write Gourmet , sure be head . 's enough attraction stick long , presume price not rise , see turn . 
 Mar 29 2005 	 wear 	 wife say Christmas . hotel superbly locate Knightsbridge close Harrods , good news end . sure , look marvellous web site hotel need serious upgrade . room TINY . cleanliness average . 
 Mar 21 2005 	 do not get room 1 	 stay one night sure would stay agin . reception look bit worn welcome fine . show duluxe room basement ... big nicely furnish room although would prefer carpet floor . work air conditioning leave window open ensure awake 5 milk arrive . staff start let kitchen door slam 6 movie internet do not work fill time breakfast arrive ! nice handy setting though worth money especially pay full rack rate 
 Jan 28 2005 	 Small beautifully form 	 single woman travel regularly London , feel secure & amp ; comfortable . standard double room small , fine one two people . romantically furnish draping voile , fur throw & amp ; silk cushion clean . staff helpful & amp ; friendly . location excellent , heart Knightsbridge , no - through road get good night 's sleep away traffic . would recommend hotel tired characterless chain hotel . 
 Jan 26 2005 	 Excellent Hotel 	 stay hotel weekend Christmas busy , staff charming service excellent . complimentary afternoon tea welcome day bustle Christmas shopper , return evening pleasure could help nightcap . room perfect bathroom far large normal London hotel . can not wait go back ............... 
 Nov 17 2004 	 love london beaufort 	 return wonderful trip visit daughter study year london say beaufort terrific staff one highlight trip . enjoy elegant suite , free internet business center , great morning coffee breakfast , well stocked bar snack , afternoon tea especially warm friendly staff - every one kind helpful - always eager something nice - even opportunity meet owner ( delightful ! ! ) gracious show we suit throughout hotel . , beaufort special return busy day london look forward return . would recommend particular hotel person look cozy personal atmosphere attention detail .. , course , location perfect ! ! ! - 
 Nov 16 2004 	 3 STAR HOTELS 5 STAR price 	 read many positive review look forward stay , albeit short one . stay Hotels immediate area aware great location Beaufort Gardens offer . letdown , moment porter try fit miniscule lift travel rabbit warren narrow hallway multiple door finally arrive room . room decorate manner represent website definitely worthy 5 star rating . however , bathroom large light bright . pre - ordered taxi follow morning Paddington Station find limousine order instead 5 minute journey . STAYED MANY 5 STAR HOTELS LONDON BEAUFORT certainly CLASSIFIED promote CATEGORY . 
 Oct 28 2004 	 Beaufort Hotel 	 stay Beaufort Hotel 23rd till 27th October . room nice , location well ( Knightsbridge ) . problem - unprofessional staff . reserve room online credit card - 50 GBP pay advance . upon arrival mistakenly give another one pre - authorisation . Noone tell second card block well . result - card block full amount stay + 100 GBP ! ! ! security reason ! ! ! check card charge third time ! ! ! previously block card still block willl unblock one week early ! ! ! name guy charge & quot ; nice & quot ; transaction Benjamin ! ! ! take care ! ! ! 
 Jul 8 2004 	 expect ... 	 usually would want traveler know experience Beaufort judge . total 7 day , mainly business . staff friendly helpful part . one lift small . leave key front desk leave get come back . order complimentary breakfast reception night come promptly every time . phone message handle operator ( not get voicemail box ) people say line keep ring could not leave message . receive message though call get redirect back operator . complimentary e - mail movie main reason choose hotel well location . great system go day ( could not get fix right away reason ) . phone charge high London hotel . complimentary drink nice . front door lock certain time night ring bell reception open . finally , put room construction work go would hear day get back early . probably would not stay other obviously enjoy stay . 's ... 
 May 17 2004 	 enjoy Beaufort Immensely ! return ! 	 everyone 's taste different provide less gracious review certainly entitle opinion ; however , find many wonderful thing beaufort , importantly , feel safe secure business woman travel overseas . husband travel UK extensively . find Beaufort 2 year ago , whenever travel allow stop visit London , stay Beaufort . stay also business woman travel alone always feel secure . room charming clean time . room front balcony ( favorite ! ) several time back side . yes , ' ve climb stair , lift can not not want climb . amenity room wondeful . staff always gracious ; especially long trans - atlantic flight ... always deliver tray breakfast room upon arrival without second thought ! location plus ; could not convenient ! museum , shopping , grocery , dine even Tube close . please give try ; remember , 's Marriott , Hilton Hyatt yearn , probably bmuch etter stay . unique , comfy , accommodate safe property . return can not wait - request , course room balcony ! 
 Apr 28 2004 	 Second stay 	 get back 2nd luxurylink stay Beaufort . approach hotel , bit worried -- paint chip front carpet , entry area , seem bit frayed . however , immediately greet warmly luggage take room , even though 9 official check - in time much later . the service major area improvement : breakfast arrive dot ; wake - up call come second ; room keep spotless ; fresh flower lovely ; bottled water replace need ; one day find basket apple room . the internet access free ( good keyboard extremely difficult use ... ' ve charge $ 15 per hour elsewhere system ) ; movie also provide charge . and need assistance , assistance provide .. one his / her hand tip ( although leave staff gratuity leave ) .The new management make BIG , positive , difference . would happy stay . 
 Apr 18 2004 	 Boastforth Hotel 	 Boastforth Hotel room ok - travelodge double - suppose junior suite . someone go mad wood grain effect paint . fruit amount 3 apple , one rotten . flower half dead . internet movie available , find struggle instruction german . manager evidence , staff polite though lack English . pay full price would furious - seem cynical pricing policy meaning pay 50 % not find right site book . plus side location great free bar afternoon tea good touch suspect initiate original owner place air money - maker run clockwork distance . can not understand rave - put either people want belong elite club travel much stay amazing place . Read comment make choice carefully 
 Mar 27 2004 	 wonderful stay Charming Boutique Hotel 	 stay beaufort 5 day March truly enjoy stay . location terrific -- walk distance museum S. Kensington ; tube station bus stop close by . I bright spacious junior suite . room spotlessly clean well maintain throughout stay . staff extremely friendly helpful . breakfast tea deliver promptly room . think room well public sitting room nicely decorate . fresh flower throughout property particularly wonderful touch . I definitely stay beaufort next visit London . 
 Mar 21 2004 	 's nice place 	 daughter spend 5 day beaufort . book line not sure getting pleasantly surprize . comparison european hotel ' ve stay room pretty good sized . bathroom huge everything , clean . staff helpful courteous prompt . great breakfast bring room promptly every morning . need anything right help . also great location . Harrod 's right around corner one way Albert Victoria Museum way . also tour bus line front Harrod 's tube stop . would never know close everything pleasant little side street . also please quiet hotel . never hear body come go . fire door , make we feel safe . would definately stay would recommend friend ! 
 Jan 19 2004 	 would stay 	 site good bad review Beaufort must say agree bad review . hear 's slightly improve past year ( perhaps finally start notice bad review ) be still glossily - package hotel worth much less cost . certainly big gap marketing material real experience , reviewer already point . suggestion reader : many hotel London type many unanimously recognize user offer good value charming . take risk Beaufort ? matter many user write defend hotel , one hide fact many guest dissatisfied stay . room cheaply decorate , staff unprofessional , pain neck keep climb stair go fire door get room . living room , small , dark depressing . not know hotel even promote marketing , especially something & quot ; London talk about . & quot ; great laugh one . personally would stay unless offer room free .. , able get money back first stay . 
 Dec 25 2003 	 quaint Charming Comfortable 
 Dec 4 2003 	 nothing great -- perfectly Ordinary Expensive 
 Nov 5 2003 	 Delight ! 
 Oct 19 2003 	 disagree bad review ! 
 Jul 1 2003 	 Loved Beaufort 
 Apr 11 2003 	 AWFUL hotel all - time service low ! 
 Jan 17 2003 	 beaufort would stay 
 Dec 9 2002 	 big Gap User Experience Publicity Reviews -- beware ! 
 Nov 10 2002 	 beware single room 
 Nov 7 2002 	 Overrated Ugly 
 Apr 27 2009 	 Viel zu teuer : 280 Pfund und dann nicht mal ` ` Twin Deluxe '' wie gebucht 
 Apr 26 2009 	 Charmante Unterkunft 
 Feb 19 2009 	 ? ? ? ? 
 Jan 3 2009 	 une belle découverte 
 Jan 1 2009 	 Beaufort é maravilhoso 
 Nov 24 2008 	 encantó Beaufort 
 May 21 2008 	 Sympatisches Hotel 
 Jan 29 2008 	 Ottimo rapporto qualità / prezzo 
