great 	 £ 95 night two people great value hotel . get hot breakfast include price.great locaton 10 min walk Macy 's empire state building 1 block subway . newish hotel bathroom etc nice clean , modern room wiht flat screen tv . 19th floor fab view city skyline.would recomend hotel age group , clean , modern great value money . 
 great hotel great location great price ! 	 girlfriend , another couple stay last trip NYC . decide Hampton Inn Chelsea due good review see it . the hotel clean , first thing be important . 's also quiet location block away subway . 's convenient location whether be walk take public transit . and price great ! would definitely stay another trip NYC . 
 Aug 1 2008 	 Ideal hotel NYC 	 visit last week find hotel ideal base explore sight New york , good standard , room clean daily basis bonus cook buffet breakfast . it tend every day save family kid fortune convenience bonus . the subway minute away access main sightseeing place good timely . area find safe walk back night hotel though major shop insight good health shop sell load daly staple feel hungry , coffee tea hand 24 hour hotel also . we room 19th floor , quiet able sleep like log every night , guess walking make we get good kip . minor gripe , cookie promise , first day nothing , ask tell supplier deliver , shame really . I would happy stay sure , kid use internet lobby also free pleased greatly . 
 Jul 16 2008 	 comfortable 	 trip NYC travel agency book room we . comfortable stay hotel find staff friendly helpful . location close subway within walk distance plenty restaurant . furnishing room trendy new complimentary breakfast good . would absolutely stay ! 
 Jul 15 2008 	 Big Apple Gem 	 spend fabulous weekend hotel . real estate location - west 24th Street ! quick subway cab ride Times Square easy explore taste sound Chelsea foot . easily make West Village East Village foot well . choose hotel town visit friend move new apartment Union Square . we delight hotel interior . make great use limited space invite lobby . room sharply decorate use light color help give large feel . bathroom expect arched shower curtain rod give extra inch clean . fitness room locate basement level basic , fully functional equipment get job do . main level lobby two public access computer entire hotel offer complimentary wi - fi service . beyond breakfast room morning array hot cold breakfast food offer guest . coffee tea available 24 hour well room . the staff friendly , genuine attentive . always acknowledge public area every member staff . simply go wrong hotel ! 
 Jul 6 2008 	 excellent quiet hotel 	 hotel quiet well locate Manhattan -close subway . breakfast room selection cold hot item breakfast buffet style . room well appoint clean , drawback lack public area -however Manhattan much see not problem . 
 Jun 23 2008 	 great location drive city 	 find great location . drive city bit hetic find hotel one easy one find . park around cornor . aware charge SUV - mention literature . room amenity usual Hampton Inns - clean room , comfortable bed , decent breakfast - though room bite small . city noise never problem . quiet place . staff friendly helpful subway access close . cab easily find door hotel cornor 6th 7th Ave . will stay . 
 May 25 2008 	 comfortable friendly chelsea hotel 	 enjoy 10 - day stay Hampton Inn locate multi - culti central Chelsea area Manhattan , chock - full restaurant , cafe , diner , shop , boutique , mention historical site park . hotel staff friendly hospitable moment walk moment depart . especially helpful employee reception , Jeff , always greet we smile , staff available around clock answer question help we . room simple clean , comfy pillow bed , well plenty towel free toiletry . a big plus complementary continental breakfast every morning . buy one less meal day save money , variety food enough eat thing day . moreover , warm drink available throughout day , well chocolate chip cookie afternoon . 
 May 19 2008 	 Nice Place stay downtown 	 read review Trip Advisor pick becauseit 4 block west daughter apt . area isfairly quiet attractively nestle midway block . we little nervous check large groupfrom England bus checking , go quickly . the room , request , end room cleanalthough somewhat small ( expect Manhattan ) .bed exceptionally comfortable niceshower . morning breakfast buffet gratis include differententree morning good NYC . aproblem bill three hundred dollar higherthan quote . fortunately , Hilton Honors memberand also copy website rate quotedand bill correct . would strongly recommend bringinga write quote bill stay hotel especially NYC rate vary day day . rateI low NYC . would stay . 
 May 18 2008 	 good value Great Location 	 stay Hampton Inn 4 night May . book hotel website cheap option much research . arrival , lady reception pleasant . allocate room 14th floor rear hotel . would suggest good option front maybe slightly nosier , although street hotel locate not busy all . the near subway 3 minute walk away , really convenient . the room good . clean okay size . bathroom small - ish clean fresh towel tolietrie day . there iron iron board room , plus coffee maker . wardrobe also good size . we room around corner lift one room next we . ice water machine outside room handy , bit noisy time . there free breakfast serve 10 am . try rather busy people trip , plus may end share table someone not know . not let put though . give go see think . bagel / sandwich place corner turn right hotel cheap , another , light , bright sandwich / breakfast place another block downtown also good value . there restaurant bar hotel . reception hold bag we afternoon check , problem . & quot ; bellboy & quot ; helpful get us town car back Newark set rate around $ 45 plus toll tip . yellow cab quote we around $ 65 - 75 dollar meter . hotel good value compare hotel look . base decision price also review Trip Advisor , complaint . 's good base access everything . load walk subway around corner 's hassle get around . SoHo 15 - 20 minute walk , Meat Packing District . main part Chelsea bar restaurant around corner . Turn leave hotel , cross 7th Ave walk 8th will find everything . 
 May 13 2008 	 great experience ! 	 really pleased stay Hampton Inn Chelsea ( May 9 - 12 , 2008 ) . love Chelsea area interesting lot other area NYC . lot see right Chelsea . plus easy walk Union Square , East West Villages . the room clean comfortable . breakfast quite good . staff pretty neutral ( neither friendly unpleasant ) , fine . love Saturday Sundays antique market right across street hotel . the thing not care amount sound proof hall . could hear people come go room next . not loud people , not big deal ... would absolutely stay ! 
 may 6 2008 	 satisfy 	 second trip Manhattan less year . stay Union Square Inn first time shock $ 200 get us shabby walk - up daily breakfast stale pastry , fruit drink bad coffee . time spend additional $ 100 hurt wallet hotel much well . elevator , courteous , helpful staff , exercise room , laundry machine ( $ 1.50 per wash , $ 1.00 per long dry ) ample breakfast fresh ingredient ( bagel , pastry , hot dish , fresh fruit , juice , yoghurt , cereal , decent coffee ) pleasant breakfast room . room huge , adequate bathroom clean modern . street not pretty Manhattan noisy insist keep window open , , need area right . I would definitely stay . wish not expensive definitely good value Manhattan 
 Apr 10 2008 	 Clean Small less perfect staff 	 recently host girl getaway NYC past April . choose Hamptom Inn solely base fact offer double reward point stay . rate range $ 199- $ 350 pretty average NYC . ' visit NYC many time first time stay chain hotel , find disappointed . hotel way inhabitable , terrible , however chain hotel price expect little . hotel locate Chelsea 24th street 6th 7th Ave , be beat path busy NYC attraction ( 20 block away Times Square , 10 Herald Square ) close several subway station take anywhere want go . wholefood corner 7th ave 24th street make salad take dinner . ' little pricey decent . upon arrival able store luggage hotel enjoy city check . request room view , however backside dirty apartment building receive . room clean , small , much room store luggage ... move . room refrigerator microwave hotel description say would able provide mini refrigerator take space already small room , freeze everything store . bathroom clean , small . awkwardly place mirror light make nearly impossible see anything accurately . water pressure terrible around , one shower steam entire room extend period time . air condition two setting , freeze sweat determine temperature shower . also , hotel provide safe front desk security , weary plan bring extra jewelry , cash , laptop , cell phone , ipod . although room quiet , bed comfortable find hard sleep night . fire alarm room annoying , large blink light illuminate room , blink unpredictable pattern , lead believe might emergency , ' simply work properly , either way ' reassure . housekeep nice job keeping room clean keep first day . repeatedly neglect empty trash can , change sheet , vacuum , replace toiletry . even extra pillow , blanket , towel request deliver . free breakfast decent . hotel buy bagel bakery / pizzeria around corner , ( Empire Bagels 6th Ave ) . probably thing worth eat buffet , otherwise prepackage muffin , stale cereal , frozen french toast stick , egg patty daily staple . computer/ business center advertise nothing single computer lobby . laptop computer , utilize free wireless room , rather fight employee check MySpace account every 15minute . every time go downstairs use computer member hotel staff use . recommend hotel business guest need faxing , copying , computer facility . main downfall trip lack service hotel provide . call ahead make sure concierge assist direction , attraction booking make trip little less stressful , feel like vacation . award win concierge must award give bad advice , wrong direction , nail file main attribute exhibit . plan ahead , book tour online , arrange car pick hotel , grab free subway map lobby . ' well take advice concierge . front desk clue city . recommend bad restaurant area , condescend manner . one staff member seemingly laugh roll eye question , like concierge , offer terrible advice direction . ' travel alone , pair Hampton Inn fit fine . large family extenuating need probably ' place . really want heart NYC , within walk distance popular attraction try another hotel far north , otherwise prepare brave subway system . ( tip : buy unlimited metrocard duration trip , 7 day unlimited card $ 25 vs. $ 2 per ride ) 
 Mar 18 2008 	 nice stay ... 	 stay hotel november 2007 four day great time , really nice , hotel well locate minute walk everyte really ( shop , times square , macys ) everyte , stylish reception room very . staff friendly helpfull , absolutely love breakfast wich include booking , get everyte u need ... room clean daily peacefull well . will go back sure , maybe next year , would recomend annyone ... u love : ) New York amazing place , Times Square die , food , service lot ( get Empire State Building , view 86 floor Amazing , hope enjoy much : ) 
 Mar 14 2008 	 satisfy 	 stay three day January 2008 . weather great 68 degree . first visit NY ' m pleased that . the Hotel great location , nice room , comfy bed , creak little bit though : ) favorite part stay Breakfast , good breakfast ever hotel . if AAA member get great discount make reservation Hampton website ! thank Hampton great job ! 
 Feb 14 2008 	 great deal good location 	 family spend 2 night Hampton Thanksgiving please stay . bed comfortable ever see hotel want keep bedding ! breakfast good , several hot item every day . bagel shop next door fantastic . take home . neighborhood look bit seedy problem location great . quick cab ride get anywhere . weekend flea market garage across street fun . would definately stay . parking lot corner believe $ 35 day . leave car pick head home . great stay . 
 Jan 24 2008 	 Great Value NYC 	 ' ve stay Hampton Inn twice 07 . fun business . experience different purpose trip . in May husband stay 2 couple . location central see many sight NYC . eat shopped plenty sighseee 4 day . value could go wrong NYC . get free breakfast , clean small room average service . stay August business challenge use internet really prevent stay top thing NYC business . eventually move room try 2 night get internet work . on morning leave noreaster hit raining bucket . staff member walk umbrella head corner help get taxi since suitcase . great service . I recommend hotel traveler need plush surround memorable trip . 
 Jan 7 2008 	 Great Location Chelsea 	 return 3 night stay Hampton Inn Chelsea . check one cold day season unfortunatetly , due cold many guest decide take late checkout , delay room availability . hotel 's fault delay frustrating able change warm clothe brave outdoors . couple hour lobby check around 3:30pm , 30 minute normal check - in time . can not blame hotel weather . hotel west 24th St , block sort & quot ; back alley & quot ; feel car park around much else . venture either corner , Manhattan foot direction . two block Flatiron Building , 10 short block Fashion District Empire State Building , Villages short block south everything easily accessible subway block away hotel . hotel clean , staff quite helpful friendly , room good sized , bed extremely comfortable morning breakfast variety great way start day . hiccup stay clean previous guest ' hair shower use stop toilet first night ( low flow toilet conserve water , easily clog . ) take taxis cold subway walk usual mode travel . definitely stay Hampton Inn Chelsea . be convenient , comfortable pleasant . 
 Jan 6 2008 	 fantastic base explore new york 	 return seven night stay Hampton Inn Chelsea Manhattan would recommend anyone look central hotel away bustle Times Square area . book base Tripadvisor review disappoint . room good size especially new york standard cleanliness excellent . maid wonderful nothing much trouble , three year old take ill whilst housekeeping take care everything room . the staff efficient find helpful friendly . breakfast ample variety food offer morning - one slight moan use plastic cutlery polystyrene plate - rather wasteful , see many guest use room eat take away food day evening plate cutlery use . the location great , quiet , first floor never disturb noise . end street whole food market superb get snack variety food drink . load restaurant area always feel safe walk around . we superb stay look forward book near future . 
 Jan 5 2008 	 nice easy 	 spend 10 day ( Christmas vacation ) place worth . modern , clean , well well manage . size room good ... least much well many hotel NYC . modern furniture . assume hotel refurbish last 5 year . free internet access room . 3 line subway closeby ! one complaint : breakfast include rate ( actually good change everyday ) enough place number guest ... decide go somewhere else 3 day wait line get table . will definitly get back hotel . 
 Jan 4 2008 	 wonderful stay holiday 	 stay hotel Dec. 22 25 . wonderful visit . location awesome , read review . everything need nearby . staff pleasant helpful . room small work fine family 4 . least queen bed , double ! thing would say , penny pincher , would not take taxi JFK hotel , like front desk clerk suggest . work fine take subway . 
 Dec 29 2007 	 Clean Quiet Comfy 	 book hotel husband 's Hilton Points , anniversary , could not happy . we love little beat path - Chelsea much character lot go , hotel always feel accessible peaceful . subway easy get , able walk Empire State Building . though room small side , well design , bed incredibly comfy . bathroom well appoint , soak good - sized bath - tub every single day walk around city ! staff friendly accommodating - not hesitate hold bag arrive hour check - in time , though breakfast nothing fancy , well average continental breakfast . price location NYC , hotel would hard beat . 
 Dec 19 2007 	 Good hotel - staff need work 	 stay Chelsea Hampton Dec 15 - 17th . arrive 11 am , room ready bellman check luggage . got back hotel 3 pm check - problem , give double queen room 19th floor . phone ringing get room - front desk say give someone else key room accident not scare open door ( rightttttttt ) . must catch though since one ever show . room tight nice - two queen w / white duvet , nice bathroom , small desk area free standing closet . seem fairly clean except trash floor stain drape . view rooftop next door . $ 209/ $ 169 per night not complain . went sightsee back room 11 pm . next day light breakfast @ hotel , sightseeing till 9 pm . get back hotel room make up / clean . call desk ask want - rude . ask clean towel someone empty trash . someone bring towel ( face hand towel ) leave . got another call front desk ask else want - ask trash empty . send guy take care . apology , nothing . next morning bill door - charge high rate night . take bill desk speak w / Jessica total b * * ch ! sigh stomp around awhile , said come back checkout would fix . , sorry , nothing ! got bill fix finally airport . overall , nice hotel good location staff horrible . limo driver come ask concierge order limo - bark ask around . sit two foot away - could easily ask we ( obviously language barrier ) . go ahead book , not expect warm fuzzie anyone ! 
 Dec 18 2007 	 comfortable weekend ! 	 return home great & quot ; mother & amp ; daughter & quot ; weekend girl . have neglectful not mention comfortable stay enjoy helpful staff hotel . hope back soon ! 
 Dec 18 2007 	 1st time visit New York City 	 enjoy time Hampton Inn . room quite small family four since luggage . , area nice close every tourist dream . suggest go get bus taxi front empire state building . hop deal two day . run 25 buck . , gives run every sight near Hampton . service hotel great . kid love breakfast nite long hot chocolate run . would recommend hotel friend first time vistor . 99 cent store jack across street come handy we . family friendly accomedation . 
 Nov 16 2007 	 good choice 	 spend week end , summarize : - reception service efficient- size room good new york , quite remarquable Manhattan- breaksfast exceptionnal help avoid starvation lunch- hotel location excellent visit Manhattan- room might bit noisy islotation bit weak room . neighbourg noisy might disturb , , ok ! good choice Manhattan hotel perfect , probably come back 
 Nov 7 2007 	 great location ! 	 travel NYC several time year & amp ; first time stay Hampton Inn - Chelsea . prefer close West Village & amp ; location perfect . Chelsea area nice , great restaurant ... sure visit Billy 's Bakery 9th Ave . & amp ; 21st St. Easy walk office , several block east 18 block Park Ave . 42nd St . hotel staff friendly & amp ; free breakfast good . comfortable bed & amp ; clean room . definitely stay next visit NYC . 
 Nov 3 2007 	 Central Location 	 Location - hotel centrally locate 108 west 24th Street 6th 7th Avenues . walk time nearest subway ( 23rd Street ) 5 minute . empire State Building , Times Square 15 – 20 minute . from JFK Airport good condition least 35 minute taxi . ( return shuttle heavy traffic take 2 hour ) .description – medium rise build relatively quiet street . view ! Hampton Inn corporate format hotel . reception , lobby breakfast room , although tiny , expect . imagine hotel large number guest come door evidence wear tear public area . service – Buffet breakfast complimentary morning newspaper include price . good selection hot cold food item . anyone sweet tooth happy . coffee cookie available pretty much 24/7 . dining facility – numerous eatery locally . small convenience store locate block away large Whole Foods Store nearby 7th Avenue . guest laundry facility , ice making , vend fitness room basement . the reception staff helpful recommend local restaurant . concierge also provide information advice , organise tour ticket reserve airport shuttle . room – small room 6th floor . filthy window look stairwell glimpse sky . tea coffee making facility – always welcome ! large comfortable bed overpoweringly large tv functional bathroom heat . light dismal ! every light turn individually design lampshade mean near impossible get switch bed side lamp . overview – like hotel central New York expensive stay excellent location visitor short time city . hotel conform expect Hampton Inn corporate standard doubt improve maintain customer base . 
 Nov 1 2007 	 Great Hotel 	 look hotel near Greenwich Village one 15 - 20 minute walk . travel alone , pay high usual room rate , also , last minute decision go NYC.All staff friendly make welcome arrival departure . nice surprise tell breakfast include room rate . eat drink much like . help buffet . room average size bed king , linen towel spotless . first visit New York apprehensive walking night , unfounded happy walk wide avenue early hour . great time Greenwich Village partying club bar close . point regard hotel one day return room notice maid not close door properly daily clean , lucky , one enter take anything ! 
 Oct 1 2007 	 Best Location Far 	 fantastic hotel , excellent location good value money Manhattan ! breakfast great way start day , bed comfy , room clean & amp ; good location nothing short superb . 
 Sep 24 2007 	 Great Hotel 	 end stay Hampton Inn , mistake , hotel book habitable . please gratetful staff hotel good accomodate we 9 pm night . would recommend hotel would definitely stay . staff friendly , helpful hospitable . room lovely clean extremely comfortable . breakfast really good . hotel nice area excellent area visit whole Manhattan . 
 Sep 20 2007 	 great place stay 	 really friendly hotel . staff go way helpful . room clean comfy bed . free breakfast nice touch . lot choice nice fresh . subway close . go hotel go leave , leave come & quot ; 1 & quot ; line . 3 stop Times Square 3 ? stop Central Park . if go hotel go right right come line ( v ? ) .Empire State Building /Madison Square Gardens within walk distance - ask front desk direction . lot bar restaurant round - lot cheap Times Square area . 
 Sep 20 2007 	 wonderful experience 	 will definitely stay ! front desk employee friendly , pleasant , helpful , nice on - the - ball . hotel clean , nice , quiet conveniently locate Chelsea , Flat Iron , Hell 's Kitchen area . room adequately equip business pleasure comfortable quiet . plus , hotel nicely locate within quick walk distance subway - downtown / uptown minute ! 
 Sep 3 2007 	 Great Hotel 	 expect , Manhattan hotel expect small room expensive price . one really different . however , aside little detail , say excellent hotel well - manage . conveniently locate 6th 7th avenue low Manhattan . easy get anywhere Manhattan use either taxi subway . staff extremely helpful provide useful information , luggage , arrange transportation LaGuardia day departure . usual Hampton , breakfast free . well manage excellent start day . mention early , room cost per day $ 200 $ 250 ( taxis ) four day stay . however , lot research prior booking room conclude really par course Manhattan . quite possible could pay similar ( high ) rate elsewhere quite dissatisfied . would definitely plan stay visit Manhattan . 
 Aug 5 2007 	 Great Stay 	 return five night stay Hampton Inn Chelsea . nice hotel . room clean update ( hotel pretty new ) -- room two queen bed ( hard come NYC ) actually quite large ( NYC ) . particularly like bed linen ... & quot ; bedspread & quot ; comforter cover white cotton duvet . duvet ( per info provide hotel ) freshly launder along bedding guest . really like , bedspread hotel one filthy thing come across room ( think ... people sit thing frequently bare backside ! hotel room bedspread , first thing pull bed , fold , lie corner room ... not lie ) . clean duvet nice treat . minor issue hotel . one night manhole cover right outside door & quot ; popped & quot ; ( apparently unusual ny ) loud & quot ; explosion & quot ; jolt we bed . watch window police fire department show . call front desk tell we normal routine . also noise issue early one morning . construction take place directly across street ( new high rise condo tower ) . one morning around 5 crane park middle street ( close street ) . sure go , last 1~ 1 1/2 hour . totally impressed QUIET hotel . however , anyone take trip NYC would recommend pack pair earplug pop night happen unwelcome noise . entrance hotel locate W 24th St 6th 7th Ave . 24th short street exactly well look ( be parking garage entrance unfortunate soul sleep front one building close end street nearer 7th Ave ) . entrance close 6th Ave 7th always feel comfortable walk 6th around block 23rd need get 7th Ave . not get wrong ... never feel uncomfortable street ... dark feel comfortable get hotel via 6th Ave 24th . hotel locate close two subway station . & quot ; F & quot ; & quot ; V & quot ; line corner 23rd 6th Ave . go hotel , turn right , turn right onto 6th Ave . subway entrance end block . note however , uptown downtown train different entrance . entrance end block downtown train . want go Uptown , cross 6th Ave enter corner ( SE corner ) . & quot ; 1 & quot ; train station corner 7th Ave 23rd street . walk hotel , turn right , turn right onto 6th Ave . corner ( 23rd ) turn right . entrance end block ( @ 7th Ave . ) . 1 - 2 - 3 line , however , 1 train stop location . hotel great breakfast morning ( huge $ $ saving ny ) . bagel serve come shop corner next hotel . awesome ! leave home right stay recommend get dozen take put freezer get home . chance can not get bagel like back home ( wherever home ! ) . 
 Jul 19 2007 	 another great stay Hampton Inn ! 	 stay 07/13 - 07/15 . everything excellent . front desk staff great check - in check - out . actually , able get room early , plus ! room nice , & quot ; dream bed & quot ; king size bed . Superb AC . daily breakfast good . Eggs & amp ; Sausage one day , french toast , next day . location close 6 Ave Subway , walk distance 7 Ave Subway 8 Ave . . stay ! ! ! ! 
 Jul 16 2007 	 nice hotel nice staff 	 stay want stay near friend NYC . first not terribly happy idea , hotel change mind . hotel actually locate 40 block central park , 25 minute walk chinatown , bit close village be quite close Madison Square Garden . cost $ 40 get cab LGA . staff highly motivated ensure stay pleasant - everyone work happy help whatever ask - common finding mid - price hotel NYC . room king size bed , spacious ( could open suitcase tip toe around ) clean , lack in - room safe . bathroom also clean , lot hot water clean linen . although lot room squeeze hotel , busy , not bother noise adjacent room . neither bother outdoor noise ; hotel 's northern side face somewhat decrepit building close busy street , not create problem . not much do / eat / drink immediately ( say within 5 block ) hotel , not see subway stop nearby cab pretty easy get either outside hotel nearby main street . hotel also feature free room internet , free internet computer lobby ( printer ! great boarding pass ) nice free breakfast hot cold dish . overall , hotel lot nice touch , friendly staff free internet , great room would definately stay . 
 May 26 2007 	 Great Value Hotel 	 Date : May 26 , 2007reviewer : TripAdvisor Member , London UK return four night Hampton Inn Chelsea , Manhattan . hotel great value money - centrally place , 15 20 minute walk sight ( except Ground Zero little ) .The hotel staff courteous friendly complimentary breakfast bonus although choice fantastic - free ! hot cold drink available 24/7the room clean comfortable . air conditioning work plumbing unlimited hot water . a bar would nice come back hard day 's sightseeing overall complaint . 
 May 6 2007 	 good hotel staff ' ve ever meet - pretense nice ! 	 ' m rate average wonderful , wonderful staff . everyone helpful patient problem have . however , be small . lobby , elevator , hall , room - small . find bit claustrophobic . six - year - old could span arm one side hall , room quite small ( though bathroom generously - sized , consider ) . great location . if be look feel welcome cold , impersonal city , place ! 
 Apr 30 2007 	 great hotel business traveler ! 	 stay Hampton Inn Chelsea one night business . this hotel really everything business traveler could appreciate : nice complimentary breakfast , business center , free highspeed internet connection , great location . room king bed -- comfortable bed well - furnish . Hampton complimentary 2 bottle Perrier spark water one bottle Poland Spring still water , 2 package Pepperidge Farm milano cookie bed . be definitely well chocolate mint pillow ! location great -- perfect walk & amp ; fro meeting Midtown . also take advantage Whole Foods Market block two away . New York City one favorite city visit , stay hampton inn chelsea definitely make lot well . 
 Apr 27 2007 	 Great Value Great Location ! 	 Fiance stay 1 week December 2006 . room nothing fancy , clean amentie work perfectly . could not ask well location , near many different subway station . walk 1 - 2 block direction get subway go anywhere city ! also lot good restaraunt area within walking distance . free breakfast everymorne good , eat downstair everymorne never food twice . save least $ 25.00 day breakfast ! also lobby beside elevator machine dispense free Cappucino , Hot Chocolate cold Lemonade . another nice touch ! Airport Shuttle arrive leave end week , doorman Bill take care everything . call shuttle company we complain , walk outside block we help we carry luggage . stood street try get we taxi . one finally pull , send away tell we want charge we way much get airport . could not get we taxi , help we luggage back hotel lobby . call car service arrange Lincoln Towncar pick we , pay ride airport include tip . would recomend stay anyone . staff friendly helpful well . 
 Apr 16 2007 	 Good Deal 	 stay two night birthday weekend NYC . hotel nice . room clean pretty good size consider 's NYC , lobby nicely decorate internet access , breakfast step normal continental breakfast hot item . even right 10 breakfast suppose end , still plenty food available . the problem construction worker start dump rock dumpster 7:00 Saturday morning . construction look like might last , may want request room back hotel plan sleep . tip give staff front desk recommend parking garage 25th Street cost $ 36 per night . try park arrive staff rude room car even though sign outside clearly state validated parking Hampton Inn . much well parking garage 23rd Street . 's $ 31 per night staff friendly . also think close walk hotel . 
 Apr 4 2007 	 Great Hotel Great Price 	 stay NYC time . usually get Courtyard Marriott / Fifth Ave time need save bit cash choose Hampton Inn . glad much well value . room clean nice size , staff friendly , offer free continental breakfast really good . less Courtyard . would highly recommend hotel other . 
 Feb 13 2007 	 Great Little Hotel 	 never New York take child , really know expect . assume America , everything good standard disappoint . staff friendly , compimentary cook breakfast welcome room comfortable . location perfect sightseeing around New York . locate stone 's throw Empire State Building Times Square feel heart Manhattan . room little small size family 4 want spend time New York hotel room . if look expensive place stay , plenty complimentary amenity ( consider rare ny ) , place . 
 Jan 19 2007 	 nice stay - would recommend . 	 Hampton Inn Chelsea one nice Hampton Inns stay . , $ 161 night , great deal NYC . room bathrooms hotel general clean . especially please helpful staff . ( problem even nice hotel NYC ( not get start Hudson ) . ) include breakfast spectacular - biscuit , boil egg hot tea get we good start . orange juice suprisingly good , scramble egg . compaint hotel question - hallway somewhat & quot ; unfinished & quot ; ? appear work do - could not really figure . oh , one thing , bed hard , ' m use super deep pillow top bed , maybe be seem hard I . currently LOT construction go across street , request room back hotel , grant . happy give we room 11 am , even though check - in time 3 pm . subway within walk distance even walk hotel Penn Station ( maybe 10 - 15 minute walk ) . ton sights immediate area , find Chelsea great mid - point location get favorite area ( Village , Central Park , etc ) . would definitely stay . comparison 's sake , often stay Milford Plaza near Times Square never major complaint , find Hampton much calm , clean relaxing experience Milford . 
 Jan 4 2007 	 perfect base explore city 	 stay Hampton Inn xmas / new year King Room 7 night enjoy every minute it . its small boutique style hotel compare New York . fairly standard hotel , nothing special , nothing wrong . perfect base get explore amazing city . location : bright light mid town , kinda enjoy fact hustle around time square . sure street bit run grimey etc , look like come area , feel completly safe , nice 15 - 20min walk time square , 1000 starbuck way grab coffee . union square 10min walk direction . one block subway station . room : large King Bed lovely , sleep really well . room clean , well present large enough . bathroom size ok , nothing huge , I ve stay small sure . ask room high floor view . everything work look new . Service / Hotel : hotel staff great , really helpful , problem . corridor floor makeover , do not worry we . breakfast room state review kinda small , always get table , breakfast fine . nice touch free choc biscuit etc , although never manage get hand , damn ! would definately stay highly reccommend other . first time I ve choose hotel entirely base review , work great . phew ! 
 Dec 21 2006 	 definitely two star 	 partner recently stay hotel week find excellent price pay . our room well present , clean , comfortable big enough two people . bathroom everything need . although hot breakfast item bit disappointing cold option provide enough get we go day . love free hot chocolate ! staff friendly helpful whenever question . the location perfect explore part Manhattan . would highly recommend hotel stay NYC . 
 Dec 20 2006 	 conveniently locate comfortable hotel 	 spend six night Hampton Inn Manhattan Chelsea December 2006 , first visit New York . book non - smoking room two queen bed , competitive rate approximately $ 260 night include tax , complimentary breakfast . the room spacious enough two people ( though have tight squeeze four ) clean comfortable . seem adequate storage space suitcase clothe . room equip large tv , radio alarm clock , coffee maker , desk chair two telephone . contrary previous review , bed comfortable , although seem recently replace . bathroom also clean modern , unlike previous reviewer , experience difficulty get hot water shower time day ! find location ideal - walk around 15 minute Times Square , around 10 minute Penn Station , Macy 's , Empire State Building , etc . also , number subway station nearby West 23rd Street . area seem safe - point feel threaten walk around locality . lot construction work go - certainly seem come area . staff helpful courteous willing provide information direction local attraction . the include breakfast adequate - amazing , edible ! self - service buffet polystyrene plate plastic cutlery , not bother we . not many table , never arrive find space we . I would gladly stay hotel room available right price feel provide we good base explore amazing city New York . 
 Dec 16 2006 	 pleasant experience 	 great hotel be business , even weekend getaway . be look bright light , hustle bustle city , stay uptown . overall , pleased level customer service provide . room clean free problem , breakfast great . would stay . 
 Nov 29 2006 	 cold shower 	 stay business , be fine purpose . neighborhood 's bad other say - expect grit NYC . agree wardrobe closet well design , be easy enough work around . problem water - take forever heat . call guest service 10 minute let run , woman answer helpful - say nobody else complain let run . , call back , rather annoyed . finally resolve take lukewarm shower , time finish , finally heated . one plus free internet service . wireless , though . entire staff , exception & quot ; guest service & quot ; , helpful . give direction hail cab , etc . note : would litle hard catch cab bad weather , be situated side street - walk corner busy street catch one . fine today , would fun rain wind . 
 Nov 27 2006 	 ok far wonderful 	 serviceable businessman 's hotel , be without problem . $ 350 night , would expect : - place store clothe one closet rod one too - high shelf- tv set manufacture millennium , not take desk not completely block coffee maker- furniture free screw hole gouges- wardrobe closet assemble someone prefrontal lobe opposable thumbs- less mildew bathroom- functional drains- enough space comfy chair actually usable , without first remove one 's knees- less - repulsive breakfast food – factory - make fried egg horrify look ( although cold option fine ) would also nice in - room safe , sheer curtain . on plus side , staff great all - day coffee evening cookie nice touch . must well alternative price ... 
 Nov 20 2006 	 like Hamptons NYC 	 stay girlfriend Saturday night November ' 06 say agree previous reviewer mention hard bed , though sleep fine . use 35,000 Hilton point stay rate well north $ 300 / night want pay it . the service fine , location good -- able park street , would say anyone think street rundown dangerous clearly not know Manhattan well . area good be within 20 minute ' walk distance Times Square , less Penn Station / Madison Sq Garden , yet not hassle price involve stay . be also close Subway take anywhere want go whole area . breakfast tasty , though would say hot item , roll danish ' ve Hampton Inns . free internet work fine , room pleasant . room extraordinarily quiet free street noise ( 10th floor ) compare hotel ' ve stay Manhattan . overall , would say Hampton Inn Chelsea offer exactly be advertise ... consistent Hampton Inn - like accomodation , Manhattan . get $ 200 , be pretty good deal . enjoy . 
