Great 	 spend 1 night hotel . the Staff could friendler .. everyone say hello Concerige really helpful . there renovation take place do not disturb we , room little date comfortable . it lack tea / coffee maker negative.we really love location would definetly stay 
 Feb 13 2007 	 great location lovely staff 	 book three night stay online agent , hotel ' mystery ' choice although could work hotel description . pay £ 100 night room include continental breakfast consider excellent value money central London . staff fabulous , pleasant service faultless . room large accommodate kingsize bed , sofa , chair , desk , table etc problem . bathroom good condition reasonable size . thing would criticise food hotel distinctly average really quite expensive . addition hotel carry renovation stay awoken morning sound drilling floor , hotel busy not able move room . 
 Feb 5 2007 	 good value 	 stay January 2007 . good value money would stay . reviewer expect much . fair compare budget 5 star hotel luxury 5 star hotel . hotel plenty good enough money . stay Dorchester early year- twice good , pay twice much . enjoy hotel different reason would use . 
 Jan 24 2007 	 great hotel great location great price 	 stay 3 night long weekend January get great deal ' top secret ' type offer , enough clue know hotel would book , 100gbp per night B & amp ; B London 5 * - unbelievable price . arrive early non smoking room available , offer choice wait take available smoking room . take second option proviso could change room smelly . not . got 9th floor street face room - great view look Kensington High Street , especially light night . room dvd & amp ; cd player , plus little mezzanine sofa armchair , big expect . good condition - complaint , ditto bathroom . Daily Telegraph free morning . breakfast good , amazing - continental include room rate price . great fresh fruit juice , ok cold meat & amp ; cheese ( nice , limited choice ) . possible order cook breakfast extra 4.50 per person though reasonable ( take one day disappointed ) . staff helpful , concierge helpful friendly . hotel bar ok bit boring term look & amp ; feel . not try restaurant . Knightsbridge & amp ; west end short bus ride away ( bus stop outsdide hotel ) , cheap cab ride . tube station also close , find bus convient go west end . area surround hotel nice - next Kensington garden one side high street shopping , bar & amp ; cafe . Overall & amp ; give price pay - suberb & amp ; highly recommend . pay double would expect specacular breakfast selection interesting hotel bar . 
 Jan 21 2007 	 get old ok 	 Royal Garden default hotel 1999 - 2002 . time undergone renovation find room ( although tad small ) nice , bed nice bathroom clean . now , five year later , Royal Garden start show sign age . carpet get tad dirty last mattress quite lumpy . be still worth stay , suspect thing get little tired month year come . you get good deal , compare hotel London , location quite nice . overall real complaint , remember use little bit nicer ... 
 Jan 10 2007 	 nice thing lobby . 	 apparently hotel different size / quality room since coworker like stay ( money ) .my room horrible : small outdated poor ventilation . bad thing bathroom ! actually could not fit , , fat , pretty thin . every time come room think overprice . floor hallway scary . the food first floor top floor good pricey . the room ready late hang lobby several hour , therefore title ... try hotel next time ! 
 Jan 6 2007 	 great ! 	 stay December 24th , 2006 January 2nd , 2007 book great deal otel.com . although room ( 330 ) one somewhat break window ( noisy not open ) quite happy ! continental breakfast include sufficient ( although something like salami pepperoni would add bonus breakfast buffet ) varied . breakfast via roomservice free charge request ham cheese complimentary ! compliment concierge book dinner reservation we , tell we everything need know ! shame though tenth , suppose absolutely fabulous , closed everytime try visit ( believe : ' ve try ! ) . thing not great , contrary hotel state , room look onto Kensington Garden . room look Kensington High Street quite noisy . 's good five star hotel recommend anyone ! close tube , 20 minute walk Knightsbridge , want ? 
 Jan 1 2007 	 First Rate ! 	 stay Royal Garden long weekend Christmas / Newe Year week could please pleasantly surprised . hotel public area room comfortable welcoming . staff could nicer professional . concierge duty stay professional quite knowledgeable go way helpful accomodating . forget collar stay dress shirt concierge direct local shop able obtain . simlarly , make recommendation regard convenient inexpensive transportation useful tip . continental breakfast include package provide wide slection fresh fruit , cereal bread / pastry nicely present , staff could nicer . attentive professional . only minor issues- companion find light bathroom conducive put makeup ; little drawer space closet could use light- minor inconvenience otherwise pleasant sojourn Royal Garden . for need use computer -- wireless service fairly reasonable l5 two hour card . the hotel location convenient- short walk tube bus stop nice walk- Harrod 's shopping . thing considered- would go back . 
 Dec 5 2006 	 Good could well 	 stay 3 year ago fine , book 2 night last week ( Sat / Sun ) book direct selete deluxe room . arrive bump junior suit , not ask . room fine , large lovely view across park , clean everything work fine . agree previous post wall thin , could child cry somewhere . I however stay well 4 star - Chestrfield Mayfair example . BreakfastHere 's let . obviously lot office / work party Saturday night , Sunday chaos . provide buffet breakfast clearly can not cope level people . det English Breakfast serve way , usually cold selection limit . continental buffet fine , lot choice . husband ask fried egg instead scramble slop provide take 20 minute ! ! ! staff far busy service poor , £ 19.50 per head dreadful - breakfast include , terrible price . feel like travel lodge . what difference next day . crappy hot buffet , cook order . much much , well . service fine staff polite . I not think Royal Garden deserve 5 star anymore , need shake get realise good service continuious thing , feel like . 
 Nov 28 2006 	 poor concierge 5 star 	 I ve stay many 5 star do not compare concierge particular dissappointing help ask could try get us table restaurant say chance ask nearby restaurant do not know ( strange consider 5 across road ! ) 5 star hotel service number 1 priority fail dismally room small outdated wall thin could hear people next room talk 6am.the bar overprice tenth resturant also need refurb charge price claridge be not central london be not anywhere near standard ! v dissappointe definatly 5 star hotel service be not get atmosphere vastly overprice ! I ve stay atheneum close shop etc service good room well advice stay next time . 
 Nov 21 2006 	 unexpected pleasure 	 stay Royal Garden Hotel Oct 20 28th . surprised find nice hotel nice area . DH find bit far downtown London Kensington charm . the hotel seem great many diplomat & amp ; sport figures- little embasy row next door- next Kensington Palace . continental breakfast include able purchase full english breakfast 4 pound . cheap go Giraffe across street . many small relatively inexpensive restaurant across street range Starbucks Giraffe , italian greek well popular pub . area great mile Notting Hill . service good although room service splurge evening snack leave much desire complain withdraw charge . Marks Spencer street also inexpensive meal underground next - 500 yard hotel . room bath average size american hotel nice tile bath . would stay . see many review think possible dud . think keep great secret . 
 Nov 13 2006 	 Grass Greener Royal Garden 	 stay Royal Garden Hotel October 28 – November 1 , 2006 London honeymoon . hotel location excellent , many shop & amp ; variety restaurant right side door , Kensington Palace & amp ; Gardens also next door hotel . Kensington High Street Underground stop short , pleasant walk hotel . front desk staff professional & amp ; concierge helpful arrange transportation airport end stay . room comfortable size & amp ; clean comfortable bed & amp ; nice sit area ( small couch , table magazine & amp ; big window overlook Kensington High Street – great view ) . bathroom also clean , amenity include usual soap , shampoo , conditioner , shower gel & amp ; lotion along bathrobe , cotton swabs & amp ; sew kit . room internet access available hefty price . the continental breakfast include room rate good variety cereal , fruit , yogurt & amp ; pastry . restaurant nice atmosphere big window look onto Kensington Park . Royal Garden Hotel great location & amp ; meet need , would stay & amp ; recommend other . London would also recommend see play " Wicked " Apollo Victoria Theatre ( esp . ' Wizard Oz fan ) . ' american , must warn , $ exchange rate ' good … prepare shell $ $ esp dining , even one basic meal fast food joint cost $ 13+USD per person , ' ( hopefully ) vacation enjoy ! another dining tip , London restaurant include tip meal price sure check menu see " service charge " include leave tip . 
 Nov 8 2006 	 comfortable 	 stay Royal Garden hotel one night business . the reception staff helpful , room comfortable , clean large ( London room ) . room facility good ( interactive internet tv , etc ) . ' ve give four star : - could not stretch bath- tea coffee facility room- rather chaotic breakfast ( tea coffee offer , not time wait ) .these minor quibble - pleasant place stay , £ 147 / night include buffet breakfast , pretty good value . 
 oct 9 2006 	 great location perfect breakfast excellent view 	 really perfect location stay London great view ( room least ) have highly recomend . ground floor restaraunt take breakfast fantastic really hepful friendly staff , full table service , ' Harvester ' type buffet ! top mark . 
 Aug 19 2006 	 Location Location Location 	 Royal Garden prime location Kensington High Street close good shop London , include Harrods Harvey Nichols . Reception Concierge staff among well ever deal . room bit date well mantained . worthy upgrade one room overlook park . view ! breakfast serve cafe restaurant , excellent choice food £ 18 . service attentive friendly try avoid peak period can . there lot restaurant area dinner tenth restaurant must . I highly recommend hotel anyone . location , location , location ! . 
 Aug 4 2006 	 Great Hotel Great Location 	 partner book surprise break . spacious room overlook Hyde Park even well right midst High Street Kensington shop . room clean traditional furnishing , ensuite could bit update . the reception staff helpful polite doorman could not help we enough local information . on first night order room service arrive late next evening go Tenth Restaurant stunning view overlook Park even towards London Eye . food well present perhaps substantial apetite . overall would recommend 5 Star Hotel anyone want great location enjoy warm friendly atmosphere 
 Aug 3 2006 	 love except > 	 love hotel worth , staff main restaurant brakfast cheerfull friendly especially restaurant manager arrival find we location Ameriacan Bank suitabke alternative , knowledge ! ! 
 Jul 11 2006 	 pleasantly surprised .. 	 stay 3 night June . lovely quiet room ( rare London ) back build look tree line street . staff wonderful - room spacious clean - like sit area large picture window . room service excellant - breakfast wheel trolly everything ask . would liked stay time tour - try everything request double pay visit alas not go back . 
 Jun 5 2006 	 enjoy Royal Garden ! 	 terrific stay Royal Garden . great hotel , come perfect location . staff polite helpful . the room nice , modern clean . tv / Computer DVD player , problem operating pay tv etc . the food excelent , 24 - hour room service . late one night dinner hotel room . steak new potato . fantastic ! nice view Kensinghton High street , typical London & quot ; picture & quot ; : ) Royal Garden true 5 * * * * * star hotel , doubt ! 
 May 1 2006 	 date long 5 star . 	 five star hotel ? maybe twenty year ago . service - good , must say . location - excellent- overlook kensington palace high street Kensington - good shopping bus / tube access . room - tenth ( top ) floor . wonderful view royal kensington park . musty smell room- date furniture stain . nothing special good size . thin sheet , difficult control air conditioning- expect hot / cold night . tv difficult use take age load . preview movie . kettle ! bathroom - nice- bidet one room . bathrobe . Breakfast - ok , worth £ 18 head . poor service . expect ask everything , twice . business centre - open 24hrs day , £ 2.50 15 min internet , 25 p print . pay £ 100 per night twin . conclusion - great location , historically probably five star hotel , room date , furniture old , room musty . worth go find deal , would pay £ 100 . nice weekend break - walk around kensington gardens / hyde park , high st ken shopping . 
 Apr 10 2006 	 decidely average 	 stay hotel part large group celebrate special birthday . functional without special . room perfectly adequate although cost surely provision tea / coffee facility give . quality staff fine problem lack say staff . area seem understaffed . breakfast somewhat chaotic purely enough staff deal guest . food run one bring . overall nothing particularly wrong hotel insufficient staff guest ratio . 
 Apr 8 2006 	 Good Expensive Hotel ! 	 hello , stay hotel 5 day ( biz trip ) . overall impression good , yet , u r pay ur pocket accomodation , watch . know r hotel london much expensive cheapest eaither . ex , clean shirt cost u 6 pound , use hotel internet , u pay around 20 pounds/2 h. wirless connection cost less anyways . english breakfast cost u around 18 pound .. give example u budget u mind.as service , good must say . staff attentive polite ( majority . room ok big . toilet r v good condition food room service excellent . u request ur tean & amp ; coffee make kit one n ur room . general - good choice u afford . 
 Mar 30 2006 	 Personalised Stay 5 * 	 recently stay Royal Garden Hotel London business trip family join weekend never London ( wife son ) . hotel well locate far heathrow close shopping area Harrods Slone Square . satisfied efficiency driver come pick airport know moreless info ask even try talk russian . general stay teh part teh park assitant adive agency try hotel good deal ok feedback . also recommend hotel average 5 * without add $ $ $ get hotel Park Lane . side concentrate make fall personalise stay ( welcome card russian ) . russian speaking staff . 
 Mar 27 2006 	 5 star service 3 star room 	 can not fault service location expect much five star hotel room concern . book non - smoking standard room arrive one available give free upgrade ' suite ' . really glad tiny pleased standard room . however , bathroom amazed - never one small - ever . bear mind UK judge american standard . open door open bath , stand close sink , close door get toilet . conference really pleased expense come pocket ! unless strong reason stay would recommend much well available London . 
 Mar 21 2006 	 great Time 	 stay wedding Aniversary 17th March 4 day . excellent . book National Trust conjuction Super Breaks . pay standard room charge look High Street . noise never room . find staff excellent , breakfasr include booking problem food . dine terrace resturant three night food good . I would not hesitate recommend Royal Garden . all staff good . hope go Autumn 
 Mar 14 2006 	 mixed experience 	 book 2 night treat husband , enjoy whole , sometimes hard work . have ask garden view give room overlook concrete roof ( ! ) - could see Kensington garden stand corner window crane neck . discussion upgrade ( cost ) room fantastic view 9th floor - later realise extremely noisy a / c unit ( & amp ; ask tea tray - 5 star ? ) . complain checkout nice receptionist refund upgrade . first breakfast great - lovely table / view & amp ; lovely food & amp ; v good service . second disaster - terrible table near kitchen door ( really not table ) tell could not move ' too busy ' ! insist wait 25 min breakfast undercooke - definitely feel punishment . , great location varied staff attitude - shame ! 
 Feb 10 2006 	 Patrons beware 	 Jan 26th , 2006 ( three we ) get 4 am fly London computer show . one party go Royal Garden , check - in indicate hotel staff two room would come show . hard day show 7 pm check . ( Credit Card take , passport photocopied ) . ask take seat bar . 15 minute tell room . put cab & quot ; nearby & quot ; hotel ... Royal Garden one subway stop walk distance show . nearby hotel six subway stop one change away . 4 - star vs 5 - star available & quot ; rate & quot ; . room confirm Credit Card booking . later find room never check , bump . group split , inferi Hotel , add transport time . etc . recevie letter & quot ; apology & quot ; offer .... nothing . so seem one rely late checkin hotel . ( copy letter Hotel available upon request ) . 
 Feb 6 2006 	 one good london 	 London company event decide stay Royal Garden Hotel list recommend hotel . slightly hotel even though five star , hotel event hold . staff friendly helpful . staff Berties bar go way make feel welcome really impressed client entertain . room spacious great view Hyde Park . its cheap hotel London , thing , get pay . definitely one list . 
 Dec 13 2005 	 beautiful view watch bill ! 	 stay one night super deluxe room ( upgrade IMHO polite check ! ) stunning room equally stunning view . lot nice touch ( Bathrobes , slipper etc ) personal favourite heated bathroom mirror not steam spite hot shower ! room big , servicein hotel fair ( not eat can not comment dining experience ) overall , would reccomend , watch bill ( 4 drink bar cost £ 30 ) 
 Nov 29 2005 	 Watch bill ! 	 stay hotel 16th September . bathroom well clean room whole corridor smell strongly cigerett . however , really annoy bill . receive letter 23rd Spetember relate mini - bar charge date 16th Septmeber roon ( room 612 ) . use / take item mini bar stay - open hope find coffee make facility . leave phone message Ms Felicity Yexley Hotel effect 24th bother ring back . email Ms Yexley also avial . tip - watch bill try charge leftDr Jason Halford 
 Sep 24 2005 	 Lousy Service 	 way hotel 5 * . food hotel restaurant terrible chef bad attitude . two meal hotel . everything ask relay chef . last meal ( 10 person ) take two hour arrive cold . chef unable cook rare steak . restaurant staff seem scared include manageress professional dealing complaint limit could do . the hotel foyer look impressive reflect bedroom comfort . toilet 1 inch away wall therefore impossible sit comfortably . key card system total joke . every day , key card replace . all , would return , enough business London bother . 
 May 25 2005 	 clean lovely 	 know hotel previously trip plan last minute . hotel 's website claim 5 - star quality past visit London , know could false claim . check - in breeze , quick friendly . room non - smoking 5th floor lovely view Kensington Park private residence . easy find since Kensington tube station minute away foot . extremely clean looked newly refurbish . two bed ( roll around room castor ) , desk area , raise sit area chair , table sofa , mini - bar , dvd / cd player internet access . spacious bathroom good shower water pressure ! ! ! call hotel several time reserve change booking , time call receive friendly helpful staff . excellent , excellent hotel . highly recommend . wish time enjoy hotel visit casino . 
 may 22 2005 	 disgraceful management 	 find reservation staff inefficient booking , although stay many timesif complain management , side staff.if get food poisoning complain decide food beverage manager discuss , change mind send security man discuss & quot ; allegation & quot ; . want know , ask leave hotel calling troublemaker . main culprit deputy general manager . great location , great staff . rest unworthy . avoid . 
 May 20 2005 	 Friendliest 5 star London 	 great stay royal garden superb . location next park Kensington Palace excellent really impressed friendliness staff . really could enough we always smile ! rare sometimes many hotel . the room spacious ( well worth pay small supplement Park view room ) well equip . room service excellent must meal restaurant tenth floor . 
 Apr 20 2005 	 Royal Garden Hotel excellent .. truly 5 star hotel 	 get back London stay Royal Garden Hotel . LOVELY . staff courteous hotel elegant . request smoking room well view Kennsington Gardens . request smoking room , put high floor ( 6th floor - 10 floor 10th floor wonderful restaurant ) - hence nice view . room smell smoke smell smoke , open window little air . step sit area beautiful view garden . order room service late one night eat admire city light . Kudos Romy ( room service ) . polite food excellent . the hotel next Kennsington Gardens / Hyde park convenient want take stroll park . lucky nice day breakfast park ( buy Portobello Market day ) hotel within couple minute walk tube - High Street Kennsington ( Circle / District line ) . bus stop front hotel . want 5 star service , Royal Garden Hotel good choice . trully pamper ! 
 Dec 22 2004 	 Disappointing 	 return two night stay Royal Garden . nobody argue excellent location stunning view Kensington Palace . however , find service par . attempt check early rebuff despite fact call e - mail advance receive assurance would okay . offer let shower Health Club , reasonable alternative except fact club attendant claim lock locker ( theme soon repeat ) . insist stand sentry guard locker , manage find lock . utterly silly . after shower , drop bag front desk assure would place room . , indeed difficult time locate check 8 pm evening . topper breakfast experience . first person show breakfast Sunday morning catch early flight Heathrow . despite fact large dining room completely empty , direct table right next bus stand -- perhaps two foot away . point another table safe distance bus stand , tell & quot ; four people . & quot ; also tell & quot ; paper & quot ; even though first person restaurant . food , quite marginal . short , none incident take vacuum terrible , take collectively suggest hotel nowhere near self - proclaim five - star status . average hotel good location consistently surly staff . much well London . 
 Nov 22 2004 	 excellent ambiance 	 return Royal Garden one reglar visit . hotel excellent ambiance . bar atmospheric . breakfast downstairs varied , plentiful rate amongst well . range fresh fruit yoghurt first class . queue breakfast problematic arrive approx 10 am week - end . view tenth stunning well worth bottle wine early evening wonderful view restaurant get busy . rather disappointed room occasion . normally view park raise seat level rather dowdy room ( 912 ) dowdier bathroom not something rave . however , excellent location , good service , relax 5 * surrounding , Royal Garden lot go . 
 Nov 7 2004 	 clean good facility excellent staff 	 return lovely stay Royal Garden . upgrade arrival room seperate seat area spectacular view hustle bustle Kensington High Street - street noise though ! spacious room , clean well present . mini bar expensive not ! friendly welcome staff excellent concierge . lovely breakfast , everything could possibly want calm relaxed atmosphere . we eat hotel second night Park Terrace restaurant . british menu show we front desk not really appeal menu show restaurant quite varied , expensive excellent quality . would thoroughly recommend hotel , expensive ( 5 * ) good internet deal offer search . although centrally locate hotel short walk High Street Kensington tube station past pretty good shop . bus stop right outside hotel regular sevice . take bus theatre back concierge recommendation much easy tube . really enjoyable visit . 
 Sep 28 2004 	 Perfect 	 Royal Garden husband default hotel business trip past four year yet disappoint . treat like celebrity moment doorman open cab door whisk inside revolving glass door . one reason love hotel much benefit large hotel , intimate large chain hotel . concierge great - case point : husband attend black tie dinner idea tie bow tie , concierge volunteer teach . never stay 8th floor , room stay fantastic view Kensington Garden , well Kensigton Palace . also love room split level , elevate sit area next huge picture window . room service prompt great & quot ; american & quot ; international snack . afternoon tea beautiful small cafe next park ( especially rainy cold outside ) - comfy sofas great service ( actually first crumpet ) breakfast great offer buffet , menu , also make anything want ( love bagel lox cream cheese , menu , make every trip question ask ) bar also nice , perfect quick business chat , pre - dinner drink friend . spa also decent , always fit impromptu pedicure great work ( kind class include Pilates Yoga ) , not feel like jog Kensington Garden . location good well , right High Street Kensington ( affordable shopping ) yet quick ride away ( tube short walk High Street ) major shopping sight seeing . kind quick bite around hotel , be even salsa club across street . hotel definitly 5 star , understand mixed review . personally love hotel think great 5 star , Ritz club level Crillon Paris 14th century suite view Place d'Concorde ( hence rate 4 , 5 . ) however , stay Royal Garden , one also pay premium price hotel . 
 Sep 9 2004 	 5 star ? 	 lucky stay hotel , begin september . my room look kensington high street quiet . the room nicely furnish , tv / cd/ dvd player , tv turn lose clock , make wake call . if fancy cup tea coffee room , extra . the hotel 6 lift seem always wait one .The lift go reception want gym carpark go outside use lift there . one last point would nice offer cook veggie beakfast .All nice hotel could better 5 star 
 Aug 11 2004 	 enjoy stay Royal Garden 	 recent trip London hotel quite lovely . room beautiful view park , staff accomodate hotel 's close proximity & quot ; tube & quot ; make extremely convenient sightseeing . 
 Jul 16 2004 	 wonderful view 
 Jul 7 2004 	 5 STAR HOTEL 
 Jun 30 2004 	 tiny room 
 Jun 5 2004 	 Best Hotel London 
 May 10 2004 	 great hotel 
 Apr 27 2004 	 tired hotel overprice overrate 
 Mar 30 2004 	 mixed bag 
 Mar 15 2004 	 worth every penny 
 Sep 11 2003 	 Great Hotel 
 Aug 25 2003 	 WOW ! 
 Mar 2 2009 	 Trsè bel hotel moderne 
