clean 	 husband stay Thanksgiving ( 2 night ) . purposely choose hotel away craziness parade route , even though knew have go watch . hotel locate less one block w 4th St. subway entrance ( pleasant surprise ) , make easy come go pleased . quickly learn get subway follow exit sign W 8th St. ( W 3rd ) . bring waverly Place W 4th intersection , close hotel . hotel lobby small , clean nicely decorate . one small elevator , problem morning hour wait arrive . continental breakfast typical ( croissant , muffin , fresh fruit , cereal , etc . ) notice people wait line seat finish . Glad get early . room spacious New York ( walk around bed , be spacious ) , bathroom clean nicely appoint . find mattress comfortable , like bedding . room stuffy use AC work fine . window look onto another building , view unimportant we since plan go thing vs. look window . however , bit disconcert blind / shade bathroom ; bubbly privacy glass . room across way someone could enjoy voyeuristic view , suppose . keep bathroom light . , pretty good experience . 
 Aug 6 2008 	 really really disappoint 	 good thing New York service - . travel city first time . find whole experience real disappointment . pretty much ignore moment step till moment leave . thank pay . bell boy , assistance whatsoever provide check . one member staff smile whole time . room available arrive - wait 5 hours ! ! ! ! ! ! even though tell confirmation call make prior arrival would available . lugged bag heavy door ( security guard look - busy open door ) set room wrong set lift , could not find room - tell use lift . clean staff do not know clean - not even wipe basin bath , throw rubbish day . breakfast HORRIBLE even worth $ 1 . muffin bagel offer stale , plastic fruit salad devoid taste . good thing - Babbo across road dinner . stayed 9 night really unimpressed disapppointed . cafe downstairs actually shut afternoon eat restaurant - person . flag girl serve - busy chat wait staff , bill came charge 2 extra glass wine - question not even get apology . really noisy airconditioner intermittently switch night . tv really old terrible reception . advice - pay extra get well breakfast , well service well facility . worth . good thing proximity everything . 
 Aug 4 2008 	 Exception Value Unbeatable Location 	 stay mother first trip NYC happy choose hotel . we look many property weigh location price- Washington Square clear choice . the staff considerate take time get know guest . the room spotless well - apointed . bathroom large . free breakfast . what set hotel apart get authentic NYC experience location quiet street Greenwich Village- hardly car traffic . chain hotel nearby really get experience live amongst local . subway connection close staff arrange airport transfer . I would hesistate return . 
 Aug 2 2008 	 Loved Washington Square Hotel 	 spend 8 night Washington Square July 11 19 . renovate room 2 double bed 2 teen girl . contrary expect , not find room small . , not go New York stay room ! teen appreciate location near NYU give way young crowd evening . alot wonderful little shop nearby wide variety restaurant bar . great neighborhood relax long day sightseeing shopping . the subway 2 minute walk front door hotel although , walk Times Square ( first night ) .Staff helpful , room keep clean include breakfast come handy get we door start day quickly possible . I would hesitate recommend hotel hope return soon . 
 Jul 30 2008 	 Fine hotel 	 belate review stay last year . agree positive comment make other . hotel offer good value good location Greenwich Village . friendly staff make stay enjoyable . clean well equip bathroom comfy bed . room barely adequate size two adult luggage reason give four star instead five . 
 Jul 16 2008 	 Great Location 	 Great hotel , location smack bang middle Greenwich Village . small room average NY bed deluxe room mega comfortable . conceirge fantastic wealth local knowledge . visit french restaurant Bleeker call A.O.C . sit bar chew fat Phillip irish bartender local , buy cupcake Amy 's bakery ( queue Magnolia shocking ! ) . def back 2009 many year come . 
 Jul 15 2008 	 great location .. 	 stay new year 2006/2007.nice place expensive far New York go . room be not massive bathroom small , everything need . clean too . Liked area , although do not really want walk park opposite dark . only side breakfast , be not great line every morning get seat .... bit naff ! ! staff nice , although bit confusion book nearly cancel booking due fact have not pay full , even though be not tell pay full first call book . all nice stay fantastic city . 
 Jul 6 2008 	 Coudl not Nicer 	 wife , 16 year old daughter spend 6 wonderful day . spend 3 night 5 star midtown Manhatten hotel . hand enjoy stay much . room comfortable , bathroom roomy seem newly renovate . everything clean , staff quite friendly , include breakfast nice touch . plenty restaurant shop nearby , subway street . not know New York City hotel , would swear european hotel . would stay . 
 Jun 30 2008 	 love sweet little hotel ...... 	 hotel beautiful little gem Greenwich Village area NYC . Greenwich Village fabulous within walk distance everything . stay 5 night conference within 8 - 10 block destination Broadway St. 12th 13th St. initial room ( # 407 ) back view construction site . change room # 617 gorgeous view Waverly St . room small side , everything need . bathroom clean , bed soft comfortable , upgrade like , web access room . staff usually nice free breakfast restaurant actually sit enjoy coffee . order menu . hotel walk distance NYU Washington Square many restaurant , diner , shop , 24 hr market get anything need hotel room . cab everywhere go anywhere Manhattan . absolute good advice trip pack , , comfortable shoe walk everywhere . ruin foot bad shoe buy new one , damage do point . say one negative thing place . early check arrive early , store luggage . every wed . Union Square Green Market not miss . make right hotel walk block , ton shop beautiful restaurant . 
 Jun 26 2008 	 Great NYU 	 interesting hotel Greenwish Village , NYU , good bet . the hotel funky , rhe room clean , bed comfortable , like NYC room , tiny . as another reviewer say , major work adjacent building - hotel 's fault , noisy day . come NYU related event , make reservation WAAAAY advance ( 3 , 4 even 6 month ) , book quickly period . 
 Jun 12 2008 	 great little hotel 	 wonderful little hotel ! room quite comfortable service excellent . complimentary breakfast dining room really good . thoroughly enjoy visit New York -- first time . hotel well locate near subway , park , restaurant bar walk distance Chinatown LIttle Italy . stay Washington Square , go Volare , great authentic italian restaurant . 
 Jun 11 2008 	 one favorite NY 	 ' ve stay week every June several year , due work near NYU . 's favorite small , intimate ambiance , proximity park , small crowd mid - town , excellent service . get rate reasonable booking way ahead , be great value . downside , room NYC - small . also , recent visit , build behind hotel renovate lot construction noise time . look like could go awhile . Washington Square Hotel 's fault , could concern plan spending lot time room locate back . stay , sure walk around block alongside restaurant check doggie day care MacDougal St . 's big window watch dog play wait master arrive take home ! 
 May 31 2008 	 Perfect Village Location 	 Washington Square Hotel right heart Greenwich Village . location give easy access village ( East & amp ; West ) also trendy Meatpacking District . Bleaker Street around 5 minute walk hotel bar / cafés / restaurant shop . hotel pretty boutiquey way , hotel foyer look like something 1950 ' . room ' spacious enough room ensure comfortable stay ( New York remember ! ) . comfortable bed free Wi - Fi ensure hotel tick box . breakfast complimentary plentiful , provide nice start day . Washington Square ' cheap hotel ' able find NYC towards low end price bracket . want stay Village rather midtown ( ) ' going find well place NYC . great hotel , friendly helpful staff great location . 
 May 20 2008 	 fantastic 	 staid 9 night deluxe renovate room , 8th level . everything perfect . join undergrount line 100 500 m door . front desk helpfull , staff sympathetic . breakfast , include , simple excellent . order extras breakfast . restaurant lounge bar serve excellent food also . 
 may 4 2008 	 neat place stay ! 	 neat place stay . yes , room bathroom small Manhattan ! hotel Art Deco / old movie star theme . room new furnishing , new carpet , fresh paint . linen fresh new . bed comfy . bathroom small clean . bug , street noise , etc . other may seen / hear . include continental breakfast great ! juice , coffee , bowl fruit , basket bagel , muffin , scone deliver table . could yogurt cereal well . definitely nice touch . although not eat , Babbo right across street . nice hotel . front desk helpful . 
 Apr 30 2008 	 check next day 	 Washing Square - Greenwich Village . I book 5 night Washington Square Hotel . never again . I find new hotel within 1 hour . stay night onlyhostel come mind . hate - pay 250 dollar night - rip off . I vaule hotel 90 dollar night most . the room bad , clean . hall way reception leave room massive improvement . staff not fill confidence . breakfast - big queue wait next people sit . would not queue would rather pay get seat right away can not comment that . we book Crabtree Metropolitain Lexinton get 1st class accomodation ( king room ) 9 dollar . want big room ask King . 15 mintuer walk Greenwich village . loved . breakfast wonderfull . if want get taxi Greenwich Village really cheap . trust , take cab get well hotel . 
 Apr 29 2008 	 great area comfortable hotel pity noise 	 enjoy situation hotel near Greenwich Village away main tourist drag . de luxe room fine two excellent double bed , plenty storage space decent bathroom good shower . breakfast excite good enough fruit salad , bread basket bagel muffin . Cereal also provide request . fresh orange juice coffee good . on first evening dine hotel restaurant excellent convenient long flight ( book table arrival - restaurant usually busy ) . lot good restaurant within 10 - 15 minute walk hotel - 's good idea book , especially weekend . the real downside us problem noise start delivery refuse collection well 6 also intrusive building noise take place close hotel moment . start around 8 loud ! possible reduce noise small extent keep window closed ( appear double glaze - make huge amount difference ) . window closed room get warm ( even April ) air conditioning also extremely noisy . light sleeper usually sleep sort noise might expect city , air conditioning , really bad . overall like hotel little choice Greenwich Village area . however think would book go cool season would necessary use air conditioning would check first see building work finish . room side hotel - possible room front may quieter . 
 Apr 17 2008 	 Nice hotel great area 	 stay WSH 4 night early month . find staff helpful room small clean . fantastic location load bar / restaurant nearby subway 2 min walk . yes , hotel expensive room small norm NYC ! decor corridor could update . let us face tho , do not come Manhattan sit hotel room - need comfortable , clean room decent shower have . the inclusive breakfast also good ( rare hotel Manhattan ) set we nicely hard day shopping . would stay ! 
 Apr 16 2008 	 great stay 	 stay WSH 5 night early April . staff friendly , room big good sized bathroom . 's excellent base get Manhatten Brooklyn ( close , c e subway west 4th ) . would certainly recommend . make sure pay extra get deluxe room rather Superior , be certainly worth extra . 
 Apr 15 2008 	 excellent little hotel 	 get back week stay . hotel comfortable staff helpful . food bar great service second none . good location subway restaurant close . would stay . 
 Apr 10 2008 	 disappointing 	 plan stay 5 day leave 2 . hotel nicely affordable , guess get pay . room small dank , face wall . insanely loud construction going start 8 morning right outside room -- make pleasant vacation experience . find staff unhelpful ; instance arrive one help we bag , discuss change room meet indifference . one hotel Village area , pick . overall quite disappointment . 
 Apr 9 2008 	 bug riddenanti smoking rip joint ! 	 Washington Square hotel overprice DIVE . ban smoking hotel , yet room filthy , room BUGS -- even bug filth , expect people go cold smoke ? ! ha ! ! ! room see size closet . tiny , bug infest room free smoke cigarette , get honor pay $ 300.00 per night . FLEA BAG HOTEL ... LITERALLY . not stay . ( way , smoke cigarette non - smoking room , non - smoking hotel , regardless new rule , put place make reservation , not bother tell arrive check ! tired cold look another hotel , check smoke room anyway . maybe smoke kill bug infestation problem , room least ) 
 Apr 7 2008 	 highly recommandable 	 Stayed WSQ 27/3 1/4 recommend hotel anyone want decent cozy room middle Manhattan . subway station around corner well literally hundred cafés , excellent restaurant , pub , delis . get room 8th floor nice guess consider middle Manhattan quiet . also complimentary breakfast actually stay breakfast - type people , decent - coffee , tea , fruit salad , orange juice , bagel & amp ; muffin , butter & amp ; jam . New York due excellent exchange rate ( least people EURO country ) , place almost bargain . neighbourhood great , walk around Greenwich & amp ; West Village , Soho late night feel absolutely safe . would definitely go ! ! ! 
 Mar 25 2008 	 Value money Greenwich Village WSH 	 always , always , NYC stay WSH . strength location ( good NYU transportation ) , relative cheapness ( NYC ) , small scale mainly helpful staff . drawback size room . restaurant ok breakfast ( include basic extra cost ) pricey lunch dinner . jazz brunch fun . overall , recommend . 
 Mar 18 2008 	 Great Location . Quirky Decor . Great Value . lovely Breakfast 	 Loved hotel friendly staff , quirky decor adequate sized room ( inc . large bathroom separate toilet ) .We overlook service area room opposite not great hardly ever room ( jet lag get we 5 am ) not matter . breakfast generous fresh - great start day . great location among student bar , comedy club restaurant halfway north south tourist attraction easy walk everywhere Hotel . 
 Mar 17 2008 	 lovey hotel fab area 	 stay hotel 4 nioght , inroom 809 could see empire state building room fantastic . breakfast lovely , fresh fruit , yogurt , juice . draw back , tea coffee facility room , las wke early around 4 6 am would love cuppa , instead quick change starbuck end block take . otherwise fault subway wasa block away 10 min walk greenwich . would ue = se hotel 
 Feb 25 2008 	 Perfect place stay 	 back week 's stay girlfriend - gem place , fantastic location , clean room , friendly helpful staff , agree comment make reviewer . great walk downstairs breakfast ( ample we , love start day healthy fruit yogurt , orange juice , bagel , include price ) . never queue wait service . delux room 2nd floor partial view Square . criticism room decor rather drab , though renovate ( not think much interior designer , one ... dull brown beige - colour please , be personal taste ) lovely fluffy bathrobe lot towel toilerie . tip - use stair lead restaurant get room - much nice grander narrow cramp corridor lead to / from elevator ( horrid swirly plaster wall ! ) location perfect - love Greenwich village , touristy one stop subway 42nd street . lot great restaurant cafe within walking distance , feel safe whatever time day . place . staff helpful ( book tour , recommend place eat / visit , check flight etc - reasurre due fly home day 6 & quot ; snow fall flight delay 6 - 8 hour , thankfully back normal day fly ) , complaint would definitely stay - happy recommend other . 
 Feb 17 2008 	 great value money + great location 	 arrive late New York , already book table Square restaurant , right next door Washington Square Hotel , find , part hotel . food gorgeous great stumble back next door lovely clean soft , comfy bed sleep jet lag . read reviews noisy room , request room far away elevator . room get view ( do not need one ! ) quiet , do not hear anything ! next morning fresh complimentary breakfast serve restaurant night ! staff friendly smiley without gush . location hotel perfect us - metro station right corner , Saturday night Greenwich Village right doorstep - really busy nightlife great atmosphere . 
 Feb 14 2008 	 try put good face 	 stay Washington Square Hotel Feb. 12 , 2008 . choose proximity NYU law school ( block half away ) . pay $ 220 + taxis , include breakfast . the hotel good could old building . room small , big enough double bed 3 - 4 ' space three side . bathroom small enough put bathmat floor , like wall - to - wall carpeting . room bathroom clean , hear street noise . ( room 329 , window face courtyard alley , could not tell . ) hear shower room , otherwise hear noise nearby room . the room thoughtfully outfit . bed comfortable clean , free ( wire wireless ) internet access , bathrobe , umbrella ( need ) , etc . fitness room also small , couple treadmill , stepper , half dozen weight machine , thing . the hotel not room service , nice restaurant first level package food go take back room . terrific scallop . morning , breakfast serve -- fresh squeeze orange juice , coffee , fruit salad , bagel muffin bring table include room rate , also add additional food ( one egg , $ 2 , three - egg omelette , $ 9 ) . would probably return hotel need stay NYU . 
 Feb 3 2008 	 Great Place stay new york ! 	 stay hotel new year 6 night exactly need great trip new york ! fisrtly flight delay way get stick Fiji cancel first night 24hrs notice accomodate do not charge we appreciate . the people front desk lovely , helpfull freindly ! breakfast include room good aparently common new york , want start day without trek around look somewhere eat great ! Thr room be not anything fancy hardly spend time room wasa clean , bed comfy , tv million station bathroom decent size - would reccomend renovated room ! ther hotel right park nice see movie Legend movie set around park alot fun see ! like location central new york city ever want walk far away - walk everywhere ! also great restaurant around greenwhich village , soho , west village etc 15 min walk hotel . overall find good value , great location , nice room nice staff - reccomende 2 people reccomend other ! 
 Jan 27 2008 	 great hotel 	 great little hotel Greenwich Village . reasonably price ( New York ) , good location , good breakfast include room fee . only complaint get room next lift least not work midnight 7 am . 
 Jan 19 2008 	 Great Hotel great location ! ! 	 stay hotel 5 night New Years 2007 - 08 great stay . one room son third floor refurbish feel good job do refurb . room actually feel quite spacious , large bed small separate bathroom . room look exactly like hotel photo see . the location fantastic - Washington Square across road , entrance W4th St subway station end block couple block walk Bleeker Street . the staff helpful checking well question have . the include breakfast restaurant great way get day start , usually juice / coffee , bowl fruit salad plate bread / muffin . all , would definitely recommend hotel ! 
 Jan 8 2008 	 great location mixed stay ... 	 first - location great . want authentic New York experience , Greenwich Village must . great atmosphere , shop , coffee shop ( real , Starbucks ! ) , hotel bang middle . subway around corner wizz Times Square , could not wait get back ! stay New York , thing can not change ... yes room not huge , need huge room 's much see outside ! big issue size bed , though say Queen , size expect , foot go end ! yes , noisy outside , move escape noise bar exit 2 am , yes lorry siren wake we , city , get ! staff helpful generally friendly , breakfast great . eat bar first night , food service good . would go back ? think , would recommend friend , real authentic experience great location , put odd flaw ! 
 Jan 7 2008 	 well price great location trouble ! 	 hotel word fantastic make holiday . from moment arrival welcome cheery chap open door give we happy holiday shout ! room huge mean clean tidy compact . not small though do not think ... depend guess look . love touch bath robe we umbarella use stay . arrive also find brekfast include room rate ... welcome surprise book expedia understand . breakfast continental style serve proffessional team hispanic waitor dress black . hit spot complaint . also offer huge cook breakfast option watch many people get platefull deliver whilst thinking could possibly food time morning . as general hotel stuff .. busy noisy ... air conditioning work fine ... problem bathroom supply hot water ... short well recomende hotel ... especially preffer downtown area city . much less bussier whole mid town razamataz ... nice experiance great come home oppinion . 
 Jan 2 2008 	 Pros Cons . Charming ....... 	 stay Washington Square Hotel two week Christmas hotel price high N.Y. niece recommend hotel relatively reasonable rate ( remember NY ) , great location really charming atmosphere . ' m city lot not like large , impersonal hotel . boutique hotel perfect . however : con : street noise bad top floor . room air conditioner could turn ( December ) way cool over - heat room open window . ( typical city apt . hotel . ) recycle truck crash 2 a.m. take sleep pill sleep well rest night . be always answer ! pillow like brick ( previous reviewer right . ) bring pillow . book room away elevator . pro : room large , 2 double bed , immaculate . bed extremely comfortable . bathroom large , 2 double sink , gleam white subway tile also immaculate . Breakfast ( include ) perfect - bowl fresh fruit , basket assorted bread unlimited coffee . Restaurant well know deservedly . People come uptown dine , still neighborhood feel make visitor believe apt . around corner stop friend . good . make reservation book room . recommendation : spring luxury room newly renovate decorate like lobby art deco style . check website - old room look like monk ' quarter . also check elevator . room wall behind bed ' headboard , be travel emergency sleep pill . would go ? think , would sure deal pillow , noise heat problem ahead time . three could avoid booking room . sister - husband hear problem , say 's stay large , quiet , impersonal hotel would never put inconvenience . charming ! 
 Jan 1 2008 	 great small hotel 	 Booked hotel Trailfinders one recommend hotel . although see room quote small , plenty big enough ( although book deluxe room ) . lovely bathroom ' condiment ' amply provide . expect mediocre breakfast include , pleasantly surprised . we evening meal North Square restaurant delicious . not far walk choice metro station - easy walk shopping area Greenwich Village . Olive Tree short walk also nice place eat while - away evening . we would book . 
 Dec 29 2007 	 cozy hotel ! 	 return stay Washington Square Hotel wonderful experience . family four budget able book renovate quad room provide ample space nice , clean bathroom . staff include breakfast crew always smile helpful make we feel welcome big , busy city . highly recommend ! 
 Dec 18 2007 	 Great Hotel great location 	 stay 4 night mid December . room bathroom clean reasonably sized . room warm ( NYC two snowstorm whilst ) . view room not come NY sit hotel room . reception staff always helpful , provide map , discount voucher advice . even book we return flight print boarding card we . the include breakfast pleasant surprise , fresh fruit juice follow muffin , scone bagel , unlimited tea coffee . the North Square restaurant good value evening meal - book intend dine Friday Saturday night popular . the subway West 4th Street block away . all excellent hotel . 
 Dec 15 2007 	 Excellent 	 come back ny stay WSH great : staff nice usufull , hotel confortable well locate lot restaurant jazz bar walk distance , will definitly stay next time will NY 
 Dec 8 2007 	 Excellent 	 stay 5th floor 5 night November 07.Our room compact big enough need . room clean & amp ; comfy , furnish high standard & amp ; 2 windows.bathroom clean great powerful hot shower . staff polite & amp ; helpful especially Doorman greet we daily like old friend . location superb subway station & amp ; counless restaurant / bar & amp ; shop doorstep . we walk place include ground zero & amp ; empire state although quite long walk intersting stuff & amp ; shop etc route . hotel arrange car JKK much well cab & amp ; $ 5 more . will definately stay next time ny.recommende friend & amp ; family . 
 Dec 4 2007 	 Great Hotel 	 hotel real gem New York City . read early review room small find comfortable perfectly adequate ( want spend much time room New York City ! ) staff friendly helpful hotel situate quiet area Greenwich Village directly across Washington SquarePark , hangout many student around area . the subway drug store around corner ( provision water etc . transport link ) always plenty cab pass by . complimentary breakfast include room price extra itemse.g . omelette , pancake etc . could order dollar extra . restaurant popular local ( always good sign ) food excellent lunchtime evening . even lounge bar menu feel like snack ( greatfood ) . great place stay . 
 Nov 18 2007 	 wonderful stay 	 hotel lovely , quiet area yet one block major subway station . also near 24 hour drugstore , coffee , restaurant bus line . cab run street often . room fairly large , ny standard , comfortable . little dark , view , be OK 's quiet . main complaint tiny one -- ( free ) breakfast area tight feel overwhelmed loud , annoying person happen bray next table . plan come back NY stay , question . 
 Nov 16 2007 	 great find Village ! 	 difficult task ahead book hotel Marathon weekend . everything seem book $ 400 / night . ( know Manhattan hotel expensive , sheesh ! ) look bed & amp ; breakfast place two - night stay shy minimum place room leave . since rate receive single far rate find hotel , nervous stay . say , hotel far exceed expectation . allow check early pleasant front desk attendant . find ( remodel ) room second floor lovely , small , typical New York , plenty storage surface space need . window overlook airshaft . people might like can not look city , prefer quiet room night 's exactly get . plus room / bathroom immaculate . ( even pull sheet examine mattress corner bedbug check ; - ) continental breakfast surprisingly satisfy ( fruit , bread basket , coffee , juice ) must say service spotty . day one could not get anyone 's attention sit quite serve . second day several pleasant server fawn . know ? problem w / the heat room -- much -- -and front desk someone maintenance within 5 minute turn register I . in fact , find front desk extremely helpful , general -- one arrange affordable , last - minute car service group , someone always willing give direction , etc . ( love subway entrance short block away drugstore corner . ) , would definitely stay recommend wholeheartedly . ( note , ' m rate 5 hotel tremendous value price , par 5 star hotel Manhattan . ) 
 Oct 26 2007 	 great location try stay upper floor .... 	 great location , stay Times Sq last time New York Greenwich much well . staff friendly ( exception Breakfast staff ) problem change room disastrous first night . stay 4 night . first night stay Rm 209 would avoid unless intend awake 6 am due laundry noise downstair building site next door . move top floor next three night plain sailing . room small clean , NYC not hotel room long take get good night sleep . less block subway within 2 minute walk great bar restaurant . try galanga good thai food outside Thailand go groove li'nard band playing . Washington Sq Hotel great base explore NYC area around far well overcrowded uptown area . 
 Oct 23 2007 	 Excellent Establishment Greenwich Village 	 husband two child age 17 11 stay hotel 5 night Oct 07 . read review say room small , one person even say room corridor border dirty . say whilst yes room small hotel anything dirty . stay Sheraton Manhattan two year ago twice price plain grotty . room small adaquete two queen bed - tidy hung clothe pack away shopping night size issue . room 8th floor bright comfortable . unseasonably warm a / c quiet effective . read review noisy a / c 'S hotel experience . corridor area freshly paint ask deluxe room booking allocate one . reception offer change we next day end happy enough room stayed put . staff freindly courteous helpful particularly bell man go way day suggest place us shop visit . one occasion see look subway map enquire want go . route pick direct due unfamiliarity subway system give we direction alternative subway station probably save we hour return trip . reception staff helpful day check bag store flight 9.30 pm evening problem ask anything else could help we prior departure ask . think good service stage pay bill . brekfast adaquete comprise fresh orange juice fresh fruit muffin bagel . couple morning daughter join we brekfast take provide without question . the location hotel also excellent certainly beat touristy times square area . village lovely walk around evening early morning plenty good restaurant good jazz scene area also reasonably quiet get good night sleep . hotel certainly add enjoyable stay NYC would highly recommend price perspective excellent value . definitely return WSH 
 Oct 11 2007 	 little find 	 Walsall , West mids-11th October 2007.we stay 5 night , first time NYC , would really recommend hotel lot reason : -locate Greenwich Village give easy access downtown & amp ; midtown Manhattan . staff helpful , willing book excursion car . Doormen ammenable , give advice local area hail cab . our room ready arrival immediately offer complimentary cocktail bar pass time . hotel huge re - furbished , complimentary breakfast good start day , eat hotel several time food good standard reasonable cost . our room compact although kitte ' little extra ' , bath robe , shower gel etc , class ' internal room ' natural light . fairness know book , hindsight available book would pay little extra external facing room . hotel situate corner overlook Washington Square Park , always seem type entertainment go eg , musician & amp ; singer . lot cafe bar within easy walk distance , table & amp ; chair pavement relaxed european style atmosphere . can recommend open top bus tour ( particularly night time tour take Brooklyn give unforgettable view Manhattan skyline night ) . also evening sunset water taxi harbour cruise excellent value money stunning view . on final evening ' treat ' meal Gordon Ramsey 's restaurant London Hotel disappoint , real gastronomic experience . taste bud spoil forever . if want stay somewhere easy access Manhattan like idea ' village ' atmosphere really recommend hotel , hustle & amp ; bustle Times Square . 
 oct 9 2007 	 great hotel great location 	 Manhattan expensive place stay relatively speak , Washington Square hotel ' bargain ' - even though 4 night cost £ 500 ! location can not beat - right opposite Washington Square great , safe place hang weekend listen busker . 's also subway station literally two minute away 24 hour drug store . staff really friendly helpful door staff give great tip place eat . free breakfast toast bagel fresh fruit also great day ' ve fill american sized breakfast ! room small american standard complaint - go New York stay hotel room anyway ? definitely stay . 
 Sep 28 2007 	 great staff nice hotel good location 	 book hotel mostly want live area many hotel , atleast good rewiew . take single normal room good . little bit small care . clean nice bathroom tv . breakfast great lovely restaurant staff welcome . next time come New york defenetly stay 
 Sep 19 2007 	 Great Hotel Great Location 	 book hotel mostly location little nervous certain review site . take advice review book Delux room . we disapointe . staff friendly , always greet we offer help assistance whenever need . room consider small , spotless modern . complimentary smellie , good quality towel lovely robe . complimentary breakfast ( give hotel day room ) excellent , fresh fruit salad , lovely muffin / bagel basket , endless fresh coffee endless freshly squeeze orange juice . fortunately never que stair get table . the location originally sell we hotel perfect , middle Greenwich Village , surronde nice bar restaurant - try olive tree nearby MacDougal Street within walk distance shopping delight Soho ! subway 1 minute walk away . I certainly reccomende Washington Square Hotel friend . 
 Sep 17 2007 	 clean quiet friendly ... great location 	 stay hotel 3 night ( Aug. 20 - 23 ) friend , please everything receive . room get twin , promise . although room small , spotlessly clean , location 8th floor provide peace & amp ; quiet . daily breakfast adequate include price room . desk staff helpful check - in check - out , always friendly greeting whenever pass way . good feature hotel location Greenwich Village , overlook Washington Square . place smack dab middle cool area low Manhattan ( East & amp ; West Villages , Chelsea , Soho Lower East Side ) , within easy walk distance . 6th Ave./8th Ave . subway station entrance end block , waverly Pl . stay 6 different hotel NYC last 25 yrs . without repeat stay . Washington Square first NYC hotel stay ... . 
 Sep 17 2007 	 Excellent Value money 	 expect small room get one . however , functional , everything want , include hair dryer , tv , iron ironing board . room clean , good quality towel , change daily complimentary tolietrie . the hotel excellent location subway station 200 yard away many good bar restaurant nearby . front desk staff friendly helpful , despite report state . one downside complimentary breakfast . matter time go breakfast , queue stair wait someone come show we table . finally get table , service slow somewhat lacking . one day decide order something cook , additional charge , get order wrong . decide eat breakfast outside one many good inexpensive diner area . we visit hotel bar , almost $ 18 two beer little excessive , not go again . at end day , hotel excellent value money , although bar not breakfast problem would stop we stay . hotel room , treat one can not go far wrong . 
 Aug 28 2007 	 pleasant enough hotel 	 agree okcowgirl point . Further:1 ) ask room face MacDougall St . 2nd floor deluxe room hear absolutely nothing . 2 ) bed pillow deluxe room great . 3 ) think breakfast fine . surprised bowl fresh fruit . bagel muffin soft . 4 ) turn right onto Waverly Place Duane Reade 24hr pharmacy . note subway station next door . 
 Aug 26 2007 	 O.K . place stay 	 O.K . hotel . lobby nice . stay third floor . room smallish queen bed . clean , mold bathroom grout , make mistake ai not Ritz ( also Ritz price ! ) room European ( read small room area , small bathroom , one chair dresser ) bed comfortable , clean A / c good ( bit noisy side ) . T.V mount high wall ... feel like need look place insert quarter operate ...... be away street outside noise . ; however , one door immediate vicinity need damper replace , could occasionally hear slam , even A / c run . hallway English , small winding ( big deal , get turn around pay attention ) big gripe hallway smell like locker room sensitive sniffer one faintly smell room . hallway air condition hot stuffy . hallway third floor look like middle renovation white plaster & quot ; swirling & quot ; wall work around old exist wall tile decoration lending & quot ; cheap hotel & quot ; feel . the attach restaurant excellent dinner reasonably price , & quot ; free & quot ; continental breakfast disappoint ; staff seem hurry attentive . believe different lease operation dinner business different feel , different staff one proficient speak English . & quot ; Dittos & quot ; reviewer regard convenience location . overall nice inexpensive ( NYC ) hotel . 
 Aug 13 2007 	 get pay 	 ` stayed & amp ; like location & amp ; price . this time room gloomy air con loud . the breakfast staff awful . smile thank . eat breakfast elsewhee second day . but book ` location suppose Art Deco feature ( fab ) - get pay , however wil probably go elsewhere next time visit NY . 
 Jul 29 2007 	 Good Hotel Greenwich Village 	 attend conference NYU stay Washington Square Hotel . overall , bad stay would stay order close NYU . however , observation help decide : - bellman wonderful give reccommendation , subway tip , etc ! - elevator , hallway room small ! - window A / c unit - & quot ; light switch & quot ; turn ! - nice little bar helpful bartenders- room look street , quiet . colleague street face room say really loud night ( garbage truck , etc ) - Shower curtain hang high stuck shower - end leave open water get everywhere anyway ! - front desk give nice map ask- nice bed ( queen big ) , pillow top mattressesIf look luxury roomy , keep look , location suit look safe , comfortable place , may ! 
 Jul 27 2007 	 plus whole group 	 also glow review hotel . 4 woman stay one room . Got deluxe ( superior ) ample room four set luggage plus shopping purchase . corner room , 221 , view square window two side . bathroom roomy two sink . room two double bed , long table vanity , one sit chair , chest drawer , 3 nighttable , everyone space . bed deluxe room dreamy , soft top mattress fluffy white comforter . a / c one wall unit monitor seem keep fine July weather . convenient subway restaurant . staff friendly , helpful , front desk security doorman . nice stay 2nd floor could take one flight stair instead wait somewhat slow elevator . quiet neighborhood low floor not matter . 
 Jul 22 2007 	 highly recommend hotel 	 great hotel $ 235 / night expensive city . arrive early , store bag problem base upon recommendation request deluxe room upper floor . upon return , give exactly top floor . plenty spacious , super clean , nice bathroom , window either side room , one view park . room recently renovate look like picture website . right next elevator never hear . AC , window unit , new , work fine ' particularly noisy . ' visit bar , enjoy nice complimentary continental breakfast fresh fruit , juice , coffee , muffin bagel ( yes , cream cheese ) pleasant restaurant . everyone , even night staff , nice , especially woman check we accommodate specific room request . notice people work continue improvement property ( though ' take away visit ) . location perfect we near neighborhood interested . subway less block away give quick , easy , no - transfer service heart Midtown . highly recommend hotel . thank member write review help we make choice make nice stay . 
