Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Jan 4 2009 	 good hotel great location ! 	 stay one night Christmas New Year , really enjoy stay . the lobby impressive , soon leave area hotel seem old - however , room perfectly clean , spacious lovely bathroom . issue cleanliness , although room little old - fashioned , really nothing wrong . bed pillow little hard , think bit old may need replace soon ! room large other London , complaint there . however , manage get great deal Lastminute.com , room cost £ 59 night - absolute bargain central London ! ! think may slightly disappoint pay upwards £ 130 per night though . the location great , Buckingham Palace 2 min walk away St James tube right around corner . area quiet weekend , feel safe walk back hotel late evening . I ' m sure would stay , could get bargain rate definately would , full price hotel tourist modern maybe bit convenient . 5 * hotel , easily 4 * definately bad choice - shop around make sure get good deal ! 
 Jan 1 2009 	 bad far 	 location perfect , reception area would expect deluxe hotel staff pleasant helpful . reception illusion deluxe 4 star hotel end turn dreadful , drab dingy . room absolutely tiny , bed side table tray 1 bottle water ( 2 people ) huge bedside lamp can not put anything . console table also clutter tray nick naks sale . wallpaper peel window frame dusty rotten carpet dirty spot . 
 Dec 31 2008 	 Old fashioned hotel good location 	 stay Crowne Plaza 4 night . ask non smoking room give smoking room . realise go back reception response & quot ; upgrade & quot ; . not take upgrade get non - smoking room small , stuffy dirty stain carpet bedroom stain tile bathroom . needless say not want stay ask another room . hotel fully book ask talk manager . duty manager helpful even though hotel fully book offer upgrade extra cost entire stay well room , spacious clean . really save holiday . breakfast average staff attentive . 
 Dec 24 2008 	 Good Value Service 	 use hotel regulalrly travel London business ( 8 time year ) . Priority Club member , find club membership good value term upgrade . hotel reflect recent investment make property , retain much old world charm . location would suit tourist traveller Royal Parks Buckingham Palace close . business facility good rate reasonable . service consistently good professional staff always give prompt attention request . ' ve stay many London hotel ( 100 trip last 10 year ) . one favorite . 
 Dec 21 2008 	 top ` ` Crowne '' 	 stay Hotel long time ago one night way connect holiday start London time place fine overnight , decide want theatre weekend October 08 decide stay Crowne Plaza , St James boy place really transform . we direct Reception desk , check tell room key give . stay 770 back quite look onto office . lovely room plenty space clothe , hospitality tray , safe , television mini bar expensive ( Sainsbury 's round corner Victoria Street ) require eat ) Bathroom bad boy visit hotel rubbish . room clean every day complain this . Breakfast Saturday Buffet help much want take Bistro restaurant take Dinner , day leave , restaurant busy open another dining room guide place nice drab food slightly warm use place keep lids food warmer go remember close warmer will not problem , hotel handy show , tube , bus Victoria station within walk distance palace . we would recommend hotel anyone think stay London weekend , would use next year . 
 Dec 15 2008 	 love hotel 	 stay hotel weekend 12th-14th dec lovely hotel enormous nice inside , husband birthday order bottle champagne show room gentleman wait outside 2 glass tray really nice . room huge lovely comfy bed nice marble bathroom heat towel rail , also big flat screen tv , get good night sleep quiet do not see soul corridor hotel busy , lovely xmas tree every hotel nicely decorate , great service staff doorman dining room staff , lovely steak meal first night package unusual often allow certain thing package , lovely indian meal second night quillon restaurant next door also lovely , little expensive london , drink bar rather dear well serve nice tasted good , hilton package far well would definitely go . 
 Dec 12 2008 	 Nice Room 	 business associate stay Room 774 love . positive great room plenty spaceNegativesStaff counter arrival slowmeal bit priceysummarywas upgrade room liveable , would top view 
 Dec 5 2008 	 great Stay St James 	 stay one night start Dec say positive thing experience , tuck away general hustle bustle capital , well present maintain . our room clean well keep bathroom huge nice range toiletry ( important factor wife judge hotel ) .breakfast excellent although list price £ 20 would steep include room rate ! definitely return . 
 Dec 4 2008 	 Good Hotel experience 	 nice 3 night stay impressed staff without exception pleasant , efficient courteous . location excellent mention previous reviewer & amp ; walk everywhere . weather sunny cold perfect walk weather . Dined Bank Restaurant happy food quality choice . room average size & amp ; tea / cofee maker nice extra touch like chocolate , fruit water . everything clean . pleased hotel would recommend . would rate ' Excellent ' rather ' Above Average ' except wall socket tempermental . love could open window properly not rely air conditioning dislike . its nice quiet neighbourhood make good night sleep . 
 Nov 24 2008 	 fantastic experience 	 get great deal hotel go website ' Holiday Inn Express ' include hotel promotion . special occasion ( propose ! ! ) want stay somewhere special . £ 124 superior room breakfast . arrive tube lunchtime , St James ' Park station literally 3 4 minute walk hotel . although hour early check problem allow room 2nd floor . room really nice large . bathroom also good size . bed soft . one problem bathoom could get cold due draught come old window . arrange girlfriend treatment spa suprise . spa short walk across courtyard behind hotel . staff really friendly make feel special . facial hot stone massage ' m tell amazing . hotel guest allow use gym take advantage . gym well equip clean . anybody worry security , room equip safe . also challenge security guard use rear entrance hotel , apologetic realise guest assure problem . prior go dinner drink ' the Hamptons ' bar hotel . staff attentive atmosphere good . lovely hotel occasion . locate 150 metre Buckingham Palace proposal accept . definately return . 
 Nov 8 2008 	 Location location ? 	 definitely : 2 minute walk Buckingham Palace , 8 Westminster Abbey , 10 Trafalgar Square . St. James tube station round corner . could want ? well , 4 star hotel little , think . standard room small date . take persuasion reception get spacious room overlook courtyard . bathroom dodgy plumbing ; water sink appear bath ! daughter partner order newspaper two day run never get one . concierge , although charming , give we duff information two separate occasion . nevertheless pleasant stay , staff keen please , breakfast good ( ready queue weekend ) . oh , mention location ? perfect . 
 Nov 3 2008 	 Loved Crowne Plaza 	 love stay Crowne Plaza St. James . top - hat doorman extremely comfortable bed , hotel meet exceed expecation . location perfect sightseeing ; block Buckingham Palace Tube station around corner . room modern amenitite . wired internet run 14.99GBP / day could pay fee unlimited internet movie via tv.we expect much regard customer service room amenity , hear normally tiny room Britain potentially rude service . experience . clerk desk concierge extremely polite helpful . standard room book plenty room price right ! prepay room cheap anything find anywhere internet . the hotel full gym spa , jacuzzi pool . borrow outlet adapter , plug large ( like one use cell phone ) , would well buy one arrive , ridge plastic prevent large sized plug insert way . receive fresh supply complimentary toilettrie day towel warming rack make get show cold morning little comforting . the complaint would room size bath / shower . impossible shower without shower curtain touch somewhere person time . hotel would well invest bow shower curtain popular american hotel room . all , lovely stay would gladly stay . 
 Oct 27 2008 	 great location ! ! ! ! 	 great place stay ! ! ! arrive problem leave problem .. friendly staff , meet need . arrive late evening , ask upgrade due priority platnum member , say would not able evening come back next day see .. come back later next evening .. upgrade suite question ask pick luggage move .. location perfect young people look walk london .. close everything .. walk hour day , 10 - 15 minute away everything .. hotel need little upgrade , nothing major . unless expect stay hotel 24 hour day , maybe , clean great place laye head day walk night theater .. stay .. 
 Oct 21 2008 	 great staff old world atmosphere 	 stay attend interview London . staff accommodate provide somewhere change even though room ready . the room fine leak bath see promptly thank make effort report ! hotel one left room prepared evening , curtain close , fresh towel even chocolate pillow . simple touch make difference . I would stay chance well connect comfortable . 
 Oct 20 2008 	 great hotel great location 	 stay hotel 6 night thoroughly impressed . staff attentive always willing help . location also handy . within walking distance many attraction short stroll St. James tube station . the room good condition clean immaculately daily . definitely stay . 
 Oct 12 2008 	 impressive 	 impressive , elegant 4 star hotel fabulously locate stroll Buckingham Palace , St James 's Park London attraction . twin room pleasant bed comfy . atmospheric courtyard garden , competent staff , recommend choice restaurant plus traditional pub close . breakfast plentiful . stay part theatre break excellent internet offer available BB . need long stay fully appreciate facility hotel offer . 
 Oct 11 2008 	 Fantastic Hotel 	 recently short break St James Hotel . hotel impressive , room . comfortable quiet overlooked courtyard . I never hotel anywhere staff friendly pleasant . welcome . I would certainly go back London . hotel well position St James Park tube station easy get around London . 
 Oct 6 2008 	 Jewel Crowne . 	 stay hotel last weekend two night . see advert national newspaper , rang central reservation directly get great offer - £ 109 per room per night two people , bed breakfast dinner first night include . the position hotel central not make noisy 's relatively quite side street . the room bathroom quite big London standard equip every necessity include bathrobe . the include dinner first night three - course meal offer four choice course . nicely - present tasty , breakfast morning provide usual selection serve attentive staff . the hotel boast beautiful courtyard garden , comfortable lounge area , three restaurant , two bar spa centre . lot time , not able take advantage facility see enough appreciate quality style hotel . we hope return near future . 
 Oct 1 2008 	 great hotel celebrate birthday 	 always use Crowne Plaza St James stay London due 's great location - close enough centre London , far enough noisy . staff always welcome room well present . recently celebrate major birthday put number friend blast . great able walk straight thru Zanders cocktail bar brilliant Bank Westminster restaurant . 
 Sep 25 2008 	 nice hotel good location 	 stay one night Crowne Plaza Hotel , St James London 1 night catch cruise . think hotel nice . flight arrive early US get hotel around 11 am . bad thing not able check untill around 2 pm exhuste . drink Garden beautifull , start rain go inside little lobby bar . drink cheap . room nice hear horror story book priceline , hotwire etc get bad room . will two room lovely . first room two single bed second 1 queen . one room different building lift tiny . think 3 people would fit .. without bag . overall good time nice hotel . one thing would caution try take cruise luggage gatwick London train . stand hold bag business folk try get . quite hassle . next time will try something else . also take train London Dover much well result train full . could not find anyplace put bag luckily find 4 empty seat pille up . on side note go little pub call & quot ; Alberts & quot ; within walking distance Crowne Plaza drink food . lot fun . busy place week night sit little table little stool . fun good food good price food drink . 
 Sep 25 2008 	 terrible 	 wife travel London stay city two – three time per year . love central / convenient location Crown Plaza , St. James number positive experience past 5 -6 year . past visit , ( 22 – 24 September ) , however , absolutely terrible . the problem begin check - in : - two inexperienced young woman ( apparent supervision ) check - in desk- room ( book internet site ) double sized bed ; despite fact internet site reference " queen sized " bed- complain size bed mis - representation internet description , front desk clerk tell we " happen time Americans " ( ! ! ) - move room two double bed push together ( room 229 ) - large , room old , terrible state repair ( crack tile , door ) , dirty ( carpet stain , odd stain wall ) , position property ' log internet , hot ( … and air conditioning ' work ) - daily newspaper order check ' arrive- " complementary " water bottle room already open ( creepy ) - day departure , discover provide one TOWEL ( two people ) - addition , day departure , " supervisor " knock repeatedly door ask " go leave " hotel ! ! ! - member hotel staff native english speaker – make communication difficult ; , believe , use hotel avoid deal issues- ( conveniently ) front desk customer feedback form ; customer feedback form room either ( surprise , surprise ) - breakfast incredibly expensive ; poorly stock ; , member staff speak English – ask repeatedly ' complete room charge form ! ! ! absolutely bad visit ' ever Crown Plaza property 
 Sep 18 2008 	 Exceptional 	 husband stay Crowne Plaza London St James late April - early May 2005 . upgrade without request husband tell trip lifelong dream . room overlook courtyard clean delightfully comfortable kingsize bed luxurious bedding . staff friendly , polite helpful we . location could not well neighborhood safe quiet . make plan visit London near future will not even consider stay hotel . 
 Sep 11 2008 	 great ......... 	 recently stay hotel . great location - walk everywhere , Trafalgar Square , Kensington Palace , Buckingham Palace , etc . complaint request WEEKS AGO room overlook courtyard . receive e - mail confirmation Hotel grant request yet , check , room overlook air conditioning unit . pretty disappointing . , nice experience . 
 Aug 13 2008 	 Excellent stay 	 stay second time hotel impress everything . hotel grand style one would expect traditional London hotel . great location , impressive attitude staff , polite helpful every opportunity . upgrade suite lovely , dissapointment stay one night occasion . 
 Aug 11 2008 	 Perfect London Location 	 stay Crowne Plaza St James 30th anniversary . location ideal walk everything - block two Buckingham Palace . walk block theatre Victoria station . taxi stand outside handy . 's busy area quiet . think police station neighborhood . room clean cool comfortable overlook courtyard . love tea courtyard . enjoy two restaurant pub street . not breakfast hotel - wish coffee shop continental breakfast . enjoy nightly drink bar area , often listen live piano . staff friendly helpful . special lifetime trip stay perfect ! 
 Jul 27 2008 	 Outstanding hotel 	 third stay splendid 4 star hotel . Decor , service , food standard bed room high possible order . without ask upgrade mini suite ... luxurious . spotless throughout clean , wonderful hotel boast first class restaurant fabulous garden terrace eat area . 4 star . ? standard bedrom alone well 5 star hotel . location perfect Buckingham Palace , Royal Parks West End . well London . difficult please . 
 Jul 27 2008 	 five star ! ? ! like 3 star ... 	 book king bed five night stay early July . 12 hour journey upon arrival say lose reservation request ( even though confirm email week arrive ) give we unrenovated , tiny , dingy room . unimpessed decor cleanliness room . example carpets dirty bathroom need major cleaning overhaul . black mold grow grout shower wall dingy dirty . travel lot way room give five star room , perhaps 3 star , definitely 4 5 star . the positive location Buckingham Palace tube short walk away . nevertheless , back Crowne Plaza St. James . 
 Jul 26 2008 	 would not go back 	 England expensive , still quality hotel worth price . entry way lovely , elegant spacious . white gloved doorman looked handle everything superbly . room hallway dirty , worn . carpet edge be not vacuum much seem . food room service good . view barbed wire fence protect school close Buckingham Palace , easy get taxi , good . overprice even England 's rate . 
 Jul 21 2008 	 beautiful room 	 book hotel last minute order attend garden party Buckingham Palace , ideally locate , minute ' walk away front gate . room give fantastic- huge ( London standard ) well equip . although staff little disorganised time , compensate concierge Frederic , find extremely helpful full useful tip . location excellent , within easy walk distance many major tourist attraction , hundred metre St James ' Park tube station access rest . quibble price- ok , London hotel expensive , money pay , would least expect breakfast include . 
 Jul 16 2008 	 Grand outdate 	 stay business one night . £ 180 ( inc vat ) per night - high rate normal due Farnborough Air show hotel short supply . very grand old england outside reception . room good size , hot aircon not seem anything . noisy window open . varied choice breakfast room - japanese , healthy , full continental . Convenient Victoria , St James Park ( tube ) , Buckingham palace , Eye , Big Ben , Westminster , Houses Parliament etcbed comfy 
 Jul 6 2008 	 Good Hotel - convnient 	 book one night stay St. James Priceline without know 3 - star hotel be get , get room St. James $ 150 ! hotel conveniently locate near Victoria Station catch Heathrow Express . Buckingham Palace , Parliament Westminster Abbey also walk distance away . room comfortable clean . staff helpful friendly . would definitely stay . 
 Jul 5 2008 	 Great Location - Acceptable Hotel - Sub Par Housekeeping 	 Crowne Plaza London St. James stay Crowne Plaza London St. James five night London . trip part 15 night trip Europe . book location Priority Club reward stay . book single double bed non - smoking room , due Priority Club Platinum status , say upgrade King non - smoking room fifth floor . arrive London via high speed train Paris , taxi ride hotel quick easy , run 18 pound , heavy traffic . want take tube ( associate stairs ) luggage . hotel comfortable lobby , restaurant , bar . piano music lobby evening . check quick , easy , though room available till 3:30pm . ( complaint there….check till 4 – visit Buckingham get lunch Piccadilly area . free newspaper slight room upgrade perk platinum member ( Priority Club 's high ) bit disappointment , location hotel make ! hotel approximately 5 minute walk Buckingham Victoria station . Trafalgar Square Westminster Abbey , Parliament 10 minute , London Eye Piccadilly 15 minute walk . go Harrod ' Covent Gardens , reason use tube , bus taxi , fortunately , expensive London . room rather large Europe standard . hotel old , formerly hospital . floor bit uneven hallway wind around strange pattern , overall add character . believe part structure date late 1800 's / early 1900 's . opinion give hotel neat character old London . bed comfortable . true king , rather two bed zipper together make king . however find problem . blow - dryer wall bathroom old difficult use bring we portable one . room robe guest use . carpet rather wear need replacement furniture room . ( design look old , particle board see well day . ) tv excellent flat panel HD . oddly enough , tv , clock radio room . air conditioning excellent . view room another apartment complex , make quiet stay greatly appreciate . housekeeping staff spotty good . several occasion , soil glass leave room , tea bag replace , bed short sheet , leave towel , etc . minor easily rectify call housekeeping , necessary call . ( tip housekeeper daily , make spotty service bad . ) internet access excessive 30 penny per minute . favor walk 5 minute internet café Victoria station 1 Pound per hour . gym available guest well business center . never actually go gym enough walk stay fit . concierge staff bell staff acceptable nothing special . eat drink hotel comment service . hotel get housekeeping act together would phenomenal . central location make lack amenity would highly recommend hotel other . 
 Jun 8 2008 	 nice special ! 	 stay husband another couple friend last night . one travel work pay £ 112 . 2 Deluxe room one night , include breakfast . mention deluxe room ( 604 ) , walk price room £ 350 night . say pay sort price would disappoint . room great size really comfortable king size bed bit tired especially bathroom . shower rubbish choose use one spa follow morning ! ! ! towel bathroom really hard ! internet 30p minute think bit steep . as someone else mention mini bar extortionate , breakfast . room service Continental £ 18.00 cooked breakfast £ 25.00 . not bother ! one lift work one renovate really slow . the bar nice sit terrace drink waiting room . glass Aussie Chardonnay £ 5.80 . service great visit bar . I nice night hotel , lovely visit spa pamper Molton Brown product . we keep wait hour half room , knock effect unable change go Theatre not great . I would go , cost £ 60.00 . 
 may 28 2008 	 excellent hotel 	 stay hotel mid - May 3 night say go back heart beat . check quick easy ( within 2 min ) room # 778 . room clean decent sized compare hotel London , lot room may call under - furnish . view garden 's quiet . staff egar help . lined concierge get someone 's attention within 15 second . bar ( Hampton 's ) tiny good . location great , within 3 min walk Buckingham Palace , 10 min Victoria , 15 min Trafagar . even walk London Eye back hotel take 20 min less . attration within walk distance walk thing . , good . hotel big take find room , pratically take 10 min . room service mini - bar expensive ; elevator slow , bathroom smallest ever see hotel . , yes , nice hotel . best part redeem point stay free . 
 May 28 2008 	 look posher outside .... 	 choose location need Birdcage walk 830 would not stay place . front lobby look like 4 star hotel . smell size fresh flower bouquet lovely . as soon get 3rd floor stay , soon step lift , new carpet not quite meet old still . gaffer tape fix edge least foot new carpet not big enough . quite 4 star ! ! bedroom quite clean . bathroom tired crack fit worktop around sink . screw board behind toilet need good clean round gap . cost mini bar shocking ! ! ! £ 6.30 50ml bottle vodka £ 3.80 275ml coke . seem alot . breakfast ( not ) far expensive 4 time price nice cafe . overall room noisy outside , would expect room next door noisy . we decide first night drink busy day . go outside sit table wait wait ten minute gave even think waiter see we ! ! ! would rather save money stay Easyhotel . would do location . 
 May 28 2008 	 great location 	 stay Crowne Plaza 4 night 2 room ( 4 adult ) . room situate 5th floor although small clean well present . generally decor good order although may nit pick carpet bit threadbare place , odd missing handle cabinet etc . lobby grand restaurant expensive however good quality food . breakfast restaurant outside hotel call Bon Gusto would recommend go be reasonably price . hotel clean , staff courteous polite would stay . location good part 's Buckingham Gate palace 5 min walk . near tube St James Park 4 minute walk 's district / circle line , great location . negative wake 5 am ( generally heavy sleeper ) last night sound like air conditioning unit outside switch sound like car rev continually not able get back sleep couple hour . also bed soft liking result back ache morning friend 's bed wheel miss bottom ! ! 
 may 28 2008 	 traditional British Hotel 	 book standard room breakfast hotel website £ 95 , excellent value London , Priority Club status get upgrade large room , two single bed side side . reviewer suggest , hotel consist four building , obviosuly build apartment block , combine one hotel . room block spa , furthest reception . receptionist direct room via lift entrance build long walk along several corridor room . discover another lift outside room take ground floor reception could reach siply walk across courtyard . room comfortable spacious . desk chair well coffee table two easy chair . bathroom large , adequate , air coniditioning room work well . bad point curtain set far front wall let lot light light set whilst bedside light could use themsleve , standard lamp near coffee table work main ceiling light . breakfast adequate . not offer toast selection rather limit Crowne Plaza . real complaint , niggle , would use hotel . 
 may 26 2008 	 spite fault like hotel 	 stay fair bit put mixed review year - always come back . sure occasionally scruffy tiny room , service sometimes poor crowded package tourist always return 's why . the hotel bucket character charming , central part London area quiet , good pub restaurant nearby , tube ( St James ' Park ) close . like Bank bar restaurant next door hotel 's enclose garden delightful fine day . all London hotel overprice Crowne Plaza upset ' big time ' , shall keep come back still afford . 
 may 23 2008 	 good location - close Buckingham Palace 	 stay two night Crowne Plaza prior business meeting outside city . location perfect explore city . good walk location – close Buckingham Palace site tube . room ok sized , clean , overlooked courtyard beautiful . hotel room / hall seem little old clean . extremely busy hotel staff always polite try help . restaurant ' anything special convenient . ' recommend try something offsite lunch / dinner well value taste . take taxi hotel advise ' congestion zone … I believe incur extra fee drop ? really sure . overall pleasant first trip England enjoy stay Crowne Plaza . 
 May 18 2008 	 good location tired look hotel 	 stay , stay annex - well room time - 359 main hotel . this room feel small 4 * hotel , tired look - small bathroom . other review say one work lift , still issue , although sign say lift work , 's sign be go sort . location great - 10 minute Victoria station , near Buckingham Palace , Houses Parliament etc local bar restaurant . would suggest stock mini - bar goody local sainsbury rather pay hotel rate water , coke , chocolate etc ! good 3 * hotel 4 * ! 
 May 11 2008 	 initially impressed 	 stay Crowne Plaza last weekend , book two room February . check - ( two couple - sister partner ) quite delay , end allocate room , one hotel one neighbouring building . acceptable book together want stay together , 45 minute offer upgrade two bedroom suite receptionist admit overbooke , common practice . suite good little time spare sort accept . way doorman ask OK , said & quot ; really & quot ; explain situation , tell upgrade said & quot ; & quot ; luxury suite . know carpet wear grubby , throw stain spare loo flush . speak hotel contact , apology give tell would give another room could come back move belonging , push time agree see 8.00pm . wow , give new suite . three double bedroom , kitchen diner , massive lounge . lovely , two bed en - suite third massive bathroom . although poor start enjoy stay , staff amazing . pay £ 350 per night suite get far expensive . would stay location fantastic , would inspect room accept . 
 May 10 2008 	 nice outstanding 	 book via travel agent Melbourne Australia AUD $ 300 night breakfaststay Fri May 2nd 4 nightsroom 254 ( Mum 260 ) room corner give we space Mum 's , view , look lovely courtyard . neither room chair sit except desk one . a small double bed , feel strange give room size good . for price pay expect internet access include . charge GBP 14.99 noon till noon . be not impressed buffet breakfast . range be not great , mostly lukewarm . be not final day notice someone request poached egg , something make aware . Toast need order aswell although good serve give , end cold , rather cook need need it . service food beverage area be not overly good helpful . although front desk bell desk fine . food overprice even London hotel standard . aud $ 50 omlette bread . sainsburys around corner , stock drink , fruit budget . renovation going stay one lift work , lead long wait . stair one end hall although mark . overall dissappointe , good experience chain part world . 
 Apr 23 2008 	 good hotel good service 	 wife have stay wonderful hotel twice , love first time love even second time round . hotel 's staff extremely helpful always polite , look confusion face quick respond offer help hand . nice hotel locate middle everything , could walk destination spot far away , tube minute walk hotel . enjoy use gym facility incredible meal ... breakfast astound plentiful dinner exquisite . price per night incredible bargain definitely get pay , check email time pretty costly ( honestly , downfall hotel , be vacation need not check email ... LOL ! ) plan visit Engand every year look forward stay Crown Plaza St. James every time . good job hotel staff ... well do ! -Chris 
 Apr 17 2008 	 treat like royalty ! 	 boyfriend recently go London last minute trip book hotel priceline.com . get great deal would highly recommend site traveler well ! neither we know expect upon arrival pleased booking arrive . staff extremely helpful check - in , help we identify major tourist site relation hotel . hotel situate short walk Buckingham Palace , Westminster Abbey , Big Ben , Parliament ton restaurant ! ( try Bag ' Nails fish chip mash pea ! good go twice ! ) provide we map even advise bus / tube take get around town . room stay main building . across courtyard building Spa . separate entrance main hotel lavender aroma spa warm welcoming . elevator 8th floor extremely small ! fit 2 people comfortably . however , add luggage escort room ' tight squeeze ! ' sure would hysterical watch 3 grown people luggage try get tiny tiny box ! room 879 non - smoking large ! experience travel Europe encounter many room place 2 twin bed together make king . case . actual king bed lot pillow comforter bedspread . bathroom exceptionally nice , clean , hot towel rack roomy shower . room great except fact window block outdoor clock could see view courtyard . concern would recommend another room . upon departure hotel airport little disappointed help , rather lack , provide help we find efficient way airport . apparently 4 different way get airport hotel provide 2 - taxi tube . see bus stop , hour departure , advertising shuttle ½ price taxi , disappointed . need book shuttle 24 hour advance . final option get airport bus ; advise either complain manager . become rude say staff fault provide information , rather we ask right question obtain information . ' still make sense . overall , good experience would stay . wise different mean transportation ! 
 Apr 16 2008 	 Superb location 	 close Buckingham Palace St James ' Park , Crowne Plaza elegant hotel within easy walk distance St James ' tube station Victoria rail station . room large lot nice little touch - small dark chocolate , kettle tea make facility , free bottle mineral water . fitness centre good facility power shower . gripe lift seem permanent state upgrade - six month since last visit one renew service . 
 Apr 15 2008 	 Fantastic 	 stay last year mum , first time i d London night could not well . moment arrive staff fall try help . polite professional . room amazing get delux suite , like little flat within hotel complimentary fruit bowl drink get there . we not eat hotel instead go London J Sheakeys restaurant . leave restaurant , concierge prove extremely knowledgable local area everywherer need London . next day also prove worth remember name face well do previous night . even simple thing like improve stay . I would advise anyone go london stay one good hotel stay country . 
 Apr 12 2008 	 default hotel 	 place ok . that s write . nothing wrong also not anything spectacular . one night business book place since first meeting second day couple door . ' ve many Crowne Plazas one basically average . disappoint cost internet access problem many place . find location ok well would not stay meet area . prefer part town London . summary , good business hotel expect use ' ve Crowne Plazas . 
 Apr 10 2008 	 London week 	 wife stay week 2007 - January . enjoy location , close Victoria STation , walk tube station , close Waterloo etc . grow England aware get around know West end . the room clean part , issueswith bedspread . room huge american standard think adequate Europe . bathroomswere clean good condtion . ( travel living consider critique hotel ) .We visit restaurant decent term price quality . many amenity hotel , spa , exercise , concierge course meal . we stay point pay would rate average London oppose comment poor value . staff general pleasant . would stay . 
 Apr 7 2008 	 great experience ! 	 get great rate flight hotel recent trip London ( first trip ) . Crowne Plaza St. James terrific location street Buckingham Palace close St. James Underground station . buy two Oyster card travel everywhere great ease tube -- wish Undergroud Vegas ! pound strong vs. dollar , wonderful daily breakfast include extra charge . wait staff prove attentive food apparently typical english breakfast egg , sausage , potato cake , bean mushroom serve buffet style ( exactly meal Heathrow leave ) . Danish , croissant , fresh fruit , fruit salad complete meal fresh juice good coffee want . now , negative : one elevator run hotel -- big deal us week , notice long wait time weekend . room big enough two we , carpet room bit wear tattered . also , keep bathroom door close steam set fire alarm -- not happen we , hear alarm periodically stay . on plus side , bathroom large , lot marble handy feature like towel heater , 110v outlet shaver ( cell phone ) no - fog mirror . iron , iron board clothe press / butler closet safe small refrigerator . all , like stay Crowne Plaza would recommend anyone want bit space trade quite new property might like . 
 Mar 31 2008 	 absolutely wonderful experince . 	 fortunate enough able stay superb hotel 2 month whilst London business . room beautiful , decor , character make hotel stand staff . nothing much trouble . enough genuine . not fake like many hotel . thank staff Crowne Plaza St. James ! will not name name many wish thank . as rest review , 60 second walk St James tube , taxi 's right outside door charge approx . £ 5 Piccadilly Circus / Leicester Square / Covent Garden . walk Picadilly Circus crossing St James Park , Mall low regent street 15 min . 15 min walk direction take London eye , Westminster Abbey , Big Ben house Parliament . could central ? behind hotel Victoria shopping centre find Nandos , Zizzi , Wagamama , ha ha 's restaurant also Pizza Express great pub food stone throw away not fancy three restaurant within hotel . I previously stay five star Le Meridian Picadilly two class apart . highly recommend Crowne Plaza St. James . well do Thanks CP ! 
 Mar 27 2008 	 average 	 get decent deal , get King Bed Room , place ok.its location great , fair walk tube bus . decent restaurant nearby . its decor tire . 
 Mar 25 2008 	 love location ! 	 husband stay Crowne Plaza St. James week love . hotel road lead Buckingham Palace short 5 minute walk . hotel also within walking distance Big Ben , Parliament , Westminster Abbey . safe nice location . hotel staff friendly , room clean spacious european standard . marble bathroom heat towel rack . vacation package include fabulous breakfast buffet wide assortment hot cold food . St. James tube stop short distance away hotel , less 5 minute walk , make easy get around city . would definitely stay hotel ! 
 Mar 19 2008 	 nice place - good locatuion . 	 close Buckingham palace convenient City attraction , Westminster abbey , although probably good location restaurant etc ( later evening . ) nice , peaceful first impression , check staff friendly . the elavator bite short supply , yes , bedroom big - perfectly comfortable adequate . room service efficient , maintenance bit slow - 2 night leave good impession overall . 
 Mar 5 2008 	 lovely hotel tastefully decorate great staff excellent restaurant ! 	 long experience stay Crowne Plaza use restaurant , Bistro 51 Quilon . hotel tastefully decorate food delicious restaurant , Quilon offering refine Indian Cuisine town , Bistro 51 provide gastronomic varied Continental menu . the staff always helpful make experience hotel enjoyable . one fine place dine sleep London . 
 Feb 26 2008 	 great weekend break 	 stay hotel weekend break London . check quick minimal luggage leave find way room . book standard room adequate size although large . pleasant view court yard garden fountain two little balcony . room everything need clean well furnished , although general style room little date not come london stare interior hotel room . find convenient St James Park tube station Victoria Station , make get around London easy . dine hotel , find pub end road excellent breakfast £ 4.99 ! would pay top price hotel spot good deal would go . 
 Feb 25 2008 	 tear bedding ! ! ! good value 	 poor value , even London . I stay occasionally & quot ; miles & quot ; points- hotel poor value never worth pay list price . feel sorry tourist shaft hotel . room date , adequate date . big disappointment find small stain sheet two insignificant hole bed cover . WAY hole could overlook - means staff knowingly fit tear bedspread bed . say lot standard hotel . reception busy time , 8am Friday , busy evening too . after night theatre stop bar one night barman excellent entertaining kid talk cocktail make special cocktail accord request - guy great - thank . ( get bill discover 4 drink cost we nearly £ 20 though ! ) Adequate , poor value money decor linen desperately need update . get well quality linen £ 45 / night hotel guesthouse often stay London . 
 Feb 22 2008 	 fantastic room service 	 take wife birthday present watch Phantom Opera , king Deluxe apartment everything need shame stay one night could easily stay week . location excellent Buckingham Palace around corner easy walk Majesty 's Theatre Piccadilly Circus . we breakfast morning buffet style good enough quality let head home . 
 Jan 9 2008 	 hotel fantastic location 	 hotel excellent location explore site London , 10 minute walk away Buckingham Palace Hyde ParkThe room clean average standard , however reception staff excellent could not enough helpOn day arrival day departure store luggage free charge outside time do not room problem mean could spend full day explore site day cheked baggage carry roundwould definitely consider stay 
