meet 	 choose hotel Hilton Canary Wharf rank highly tripadvisor review . however , quite disappointed . hand , upon arrival midday inform room available , seem like great start stay . make request anniversary clearly completely ignore little angry . standard room quite large lovely bathroom . clean immediately notice bed quite small low . hilton around London , bed big notably much small other disappoint . another problem fan keep switch matter many time would switch throughout night , cold . usually breakfast , seated waiter / waitress immediately offer either tea coffee introduce buffet selection , however case wait getting fed eventually ask could tea . breakfast lot choice fruit / pastries/ cereal etc . however hot food look appetise . dirty plate remove table either mean limited space . overall breakfast service standard . overall , think much well hotel deserve rank particular Hilton not think would recommend probably will not return . 
 Great Hotel ... 	 stay 1 night late November find hotel high quality . arrive quite late , check extremely fast also give free upgrade executive room , great surprise . room lovely . spacious , large tv , ample storage space spotless , well equip bathroom ( excellent shower ) . view not scienic , lot construction work go , can not fault hotel , noise hear . decide go dinner breakfast package , feel work good value money , £ 50 extra . dinner Cinnamon restaurant downstair delightful , delicious come excellent service . breakfast really excellent buffet , something suit need ( breakfast cost £ 20 prebooked ) . staff extremely helpful , especially concierge , provide plently transport map , cinema time , tour intinerarie general know . location , hotel well serve transport link . South Quay DLR station 1 minute walk hotel , get almost anywhere dockland area . walk 5 minute Canary Wharf tube station , get tube directly city center , go o2 , one stop opposite direction . Canary Wharf mainly business district , also many good place shop , eat entertain . 5 minute away form hotel , Canada Square shopping center , boast many high end budget shop also large Waitrose ( grocery store ) . also ice rink outside , great fun cost £ 9pp . 5 minute away Jamie 's italian ( Jamie Oliver ) , fantastic restaurant , really modest price ( main , side , drink = approx £ 15 pp ) , aware restaurant take reservation , wait common , worth ! , wonderful time Hilton Canary Wharf . return area London , would absolutely return hotel . beautifully furbish room , excellent helpful staff , delicious food convenient location make stay memorable one . 
 Quality Hotel 	 stay order catch early flight City Airport . Hilton really well locate Canary Wharf . right next shopping area restaurant . the room well appoint comfy bed decent high pressure shower . the restaurant doubtless good one go something much modest surround area prefer . the hotel quiet great partner light sleeper . the one moan hotel breakfast order room service not turn time - v.early flight want coffee 5.30am . not even begin 6 am . however doubt would matter visitor . a good example Hilton good business traveller . 
 May 10 2009 	 Hilton Canary Wharf London 	 husband book 2 room take daughter friend O2 arena see Pink . hotel easy find ( right next south quay dockland light railway station ) ideal position stay O2 . unfortunately jubilee line make access arena hard hotel kindly sort taxi we . find reception staff friendly helpful . room spacious , clean , quiet comfortable . morning receive complementary newspaper nice touch . breakfast choice good age hotel chain . lovely hot , fresh staff yet friendly curtious . definately use hotel future . easy connect undergound station south quay station Sunday centre London within minute . use devere marriott hotel recently find hotel far superior customer relation , cleanliness value money . 
 May 10 2009 	 Brilliant 	 Great hotel - massive room compare cupboard west endvey close dlr , shop , restaurant , 02 , tubeideal 02 west endvery good breakfast , room servicemy choice next stay londonloved 
 May 2 2009 	 bad could better 	 wonderful position far chaos . essential need near one shopping center subway canary wharf . great personnel kindness . 
 May 1 2009 	 live Hilton Name 	 stay 1 night celebrate anniversary Jan 2009 . look hotel good ambience service , nice decor cleanliness top list ! easy find package UK reasonable price ! hahaWe chance upon Hilton deal £ 79 include breakfast decide try . good decision ever . dlr good transport mode link central london 15min hotel doorstep South Bank DLR station . also waterfront lovely cafe shop round corner . overall , location fantastic idyllic , relax . Canary Wharf DLR station ( 1 stop away , 10min walk ) also Tesco shopping , food u want . at check - in , upgrade compliment know anniversary . executive room fantastic , can not hear DLR 12th Floor . truly service smile address name , nice personal touch ! room need , nice toiletry bath robe ( maybe executive ? ) .Breakfast fantastic , service prompt request meet smile . Night/ early Morning view harbour beautiful , surreal .. , truly make day ! wish 1 night ! definitely come back ! good job , Hilton Canary Wharf ! 
 Apr 23 2009 	 great stay ! 	 book hotel Hilton 's website January sale price complete bargain . pay £ 60 three twin room party . later need add extra bed two room group extend eight people , problem extra charge extra children.we arrive hotel 1p.m . find room ready ( lengthy wait reception check ) also one room upgrade executive double added bonus . all room large , comfortable , quiet well equipped . ( good range toileterie , complimentary still & amp ; sparkle water etc ) plan evening theatre not eat hotel restaurant , breakfast good , fresh excellent choice dish . also wait table , consider hotel busy weekend . both reception staff concierge desk friendly helpful nothing much trouble . the location right next South Quays station DLR . five minute pleasant walk Canary Wharf shopping complex 15 minute walk River Stop Thames Clippers . ( incidentally , great way see London get around - discount River Roamer ticket hold London Transport Travelcard . think work £ 5.75 adult unlimited travel ticket & amp ; £ 3.75 child ticket ) - great hotel , good location - particularly visit O2 London Docklands , 
 Apr 19 2009 	 nice ! ! 	 stay Hilton Canary Wharf could well . nice , cean big room . professional polite staff . super reate GBP109 include nice breakfast . 
 Apr 11 2009 	 Hilton Sale Good - Shame Prohibition Executive Lounge 	 bit long one , will try let know everything need know go there . price ... Hilton half price sale treat , 99 GBP per night , per person . this price executive room weekend 2 people . ( one tip check lastminute.com tend good price despite Hilton say full ) . location ... Hilton say situate Canary Wharf ... get DLR ( Docklands Light Railway -its free use underground pass ) get DLR South Quay . DLR South Quay railway right next door hotel . take 8 minute get Greenwich direction 15 minute get Covent Garden / London Kings Cross . the Check InWe go desk downstairs midday despite check 3 pm . thankfully room ready sign document downstairs send upstairs executive lounge priority check . executive lounge , floor 14 , show around lounge privlage explain we ( break English ) . * room deposit warning & lt ; one thing need point , need take 100gbp deposit room room service take anything mini bar . not credit card money take debit card . tight budget 100 earmark spend London effect 100 GBP . tell would credit bank account check , however take 48 hour reach account & gt ; roomWe room 1308 . twin room , small lcd tv , read lamp , main light , comfortable seating , office area also view dockland river leave . mini bar , tea coffee make facility ( teapot ! ) . bathroom sink , bath seperate shower , lot Crabtree Evelyn toilterie . white towel provide aswell waffle dressing gown slipper . every evening bed turn , new dressing gown place bed along side slipper floor chocolate pillow . also sparkle still water complimentary also . comfortable bed , pillow bit soft . room hear sound nearby DLR . ( compare bedroom downstairs , double double slighly large well view dockland river . bed also scatter cushion 1217 . ) Room Service & lt ; price 3.50 GBP per room service & gt ; decide order room service , anti - pasta chinese / Thai soup . husband want egg stir soup kitchen team fine . unfortunately order arrive recieve penne pasta anti - pasta . call explain . head chef call we back apologise , give we free glass white wine make new anti - pasta plate within 10 minute . would prefer bread anti - pasta like bread . food serve delicious catering team accomodate request . wait staff professional also come room & lt ; not look agast state be - we be messy ! & gt ; Executive loungeOur room include breakfast lounge Cinnamon restaurant downstairs . take downstairs . executive lounge free computer wifi . aswell comfortable chair dining area . day soft drink tea / coffee biscuit available . 3 - 5pm afternoon tea put out- one two different sandwich 2 different cake aswell dry fruit nut . scone however . soft drink tea / coffee/ hot chocolate . between 6 - 9pm alcoholic drink available free charge ( time available ) crisp , olive , nuts , dry fruit set also . I would prefer alcholic drink available majority day executive lounge . also possibly comfortable seat area four sofas whole room . the executive lounge team accomodate bring two guest late afternoon meeting . throughly look we , clear table top teapot ! BreakfastOur breakfast include price eat downstairs . arrive breakfast show table bring tea coffee well orange juice . vast buffet ... sausage , black pudding , haggis , scramble egg , fry egg , bacon , bean , tomato , waffle . cold meat , smoke salmon smoke makeral , smoothie , three different yogurt type , meusli granola bread , croissant , danish pastry , muffin , fresh fruit mango , pawpaw , melon , orange , fruit compote , strawberry . five different cereal five different fruit juice . think Hilton claim 150 item breakfast buffet , not count enough satisfy majority appetite business , leisure , low fat , child special occasion . there also menu could order want something cook order include kipper , porridge , poach egg , waffle eggy bread . we go 8 am morning not feel rush 10 - 20 guest . although Sunday hotel advise go early busy 8.30 10 am . GymWe use gym / sauna steam room . want use , tell reception check key activate . business CentreThe hotel business centre computer / fax machine available avaible floor 1.close ByWithin 5 - 10 minute walk fantastic dim sum / chinese restaurant call Lotus float Chinese Restaurant ( google ) , set lunch Mon - Fri 11 GBP include platter various starter , main course dessert . there also eatery include Cafe Rouge Wagamamas close . dlr doorstep get area London quickly easily although obviously not go rush hour . day pass DLR tube 5 GBP zone 1 2 great value explore London budget . if spare time visit be foodie , go Borough Market open Thurs , Fri , Sat -London Bridge Station tube . fantastic organic specilist foodsit good stay concierge informative local area . location good away fast pase city . thing make mark hotel 100 GBP deposit alcholic drink available certain time lounge poor selection food executive lounge . if Hilton sale back , would definately book hotel indeed Hilton hotel . 
 Apr 10 2009 	 Fine Hotel 	 stay long weekend , feel - good factor begin end . welcome service good . great breakfast , special need problem , helpful . sorry leave really ! would wrong comment value , special rate place . location bit way , closeby dlr provide frequent transport . 
 Apr 8 2009 	 great Choice ! 	 stay late March / early April . receive Executive Floor accomodation & amp ; lounge privilege Hilton Honors Gold member . service extraordinary ; even greet name enter lounge day . hotel locate outside busy London center , easy commute Jubilee Line Underground . DLR ( light rail ) right outside , handy easy trip Greenwich . pleasure return busy day . lot shop across footbridge underground mall . special thank Mr. Emerson , Manager , hospitality care nature . concierge helpful ; need assistance , ask Robin suggestion ; be terrific ! ! 
 Apr 2 2009 	 good hotel London : executive room good tip ever ! 	 back romantic getaway weekend London hotel . book 50 % discount january , even normal rate hotel worth every penny ! upgrade free charge deluxe room pay 30 GBP per night upgrade executive room . bot room big bathroom , also get acce executive lounge , real gem ! room : room extremely spacious London standard ! cosy king size bed , free coffee tea make facility , slipper robe , minibar , room service menu , free newspaper en free bottle water every day . also turn service night . lounge : thi real plus side : lounge serve breakfast also snack drink free ! well worth upgrade fee ! day biscuit cookie , fruit could make coffe tea grab fridge soda . around 3 pm , make high Tea sanwiche cake . 6 pm put hot snack , cold snack , cheese cracker , potatoe chip , fruit nut . evening also alcoholic beverage could pick , example Corona , beer , wine , liqour . apart free drink bite , love spending time lounge coziness , quietness awesome view London , especially nice evening . now , people spend every minute , lounge might worht ( close pretty early weekend , 9 pm ) like we , like spend time hotel , relax lounging , must ! location : Canary Wharf come . sure , 15 - 20 minute dlr ride Bank South Quay , go via underground , nice area . O2 , also area nice . visit mall near hotel , terrace South India Quays , stroll alongside water , wtach hustle bustle financial London . great indian restaurant alongside hotel . lot nice restaurant neighborhood . : great clubber maybe consider centrally locate . the hotel really 5 min walk underground , ask porter / concierge , tell walk easily . want , dlr station NEXT hotel , even close . STAFF : also real 5 star experience ! staff hotel friendly extremely helpfull . concierge guy downstairs always happy help , give tip , draw map go , arrange taxi etc . lounge also staff member go way we . furthermore : breakfast far elaborate . could even order stuff , order pancake nice freshly make we . convenient system place people pick healthy low sodium , low cholestorol option etc . fitness business facility use , look good . overall hotel spotless nice , airy roomy . I really find anything wrong hotel , keep mind big party people mind public transport get fro city . question , feel free mail . 
 Mar 29 2009 	 Nice hotel probably suit business pleasure 	 stay 1 night whilst attend concert O2 . book hotel via lastminute get good rate . upon arrival , inform Hilton carpark full , would need park road another hotel . car park less 5min walk , charge £ 21 overnight stay ! check smooth , advise breakfast include , strange consider not pay confirmation email mention nothing . upon try get breakfast next day , advise breakfast not include , one could explain have tell . needless say , not willing shell £ 20 bacon & amp ; egg ! location near Canary Wharf , week might ok , weekend 's be dead around . happen banker might like , weekend away holiday London would look central . 
 Mar 27 2009 	 Great Hotel 	 family stay one night coincide trip infamous Ivy Restaurant . hotel look new trendy , luxurious , clean practical . 20 minute taxi ride Central London also nice quite location . minute ' walk great amenity Canary Warf area i.e . : bar , restaurant shop . check great , complete within two minute . room usual Hilton great standard . bar also good , even though ' pricey ( expect 's Hilton London ' Business district ) drink fine quality staff well train friendly . Breakfast also good everything would want continental English Breakfasts . conclusion good hotel situate outside central London cater well business people people seek visit central London . 
 Mar 25 2009 	 boringly average - expensive 	 stay five night early March 09 . travel agent quote 159pounds check 249 pound chase quote Hilton Dockland Canary Wharf accidently book Hilton Canary Wharf - not happy . stay exec floor lounge good ( Anand amazing desk ) think lounge mean drink normal force get value come back hotel every night rather explore . wireless expensive room free lounge think people could go lounge level sit chair outside lounge download email free ! find room ' vanilla ' boring - normal four star wih soul . want safe plain four star hotel fine would try Hilton Docklands next time . 
 Mar 22 2009 	 modern spacious comfortable London 's business district Canary Wharf . 	 hotel : modern comfortable business skyscraper hotel heart Canary Wharf area . mid - size lobby expand back hotel restaurant area . overall , great top quality modern hotel comfortable stay visit London . particularly great get great rate non - business date prefer comfort space & quot ; history charm & quot ; London be old , british , hotel option . ( great , different way ) room : spacious , modern comfortable . sit area room top quality linen , interior bathroom . big plate - glass window overlook Thames ( rather industrial / business neighborhood ) .location : Canary Wharf business area , neighborhood quite deserted non - business hour . stay , Easter weekend 2008 , find neighborhood empty hotel partly full . however , not detract stay , transportation throughout London easy use DLR rail , Tube , taxi even nighbus lively neighborhood Central London . breakfast : wonderful , large breakfast include staple british breakfast ( bean , ham , hard - boil egg , etc ) , american breakfast ( scramble egg , bacon , sausage , etc ) , pastrie french breakfast fruit juice grain bread health - conscious breakfast . staff : Professional , friendly outgoing . transportation : easy , dlr rail stop directly outside whisk popular neighborhood central London 10 - 20min . nightbus back bar SoHo easy , cheap fast , drop hundred meter hotel . taxi easy , well . 
 Mar 20 2009 	 boringly average 	 give location property would expect excel would not imagine receive huge amount pass trade weekend . stay Saturday night large table book restaurant . table large section restaurant honestly say food service nothing special . service incredibly slow order arrive come without side dish potato vegetable waiter never offer we . could easily mention something . really do not mind spend good money quality food service neither . bill excess £ 400 drink maybe see point ! bedroom remainder facility typically Hilton average . good location - directly outside tube station reception staff fairly friendly helpful . 
 Mar 11 2009 	 nice quiet location London 	 stay Hilton Canary Wharf Valentines Day girlfriend . get Underground Canary Wharf ok . maintenance work do Underground line mean bit tricky . get northern line take we grasp get bearing fine . would easy metropolitan line maintenance work . you walk shop precinct Canary Wharf underground stop get hotel ; exit hotel paper chase . cross bridge Thames hotel leave . entrance modern clean . arrive hotel around 1 , check - in 4 apprehensive ok check - in . reception say room ready get card head eighth floor . room spacious nice bathroom . take we figure turn tap right bath work turn leave shower come . went shop precinct check dinner one café ' plenty shop go need . also Krispy Kreme donut shop well worth trip especially apple cinnamon flavour . book see Lion King evening change head back underground 15 minute arrive stop painless . there flat screen tv room handy ' wait girlfriend get ready . also write desk chair relax . hotel also include breakfast full fry , cereal , fruit tea , coffee etc . would recommend hotel anyone want easy access central London without stay hustle bustle city centre . also see O2 arena hotel good location event there . I stay hotel next time go see show event O2 would recommend anyone . 
 Mar 10 2009 	 Perfect O2 ! ! ! 	 stay Hilton Canary Wharf recently go Il Divo concert O2 . arrive bit check time room not ready yet able check anyway leave bag concierge go central london sight seeing . room comfortable , wireless internet though not computer use wire connection would quite pricy use . not room service eat hotel can not comment go bar quite nice bit quiet . breakfast usual Hilton hotel really good filling also fact not feel hungry later day . slightly negative thing happen happen breakfast go back room key card would not work go reception get look lady reception look card moment ask ID annoy slightly amusing time everything hotel room not able get fix card able get back room . great stay location perfect anyone want go concert O2 . 
 Mar 7 2009 	 Nice Modern Hilton 	 stay overnight whilst attend concert O2 - hotel 's couple minute walk Canary Wharf Tube station O2 's one stop away underground . the Hotel nice modern staff pleasant helpful . one downside lack parking ( 20 something space charge £ 15 per night ) full advise park street opposite ( luckily find space free ) use International Hotel 5 minute walk along street £ 20 per night . if get Executive Room get access lounge get drink light snack evening 11 pm great breakfast selection ( well hotel restaurant ) morning . 
 Mar 4 2009 	 Fantastic Hotel - Great room great location ! 	 stay Hilton Canary Wharf night begin MArch quite simply say one , good hotel stay within UK . pay approximately £ 80 room whcih amongst one cheap London . initially concerned fact hotel little way , travel thee 15 minute away London Waterloo Jubilee line . the area surround hotel remind alot La Defense area Paris . building stunning , especially light night river run middle . large plush shopping centre adjacent Canary Wahrf station many restaurant , pizzeria bar within immediate vicinity . upon arrival hotel , see immediately reception staff pleasant , hepful courteous throughout . give keycard room third floor make way one three lift . adjacent reception area restaurant modern , spacious look extremely nice ! room airy , bright , clean modern . upon enter , bathroom leave complete complimentary towel , shower accessory even scale ! ! bedroom brilliant , well photo site ! widescreen freeview tv , free tea , coffee water well option room service breakfast follow day . both girlfriend extremely impressed hotel agree high quality . would recommend hotel people age due fantastic location top quality room . one little tip area , take short trip North Greenwich visit O2 catch Thames Clipper boat back Central London - fantastic way see sights river bargain price ! ! 
 Mar 1 2009 	 solid four star hotel 	 difference compare Hilton Olympia ! get really nice , spacious room little extra perk Olympia -- like free newspaper morning complimentary water bottle room . nothing huge , little extra touch go long way . my complaint might area businessy tourist ( Kensington despite overly touristy least pretty / classy nice shop ) tube DLR far easy get city . mall nearby , nice bonus -- easy breakfast hopping tube . would definitely stay ! 
 Feb 22 2009 	 Excellent hotel complaint 	 one well Hilton 's stay . room wonderful staff helpful . love Executive lounge . lady friendly breakfast evening snack perfect . Dockland Light Rail right next hotel give ready access tube system . definitely back come London via London City Airport trip . 
 Feb 16 2009 	 good hotel I ve stay ! ! ! 	 ok , start say stay hotel quite lot ( 8 time 2008 ) , reason nearest & quot ; perfection & quot ; get price , staff friendly professional , also concierge bend backwards help ( must mention & quot ; Ben & quot ; , always seem duty , truly nice bloke extremely professional ! ) weekend Jan 31st decide take girlfriend London birthday , special occasion try book & quot ; junior suite & quot ; executive lounge access get amazing £ 96 via expidia.com , COULDNT BELEVE LUCK , Saturday arrive park car secure underground car - park ( £ 15 ) proceed check -in whisk top floor private check -in Hilton honour guest .... show suite great , huge bed , nice decor spotlessly clean arrive 10 am trouble wait 3 pm check time , ( love ! ) .Went west end lunch back time afternoon tea lounge , niceafter good workout sauna gym ( great facility ) , retire lounge beer snack , really like free view London night great treat we like royalty.after walk along quayside retire bed , comfy sleep well.i early could get hour gym breakfast , lay coffee newspaper ( deliver early hook outside door ) .we breakfast 10 am wait wile table always worth wait fantastic ! ! ! , endless supply choice ! check swift quick . picky would say sauna steam room could bit hot thing could find , yet another great memorable weekend Hilton , back soon ! , 
 Feb 15 2009 	 top class hotel ! 	 partner stay hear valentine day night executive room . room large spotless mod con would want include separate walk shower . also nice touch like free slipper , mineral water , chocolate large amount toiletry . make stay extra special executive lounge , day free soft drink sandwich & amp ; cake evening free bar hot snack ! well worth money think much hotel London charge drink usually ! also breakfast take lounge witch mean avoid crowd want ! definitely back ! location perfect o2 anyone want near city airport canary wharf . want central London may want look else althow dlr station right outside hotel take city 
 Feb 15 2009 	 great hotel 	 stay hotel concert 02 impressed . reception welcome efficient . room great , large nicely decorate good view Canary Wharf . location wise hotel right next door DLR handy get London 02.the slight grumble breakfast wait seat choice vegetarian hot food limit . overall would definitely recommend hotel . 
 Feb 14 2009 	 one good hotel London Quality Price 	 Boyfriend stay hotel Friday 13th February . easy find ( build next DLR South Quays Canery Wharf , go bridge ) .We stay Junior Suite get 50 % bargain expedia . cost £ 98 inc Breakfast + Executive lounge Access , Spa & amp ; Gym . when get room pleasantly surprised . room 606 spacious , small living area huge King Bed . nice big bathroom seperate bath shower . everything could want inc Slippers robe . 14th Floor Executive Lounge stunning view Canary Wharf etc . free use internet light snack refreshment etc buffet style free ! fault hotel location , easy get central london tube DLR access . mention shop restaurant doorstep Canary Wharf . Breakfast 7 - 11am buffet style full English plus everything else not fond fry egg seriously slight thing be not ecstatic that s really complaint either , like fry egg medium well do whatever . staff lovely helpful cheerful friendly . someone check we Friday evening see need refreshment replenish new towel etc , free newspaper hang outside door morning tea / coffee make facility etc . total bargain infact feel bit guilty probably pay ! ! anyone ever fall like ? ? ? ? definately come , Junior suite long be still bargain price ! 
 Feb 9 2009 	 lovely hotel 	 husband stay overnight go O2 Saturday evening . book hotel 50 % deal get good bargain feel . De Luxe room 2 breakfast £ 70 . bad going ! drive Sussex , time arrive Hilton car park full , park Britannia hotel next door ( minute walk ) . £ 21 24 hour .... still work cheap come train . the room fine , good size , comfy bed , good sized bathroom toiletry , numerous towel even face cloth . loved iron ironing board room . breakfast hotel brilliant . really wide choice suitable taste . look mini bar price decide indulge . warn - fridge automatic open even move something , would register bill ! could turn expensive thought ! however , would say really good place stay , particularly O2 , even get London close . great deal price pay , would hesitate pay full price - hotel bad way purely pay sort price one night seem bit much ! get good deal , would recommend stay . staff friendly everything comfortable . 
 Feb 9 2009 	 Great Hotel 	 good Hilton ' stay - include 5 * option available ... make difference hotel staff , everyone come across helpful friendly . we executive room 14th floor , well appoint access lounge add bonus . little worried dockland light railway noise noticeable room , could extra glass wine - sleep soundly ! ! ! buffet breakfast one well one 's service good . the fault find water pressure poor , take 20 minute run bath , great time . 
 Jan 27 2009 	 Beautiful Hotel 	 love stay Hilton Canary Wharf . room date / modern . hotel great location tube station nearby . dinner hotel high standard staff friendly attentive . drink usual Hilton Hotels expensive norm expect . breakfast nice keep we go day dinner evening . I would definately stay hotel however many hotel choose London may return hurry . 
 Jan 26 2009 	 Faultless 	 stay Hilton Canary Wharf one night January ' 09 , wonderful stay . hotel clean , modern well finish . staff friendly , check - in take 2 minute . hotel location perfect , Canary Wharf tube station 2 min walk away . our room ( 414 ) standard room , huge ! large double bed , LCD TV , dark wood furnishing , spotless . bathroom also excellent size clean . consider hotel stay London , fault Hilton . immaculate hotel , spacious room , £ 75 including breakfast . without question return hotel next visit London . 
 Jan 25 2009 	 Good Hotel 	 Hi , stay fantastic half price rate £ 60 include breakfast Friday night - also able secure room rate Saturday night . first room 14th floor ( top floor hotel ) also executive floor ( husband gold card holder ) pleasantly surprise ' upgrade ' give half price room rate pay . if come DLR good stop get South Quay see hotel station although Canary Wharf station literally 5 minute walk hotel . our room clean modern great view however tuck bed soon hear sound DLR train run frequently ! hate think noise low floor ask next morning could move room do without fuss second room much quieter . tip would recommend ask ' odd ' numbered room face away DLR station ( first room 1414 ) .All staff pleasant helpful executive lounge offer good selection snack drink . breakfast good huge selection attentive waiting staff . we would return flash ( especially half price room rate ! ) would hestiate recommend hotel friend family . 
 Jan 20 2009 	 comfortable hotel 	 Arrival tube : Exit Canary Wharf underground ( Bank St ) - go Jubilee Place ( foyer underground shopping mall ) footbridge - turn left , first right - hotel entrance leave . generally complaint - contemporary furnishing - large room 7th Floor - clean - really comfortable bed pillow - attentive staff . plenty choice breakfast - queue table 5/10 min Sunday morning peak time . would definitely stay - good base Excel / O2 . 
 Jan 19 2009 	 Faultless bargain .... 	 Hilton half price promotion time football team play Arsenal FA cup . book line get twin room £ 60 - include breakfast ! ! set Devon dark o'clock get hotel 1015 . although know could not check till 1500 - want ensure mate car park underground car park . already e - mail plan prompt reply car parking premium hotel , £ 15 per night first come first serve basis . thought would get early , nab space , drop bag return game check . receptionist confirm parking space car - brilliant , phew , worry , say would like check ? yes please ! ! check , put car safe underground car park room foot watch popular football programme 1030 - brilliant ! room clean modern view onto Thames . not get chance sample fitness suite sauna drown sorrow 's game mighty green lose 3- 1 not feel mood physical activity . couple next door wake 0200 clearly physical activity - feine - either way , noisy . breakfast excellent - cereal , fresh fruit , pastry full english hangover cure I . the couple next door room service . 
 Dec 22 2008 	 great place stay evening O2 	 stay Hilton Canary Wharf go gig O2 arena , save long schlep home afterwards . could not well purpose . single stop tube North Greenwich Canary Wharf , short walk hotel ( not try walk round road - turn leave Canary Wharf tube station , walk ahead straight foyer build front . footbridge , turn left , will soon see hotel entrance , right ) ' m pretty sure upgrade high standard room book , appear give deluxe room , book standard double . get good rate , pay advance time booking , add bonus . Staff helpful , appear genuinely friendly enthusiastic . room spacious new - look , comfortable bed . en - suite spotless shower good . breakfast , particular , excellent . vast array food buffet , good choice hot cold item plenty extra little bit like seed sprinkle muesli , bowl yoghurt fruit , etc . all , excellent night 's stay would wholeheartedly recommend place anyone else look somewhere stay close O2 . 
 Dec 9 2008 	 Give try . you disappoint . 	 closeness O2 Arena main criterion choose Hilton Canary Wharf base weekend visit London tick box we . short walk modern Underground Station shopping mall contain top end retail outlet . Central London 10 15 minute away . our room executive double large british standard bath , shower , flat screen T.V.and big , comfortable bed . we dine hotel experience extremely positive good food wine .All member staff smart , welcome efficient credit Hilton Group . try hotel . you disappoint . 
 Nov 23 2008 	 comfortable well situated hotel 	 ( couple ) stay hotel 3 night holiday , find comfortable . book standard Guest room , arrival get upgrade executive room 13th floor . room immaculately clean spacious , view Isle Dogs towards Thames . huge bed comfortable , bathroom one large see hotel room . each evening come back find room clean , make , little touch like soft light , background music playing , chocolate leave . breakfast include room deal , choice cover anything could want – 2 self - service buffet either cook english style ( bacon , sausage , egg , mushroom … ) continental style ( cold meat , fruit salad , croissant , cheese … ) . also good choice cereal bread . bar average price city hotel good choice cocktail snack . ' use restaurant ( nearby place cheap ) menu look good . bar area open plan minimalist , big comfy sofas – pleasant . as location , hotel centre London , east modern financial district . min walk tube station ( Jubilee line – take 15 min South Bank ) , 15 min walk river taxi ( excellent method get London Embankment across Greenwich ) . seemingly endless amount shop , fast food outlet , cafe nearby ( underground ) shopping mall , weekday mix London ' financial whizz kid Canary Wharf building . overlook eat small array restaurant along water ' edge Westferry Circus ( river taxi stop ) – especially nice night see light City building reflect water . whole area feel incredibly safe night quiet constantly patrol private security staff . if anything negative say hotel locate right beside Docklands Light Railway ( DLR ) station ( South Quay ) – real boon ' want walk anywhere , slightly annoying noise train start early morning – imagine could problem room low floor face elevated line , we ' really noticeable . staff ' helpful , right check - in desk room cleaner . whenever encounter member staff smile offer provide assistance ( contrast hotel ' stay business ) .I would definitely recommend hotel anyone want visit London comfort , also want slightly city ( noise safety ) . 
 Nov 3 2008 	 Superb Hotel Location 	 stay executive room ( 1201 ) lovely view Thames & amp ; London 's famous building include Tower Bridge & amp ; London Eye . room spacious & amp ; quiet & amp ; large bed extremely comfortable . we access Executive lounge allow we complimentary drink & amp ; food include tea , coffee , cake , alcohol & amp ; hot & amp ; cold nibble . the hotel 5 minute walk tube station Canary Wharf ( Jubilee Line & amp ; DLR ) & amp ; 20 minute trip central London . actually travel central London along Thames via clipper cost £ 10 2 we & amp ; locate 10 minute walk hotel & amp ; drop Embankment & amp ; close tourist attraction . as part package dinner include first night & amp ; plenty choice La Carte menu . food restaurant standard & amp ; 20th wedding anniversary hotel include complimentary bottle wine meal ( well cheap bottle £ 25 normally ) .The staff efficient & amp ; make feel welcome & amp ; management team make sure particularly well look after . we would certainly return hotel next visit London . 
 Oct 25 2008 	 Excellent Hotel make well staff 	 stay hotel 4 night . diamond Hhonors member , upgrade Executive Floor . ask could upgrade Junior Suite offer £ 20 + tax per night . however , room ready check 4 pm , offer waive charge full 4 night without even ask ! Junior Suite spacious , seperate bath shower complimentary mineral water refresh daily . Executive Lounge superb full free bar open 6 pm 10 pm daily . breakfast also good selection hot cold dish . the thing stand hotel staff . address name always smile offer help . hesitate return hotel future . 
 Oct 20 2008 	 absolutely ideal location Canary wharf 	 stay Hilton one night . upon check - in instantly upgrade exec room , thank Hilton Honors Gold Card ! room extremely well present furnise wonderful view 14th floor . free water chocolate nice touch . bathroom spacious shower cubicle bath . fresh oriental lillie nice touch ! exe lounge nothing special nice view extremely good service . breakfast rather basic probably well take main restaurant . hotel within walk distance mall Canary Wharf 5 min walk footbridge . definately stay ! 
 Oct 12 2008 	 great hotel friendly attentive staff 	 Hilton hotel great room , clean spacious . staff friendly make feel welcome . breakfast one well ever get , large buffet cook willing make whatever want . disadvantage hotel location : need Docklands business great . visit tourist consider take another hotel area quiet night . ( however , Jubilee line 20 min Covent Garden ) 
 Oct 2 2008 	 still good bet ! 	 enjoy good week - end Hilton London Canary Wharf still good bet ! room spacious modern , Executive Lounge good free internet , free drink canape evening modern feel throughout good bar area serve appetise food . little way centre nothing put . staff unfailingly pleasant overall , great value London look forward return November week - end stay . easy use Jubilee Line London DLR train day travel pass get everywhere . overall , great hotel consistently praise Tripadvisor poster , justifiably . 
