Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Jun 9 2009 	 convinient spartan 	 stay 4 night towards end may . 3rd world country do not really high expectation like brit . true95 pound rack rate doublefirst night get stick small dinghy room attic separate elevator 7th floor . scary elevator , horrible room feel like servant quarters.it single convert double . barely room stand . avoid floor cost . get card key know cause floor room key old fashioned one rod end ... weird efficient system.the staff nonchalant ( one even rude ) plight . repeat highly agitated complaint shift fifth floor.this room OKish , basic.there seedy hotel ( celtic ) opposite nigt club keep window closed mean climate control.1 min walk tube convinient location . direct piccadily line heathrow.basic breakfast eat leave ... long line weekend remind school lunch.stay imperial joint property . put 10 pound extra well worth . much big room well view kinda noisy keep mind.ultimately basic stay do not high expectation . whole day big problem us.btw get play ticket online theater . do not go tout . get rip get horrible seat right top pay one middle . 
 Jun 9 2009 	 gharda 	 terrible hotel terrible staff tiny room , poor linen mostly non - english speaking staff ! ! ! mess . 
 Jun 9 2009 	 low expectation 	 first : LOVE LONDON . fantastic time second time ' ve visit great city . hotel ... low average . pro : good location , fair breakfast ( pay extra English one ) , hot water time ( ' ve enjoy many bath ) , friendly staff . con : room view ( awful ) , terrible check - in experience ( english manager anymore ? - ask time & quot ; breakfast & quot ; guy tell we something & quot ; bedfak & quot ; ( uk ) know mean ha ! - could not stop laugh ) freak key ever accompany anticleptic rod big spear . could definitely kill someone thing ! oldish hotel general ... 
 Jun 9 2009 	 get pay 	 stay 2 night find hotel adequate . room clean , breakfast good share table stranger . noisy position ( traffic ) would ask different bedroom stay ( probably ) . good thing position , 15 min walk Oxford St & amp ; theatre . Book in / out efficient staff pleasant . Americans complain ........... small room much luxury ..... get use ! ! ! 
 Jun 2 2009 	 terrible choice 	 ghastly outdated hotel . poor room awful service 
 May 31 2009 	 excellent location friendly staff 	 stay President Hotel May 11 May 21 please everything . room clean bed comfortable . staff friendly especially porter . english Breakfast everyday staff efficient breakfast room . location hotel excellent , 2 minute away Russell Square tube station . single woman travel alone , location ideal . wonderful time London certainly stay President Hotel next trip . 
 may 26 2009 	 run autopilot 	 hotel seem run autopilot : manager superviser oversee front desk staff consider comfort satisfaction guest . return hotel night power outage . unaware outage surprise see elevator ( ' lift ' ) 7th floor not work . sign elevator front desk . climb stair . morning , suddently water bathroom . explanation not warn advance . staff front desk assure we would get water 15 - 20 minute . fact , not know would happen . needless say , greatly inconvenience . otherwise , water , shower good pressure able get additional towel clean personnel . however , hot water faucet sink water throughout stay . not work . in dining room , breakfast supply run even early hour . , obvious one care guest satisfaction . the good thing hotel location relatively inexpensive rate . 
 May 25 2009 	 tough stay ... 	 President Hotel , Russell Square , great location ... around corner Russell Square tube station . end , , unfortunately , advantage could see stay . book prepaid stay 3 night . room small ( not need much space ) air conditioning . bathroom 2 bath towel , face towel wash cloth provide . tv old , remote control visible way adjust volume manually . first night , return hotel find electricity go entire hotel ! climb 7th floor stairwell , even emergency generator lighting . next morning , awoke find light back . , run water entire hotel . staff profusely apologize - certainly not fault - 500 + room , lot guest inconvenience . housekeeping neglect replenish towel bathmat bring quick phone call . third night considerably well infrastructure place . continental breakfast meager . hotel basic , good . 
 may 25 2009 	 short Stay thankfully 	 last minute selection original holiday book coach firm Germany cancel due poor booking response . the holiday 80th birthday gift mother never visit London book trip . to fair book travel agent bargain break , however time take single room suplement account be not much bargain . the hotel idealy situate Russell Square state travel - rep less 5 minute walk tube . I would recomend eat hotel breakfast fair good . the room stale tobacco smell little off - putting tidy . on one evening Electricty mean walk six flight stair mean acheivement 80 year old lady.another time water turn . 
 may 15 2009 	 convenient location comfortable room 	 stay President Hotel week May , 2009 first trip see London . location good , turn leave exit tube station follow Herbrand Street ' get right hotel entrance . numerous bus stop Russell Square Southampton Row major route . British Museum short walk away . on check - in give keycard not work receptionist promptly replace regular key room . complain whole stay . online booking include offer free dinner carver restaurant first night . since arrive late ask receptionist change offer second night agree . dinner great ! room clean , bath shower functional double bed comfortable . hairdryer kettle tea / coffee pack replenish daily . power socket adapter ( european plug ) borrow reception 2 pound deposit . english breakfast ok , boring , ' menu every day . choice limited , fresh fruit / vegetable cake / tart . overall good value money . ' expect anything Ritz style ' disappoint . note free wi - Fi connection work lobby , room . 
 May 12 2009 	 good location -less satisfactory experience 	 give room week University London work . location work London explore excellent . however service hotel aesthetic less satisfactory , would never pay stay President unless desperate could not find anything else well price range . experience hotel right : husband say eat English breakfast third day , feel bad . think cold cereal choice fine make . however , yesterday housekeeper vacuum clean long hose across entrance pack breakfast room . although thought take big , high step , high enough , fall floor . Housekeeper seek breakfast tell fault since tell vacuum . seem would nice someone hotel could apologize . know well expect . check , woman behind desk give key wrong room . open closet see someone else 's clothe inside . report someone else room , apology . give another key normal give key another person 's occupy room . today cut phone call , ask credit not pay 1 pound local mobile home call per minute , told & quot ; absolutely not . & quot ; request toilet paper paper pen room write message . dry clean laundry cost extremely expensive . go daily basis . one exception indifference customer service bell man behind front counter . part , polite helpful . maybe spoil live Hawaii people work tourist industry take pride give visitor service . can not imagine people work train serve customer . okay , must admit location fabulous . check La Stada restaurant near - by Brunswick Shopping Center . much see close . decide go : put indifference service , uninspired surrounding , crowd people eat lousy breakfast ? worth affordable room great location London ? really not care sleep , stay . ... maybe well pay bit nearby Russell Hotel . 
 may 10 2009 	 Pleasant stay 	 stay property 3 day visit London . room simple comfortable bathroom ok . internet free ( wifi ) bring cord connect ( alternatively , may get free cable deposit ) . english breakfast correct . great place near center London meter away British Museum King 's Cross station . 
 May 10 2009 	 nice room - food awful 	 stay recently book see show . think would within walking distance not . however , bedroom nice , clean comfortable food awful would return . 
 May 3 2009 	 Great Location Clean 	 daughter stay President three night . find room adequate size clean . bed comfortable . inconvenience go housekeeping put deposit borrow hair dryer . english breakfast uninspire . would love see kind fresh fruit . , would stay . location convenient -we even walk home one evening show . Close Barclay 's , post office , several chain restaurant like Pret , Subway , Pizza Hut . 
 Apr 30 2009 	 Nice 	 stay hotel easter weekend . previously stay imperial hotel , think would good choice . Location ok , russell square 20 min walk theatre . hotel clean tidy , however breakfast be not good . the complaint would say room outside room office cleaner etc would work . cause noise complain about . would recommend cheap break . 
 Apr 26 2009 	 bad Hotel London 	 stay many hotel London . one small staff rude . knock door 8 be clean room . never & quot ; privacy please & quot ; hanger door . every clean lady knock early Sunday morning . complain one hall way mean blame guest noise ? ? ? ? ? ? bed horrible . barely enough room turn around room . breakfast worst . sit table many sit . stain everywhere . think joke . really seat mess sauce white table cloth ? ? would never go even free someone pay . 
 Apr 23 2009 	 great stay 	 husband stay two night April . hotel great location two minute walk Russell Square Station . also 15 minute walk Oxford Street , main shopping street . room double room , little small , clean comfortable . room hairdryer ( room ) could pay £ 10 deposit house keeping service borrow one . room kettle complementary teabag / coffee . tesco around corner buy extra teabag milk ( although fridge room ) small flat screen tv trouser press ! full english breakfast consist poach egg , bacon , sausage , toast , bean , could also choose cereal fruit . quite nice . carvery meal first night choice three meat , pork , lamb beef . include hotel package may little expensive pay . staff service adequate . friendly need anything , ask . one side hotel little noisy . room back hotel pretty quiet ! room double glazing . bathroom small . sink , toilet shower bath . towel provide small would suggest take ! shower look like large metal pole fix wall . water hot take little time adjust shower right temperature . room key lage metal rod could not put pocket lose ! hand key reception go . overall pleasant stay hotel would definately stay . 
 Apr 20 2009 	 well locate 	 select hotel proximity work place close russel square station . budget hotel . 
 Apr 15 2009 	 decent 3 - star hotel 	 stay hotel business trip 4 night . location : hotel close Russell Square tube station minute walk away . also lot bus pass hotel . location fault convenient travel hotel place London . ROOM : room small basic furnishing . room clean modern . toilet small shower tiny glass box next toilet seat . television small . kettle boil water room . service : receptionist staff meet aloof yet service whole efficient . facility : apart shop , not facility speak . hotel next Imperial Hotel , seem grander . free wifi Imperial Hotel lobby . breakfast : extremely basic . 's London one expect ? overall , hotel value money pay 3 star hotel expect . 
 Apr 14 2009 	 impress 	 telephone beforehand ask possibility hire wheelchair somewhere area elderly relative transfer three different people . finally speak someone reception state need porter , would speak come back state sorted . leave name time arrival tell would problem . however , upon check hotel tell reception something . really feel fobbed . late hire one weekend spoil could thing plan . eat hotel early dinner pre - theatre worth money charge . meat tough , frozen vegetable appetising . next morning breakfast like cattle market . not get early sit anywhere . table clear immediately consist wipe away crumb make previous occupant . anything spilt table - tough - cloth change . food cold . the redeem feature helpfulness porter . oblige calling taxis we . 
 Apr 9 2009 	 Basic hotel 	 basic hotel . room ok , bit mould shower 's London , expect ? good service front desk bar hotel ok too . do eat breakfast hotel , can not say anything it . the location excellent , right Russell Square Tube , lot nearby hotel . all , would stay . 
 Mar 31 2009 	 great hotel budget traveler 	 wife stay second week March , 2009 . would stay two reason . 1 . price . 2 . location . able get great deal hotel British Airways . get 6 night $ 512 US dollar . would rate hotel 3 5 star , decor furnishing seem little date . room clean neat , little dreary . bed comfortable able meet request queen . hotel staff friendly , provide assistance tour information . information accurate . hotel also everything need stay hairdryer , electrical plug laundry service do reasonable price . location superb . 100 yard walk Russell Square stop put we anywhere want city 20 minute less . btw , google map hotel wrong . go side street exit underground lead right hotel Guildford Street . Russell Square address another hotel imperial line hotel . we eat continental breakfast every morning . well stock variety cereal bread . also juice milk tea coffee . great place load carb day walk around . also full English Breakfast available . would stay ? yes , would fist look elsewhere service value update hotel . 
 mar 25 2009 	 moderate hotel 	 hotel room clean find small . breakfast great one day repeat day favourable thing . overall would rate moderate hotel . 
 Mar 18 2009 	 would return 	 get back 2 night London . Booked Thomas Cook / Super Breaks . speedy check . room good , although could hair dryer . meal first night . bit standard little choice veg carvery . breakfast ok view amount people . full english miss black pudding hash brown ! food warm plentiful . language barrier problem staff ( ask cup give spoon ) easy access tube . would definitely go recommend friend . 
 Mar 7 2009 	 Great Location 	 wife stay President almost every year past 20 . consistent . room clean , great shower . hair dryer need one obtain housekeeping dept . staff friendly helpful . & quot ; full english breakfast exciting filling . easy walk British Museum West end well Covent Garden . London available Russell Sq . tube station , around corner . Glenn , one bellman always go way helpful . 
 Mar 5 2009 	 good clean basic hotel . 	 hotel basic , cheap clean . room well maintain . staff encounter not good grasp english , pleasant polite . unfortunately lady take name phone spelt wrong , book correct name however problem quickly resolve . the lobby area rather strange smell - ' ve 3 time 's time , first time 2 year ago . the room good size . hotel use key rather card key . unfortunately key attach long pole make difficult carry around . guess want hand reception rather take hotel . there minibar , hairdryer room . tv basic channel radio channel . temperature control room great - individual room temperature control . checkout 11pm . breakfast edible basic . toast cold though . not like cold toast . 
 Mar 5 2009 	 great location 	 travel in / out Heathrow can not get well location since 's picadilly line one block Russell Tube stop . safe neighborhood convenient , need use tube ? Covent Garden 15 minute walk , leicester another 4 , Trafalger 4 , get drift . ( 60 ) stay London least 10 time one big room bathroom price range , clean primary we . guess people not know continental breakfast , feel adequate include cereal fruit , brotchen , butter coffee past hotel . look top flight service , stay Russell Hotel across street . stay , lovely graciious hotel pay . never stay hotel anywhere not noisy , buy earplug , 's . 
 Mar 4 2009 	 Busy Hotel 	 2 night , hotel good , food standard last time , still good , room ok need bit TLC , road side , bit noise night , would well rear hotel like last time , staff ok . allway busy , get coach party checking wait , 
 Feb 27 2009 	 Great Location fair price 	 come back girlie weekend president . surprise arrive around miday give we key room . check - in 2 room ready despite give key . clean assure we would take care time come back indeed . room standard twin room private facility . bring hair dryer towel supply 2.breakfast normal English , cereal varierty egg , bacon , sausage toast etc . I find staff day time night porter helpful . location great tube line covent garden , leicester square , knightsbridge picadilly circus stop away line . never intend stay room length time 2 day break tring squeeze everything . purpose would recommend friend . 
 Feb 26 2009 	 Location / Price beat 	 stay hotel 2 night weekend 22nd Feb . get £ 99 train / hotel package , previous reviewer . pricei really do not think anyone could compliant , depend course think get price ! opinion solid 2 - 3 * hotel - yes could do bit image overhaul . personally , ' m go London study reception area hotel . room good size , separate toilet bath / shower . room clean hotel room ever , flatscreen tv nice touch . breakfast ok , nothing special , happy enough include , £ 99 would fully prepared go get brekkie ! hotel good location , opposite Russell Square tube , nice pub restaurant around do not fancy venture back meal night , hoewever far . stay hotel London , do not stand other , ' ve stay MUCH bad , pay much ! would happily recommend anyone look well price hotel , fairly centrally locate London . long expect Ritz ( could cost ! ) think people would find suited need ! 
 Feb 18 2009 	 Great Location Terrible Service 	 get back two - night stay hotel , agree previous comment ...... get pay for . yes , centrally locate quite cheap ( stay part £ 99 Train / Hotel deal ) , run people make Basil Fawlty look well organised ! one a.m first night woken fire alarm go . panic , dress run four flight stair find night porter ( speak poor english ) run around like headless chicken . stand outside guest - include baby disabled child - until fire brigade come find FIRE , alarm set & quot ; steam & quot ; kitchen . annoyed , return bed wake 7.30 a.m alarm ..... organisation fire . staff explain apologise guest terrible night sleep . awful think really fire , would rely bunch hopeless porter ! ! breakfast alright , buffet - style english breakfast usual bacon , sausage etc . not pay evening meal , GO ! ! overall , think not unfortunate enough woken fire alarm would probably give hotel three - out - of - five rating . oh , lobby stink fish ....... not know ! ! Dawn x 
 Feb 17 2009 	 would stay elsewhere next time 	 husband & amp ; stay Valentine 's weekend . book hotel part British Airways package . location hotel fine neighborhood nice Russell Square tube station block away . however many tube station throughout London not hard find nice hotel near tube station . hotel use key ( key card ) room , deposit porter leave day . never ask show kind identification pick room key concerned security belonging leave room . airfare / hotel package also come continental breakfast consist mainly toast , can fruit cold cereal , nothing special . the room decently size one double bed , sit chair small desk . bathroom bite small narrow shower toilet close door could not open door sit . 2 small scratchy towel provide . overall hotel room shabby though clean . would say hotel similar Motel 6 USA . room part package believe room around 90pound night would disappoint pay . would suggest look somewhere else . 
 Feb 15 2009 	 get pay ! 	 hotel within easy walk distance ( 15min ) Euston Station locate 200 yard Russell Square tube station 2 stop away Leicester Square . I pay £ 90 double room full english breakfast Saturday night , Central London cheap . decor hotel need bit upgrade find bedroom clean reasonable size . breakfast ok nothing special service poor - one individual oversee service apparent service provide . there bar within crawl distance Soho Leicester Square within minute tube spoil choice . I would recommend stay budget good location reasonably price . 
 Feb 15 2009 	 Standard Accommodation Russell Square London 	 mate ( early 20 's ) stay twice , December ' 08 January ' 09 , fifth fourteenth ( final ) stop round world trip . find President Hotel comfortable hotel , quality room , good staff , poor breakfast . we stay standard room , include two single bed , cupboard , widescreen tv ( 2nd visit ) normal tv ( 1st visit ) , kettle , draw , heater , clothe press simple bathroom include sink , bath / shower toilet . room mean luxurious , comfortable clean . shower tremendous water pressure water temperature could control easily . unfortunately , shower curtain encroach little limited space , small annoyance . otherwise , room comfortable . the hotel also offer free wireless internet lounge area . unfortunately , speed connection dependent sit many people access time . use group 10 15 american school people try use find incredibly slow , move another position , coverage sudden speed dramatically . in term breakfast offer hotel , guest offer Continental english style . pay english style booking , ' impressed breakfast wish pay basic continental breakfast . range offer ' bad , fact scramble egg , bacon toast cold , juice ' cold chill fruit rather sour ' good . like start day . say , second briefer stay hotel January ' 09 , breakfast lot well , would still suggest good breakfast all . the location hotel fantastic . around corner Russell Square Tube station allow easy train ride Heathrow Airport along Piccadilly line also easy one stop ride king Cross / St Pancreas Station , London international station Eurostar . city proper 10 minute walk , British Museum 5 minute walk couple good restaurant around area , include Munchkins ( past directly opposite British Museum entrance ) Pizza Express . this hotel one two book hotel entire trip . right next Imperial Hotel , relation hotel , expensive . see , two hotel similar yet President Hotel considerably cheap . while topic money , let give ' London small word advice term currency . ' look something ' consider buy convert back home currency . look think whether ' cheap compare similar product choose . watch spend put limit pound spending , ' convert back end trip . food , drink , attraction entrance , ' expensive even convert back home currency . eat , drink experience London . I ' attach couple picture people view room look . please excuse mess . so , London interesting place go back London , President Hotel ' stay … without breakfast . 
 Feb 3 2009 	 bad 	 stay hotel four night , book stay course london last year think ok remember , close westend show everything could wish see london far away . downside hotel door people room close loud bang get nerve time , breakfast ( english ) horrible cold could tile room toast hard ate anyway pay , staff good plesent clean room etc good people budget want pay high price central hotel london . 
 Jan 11 2009 	 good value great location 	 stay 2 night President part National Express package . convenient Tube within easy walk many tourist site . room large & amp ; quiet clean towel , although must say carpet room hall tired . flat screen tv room . lot tourist package make breakfast busy , include price steam table english breakfast , good value otherwise . staff always pleasant . hotel indication part Imperial group , good value great location . 
 Jan 4 2009 	 good location London 	 good thing hotel 's location . land Heathrow airport catch train direct Russell Square ( Piccadilly LIne , approx 45 minute 4 pound ) . reception staff miserable however porter friendly helpful . continental breakfast include package , however dismal pay extra 4 pound upgrade cook breakfast ( worth pay ) . hotel room good London room nice warm . bathroom clean good shower . price pay , think hotel good basic London accommodation . 
 Jan 3 2009 	 certanly good 	 2 night . as soon open door fish - smell give worm welcome . receptionist coldroom ok 2 adult temperature high without way control it . there air condition system . the bath ok ask hairdryer deposit 10 GBP orrible unit . at time ask second towel . ( 1 towel person ... default ) time deposit . the AC outlet inside bath work : give info & quot ; information desk & quot ; reception , gentleman take note nothing do . need continental breackfast english breackfast fan , wel look elsewhere breackfast . window room look hospital final check , quite early day , ask secure storage luggage : ' m go to take afternoon : well first time ask pay service . a good point hotel close Russel Square Tube , opinion , enough decide back hotel . 
 Jan 1 2009 	 nice place - friendly people 	 stay seven night , book agency , price fer center London . we buy Oyster card spend 30 Pounds trip place interest . I must say travel lot around . hotel room big double king size bed . bathroom clean big two . TV.Hairdryer power adapter , ask pay security money . room clean every day clean towel to . computer check e - mail work coin loby . good think we , continental breakfast , eat much 7 10.tea , coffee , milk , hot chocolate , orange juice , bread toast , marmelade jam , butter , orange grapefruit dry prum , cornflake muesly . clean dining room ( restaurant ) .We could pay amount full english breakfast , like walk around eat much greasy food . we good diner evening walk mile around museum , gallery sight tourist interest . my wife love London eye . price high ( 15 Pounds ) see bright day . do go cloudy ore rainy day . try go every day museum gallery . we spend much time nearly get sick much nice thing . 
 Jan 1 2009 	 acceptable hotel 	 waiting staff breakfast room good nice , dispite guest sit near we openly rude dismissive ! breakfast good lot choice cook excellently . the room acceptable , bathroom spacious shower powerful . clean enough room get ready night plan . side reception staff - multiple room book allocate enough room although print fax confirmation receive attach booking . they could understand problem book one guest suppose single room twin room advise two guest , two guest want share bed ! never mind , sorted end - enjoyable stay . 
 Dec 6 2008 	 nothing special worth money . 	 visit London honeymoon . go day early head british Isles cruise . President Hotel close Russell Tube Station , make easy we get Heathrow . taxi need Tube station , short walk around corner stare face . check easy quick . third floor elevator use . the room huge enough space place luggage still move around . bathroom recently upgrade towel soft . t.v small adequate enough fall asleep . look place close transit , reasonable price . morning breakfast include price simple english breakfast , scramble , toast , sausage , juice , bean , tomato 's , cereal . nice food not cheap London . the thing key ring give . stay notice . first day not know could leave concierge , pick return full day site see . enjoy stay would recommend hotel anyone look clean , comfortable , close transit place stay . 
 Nov 29 2008 	 Nice hotel ! 	 first stay London . come 4 day meet old friend live another continent happen London official trip . also live another country decide good opportunity see third country explore London . general say satisfied hotel . what like : + first , great location ! ! ! metro station - Russel Square - one minute walk ! + British Museum also one minute walk ! use walk foot lot around city could reach almost destination hotel within 1 hour enjoy site London ! + staff friendly polite ready help moment.+ room cosy clean ! change bedding every morning clean room.+ cost room reasonable especially location ! + ask Continental Breakfast ( may mistake ? ) provide we English Breakfast ( take extra money ) enjoy nice food ! like sausage especially . + nice 24 - hour bar dish big tasty ! issue note ( however disturb holiday ! ) : - book room ask double bed , however provide twin bed room ... say offer we double bed room next morning . decide manage twin bed ! : ) - need safe deposit President hotel use one hotel imperial.- sink 2 separate tap - cold hot water use one tap normal warm water ! convenient ! - enough tea coffee room ... - wall bit thin . could hear happen next room night ! ! ! : ) enjoy stay London . actually use hotel sleep long sightseeing really appreciate location ! ! ! hotel nice would stay next time ( hope provide bed request ! ! ! ) 
 Nov 22 2008 	 Great Value Money ! 	 President Hotel , 3 * hotel , exactly say tin ! great location - 2 minute Russell Square tube station . restaurant - canteen style table layout , extremely busy , could big number room . food - hot tasty , everything self service , bacon , egg , bean , toast , sausage available , well cereal ect . room - overly large , would expect London , compact practical . hairdryer room , powerful . room facility adequate , shower lovely powerful , therefore refreshing . shampoo ect room . there thai restaurant around corner hotel - leave hotel leave main street - two minute walk right hand side . fantastic food , well price good service . would return hotel - yes would , offer good value money , clean good location . travel agent , often arrange theatre break London , would certainly recommend hotel meet customer requirement . if question , feel free contact I . Alison 
 Nov 8 2008 	 Great Hotel 	 reading review hotel sure expect ! stay President Hotel one night , Nov 3rd find staff friendly helpful , double room clean comfortable , problem find enough tea coffee room enough one cup per person , buy teabag milk , sure ask could got extra . breakfast good good selection . pleased booked hotel . stay hotel around London one far good . 
 Nov 5 2008 	 british Eccentricity Best 	 hotel pretty weak north american standard , guess ? be Kansas anymore Toto ! be heart one beautiful Cities world going let dated decor , small room , ridiculous key fobs world , front desk staff barely speak english spoil holiday missing point . the President offer perfect place lie head long day siteseee . room clean comfortable although tv one channel , BBC World , remote missing . shower hot good pressure although stay long like one day fight hangover steam set fire alarm get phone call knock door . if be mood hot breakfast skip hotel restaurant head cafe Russell Square full english breakfast - crowded will get hang local . and be hurry take stair ! 
 Nov 1 2008 	 Excellent value money 	 stay 6 night Oct 26 Nov 1 . stay 20 year ago nice . happy report even well now . People , especially North America Australia understand hotel room Central London small . 's way . alot research advance decide stay base previous experience , rate , location . book single room Imperial Hotel website 70 GBP per night bed breakfast . rate post outside hotel . arrive Sunday morning 9:30 overnight flight USA . happily , able check room straight away - which nice . single room top ( 7th ) floor overlook inner courtyard -- view uninspire quiet . room private bathroom ( shower ) , trouser press , tea / coffee making , tv satellite channel 4 radio station . single bed extremely comfortable . could also open window fresh air . bathroom nice -- always almost instant hot water . shower bit small , problem . could borrow hair dryer bring . include reservation free dinner hotel 1st night . | could taken dinner 3 Imperial Hotel property area choose dine hotel . nice 3 course meal . never take Room Service menu room nice selection reasonable price . reserve one coach tour directly hotel concierge . also book tour , theater ticket , etc . free WiFi lobby Atrium area connect President Imperial Hotels . not bring laptop , always several people . ask someone connection say fine -- i.e . overly slow . Barclay 's Bank premise outdoor ATM . Russell Square Tube station around corner . convenient . sheet towel change daily . couple time put pencil mark sheet could tell change . & quot ; full English Breakfast & quot ; include rate . always fry egg , scramble egg , bacon , sausage , fried tomato , toast , peach , grapefruit , apple orange juice , tea coffee . buffet style . excellent . hearty breakfast find pretty well day . many central London hotel offer & quot ; Continental Breakfast & quot ; none . upgrade full breakfast 10 15 GBP extra . I believe one good tourist class hotel central London . wholeheartedly recommenend . 
 Oct 28 2008 	 Nice hotel - good value ! 	 return London Paris stay hotel 6 night week later 1 night . room stay clean , bed comfortable , ammenitie expect level hotel London . hairdryer , coffree maker , nice , modern bathroom - one shower one tub . tv several channel . room , although large north american standard , quite adequate nicely decorate . nice view look park second stay first stay face street main enterence . noisy night people street siren ( ambulance think hospital area ) .Location ideal . Russell Street Undergound Station block away well bus stop make easy travel favorate tourist attraction , shopping theatre . shopping pub area well . Friend Hand pub block away favorate place eat outside hotel . contential breakfast include although choice limit good value . dinner also hotel dining room excellent . staff area efficient overly friendly - especially dining room . seem get though day especially enjoy job . somewhat apprehensive hotel consider review read beforehand pleasantly surprised would recommend hotel anyone look good , economical place stay London - expect luxury . PS First morning start fire alarm full evacuation hotel early morning - catch many people shower still bed . everyone spend 30 minute sidewalk firetruck arrive hotel check - thankfully false alarm . although inconvience staff handle evacuation professionally obviously well train procedure experience make feel safe large building know alarm system work staff know real emergency arise . 
 Oct 24 2008 	 great location 	 give review read , sure expect . however , son pleasantly suprise . great location , incredible staff- especially porter , & quot ; bad & quot ; continental breakfast . our room comfortable quiet . would book again- definitely . bargain , price get much thought would . plan return next year husband , book package hotel . Niagara Falls , Ontario 
 Oct 22 2008 	 good location 	 first time stay london . Got hotel , seem good outside , 5 minute cab journey Euston station . Foyer seem nice , friendly staff . get room 5th floor .. date room , much space . as stay 2 night offer complimentry 3 course meal . soon finish starter plate woosh away soon put spoon . main meal dire .. mushy veg hard potato ! do not sleep well first night , bed clothe consist sheet , pancake thin cover itchy blanket , cosy pillow . find room dusty . Bathroom standard size , pretty clean , although bath tiny ! breakfast buffet style , even though engulf scent mackrel soon step lift reception . table cloth dirty , seat get steal food good plate woosh away you . one good thing hotel location , walk southampton row , find minute away river thame sight , ideal go ont london eye . location also close embark tour bus . the porter friendly , one even flag we cab get back Euston station . really , do not care hotel . london celebrate , hardly room . 
 Oct 20 2008 	 great location 	 really not anything wrong Hotel . went expect nothing give review pleasantly surprised . 's large hotel great location ( walk distance theatre area , Leicester Square , British Museum across street tube stop 3 minute walk away ) , room good size , lot hot water shower etc , desk staff helpful ( especially porter ) etc . room clean every day , fresh bedding put bed , clean towel provide etc . free continental breakfast room really not anything wrong ..... not know definition continental breakfast ' light simple breakfast , usually consist tea , coffee , roll , cereal fruit ' ...... provide .... 4 pound upgrade full english breakfast . even dinner restaurant one night ( two coupon booking ) not anything wrong dinner pretty tasty . yes internet painfully slow internet cafe street ( ask porter tell ) . budget hotel , can not go expect much . noise level , stay hotel major city deal outside noise , bring ear plug , work great . not lot money spend hotel want central easy access stuff hotel perfect . 
 Oct 14 2008 	 second visit 	 leave book hotel London last minute hope get bargain not always work . limited option end - up back President Hotel full knowledge bad first time . time first room give bed seem make lot metal spring cover thin layer grubby look material . ask move straight away . second room well bed bed ( pillow , blanket , bed cover ) smelly . be possible seven different people sleep bed week yet hotel not think wash anthe sheet pillow case - be like put clean clothe onto dirty body . breakfast farce all - pervade smell fish greet enter hotel foyer even strong restaurant point one clothe end - up smell ! housekeep poor room not ever feel clean . the porter great , always friendly cheerful . 
 Oct 8 2008 	 average hotel ... great location 	 large hotel great area . Russell Square across street restful late September British Museum minute walk hotel . the room nice although noisy street face Russel Square , Southhampton Row . kettle , coffee , tea trouser press room . breakfast area separate continental breakfast regular english breakfast . area quite crowded time . toast pretty dry continental breakfast . variety restaurant street . easy catch city tour bus close . hotel pass along FAX travel agent cancel tour . 
