stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Jun 26 2009 	 Happy Giraffe 	 outset , staff satisfactory good job , also friendly . the location brilliant . easily get anywhere Manhattan , afield , here . the room good size comfortable . room balcony , complete large attractive flower pot . aspect accommodation good , bathroom toiletry , dress gown slipper , use umbrella . flat panel tv , electric control window blind , safe , complimentary bottled water arrival . the complimentary continental breakfast nice , wine cheese evening ( except Sunday ) well receive gesture . 5 - 8pm evening . newspaper provide lounge / lobby area also . wireless internet connection complimentary . the room - service restaurant recommendation , surprisingly , good . amazed beautiful food Dos Caminos . overall positive experience . 
 Jun 24 2009 	 well - manage professional personalize 	 hotel Four season small scale . modern , well appoint maintain . luxurious towle , linen , toiletry , etc . staff friendly helpful . little thing add complementary bottled water available room coffee , tea , cookie , fruit etc available lobby , complementary breakfast -- , well Four Seasons ! nice , convenient location . highly recommend . 
 Jun 22 2009 	 great stay . . .as usual . 	 Hotel Giraffe never fail please . centrally locate ; room large NYC ; quiet calm inside lobby . always nice come back hectic day city . the staff always helpful accomodating . recently stay one night different hotel business issue everyone agree . . . Hotel Giraffe million time well . it home away home New York City . 
 Jun 22 2009 	 completely worth 	 first people really kind helpful . beyond hotel standard . worth use hotel . room spotless expect . location great , Manhattan , feel close everything . the valet parking convenient cheap ny standard . public parking corner cost 65 dollar night , hotel less half that . the complementary breakfast nice touch , specially fact keep go noon ! also checkout 1 pm justgive feel tranquility , appreciated day be leave place pack , etc . they let we play piano . basically , feel unrestricted , thus home . 
 Jun 15 2009 	 top notch service beautiful room . 	 check check , staff hotel excellent . allow check early morning , huge help consider take train go city hall get marry . get early check - in , get unexpected upgrade suite , comfortable . breakfast wine cheese afternoon great . great location easy access everything . overall wonderful experience well worth money . 
 Jun 15 2009 	 Giraffe Proves 	 challenge anyone find well value money size room , location , genuine service Giraffe . stay many time reward care service every time . wonderful respite lower - mid Manhatten . 
 Jun 12 2009 	 would come back . 	 can not think anything would change . great , helpful , etc . staff . save fortune add convenience continental breakfast morning , wine / snack early evening . almost forgot , wifi internet access room extra charge . 
 Jun 12 2009 	 Perfect location helpful friendly staff great room ! 	 Giraffe perfectly locate midtown , short distance spot Manhattan . room great , whole atmosphere relax , stylish friendly . enjoy Giraffe : * nice breakfast * helpful friendly staff always ready give advise make phonecall make perfect * rooftop terrace , beautiful - day nightthere need look futher home away home - sure come back Giraffe . 
 Jun 5 2009 	 could not ask . 	 stay 4 night mid - May celebrate birthday , since husband never Manhattan , want choose hotel would place collapse long day spend shopping / sightseeing . glad choose Hotel Giraffe ! call ahead inquire could check couple hour early arrive warmly greet friendly , unpretentious front desk staff concierge . seem trend every staff member encounter . friendly genuine non - robotic - corporate - chain kind way . afternoon spend walk , greet door name smile one little touch go long way . room spacious terrace lovely . bathroom real treat . marble throughout lot shelf space drawer , large lighted shaving mirror . special note housekeeping ; toothpaste leak 's ziploc bag return later day , clean we ! sparkle wine large gourmet cupcake bring room minute arrival along birthday card . attention detail like make stay memorable . breakfast healthy tasty serve smile . enough keep go lunchtime . fresh fruit cookie well coffee juice hand day quick pick . would usually take rooftop terrace nice little escape . walk distance pretty much everything want see take cab fast relatively cheap see home base pretty much centre island . hotel staff also helpful subway direction . Hotel Giraffe everything want New York hotel- 's clean , spacious well located- without huge price tag . sure , be little bit say Comfort Inn Club Quarters , 's value intangible . understate elegance little personal touch remember , , worth every penny . special thank TripAdvisor reviewer . rely heavily site make hotel choice disappoint ! 
 May 28 2009 	 Superb hotel one good location explore Manhattan 	 everything stay Giraffe expectation . location , border East Village Midtown , mean could explore traditional site shop Midtown ( even walk Upper Westside Central Park ) yet close home prefer area Lower East Side East Village eat drinking . service impeccable , friendly attentive , complimentary cheese wine social evening . room spacious luxuriously equip everything could want ( fascinating book giraffe anyone ? ) . lovely balcony relax drink high enough road noise issue . we spend several day research hotel importantly area hotel locate offer good middle everything worth see . with pay advance/30 % option affordable ... even Manhattan ! would definately recommend anyone would hesitate rebook next trip . 
 May 27 2009 	 well locate clean pleasant hotel great staff 	 sister & amp ; go NYC celebrate birthday choose Giraffe . room lovely free wifi . immaculately clean & amp ; bed comfortable . street busy & amp ; construction go , room well insulate & amp ; dampened sound . the staff bend backwards help we every turn & amp ; complementary brunch delicious contain healthy , low fat food ( pleasant surprise , expect danish & amp ; bagel ) . location near subway , restaurant price point , park drug store . Taxis easily hail want one . 
 may 27 2009 	 weekend city 	 find Hotel Giraffe site base awesome review , decide give try . hotel nice . love fact door room open small balcony . breakfast morning great way start day . girl work breakfast remember take coffee , think great . complaint keep mind complete bed snob , think bed hard . hotel comfy bed find nice hotel , would rate favorite hotel far . princess pea kind girl , love place . love regardless . sure check rooftop terrace . eat Dos Caminos attach hotel think well mexican ever . guacamole die . also try Tabla enjoy indian . 
 May 27 2009 	 charming cozy hotel relatively good size room 	 stay 5 night Giraffe enjoy stay . hotel location good , prefer something else tourist populated area . Area seem safe busy : able sleep night , although could hear traffic noise , 's New York , guess . queen - bedroom surprisingly spacious clean . small minus think view room window , merely lack view . breakfast room home - like staff serve friendly . staff overall helpful friendly . - definatelly woud recommend hotel people look elegant peaceful stay New York ! 
 May 26 2009 	 can not find anything negative say . 	 not bad thing say hotel . great location ? check . right near Madison Square Park flatiron district . finely appoint room ? check . great decor , granite surface , comfy bed . free breakfast ? check . Delicious , graciously serve smile hotel employee . lack street noise ? check . even 3rd floor , never hear thing . free wi - fi ? check . attentive polite staff ? check . I could go , get point . ' m loathe write positive review -- not want hotel become popular ruin future fun ! 
 May 25 2009 	 Nice Hotel 	 stay Giraffe Memorial Day weekend . hotel nice -- outstanding , , nice . so - call Queen Deluxe room bit small , comfortable . location great -- walk distance Union Square south Grand Central subway connection north . hotel continental breakfast wine cheese event daily , really nice . even though hotel full seem plenty seat shortage food . service request fill quickly , always pleasure . , would recommend Giraffe would stay . 
 may 25 2009 	 wonderful stay 	 stay Hotel Giraffe December 08 10days , parent . we suite . service really good , room spacious . parent sleep double room suite , sleep sofa bed ( ok matress great , ok ) 3 suite perfect . we love breakfast cheese wine evening , week day pianist . hotel bit retro decoration charming . the staff always friendly ( maybe one staff cheese wine evening could smile bit : ( ) overall experience really good , come back 
 May 23 2009 	 Excellent stay bit pricey side 	 arrival 4 pm room still not ready sit around housekeeping finish - ideal long flight . room lovely - large , bonus could open french window get fresh air - even cool drink small balcony . room clean well set . heating/ air con work really well . good view look another building . find staff chatty & amp ; helpful ... handful room per landing make quiet stay ! pass traffic people like hotel long corridor . hotel offer turndown service choc , music put bottled water replace - although free water bit hit miss replace . free Wi - fi excellent full use make check local place dinner attraction town . Hotel also offer free use laptop printer lobby area . the hotel chic part town although street rather busy high floored room could not hear . lot local walk pedigree dog . carbon monoxide detector along normal fire one - good see type alarm room . easy walk distance subway station walk able Times Sq - across block Flatiron building nice little park area . nearby curry hill lot good place eat esp . vegetarian ' option . breakfast free - continental style - bagel , egg , toast , pastry , cereal choice coffee , juice & amp ; tea self service . hotel also hold wine & amp ; cheer evening also free along piano music . lobby small nice - marble throughout - also double breakfast area morning . local paper put guest read . stay 5 night Feb ' 09 - cost £ 1,100 bit pricey considering site pool - even gym club give pass . would say 9/10 hotel . would like see well deal do get guest staff speak say run almost empty hotel look tourist . 
 May 18 2009 	 great value great room thoughtful extra 	 stay Hotel Giraffe long weekend New York back April . although have book superior room , arrive extremely late evening end small suite eight floor . NYC , room huge , high ceiling real feeling space . also take peek superior room pretty sizeable . staff friendly free breakfast evening drink welcome . hotel independent well maintain ; service good staff welcome . minus point dinner reservation make front desk - wrong time , wrong restaurant confirm note door phone call . small point otherwise enjoyable stay . location good , close subway flat iron building . would defintely recommend anyone look cosy , charming hotel high standard service . roof terrace bonus . 
 may 14 2009 	 Disappointing 	 stay three day . room quire nice . staff friendly curteous . the problem water room . hotel management obviously could not solve problem water working room . turn water ( hot cold ; not matter ) nothing come would call front desk would & quot ; pump reset . & quot ; water would back shortly . second day receive bottle wine $ 100 credit apology manager . indicate problem correct normal mode business . next morning ( Tuesday ) 8 water . & quot ; reset pump , & quot ; shower two hour later water stop . would like able recommend hotel consider cost room meager $ 100 credit , . manager wish speak we leave train catch could wait appear . email return respond . bad . would give hotel high rating . 
 May 13 2009 	 Awesome ! ! ! ! 	 staff well far ! greet we name , help we tour etc . room clean , breakfast wine cheese night , fabulous ! easy access subway busy location , lay back . would definitly stay recommend everyone ! 
 May 5 2009 	 elegant chic convenient area 	 return 3 night stay Hotel Giraffe please . arrive 2 hour check - in greet bellhop see sit car boyfriend check . take luggage tell we room ready right away - happy four hour drive Boston . the lobby nicely appoint piano beautiful floral arrangement , sofa chair set , table chair . help morning continental breakfast , consist thing like bagel , muffin , pastry , hard boil egg , oj , cranberry juice , coffee , cut fruit , yogurt , cereal - delicious . when return late day , stop wine cheese . coffee cookie available 24/7.we 1 bedroom suite end 5th floor , room 501 . tastefully decorate roomy . bed comfortable room clean . be look view , though , not place . happy overall stay . 
 May 4 2009 	 also high hope 	 not expect grand expance Tribeca Grand arrival , foyer reception unassuming point disappointment . room however well appoint high ceiling mirror add sense space . great add - ons include free continental breakfast surprisingly good . wine evening odd ( avoid sherry coloured Chardonnay ) provide great late afternoon snack . the hotel also give free voucher worth $ 25 NYC Gym 3 block away . prefer hotel ' fitness centre ' often unlettable room outdated equipment . staff hit - and - miss . exceptionally helpful other little vacant . leave offer flag taxi could agree much would cost , apparently unaware fix rate Manhattan JFK . important us cash limit last day . fyi $ 45 + toll . location great , walkable times square north union sq south . also line 6 underground . favourite hotel world provide great base substinance explore manhattan . 
 May 2 2009 	 Hotel Giraffe excellent value money great midtown location good service . 	 like Hotel Giraffe 's boutique ambiance , excellent free breakfast free wine cheese 5 - 8 nightly , lovely rooftop garden . location excellent hotel modern beautiful . one hotel balconie , 
 Apr 28 2009 	 make 20th wedding anniversary incredibly romantic 	 Stayed Giraffe romantic getaway weekend celebrate 20th wedding anniversary . wonderful surprise , treat one bedroom suite upgrade , 15 minute arrival hotel manager bring bottle Proseco along belgium chocolate . really set tone romantic weekend . hotel elegant , room spacious tastefully decorate . staff friendly eager help , happy share enthusiam anniversary , congratulate we every chance . hotel manager go way get bucket ice husband enquire location ice machine . hotel offer complimentary breakfast morning fruit salad , danish , yogurt , juice , everything fresh tasty . complimentary wine cheese 5 8 wonderfual way get evening start enjoy NYC nightlife . corner Park Avenue 26th , location close Herald Square Penn station , ( come Newark airport bonus ) easy access subway two block away , bus front hotel , barely need take cab . anxious go back daughter , certain absolutely love . 
 Apr 27 2009 	 Love place - keep come back ! 	 favorite boutique hotel NYC . location perfect . customer service excellet - attend every need - even upgrade we suite ! love complimentary breakfast , wine cheese dinner coffee cookie offer day long . long day shopping real treat come back . right size year , even discover roof deck - splendid little area gaze star hang sun warm day . 
 Apr 25 2009 	 great friendly hotel great location Manhattan . exceptionally clean 	 husband stay 5 night love . room really well equip exceptionally clean always make relaxing bit easy . bedlinen towel great high quality . pleased inclusive breakfast free wine , champagne cheese evening 5 8 . great coffee tea fruit cookie available day lobby . would like facility make tea / coffeee room though , would niggle . must point able get tea / coffee take upstairs . the location great , couple block Flatiron building one block lovely Madison Square Park . far side Madison Sq Park Fifth Avenue catch sightseeing hop - hop bus . we able wander Soho , Greenwich Village Central Park fact walk pretty much district Midtown Downtown hotel different day . ( usually hop bus get back though ) restaurant around hotel nice find much well value warm atmosphere wander Greenwich Village even block away big Rds like Park Ave Broadway . the staff , without fail , extremely attentive whenever enquire something ask help . return New York question we stay hotel . 
 Apr 25 2009 	 could happy hotel . 	 generally stay Central Park South area midtown Manhattan decide try Giraffe Hotel little downtown Murray Hill area . excellent choice turn . hotel attractive spacious Terrace Suite tasteful comfortable . also large bathroom ' ve see New York hotel . vanity sink set almost 6 ft wide granite counter usable space ! wine cheese welcome late afternoon simple , pleasant . complementary bottle bubbly ( Prosecco ) greet we room arrival nice surprise . would forget booking room , have check & quot ; Special Occasion ? & quot ; question indicate would anniversary . our continental breakfast bagel pastry , fresh fruit , yougurt , cereal , coffee , juice hard boil egg perfect start day . by reserve hotel webiste choosing & quot ; PREPAY - visit soon & quot ; promotion , able book suite close would pay regular room book website . we will definitely return Hotel Giraffe . 
 Apr 14 2009 	 Superb - Great Location 	 look lovely boutique hotel heart Manhattan could right hotel you . the staff helpful friendly , room stay sufficient , super size , well decorate comfortable . breakfast lovely range cereal pastry bagel unlimited tea coffee ( tea coffee available throughout day . they also serve ( free charge ) selection cheese biscuit glass wine evening great way start evening - trip Broadway Rockefeller center - stroll around many street avenue . the hotel superbly locate Grand Central Terminal block north ( 15mins ) great joy everything within walk distance especially heart Manhattan . course still get Subway hail cab New York experience - hotel great location . highly recommend . 
 Apr 12 2009 	 Wonderful 	 choose hotel close NY office . staff friendly courteous . room comfortable clean . free internet wonderful . Breakfast exceed expectation , evening cheese wine . definitely go back . 
 Apr 3 2009 	 high Hopes 	 arrive check - in time find room ready we would high floor request . ask could room high floor reluctance , seem , give room 7th floor . book two night stay hotel 's web site , package deal include 20 % coupon restaurant near hotel . coupon ever offer we though . room small abundance mirror high ceiling keep we feel claustrophobic . balcony nice weather good overlook 26th street , nothing spectacular . Park Avenue other write . first night Tues . early morning hour racket street sound like sleep bowling alley .There issue room . first night realize basic cable tv channel . local tv not sure even offer cable . guide room help tv , make we aware hotel amenity . call front desk next day problem cable solve right away supposedly mini bar room could get door open see selection . appear lock remain mystery . room clean bed comfortable two pillow . third one closet would nicer another . linen nice decor room mixture light & amp ; dark wood , granite , dark texture wallpaper , mirror colorful sheer curtain give nice glow room . the bathroom need attention though , sink badly crack certainly standard rest hotel bathroom smell like need good scrubbing bleach . during stay seem like hotel rather empty visitor . people see lobby breakfast especially wine & amp ; cheese serving , complimentary include pianist really nice . spite fact not many guest serve staff really seem go extra mile see need . really appreciate ! high hope stay Hotel Giraffe could not help feel bit disappointed . 
 Apr 1 2009 	 good round experience 	 hotel exciting place everything work , staff friendly , breakfast good position really good . not large room world good Europe standard . roof terrace bar lovely . 
 Mar 31 2009 	 place will return ... 	 experience Hotel Giraffe nothing short wonderful . arrive check - in time offer room right away , request high floor room bit later . take latter go lunch one restaurant suggest right around corner also great experience . arrive find room ready , luggage place , bottle wine personal welcome note management . spacious room 10th floor fantastic ; beautifully appoint subdue modern decor , ample closet double door mirror inside , safe , little bar area , comfortable chair ottoman , king size , comfortable bed , armoire lot drawer , flat screen tv , work desk ample counter space . light lovely . bathroom spacious , modern feel , plenty counter shelf space well great lighting . even magnify make - up mirror ( baby boomer greatly appreciate ) . nothing miss bathroom product line - up product lovely . high floor , window close , could not hear sound street ( definitely open window ) . neither ever hear sound neighboring room . the staff Hotel Giraffe excel service . friendly , welcome attentive . whether staff front desk , bellman , chambermaid breakfast cocktail hour attendant , excellent . morning breakfast plentiful something everyone attentive attendant . dining area lobby wonderful feel mix seat option cater different mood habit guest . likewise , evening wine cheese offer nice variety cheese & quot ; munchie & quot ; along wine ; red , white sparkle beautiful piano music . lobby comfortable plenty newspaper available well couple computer guest use always , lovely flower arrangement . somehow one elevator always open waiting want go upstairs come , never wait long either . we stay many hotel price range city last four year since daughter move delighted find gem feel like home away home convenient location . find great value overall wonderful place stay . 
 Mar 24 2009 	 delightful hotel friendly staff delicous breakfast 	 LOVE Hotel Giraffe definitly stay travel NYC . wonderful location great restaurant nearby , close multiple subway stop park . staff terrific - helpful , friendly courtous . room big comfortable - clean design well . price reasonable . two teenage girl we enjoy hotel also . IPOD radio room big hit ! breakfast offer plenty good food coffee & amp ; tea start day without charge extra . really enjoy wine & amp ; cheese time long day walk sight - seeing . nearby work - out facility nice people friendly . thank make stay extra nice ! 
 Mar 17 2009 	 can not wait go back ! 	 husband stay Hotel Giraffe romantic weekend away kid . look something affordable little special standard hotel room . time call question prior even booking , time leave , staff friendly , courteous , helpful . NY neighbor ( NJ ) , know people around not always nice - especially place pretty hip , many time get snobby attitude . never get . room floor , fact top floor think room side - end hall three . ' m pretty sure top floor 4 room . quiet private - room wonderful ! little small side , New York expect . price excellent NYC , . everything decor ( cool furniture photo 1920 's & amp ; 30 's ) , luxurious bed ( none hotel bedspread itchy nasty underside ) , wonderful . shower standard hotel issue , still nice overall bathroom clean , new , nice , regular hotel . ceiling high tall door . bedroom sit area tv , separate small hallway bathroom closet bar / refrigerator . almost feel like mini - apartment , homey . street view bedroom window ; window sit area strange view - jokingly call & quot ; quad & quot ; - literally center four outside wall come together - look like large outdoor elevator shaft . , NY ! ! many tall building squish together . . . hotel nice area , local many thing , walk almost everywhere go , even theater ( enjoy walk City ) . think thing like , although hard narrow , complimentary nightly cheese wine party 5 8 . nice treat , nice start evening , relax . one night piano player , lovely . probably thing say wish different many hotel offer least one free parking fee - parking pretty affordable Hotel Giraffe , leave car take cab walk . want remove car put back , charge something like extra $ 20 time . definitely decide go try make yearly getaway us - special hotel . wonderful ! ! 
 Mar 17 2009 	 wonderful weekend 	 return long weekend Hotel Giraffe could not happy choice hotel . ' m originally NY area , want special weekend city . hotel perfect choice . comfortable , romantic , centrally locate . staff beyond helpful . room immaculate , complimentary breakfast delicious wine cheese happy hour . really provide we perfect retreat . price reasonable NYC . feel perfect stay . 
 Mar 9 2009 	 great small hotel good location 	 wife spend 5 night hotel last month please everything . staff friendly helpful could not do make stay comfortable . we corner terrace suite , although cheap , good value NYC . upper floor help minimise street noise sound -proofe seem adequate . plenty space spread . plenty closet space bathroom reasonable size , good shower . the complimentary continental breakfast evening drink nice touch . this first time stay part NYC would certainly choose midtown . subway 2 block away cab never problem . within easy walk distance number good restaurant . particular , Tabla ( minute walk away ) amongst good indian - influence food ever eat . also enjoy House . overall , could not happy would certainly choose Hotel Giraffe next visit . 
 Mar 9 2009 	 Son 's wedding 	 stay Hotel Giraffe relative , home away home occasion son 's wedding . location wonderful wanted photo take Madison Square Park , step away . beautiful roof garden , top hotel , another terrific photo opportunity . complimentary wine cheese serve lobby much appreciated . morning continental breakfast excellent wedding guest enjoy . room extremely clean . stay one bedroom suite extremely modern many personal touch . plenty bottled water chocolate provide free . valet parking easy could convenient . pianist lobby add touch elegance . people work hotel wonderful , courteous , friendly , warm professional . give Hotel Giraffe high recommendation ! 
 Mar 8 2009 	 Good NY hotel 	 one well hotel business travel . find 4 year ago , stay every time travel busine NY . room large many hotel room NY . also like rate include internet continental breakfast . room bathrobe slipper date . bathroom also full counter not try balance item small ledge sink . defintely good choice traveler . 
 Mar 2 2009 	 great room clean well worth stay 	 really enjoy stay Giraffe Hotel . 's ideally locate , close Union Square 5th Ave . great restaurant near excellent service . staff pleasant friendly . free wine cheese evening bar area nice extra touch . 
 Mar 1 2009 	 romantic weekend Giraffe 	 spend Valentine 's weekend Giraffe not want leave . live 45 minute city , not much escape distance sure seem like ! friend recommend hotel positive review echo TA.We check find room lovely . Rose petal scatter , champagne chill chocolate cover strawberry wait . , extra cost really make room welcome . everything pristine comfortable . though dinner reservation 30 minute , comfort bed leave husband quick nap leave . eat Olanna around corner DELICIOUS ! lobster risotto dream ... breakfast deliver room next morning ( extra $ 10 charge get deliver , otherwise 's free ) include various item would check menu night . eat lobby next morning fresh plentiful deliver room . the staff friendly accommodating . husband call day prior arrange rose send room . Roses Valentine 's Day NYC fortune , husband informed concierge not want spend life saving flower . hotel arrange lovely bouquet dozen rose send room first thing Valentine 's morning ( even come shower ) beautiful ! visit Museum Natural History , Metropolitan Museum Art & amp ; see show theater district . though location hotel close area , prefer less busy neighborhood short cab ride . never problem get cab nothing 10 minute away . it be rare stay city friend 's apartment , wonderful Valentine 's weekend would love make new tradition ! not - so - great part parking . pull , saw doorman ask guest parking , quick help we take bag trunk take car hand . , however , mention charge parking . mention front desk check . charge appear bill check . not think much , maybe $ 40 two night , would ' ve nice inform . ( , not often drive hotel may commonplace ) 
 Feb 26 2009 	 Liked Location Staff 	 one attentive staff ever . Wine Cheese afternoon continental breakfast good . location excellent . many restaurant nearby Union Square nearby . also near subway . suite good daughter visit hotel we . 
 Feb 24 2009 	 professional clean courteous hotel class 	 second time stay Giraffe . despite post say room small , actually quite decent size . compare small town city , either size tad small ) . compare new york hotel , room large . also high ceiling tastefully furnish perfectly clean . turndown service , yep chocolate pillow . front desk friendly ( compare New York hotel ) flexible courteous , even customer take bad mood throw temper tantrum public non - related issue . seem quieter winter , perhaps due lack construction consistent throughout New York summer fall . offer many free food / meal service beautiful lounge restaurant piano entertainment night . door person always friendly smiling . do not feel could anything improve . perhaps negative comment attribute person post ( grouchy snarling mean temper , well people may receive open heartedly everywhere go ) see atrocious customer behaviour due ignorance part would not want receive line condescend tirade . hotel classy front line give much respect stay cool , calm courteous pressure . 
 Feb 23 2009 	 gem hotel NY 	 lovely small hotel . room beautifully maintain , staff helpful , free breakfast wine / cheese terrific . lobby computer set printer , free internet room . location perfect we . 
 Feb 23 2009 	 Beautiful Hotel -- attentive staff accomodate .... 	 husband spend two night Hotel Giraffe week -- staff attentive , room charming , well appoint would not love juliet balcony overlook Park Ave . close great restaurant Union Square , subway . delightful lobby refreshment wonderful breakfast morning ... must stay Flatiron District . be plan make regular stop -- also eager stay hotel city - theme . 
 Feb 23 2009 	 Hotel Giraffe good NYC ! 	 absolutely love great hotel Midtown ! room ( BR suite ) stylish comfortable -- good bed ' ve sleep road . staff always available , friendly , helpful . complimentary continental breakfast ( * real * ny bagel ! ) nicely arrange relax lobby , breakfast staff always ready hand another cup coffee . give location , service , price , Hotel Giraffe truly gem big city . can not wait go back ! 
 Feb 22 2009 	 fantastic stay 	 come back short break New York fantastic time fabulous hotel . everything great ( although request high room give one second floor - could valentine day weekend ) find staff attentive intrusive . room lovely clean great amenity turndown service plus evening . brilliant continental breakfast morning fresh bagel , danish pastry , egg , fresh fruit , yogurt plenty fresh coffee . wine cheese evening another nice touch . hotel central , short walk Empire State Building , Macy 's underground station get around city . fantastic stay ! 
 Feb 17 2009 	 Great Boutique hotel central location .. free Prosecco ! 	 stay mum short break throughly enjoy stay . book exec double pleased find large room 2 queen size bed , two amenity ( desk / mirror / case stand ) perfect travel couple , not want share space mirror whilst try get ready ! room large New York hotel , lovely little Juliet balcony overlook corner Park Avenue South East 26 St. small sit , handy want check temperature outside venture day ( gorgeous sunny blue sky whilst absolutely freezing ! ) request high room , give room 11 th floor , definitely make difference traffic noise couple good double glaze french door . also love small touch room , like Ipod docking station radio alarm , dvd player , turndown service complete beligan choc , soft music mood lighting arrival back room evening ! staff hotel friendly accommodate , happy ring round try reserve we table dinner busy saturday night . free cheese wine evening also big plus ( include prosecco , nice ) red white great , free hardly complain , not . also live piano music night , really nice touch . downside breakfast morning . bad , selection pastry , bagel , fruit salad cereal , nice , limited selection get bit boring first day . also eat lobby area , pleasant area , not really seem like right place eat breakfast ( table lay breakfast , occasion could not even get table ) . think may hotel restaurant ( Barna ) recently close , suspect would breakfast previously prepare serve . also mean bar hotel ( though not mind drink wine , free cheese wine make ) overall great little hotel , walk distance midtown attraction , several good restaurant , gorgeous Madison Square Park ( try shake shack brilliant burger hotdog ) . would definitely stay . advisable book via hotel website , number offer , include discount book early . 
 Feb 17 2009 	 deserve balcony Manhattan 	 be look swell place stay Flatiron district , can not go wrong Hotel Giraffe . nice location , corner Park 26th . extraordinarily friendly helpful staff ( New York ? ) . lovely room , good tell , French - doore balcony . good continental breakfast include , bagel , muffin , croissant , fruit ( whole fresh - cut ) , cereal , oatmeal , etc . excellent coffee available around clock -- push button pour fresh cappuccino , latte , whatever . wine champage reception evening . include price . one nice place ' ve stay Manhattan . 
 Feb 8 2009 	 Loved Hotel Giraffe ! 	 husband spend long weekend Hotel Giraffe love . great location midtown subway less block away . hotel small intimate - service excellent , everyone friendly accomodating . room nice - small case NYC , well appoint , clean - one cool feature automate shade control switch next bed . free wine cheese reception every night 5 -7 breakfast free well ( yummy bagel ) ... make part daily routine . would ' ve give Hotel Giraffe 5 - star rating bed bit comfortable . however , really enjoy stay already look return spring summer . 
 Feb 2 2009 	 definately stay 	 NYC party pick place base location . pleasantly surprise nice ! wine cheese reception evening breakfast morning include . parking $ 38/24 hrs huge suv . ( reg . sized car $ 28 ) . live NYC 5 year go back many time since fantastic value city ! dirt cheap parking there . the staff also helpful courteous . stay large chain hotel midtown past , never ! new favorite hotel NYC . 
 Feb 2 2009 	 Excellent service 	 husband & amp ; get engage Giraffe 8 year . return celebrate bday & amp ; anniversary engagement . mention booking room tell have upgrade gorgeous suite price . also send we champagne & amp ; chocolate . plan make annual tradition . 
 Feb 2 2009 	 Perfect choice NYC visit price 	 wife stay 2 night hotel perfect budget - minded discern people like we . tasteful modern decor , standard room layout , nothing fancy , everything good working order , good amenity ( tv , cd , dvd room , gym privilege 3 block away ) , basic comfortable lounge fresh simple continental breakfast , always pleasant staff . big plus wine cheese every evening 6 - 8 pm ! ! ! 
 Jan 31 2009 	 Quirky 	 not sure , name like . website though paint different picture , be not expect . hotel centrally locate , great respect coz number meeting around NY do not take long get anywhere Giraffe . staff rude uppity , esp help desk , though guy come room service good prompt . net access speedy , . suppose check week mess booking shift another floor last two day . terrible room , ask shift we , take . give fault , quite rude want we shift present room even next room be not confirm . suppose sit lobby luggage guest take time get . sure would do american guest make scene back . another time , clean lady cheerfully let room sleep . collective scream side glad sleep . except location , nothing much else recommend . except name , perhaps . quirky enough get front door . ? good luck . 
 Jan 29 2009 	 Hotel Giraffe 	 stay Giraffe 5 time always pleased . room quiet , clean decent size . staff helpful nice . lobby comfortable hang ( cancel flight ) complimentary breakfast cheese cracker pm real bonus we try save money small business .. location convenient ( Park Ave . go direction ! ) safe , walk friendly , lot restaurant area . price always fair although always weekday price high day find super annoying . 
 Jan 29 2009 	 Doubt beat value midtown Manhattan : highly recommend 	 partner stay deluxe room two night , visit NYC friend 's 40th . travel lot pretty demand place stay , pleased say find pretty much impossible fault hotel . , 's outstanding value : get real quality friendly service , be relatively low cost midtown Manhattan . we particularly impress comfortable , enormous bed , well - equip bathroom . deluxe room small living room area include , add sense space , worth pay little bit extra . bathroom high standard - nothing write home , everything would want away home . check check extremely efficient friendly , free breakfast simple perfectly adequate , common area good condition . all , be hard fault hotel . may win award originality , nevertheless be comfortable , recommend highly . 
 Jan 29 2009 	 Wonderful Hotel ! ! ! ! 	 husband stay last weekend . wonderful . staff could pleasant . room closet size meticulous . balcony . beautiful terrace upstairs cold . love location ! overnight valet parking $ 28 night reasonable . free wine cheese reception free breakfast weekend . overall one good hotel stay NY ! 
 Jan 28 2009 	 good small hotel NYC ! 	 travel New York 4 5 time year like stay Gramercy Park area ( daughter live ) . ' ve stay number time Gramercy Park Hotel W . costly Giraffe . ( Gramercy Park Hotel significantly expensive ) . swank nice - to - great bar , come actual room , neither compare Giraffe . build NEW , renovate old building . room extremely well design . sufficiently large clean , new , well - think - out interior . classy luxurious ( important ) great drawer space . large window . great bathroom . can not say either 2 hotel . Breakfast include , great . want Gramercy Park / Union Square /Chelsea area , far good hotel neighborhood . even though prefer location Gramercy Park Hotel , will never stay anywhere Giraffe . 's worth short walk stay clean , new , well design hotel - incredibly reasonably price . 
 Jan 27 2009 	 Staff could kinder 	 go New York visit daughter birthday need hotel close apartment . daughter tell Hotel Giraffe close book could please . stay another friend impress everything . staff kind way doorman front desk housekeeping . wine cheese nice extra really enjoy breakfast serve . room great could use little light . bed comfortable bathroom nice size . tell really enjoy would definetly go back . 
 Jan 26 2009 	 Giraffe simply good boutique hotel New York . 	 second year Giraffe January , simply good boutique hotel New York . extraordinary level personal service throughout staff : member go far beyond norm provide personal , friendly , name assistance . haughtiness attitude , premiere service . beautifully appoint , thoughtfully design , exquisite architecture , top shelf amenity . travel experience could positive . complimentary cocktail hour accompany brilliant pianist , lovely continental also complimentary breakfast , want . 
