City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Aug 30 2009 	 always stay City Inn Westminster never disappoint 	 consistently reliable , clean , funky hotel Macs every room ... affordable London great , quiet location . stay recently unfortunately fire alarm pull middle night . everyone evacuate hotel ... pleasant , however staff handle relatively well apology letter find underneath door hotel manager next morning . ' ve stay hotel several time past year never fire alarm go , clearly one incident . side hotel - breakfast way overprice 3 4 time ' ve eat , staff pretty miserable border rude , imagine restaurant poorly manage . would not advise pay outrageous price food thinking get great food either ... go somewhere else breakfast definitely worth stay . 
 Aug 30 2009 	 absolutely Perfect 	 enjoy another fantastic stay City Inn praise highly enough . location , room , staff , food - oh god ! ! food ! ! ! ! ! everything Excellent ! ! ! ! time visit London reason stay hotel . stay City Inn reason visit London . already plan next trip . 
 Aug 30 2009 	 Loved 	 City Inn Westminster locate nice quieter area London . yet , close action . room large modern . love free Internet Apple Mac computer . ( room ) continental breakfast varied generous . staff helpful friendly . would recommend hotel course stay . 
 Aug 26 2009 	 Excellent 	 Stayed City Inn two night twin room . locate 5 minute Pimlico tube sation - make hotel easily accessible . although victoria line suspend stay , westminster tube station locate 10 minute , provide we opportunity walk along river Thames past house parliament . room good size bed comfortable , much wardrobe drawer space two people . hotel nice extras imac , complimentry use WiFi , bathrobe , malton brown toiletry . rate include full english breakfast ( make order ) , serve restaurant . overall stay fantastic . would stay . 
 Aug 25 2009 	 Outstanding Round 	 7 day family vacation . beautiful scenic location hotel . & quot ; stone throw & quot ; Thames River . short / medium walking distance virtually 90 % would want see London ... little bit beat path also add appeal . concierge restaurant staff extremely helpful courteous . hotel attribute & quot ; modern & quot ; . room well appoint daily housekeeping excellent . multi - function Mac computer / tv / dvd great idea . free hot breakfast include room fantastic ; tremendous value family ( everything Eggs Benedict full english breakfast ) . 
 Aug 25 2009 	 first class every way - accommodation service food 	 stay mum city trip see Hairspray also fantastic . first arrival service excellent - professional helpful . even manage check early state time . room clean , modern access internet MAC . hotel gorgeous restaurant food first class . breakfast hot also provide continental superb . freshly ground coffee , selection food traditional english loch fyne kipper smoke haddock first class . service prompt , pleasant professional . ideal look quiet night sleep want easy access main attraction Houses Parliament literally round corner . first class every way . 
 Aug 25 2009 	 good second time aoround 	 stay long weekend City Inn enjoy much first visit . convenient location , super efficient polite staff , great quality breakfast , clean well furnish room excellent TV / IT facility ( Apple all - in - one system ) , comfartable bed , not hear thing room / corridoor ( contrary last reviewer ) , really good relax bar fair price ( £ 2.99 pint Amstel lager ) , etc . etc . etc . another great stay would certainly make we look City Inns first visit city . 
 Aug 22 2009 	 Noisiest hotel Ikea Travel lodge Tourist Trap 	 stay 11th floor come 6 am noise unbearable . hear constant bang door someone try knock building down . every single door corridor must faulty . check mine damper door serve slam shut force . its like cheap Ikea flat pack hotel cheap tacky fitting obviously break . if intend rise 6 am stay away place , horrendous . 
 Aug 22 2009 	 clean contemporary friendly good value money 	 clean , excellent service , friendly staff , good food good value , stay Sat / Sun Theatre break , walk distance nice surrounding Victoria Theatre ( 15 min ) back road . take pre theatre dinner , good value excellent food . visit hotel bar afterwards , nice quiet surrounding . breakfeast good well , Sun till 11 am . room clean , bed small side . apple flatscreen free internet access ! would stay . 
 Aug 21 2009 	 great hotel choose entirely due Trip Advisor review 	 enjoy three day midweek break two pleasant standard double room amazing £ 104 per room per night include good full breakfast ( normally £ 17.50 ) book hotelconnect.com . the City Inn modern hotel Millbank area Westminster . this certainly good hotel stay London would recommend other wish pomp ceremony old formal hotel . many tourist attraction within 20 minute walk we next tube station ( Pimlico 8 minute walk away ) problem . it be worth note drawer space fairly limit everything else positive certainly go back thank Trip Advisor review ! . Potter ( Mrs ) ( N.Staffordshire ) 
 Aug 21 2009 	 Excellent 	 stay one night . deal room breakfast . great hotel . locate near Tate Britain within walk distance Westminster local bus . room fine , iMac system work well wonderful free internet access . go breakfast 8.15 Sunday morning busy . slight mix - serve tea instead coffee scarmble egg smoke salmon . service quick friendly . one nice hotel London ' ve stay . 
 Aug 21 2009 	 Superb ! 	 stay mid - aug unusually London , weather fantastic whole 5 day ! mean every wake minute , , little use excellent facility hotel & amp ; room offer . teenage child though , really appreciate able get end day chat friend usual ' social networking ' site day event .... wife book ticket etc - free via WiFi iMac entertainment centre combine computer , tv - Sky Satellite dare not use would never get start football season .... : - ) dvd player good choice free movie ! also free safety deposit box 15inch laptop could fit safe storage whilst , small drink fridge choice beer , spirit etc fancy quick tipple without go stylish contemporary bar ! one thing notice incredibly polite friendly every single member staff .... genuine friendliness - ' put ' ..... really enhance stay ! , would say ideal hotel stay London - certainly well stay ... definitely stay next visit city ...... HIGHLY RECOMEND ! 
 Aug 17 2009 	 Modern hotel free in - room iMac perfect we ! 	 ( tend & quot ; glass half full & quot ; person consider read review . ) son visit London first time US . room huge ( urban room ) efficiently design . twin bed ( push together space queen king ) never know son beside -- comfortable . bed fluffy duvet top sheet ( 's male house prefer anyway ) ; however duvet cover thin change sheet new guest . a / c easy control ; idea adjacent room noisy turn fan night never hear peep outside room . bathroom small nice -- shower gel dispenser shower bath towel large fluffy . shower head height adjustible water pressure great . good part room iMac -- download photo day iPhoto post website friend family see . iMac store datum use room ( photo , example ) leave , shut datum erase . afraid would save everything flash drive necessary . talk several american tourist either internet service pricey . implied & quot ; traditional & quot ; hotels area service - orient use . stay include either continental breakfast full english breakfast . try full English breakfast one morning say day continental . wonderful -- cheese tomato croissant , cheese tray , meat tray , pastry , toast , fresh fruit juice ( ' m probably leave something 's ) ! thing would change would move hotel block close Underground Station ! weather great son walk back forth ( five minute walk ) Pimlico Station walk direction ( maybe 10 minute ) Westminster Abbey Palaces Westminster ( Houses Parliament ) . hotel quiet business neighborhood ( be right across street Thames House -- sshh -- ' m sure get plenty security camera footage ) pub call westminster two block away want pub food . all , DEFINITELY stay ever go London ! 
 Aug 16 2009 	 nice hotel 	 say hotel stay England , far good ! room nice , staff nice bed comfortable . problem edge wall suit miss mold daughter fall really hurt edge . tell . , would love return . 
 Aug 13 2009 	 one favourite hotel ! 	 hotel one good part trip Europe . perfect location , well price hostel ( private double ) great amenity computer free dvds borrow . would recommend anyone - regardless travel budget ! ! 
 Aug 11 2009 	 look anywhere else next time ' m London 	 title say really , hotel clean , modern excellent location . unless walk slowly 5 minute walk Pimlico station 10 minute Westminster Station . we arrive hotel 9:30am able check immediately ! fuss , wait . room get change walk past Big Ben 10AM ! room well equip previous post state bed comfortable ! bathroom little small spotlessly tidy shower warm powerful ! room also iron board iron , tea coffee make facility along wide range tea coffee . next time wife London certainly stay CIty Inn Westminster . 
 Aug 10 2009 	 GREAT hotel - avoid restaurant bar 	 wonderful accommodation , staff convenient location . excellent italian restaurant around corner hotel . eat Tate Britain front door . hotel . bus stop front door 's short hop Victoria Station bus . avoid restaurant bar cost . serve fish rotten smell ammonia almost overwhelming . subsequent order take hour arrive remind wait staff . food beautifully present ingredient well . hotel restaurant may management . service bar also slow even uncrowded evening . if hotel restaurant , would give City Inn 5 star rating . 
 Aug 8 2009 	 wonderful ..... one stay next time .. 	 breakfast certainly plus three night stay . husband hotel popping enjoy different area London one week holiday . location , iMac , service satisfactory , therefore , sure good three hotel without question . review true hotel . thank .... 
 Aug 8 2009 	 one good London hotel ! 	 stay City Inn Westminster partner anniversary August 2009 . know hotel never stay . month ago find inexpensive rate £ 79.00 per room per night incl . vat full english breakfast OctopusTravel book immediately . regret ! City Inn Westminster wonderfully elegant , modern clean hotel good location Westminster Pimlico tube station . however , 10 - to-15 - minute walk either . nevertheless , thoroughly enjoy stay : hotel room quite spacious , equip iMac entertainment system ( free internet access , also free Wi - Fi ) one comfortable bed ' ve ever sleep . hard get morning ! : - ) continental brekafast impressive ; however , English breakfast delicious . buffet breakfast , prepare individually serve , really appreciate . hotel also boast fitness room , nice bar restaurant , dvd CD collection free entertainment room much more . the staff friendly efficient , yet pushy either . must say price probably well get London . definitely recommend hotel everyone ( business traveller , family couple ) ; know mainly business hotel , expect look business hotel . expect old - fashioned English hotel ; contemporary hotel everything need relaxed stay big smoke . 
 Aug 6 2009 	 Impressed 	 husband stay City Inn Westminster celebrate first wedding anniversary 2nd August . decide stay sightsee also go theatre see Mamma Mia . standard room second floor ( room 231 ) happy - clean , comfortable modern . husband , electronics impressed iMAC computer room also double entertainment system . eat restaurant Friday night nice indeed , staff friendly prompt service . Breakfast Saturday morning wonderful , every conceivable item could possibly want breakfast ! would recommend not leave late breakfast especially stay weekend , get busy . find hotel fairly central tube station close . overall would definitely go back service excellent , food excellent , room nice . 
 Aug 5 2009 	 LOVE LOVE LOVE Hotel 	 love everything Hotel , bar lovely quiet drink head . restaurant lovely room great reason - business leisure . staff friendly helpful . stay Hotel numerous time would 100 % stay . look website special deal look save money - normally quite good watch penny . 
 Aug 3 2009 	 stylish modern comfort great part London 	 return weekend stay City Inn , part large wedding party . the hotel chic stylish - simple , modern decor light , bright funky . plenty staff reception , mean although hotel bustle people , check quickly efficiently . early check - in request accommodate problem all . our room 9th floor huge , absolutely fine size length stay . Impressed Mac entertainment system room , work treat make stay extra - enjoyable ... like tech 'd ! room clean , bed really comfortable , good towel bathrobe , iron facility , nice range brewing - up stuff decent shower ( bath , fine we ) .lift room quick ! bar area ( Millbank Lounge ) comfortable funky - lot red black , low - level sofas . worth note open Sunday , not large area relax read paper breakfast Sunday morning . lobby lounge area full quickly . Breakfast well cook . lovely choice menu enough plate satisfy over - face . good range fruit cereal , plus bakery item offer . head early ( pre-9am ) beat rush . leave long queue . wait staff breakfast good , especially consider busy . hotel short walk Thames 's easy stroll touristy spot along South Bank well Houses Parliament . , hotel set away river main road , feel quiet away hustle bustle would get hotel west end . 
 Aug 3 2009 	 Cool hotel excellent value money 	 stay March 09 business trip . impressed hotel room - modern , comfortable clean . staff helpful friendly . location convenient Westminster central London . Breakfast delicious restaurant light airy . pleasantly surprised City Inn highly recommend friend colleague . 
 Aug 2 2009 	 PERFECT location Loved room ! 	 never London be hard time decide stay . get really good deal Expedia $ 127/ night . worth . location close everything . couple block westminister Abby Parliment . everything else stem . walk couple block Lambeth bridge get nice view London eye Parliment . Super easy get sights- hussel bussel busy London . hotel sort tuck back little feel almost part neighborhood . hotel restaurant bite spendy great restaurant close proxemity , walk around corner . great spot call ( can not remember name , start & quot ; & quot ; like Saporros ? ? ? ) walk one morning pick take full english breakfast 4 GBP 's nice- throw fruit . travel baby small child baby cots pack - n - play . cost Cutters grocery 2 block need baby essential , also great place stock Beer etc avoid mini bar charge . next cost Cutters Pret Manger wonderful takeaway food well . also- small kid playground Victoria Gardens Juntion Lambeth Bridge . short walk stop everyday let 10 month old son swing swing . the room spacious London standard , well appoint . robe , large bath towels- shower gel pump shower . the bathroom small nicely design . good part Apple computer room- internet tv . additional charge internet DVD library concierge 's desk too . we eat Cafe yummy- spendy leave little hungry . many great place w / in walk distance- save money explore those . we love , Love , LOVED hotel love location even . stay ! 
 Aug 2 2009 	 Great 	 arrive City Inn take tube . find hotel bit cumbersome know London well , walk find it . reception great . arrive early clean room available , receptionist upgrade well room charge . room clean , everything need , include mac nice feature . bathroom good although bit small . hotel everything require though . I stay two night , noise ever , question personell deal politely quickly . breakfast good , although many people 10 am Saturday , hectic . selection good . right next hotel also great pizza - place eat , also good . also visit hotel lounge , also good good selection drink food . dinner much roquefort taste , probably read menu well enough . atmosphere great , clientele great waiter superb . definitiely recommendable stay London . real minus walk 10 minute Westminister Tube Station 5 - 6 minute Pimlico Tube Station . outside , really good . 
 Jul 31 2009 	 Fantastic ! 	 hotel fantastic , could fault . staff brilliant , breakfast ace , room immaculate excellent value money . get great deal hotel , consider London , get way do pay ! first class ! lovely , easy ten minute walk tube station , walk breakfast ! staff outstanding bar gorgeous . would recommend hotel anyone visit London , certainly first choice find head way again . thank City Inn Westminster making stay enjoyable ! 
 Jul 30 2009 	 Perfect ! 	 unfortunately get stay City Inn Westminster one night . hotel , bit way major attraction , quiet , clean , comfortable , modern , perfect way end UK trip . need meet modern amenity welcome sight . ( room fit iMac station . ) service remarkable staff go way help we travel relate issue crop . constant line taxi wait front take wherever need go minute walk Pimlico station . Pizza Express short walk hotel restaurant attach well . lovely lunch outdoors City Cafe . 
 Jul 29 2009 	 win formula - definitely back next London 	 spend lot money London hotel - excellent , appalling ..... stay recently establishment cost pretty much City iInn feel cheap scream ' budget ' - .... room basic exceptionally clean cramp , really nice touch , mac room free internet / double tv dvd player - excellent . White Company toiletry - , welcome touch compare ' budget ' hotel toiletry generally ' wash liquid ' variety . breakfast serve helpful , cheerful staff - could smoother ask fruit / cheese etc . put . Bread appear finish . criticism could make would speed re - stocking breakfast item maybe bed could bit big , small side two . overall , really enjoy formula hotel come - budget ' cheap ' - definitely stay next time London . 
 Jul 28 2009 	 everything claim - great hotel 	 stay weekend catch friend thoroughly enjoy . everything lovely - location , room , staff , entertainment system , little touch like ice bucket ice machine , bed , soundproof window , air conditioning system , white toiletry yummy buffet breakfast . we get great deal www.hotelsclick.com would highly recommend hotel friend . 
 Jul 28 2009 	 great value London 	 stay suite travel grow child want pay 2 room . living room spacious , lot room rollaway bed . room computer , bathroom spacious , concierge friendly helpful . give we complimentary fruit wonderful chocolate . dining table room , able takeout lunch dinner grocery store tired restaurant dining . save we money well . 
 Jul 28 2009 	 stop read book ! 	 no - brainer , long be happy location . can not every city one hotel ? deserve 4 * 5 * review get , ' m happy add long list . 
 Jul 27 2009 	 Coffee improve 	 go back City Inn weekend break - like 's location ( away crowd ) city centre hotel peace quiet . breakfast coffee taste coffee ! ! ! ! ! 
 Jul 23 2009 	 great value quality great location 	 Weekend stay certainly offer value money . nice style hotel . room clean entertaimment facility great ( internet access etc room , without drag laptop ) .brisk 5 min walk Westminster , bus go almost outside hotel west end . would happily stay , would reluctant pay mid week rate though . 
 Jul 23 2009 	 can not recommend enough 	 arrive hotel monday book bookinhotels.com ( USE ever ! ) turn cancel reservation without tell never refund me.the hotel go way assist we . manager Adam even match rate give we give we room even though hotel fully book . the staff extremely helpful friendly.the room lovely . small clean great view river . breakfast excellent . location great . Pimlico sligthly nearer westminster tube would recommend westmister nicer walk tube lines.i definatly stay hotel . 
 Jul 22 2009 	 great weekend away 	 spend weekend City Inn Westminster , would highly recommend anyone look get away London . CityInn offer competitive weekend rate include full breakfast . check great , room - modern clean . late lunch bar lovely , nice make food day , well afternoon tea drink bar . breakfast morning wonderful , cook food make order . staff work hard make sure great coffee , fresh toast extras require . cocktail bar also open evening specialize make sort wonderful cocktail . nice bar busy evening , part attribute nice atmosphere , good quality price food drink . overall , absolutely wonderful stay return . 
 Jul 21 2009 	 high - tech hotel 	 hotel offer iMac free internet access room great think hotel charge quite lot money wireless . Wifi also free charge hotel bring laptop . room quite large , bathroom really small . twin room must say bed small adult ... rate include full english breakfast eat restaurant . hotel keen use technology waitress small iPaq take order . negative point order english breakfast , buffet offer continental breakfast . 's bit annoying want egg bean whatever , need order . 1 thing underline , hotel one know offer real fresh orange juice , really good difference ! concern location , be max . 10 minute away Pimlico ( direct line King 's Cross St Pancras ) C10 street ( go Victoria ) 88 ( go Vauxhall ) . try find good rate ( pay 99GBP in / night ) hotel quite expensive ... 
 Jul 20 2009 	 great stay 	 Booked City Inn Westminster birthday surprise partner have previously good stay City Inns Bristol Birmingham . lovely spacious ( central London ) room 5th floor nice view Tate Britain , super - comfortable bed , amenity include ; good night 's sleep ! breakfast great plenty choice attentive staff spite Sunday morning crowd . £ 100 , bad value either . hotel really easy walk Westminster Houses Parliament location excellent too . a hidden attraction underground car park really promote website £ 20 night ; ask desk . public transport parking issue , be overly - expensive option either space clearance scarily restrict leave Range Rover home , : ) , hotel really deserve 's position top - end Tripadvisor London hotel list another due open around Tower London , savvy traveller spoil choice ! 
 Jul 20 2009 	 Excellent Hotel Value London UK 	 Great Hotel , would definitely recommend . chic , modern design . bed comfortable , room public area clean . service staff outstanding . wonderful place stay London without spend small fortune . be never free lunch one feature hotel note . 10 minute walk Pimlico , 12 - 15 Westminster , say hotel centrally locate . issue , get well hotel , staff , room , everything would MUCH less money . one use apple computer every room access internet , tv , radio commendable ( charge ) . overall highly recommend ! book hotel . note : stay City Inn Glasgow City Inn Birmingham property similar -- use win formula . 
 Jul 19 2009 	 Fantastic reasonably price London hotel 	 stay almost every time ' ve come London weekend away . never disappoint always seem improve . rate great accommodation London upscale quality room mention Mac computer feature every room serve tv , dvd player computer . beautiful part city well 10 minute walk south Parliament . complaint breakfast service staff apathetic people seem quite unhappy general , breakfast price outrageous , would either get include rate go elsewhere . definitely say will ... 
 Jul 15 2009 	 Hotel Great 	 Hubby & amp ; stay City Inn Westminster London ( sadly ) one night end brief trip Italy . Hoorah , City Inn could make cuppa room . contrast stuffy italian hotel , robe , iron board clean high power shower use . sleep really comfortable bed 's mac room double tv free internet connection . top welcome warmly hotel treat good hotel breakfast .... well full usual buffet try kedgeree , fry kipper black pudding . Breakfast include fantastic weekend rate 98 pound . hotel advertise way modern hotel agree completely . well do City Hotel . 
 Jul 14 2009 	 Excellent stay City Inn Westminster 	 use Manchester hotel decide try London branch chain . good room rate especially room air - con ( vital hot day capital ) . bath problem . room well maintain Mac room useful . excellent staff - friendly efficient . Breakfast run like clockwork - buffet well stock hot food cook order arrive time . a good 5 10 min walk tube ( Pimlico ) quiet area . Handy Tate Parliament away main tourist area will either walk mile take bus / tube / cab - bonus not wake street noise . 
 Jul 14 2009 	 nice modern comfortable hotel 	 spend two night City Inn . modern comfortable . take get use imac system would good movie demand , instead go reception use dvd library . overall , impressed check check , good cook breakfast nice evening meal city cafe one evening . drink bar tad expensive , even London standard . location problem leisure traveller everything cab ride away quite long walk . 
 Jul 13 2009 	 reccomende 	 Stayed City Inn 4 night . hotel look modern staff professional freandly . double room modern decorate furnish . room medium size : big small ... hotel locate quiet Westminster area . close tube / mtro station 5 - 10 minute walk : use mainly westminster station right front Parliament . room hotel Mac computer instal free internet access . hotel Wi - Fi connection , however , attempt connect Windows laptop unsucsefful . anyway , overall impression positive . would highly reccomend prefer stay quate downtown area London within short walk dictance main attraction . 
 Jul 13 2009 	 fantastic affordable hotel - would definitely stay ! 	 stay one night mum run London 10k race Sunday . perfect location Westminster . surprised find hotel available ( good price ) book 2 night stay . hotel modern still feel ' new . ' reception , restaurant staff extremely friendly polite ( well trained ) leave phone charger room check , phone next day ask , extremely friendly phone offer send back free charge , straight away . room spacious imac computer work tv / internet / ipod , etc . free DVD 's CD 's reception borrow watch room ! thing ( anything ) would say could well , many shop / restaurant etc nearby . pizza express next door hotel , need walk little bit . however say , 10min walk millennium eye , less Westminster Abbey , Big Ben , etc . tube stop within 5 - 15 min . first review ' ve write feel hotel quiet gem . would definitely stay . 
 Jul 12 2009 	 Excellent Choice 	 stay City Inn Westminster two night begin July think superb choice . room clean excellent air conditioning really comfortable bed usual choice pillow . bathroom ( without bath ! ! ) excellent shower & quot ; White Company & quot ; tolietrie fiance assure top range . a plus anyone hate pay e - mail room I - mac free internet access plus usual amount tv station . we eat bar late one night think although quite expensive food good . one drawback bar drink really expensive although accept little London . one thing must miss breakfast plentyful tasty . although nearst underground station ( Pilmico ) one line five minute away Victoria good hub walk minute hotel . alternatively 15 minute walk Westminster Big Ben . overall able get room City Inn less £ 120 would highly recommend fully intend stay next visit capital . 
 Jul 12 2009 	 good value hotel excellent staff 	 suprisingly good hotel price pay . not ideally situate West end , keen walker , enjoy walk . convenient Houses Parliament Big Ben also within 10 - 15 min walk distance St James ' Park . the reception area busy arrive 5 receptionist check - in complete quickly efficiently . public area bedroom spotlessly clean . bedroom large average price pay quite minimalist modern style . bathroom quite small everything need . Breakfast excellent include special deal price pay . the good thing hotel attitude staff . everyone helpful friendly . 
 Jul 12 2009 	 Lovely 	 stay one night Westminster , City Inn . good 10 min walk Westminster tube station , location central bus nearby anyhow . lovely quiet street noise traffic . modern hotel late technology room . room bathroom spacious , comfortable air con . bed pillow comfy - good night sleep ever ! price room reasonable 4 star hotel central London , look deal lateroom.com . look modern quiet Hotel central London -this one ! 
 Jul 11 2009 	 great always . favourite hotel chain 	 ' ve stay previously Manchester City Inn look forward work conference Westminster city Inn , know expect . disappointed . everything perfect , bed , i - mac system , bathroom - although Westminster one feel little date ( much though ) compare Manchester hotel . the service busy bar one thing let though - millbank lounge great bar catch , seem real lack bar staff wait 10 - 15 min get drink . look forward next stay ! 
 Jul 10 2009 	 great modern hotel 	 hotel Westminster everything need . hotel room clean airconditioned can not hear thing room . mac room great convienence ( print service desk need - helpful electronic ticket ) room move around nice well - London hotel cramp . order room service one night food good reasonably price . would recommend add breakfast buffet hotel room rate get discount advance serve breakfast 11 am , like not get really early holiday , still take advantage buffet . not seem lot right near hotel far restaurant / bar , tube stop ( Pimlico ) 5 minute walk convience store news store couple block away ( way tube ) . great customer service / friendly staff . 
 Jul 9 2009 	 good ! 	 stay City Inn several time . suspect one well - run hotel London . everything efficient yet friendly . room excellent room facility - Apple Mac computer station , free wifi etc . cleanliness also reproach . not eat Restaurant yet , apart breakfast , dinner good breakfast superb . as far - 's close Houses Parliament , Westminster Abbey , Tate Britain river . near tube Pimlico ( 5 min walk ) Westminster ( 10 min walk ) . 
 Jul 7 2009 	 nice business pleasure hotel 	 stay 3 week June . will not bore repeat everyone else say . picture people post accurate . room good size , bathroom quite cramp , shower , fine otherwise . initially towel typical burlap rough hotel towel , midway stay switch new one everywhere . nice soft one . small thing , nice . the bed & amp ; linen comfortable . thing miss room clock . use iPhone anyway alarm , aware . iMac room TV & amp ; general computer use great . Free wired & amp ; wireless access available room . speed not great ... fine general web browsing / email even VOIP.Highlights hotel ( beyond spartan nice clean room ) staff & amp ; room service . long enough , plenty tired night back long day office use room service quite bit . food high quality nicely prepared . would highly recommend tomato onion salad ( balsamic side ) burger . try many thing , lackluster spaghetti , everything beyond usually see room service . room quiet , could not hear neighbor hallway noise . awesome . a / c unit work well . some may consider location con , not mind walk 10 minute , location great . place eat / drink close however . small grocery 10 minute walk away ( Tesco express ) .service always friendly competent . exercise room nicely fit well . I travel London good bit , new favorite business hotel . luxury mean ... modern ( London hotel seem stuck 70 ) , quiet , everything make nice stay . 
 Jul 7 2009 	 great stay 	 previous stay hotel June leave review site feel honest . large like hotel bit bad breakfast experience . anyway , Simon Morpuss , manager , contact apologetic bad experience assure we everything would done ensure feedback act . also confirm return would upgrade suite extra cost , great . as consequence look forward trip ( see take Wembley Stadium ) not disappoint time - excellent stay . arrival introduce duty manager City Cafe general manager , lovely go way make we feel welcome . check staff also really nice ( always though say ) . room great , separate living area , nice big bed nice bathroom . two i - mac , one room . yay ! : - ) great night sleep nice lie ( something not normally get two young child ... not we ) lovely breakfast . , City Cafe general manager , Kemal , come talk we breakfast . be really nice guy make we feel like well look . real return form . my regr not stay long . one night short time hotel great weekend lovely . sad come home back reality ( work ) . still , will back soon enough ... 
 Jul 6 2009 	 Excellent facility service 	 spend couple night visit London business . staff reception , restaurant check friendly helpful . room decor stylish modern integrate iMac / entertainment centre , well free wifi pc . price breakfast , meal drink seem little high , probably line central London hotel . 
 Jul 5 2009 	 Hotel like review say : ) 	 stay hotel first time day ago , whilst concert London . find via one usual money save site check , book many great review ; get great deal ( think ! ) - 2 room 4 * hotel full breakfast ( usually £ 19 pp ) £ 200 ! ! honestly say dissapointed return sure . staff friendly helpfull throughout stay , day call offer try get we room early 3 pm check need look bag we . room great everything need , clean quiet . bar lttle pricey london guss ! pleasently surprised quiet hotel room night breakfast morning lovely - good black pudding year full english . seperate check would prehaphs good unfortunatly coach load people arrive check try leave delay thing bit , one fault . people say 10 min walk either Pimlico Westminster tube - personally prefer walk westminster alon river Houses Parliment . Tate Britian miniute hotel ( towards Pimlico ) well worth spend hour look around ( nice sandwich ! ) put review context : work nurse NHS middle income , ordinary family like make saving also like bit quality - similar us love place . 
 Jul 3 2009 	 Brilliant 	 stay Hard Rock Calling get double room £ 99 / night include breakfast . brilliant stay , well design room , great staff 
 Jul 1 2009 	 Unusually London great modern city hotel good price . 	 travel London two day trip evening concert . want handy main tourist trap busy street . always not want usual over - price tired old London dump tiny room . place tick every box . great location 2 street away house parliament tube stop , quiet street . super modern , clean interior , great bar upstairs food lovely cover outdoor seating area teh side hotel . Wee book cheap flight via ' http : //flights.search.co.uk ' hotel via google search contact directly . cost c.£120 worth every penny . highly recommend ( also give we discount voucher return - no - brainer ! ) 
