almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Mar 28 2009 	 Excellent welcome large group 	 hotel extremely welcome large group , family room airy roomy high ceiling , clean modern bathroom plenty hot water , towel warmer , hair dryer provide room . also provide pot heat water tea room . kindly allow we select large tea selection dining room carry back room even cup coffee extra charge ( group full breakfast daily however ) . arrange advance enjoy breakfast soon open daily , see sufficient food available fresh hot buffet arrival 30 + people . bathroom shiney clean daily , towel large fresh , none small towel tepid water tiny room have warn . location excellent , lot family friendly restaurant near area , convenience store across road fairly reasonable price , easy landmark right next door ( London Eye ) case group get separate . 
 Mar 25 2009 	 London ease ! 	 stay twice impressed . location superb , indeed London Eye see corridor window ( mean close ) . Waterloo ( one main station train tube link ) 5 minute walk away , Trafalgar Sq . 10 min . room clean always , comfortable roomy . staff extremely helpful friendly , would recommend anyone ! eat restaurant , food reasonably price nice ! rate also reasonable , similar chain hotel express holiday inn . 
 Mar 25 2009 	 Perfect place London visit . exceptional staff great location . 	 visit 2 daughter impressed staff . read previous review know busy neighborhood , 's happen be heart everything . can not say enough good thing staff . make we feel welcome care . room clean enough even comfortable . manage vacation rental live know look . usual miss - dust hinge bathroom door fire sprinkler , minor compare place ' ve . , staff make worth . plus within walk distance enough site rarely need take transportation . , highly recommend stay . 
 Mar 25 2009 	 Fantastic ! 	 be Australia go UK visit parent . stay year ago decide treat parent trip London book hotel . time pay breakfast . 2 family room , cost 109 GBP , room basic ( fridge , put drink double glaze window ) , 's reasonable fancy extra could fault superb friendly service , buffet breakfast 7.50gpb good ' ve anywhere , ' ve stay posh place ! ! stay night Manchester Travel lodge flight home .... 's different story ..... Premier Inn way ! 
 Mar 24 2009 	 fantastic location - thank trip advisor L.Collins Tipperary . Ireland 	 husband teenage daughter return 4 day trip London . choose hotel read review trip advisor delighted choice . fantastic location , many place within walking distance . walk Picadilly Circus Leister Square , Buckingham Palace , stroll along South Bank night London eye . good trip London ever . main purpose visit go 2 show West End- brilliant ( Phantom Opera Wicked ) treat stroll home moonlight . also lucky weather ! breakfast hotel excellent value , great selection choose child 16 eat free . photograph Premier Inn website excellent indication food offer . staff really friendly always greet we smile meet corridor . room luxury spacious everything anyone could want trip - clean bed , fresh towel daily , tea / coffee make facility , hairdryer even heat towel rail bathroom ( also problem request extra pillow ! ) . pipe hot water day night ( something often absent expensive London Hotels ! ) . can not wait visit London stay superb location soon get opportunity recommend friend ideal location sightseeing etc . Big Ben accross river London eye near keep eye queue visit be quiet . well do Premier Inn County Hall ! see soon . 
 Mar 22 2009 	 Quieter could believe 	 hotel heart London yard London Eye would know . room quiet would think moon . the hotel contain within County Hall massive old structure result real floor hear people , even corridor outside unless shout , certainly hear footstep . result one good night sleep age . check efficient within couple minute room . room standard Premier Inn fair aircon spotlessly clean . I also dine restaurant pub fair top restaurant food good well present . Premier Inn also licence bar . this venue provide great centre explore London may return family later year . this hotel suitable disabled 15 step enter reception old building sure anything could solve . 
 Mar 21 2009 	 great hotel location ! 	 spend 4 night early March Mother / Daughter trip . Daughter 's first time London . could please . arrive early happily store luggage go sight seeing . reserve twin room pleasantly surprise double bed single bed . comfortable . room large necessity . extra frill not need . really enjoy breakfast every day complimentary newspaper . staff friendly helpful come across long . love close London Eye Westminster . Waterloo station street bus stop corner . could choose well place stay trip would definitely stay . 
 Mar 18 2009 	 Ideal Location Family Trip London 	 wife take 2 kid ( aged 6 3 ) weekend break London Premier Inn , County Hall prove ideal base we . arrive Saturday shortly lunch drop bag head afternoon . staff reception friendly helpful give we lot info thing place eat . the room nice size sofa bed full size single mattress second pull mattress provide comfortable sleeping accommodation 2 kid . hotel locate quiet street mean get good night sleep . extra bonus hotel base central London . we eat breakfast hotel morning . great selection food suit adult kid . second morning , son feel well restaurant staff helpful , offering send food room need it . the location hotel could not well . situate within easy walk distance 2 tube station ( Waterloo Westminster ) . London Eye London Aquarium around corner . London bus tour duck tour stop nearby also . would definitely recommend stroll along riverbank good way pass afternoon . always plenty see . nice , family - friendly restaurant within minute hotel not go far grab bite eat . I would definitely recommend hotel anyone look good base London break . look high - end luxury base , not . however , want somewhere good location , friendly staff , good facility doorstep comfortable room , hotel . 
 Mar 17 2009 	 Great Location - clean - Good Value - Friendly Staff 	 second stay Premier Inn since 're - branded' . the staff really friendly helpful without top . the hotel clean sel - service breakfast excellent . ideally locate Westminster bar night theatre welcoming . great value - well worth price . 
 Mar 15 2009 	 value location ! 	 locate great spot , right next London Eye building much expensive Marriott . helpful friendly staff . nice restaurant bar meeting friend us trip . close Starbucks , restaurant Parliament . room sparse clean comfortable . stay . 
 Mar 10 2009 	 good value 	 return London ( wife + teenager daughter ) , spend weekend use hotel . ' ve book family room include breakfast ( kid 16 free ) .location : Adjacent London Eye ( 50 yard south - west ) near tube station Waterloo . arrive use tube , follow direction South Bank save walk wonder street London . exit south bank entrance ( go bridge nearby ) go right street ( west ) turn right corner ( north , towards London Eye , front ) leave again . staff : welcome , friendly helpful . assist we time try well . note free luggage room store belong last day need . room : big enough ( family room ) , easily accommodate 4 people . clean , bed comfortable promise . bathroom small ok basic shampoo soap dispenser heat towel rack . room basic minimal furniture ( e.g. , one chair , one drawer ) . safe deposit box . Heater control guest ( ' ve london hotel heat 19 - 23 controllable front desk motion detector instal shut electricity heating ! ! ! ) . WiFi room 10 pound day ( not use option ) well option use 2 computer business area near lobby ( 20p / min ) - use option work perfectly . breakfast : good choice although orient towards english style one . will scramble egg sausage cheese selection fresh vegetable besides cook tomato ... compensate wide selection cereal , fruit , yogurt , jam , bread muffin . excellent espresso / cappuccino machine ( 2 ) , juice wide variety tea . chocolate milk kid ( 2 pound extra really ) . breakfast area nice cozy . Bar / Dinner : use twice - sit near bar order Pizzas drink . good option tired weather discourage you . location : already mention London Eye Tube . 15 minute walk theater area , Big Ben area reachable foot well . excellent quick walk restaurant option south bank . fast food option front hotel include Starbucks . another tip - arrive Heathrow Airport , use Piccadilly Line change Green Park Jubilee ( South Direction ) . tube general cheap way travel Heathrow convinent enough travel light know hold suitcase ( suitable young child ) .Bottom line - good choice ' ve ever make London family trip . ' ve stay London many time probably one good choice ( ~110 pound night ) . may also consider Premier Inn Kings Cross one fully book ( 10 pound cheap ) . 
 Mar 3 2009 	 great value brilliant location 	 come back weekend break , fault hotel price , ok savoy know anyway , location great within walk distance tourist area , book family room 4 large double bed , sofa bed matress floor complaint kid bed . breakfast great take full breakfast option , want continental breakfast 2.95 , staff friendly always smile hello . recomend trip eye watch lion king brilliant , also go london aquarium undergo refurb would give miss till complete 
 Mar 2 2009 	 Great Families 	 great location , frill hotel family four . room consist one queen bed two single bed . room basic simple adequate need . time London perfect . would recommend hotel anyone . 
 Feb 27 2009 	 good budget Hotel excellent location . 	 County Hall Premier Inn perfectly locate next London Eye , short walk away Big Ben & amp ; Houses Parliament . good value money , consider 's location . the staff pleasant polite , provide first rate service . our room clean quiet , comfortable bed adequate en suite facility . basic , price , worth . want luxury - try Dorchester ! breakfast quite varied worth price London . however , neither we strike restaurant evening . service slow , food arrive , vegetable cold . detract overall positive review Hotel deserve . 
 Feb 24 2009 	 Staff absolutely excellent friendly helpful 	 stay two night 8 & amp ; 13 year old . room clean . breakfast fresh plentiful kid eat free great bonus London . location excellent great stay get lot sight seeing . arrive hotel 1.30pm room ready ( despite busy half term holiday ) . able check straight away go day . eat breakfast hotel want explore London , public area clean pleasant . leave bag luggage store last day staff really helpful , hotel & quot ; secure & quot ; feel need room card gain entry lift . stay country say decent hotel decent price flash adequate couple night bed breakfast & quot ; market & quot ; plusher hotel could learn lot service standard fantastic staff attitude real credit hotel . 5 * treatment 3 * price . 
 Feb 20 2009 	 average Premier Inn 	 stay fiancé long weekend would definitely return . whilst 's cheap Premier Inn available London location service make worth extra GBP.We arrive & quot ; official & quot ; check time ask room ready - check hassle . hotel brilliantly locate South Bank , next door Dali Universe right next London Eye . opposite Eye also County Hall build relatively new & quot ; Movieum & quot ; - small museum cover British Film Industry . stay Media theme , BFI IMAX five minute walk away . Waterloo station couple minute foot well . hotel fairly good sized bar restaurant full English all - you - can - eat buffet breakfast available usual £ 7.50 supplement , quite pricey unless really make ! great staff , clean throughout add security benefit access room keycard get elevator make pleasant , safe place stay . slightly hesitant book PI website warn city hotel , street noise could experience never hear thing ! 
 Feb 17 2009 	 excellent value 	 previously stay Tower Bridge Hilton , move mile south bank inevitably result comparison . so obviously less glitz , bright colour , cheap fitting , professional attittude staff absolutely equal coupled combination location excellent breakfast ensure hotel sure fire value choice family weekend break . 
 Feb 16 2009 	 Premier Location ! 	 amazing location build London Eye ticket office ( face opposite direction ) . basic room , plenty big family 4 . helpful front desk staff -- assist luggage storage , direction , restaurant recommendation . 
 Feb 14 2009 	 great location South Bank 	 stay Premier Inn County Hall June 08 10 day . book directly hotel site easy . arrive London early Sunday morning overnight flight Singapore . reach hotel around 6:30am know well 2 pm check - in time hope may room available . service desk staff friendly enough flat refused check we early instead tell come back 2 pm . guess 's pretty popular spot give 's location value . walk around London 8 hour able check easily really complaint stay could not really avoid . staff friendly always ( mean always ) say hello walk past hall . room surprisingly large clean tidy . breakfast restaurant typical english style nice albeit little expensive . good thing hotel location right behind London Eye County Hall . fire evacuation near end stay whole hotel evacuate around 10 pm . handle well even get letter manager follow morning apologise incident cause another hotel County Hall building . , bad . 
 Feb 13 2009 	 clean convenient 	 family four stay five night extremely happy choice . excellent location right near Eye short walk across Thames Houses Parliament Big Ben . breakfast great value , especially child 16 eat free . room spotless large enough fit four we comfortably . another plus close proximity Waterloo Station . , great place stay . 
 Feb 10 2009 	 Great Family Inn close everything 	 stay 2/07/09 .this nice clean Inn basic London Eye outside door close everything . walk way Victoria station one night take 20 minute . Westminster Waterloo tube station block away . double bed two single mattress room 85 pound per night . also English buffet breakfastgreat place stay want room sleep ( clean basic ) . 
 Jan 10 2009 	 Great Location Friendly Staff 	 spend four night husband 14 - year old son . location great , 40 minute London City Airport , 3 minute walk Waterloo 5 minute westminister get around quick simple . hotel right beside London Eye , across bridge Big Ben 15 minute walk Imperial War Museum . the room , ready we arrive 11.45am , quite big clean shower good . back hotel quiet night . breakfast usual three - star fare seem quite expensive , although son eat free . all staff friendly helpful . able leave bag luggage room last day 's sightseeing useful . a previous poster mention difficulty step street . plenty staff reception ' m sure one would delighted help luggage . find check fast convenient . I would certainly stay recommend anyone look good value . hotel some - one look luxury . 
 Jan 9 2009 	 Nice Hotel - Poor Restaurant Service 	 recently spend one night hotel visit London two young child . location hotel hotel room great . family room large normal double two good single bed . the staff friendly generally happy stay . the thing spoil visit service dinner hotel restaurant . two young child use book early dinner 6.45pm . arrive 6.40pm , restaurant almost empty , order take promptly friendly waitress . service poor . eventually threaten cancel order dessert 8.20pm assure ready . eventually leave restaurant 8.30pm ordinary meal . excuse give staff shortage warn . 
 Jan 9 2009 	 happy new year 	 stay premier county hall New Year festivity always premier enjoy stay . one Hiccup time New year eve morning early , wake terrible noise delivery make hotel . however complain true form hotel investigate refunded money night one ask well customer service . Premier true company policy ` ` GOODNIGHT sleep guaranteed money back ' refunded without hestitation apologetic . new year day morning quiet . ! ! ! ! yes premier inn edge service premise . Premier leave near rival Travelodge standing , premier supply reasonable price hotel clean friendly secure . county hall premier like premier inns pleasure stay . breakfast bit race food free large hotel . worry breakfast guest get tea coffee walk back forwards table , suprise accident scold water also child run around . however apart fault premier consider hotel full service excellent place clean staff freindly . apart noise hiccup jolly good stay look forward next stay county hall another premier inn . 
 Jan 8 2009 	 comfortable hotel unsurpassable location 	 Sure hotel not offer amenity upmarket brand . not pool ( would swim winter day London ) gym . room clean comfortable . location quiet , yet bustling . attraction ( Big Ben , Houses Parliment , Westminster Abbey , London Eye , Trafalgar Square ) well walk distance . otherwise Waterloo Station conveniently locate hail Black Cab second . good bang buck London . crave luxury would recommend neighbour Marriott offer similar level convenience . 
 Jan 6 2009 	 wonderful hotel great location ! 	 stay Premier Inn County Hall Christmas New Years . fantastic location inside County Hall beside London Eye , across Thames Big Ben Parliment . we family room consist king size bed , twin bed , another twin mattress floor . room also tv , telephone , spotlessly clean bath bathtub / shower combination , sink , toilet . the room spotlessly clean comfortable . completely soundproof well -- sleep great never hear noise whatsoever ! room overlook Belvedere Road , run front hotel . lot restaurant Belvedere Road , include Yo Sushi ( really enjoy ) Ned 's Noodle Bar also yummy . be also small convenience store starbuck across hotel . County Hall house London Aquarium , along Salvador Dali museum another hotel , Marriott ( twice expensive Premier Inn ! ) opt include breakfast stay -- 's 7.50 pound per adult , child eat free . 's something everyone , 's serve buffet style -- full english fry fare ( back bacon , sausage , egg , bean , mushroom , tomato , toast ) , along yummy croissant , cereal , yogurt , juice , coffee tea , name . say breakfast popular , would recommend go 9 am want avoid wait table . we able walk everywhere hotel -- across Thames Big Ben Westminster Abbey , St. James Park Buckingham Palace . 's also stone 's throw two underground station , Westmister across river Waterloo side river . 's also taxi stand behind London Eye get taxi snap . hotel also phone taxi 's extra 2 pound taxi fare . the hotel staff wonderful friendly ! arrive early Saturday morning ( flight get 8 am ) store luggage we tour day -- family room available time , would let we go ahead check . check later day snap line , check equally easy . I highly recommend hotel especially travel kid travel budget . 's great deal great location ! caveat trouble stair , trouble get hotel -- 15 step front door see sort disabled entry available . 
 Dec 21 2008 	 despite location recommend 	 surprised get twin room weekend Christmas £ 107 . put recession . Hitherto ' ve book book Premier Inns husband , County Hall site overprice . ' ve never stay Premier Inn shock . no one else mention 18 steep step pavement front door . one else mention queue snake line check . take long husband sit luggage . I would book Twin Room . give two blank white plastic card swipe - strip , indication way round present lift , get floor . eventually people get lift able get one . walk 4th floor lift lobby room half mile . thought would never get there . at room door , take 18 attempt blank white card gain access room . simply far go way back reception , keep try try get door unlock . a Twin Room ? get double bed make , couch , make bed . stretch definition Twin Room somewhat - one us sleep couch ...... bedside light anywhere put book alarm clock . one chair . ? nowhere put case unpack , bed floor . sure , large room want put case bed unpack lift sleep , case wheel dirty street ? bathroom door astonishingly heavy automatic close . also dangerous step small bathroom . way stop heavy bathroom door slamming shut every time one we go , jam towel . curtain make plastic . tooth - mug bathroom . shaving - mirror light washhand basin operate independently overhead light . & quot ; view & quot ; grubby internal well . not risk breakfast - walk around corner Festival Hall cafe instead , lovely view river Thames . central London location criterion place . however expect little hotel money go elsewhere - shall future . 
 Dec 19 2008 	 Excellent 	 wife two boy age 5 7 stay family room two night , last weekend November . check quick easy .. room spacious , comfortable clean . dinner hotel right family play pack entertain kid , food good . vast choice breakfast also free child . would definitely stay , aswell offer excellent value , staff make big difference , extremely friendly helpful . 
 Dec 7 2008 	 great place stay London 	 stay 2 week hotel impress friendly staff whenever ready help querrie . hotel location fantastic , exactly heart London . close St. Paul 's cathedral ability nice walk sitting bank Themes business day watch street artist ' performance . run away St. James park get lose away vanity vanity big modern bisy city nature relax . find staff efficient friendly ready help great smile face , make feel welcome comfortable . think , staff like . real english breakfast find fantastic . fresh tasty . second stay hotel first 2006 . appreciate new service , not find before . my room exactly need person stay business trip , good bed spaceous room , comfortable bath good shower help start new day jog along Thames bank . I would recomend hotel anyone want time London either business trip sightseeing shopping . find improve , stay place . thank make stay London memorable ! 
 Dec 6 2008 	 Excellent Location 	 stay Premier Inn County Hall 2 night . excellent location next London eye . minute walk Waterloo station . opposite hotel attraction Big Ben Houses Parliament . the room double bed , mattress floor sofa bed . good sized bath , power shower , plenty space room , 's tv , hairdryer , tea coffee kettle wee seat area & amp ; coffee table . fridge room . room service satisfactory . reception staff friendly provide detail require travel London . internet costly hotel go nearby cybercafé .skip cheap chinese buffet county hall . miss Thames river cruise pass give complimentary hotel . overall budget hotel around 100 pound per day . 
 Dec 3 2008 	 Premier ! 	 sister two boy , 5 7 stay Premier Inn County Hall 2 night . exactly want . excellent location next London eye . great family room double bed , mattress floor sofabe . excellent service , everyone friendly Lennie exemplary . great breakfast , free kid . boy give kid play pack check . really could fault nothing great late checkout day departure . 
 Nov 25 2008 	 really everything need - location price facility 	 recently stay day whilst Xmas shopping say title , everything will need be plan trip London . Location - 's 5 min walk either Waterloo underground / overground station , Westminster Bridge tube station . next London Eye - mean right next , half mile away anything - build hotel part , old seat London local Government call County Hall , also contain another hotel ( 5 star Marriot ) , restaurant , aquarium , art gallery , bar , cafe , arcade . Premier Inn opposite side building London Eye room ( restaurant ) overlook Jubilee Gardens mean also look onto Eye . right across County Hall , side Thames , Big Ben Houses Parliament . facility - well room need ' ve busy day sightseeing / shopping . comfortable bed , good sized bath , power shower , plenty space room , 's tv , hairdryer , tea coffee kettle wee seat area & amp ; coffee table . hotel also wifi throughout . wifi provide swisscom pay £ 10 24hours access ( card available reception ) hotel restaurant bar . not visit bar can not comment , trips restaurant breakfast . subject , can not recommend breakfast highly enough . whatever want brekkie , , much want . 's great way start day , find not need anything lunchtime big meal start day . well worth thr £ 7.50 ! staff attitude top notch . check - in Ivana ( lovely smile ) , servers restaurant , attitude welcome rarity day - seem nothing much trouble guy . Premier Inn ' ve stay service standard throughout chain deserve medal . and £ 109 per night , right heart London . be well impressive be definitely will go back next time ' m London . 
 Nov 23 2008 	 Great Location 	 want hotel reunion weekend London deliver . booking easy , early check . Lennie , look leave luggage great , nothing much trouble . three good sized room clean comfortable . drink lounge go bar staff carry drink table ask tray ! breakfast bit hectic Sunday morning could little well organise plenty , freshly cook prepared refresh constantly . expect average quality service amount pay impressed . location fantastic , next Waterloo , footbridge Embankment Covent Garden next London Eye . 
 Nov 21 2008 	 Great Location Value 	 get travel fair amount stay Premier Inns place large simple , plain fuss place staff always keen help . say never stay County decide would take family two night , wife birthday . say location brilliant ! right next Thames London Eye , find way back problem ! food fine , overall hotel decorthe room well compare PI 's stayed do not get particularly interesting view cheap hotel right town close enough tube can not go wrong ! well worth stay 
 Nov 18 2008 	 really really great location . 	 nice hotel great location . right beside London eye . mean really beside . 2 minute front door hotel . opposite direction 4 minute walk Waterloo station , get train bus tube . easy get around . Waterloo underground 2 3 choice line take London numerous interesting place visit . ok , may guess , well locate . fast check - in even fast check - out . 3 effeciant lift . bottled pop water dispenser snack dispenser enterance ground floor lift . also near two credit card opperate PC 's . ( think hotel aim provide free wireless guest ) great breakfast . good enough dinner . decent sized bar , much athmosphere . good sized ( high ) bed bedroom . clean . think hotel would hard beat location quality . right beside much expensive Marriott . arrive Waterloo tube , follow sign London eye South Bank exit correct way hotel . walk towards London Eye take street leave 100 metre reach eye hotel entrance metre right . 
 Nov 13 2008 	 touch Disney 	 family & amp ; stay weekend begin November 2008.let first state quite clearly loathe go London . det place , become Mr Grumpy weekend drag along crowded capital . the Premier Inn soften experience somewhat . go train fast , easy & amp ; cheap driving , easy tube ride St Pancras drop we hundred metre hotel ( waterloo undeground station ? ) .The mainly east european staff friendly , queue check long . room ( . 600 ) spacious enough family , double bed one area , single bed & amp ; pull , two kid adjoin annex . Bland , plain , beige - washed wall , pristine tiled bathroom solid , steam - proof door . expect ? give homely pub room Yorkshire day , 1/3 price : ) long queue breakfast subside , serve usual stuff , & quot ; kid eat free & quot ; deal mean price right . after trudge around rain day , play tourist Tower , endure shopping hell Regent Street get less personal space battery hen enjoy , finally get back Premier Inn actually quite relief . the first night eat convert firestation pub / restaurant , fine , short walk away . second night choice eat ; nice little indian restasurant , call , bizaarely , & quot ; Thames & quot ; , also around corner Waterloo Road . during night thought hear deep disco bass beat . go night , night , right morning . tune never change , suppose 's modern music . wife , Kylie , never notice , pointed , could not get head . I think may hum air conditioning system . top floor , possible pipework roof ? minor point - family could scracely hear , hear quite sensitive even Prides Cobras . purely research purpose , venture , alone , hotel bar , ghastly . quickly down one pint overprice Guinness leave . breakfast / dining room , full strand , pub - banish famile , folornly watch sport many flat screen tv . resemblance proper & quot ; pub & quot ; . , conclude , 's Disney connection title ? one little bit fun whole weekend ....... shortly plonk bag room , spot MOUSE scurry swiftly across carpet ! try catch , would make wonderful trophy parade reception area . far quick , disappear kid ' bed . lift bed , little blacksmith mouse make bolt door . squeeze door scamper hall . phew - lucky escape ! nearly finish black plastic mousetrap , locate kid bed along back skirt board . note bud zoologist - need special tool get box find captive room pet . we laugh , big argument ensue 'cos neither child want sleep bed carpet ! share Mickey Mouse encounter member Reception staff , almost immediately , way eat . share mirth , seem rather unconcerned . little feigned sympathy would appreciate . offer we another room - 's point ? mouse already go - someone else 's room ! tell squeeze door - laugh say , & quot ; backbone & quot ; . obviously , proper Zoologist . so still give place 4 star ? 'cos be ok . 's expect kind place . location perfect price ok be family four . I work tourist trade , actually recommend Premier Inn short stay inbound guest really must visit London . on checking , mention mouse ( make big fuss , demand refund ; be kind people ) , want someone take wildlife observation little seriously . time , English lady take serious note , seem would take action . anyway , fun . visit - take look bed : ) 
 Nov 4 2008 	 Premier hotel - perfectly name ! 	 impressed location , room overall friendliness staff . location excellent within one minute walk london eye south bank . could not ask . room size consider london really good thank staff accommodate weary traveller ( ) come back 11 - hour ovenight flight get hotel early find we room . much appreciated gesture arrive 9 am ( well 2 pm check - in time ) . 
 Nov 2 2008 	 Excellent Hotel 	 husband stay 6 night . first trip London hear story tiny room etc London hotel . really pleasantly surprise lovely spacious room spotlessly clean bathroom . comfortable bed service daily . quiet noise night . breakfast excellent . staff exceptional good ever encounter anywhere . pleasant always smile greeting ( point one run street depart say goodbye ) . nothing much trouble . would definitely stay top location London sight . 
 Oct 29 2008 	 excellent everything 	 family room , everything say , clean comfortable , excellent location right next tot eye . eat restaurant Saturday night , lovely food , child age 8 11 eat every scrap . breakfast brilliant , well price . staff could not well , nothing much trouble , smile helpful . will stay next year . 
 Oct 27 2008 	 tell . 	 several month ago , husband email Premier Inn book room ' king size bed ' . advise available booking make . arrival size hotel double , hotel state guarantee good night sleep money back . well , do not good night sleep , keep fall small double bed , kid next door cry night disappointed hotel . tell customer service checking , instead money back guarantee , tell ' sorry ' . would recommend hotel couple person seek romantic getaway . fine look cheap room without normal hotel comfort . 
 Oct 25 2008 	 SUPERB value money 	 stay sister Sat 4 Oct 08 . stay Premier Inns past know guarantee clean comfortable accomodation . this Premier inn advantage super location , within County Hall South Bank , next London Eye opposite Westminster . much see South Bank , thrive entertainment new restaurant . the location peaceful one Belvedere Road access road be not constant traffic noice . check simple quick allocate Room quiet top floor - Rm 601 . room spacious enough accomodate double bed coach bed enough room comfortably move around . view room North Jubilee Gardens towards Embankment Bridge . also leave side view London Eye . the bathroom basic functional . bed sofa bed extremely comfortable crisp white linen . good night sleep . coffee tea facility within room , fridge . fortunately , breakfast go 1100hrs check be not 1200hrs . breakfast self service buffet English Continental much like . unfortunately , lot child run around walk table hot coffee task . wonder whether would comfortable experience parent small child accommodate seperate , safe area restaurant . from check check staff extremely pleasant helpful . I would definitely recommend hotel value money location . 
 Oct 21 2008 	 solid 	 hotel solid - perfect bad . location great , especially commute into / out Waterloo . Waterloo tube right get around city problem . hotel also directly across Westminster Bridge Westminster Abbey - incredible sight night . room decent sized . hate auto - close bathroom door 's minor complaint . thing furniture - 's cheap particle board . 's reason skip place . if get decent rate hotel definitely worth consideration . 
 Oct 21 2008 	 100 % last night 	 first , everything like : -spacious room - very clean chain hotel - fantastic location - very friendly staff allover ( reception , clean staff , restaurant crew , luggage room , ... ) -good quality breakfast , eatwhat go wrong . hotel 2 night . the second night next door family 2 baby , cry 3 7.30 . parent seem bother , . certainly plan keep bed till late day , spoil . what hotel . refunded night checking roomlocation , quite acceptable we . do smile . would certainly suggest hotel friend would also suggest ask reception make sure neighbour could cause inconvenience . 
 Oct 21 2008 	 clean central quiet caring 	 stay 3 night London conference . difficult find good central hotel especially favourite destination . walk & lt ; 1 min London Eye , 2 - 3 min South Bank , 10 min Big Ben . check - in ( take around 5 min ) ask quiet room high floor get right . room fresh nicely decorate . provide good night guarantee . clean proper . staff constantly interested thing go . premier breakfast standard . good hotel give price . 
 Oct 19 2008 	 great spot explore London - visit relative St. thomas'hospital 	 room area good size spotless air con facility open window half inch . electric fan provide not lot use heat wave . noisy ( reveller night public space outside ) window open . restaurant good breakfast simply wonderful - excellent quality , wide wide choice much eat . restaurant get crowded breakfast many little kid rush & amp ; make strong possibility breakfast end floor . staff welcoming & amp ; proficient . not bother try contact premier inn visit - 's impossible say reply email within 24 hour not reply all . I think good hotel would use although full price cheap . 
 Oct 7 2008 	 Brilliant Stay ! 	 book Travelodge Convent Garden decide change hotel see one . ask room view get partial view Eye - bad ! pay £ 238 Fri Sat night breakfast reasonable London great location . previously stay Kensington nad use Tube hotel walk everywhere - go Trafalger Sq Buck Palace , Knightsbridge , Hyde Park , Mayfair , Soho , Holborn back hotel ( fairly fit possible ) . breakfast worth load choice save try find somewhere else get hungry . if around Buck Palace worth go barrack road pass see guard bandsman practise ( Austin Powers theme tune ! ! ) good way see close wihtout crowd ( stand court yard ) . recommendation Princess Louise pub Holborn ( Grade II list victorian pub - lovely ) loitering outside Ivy star spot ( papps anyone might ) . 
 Sep 29 2008 	 Great Location Value 	 basic amenity , value location can not beat . pack tissue , lotion mouthwash ... not supply , liquid soap attach wall bathroom . clock ( set phone deliver wake - up call ) , small tv slightly wear furnishing . either pay equivalent $ 233 , stay side County Hall Marriott two three time much . not know , would rather supply lotion save $ $ thing . plus employee pleasant helpful . 
 Sep 27 2008 	 Great Hotel Trip London 	 wife want go see dirty Dancing West end age manage get ticket show . treat thought would nice we couple night stay London proper . ( live outside London ) aware hotel / hotel County Hall know location perfect , right front London Eye . right next Waterloo station Tube station great move around city . also nice , pleasnt 20+mins walk river Covent Gardens , Houses Parliment etc etc . I book hotel website ( cheap ) problem check - in . give name card ask usual question breakfast , paper etc etc . stay two night ask late check . offer extra £ 25 , till 5 pm . ( great ) use also offer secure room leave bag collect later day want . give tag every item leave . not lose tag . we stay double room , No.207 face street big statue window , real view . pretty good size room huge comfortable bed , two chair & amp ; table , wardrobe , small 10 channel tv , Tea coffee , hairdryer etc etc . bathroom big bath / shower good plenty towl we two . shower head fix bend little 6ft2 . ( downside room ) amazingly powerfull shower day night walk / show / bar etc perfect pick right back . use restaurant breakfast , £ 7.95 find really good . self service , eat much want . try restaurant time look menu say look good like breakfast , sure good . bar area nice cosy mixture leather sofas table chair around open till 1 am , great want night cap . aware aloud charge room . we find staff whole great everyone dealing happy help we nothing seem problem . room maid floor polite say hi everytime see we . overall hotel great want take love one away equally see business man / woman family everyone seem quite happy hotel . it cheap hotel London sure great location base get everywhere around London . go see dirty Dancing , ( Great ) . London dungeon get pant scared . get take back hotel peddle rikshaw . London Eye . try go sunset get amazing view London get dark light come . not try go Saturday afternoon . come back get bag way home 3:30pm 100 's people line wait go . want something different would advise try Absolut Ice Bar Regents St. pre - booked . get free drink , coat glove . bar make Ice cool -5c inside . get 40mins inside belive enough time . really really COOL ( cold wife would say ) lastly . never London . bring real good walking shoe . 
 Sep 22 2008 	 great location Excellent value ! ! 	 look location value hotel both . the fact rank 25 1000 hotel London speak itself . situate quite side road , round corner London Eye Houses Parliament , ten minute walk Covent Garden fifteen west end theatre . the room clean tidy staff friendly helpful . ask quite room 5/6th floor . bliss hectic day . breakfast buffet style hotel busy little bit & quot ; scrum & quot ; minor criticism . you ask pay stay arrival , leave key desk depart ! 
