San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 Jan 5 2009 	 Westin well 	 room 8th floor face office building . room small standard odd shape , hotel odd shape . sit area climb bed read cup coffee . bathroom equally small , door barely clear toilet . towel rack , bar hook hang towel around wash basin ; ditto bath / shower area , except hook door . deadbolt align properly useless . call front desk promptly bring hotel engineer slam door several time -- stop gap measure well . open door keycard deploy deadbolt remain tricky throughout stay . plus side , room simply furnish contemporary furniture big - screen tv . bed comfortable two duvet -- one light weight heavy weight , latter uncomfortably heavy removed bed nightly . coffee make supply replenish every day ; clean staff courteous & amp ; efficient . also hotel staff helpful . satisfactory stay hotel year back know Argent . time , however , reservation make thru conference organizer , likely get one least desirable room . overall , late experience hotel leave much desire , would avoid particular Westin future . 
 Jan 4 2009 	 modern elegance 	 share two double - bed room boyfriend 's parent 17th floor . room beautiful simple white bedding clean , modern feel room . view Market street nice large window . overall , room comfortable temperature setting - wise . good value money ... definitely recommend ! ! 
 Dec 31 2008 	 Dog Friendly Hotel / Good Value Business Travelers 	 great rate Westin great location . importantly , room clean internet work fine . complimentary tea coffee room nice touch . would not stay vacation . room small size service amenity lack . learn dog friendly hotel hear bark last night . front desk offer move room , luckily bark not continue night . 
 Dec 28 2008 	 solid choice 	 good , predictable choice want downtown near Moscone Center . pro : Westin bed ; Westin consistency ; great location . con : lame bar scene ( be hide back - open baby ! ) ; room score preferred guest upgrade . there many starwood option neighborhood . palace take back 100 + year ( not put coffee maker room ! ) . St Regis give coffee rate company would pay . W 's throbbing nightlife keep night . Westin Market Street not exciting choice , be usually right ... upgrade happen , be worth . 
 Dec 16 2008 	 nice rather corporate Westin 	 stay Westin Market Street November 23rd pretty good non refundable internet rate $ 129 hotel website . however , not fact three stay make Platinum Starwood , would preferred pay less $ 100 use Priceline equivalent 4 * hotel . this perfectly acceptable nice , clean comfortable corporate hotel wow factor . decor bit grey gloomy lack charm many westin , although near dismal recently renovate Westin Galleria Dallas ( also review ) .The room bathroom well sized Starwood Preferred Guest floor , get good view city . conveniently locate block away Bart , MOMA Moscone Centre two block Union Square . if attend convention Moscone Centre ideal , would recommend romance fun would suggest historic Westin St Francis Union Square instead , one many chic city centre boutique hotel ( eg Hotel Monaco Palomar ) .I say though , staff extremely nice , friendly helpful . 
 Dec 3 2008 	 beware room near elevator ! 	 check Westin day Thanksgiving one night . book room Starwood website - we Starwood member . get good rate , $ 149.00 , guarantee we upper room floor . upon check , front desk inform us room near elevator . numerous problem past room near elevator try avoid & quot ; elevator & quot ; room ( & quot ; ice machine & quot ; room ) much possible . room locate 31st floor , know Westin reputable hotel chain , think would not problem . BIG MISTAKE . day shopping ice skate Embarcadero , return hotel 6:00 night get ready dinner . get ready , think hear jet plane overhead reality service elevator . maybe sound like freight train ? ? needless say , able change room ( room 2 queen bed reserve , take king + 2 roll away child ) . stay Westin , hotel nice great bed , make sure ROOMS elevator , especially room number end 17 ( 3117 ) . 
 Dec 2 2008 	 not Love Hotel 	 ' m San Francisco couple day business ' m spend first night . get pretty good rate ( $ 160 ) , not see excitement hotel be . on up - side , hotel near Montgomery Street B.A.R.T . station , warm sunny today two three block walk nice . as hotel , room end hall pretty small . flat - screen Philips tv desk , can not actually sit get anything do computer . ' ve stay Sheraton Fisherman 's Warf , St. Francis offer large room . the room sound issue , wall thin noise hall carry right room . neighbor open door minute , think come room . one suggestion would make , check , request low level floor . elevator pretty busy . restaurant italian theme . food pretty salty , service . waiter work two table , mine table six , devoted time . would nice have check least . water glass wine request never arrive . btw , be SPG member , not club lounge here . this city full really great hotel . include several Starwood property . think next time ' m town , will try one other ... even cost bit . 
 Nov 29 2008 	 comfortable central hotel 	 stay 2 night really enjoy . hotel comfortable , central good value money . the staff helpful particular note Scott concierge . we upgrade room pleasantly decorate . definitely would stay area . 
 Nov 20 2008 	 always good experience 	 boyfriend go San Francisco every two month . live many year , lot friend frequently visit . hotel first one consider stay time . room clean , location great , floor ceiling window offer great view . Westin also usually great deal . 
 Nov 17 2008 	 Convenience Comfort 	 Westin Market Street San Francisco centrally locate walk distance Moscone Center ( attend conference ) Union Square . hotel elaborate enter lobby ... definitely elegant . hide nook informal meeting relax lobby . the room typical starwood - great bed clean . hotel Westin year , room newly renovate modern . hotel restaurant call Ducca look nice eat . bar Ducca extend sidewalk great weather permit . eat Joe Dimaggio 's italian Chophouse North Beach area SF . old - style steakhouse quite ridiculously price many high - end steak place . workout facility small often tough find machine morning . also new good shape . overall , great place stay need close moscone . 
 Nov 12 2008 	 nice hotel horrible concierge desk staff 	 room comfy clean . use concierge service make dinner reservation since unfamiliar area . 3 bad meal row ! check - in process not exactly seamless either . 
 Nov 10 2008 	 okay wall paper thin ! 	 love Westin chain room great bed ! one favorite . be new , wall thin could literally hear maid hall rustle paper . could hear people use bathroom ! ! every time door open shut floor would echo hall . stay W Westin St. Francis ( new wing ) want sleep . 
 Nov 3 2008 	 nothing complain 	 not want deplete bank account stay nice place SF , place . everything need comfortable stay . decor modern room clean . be like ' less ' approach do well , place get cluttered decorative ' stuff ' place . one simple yet modern stylish . room outfit ' heavenly ' bed , clean bathroom large flat - screen tv ... ( important stuff , right ? ) pay little extra grand - deluxe room great will end terrific view city bay . lobby welcoming , staff friendly , location superb . good job Westin ! 
 Oct 19 2008 	 Great Hotel Price 	 tiny room hotel New York ( see review Hotel Mela , New York ) , room Westin San Francisco Market Street truly refreshing change pace . hell , actual work desk , 32 - inch ( maybe large ) LCD tv , two comfy lounge chair , full mini - bar , full closet , , king size heavenly bed . room even small ante - room lead main bedroom ! ( fact pay considerably less per night Westin compare Hotel Mela sweeten deal considerably . ) also mention room clean . quite like lobby hallway . , location convenient SF MOMA , Moscone Convention Center , Yerba Buena Gardens , shopping ( Westfield San Francisco Center . Virgin Mega Store , Apple Store , ROSS , Old Navy , name . ) stuff note , however : ( ) bathroom plain jane . nothing distinguish . ( b ) extra hope AWOL . complimentary bottled water . slipper . shower gel . toothbrush kit . sew kit . shower cap . none matter ( well , except maybe complimentary bottled water ) though since necessary toiletry . ( c ) get charge mini - bar consumption despite actually consume anything mini - bar . apparently , explain front desk , fridge electronic sensor , minute move anything fridge , be automatically charge consumption . , move stuff around accomodate perishable would buy , get charge . ( ' m sure actually believe front desk 's explanation way . electronic fridge system , actually exist , seem like great way hotel get unncessary argument guest . ) case , hotel reverse charge without give tough time . , ' m complain . ( ) come back one day find clean rag leave behind housekeep top cabinet . biggie , place rag along use towel , envision episode could irritate less sanguine guest . ( e ) lift key card security system control access guest floor . however , system apparently yet run stay . lastly , mention able book room USD180 ( include tax ) night directly SPG website . consider average room rate San Francisco hotel quality seem close USD250 + + per night ( base research ) , size quality room , locaiton hotel , feel get good deal indeed . 
 Oct 14 2008 	 Loud Loud Loud Elevator Noise ! 	 excuse Hotel quality serious problem elevator system . get room next elevator absolutely ruin trip . could not sleep ! noise terrible . force room next elevator demand money back . 
 Oct 3 2008 	 Stayed Honeymoon 	 book 4 night HM , one use Starpoints . upon check lady say would upgrade we since stay 4 night . offer we bottle wine since HM , decline drinker . go give we corner room 8th floor , decide give we room 27th floor view Moscone Center . room nice . bathroom small . soon get room , call request refrigerator deliver promptly ; extra charge . come back room later evening , maid clean corner room tell we available . call front desk , pack stuff move corner room view city . bathroom slightly spacious ; although neither towel rack . use workout room . headphone provide treadmill build - in tv 's . staff friendly . checkout , bill 4 night , 3 since use point one night . call front desk fix give 1000 point inconvenience . ask late checkout offer 1 pm oppose normal 12 pm checkout . overall good experience . business hotel , traditional hm place , work we . 
 Oct 2 2008 	 quite happy 	 hotel comfortable , location good ( near Union Square ) . place like well well area , can not go wrong . 
 Sep 29 2008 	 great . period . 	 stay weekend September $ 167 / night ( plus tax ) . worth . great safe neighborhood . near BART . lot small market near we . lot real shopping . service fine . nothing special - absolutely problem everyone friendly . mini bar ok -- would prefer regular ' fridge , fine . CLEAN ! big , pretty bathroom . nice bed . clean chair , etc . nice . complaint . gorgeous view . everything expect . really nothing ordinary , everything work perfect wonderful . also get great weather city nice . enjoy . 
 Sep 16 2008 	 Good Bed Bad Service 	 Westin Heavenly Bed highlight hotel . since hotel rename Westin ( formerly Argent ) , clean room , new carpet , remove electocution hazard , put Heaven Beds . the location also great - step Market St lot public transportation . couple block moscone . the servcice poor unfriendly . poor service run throughout hotel , not one desk clerk . happen : * ) arrive 7:00 a.m. unload car . valet show drag luggage hotel . offer help ? , want know long go ! one ever offer help family 's luggage . * ) since early , room not ready . big deal - not expect ready 7 am . however , promise call cell phone ready , never call . find room ready wife go back ask . * ) evidently room ( book someone else ) include free valet parking . hotel never tell include . find ? wife randomly ask room rate happen mention free parking . * ) laundry service . . . take laundry bell desk drop , bellman roll eye take bag . * ) laundry service . . . suppose drop drop clean laundry 6 pm . meet time committment , not bother call apologize . as not enough , big one . report activity violate hotel policy manager , offer relocate we ! rather fix problem , want move deal issue . oh yeah , hotel STILL own operate ARGENT . maybe still suck . 
 Sep 12 2008 	 's LOCATION ! 	 stay hotel overnight recent Saturday . fairly local ( hour away ) say hotel outstanding value anyplace Bay Area , let alone San Francisco , let alone Union Square ! go wrong . I book hotel directly hotel website . compare site price , find hotel 's price reasonable , recommend book directly . little worried read traveler review , negative post stay someplace else . every detail beyond satisfactory . will start begin . park across street Hearst Parking Garage . 24 hour parking cost $ 20 -- um excuse , actually cheap ! ! safe secure literally across street . map everything go find alright . when check , clerk read special comment without ask , upgrade we Grand Deluxe King room Premier King extra charge . 29th floor . floor ceiling window make breathtaking view Yerba Buena Gardens , Metreon , Zeum carousel , bay ( even & amp ; park know look ) hill San Francisco . imagine night time , light . fantastic . highly recommend ask room face Yerba Buena Gardens . complaint view 3rd Street impress would agree , room face 3rd , would experience . remember , get pay . Grand Deluxe room clearly state , & quot ; High Floor . & quot ; bed look exactly like online photo extremely clean . precisely look hotel , cleanliness . bathroom large , spacious , fully stock hair dryer , bath robe closet , etc . large screen tv , well stocked mini bar say chic , elegant , modern . get minute walk hotel : modern elegance . huge white orchid lobby hotel lounge urban vibe , deliver upscale taste extremely reasonable price . tell price standard room compare far inferior room wharf area ( Best Western . ) hotel Market Street area , look well price hotel value area . place can not beat ! quality affordability . get upscale , quality service bargain rate . the concierge helpful . cab come straight door take we Curran theatre , $ 5 cab ride away . everything walk distance . leave hotel , go leave Market leave walk Union Square . go right hotel step away SF Museum Modern Art , Metreon , St Patrick 's Cathedral , jewish Museum Art , Yerba Buena Gardens ( beauiful ) , Zeum , Children 's Carousel . location put value hotel far beyond price charging . from time walk front desk clerk , upgrade room celebration husband 's birthday , offer glass wine boot , convenient parking across street LOCATION beyond belief , cleanliness room comfort bed : highly recommend hotel ! note : looking & quot ; historic & quot ; look hotel , want stay Westin St Francis Sir Francis Drake . entirely different type experience . drake ( ' ve also stay ) room small bathroom closet small . historic , old building . totally different type hotel different experience . 
 Sep 9 2008 	 Great Location Service ! 	 starwood Prefered Guest use point stay hotel . choose one Starwood hotel base review course location . fly five night take BART Oakland hotel . Bart stop 1 1/2 block away $ 7.10 ( roundtrip ) . good deal town ! arrive late Sunday immediately upgrade corner room upper floor due SPG Gold status . check fast efficient . walk across street CPK ( California Pizza Kitchen ) . good conveniant . it close Union Square shop pick cable car . also close shopping mall Chinatown . bus stop F trolly , take Fishermans Warf also step away hotel . good way get around San Francisco cheap $ 1.50 . hotel room fantastic . great view room . bathroom little small , not live bathroom ! housekeep good part . however , forgot give we wash clothe one night notice next morning . big deal ! concierge helpful provide we map bus route help we get Golden Gate Park . also print airline ticket inquire business office . overall pleased hotel go back San Francisco , return ! 
 Sep 8 2008 	 Good Location disappointed standard 	 husband stay final hotel 15 day stay US . book 4 night agree previous reviewer location ideal explore SF far enough away hub tourist activity call Fishermans Wharf Pier 39 definite miss book . our initial contact hotel leave bag concierge hand back hire car . say would able put room present seem strange we already check room allocate we . definitely feel look tip delivery . room 25th floor ask high quiet room , height perfect view terrific noise bit much we cleaner room locate next door bang trolley 6 am morning get set cleaning . ( 2519 number want avoid ) . return reception get bag hour still deliver insist bring ! ! another 20 minute later arrive . room large US standard go probably standard . king bed desk area . bathroom small shower bath available ( room seperate shower disabled room - check ! ) . one bath towel robe room arrival take age get second one deliver , fact cleaning hit miss depend remember leave tip ! big disappointment pool hotel even though specifically request pool hotel . temperature early 90 's really downer we go park across road sit sun couple day . the hotel locate close Union square major shop shop ideal . room service one evening good brilliant , basic menu . use gym small open 24 hour . meet everyone need like use gym unless place full kid parent hog 3 treadmill offer happen we two occasion . Valet parking car $ 48 per day offer valet parking hotel . all , would rush back , find staff overly friendly welcoming , functional . room noise annoying room available ( be tell we - even willing upgrade ) . 
 Sep 7 2008 	 Excellent stay great location 	 Westin Market superbly locate right 3rd Market , within walk distance Museum Modern Art , Moscone , Yerba Buena , Union Square , Financial District much . hotel staff superb . friendly , helpful always assist . get complimentary upgrade suite outstanding give vacation five month old . room well appoint , modern flat screen tv . bed , Westin bed , excellent . even Heavenly Crib baby . 
 Sep 5 2008 	 Westin vs Expedia 	 book May Expedia four people request room 2 double bed . arrive early August find we room one king size bed . clerk tell we good could add one rollaway bed ( single ) room available . since book Expedia , tell & quot ; Expedia 's customer , Westin 's customer & quot ; would take Expedia . argue regardless book , hotel receive info 4 people arrive someone Westin knowingly put 4 guest room could sleep 3 . clerk apologetic reiterate Expedia 's customer , hotel completely book , perhaps could squeeze 3 King size bed , one person sleep floor . extremely upset Expedia , equally disappoint Westin knowingly put 4 people room capable sleep 3 . 
 Aug 30 2008 	 Service decline location great 	 second time ' ve stay Westin SF Market Street . first time , open conversion Argent Hotel , terrific experience . give corner room 31st floor stunning view , service prompt friendly . location terrific , reviewer write . think staff starting take grant : exception gentleman check , staff often surly , unhelpful , unconcerned , especially Service Express folk . often take 10 - 12 ring anyone pick up . I also nearly identical room time -- location slightly low floor . year pass , bathroom ( already small ) get musty grout stain , peel ceiling paint , runny toilet . housekeeping sloppy -- day bath mat , day didn't . as noise , light sleeper , bring earplug . Westin right around corner fire station , siren run often loudly . ' ve also stay W , across street one block 3rd ; perhaps build well insulate ( be right next door fire station ! ) , not recall hear much street noise . 
 Aug 26 2008 	 great location 	 want little luxury great location 's exactly whet get . self - parking right accross street cheap convenient ( cheap valet parking offer hotel least ) . check personable extremely quick straight stair within minute arrive ; pay slight premium city view disappoint great view accross Union Square . room triangular , unusual , mean amount window space ( therfore view ) maximise - great day night . decor modern attractive , room quite spacious bed comfortable crisp linen ; comfortable fact keep fall asleep suppose heading ! bathroom small okay nice toiletry complementary bathrobe . location hotel excellent ; upscale Westfield Mall block away Union Square three block cable car muni right around corner . SFMOMA right street convenient early start . reviewer mention uncomfortable area homeless people around ... really problem typical modern city ( indeed town ) - come back hotel well midnight feel perfectly safe throughout city . reviewer critical Westin 's business facility ( internet etc . ) feel hotel offer great deal leisure traveller tourist ; much well heart city instead strand end cable car line tacky Fisherman 's Wharf . going stay Argonaut ' m glad choose Westin instead . 
 Aug 23 2008 	 excellent value prime location ! 	 get fantastic deal Expedia ( 4 night price 3 ) find hotel perfect location explore San Francisco . our room ( 2double bed ) spacious , modern smart , comfortable bed , flat screen tv , well stocked mini bar stylish bathroom . the hotel even provide guide interesting well price cafe / restaurant area . ' Mel 's drive - in diner ' ( truly 50 's dining experience juke box ) one miss Mission St , nearby . Ps please avoid stay truly dreadful Fisherman 's Wharf area . 
 Aug 19 2008 	 Great Location SFO 	 stay Westin 6 night August must say location hotel excellent sightseeing shopping . room great , fully renovate large . good flat screen amazing bed . great hotel stay SF donot want stay Fisherman´s Wharf ( busy taste ) 
 Aug 18 2008 	 great hotel ! 	 great hotel right heart SF . able take BART Oakland airport walk 5 minute station hotel . 's Starbucks right across street many restaurant area . hotel 's newly renovate everything clean new . hotel staff great . 
 Aug 9 2008 	 Good locaton 	 good location . good room - clean , large nice flat screen tv . centrally locate perfect walk everywhere city . 
 Aug 8 2008 	 bed ! 	 stay 1 night Westin , wish could long . hotel great location , right near lot shop far Union Square . book normal room use point end get deluxe 17th floor . check - in breeze desk clerk extremely friendly . also ask Concierge wine store recommendation helpful . the room roomy , bright ( thank floor ceiling window ) comfortable . little foyer walk lamp , table closet . main room flat screen tv , King Bed , desk 2 sit chair ottoman . bed Westin incredible ! comfortable hard leave morning . room contain strong hairdryer well bathrobe . internet access $ 15 24 hour , across street Peet ' Coffee purchase something , ask code free Wi - fi 2 hour , definitely good deal . parking bit pricey hotel San Fran ' parking meter confusing , however able find overnight parking meter block 3rd Street one side street Moscone Center . definitely stay Westin fact couple week ! 
 Aug 8 2008 	 enjoy Westin 	 enjoy 3 night stay Westin . family 4 . check Friday evening . long line check 1 employee behind desk . 20 minute line 2 adnl employee appear line start move . hotel sell baseball game town . assign room 6th floor 2 bed . ask high floor view kid never San Francisco . could take king bed , opt king size room 30th floor . hotel send rollaway ( aerobe adnl child ) . view great ! could see Bay Bridge Alcatraz . floor ceiling window . room large enough 4 we . check hotel service . park across 3rd street deck corner Jesse $ 20 per day . housekeeping good . see we leave notice 4 us room . leave extra shampoo towel . ask extra plastic cup 1 day receive . able walk hotel China Town North Beach . take cab Pier 39 $ 8 . think location safe convenient . walk drug store Market , 7 - 11 around corner . Del Taco around corner SUbway Ca Pizza aacross street 3rd . 
 Aug 6 2008 	 problematic stay 	 stay December . fairly problematic stay . enjoy Palace Westin St Francis . ok get cheap rate . problem 1 : got corner room drawer ! fortunately 1 night , live suitcase . really . problem 2 : bed short - sheeted . become common problem chain . housekeeping use sheet short , foot scrape scratchy mattress fiber . remake bed . complaint next morning front desk garner compensatory SPG point . ask late checkout , offer 1 pm . press 4 pm , entitle Gold member . problem 3 : check ( late evening ) , ask package . staff member say come back tomorrow concierge . since package contain toiletry , need immediately , press send bellman unlock concierge 's closet retrieve package . problem 4 : rate 20 dollar high bill book rate . solve checkout . 
 Jul 30 2008 	 nice parking kill 	 nice place , cheap ( priceline ) , park $ 50 / day 
 Jul 28 2008 	 first class experience 	 husband , daughter stay Westin , Market Place 3 night July 2008 . lovely hotel thoroughly recommend . hotel give we upgrade without we ask staff friendly helpful . room spacious airy offer fantastic view city . location superb right centre everything . ( not know another reviewer say would feel unsafe - certainly would not . ) area full tourist well lit . in short wonderful stay look foward come back year come . 
 Jul 25 2008 	 Great Location -- Nice room 	 stay 3 night July 2008 family vacation . Westin offer & quot ; stay 3 night price 2 deal , & quot ; rate make time SF affordable . hotel old , room nice Westin touch . room 2 queen bed comfortable , room adequate size family 4 . location great -- short walk Union Square , main square area ( less foot traffic ) .Our complaint hotel minimal . first , room near elevator noisy night . finally turn A / c continuous run drown noise . second , really comfortable common area hotel relax spend time . one tip read save we lot money . parking hotel $ 49 per day . park across street Hearst Parking Garage $ 20 per day . although lot in / out privilege , open 24 hour per day , matter we use car sf.all , enjoy hotel would definitely stay . 
 Jul 24 2008 	 Poor Service Uncomfortable Beds Wireless Internet Lobby 	 call day arrive see complimentary upgrade available . James night manager , say could move we corner room king size bed great view . when check 4PM ( even though guarantee check 3pm ) front desk clerk say room James reserve we ready nothing available . corner room queen bed low floor . put we stanard room hand we key . explaination hotel , restaurant get room , small bad view , call & quot ; Service Express & quot ; line person able move we corner king suite ... discuss James . ( within 5 minute we check room floor , know finish cleaning room . ) night wake 4AM back neck pain . clearly & quot ; heavenly bed & quot ; . early morning , able call front desk talk James . say hear complaint bed traditional Westin bed . offer move we one bedroom suite living room remainer stay . agree ... new room big nice , bed still great . we decide first night , probably go stay five day originally book . Thursday ( 7/17/08 ) , ask concierge rent car . say service ( City Rent - A - car ) would drop car we . fill form , rental would $ 55 / day car would drop 8am Sat . 7/19/08 . afternoon Friday ( 7/18/09 ) stop concierge confirm car reserve would 8AM . say would show confirmation fax printout . on Saturday morning , check want check e - mail one time , 24 hour period run night ( charge $ 14.95 . take laptop hotel lobby find wireless internet lobby . front desk person say would go hotel room use pay another $ 15 even though would use 7 - 10 minute check out . so 8:10am , room pack , luggage we , check hotel , go lobby expect see car . long line concierge . get talk concierge say car would 5 minute not open 8am , wait ... 8:15 car ... 8:30 car ... go behind concierge desk pull reservation book open reservation call . talk several people finally owner , say reservation we , car available whole city rent hope ... way , price double . when owner bring car , sign contract write & quot ; sign duress & quot ; pull bait switch we . point owner City Rent - A - car take key , refuse rent us car , go talk hotel manager , Jojo . jojo help completely take side car rental owner . hardly speak english least bit interested side story . rent car Enterprise , pick we Mercedes move vacation ... never stay Westin Market Street . 
 Jul 21 2008 	 good experience 	 fantastic location view wonderful city . great shopping close . get Travel Pass $ 20 9 day ( cheap 17yo ) . cable car 400 yard away great experience . brilliant value we 6 day . use 5 different type transport ( BART ) . interested art go SF Musuem Modern Art 300 yard away get CityPass booklet cost $ 54 include travel pass Look online see interested pay extra $ 34 . include Aquarium good cruise bridge . bike bridge take ferrry back . go Giants baseball game . & amp ; Park 15 - 20 minute walk straight street hotel 10 minute f maket trolley . baseball game sport fan . daughter ( 17 14 ) . love experience much also go BART Oakland day later catch another game . Book Alcatraz least week visit . well worth money , interesting . do not bother car , use public transport . get car leave SF . lot car rental office 800 yard away . travel south towards LA . go similar trip catch & quot ; Mystery Spot & quot ; Santa Cruz way south . entry $ 5 / person $ 5 parking , well worth , great laugh . find hotel staff helpful . arrive evening 4th July consierge book restaurant we say may difficulty get somewhere . eat expensive around Union Square area find food drink hotel expensive . as say elsewhere carful bar room . charge show check use anything problem take bill . I would stay hotel . 
 Jul 20 2008 	 nice location big room good coffee . 	 wife happy hotel . give big room nice quiet part hotel . location great service ok big hotel . 
 Jul 18 2008 	 shocking service average facility 	 trip US West Coast , stay San Fran several time different hotel . overall , think ' shop ' around term hotel : stay Mandarin Oriental ( far good hotel impeccable service amazing view room ) , Fairmont ( grande dame hotel San Fran , really long scratch facility ) Westin . first , rang hotel confirm would get king size room upper floor set booking . however , upon arrival ( 20.45pm - hotel aware ) tell impossible also never confirm . saw room get ( next lift ) , go back lobby request change ( eventually get much debate ) . 21.30 , unpacked go receptionist ( exceptionally rude upon check - in ) ask whether would good restaurant area would still open ( Tuesday night ) . answer : know ( receptionist concierge time ! ) , would 7/11 . tired argue hotel staff clearly like job , go around corner Four Seasons explain situation ( sorry , stay hotel , stick Westin incompetent concierge ) ( friendly ) concierge point three closeby restaurant open one choose real hit ! go detail else happen stay Westin ( wrong final bill - point , act fault bill wrong generally could care less ) , one irritate hotel stay ever ( travel around world lot part job ) . general rule ( ) : hotel start give mattress shower special name ( heavenly bed heavenly shower ) , stay away . properly good hotel need turn poetry describe facility ! 
 Jul 14 2008 	 great location not overwhelm 	 Stayed Westin Market Street travel family . hotel location good part hotel allow great access publicj transportation line . cable car , street car bus line step away . neighborhood also good surround hotel include Fou Seasons , St Regis , Palace Hotel Hotel Palomar . service average , overwhelming underwhelming . breakast server good attentive need . arrive back late one night right closing time restaurant want order dessert . allow we nice dessert themsleve ok . really 2 issue hotel , stay room 405 entire stay never trash bathroom , desk unusual . also , every night stay room attendant short sheet bed 2 inch . dno't know sheet buy short attendant make bed wrong six foot five become annoying constantly rub foot mattress mattress pad . otherwise , room well maintain clean consistently , great 42 inch flat tv room safe . downside would bathrooms small side . 
 Jul 14 2008 	 great location 	 glad stay Westin Market Street first stay San Francisco . location perfect base tour city . walk distance fabulous downtown shopping , restaurant museum . service friendly helpful hotel room lovely . would pick downtown / Union Square hotel Fisherman 's Warf location . transportation trolley car taxi reasonable easy catch San Francisco . many interesting neighbourhood near Union Square area explore . San Francisco wonderful city ! remember layer dress wind cool bay daily temperature 60 's July . love travelEdmonton , Alberta , Canada 
 Jul 11 2008 	 good experience overall 	 husband return annual vacation submit review consult trip advisor religiously plan trip . hope help someone ! think ( 10 day ) stay Westin Market street location fair price . find special Expedia , value good- believe work around 150 $ canadian , per night , taxis include . think likely least expensive type room . the highlight extremely comfortable bed , great location , outdoor terrace locate beside restaurant . terrace provide small , quiet middle bustle city could order drink , food , even bring item enjoy atmosphere . there gym hotel enough equipment provide fair workout away . we eat hotel 's restaurant & quot ; Ducca & quot ; one night also quite enjoy that . to elaborate location , find convenient . 's right downtown , endless great restaurant major shopping section around corner . chinatown also short walk away . a short cab ride take wharf , telegraph hill , Mission Delores , etc .. big walker walk sites- around 45 minute walk case weary ! cable car ( well mode transport ) around probably fun way travel choose site . the drawback central location would noise level . market 3rd street busy - traffic & amp ; frequent sound siren well hear within 7th floor room- face street . maybe room not directly face street might help somewhat . get use noise , really comfortable bed help encourage restful sleep part . also- room huge find fair enough purpose . lastly , look vacation San Fran like - want mention really enjoy Alcatraz tour ( great audio guide available ) , wine tour Tower Tours ( 67 $ pp 3 winery & amp ; tasting incl ) , rent car Budget car rental ( 5 minute walk away Howard ) drive scenic HWY 1 ( miss time ) , well dinner Cliff House restaurant overlook Pacific . last comment Museum Modern Art current show Frida Kahlo 's work pleasant surprise . museum literally 3 minute walk hotel . I hope enjoy visit San Francisco much ! 
 Jul 9 2008 	 Heavenly 	 be kid & quot ; Heavenly Bed & quot ; & quot ; Heavenly Bath & quot ; slogans Westin . 's nothing like awesome bed bath be travel , 's service amenity make property stand we . the lobby beautiful mesmerize scent seem like 100 orchid display center beautiful huge pedestal . dark wood marble everywhere elegant . our 7th floor room ( request ) overlook Yerba Bueba Gardens Potrero Hill background . 2 queen bed wife plus two teenage boy . normally , tug push kick , time . bed large comfortable . sleep great . room plenty space friend kid glass wine . the concierge bell staff knowledgeable courteous . housekeeping leave extra towel , soap shampoo request . everyone extremely nice . Virgin Mega Store Old Navy block hit kid . walk thru Chinatown hotel back . Union Square . Embarcadero . everything within walking distance . shock parking . $ 60 day park car parking fee plus 25 % taxis add . mention tipping valet every time take . like $ 70 day we . not care . great hotel stay can not wait go back . 
 Jul 2 2008 	 good experience Westin Market Street 	 good experience Westin Market Street ( although ' actually 3rd Street ) . fiancé stay San Francisco 5 night June 2008 . overall Westin Market serve we well – thought ' first admit ' spend much time hotel room travel ! location : excellent . right hub downtown , Market Street . two BART station ( ' recommend ease use , speed & amp ; low cost SFO airport ) . 5 minute Union Square , 5 minute Westfield Shopping Centre ( huge ! ) , 5 minute two major Tourist Tram stop , get idea ? ' get bus , streetcar tram within minute walk service majority City , public transport pretty decent ( relatively cheap ) San Fran ' reason use . ' also near number big conference venue , well Yerba Buena Gardens – pleasant city park ! major factor choose hotel ' disappoint . amenity / room : standard Queen - bed room low floor , ask politely front desk get we move high floor , corner room nice City view – good start ! room well equip , good tv plenty channel , nice bathroom comfy bed . Soap / Shampoo etc good quality free daily USA Today . room little crowded , ' problem we . good quality Starbucks Coffee / Tea , however gripe paper cup ( ' hotel – coffee shop ! ) - take we 2 day couple conversation housekeeping would bring we proper mug – flimsy paper thing – though appreciate business traveller may want convenience coffee go . fiancé say shower ' hot time , though never notice . lastly international traveller – hotel ' provide complimentary power adapter , ' forget home like ! rest hotel pleasant , nice lobby / lounge area fireplace ( ! ) good bar – however ' try restaurant gym – ' comment ! service : everyone hotel great , housekeep pleasant ( call coffee / tea top - up nearly every day , replace packet day ) quick respond request extra hanger like . say problem get proper mug instead paper cup – take call different people ' help we ! lastly concierge pleasant helpful couple query have . General San Fran : hit major tourist spot ( Alcatraz , Haight Ashbury , Fishermans Wharf , Chinatown etc ) ' worth see , book Alcatraz advance sell often ! Nob ' hill great view steep street . lastly really recommend Yoshi ' great japanese food excellent Jazz Club follow – plus get see Japan Town way ! 
