Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Apr 14 2008 	 small single room world ! 	 stay Shaftesbury two night last week . 's good location , couple minute walk Earls Court station . Reserved ' executive single ' online ActiveHotels.com , cost : £ 158.00 problem check 1.30pm . ask pay full amount straight away , imprint card take case ' extras' . I pay breakfast - £ 15 far expensive ! give room 115 first floor , discover 's small single room world contain bed small desk room chair . ( see photo ) room hot little musty ( may smoke room past ) luckily air conditioning work well . the bed plenty big enough one person - slightly large single fairly comfortable . large stain pad headboard , sheet spotless . the cupboard beside bed contain safe , spare blanket , iron board , iron , mini repair kit shoe shine kit ( sort thing find xmas cracker ! ) small desk corner room kettle plenty tea coffee , underneath desk fridge contain 2 complimentary bottle water . bathroom nice , extremely clean although like room small . plenty clean towel , brand new , sticky ' quality control ' label still they . toiletry provide ' Gilchrist Soames ' ( never hear ! ) - shower gel hand wash dispenser fix wall small sample shelf : soap , body lotion shower cap . the problem bathroom position table house wash basin - stick far mean sit sideway loo room knee ! widescreen LCD tv big thing room , space around bed limit - bend forward shuffle sideways move around it . my shin cover bruise ! Free Tv channel limit 6 , plus movie channel . internet via tv free , wireless keyboard fiddly use . as single female little worried see connect door - yes locked , idea key side . find second night couple loud ( possibly drunk ) man check next door room 11 pm . leave return 2.30am , wake turn tv try get room ! luckily door lock side . bit disturbing though . I also wake phone call reception 5.30 * * ask call cab ! ( not ! ) , summarise ; good point : clean bathroom , problem - free check - in , good location . bad point : room far small , dark wall thin . would stay ? .. probably . comfortable would want double room sole use , justify extra expense . price would rather stay long Travelodge room saver rate £ 26 per night ! 
 Apr 14 2008 	 Great Hotel / Location 	 return weekend break celebrate daughter 21st . Booked London Premier Hotels website . find fault hotel . room large , clean staff helpful . good variety breakfast ( english continental ) . great location - 2min walk tube . would definitely stay ! 
 Mar 29 2008 	 can not complain 	 think fine . close tube , room clean smart . problem . anyone complain room size etc far fussy opinion . : ) complaint whatsoever . 
 Mar 25 2008 	 well place smart hotel 	 stay 1 night work Earls Court - hotel easy find 5 - 10 min walk Earls Court station . spacious enough lobby size establishment , ok reception service upgrade club room check . small lift narrow corridor room large enough kitchenette , iron board , plasma tv nice bright clean bathroom . view OK . breakfast fine . would recommend medium budget require fairly central location . 
 Mar 23 2008 	 great find explore London 	 return 5 night stay Shaftesbury Kensington think great . firstly , get really great rate call hotel directly give upgrade executive room without even ask . the room small one person exhaust day crisscross London , many welcome benefit . I find fridge microwave useful , plasma bonus internet access via tv.have note room small , nicely appoint , especially bathroom . the staff helpful certainly language difficulty anyone work hotel . the location super , minute walk Earl 's Court tube station . there many small restaurant right door step particularly like 10 , chinese food restaurant . no not Ritz , price pay , not think could beat value comfort . 
 Mar 21 2008 	 good value experience 	 stay Hogarth Rooms part , road main hotel . pay £ 80 inc breakfast everywhere else seem £ 100 thought might bit grotty . but no - it good . reception quality room breakfast impress . room smallish well equip quiet . location great too - we walk Albert Hall , handy tube Earls Court ' ve stay ordinary hotel London pay lot . 
 Mar 14 2008 	 small Bed Hot Room Awful experience 	 stay Shaftesbury Kensington , own Best Western , look forward stay 4 star hotel ( rate British Airways ) . stay several three - star hotel past , nice clean , look upgrade time around . hotel misrepresent photo . book room double bed two people . give bed large twin much small double . two average - sized people could lie side side . room extrememly hot , even though February , turn Air Conditioner well prop window open . the hotel staff helpful , charge phone call make international calling card , overall hotel experience awful . perhaps bad part entire trip notice many door open outside hotel prop open . wonder hotel would unsafe ? one night tried leave theater use side entrance , one door prop open . right outside door giant hole ground . thank goodness dodged hole one get hurt . it be obvious best western chance remodel hotel yet , boy , hand full . 
 Mar 11 2008 	 Great price 	 find hotel weekend price another hotel force look hard find well value . hotel easily reach leave Earl 's Court Underground station Earl 's Court Rd side , walk Hogarth Rd long city block . property neighborhood make worry get , get hotel , anxiety recede . room upper floor , quite way elevator . lot luggage , narrow hall bit challenge . room average european hotel room . small , clean , great plasma television internet access work . try hotel restaurant opt go Earl 's Ct Rd find hop pub , case Earl 's Ct pub block away Underground station . local seem flock get pint , food good well . I probably use hotel due easy access , feel neighborhood , quality room price . 
 Mar 5 2008 	 ah London hotel ... 	 stay accident . book hotel close Paddington station would convenient catch Heathrow Express . get hotel , tell problem boiler , relocate . pay taxi fare choice . get , give small basement room adjacent building bit far reception . complain dungeon move ground floor room bit space . could tell hotel furnish enough earn four star rating . one London hotel make pay every square inch space give can not help feel little rip . one good thing hotel conveniently locate right next door Earl 's Court station . 
 Feb 29 2008 	 great location 	 great location , right bustle Shaftesbury Avenue - 5 min walk Leicester Sq tube , 10 min Covent Garden . pay £ 120 double room , breakfast , think great value ( discount rate , easily find available late book site ) . average good western , room boutique style , comfortable bed , good facility ( incl tv bathroom ) . room overlook garden area fill people ( possibly private party ? ) slightly noisy , still sleep fine . staff polite helpful . not , breakfast available around £ 12 , lot cafe Shaftesbury Av serve good breakfast would advise eat out . exceptional value money great location 
 Feb 26 2008 	 Quality hotel flexible traveler 	 back Best western Kensington Shaftsbury hotel Hogarth St. four night stay . find hotel via travelocity flight deal promote hotel 3 other . chose one consult local friend . first time London everything arrange blindly ... would recommend hotel traveler flexible , patient , appreciative reasonable accomodation . 's Ritz 's hostel either . 's ring endorsement , know , person appreciate nicer lodge accomodation usually travel significantly last 3 yrs around US , Carribean , Hawaii , feel qualified enough fair honest time . arrive early morning Heathrow buy oyster transportation card 20 pound perfect stay travel underground rail around city . overnight flight end work day thus tired , not sleep well flight , luggage hand , hoping & quot ; decent & quot ; experience next four day . check fine , staff not speak english well conversation struggle , especially give tired could not check till 2 pm . ethnic background hotel staff result conversation lose translation , be patient willing help question . Bellman take bag till room ready alleviate drag around hotel extremely close underground station Earls Court . say overall , pleasantly surprised property . anxiously expect stereotypical small room hole - in - the - wall hotel , find hotel comfortable , recently remodel room use update furnishing ( i.e . marble bathroom tile / wall , dark wood style cabinet , door , desk [ bed use chair ] wall . ceiling floor cushion bed headboard , four pillow extra wool blanket closet , flat screen tv , mini - fridge / microwave room , large bathroom bowl style sink . bed , floor lamp , desk , cabinet , single chair , bedside table , luggage rack , little room walk around log many mile city day , room perfect oasis we come home , shower , fall bed unwind . comfortable bed , modern room carpeting , clean up - to - date bathroom , blackout curtain , generally quiet place although door not muffle noise within individually sectioned hallway if / when create , usually allow we get restful sleep night . small gym 's functional be creative offer three basic aerobic machine option , universal machine set , water tank , clean towel , 7 dumbell set 10 kg . package offer complimentary daily unlimited continental breakfast buffet morroccon theme restaurant bar area nicer expect give we plenty food daily touring . seem open late , although rarely anyone , like nightcap turn . nothing else note hotel & quot ; basic & quot ; type place best western hotel design US . 
 Feb 21 2008 	 excellent value money 	 well situated hotel , 3 min . Earls Court Tube station lot local shop , restaurant , pub within walking distance . stay 3 time hotel room appear refurbish although several not window quite large airy . staff helpful always polite & amp ; well mannered . good value London price . 
 Jan 31 2008 	 not bad ! 	 not bad review say . find staff helpful , un - organize . least check . say , check time 15 people leave hotel might something . staff east european / indian hotel slight feel asia it . we 8 people stay hotel . double room . 1 couple first floor ( we ) , 2 basement 1 couple second building hotel . room basement seem slightly large window small window ( compensate size ) room service second building not good main building . anyhow , 's know room therefor share view our . the room first floor small clean arrival find satisfactory . although , daily cleaning service crap ! make bed , not refill toilet roll ( go reception ) , not throw empty waterbottle etc .. also , room , Internet Movie Service not work . telly bathroom : ) . nice ! otherwise , must say one nice hotel ' ve stay , Britain . especially since get sweet deal £ 65 per night / room . Breakfast include , need Earls Court Road around corner 2 shop , 5 cafés , BK , McD , Subway kfc.and last least , alley behind Hogarth Road quaint little french restaurant lovely food low price ( 3 course meal £ 9.95 ) great pub across restaurant ! 
 Jan 26 2008 	 Excellent stay great location 	 4 we stay 5 night whilst work Olympia . book single room small expect central London . room really nice plasma screen tvs find staff pleasant , helpful quick respond breakfast , bar reception . breakfast self service even bacon etc work great not wait tea coffee serve immediately . location hotel great set road lovely house close tube station Earls Court . shop restaurant near near tube station . want hotel near Earls Court Olympia would good choice . decide book next year . 
 Jan 23 2008 	 really impressed ! 	 friendly staff , central quiet location massive , nicely decorate room ! book online £ 99 expect pokey room market hotel . however , pleasantly surprised ( fact think maybe unwittingly upgrade ) - give ' clubroom ' really big . bathroom lovely , plasma screen tv super sup super king size bed . staff lovely helpful , happily allow check email computer print travel document . hotel locate 100 metre Earls Court underground close hustle bustle , strangely street extremely quiet . definitely recommend - plan stay couple week ' time . 
 Jan 11 2008 	 great stay London good price 	 Anastasia , Aathens - GreeceIt good hotel , great place , clean beautiful decoration . come problem although read review traveler expect bad . before arrive hotel confirm reservation phone ask give roon basement ( room basement good ) , u thing order avoid surprise . 
 Dec 19 2007 	 good deal London Standards anyway .... 	 appear website large hotel actually small scale modern building hardly overwhelming historic rowhouse settte , certainly different , especially hue purple lighting night . like area , slightly way working class , although near nice area London . read hotel undergone total renovation , ' evident upon arrival lobby appear vintage 60 ' feel bit worn around edge . soon find renovation fund go part hotel , include guest room pleasant surprise book internet never receive confirmation . repeat email , return , phone London . customer service rep friendly confirm everything , still inconvenience . join hotel loyalty program request room upgrade single reserve , grant , atlho ' know arrive . room , overlook street compact ( typical London ) nicely furnish , small , yet well design bathroom . finish luxurious nature appreciate tea / coffee service well fresh fruit upon arrival- perk loyalty program although bowl fruit also available lobby - welcome touch walking day . breakfast take hotel restaurant , contemporary especially bright airy morning . full english breakfast , include rate , serve buffet style well experience . staff generally friendly English challenge ' provide much assistance term information ( concierge even tho rate 4 * ) . pc available internet ' laptop . fitness center miniscule , actually serve well equipment operational- person see use . since notice 2 basement floor room , glad 4th floor window enjoy pleasant weather . , fire alarm…….we awaken one night 4 be bogus fire alarm , force we bed , stair onto sidewalk . staff ' know stop apparently generate glitch interconnected system sister hotel across street . finally return room 45 minute . sure frequent problem , certainly major inconvenience . feel staff prepare handle problem apology explanation given- even next morning . additionally , hallway lighting ' work next day one need fumble card get room . occur , would rate hotel feature either 4 5 , reduce rating slightly light problem . say , would probably stay again- finger cross repeat glitch bad yet , real emergency ! tip : least 3 website book hotel one significantly low rate room . check around carefully . join Premiere Club program request upgrade , even ' 1 time . also , myriad Shaftesbury hotel London other seem mixed review hotel 
 Dec 17 2007 	 Excellent London hotel 	 bit scared hotel reading review Tripadvisor . well really positively suprise hotel nice . hotel room really nice well decorate . flat screen tv , microwave freezer really nice thing really hot outside could keep drink cold heat food . air conditioning also really effective really enjoy . free newspaper also server front room door every day ( except Sunday ) . also fruit basket waiting room arrive . the problem shower occation give cold water . call reception , don´t think even respond thing . location excellent , Earls Court station hundred meter away . nice pub shop near station . bus service also run near , it´s easy reach Harrods Hyde Park dobbeldecker . 
 Dec 10 2007 	 Good Value 	 Hotel locate 33 - 37 Hogarth Road Earl 's Court . we stay 7 night Club Room package . include breakfast evening snack turn service . hotel easy walking distance Earl 's Court underground station excellent access Heathrow center city via Piccadilly line . London see museum theatre . room little large typical hotel room area price range still small N.A . standard . room quiet clean except carpet , provide slipper robe . bed ( little firm we ) bath room ( good size modern ) clean comfortable use ( mold dampness ) . good towel . breakfast excellent good variety , hot ( bacon sausage egg etc . ) cold ( cereal etc ) , good quality , include fresh fruit , pastry coffee . staff friendly helpful service little & quot ; sketchy & quot ; time wait anticipate need attend regular chore ( e.g . remove newspaper room , provide fresh face clothe etc ) .We would stay . 
 Nov 26 2007 	 one word shoddy ! 	 arrive people room ( presumably staff know ) bustle past us door without explanation . not loo roll loo roll holder . bathroom fitting cheap , tap break piece shower take apart maintenance man would produce hot water even one temperature . the hotel clean barge room 9 am Sunday morning despite disturb sign hang door . hotel manager try explain away lameness hotel say 4 * accomodation 4 * hotel . 's case somebody need change website clearly say & quot ; Shaftesbury Kensington fully refurbish 4 * boutique hotel complete luxurious feature guest expect . & quot ; total nonsense , place travelodge boutique ! 
 Nov 13 2007 	 nice . good location value money 	 hotel nice clean . staff friendly helpful , ok foreign staff work , show one member staff bottle wine order one , not understand we , not bother we . room modern trendy , clean . unfortunately , really small , keep knock leg wooden base corner bed frame , ready bruise ! really not room swing cat room ( would ! ) clean . hotel good location , turn leave 5 minute walk towards Sainsbury 's , couple restaurant , Garfunkel 's , serve lovely english breakfast , reasonably price good service , be also close Waitrose , Tesco Express , boot , couple coffee bar bakery , Gloucester Rd Tube Station . turn right literally Earls Court . not really complain hotel , comparison hotel area 's really nice , staff helpful , everything need - laundry service , bar area etc , staff could not enough we . , local amenity , really good location value money . despite bed , really double - like large single ! would stay . 
 Sep 26 2007 	 Excellent location . 	 stay hotel September 8 - 16 , 2007.it clean small , modern room . room basement large window , probably former entranceway . our room ready upon arrival 7:30 transatlantic flight . continental breakfast include package . fair amount variety restaurant staff seem friendly . some front desk staff seem little detach . the big plus us location . hotel short walk Earl 's Court tube station . station several major line go central London . also wealth really excellent small restaurant Earl 's Court road well Hogarth Road . we like stay hotel , think good value pay . would recommend hotel , even solely base location . 
 Sep 24 2007 	 nice convientent small business consultant 	 stay hotel time . room small ( per London norm ) , clean , well maintain , good broadband internet access free . desk working work well use laptop ( normally move thing desk work ) bite extra room . the location quite convenient Earls Court Tube station . neighborhood many food good food option many necessity , include small office supply store within really short walk . neighborhood many people socialize near Tube station , seem add good feeling safety . 
 Aug 27 2007 	 Smart issue 	 hotel lovely clean handy right almost next door theatre opposite China town ; fab food . two complaint book web site work 50 GBP cheap hotel book agent . second complaint never get we room almost 1420 sit foyer wait . foreign girl ( tall ) greet we make we feel we favour haughty attitude ; not even say ' m sorry room little late ready please get something be wait . not care we . two ( short ) member staff excellent save day people skill . room great booked spoke hotel say give back hotel room peaceful ; not front ok anyway . breakfast good worth . would stay female would problem think . 60th birthday special day start disappointment . bus stop road city underground round corner great round respect . 
 Aug 21 2007 	 Fantastic Hotel Price ! ! 	 must admit , extemely aprehensive book hotel 1 night stay London read horror story website , however impressed whole experience . book two double deluxe room website call premierhotel could not believe discount available . manage get room include full & quot ; eat & quot ; breakfast monday £ 150 . book surprise parent fiancee really something bit special without pay hundred pound . prior arrive hotel contact reception staff see possible drop luggage check time 15:00hrs . informed would not problem . arrive hotel , staff helpfull polite give we room early could store luggage . impressed standard room , nice touch not typical hotel stay LCD TV , internet , microwave nice decor . hotel not provide car parking facility manage park vehicle marriot hotel NCP car park literaly across road Cromwell Road rate £ 26.00 24 hour period . also pay conjestion charge , £ 8.00 24 hour period . the main reason visit watch & quot ; Billy Elliot & quot ; Victoria Palace Theatre , several km away . unfortuntely rip private hire taxi firm hotel book we . end pay £ 16.00 . Stick black cab , £ 10.00 return trip thetare . the breakfast normally £ 15.00 per person excellent . great selection thoroughly enjoy all . I would definately recommend hotel friend family . 4 * hotel locate Kensington £ 75.00 per room include breakfast excellent value money ! ! ! 
 Aug 18 2007 	 Fantastic Surprise ! 	 book standard double room last minute price , read review site expect fairly average hotel . plesently wrong ! hellish 25 hour international flight arrive hotel 7 am - check 2 pm anticipate painful wait - however friendly staff allow we check room right away extra charge . room book turn basement , unless obsessed view not consider drawback - quiet great catch sleep . room tastefully decorate , wood panelling , soft lighting massive flat screen television - plenty space 2 adult 2 large suitcase . room also contain ( among thing ) bar fridge , microwave safe , big bathroom ( bath ) wash away travel stress . another benefit location - close underground , easy get Heathrow , lot cafe shop near . highly recommend - think fantastic value money . 
 Aug 11 2007 	 never ever 	 disappointed say least . stay hotel previously impress last stay . book two single room time via online site . arrive check room without incident . turn tv usual news check , find nice tv 4 Star hotel work . immediately inform front desk say would see . return hotel later night tv still work . call front desk say would resolve . I spend two night hotel without function tv . give alternative room . pass credit account . apologize inconvenience , unhappiness frustration . lie . tell none TV ' hotel functioning , obviously know fact book two room hotel one tv work flawlessly . Don ' waste time money hotel . 
 Aug 10 2007 	 horrible experience 	 request room 2 bed agency confirm leave vacation . upon arrival , inform room 2 bed available . front desk later say room proceed show we room 2 bed . say fine , take , manager duty say , technical repair do give we room . say move different hotel front desk clerk say room available we tomorrow stay one night single room first . say move luggage new room become available 2pm next day . consented stay night since room 2 bed avail next day . next day arrive manager chnge mind REFUSES give we promise room say unavailable . however , pay extra $ 60 per night , one available ! something FISHY call agency confirm extra charge ! FELT HELPLESS want ruin vacation move another much nice hotel CON we ! 
 Jul 25 2007 	 stay somewhere else . 	 ' m one rant everything , good grief - not stay place . whilst room fair enough size , uselessness grumpiness largely east european staff detract would still average 3 - star hotel . here reason stay : * Breakfast not include * tv movie internet connection - room least - not work * ask assistance in - room broadband , two day run , no - one ever manage five - step expedition room * last day , store bag post checkout , include medication ( fridge ) freezer bag ice bar freezer ( relate medication ) . come back afternoon , spend half hour wait around , get later later flight , whilst staff slowly come realisation lose ice pack ( many freezer small hotel eh ? ) . persuade give bag ice , grudgingly . * check , 4 russian guy turn , tell room hotel , across road ( basement level ) . not stay . conclusion , many hotel London , not waste penny place . 
 Jul 16 2007 	 Great Room Service 	 great location right West end Shaftesbury Avenue . chinatown right across street , Covent Garden 5 minute walk Regent Street 5 minute walk . we room 302 front hotel 4th floor . turn air - con unit soon check thiskept room beautifully cool . four - poster room good size comfortable bed large bathroom plasma tv set tile ! ! ! great ! ! ! room clean modern well equip tea / coffee make faciliie , biscuit , bowl fruit , large fridge , hairdryer newspaper devlivere daily . no complaint hotel would stay close action . also air - con traffic noise outside keep awake . 
 Jul 12 2007 	 Hot Little Hotel ! ! 	 stay Shaftsbury Kensington 2 night June . read review TripAdvisor rather worry hotel standard . pleasantly surprised . second floor room Rm 212 recently refurbish quality fitting . although room small side lovely . bed comfortable , bath bed clean , plenty coathanger ( never usually enough ) overall great little room . criticism need one little warm , air conditioning system work hard cope ( would great winter ) convenient Tube Station Earls Court . plenty restaurant around pub . service good buffet breakfast plentiful varied . would definitely stay . 
 Jul 10 2007 	 good value money London 	 hotel close Earl 's Court tube station offer good value money . room little small side beautifully furnish plasma screen tv 's upmarket bathroom shower other full bath shower . fruit platter room also fridge microwave . clean hotel , efficient front desk staff good restaurant . highly recommend hotel expecially view accommodation available Earl 's Court . 
 Jul 6 2007 	 one night perfectly acceptable cupboard 	 double room available date require promise executive single double bed arrival . check take accommodation across road main hotel take nice , small room single bed . return reception see could done reallocate another small room basement three quarter bed - great , improvement . room seem decorate furnish good standard . bathroom reasonable size quite nice acceptable level cleanliness good supply towel . breakfast expensive nearly £ 10 good standard , except everthe pretty cold 8 am . find reasonably quiet London , window close ( absolutely filthy outside ) . basement room street level , much privacy . apart quite cramp , everthing fine . 
 Jul 3 2007 	 two star 	 4 - star rating undeserved . place overcharge shamelessly ( stay 5 night @ 360 per night , breakfast ! ) hotel conveniently locate -- close theater good bookstore , also face fire - station noise fire engine pierce unpredictable . window isolate horrendous continuous rumble noise , work air - conditioning ( keep hear conflict account air - conditioner functiong ) , small room get stuffy fast . request quiet room -- luck . bathroom toiletries third - rate -- shampoo yes , hair- conditioner , open bottle lotion replace five day , trouser - press , & quot ; upgrade room & quot ; tv first 24 hour movie option available , limited tv channel . book Best Western , expect pay check , whole stay charge arrival -- tell guest & quot ; escape & quot ; hotel policy charge whole sum advance -- fair mesure confident management people stay place . would move charge advance . staff eager helpful ( especially concierge Peter ) , also helpless view technical problem . 
 Jun 26 2007 	 reasonable nice room friendly staff . 	 girlfriend book read search long hard reasonbly price hotel not rubbish . find £ 40 per night extremely satisfied . will start one bad point , doubt will bad point ; reason go London watch concert take place hyde park , information hotel state walk distance Hyde Park , true ( be long walk hour ! ! ) . annoying know tube would pack fellow concert goer . mention , problem require walk distance hyde park . everywhere else London location great literelly one minute walk Earls Court tube station . check problem pay arrival . get direct room porter . room 6 , porter lead we downstairs , straight away knew mean bad news . read review say stay basement room , i.e . window ! lead we step walk room dark dull . thak review would read specifically request high room view . phone reception send porter we another key card room 114 , walk really happy . room big , huge window ! room huge plasma tv , fridge , comforatble bed , hair dryer , coffee etc etc random microwave tuck cupboard bonus . I would definatley recommend hotel need request one high room really make difference ! 
 Jun 26 2007 	 really nice hotel london 	 return visit hotel . worried stay hotel read previous review here . when arrive hotel , reception staff friendly . stay room 101 really nice ( not mention bad review half ) pleased room . not much view , expect city ? ! room air con keep room nice temp . one little thing wrong room television reception well see . the breakfast morning really nice , hot lot choose . nice change get pot tea & amp ; coffee instead waiter come fill cup every & amp ; again . would defiently stop hotel 
 Jun 25 2007 	 good hotel great 	 stay hotel 4 night June . find hotel easily airport use tube , street . will start positive hotel nicely decorate room , plasma tv , fridge microwave . bad thing , room basement street level thought might make quieter not . first everbody seem enjoy slam door include cleaner mad room wall shake , tube line must run right underneath hotel could hear room . thing everything seem broken bout four lightbulb room , tv bathroom would not work movie channel tv would not work . apart moan good hotel . would not say 4 star . 
 Jun 14 2007 	 Shaftsbury Kensington pleasant surprise 	 Taxi driver not know hotel street location , not inspire confidence make good choice ! pleasantly surprised however , impressed friendly staff decor / amenity provide room - plasma screen tv chic modern bathroom , also fridge microwave . good location - minute walk Earls Court underground station . would definately use hotel . 
 Jun 11 2007 	 bad recent post suggest 	 stay hotel 5 night mid - may father mini vacation . pro ? block half road earl 's court tube piccadilly district line ... convenient . room small modern well put together . couple may mind size feel like could kill father times . room clean hair anything gross could find whatsoever . towel big clean , bathroom suitable . i d advise bring yr toilettrie one provide pretty terrible . con ? neighborhood bit boring do not plan find many great place walk distance . safe boring . pay approximately $ 165 - 180 US $ per night ... price seem go around $ 220 ... pay , relatively pleased hotel . would quite disappointed . would prefer stay area bit close thing next time around . 
 May 29 2007 	 awful 	 stay first week May . room ok , great really worth price . tv not work . hotel staff infome previous guest smash week not get fix . lot problem hotel staff front desk . unfriendly willing help . employee not seem capable handle complaint resort arguing rude . 
 May 28 2007 	 Advice staff -- not lie return guest ! ! 	 stay hotel last year wonderful stay spacious nicely decorate modern room . time around book room type ( double room ) , expect thing last year . horrified open door find tiny hotel room ever see ! ! definitely single room , know friend book single room last year book double , know difference . room ( 114 ) small can not even open cupboard door , could not even fit chair sit foot bed use desk . minibar also open properly bed close . put suitcase floor able walk around room . small . go reception ask change double room , book rightly deserve . tell room indeed double room . , say , double room last year know big 's suppose . insist room last time & quot ; executive double & quot ; got & quot ; standard double & quot ; time . nice last year give free upgrade . well , guess , 's thing executive standard double website , website book hotel . 's double single . since see single room friend last year , blatantly lie tooth would never know ! ! mean , full mess booking tell , go downgrade not pretend 's ' m suppose get insist charge rate ! ! demand right change big room . show 3 room , first one even small mine , 2 slightly big , not size either , one ground floor next lobby look really old renovate like room hotel . last one basement room window . consistency STANDARD ? ? not make room within category ? ? least similar ? look fire escape plan , conclusion : able get room first fourth floor last 2 digit exceed 09 ( eg 308 , 206 , 403 ) fine . however , room number 's last 2 digit exceed 09 ( eg . 212 , 114 , 315 ) end & quot ; extended & quot ; part building , avoid cost . big fan gambling , not think would take chance get one good room come back . 
 May 24 2007 	 Nice Hotel 	 two we stay hotel end April 2007 3 night . the hotel situate close Earl 's Court Tube ( edge Zone 1 ) handy explore London , find out . Reception Staff friendly . stay back hotel . must say room small price much view day , bother we . modern decor , Flat Screen T - V , Microwave , Tea Coffee every day , free newspaper , daily maid service . we continental breakfast lot choose lovely . really could fault hotel would definitely consider go back . 
 May 14 2007 	 absolute bad ever 	 book 2 room May4th- 5night stay . arrive early one room ready . tell 2nd room would ready later . verify breakfast include room - they show one . give proof printout reservation site change . inform reception miss luggage airport may arrive , give name guest ask accept . arrive later day refuse hotel send bw Shaftesbury London take info phone # courrier contact . hotel refuse admit refuse luggage despite proof hotel . arrive back check 2nd room tell first nothing computer . insist , clerk check paperwork find room . room horrible- blood stain wall . ask switch room morning , tell would one room return afternoon room give someone else . give room balcony- window would not close completely bottom would not open noise really loud night could not use balcony . ask change give another room window not close . ask window fixed- staff put note window say not close . noise unbearable . 3 room permanent stain comforter hair sheet . good thing say hotel breakfast good . reservation system atrocious . worthy Premier name . 
 Apr 30 2007 	 never 	 arrive best western Premier Shaftesbury London Kensington appear Hotel , due & quot ; problem boiler & quot ; room , spite reservation . reception welcoming , rather impolite . college receive manner . phone call send another small hotel across street , welcome greeting request pay advance . luckily refuse , insist look room first . room incredibly small , bad furnished , seem dirty , andwa totally unacceptable , decline . go back good western Premier Shaftesbury insist get room standard order . ask sit bar wait , 1,5 hour , give room another location across street . room clean tidy , new furniture nice bathroom , good silent air - condition . bed comfy . unpleasant start , level professionalism serviceleft much desire , end quite well . accord review Trip Advisor uncommon hotel send guest location , risk book hotel . 
 Apr 26 2007 	 nice 	 read several review say hotel room small , find case . I think room decorate nicely good size . I problem stay would book hotel return London.i find hotel easily across road Earls Ct tube station . 
 Apr 10 2007 	 great hotel price 	 great hotel price location bad since train station block away hotel . book hotel around February March trip price still reasonable . see good review candid photo sell . get exactly look like photo , nicely decorate clean . true little bit small not mind since time anyway . setback itty - bitty elevator ( thank goodness first floor ! ) . overall great find would definitely stay . 
 Apr 2 2007 	 cute clean modern . 	 stay business 2 night . Handy Tube 5 min walk earl court . check - in straight forward enough . hotel make uniform corridor identical room , add character hotel . room ( # 010 ) corridor next main entrance street level . sound proof room , do not hear thing . really nice room , dark wood pannele plasma tv . big room be not plan party . staff freindly , hotel clean . recommend . 
 Mar 28 2007 	 Ok London 	 room ready check time mean could rest drop bag head back . staff friendly although tell breakfast include charge . room small could not open bathroom door fullybecause bed ! great position start use tube realise quick easy walk everywhere . 
 Mar 27 2007 	 helpful staff 	 second time here . we first check standard double room ( see old review photo compare last time executive twin room ) , going send we connection building . ha ha ha read many review , definitely say & quot ; ' ask 5th floor . unfortunately , be full booking today . , get room number 010.room 010- like box , near roadthe way go room quite dangerous ( opinion ) need walk strange door . never mind , tolerate one nightbut ! ! come back midnightair condition workSo , ask staff change roomthey show we new room ...... luckily , get room number 103we decide change room immidiately -- big -- fresher -- nicerthere free fruit ( banana , grape , apple , pear , ... ) also free 2 bottle waterand stuff slipper , toothbrush , shower cap , knit ..... -free internetall photo attach describe room realabout 2 - 3 , thirsty call reception buy still water 2 bottle water refrigerator free sparking , tell himyou know say will tell room service man bring two bottle still water free us^^that 's mean every problem 1 night solve ( room , thirsty ) friendly helpful staffthis encourage love like hotel good service staff thank muchps . hotel near earl 's court station 2min walk 
 Mar 20 2007 	 Fantastic 	 Fantastic hotel , 1 minute walk earl 's court tube station , one bad thing say ! ! ! use 
 Mar 5 2007 	 great stay 	 stay Thursday pay £ 85.00 double room . room face side street hear noise whilst room . microwave fridge always come handy , room end hall quite big . bathroom bright clean little cleansing product . love plasma screen bedroom wall end bed . thing could moan chambermaid clean room adjacent we 9 am whilst still sleep ( well try ) , knock door . surely reception tell left room , instead wake every buggar ! Prob fault put ' do disturb ' notice door , ' ve find never take notice anyway ! Earls Court tube station literally 2 min walk end road . park car Marriot car park cost we £ 28 24hour . overall lovely stay . receptionist really nice we . orignally basement room ask move kindly . move want smoking room nice . never breakfast becuase advertise £ 15.95 ! ! would not even pay top chef bit brekkie ! London hotel breakfast . definatly worth stay , esp close tube station , side street do not hear hardly noise . 
