great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 May 25 2008 	 fantastic hip special place ! 	 stay Hotel Vitale weekend , stay Panoramic Suite . try request high floor available . overlook Bay Bridge farmer market Saturday morning Ferry Plaza . absolutely wonderful ! location perfect we , could walk Market St Embarcadero . Boulevard , favorite restaurant City across street . Yank Sing , good dim Sum City around corner . , Ferry Plaza incredible food . Slanted Door infamous Taylor 's hamburger must . not scoff , must try one ... Western Bacon Blue Ring good hangover cure around . there wine shop , cheese shop couple deli style market full time plaza . weekend , befit epicurian love local flood market , place busy . not need get car day , everything within walking distance . night , quiet , easy get cab go party scene . arrive early Friday night find patio outside pack beautiful people . assume right away private party . end another Friday night stylin ' bar downstairs . cool ... not hang , would great time forsure . also not eat hotel restaurant , although menu look great . fantastic , fast room service three morning . we massage together outstanding . outdoor bath nice . hindsight though , spend enough time amazing bathtub probably could skip . tub rooftop completely private . relax killer strawberry , rise petal relax atmosphere . the room gorgeous . bathtub huge amazing product . bathroom dual shower , one rain showerhead traditional . toilet separate private room . incredible floor plan . feel spoil not want leave . absolutely nothing negative say Hotel Vitale tough critic . staff wonderful . can not say enough positive word place , must see ... 
 May 24 2008 	 great location 	 brother live s.f recommend place . location fantastic , locate across street Ferry Building , full great local food vendor farmer market Saturdays . hotel expect pay $ 350 + night . 2nd floor room look onto Mission St. Bay Bridge . real complaint housekeeping day one . room 7:30am 4:30pm , room still not make get back . put & quot ; Privacy & quot ; tag door take quick nap time , miss housekeeping turn service within hour . would go back - location can not beat . rooftop terrace nice addition . 
 May 13 2008 	 simply relax ! 	 stay Vitale Urban Studio room moment enter hotel till moment leave really enjoy hotel ! room different layout , great deep soak tub , separate shower great cosmetic product . hotel really relax atmosphere . staff friendly welcoming ! arrogancy attitude , true hospitality . definately return hotel ! thank great service ! 
 May 9 2008 	 Great Hotel ; Lousy Valet 	 stay May 7 one night . great location near Embarcadero Fisherman 's Wharf . arrive early ( 10:30 a.m. ) , intend drop bag check Wharf , pleasantly surprised take right room . hotel stylish , front desk housekeeping staff friendly professional . room ( deluxe w / Bay view ) clean well - appoint . negative valet parking . first , require 20 - 30 minute get car . excessive , consider one way street SFO fact parking lot least block away , guess 's good . however , huge problem call car 30 minute advance checking ( head airport ) , 50 minute later , valet show wrong CAR ! ! ! , try convince ! would not take wrong vehicle , go back garage come back right one . apologetic say would take parking charge bill . point , care get airport time , not bother check whether actually . suppose will find get credit card statement . . . 
 May 5 2008 	 Excellent Choice Right Embarcadero 	 stay Hotel Vitale two night late April business trip . the hotel warm welcoming , comfortable wood finish throughout . room comfortable bed , usable desk , ample storage space quiet , despite locate busy area , Mission Embarcadero Steuart . the hotel 's locaiton ideal anyone SF business downtown . walk front door , be greet picture - postcard view Bay Bridge walk step , renovate Ferry Building 's handy gourmet food stall . 's also adjacent streetcar take Market way Castro , along Embarcadero Fisherman 's Wharf . Embarcadero Muni Metro / BART station two block away . I not eat restaurant , drink comfortable bar . be also beautiful outside dining area great view . all , vitale oasis heart city . 
 May 4 2008 	 please lovely hotel 	 spend week Hotel Vitale . service friendly helpful . room decor upscale , contemporary , sleek lovely . family three , room little dangerous toddler base sophisticated furnishing . ( huge wall length mirror ledge perfect size climbing make we nervous . ) however , hotel make good effort accomodate we , bring highchair room well pack play baby be sleep . concierge approachable , helpful full idea . husband would definitely stay , though sure would return 18 mo . old child . 
 May 1 2008 	 almost great 	 lot nice feature . great free available business center . 2 free morning newspaper . excellent concierge ( Brian ) . comfortable room . good location . two small problem : hot water two consecutive morning leave car valet around midnight tell would probably charge half day leave earlyl next morning . next morning check charge full ( $ 49- ) valet even though lead believe otherwise not able take shower morning lack hot water . 
 Apr 10 2008 	 wonderful stay 	 stay Hotel Vitale 5 day late February recommend highly . design hotel perfect relax getaway one good city world . front door roof deck , everything spa - like . ( also actual spa hotel , try . ) room ( king size , bay view ) feature soothe color , natural material , even smell good ( usual stale hotel smell ) . bed pristine , white duvet cover . bedside table cd player ( new age - y CD collection ) plug iPod . loveseat arm chair window nook . bathroom large , glass - in shower rainforest shower head . well , toiletry make Fresh lovely . hotel also 2 roof deck guest use fun restaurant lobby - indoor lounge outdoor terrace seem extremely popular young businesspeople . restaurant not cheap , be worth check . find every staff person interact friendly helpful . addition turndown service , manager come evening make sure everything like - pleasant touch . location great us - right across street Ferry Terminal , find good restaurant , lot great snack ( include Cowgirl Creamery cheese , great bread store wine shop ) , incredible outdoor Farmer 's Market twice week ( Tuesday Saturday ) . be walker , hotel 2 block one end cablecar line well Embarcadero BART station , streetcar go past hotel well . find convenient walk Union Square , SF Moma , etc . , really like walk . thing not like hotel supposedly high - speed internet . free internet service move crawl , whether wireless plug . also pay option . amount room cost , little internet cost , really provide genuinely high speed connection free ( advertise ) . may need internet , travel business aware connect office will not easy . however , , be really fabulous place completely recommend . 
 Apr 1 2008 	 different side San Fran .... 	 hesitant book hotel central location , however stay many San Fran hotel even 5 star seem bit lackluster / old place seem fresh / new . I love room fabulous , modern , clean , relaxing . could ask . hallway also quiet , dimly light , pleasing eye . staff really pleasant concierge maid , check - inthe hotel block Union Sq may think disadvantage we discover whole new side San Fran . spend morning well luchtime actually Ferry Building across street great casual dining evening area . ' Slanted Door ' fab vietnemese / fusion food , ' Boulevard ' across street rank one San Frans ' good restaurant . we go Union Sq one day glad get back hotel , water .... relax . I think website hotel spa resort directly water 's , not spa one treatment room . advise not much downstairs lobby area hang either disappointment bar / restaurant area . go one evening dinner full drunken kid , guess also open door main street anyone walk . otherwise super city hotel . 
 mar 30 2008 	 new favorite place stay San Francisco 	 absolutely love stay Hotel Vitale . besides hotel prime location close one favorite spot , Ferry Building , service excellent . staff cheerful incredibily helpful experienced snobbery even though small child us chic hotel . love modern design room , extra touch like CD 's cd player , great book bedside table dine San Francisco , mini - bar stock gourmet edible ( usual Snickers bar Lays potoato chip ) . definitely stay next trip San Francisco . 
 Mar 21 2008 	 Prime location 	 great hotel . contemporary , friendly , stylish . excellent location everything close amazing view bridge . downside bar close early . everything else great . 
 Feb 18 2008 	 Comfort ... 	 always bit skeptical reading review even though great thing say Hotel . glad take chance ! hotel comfort Excellent staff , Friendly Professional . feel special stay Hotel Vitale even one night . 's great location , close everything ... though may feel like staying night . romance sure air , room beautiful spectacular view match . could not ask nice Hotel . Book , will not disappoint . thank Hotel Vitale , be new home away home & lt ; 3 
 Jan 28 2008 	 * * * * * Star Service 	 much say property already , happy report Hotel Vitale new find fave San Francisco . ' m usually creature habit , decide give Hotel Vitale try . always love walk along water , visit Ferry Building Farmers Market , Dining , Shopping , Exploring - and property make great base experience good San Francisco . service incredible moment arrive . felt genuinely welcome Valet & amp ; Bell staff , Front Desk etc . concierge ! ! outstanding ! ! every recommendation spot . Vitale attract nice diverse age mix people ( single , family , couple ) comfortable place stay relax . truly surprised quality staff , quality food , water view / s reasonable price . vitale cozy Lounge stylish Restaurant offer truly delectable food delightful service , let we forget simple comfortable room complete every amenity . 
 Jan 21 2008 	 good service ' ve ever get 	 see lovely website , high expectation Hotel Vitale , expectation surpass . room ( Urban Suite ) large flank full curving wall window afford city view . decor lovely calming ( little trendy ) , material use high - quality . bed beautiful comfortable ; towel robe big soft ; iPod stereo nice touch . ( would like DVD player TV , 's minor thing . ) deep soak tub , place view night sky , heavenly . room service , order 11 pm , fast tasty . but Hotel Vitale really impress service staff . unobtrusive friendly accommodating . suitcase break , check , store thing could get another suitcase , guide private area change bag offer dispose old one . fetch cab even give bottle water take airport . feel comfortable well take care . 
 Jan 18 2008 	 solid choice 	 Hotel Vitale beautiful hotel like modern architecture fitting . choose New Year 's Eve specifically rooftop location overlook firework Embarcadero . also choose travel 4 kid , need 2 queen bed per room . vitale fit bill , plus good review . the bad:1 . check go smoothly . ask room near , connect . arrive , girl front desk completely clueless , first tell we nothing like available , snap ask could upgrade make available , finally give we precisely ask arrange advance . odd . 2 . make matter bad , kid go room , discover someone else already room . nice shock child . try call room tell problem , one answer phone - twice . go front desk tell , apology - strange . response & quot ; must computer glich . & quot ; duh . kid end entirely different floor us - compensation aggravation , etc.3 . room SMALL ! ! ! ! small California trip ( stay 5 different place ) . might standard California , last time - many many moon ago - stay clift room enormous . want roominess , may want look elsewhere.4 . location perfect we , may work tourist 's need . be right across Embarcadero market , fun . 's near financial district , 's naer Union Square , etc . love walking , walk ton . the good:1 . one person check - in , service nice . lot deal consider New Year 's hotel mob , outside area . great job keep hotel festive insane - e.g . noise stop 1:00 a.m. 2 . well place watch firework . roof absolutely great , teen adult alike.3 . room nice , bed comfortable , finish nice ( tv , faucet , etc . ) .4 . Valet parking exremely prompt.5 . housekeep great - turndown service nice night , accomodate ( give extra 4 kid , e.g . ) 
 Jan 6 2008 	 Good Hotel 	 stay Hotel Vitale first Thursday night 2008 part quick business trip . arrive Oakland International ride Bart get hotel . check room less one hour step plane . Bart cost $ 6.55 include $ 3.00 bus transfer airport Colosseum Bart Station . hotel three block Embarcadero Bart Station modern building . walk , doorman open sturdy wooden front door find self front desk . check take 5 minute . Halls moderately dim tastefully decorate . room well mark . king room 2nd floor ( 242 ) face Steuart St . room commercial grade carpet , long desk , one office chair , one lounge chair king bed . in - room bar snack tray unmarked price sample . television flat panel desk 24 inch standard remote cable . closet two bathrobe ( soft linen , comfy ) . small alcove hide iron ironing board . the internet access wire wireless . either choice free , agree pay $ 0.00 online , pretty speedy web access . choose wire access wireless unencrypted . much appreciate row power plugs desk level computer , cell phone etc . night stand stereo - clock radio - mp3 - cd player docking station probably ipod remote control . selection 5 CD 's music . mysteriously come twice evening require minute twiddle turn . come back dinner , time probably turn - down service . the bed comfortable 4 enormous pillow . linen fine , bed curiously short sheet -- nothing could not remedied undo meticulous job maid arrival . towel many bathroom combination tub shower shower curtain , sink reasonably sized counter toilet . floor wall tile . 90 % oxygen bathroom . price break seal $ 69.95 ! wall window keep traffic noise either street hallway , hear neighbor . twice 10 pm , hear truck trash dumpster collecting . occasion loud last 5 - 10 minute . there small business center hall three computer station printer , charge . fitness center contain three four machine individual small tv' . breakfast restaurant quite good . price range $ 9 $ 19 . free option . check painless . breakfast charge make final bill checkout , clerk promise email final bill . yet receive 36 hour , sure will not forget bill . would stay . 
 Dec 29 2007 	 Perfect Short Stay S.F . 	 recently spend four night Hotel Vitale echo positive comment Trip Advisor review . would first choice business trip vacation . point think significant . first , location . vitale easy get car , cab , bus BART ( airport ) . be drive , avoid many hill drive around peripheral route Embarcadero ( across hotel ) . real plus . also , hotel across road Market Building , great destination weekend shop dining water . the room good size , well appoint extremely comfortable . Bay Bridge view room think worth extra money : get wonderful view bridge ( illuminate night ) water front couch window nook . perfect sitting , read look window . the hotel staff extremely helpful neighborhood many interesting restaurant : favorite dim sum Yank Sing block away . 
 Dec 27 2007 	 Great Place stay visit San Fran 	 hotel hope ! great view , friendly service awesome location . hotel staff could not enough . make feel comfortable immediately anything need would fingertip . difficult find con choose one would noise level bar hear lobby . really not loud . hotel wonderful romantic .... mention great view great location ? definitely stay ! 
 Dec 19 2007 	 find ` ` San Francisco Hotel '' 	 choose Hotel Vitale location - across street Ferry Building open air farmer 's market . location reason enough return . the bonus hotel - welcome friendly , yet professional detail focus . check - in front desk volunteer move high floor spectacular view next day sixth floor room become available . second day valet remember car . bellman show ice machine hide would not call ice . everyone determine provide service beyond ... do . my room impeccable . rain - shower bathroom , awesome . one room service order serve promptly , hot well prepare . a minor complaint hope Hotel Vitale management consider . hotel offer free internet service free . also slow . offer upgrade high speed $ 9.95 day . charge little room throw high speed internet will not complain . offer free internet nickel dime decent speed internet take issue . one nit - hip hotel like Comedy Channel cable line - up Daily Show Cobert Report ? hopefully new internet policy return next spring . either way return regular basis . 
 Nov 22 2007 	 Great Relaxing Hotel 	 stay Hotel Vitale way honeymoon Hawaii . place great stop get we relaxed ready go ! room - zen calm feeling . Loved ' fresh ' lemon sugar body lotion , soap , soy shampoo , pomegranate conditioner . Complimentary terry robe , slipper , water & amp ; chocolate turndown . bed super comfy , use iPod dock / alarm clock - nice touch . also receive free bottle sparkle wine ( napa course ) rise petal scatter heart housekeeping , along card complimentary cold eye mask - since would travel Hawaii . place really clean build couple year old . hip , relaxed - remind bit W. seem like lot business traveller , place pretty empty day . also free downtown car service , book try use it . Business Centre - Free computer & amp ; internet usage 3 workstation ! always like this . Green Roof - fantastic initiative ! grass roof sleek outdoor lounge furniture watch sunset drink . truly feel relax here . service - not major problem service , complimentary hot towel upon check - in ... miss we . well , someone go call room ready - since early never . Breakfast / Room Service - absolutely delicious ! order Eggs Benedict w/ Proscuitto will not disappoint . Quick & amp ; courteous , particularily overpriced . Location - Fantastic ! Head Ferry Building upon arrival late lunch snack . highly recommend dim Sum @ Yank Sing Rinocon Centre ( 5 min . away ) . Toronto blow away quality / service - local favourite . fly SFO - take BART train Embracadero station $ 5.15 . take 30 minute walk stop hotel . love hate sit traffic ... BART efficient . all great experience , ' m also surprised place not higher ranking . would definitely stay ! 
 Nov 12 2007 	 Good Value ! 	 spend night last weekend Hotel Vitale . location great -- across street Embarcadero & amp ; Ferry Building / farmer 's market . take long walk -- North Beach Coit Tower morning , Union Square afternoon . hotel hipster feel , nice design -- although bar crowd large tour group sort Saturday afternoon . room stock soap , shampoo , lotion Fresh , love . overall , however , impressed service feel hotel . glaringly , awaken middle night two telephone call -- time line go dead pick phone . call front desk find go , manager haughtily tell we try check another party room record we ever check . & quot ; name ? & quot ; demand . tell , say record us signing check - in card . , tell we people try check room , hotel computer would allow check . sleepily , try make sense -- finally able disengage , upset middle night . hard time get back sleep ! next morning , ask extra half hour check - out , give firm & quot ; no . & quot ; would not stay , price , one might expect nice attitude . 
 Nov 11 2007 	 Adored Hotel Vitale ! ! 	 start 1st anniversary vacation trip California San Francisco decide stay Hotel Vitale excellent review Trip Advisor selection top hotel Conde Nast Traveler . could not begin trip well way . extremely impressed aspect Hotel Vitale . welcome staff , include valet , bell service front desk , friendly knowledgeable , treat we like vip . welcome room champagne lovely note hotel staff congratulate we anniversary - wonderful surprise thoughtful gesture . return explore city , housekeeping staff turn room , scatter rise petal ( incredibly comfortable ) bed also leave we anniversary card ! knowledgeable concierge provide we dinner recommendation arrange excursion Alcatraz . also learn friend live city Hotel Vitale one favorite would heartily recommend town visitor - confirm already experience Hotel Vitale , one good hotel stay anywhere world . regret could stayed long continue treat warmth professionalism . thank much truly memorable stay ! 
 Nov 6 2007 	 Set standard high rest hotel stayed 	 start 14 - day vacation 5 day San Francisco fantastic hotel . minute enter hotel lobby recieve friendly welcome Bell man Front Desk upgrade ( without even ask ) unbeliveable room panaramic view ocean Bay Bridge . room soak tub , separate room spacious glass encase shower rain spout double sink another spacious separate room toilet another sink . king bed extremely comfortable room come flat screen tv / bose sound system soothe cd 's left bed . two set robe slipper await we turn service night always leave supply complimentary water chocolate pillow update next day 's weather . hotel medium room complimentary use computer guest . always complimentary fresh coffee wait we lobby morning . workout room clean nice size enjoy massage spa . enjoy ambiance restaurant downstairs outdoor dining firepit nice touch . location hotel ferry building sunrise balcony fabulous . concierge Jackie extremely helpful get we romantic restaurant last minute give special thank Lucky Sanabria take time notice wine drinking & quot ; Wine 'd Hour & quot ; hotel offer send complimentary bottle room . would favorite hotel travel lot . look forward come back San Francisco stay Hotel Vitale service friendly yet professional ! 
 Oct 19 2007 	 Best Hotel San Francisco 	 stay Vitale 3 nightsafter couple hotel want stay full , blessing disguise . fleet week beautiful weather whole city pack rafter . location perfect opposite marketplace . fantastic bar always buzz reasonably price hotel bar . photo room not justice , colour material use top quality . fantastic bed linen , plus lovely tolietrie . room fantastic size SFO standard , plus great turndown service . eat previous stay food good , although noisy attach busy bar area . only criticism squueze small lap pool would amazing roof . can not wait stay . 
 Oct 10 2007 	 great stay Vitale 	 get back great weekend san fran & amp ; napa valley . stay Hotel Vitale San Fran portion trip . anniversary decorate bed floor rise petal , bottle champagne waiting ice , well 2 separate anniversary card wish we well staff . room spacious , extremely well keep clean . bathroom large GREAT amenity -- -all & quot ; Fresh & quot ; brand product . love sleek decoration hotel lavender smell thoughout . hotel great area san fran , lot good restaurant close walk distance nice . great view bay bridge . get couple massage amazing , probably good massage ' ve ever get ( ' ve get alot ) . also take advantage roof top deep soak tub great experience . decorate tub rose petal , candle , give hot tea / water/ chill fruit cucumber . hotel also 2 rooftop area go hang nice open whole hotel . downside would say valet -- -- slow get car even call ahead day put request . , stay terrific hotel would highly recommend 
 Oct 7 2007 	 Hotel Vitale perfect place 30th anniversary ! 	 not know anything Hotel Vitale , review read online , make reservation Expedia.com . past visit San Francisco business trip , always stay Fairmont Hotel Nob Hill . although enjoy Fairmont , ready experience something different 30th wedding anniversary , location hotel , anything else , intrigue . happy report decision good one . unlike visit San Francisco regularly past 28 year live three year late 1970 , husband back since 1993 . even surprised transformation Embarcadero district . love Port San Francisco ( POSF ) Farmers ' Market Saturday morning shop inside POSF building . morning coffee croissant Saturday morning overlook bay view Bay Bridge Golden Gate Bridge priceless ! many new restaurant area highly rate . Thursday night first arrive hotel , tell 1 1.5 hour wait place recommend advance reservation . the hotel new clean , modern design . like way business center fitness center floor . view hotel room 2nd floor beautiful . clock tower POSF section Bay Bridge close , feel could reach touch . turn service excellent Concierge helpful dinner reservation . we walk hotel Pier 39 Ghiradelli Square ride cable car downtown . San Francisco still favorite city world Hotel Vitale make even well . Viva , Hotel Vitale ! 
 Oct 7 2007 	 top service gorgeous modern hip stylish yet relax hotel 	 one good hotel ever stay in . my husband stay Vitale four night first part honeymoon last month . the service amazing , treat like royalty ! hotel clean , hip , decor gorg , be relaxing , yet busy bar , amazing open top bath hotel roof fantastic view bay bridge . we check long flight London staff reception kind welcome . bottle champagne , card flower honeymoon room scatter rise petal bed shape heart ! reception phone we make sure ok book dinner us lovely restaurant across road . lovely touch save we find place eat.our room gorg view bay bridge really comfy lounger chair could lie enjoy view.the mini bar fully stock 's whole tray goody snack include chocolate , little cake mints.there 's turn service every night bring chill water , turn bed bring little chocolate . little weather chart next day.we not go bar , eat day , be always pack obviously place go ! massage lovely spa eight floor , relax luxurious . open top bath roof top lie hot water overflowing bath , surround bamboo little candle around , cucumber eye , herbal tea fresh fruit.the hotel ten min walk union square ( great place breakfast - go world famous sears american diner across road corner ) shop fantastic . 's 20 min walk pier 39 bar , cafe etc . stroll along time cycle across goldengate bridge , sail alcatraz eat food beer pier.it 's 15 min direction along water baseball , another fab night ! overall love san fran love vitale - definitely back 
 Sep 26 2007 	 really really nice hotel 	 can not believe hotel low list really really nice . much boutique hotel good sized room amazing service - could enough . also free WiFi . go - enjoy great great place 
 Sep 23 2007 	 Great experience 	 great hotel experience . restaurant good food happen bar scene around happy hour . great breakfast ! concierge extremely helpful ! ! ! ! ! ! ! room modest yet hip . even free champaigne 10 min massage lobby one night . beat . highly recommend hotel definately stay next trip sf . 
 Sep 23 2007 	 great hotel location 	 Hotel Vitale perfect start California holiday . stay 5 night begin Sept 07 . everything great friendly welcome checkin fab room view Embarcadero Bay bridge . SF Labor Day weekend hotel oasis calm hustle bustle downtown holiday weekend . detail : comfy bed , nice choccie turndown , lovely spacious bathroom ( altho bath ) , nice quality toiletry although bit lemony . hotel restaurant bar good be also several good restaurant within 5mins walk hotel . if be SF w / e , sure check farmer ' market Ferry Building saturday morning - great breakfast ! 
 Sep 13 2007 	 Perfect choice explore SF 	 stay 4 night start honeymoon perfect choice . staff , surrounding , facility location allow we relax get enjoyable task explore San Fran . take advantage Keith Jackie 's advice concierge desk pretty much shape stay around recommendation . restaurant , baseball ticket , ferry trip away tourist etc turn perfect . Keith even give we load great recommendation 4 night Napa . internet access print handy , view Bay Bridge stunning , comfortable bed massive bathroom .... top notch . downer bath - hey , can not ! chap bell desk utterly helpful take stress taxi , parking hire car . bar restaurant lively breakie delicious . really -do not book anywhere else . 
 Sep 9 2007 	 Decent hotel stay many well ' hip hotel ' 	 stay first 3 night two week stay California . check efficient , although Friday night Americano somewhat night club Friday , Saturday night loud ( difficult hear receptionist say 2 foot front front desk ) . problem though – room quiet enough ( quieter would nicer though ) .although room fine , outstanding ( review clearly nice room ) .The bed good . have good massage spa – also bad value hotel . lunch restaurant ( Americano ) fine – lot well place city eat course . have drink Saturday night Bar / Patio outside – overly impressed waitress ' service . think much scene / vibe whatever want call either . Seemed quite know want – cool / hip , family / touristy , office party , wedding … having live state ravel throughout , come pretty average count . 
 Aug 28 2007 	 Slice Heaven ! 	 one good experience hotel . attention detail fantastic ! ! not think bad room place ! ! staff accomodate pleasant . decore wonderful linen comfortable . wonderful place stay ! 
 Aug 21 2007 	 amazing ! ! 	 hotel brilliant - really excellent 4 star . location perfect get around san fran , view bay excellent , general atmosphere hotel relax . highly recommend hotel san fran - will stay ! 
 Aug 14 2007 	 Room View 	 ' ve never stay San Francisco hotel twice ( ' ve stay dozen different hotel point ) , plan return Vitale . hotel San Francisco boast luxury , vitale good price amenity ratio . 's modern free WiFi actually work ; location excellent , view stunning . large enough corner room delightful view Ferry Building Bay Bridge . thing worth mention consider stay : many room , even expensive one ( waterfront room $ 400 / night ) bathtub . room service breakfast leave lot desire , fresh bathroom product ( sugar lemon ) leave feel like have work long child 's lemonade stand . staff nice , although not always get thing count right ( check 's glitch ) . also unless interested pick scene , downstair bar . say , mini bar excellent sofa view room , well private terrace guest , plenty place quite beverage view . 
 Aug 13 2007 	 discrimination 	 mistreatment prolific professor Ngugi wa Thiong ' Hotel Vitale San Francisco , California . incident occur November 10 , 2006 . hotel worker question still work Vitale , continue racist behavior towards black guest support hotel manager . by Ngugi wa Thiong ' check Hotel Vitale Thursday , 9th November room 640 . follow morning , Friday 10th , go brunch walk water front come back hotel , around 1 pm , lunch time , take newspaper , San Francisco Chronicle , Concierge 's desk go nice porch Americano , hotel 's restraunt , sit read also enjoy nice view ferry waterfrontfrom window . alone porch . white man , 5 ' 4 & quot ; , dress gray suit stand front I . & quot ; place guest hotel . leave , & quot ; say . at first intrigue word : arrive conclusion aguest hotel ? ask : & quot ; know guest hotel ? & quot ; & quot ; leave . guest hotel . & quot ; & quot ; know guest ? & quot ; ask again . & quot ; leave . & quot ; & quot ; even ask stay hotel & quot ; ' okay . stay hotel ? ' the tone demeanor man make mind could beena guest . & quot ; let us we go reception desk , & quot ; tell he . & quot ; necessary , & quot ; say . & quot ; leave . & quot ; & quot ; ? name ? & quot ; ask remember man even identify himself . & quot ; necessary , & quot ; reply curtly . & quot ; leave . & quot ; & quot ; sheer harassment . find read newspaper peacefully . not identifyyourself . not ask guest . refuse identify . afraid go Reception desk ? ? exchange , repeat thing , say : & quot ; okay , let us go . & quot ; time , fume rage , man stride towards reception desk . also getthere ask staff check whether occupant room 640 . even aghast staff say anything , man start apologize . keep ask : could ? find read newspaper concierge give , proceed emotional violence person ? lobby manager , David ( ? ) recognize Random House guest , start apologize behaviour man , assume Restaurant Manager , leave scene . explanation conduct . lobby manager go get Hotel Manager come apologize termed misunderstanding . & quot ; misunderstanding , & quot ; say . & quot ; quietly read newspaper accost I . & quot ; & quot ; okay , behaviour . David get room , & quot ; & quot ; get room . room 640 . check last night . & quot ; & quot ; oh ! sorry ! anything make ? & quot ; & quot ; need talk man , I . & quot ; & quot ; yes , shall , sure nothing make ? massage ? whiskey ? & quot ; clear even Hotel Manager understand depth emotional violence member staff . I go back room call Katherine Freeman ask change hotel . move St Francis Westin . word alone describe horror occasion , emotional violation experience time heal . 
 Aug 8 2007 	 Loved ! 	 stay Vitale per one week ' ve say love every minute . room not large 's comfortable , especially bed sheet . the thing object room , lack 2 chair 2 people sit breakfast ( order room service ) together . the room noisy , think might get & quot ; partial bay view room & quot ; .When arrive room not ready yet tell we would ready 3 o'clock . come 3.30 pm room still ready . however offer we drink bar room ready ( take half hour ) .I especially apreciated hotel internet service : 4 computer free internet access printer , dont't laptop , be still able access internet . the location great close financial center near BART / muni station . ~however plan shop be look lively area night stay near Union Square ( lot hotel ) . 
 Aug 6 2007 	 Hip Comfort heart Embarcadero 	 meet San Francisco out - of - town family member Hotel Vitale also town business . research wound choose hotel great location would please vary taste involve ... motley crew varied age , ethnicity , gender , budget interest . surprisingly everyone SATISFIED ! ! location absolutely perfect get around Embarcadero foot . several wonderful restaurant step away … ( particularly pricey , oh , worth ! one market ) . ' rain ' feel like stray far comfort hotel , on - site restaurant Americano excellent choice great food , . fact rolling bed grab decent breakfast area quite difficult would strongly recommend Americano . make sure get stop serve ( 10:30AM ) . Americano also great location lunch & amp ; dinner . anyone look intimate conversation try bring together group people know place get loud , crowded , " sceney " night get go . apparently reservation strongly recommend , quite HIP LOCALE local well . ' surprised come room give night find virtual night - club scene go . wait get tend linger lobby . nuisance guest , could . also noise ' affect stay either , worry there . the room beautiful … stun really . even concave window add uniqueness room . bed incredibly comfortable , staff turn soothe ambient music turn - down service night , leave little quote poem pillow . and reason choose Urban Studio room … DEEP SOAKING TUB ! wow ! worth experience ! absolutely look forward evening soak , make sure let last long possible . tub deep , water seem stay warm forever , get unless necessary ? caution " Privacy Factor " , really none . tub practically room . ' actually sort " around corner " separate bathroom . hope really close fellow traveler ( i.e . LOVER / SPOUSE / SIGNIFICANT – " CLOSE " ) .Did love ? yes ! even get kudos family member choice . would stay ? betcha ! ! great décor , superb comfort & amp ; pamper , amazing food , personable friendly costumer service , surprisingly budget - friendly price … one beautiful city U.S … could ask anything ? ? ! ! 
 Aug 1 2007 	 Nice not know 5 star 	 stay hotel vitale July 28th one night . nice property please confuse Ritz Four Seasons . service good great . room well appoint , stay room overlook bay bridge , beautiful definitely noisy 6th floor ! give noise machine block , price point really need noise machine ? face Embarcadero motorcycle drive night ... yes even 3 am ! decor earthy trendy ... minimilistic . beware parking charge $ 42.00 ! occupancy tax top taxis ! push cost well $ 400 night ! think price would rather stay Ritz Four Seasons . location hotel good close lot long like walk bit . overall nice , good experience , great . 
 Jul 28 2007 	 Ab Fab 	 place . trendy hip , even forty something teenager tow . confusion room , hotel fault , offer free drink , two free breakfast compensation . great location , Embarcadero . 30 min walk Fisherman 's Wharf , can not catch streetcar . recommend Boulevard restaurant across road , cheap 
 Jul 10 2007 	 Great Hotel careful location room 	 recently stay Hotel Vitale July 4th . fabulous hotel , new , hip , chic .... similar feel & quot ; W Hotel , & quot ; nicer . look mid price hotel look bay near Ferry Building , look far . negative would warn traveler noise potential base location room . front desk push call & quot ; Bay View & quot ; room , not tell directly outdoor restaurant bar . night turn extremely busy outdoor bar , noise almost unbearable . even & quot ; noise machine & quot ; locate bed could not drown noise . upon checkout front desk say partial & quot ; bay view & quot ; room city view room quiet . choose opt full bay view , would recommend stay floor 5 high . 
 Jul 2 2007 	 hip well Located Friendly 	 Stayed Hotel Vitale June Father 's day . wife , two kid ( age 12 14 ) not really hip enough hotel , go anyway . not disapointe . take one family suite ( one floor two queen bed ) . although place mostly late night see see crowd everyone hotel treat we like favorite guest . special thank go desk clerk give we big & quot ; be happy see & quot ; greeting every time walk lobby . bathtub big comfortable ( one pet issue hotel ) amenity provide expect . room quiet comfortable . cd 's room different kind music nice touch . 
 Jun 12 2007 	 believe review ! 	 Hotel Vitale really cut . room beautifully furnish , spectacular view Bay Bridge Ferry Building . staff friendly accommodate . often might expect staff high - end & quot ; chic & quot ; hotel snooty elitist- staff could helpful pleasant . bathroom real treat- waterfall shower , glass wall shower , clean attractive . however , little privacy had- bathroom industrial - style slide door ( pocket door ) 2 & quot ; gap either side wall door . anyone pass bathroom able see shower ! Skip Americano restaurant unless be visit drink popular after - work social hour . menu pricey , food good restaurant live cost . upholstery surprisingly bad shape wait staff so - so . would highly recommend hotel San Francisco visitor . aware 20 - 30 minute walk touristy Union Square Pier 39 / Fisherman 's Wharf area . location , however , adjacent financial district recently renovate Ferry Building many celebrated restaurant . 
