Great 	 recently stay daughter . really nice hotel downtown location . Close Soho , China Town Greenwich Village . subway 5 min walk Uptown Manhattan . staff friendly helpful . would recommend hotel . within 20 min walk financial district , World Trade Centre Staten Island Ferry . great Value money , good restaurant . room clean although big , everything could want . want drink central tea / coffee make service floor . 
 may 26 2008 	 not meet expectation 	 stay Tribeca Grand business trip . room nice , problem detail . first , window could open close except help & quot ; engineer & quot ; hotel . book smoking room ( request could not change room full ) window open check follow day housekeeping open well ( even though not smoke room ) . get 12:30 night , call hotel & quot ; engineer & quot ; come close . one people travel want window open , call someone open . pain ! would nice could open close window . additionally , three people party trouble figure use tv room ( two control use ) . finally , give questionnaire fill check preferece ( type pillow , snack , etc . ) get excited assume special treatment , find get none preference first stay ; keep information file ever stay . would helpful communicate front set expectation , people travel party expect preference ( foam pillow , chocolate , etc . ) ! positive side , bed comfy . next time go NYC probably stay somewhere & quot ; action & quot ; go -- good restaurant , shopping , etc . , not seem much around hotel . 
 May 20 2008 	 Loved Tribeca Grand ! 	 book hotel Priceline bit worried read mixed review . worry hotel fabo - room average size , clean whistle . bed comfy view window street Soho quaint . not bother noise bar . drink bar - prepare - $ 12 pop least . great location - away hubbub Times Square - easy walk distance Bleecker Street pub , Little Italy restaurant Canal Street shopping . want go back ! 
 May 12 2008 	 tribeca Grand -- Pros 	 stay Tribeca Grand extended work stay . pro hotel : ( 1 ) excellent location , cool area NYC , near public transportion , great restaurant ; ( 2 ) nice staff -- helpful , offputtingly hip . con : ( 1 ) downstair become nightclub scene night week , even 8th floor room , could hear noise ; ( 2 ) decor get little worn around edge . overall , above - average hotel , although would say boutique hotel ' ve stay NYC ( Hotel Rivington , Bryant Park Hotel ) bit well term style . 
 Apr 20 2008 	 brilliant location helpful friendly staff 	 speak reservation hotel advise become & quot ; Grand guest & quot ; would get discount booking online . concern noise bar read review request high floor room . give early check really pleased see 6th floor room ( 8 floor ) . floor coffee machine , also provide hot chocolate hot water - brilliant tea - make hard day shop ! 's also ice machine . room quite spacious ( upgrade ) good view Avenue Americas . noisy night Thursday DJ play bar party . door shut could not hear anything . white noise machine sound like teh air - con not need . thing noise may issue low floor . the hotel ideally situate want shop downtown SoHo area , also 5 minute walk away Canal Street load different subway line part city . get cab easy hotel intersection 2 main road . hotel staff incredibly friendly helpful . ask concierge recommend bar , restaurant , diner really good . ask shopping map shop SoHo , NoHo area well uptown . this great hotel stay want able access part city easily want feel local neighbourhood . great shop bar easy walk distance friendly helpful hotel . 
 Apr 11 2008 	 Horrible 	 stay Tribeca Grand 3/29/08 5th Anniversary . beyond atrocious . put we second floor , fail advise us atrium ( room overlook atrium ) turn nightclub wee hour morning . Suffice say , reason not want sleep nightclub come true . even worse , agree charge room , hotel charge credit card anyway ! ! avoid hotel cost . 
 Apr 8 2008 	 Great Fantastic 	 great hotel - not get wrong - money pay well value around . say staff friendly helpful make we feel welcome minute arrive . usually stay upper west midtown decide stay around tribeca time . location ok want close Soho middle breeze get airport train stop right hotel . Canal Street nearby lot shop number bar restaurant expect . probably explain hotel bar busy ( untila round 2 am weekend ) bit dull try get sleep . level 5 could still hear noise even white noise machine turn right . room adequate not think clean evry well thrid day everything dusty . great toiletry ( Malin & amp ; Goetz ) coffee machine also real bonus . forget gym however . 
 Apr 6 2008 	 great stay Tribeca Grand . 	 stay Tribeca Grand 5 night , 28 march - 2 april . I book corner king put room 326 , large floor - to - seal window facing officebuilde . since book hotel dream lovely view street Tribeca ( officebuilding ) gather diva go reception ask another room . first get fully - book line girl , furtunately manager overhear conversation , find room 305 we . lovely room , everything wish . lot space , large closet allt fantastic shopping , nice bathroom tub fantastic shower ( waterpressure outstanding ) . room clean . mean C - L - e - a - n . everyday , room spotless stock amenity . the decor room kind 70´s feel . brown wall orange lamp , hessian tapestry brown linen drape give room nice varm atmosphere . around corner room , mashine could get coffee , tea , cappucino hot chokolate free . if try thing call jet - lag , wake 2 think 8 ready usual coffee , understand god - send maschine . , great hotel . great location . great experience . P.S . : try Eggs Benedict ..... 
 Mar 27 2008 	 like hotel lot ! 	 anyone read review know hard please come hotel , hotel excellent . really like place . 's expensive , decor nice , room not closet artsy fartsy hotel New York service hiccup first check completely excellent . the hotel good lobby , pay internet access ( hotel expensive ) , tv kinda cheapo would expect hotel price range . bed bed great location prime be town business . be travel family vacation , ' m sure right choice will travel would otherwise . price drink restaurant low norm catch guard . noise since busy location , 4th floor not hear anything mild background noise occasion . 
 Mar 22 2008 	 great hotel offer pet fish ipod stay 	 NYC business everything book stay hotel . small nice gym . room & quot ; white noise & quot ; pump can not hear street noise . coffee bar floor . good breakfast hotel resturant . 
 Mar 13 2008 	 Loved Tribeca Grand great location friendly staff worth every penny ! 	 second trip ny decide stay SoHo rather midtown see lot sight want enjoy funky side city . Grand instantly recognisable due corner location , big clock strange triangular shape ! decor ultra modern vibe quite & quot ; hip & quot ; youthful exhuberant staff . bar restaurant great - little pricey NY pricier area SoHo expect - attentive staff , table service bar area . food la carte sort style american proportion - another word plenty ! room stylish mod con coffee machine situate floor free fill up - always helpful late night early start ! although room little cosy side , pretty normal ny sufficient get ready , sleep nosey ! love stay find staff really helpful ; direction give various night haunt BA lose luggage compensate lovely bubbly amazingly helpful receptionist ! load area , Canal St literally round block - thing ! - shop Soho well uptown , unless want big store like Macys , bloomingdale pretty much everything else could want . great restaurant area would also recommend Eggs Benedict hotel breakfast would recommend eat one night stay really good . fun tribeca Grand ! oh go TAO dinner , uptown , need taxi hefty wallet god food die ! need reservation - book 3 week advance lucky get table not wait get ! ! 
 Mar 3 2008 	 never 	 boyfriend book hotel last August last 4 day 2 week stay New York . for first 10 day stay Ave Hotel . great .Great location , service great staff .But decide treat self remain day expensive hotel low part Manhattan . we see rate Grand Hotel high previous hotel , take . get , staff indifferent , room pretentious 60 theme make gloomy . call remind bring bathrobe refill small bottle shampoo would forget systematically stay there . the lounge area entrance extra pretentious meeting place assume & quot ; aspire actor & quot ; people showbiz . since everybody come hotel meet people overdress , , tourist , & quot ; tourist outfits & quot ; feel permanently eye underdressed passing by . Useless say first night , want move back first hotel , fully book . 
 Jan 30 2008 	 Place stay NewYork 	 advice 1800hotels.ie book hotel never hear , well impressed suggestion , mention bar great food also . find room small , partition bed behind couch coffee table side . look see traffic expect get sleep find room really well sound proof ! thank 1800hotel ! 
 Jan 27 2008 	 great downtown scene ; tiny loud room 	 get great deal expedia stay Tribeca Grand . beautiful hotel great service . fantastic bar . room tiny , hey , be NYC . not expect big room . Good Service . clean comfy . stay weekend trouble sleep , would avoid hotel . central atrium stunning look , amplifie noise bar . 
 Jan 21 2008 	 Hotel Room take back seat Lobby 	 room # 225 average good size , maintenace , ammenitie retro design , real show stopper 8 story open atrium clubby atmosphere industrial chic decor . rhythmic lounge music prevail weekend late hour partying hipster . noise - dull device room effective . friendly welcome staff . puny gym . pet friendly . excellent popular Sunday Brunch atrium . movie view room low floor . Soho shop dining 5 - 7 block north . midtown theater district 20 - 30 minute cab ride away traffic . hotel good choice away congestion north , edgey neighborhood trendy design . 
 Jan 19 2008 	 TGH FAB ! 	 stay TGH 5 night mid January . previously make similar visit hotel 5 year ago please see hotel lose none trendy ambience recent refurb ensure suite v.g . condition . nothing complain front desk , concierge housekeeping service excellent . Pound Sterling good exchange rate US dollar present help immunise we extent rather steep room rate bar tab ( ) . hotel good location subway . need pick taxi cost midtown back region 12 dollar . pootered Soho/ tribeca area trip quite bit visit Mercer Hotel much revere kitchen restaurant . impressed consider place overhype . balthazar contrast delight well worth visit . we visit NY autumn depend date workload almost certainly go back TGH . 
 Jan 9 2008 	 GREAT service need improvement 	 hotel service excellent ..... room need small improvement ...... light ( dark ) ...... cotton ball q - tip ......... fan bathroom .......... upside room wall sound machine ........ good sleeping ......... easy safe get ........... nice stay would consider go back ... : ) 
 Jan 9 2008 	 good hotel nice room great location . 	 wife enjoyable stay Tribeca Grand New Year period . we book one corner suit 6th Floor despite atrium , noise never problem . be probably small suite ever stay , believe Manhattan issue oppose Tribeca Grand one . room well appoint comfortable bed , large flatscreen great view street via huge window take place one wall . bathroom quite & quot ; industrial & quot ; steel sink , nice shower , soft towel decent product . service level hotel good . get glass champagne upon arrival nice . request goldfish Bose Docking Station booking . although room arrive , quick call get send minute . coffee machine pretty much outside room alongside complimentary copy NY Times nice touch morning . room service breakfast couple occasion find delicious hot fast service . lunch dinner hotel look pretty good . the location one major plusse we . fantastic bar restaurant short walk stumble away . feel different frantic Midtown , much fun mooch boutique shop Soho huge department store Midtown . perhaps due sale , much preferred dept store London NYC . ask concierge good recommendation bar restaurant locally . we interesting incident shortly midnight New Years Eve . follow meal music Jazz Standard ( average ) , jump cab get back hotel 00.30 intend buy bottle champagne join party bar . however , strolled try charge we $ 150 privilege sit bar drink free booze 2 am . explain hotel guest pay significant amount cash stay NYE want buy drink . turn offer $ 75 , finally let we complain Night / Bar Manager say neither we would stay business unless let we . trick , end attentive service get nice nibble send table way apology . NYE incident potential sour stay , accept rule actually mean fun ! hotel , need make hear get want . good hotel , nice room , great location . - would recommend return 
 Jan 4 2008 	 Pure NYC 	 great long weekend tribeca manage fit 101 thing day , hotel great happen lounge good invite frined back . location also really pick grand . many good restaurant shop near . concierge excellent organise must see thing table reservation we . staff whole professional curteous would expect . would recommend hotel city break . 
 Dec 27 2007 	 enjoyable stay Tribeca Grand 	 stay Tribeca Grand 3 night Christmas enjoy stay much . room modern relaxing . room large tv Bose CD player / Radio . borrow Bose sound dock ipod well . feel room definitely spacious enough small ( unlike review site ) . maybe small american standard ( 2 double bed american hotel room , bathroom small side - two sink - one ! ) fine we ! service hotel generally good . bag take care we , hotel doorman flag taxis we , staff always courteous helpful room service fairly rapid ( take around 20 minute ordering - amount time say would take order ) . room clean daily good standard . we book Tryst Tribeca package . definitely worth book one package . actually work cheap simply book 3 night hotel addition get american Breakfast every morning ( via room service ) , champagne strawberry arrival , free cocktail bar ( strong - warn ! ) late checkout last day . feel New York Hotel standard , hotel good value money - New York expensive place stay . however , not stay New York hotel can not compare hotel . breakfast way , good - keep we go late afternoon ! reviewer complain noise bar . yes bar get noisy , request get high floor room . 7th floor ( 8 floor ) could not hear thing bar even without white noise . ( white noise machines rooms mask noise ) . tribeca quite good location depend look . lot good restaurant around ( go Nobu Next Door would highly recommend ) bar , might want go nearby SoHo ( 10 min walk ) tribeca quite quiet night . SoHo also excellent shop ! nearest subway 2 minute walk away - 's 10 - 15 minute ride Fifth Avenue Times Square want go big department store see sight New York . would definitely recommend hotel people would like stay good 4 star hotel , conveniently locate SoHo . 's luxury , ' hip ' comfortable great service well ! 
 Dec 21 2007 	 Underwhelmed 	 never write hotel review , occassion . TG may cool , edgy whatever stage , . spent weekend wonder not stay 60 Thompson Soho Grand . be basically price way well . nobody reception arrive . bar book private party stick basement room . general fit - out date . restaurant service less enthusiastic ... food average . concierge helpful , doorman . basically come away hotel feel money , ' ve stay well hotel well location Manhattan . PS Nobody seem clue hotel locate . pps fishbowl pod player room suggest website ... unless contact room service . 
 Dec 15 2007 	 disgraceful service 	 bad experience rude surly waitress ruin stay ... actually become aggressive us call assistance manager , , room ok small room not bath .. not stay like good service front desk wait staff inept unpleasant .. 
 Dec 1 2007 	 consistantly good 	 fifth stay Tribeca Grand Hotel spread 4 year never fail . sure plenty hotel maybe well room / dining etc not know give pleasurable lay back classy feel . atrium design particularly good soon step room feel like part hotel nice buzz emanating ground floor . want feel like part New York scene tourist second none . 
 Nov 26 2007 	 Fabulous Place ( ' m fussy ! ) - Excellent Location Trendy NYC feel 	 stay 5 night grand king room ( ave $ 350 per night ) . turn white noise system problem noise . little traffic around area night middle day . hotel trendy ( not understand run bit other perhaps refurbe room ? ! ) . lobby , bar , restaurant area really cool great place relax . food bar 2 night serve quickly good quality . drink night point always greet well seat comfy sofas even coffee end tire day shopping . staff v. friendly welcoming door , get we taxi etc . Bathroom think average city centre hotel . floor cold cleaner though ! - great toiletry . great locatation restaurant TriBeca & amp ; Soho ( Bouley bakery breakfast , balthazar brunch , Loopa Boom lunch / dinner , Nobu feel flush ! ) across road Bubble Lounge champagne cocktail also good wine bar Vino Vino . it be good area want wander round small store trendy street soho able go night food etc . different madness Times Square last time . overall could fault stay - will def . back ! ! 
 Nov 22 2007 	 tribeca Grand Great Staff Super Trendy Bar / Lounge 	 surprised friendly staff trendy , boutique hotel . ny flair without NY attitude . tag along husband , business NY , never disappoint food , drink , service hotel . everyone doorman housekeeping staff super attentive . 20 's want stay somewhere not stiff , snooty , atmosphere many upscale hotel , disappointed . concern room need minor repair . big deal ! 's NY ! fact within walk distance favorite SoHo shop compensate minor room issue . would stay again . yes , be expensive , , New York . 
 Nov 7 2007 	 expensive - New York 	 nice trendy hotel , host & quot ; beautiful people & quot ; New York . the gym pretty poor room near lift could hear go night despite white noise machine room . staff friendly accommodate , overall pretty expensive quite worth . 
 Nov 6 2007 	 nice location worth price 	 arrive nice place charming area , reception right front , check easy , professional nice . room ok , small noisy , extra small bathroom ( excellent shampoo ) , interesting deco good condition . nothing like room pay $ 750 . breakfast room throw tray butter toast salt egg , service well main room - food good though . staff almost unpolite . make feel like spend anytime hotel . overall would fine place stay area price reduce 50 % - 20 % , would rather stay four Seasons . 
 Oct 31 2007 	 stop ! stop ! overrate ! 	 regular reader Tripadvisor even always personal view count end , Tripadvisor help select hotel . however time astonish great review hotel receive overall rating among hotel New York ( time write # 41 ) . like try different hotel visit NYC , previous occasion ' stay , instance , 60 Thompson , Gansevoort Mercer . tribeca Grand ? well , discover ! arrive valet service help us luggage . staff reception friendly describe previous visitor . perhaps bad day , getting use nonchalant attitude NYC . book American express platinum service upgrade include . tell upgrade available . anyhow book studio supposedly 333 square ft 20 - foot - wide window , believe fine . way room get general impression hotel pretty run . room major let - down ! old , run , small ( definitely 333 sq ft ! ) , stain carpet , ugly furniture , mark wall , bathroom terrible poorly patch visible damage bathtub wall . floor dirty . absolutely space clothe ! ask reception change refurbish room useless reminding booking come upgrade ( available though ) inform hotel agreement American Express duty manager tell we American Express lie ! want change room would charge extra ! tell hotel would check follow day . hotel atmosphere ; look carpeting hallway – change long time ago . elevator work properly , stop time certain floor , despite one want get get . lounge , dinner bar area dreary . service poor , really poor . order drink bar , allow sit . ask table , tell bottle service . even though empty ! midnight people ! Saturday ! even turn music . friend come cocktail . 14 person would we , place would empty ! next morning check charge double rate transportation airport . explain rate give concierge tell could rectify Monday accounting department close . wait almost half hour get sort insist speak manager thing start move . immediately change invoice apologize . go 60 Thompson stay rest week – boy ! – enjoy time splendid establishment ! ! 
 Oct 31 2007 	 totally amazing ! 	 absolutely amazing stay Tribeca Grand . chose hotel Soho Grand 's review 100 % feel definitely choose correctly . hotel ultra modern . staff open door . arrive UK absolutely shatter everything we . room brilliant . really superb modern decor . bed amazingly comfy . sound proof room , although not use noise fine . problem . automatically upgrade we arrive super touch . right heart tribeca load fab bar unlimited restaurant around . definitely will not go hungry thirsty . downside . unfortunately always something , although rectify immediately . arrive porter take we room would ask non smoking , room smell heavily smoke . porter go downstairs get we key another room straight away apologise . breakfast day include stone cold ! ! ... , apology prefusely , send back , get we another not charge . food take time get aswell not look hurry . overall definitely go back New York soon definitely stay Tribeca Grand . superb . 
 Oct 18 2007 	 Great New Year 's 	 wonderful place stay holiday season . girlfriend spend New Year 's 2007 love . encourage book room be plan spend NYE NYC . room not spacious , be Manhattan -- else expect ? Church Lounge well - than - average food 's great spot people watch . location ( tribeca ) perfect ; be prime neighborhood foodie be far every subway line . plus , cab fare major nightclub lounge will not break bank . speak $ $ $ , complaint hotel 's policy charge $ 150 extra per night top agree - upon rate . say cover damage room . therefore , upon check 4 - night stay , be walloppe extra $ 600 not get credit back account day check - out . Kinda make want break lamp . oh , irony . 
 Oct 17 2007 	 amazing boutique hotel 	 stay tribeca Grand amazing first minute last . staff polite efficient , club lobby fun hip , room plain sexy . fabulous array cheese , fruit , beverage wait room . bed comfortable nearly impossible leave . take pet , welcome , arrange dog walk and/or sit need . can not wait go back ! 
 Oct 6 2007 	 Loved Tribeca Grand - fabulous weekend shopping ! 	 $ struggle £ , girlfriend decide hit NY shop weekend blitz . leave last minute get good deal hotel - glad choose Tribeca Grand .... great location ... 2 block Soho shop .... great lobby ... spacious lively noisygreat service ... glass champagne arrival receptiongreat room ... receive upgrade even THOUGH & quot ; budget & quot ; lastminute website customer . huge comfortable kingsize bed , bose soundsystem , plasma tv etc . great food ... delicious breakfast restaurant hard day shoppingI really would struggle find fault . other observe find noisy ... find , turn & quot ; white noise & quot ; function room . would definitely return recommmend friend . 
 Sep 22 2007 	 good boutique hotel ever 	 far good boutique hotel ever stay . stay Ganservoort Hotel twice year , love hotel area weekend nothing less zoo . grand room smallish , well appoint comfortable . corner room huge bathroom . entire staff friendly warm . front desk remember name time ask would like another glass champagne . Front Desk Manager Michael model first class service . go beyond solve problem make . hotel compound problem , honest admitting , apologized solve . room service incredibly fast , continental breakfast include delicious . friend mine NYC come hotel see impressed planning weekend away . Grand new fan , wait visit . 
 Sep 22 2007 	 First Choice NYC 	 ' ve two recent stay Tribeca Grand travel work . stay lengthy ( 7 + day ) stay pleasant . personal favorite feature hotel coffee machine floor . area find ice machine , single cup coffee maker make drip coffee , mocha coffee , tea , etc . area include sugar , sweet & amp ; low creamer use . especially nice ( like ) need coffee get go morning , not want pay room service bring pot coffee . room quite comfortable . bed nice , Bose alarm clock variety CD 's room . work desk Aeron chair nice we travel business , although thank wireless internet , usually find work prop pillow bed watch lovely LCD television . window open teeny bit like fresh air , difficult open close . housekeeping spotty , usually quite good . occasion newspaper leave behind read evening throw . , minor issue usually service good . room service definitely over - price , food good ( great ) usually arrive quite quickly . staff friendly accommodating really go long way towards make little flaw seem insignificant . stay SoHo Grand past , comparison Tribeca Grand far superior . 
 Sep 17 2007 	 great hotel ... 	 hotel great . staff friendly problem . stay two night $ 400 / night expect pay much New York nice place seem go rate around downtown Manhattan ( unless want rat bug hooker ) . area safe walk ground zero around 10 minute . lot Canal street subway stop close cab everywhere get around easy . favorite part great peppermint soap ... love ! ! ! Liz 
 Sep 16 2007 	 good hotel NY 	 reading review bit worried stopping , noise especially , really lucky get room top 8th floor . I m glad noise do not affect we I m sure would do low floor . ( bar loud echo upwards ) .room great , even like view . absolutely nothing wrong hotel , friendly , stylish great place stop . will not stop anywhere else on.only thing would say bother get breakfast , worth . apart tribeca exceptional . 
 Sep 15 2007 	 Housekeeping gross 	 disappointed terrible housekeeping Tribeca Grand . first night arrive find king size bed make queen size sheet find leg foot mattress pad . go fix horrified find mattress pad stain bodily fluid . housekeeping leave time ( midnight ) several phone call security guard bring king sized sheet insist come room see talk . stay four night morning go front desk ask manager call well check manager never follow . not expect anything , want communicate matter else happen hotel dirty really hard enjoy stay . say hotel ever stay , stay lot , one bad housekeeping see , pay $ 500.+ per night ! 
 Aug 21 2007 	 Fun two Fido 	 hotel look ... upscale , location convenient village , dog - friendly . pick Tribeca Grand allow we bring dog ( size ) not charge we extra . arrive dog bed bowl room . nice . whole hotel dog - friendly though , welcome bar . our room second floor quiet enough , would recommend traveler try book high floor since hotel 's open floor plan bar restaurant center . floor five would perfect . also , come car , take note , cost we $ 65 dollar night leave car valet tell would take whopping 45 minute retrieve . 
 Aug 17 2007 	 great - bowl reviewer 	 location hotel good want heart tribeca , Soho etc . big attraction near hotel , lot shopping within minute ' walk ( e.g . West Broadway , Spring St , Prince St , Broadway ) . great mix large store small boutique . whether location good depend be visit NYC ... 1st timer would probably well somewhere town , want hip neighbourhood good wandering around people watch , one great . love restaurant area ( e.g . Balthazar Spring Street , Public Elizabeth St ) able walk back via couple bar great , easy night . subway station outside hotel , really walk anywhere - one morning walk way Central Park take hour . staff ok . check , front desk room service excellent - helpful , polite warm . doorman weak spot - 6 day think see come three time , otherwise ignore enter building . time really annoy use pedestrian crossing outside , come back long day 's shopping one doorman flag car park crossing , nearly run . hmmm . clearly man drive sport car important girl cross road flip flop .... fair , doorman look pretty sheepish see enter hotel . not matter guest - still rude . could do without attitude - low stay . room nice - amazing , LOT well death - by - chintz large hotel NYC . inside room , linen good , tv large , mini bar overprice , bathroom decent well design . problem noise bar downstairs , even weekend . free continental breakfast include , say great . basket banana bread , croissant , Danish , muffin , scone , pain au chocolat , juice tea / coffee .... filling , good way fuel walk around . room well keep clean staff follow & quot ; Busy & quot ; & quot ; Clean & quot ; door sign could sleep want . facility good - gym ok , pretty standard ( 2 bike , 2 x - trainer , 2 runner , 1 weight station ) , bar good ( nice mojito ! ) eat restaurant . restaurant decor little scrappy ( e.g . peel seat , scuffed floor ) food good service well - meaning . small business centre , go online print use rather lug laptop onto plane . unless need work , would recommend facility rather bring laptop pay high room - connection fee . enjoy stay would probably go back . hotel consider Gansevoort , Bowery Mercer , Tribeca Grand price vs value . glad not go Gansevoort , wow Meat Packing district go ( find whole & quot ; MePa & quot ; renaissance thing pretty half - assed ) . bowery look great location good tribeca 's Mercer would little pricey 6 night . anyway , be look comfortable , upscale stay somewhere neat location , . 
 Aug 16 2007 	 nice room smell smoke 	 nice room smell smokevery hip , terribly trendy room white noise knob inhibit bar noise ! room fime huge . clean well appoint good lobby . I never get goldfish ....... 
 Aug 12 2007 	 Truely grand 	 great time . nice design , friendly staff , go way accommodate request . gym way average hotel gym , wireless internet work flawlessly . big fan location- plenty stuff see , spit distance Soho Chinatown right Subway . definitely go back . 
 Aug 8 2007 	 hip hurt . . . great way ! 	 recent visit old friend NYC , decide ' do ' stay Tribeca Grand Hotel . initially , reluctance obvious vision hipster super - tight jean ultra - small dog take dump Gucci bag terrorize whole flight upon arrival pleasantly surprised . front desk greet champagne hot towel , , incidentally , use face eagerly wipe hand throw back . staff accomodate friendly . the lounge loud weekend white noise machine room take care , relief thumping beat new - age german techno group float ceiling . room spacious bed spectacular . whale could rest soundly King size . okay , maybe whale small porpoise . digress , would reccomend stay tribeca want hip modern atmosphere , friendly non - pretentious service , cool location close soho shop restaurant spacious room ( offer neat mix cd listening pleasure ) 's cheap option , get pay location atmosphere . 
 Aug 5 2007 	 good NYC stay 	 like previous reviewer , also & quot ; Grand Life Package & quot ; -- -buy one weekend night , get second free . freebie ( include two free drink bar two free breakfast room ) , good deal go . ' ve stay many upscale NYC hotel , tribeca Grand good overall experience ' ve ever . hotel coolhipfunky , completely tenable us 40 - something . room smallish , thing make entire weekend delight absolute unwavering professionalism staff . check - in check - out , wow . problem experience ( thermostat not work well ) call downstairs ( 3:00 ) respond fix within five minute ( exagerration ) . every staffmember exceedingly polite helpful , without sweet sugary ( know exactly mean ! ) . doorman , though , little hip room , unfriendly . tribeca neat neighborhood , near Soho , Little Italy Chinatown -- -refreshingly quiet compare Midtown Madness . hotel northern edge Tribeca , not know 's situate relation rest neighborhood . regret not stroll around tribeca -- -we always head uptown something , cab subway convenient . we would absolutely stay , can not wait . highly recommend , . 
 Aug 1 2007 	 Perfect summer weekend ` ` budget '' 	 stay Tribeca Grand Hotel weekend use & quot ; grandlife & quot ; package . ' m wealthy mean , thing get package spend weekend live rich spend $ 550 . ( basic ) hotel room $ 400 dollar per night , postcard recieve mail get free night book weekend stay . amazing four star hotel ! room well anything every stay . perfectly decorate , quiet comfortable . even goldfish ! staff hotel extremely helpfull friendly . package recieve glass champagne arrive . also get early check 12:00 wich great . subway right next hotel take central park free summer concert ( Neko Case , amazing ! ) highly recommend summer . also bicycle use free tour city . ask early go quick ! tour around tribeca surround area . perfect . tired foot ! package also get free screening movie amazing movie theater . go lounge two free drink . also package get free breakfast room every morning , 2:00 check time sunday could sleep . free thing recieve like music compilation ( amazing ) bath body kit . not forget & quot ; grand guest & quot ; . find website . join free pick special extra thing like bottled water cookie deliver room ! around perfect weekend not one bad thing say hotel . not place stay , ( free ) entertainment weekend . highly recommend everyone . 
 Jul 24 2007 	 good hotel Good Location snotty staff 	 tribeca Grand , time , hard find due small signage . tribeca great place kick around - Knitting Factory music , Soho shopping , 's far walk St. Marks place , time could still walk poignant revelatory visit pit ground zero . hotel clean bed comfortable . be stylish many , stand - out . one stay hotel often , difficulty check - in degree belittle staff unfamiliarity hotel check - in process . mix place eat - earthy casual , hi - brow hype still other typical city joint food acceptable little else . during check - in give opportunity stay sister hotel Soho grand , take . enough say . 
 Jul 20 2007 	 great room location 	 book hotel 2 reason . location good review . room clean ' ever see . we 405 , 's corner room quiet room . they music lobby downstairs not bother all . the hotel bike , almost nobody use . try Sunday great time . go untill Central Park . pretty far , go back . worth it . you ask concierge , really worth it . the location well think . nice restaurant neighbourhood . try Flor de Sol Hudson street . we well rate weekend , Monday rate $ 110 high . negative thing . rate weekday high . anyway defenitely go back find offer find nice breakfast room include . very nice staff . 
 Jul 16 2007 	 tribeca Grand Impeccable 	 start check , Tribeca Grand really shine come customer service . help we check early particularly rough flight , help we stay late flight delay , provide excellent recommendation accomodation . 
 Jul 9 2007 	 Fantastic ! ! 	 stay tribeca absolutely fantastic ! ! friend , mom dad walk we spend day New York - greet arrival glass pink champagne ( give mom dad one ) , tell upgrade deluxe room extra cost ... gorgeous room mod con would expect . gripe shower position towards wall , make shower difficult ! knock door 8 pm porter bring we complimentary bottle champagne ... great . staff friendly extremely helpful , suggest booked restaurant we , also suggest nightclub , even ring ahead inform manager would arrive ( Mr Black , fantastic club ) , helpful pretty strict door policy ... ! , would strongly recommend stay tribeca definitely stay next time New York ! 
 Jun 26 2007 	 tribeca Grand- excellent service fantastic atmosphere ! 	 staff provide impeccable service without hint pretentiousness usually come level service . room comfortable pretty good size Manhattan hotel . linen bed ' Four Season ' quality neither price ( service ! ) . room load fun little detail like Malin+Goetz toiletry stereo system complete collection cd ' use . décor wonderful lounge area great . ' usually spend much time hotel dinner tribeca Grand one night glad . food fabulous cocktail great . even mini - theater next workout room . first visit Manhattan probably want stay near Times Square overlook Central Park . first time , highly recommend Tribeca Grand . 
 Jun 20 2007 	 tribeca Grand Great Hotel experience 	 great overall hotel , extra perk make stay memorable . clearly customer satisfaction top list . request immediately handle . room impecably put together ... bed comfy , real goldfish fish bowl give non - hotel feel , daily coffee bread delectable . definitely consider hotel another NYC stay . 
 Jun 20 2007 	 unique place stay Big Apple 	 cool hotel ! decor layout fabulous . modern tech ambiance . stay weekend attend wedding impressed . room offer modern convenience business traveler staff go way make family feel welcome . Sunday brunch miss . variety dish extraordinary delicious . would reccommend hotel anyone look forward another visit . suggestion need sign place little well . sign face antique clock front easily miss . 
 may 31 2007 	 great place stay 	 come back 5 day stay tribeca find great place . deliberately hunt somewhere alternative chintz fill suite abundence NY find shoebox hip hotel . grand king room tribeca neither . room nice size well present clean . thing not impressed breakfast . otherwise , bar area good place hang check tribeca Tavern across street pub style location . location perfect explore Soho , Little Italy etc foot subway literally outside hotel midtown minute . 
 May 29 2007 	 Grand Life indeed . 	 sister Soho Grand Downtown Manhattan wonderful boutique hotel planning trip NYC . facility itselfcater arty crowd epicenter premier Tribeca Film Festival . not fool however , property also family - friendly e.g. , complimentary goldfish upon request stay , access park / playground great neighborhood hyper attentive staff need guest make hotel prefer destination . btw , please note hotel also excellently situate tour low Manhattan foot ; number subway station nearby . thing really stand cleanliness quiet outdoor noise ! ! ! must check hotel restaurant excellent Sunday brunch . visit theirwebsite next time city , book stay make NYC home away home . 
 may 24 2007 	 Great Grand 	 usual stay Tribeca Grand exceptional . gracious impecably adorn hotel feel intimate gathering friend . highly recommend business stay romantic interlude . 
