good 	 ' ve stay Ridgemount nearly 20 year -- travel alone , take group student SUNY Geneseo , play friend . Mrs Mr Rhees , owner , son long - time employee make hotel home - away every sense word . true , room well other , clean clean daily , warm winter , friendly small room . be free tea / coffee machine lounge . breakfast wildly generous wait - staff kind tourist not quite know difference B & amp ; b restaurant . leave purse , laptop , first - bear room doubt everything return . the location priceless . several major bus line , 2 short block two Tube stop , long block British Museum , big Waterstone 's world right across street ! Bliss ! ( eat Wagamamma leave almost New Oxford St. ) small fee laundry -- priceless service day carry - on baggage ! Drop morning , pick night = budget traveler 's delight . five time ' ve take group student January study - abroad class 's Ridgemount make possible . small group ( 10 - 12 ) SUNY staff one faculty member admin person , be much work without net faculty member . ridgemount net . know kid get 24/7 good advice London travel help main desk , know safe time around hotel , Rhees family pitch help sort situation . Mrs Rhees bring tea juice room sick student class Canterbury son drive we hospital another occasion . wonderful family genuinely want help way possible . ( provide shoulder cry tired / exhaust / piss - off professor . ) people write bad review may know hard find clean , safe , affordable room middle London . the two good room # 20 ( small double one flight garden side ) # 2 , tiny single first landing . ( # 2 bath microscopic , entire west wall room giant window opening back garden summer 's like sleep terrace -- fabulous . ) street side noisy summer ( duh ? ) winter window close , 's problem . many room without bath , nice option break . share facility extremely clean . bed great real cotton sheet generous blanket -- need , heat generous ' ve every experienced 2 + decade constant visit London . stay long couple week , go London House ( Goodenough College / Club Mecklenburgh Square ) option expensive not academic / member . I really can not say enough good ridgemount . stay ! 
 wonderful stay clean great service ( small room ) 	 stay Ridgemount four day , room private bathroom , happy . pick base favorable review Tripadvisor . excellent thing hotel : - CLEAN -- one speck dirt anywhere room bathroom . housekeeper clean room every day standard.- Breakfast -- serve downstairs 7 - 9 . unlimited juice , hot drink , cereal , toast , jam , plus hot meal , usually subset thing : tomato , egg , cheese , ham , sausage . be vegetarian , will modify dish you.- Friendly -- owner staff meet exceptionally friendly , eager help , seem really enjoy jobs- Free luggage storage -- useful last day- free internet -- wifi reach room 3rd floor- free hot drink day- cold soda 50 pence- amazing location -- 5 minute British Museum , less 5 minute Tube Goodge St. 15 minute walk St. Pancras , train Paris . thing know come : - room small- noise Gower Street- elevator , carry luggage stairsother information : - hotel provide bar soap , shampoo- & quot ; disturb & quot ; sign -- maid knock door see could come clean room ... though will admit sleep bit lateall , want clean , conveniently locate , comfortable ( albeit small ) room , reasonable price ( London standard ) , ridgemount place go . 
 Apr 8 2009 	 PERFECT 	 stay many Gower Streets hotel / b & amp ; b 's one enjoy . price & amp ; location superb . room clean comfortable . staff really friendly helpful . always ready help guest direction idea go . ' Londoner exile ' return 6 time year certainly hope return Ridgemount . 
 Apr 8 2009 	 Excellent staff terrific location 	 spend 11 night Ridgemount enjoy stay much . owner staff helpful ask day plan make many terrific suggestion facilitate plan . stay small single room face garden quiet . ensuite bathroom rather use one hall one set stair . always immaculate often wonder anyone else use shower always clean dry . breakfast delicious plenty . tv work not really care not watch tv anyway . bed bite hard personal taste also big deal . location great . within walking distance several tube station , grocery pharmacy store , restaurant British Museum . wonderful time would hesitate recommend other . 
 Apr 2 2009 	 Excellent hotel class 	 stay one week Ridgemount March delight hotel . great value money . owner make wise decision keep price room affordable , standard central London . ( client expect everything price ... ! ) get money competent experienced staff , congenial owner go great length accomodate reasonable need request guest , clean room bathroom , copious breakfast -- perfect start day sightseeing ! -- course good location heart Bloomsbury , within walk distance West end theatre close Underground bus line . keep price affordable , owner choose update decor fabric , telephone room . ( call hotel room prohibitively expensive , case ! ) minor sacrifice make . wife , daughter , could possibly happy hotel price range , hotel ( owner ) crucial part enjoyable stay London . would recommend hotel anyone hope stay . 
 Apr 1 2009 	 familiar comfortable good service ... 	 spend five day four night must say really enjoy stay hotel . fact , hotel breakfast rest host always ready help we transport , place shopping lunch , interesting curious place visit : anything ! baby 18 month offer help vary begin : kettle heat baby 's bottle , cod , ... th hotel near St. Pancras Station underground station near ! supermarket two street away near theatre . Oxford street also three minute walk British Museum close nearly touch mummy ! recommend hotel ... feel home ! 
 Mar 31 2009 	 great value Bloomsbury 	 ( 2 adults+1 child ) return 4 night stay Ridgemount 26th 30th . stay triple room ( nr301 ) top floor face street pay £ 93 per night , good price expensive London . the room surprisingly big 2 small bed one large bed . bed quite hard comfy bad . bathroom spacious thought would clean pleased . do not get shampoo shower gel bring . room nicely clean bit worn floor uneven charming way . tv reception great 4 - 5 channel London watch tv ? big problem room street noise disturb light sleeper first night be not big issue we . reserve room face backyard . the breakfast ok lot bacon mean lot bacon egg , bean sometimes sausage . get toast , orangejuice , tea cereal well . good day sightseeing 4 day get little bored bacon want something else . service good , everyone friendly helpful eager show way sight . location hotel excellent many say , close theatre subway line . I stay one Ridgemounts neighbour last year , Arosfa hotel similiar . stay one bed room hard compare room choose would probably go Arosfa difference little reco Ridgemount well . 
 Mar 29 2009 	 tidy spartan . well £ 70 .... 	 's small hotel see well day clean , well run staff actually care . £ 70 elsewhere UK would expensive sort central London 's bargin 
 Mar 28 2009 	 excellent value good location 	 Service friendly helpful . the room small , clean good condition . room face courtyard , problem traffic noise . breakfast provide excellent - great start day , friendly service . just 2 min walk Goodge Street tube station , quite bit Russell Square . Euston / St Pancras station 20 min level walk . good bus service past front door . highly recommend . 
 Mar 20 2009 	 wonderful service 	 forget confirm reservation show doorstep expect room . owner make room we first night find we room 2 door second night . nice location . complaint bathroom small , true every B & amp ; B stay Great Britain . 
 Mar 19 2009 	 Pleasant Surprise locate North City 	 wife stay trip week , pleasantly surprised hotel . truth tell , look place crash night seem good location ensuite . get -- hotel conveniently locate Goodge Street Euston Station underground , near University , be plenty eat drink be willing walk block two . our experience fantastic . hotel gem , well keep , well worth price . 's Hilton , mean , room clean , bed comfortable , shower hot , breakfast generous . staff incredibly friendly , make certain comfortable stay . one bit advice give -- direction mention , bare emphasis . come Gatwick , transfer Northern Line get Goodge Street . hotel maybe half block Goodge Street Station , likely Tube home station , especially be go City . direction Warren Street unclear , map provide would helpful street adequately sign Warren Street station . Goodge Street seem much less confusing , much close . also great launch point day trip Paris Eurostar -- St. Pancras one stop away Euston Station , short 5 minute walk north Hotel . 
 Mar 9 2009 	 really suitable family two child 	 stay Ridgemount Hotel January family find ok tight budget . find Hotel old facility . situate room directly next breakfast room kitchen provide . find morning room become noisy ( start aroung 6.15 ! ) due thin wall door . not really suitable family two small child . breakfast ok . even price mind look little bit extra . benefit hindsight think might well pay little bit extra quality hotel . 
 Mar 5 2009 	 gasve room away 	 good location bad experience . June 08 reserved room # 17 big room , locate rear 1st floor . December email say make mistake give room away put top floor face street current rate quad 96 # ( less 104 # book ) . ask could make well situation respond could book quad would check neighbor see room available . check Mr. Reyes say would bill less quote , check Mrs. Reyes say , bill . specifically ask , clear , give room away , Mr. Reyes say charge less quote , tell not go anything . reply & quot ; yes & quot ; . unfortunate opportunity make well decide anything . top Mr. Reyes insist room later 11 am . back . extremely poor water pressure top floor serve bean w/ english breakfast anywhere else ' ve see . 
 Feb 26 2009 	 star rating 5 enough . want give star Ridgemount Hotel ! 	 Ridgemount Hotel give outstanding value money ! location really convenient , street hotel locate dodgy street , feel safe go back hotel evening . room single room washbasin , share shower room another guest . room absolutely clean . build new , however keep clean , happy . provide face towel ( small big ) change every day . room ground floor , face street , loud evening . enjoy use internet room laptop , wireless internet connection . strength signal may vary depend , signal , go common room use internet . also computer common room . tv , hair dryer , small wordrobe room . telephone well , sure really use . breakfast room downstar . serve full breakfast , staff quick helpful . staff always helpful really friendly . definitely stay Ridgemount Hotel ever visit London future . really want give 5 star , TripAdvisor rating ... definitely recommend Ridgemount Hotel anybody would like enjoy location great value money . 
 Feb 22 2009 	 highly reccomende - great location great staff great value ! 	 could happy Ridgemont . great breakfast get we go morning ( Tina great server take excellent care we ) advice get around love Ridgemont . hotel old hotel , look posh , high level concierge service , modern amenity , move road ..... pay ! seriously , Ridgemont give we exactly want - safe , clean , great location , modestly price . far exceed expecation recieve . 
 Feb 21 2009 	 good class 	 keep expectation low -- room tiny , wall thin -- quite happy . tiny single shared shower . room bath clean . service helpful friendly . free tea / coffee internet nice touch . breakfast huge make - to - order serve smile . luxury hotel great price location . 
 Feb 16 2009 	 another positive review Ridgemount 	 recently spend one night Ridgemount Hotel experience surely positive one . the Ridgemount locate quite convenient area close British Museum also close least 3 subway stop ( one Piccadilly line , useful transfer to / from Heathrow Airport ) . neighborhood also well serve several supermarket . all people work hotel extremely friendly kind , give advice answer question . reserve single room share bathroom : room small functional , clean comfortably warm . closet , small table chair , single bed sink . also tv plenty lamp ( especially appreciate lamp could use read bed ) . l typical old English house , ' easy hear noise come staircase room , stay , guest quite considerate loud voice tv . shared bathroom always clean never wait use one . the price room include english breakfast well ( egg , bacon , tomato , cereal , plus coffee juice ) , ok good start day . the hotel common room free internet access free coffee / tea facility . I ' quite satisfied stay Ridgemount would certainly stay . 
 Feb 9 2009 	 Perfect hospitality 	 location good.the build new well cleaned.the breakfast good honest though .... , staff amazingly nice ! ! lot information London , always try help much possible.thank hospitality , I m sure everybody enjoy one 's stay here.thank much . 
 Feb 2 2009 	 expect 	 boyfriend stay two night early December 2008 . tight budget , hotel seem likea bargain central London . go back London February , find myselfresearche 4- 5 - star accomodation , everyhotel research , find think Ridgemount , nice actually be . I mean , beware , build old creaky , keep clean , carpet blanketsare old , 's dust corner . I ' m terribly , terribly picky , somehow feel verycomfortable here . I think much thank people work thishotel , bring warmth good atmosphere they . we not interact much staff , little contactwe , utterly charming warm - genuineniceness everybody meet ! not mind stair ( elevator ) , room facingthe street , not bother street sound , andall guest hotel must really quiet politepeople - never hear anybody else . even tv . and hotel full occupancy . we room share facility . expect shower tobe small . one day run hot water , downthe hall , another set shower toiletsworke even well ! will not wait , not mind exploringthe hall ! toilet shower keep clean . so not want spend money hotel inLondon , would perfect place . you will get value money , long not expectit Four Seasons . it basic , clean , wear tear obviously show , let expect , will enjoy stay ! – not try breakfast , not doubt bemore ok . – 's free coffe+tea , drink , free library + free internetin lobby . – oh , entrance two locked door . felt quite safe ! – four tube station nearby , 10 minuteswalk . 
 Feb 1 2009 	 dissatisfy 	 family stay Ridgemount hotel January 2009 week . although price quite reasonable London hotel quality suffer enormously . stay top floor hotel issue would like report . 1 . promise en - suite room . however , room shower toilet promise family share guest . 2 . share shower top floor clearly faulty either freeze cold boiling hot clearly unsafe . tell go downstair use shower . 3 . noise levels room street outside high . 4 . right top hotel cause struggle family stair lift.5 . breakfast morning full english breakfast . always miss something . full english breakfast without tomato ? 6 . ask many time morning wake call never done.7 . bed room old hard . 8 . important thing concern many problem report owner seem unwilling move we another room help sort issue . rude clearly offer sort discount seem take comfort fact already take money . future take custom elsewhere . 
 Jan 30 2009 	 Splendid stay Ridgemount 	 spend 13 wonderful night ( 20dec08 - 02Jan09 ) ridgemount , run extremely friendly care Rees family staff . room cosy , clean towel change daily . toilet spotless . pc internet service living room indeed useful . breakfast good staff helpful . centrally locate easy accessibility tube station bus stop . plenty good food nearby Goodge street . definitely back Dec09 ! ! ! Nadia & amp ; family - Malaysia 
 Jan 22 2009 	 one Gems Gower Street Bloomsbury 	 Gower Street line B & amp ; b hotel . ' ve stay least six . pretty good good value . , ridgemount clearly one gem lot , clearly one top two [ along Arosfa . ] resident - owner , entire staff , go way . friendly . can not go without say : know be go ? knowledge transit system amazing . Ritz . , triple room , good space three us six suitcase . sink , closet , color tv . beautiful marble [ non - working ] fireplace . toilet shower , hall , impeccable . full english breakfast excellent . free Internet access . , prime location three block british museum , great rate . triple well BPS100 ! give breathtake rate London hotel , can not imagine stay b & amp ; B Hotel . one London 's good . one word caution : try get room backside , overlook garden , away noisy Gower Street . 
 Jan 15 2009 	 great LITTLE hotel 	 stay London two night business trip York . travel solo place perfect . room small , price perfect . staff friendly helpful . living room pc wireless internet available . although probably will not able get room , go downstair order get signal . top floor , many flight steep stair elevator prepare . breakfast basement serve owner , good . highly recommend place use sleep not plan spend much time room . 
 Jan 11 2009 	 excellent experience . 	 would hesitate recommend hotel . quality service & quot ; & quot ; staff beyond expectation . breakfast lovely , minor variation day . clean throughout building . look forward time return London stay comfortable hotel . 
 Jan 3 2009 	 Royal Ridgemont experience 	 advertising man write many advertisement large chain hotel . every hotel claim personal service , often substitute towel , hair dryer , iron board ice bucket , service remain cool detach . doubt could match warm personal treatment wife experience week 's stay Ridgemont . nowhere evident breakfast , never wait , even full dining room . seem someone always anticipate every need respond quickly , courteously warmly . every morning food always varied , tasty , plentiful well - prepare . staff helpful make we feel home strange city , give we tip transportation , local sight , restaurant , museum , etc . room comfortable , clean convenient . hotel locate within short walk restaurant , shop store . overall , could not find accommodation like Ridgemount , look forward next visit . 
 Jan 2 2009 	 hotel gem ! 	 first trip London two 20ish daughter . not sure expect left feeling could not possibly do well accomodation . clean , friendly super convenient . owner nice helpful . felt welcome at - home throughout 8 night stay . rees family care strongly hotel show treat guest . hotel absolute gem family own operate establishment . would not think stay anywhere else . wish world fill people like . 
 Dec 22 2008 	 London welcome 	 friendly , comfortable , helpful walk distance key London point interest . ( British Museum around corner ) . bathroom small well design , room small comfortable bed . leave early breakfast setup we . leave camera behind host , res fine post back ( Australia ! ) . room ( breakfast ) cost reasonable . 
 Dec 18 2008 	 good quality well price 	 meet kind crew , hotel excellent position , good family couple . clean well furnish bedroom , shame elevator ! ! ! love inside outside english style ! ! ! compliment ! ! ! 
 Dec 9 2008 	 another good value Gower St . 	 since Gower St hotel use spring raise price , stay Ridgemount instead . location , course , excellent - take bus St. Pancras practically hotel 's doorstep , walk Russell Sq . take tube Heathrow . number place within walking distance , bus tube handy everywhere else . my room face rear , quiet , view garden , street , top BT Tower . however , top house ( 59 step ) , heat could real problem hot weather . much appreciated & quot ; proper & quot ; tile bathroom , single room ' ve stay lately London prefab plastic cube . sink reasonable size shower excellent . bed comfortable , glad see duvet , can not regulate temperature one . I also appreciate free internet access , although not try free tea / coffee machine . would rate full english breakfast good rather excellent . one egg , not eat baked bean , sausage second day good . 
 Dec 6 2008 	 nice family - run hotel : ) 	 lovely family - run hotel - stay three night Thanksgiving break . arrive , give room recently paint , paint smell still strong . request another room , although hotel basically full , owner manage give we different room , much appreciated . double room small yet clean well maintain . contact , en - suite room already take , share bath facility , turn fine ( clean , available enough without wait ) . tiny amount street noise right bus route , yet location convenient bus / tube access unbeatable . english breakfast wonderful : ) owner family kind helpful . staff warm friendly . definitely go back . 
 Dec 6 2008 	 please stay 	 stay ridgemount 4 night would gladly ! price location can not beat Rees family incredibly nice . room small street noise , double pan window help . lounge free coffee internet . breakfast fantastic . hotel keep impeccably clean . Bristish Museum within walk distance Goodge St. station ( find close ) two block away . say enough Rees family hospitality , except thank ! ! ! 
 Dec 4 2008 	 great place long stay London 	 return 9 day ridgemount . family stay many time . great place family 4 ( young adult child ) . location excellent Tube , bus outside door . owner family extremely knowledgeable London surrounding helpful question , direction , etc . price great budget stay , especially multiple room . bed could comfortable , room clean . & quot ; hotel & quot ; house , expect hear neighbor bit . breakfast typical english - style serve friendly staff . 
 Dec 3 2008 	 Loved Hotel 	 pick hotel location review . disappointment ! location perfect , right street British Museum near Euston tube stop . take tube Heathrow hike mere two block . the room small bed narrow , place spotlessly clean . ree family go way helpful bus information , etc . hotel could use another computer friendly guest living room , guest considerate limit time wait short . breakfast complete , could skip lunch small snack . waitress breakfast room friendly food could not well . day feel like live neighborhood single female traveler feel comfortable walk around night . grocery store shopping close . want friendly , homelike place , stay . 
 Dec 2 2008 	 good location 	 book hotel close proximity St Pancras Train Station . within walk distance nice hotel . room adequate size clean . bed comfortable breakfast great . owner bent backwards make sure stay favorable one . book taxi we , advise we bus / metro trip make suggestion see London . room fourth level many stair climb elevator , otherwise stay superb ! 
 Dec 2 2008 	 Best Accommodation stay 	 review aspect service , facility , location value Ridgemount Hotel , decide good accommodation stay . family run hotel offer great hospitality invaluable tourist advice , free internet access clothe washing guest ( fee service , think time save laundromat ) . range room offer , ensuite share bathroom , value excellent substantial english breakfast include room rate . also large lounge room , ideal relaxation , free tea coffee offer . location Hotel superb , walk distance Theatre District many tourist attraction . five underground station within walk distance regular bus close . stay speak many guest return visit . congratulation family run excellent hotel , also staff excellent work . highly recommend . 
 Dec 1 2008 	 love place bedroom 	 stay 4 night mid November find staff describe Tripadviser .... good . the bedroom small expect , ensuite good pillow like sandbag ! put chair top hang space increase floor area make move suitcase easy . rees family go way helpful everything , include help luggage stair . the breakfast simple adequate . 
 Nov 30 2008 	 love Hotel 	 first time visit hotel . I decide choose hotel TripAdvisors review , right ! breakfast nice every morning , especially hospitality great andvery comfortable I . it warm house London . there pc lounge . besides , nobody use , possible use freely . check e - mail , search information theater , check - in flight . I would like stay Ridgemont Hotel againwhen go London next time . 
 Nov 19 2008 	 bad money 	 be not bad hotel money , depend much comfort want , much prepared pay . the bad thing bed small ! ! , decor date . that say staff welcoming , hotell keep clean , need drag 70 . if budget hotel want centrally locate , could it . if bit , suggest look little far afield 
 Nov 7 2008 	 repeat customer love 	 stay Ridgemount Hotel London last three visit London . find room comfortable , small London really sleep room . husband stay two visit October take daughter enjoy large room . always request room garden side . location fabulous enjoy Fitzrovia area shopping meal . hotel near Goodge Street Underground within walk distance Russell Square ( direct connection Heathrow Airport ) . breakfast substanial delicious . get laundry do reasonable price , hand office morning pick afternoon . find Mr. Mrs. Rees son ale absolutely fabulous host . able answer question tourist may wish answer . really feel like & quot ; home away home & quot ; . also free computer lobby stay connect home . ree ' also let leave luggage lobby catch late flight . highly recommend family run , family friendly hotel . 
 Nov 6 2008 	 warm welcome 	 lovely place good location . warm , friendly problem . change book four time , never problem . God breakfast . trippleroom top house . 59 stair . nice tea internet lobby . 
 Nov 5 2008 	 like home- people friendly helpful 	 friend arrive night 7th October 2008 welcome give bedroom information breakfast . enjoy stay friendly relationship could immediately establish people hotel general Mr R Rees particular . help we need good siggestion even leave hotel . family run hotel neat tidy . use live grand hotel , Ridgemount not , like feel home , be right place go stay . Bloombury , also Virginia Woolf live , British Museum nearby . also wonderful indian restaurant also famous box king Mohamed Ali ( Cassius Clay ) go . bus easily go everywhere Tube station well . need ..... ? go ridgemount meet Mr Rees . 
 Nov 4 2008 	 home away home 	 plan stay Ridgemont 3 night . however land London find wonderful place stay change plan spend whole 8 day London . Reece family accomodate manage arrange could extend stay stay room . great time hotel . wonderful breakfast , travel assistance , hospitality . hotel walk distance thing tourist travel . recommend place stay verbally friend , problem recommend Ridgemount review site . 
 Nov 2 2008 	 good no - frill bargain hotel 	 ridgemount clean , friendly great location great price . free internet access also bonus . 's true other say decor need update hearing noise hallway room , barely notice time remember reading review . would recommend hotel bargain & quot ; home base & quot ; be plan spending day . another warning : bring travel alarm clock . two morning request wake - up call first time come 30 minute late second time . 
 Nov 2 2008 	 lovely little gem 	 quaint place stay . advice TA member book 3 night stay enjoy much . close British Museum , right bus route close tube station . room 's bathroom clean lot hot water . room small , perfect place return get good night sleep . owner 's , family staff extremely friendly , accomodate nice . morning breakfast nice touch good way start day . single traveler feel safe hotel neighbourhood . would definately stay ! 
 Oct 31 2008 	 good location value money need update 	 stay half term break , good bad pointsits location excellent , tube station Tottenham Court Road nearby . good street restaurant pub . easy walking distance Oxford Street Covent Garden . cheap London , two people bed breakfast £ 75 - bargain . room really small , know London double room tiny difficult move . become incredibly hot showering . décor room need update . bathroom nice , good shower extractor fan make constant noise annoying . breakfast – could fault service , fast efficient . however choice random limit three cooked item change daily . tea coffee nice . lounge – great free internet access . really easy use wait . furniture tired need replace . overall , look cheap place stay London frill place . fault price location find furniture décor old fashioned . 
 Oct 28 2008 	 great value family run hotel 	 property recommend Lonely Planet see . well locate - tube around corner bus stop opposite . excellent breakfast . clean . small room London . friendly , efficient helpful reception . 
 Oct 24 2008 	 Ridgement great service great price 	 first stay Ridgement Hotel 20 year ago stay regularly since . own helpful family time never fail - great service , always spotless wait opt share facility , excellent breakfast include price , warm , reasonable tariff ( room smal hotel fantastic location expensive ) . extras free tea coffee , guest lounge free internet , load help find way around , guest phone etc . although front busy bus street room side double glaze . would highly recommend Ridgement would not think stay anywhere else . 
 Oct 12 2008 	 take Heavy Duty Earplugs 	 partner return two night stay Ridgemount Hotel . spend previous five day another hotel Gower street ( excellent hotel ) .We view comment Trip advisor , expect also ' fantastic ' hotel , contrast , could not truth ! although place clean , need lick paint decore stick 1950 's , half expect Margaret Rutherford appear one room stay ! bad thing noise , traffic ( expect , since street facing ) guest , run room room slam door half night squeaky floor board upstairs , hum noise room next door . we leave hotel haste totally shatter experience . 
 Oct 8 2008 	 need room 	 stay Ridgemount hotel September two night single room one night bathroom night share bathroom . share bathroom clean wait . breakfast good , bacon egg make order cereal . tea coffee toast juice , good breakfast trip . room small single room 3 m 1.5 enough room . room locate side main street alot noise . seven day touring , problem sleep . lounge area free internet tea coffee . staff nice accommondating . tube two block away like walk alot pub around . need clean place sleep store luggage would recommend Ridgemount hotel price . 
 Oct 4 2008 	 great value great location great staff 	 spend 3 night Ridgemount September , book twin share share facility cost GBP 58 per night . this tremendous value money . room spacious , clean , comfortable , hand basin nice view back garden . the share bathroom landing floor create sense privacy never wait . always clean well stocked . we make feel welcome check even give assistance luggage stair ( nice welcome change hotel europe ) .breakfast great , cereal , egg , bacon , sausage etc serve helpful staff . lounge room ground floor great , internet computer , book , game , etc . brilliant location , catch underground direct Heathrow ( Piccadilly line ) Russell Square station 5 minute walk hotel . will definitely use hotel future recommend friend . 
 Oct 4 2008 	 faint hearte 	 spend four day Sept Ridgemount , base upon good review tripadvisor . on arrival accompany room polite young man apologise size room , even open door . small would understatement . appreciate accommodation London expensive going rate 75 pound probably fair . our real problem room front Gower Street major bus corridor London . constant stream double decker bus hike past hotel , make unpleasant night 's sleep . request change room back hotel , first night , possible . leave exhausted would never go near . 
 Sep 29 2008 	 Excellent value money 	 come back 3 night stay Ridgemount Hotel excllent time . book double share facility arrival room ready upgrade ensuite . room 17 ground floor face towards back garden . quiet . next 2 night room 11 third floor . much big need 1 double bed 2 single bed . share facility people floor never wait . breakfast ok service efficient . Staff friendly give lot advise see eat . hotel well situate minute walk 3 underground station Charlotte Street lot pub restaurant . 's station away Soho , covent garden westminster site . overall nice little hotel would definitly go back . 
 Sep 28 2008 	 cheap clean central 	 boyfriend stay ridgemount one night stopover London . not plan spend much time hotel Ridgemount exactly - cheap , clean central . budget not stretch ensuite room find share facility clean always free . breakfast good ( standard cook stuff available , along cereal ) owner staff friendly . good choice budget traveller look bed night . 
 Sep 25 2008 	 place feel like home make stay even well 	 go back London , stay everytime . stay total seven night . owner staff extremely friendly helpful . incredibly nice time arrive till time leave . breakfast great plenty selection , hot cold , would try accomodate need . room nice . room two twin bed ensuite bathroom . room large expect . bathroom adequate need . shower , sink toilet . room bathroom clean clean everyday . room face street oscillate fan would help soften noise . small TV , closet , drawer desk room . common room book exchange , vend machine , free tea coffee machine computer fast internet access . wifi well use floor . beautiful garden back . kitchen din room basement . lucky first floor . first night large room till room ready next day extra charge . originally plan top floor move we first floor see mother hard time take stair . one nice thing . every morning owner would ask go day tell we could get first destination . always get back late problem staff always greet . never get chance check upstairs . hotel locate bus route several underground bus station around within minute ( Googe , Euston , Tottenham Court ) . love location . almost dead center London . plenty place eat shop around hotel . cab ride Victoria station run 15 20 pound taxi would lug luggage around begin end trip much . 
 Sep 15 2008 	 quaint nice 	 ridgemount charming comfortable . staff wonderful , always helpful tell we take Piccadilly line Heathrow airport ..... easy Russell Square Tube Station , 10 minute walk . the english breakfast good , lounge speedy internet computer . ridgemount ideally locate ... easy walk everywhere , close major tube station . definitely find , lot care give innkeeper . 
 Sep 5 2008 	 good hotel ' ve stay London ! 	 far good deal london 50 Pounds , consider room , location , breakfast , friendliness staff , etc . ! always stay Ridgemount Hotel . 's two block several pub , tube station ( Goodge Street ) , Marks & amp ; Spencer , ten minute walk Picadilly , Leicester Square , Oxford Street , etc . never take transportation except cross river ! could rave forever hotel , definitely worth price since London expensive . complaint paper - thin wall , be expect anywhere . perfect location , even high - speed internet use lobby ! 
 Aug 13 2008 	 friendly Clean Convenient ! 	 friend stay Ridgemount 3 night , , although luxury hotel mean , comfortable , clean , conveniently locate Goodge St tube - station . proprietor desk - clerk warm friendly , accomodate late arrival come - and - go hour . free internet access provide pc station common living - room . not sample gratis English breakfast , sure smell good ! complaint heat uppermost , floor room stay 3rd night : nearly unbearable . air - condition hotel , believe 's problem throughout year . , get lucky stay London sunny , hot spell , 3rd floor room ridgemount 10 - 20 degree ( Farenheit ) hotter ground - floor . really hard take . sleep impossible , even little window wide open . belgian chocolate have bring Benelux turn slag , even thermal bag . , tell , , pleasant experience . simply can not beat Ridgemount 's price clean stay London , would definitely stay : would specify room low floor . 
 Aug 12 2008 	 great hotel loud 	 stay Ridgemount 5 night July . almost everything great- room / bathroom small , everything need , 2 mirror ( one bathroom , one room ) helpful 2 girl stay , easy find , easy get to / from , great restaurant / grocery nearby , free internet available lounge ( good use early morning mid - day ) , bookshelf lounge leave / take book ( travel guide well nice , leave do ) . also nice garden back guest enjoy , would nice read couple afternoon , not know guest last day . wish someone mention we check ( check , Mrs. Rees show we around briefly , leave garden , probably mistake = ( . lastly , breakfast good , although much variety , good ( cereal , toast , egg every day , item rotate ) . last day , leave early , breakfast , offer leave cereal milk ( thermos ) us lounge . stay night , notice 3 seemingly small problem , somewhat bothersome we , could potentially ruin trip . first , happen hot . without air , people might sleep . window could open , unfortunately , short leave door open , not really help becuase cross breeze . second , room window open front street ( Gower ) , rather loud . keep we time , wake we time . third , elevator get floor floor . not need one fine , good other know ahead time , case need one . would certainly stay , good deal central London , would definitely request room back window garden . 
 Aug 6 2008 	 Cosy hotel great price 	 boyfriend stay ridgemount 8 night July . choose hotel low price good review . definitly not disappointed ! first , let us get negative thing way ... hear every sound hotel loudly . neighbour use bathroom , sound like be use . guess 's way old english house . like elevator , room kind small , could problem . not we though , be expect . apart minor thing , great time ridgemount ! positive : great location - take aprox . 10 minute walk New Oxford Street , 's bus right across street , 3 metro station nearby . really nice staff - everybody always good mood eager help . nice breakfast - english breakfast , make sure change little bit day day , plus cereal well . nice lounge lot book free available computer internet . overall , really good experience . 
 Aug 3 2008 	 Good Place Stay 	 return 2 week stay UK enjoy stay Ridgemount London . location excellent . room nothing fancy bit small clean . breakfast good nothing extraordinary . basically good budget hotel excellent value London . would definately stay . 
 Jul 27 2008 	 Exceptional service 	 hotel recommend friend . staff friendly . room immaculate , small . lst day heatwave fan appear . daily breakfast substantial good quality . 3 week stay bathroom always clean , room service without intrusion . question travel plan answer completely map often provide bus . give two set direction one case ( separate side paper ) allow choose well seem one . visit place owner not know ask detailed question help guest . willingly go back . 
 Jul 27 2008 	 ridgemount exceptional -- absolutely first - rate ! 	 family three stay Ridgemount Hotel 16th July 19th July sing praise highly enough . we book stay directly Mr Mrs Rees nearly six month prior visit , arrange quad room overlook garden . find room comfortable , clean , much spacious have expect . bed right bedding superb lovely woolen blanket provide exactly right warmth July -- neither much little . we sleep well , fact , sleep right breakfast every morning stay . Ridgemount 's coffee machine ever - at - the ready hotel 's comfortable lounge , able cup two via machine head day -- extra - grateful availability . as note other , ridgemount exceptionally well - locate -- enjoy advantageous location daily . Bloomsbury always lovely , think impress we Ridgemount Hotel * quiet * ! could believe central London , sleep garden face window open night stay , occasional ambulance , sound hear bird singe Rees 's lovely garden every morning . to awoken bird song -- middle London -- simply extraordinary ! always stay ridgemount whilst London forever onward ! 
