Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Mar 3 2009 	 nice stay 	 second time Hotel Elysee nice first . staff friendly helpful . first time room face street , little noisy street traffic . time request quiet room , face back . although view not much , usually curtain closed issue . room bath keep clean . bed comfortable addition flat screen tv nice . nice breakfast evening wine reception , throughout day evening coffee tea , fruit , cookie guest . location perfect , away hustle Times Square yet walkable theater park shop around corner . hotel fitness facility provide complimentary pass New York Sports Club , block away . stay many place New York finally find favorite . 
 Mar 3 2009 	 Perfect Location 	 little boutique hotel locate perfect location midtown Manhattan . european charm make special stay large box hotel . go birthday 2/26 - 2/28/09 hotel kind enough upgrade we small suite ( room # 60 ) . room lovely although every reviewer note bathroom small . room rate include breakfast 2nd floor ( bagel , croissant , fresh fruit , yogurt , hard boil egg , coffee , tea , etc . ) . also wine cheese hour ( 5 - 8 pm ) room . able walk 5th Avenue cruise designer store easily able get taxi get destination . staff pleasant . 
 Mar 2 2009 	 right - aaaahhhh 	 Hotel Elysee hit every note right . three lady city one night relax , see matinee enjoy nice dinner . last minute , call Hotel Elysee night - reservation clerk take quite bit time determine good room combination need . upon arrival Saturday morning , car whisk away give early checkin . room perfect ! stay sister hotel , Library , like much - room little cramp . Hotel Elysee room roomy appreciate seperate temp control . ( can not sleep stuffy room ) . Decor French something - pretty , trendy bed quite comfortable . clean , bathroom remodel , shower actually pressure instead usual dribble . my favorite part hotel group club floor open time coffee , tea cookie . fill comfy chair cluster , perfect place unwind activity . present generous continental breakfast available way 11:00 , constantly refill . service great , front desk , bellhop club room . love hotel ! 
 Feb 28 2009 	 beautiful hotel midtown manhatten 	 pick hotel purely trip advisor recommendation , whilst fairly expensive really beautiful hotel good location . room spacious immaculate staff enough make stay great one ! complimentary cheese wine ( 5 - 8 ) absolute must , warn not overindulge especially goin road Bills bar friendly atmostphere great barman ' Richie ' take care ' New York ' style . look 85 year old greeter Aldo who s mother use cook Rocky Marciano ! great eatery around Bobby Vans Steakhouse 2 block away must- expensive worth ! 
 Feb 24 2009 	 great service good price friendly staff .. midtown ? - unbelievable ! 	 although daughter college NYC , rarely visit high price unfriendly service hotel restaurant . recommendation friend , stay Hotel Elysee family several day late summer . staff extremely helpful friendly club floor available guest food , drink , etc . offer much day . day departure , purchase food drink item nearby grocery store pack cooler take road we . doorman see we , go hotel bring back bunch crush ice hotel kitchen put cool we . amazed . call evening make reservation May gentleman speak go way find low rate provide friendly feedback service . way win customer keep ! 
 Feb 23 2009 	 Fantastic 	 stay many NYC hotel year Elysee tremendous fine . old world charm combine superlative attention detail service . staff always warm welcome hotel exude homey sense warmth personal style . highly , highly recommend hotel discern traveller want another cold number faceless big city hotel ! 
 Feb 23 2009 	 Room benefit 	 choose switch hotel reservation much large NYC hotel last - minute discover add complimentary benefit stay Hotel Elysee . free wireless internet lifesaver search city address , subway stop , dinner reservation , really able cut dining cost take advantage continental breakfast morning . deluxe room stay mean & quot ; economy . & quot ; spacious , clean , comfortable stock high - quality amenity . trip honeymoon , decide revisit hotel every year . 
 Feb 23 2009 	 highly recommend 	 hotel great . slow weekend , upgrade we beautiful suite private enclose terrace . provide nice breakfast . location great , 53rd & amp ; Lexington subway stop near . cab ride place neighborhood interest also pretty inexpensive central location . walk , surround area fill shop site . somehow Hotel Elysee remain quaint quiet middle everything ! 
 Feb 17 2009 	 please not book room - want able get one ! 	 really consider write terrible review place increase chance get reservation want one , would big lie ' m willing tell ! stay Elysee frequently business easily become favorite hotel NYC , even ' m visitng client area city . be good . Antonio doorman gem , front desk staff accommodate , breakfast / happy hour staff likewise helpful cheerful without intrusive . room vary size adequate thoroughly charming . time ' ve ever problem room ( recent stay ) , offer move business meeting upgrade suite . be like ? fact , comfortable place next month new husband go part honeymoon ! 
 Feb 16 2009 	 Grest Boutique Hotel 	 stay hotel many time year several year . location great shopping enjoy window Christmas time . everyone work helpful friendly . breakfast good server ther help -from newspaper toast bagel . room clean bed comfortable . stay April ! Debbie 
 Feb 16 2009 	 Charming ! 	 lovely hotel - quiet , comfortable . really charming . 
 Feb 15 2009 	 Perfect every WAY ! 	 get back fabulous weekend Big Apple . reservation one night . get city early Saturday morning hotel actually let we check early . free breakfast still available even suggest take part , even though not even technically stay yet . give we option two room - queen front hotel king back hotel . warn we king nice view bathtub . choose king view bother we . say bathroom would small , feel perfect . comfortable bed comforter . turn service chocolate . pretty room - clean nice amenity . breakfast fantastic continental breakfast - fresh ny bagel , fresh fruit , hard boil egg , croissant , cereal , etc . average continental breakfast - fresh yummy . staff extremely helpful friendly . return NY , definitely will stay ! : ) 
 Feb 9 2009 	 2nd time charm 	 visit NYC often hotel stand other many reason . impressed first time stay girlfriend vow bring back husband one day . it special anniversary husband I. happen ask upgrade , mention special occasion , voila , receive great upgrade night . regret able stay night two long . suite spacious , beautifully appoint antique , charm cookie - cutter hotel offer . as usual , service attentive without try hard , breakfast late afternoon snack treat . however , cafe au lait / cappuccino a.m. good know coffee . stick regular coffee . thank everyone elysee another wonderful stay . 
 Feb 9 2009 	 Posh Great Value 	 return two - night stay Hotel Elysee midtown Manhattan . live NYC 15 year , say hotel 's location can not beat ! tourist , be easy walk many attraction plus shopping , dining theater . book rather large , 1 BR suite $ 375 night directly hotel website . would estimate suite 650 sq ft -- large NYC standard . suite feature large sit dining area , tiny kitchen area ( dorm fridge , sink micro -- convenient ) , nicely appoint , double - sink bath tub separate stall shower , separate bedroom king bed . sit area queen - sized fold - out sofa -- comfy enough two kid . room locate 10th floor , really view speak . everything meticulously clean . king - sized bed quite comfortable linen high quality . towel supply ample . it note one previouis reviewer room sufficiently illuminated . small point , would certainly concur . lamp high - wattage bulb might good idea . the hotel offer complimentary & quot ; happy hour & quot ; Monday Friday . Red , White Champagne offer well coffee , tea , water , juice , cheese , olive , cookie fruit . lovely touch many guest seem avail respite . also complimentary daily continental breakfast . impressive array item available , family three , would represent $ 50- $ 75 saving eat breakfast NYC hotel dining room . quite deal not need Eggs Benedict mimosa . the front desk lobby staff welcome efficient . think faded & quot ; monkey bar & quot ; motif elevator area hallway could use bit updating . all , stay quite pleasant . small , old - world hotel , however , seek glitz , fawn service extensive list amenity , may need look elsewhere . we , premiere location undeniable value make satisfying weekend . 
 Feb 8 2009 	 Loved Hotel Elysee 	 girlfriend stay one night Hotel Elysee weekend trip NYC . choose hotel base location review website . review hotel spot . front desk staff extremely welcome helpful . room incredibly quiet , clean , bathroom large . stay suite king bed queen size sofa bed pullout . comfy . free high speed internet access , free access NY Sports Club 5 block away , complimentary bottled water chocolate , include continental breakfast comfy 2nd floor club room . club room coffee / tea snack every afternoon ( miss ) breakfast every morning 7a-11a . breakfast impressive coffee , tea , juice , milk , cereal , fresh fruit , yogurt , pastry , boil egg , bagel toast . breakfast well staff staff toast , make latte , clear away dish . club room otherwise open guest use comfy chair , couch , tv , well light comfy . would definitely stay ! 
 Feb 7 2009 	 highly recommend 	 everything perfect . helpful , friendly accommodate staff . exceed expectation ! ! 
 Jan 29 2009 	 Charming hotel heart New York City 	 husband stay Elysee fifteen year consider & quot ; home away home & quot ; visit NYC . staff professional , pleasant , courteous endeavor make visit pleasant possible . stay many room year yet one like . well keep secret hotel 2nd floor concierge level guest may partake breakfast evening snack . coffee , tea cookie provide throughout day . enjoy small boutique hotel superb location , warm staff , great amenity . disappointed decide stay . John Avina , manager , do excellent job maintain high standard Elysee know . 
 Jan 27 2009 	 Love Hotel Elysee 	 stay Hotel ; Elysee January 2009 love itthe room perfect , decor do make feel home hotel room . breakfast quiet set beautiful room . club room absolutely great nice relax big day , much food drinks.the location hotel perfect , away busy tourist area , still close everything . want leave would love go 
 Jan 26 2009 	 great value location 	 second time ' ve stay Elysee time extremely happy experience . room nicely furnish , staff extraordinarily friendly location perfect planning business midtown . although ' ve stay business , close great shopping night life . concierge reccommende place call Modern get drink wound great night . previous trip dinner drink Tao , block away Elysee excellent time well . would highly reccommend place comfortable room , friendly staff , great location . also bed incredibly comfortable ! far good value ' ve midtown would not stay anywhere else ! -matt 
 Jan 19 2009 	 fantastic stay 	 visit Elysee Christmas New Year celebrate twin daughter 18th Birthdays .When arrive upgrade suite easily big enough live room great too . the complimentary breakfast great start day complimentary cheese wine great way relax unwind hard day sightseeing ( actually champagne ) mmm ... lovely . as mention real homely feel welcome change corporate hotel chain . nobody warn we massive queue Ellis Island - go early ! grey line bus great way see sight . we also enjoy evening Bills speakeasy diner road hotel great idea tired busy day not feel like go far . not hesitate book ! ! 
 Jan 18 2009 	 Loved hotel ! ! ! 	 unfortunately , Monkey 's Bar closed renovation , say anything regard it . but hotel PERFECT ! ! ! actually , receive complimentary upgrade junior suite . suite gorgeous ! ! ! separate living room bedroom , furniture good quality ! maybe put wardrobe room guest could place clothe , problem we stay 2 night . staff extremely helpfull ! ask adaptor bring we three different one not know type plug . nice ! breakfast good , wine & amp ; cheese reception also good ( say anything quality wine champaign offer tea time , cheese good ! ! ! ) . day cup tea pastry additional fee ! love location hotel , love food , love room love staff ! ! ! highly recomende reserve junior suite worth ! ! ! 
 Jan 18 2009 	 love 	 love cosy little hotel . hotel wonderful location . staff professional . hotel like home away home . 
 Jan 15 2009 	 wee Gem ! 	 Wife daughter stay 4 night January 08 , year return allow guy come trip . stay four night , really enjoy stay . staff department helpful . room comfortable , good size everything hand enjoy stay . best point : great location , friendly service , small comfortable hotel , free wine & amp ; nibble week day evening , nice touch , bear mind price wine New York . would certainly recommend wee gem hotel . 
 Jan 15 2009 	 good hotel town ! ! ! 	 recently stay wife mother law Hotel Elysee say it´s good hotel I´ve New York far ! trip take place december 25th january 1st , decide spend New Year´s New York Elysee make everything even special . we book room week prior arrival upgrade suite ! ! ! even piano living room , bad wasn´t tune ... ; ) room big ( even regular one ) ultra - clean . staff friendly . free breakfast great ! ! ! , read minor complain elevator issue , say it´s day wait elevator maybe wait 5 minute , big deal ! ! ! also want thank John Avina , general manager hotel . he make terrific job guest feel like home , thank JOHN ! ! ! ! 
 Jan 14 2009 	 old world charm wonderful position . 	 hotel suit family 5 perfectly . one previous reviewer mention , old world charm . room - one bedroom suite interconnect twin room decent size NY . also like hotel one large anonomous hotel . Front desk staff efficient . big plus position hotel , could walk many place interest , get subway , also close hotel . be able open window also bonus . breakfast plentiful - beautiful fruit salad , pastry , yogurt , juice , wide variety tea , bread , cereal hard boil egg - enough sustain we day sightseeing shopping . two small gripe - 1 . one complimentary computer often occupy , hard get access . 2 . lift peak time would often require long wait - since rush acceptable . we would highly recommend hotel - european feel complimentary food welcome addition , especially travel child . 
 Jan 11 2009 	 another Great Stay 	 another wonderful stay Elysee look forward next . courteous friendly staff , comfortable room , real oasis return exhaust day shopping sightseeing . find building store ny incredibly hot winter great return room great air conditioning . control hot cold room . stay lot hotel never seem able get heat problem . fault anything highly recommend Elysee . 
 Jan 10 2009 	 Awesome 	 arrive hotel warm friendly welcome . make feel special happy help anything . hotel great location - 5th Avenue , 3 minute walk central park 5 minute Bloomingdales , wife love . breakfast snack great plentiful . staff friendly always seem happy see . would hesitation stay recommend friend . help hotel great honeymoon . 
 Jan 8 2009 	 great discovery 	 group 6 , include 4 teenage kid ! ! first time stay great little place : wonderful location , warm peolple front desk , door , etc . stay suite connect room , good size room , good service , maybe light improve living area . nice breakfast morning 2nd floor , drink later afternoon ! ! run lf bread ! ! ! ! would definetly go back soon ! ! 
 Jan 8 2009 	 wonderful hotel 	 daugher stay many time second time . warm , wonderful welcoming . location great we since enjoy city . everyone friendly helpful room comfortable . breakfast evening wine great . always stay ' m NYC . 
 Jan 2 2009 	 almost 10 	 good hotel good position . stay deluxe roomroom spacius clean . good also bathroom . staff friendly .breakfast ok.in afternoon small free breakfast second floor . point good : lift always busy ! people breakfast friendly staff hotel 
 Dec 30 2008 	 lovely ambience Elysee 	 try Elysee Library Hotel , ' ve often stay , less efficient handling reservation . Elysee less hip , , convenient pleasant way . reservationist ask preference seem pleased offer room 2 exposure . chandelier , well - appoint room ( comfortable bed ! ) peacefully Old New York - y , though tub shallow big noise , even 10 floor , semi - continuous garbage operation 54th . add noise rambunctious kid floor . front desk offer address issue , , since stay 2 night , make joke . breakfast evening wine offering satisfy , comfy atmosphere . staff unfailingly polite helpful ; hotel supply umbrella ; traipse wet wandering , Elysee truly feel like refuge . 
 Dec 30 2008 	 Comfortable Hotel New York 	 frequent guest past ten year , Elysee conveniently locate hotel business pleasure . amenity limited one offer quite nice . room simple large comfortable . nice upgrade new flat screen tv . one elevator time challenge , end , problem . staff accommodate hotel maintain clean attractive manner . Monkey Bar close , bit disapointment , Bill be across street always fun place nightcap . highly recommend hotel . 
 Dec 29 2008 	 Love Elysee ' 	 stay 4th three stay enjoy stay immensely ! valet front desk staff accord good friendly service would expect wonderful boutique hotel one . right heart Manhatten , everything perfect . look ward next visit next spring . Merci Beaucoup ! Maureen Ray Russell 
 Dec 26 2008 	 Bed Bugs 	 husband stay two night go home doctor say bed bug bite . notify hotel manager say exterminator inspect room , deny existence bed bug . ? ? ? ? ? ? offer refund type restitution medical bill etc . make hotel manager . 
 Dec 20 2008 	 give Us money 	 unpleasant unhelpful front desk staff . pay debit card please aware require fund hotel stay fully available check - in desk staff contact bank confirm . need pay night cash advance credit card . also room ninth floor front building seem sound proof subject constant noise rubbish collection main street . room decor tire date carpet need replace . in addition front desk staff wish accomodate request information concern tour city . the main advantage hotel 's central location . 
 Dec 18 2008 	 wonderful stay 	 return 2 night stay Hotel Elysee wonderful stay . group 5 woman celebrate belate 60th birthday . every year make overnight stay Manhattan Christmastime first stay Elysee look thing , will not last . everyone ( Mr. Avina young woman set refreshment Club room ) professional , courteous , gracious . suite double room able close hallway door make 2 bedroom suite . room large comfortable ( even pull - out couch comfortable ) . complimentary continental breakfast every morning , delicious cookie coffee day , cheese cracker , wine Prosecco early evening . everything delightful ! location outstanding , hotel outstanding , staff outstanding . 
 Dec 13 2008 	 Loved Hotel Elysee 	 husband stay Elysee mid - week December quite impressed . location E. 54th St. fantastic hotel reasonably price NYC standard . although visit would special condition ( love second floor library breakfast , complementary wine cheese , newspaper , day cookie fruit ) , overwhelmed staff upgrade room suite check ! suite absolutely beautiful , fireplace , dining room table , kitchenette , large screen tv . feel like rock star ! additionally , staff could nicer accomodating ... doorman offer umbrella go outside helpful hailing taxi . can not wait stay ! use stay Carlysle , Elysee new favorite . highly recommend . 
 Dec 10 2008 	 Perfect every way ! 	 stay one night could not find single thing wrong wonderful Manhattan gem ! location perfect every NYC attraction .... staff friendly beyond belief ... room clean , comfortable , good shape ... small , cozy , friendly , price right .... 2nd floor lounge serve coffee , croissant , hor d'oeuvre evening ... else could ask ? absolutely stay recommend everyone ask . Monkey Bar run spring huge plus ! 
 Dec 8 2008 	 Nothing Special 	 husband stay Hotel Elysee 2 night early September . choose hotel base great review get . however , really not anything special place . nothing negative say hotel , however nothing positive either . room average sized , bed comfortable enough sleep . major problem , front desk polite . restaurant attach hotel close renovation , stick eat ( first night tired traveling eat food deli across street . would not suggest enough energy walk block actual restaurant ) . also , not confuse minibar . not really cool thing . 's really refrigerator . plus , accord brochure , take something , automatically charge . read part move thing around put drink , quickly replace everything charge . so overall , place okay . would definitely recommend find another place stay , though , . however , will not spend much time hotel room anyway , place fine . 
 Dec 6 2008 	 City never Sleeps . . . 	 know city never sleep ? ? ? ? innumerable skyscraper generate colossal amount refuse -- must compact . . . slowly . . . late night . . . jarringly - noisy garbage truck . please read , love hotel , stay , ask room not face street . though locate 11th floor behind double - pan window visit , bewitch - hour garbage run bit disturbing . , good news . second time stay Elysee lead tour group . ' ve never anything praise 40 traveler take , would not hesitate use hotel . ( doubt even nearby Waldorf - Astoria St. Regis engineer well enough drown curse truck . ) location superb . staff friendly accomodating . stay , spacious , immaculate , nicely appoint room . other note , second floor lounge / library space one hotel 's pleasing asset . perfect spot relax feel home mid - afternoon break coffee newspaper pre - theatre glass wine hor d'oevres . ( Bonus : nearby 21 Club offer prix - fixe , pre - theatre dinner memorable experience good value . ) 
 Dec 6 2008 	 bad experience kill good location 	 location excellent kill 3 negative things:1 ) old unsufficient furniture , pay 600 USD night & quot ; suite & quot ; nr 103 drawer : stay 9 nght room drawer 6 hanger : part clothe remain bag suitcases2 ) room street side correct sound proof window . room back side correct light : live quite like cellar , & quot ; suites & quot ; face wall , room inside poor light . on second floor , however nice tea room , good sound proof window : street room ? 3 ) People reception desk smile , nice ... give bad service . they unable find correct number tthe & quot ; Blue Note & quot ; , room service bring we one day tea without spoon , day cold water , next hot water without tea bag ... etc etc . reception desk , ask yoghurt , answer we & quot ; none , go buy shop opposite hotel & quot ; 
 Dec 4 2008 	 Understated Perfection 	 decide treat 4 star hotel big apple & amp ; turn highlight trip . the friendly staff always courteous & amp ; helpful overbearing . hotel somewhere feel comfortable , safe & amp ; not feel like ask anything chore & amp ; hotel excel respect . complimentary internet access , complimentary breakfast , paper & amp ; evening wine , cheese & amp ; also coffee 24/7 make experience satisfying . central location whilst & quot ; quite & quot ; locality another plus . overall would recommend hotel anyone willing spend little bit near cast iron guarantee get money 's worth . 
 Dec 3 2008 	 disappoint 	 staff friendly helpful , location terrific , room leave lot desire . date / drab furniture , noisy , window ( low level floor ) , television ( important ) may smallest / old ' ve see hotel room awhile . stay , consider push high level floor away stairwell ( order avoid noise get view - view ) . 
 Dec 1 2008 	 great service great room . 	 stay Hotel Elysee read great review receive . location service good , room disappoint date furniture . price , well - even New York . update room decor furnishing , would reconsider staying - , choose another property . 
 Dec 1 2008 	 Hotel Elysee ok 	 Hotel Elysee two great asset -- location comfortable second floor breakfast room / lounge . staff pleasant helpful . king bed room 11th floor cramp , especially bathroom , furnishing carpet wear . surprised , give overwhelmingly positive review prompt try Hotel Elysee . reviewer apparently superior room , may date room . 
 Nov 26 2008 	 lovely stay 	 Hotel Elysee lovely hotel great location . deluxe double room large , although quaint , everything need . room front hotel , yes , could hear street noise way offensive problem sleep comfy bed . yes , one lift little slow hardship . apart location friendly staff , good thing hotel breakfast morning wine cheese serve evening relax long day shopping sightseeing NY . find facility something look forward . lot restaurant walk distance . recommend hotel anyone know might viste New York . doubt book hotel , not not think disappointed . 
 Nov 24 2008 	 fine hour . 	 one add huge nuber extremely positive review true gem Manhattan Hotel ? well , try . in first place , thing go pretty wrong . come Vienna / Austria annual work outing , ( overseas extended year order celebrate full decade birthday two secretary ) book two double room one suite party six . give three double room , although present e - mail booking confirmation reception desk . assure one room king size bed mean & quot ; suite & quot ; . ( wonderful ) breakfast day , realize we give double room . pretty upset moment , intention reward secretary another year hard work law office seem frustrated . turn reception desk , within little five minute , helpful man reception apologize mistake , also come solution , never ever could dreamt . simply amazingly perfect management ! main problem rest stay get party hotel street NYC . think , Hotel without restaurant , without bar , without spa , without shop , without many thing hotel boast , truly unparalleled combination competence atmosphere . consider street talk five woman company almost refuse go Broadway Fifth Avenue ! , ask , small hotel rank sixth among approx . 400 New York hotel , advise : find . 
 Nov 24 2008 	 review Hotel Elysee 	 stay Hotel Elysee several time . fabulous hotel staff make feel like actually live recognition hospitality . travel alone NYC , sense security stay . always recommend sweet property anyone go NYC . Renay Martin 
 Nov 24 2008 	 Cozy hotel 	 first time stay Hotel Elysee , excellent choice : close Rockefeller , St Patrick 's Cathedral Central Park . another point european style . highlight weekday wine cheese hotel serve cozy room . 
 Nov 19 2008 	 5 Star Price 3 Star service 	 November 7 - 11 second stay Elysee . the event girl 's 50th birthday celebration . hotel right price $ 356.00 per night first stay May two year ago . however , $ 515.00/545.00 per night taxis fee , hotel come short several area -decor little date furniture breakfast area shabby miss amenetie fan bathroom 1 elevator significant . overall cleanliness hotel excellent carpet room could use cleaning . term service staff pleasant . however , young getleman desk particularly knowledgeable . turn service also lacking- shade draw complementary sweet pillow . choice hotel mine , would opt new Palace hotel price low . 
 Nov 18 2008 	 Great Suites 	 recently stay weekend 11/14 - 11/16 , want return feel good hotel good price get NYC . large suite , room 94 first night , noisy near street , staff move we another suite , room 60 , perfect , could hear sound . really enjoy free evening wine cheese hour 5 - 8 pm , Mon- Friday nice breakfast every morning Club Room Library . staff nice accomodate really go way , problem move belonging us new suite . always stay travel NYC , prefer small hotel , instead big chain day week ! 
 Nov 12 2008 	 beautiful escape new york 	 book stay directly hotel upon arrival lovely card sale director welcome us honeymoon box chocolate . beautiful deluxe king room near back hotel 12a floor ( 13 ) . upon check - in find extremely helpful concierge need ( even help book Mavis Staples ticket BB King club theater district upcoming evening . bed ultra comfortable triple sheet duvet insert beautiful coverlet . warm enough even run air conditioner get warm November . bathroom well keep complaint not offer towel reuse type conservation measure . maybe think client 5 star would not participate , give we option . service attentive overly , leave hotel morning smile full night 's sleep . breakfast ( quite continental spread ) enough get we last morning car arrive take us airport . coffee good , something really look forward morning yes , coffee , tea husband 's favorite cookie available evening . wine cheese nice little bubbly ( sparkle wine - nice touch also include vegetable crudite be worry cholesterol . wish traditional information room see , commercial magazine . maybe list favorite staff would nice touch . , find tripadvisor source . also attend show Javits center find subway safe easy navigate . even ask direction city , must look like belong . city easy get around get difficult get southern area grid become congested . , highly recommend trip worth it . bring good , comfortable walk shoe . think still blister take home 5 day . thank Elysee memorable visit . look forward return . 
 Nov 9 2008 	 Chossing Elysee justify 5 star review 	 spend 6 night celebrate 39th wedding anniversary . we negative comment whatsoever , one praise gratitude . hotel wonderful warm intimate feel , aid attentive staff department . bedroom 14th floor ( deluxe double ) luxurious sanctuary poor foot could take walk . Super King size bed , lovely marble bathroom , solid mature style furniture - like rich friend 's country home weekend . rarely wait long lift , even chat pleasant guest also enjoy stay there . the breakfast ( include price ) wonderful every morning , huge choice cold food willing attentive staff . weekday wine nibble serve Club Room first floor , large enough take plenty guest , still retain intimate feel . wine nibble 5 pm 8 pm generous inspire idea , perk able drop tea coffee time day .. location excellent - close enough centre thing , still quiet location near Times Square . possible walk reasonably price restaurant evening , feel subway travel safe , venture afield $ 25 , 7 day subway pass confidence . we try secure room Elysee next stay . feel oblige leave recommend tip gujde book suggest leave ( room staff Club Room staff ) wonderful time give here . thank , Elysee Hotel , thank Trip Advisor lead we wonderful place . John G W. London UK 
 Nov 2 2008 	 would not stay anywhere else New York City 	 couple 50 's . love hotel especially location . walk Central Park , Broadway , Times Square , Rockefeller Centre wide selection restaurant bar . staff extremely friendly helpful . breakfast , include room rate , excellent bonus weekday wine cheese . booked room get suite separate sitting room couch , chair , table mini bar well small bar fridge could stock purchase . we would definitely stay . 
 Oct 24 2008 	 gem Hotel 	 wife stay Hotel elysee much enjoy whole hotel experience . superb little hotel fabulous location . ny familiar attraction within walking distance . tastefully decorate old style hotel spotlessly clean . room large ( hotel ) mod con high class hotel . hotel include breakfast , thought would avail , plan breakfast many diner / deli NY , breakfast good relax room end breakfast every morning . staff friendly helpful . one lift service building bit slow , however bad people previously mention , holiday anyway , what s rush ! ! ! conclusion : would highly recommend hotel stay next trip New York . Mark , Kildare , Ireland 
 Oct 23 2008 	 Loved Hotel Elysee ! ! 	 husband spend 4 night Elysee October , love everything hotel , gracious people front desk housekeeping service . young lady work morning breakfast afternoon wine hour sweet accomodate . location perfect two resturant across street , Oceana Cellini wonderful . hotel staff recommend make reservation we . could happy stay look forward return . contact hotel directly young lady , Ashley , kind note request . able give we wonderful room special anniversary celebration life . recommend hotel anyone regardless purpose trip 
 Oct 18 2008 	 Great classy hotel 	 great time small classy hotel . Breakfast include wine snack week spread amazing . deal great gym block away heart East side . another New York trip plan definately stay 
 Oct 15 2008 	 Operalover Elysee 	 travel New York four five time year hear performance MET theater , visit favorite work art museum gallery . speak place dine . ' ve try various hotel South Central Park , friend alert try Hotel Elysée . go first time three year ago , return ever since . staff effective courteous . room clean , especially bathroom plumbing excellent shape . location splendid . one cover quite lot Midtown Manhattan walk door . adopt practice make reservation next stay check , next stay due , receive friendly e - mail reminder . Hotel Elysée become New York & quot ; home away home & quot ; , many year come . 
 Oct 14 2008 	 Hotel Elysee measure review 	 stay 9 - 13 oct 08 . first trip New York . wife take 2 teenaged daughter 4 day NY City . Booked hotel base rating Tripadvisor . dissappoint : quaint , great front desk staff awesome personal service , old clean room , great wine cheese every night ( except weekend ) , excellent free continental breakfast daily , great bed , call fews day advance confirm reservation , book car airport . great restaurant liquor store right across street ! unbelievable location ; 1 block Madison , Park 5th Ave . short walk Times Square Central Park . would return hotel heartbeat . hopefully return , Monkey Bar open ; be close till spring ' 09 renovation . negative 's little noisy night ( welcome New York ) : truck delivery , siren , etc ... bring ear plug . truth , one quieter area 's part stay heart big city . travel lot stay mostly chain hotel . pleased choose hotel experience great personal private hotel service . highly recommend . 
 Oct 14 2008 	 Perfect stay 	 three couple meet last weekend NYC . choose Hotel Elysee excellent location association Hotel Casablance enjoy previously . find overjoyed choice . room floor 4 , 7 10 , appreciate quiet .... real find NYC . lounge perfect meeting place us weekend .... breakfast ample delicious , wine evening accompany wonderful snack day plenty copy New York Times . enjoyable casual italian meal directly across street Cellini . staff helpful respect ... store luggage , give direction even provide wine chocolate due mixup room . can not imagine choose different hotel return New York . 
 Oct 13 2008 	 great place stay NYC 	 fantastic location , beautiful spacious room . staff extremely helpful go extra mile accomodate request . appreciated lounge room computer / printer internet connection , continental breakfast snack day . complimentary wireless internet available throughout hotel convenient . 
 Oct 9 2008 	 New York City Gem 	 stay Hotel Elysee 4 night absolutely perfect . location , charm character , service courteous staff make trip well . fact could slip across road Bill 's Gay Nineties Restaurant Piano Bar add success trip . always come back Hotel Elysee New York City hotel would suggest other look book NYC . quiet , intimate sophisticated gem . 
 Oct 7 2008 	 Awesome ! 	 second trip NYC . stay Affinia 50 2006 decide check Hotel Elysee time . awesome . the staff courteous accomodating . call request balcony ( booking ) although lady speak could promise time , get balcony 14th floor . bottle red wine wait we chocolate ! nice treat couple celebrate anniversary . our room certainly lovely . smell gardenia ... bed comfy fridge available . also get high - end flat - screened tv . hotel offer scrumptious breakfast second floor morning . healthy choice start huge bowl fresh fruit . staff continously replenish food maintain place immaculately clean . experience Hotel Elysee 100 percent positive ! highly recommend everyone . 
 Oct 5 2008 	 unforgettable stay Elysee Hotel New York 	 return 3 night stay Elysee Hotel . the outstanding service hotel room exceed expectation . fact small & quot ; Boutique & quot ; hotel add excellent overall impression . breakfast early evening aperifitif unexpected greatly add enjoyment . shall certainly return Elysee Hotel next trip USA . 
 Sep 30 2008 	 Perfect place stay NY 	 stay Hotel Elysee seven time last seven year always look forward go back . wonderful hotel ideal , yet quiet location convenient everything NY . room comfortable , tasteful always excellent condition . staff friendly , courteous always helpful . really enjoy complimentary continental breakfast lounge . recommend hotel friend family continue . perfect place stay ny . 
 Sep 30 2008 	 Return 	 return first trip NYC . spend four day / night love Hotel Elysee , mainly great location . staff accomodate request room upper level back first night fifth floor disrupt due garbage truck street noise . everything else boutique feel hotel excellent . recommend we friend know other stay return well . 
 Sep 29 2008 	 Hotel Elysee special place ! ! 	 moment arrive , be make feel special give one - on - one top notch service . pleasantly surprised learn upgrade upon arrival . room spectacular ( although true view ) . every member hotel , regardless ' role ' knowledgeable extremely courteous . character hotel truly one kind ! 
 Sep 24 2008 	 hide gem New York 	 second time . quiet ; room nice clean . rather small personalized hotel . hoard people hotel store , big lobby . Bathroom work well- shower great . excellently locate . friendly staff . quick check - in check - out . trouble use web - site reservation system . executive lounge ( available ) comfortable ; breakfast limitd good quality- good coffee . restaurant : Monkey Bar close renovation , plenty good restaurant within 150 yard . hotel price right also seem price evenly- without wild price swing accord occupancy , appreciate . 
