Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Apr 16 2009 	 4 star hotel obviously struggle hotel . 	 whole hotel need updating , room stay good size far deluxe state . everywhere grubby especially restaurant remind we spanish 2 star inclusive food leave lot desire , poor choice , keep luke warm long periodsand well present . wait staff , apart one , obviously find guest add hinderance duty eiher ignore . speak back away table though something important . come Britannia pull sock embarassing think foreign visitor think 4 star standard . stay Premier Inn , far superior ! 
 Apr 14 2009 	 Definately Four star ! would not give one Star . 	 valentine Day partner decide book ' four ' Star hotel previously stay four Star Hilton month . amazing way ( Hilton Metropole - London ) .On arrival Lobby beautiful , reception staff ( day ) grumpy look we scum . head lifts small shabby . hall way decorate relatively nicely . room need serious updating ask non smoking room even though smoker , suprise see ashtray opening window . janitor opende request pleasant man . Bathroom lovely . could get signal tv nothing there . we try eat pizza lounge bar two occasion . encontere guest shout manager bad service food . waitor write order , tell partner would suprise remember , do not ! come back 15 minute later ' what want ? ' . 40 minute later get food pizza look like burn tesco pizza . waitor rude , ignorant train . restaurant three couple seat 100 people empty excuse could give . bar staff ignore carry conversation give cutlery sauce go ask staff disappear . Cutlery turn dirty . order drink forget repeatedly ! ! ! ! fume second night . the good meal walk Gauchos 10 minute away . I would never ever stay , bad service ever encounter , even smile would nice . cleaner however polite . consider price star rating expect alot . would well caravan . location amazing shame put hotel , waste ........ 
 Mar 31 2009 	 Great Hotel Fantastic Location 	 stay hotel twice fiance probably go later year . hotel lovely , nicely decorate , perfect bedroom wonderful bar lounge overlook river . Canary Wharf fab place stay outside city centre within easy travel distance ( DLR tube ) . shopping centre great , variety shop price ! hotel staff always helpful accommodate one actually join we drink one evening ! stay London quite time far good hotel ' ve stay . not put review outside hotel justice inside- gaurantee will love . 
 Mar 19 2009 	 frequent visitor enough though 	 3rd time go say will try find another hotel next time . this hotel leave time , refurbishment take place year . main reason ' ve choose many time location , business / stylish area , access new underground line . however clean room , time leave mark . can not expect room 284 GBP rate ( indicate reception ) kind facility . please bear mind stay two different room , due short trip room bad condition . if expect internet connection , take pair slipper , visit lounge room ( next reception ) connect wifi network . wire broandband connection , wifi , not work properly . I admit hotel top classic decoration great view ( Thames branch river O2 ) , however , ' m sure whether find view mid 2009 , 2010 , new building build close east side hotel ( see www.ballymore.co.uk ) .some photo horrible bathroom main room condition , well great decoration view , : http : //img23.imageshack.us / img23/6274 / britannia.jpgi almost forgot : get portable heater , heating set Alaska temperature level . 
 Mar 1 2009 	 good location great level service 	 second time stay , mainly due price , availability go O2 . room can not comment food - apart say not expect get hot drink 11:00pm - even cup hot chocolate possible apparently . also - anyone allergic caffeine stuff can not decaffeinate coffee - alternative offer herbal tea ! 's look bit shabby day decoration bizarre - even normal hotel standard . ' ve select would recommend friend - note suitable warning notice attach ! 
 Feb 19 2009 	 Bloody awful shabby decor rude staff appal food 	 start go wrong check - in ; hard day work want collapse bed 10 minute grab bite eat retire evening work . arrive check - in chap start check process half way , without say word disappear never see ! eventually someone else pick process check in . the decor shabby throughout , hotel motion sensitive light corridor not work properly leave public area semi - darkness ( safe feel woman travel alone London ) ; door slam loudly make horrible racket . the decor room dreadful - taste , style - recommendation - leave curtain open focus view Canary Wharf window . not even want think stain wallpaper room ! 's sound insulation hotel near Docklands Light Railway noisey train . the bed uncomfortable squeak loudly much twitch finger . shower mixer tap attachment - power , way thermostatic control , twiddle tap alternatively freeze scald miserable dribble water . the ' complimentary ' coffee insult - ' m sure brand not even think Lidl 's would stock it . as food - heaven sake not eat ! be surround area fabulous place eat not one . shockingly poor quality ridiculously high price . there Holiday Inn Express far less per night less pretention - hotel know get reasonable value money . 
 Feb 16 2009 	 okay would call four star ! 	 read mixed review Britannia International , little nervous would find stay , overall be perfectly acceptable hotel , though would not rate four star . I find staff dealing nothing helpful , friendly knowledgeable . my standard room well - sized , plenty storage space ( triple wardrobe , trouser press inside , two beside chest drawer dress table ) , three pint ( 1.7 litre ) kettle teapot appreciate , though latter would useful tea cosy provide well . whilst room air conditioning , take time switch heating cooling turn on . I think secondary & quot ; night light & quot ; bathroom good idea , though bathroom small , barely enough room washbasin , toilet bath . the corridor rather gloomy , carpet wall dark colour , door , 's much lighting along they . the & quot ; double & quot ; bed comprise two , individually make , single bed push together beneath solid wooden headboard . breakfast hit miss affair , single slice conveyor toaster appear setting & quot ; charcoal & quot ; & quot ; warm bread & quot ; , nothing , not eject toast far enough , fish around toaster pair tong extract ... though could problem output & quot ; tray & quot ; angle correctly . tea coffee breakfast come jug , leave couple table guest help . result , unless lucky enough get jug soon bring , tea almost invariably stew . the window room filthy , seemingly clean week , soundproof minimal , noise pollution inside Hotel ( appear Disco go night stay ) outside ( Docklands Light Railway run virtually behind building , be one main road area ) .In addition , use Hotel 's Health Leisure Club chargeable everyone , even hotel guest , whereas majority similar Hotels ' ve stay include use facility part stay . finally , be price . time writing , rack rate Standard Twin Double room £ 105 ( room ) , rise £ 349 Penthouse Suite ( Breakfast Dinner ) , breakfast £ 10.50 per person continental option , £ 13.50 per person cook option . in view , excessive overall quality Hotel , even allow size room location , would unlikely stay Hotel not promotional rate available . 
 Feb 5 2009 	 make first trip London special . 	 friend two kid decide go long weekend London summer hol . want go see tutinkamoon exhibition , actually disappointed , another story . we decide travel train London easy cheap book advance along hotel , London Eye ticket , King Tut exhibition theatre ticket . want somewhere would easy get everywhere want really , think good nearer Dome go first night not want travel around London first night far . pick Hotel . get great deal . family room double room . we find easy enough get Euston station via tube Hotel , advice buy tube pass either train Euston . not pay son 10 , travel free , recollect correctly may free hotel part deal . anyway view gorgeous large family room , could see Millenium Dome lovely . room spacious beautifully decorate . everything lovely . find staff helpful , advice etc . breakfast everything could require set day , drink small snack require lunch time waste restaurant day mention money . would good evening meal . would highly recommend hotel , especially something want see Millenium Dome . actually walk river Thames Greenich tunnel Thames know even exist catch boat trip Greenich get Tower Bridge . centrally locate want central location hotel pay price . also get tube 3 day pass travel underground rush hour unless pay high price . intend get anywhere via tube centrally locate would still wait . strangely enough first morning daughter 's Geography teacher marry english teacher came stay . apparently go London every summer holiday new hotel would definately use . 
 Feb 3 2009 	 Old Shabby 	 hotel let - book part superbreak package Christmas present . ideally locate travel around city London - expect rest place make fact , however disappointed . parking available hotel reduction rate use stay hotel . £ 21 pretty pricey , take £ 30 + taxi journey get anywhere couple change tube ( ideal lone woman ) ! ! check gentleman nice enough although grasp english language put reception role . we give room adequate tired looking . bed atrocious , squeak loudly much turn page book . wall thin cleaner noisy 7am . the second night eat hotel extremely average service level McDonalds . barman would circle service charge bill buy much cola bar . in summary - book hotel stay unless absolutely . plenty well locate , well value place London . 
 Jan 30 2009 	 good deal 	 impressed hotel , actually try get something near Victoria , price either rocket high , quality trash . place look really disgusting . decide International Hotel pay 60 Euros per night double room , hide charge anything . plus : closeness Canary Wharf tube - 15 minute downtown . price . personal . negative : could not open window almost diye night , hot coulnd't turn heating ; personal bar rather helpful ; not even bother pay 2,5 welness , 's disgusting reallly worth . guess UK people not know use sauna pool . lot sweaty people jump pool right leave sauna - shower , like swmme sweat , be welcome purchase ticket . over , satisfied definitely would stay . 
 Jan 27 2009 	 would never go back ! ! 	 stay hotel group friend whilst london see show , therefore number room book . hotel room shabby look like grandmas living room , although clean , one room damp corner another look like blood spatter ceiling . one meal hotel , eat pizza place , service poor , food burn , cold partially cook , take half hour receive drink complain , waitress extremely rude ! ! hotel reception be not much help either . overall , good experience ! 
 Jan 26 2009 	 good hotel great location 	 read review site shortly day due arrive hotel , experience little trepidation thinking might go . ' m pleased say problem hotel whatsoever enjoyable stay . first impression hotel good location . hotel five minute walk Canary Wharf underground station ( cut building ) ten minute walk around quay ( be unfamiliar shortcut ) . lady serve check - in polite friendly whole process take less two minute . enter room , rather shabby - look 1970 's room would lead expect , find pleasant normal - look hotel room . ok , maybe furniture , e.g . wardrobe , little worn wardrobe not major part hotel stay ! room clean warm 's matter . room also air con , other , find room little warm point turn air con temperature seem little effect . kick quilt work fine though . thing would say single bed quite narrow . work ship ' m use time grab onto side bed stop roll ! breakfast , never instead choose go nearby Starbucks . one evening meal Pizzeria admittedly not impressed , much sister eat Canary Wharf mall point . pizza seem pre - buy thing little flavour 200ml Coke ( small ) cost £ 2 ! ! ! not use gym swimming pool , although intend , can not comment that . I find staff hotel polite friendly , also little surprised consider early review . observe one incident staff member rude guest whole stay ( although people would say one occurence one many ) .Overall though , would recommend hotel . 's location , take fifteen twenty minute get central London underground , really make great value money , especially get online offer ( 3 night cost we £ 165 ) . 
 Jan 25 2009 	 Decent enough 	 stay one night attend concert O2 Arena . hotel overall nice room pleasant comfortable . decent selection eatery hotel . friendly staff . good location get O2 Arena - use hotel organise taxi . 
 Jan 25 2009 	 Old Britannia 	 positive negative review essential right ; hotel : 1 ) relatively cheap -- get real bargain . corporate rate 138 GBP , far much . 2 ) close tube station -- tube station ( Canary Wharf ) middle dockland . be likely long ride away anything come see London . 3 ) desperately need renovation . -- every single piece -- furniture tired chip . television stand low podium ( see photo ) . two people sit bed watch tv , person right will not able see tv leg person leave . desk chair wide gap slat ( see photo ) woefully uncomfortable . bathroom clean , black stain bottom shower curtain fact soap dish look like use ash tray . bathroom door lock miss cover screw ( photo ) . report , double bed two single mattress , disconcert even sleep alone . bottom line : pay next nothing even really want stay Docklands . 
 Jan 10 2009 	 Nice hotel good location 	 stay four night end December , two double room . hotel nice , good location Canary Wharf . room large ( London standard ) , beautiful view wharf large building Canary Wharf . room fine , old . breakfast buffet OK . hotel 3 star , 4 star , enjoy hotel , recommend could find good rate . 
 Dec 31 2008 	 great hotel 	 britannia international christmas 2008 stay double deluxe room spacious clean . fantastic view warf bedroom also bar . drink cheap hotel surround bar . food plentifull good.we get 4 night full board £ 250 , pleased . tube station miute away . shop , cafe bar doorstep . 
 Dec 24 2008 	 interesting international 	 wife spend 4 night hotel enjoy . clean . the room large , huge bed , two single join together . nice bathroom . room bright large window , overlook Canary wharf building former dock water . could see far Dome across side Thames distance . must say Docklands Light railway run fairly close , rather noisy first night get use , not bother we much . main thing get use room get warm , matter thermostat wall turn , still stay around 25c . still spoil stay . ask reception electric fan do immediately . request also deal speedily polite efficient staff , another iron , one room badly scratch somehow [ yes ironing board iron room ] . indoor pool not get chance use . go West end every day DLR Jubilee station short distance away . although centre London , would recommend hotel sensitive noise -- outside . 
 Dec 7 2008 	 ok nothing nothing less ok 	 tired hotel need rejuvenation ! return long weekend International ans could great hotel . tired need ot TLC . room ( furniture / bed / bathroom ) appear ' so last century ' least reasonaby clean , tired looking . breakfast 2 morning perhaps great let - down 4 - star hotel . small area small / poor selecion ( sausage good though ) , par even 2 - star hotel . atfer 9 get busy , enough coffee / tea , table noet clean ( insufficient staff ? ) . 5 station tv ( cable / satellite ... .... ) . staff friendly keep wild wedding party check . wifi internet room . location fine , 5 min Canary Wharf DLR / Jubilee line . Great Resaurant mall ( Le Plateau ) . anyway 4 start currently i'ld give 2 . cos houseclean try room 815 sunday - morning ! ! ! ! 
 Nov 25 2008 	 Princes Trust Dinner 	 firstly stay hotel thank god ! attend dinner dance aid Princes Trust . cold tell you . it black tie lady wear gown dress bear shoulder . foot like block ice try turn air con make worst.the food come fine cold straight away thing make indian hot spicey . everywhere toilet upstairs downstairs freeze . in foyer chinese guest sit glove coat uncomfortable . get chill work that s write this.also date hotel would happy stay 
 Nov 25 2008 	 pleasantly surprised 	 wife return weekend break London ( 2 night ) . pay total £ 184 two night International , include return ( Standard Class ) train travel Nottingham . see recent review hotel ( book ! ) somewhat apprehensive accommodation . pleasantly surpise find hotel meet need . room good size , clean well - decorate . aircon bit substandard quite tolerable . hotel excellent location , easy access good eat facility . therefore not make use hotel breakfast / dining / bar facility . underline positive view place , book early new year . 
 Nov 21 2008 	 4 Star ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 11 	 Booked Superbreak experience hotel awful . even though hotel Docklands couple tube centre town , book picture look fab hotel mean 4 star . book Executive Room really look forward theatre break . show great . room awful . room furnish tired broken chip 1980s furniture , picture break , bathroom dirty , grid waterjet break pubic hair . awful experience . staff friendly speak poor english swimming pool tiny compare website picture . four star hotel . 
 Nov 17 2008 	 think carefully get cheap cheap ! 	 tag line hotel & quot ; Striking Modern Hotel situate popular Docklands area & quot ; . ok heart dockland strike modern ? initial impression hotel approach large brown loom building look like old 80 's office block . attractive night time shot display website take across water . read somewhere build 15 year ago say modern joke ! date internally , think 1970 's poor attempt oppulence ! book internet website get two double room 65 pound per room . think limit look spending . price reception state excess 200 pound per night pay would mad . would angry rest stay ! state 4 * realistically think 2 * . reception date - glimpse thing come ! check notice nearly everyone else appear internet booking . term staff friendly concierge helpful . bedroom do not appear update since hotel open . reasonably clean however duvet cover small rip establishment would expect repair replace . 6 footer careful low slung chandelier precariously position window - beware mild concussion ! window dirty outside quite possibly like interior have not clean since opening ! may good view somewhere hard tell ! per many review air con do not seem make diffrence temperature room late October be not bother . hear DLR late night early next morning much intrusive . suppose one negative conveniently doorstep . put Disturb sign maid seem 7 be not bother right check 11 . use hotel base attend gig O2 arena fit purpose perfectly . canary Wharf five minute walk away O2 one subway stop away position hotel perfect . price Hotel bar reasonable London , 3 pound bottle beer . compare pub around corner pay 4 pound pint beer ! do not pay breakfast instead go shopping centre Canary Wharf lovely meal alot less money ! summary , would use hotel go O2 could not find one nearby money . book less 80 pound hard argue price ! do not go expect 4 star simply ! be use short stay give go get cheap . be never go rave friend hotel hopefully be go talk wonderful gig see O2 brief visit merchant London . hopefully review helpful , good ! 
 Nov 15 2008 	 oh dear ! go anywhere else 	 10th-14th Nov 08 . book stay hotel via hotels.com give average price £ 174 per night . pricey yes 4 * Canary Wharf must good , right ? well , press confim button website find have charge extra £ 30 per night & quot ; hide charge & quot ; 100 % cancelation fee . need room week dicide although cancel transaction via credit card provider find somewhere else not worth effort . wrong . apon arrival hotel like step back 1982 , would guess last time hotel decorate . flowery carpet , badly varnish wood , fake gold brass everywhere . 's delusion 's grand fact word describe Tacky . book double demand different room confront 3 single bed instead . even call double move 2 single bed push together . hotel website offer wireless broadband throughout hotel lie work lobby area slow dial - up . air conditioning throughout hotel awful even set mine low temp turn fan room never 26 . gym advertise open till 10 close 9 everyday air - conditioning problem feel like run sauna . seriously price lack facititie comfort . avoid HOTEL ! 
 Nov 14 2008 	 WHORST HOTEL CANARY WHARF 	 certainly bad hotel stay ! ! ! ! ! ! 1- not mini bar 4 * normal2- double bed 2 single bed put together sleep one side otherwise feel junction unconfortable3- decoration hold hotel desperatly need renovation4- breakfast : hot chocolate do water table unclean5- not look sheet bed find spring box whole dirty .... let us try find something good say ..... mmmmmm .... can not find anything ... tube station far .... bad hotel Canary Wharf ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! stay 
 Nov 6 2008 	 comfortable clean hotel . 	 book 3 day 2 night London Spectacular National Holidays travel Ashton - Under - Lyne . would recommend trip age wish visit London . clean coach friendly driver . drop good location London . hotel stay International Britannia situate Docklands area London . hotel well situate underground dockland light railway also large shopping area . hotel clean room warm well furnish spotless . 9th floor overlook front hotel could see london eye distance site . stay room face rear hotel overlook water experience noise dockland light railway . Tip ask room overlook FRONT hotel . arrive 31st Oct bitterly cold weather . hotel bar area resturant cold lot people sit coat . bedroom warm ind . temp control . bed breakfast evening meal good food tasty hot . really sure expect reading review must say enjoyable stay hotel would hesitate recommend . 
 Nov 2 2008 	 not stay ! ! ! 	 well new husband decide get away day mini honeymoon state book , therefore expect get kind special offer free fruit basket nothing . get ask want pay upgrade check . proceed room 10th floor drive 6 half hour ( obviously knackered ) get nice surprise- door would not open . go back reception make feel like stupid keep ask use key card right ! ! ! give we new key happen thinking right send somebody we . they say would get fix get back look around london . hour later tell fix . tell problem door would move room never happen . we get somebody let we room 2 day stay annoying . the bed uncomfortable pillow - what pillow ? ? flat unbelievable use spare aswel ! staff unhelpful , not smile throughout stay order room service sigh way order frankly could not bother . ask french fry burger extra portion receive burger crisp ! extra fry , tired argue though walk around london tubes tire i m 5 month pregnant ! check do not even get goodbye ! £ 42 parking ridiculous ! hotel still open beyond ! never stay ! 
 Oct 17 2008 	 good 	 stay hotel 3 year ago would recommend then . do not know happen since , will not stay , review already say all- hard bed , poor breakfast , general need overhall . stay breakfast early otherwise self service area get crowd . feedback forms- say something I . the plus within Docklands- may suit visit commercial centre . 
 Oct 17 2008 	 name not enough 	 stay 4 night Britannia near Canary Worth business definitely never go back . the decor , furniture facility really appal hotel standard : safe , minibar , alarm clock , wi - fi , loss water pressure , poor AC ( 28c room ) . ok simple leisure hotel / B & amp ; Bs , hotel aim business market pay ( & gt ; 120gbp ) .But final straw come bill : charge breakfast never take ( £ 14 ) , pay £ 4 soft drink bar ... £ 50 12min - phone call ( Europe ) . rip - off ! 
 Oct 6 2008 	 date decor uncomfortable bed terrible . 	 stay part competition prize two night week , upgrade jacuzzi room . room large comfortable good furnishing share balcony well well feature bathroom spa bath . room , ( actually 12th floor ) actually access via small private staircase 11th floor , may issue mobility difficulty provide additional measure privacy isolation main corridor , connect door adjoining room securely lock presumably unlocked create large suite two room . the décor throughout good condition , outdate - rather chintz combination pattern wallpaper carpet area , although corridor show sign refurbishment . breakfast serve restaurant , hot , fresh plentiful good range available . ' spindles ' , health club within hotel available guest additional charge , clean seem well run , pool small adequate spa , steam room & amp ; sauna fine . the hotel advertise WiFi availability public area , available provide fast reliable service bar lounge , popular several user time day . signal available room upper floor , unable use despite computer able connect . unfortunately , element detract stay - bed double advertise ( rather ' two single zip together ' mention reviewer ) , uncomfortable could noisy lead poor night sleep . air condition also function , although room fan work prove element air circulation cooling . overnight balcony door could open additional cooling , Docklands Light Railway run past front hotel start operate sometime 6 am noisy . the spa bath room work well , integrate shower , low power adequate clean oneself . the staff friendly , helpful professional time , competent concierge service available well . hotel good transport link short walk DLR London Underground station provide rapid link centre London rest Docklands area . hotel car park , also additional charge . 
 Sep 20 2008 	 Poor Quality 	 stay one night group colleague hotel really need go back Basics . check staff not tell breakfast times restaurant . receptionist also seem confused booking . bad , however , follow . although room bit fade , main problem lack air conditioning . despite September London , temperature room 26.5c . apparently , air conditioning hotel work time ! could get window open ask fan , turn quite small . window open hotel , traffic noise loud , especially Docks Railway . other complaint - bed hard uncomfortable buffet evening meal mean cold gammon cool vegetable . breakfast , one colleague find long black hair mushroom . lunch day poor , could eat salad roll . if not stay , look alternative . 
 Aug 27 2008 	 husband never come back hotel 	 thing husband like hotel view room room quality , service , staff attitude , food poor room ' modern . money pay room expensive , think hotel 2 star 4 star . 
 Aug 27 2008 	 good .... 	 common review disappoint overall condition room . poorly appoint bathroom , terrible bed , non function aircon lack interest reception staff . and noise .... get anywhere near cool ( even bad summer ) force window open 's noisy sleep . choice - boil alive night keep awake general city din . Buffet ok actually quite good value bar good . breakfast standard help fare , ok nothing special . well budget hotel area . 
 Aug 22 2008 	 avoid - worst stay life ! ! ! 	 wife stay 2 night absolutely shock condition hotel , attitude staff cleanliness room . room nightstand break handle , tv stand break . upon get bed find hair bed , not think clean room much . also ask 6 am wake call appointment set follow morning never get . night depart inquired & quot ; flat - fee & quot ; taxi heathrow , tell need book 11 pm . upon return dinner ( 9 pm ) go front desk book taxi 8 am , wake call ( work time ) . follow morning upon go lobby door man came we tell we taxi ready take bag put car . upon arrival airport tell cab flat fee taxi , cost significantly flat fee . since call hotel understand happen basically say book taxi . people phone make snide remark must stay alot hotel flat tell error , simple apology would suffice . find extremely frustrating . happen stay alot hotel business , never stay hotel quite bad . idea claim 4 star , stay well 2 - star establishment . 
 Aug 6 2008 	 okay Business Travellers 	 stay International 2 night business Docklands . August 2008.check fast welcoming . staff friendlyroom comfortable generally clean , like reviewer room would benefit little TLC spruce . nevertheless requirement need provide , trouser press , tea / coffee making , tv etc . would like breakfast include £ 105 per night . not try breakfast £ 13.50 find great deli Harbour Exchange Square ( Bacon sandwich & amp ; coffee £ 2.90 ! ) overall business traveller need reasonable base Docklands International would satisfactory . 
 Aug 5 2008 	 Loved Hotel 	 reading review hotel bit worried expect , stay 1st & amp ; 2nd August 08 , come conclusion reviewer must exceptionally bad experience . pay £ 99 per person include breakfast transport South coast . room quite large fantastic view canary wharf O2 Dome ( 8th Floor ) , clean everything could need short break . air conditioning work fine , keep day make room nice cool turn night . go round Canary Wharf museum first afternoon decide eat hotel use buffet / carvery think £ 15.00 . starter include soup , smoke salmon , mussel , smoke fish , ham , cheese load salad bread roll , main carve beef , chicken BBQ sauce salmon cream sauce many veg roast potato actually crispy . sweet plentiful nice plate cheese biscuit . go pay £ 12.50 good 4 * hotel London . ' think would every night good . buffet breakfast next morning also good thing would expect hotel breakfast , ample quantity quality . staff friendly helpful time bar happy hour 7 - 8 o'clock . the tube 5 min walk use river boat hopper 8mins walk take central London , return 12.40 early Sunday morning go show . experience would without doubt stay . party 4 , 2 mid 40 's 2 pensioner . 
 Aug 2 2008 	 not stay 	 ok hotel not terrible bed . mattress lumpy , hard worn . husband spend four sleepless night . ask upgrade pay , say room bed , even suite . back favour not stay ! 
 Jul 25 2008 	 Terrible Hotel 	 Shabby room , shabby service , shabby food ! ! ! thing go location , shall never stay not cheap ! ! ! Claire 
 Jul 12 2008 	 poor value money 	 rubbish hotel . live location close heart Canary wharf . mop business traveller like without try hard . I ' m guess decor instal heyday rapid rise area , tacky faux gold plate everything would consider opulent . flock wall paper vomit induce carpet look like dream one Oscar Wildes camp moment . the room shabby . the staff , however , polite efficient . I pay GBP239 basic double room . thoroughly ridiculous price poor hotel . 
 Jul 10 2008 	 great hotel 	 hotel excellent . go July 2005 sister . option , remove original hotel close subway station blow terrorist attack . hotel receive we perfectly . efficient check - in check - out . problem : ) want make phone call leave guarantee amount GBP 750 , well use safe box ; b ) continental breakfast , although clean , bad taste : choose british breakfast eat well . hotel far center half mile huge commercial center train / subway station . generally , excellent choice . 
 Jun 29 2008 	 truly awful hotel 	 one bad hotel ever misfortune stay in . it 15 year old terrible condition . the air conditioning first room offer work ; speak manager offer upgrade slightly cool room . however , chat concierge find air conditioning hotel cope busy . top tip : get room easterly view not get sun heating room evening . the bed mattress ruin , cover stain . overall room clean depressing place spend time in . this hotel cheap budget hotel offer far superior product . 
 Jun 17 2008 	 nice hotel comfortable bed ok location 	 Hotel nice , clean lovely view Canary Wharf . visit London outside UK , would not reccommend find local tube link night could difficult . nice stay near Christmas close Canary Wharf Ice rink . hotel comfort plesant . would not pay £ 80 night though , get well hotel Centre West end . 
 Jun 13 2008 	 Great Location O2 Arena 	 look hotel attend event O2 Arena find Britannia International Hotel hotelstayuk.com . rate highly competitive , location great comes highly recommend ! book . 
 May 29 2008 	 would recommend weekend break ... 	 stay hotel weekend find lovely , great tube network city centre 2 tube within 4 min walk hotel .. room balcony great view river Millenium Dome .. drawback nothing around hotel , office district , bridge Canary Wharf find lot restaurant shop , bar nearby hotel bar basic , seat comfortable big sofas overlook river , travel alone nice go evening feel comfortable sit bar sofa reading .. restaurant not great hotel ... breakfast finish early enough , buffet dinner night not great money pay , italian restaurant bit poor presentation , positive note hotel clean spacious friendly 10 min city centre .. would stay would recommend base anyone want go city day come back chill night.once look anything wild good clean safe base London 
 May 23 2008 	 stay 	 hotel date need overhaul . a / c work room , upgrade slightly large room ? c also not work . Decor stripey wallpaper garish carpet . in - room hairdryer rubbish . shower fall bracket , put around dribble week . Staff appear care , apart time take money . bar snack / crisp , minor issue - hotel handy O2 arena , concert beer snack good thing . the next morning housekeeping lady knock room door four time 7:15am 9:00am looking get clean . housekeeping room service trolley park outside room noise awful . I would never , ever stay , certainly would recommend anyoane . need gutte , re - furbed start . 
 May 17 2008 	 Excellent 	 Excellent . book online get fantastic deal , upgrade executive room arrival reasonable fee . fantastic view , fantastic service . shame pay guest pay car park 's virtually street parking local area . 
 May 13 2008 	 location pretty well 	 Lobby ok quiet check mid afternoon 3 night . think upgrade executive double bed dreadful - spring pop every time move poke , husband 's foot several inch end bed . furniture date look dire need refurb . hotel lastminute.com 4 star . breakfast like poor canteen standard . ask river view get great one 9th floor DLR noisy - thing would ever take back great location Canary Wharf Jubilee line DLR . sample breakfast find alternative along bank river - much pleasant ! 
 Apr 23 2008 	 okay nothing special 	 stay business two night , know place go nearby food drink etc happy stay . reception area hotel nice , comfortable clean . room ( standard double ) fine , air con seem stuck force hot air , make first night stay hot uncomfortable . report reception advise aware problem offer open window fresh air . cool room get problem noise Docklands Light Railway train 5:30 . also reception aware problem , fix ? breakfast pretty standard fare , cook continental buffet serve purpose without great . there plus point hotel , car parking £ 15 per night , 5 min walk Jubiliee Line DLR get central London . selection shop bar etc Canary Wharf , 5 min walk , drive hotel fairly stress free outside London congestion charge . it fine couple night , however not go expect fantastic luxury fine dining . 
 Apr 4 2008 	 great - can not believe 's place describe review 	 return yesterday business trip . not choose hotel read review beforehand , horrified expect awful would probably need move hotel . could not wrong . maybe lucky get decent room ( 634 ) ? ... balanced review stay . check - in swift ( although colleague report front desk slow confusion booking ) hassle - free . lobby hotel pretty grand - chandelier , marble table , vase stuff , bar view water . the room average size . clean , comfortable . decorate modern style , definitely dirty shabby fade . bathroom tile / marble effect ; clean reasonable size . bed 2 single bed push together , although sleep across not problem divide ( do place bed push together ) . room hot , hot window non - opening . aircon not seem responsive , although , fair , not try query member staff . hate hot room can not generally sleep one , seem calm night like light , problem expect . room face towards dome dlr track . could hear train go past , not particularly intrusive , run less frequently night , certainly not keep awake ( ' m good sleeper ) . Breakfast ( choose option ) serve overlook water . buffet extensive ' ve come across certainly adequate . tea , coffee , cereal , bread , cold meat , cheese , juice , fruit , selection cook item . not cook item look nicely cook tempt . check - out quick easy , pay parking . the hotel well locate . 5 minute ' walk get Canary Wharf station , connect wide London transport network via Jubilee Line DLR . despite fairly central busy area , quiet night . I go expect bad , bad thing pleasantly surprise . pay money go pleasure rather business would also happy . not know mine isolate happy experience , would like give comfort time reflect critical review . hope help ! 
 Mar 14 2008 	 's okay 	 room little scary many haunt picture hung wall . shower problem spend several minute adjust right temperature . a / c vent sometimes make noise . fridge room tho . the good location give room clean would give 2 star , otherwise 1 star price . 
 Mar 3 2008 	 Go ymca 	 stay business trip 5 day able get usual hotel . business travel department tell may complaint problem hotel . hear say well stay ? ? ? well foolishly think can not bad ... Canary Wharf must half decent . wrong be . firstly problem check concept charge everything back company account alien . speak like 2 year old explain much allow spend night - find quite rude . force discuss room charge everytime order something get right .... eventually get upstairs , want sleep . walk room like walk Blackpool B & amp ; B . gaudy tired interior depress tv . four channel , 2 one channel 5 stick frozen picture 2 day .... well do not miss much come back anyway . the bed like sleep park bench . spring completely go single bed push together . force sleep top bed , hope polyester quilt would soften bed make hair go static . I order breakfast read another review complete rip ... agree . back B & amp ; b breakfast tiny glass orange juice , 2 piece toast fudge ( suppose fruit ) yoghurt , grand price £ 13.50 . nice one . meal general bad , microwave rice , rock hard garlic bread , dirty look chicken ... £ 3.00 half pint diet coke . the thing keep sane hotel pool . quite small - 4 stroke you re .... one way staying room . please reading - go stay somewhere else ... someone need shut hotel , start . old dirty lack basic get new cheap hotel . do not waste money . 
