well 	 stay Priceline rate good experience . first , put 32nd floor one good view Montreal ' ve . ( we Priceline regular usually expect something low floor view parking lot . ) second , bed fantastic . third , right top Metro . yes , room date lobby seem bit fuddy - duddy be 40 . overall , would mind stay . 
 Jul 5 2008 	 Disappointing Hotel 	 Hotel 41 year old show . staff unhappy show . book hotel ensure decent place stay near Montreal attraction . word advise : expect Marriott Hotel quality , prepare disappointment . begin park . priviledge , $ 15 trip garage . word advise , save money park excellent parking spot right street need hour hotel head . parking elevator threadbare carpet smell like wooden elevator 50 's . hotel sense decay - look like upgrade long . room could quite rapidly frustrate traveler half moon curve design glass , ancient AC control room seem hiss turn . seem claustrophoic - almost like guest fish aquarium - you almost expect visitor look curve glass folk live hotel ! bathroom tired . old marble , bad bathtub , huge shower head . bad , staff seem frustrated , concierge front desk . every answer receive curt & quot ; & quot ; , trust , least demand folk planet . disappointing stay Montreal Marriott Chateau Champlain . 
 Jul 4 2008 	 wonderful stay 	 book hotel hotel flight vacation package , would estimate hotel cost around 150 per night . think amazing deal beautiful room , extremely clean , good sized outstanding view 23rd floor . pool wonderfully warm , staff friendly , hotel location great inside access metro short block St. Catherine 's street . absolutely stay . 
 Jul 2 2008 	 Nice hotel not love location 	 many review suggest Marriott great location Montreal . use car , walk everywhere , prepare WALK ! Marriott 25 minute walk Old Montreal , 25 minute walk Jazz Festival area ( occur first week July ) ... be Montreal , ton walk day ( bring good shoe ) . , would stay Old Montreal , happen , really hub City . great hotel though , positive thing say hotel . warn folk like walk will ton stay . 33 good physical condition , not underestimate sentiment ! also another little tip will not use car ... bring small cooler bunch bottled water , save dough way . I must note however , Metro subway stop hotel , be , help . 
 Jun 23 2008 	 convenient great Marriott 	 travel Montreal quite often work trip pleasure decide book something close train station . like people note , major plus hotel extremely convenient major downtown attraction Metro . however , hotel start show age . room clean surprisingly hotel 30 + story , elevator efficient . bathroom tiny ( like Red Roof Inn tiny ) design room late-70 like . also complimentary breakfast restaurant although buffet quality good , manager seem stern staff overhear conversation staff member guest , morale pretty poor . would stay ? probably , location excellent . 
 Jun 5 2008 	 average slightly average downtown Marriott property 	 wife , 2 year old daughter , use point stay Montreal Marriott hotel . get late first night call ahead hopefully upgrade since ' m platinum least cot daughter . upon arrival Airport , get basic high floor upgrade room cot not ideal 2 year old 1 am morning . however , call , cot arrive pretty quickly . our room update many year although bathroom large size . seem perhaps floor update recently . the concierge close weekend give we free coupon breakfast buffet Saturday Sunday . overall good buffet option . Monday morning , lounge back open average breakfast upstairs . the location hotel pretty good although area feel bit date . convienent near train station however . so summary , hotel work fine since stay free point would not go back business trip Montreal . need pretty major renovation bring speed Marriott hotel point . 
 Jun 3 2008 	 good great 	 move business meeting stay Le Square Phillips . move chic club fern bar . one plus large exercise room pool ( keep quite warm like sort thing ) . another nice thing hotel minute walk train station shop restaurant St Catherine 's street . nice room , friendly , good location ... well choice Montreal . 
 May 25 2008 	 Nice 	 find Marriott Chateau Champlain nice hotel convenient location explare Montreal . room good size though bathroom much small side . show hotel build sometime 60 even though room nicely renovate age show structure common area . nothing negative end still reason make full 5 point . hotel conveniently locate downtown Montreal within walk distance mostly everything ( especially downtown core Rue Crescent Old Montreal ) short cab ride trendy street Boulevard St. Laurent Rue St. Denis . also directly connect Metro station vast underground Montreal complex link many main building shop complex downtown core . good bad weather . there also restaurant directly hotel use - many good reatsurant Montreal - feature pool fitness area relaxation . overall nice bit old fashioned hotel without real personality . look charming boutique kind hotel would stay elsewhere otherwise nothing keep return . 
 May 19 2008 	 great elegant hotel - bit old fashion 	 pro : + centrally locate , easy access Metro station lift lobby.+ walk distance shopping area , bar , restaurants.+ hotel staff : good service front desk , lobby , restaurant bar.+ Comfortable large beds+ Buffet breakfast+ good soundproof room+ good amenity room+ clean room hotel facilities+ room furniture good shape conditioncon : - room bit old fashioned elegant one . I enjoy much hotel business trip Montreal . hotel good location business , pleasure sightseeing . hotel staff good service . good hotel nothing negative say . stay next time . recommend take buffet breakfast good value . one minor & quot ; problem & quot ; one evening come room , bedlinen , sheet change request morning . ( hotel save nature change sheet every third day , unless guest prefer daily change ) . make quick call change fast . well do . 
 Apr 28 2008 	 Nice Hoel 	 stay first time Marriott Chateau Champlain 1998 , since stay visit Montreal . nice room nice view downtown montreal ( ask otherwise may end look tower ) . dine good well . always free Internet , area convenient . aerobus pick drop from / to airport . negative , hotel get old need renovation . 
 Apr 25 2008 	 elegant convenient shopping 	 Marriott Chateau Champlain seem provide perfect answer grandmother twelve - year old granddaughter shopping expedition . hotel face green space elevator , ostensibly shop , really metro tunnels shopping center . scour . room 10th floor . pretty standard room regard size furnishing , pretty appointment . dress area nice bonus . we could walk block shop Ste . Catherine , area heavy business building , though Queen Elizabeth near fancy tea luxury . stadium also around corner . I recommend Santa Lucia good pizza . share one salad , perfect amount . 
 Apr 16 2008 	 Great Location 	 stay Marriott Chateau Champlain 3 night April . second time stay hotel . main reason chose hotel other location . close every place interest amenity . there lot elevator practically wait get . room clean bathroom decor need update . bed still super comfortable sheet top quality . reception tv need look ... connection free wifi - hotel change way access wifi . , access valid 1 day keep log onto password - hassle something free . in , would still consider stay hotel next visit Montreal . 
 Mar 24 2008 	 excellent central location 	 stay hotel 4 night March 08 . half - moon window room ( 30 floor ) know locally cheese grater . two visit 2 night , separate 10 day . arrive 7 March please choose hotel afternoon / night 8 March , Montreal enormous snowstorm - one big decade . fortunately able disappear Underground City ( RESO ) beneath hotel escape bad weather . fortunate give room 26th floor overlook park first visit 9th floor second visit . wonderful view . room huge 2 double bed still find plenty room move around - be Europeans use small room anyway . standard housekeeping excellent storage space clothe belonging generous . first night eat hotel restaurant . food pleasant overprice ; australian chardonnay wine cost we 12 $ ( + tax service ) large glass , think little excessive . remain 3 night eat elsewhere - montreal huge range great restaurant many close hotel right heart downtown area top metro station . particularly impress friendly front - desk staff , bellman ( be work 40 year certainly will not call bellboy ) porter , stand outside weather resplendent winter clothing . we happy hotel definitely stay , particularly be sort place remember know would get warm welcome , regardless weather outside . 
 Feb 6 2008 	 go ! 	 Chateau Champlain excellent choice Montreal . though perfect minor aspect , general quality definitely outweigh little flaw . PROS : view : every room equip semicircular kind bay window ( without partition ) , provide stunning view Montreal 's skyline . elect stay hotel , indulge request room high floor . single feature worth price pay . location : close everything . grab shoe walk virtually interesting spot city . also - minor advantage - hotel link metro , Place du Canada , CN train station , Place Ville - Marie ( one Montreal 's high skyscraper ) Place Bonaventure . hotel Montreal directly link metro station many shopping center . furnish / decor : like traditional . case , , go along Marriott Chateau Champlain . upon enter hotel , greet invite , spacious classy hall . room , except spacious attribute . get room guess consider basic . nevertheless , furnish par North America 's high standard . overall , room state perfect cleanliness , smell incredibly good look elegant . Marriott get we use , new bed sublime . every room feature spacious walk - in lot drawer . contribute reduce size room , undeniably useful . service : bellboy incredibly efficient luggage . vast majority staff member encounter oblige competent . still remain exception ( see con ) . maid service flawless . comment room service since use ( valet ) . fully non - smoking property : personally mind , stand smell cigarette please hotel . guest ever smoke room , hotel apply 250 $ penalty close room intensive 1 - day cleanup . comment pool , look fairly good first glance . still con : size room : true room small side . would say small usual hotel category . party two , suspect would feel little cramp . bathroom : though spotless cleanliness , bathroom look overly outdated . really care , ? on - site restaurant : hotel restaurant ( Samuel - de - Champlain ) stuff large , dimly light room high ceiling window . food okay , price reflect that . service : staff member either underperformant familiar . one night , bartender seem fluent language know North America . plus , make weird comment beer brand order . excessive familiarity lack manner acceptable property . particular aspect , Ritz - Carlton still way ahead Chateau . conclude special note event organizer . hotel certainly fairly decent choice next event Montreal , remain alert . banquet manager well intend , ( ) staff severely lack professionalism . personal experience , service erratic , room chart always follow , internet access nightmare lighting / climate control terrible . but overall , Chateau Champlain wonderful place spend vacation time . 
 Jan 25 2008 	 great hotel great service 	 Back October friend decide make quick weekend trip Montréal Canadians hockey game look hotel . would relatively close Bell Center sight want see , minor research on - line come across Marriot . closeness hotel arena sell we instantly , along able park garage weekend drive New York . arrive hotel check breeze staff friendly . request upper floor room ( hear view good upper floor definitely true , plan stay anytime soon definitely request leave want miss . ) hotel definitely give we want place we one upper floor amazing view . room self spacious , comfortable clean even two double bed . table two comfortable chair go along big enough two laptop computer sit fight space . also plenty outlet locate room could keep cell phone charge also computer run fight jack either . free wireless internet also nice available fast reliable . someone need stay touch work weekend ' away nice pay service . television even great choice programming watch great way settle long day sight see hockey . also purchase beverage snack enter hotel ( ' definitely want hotel beverage snack quite pricey ) want keep cold . arrive get settle place call front desk request mini fridge within 5 minuet hotel staff arrive fridge plus extra charge room . another plus access Metro right hotel make get around city easy , even though plenty see within walking distance . minor explore upon arrival find quick way get Bell Center actually underground walk way instead head man door hotel leave . also staff helpful try find inexpensive place eat make several suggestion really reasonable place go . check ready leave also quick easy . friend plan repeat trip Montreal October already decide stay Marriot . 
 Jan 21 2008 	 Lovely Hotel 	 husband stay Mariott two night January . treat exceptionally well entire duration visit . check - in go smoothly . room lovely clean , view beautiful . able walk Old Montreal Rue St. Catherine easily . staff helpful gracious . would recommend hotel anyone travel Montreal , either business pleasure . 
 Jan 12 2008 	 convenient location comfortable stay 	 stay five night Marriott Chateau Champlain business December 2007 . stayed & quot ; king deluxe & quot ; room king bed , table two chair , desk one additional chair . room clean comfortable free wireless internet reasonably fast . also tv good selection English French station . the big pro : - Convenience Metro , go elevator behind concierge desk immediately find bonaventure station . either get train walk & quot ; underground city & quot ; without ever go outside.- front desk staff , room service , etc . , speak English well make feel bad speak french.- $ 14.00 shuttle airport stop directly front hotel . beat $ 35+tip taxi ride . the reason rate 5 star price room service relative lack affordable vending machine . typical Marriott fashion , bottle water room run $ 6.00 open . vend machine $ 2.00 small bottle . room service food good overprice . fortunately find nearby pharmacy buy $ 6.00 worth beverage , 4 bottle size $ 6.00 one room . also charge local telephone call disclose information contain room 's information booklet . no comment parking bring car . note , hotel convenient car . would recommend car Montreal snow season . 
 Jan 11 2008 	 Beware Parking 	 Amrericans beware theft underground parking garage ! ! ! check , leave laptop computer trunk car 20 minute return steal along jewelry . hotel take ZERO action rectify situation claim garage ( building ! ! ! ) run another company , responsible . security garage evidently ineffective foreign car easy target . make $ 1500 mistake stay hotel . even refund stay . course action simple & quot ; be sorry & quot ; . 
 Jan 2 2008 	 Tres Bien 	 wife go Montreal annually far comfortable well locate place stay go back 1981 . trip stay 20th floor face Mont Royal downtown area . view wake sun shine mountain , skyscraper Queen World church . Bonaventure Metro stop reach via special elevator near concierge 's desk . within easy walk distance downtown Old Montreal . enjoy . 
 Dec 26 2007 	 Comfortable - yet small - centrally locate 	 stay property visit Thanksgiving weekend . book primarily Montreal , look lodging know previous stay location . the facility whole quite lovely , feature wide range amenity ( e.g. , restaurant , bar , spa , service ) exude feel luxury property , even though quite affordable . breakfast good great service , Senator bar nice place drink socialize . room bit small - even single traveler - feel like may need bit update . clean , comfortable , feature huge , half - moon - shape window provide great view city . the service throughout courteous , friendly , responsive . check - in valet service fairly quick easy , check - out - thank use tv system - convenient . a huge plus hotel location . within easy walk distance shopping attraction , across street Centre Bell . addition , Metro station low level hotel , provide easy , cost - efficient , quick access many sight throughout city . I would stay location amenity , despite small room . convenience access Montreal 's many attraction make stay worthwhile value . 
 Dec 20 2007 	 Memorable Stay 	 two son spend weekend Dec 14 - 17 , 2007 . experience tremendous snowstom 16th , closed airport cancel flight home . front desk bell staff could accomodate . would call , several time morning regular update particular flight condition airport . encourage we remain hotel make trip airport , right choice , everything shut mid day . issue stay extra day keep favorable advance purchase rate extra night . frequent traveler Marriott Gold Member , expectation may high . staff worthy mention . great bunch , appear enjoy job interaction public . say enough hotel staff . 
 Dec 15 2007 	 Traditional Hotel 	 nice hotel traditional look . locate centrally downtown , within walk distance nearly everything . room reasonable size beautiful curved window . lucky enough room face square 23rd floor . hotel 24hr gym convenient , however , able use pool filtering / cleaning . hotel direct access metro ( take lift next concierge ) also connect underground pass . prove handy pour rain . couple tip though , take Aerobus airport stop outside hotel , unless be big party people . also remember although flat fee taxi airport downtown tip expect case , driver ask tip . also , supermarket hard find , nearest one near Place d'art . I would definitely consider stay future . 
 Nov 20 2007 	 Charming hotel 	 enjoy 2 night stay Marriot Montreal . good point include easy access Metro , Gare Centrale Underground City , together breathtake view comfy bed . room spacious staff helpful . may argue 's look date , see traditional - look hotel retain charm . Gym could overhaul though . 
 Oct 26 2007 	 Nice part 	 return Montreal spend 5 night Marriot . ok feel decor show age swimming pool close either : ) heating problemsb ) Filtration problemsanyway close . the bed view Place du Canada wonderful 6th floor ' m sure would even well fron high vantage point . finally , know really hotel problem , Canada get expensive , rise value $ Canada have not reflect lower price , beware shopping , drink , /eating heaven use . 
 Oct 18 2007 	 Perfect Location 	 spend weekend . lovely hotel , right middle everything . room spotless comfy , nice bath body work product bathroom . check breeze . order room service dinner breakfast . food arrive hot delicious , tray collect within hour . eat bar restaurant , look nice . hotel within walking distance everything , take advantage metro locate directly beneath ride two stop Old Montreal . ater exploring , walk way back Crescent Street , back hotel . stop Chinatown way back enjoy treat buy . upon return hotel , see two different wedding two church across street turning , mixed hockey fan make way Bell Centre . area convenient safe . first choice hotel return . bit advice : valet parking $ 24 day , self park less drive around left hotel , see garage entrance . choose valet privilige , due hotel centrally locate , metro directly , never move car check . 
 Oct 15 2007 	 great Anniversary weekend Montreal ! 	 wife stay Marriott past weekend 10th anniversary . never Montreal definitley come back . hotel beautiful locate great location walk distance everything want . wish happy Anniversary check . stay 19th floor overlook city . beautiful night room big window . view include downtown Mount Royal background . staff hotel helpful never worried fact not speak french . visit concierage desk answer question ask city provide map direction . Everything Montreal 's downtown waliking distance park car weekend parking garage get exercise . bell centre block away . St Catherine street shopping couple block . Old Montreal 15 minute walk . great restaurant around . you also see likely ride elevator NHL hockey player stay . past weekend Carolina Hurricanes town . return Montreal stay Marriott ! 
 Oct 2 2007 	 Terrific Stay 	 Marriott Presidents Cup -- -Golf Tournament -- . stay could nice -- room nice staff great -- opt Concierge Level room -- -it $ 29.00 per day per person -- include breakfast , hor d'oeurves dessert . -- -the Concierge Lounge nice place addition room -- really make fun week even enjoyable -- -I would highly recommend -- - 
 Sep 11 2007 	 comfortable bed clean room great view great location 	 stay 6 nite late august 07 . bed comfortable , room tip top shape . clean . need plate knife , housekeeping help jiffy.concierge helpful main lobby.location perfect . take elevator lobby metro , train station 2 block away , city travel info ( 2 block away ) , middle everything . short walk old down / port area head direction get heart downtown , plateau , mont royal.on premise , shop , coffee shop , atm , etc convenient . 
 Sep 4 2007 	 ok bad Marriott Quebec 	 spend 1 night Marriott Chateau Champlain Montreal September 2007 . hotel nice , beautiful clean . slight problem staff . couple , 2 people different gender group even though reserve room 2 double bed , need extra bed . tell extra bed room already 2 bed . really disappointing double bed big queen size one person sleep floor . way tell info almost rude well . especially since come spend 2 night Courtyard Marriott Quebec absolutely love ( problem add ' l bed ) . concierge helpfull well . room fine , big , sunny spotless . not problem noise excuaste time go sleep . valet parking cost $ 24 / day fine . location pretty convinient , walk distance Old City , 30 minute walk Quartier Latin . think next time be Montreal , will look something else though . 
 Sep 4 2007 	 room child 	 book hotel 3 night family - 2 adult two kid - 15 11 . line check fairly long two person reception area . get room , beautiful , much small . bed much soft much small . could barely fit . enquire large room , tell bed size promptly check next morning . would definitely recommend hotel someone travel teenager . 
 Sep 4 2007 	 bad .. bad ! 	 not usually opt Marriott , overall pleasant stay . room decent size view excellent . think one selling point Marriot Chateau half moon shape window . check - in exceptionally quick . stay 4 day encounter problem . workout room quite large compare hotel . 6 treadmill , 2 elliptical machine , 3 bicycle , 3 stepper , 6 different weight station well free weight . also indoor pool . the metro literally underneath hotel extremely convenient get point point b . also , free shuttle take casino . if look breakfast , close option cafe downstairs . opt cafe street locate train station . nice decently price ( sorry do not remember name ) .also , look Underground Mall . 2 block make right Sainte Catherine 's street . enter Underground Mall Gap store , store utilize get destination . if jazz , would highly recommend House Jazz . food delicious entertainment not disappoint . go Michelle perform . believe ... lady sing . so , overall trip great weather nice escape compare bistere summer ' ve experience Atlanta . 
 Sep 1 2007 	 enjoyable experience ! 	 husband thrill accommodation Montreal . initially try reserve room Sofitel Montreal ; , room available request date . decide go Montreal Marriott Chateau Champlain disappoint . drive Montreal Ottawa ( orginially New York ) , pull , porter door wait help car ! check - in check - out , entire experience great . whether go gift shop concierge desk order room service , everyone friendly hospitable . additionally , hotel 's central location put we one block everything go . truly love time spend Montreal look forward take another trip .... stay hotel . 
 Aug 24 2007 	 Beautiful Hotel ! 	 stay lovely wife 6 year old daughter Marriott Chateau Champlain July 2007 July 2006 . visit near perfect , perfect . hotel staff ; include concierge , restaurant , front desk , house keep outstanding . room intensely clean view incredibly enjoyable . bed dream ! bathroom average size , totally complete . breakfast Restaurant Sameul de Champlain near sublime . pool fitness center well maintain totally enjoyable . Access Metro may quickest hotel city . hotel perfectly locate Metro , Old Montreal , St . Catherine St. Bell Centre . often visit Montreal stay Queen Elizabeth , complete hotel consider Chateau Chateau . also comment cost , spend $ 135.00 -138.00 ( ) past two summer , difficult compete , impossible major city N. America . Great Hotel Great City ! ! 
 Aug 22 2007 	 nice hotel 	 great location , helpful staff , get room 33rd floor . beautiful view place au canada church large floor ceiling curve window . Standard Marriott hotel service , would definitely recommend stay marriott old montreal . 
 Aug 20 2007 	 rude front desk staff receive room reserve 	 Booked room 4 request two double bed . check front desk tell rudely hotel sell room one one king size bed . 4th person make sleep floor would bring one bed room ( small room ) . discount amenity offer inconvenience . would recommend second rate hotel anyone . thing go location . many nice hotel around cost dollar ( like Queen Elizabeth - friendly staff nice property ) . pay get . 
 Aug 17 2007 	 comfortable bed nice view city 	 stay partner last year anniversary enjoy much . hotel centrally locate , near attraction one good thing entrance metro inside lobby area , step get elavator- convenient indeed . 28th floor , room nice , bed comfortable oversleeping morning ! . view Place du Canada Dorchester Square unbelievable ! .. overall great stay would highly recommend . 
 Aug 12 2007 	 5 star canadian 	 ten day trip Quebec Ontario , gem hotel compare rest . begin , hotel brilliantly locate major Montreal Metro stop . staff exceptionally courteous helpful , concierge provide we trip - alter information local Montrel event . room clean , nicely decorate , bed comfortable . window room allow wonderful view city . finally , gym open 24 hour day , well appoint hotel gym- multiple aerobic machine include elliptical trainer , well nautilus equipment free weight . 
 Aug 4 2007 	 ok 	 choose hotel 2 reason . 1 ) 's close train station arrive train Quebec City 2 ) access metro station simply take elevator lobby seem convenient . good thing metro station right beneath hotel sure need . like location hotel . seem isolated everything want . Old Montreal simply far away we walk take metro . Rue St Catherine even pretty good hike . we eat hotel expensive . really place eat within short walking distance hotel . either get metro hike . place could find get light meal snack easy walk distance food court train station . the business center computer pay ( $ 7 first 15 minute ) every time want check email . the bed comfortable room nice . bathroom large adequate . like little hallway closet separate bedroom bathroom . if return Montreal , would stay Springhill Suites Old Montreal . 
 Jul 30 2007 	 way 4 star hotel ... 	 ok , will start good . very conveinient right metro . big comfy bed . nice warm Pool . amazing view via U shape window . clean room . good bathroom product . dressing room neat ... bad & gt ; hot tub break , window broken pool area . pool hard find . bathroom SMALL . going love one , good hotel bathroom time together . balconey idea dress get 36 floor . continental breakfast , unless pay 17 $ head . pillow thin alone , high stack . far away anything want walk , except bell centre . money , well elsewhere . love Delta ! ! ! balconey , breakfast , great pool , cheap parking , great ! 
 Jul 29 2007 	 beautiful hotel great room 	 return 2 night Marriot Chateau Champlain wonderful . room 19th floor beautiful view St Catherine 's Basilica downtown Montreal . room first class super comfy king bed , separate dressing area lovely bathroom . everything appear fresh new . staff nice helpful especially restaurant recommendation , direction valet parking . many site interested within walkiing distance , not like walk not access car , Metro right . montreal clean safe city great stroll Old Montreal warm summer 's night ! lovely hotel would definitely recommend ! 
 Jul 29 2007 	 Loved Monreal 	 stay Chateau Champlain two night . overall great . Valet parking somewhat expensive make life much easy family six . check literally five minute . room immaculate condition upon arrival advice concierge full stay helpful . bed great , comfortable . bathroom little small still adequate . eat hotel restaurant . view hotel downtown Montreal Mount Royal excellent find gaze half moon window take picture often room . ask room face downtown great view . proximity various attraction execellent . first night walk China town , Old Montreal , harbour front shopping district within 15 - 20 minute radius . would recommend hotel . 
 Jul 27 2007 	 Great Value Downtown Montreal 	 wife return vacation Montreal . spend 6 night Marriott Chateau Champlain great rate $ 178.50 per night plus tax two double bed ( get rate make non - refundable reservation quite bit ahead time ) . love room hotel . everyone professional helpful . hotel directly connect subway . also helpful concierge service 8 8.the negative coffee dining room . poor every meal eat . 
 Jul 23 2007 	 long stayed enjoy hotel 	 arrive rainy Saturday ( July 14 ) afternoon 2 hour ordeal Pierre Treadeau airport . be another story ! check efficient room within minute . clearly , furniture see well day bathroom average , immaculately clean . bed sublime . hotel switch high quality pillowtop matresse quality linen . switch hotel Quebec City 5 night Marriott , really appreciate bed ! high speed internet access free important teaching online summer class . favorite location people watch hotel bar , major food service well . server pleasant , & quot ; push drink & quot ; .My husband attend scientific conference Palais des Congress . fitness find walk convention center easy one , may 5 6 block . inclined walk , 2 metro stop . one make trip never step outside . would pity weather fabulous Montreal gorgeous city . hotel 3 block major shopping district , interesting blend designer shop locally own & quot ; mom pop & quot ; operation . 
 Jul 22 2007 	 comfortable stay 	 stay hotel time , always find comfortable place stay . check go smoothly , friendly , helpful service throughout stay . room pretty standard , maybe little frayed edge , clean . bed really comfortable duvet rather blanket , always consider big plus . not use minibar , be nice fridge available . can not speak really low floor , room ' ve see floor 14 ahd really nice view city . good location , walkable different eat shopping area . would definitely continue stay ' m town . 
 Jul 22 2007 	 Loved Marriott Chateau Champlain 	 husband , 12 year old daughter arrive Montreal train July 13 , 2007 . hotel walk distance train station 's easy spot hotel train station since be describe look like cheese grater . plan drive Quebec City Saturday morning stay Marriott Chateau Champlain one night . . avis car rental office minute walk hotel . we 10th floor beautiful view city . book room Hotel 's website $ 149 plus tax . room nice dressing area bathroom . nice breakfast Rueben 's 5 - 10 minute walk hotel . another good place breakfast Cora 's . far Reuben 's . oatmeal delicious . eat return Quebec City . stay Queen Elizabeth return 's right train station , preferred Marriott . ever Montreal , would definitely stay Marriott . 
 Jul 17 2007 	 first time visit Montreal 	 first visit Montreal wife along two teenager . initial impression lobby little disappointing , do not work give ' wow ' factor . reception staff efficient friendly book we Concierge Level room . allow use 35th floor private area snack drink available part rate throughout day continental style buffet breakfast serve - fresh fruit salad great .... view fantastic area 2 internet pc available use , although prettty busy around breakfast evening ! bedroom large view city water comfortable bed . room could use upgrade though do not look fresh , wall paper start peel area everything clean work . hotel also gym seem well equipped , although do not use . ' SPA ' modern standard pool could major overhaul . have metro station locate hotel handy less 10 minute walk Rue St Catherine long shopping street . Montreal lovely city fortunate Jazz festival . 
 Jul 4 2007 	 Excellent stay Marriott Chateau Champlain 	 recently stay Marriott Chateau Champlain two night , andenjoye immensely . try decide hoteland Marriott SpringHill Suites Old Montreal Le Square Phillips , finally decide Chateau Champlain able get amazing rate $ 125 / night american dollar . encounter excellent service start finish , especially impressed Patrice , member concierge staff exceptionally friendly helpful . standard room two double bed ninth floor overlook park downtown area . enter first room assign , noise air conditioning unit overwhelming move another room floor instantly , appreciate . view fantastic unique floor - to - ceiling round window . room comfy , shower lot water pressure hot water , bed great . ask foam pillow replace obtain we within minute make request . the first night people next door we spend 15 - minute period slam door ( not know ! ) afterthat everything quiet could not hear noise . we happy choose hotel reason excellent price . couple block downtown shopping area pleasant 15 - 20 minute walk Old Montreal . glad not stay Le Square Phillips , despite greatreview get site , right heart downtown . would great location , prefer little peace quiet Chateau Champlain right distance hubbub we . , great stay enjoyable hotel . 
 Jul 2 2007 	 Hotel Yes Food 	 good : think bed comfortable . room clean well maintain . Marriott across street Metro station 2 Metro stop Vieux - Montreal area , within walk distance jazz Fest McGill , easy spot give height & quot ; cheese grater & quot ; appearance . the bad : although restaurant service presentation excellent , food range good ( breakfast , burger ) unimpressively average ( Veal , Creme Brulée ) .The Room Service menu extremely limited . food arrive promptly , lukewarm . front desk staff remind Parisien front desk clerk , helpful quickly tackle request ; & quot ; smiley & quot ; overtly welcome group . . 
 Jun 25 2007 	 Fabulous Place stay 	 hotel heart Montreal , locate Metro station block half VIA Rail Central Station . room two bed spacious large window view downtown area . not try main hotel restaurant due cost eat hotel bar . also breakfast restaurant apparently affiliate Marriott adequate . salon , gift snack shop , store inside adjacent Marriott . front desk exchange $ 100 per day small fee . park across street plenty shop restaurant within walking distance . Bon voyage . 
 Jun 20 2007 	 Big Hotel Center thing 	 big Marriott locate right center city . be one tall downtown building half - moon window provide wonderful view side . room clean , well - service , comfortable . front desk staff courteous handle number diverse request . concierge particularly helpul reserving restaurant . book we nearby restaurant go , call room tell we , due police activity , street around restaurant block immediately book we another , excellent restaurant . hotel 's restaurant , under - staffed , provide top - notch food dinner breakfast . all - in - all great place stay first visit Montreal . 
 Jun 18 2007 	 great location downtown Montreal 	 overall , excellent hotel . location excellent , right downtown Montreal connect Place du Canada Montreal subway . room upper floor ( 27 ) spectacular view island . business family tourism , would highly recommend . be hit Montreal nightlife , would recommend another part city . valet cost astronomic nightlife easy walk distance hotel . 
 Jun 12 2007 	 Chateau Champlain - excellent hotel great service 	 stay Montreal Marriott Chateau Champlain . montreal nice city , good food anywhere . hotel excellent . much nicer well hotel area . service well . concierge staff good staff Marriott stay ; helpful , especially chief concierge Pierette . staff tell good restaurant place go right money . location perfect city . bed duvet make want get . would stay . 
 Jun 5 2007 	 Typical Wonderful Marriott 	 stay property 5/30 - 6/3 2007 . room 26th floor wonderful view , feature usual fantastic Marriott bedding . room huge , small dressing area could closed closet door , double louvere door . restaurant good , bit pricey . everyone friendly helpful . small room refrigerator provide request charge , deliver within 5 minute request check in . the general location downtown perhaps 1 short block Gare Central , easy walk Amtrak train 3 minute . able walk Museum Fine Arts 9 year old daughter ( love Disney Exhibit ) 20 minute , take Metro Old Montreal , via elevator directly hotel lobby . remember check around internet , include Marriott site hotel 's site various promotion code deal Marriott property book . else fail , AAA rate actually good . use code HPR allow 3d night free make Hertz reservation . relationship reservation rate- use code ! , nice hotel nice experience . 
 Jun 4 2007 	 Magnifique ! 	 arrive Victoria Day long weekend , en route Quebec City . choose location 2 block Gare Centrale ( Central Train Station ) . friendly service front door bellman front desk staff . nice easterly view 30th floor . well appoint room date feature . enjoy leisure pool fitness equipment . pool temperature warm . close Bell Centre Metro ( subway ) . 
 May 28 2007 	 Nice Memorial weekend 	 stay Chateau Champlain Memorial weekend . hotel great location right middle downtown Montreal , two block St Catherine 's street . room great view park city sky line . hotel probably do not bad view since sit un - restricted part downtown core . right across street Bonaventure Metro line walk distance restaurant bar St Catherine 's . Platinum Marriotts reward card member get complimentary breakfast buffet . food good idea expensive . room good condition receive bath robe turn service every night Chocolates . would stay 
 May 22 2007 	 great time Marriott 	 husband spend Victoria long weekend May 2007 Marriott fantastic time . room king size bed great duvet bed lot pillow . arrive train able walk hotel . Loved Old Montreal take horse buggy tour . great way see everything . the buffet breakfast really good , lot choose . service excellent friendly also helpful . great pool area spa . unfortunately not time use spa sure look invite . weekend long enough see beauty Montreal . first experience kind hotel look forward go back . 
 may 21 2007 	 Beautiful Hotel Staff steal room 	 hotel beautiful . husband exchange hotel point come see daughter . stay 25th floor overlook city . bellman helpful refer we Old Montreal meal St. Paul . however last day , personal item room go miss strange reason Housekeeping can not find . manager can not find nothing suck loss . even contact international office can not anything either . not cool . great trip steal . 
 May 11 2007 	 Nice Time 	 although stay year ago figure well late never . my boyfriend spend weekend hotel book Romance package . live Montreal take public trasport hotel , hotel even access underground , not go outside 's cold raining . check smooth right room . nice king bed lot pillow fluffy cover . nice view downtown . bathroom also nice . we buffet breakfast morning include package find good , lot selection , fruit , cereal , waffle maker ... evening bring we bottle sparkle wine chocolate cover strawberry , good . all wonderful weekend . 
