definite 	 really terrific hotel definitely frequent . husband & amp ; come Chicago every year Thanksgiving birthday stay many place year - Hampton , Monaco , Hotel 71 , Hilton Garden Inn , Wyndham , four point Sheraton , etc . know way around Chicago , choose try Springhill Suites Dearborn glad ! although location great , couple block Michigan & amp ; State , be actually easy miss hotel - signage outside quite plain share entrance w/ Residence Inn . actual lobby chain 2nd floor . check - in great , staff accommodate -- even get bottle wine birthday . elevator fast smooth hotel ' ve ever stay . hotel offer nice hot / cold complimentary breakfast well - bit early & quot ; leisure & quot ; trip ( 6:30 - 9:00 a.m. ) . & quot ; studio & quot ; double room . perfect , chic modern . sit area desk , chaise , sleeper couch separate bedroom area frosted glass . plenty lighting ( big complaint w/ room dark ) . microwave , frig , coffee maker . bath area good size vanity area separate w/ plenty top space put item . issue lack good sized drawer clothe not want hang .. ( 2 ) shallow drawer . would rate hotel EXCELLENT . 
 good base explore central Chicago 	 choose hotel , location Marriott loyalty card . the check easy , offer choice room . the twin room nicely lay , view towards south . breakfast standard buffet style offer normal class hotel US . although use facility look pool exercise facility look adequate although pool little small . we able walk easily river , magnificent mile also town . it ideally locate Ruth 's Chris Steakhouse definite bonus . 
 Aug 29 2008 	 nice - great tourist 	 stay several downtown chicago hotel , like well . brand new share property residence inn ( really two side hotel - share common check desk , pool , breakfast , etc . ) room modern , average sized , clean nicely furnish . unlike chicago hotel cramp lobby , take elevator floor 2 get lobby - nice . good free continental breakfast hot egg , waffle , usual cold food . free internet room . also nice ( big ) indoor pool , whirlpool nice fitness room . overall would highly recommnd , expecially tourist family visit chicago . close river - walk Michigan Ave , water taxi , etc . 
 Aug 18 2008 	 true Tips Springhill Suites Chicago 	 actual true tip April 2008 build Springhill Suites Chicago , River North , nice super special hotel basket family spend four night August 2008 . room two double bed ( queen ever available -- every room , single king two double plus pullout sofa ) pull sofa . small fridge , microwave , desk chair , neuveaux design — see many tripadvisor photo room . room long narrow , although nice floor - to - ceiling window view city ( high floor better—26 floor plus 27th fl pool ) , room feel startlingly tight . one look spaciousness , room . dresser inside closet , stumble across pull - out bed open position , bathroom sink outside tight walk - in closet feel . room great two people ; four tight . the fridge , microwave , in - room free wifi free local call welcome touch . staff extremely courteous helpful , right check - in . morning free breakfast simple egg , sausage , oatmeal like . ' stay Marriott Residence Inn Fairfield Inn , ' similar , make waffle , sort thing . nice , free . use hotel parking comment , drive Chicago horrendous general , live five year . merchandise sale tax be — hold breath—10.25 % writing . , buy camera , battery , film , underwear non - grocery item home get . wonder Mob still run Chicago , need find loan shark afford sale tax . hotel tax similarly criminal . Chicago Restaurant tax nearly 11 % ! include Mickey Ds eatery . Springhill lobby decorate funky , modern minimalism pleasing — this hotel building share entrance Marriott Residence Inn Chicago — see review hotel pick one good deal / rate stay . building . would plenty rate shopping , area , hotel nice ( although new ) Marriott Renaissance One Wacker Drive street — but general hotel pricier . , ' get one full price one discount , one well . the swimming pool Springhill Suites , word , abysmal . backyard pool large , plus hot tub people ' ever see pool life . number room building , pool complete disaster , load pee child , stress parent , litter towel trash . people would go city hotel indoor oasis wintertime — this place . every night , scene . honestly wonder build fire code break many scream people pool size two king size bed . workout area adjacent swimming pool LifeFitness brand elliptical trainer treadmill , tv weight serviceable . well choice , run along Chicago lakefront . 9 coin - op laundry machine ( $ 1 wash , $ 1 dry ) right next gym area . the key feature hotel location : 2 block Harry Carey ' Restaurant House Blues , within 4 block Hard Rock , Rock N Roll McD ' , Sportsmart , Chop House , Michigan Av . ' cvs two block away Walgreens four block away Navy Pier 8 block away . , word , quintessential location Chicago activity plan walk . eatery around place within couple block — dozen dozen — and area safe . Blues Clark , club bar two block away . Watertower Place 6 block away . area slightly far — about ten block -- Millennium Park Grant Park , whole vacation see museum Soldier Field theater district around park , stay south side river ( e.g . one Wacker Drive Marriott Renaissance close ) . take bus shed shoe leather ( go , ' good ) Springhill Suites . frankly , Chicagoan know , stay area right around Grant Park low Michigan Avenue desirable , particularly night : desolate , vagrant sell Streetwise , sort deal . Marriott Renaissance fine river . , ' well stay North Dearborn Springhill tourist attraction Chicago . single " prowl " , Dearborn area superb walk good club Chicago ( e.g . Excalibur , Redhead Piano Bar ) three adult bookstore within eyeshot Springhill Suites . Starbucks Einstein Bagel one block away . suggest www.maps.live.net placing address 410 North Dearborn check bird eye view learn plenty hotel locate . sweet . , , like newness , see hotel someday become date worn traveler tend slam bang around tiny room .. room claustrophobic , know , say " well , ' go sleep , ' " , end , size matter . urge grab book laptop simply , write review , sit lobby enjoy light space . say , rate good , location premiere , staff friendly . room amenity microwave , plus wifi continental ( mostly ) breakfast , place strong . future hotel , small way , ice vending machine floor save space noise , large way middle price room , amenity ( fridge , et cetera ) tight room fit many lodger possible hotel . " city " hotel standard , resort , overly posh , , hip trendy ( cue Standard California ) . leave swim trunk home . plenty other add photo room , add exterior lobby . enjoy . 
 Aug 16 2008 	 put stuff ? 	 & quot ; large corner suite & quot ; six day try clean look , hotel forget guest like unpack . dresser , towel bar bathoom , tiny closet also hold build - in four drawer shelf iron board , iron hair dryer . one night stand king bed one lamp overhead middle - good bedtime reader ! sink area large enough sink , counter space . two open shelf sink towel ; keep try store toiletry clean staff would pull , put floor , replace towel ! 11 year old assign pull - out couch put clothe tv shelf ; , drawer living area . in - room movie tv channel limit , play lot card night instead . water come sink smell horrible . breakfast area chaotic limit ; first day , grab yogurt banana leave . plus side , location awesome ( could overlook feel like poor cousin well - appoint attach Residence Inn ) staff always cheerful helpful . stay River North area hotel . 
 Aug 14 2008 	 Good Value ; Great Location 	 stay 5 night hotel recently husband son . none we ever Chicago not sure exactly city book hotel . Springhill Suites turn great location -- convienenant Magnificent Mile shop , Navy Pier , Chicago River , ton restaurant . fly Midway airport ride train Clark / Lake station . hotel short walk . hotel share entrance build Marriott Residence hotel . plenty cab available outside although use . use train , bus walk . hotel staff friendly helpful concern . room nice -- especially since new property . really like seat area big flat screen tv . also free internet access . free breakfast great . feature hot cold selection morning . overall would give 2 thumb ... would stay ! 
 Aug 8 2008 	 Great Hotel - Wonderful location - Reasonbly price 	 Staying Springhill Suites treat . month old hotel 's location great - 3 minute walk Michigan Avenue lot restaurant bar nearby . across & quot ; House Blues & quot ; right next door Westin River North . check - in breeze . staff friendly efficient . parking bit steep $ 42 / day . time patience - might want drive around look parking lot cheap . hot breakfast buffet ample - waffle station , sausage , egg , variety bread / pastry , fruit , juice coffee / tea / hot cocoa . it bite odd & quot ; check - in Lobby & quot ; floor , share also main lobby Residence Inn . exit elevator , Springhill leave Residence inn right . room spacious clean . flat screen tv conveniently position view either bed & quot ; living room & quot ; area . comfy L shape couch double sofa bed . bed comparable Westin 's Heavenly bed . suite coffee maker , microwave refrigerator . we free WiFi 24 hour convenient . get discount rate $ 159 per night Marriott 's website . happy Springhill Suites would definitely stay ! 
 Aug 4 2008 	 new clean room convenient 	 stay one night late July . hotel new building Marriott Residence Inn ( share elevator bank lobby , different check - in area ) .my room modern clean . breakfast area well stock plenty room sit . hotel convenient business pleasure , number restaurant nearby . I request king room give king handicap room . seem well set someone handicap ( although since , admit expert ) . open shower area entire tile bathroom area floor drain seem like would work well limited mobility . seem slightly like hospital bathroom - exactly relax spa bath experience hope long trip day meeting . otherwise , hotel work well would stay . 
 Jul 17 2008 	 Recommended - nice Clean Room - Good CS - 	 Booked hotel website , price other . not spend extra corner king suite - really 2 bedroom suite . Customer Service Valet Front Desk average hotel ' ve stay chicago ( 2/3x year ) would stay - free breakfast buffet way average well , hot / cold quick option . room ready 11 am Sunday check nice suprise . pool small , crowded , 27th floor nice , kid still fun - lot chlorine , suppose 's good thing . hot tub average ( small size ) 
 Jul 17 2008 	 well expect ... 	 breakfast need get use - least european . dish etc . plastic , food rather fast food style . besides , housekeeping forget clean shower one day . room modern furniture , bed standard . hotel good shape since newly open ( spring 2008 ) . 
 Jul 14 2008 	 Great experience 	 stay 3 night please everything . good breakfast ( drawback never change ) . location good - short walk bus train . get good rate travelzoo - would definitely stay ! 
 Jul 13 2008 	 Springhill Suites / great location great family 	 go couple cub game last week son decide stay downtown . Booked SpringHIll Suites please . will make quick point : positive : Location AWESOME . be right everything . redline Grand , ton great place eat , excellent shopping ... 's easy get be drive , , term location , can not beat . we get great price . basically 250 buck get room , tax various chargee , free buffet breakfast parking . ( fact $ 41 $ 250 parking relate . ) staff friendly professional . request early checkin actually able get room 11:00room nice . nice room ' ve ever ? nope . spacious , clean perfect spot son . look 4 star luxury , not , youi look nice , new , clean , well locate , family friendly , place perfect . negative : not really complaint place . $ 41 seem little steep parking , downtown , get unlimited / privledge , ' m really complain hotel , moreso ' m kinda bum pay much park first place . bottom line ... recommend hotel . great buy , great location , nice room . way , breakfast not bad either . will back . 
 Jul 12 2008 	 Acceptable 	 book trip Entertainment Book . really not problem hotel . simply preference . staff accomedate . two room book . room separate floor . request room floor , connect preferably . room give next . hotel offer complimentary breakfast well tea coffee throughout day . nice feature . breakfast person travel companion enjoy feature . hotel new room clean . however like relax take bath . room shower . rather disappointed . hotel ice machine , instead bag ice & quot ; market place & quot ; guest could take . problem bag freeze huge ice cube fit ice bucket certainly able place glass . decor room look decorate Ikea . expect refined look Marriot hotel . 
 Jul 7 2008 	 start finish wonderful experience 	 's understandable apprehensive staying brand new hotel , wonder ' glitch ' problem . from time arrival July 2nd till departure July 6th tremendous experience . the front desk exceptional . week arrival make arrangement pick birthday cake , they - the front desk - be able give three bakery within one block hotel . way , cake tremendous . courteous helpful throughout entire stay . the hospitality stop front desk , personnel manning valet , housekeeping staff , people work breakfast service , top notch . wonderful location , close great restarurant , public transportation , thing would like visit Chicago . our room great ! wonderful bed , flat screen tv , small fridge , internet access , quiet ! would definitely make preference future stay Chicago . 
 Jul 1 2008 	 Great Value Family Friendly 	 Springhill Suites downtown Chicago great selection young family . come Chicago visit museums downtown area . room spacious clean . staff friendly , give good advice museum , quite accommodating . morning breakfast good selection pastry , bread , fruit , juice , hot item well . valet parking expensive ( surprising location ) staff helpful problem . downside location bit far walk museum . interested visit theater district shop along Michigan Ave . , great location . walk aqaurium planetarium least 2 1/2 mile ( feel long kid ) . decide take el second day help bit . we would definitely choose hotel , plan differently get around . 
 Jun 22 2008 	 stay next door Residence Inn instead 	 ok hotel - new good location . we book 40 cheap vs Residence Inn right next door . this hotel - two stream ... different . RI large full kitchen ... Spring Hills small . share pool , lobby ... breakfast serve - breakfast different .... scrabble egg RI , granola ... sh get egg sausage breakfast sandwich ... waffle , yogurt ... service terrible .... clean room complain ... ask we want ( clean room ! ) meantime clean room go pool ... surprise , clean pool 2pri large - full kitchen . SS microwave , small fridge ... comfortable bed corner suite room size ok ... honestly $ 40 would stay RI ... like upgrade . so check difference 2 book . 
 Jun 14 2008 	 wonderful hotel great location great staff 	 stay hotel two night . mini trip Chicago two daughter grandparent . see offer travelzoo $ 159 include complimentary breakfast . love ! first check two room separate floor , forgot specify next make reservation . bring attention immediately change hassel . even check hour prior check - in time give room wait . hotel new clean , love modern decor , ( except flourescent lighting bathroom . ) room fine , although agree tiny closet leave much room hang anything , especially chest drawer inside . come microwave , mini frig coffee maker come handy . bed comfortable . cell phone reception great room lose lot call . 12th floor extremely quiet , wonder anyone else even floor . pool quite small 10 year old view full kid decide swim evening . complimentary breakfast wonderful morning . lot choose ; egg , sausage , waffle , bagel , muffin , fresh fruit , yogurt , oatmeal , cereal , something everyone . always fill nothing ran . staff opinion wonderful , always pleasant helpful . front desk several time ask direction always go way help , even find tour time , etc . we . kudo ! make stay much enjoyable , even greet every time enter leave . location also great . walk Michigan Ave . , performance Wicked , even Navy Pier . definitely would go back heartbeat , real complaint . enjoy ! 
 Jun 12 2008 	 pretty Great Stay 	 hotel pretty new great place night . even though room free ( rack Marriot point ) , still might stayed whatever cost . comfortable everything need . the bed comfortbale sleeper sofa not bad either , annyoye bar back . sleep well , especially ajustable wall thermostat ( nice 68 ) . good clock / radio nightstand . unlike photo hotel website , ihome . iPod touch use room 's Wifi internet access . work great . bring laptop , even wire ethernet connection . office chair desk pretty good , great . the bathroom small , shower toilet . shower good water pressure door glass ( see pic ) . pretty cool . course , soap , shampoo , lotion provide room , front desk , toothpaste , brush , razor , shaving cream avaliable free . hair dryer closet conserve room , high quality one . standard type find hotel . the television flat panel LCD . nice , lack hd channel noticebale since everything little distorted . also , channel lineup pretty limited . contain local , Discovery , TBS , every ESPN , USA , & amp ; E , CNN , other . comcast sport net absent list , plan watchng Cub White Sox game , well plan go park , hope WGN.I ' m sorry not picture pool . dissapointingly small . hot tub extremely small . also warm room . outside patio go , reason , lock stay . pool fitness room , extremely nice , locate top , 27th floor . fitness room everything need look like ( not time use ) . tv 's build running machine . the morning breakfast pretty good . pretty much everything would want . cereal , muffin , fruit , sausage egg patty , pastry , yogurt , make waffle ( good ) juice . good get job do . daring , could try sneak Ressidnce inn get breakfast ( look little bit well ) .great hotel would definitely stay . 
 May 26 2008 	 will back ! 	 suburbanite frequently come downtown stay night two . college aged daughter accompany we , prompt we look suite hotel . this hotel new terrific . less two month open , rough spot . service top notch , room clean size adequately . daughter say sofa sleeper plenty comfortable . our date ( memorial day wknd . ) present we full house , crowd breakfast buffet , calm quiet especially floor . might hotel 's party policy guest sign checkin . the rather small pool 27th floor , absolutely amazing view , get noisy kid get shout . may improve outside deck open noise & quot ; somewhere go & quot ; .The location within walking distance ( block two ) Chicago River , House Blues , many excellent restaurant opportunity night life . we absolutely return time look reasonably price suite hotel downtown . 
 May 19 2008 	 SpringHill perfect group great location free breakfast ! 	 group 12 stay SpringHill weekend 3 room , hotel nearly perfect . room big perfect group nice sofa bed . great location - easy walk shop Michigan Ave , State Street Millenium Park . right around corner Howl Moon lot restaurant bar . never take ' l ' red brown line within block . hotel include free breakfast really good ! negative - room really bad cell phone reception , front desk say be aware , hopefully fix soon ( hotel 7 week old ) . also AC issue common area ( little hot ) elevator slow around breakfast . Valet parking pricey ( $ 40 ) several open surface parking lot garage area ... drive Chicago pretty crazy valet . I ' ve live Chicago , would highly recommend hotel visitor ! 
 May 6 2008 	 nice new hotel 	 son stay new Springhill Suites shortly open April . Chicago college visit . daytime staff wonderful . arrive well check time give room ! nice way start first day Chicago . ask could drop bag , make first visit afternoon . nice staff print map , point could walk couple block grand catch red line train . ride train Loyola , DePaul , Northwestern . like decor room . room 2 double small sitting area . closet bit small workable two we . microwave small cool fridge ( make sure shut door firmly ) . breakfast good staff manage well , even though busy . coffee available throughout day . sit area nice fireplace . 2 computer station lobby free internet access printer print boarding pass . room also suppose free internet access . thank pleasant staff clean surrounding , would stay . 
 Apr 23 2008 	 really enjoy Springhill Suites River North 	 stay Springhill River North first week open . exciting stay brand new hotel think wear dirty room . think wonderful ! still work kink ( elevator work occasionally - walk Residence Inn side use elevator ) overall experience great . location wonderful . decent walk Michigan Ave ( 6 8 year old daughter well ) . short trip Rock Roll McDonalds Rainforest Cafe . lot night spot restaurant area . brief cheap cab ride Union Station . short walk Navy Pier Free Trolley . super nice efficient staff . really nice free breakfast - definite step norm ( make waffle station , make sausage mcmuffin , generous fruit cup , yogurt , juice , cereal ) . pool small adequate ... though spring break lot kid ... feel sorry traveler attempt get swim lap ! ! room size adequate ... bit cramp hotel room not day ? bathroom nice sized really convenient mini frig microwave . internet usage free . great , also , small sitting area . definitely stay price right ! ! 
 Apr 20 2008 	 great hotel Chicago 	 new hotel Marriott . all - suite hotel . room stay huge . separate bedroom , living room area , kitchenette . rather busy check hotel staff excellent . hotel offer complimentary hot breakfast : sausage , egg , fresh waffle , sweet rool , bagel , bread , hot / cold cereal fresh fruit . SpringHill share build Residence Inn - another Marriott hotel . location great . near theatre district , Magnificent Mile , State Street shopping . 3 location within walking distance . 
 Apr 14 2008 	 Brand New 	 stay hotel 2 night , 4/10/08 & amp ; 4/11/08 . open 2 week ago . course everything new nice . feel everything wear use . room queen suite ... one queen bed pull couch . nice furniture , kitchen area , sink outside shower area nice big group . staff attentive . serve hot breakfast morning , complimentary , really good . , breakfast area new nice . always minor complaint , much closet / hang room . lighting either want bright severe . think try hip trendy lighting look not work . Location Michigan Ave . little far . everyone different need hotel room opinion ... make good bad . hotel brand new nice would recommend . 
 Nov 2 2009 	 Solo controla la limpieza aprende ingle ... sino .... 
 Sep 21 2008 	 Hôtel fonctionnel très bien situé 
