good 	 4 night stay s.f . look good value quiet location , could not make well choice . hotel really clean quiet want , also right around corner Fillmore Street Pacific Heights cow hollow area , really great walk around great boutique cafe restaurant . front desk staff little hit miss , really nice know lot good information , other kind clueless . enough helpful one overlook one not great . room king bed nice view window seat . reasonable fitness center equipment good shape . across street three bus line run downtown right around hotel bus stop go place city - easy get around public transportation foot . 
 Birthday trip 	 hotel really cute ! 's japanese culture theme right across street Japan town San Francisco . hotel staff nice room kitschy . kind anime - esque mural wall furniture modern cute.the restaurant lobby yummy serve traditional japanese breakfast . also serve shabu shabu dinner . I would definitely stay ! 
 Aug 26 2008 	 Pleasant time Tomo 	 stay Hotel Tomo back last week June . really nice place . front desk people helpful . tell we get around bus call cab we one night go late bus stop run night . bus stop right across street ! super convienant . room nice . two queen bed , nice stiff . comfortable . sleep really well . since three we stay , go get extra pillow , however , open bottom dresser drawer , pillow wait 2nd drawer feather comforter . : ) & quot ; Disturb & quot ; sign really cute . call ask left day sleep want room clean . oops . hahaI love giant bean bag thing . think call Fat Boy . nice . window seat really lovely . totally hard , nice . would set table since table 2 chair play card night . wireless really nice able use laptop . however , not laptop , computer lobby use . the restuarant alright . breakfast one morning . get pancake . ok . service prompt though friendly . parking . ramp , could use one two night car . cool , ' m glad compact car though ! second night , park across street mall ramp . work well . like $ 15 overnight , space not cramp . Japantown seem safe pretty convienant . like . price , really can not beat hotel tomo . 's simple , clean fun . staff extremely helpful knowledgable . the front desk book shuttle we get back airport . three us different flight . let we split room three way pay different time day check . cool let we not worry that . as say , love hotel . staff great , room clean . bathroom nice . inroom safe . cool . love lamp , curtain , sheet . fun time ! ! 
 Aug 25 2008 	 Perfect show Fillmore ! ! ! 	 wife go see Bloc Party Fillmore , choose hotel due proximity venue . check , fall love . Modern Hostel feel ... sort feel like europe ... japan . hotel locate directly middle Japan Town , ton great noodle restaurant within stone throw . mention japanese korean market . all - in - all , perfect hotel taste , show Fillmore . 
 Aug 25 2008 	 Fun oddball decor great location 	 though live vicinity , stay Tomo two night family event San Francisco . western part city , away downtown close much population life , hotel , tomo upscale Japantown sibling , Kabuki , excellent choice not want quite much hubbub visit friend family . tomo occupie dull 1960s building , cleverly renovate 2006 give new anime / manga - inspire decor -- load fun , japanese - style cartoon mural room ( kid love ) . bed outstandingly comfortable fresh linen ; room bathroom smallish microscopic many downtown boutique hotel . furnishing mostly light - color cheery , brand - new flat screen tv , beanbag chair add another whimsical touch . though building show flash age -- air conditioning room cranky bathroom tile original -- spruce - up effective ( carpet could use attention ) . tomo not run luxury hostelry good value , japantown location interesting ; also get downtown Ocean Beach bus 15 minute . parking tip : hotel 's small garage fill early cost guest $ 20 overnight , residential neighborhood parking space may able leave car overnight Sundays free ( read street sign carefully ! ) . 
 Aug 23 2008 	 great value 	 great value lot fun . I stay long weekend infant son mother would highly recommend hotel . plus : * excellent value : comfortable , clean , thoughtfully appoint room reasonable price * great staff : staff friendly helpful - e.g. , bag , advice get around , parking , etc . * fun vibe : Love Japanime / Manga theme decor ! add energy place - unusual hotel price range drab fluorescent - light box * easy location : japantown cute walk around & amp ; easy bus taxi Union Square . plus Japantown not deal madness crowd Union SquareMinuses : * luxury hotel / treat hotel - not pretend beI would definitely stay ! 
 Aug 10 2008 	 quirky makeover 	 get feel Hotel Tomo end extreme makeover . someone rush one morning decide turn japanese stick mural room , replace date furniture trendy minimalism put japanese soap bathroom . mostly cosmetic , underneath simply good western , ' enough quirky coolness make interesting stay . room extremely comfy nice extra like docking station iPod . sport channel tv faulty front desk fail fix ( probably relief girlfriend ) exceptionally friendly ' let off . location wise , ' close number bus route get different area like Castro Downtown ease . , go without say , ' perfect place stay want eat lot lot great japanese food . especially bakery across road . 
 Jul 29 2008 	 cute hotel extremely friendly staff 	 husband stay Hotel Tomo anniversary . buy ticket , use website also become member ( free ) hotel 's membership club . mean receive complimentary bottle wine room upon arrival . also include note hotel second wedding anniversary . leave bottle champagne room Hotel Tomo t - shirt card say second anniversary cotton anniversary . thoughtful they . there robe room we , Jimmy , show we room arrive friendly . get call ten minute get room front desk ask everything satisfactory . apparently be Joie de Vivre hotel , stay different one day , also call check - in . the hotel room adorable , bed , like futon , firm comfortable . room lot character , clean , new . would absolutely stay . like Japantown . different way see San Francisco , outside business downtown . 
 Jul 7 2008 	 great Stay Hotel Tomo 	 get back short stay Hotel Tomo . hotel soooo cool ! decor amazing . room clean decent size . small balcony view neighborhood . locate Japantown . walk distance main attraction , take cab $ 6 - 7 union square . take bus . usually always stay Union Square visit San Francisco , really enjoyed stay different location . be quiet safe walk around even late night . there ton great restaurant around hotel . hotel even cool shabu - shabu restaurant . however get chance eat there . the staff friendly helpful . great deal . much less hotel touristy area San Francisco . totally stay ! ! 
 Jul 1 2008 	 Loved Tomo ! ! ! ! ! 	 husband stay Hotel Tomo stay one night Comfort Inn Van Ness . nastyness hotel , please switch Hotel Tomo . close University Pacific , husband go take dental licensure exam , across street Japantown various transportation downtown . hotel away hustle bustle toursity area , able feel like local - DH love . love see local hang , eat , walk around ... way get & quot ; genuine & quot ; city . want see touristy area , bus stop literally across street take time . the decor funky , japanese pop , awesome unique . complaint bed platform wooden square easy bang leg be careful . otherwise , bed comfy , room clean . would recommend hotel : ABSO - freakin - LUTELY ! ! ! love 1 - week stay . mention , pretty inexpensive : around $ 140 / night . 
 Jun 28 2008 	 Hotel Tomo pleasure stay ! 	 travel around USA great thing . stay excellent hotel trip even great ! Hotel Tomo one certainly advise hotel everyone like stay nice quiet neighbourhood close downtown San Francisco . the nice people front desk give we warm welcome even give we phonecall 10 min enter room , make sure everything alright . we double bed ( excellent bed way ) room , LCD television , radio ( could even hook iPod ) , nice shower badroom . clean staff extremely friendly great job ! real good time Hotel Tomo , real pleasure stay ! 
 Jun 25 2008 	 Excellent Location great staff . 	 take son girlfriend San Francisco graduation trip . Anime fan choose hotel theme . room comfortable four we five day . location well ! right Japan Town block Japan Center , major muni route . park car not worry left . less 30 minute everything want see , Haight , Union Square , Pier 39 many museum . staff helpful cordial whole time . limit parking hotel use Japan Center lot overflow helpful loading unloading . view terrific room clean well keep . stay whenever go City future . 
 Jun 17 2008 	 Best Tomo ! ! 	 book Orbitz use Orbitz 's summer 10 % coupon code . hotel two Queen bed within price range , surprisingly , hide charge upon check . receptionist little stingy give four bus map . however , room clean roomy . huge bean bag chair also bench window . stay 2nd floor noisy . room decor modern liking . room extra blanket come handy cold SF night . close Bus # 2 , 3 , 4 , 22 believe 32 take union square , golden gate bride alamo square park . buy 3 day muni pass $ 18 union sq use take bus , cable car street car three day . japanese food Japan center really good decent price compare NY 's . 
 Jun 10 2008 	 tomo bad ! 	 stay Tomo two night last Sept. town concert Fillmore . think hotel fine , not problem noise review state , either get lucky , heavy sleeper definitely case . hotel okay , recently redone everything new looking , decor exactly would expect type place . stay j - pop themed hotel , not expect antiquity nothing look like plastic . think room spacious , bed good size comfortable . location okay , choose specific hotel mind within easy walk distance Fillmore . 's obviously plenty great japanese restaurant around . 
 May 17 2008 	 wonderful modern hotel great location ! 	 wonderful stay charming , modern japanese kitchy hotel middle Japantown two block Fillmore Shopping area . room 7th floor pleasant view Japantown . the room clean , modern , Frette sheet bathrobe , soap shower stuff small soap store Pasadena , CA flat screen tv Artemide light . a good Thai restaurant across street ( Jitlade ... order special ! ) Kabuki movie theatre block away adult balcony / bar bring cocktail theatre . Yoshi 's restaurant within block new hot cafe , SPQR , Fillmore . the hotel staff friendly helpful manager even call several time ensure bill correct call inquire . intend stay ( else W feel like spend twice much . ) 
 May 14 2008 	 great location like japantown 	 room ikea like furniture , simple , modern serve purpose . bean bag chair comfortable look . ipod docking alarm clock daughter like LCD tv.it locate right Japantown , convenient like japanese food reasonable price . Japan Center store . fun experience browse walk around . when come back late one night , hotel parking full park Japan Center . receipt , hotel waive night parking fee . short walk find safe walking night . there japanese cafe right across street hotel . breakfast . many local stop get local feel . bakery make mochi ( rice cake ) . delicious buy box go . bakery busuiness many year . the price reasonable . clean convenient . overall , like hotel definitely stay . 
 May 12 2008 	 Loved Tomo 	 right heart Japan Town wonderful little know part San Francisco Best Western Tomo ! stay fantastic . every person deal hotel could not nice , room immaculate simple . perfect combination japanese western design , comfortable pleasant . great parking . hotel charge modest $ 20.00 per night parking fee , bargain San Francisco . small parking lot full one night send public parking lot aroung corner reminburse parking fee . small restaurant hotel , breakfast good . tomo go place visit San Francisco . 
 Apr 7 2008 	 nice stay ! 	 great little hotel tuck heart SF . daughter stay attend memorial uncle . Auntie live near seem convenient . daughter LOVED manga art design . price excellent , food restaurant GREAT . clean , neat well do .... like Bestwestern . heart Japan Town ... safe clean fun . 
 Apr 2 2008 	 Great Experience Hotel Tomo 	 first time SF ' m happy stay . price great service . location great , right inside japantown bustop front head downtown ( really make 3day pass worth ) . be also far California St. Cablecar . check - in quick easy go straight room . room everything hope . third floor room clean , cozy , nice view Japantown . never problem complimentary internet ( two mac we ) great . door close little hard big deal . even friend SF come visit impressed enough decide recommend also plan stay future . service great around , leave jacket somehow get stick mattress / bed flip room upside find . Dara Gill extremely quick helpful contacting . thank guy ! 
 Mar 30 2008 	 Great Stay 	 stay 2 girl three night . first visit san francisco think hotel great find . clean tidy spacious modern room . nice bar restaurant , althought reception quite small staff friendly helpful . hotel withe easy walking distance many tourist attraction . would definitely recommend friend . 
 Mar 20 2008 	 expect 	 arrive long flight east coast tell credit card decline . plus , gentleman front desk audacity imply perhaps cost 5 night stay available credit card . asinine ! gentleman discourage use debit card suggesting may stay entire time difficult would credit back debit card / check account . needless say seem though welcome hotel . nonetheless , daughter tired hungry , almost hour nonsense ( stand lobby use cell laptop contact bank ) confirm card work successfully make purchase convenient store across street . upon return , receipt hand , another gentleman front desk proceed swipe card terminal 4 foot terminal gentleman use course successful . take hour purchase nearby store someone try credit card terminal couple foot away ? ... not either gentleman offer use computer far end lobby ( not notice morning departure ) ? two gentleman offer apology 60 minute frustration , rudeness insensitivity . top ... put room 2nd floor face center court housed & quot ; party room . & quot ; yes , party go evening around 9p . on positive note ... decor nice . as another guest state door slam loudly whenever guest leave room certainly hear door slam constantly evening least 10p . on final evening stay force room due overwhelming smell cigarette smoking ( non - smoking building ) . apparently guest thought would ok prop open emergency exit door ( right side room door ) repeatedly go smoke allow smoke fill hall room 2nd floor . 2 hour increasingly intense smell smoke request another room , since daughter asthmatic . ... final evening unfortunate condition put room 7th floor ( 8 floor bldg ) actual balcony well view overlook city . [ contact best western report rudely treat upon arrival . hotel manager contact instead voluntarily offer sort gesture recompense poor service ask tell want . ultimately , receive trivial discount , hardly give desire return hotel . ] , contemporary decor nice . also , hotel clean neighborhood quiet serene . 
 Mar 16 2008 	 Noisy 	 bit noisy hotel . wife stay 3 night spring break . 3rd floor . night bed keep hear sound sound like coffee maker brew away distance . strange . room door slam hard loud . maid quite loud voice early a.m. time sleep ! ! negative : coffee maker get instant coffee . good . flat screen tv nice channel blurry . shabu shabu restaurant ( Mums think 's call ? ) raunchy smell , elect dine . lighting . bathroom light dim sometimes would not work . also need heated light shower . use safe box free , one day code freeze . reset next morning ( wake early a.m. since maintenance guy task first thing ! ) elevator convenient squeaky door . room popcorn ceiling know build 70 's 80 's . weird artwork wall . ok , positive ! like Ikea style prop . japanese / european vibe . exellent location ! can not stress enough . close walk Fillmore St , Japantown , shop , restaurant , California St hop cable car ( good 6 - 7 block short ) , good rate expensive city like SF . Front desk cordial . room clean bed comfortable . cool bay window . despite old hotel , rate location excellent . minor negative definitely turn positive . recommend hotel be budget want great location . 
 Mar 13 2008 	 Hotel Tomo Alright 	 husband stay Hotel Tomo early March . husband 's first time San Francisco not since 10 . excite spring break getaway . book hotel online & quot ; joy life & quot ; hotel . get great package $ 109 night include breakfast two . arrive hotel , person front desk say not honor breakfast two . irk right , let slide excited trip . break , pro con Hotel Tomo : pro : great location . right next Japan Center Fillmore Street . lot shop great restaurant . reasonably price . CleanPretty spacious . elevator quick . con : bathroom . period . light bathroom buzz zap not always come . wall bathroom dark grey . sometimes feel like horror movie . hot cold opposite label . water would turn frigid scalding hot without touch thing ( careful little one take shower without assistance ! ! ) . toilet low flow always worried would not flush . maids extraordinarily loud morning . utility closet get hear bark order yell 7 a.m . restaurant smell like middle school cafeteria . way want eat . picture web deceiving . website boast room coffee , sad see instant . gross . positive side offer green tea . nice touch ... ice machine not work floor . elevator say go 4th floor additional vend machine . see one 70 % item sell out . in conclusion , budget like Japantown may want stay . like something little upscale want nightlife , place . 
 Mar 7 2008 	 good experience TOMO 	 reviewer : SWL taiwani stay TOMO Feb 24 Feb 27 2008.this first time go USA.TOMO nice totel give good experience travel . safe clean localion , room space hotel clean comfortable too . the personnel friendly . eat breakfast restaurant & quot ; Mums & quot ; enjoyable . I really enjoy time stay TOMO.TOMO first choice stay chance go SF . 
 Mar 3 2008 	 little grim 	 Hotel Tomo great location , want thoroughly shop Japantown ( kid love Japantown ) . hotel boast & quot ; japanese pop culture & quot ; theme , apparently japanese pop culture little grim . hotel 's theme bluegrey occasional bright yellow , enhance dim fluorescent lighting . drawing wall faceless people watch storm trooper dog , plus occasional weeping spirit girl . ' m sure appeal , especially kid . I ' ve spend lot time Japan , hotel would really benefit little bona fide japanese sense pride . ask maid remove drippy handprint window ( maid nice ) , nothing could soapy , greasy , really exceptionally dirty flatware restaurant . dishwasher obviously break use anyway . apology waiter . storm night , kid rent hotel movie . quality terrible- picture jump around , flash black white color . , staff desk could not care less . plus side , japanese breakfast restaurant really quite good . however , want get Shabu dinner , would skip place ( break Lyon 's kind feel , least morning ) - recommend Shabu - Sen , block away . service , ambiance , food terrific , kid love cook food . girl also really enjoy hawaiian restaurant ( Honu ) block away hotel . live band , great fry , friendly ohana feeling , plenty hawaiian beer tap . 
 Mar 2 2008 	 Gem hotel 	 return 4 week family holiday US hotel Tomo first hotel stay US . subsequently , stay many hotel holiday hotel one well difficult fault . room clean decor bright cheerful . bathroom interestingly set clean bed comfortable . reception staff pleasent enough always happy assist us enquiry . gripe would small size room room sleep problem . location ot hotel Tomo suit we . although be not city touristy fisherman wharf , bus run past hotel make trip place easy . japantown lovely quaint mall shop . would definately recommend hotel anyone travel San Francisco . 
 Mar 2 2008 	 Arigato Hotel Tomo 	 hotel quirky japanese pop art / manga decor , include full colorful wall mural japanese style vend machine lobby . quiet pristine . room thermostat could not locate , therefore little cool evening , fine cover . find bed bit uncomfortably hard , much not get good night 's sleep . location lovely , Japantown , room 4th floor nice view ; hotel close crest Cathedral Hill . front desk staff friendly extremely helpful needed get last minute shuttle airport . 
 Feb 26 2008 	 great place especially price 	 Best Western Hotel Tomo great place stay . hotel not offer amenity valet parking free breakfast , location price make . room clean staff friendly . parking lot small large lot within walking distance . also within walk distance score restaurant shop . recommend hotel anyone look travel budget like clean room great neighborhood roam around . 
 Feb 20 2008 	 parr cheaply furnish adequate japanese adolescent 	 Finding affordable hotel challenge big city like SF , one sacrafice much affordability . spend two night . tomo appear orient decor teenage japanese tourist . cheap furniture use look like Ikea 's low end . yemperature control unit work room friend 's room , warm . bathroom belwo average . price value lack . one find well value elsewhere sf.the hotel 5 - 10 minute drive Union Square , 15 Ghiradelli SqOn positive side , hotel locate major bus line . adjacent ot Japan Town plenty specialty shop restaurant . quiet enough sleep well , depsite hard cheap bed . passable breakfast , Denny ; would step . staff friendly informative . if adult look Japantown find different place stay . one also consider B & amp ; bs stay outside SF . third night great stay Concord Hilton , 4 star price convenient BART . 
 Feb 11 2008 	 great 	 would agree previous poster regard service . ' m person require hotel employee go way friendly one front desk ever greet show interest , whatsoever . behave strangely , example , check , give name employee pull piece print paper wave show print ( could not see ) say name aloud say : & quot ; , find paperwork ! & quot ; . check , clerk assume woman stand next ( not -- ok , could not know ) get room number , print paperwork turn give paperwork . point , ignore . clerk , stand behind watch interaction gently flag person hand bag . none terrible , course , ' ve stay lot JDV hotel , service always top notch . ' m guess hotel own JDV simply & quot ; sell & quot ; they . I hope management respond post manager disclose hotel 's relationship JDV.On another matter , find room noisy . stay near elevator ( although utility room room elevator ) , could hear elevator opening closing night ( early morning hour ) . light sleeper would say guest return room see problem talk loudly laugh loudly trompe hall room . addition , door room heavy spring serenade guest hallway , get use loud slamming door enter . also lot noise room . sort ventilation system bathroom control make lot noise . ( close door bathroom lessen ) . addition , refrigerator ( empty ) , turn scared living daylight . quickly get turn off . lastly , friend ( stay top floor near rear hotel ) trouble regulate temperature room . first thing aware switch marked & quot ; air conditioning & quot ; A / c heat . , room cold , turn A / c set thermostat temperature want heat come . even & quot ; A / C & quot ; turn , one night , room warm side , guess , person must heat turn high . not want turn real air conditioning February combat heat downstair put it . the hotel cute motif neighborhood pleasant . car use public transit easy access . can not say would return hotel time soon . 
 Jan 27 2008 	 absolutely Perfect 	 think reason anyone would dissatisfied hotel . find clean , modern friendly . top price low . walk room immediately feel cheerful light , bright colour scheme interesting mural wall . lady , think call Gill , work front desk go way extra helpful friendly . one thing know : tomo bustling centre San Francisco , 's residential area ( personally like always like see true resident live visit city ) . see couple hotel centre seem lot old ( old building , old interior ) , course , hugely expensive . comparison , tomo lovely condition . 's bus stop outside hotel get centre less 10 minute cost $ 1.50.these two reason may love hotel:1 . be old 's ' trendy ' you.2 . want right centre San Francisco , ie . next Union Square . tip : stay , turn right hotel 3 block will reach Fillmore street lovely little shop restaurant . walk Fillmore street , meet Broadway , be view bay Golden Gate Bridge . find accident get bus wrong stop ! one thing , be cool , big beanbag every room ! 
 Jan 24 2008 	 interesting Concept Terrible Service 	 ' ve recently stay Best Western Hotel Tomo horrible experience . choose stay property stay another Joie de Vivre Boutique Hotel wonderful experience . hotel modern J - pop concept lobby small interesting . front desk staff friendly helpful . one desk ever greet acknowledge go desk number three time , check - in , ask direction toiletry , lastly check - out . always seem like inconvenience assist . Peter desk especially cold rude . never encounter horrible service . think layout location hotel generally good management consider training staff hospitable , guest relation , customer service . overall would select Best Western Hotel Tomo stay San Francisco would recommend family friend . 
 Jan 22 2008 	 Clean Quiet Cool 	 stay 1 night trip Sydney San Francisco . find hotel trip advisor pick mainly price promise new fitout . fantastic . room even look like pic promise hotel website . taxi cost $ 35 airport hotel . we arrive early expect room ready move one upper floor . staff extremely helpful welcoming . entertain watch little kid foyer play big cushion ! everything room new , clean fresh big tv i - pod dock great . the hotel easy walking distance Union Square , fact day nice apart obiligatory ride cable car walk everywhere . after big afternoon evening explore - delicious lunch Yank Sing , Union Square , Fishermans ' Wharf , ferry trip harbour , entertaining hour two Bourbon & amp ; Branch ( ! ) , ready light meal good night sleep . Japantown ( J - town cab driver call ) location perfect - get fill action walk back street get progressively quieter close get hotel . could eaten in - house ( popular , long queue get ) decide cross road explore little square area . good sized group restaurant plenty choice . find one serve hearty healthy bowl tempura udon soup $ US8 - thing ! check quick , staff still smile taxi arrive within minute . for $ 100 night 2 perfect . Joie de Vivre website wonderful resource visitor . pass Hotel Carlton , along Sutter Street , look great . would absolutely recommend chain . 
 Jan 18 2008 	 tomo fun 	 hotel fun . room look exactly like photo , clean , funky design well proportion . location great , quiet , safe clean easy access Muni 10 minute upbeat cafe shop . staff helpful friendly . drawback wireless internet stay internet access available lobby . 
 Jan 3 2008 	 much Fun ! surprise Galore ... 	 tomo surprise delight guest age ethnicity . not want give away surprise let us say renovate decorate place , go extra mile creativity . comfortable bed , sturdy furnishing , awesome use color ... ! street parking also nice add surprise . nice savvy front desk manager ( woman european name ) ... anyhow , enjoy ! 
 Dec 19 2007 	 Hotel Tomo - great japantown 	 arrive hotel greet long couch look like Puli dog dye blue . blue fantastic . they Giant Robot vend machine sweatshirt & amp ; tshirt . cool thing hotel . you right across street Japantown center 's little mall . quite lot fun . room like new - japanese wave painting & amp ; art . stuff animal bed like photo people bring . mini fridge room well free internet access . blessing sure ! front desk staff welcome quick . long ask nicely also print boarding pass ( air traveler ) .We issue heat first night switch room 1:30am , helpful nice . second room problem figure turn & quot ; air & quot ; get heat work . * * note guest - switch say Air Conditioner , simply turn knob lo hi . adjust temp thermostat . kick within 5 minute . we also issue toilet work properly within hour we leave . gracious accommodate register . total stay : 3 nightstype room : Balcony QueenOverall expereince : quite goodwould stay : yes , sure 
 Dec 17 2007 	 Tastefully creative 	 second time stay Hotel Tomo ... first time stay year ago , still Miyako . te Miyako , dark , dreary overall yucky ... time , newly remodel Hotel Tomo clear , crisp joy stay . picture web think perhaps might find color in - room mural bit over - exciting , maybe make hard relax , nicely surprised find color scheme neon shocking , actually quite appealing . feel like furniture decoration something would find ikea , japanese flair . absolutely love ! ! ! not feel like be Japanese Anime really enjoy main part experience . NEWLY remodeled ROOMS GREAT rate ... San Francisco , mean lot . quality hotel accomodation without shell fortune . everything room new , include bathroom fixture , tile , floor , etc ... room ( # 711 ) great view ( West ) able appreciate beautiful sunset hill . hotel across street main plaza Japantown & quot ; convenient & quot ; understatement . 's close restaurant , theater , Kubuki bath house , parking , center city , main attraction San Francisco . wealthy money object , might stay somewhere else , perhaps complete royalty treatment , spa include . , average traveler tight budget , feel pamper . perhaps even somewhat surprised find clean , beautiful room FANTASTIC view $ 110 / night . staff friendly . , certainly would . consider & quot ; regular & quot ; Hotel Tomo . 
 Dec 9 2007 	 Unique japanese Decor ! 	 stay Tomo company function , impress unique japanese decor ! book hotel Best Western directly . & quot ; held & quot ; room $ 119 / night , week later call back reserve room , online price drop $ 107 gladly match price . arrive , error rate sheet , fix soon point . arrive noon park hotel parking ( $ 15 / day ) , room ready ! parking lot small - since know ahead time , plan take taxi destination . read review , high expectation , disappointed . hotel clean , safe , quiet . toiletry smell great room plug - in water kettle tea / instant coffee . ( problem since find wonderful french pastry shop / cafe Filmore street ) . staff friendly . overall , japantown great food shopping - treat ! definitely stay next time ! 
 Dec 9 2007 	 good San Francisco ... 	 stay 5 day . give ' brand new ' room newly remodel eighth floor . good view . furnishing new standard BW quality . bath room clean . terrible noise problem though . either door closer eighth floor adjust . let door close , would bang shake half floor . guess ? room shake closing door around we , till midnight 5 . will window sleep light sleeper . report problem manager , person . defensive nothing alleviate door bang . seem like terrible work do ' remodel ' hotel . wall little sound insulation . could hear tv conversation next room appear sound come electrical cutout wall . they advertise wireless internet available not tell lobby area sub ground floor , four electrical outlet . laptop fifth one , take wait long . bring laptop fully function battery prepare squat floor . I travel extensively around US first BW ' ve see several power extension cord around room . one behind tv console two either side bed . not know SF fire marshall allow hotel . show poor remodel . seem like owner design work . architect worth salt would miscalculate may power outlet need hotel room . place maybe safety hazard love one something like worry . 
 Dec 6 2007 	 Fun Hotel ! 	 get back spend 5 day Hotel Tomo . not know expect , pleasantly surprised . hotel Japantown anime theme . room anime mural , decor colorful clean . hotel overall clean . love toiletry , smell clean fresh ! housekeep good , lucky nice lady leave plug - in air freshener make room smell even fresher ! balcony face Buchanan , nice able open door let air . restaurant lobby , cup tea , many people seem love . hotel near Fillmore street , many restaurant shop choose . also little shopping center across street . also , walk couple block , catch # 38 Geary bus head Chinatown . great we since not rent car need get around use public transportation . negative area ( hotel ) shop restaurant open late , close pretty early . late night restaurant could find Denny 's - town catch concert Fillmore , disappointed place close early . , LOVED hotel area plan return next year . 
 Dec 2 2007 	 one good 	 many old hotel remodelle upgrade guest room , many invest extra time effort give room style personality . designer Tomo Japan Center go way create room comfortable relax also fun , big hand - paint mural wall artwork suggest various japanese pop culture image : Godzilla , hello Kitty , various anime character . upon arrival greet lobby television monitor show japanese cartoon old Godzilla movie , immediately hand free sample cold flavor sake . definitely nice greeting ' ve ever experience . desk clerk honor request room back . room 7th floor contain king - size bed , flat - screen tv ( get channel even fuzzy ) , stuff expect day mid - range hotel . decor basically modern Japan , unusual touch , like mural depict monster ( Godzilla ) attack Tokyo , large photograph woman 's eye . even artwork room extremely comfortable , know right away would enjoy good night 's sleep . location quiet could easily keep window open night , weather permit . little $ 100 incredible bargain room quality San Francisco . park overnight nearby Japan Center $ 15 , still great deal . neighborhood pack great restaurant . Japan Center restaurant along Fillmore ' ve easily get week 's worth great dining , within five minute walk . highly recommend hotel anyone visit SF : business traveller , family , honeymooner , anybody . unique decor ( low rate ) appeal anyone . 
 Nov 26 2007 	 good service convenient 	 great family please note furniture baby proof ! toddler wary bed frame . this fun hotel large clean room . bathroom dark though . upper floor great view . the location great near downtown Japantown quiet uncrowded . hotel parking easy expensive $ 15.there good restaurant nearby . Free Wi - Fi ! good value around . 
 Nov 25 2007 	 great value $ $ ; need work little hard 	 boyfriend stay Hotel Tomo Thanksgiving weekend , overall , quite happy . book online reserve three night $ 108 / ea . could not believe luck . room large clean , decor excellent attention detail . deliberately choose Japantown 's quiet , close great shopping ( coffee ! ) Filmore , quick bus ride downtown ( catch bus across hotel ) .The positive : big room king bed , fantastic modern / playful decor , big flat screen tv , iPod dock , tasteful complimentary bath product , in - room safe , in - room coffee / tea , parking on - site . negative : front desk staff curt terribly helpful , heat room work , run hot water ( still warm - ish ) morning , WiFi ( clerk give we cable , could hook free internet - still ... ) .A positive experience overall , worth value , fine tuning order keep guest happy come back more . also -- fun , crowded & amp ; tasty restaurant hotel call Shabu - Shabu . worth check . 
 Nov 5 2007 	 lucky find San Francisco 	 bad experience Beach Motel start look hotel parking far UCSF Medical Center , father recover surgery . live San Francisco , decide try Japantown . find Best Western Hotel Tomo , previously Hotel Miyako . actually room available walkup basis Friday afternoon ! top give we room $ 149 / nite tax parking include ! two double bed . hotel cute kind Japanese Anime / pop culture motif . monitor lobby play Godzilla japanese cartoon ! hotel look brand new modern furnishing room . Room immaculate small refrigerator , flat screen tv toiletry Lather , nice store Los Angeles . light bulb go , staff come immediately fix . overall , staff really helpful . japanese restaurant hotel , try , look like fun crowd evening . hotel quiet safe . parking accommodate guest car , get back early . mother travel really like hotel , even Anime inspire wall paper room . location close everything convenient someone car , little traffic area . also across street Japantown japanese restaurant shop . it lucky stroke find hotel even lucky stroke get room Friday without reservation . would definitely recommend hotel anyone look good reasonably price hotel San Francisco . 
 Oct 31 2007 	 safe location 	 stay Hotel Tomo part conference Hotel Miyako ( Hotel Kabuki ) , hotel own group . tomo unassuming street , fun hip inside : cool ( small lobby ) well decorate room good amount space . front desk staff ( save manager ) subpar , however . call advance arrival request early check ( travel nine hour get , not look forward kill two hour could get room ) , tell -- curtly -- check 2:00 , since housekeep clean room . funny , not think unusual request . arrive , find charge company credit card , conveniently neglect bring along ( arrive Saturday ) . back forth , get situation straighten , feel like little work do part ( guest ) . distinct language barrier front desk staff ( , save manager ) , frustrating not help make feel welcome . the heat room not work . thankfully , weather mild enough not huge inconvenience . the lock door not work . not feel like battle language barrier address , instead use chain door hope well ... say , feel neighborhood safe , even though first floor street access . clearly , live tell . the staff restaurant curt rude could easily answer question long wait would get table . housekeeping aggressive walk right room ( remember , lock not work ) , day check . hello , room already clean , check ( could not check early clean , remember ? ) . put disturb sign , would call phone . enough already . ' m set . the wifi access spotty , bad news business traveller . laptop well luck connect ; unfortunately , husband completely unable connect relocate cafe Fillmore Street get work do ( able connect problem ... ) .All say , room clean , feel safe ( even break lock ! ) , value good ( get group rate relate conference ) . would stay -- get good deal group rate -- would still plan bring along salt shaker , full grain salt would need stay . 
 Oct 30 2007 	 Impressive Design 	 boyfriend go San Francisco weekend choose Hotel Tomo central location , proximity Japantown , affordability . also curious contemporary japanese anime / art design skeptical would do well , probably be part best western chain hotel generally corporate bland taste . but say favorite part Hotel Tomo well design . execution impressive -- bedding , lamp , furniture , paint color , graphic -- put together create comfort serenity not experience hotel room . build situate quieter part town reinforce overall effect design space . front staff extremely helpful knowledgeable lot amenity within walking distance . hotel gem will return future . 
