good 	 good hotel nice aqua bar central location ND 
 life simple 	 like hotel . properly maintain , clean neat . room big enough comfortable stay love one . offer good variety food smile 
 Feb 28 2008 	 overprice likeable 	 Hotels category , ' m tell , gear toward business traveler ; hence price tag . price value ratio little meaning nonbusiness traveler . hotel category severely overprice , will look long hard less expensive place kind unhappy scary story attach . stay small tour group , not know pay , ' m sure significant price break . that say , like Park . stay three night . check ask upper floor room , get one 6th , fine . yes , bit shabby wear around edge . hallway floor creak bounced , carpet , well , amusing . staff friendly , eager , helpful . problem front desk mention posting . 's suppose & quot ; designer & quot ; hotel , guess . pink , burgundy , baby blue , hang bead , cloud photo mural elevator . 's & quot ; W & quot ; , ; sense humor helpful . the location ok , within walk distance Connaught Circle , repute major commercial district . well , guess , major / luxury hotel district , keep mind be New Delhi , London Paris , New York LA . 's noisy crowded . like everything Dehli , 's shabby wear - out . anyway Delhi spread , lot different neighborhood , convenient placement less meaning . the restaurant pretty good . light meal , tasty . try expensive , fancy restaurant right front desk . service bit slow , unusually India . breakfast buffet pretty darn good . extensive . even passable dim - sum ( commercial sauce ) . western entry ( cold cut cheese ) pretty strange . 's baked bean anyway ( India breakfast ) . Eggs good tasty . try little white rice flour cake sprinkle ghee spice mix ... yumbo . Bacon fatty good , chicken breakfast sausage place may want go ( live ) .All , would stay could afford . , next time will search small hotel b b 's , up - and - come category . 
 Feb 28 2008 	 acceptable quality expensive 	 Park official hotel conference attend . reason expect get great value money India , indeed outside hotel . Park price would pay rack rate return Delhi . a friendly polite driver meet flight weave amazing traffic system Park ( take 45 minute ) check polite slowroom ok special give price . room picture internet seem well one allocate . the electronic door lock annoyingly temperamental . generally staff helpful . the food good feature hotel . the bar pricey local standard . at checkout indian guy push front despite protest receptionist serve first . although happy tip visit , staff Park certainly active demand gratuity , give high cost staying find unacceptable . 
 Feb 23 2008 	 would expect 	 Park hotel situate pretty far city center , least ' call New Delhi . part room nice garden view , visitor part enjoy nothing construction work around . ' Delhi business trip important colleague choose good place stay . consider experience say Park definitely 5 star hotel . one hand suppose stylish , sort bathroom compliment usual level request , bathrobe slipper ( afraid put ) , pretty big room night service . hand , ' reality dirty towel , shabby furniture , muddy carpet old bathtub . since one evening leave business diner , try local restaurant , turn buffet . eatable , tasty . leave , one colleague pay minibar . first time life become witness staff check minibar case lie leave . reception guy tell one member group ' pay cola something , pay . later turn everything already pay , colleague even show bill cola mention . careful checking ! , 3 + hotel . understand , ' common situation New Delhi . exist luxurious hotel , like Tadj Mahal hotel , example . average price would 600 - 700 dollar per night . use Park hotel short business stay Delhi , although would definitely disappoint consider 500 dollar per night ' pay . 
 Feb 3 2008 	 Marginal worth Money 	 hotel obviously hip clubby . lot youngparty people restaurant club . seem tobe popular spot european tourist well . room wasclean accomodation ok . expect ridiculous price charge . due family illness wecould stay one night although book 2 . Whenwe arrive man problem settle something talk manager . think washaving problem later realize 4 time lobby , time guest problem hotel staff . find service restaurant ok indian standard , food good . breakfast good part stay . Themost gracious employee bell hop . difficulty settle bill early check . take long time ( 1 hour ) finally decide go get anywhere hotel staff ( manager finally ) give . , hotel good location . expect pay way much , get value money possibly trouble get refund plan change . 
 Jan 25 2008 	 think stay 	 stay 3 night . the customer service appalling complain bitterly duty manager . we arrive 10 pm first night , wait 12.30am access room sheet dirty also carpet . we end stay 2nd floor . do not . right nightclub . sleep 3 am . complain 3 time midnight keep say oh will not last long happen often . 2 pm offer we another room , tour 4 hour ! move floor 2 day later think might well join nightclub guess ! ? leave 3 am , make sure stay high hotel . the breakfast Fire restaurant good element hotel . 
 Jan 11 2008 	 Wierd designer 	 design hotel inane way put object relevance hospitality environment claim & quot ; designer & quot ; hotel ... hello funky wierd ! ! ! 
 Jan 4 2008 	 great location bit shabby around edge 	 love location hotel - really enjoy explore crowded Connaught Place ( make trip Fab India ) , fun dinner dv8 watch cricket local - 's close site , 's bit shabby . public space little dirty room hint grubbiness . linen see well day . want mention housekeeping staff friendly always ask need anything greet hall . rate hotel similar other category , consider large hotel like Park would recommend choose another area . 
 Dec 24 2007 	 room Vary 	 stay Park two night part tour . room vary ; room fifth floor quite nice group room third floor go sleepless noise reverberation disco . include buffet breakfast acceptable . dare leave hotel surround taxi driver , rickshaw driver , kid , vendor , etc . bad city ever visit . ( not go Kolkata ) . Delhi 24 hour traffic jam 
 Dec 24 2007 	 Park disappointment 	 stay four night almost continuously disappoint hotel . Service turn highly inconsistent . housekeeping poor : complimentary bottled water provide arrival , chase staff every day get complimentary bottle promise hotel . one day , three four towel room disappear replace go staff . Toilet paper ' replace either . mini - bar never re - stocked throughout stay . air - conditioning unit unable produce anything cold air , regardless setting select , nuisance chilly winter night . also impossible raise blind let sunlight . bath - room look snazzy problem : discernible mean ventilation , flimsiness shower curtain make impossible use shower without flood entire room . public area fairly cramp , especially lobby . breakfast buffet adequate unexciting ; one morning staff would turn light large part breakfast area half hour , leave guest eat dark . admittedly , unreliability staff benefit : one occasion waiter refuse let sign coffee piece cake result show final bill . even , would gladly trade freebie great consistency service overall . attach restaurant " Fire " quite pleasant food good , incessant self - glorification staff obsession questionnaire enough spoil anyone ' dining experience . airport pick - up major rip - off : hotel charge equivalent usd 40 pick - up Gandhi International , multiple even ruthless taxi driver would dare ask . ( deserve notice genuinely classy classy place like imperial block away offer free transfer airport . ) , get impression Park keen create superficial impression classiness back effort provide consistent service mar brazen rip - off . hard think reason choose place other . willing spend several hundred dollar night , make much sense pay little extra stay genuinely five - star hotel Oberoi Imperial . otherwise , save money choose decent place without feeble five - star pretension Park . would stay . 
 Dec 17 2007 	 one good hotel experience ever 	 stay deluxe room 3 night . hotel staff friendliest ever see hotel stay . breakfast buffet , lunch dinner buffet absolutely amazing . chique hotel good looking , young employee , stunning bar pack young people weekend nice pool ( big though ) recommend place wan na go party Delhi perfect place stay 
 Nov 29 2007 	 Dissapointing 	 hotel book time arrival 2.30 long flight London . staff appear concerned paperwork rather help we room . the hotel though clean amenity would expect designer hotel . also get feel Delhi 's fashionista visit place drink on . sadly , second night discover hotel night club ground floor , would fine jet - lag . long heated discussion reception move second eighth floor , woken & quot ; party & quot ; next door . it transpire hotel staff deal care enough send people sort matter . we leave feel quite disappointed know visit Delhi would stay Park . 
 Nov 13 2007 	 good location definitely overprice 	 stay Park Dehli 4 night October 2007 holiday tour India . hotel locate near Connaught Place , great . however , hotel seriously overprice service average indian standard . ( i.e book pick airport receive two confirmation e - mail . course driver expect we neither apology offer hotel . room rather small bathroom meant & quot ; design & quot ; unfortunately - designer forgot bit functionality ...... rather wet room make glass ! . food also rather mainstream breakfast terrible limited variety , unless fancy curry morning . because hotel central Dehli , quite noisy hotel certainly contribute loud music around pool night , . 
 Nov 4 2007 	 much well expected 	 read negative review hotel wife - two friend - impressed - particularly excellent attitude staff meet . Smiles helpful suggestion standard . arrive 1 a.m. check high quality room quickly efficiently . breakast room large bright one also eat outside large garden . range breakfast food good egg / omelette cook order . pool great bar round pool stay open till well evening . drink price quite high - case hotel Delhi . negative Park noise disco room near . ( hotel rate & quot ; happen place town & quot ; tell ) . room immediately disco ( wife ) find ear - plug necessary one four night stay . make casual comment noise one staff next day surprise immediately offer room change - not worth bother re - pack ! 
 Oct 20 2007 	 Carry Bags 	 look follow hotel Park Delhi you:1 ) Noise night , include weekdays2 ) Lifts working3 ) RECEPTION say call porter pick bag , COME , advise build muscle book 4 ) RECEPTION constantly baggere yopu enquire leave , know one sleepless night anyway5 ) poor breakfastSo desire hotel Park Delhi one . 
 Oct 10 2007 	 badly manage ` ` Design Hotel '' 	 business partner & amp ; Delhi 3 day business trip want somewhere central & amp ; offer we detail luxury & quot ; Design Hotel & quot ; . business Delhi tough , long day sometimes rewarding day seem frustrating want jump next plane there . as Hotels India seem housekeeping do man . woman traveler notice always seem invasion privacy point stay Park real feeling staff stay welcome room , pushy tip 's fill comment card . security staff would take bag room instead porter promptly ask tip . room service tray take away stay outside room 2 day . carpet room & amp ; corridor dirty . elevator mind would spend 15 min try get back room ! seem real lack visable management & amp ; rather large problem occur handle badly leave bad feeling would never want return . receptionist unwelcome approach efficient follow detail think come back Management . the food however good . buffet breakfast room service find good food Delhi . Believe try lot Hotels Delhi still search right one feel comfortable return business trip India . 
 Sep 19 2007 	 great 	 husband stay hotel stay overprice Qutab Residency . hotel $ 300US night also price . hotel Delhi seem overpriced . the outside not look like much , lobby quite intersting velvet lady washroom , bead curtain , etc . front desk staff quite nice speak good english . however , take awhile check reason . the pool nice . the room look like website , complete plasma tv frosted glass wall washroom . shower really nice lot pressure . bed extreemly comfortable room clean modern . the breakfast really really good believe include price . supper terrible . restaurant call & quot ; aqua & quot ; believe . everywhere India expensive stay . one really bad thing last night hotel hear thump night club night long one first floor . actually wear ear plugs sleep . leave hotel 4 am flight music still blast time . like hotel , not like price , hotel Delhi expensive not get value dollar . however , least clean . try get far nightclub possible . also pretty discouraging look window see poverty glamorous suite . 
 Sep 16 2007 	 way overprice 	 Hotel waaaaaay overprice get . Park Hotel minor step - up hostel . say think case many supposedly ' nice ' hotel Delhi . ( ) mid - range hotel . pay approx 250 usd , room US would cost less 100 usd . come expect Asia , place cost less 50 usd.decoration simple pretty , hotel look clean fresh , room tiny , water quality bad ! water seem clean , shower , always satly residue film entire body . towel dingy , floor sparkle clean . again , bad place , pay , wish go Taj . hotel seem safe area . female , travel alone . lot ot man loiter around hotel , property per se . bank / ATM next hotel , able go minor harassment . also able walk mini - shopping center , harassment , much . breakfast buffet nice flat screen tv nice picture , channel . hotel charge ridiculous fee use internet . price , least 1 free hour available hotel guest . 
 Sep 2 2007 	 Beware - hotel tax SCAM 	 checkout - guest find 12.5 % luxury tax apply bill standard India . SCAM Park apply 12.5 % tax rack rate room rate charge . nightly rate $ 168 , luxury tax apply base $ 300 room rate . two night , $ 75 . tax situation never mention book room check , find check . also stay Imperial Hotel Delhi - SCAM customer , case charge 12.5 % $ 450 rack rate ( $ 100 two nite ) , room rate $ 189 . prove RACK rate randomly assign basis reality . hotel staff say everyone check bad reaction . would not ? unacceptable hotel , especially level . we report unacceptable situatiuon New York Times , Conde Nast Traveler Travel & amp ; leisure magazine . 
 Aug 25 2007 	 Funky 	 begin end trip India Park . , stay two separate room . room funky , 60 's feel . fresh fruit provide room - eat orange -- - dry inedible . , since unexpected bonus , not really disappointed . bathroom & quot ; wall & quot ; frosted glass . , modest people might somewhat uncomfortable & quot ; business . & quot ; also , light bathroom see wall disturb sleeper . the lobby small frequently crowded tour group . the breakfast buffet include room - large design appeal international taste . the lobby bathroom , many India , attendant expect baksheesh . dinner good . , smoke restaurant still norm India - non - smoking area available . closely space table , smoke disruptive evening meal . drink also unchanged since ' 60 's . Manhattans Rob roy available . request recent concoction Cosmopolitans Mojitos greet blank face . staff also express desire try new thing willing make something never . 
 Aug 22 2007 	 love restaurant pool staff ! 	 Park Hotel cool swimming pool area , lively Sunday 's . room contemporary , small fill mod con . two restaurant excellent - go Fire three time treat like royalty staff - chef even come complementary specially make desert we last night . staff go way help great holiday . 
 Aug 18 2007 	 Modern 	 Park modern trendy hotel . far eastern feel . room small , comfortable . staff attentive helpful . negative bathroom v v small , slide door = zero privacy . bath tub pl note . the breakfast buffet good good place stay single corporate traveller . definitely family . 
 Aug 15 2007 	 look great magazine ' m sure ! average stay . 	 Park Hotel Delhi must look great magazine . must design award hip trendy interior . which reason enough normal people stay heck away MESS . , obviously luxury hotel , well stay van river . , truth tell , room quite good ( luxury suite whatever ) . , be exactly hotel 's fault nouveau riche indian cybertreneur insist advertising coolness make habit stand hallway talk loudly mobile phones.however , thing hotel 's fault . one , lobby unmitigated disaster . be loud hell . be chaotic . ask schedule trip concierge , take smoky junky back - office . front desk staff overwork lack good communication system - need many thing repeat ( check - out date ) several time . people stand around luggage everywhere - 's cramp . 's bloody mess . fair enough - ' new ' park build inside concrete carcarss old hotel . , do people , design award , mind.the restaurant overprice . charge US $ 150 bottle wine would cost maybe $ 15 wine shop - though service indifferent good . food outdoor restaurant hardly worth price - $ 15 cold pizza . food ( room service ) well . pool make look good magazine - actually swim . consider bill food $ 2000 3 day , would say much , much well . good hotel price would we enjoy amenity comfortably . instead , find hiding room rest hotel . next time ' m Delhi , try different hotel . 
 Jun 3 2007 	 trick false website image ... 	 website show really cool modern hotel neat restaurant bar . truth - 's run old hotel modern lobby . eat convert banquet room feel like & quot ; Shining & quot ; . room darker dirty 1906 's Howard Johnson . complain relentlessly false advertising , manager let we stay 1 room & quot ; design & quot ; prototype use website . grant , room cool , whole experience joke . 
 Apr 9 2007 	 Modern Chic ! 	 stay 2 night split across tour northern India . Overall Park clean , interior theme throughout modern chic . room small side still nice well equip , would expect . 5 star hotel claim , would definately give 4 star status . the staff friendly helpful , upgrade superior room second visit . the hotel also good location central , connaught place minute walk away . minus bar expensive ! overall pleasant experience . 
 Apr 8 2007 	 Chic small 	 return two week travel around India unsure would stay last night Delhi ... pleasently surprise Park ... step away shop Connaught Place Government Emporiums ... eight hour car journey mountain walk hip bustle modern design lobby greate young friendly desk staff ... room also modern fun , even though one small room great ... complaint , people mention , bathroom offer much privacy ( since touch Delhi belly .... ) spend prior three night old world Raj type hotel move Park highlight complex beautiful spectrum India ... maginifcent history current place emerge modern powerhouse ... India seem extreme .... since election go shop close day do sightseeing previous stay Delhi chance relax great pool giant disco ball enjoy outdoor space ... definitely would stay ! 
 Mar 31 2007 	 Quirky fun ... 	 stay Park 4 night begin March 07 . enteringthe hotel confront bustling lobby would look moreat home art gallery . modern , chic . modernisttheme continue throughout facility ground floor . from Fire restaurant ( not eat say good ) pool bar huge disco ball illuminate going ! room pleasant well equip . dark wooden floor , LCD TV , dvd player ( library disc apparently available request ) . strangely bathroom not standard rest room whilst ok , look bit place . hotel location great explore central Delhi suffer bit noisy , would expect . I find staff exceptionally friendly could not enoughto make business trip pleasant possible . overall enjoyable stay . 
 Mar 28 2007 	 experience Delhi Park - Awesome ! ! ! ! 	 Soma , would like thank team exceptional support receive DelhiPark ! ! ! terrible / horrify experience DelhiAirportpost miss flight Bangaloredue late arrival flight Jaipur . explain detail meet next time . strand DelhiAirportat 8:30pm without flight available hotel booking . try reach cell reachable . thing come mind HotelPark , although dint Delhicoordinates . call Park Kolkata speak Rajeev ( Lobby Manager â€ " duty ) explain situation . immediately contact Delhi Office 10 min get call Ritesh ( Lobby Manager â€ " duty ) . immediately hear confirm room two we also help we transportation bit . post kind terrifying experience two go thru way Park Team help we reassure ! ! thought keep informed customer focused team , make day go thru . Rajeev Ritesh : thank ton support . make we ! ! ! 
 Mar 14 2007 	 Good experience 	 Finding hotel room 25 people Delhi challenge . please Park , term room , restaurant , location , service . complication arise schedule , hotel management go way accommodate group . even host reception group thank we patience work scheduling issue . 
 Mar 14 2007 	 good base day 	 plus : good location , smart staff , realistic price 5 * book via usual web agency , trendy interior ( flat screen tv , LED bulb ) . nice pool area deck . con : Glass wall bathroom completely private . room particularly spacious . 
 Feb 25 2007 	 overprice comfortable conveniently locate 	 comfortable hotel , like Delhi hotel , seriously overpriced . hotel would cost half price part world . say , staff helpful respond request service promptly . location good , park across road allow peaceful walk 100 metre Connaught Place . 
 Feb 5 2007 	 deserve positive mention 	 obvious difficulty rate property previous four week accomodation Rajahstan generally much less standard . say , overall positive experience . the negative - expensive food beverage ( be new ? ) ; generally overcrowded lobby ; bathroom adequately soundproof bedroom ( generally problem slide door ) ; aggressive taxi driver forecourt ( likely beyond control hotel ) .The positive - lot staff uniformally efficient courteous ; good location ; great bed ; spotlessly clean ; dinner pool ; spacious resident ' lounge . we would go . 
 Jan 31 2007 	 okay Overpriced 	 spend 3 night two separate segment , pleasant , 4 star place , even though price something much well . odd - number room ( side face street ) much well design other bathroom door open drectly onto wc . breakfast okay willing wait age get cup tea coffee : self - help discourage often option available less hour free ! 
 Jan 3 2007 	 grow 	 stay Park first last night group tour . first impression hotel good brash foyer absolutely pack tourist arrive leaving - chaotic . however room super modern spotless space - age facility . the english buffet breakfast last day superb welcome 14 day curry . would recommend highly re - organise reception . 
 Dec 20 2006 	 charge lot get 	 criticize hotel room . although tad small size overall impression good . hotel location really good , within easy walk distance Tourist Offices fancy shop Connaught Circle . also walk India Gate Parliament building without difficulty hassle . problem Park charge much money offer . good hotel , 5 star hotel want lot money . breakfast good find bar price absurd . latter quite common northern India way . 250 - 300 rupee common beer whereas Goa price 45 - 50 . funny thing , goa crawl tourist surprised tourist see Golden Triangle . Anway find Park liquor price high Imperial definitely 5 6 star hotel , go figure . do not fail go dinner United Coffee Shop quite close . good food India cheap . imperial incredible restaurant price way there . the heavy set tuk tuk driver press little bit leave hotel actually good quite helpful . 50 rupee go long way guy Delhi . beware tout lurk around Connaught place . virtually everthing tell turn lie . 
 Nov 26 2006 	 really like Park Hotel 	 stay hotel two night end tour Rajasthan . contrary review see , find excellent respect , exception evening hear drill bang floor us - presumably room rebuild . find ambience , include ultra modern furnishing , pleasant relaxing . room large enough , large bed ever see - 3 metre wide ! staff anxious please invariably smile pleasant - service problem past management must work hard address this . we eat dinner find breakfast fresh comprehensive . I would definitely recommend hotel . 
 Sep 8 2006 	 well review suggest 	 say quite shocked negative review Park Hotel , opinion great place stay . possible reviewer expect Shangrila Imperial , doubt find room rate one hotel . park quite different standard Indian 5 star hotel . completely renovate hotel modern , kinda funky style IMHO refresh . ' m expert interior design , kinda like science fiction writer early 1970 would envision hotel year 2006 would look like . ' ve ever see & quot ; Sleeper & quot ; , & quot ; Clockwork Orange & quot ; will understand mean . RoomsThe room admittedly little small compare hotel Delhi , honesty , really not bother , although understand might bother . look big room , hotel . the room comfortable , although lack perhaps nice comfortable armchair , that s probably due space factor . plenty pillow bed perfect - save constantly ask housekeeping more . there wide screen LCD tv every room nice touch , be also dvd player , bring movie home . undertand film available hotel , not try . the bathroom nice design , though mention previous post door opaque might bother . restaurant BarsThere 2 restaurant 2 bar - fire excellent indian restaurant Agni hip bar . mist standard hotel 24 hour restaurant ( though funky ) Aqua outdoor poolside bar . Breakfast Mist typical hotel buffet breakfast adequate . LocationCa not get much well location - right center town , 5 minute Connaught Place . set acre parkland like Delhi hotel , hotel not walk distance shopping , restaurant etc like Park be . ServiceThis really disagree review . find service Park good , well Delhi hotel . example : get phone call 8 pm one night hotel sale manager invite downstair bar complimentary cocktail . meet bar introduce , explain like meet hotel 's guest . extremely pleasant fellow , open high cost room Delhi moment , offer advice get well rate - Park . also arrange 6 pm late checkout extra charge . treatment like gain repeat business , call good service . beyond , hotel staff opinion extremely courteous friendly . , Park super luxury , still good hotel , especially appreciate thing little bit different ordinary . one thing take consideration - Luxury Tax levy hotel room Delhi charge rack rate , discount rate . goverment regulation nothing hotel . 
 Sep 5 2006 	 mediocre hotel terrible staff service 	 book two night hotel website . however , due unforseen delay India , shorten stay one night . call hotel change reservation , manager duty arrogant flatly tell we could change reservation would pay night . Inspite charge two night , check day later schedule reservation 3 pm , room ready go lunch wait room . finally make room , massive renovation corner floor underway . grind noise hammer simply unbearable . call duty manager complain , want we understand hotel full , choice give we room next ongoing internal renovation . appear miff could appreciate dilemma assure we work would stop 7 pm start next morning 9 am . call complain work still go past 7 pm . room albeit stylish tastefully furnish designer furniture pastel color bathroom , small design little regard space maximisation . food restaurant mediocre price . staff reception disorient unfriendly . trouble , one care inquire . would stay place . 
 Aug 29 2006 	 overprice least 50 % 	 overprice 4 start property pretend 5 starwhat strike moment enter PARK , NEW DELHI 's lobby website fool believing say ! place definitely 5 star . qualify good 4 star status . sure , 5 star ! lobby small , clean modern art - deco type ( type sure ) . staff find prompt , lady escort family room take pain courteous pleasant . good . porter bring luggage room look menacing , not know ! wall pathway ( isle ) floor stain mark first mistake marble design ! room pay deluxe premium , turn quite small . could definitely make much big , least consider shell it . the furnishing room good , really can not enjoy size get . semi - transparent ( translucent ) bathroom wall radical idea , may gel well family . the food way overprice . guess price could slashed 50 % make feel reasonable . happy get , feel uneasy . another important point : remember ask hotel undergo renovation ? lady escort we room check give 2 bad news -- - Gym etc . renovation , repair go day ( ready noise ) . not mention website ? may book place know Gym close ! overall , plush 4 star property , way overprice . leat indian point view . 
 Jul 10 2006 	 disappointing stay 	 terrible stay colleague . absolutely nobody reception counter guide we . give wrong room . staff friendly really misbehave we . female , often take grant even staff try sexually abuse . avery bad experience . never return hotel anymore would recommend anybody stay Park New Delhi . 
 Jun 15 2006 	 overrate - not fool website 	 book Park basis positive guidebook mention cool , contemporary room feature website . arrival show boring outdated room drab brown & amp ; complain tell 2 floor update room . show contemporary room , tiny soft furnishing stain . protest nothing see far worth rate pay finally transfer suite . glitzy ( leopard print rug gold headboard ! ) v. large originally hope for . the staff courteous go way accommodate we . upside public area hotel elegant , lovely pool area bar location hotel good . 
 Jun 4 2006 	 Bad Service Bad Food Avoid 	 stay Oberoi New Delhi family go Mumbai back New Delhi styae park . walk though wow interiste hotel , concept design inscent burn lovely . go bedroom tidgey ! , plus porter take 2hrs 30min get luggage room , food rubbish , service extremly poor , lift not work pool not even vaguely warm . overall poor hotel shoudl't claim five - star . 
 May 23 2006 	 check bed 	 stay begin end tour india.love food service restaurant excellent . occasion check bedding prior go bed find sheet soil . second time soil masculine nature . think get picture . lady careful . 
 May 6 2006 	 totally agree Neil form London 	 totally agree Neil London concern service Park New Delhi . think give perfect description like . 
 May 2 2006 	 Disappointing ! ! 	 positive aspect hotel location . short stroll connaught place place surround unscrupulous taxi driver tout ( people get commission bring overprice tourist shop ) make walking bit nightmare . room clean comfortable overpriced . glass shower ok couple problem use family . serice terrible advertised service unavailable . travel desk joke , use charge almost rs3000 full day city tour go rate around R700 ac car . definitely rip staying place . 
 Apr 21 2006 	 great hotel ! 	 hotel madness Delhi ! spend 3 night really enjoy ! room immaculately clean lovely decoration , bathroom modern well fit , lot freebie great power shower . the pool area small well keep well design - warn , pool cold ! 2 restaurant poolside snack bar - try disappointed . food good quality , be not badly price consider expensive hotel . obviously cheap eat outside hotel - definitley give ' Fire ' restaurant go . great bar too . the staff lovely we , nothing much trouble always meet smile ! would say nice place stay India - several week around northern region goa . 
 Apr 20 2006 	 little diasppointing 	 first impression , little disppointe since lobby look like glorify 3 - star hotel rather 5 - star hotel . however room bathroom clean . on return Park overnight stay Agra , change room twice check - in . due fault part . reason despite specifically request non - smoking room time book check - in give smoking room . although room change change second time due another problem room . unfortunately we delay we miss engagement evening miss completely since leave Delhi next morning . little stressful I . I stay quite 5 star hotel around world appreciate mistake get make . however little take aback gesture make management acknowledge mistake example least complementary basket fruit . while staff Park pleasant helpful , not think rush back Park next visit Delhi . 
 Apr 11 2006 	 surreal experience 	 quite surreal hotel due ultra modern sterile interior . great service , lovely pool , good food . however could not help feeling could anywhere world due bland interior . suppose great want escape chaos india outside wall . Denim clothe waiter , glass bathroom wall , Terance Conran interior . like ambience great hotel . 
 Mar 25 2006 	 Plenty promise poor service staff attitude disappoint ... 	 hotel really much promise - ' m afraid ' m unable write positive review due poor attitude staff result low level service . moment check , service average - rather greeting customer smile , seem everything bit effort . staff reception genuinely want help - example , call question internet service , quite unhelpful - instead put someone could help , seem keen get phone . unfortunately 's reception staff need urgent training - service breakfast equally poor . hotel appear employ many staff , however mill talking , rather serve guest . day , wait table , whilst table free , yet clear re - set . rate charge hotel , breakfast quality extremely poor enough variety menu day . many item run regularly refill quickly enough . the room stayed recently refurbish whilst generally comfortable , ' m big fan nouveau styling . slide bathroom door not lock , whilst bathroom look nice , strange shape washbasin not particularly convenient use . lcd tv room nice touch , signal quality not scratch quite grainy channel . also , hotel will not provide extra bed room - mattress . manage convince housekeeping provide two mattress stack one top , however be still particularly comfortable . so , overall opinion hotel poor give fairly high room rate . really need make urgent improvement area customer service ! 
 Feb 20 2006 	 perfectly Fine Hotel 	 son stay Park two night think fine hotel - although bit pricy . be definately over - the - top far modern decor go include glass - wall bathroom art room . bathroom , bar soap one flower pedal lay carefully top . good shower , matress typical ( hard ) India . great pillow , though . eat casual restaurant dinner good food ( pizza cook wood - burn oven ) . not get take advantage pool area beautiful . issue noise . service fine . find English speak fluently Northern India , first stop north , think staff ( hard time understanding ask ) , be way ( compare Southern India ) . 
 Feb 5 2006 	 House music 3 am ! 
 Jan 15 2006 	 avoid PARK 
 Jan 8 2006 	 Comfy bed 
 Oct 22 2005 	 Surreal Lobby soft bed 
 Sep 23 2005 	 need well customer service 
 May 13 2005 	 descent Hotel 
 Mar 17 2005 	 Good Nonsense Hotel 
 Dec 14 2004 	 love park 
 Oct 14 2004 	 style substance Park 
 Sep 4 2009 	 Hotel park 
 Apr 1 2009 	 muy buena ubicacion . Calidad / Precio = caro ! . 
 Feb 28 2009 	 Kein 5 * deluxe max . 3 * 
 Nov 29 2008 	 design 
 Nov 15 2008 	 essenziale 
 Sep 10 2008 	 muy bonito pero caro 
 Aug 11 2008 	 Pour le restaurant ! 
 Aug 6 2008 	 Nos encantó 
 Jul 27 2008 	 Ein gut Hotel mit viel Nightlife 
 Nov 7 2007 	 Cooles Hotel 
 Sep 30 2007 	 gratamente sorprendido 
