will 	 stay whole week Thanksgiving Holiday love every minute . room cleanest fresh hotel stay . sheet comfortable choice pillow , either soft firm . view greatest , not spend much time look window . morning enjoy breakfat buffet gather round crap table ( $ 3.00 minimum , great ) get crowd . first , complain slot tight , last night morning leave , . staff friendly helpful not mind ask dumb question . room big , arrive , husband ask book suite . location convenient us daughter family live close able forego rental car . take shuttle strip one day hassle - free . life good Suncoast Hotel Casino . 
 May 8 2008 	 decent hotel price 	 husband originally plan stay strip . parent move summerlin , suncoast alot close , price reasonable . upon check , encounter first proble . make reservation , king smoking . check , girl desk , tell we sorry , queen room smoking . tell unhappy pay king room . kinda rude , tell suncoast 's policy , not guarantee type room pay , provide bed . ask even ask type room want , not go honor ? say 's policy , sorry . let us say , pretty irritated , ask speak manager tell not one duty , would not noon next day . mean one duty 15 hour could make customer service decision , find joke ! exhuaste , say whatever , give we room . room , except wrong bed , actually quite nice . roomy , view strip way distance . bathroom huge , double vanity area , gigantic shower , big enough husband shower time . tv , flat screen tv must leat 50 - 55 inch , channel selection terrible . get 2 espn channel , tbs tnt , local bet channel , be ! ! ! movie channel , weather channel , nothing . know be vacation not expect watch alot tv , would nice get ready night , bed.the bed , ugh , comfortable , pillow ? ? ? stay might well prepared sore , stiff neck whole time . bad pillow ' ve ever feel . actually go wallmart buy pillow , one unbearable.the next morning go front desk find would able move we king room , tell still manager , wold not hour . believe not manager duty time . handle serious problem ? halfway 2nd day , manager call room , say king room ready we . point unpacked stuff , irritated , not want spend vacation , unpack , pack , move everything complete opposite end hotel , unpack , come vacation relax . suncoast 's policy , mean people request non smoking room , put smoking room , be available ? 's case , would recomment hotel anyone , find policy ridiculous , misleading . casino find nice , lot game , fairly clean , always employee , pick bottle , cup , empty ashtray slot . several food choice , however eat deli , 24 hour coffee shop . also coffee every morning Seattle 's good coffe shop . would like coffee machine room , like hotel , rather spend $ 5.00 every morning gourmet coffee . thing food , 3 4 night , gamble hungry . go 24 hour coffee shop first night , service bad ' ve ever restaurant , work hospitality industry 15 year . waitress idea , not even crowded . take 1.5 hour 2 appetizer entree split , decide would eat remainder night . last 2 night really hungry early morning hour , stop 24 hour restaurant , ask order go , box , slow service last time . tell we , not take silverware . instead , order room service , exact menu , 4x price , bring regular silverware . really sure would not give we roll silverware , like deliver $ 30 appetizer meal , ridiculous ! not use pool gym , can not comment , movie bowling alley look nice . gift shop , quite nice , everything need lady work nice helpful . come time check , easy , right tv . call bellman ask luggage cart , 4 big bag . tell we would hour wait , make 2 trip . , facility clean , include sanitizer unit wall . customer service pretty poor , big reason people become repeat customer . sure stay , come visit family , live 2 mile away . seem like staff could care less people spend hard earn cash stay , not care attitude 
 Apr 26 2008 	 Short Stay Vegas 	 way visit Las Vegas relative national park Utah , stay Suncoast Casino Hotel find fit need perfectly . facility locate distance airport & quot ; Strip & quot ; , easy get car . , modest price , room huge , clean , great view 8th floor . Las vegas hotel , one enter walk casino , , believe , area 80,000 square foot hectare . various restaurant scatter around perimeter casino . neighboring vicinity contain several golf course large shopping mall . clean shine brightly desert sun . 
 Apr 4 2008 	 really good indeed 	 choose hotel wife 's first trip Vegas want start strip , Grand Canyon finally onto strip show side area . really echo people say hotel . got excellent mountain view room 6th floor , nice touch book standard room , room clean large . hotel spotless , food eat good quality , bowl good value , movie see par . gambling good , win lose , one grumpy dealer give hard time hold 14 show 6 upcard . 10 pull 5 tell take hit ... dealer etc really fun . the area around hotel really good shop like . arrive case inside case leave two full bag . joy rip Britain . hotel , right second leave . also cheesecake Factory real close . would recomend place strip stay . close Red Rocks well , good place visit . 
 Mar 3 2008 	 highly recommend 	 second other say . clean , crisp , sunny well - maintain hotel . waste space , let add something rarely read review : overview area surround hotel . suncoast near Strip . 's good 7 - 10 mile 's part appeal . hotel edge golf course surround upscale condo single - family home . be quiet -- like resort community gambling one . some room view Strip distance ( look incredible night ) , other view golf course mountain Red Rock Canyon ( nice wake ) .Good breakfast deal : price egg bacon casual dining restaurant casino floor ( forget name ) , breakfast buffet . many hot , fresh choice border brunch also good yoghurt cereal bar . I can not imagine stay Strip . rent car freedom play want go home good night 's sleep one good neighborhood Vegas . 
 Feb 28 2008 	 Suncoast Shines 	 Vegas conference vacation location price looking , casino relation & quot ; strip & quot ; . say , hotel experience great . stay 4 night , Sat 23rd tue 26th . room , book i4vegas.com , average $ 75 night . spacious king bed room spectacular view 3rd floor overlook north valley mountain . previous reviewer look non smoking floor room . 3rd floor nonsmoking get floor smoke problem . not time take ammenitie , pool hot tub , bowl lane , 16 screen movie theater , several great restaurant . hit ice cream store , coffee stand eat buffet restaurant Sunday brunch . great staff friendly service orient . valet guy gal also friendly earn every tip get . arrive room last day couple light bulb burn catch maintenance guy pass hall within minute back replace bulb . 's service . great stay great price . 
 Feb 27 2008 	 still beautiful lady 	 even though year , hotel still beautiful lady . room really good size clean . , give room view roof high enough could see mountain strip distance . bathroom door shower sink accomodate two people . bed comfortable room couch nice relax long day . we eat cafe , buffet streakhouse good . the staff hotel wonderful . treat really well everyone . staff afraid smile go way accomodating . we visit Las Vegas two three time year try different hotel time . one favorite one would mind try . 
 Feb 27 2008 	 Hidden Gem ! 	 could believe amenity place . room spacious great view flat screen tv . way away strip provise free shuttle service back well airport back . visit strip glad not stay . major plus gaming , $ 5 table , else Vegas . definitely back ! 
 Feb 15 2008 	 okay reek tobacco smell 	 choose hotel big bargain . travel consolidator classify property Luxury probably . specially love huge flat panel tv . bad thing , smoker hate smell tobacco . never expose unused clothe fear may absorb smell minute stay room clothe get smell . wish non - smoking floor room . 
 Feb 5 2008 	 Great Hotel ! 	 stay suncoast birthday weekend great time ! hotel staff fantastic always happy willing help we . rental car drive strip location Las Vegas Bldv . not problem . side shuttle strip run every hour half , cab need call , not show hotel like close strip . overall fantastic experience . 
 Feb 4 2008 	 Loved ! 	 look something reasonable Vegas night stay elsewhere not great . book Suncoast hotels.com great experience . hotel wonderful , staff friendly . lot gamble , theatre bowling alley . room service great ! food still warm taste great . be away strip , really want party hard , maybe place , lay back trip , great ! 
 Jan 31 2008 	 not want leave ... 	 travel husband 3 kid age 1 , 3 , 5 . experience write review . initially trouble book travelocity multiple conversation staff hotel everyone deal nice accommodating . begin trip already good feeling . January 29th , 2008 check ever treat . desk give name , clerk speak boss stand nearby let know new guest arrive hear woman say , & quot ; give suite . & quot ; register one bedroom would believe excited reach double door lead room . open door beautiful 2 bedroom suite ! ! entire place floor ceiling window look beautiful view mountain golf course . room tvs everywhere , bathroom ( along phone ) . tub deep large jacuzzi jet water jet neck . shower large master bath even multiple head variety setting . 2 nozzle continually oscillate back forth could adjust speed intensity . furnishing beautiful , wood dark attractive bar sit 8 people . could excite book 50 dollar . want leave , beautiful , especially day stare panoramic view . people want stay strip , place wonderful seriously 10 minute drive strip free shuttle take pick . casino downstairs nice size play little also . continually amazed everyone deal check clerk woman purchase bingo game consistently nice helpful . would definitely recommend place everyone . know , see regular one bedroom clean look quality , small . definitely stay ! 
 Jan 2 2008 	 FANTASTIC Hotel EXCELLENT Staff ! ! ! 	 stay hotel last March say really nice place stay ! staff WONDERFUL genuinely seem care - experience nothing pleasantness professionalism . like staff want request problem . staff front desk bartender make feel like matter . impressed professional nice everyone stay . room AMAZING ! mention bed - comfortable sheet pure mmmmmmmmm ! ! ! stay lot hotel say bed particular hotel AMAZING ! sheet smell CLEAN well - big thing . plan come back year HIGHLY recommend hotel . 
 Dec 30 2007 	 Excellent accomodation - great value money ! 	 read great review Suncoast - agree- can not go wrong staying . arrived- courteous desk agent advise we hotel nearly full . announce & quot ; upgrade suite extra charge & quot ; .Wow ! certainly lucky day - suite 10th floor 1000 sq . foot -floor ceiling window overlook mountain -a huge bathroom- 2 couch , etc . we breakfast buffet ( pretty good worth $ 6.99 ) late night supper coffee shop also pretty good expensive . suncoast may good option & quot ; first - timer & quot ; Vegas -as good 20 minute & quot ; Strip & quot ; . exactly- reason love it- gladly leave & quot ; Strip Hotel & quot ; experience noisy drunken & quot ; frat party & quot ; rowdy - & quot ; party till puke & quot ; crowd . to top all- - Suncoast award & quot ; good pay slot & quot ; something similar- local newspaper -and believe ! walk gambling winning 
 Dec 28 2007 	 unexpected gem 	 book one suite six night Dec ' 07 pleasantly surprised size amenity room - one would expect Summerlin hotel ... like high - roller suite strip hotel nice view Strip distance one direction Red Rocks other . room amenity excellent nicely appoint bathroom . unfortunately , shower head pressure 5 10.restaurants good quality - not expect 3 star will not disappoint . like off - strip property , entire staff friendly accommodate housekeeper dealer pit boss desk staff . as Vegas property , smoke casino unbearable , fortunately , not make 10th floor . 
 Dec 24 2007 	 Suncoast Great Place Stay ! 	 stay extended weekend . pay $ 47 Friday Saturday night , $ 25 Sunday ( yes , really . ) room fantastic . spacious , much large average hotel room . room large flat screen tv , clean , bed quite comfortable . view beautiful . look pool , golf course , dessert mountain distance . ( request pool side , side view nice . ) pool pool area look nice , unable use , cold . room non - smoking not even smell like smoke hallway . big plus , consider haze smoke casino . bowling alley theater also spacious nice . if want stay strip , can not beat place . drive strip easy freeway take 10 minute . as mention review , restaurant price fair buffet good . good surprise price hotel store . six pack beer $ 6 . would find grocery store . alcohol similarly price . regard price pay per night , rather exhaustive search , book i4vegas.com . far good rate . hotel ask $ 144 night pay $ 47 , website . , shop around give suncoast try . ' m glad ! 
 Oct 24 2007 	 Best Place ever 	 stay October 12 - 18th . excellent location , away hustle bustle strip traffic . great eat place around , shopping one like shop . one great bingo hall ever . come April $ 46,080.00 playing bingo , come back time husband $ 1430.00 play bingo another $ 500.00 call name raffle draw . room die , absolutely beautiful , wonderful view city , mountain golf course . next door also two casino enjoy , 5minute away beautiful Red Rock Casino . the slot also nice play , win lot , stay alive lose shirt . will definitely come back stay . 
 Oct 10 2007 	 great 5 Day vacation 	 love place . say & quot ; local & quot ; casino truly felt welcome . reception desk housekeeping , sheer delight . clean nice big room . nice big screen tv wall . close everything ( 7 mile strip ) buffet wonderful price affordable . 50 get player card get buffet discount buck . dealer friendly matter employee cordial . lot see nearby like Bingo slot treat . slot kinda generous lot fun one play well . although lot people around loud noise hear casino . 16 plex movie theater always say would go never get arounf . play Texas Hold Em tournament great even though neither us money come pretty close . Via Veneto italian resturant good certainly worth try . great price great italian food . much suffice say husband love . check website . Nancy Ted . 
 Oct 4 2007 	 great place ! 	 need hotel near Red Rock ( expensive conference hotel ) , one great ! though weekend rate pretty high , much low comparable one nearby . book entertainment.com , get good rate good free breakfast buffet every day ( except Sunday brunch ) . liquor store price cheap , king size room beautiful spacious , though hotel completely sell one night , not hear noise room ! fitness room hot tub virtually unused nice . bagel shop great dessert even pizza special ( ok , great pizza taste , 2 large piece coke $ 5 can not beat ) . car , couple really nice restaurant end block . , free shuttle airport strip want . definitely money saver ! bring coffee / coffee pot ... really love . 
 Sep 30 2007 	 Decent Place stay 	 experience suncoast average compare hotel stay Vegas . book non - smoking room due allergy tell upon check non - smoking room available front desk staff unwilling accommodate allow switch room 2 day stay . since travel business sharing rental car other group relocating option . surprise smoking room decently clean not smell much like smoke think would . could casino smoky casino typically . several thing suncoast besides gamble . bowling , movie arcade . mexican restaurant pretty good . 
 Sep 6 2007 	 bad all - in - one . 	 suncoast all - in - one stay : Hotel , casino , restaurant , bowling alley , convenience store , movie theater . room nice , reasonably comfortable bed , lot space , nice bathroom , good cleanliness . not impress restaurant except steakhouse , price reasonably produce excellent meal . casino extensive , not spend time . kid , aware floor - waitress outfit rather racy ! big complaint high cost in - room internet access . expensive ' ve come across yet ( $ 17 day ! ) overall , everything hotel average average . not overly impressed ... definitely low cost area , worth money . 
 Aug 3 2007 	 Suncoast -- -- -GREAT value $ ! 	 Suncoast give excellent value bargain price ! often get wonderful room $ 50 : spacious , clean , comfortable king size bed & amp ; large sized flatscreen tv wall . casino fun , fairly loose video poker machine . find hotel staff usually uniformy pleasant , helpful & amp ; courteous . drawback place buffet & amp ; italian restaurant pretty good , 24 hour coffee shop decidedly mediocre -- -- -only couple menu item worth order . otherwise , great value buck ! 
 Jul 24 2007 	 surprised lovely room ! 	 family live near hotel eat cafe several time . always please food service cafe . trip find need hotel room 1 night . choose Suncoast low price close proximity family . arrive room surprise lovely . possibly remodel recently . 2 room , one 3rd floor one fourth floor . comparision hotel room quite spacious . room large flat screen T.V 's granite countertop bathroom . bathroom two room shower toliet separate vanity sink . room include iron ironing board . downside coffee maker room . two room , room face pool nice view room opposite side boring view . website book room give we free breakfast buffet . ' m glad free good ! would eat . 
 Jul 21 2007 	 good hotel money need improvement 	 decent stay . love location -- nowhere near Strip Downtown ( could get either 20 min car ) , close Red Rock Canyon . treat look window see golf course mountain instead hotel tower neon light . the room huge , clean , nicely furnish , ( oddly ) little light available night . floor ceiling window make bright cheery day , dim lamp room . strange . large plasma tv ok selection station . internet connection advertise mine not work . & quot ; technician & quot ; send help useless - barely know computer be . other amenity ? fitness room adequate , nothing . steam room , spa , etc . , miss . swimming pool ok , nothing write home about . food range so - so pretty good . buffet notch two average Vegas . coffee shop blah . good graveyard special ( paper least ) not try . food italian restaurant OK . hand , Primo 's ( steakhouse ) fabulous -- excellent food , superb room , good price . one good meal ' ve Vegas ever . they seem basis cover come gambling , service rocky . one night sit blackjack table , put $ 100 ask change , dealer keep deal never cut game . walk away . complain pit boss not seem concerned . guess stuff like happen lot . service part casino similarly spotty . want money ? poker room good , like one Orleans well -- atmosphere ( maybe be old ) .this place definitely draw geriatric crowd . arrive Monday Thursday night see appreciable number people 50 , even mostly senior . this place provide good base operation want away Strip choose foray . be also close new Red Rock Casino , spectacular four time price . stay Suncoast , hang Red Rock , will great time . 
 Jul 1 2007 	 nice ..... 	 suncoast mediocre hotel shabby furnishing unfriendly staff . hotel room strange layout old furnishing . housekeeping staff keep clean , feel like . front desk staff helpful friendly . guest 65 , plus minus depend viewpoint . lastly , hotel offer hotel shuttle , go two three time day , helpful . 
 Apr 25 2007 	 Nice Casino / Terrible Management 	 nice clean casino affordable restaurant . however , service get host manager nothing short & quot ; Unacceaptable & quot ; . one new casino Summerlin area give management right chip shoulder . unlike casino treat guest would want treat , suncoast management not care one pulse long one bring revenue casino . their compensation player & quot ; Zero & quot ; . sit 5 hour end $ 10 buffet voucher , write expense . stop executive host ask question table action purposely ignore walk away . casino past swear family friend never make drive step casino . suncoast management understand casino Vegas close well . would rate bottom barrell . suncoast management : go back basic treat customer well come back action . 
 Apr 13 2007 	 WOW ... find 	 great place . can not wait return . huge , clean room . nice employe come across Vegas . drink service great waitress sexy outfit . numerous dining option great graveyard special . Gift shop sell liquor reasonably price . suncoast first class every aspect stay valet parking checkout . look stay off - strip , place would hard beat . 
 Mar 31 2007 	 love stay suncoast 	 go Las Vegas year stay different hotel , last 4 year stay suncoast love . room huge view wonderful . even big bathroom not find often . always ask mountain view overlook pool , golf course beautiful mountain . breath take . hotel far Red Rock Canyon . hotel staff friendly . never problem . great restaurant . several choose . love eat buffet Mexican restaurant . pretty reasonable . 64 lane bowling alley area kid enjoy . anything need find . nearby store . shuttle take strip free charge guest hotel will not bother drive . plenty good slot , table even bingo . also movie theater . feel comfortable safe stay . plenty security . can not go elevator evening unless show security room key . check give fun book discount . like say love look forward trip year . would highly reccommend hotel like away really busy district like strip . Larry & amp ; Sandra ( Mobile , AL ) 
 Mar 23 2007 	 Great value Great Gambling Great Find Las Vegas 	 like safe friendly hotel / casino , place . tired Las Vegas Strip , place stay . surround golf course mountain , 20 minute Strip , love Suncoast . room huge , bathroom classy , huge towel , great bed , can not say . gamble economical , still make big bet win . good Las Vegas experience . food buffet good , Oyster Bar fantastic course ice cream shop great variety - especially carb - free frozen yogurt . everyone polite , happy willing help - even dealer . local patronize place bet odd double deck black jack , . safe also important , never feel uncomfortable threatened . big shopping mall golf course blast ! 
 Mar 20 2007 	 great value 	 Outstanding hotel . stay huge suite good price . hotel room clean . room quiet , noise hall room . excellent service : valet , bellman , room service , front desk . front desk two crib room arrival . hotel , call two three time arrival get crib deliver , matter often request ahead time . issue : pool heat much needed . 
 Mar 20 2007 	 Nice Hotel nice area 	 stay Friend . lot shopping day stay hotel night . go bowling , watch movie gamble hotel . area Summerlin nice area . not really travel far ... everything there- shopping dining choice . traffic hotel bad . avoid rush hour traffic . leave hotel morning return around 6 pm . not catch much traffic . traffic 15 - 20 minute away strip go North . staff nice except Cafe eat area . waiter rude . italian rest . really , really good . 
 Mar 13 2007 	 Suncoast Hotel mixed review 	 Suncoast Hotel nice . room standard king room spacious clean . bed pillow rather industrial ( hard ) . fitness room well - maintain hotel overall pleasing . casino well - ventilate equip standard gaming . the breakfast buffet bargain & quot ; mature & quot ; folk . evening buffet mediocre good . the desk verrrry slow checking in . the big disadvantage suncoast location away Strip downtown . isolate residential part northwest Las Vegas . try compensate make free shuttle available run time take guest airport Strip . 
 Mar 5 2007 	 Nice hotel fill cigarette smoke 	 stay suncoast 4 night attend conference . room spacious , view golf course nice , food many restaurant pretty good . the downside cigarette smoke . non smoking floor - thank goodness . much smoking casino cut casino get anywhere else hotel . the location hotel convenient several interstate quickly move around Las Vegas . we hike Red Rock canyon 5 mile hotel . go red rock canyon website find guide hike work schedule . Met small group take beautiful 6 mile hike canyon . free charge . hotel nice smoke drive crazy though ! 
 Feb 25 2007 	 good choice away strip 	 stay first visit Las Vegas . one plan hike Red Rock park mountain bike surround area , hotel convenient . room nice- spacious , clean bathroom huge 2 sink toilet / shower area separate door . also quiet , not hear another guest even toilet flush whole time . casino new experience we , one find pleasant , blast past place smoking allow . matter door enter cross casino floor get elevator , probably intentional design . amuse slot machine theme like & quot ; Buffet Mania & quot ; & quot ; Sea Monkeys & quot ; . not gamble we casino annoyance , really can not comment merit . one nice feature suncoast availability activity gambling shopping . movie theater multiplex bowling alley open 24 hour . the food on - site restaurant good reasonably price . whole make good base explore Las Vegas area good value . 
 Jan 24 2007 	 Excellent ... 	 ' ve do strip want something different , . 's nice hotel locate 10 mile away strip . good thing drive back strip hotel much traffic get find area vegas . load shopping / eat complex road Charleston Sahara far enjoyable eat shop . location - wise , car , excellent place . the hotel local friendly . dealer great fun talk check - in minimal fuss . load free parking will likely drive restaurant nearby eat . room quite large spacious . importantly clean . stay one night Bellagio see difference find small far expensive . impressed be another review .... Pricewise get something like US $ 110 per night trade show time pretty good . ' ve get car , do Vegas Strip thing , great value . sure next January 2008 stay here . very pleased . 
 Jan 15 2007 	 Different Vegas Experiance 	 hotel 20 minute strip area good golf course locate . it large shopping center across street variety shop . the hotel bad , friendly staff , service quick department . gambling profitable least drink server come machine every couple minute rarity strip anymore . there huge bowling alley not expect walk able bowl always busy league , etc . you show half hour lane available take number wait wait wait get lane . then deal bad lane condition drunken fool run lane ball stick hand drink spilling . the bowling pro shop great ball , shoe , etc . there also movie theatre arcade suncoast kid friendly . we stay suite 2 bedroom nice enough place uncomfortable bed bad linen encounter year . the flat panel tvs wall nice room clean . good water pressure hot water bath shower plenty towel . do eat buffet decent price Friday Seafood night popular . I never know people could pile eat many crab leg one night ! several place eat hotel along gift shop snack . price much cheap strip . parking either cover garage outside lot easy enough get of . Valet course also available . if need stay part Vegas would stay bring kid not make feel unwelcome like hotel . I would however make first choice adult trip . 
 Dec 19 2006 	 good choice not mind away Strip 	 wife stay mid - December , 2006 weekend getaway Los Angeles . everything wonderful . quick rundown begin end:1 ) check - in Sat . afternoon quick smooth . one issue registration desk heart casino . park side parking lot ( close 95 freeway exit ) lug bag thru whole casino . see bellman , not look one either . 2 ) employee contact polite . use credit card check - in , ask I d . since victim identity theft , appreciate day . 3 ) room quite large , 550 square foot . king - bed . room flat screen tv . note bring kid , channel choice pretty much limited news sport . table , plenty outlet , sofa bathroom huge . two sink toilet / shower area slide door separate . one little nicety wife hairdryer locate room powerful standard tiny one motel chain . view important we nice one overlook golf course mountain . overall , room clean , spacious , weekend rate $ 150 ( 163 tax ) may high Vegas pay lot less Vegas . negative think lighting . tiny lamp not lose contact lense ! ! 4 ) eat breakfast dinner coffee shop , Cafe Siena . food quality decent though time order food get front seem slow . service seem fine timing may due kitchen since meal seem slow come fortunately , food still hot ! 5 ) wife play slot spend time race / sport book , smallish casino suit need fine . like & quot ; float & quot ; around , casino may good choice . 6 ) jacuzzi area nice towel provide . 7 ) though would say hotel promote bring kid ( & quot ; warning & quot ; sign post tell see kid , adult well attach ) , movie theatre , bowling area , ice cream parlor keep occupy . pool small maybe well come summer want lot splashing / diving . 8 ) mention previous review , hotel 12 + mile heart strip . suggest car hotel shuttle take sister property towards south part strip , Barbary Coast . Marriott hotel next door small casino call Rampart need variety . probably 10 minute walk door - to - door.9 ) check desk breeze . option check via tv . enjoy stay thought not need strip not mind drive , accept pay Circus Circus rate , want good - sized , quiet room , give place try . 
 Dec 18 2006 	 Nice Hotel 	 daughter swim meet Las Vegas stay hotel since close pool . mainly residential area kind far strip . , nice hotel not need close strip fine . room nice large . bathroom nice separate sink area shower family . thing not like fact mini frig room pillow horrible . bed not bad pillow really bad . head actually hurt pillow . ask hotel pillow say . not sleep well 3 night since pillow bad . would highly recommend bring pillow . learn lesson next time . hotel nice movie theater nice daughter get together friend afternoon . nice bowling alley not use . go buffet okay . not bad buffet nothing would die . go Seattle 's good coffee stop lobby every morning convenient . also go bagel deli place alright .. overall , decent hotel not bad need . need area Las Vegas not bad choice . nice area town lot restaurant place shop close . 
 Oct 10 2006 	 birthday experience 	 suncoast absolutely adorible . room comparible hotel vegas . pool beautiful . especially sunset reflection sun resonate beautiful golden panel hotel . especially love fact suncoast smell like ashtray . super clean ventilate . downfall bit away busy part strip . positive side provide shuttle service strip . 
 Sep 26 2006 	 bad 	 stay aug 06 . bad hotel . basic neccesitie . basic room also nice esp flat screen . casino average . food average ( go elsewhere ) . far strip . overall pleasant stay . would go back value primary objective . 
 Sep 25 2006 	 Beautiful room 	 little bit far away review make , say 20 min . not think , unless drive 100 mile per hour know exactly go . shuttle take around 30 - 40 minute . nice . make sure pull go lobby , valet service , park , end drag luggage everywhere , decide get back van , park east side still drag little bit . the casino pretty big , pretty popular far away other . not think smoke bad , non - smoker bother much . buffet pretty big , several different station food ( mexican , seafood , mongolian , chinese , american italian huge desert station ) try thing never . flavor food average , even little bland . eat . second place eat Cafe Sienna food great large portion fair price . restaraunt also room service . kid us restaraunt eat at . and finally room huge beautiful , make sure get view mountain golf course , also look pool ( never busy ) . bathroom huge , seperate room toilet tub . double sink counter room . huge 37 inch tv living area , order movie 11.00 , not though . bowling , arcade movie theatre bore casino . bowling price fair , wednesday 1.00 draft beer special . this clean casino , everywhere look employee clean up . Payouts machine ok , mother alright , 1000.00 , one night hear alot yell scream table , someone lucky night . * * negative : casino freezing , feel sorry cocktail waitress skimpy outift . want cab service make arrangement 24 hour advance , ( find hard way late mystere show 20 minute ) . bit far away , 1 day strip care . hope wonderful time ! 
 Sep 5 2006 	 Nice Hotel 	 stay suncoast Labor Day weekend . place 20 minute Strip , fine rental car . place sell weekend , although request non - smoking room , time check Saturday , smoking room leave . let say , smoker , smoking room really difficult ! know ' m Vegas , not mean need around smoke room ! well , able switch we non - smoking room next day great . hotel nice , nothing spectacular , 's clean amentitie would want ( pool , restaurant , casino , cover free parking ) . breakfast Cafe Sienna . food good waitress , Pearl , doll ! 's local , give we tip around drive around Strip . also breakfast one morning Bagel Express good well . price place reasonable . the room spacious 37 & quot ; flat screen tv . husband love . 
 Sep 5 2006 	 nice stay 	 stay suncoast way back California trip . get nice rate Sunday Labor Day , especially consider holiday hotel rate Las Vegas . have stay Orleans , own hotel group , choose hotel base great stay would experience Orleans . check - in go quite smoothly , without long wait reception desk . go assign room , instead 2 bed have request , king bed sofa , not work party 3 . call front desk , switch we different room 2 bed . the room large , nice flat panel tv husband grow son love . bed comfortable , linen pillow could use update . like way bathroom arrange , 2 sink outside toilet / shower area , make convenience 3 we try shower get ready morning . room non - smoking , entire floor also non - smoking , help eliminate smoke smell . we go bowl . bowling area large , 64 lane , be nice something not gambling associate . as traveler mention , be extremely smokey casino area . not spend time , annoy even walk . main complaint hotel way 's lay . parade casino luggage . would nice separate entrance hotel guest bypass casino . we definitely stay Coast hotel . 
 Aug 22 2006 	 Decent Room GREAT view .... 	 stay suncoast four night mid -- August . hotel 20 minute Strip , depend traffic . room generally fine ( although lack minibar / fridge seem odd ) , view Red Rock Park absolutely astonishing ! floor - to - ceiling window room fourth floor give we absolutely stunning view hill . view alone worth room cost -- make sure ask room view ! oddity include lack concierge way registration desk hide among slot machine . give price , would certainly stay , certainly mid - price casino , Bellagio ! 
 Jun 1 2006 	 Strip ? fine ! 	 not normal Vegas thing stay way Summerlin not problem -we tend go climb Red Rocks near perfect location . Loved Cafe Siena 's & quot ; Graveyard Specials & quot ; midnight 9 am Monday thru Friday ( think Monday ) breakfast amazing $ 1.95 . brillant food edible . really not eat hotel much - breakfast either Seatles ' good stand bagel place . guy front desk talk we golf course view - non - smoking 3rd floor available - would pool , near construction would hear delivery truck - super pleased 9th floor non - golf course view . view two huge condo tower build - far enough away never hear -plus Memorial Day weekend see work Friday Tuesday . room big expect - bathroom . one thing not care room bathroom little bit dark . love bathroom Paris - willing give exchange hearing next door neighbor ' every word ( thin wall Paris bug ! ) .All would stay = would really love go new Red Rocks Palace Station next ! 
 May 13 2006 	 good stay- lot amenity 	 stay suncoast week work las vegas . hotel lot amenity , many restaurant , would great family ( movie theater bowling alley inside ) . room large , luxurious , nice clean . also adjacent many golf course . would recommend would stay ever area . 
 May 9 2006 	 place great 	 absolutely love hotel ! stay last summer perfect . 20 - 25 min . strip , problem us car . be kinda small , 300 room , make easy get around . pool awesome ! ! ! be big ... never crowded .... July 105 degree ! get lunch deliver pool burger fry great ... need . we eat breakfast buffet , little cafe ( p.s . brownies cafe scrumptious HUGE ) ... well worth money . never eat dinner hotel , always town . eat Cheesecake Factory , right across street shopping complex . 's yummy really good cheesecake ! eat 3 time ( chicken madeira fave ! ) . see movie theatre Rampart Blvd ... corner Sahara ( sister use live Vegas ... numerous time know way around well ) , see movie Suncoast , although hear nice . we go bowl .... last night 2 say go bowling 2 ! alot fun .... pretty crowded middle Thursday night ! still plenty room everyone . we check Studio 54 OPM ( numerous time .... favorite nightclub ) . blast . also ate eat Carrabba 's , TGI Fridays , Mandalay Bay Buffet ( fave buffet ... Sunday 's free champagne DAY ! ) , Aladdin Buffet ... good . definately buffet critic ... know stuff ! great trip .... great price . sure back Vegas home away home ! 
 Apr 29 2006 	 big room short amenity 	 spend one night Suncoast Hotel Casino family trip UT AZ national park . want strip . gambler . this hotel : * large room . 2 kid 2 adult feel cramp * large bathroom sink separate toilet & amp ; tub area * double sink plenty space * table 4 chair eat breakfast ( buy room service coffee shop ) * really ugly beadspread curtain not match carpeting * one lightswitch control entire bathroom * zillion slot machine greet way -- be even obvious registration desk ! * nice pool hot tub * neighborhood find restaurant store -- lot modern mall - type place area . eat smokey restaurant casino * game room * bowl alley * movie theaterthis hotel * Distrub door hanger -- maid come twice barely knock * coffemaker room * free wireless internet -- cost $ 10 * refrigerator minibar room * smoke - free environment , except room * enough pillow * comfortable bedsSo overall , typical Las Vegas , nothing special . cigarette smoke downstairs overwhleming . 
