Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Jul 5 2009 	 fabulous hotel fabulous location 	 stay Roosevelt boyfriend 5 night fantastic stay . worried negative review see TripAdvisor could not find anything wrong hotel . staff friendly helpful . room clean comfortable - bed really comfortable . lobby gorgeous Mad46 bar lovely . hotel perfect location big New York sight . book hotel though Expedia get really good deal King Size bedroom . come New York every year definitely return hotel . 
 Jul 4 2009 	 outdate . clean . rude 	 First let begin state ' ve travel NYC business pleasure many year . yes , hotel good location , NYC . lobby look grand web site present , one time ' m sure sparkle gem . hotel run , outdated , live web site photo . room dirty . hair bathroom , tub , toilet bed sheet along w / stain . moment check - in till check find staff nothing unhospitable . ' m sure choose work hospitality industry enjoy work public visitor / guest ? think LOT well NYC price range three star class hotel claim . 
 Jul 3 2009 	 Old Outdated Fancy Lobby Room worth amount money 	 stay SOHO 2 night early pay half price Hampton Inn . free breakfast , free wifi , room twice clean twice size Roosevelt . room old rusty air con , dirty wall , broken shower . room 1581 . 
 Jun 29 2009 	 Comfortable 	 really enjoy stay . bed comfortable , great location , helpful staff . pipe neighboring room little noisy night , not bad . 
 Jun 28 2009 	 need update 	 Reception good place , helpful staff quite grand . room reasonable size date , bathroom need totally renovate . restaurant close evening room service expensive , business paying would felt rip . hotel cheap go somewhere else money . also , cable / pay tv wi fi stay temporary . 
 Jun 28 2009 	 lovely hotel friendly staff ! 	 within perfect walking distance everything , nice ! check room upgrade large one two king size bed ( originally cozy queen go share BFF ) not sure . room nice , bed amazing . narrow like would expect hotel NY not small . night town get back hotel want try seasonal rooftop bar room book say would open late , closed . head regular bar . bartender super amazing , make we drink try house . friendly : ) next morning bus not leave till later day not want lug bag around woman desk extente check till 1 charge . doorman also awesome , informative helpful , help we decide enough time walk make dinner reservation time get cab . 
 Jun 25 2009 	 Super location 	 staff friendly helpful . location excellent short walk Grand Central Station . lobby beautiful , room comfortable , bathroom pretty small . complaint would odor floor step elevator room perfect , odor . definitely stay ! ! 
 Jun 24 2009 	 sure rate high ! 	 choose hotel base combination price trip advisor rating . good thing location , 2nd good shower ( good water pressure hot ) . room tired peel wall paper dirty net curtain . bed comfy though . Bathroom Ok damage mirror crack basin . stay well place New York price . bit fade european styling need update . 
 Jun 24 2009 	 Great Location date hotel ! 	 stay first three night honeymoon . Roosevelt easy find look extremely grand enter hotel . carry lot luggage carry flight step face walk foyer . prove challenge although plenty staff around offer assistance . ny time know expect large room pleasantly surprised size get hotel desperate TLC . corridor lift need refurbishment , room clean date . corridor strew room service item discard outside occupant ' , include several broken wine glass , safe thing lie around feel ! ! could tell Roosevelt use fabulous hotel modernise decade lose lustre . would recommend hotel cheap stay good location ' expect anything glossy website suggest ! 
 Jun 22 2009 	 great look not look great 	 good : - location : five block ts area , subway , etc.- Service : average consider pairs.- food : innovative cookery , however expect level nyc.the bad : - price v / s value , even consider will not get anything cheap nyc.- Size : Hotel many room nearly 15 floor , seem little big handle personnel . see dish table often corridor time usual.- Old : Air conditioner noisy , poor bathroom infrastructure . 
 Jun 18 2009 	 Loved NYC return Roosevelt 	 stay Roosevelt May 2009 three night . first visit NYC although love NYC would stay Roosevelt Hotel . upon arrive hotel impressive due decor grandeur lobby , 's end . purchase accommodation online offer room half price - 150.00 night , worth would definitely pay 300.00 night stay . ok pro fantastic location , walk distance Times Square , Central Park . one block away Central Station , Good Bed New TV Monitor . con : hallway room look outdated use , would need plaster paint job . room small , well suited wash sleep - stay long period , use lobby - pleasant ! ! ! provide coffee machine , like look forward first sip coffee morning - will wait ' till get outside . hotel service cost - pay everything opinion expensive . example , 1 ) provide Starbucks Coffee lobby double price star buck charge , way Star Bucks coffee shop one block away , 2 ) provide wireless internet 17.00 day - place provide free charge 3 ) ready tip always service may want , arrive Hotel Staff grab suitcase deliver room without ask - course tip . here tip may save money , whereas go hotel may cost . Central Station , booth several free guide restaurant price location , attraction etc . suggest check , pick restaurant within price range several good one choose . subway practical cheap way get around . quite impressed 's efficiency cleanliness . hotel try sell idea take cab airport . take shuttle service half cost , 24 hour reservation , drive Hotel pick location - http : //www.nyairportservice.com / page.php ? id=31.it be worth stay good deal , time visit City need Hotel Services - oh bring coffee pot . : ) 
 Jun 16 2009 	 elegant hotel excellent location superb staff small room 	 stay Roosevelt probably 10 - 15 time last 4 year frequent business traveler New York remain first choice . find lobby quiet inviting . build golden age american architecture , enjoy class elegance hotel lobby display . upon check , always plenty people check matter time day . key 5 elevator unfortunately quite slow many floor cover operate bit slowly . arrive room may find bit small taste , typical NYC . bed elegant quite comfortable , even end one small & quot ; cozy & quot ; room bed take room ! bathroom always clean ample supply . suppose criticism carpeting decor bit outdate dull . upgrade suite really nothing regular room , additional small room ugly green carpet gross looking couch . nonetheless , quiet comfortable . eat restaurant can not comment , ' ve spend plenty time night cap work drink hotel bar . 's quiet classy , attentive bartender . 's also small table prefer alone . excellent assortment fine liquor ( ' m scotch guy ) , beer . 's little pricey honest , ambience inviting . 's rowdy even noisy even be crowded . ' ve get room service many time food always delicious time . try Salmon half bottle white wine . good feature business traveler car service available almost time take right LaGuardia JFK . beat find taxi hand . believe $ 40 ( include gratuity ) , really be not ' much taxi would cost . take shuttle LaGuardia know ' m stay Roosevelt check bag bell desk , go meeting day , get right town car airport quickly . want save buck , see anyone else wait line want split . ' ve do time good conversation folk sort industry locale way . roosevelt not cheap , be outrageous either . 's prime location get every penny pay . 's worth . SIgn email special will not dissapointe . excellent winter rate last winter even come stay weekend pleasure . 
 Jun 12 2009 	 nice stay Roosevelt 	 stay Roosevelt three day visit pleasant . New York business hotel ideal we . hotel locate near lot New York offer . room typically small New York hotel . arrive early 9 check least six hour away advise try back noon room maybe ready . the service par cost hotel everyone deal friendly helpful . the cost bit extreme , New York not mind walk front door block find reasonably price & quot ; New York & quot ; meal drink . overall good visit return . 
 Jun 12 2009 	 Pleasant NYC Stay 	 Roosevelt nice overrall . enjoy old school New York City feel - although modern . room clean good shape old hotel . bed good part . comfortable . room nice flat panel tv - high definition - quality watch television low . free Internet . hotel quick walking distance Times Square - plenty place eat drink right around hotel . attend conference within hotel - conference setup food serve good . though - free internet - tough attend conference quick internet access . enjoy stay would come back . 
 Jun 10 2009 	 Good Location 	 within 10min walk distance Times Square / Broadway attraction . lovely hotel , expensive bar ! room small ideal short break . 
 Jun 7 2009 	 pleasantly surprised 	 daughter stay Roosevelt 3 day 2 night . bit wary read Tripadvisor review , pleasantly surprised . location superb , lobby grand advertised , guest room many note , large , clean , quiet comfortable . bed indeed comfy other comment . bathroom also small , shower plenty pressure consistent water temp , towel thick soft . want hotel bathroom ! front desk give we umbrella come handy rain . remember return else charge $ 25 . oh not forget since New York , another ~ $ 30 various occupancy taxis , Jacob Javits tax , etc . high speed internet not work first someone jif get go quickly . the guy front seem good job hail taxi , yellow licensed cab & quot ; unofficial & quot ; dark black unmarked limos . gripe -- elevator , praise reviewer , always slow almost always overcrowded . morning checkout , hurry finally give lugged luggage 4 flight interior stairway shop level flight lobby ! 
 Jun 5 2009 	 good hotel price right 	 US $ 134 per night plus taxis , hotel great value , think due economic downturn anything else . location good , not fool - Grand Central still couple block walk ( plus negotiate tunnel ) Times Square several block away . impossible distance , prepared lot walk . hotel good generally , case , wall thin ( hit miss thing hotel ) . could hear people talk next room . also bad first night young drunken fool run shout along hall early hour ( perhaps side heavily reduce hotel rate ? ) .as rule , old hotel well insulate . noise roadwork quite audible . stay , would insist quieter room wherever would ( one exist ) . 
 Jun 4 2009 	 great place really good money pay 	 location perfect . really close grand central terminal middle Midtown . reason would go back forever . the people really helpful kind . the room big enough three people , bed comfortable lie get asleep . pillow perfect.but two thing love : 1.- many elevator ! ! ! almost nothing wait time . city like NYC , time money , UFFF valuable ! 2.- room make really early . go early morning return noon make . wonderful ! get room good price : 3 people 163 usd per night . bargain ! 
 Jun 4 2009 	 Location location location 	 return pleasant stay Roosevelt , grand dame ny hotel . the location perfect . Madison 45th . ten minute walk Rockefeller Center . twenty minute Central Park . one block Grand Central Station . couple block american Girl . Front desk staff friendly accomodating . inititially not room ready us Noon , arrive . however , clerk double - check processing reservation room come available . great service . concierge , doormen bellhop friendly . room small comfortable clean . lady , like spread toiletry make - up counter bathroom disappoint . counter space . scheme thing minor , minor thing . nice thick wall . quiet hotel . barely hear noise neighbor elevator traffic . I stay expensive NY hotel frankly price pay Roosevelt other complete rip ( price $ 139 night tax fee ) . plus , couple expensive hotel wait 5 minute elevator . Roosevelt bank 6 elevator never wait . we get offer & quot ; hotel car & quot ; doorman way back airport . take even tho know unlicensed taxi cab & quot ; hotel car & quot ; . travel rush hour like flat rate . know deal be ok , right ? 
 Jun 3 2009 	 great location nice room staff front desk rude . 	 NYC get special $ 150 night Roosevelt historical hotel landmark . NYC difficult get room anywhere price nice . location midtown close empire state building , grand central station , 5th Avenue . room nice small ( typical NYC ) . complaint unfriendly staff front desk . rude kind argue internet work ... make seem like do not know . finally credit back problem internet majority hotel . doormen concierge great . 
 Jun 1 2009 	 amazing deal NYC ! walk back day titanic ! 	 find find cheap rate anywhere internet hotel match give another 10 % room per night . hotel elegant classical inside . room little small overall room nice importantly th bed comfortable . not hard . hotel alot history fun read . I ve stay expensive hotel city price location can not complain ! find people pay 399.00 night samew room pay 164.00 . return next week pay 145.00 night 5 night ! may always able get good deal promise surf internet enough good price come ahead compare hotel charge half nice . one complaint hotel . service . wait line check problem day walk 3pm . I suggest show little later check . cab pull bellman do not offer help bag . glad do not much . save we tip . want spend 500.00 night city good place NY Palace ! hand . want nice place price tag strongly urge try Roosevelt . location close everything beautifully decorate . feel like walk back time . I ve stay PALACE many time love get expensive economic crunch right now . I happy return Roosevelt long keep rate . I m concerned service husband carry bag , LOL ! I m sure able get bellman return alone next week . 
 May 29 2009 	 Awesome mid - town location . 	 read review - may doubt Roosevelt . not believe hype - Roosevelt sure bet extend stay NYC.We stay 5 day throughly enjoy every moment . hotel BEST location ! ! walk distance highlight NYC . Fifth Av - one block , Grand Central - one block , Chysler building - one block , Times square - two block , esb - block , etc etc etc ! ! ! one great feeling walk front door hotel right middle action . NYC not want waste time travel . the room cosy ( - small ) adequate - let us face fact - go NYC spend time hotel room ? great tv clean functional shower . need . remember - New York - space premium . the hotel bar plush great place drink head town . hotel quite large normally busy time staff helpful professional . 6 elevator get usually take minimal time . all great choice stay NYC ! 
 May 28 2009 	 bad experience ... 's ! 	 service completly horrible ! surprise not care guest competiton arround New York City ... valet survice : not use , ' ve damage care one car day ! not worth pay stay Roosvelt .... R.B 
 May 28 2009 	 room need updating 	 get back three day Roosevelt . hotel lobby impressive . front desk worker rude . helpful . Felt treat poorly know book expedia . 6 elevator ... one time seem work . 7th floor . elevator least 10 people every time use . could tell moans people already elevator , stop every floor . continue throughout trip lobby . room small , nothing ordinary NYC . bathroom dirty . mold shower tile ceiling . vent steam . grout peel throughout bathroom tile . place put anything bathroom . sink pedistal . small glass shelve toilet hold tissue soap . end move room gain little space . bed comfortable floor quiet . location good close grand central subway access . stayed deal expedia could not beat . would stay . 
 may 28 2009 	 Noise Bed Bugs Bite 	 go Roosevelt Hotel NY pretty much nightmare moment get . arrive around noon tell pre book room . wait long line front desk ... give ID credit card , tell check luggage wait another line come back 3:00 p.m. get hotel 4:00 stand line get room key , show ID ... ask front desk bother pre book early still stand line 4 hour later go process .... said & quot ; well , guess guest point view convenient & quot ; . reply point view ? well little comment get room right outside elevator de ! de ! bell go every 5 minute try sleep everyone talk hallway horrible . oh yes ! walk street NY want soak foot . well , not bath tub bathroom one huge shower curtain separate toilet . call ask different room due noise foot want pamper . tell request bath tub book ! say never life book room request bath tub . make feel like stupid read fine print book . proceed tell noise Manager rather rude say would call back later see could get another room . ask go right counter someone bring new key ? oh go back wait line . 8:00 p.m. get new room noise come bed bug . bite still scratch one week later . would never stay hotel give room view breakfast bed free week . I recommend hotel anyone . would like add frequent traveler NY stay many hotel midtown issue . 
 May 26 2009 	 Nice hotel nice location nice price . 	 book hotel deal Travelzoo fortunate score price $ 159 per night double room . usual price around 199 per night accord website . locate 2 block ( short block ) Grand Central Terminal , great access point transportation anywhere else might want go Manhattan . three block ( long block ) Times Square . also within walk distance Rockefeller Center . location nice ideal NYC tourist . the hotel know 's elegant , splendid , old New York - style lobby . really feel like step back roar 1920s . nice bar side nice sit back , cocktail people watch . gift shop small , contain adequate supply need item , toiletry , drink , etc . check quick time check , around 7 pm . room also nicely decorate , clean , maybe tad date ( , hotel 80 + year old ) . NYC , nice size . ' ve stay double room NYC half size . bed quite comfortable , although pillow flat , feather believe . nice flat screen tv lot channel surf night . bathroom also nice adequate . definitely clean , nothing really special . room coffee maker , believe day bare necessity hotel room , especially one caliber . offer Starbucks coffee downstair bar morning snack purchase , want get dressed go get early morning coffee ? hotel new rooftop bar call mad46 ( Madison Avenue 46th Street ) hear , nice , unfortunately close night want go , last night town . overall , definitely enjoy stay hotel would stay without hesitation . 
 May 26 2009 	 Location location location 	 Stayed Roosevelt 3 night first trip New York City . reservation stay review Trip Advisor . disappointed surprised . location Roosevelt awesome , room old tired . reviewer indicate dirty . think clean old room . room inexpensive compare NYC hotel - 1/3 1/2 price hotel . overlook tired , old small room affordable price great location . resort top service hotel , go NYC stay hotel room . stay room sleep bed sheet clean . front desk lady little sharp , attribute New York attitude . besides , much interaction really front desk ? 
 may 23 2009 	 nice stay rude staff 	 reservation non smoking room get smoking room , complain tell anon smoking room available would wait next day . child unaccetable . 
 may 22 2009 	 great location room bathroom need refurbish . 	 old hotel prime location impressive lobby , however room bathroom desperate need update . 
 May 22 2009 	 Hotel need renovation 	 book two night 5/9 5/11/09 Roosevelt , cousin & amp ; daughter . upon arrival , greet unpleasant odor cigaratte smoke ( present everytime enter exit hotel ) . thankfully , curbside bell hop pleasant deal registration staff . lobby well furnish decor ornate bit dark . drink bar staff entertain . however , make way 7th floor , noticed hallway date old looking . unfortunately , date well worn decor inside large two bed suite . furniture linen donate goodwill replace high end product well represent old establish hotel . thankfully , two large window room also one large bathroom . group protestor across street scream something another city building act like microphone keep window close . regard bathroom , tile shower worn floor drain break . thankfully , bring show shoe ! ! overall , everything seem seedy unkept . fact , refuse sit fabric chair dusty worn taste comfort . whole room disaster $ 189 / night deal find TravelZoo upgrade large 2 bed suite . way , not bother order refrigerator $ 25 extra . 's small tiny old frig ever see . also , hotel midst change cable satelite vice versa . result , barely channel see fuzzy . maintenance tech unable correct . oh yeah , room service non - existent noon 5 pm . staff explain necessary budget cut due recession . 
 May 19 2009 	 Tired Hotel 	 Background : british , early 60 retire . book hotel recommendation travel agent , provide one free night good location , prior return UK aboard QM2 . choose book additional 3 night @ £ 77 pppn room , enable we see something New York City . location : excellently situated Midtown Manhattan within 15 minute walk Times Square , Empire State Building , Central Park , UN Building , etc . lot restaurant nearby , block Grand Central Station . fix price Yellow Cab good way two get JFK efficiently comfortably ( $ 45 + $ 4.15 QM Tunnel Toll + tip ) . hotel also easy walk stop Hop - On – Hop - off bus tour . accommodation : entrance lobby quite impressive , give impression pre - war grandeur reception hall - porter service efficient . however , corridor dingy room , apart bed new flat - screen tv , great need redecoration refurbishment . room reasonable size fine king - size bed , although high wife ' little leg ! one bed - side light . view 15th storey window , lot traffic noise night total 18 storey ) .There kettle tea / coffee make facility . however , coffee - maker provide foc call one . ( brit , would prefer kettle teapot ! ) however , need phone coffee milk sachet day , would provide one day ' supply time – irksome . certainly appreciate drinking vessel paper cup – porcelain glasswear ! ? room safe break unusable . we use restaurant pricey , compare numerous establishment nearby . bell - boy would give recommendation eat , likely send would get commission . actually find advert hotel ' information pack room reliable . when leave go Brooklyn Cruise Terminal doorman hail we wait limo , assure we well get yellow cab option . nice ride limo avoid risk dodgy practice cab driver , check late passenger , find pay $ 55 plus tip probably pay nearly double necessary . clearly doorman nice little arrangement operate ! overall , would return Roosevelt . merit 4 Star Rating overprice ( even New York ) . 
 May 17 2009 	 completely turn event front desk staff Roosevelt Hotel 	 currently search NYC hotel accomodate town wedding guest early 2010 come across Roosevelt Hotel . contact event planner Rose Garafolo - right beginning seem bit disorganize frazzle . several correspondence via email - schedule appt Rose view room today . go front desk - inform Alfredo ( extremely rude employee - seem get frustrate easily ask question ) room . instead try ease situation - Alfredo seem perpetuate - give Rose 's miscommunication . make long story short - left hotel feeling disrespect completely turn way staff treat guest potential client . read review site - I m one that s bad experience call hotel . 
 May 16 2009 	 great hotel location 	 NYC NYU graduation . fantastic place stay . location superb one block Grand Central could easily go wherever want . area close many thing yet far enough away Times square madness ! staff friendly good experience ! hotel rich history remodel late 90 's 
 May 13 2009 	 Nice hotel great location ... shame staff . 	 trip cover USA Canada , stay numerous hotel , range cheap pricey . daughter find Roosevelt we online offer special deal 3 night price 2 free continental breakfast day . get hotel find beautiful , speak staff offer daughter try book we , turn rude . begrudgingly give we 3 night 2 last day finally let we free breakfast . almost staff pay breakfast pocket . room coffee tea make facility husband try order coffee take room tell possible . staff seem little knowledge not want bother we . one staff member tell we idea nearest travel agency , we find one 19th floor . mission also none staff even seem know get 19th floor . people meet New York nice people meet world , unfortunately say staff Roosevelt . 
 May 13 2009 	 absolute dream wish could ! 	 boyfriend book hotel expedia get reasonable price stay week New Year 2009 . unaware planning propose , contact hotel advance . organise limosiune drive we hotel , magical arrive , concierge immediately take care bag ( fee course ! ) . , make thing even flawless , desk attendant upgrade we free charge superior bedroom , beautiful spacious . decor lobby stunning , everything grand- christmas tree , chandelier etc ... staff pleasant , clean staff wonderfully efficient ! ) . also recommend hire one black cab return we airport , comfortable efficient regular yellow cab , cost 10 dollar ! good choice ! ! wonderful steakhouse call Morton 's exit main entrance turn right walk straight block , celebrate although expensive , never taste food like ! ! ! location fantastically close everything ( block away diamond district choose engagement ring ! ) , bed perfect long day sight seeing . definitely return hotel ! 
 May 13 2009 	 's detail - give Roosevelt try nice naughty . 	 read number review , stay Roosevelt Hotel , understand remark . , nice thing hotel - great - not pass hotel - 's good value otherwise expensive area mid - town . here detail first timer wish know prior stay ... location , location , location mention , near Grand Central 45th Madison - nearby Times Square , load subway choice , restaurant , shopping , plentiful taxicab . as everyone say , lobby beautiful , nice seating area wait friend . 's fun people watch see bustle . 's bellhop concierge service . 's coffee bar ( agree post well elsewhere , rush be ok ) .as oppose comment , check - in experience good , person quite nice . book open choice two one bed ; ask King bed acceptable , agree . think room two bed might get slightly large room , 1 person room fine . there number elevator lobby , hard figure go , - punch button either side bank button middle . actually funny watch newbie ( like ) first look middle button , search bank button side . busy time bit wait . the room receive ( king 7th floor ) end two long corridor . room take time find . big place , odd numbered room one side , even . note room number sign not tell , figure wander various hallway . something old style remind Overlook Hotel shining - thankfully without horror . hallways clean , sort like grandma 's house little old musty smell flowery carpeting stain . musty smell turn later mostly soap shampoo product room - peculiar smell - say aloe , fragrence bit cloy . get two small soap , shampoo , conditioner lotion little bottle . soap dry , bring bother you . my room end hall , small , clean . hallway clear , except tray , someone leave broken wine glass hallway floor took day clean . room appointment include king bed , LCD TV , chest , desk chair internet connection access , separate comfy chair , bathroom . bed seem new , comfortable ( firm , yet hard . ) soft white linen , generous number pillow , mini - coverlet gold bed . hotel picture designer & quot ; R & quot ; bed pillow find room , big deal . the room bit hot , turn old style floor model combo A / c heater . work fine , little loud . turn good thing , two night stay , heavy machinery noise outside inclusive ring beep could hear even A / c 12 mid around 2 morning . hotel 's fault - light sleeper , recommend ear plug . also agree post hear everything hallway , conversation , baby cry , door knock , opening closing , slam . thankfully , much could heard room neighbor room , mostly noise hallway outside . ( note window could open outside , use . ) neighbor either group goat , bunch wild guy come hour . business , couple bang door 3 morning thinking room . ignore , guy stumble room ( bang door ) , episode over . there be new flat screen LCD tv room fairly good reception , high number channel fuzzy , mention review lot choice channel - spend much time room , anyway ? surprise old hotel enough adequate lighting work , enough mirror . room , small , fairly large closet right near entranceway , iron ironing board available . overall feel room like stay grandma 's attic room - old , small , clean , layer cream color paint wallpaper , bit mismatch , little musty , mostly cozy workable . know sound odd , feel . the bathroom clean , bit uninspired . could see new tile put shower area , bow curtain bar ( nice touch give shoulder room ) , new shower curtain ( nice , match decor ) , pedestal sink ( pretty , give counter space ) , commode ( right next ancient radiator little room . commode seat crooked ) , two small glass shelf without much space . tub two enamel gouge someone attempt repair enamel paint . large mirror , ugly industrial light , make room seem bit sad garishly light . good makeup application . hair dryer , medium wattage - dryer little night light , nice touch . plenty clean white towel - first night washcloth . tp cheap harsh , bring sensitive same . no coffee maker . mini - bar . ice bucket glass ; soda machine hall ice available . surprisingly , NY magazine , map tourist publication room , ask desk concierge . checkout via tv / phone , go desk . problem bill . note number city taxis apply addition room rate per night ( almost + $ 30 . ) breakfast Roosevelt restaurant ( mezzanine level lobby . ) pretty ambience , nice buffet menu , EXPENSIVE . nearby cheap place . my overall experience place necessitie incredibly good location give pretty good value . amazing ? . clean good value ? yes . would stay biz ? yes . would go blow expense spare trip city ? . 
 May 13 2009 	 great location good value ? room 	 stay room 4 people two teenage boy . room relatively small two double bed . boy not like sleep double bed every night fight sharing space , sheet , comforter etc . location great centre Manhattan . would recommend . 
 may 13 2009 	 Nice price 	 husband stay hotel weekend getaway . location hotel great . block away Time Squares , Grand Central Station , shop 5th Ave . hotel nice . lobby beautiful staff friendly . room small , however big enough husband . big complaint would fact place corner room . time someone open closed door could hear loudly . stay hotel sure ask room hallway . not think hear much noise room hallway . overall good hotel . would recommend friend . 
 May 8 2009 	 great location elegant good service 	 daughter ( 10 ) stay three day end April , begin May . tone set first walk desk , check , staff member make friendly suggestion take picture . lobby really quite grand . room 16th floor , noisy , comfortable temperature arrival . heat / cool issue , actually ok water pressure , bed bed quite comfortable . towel quite soft new . unpleasant odor ( even ' closed ' smell sometimes get ) .The decor bit old fashioned , fine . room could use outlet , bathroom start show wear . coffee / breakfast service lounge skippable , well food money find less block direction . book superiour room deal Travelzoo . mean large flatscreen tv normal NYC room closet 16th floor . see rooms hotel compare . limited HD channel reason , leave note ( not meatter we really ) . 
 Apr 30 2009 	 AAA location ! ( oldfashione room unfriendly staff ) 	 location Madison 45th central midtown Manhattan nothing great . lobby hotel also look nice somewhat oldfashioned atmosphere get even strong room ... reception staff unfriendly rate 150 200 usd well sized room midtown NYC still good value money despite little criticism . 
 Apr 30 2009 	 go Location ... service ... 	 like other mention ... hotel situate 2 minute walk away grand central station great location want take MTA time . hotel old , old ... room actually bad . building keep quite nice , overall quite clean . room noise bad , always hear people enter leave room , street noise pretty abundant ( poor insulation guess ) , big deal ... inside Manhattan not expect quiet . but overall experience term service quite horrible . call ahead time confirm reservation arrive late night ... everything supposedly ok . arrive however story different . 2 room , one suppose double ... nope ... magically turn Single King , apparently room available anymore . accept would try find another room next day . request situate high floor away elevator ( book 1 month advance ) ... nope ... get fourth floor ... one room right front elevator . that go downhill ... party split we , get stick elevator 1.5 hour ... stick elevator acceptable since thing break ... 1.5 hour pretty ridiculous , poor communication outside staff let we know go . anyways , fiasco , meet ' nice ' person hotel stay ... evening manager ... quite apologetic overall professional . anytime need service concierge front desk , staff seem rude act like customer ... stay total 14 day 2 room time feel customer service bellhop night service manager , everyone else rude . visit Grill inside Hotel breakfast ... staff equally unpleasant ; absolutely service , would stand around talk ... say thank , never would reply welcome response matter ... also safe 's room operational initially check . business center charge around 30cents minute internet minimum $ 3 charge , computer slow , spend half time wait thing load . be perhaps high maintenance , demand much ... would definitely recommend repeat even though great value , great location . 
 Apr 29 2009 	 Classic Hotel Great Location 	 Roosevelt defentily good location . next Grand Central Station , one block Rockefeller Plaza , two block Times Square , half mile Empire State Building . walk impressive . elegent classic big chandellier , nice marble floor . bar full time serve food . room bit small that s New York . bed comfortable shower pretty good . staff friendley helpful . overal hotel good would definitly tay ther . also Stage Deli Lindey 's restaurant legendary good close . 
 Apr 29 2009 	 one good hotel NY 	 service amazing , room good veiws city , many lift hotel , take time get room . good posh feel , pricey . although cost meal hotel something look for . all round though enjoyable expirence would definetly go bakc 
 Apr 28 2009 	 superb roosevelt 	 return staying roosevelt . find room really good size , bed really comfortable , hotel really well situated walk load city sight include central park , time sq , statue liberty many , subway across road . would recommend hotel . yes heart beat . can not say anything bad stay 5 night . 
 Apr 24 2009 	 stay great ........ 	 take kid spend two night NYC choose Roosevelt Hotel hotel value . bit concerned read review pleasantly surprised . room ( Room 822 ) great size room . accomodation good price pay . location beat . valet car feel bit pricey ( $ 55.00 night ) travel two kid not much choice . staff courteous one person front desk . bell captain helpful . recommend great restaurant city . , think hotel worth . would highly recommend family friend . 
 Apr 21 2009 	 Nice Location Old Rooms 	 location great . public area hotel stunning . room another story . old dark well keep . ask change room tell we rather try accomodate we . also , end stay find outrageous fee bill associate & quot ; free & quot ; breakfast . course , tell pay . 
 Apr 21 2009 	 great location 	 stay january week really great time . room good size really comfy bed huge ! ! great fall much walk around ! ! bathroom nice clean . location great , really easy get everywhere . do not try food hotel can not comment everything else great . would definately stay . 
 Apr 21 2009 	 Great Location Nice Hotel 	 get back two night Roosevelt Hotel two young kid husband . get great rate breakfast include . hotel good find great location . close subway , walk mid - town tourist attraction . room decent size , especially NYC . lobby lively beautiful space . hard go wrong moderatly price hotel . 
 Apr 21 2009 	 great location problem reservation lamp 	 except clerk first night Roosevelt staff nice , especially bellhop concierge . lobby gorgeous location really convenient . need wi - fi access go accross street Cosi free . hotel charge $ 15 per computer per 24 - hr period . I call ahead notify Roosevelt would check late ( 1 - 2 ) guarantee late check - in . 3 we arrive room 2 bed we . give we room 1 king promise roll - away ( say never guarantee size bed ) . ask could anything make inconvenience clerk grudgingly write ticket we could 1 pastry 1 coffee ( young 12 ) breakfast bar nothing else ! ( word ) . forty minute later bring roll - away bed . shove furniture around squeeze . could not fix room assignment next day . instruct bring luggage store morning . safe available except room , since without room girl carry laptop bring homework NYU tour attend ( 10 - 12:30 ) . finally , around 3:00 able get we room 2 bed . new room , one lamp would not turn , replace . safe not work , send someone replace battery . different lamp stop work , point avoid lamp . window also jam , eventually get work . 
