absolute 	 travel , stay White Swan Inn , San Francisco , perfect . staff always extremely attentative helpful . hotel 's ambience surpass other . beautifully appoint room antique , fireplace lot extra ammenitie . inn centrally locate important SF site . everytime opportunity SF , always stay White Swan Inn . price value beat . honestly think thing would made stay well . 
 charming boutique hotel 	 wife spend 4 night attend conference . location excellent , minute Chinatown Gate Union Square . staff helpful friendly . multicourse hot breakfast pleasant surprise , usual muffin coffee . room comfortable , well appoint , fireplace welcome SF night cool foggy . would gladly stay again . PMM Michigan 
 Nov 19 2008 	 lucky stay White Swan Inn 	 White Swan inn great best- keep secret keep secret ! 's heart hub San Francisco , Bush Street , within walk distance Union Square lot art gallery shopping , yet be like oasis walk . warmly decorate , quiet , fireplace go everywhere , staff 's truly & quot ; serve ! & quot ; small courtyard downstairs library complimentary wine ( good one ) cheese serve every late afternoon large complimentary breakfast serve every morning . terrific amenity , include pillow chocolate .... car parking easily coordinate taxi pronto call . I ' ve never feel get much Bang Buck great memory take home file future trip back ! -- -- -- -- -- -- -- 
 Nov 10 2008 	 wonderful Boutique Hotel ! 	 first trip San Francisco Inn first experience Boutique Hotel . check - in check - out extremely impressed quality service . staff helpful friendly give we direction , make restaurant show reservation , suggest site visit general make we feel home . build quite charming comfortable . room large look website clean & amp ; cozy . breakfast abundant tasty - not need lunch . wine cheese afternoon give we time wind day sightseeing meeting guest . way , cheese , cracker , fruit wine selection great ( also day cookie ) .When return SF , stay White Swan Inn ! ! 
 Oct 31 2008 	 Loved Room Fireplace 	 in - room gas fireplace come flip switch perfect chilly San Francisco evening location can not beat : 2 1/2 block Union Square & amp ; cable car . free continental breakfast first rate free afternoon wine & amp ; snack perfect way recharge head evening activity . throw nightly turn service & amp ; helpful staff could not ask make White Swan inn first choice future stay . 
 Oct 29 2008 	 nice stay White Swan 	 sister , mother return trip San Francisco stay White Swan Inn 10/18 10/22 . California celebrate mom 's 70th birthday . spend 4 nights/5 day White Swan Inn begin trip . the White Swan inn great choice . great small hotel big city good location . room 1st floor much view giant tree & amp ; build behind we . , work fine mom navigate stair well . antiquated elevator work perfectly fine may interested need . hotel old course clean tidy . room spacious enough accomodate three us king bed pull sofa . beginning stay bit chilly . middle end stay San Francisco weather beautiful & amp ; warm . warm day , get bit stuffy room evening overnight . open windows ( room screen ) help ventilation . chilly morning / evening , gas fireplace heater room work well . room , bathroom , rest hotel clean . mention , bit old clean . the breakfast morning good course convenient . make timing morning much easy not find breakfast every morning . breakfast certainly adequate normally 2 hot item ( quiche scramble egg ) , hard boil egg , type protein ( normally sausage ) , fresh fruit , bread , croissant , warm oatmeal , cold cereal , 2 juice , coffee , tea , etc . plenty start busy day tour San Francisco surround area . evening wine & amp ; cheese also nice one type red white wine offer along hor o'dourves ( normally type veggie & amp ; dip , brushetta cracker , cheese & amp ; cracker , small meatball , etc . ) . typically 3 item serve evening ( least evening make ) . mom 's 70th birthday Napa day . return around 7 pm birthday cake room wait - courtesy White Swan . think nice . travel agent mention birthday make reservation . the front desk staff White Swan Inn always friendly helpful . Kevin exceptionally nice helpful . another gentleman , Andy believe name may , bring we room also seem prep area wine reception also nice . appreciate cleanliness neatness hotel well morning breakfast evening wine cheese . would recommend White Swan inn anyone stay San Francisco would not hesitate stay . would want know pull sofa condition since certainly seem everything well maintain White Swan . certainly recommend White Swan anyone travel San Francisco would not hesitate stay . 
 Sep 26 2008 	 romantic quaint bit England SF 	 stay place numerous time different owner . place never disappoint . charming , romantic , cozy , etc ... benefit great location want expore SF foot ( way ? ) . breakfast yummy ambiance wonderful . room nice people work helpful nice . 
 Sep 15 2008 	 lovely place stay 	 four night late August , really love time here . the room quite spacious comfortable . room face little courtyard , problem noise . might issue front building . really appreciate complimentary thing come room - wireless internet , newspaper , water soft drink well homemade cookie foyer , lovely breakfast morning , wine nibble late afternoon . hotel good position - one half block cable car two block Union Square . find easy get around . staff always pleasant helpful . bulde lovely ambience , interesting item display . the lift quite ancient , fit building . would suggest use want move bag . 
 Sep 13 2008 	 Fun escape White Swan Inn 	 happy stay . spacious room price city fireplace nice addition . pass city north peaceful night delightful british breakfast morning complete keish good soda bread planet make employee hotel . fantastic ! 
 Sep 10 2008 	 quaint country inn 	 walk door White Swan Inn , would swear lovely country bed breakfast US England . staff attentive helpful . room unexpectedly lovely victorian charm . breakfast quite nice many hot , fresh option evening wine reception cap lovely day . homemade cookie offer day surprising treat . definitely stay SF . not think could find attentive staff city . 
 Aug 28 2008 	 great hotel value 	 husband stay White Swan Inn five day . the room outdate little need update , clean neat . staff always friendly helpful . the breakfast good . unfortunately , never make wine cheese afternoon . quietness , want quiet , come San Francisco , always street noise morning . we definitely come back White Swan Inn try one sister hotel . 
 Aug 8 2008 	 uncomfortable unsafe - feeling 	 would recommend place . breakfast wine / cheese offering well do , room make feel comfortable safe . first room put heater apparently never shut , May , although SF terribly hot , extremely hot stuffy ; get sleep first night . ask 4 time , fan put room , finally move different room . also not feel comfortable window not screen , open window ( need blast hot ! ) would make feel safe . especially 's fire escape stair route across back building . woman alone room , feel unsafe opening window . short lose - lose situation . staff try helpful , unfortunately think unfixable problem property could help major renovation . 
 Jul 23 2008 	 Great Hotel ! ! 	 husband end honeymoon stay 2 night . thoroughly enjoy stay . check , upgrade luxury king room enjoy complimentary champagne chocolate . room like small apartment ! fantastic ! fire place ( since chilly San Fran stay - fire place great ! ) Breakfast morning nice . fresh fruit , egg , toast , cereal . evening wine muchie great well . enjoy talk guest really become bit social hour ( ) : ) location perfect well . block Powell line cable car stop 2 block Union Square . great end great trip ! thank ! ! 
 Jul 21 2008 	 love White Swan Inn ! 	 read review bed breakfast San Francisco choose White Swan inn nine - day visit , pleased choice ! find front desk staff extremely helpful friendly , everything restaurant recommendation phone airline confirmation promptly excellent seat long flight back NH . hotel room ( # 31 ) spacious beautiful , belgian chocolate bed night , bedside switch blaze fireplace , rosemary / verbena lotion soap add touch delightful overall ambiance . breakfast wonderful ; fresh fruit , croissant , fresh hot bread , quiche , sausage , scramble egg , french toast , well hot cold cereal , juice , coffee tea . look forward evening wine reception front fireplace garden area go evening , wonderful appetizer along wine sherry , 40 's style music play softly background . British - theme inn evidence attention detail pay guest ' comfort enjoyment . , addition central location , make perfect choice San Francisco stay ! 
 Jul 20 2008 	 bit disappointing 	 husband stay White Swan 2 night . want near Powell st./union Square college - age son could take BART meet we . location - wise , fine . agree reviewer find room date musty . impression . room , spacious , particularly comfortable . 2 chair , son come visit , sit floor ! think price could nice suite Warwick Regis Geary . two plus : front desk folk quite pleasant , nice easy access car . would stay ? probably . 
 Jul 20 2008 	 good hope 	 wife happy hotel . air - conditioning noise room poor . for amount money pay ( $ 240.00 + ) not consider hotel worthy price ask . the breakfast adequate . if want quiet , comfortable hotel stay would recommend place . 
 Jul 13 2008 	 pretty good valuebut 	 family recently spend 2 night white swan inn . staff gracious helpful room seem little date musty . money still good place stay think go notch since last visit . 
 Jul 11 2008 	 wonderful infamous cable car 	 White Swan Inn offer visitor true escape world luxury , enchantment beauty find often travel industry . guest treat like king dignitary . breakfast wonderful , wine hour fantastic staff attentive every detail make stay wonderful . the room cozy warm soundproof . location Nob Hill fantastic - short walk cable line bus line - block hill great shopping downtown San Francisco . this boutique hotel every bit memorable romantic fabled cable car . we travel 2000 mile get White Swan - thus know love . 's vacation destiny past three year ! dream return . please not ever change thing ! 
 Jul 11 2008 	 Jewel 	 initially nervous book hotel on - line one know ever hear stay . wonderful surprise . room nice size , decor pleasant breakfast dining area superb . highly recommend White Swan . 
 Jul 4 2008 	 can not wait stay . 	 Joie de Vivre hotel website recommend White Swan Inn base hotel preference . never visit San Francisco want comfortable place come home evening since travel alone not want stay late night . stay Room 36 week , love . 's back hotel therefore quieter , second floor ( elevator need ) , lovely tree outside window bring outside . bear England ( american citizen ) immediately feel right home , except home can not switch fireplace bedside - enormous plus . SF night morning chilly pure heaven fire go watch tv bed , get dressed morning . bed super comfy love quaint tub delicious - smell soap shampoo . cook wonderful breakfast bread hot item delicious . also make boiled egg sandwich fruit take along lunch later . wine / cheese / hot hor d'ouevre evening provide great way get know fellow guest want light dinner 's economical way fill since food include nightly rate . staff White Swan friendly many work year . print helpful sightseeing suggestion , well restaurant useful tip . inn sell great padded jacket ( F ) not bring warm coat . wore every day find light , warm , wind - resistent . also buy one bathrobe since nothing light comfortable home . one fellow guest , also woman stay alone , say regularly stay White Swan feel safe . concur . be secure cozy home away home can not imagine stay anywhere else return . 
 Jun 27 2008 	 Perfect every way ! 	 rating category high enough delightful boutique hotel . way beyond expectation . enough space place justice . room wonderful , fireplace use June treat . front desk staff helpful every time need . wine reception evening real treat , gourmet continental breakfast . pull hotel , look particularly impressive outside . wait ! be worth every penny spend stay . 's conveniently locate . never take car garage trolley bus access nearby . never search place stay San Francisco . ! 
 Jun 25 2008 	 nice little hotel 	 wife stay Inn two night month June , record heatwave . good Points hotel : -Wine appetizer selection evening enjoyable . be nice way relax busy day travel sight seeing.-breakfast convient quick . fresh fruit really good , otherwise standard buffet breakfast.-Hotel complimentry beverage refigerator - very large room , seperate closet sink area , mean two people use sink time - Hotel Front desk staff nice make great reccomendation reservation dinner place . get individualized attention , something get large hotelbad point - bathroom little dated.-very old elevator , may feel add charm.-We stay record heat wave , poor ventalation AC , Ceiling fan , window screen . fan screen would really help probably would comfortable . place SF proper colle facilite . risk travel summerNo OpinionIn room Fire PlaceOverall . very charming hotel , would stay reccomend other well . staff friendly , one hotel 's asset . 
 Jun 23 2008 	 Exceptionally Accomodating 	 stress enough completely accomodate White Swan . need shorten original 5 night book several time ; never charge penalty ; understand serve every need , comfort peacefulness amazing . bed luxurious ; bathroom clean fresh , wonderful shower . help free drink chill ready ; cookie ready midnight snack lobby ; wine taste dip quiche afternoon plus marvellous breakfast wait , extra charge ! ! every question request meet instantly & quot ; & quot ; attitude , comfort extreme concern staff . decoration charming , thoughtful historic . experience . apparantly less concerned profit comfort convenience , put every effort make sure everything need w / out nickel dim process . greatly appreciate beautiful fireplace , cozy lobby stress upkeep historic property . feel complete San Francisco -- throwback leisurely genteel time period every modern convenience -- graciously offer hospitality charm . they even nice selection interesting book room help get sleep pass time . would advise contact property directly reservation fast , accomodate absolutely hassle free . cheap cabride great American Music Hall Union Square visit , take city tour . heavenly come back rest two concert row late -- call White Swan arrange cab immediately we pick we destination even 1:00 a.m . sincerely could not ask . ambiance relaxation afford make trip much memorable atmospheric , plan return month savor City atop Nob Hill White Swan ! 
 Jun 17 2008 	 wonderful home San Francisco 	 White Swann Inn lovely small retreat heart San Francisco . Cable Car bus walk distance perfect place explore city . the Inn charm country inn England , though heart San Francisco . garden back , charming common area downstairs , library , complimentary wine tasting , fire place ... list long make stay exceptional . the room spacious let feel home right away . last least , friendly helpful staff make stay something special . 
 Jun 6 2008 	 White Swan ` ` regular '' Us SF 	 ' ve stay White Swan 2 - 4 time per year past two year , since former favorite JDV hotel daughter 's SF neighborhood , Lambourne , close . ' ve never disappoint . the entire staff -- manager , desk staff , kitchen staff , maintenance staff friendly helpful . go way hospitable informative . morning breakfast superb -- far chain hotel continental manufacture fare . evening wine / cheese / salad reception generous relaxing . the location , Market Square , excellent . if be look something chain hotel experience , warm , welcoming , wonderful small inn choice . 
 Jun 2 2008 	 White Swan Inn Delight 	 second stay beautiful invite White Swan Inn . service hotel excellent since stay know wonderful breakfast , warm fireplace , cookie jar great people front desk . everyone make we feel welcome . the room clean tidy . new Lather bath product heavenly use . even ask couple extra bar soad take home . Andy usual helpful self ! bring we bottle wine Birthday -- last year also . Andy icon hotel -- -- seem 's year , always give direction , assist luggage , brighten everything great smile . we , course , back next year , can not wait hear new Joie de Vivre happening . diane & amp ; leroy 
 May 28 2008 	 romantic home away home 	 Perfect .. love stay . great location breakfast great . go love . 
 May 25 2008 	 come back great hotel since ' 90 's 	 first time stay White Swan , call book Petit Auberge . room available staff suggest White Swan . two hotel much prefer White Swan continue book room San Francisco . decor change & quot ; flowery & quot ; look bear everywhere . not preference , large room , work fireplace , wonderful breakfast late afternoon sherry wine make inn . great . helpful , friendly staff plus well . small hotel , chance meet lot interesting guest share travel tip conversation afternoon & quot ; tea & quot ; . .I walk everywhere like location too.ldmobley 
 May 12 2008 	 Pleasant stay Central SF 	 stay room 43 $ 200 per night . room spacious , clean quiet . even sport gas - operate open fireplace . hotel feel lot like English B & amp ; b : cosy , warm , personable great breakfast . definitely recommend , although may find room sister hotel Carlton half price job well . 
 May 11 2008 	 Delightful Surprise 	 truly wonderful visit ! business travel , ' ve usually stay major hotel : e.g . St. Francis ; Marriott ; Hyatt , etc . for recent visit San Francisco , wife ( dislike large hotel ) enjoin stay small hotel & quot ; find & quot ; internet : White Swan Inn . we wonderful time ? staff great : accomodation nice : good , guest friendly entertaining . look forward breakfast afternoon wine & amp ; cheese . meet friendly folk happy chat share day 's experience . comfortable fun ! ask ? ' ve tell friend .... will back . & quot ; & quot ; 
 May 6 2008 	 Cutesy - pie kitsch 	 stay week April . White Swan well situate get aorund San Francisco excellent restaurant close vicinity . staff polite impersonal , ' backstage ' woman downright miserable . room flower carpet wall back . rose teddy bear really overdone . plenty hot water tiny bath . bed comfortable coffee machine room great . bed pretty tight fit room , otherwise plenty space fireplace nice touch . ' gourmet ' breakfast nothing kind . every day egg overcook offer sausage fruit choice never vary . however , complimentary snack offer every evening , tea coffee drink - nice way bring guest together look . love escape somewhat force jollification quiet deck outside surround pleasant greenery . I think White Swan good value money conveniently locate , stay genuine authentic english country garden hotel honestly say Wahite Swan come nowhere close . next time stay hotel without pretension . 
 Apr 16 2008 	 Charming Convenient 	 mother , sister , stay 5 night fun & quot ; girl & quot ; getaway , exactly want . charming , old - fashioned , homelike room enough space three woman get ready morning -- pretty floral plaid decor would perhaps appeal lady gentleman -- work gas fireplace -- excellent location 's convenient Union Square cable car line bay -- good restaurant within walk distance area feel safe walk dark -- pleasant staff helpful call cab , make dinner reservation , provide suggestion . happy would certainly return . 
 Mar 28 2008 	 Unique Fun change pace . 	 stay White Swann 3 night around first February love . breakfast great , lot choice , fresh fruit , quiche , croissant etc . room different fun , daughter love bear end take one home . evening wine social nice time meet other relax . hotel close cable car , Union square etc . easy get around . tip : get muni 3 day pass bus cable car etc . save ton transportation . $ 18 three day great deal . you disappoitnte White Swann Inn . 
 Mar 1 2008 	 Disappointing 	 think maybe make reservation wrong Inn read review , verify address yes , stay place start , arrive staff accommodate helpful true throughout stay . inn need serious maintenance . first room 's show filthy mold everywhere . tired decide ask different room next morning . big mistake , bed break spring leave side husband could sleep . next morning ask change room , say problem would 20 minute could move . wait hour call back say upgrade get room . say yes , $ 20.00 upgrade . another hour pass , call , go check room call back , finally another half hour call back finally move . inn staff nice right hand know leave hand . evening wine snack great . breakfast , edible . go surprised still charge we additional $ 20.00 . needless say place would stay , 
 Feb 27 2008 	 home away home 	 now - frequent business traveler SF , first trip Oct07 stay & quot ; large chain & quot ; hotel . know go SF least week two per month several upcoming month , want large chain hotel ... want comfort home . ask ( local ) colleague recommendation , search directory , find place ever stay SF . stay White Swan Inn several time last 5 month , trip already book . alternate hotel ... one ! entire staff fabulous ! manager , Eric , prides manager premier service establishment . front desk staff , kitchen team , bell / maintenance staff top notch . room spacious , comfortable , appropriate workspace provide well . common area hotel inviting , comfortable , lovely ( include outdoor deck ... place enjoy afternoon reading ) . whether travel business , pleasure , place come home . 
 Feb 1 2008 	 B Islanders Loved ws 	 30th wedding anniversary , choose trip San Francisco . much research , fortunately pick White Swan 4 nite stay . London 2006 attract european boutique style hotel . hotel everyone , particularly modern . love history antique atmosphere present , fall love hotel . first , staff welcome knowledgeable area . provide list outstanding local restaurant exceptionally helpful tourist site . SF City tour recommend incredible . hotel also totally convenient downtown SF . one block cable car & amp ; two block downhill Union Square . one block uphill Mark Anthony Hotel Grace Cathedral . room great . splurge Deluxe King bed room . spacious , window overlook side greenery area , beautifully decorate red / green plaid bed floral wallpaper . unexpected wonderful discovery hotel 's original , perfect working condition , old type elevator pull back metal screen door ( think movie Charades ) .The food fabulous , start hot breakfast change daily . love french breadpudding . Breakfast , include roomrate , variety egg , quiche , sausage , fresh fruit , toast , pastry , hot gourmet oatmeal . breakfast room full antique . early evening , wine serve variety cheese , cracker , fruit , fresh vegie , dessert . late evening come cold walk rain , welcome hot cider fresh homemade cookie . hotel one great highlite trip . highly recommend -- particularly couple . course stay . 
 Feb 1 2008 	 Loved White Swan want go back ! 	 celebrate one year anniversary perfect vacation . stay 2 night / 3 day perfect way see San Francisco . love location ! sucha nice quiet resort middle city . right cable car line could hop block Union Square & amp ; visit beautiful Christmas tree . walk China town able go cable line Fisherman 's Wharf cable car museum . basically good & quot ; tourist & quot ; site . price reasonable . lucke weather . breakfast morning quite nice enjoy appetizer wine evening right go eat . staff friendly accomodating . bed comfortable , room clean enjoy fireplace room ( room fireplace ) . could rave & amp ; think get idea . blissful , romantic , good location , nice staff , good price ... 
 Jan 11 2008 	 hope San Francisco 	 White Swan invite first moment arrive . staff extremely helpful without effusive . room exactly picture many web site unlike many hotel . breakfast , wine cheese cookie definite plus price prohibitive . fireplace totally welcome last day ( typical dreary San Francisco winter weather ) make experience cheery . could without teddy bear , not take much room . 
 Dec 29 2007 	 great Christmas vacation ! 	 base mainly review read , select White Swan visit Bay Area Christmas . property charming , breakfast satisfy varied day day , location convenient . expect small room room adequate size . staff extremely helpful , take time fill we local attraction discuss local culture news . perfect location family Christmas gathering , fireplace ( bring stocking ) . walk Union Square easy . stay child 15 & amp ; 23 , like well . check noon graciously let we store luggage late evening . if stretch pick negative , would mention bathroom fan sound like airplane engine , negative . overall nice experience heart city . 
 Dec 14 2007 	 nice change ... 	 White Swan inn nice change large chain hotels Union Square area . room great size fit need perfectly . continental breakfast nice addition . 
 Dec 11 2007 	 nice stay 	 hotel kitsch twee thing ( e.g teddy bear bed fake open fire ) . mine persuade partner want stay somwhere different give try . comfortable stay . think word good sum hotel : comfortable . staff helpful . nice stay . downside would identify breakfast bit dull repetitive . 
 Nov 8 2007 	 contrary majority review enjoy . 	 stay one evening first week November . stay 5th floor . room warm check . western exposure could understand . call desk ask fan . bring we box fan filthy blade . turn get show dust unknown particulate . the breakfast ok , Quiche overcook ( scramble ) oatmeal need attention . T.V . volume would allow one watch tv bed . could hear it . the staff , one gentleman work desk terrific helpful . aforementione desk attendant attitude snobby unfriendly . location great . walk anywhere here . the room tired remind great grandmother old guest room . two thin bath towel box coronet tissue toss back toilet amenity old bathroom constant drip . showerhead spartan get . say upgrade thing boy . overall ... , will not back . 
 Nov 5 2007 	 Perfect stay - get to love JDV hotel SF 	 mid - week business trip San Fran , wife come along extended stay thru weekend . White Swan prestigious hotel SF , really perfect stay . Swan part JDV group hotel good bargain San Fran . need know upfront mean little beat path . remember , get pay . case Swan , get ... GOOD- bnb style hotel English Parlor theme , fill antiques- king room w/ fireplace ( room # 27 first floor ) , sit room , walk - in closet , large bathroom two sinks- free buffet breakfast ( cold continental bfast ) - in - and - out valet parking ( $ 32 fee ) - free afternoon cocktails- friendly staff really go way make stay comfortable- reasonable price $ 229 per nightnow , not - so GOOD- Old building , although renovated- Narrow hallways- old - ish furniture- air conditioning- Located Bush Street , walk way hill Union Square , Powell Market StreetsSo , overall outstanding stay , , anyone consider White Swan JDV hotel understand boutique hotel mean want stay someplace nice without spend $ 400 per night . * * bottom line , absolutely would recommend property anyone would definitely stay . * * 
 Oct 31 2007 	 top line Service 	 14 year since San Francisco , husband never . book 4 night stay White Swan Inn , disappointed . really know city , staff extremely helpful recommendation restaurant , place see thing . always pleasant , happy accomodate question request . the valet extremely convenient , consider parking city pain , ' m glad available . place run mill , cookie cutter Best Western . look something character , charm history , look . hotel almost 100 year old , extremely well - keep age . room large ( luxury king ) , walk - in closet fireplace room . extremely charming , wonderful time . conveniently locate within walk distance anything city - something 's far walk , cable car within two block hotel . definately recommend place ! 
 Oct 31 2007 	 nice stay . 	 book White Swan base TA review disappoint . bed & amp ; breakfast people , little nervous . San Fran business Moscone bring along husband 2 year old . , nervous 2 year old would accept . staff wonderful , make fuss , nothing friendly , get juice , crib ready without ask , nice . guest probably not enthuse , well behave deal . , main reason choose White Swan 2 year old . need something standard Hyatt room , price , get King Deluxe Romance Suite . , give we room plus drink breakfast . smart , know toddler come , give room right patio / breakfast room , little footstep would not wake anybody we . room end , probably not interupt many people 6 am cartoon time . , love , son feel like Gammy 's house able walk to / from Moscone , China town , nearby restaurant . great & quot ; dive & quot ; bar ( really dive ) street call Summer Place awesome juke box . 
 Oct 28 2007 	 great inn city 	 book three night inn luxuxy link , disappointed . arrival wine hor d'oeuvres fantastic . cracker cheese salad , plenty cheese , bread , cracker , dessert never run wine ! ! staff helpful city direction nice . hot cold breakfast amazing , get we ready day long adventure . location perfect , walk night hop away cable car . room spacious clean . highly recommend inn friend . price quality good deal trip ... , 
 Oct 21 2007 	 would definitely stay 	 travel party consist huband 33rd wedding anniversary . first time traveler San Francisco , book White Swan Inn base TripAdviser review forum post & quot ; expert & quot ; . disappoint . they allow we store luggage arrive early airport , well 3:00 p.m. check - in . get cup tea set see San Francisco . not arrive back late afternoon , happy large comfortable king - sized bed await we along luggage . even though weather gorgeous , light fireplace every evening enjoy cozy ambience lent room . the location fantastic ... find several small restaurant , cocktail lounge , small Mom pop delis area . also convenient local transportation system . return San Francisco , hotel certainly short list place stay . 
 Oct 21 2007 	 another wonderful visit White Swan Inn ! 	 return White Swan Inn five night stay . beenvisite Inn since 1995 always come back travel San Francisco . love breakfast wine reception evening ( esp . fun friend also stay ) . back . 
 Oct 20 2007 	 love 	 great service . nice people . wonderful breakfast good irish Soda bread terific chocolate chip cookie eth evening . 
 Oct 17 2007 	 charming romantic quaint 	 complaint . , pleasant accomodate staff . room lovely quite large king bed ultra comfortable mattress . neither husband feel unsafe area even dark , see be somewhat skittish might nervous since not high traffic area like right Union Square . great shower vanity love complimentary soda fridge everyday . stay next visit ..... 
 Oct 17 2007 	 charming quaint maintanance issue not $ 's Paid 	 pro . generally charming place teddy bear beds sleeper sofa . room spacious 4 - star hotel stay prior 3 night San Francisco . bed comfortable , nice little wet bar area , lot hot water , & amp ; decent hot breakfast . accommodate staff . clean . fireplace nice touch . small grocery across street & amp ; small sandwich shop probably close around 9 p.m. Downstair sitting & amp ; dining area pleasant & amp ; lot old world charm . con . fifth floor room appear need TLC . faucet wet bar leak & amp ; could get turn . husband shut water , water drip cold water faucet bathroom , repeatedly ask extra towel never arrive 3 person room , & amp ; 19 inch color tv ( cable hookup lot channel ) sound low & amp ; barely could heard street noise . probably governor sound occupant turn tv loudly . problem unless want really listen tv intensely , would -- San Francisco ! ! ! elevator leave much desire . charm , person leave gate open , elevator would operate . tough try haul baggage main floor leave hotel . way let front desk know problem unless go back room someone venture stair . lose 10 minute try get fifth floor main floor leave flight . breakfast start 7 a.m. , ok business need get early flight . son dining room 7 a.m. depart , food even ready -- breakfast leave flight . you go first floor get ice , deal breaker . my husband really feel comfortable venture 9 p.m. street get food small grocery across street . day , great location & amp ; feel safe -- easy 15 minute walk Union Square & amp ; major shopping . 
 Oct 12 2007 	 France San Francisco 	 need place stay work do home . SF resident , need place replicate home , work home . stay big local 4 & amp ; 5 star hotel find huge machine - like operation distasteful . pay club rate treat like child ! one print sheet inform one dress breakfast – ( basically Denny ' meal ) , tell take food room watch camera . pay high club rate treat like escapee Miss Manner ’ prison . hotel clean amenity need – internet , etc . first sure stay small B & amp ; b type place . rate good , picture look cute , decide experiment . usually online photo well truth . smell mustiness online . arrive expect worst honest . outside nothing spectacular – find Europe . exterior deceive . sweetest desk person – mouth full brace reveal gorgeous smile – accommodate . " need body lotion – ' send . movie schedule – let print you . " rush tone patronize fake care . love whole hotel – escape victorian world - much like European Inns , CLEAN , mold mustiness . room stay spotless . hard time find switch turn fireplace – , blow gasp condescension call inquire room might hide . snack – uh wine cheese , grape , etc – sweet – good way mingle . breakfast beyond expect . quiche homemade – really ready Costco kind ' scene – something make lard gelatin . light full veggie . fruit , juice , huge yummy pot oatmeal . great homemade scone yummie . ask one serve lady warm muffin make , slightly affront response come someone carry pride work – " course ! " thrill . clean people hall smile – kid . approach plastic bag – offer water . love shower give direction . one way feel patronize ! hotel seem attract clientele often find Europe – friendly , explorer -folks box corporate experience . folk find joy intimate less anonymous setting . spacious room night felt travel another time – borrow " Sting " ( VCR ' ) allow rare treat vacation hometown . 
 Oct 2 2007 	 great place stay SF 	 husband stay 4 night charming property . room like english country inn quite spacious . free breakfast ( include egg dish ) quite good free afternoon wine cheese offering . also nice fridge room . location close public transportation SF . stay many 5 star property , money , think steal . 
 Sep 25 2007 	 Nice hotel 	 mother enjoy 2 night stay White Swan . would give good , great . room large accustomed see San Francisco nice . hotel 4 block Union Square , however walk require steep uphill return several block , beyond ability 78 year old mother . elevator old , quaint annoying depend attitude . almost people see wine happy hour breakfast aarp'er . 
 Sep 16 2007 	 Outstanging 	 WOW ! ! heart San Fran ... little bit England . room spacious . clean cousy fireplace light tip light switch . the morning breakfast excellent . quiche french pastry , day begin smile energy concur San Fran . the front desk staff accommodate knowledgable different event tour area . it peace heaven busy town . the cable car 2 block away everything else fingertip . I definitely stay wonderful b & amp ; b next trip San Fran would recommend anyone go area . 
 Sep 5 2007 	 love quaint hotel 	 father station Presidio back 80 's & amp ; fall love w/ San Francisco . wife & amp ; return many time 15 yrs ' ve together . Sonoma April 2007 sale conference & amp ; spend last 2 day city leave . friend travel choose hotel & amp ; absolutely loved ! definitely old bldg SF 's give character . ' ve read several review & amp ; must agree w/ almost . however , take exception w/ reviews w/ regard a / c , street level noise & amp ; small room .... People , city botique hotel . ever live city -- people hour ! expect street noise -- try living & amp ; soon will realize . ' ve stay hotel SF & amp ; find thing -- , call city live . a / C San Francisco -- necessary ! open window & amp ; let fresh air . last Sept ' 06 stay Van Ness / Geary Blvd area & amp ; experience street noise not think 's hotel . plus , Sept gorgeous first day hit indian summer perfect Saturday roll around .... nice local pub w/ short & amp ; leave hour later temp drop 20 degree 60 w/ fog & amp ; ! feel like live magical moment time . oh yeah , get chance , travel block southwest & amp ; dine Fluer De Lys -- 777 Sutter St . Chef Keller magnifique ! ! get chance , stay hotel -- expect city botique hotel build early 1900 's ! 
 Sep 1 2007 	 Charming hotel great location ! 	 charming hotel ! staff friendly helpful . book deluxe king room find clean spacious . fireplace room nice treat . hotel build early 1900 's retain original charm character old building . buffet breakfast wonderful : quiche , fresh fruit , pastry , cereal sausage . much expect . room face street , yes street noise . , much one would expect large city . true , air conditioning , fact hotel city a / c . mild climate San Francisco , almost never need . parking site , bit wait car bring around need immediately . , little planning ahead , non - issue . decide shopping day departure hotel store luggage we return . call ahead car wait we return . hotel within walk distance many great restaurant , shopping cable car line . definitely back ! 
 Aug 24 2007 	 adorable ! 	 Hotel quaint , staff friendly , complimentary breakfast delicious . can not wait stay ! 
