great 	 wife stay honeymoon . want comfortable luxury hotel close Mag . Mile . able get Corner King 21st floor . great view . plus - amazing bed - the shower lavish - hotel staff helpful - Breakfast ( free make reservation online ) delicious filling - Location ( near Mag Mile Whole Foods around corner easy snack ) -mp3 docking station nice add on - the gym sufficient quick workout - the Spa helpful massage feel wonderful alot walk around Chicago wife enjoy manicure facial . minus -The second floor entrance slight problem nothing can not handle - the ceiling much look at - the spa price higher use seem inline downtown Chicago . see not alot negative thing say Dana . service great , view wonderful amenity lavish . would recommend hotel young couple hip famile visit Chicago leisure 
 Nice 	 Dana excellent hotel heart downtown Chicago . ultra modern styling personalize friendly staff . 
 May 20 2009 	 interesting everyone 	 Dana Hotel Spa new orient tech - savvy people like industrial chic design . service great . good continental breakfast fresh food provide . room , flat screen tv , iPod dock , showerhead ceiling especially floor - to - ceiling window fun . bed bit soft not like expose concrete wall minimal lighting matter taste . also traffic noise ( 17th floor ) elevator room near . glass wall curtain separate bathroom / shower room . staff leave curtain open also raise window shade make room remember pull closed return use bathroom . stay 4 day never figure tv menu elevator security system . also , oddly , free wireless internet problem Yahoo - never able check email although website work fine . location great , like rooftop bar , 4th night free deal make good value since stay 4 night . probably choose conventional lodging ' m back Chicago . 
 May 19 2009 	 Great Value Mag Mile ! 	 location right mag mile lot restaurant bar night life . valet meet we cab pull . staff friendly - particularly bellhop . corner room rock ! ! clean housekeeping easily accessible extra towel , etc . consierge desk extra helpful trying find bar play Brewers / Cardinals game ( hard Cubs town ! ) . downfall slow service bar . breakfast service prompt friendly nice complimentary breakfast include stay . not get room service use room fridge reasonable compare hotel Chicago . book 3 night save 25 % . stay Drake Hard Rock ( bad hotel stay city ' ve ) past , view Drake Lake Michigan spectacular , room Dana much clean new valet staff much urgency Dana . ideal hotel also use public transportation around city . 2 block redline get main stop city - or jump onto line get neighborhood . sure visit Dana soon . 
 May 13 2009 	 modern stylish hotel great location perhaps modern . 	 stay Dana Hotel Spa 4 night great time . 's location perfect travel airport via subway / El , walk shopping , restaurant , bar , tourist spot . room modern stylish , design issue might make people uncomfortable . room great ceiling floor window sun shade panel blackout panel behind . shade panel , space one , allow light come . need completely dark room sleep , might issue . hear noise Saturday night , room right front elevator , sometimes hear people get , nothing disturbing . far & quot ; famous & quot ; glass shower window , plenty privacy curtain draw . however , someone use bathroom middle night , light illuminate rest bedroom . perhaps blackout shade would appropriate . shower enclosure small glass wall , bathroom floor get bit wet result . bed comfy . really enjoy mini - bar selection wine selection , reasonable price . we go Vertigo Lounge little bit , not clubby people , good vibe busy . view awesome , nice outdoor area . we enjoy stay would certainly return hotel . 
 May 4 2009 	 Fun Hotel Perfect Location 	 friend finish stay Dana love ! location State Street ideal -- - easy walk Michigan Avenue , Lincoln Park , Gold Coast area , etc . ton restaurant , shopping , bar within minute foot . Decor sleek contemporary , love fun shower look room ( curtain ) , bed incredibly comfortable great sheet , wireless internet reliable , everything pretty tasteful . hotel 's club fantastic view , even staff 's outfits pretty trashy , overall service great . would say staff relatively young inexperienced Four Seasons standard , efficient helpful needed . not eat restaurant , gorgeous . the downside we poor sound insulation room hallway , room a / c never seem get cold enough , take elevator + stair 2 separate elevator time go room street level ( lobby second floor ) .Overall think fun , stylish , well - locate property excellent value . would stay without hesitation . 
 Apr 28 2009 	 Dana Hotel Spa choice ! 	 finish 2 night stay Dana Corner King room . second walk time leave , hotel exceed expectation . staff fantastic friendly , hotel swanky yet comfortable , location second none . can not say enough good thing hotel experience 1st wedding Anniversary . even call within first hour recommend friend plan trip Chicago . choice stay Dana somewhat luck , next time due experience . 
 Apr 27 2009 	 amazing ... perfect Chicago hotel ! ! ! 	 place breathtaking . pay $ 119 plus tax night stay 5 night , great experience . room gorgeous spacy . stay 19th floor balcony king . layout unique modern . bathroom shower AMAZING , could stay hour ! customer service 10/10 . help direction , leftover pizza room service heat u ( ofcourse tip ) . room clean beautiful . wierd celing design make look dingy , realize plan . comfortable bed sleep LIFE ! one minor complaint AC cool much could get tad warm showering .. people like room freeze cold , still comfortable . breakfast decent . egg , waffle , delicious scone ! location good get ! right near great restaruant , subway , mag mile , Amtrak station . I would give hotel 10+/10 . LOVED hope get come back real soon . rate decent , hotel would ever stay Chicago ! 
 Apr 20 2009 	 Loved . 	 stay Dana part group . one good chic hotel stay long time . room little small layout make . business traveller , like desk space sit area room . bed comfortable love linen . make good night sleep . siren outside traffic noise not normally bother walk downtown area Chicago , would problem matter stay . folk .... check shower . return . regular hotel shower . pressure perfect rainfall effect amazing . bathroom big make get ready morning much easy . IPOD dock station great . ipod touch could actually watch video tv . easy use make stay even well . staff good although group complain little rude . not experience . bar roof little upscale . server act bother seem like atmosphere want . go back Chicago business , go back , be sure 
 Apr 16 2009 	 fabulous boutique hotel - perfect location 	 stay Dana second time past weekend wonderful time . floor ceiling window amazing overlook city . staff friendly attentive . initial problem wireless move different ( well ! ) room fine . room service great bed amenity . highly recommend be plan trip windy city ! 
 Apr 13 2009 	 great stay Dana Hotel Spa 	 last week , stay Dana Hotel 5 night absolutely delighted hotel , staff surrounding . let ' start location 2 - 3 block Michigan Ave heart major shopping . side spectrum , hotel also Trader Joe ' , Whole Foods Walgreens within one block hotel great snack , meal go anything else may left behind . room extremely spacious comfortable bed . bathroom huge great amenity ( large usual shampoo , conditioner etc . ) . big fluffy towel . take couple day realize room handicap accessible – explain divide ledge bathroom shower , pull bar next toilet . also explain closet armoire low ground . however room still appear cozy chic different many handicap accessible room ' stay past . hotel offer nightly turndown service chocolate cover fortune cookie . service include pull shade room darkener key apartment building directly across direct view room . careful get dress could see everything apartment dweller , ' guessing could see well . complaint hotel wall extremely thin . toddler baby room next entire stay believe say hear every cry . overall , great stay would definitely return return visit . free wireless internet continental breakfast rock ! staff go way please . special kudo TJ , bell desk , always great attitude , even freeze outside . 
 Apr 10 2009 	 Perfect Boutique Hotel . go back ? ! 	 husband amazing weekend stay Chicago ( first time visit ) thank generous part Dana Hotel . book online , call couple day arrival date confirm reservation . reason we book wheelchair - accessible room ( neither need one request one ) , easily change phone call . stay Serene King upper floor request . great view -- room wall nothing floor - to - ceiling window -- super clean . chocolate minibar item available unique delicious , though expectedly pricey ( $ 4 bag double chocolate coat malt milk ball , example ) . really hotel bathroom like , believe , Dana Hotel 's shower must experience . entire staff -- valet guy front desk personnel housekeeping lady server exceptional Ajasteak restaurant downstairs -- polite accommodate , special shout - out must go concierge staff -- Tim Aleksandra . take time ask we question discover taste make recommendation eat . thank feel like experience local 's Chicago rather tourist 's Chicago . much appreciated . can not wait go back Chicago stay Dana . 
 Apr 7 2009 	 early problem resolve 	 second visit Dana book room first month opening . new hotel need month iron early problem seem work hard achieve . room immaculate , clean well design . service much well food . sky bar much ' in ' place . first time stay Chicago Hotel glad . would happy stay . 
 Apr 3 2009 	 Super Cool Boutique 	 wife stay one night also use spa service . I get deep tissue massage awesome , wife get facial . place clean staff pleasant accommodate . the hotel hip , real club feel . first floor bar second floor lobby good layout , great decoration evening comfortably crowd nice atmosphere . the room unique comfortable . great view floor ceiling window tell everything new . quick note shower – share wall / glass window room . glass cover curtain , want open curtain room full view shower use….pretty fun . overall , place awesome great place Chicago . 
 Apr 3 2009 	 Diamond sea coal .... 	 stay Dana recommendation Chicago native totally enjoy location , staff hotel . travel Chicago several time year trying find place huge faceless chain small miss good amenity area need . short , Dana place . staff attentive pleasant modern décor nice look without sacrifice need business traveler . great view 18th floor balcony . previous reviewer mention small size balcony think great place step outside , get fresh air , enjoy view listen sound church bell / song block away . wine chiller / mini bar great ! selection good rate reasonable full bottle wine room . nice able open drink half save half next night . shower full glass bed area , bit unnerving first get realize hand - hold shower head rain shower . effective use space dual use bathroom / closet door great design element . mention great B & amp ; W stereo iPod / Phone dock . realize second day get television play cool stereo well sound . hotel early day enjoy breakfast travel mate say good bit usual " continental " breakfast fare . issue rude inconsiderate neighbor across hall . door solid big gap bottom door allow scream / laugh / cry woman across hall filter room . Understand , feel need shout one stand doorway several occasion . end stuff big fluffy bath mat gap well . sure deal thankfully leave day rest stay quiet . area plenty big chain boring assembly line hotel stay great cost Dana . want one thousand , mean stay . want personal experience big chain hotel point , check Dana ! , Dana great place stay décor , staff amenity would expect much pricy place without half style great find . definitely make Dana new place stay Chicago ! HINT : door room end & quot ; -08 & quot ; & quot ; -10 & quot ; directly across elevator . absolute quiet essential , might want request right across elevator . 
 Apr 2 2009 	 great Chicago Choice - Different Fun 	 finish 5 day Dana Hotel Spa . current pseudo - asian feel still popular . room excellent ; light view light unique design . bed big rave among everyone ; want get . room decor fun quirk make interesting . work space internet outstanding . great business romantic city visit . service outstanding many way . housekeeping strong . maintenace prompt friendly correct problem minute ( Scott ? ) . extra service management appreciate ( James ) . concierge fun informative passionate Chicago ( Alexandra ) . would work brunch food / beverage service ; look fantastic service ws cold slowish . big problem ; lot great restaurant walk distance . wierd stand luggage front desk chill chair , hey ..... different good , . wierd reception concept ; time tell . overall , truly great comfortable experience . appreciate risk take change set concept . look review , pay . thank good time . 
 Mar 26 2009 	 's New Favorite Spot - Love Dana 	 friend frequent Chicago often stay downtown work play . love Dana Hotel ! view amazing room ( 2102 ) . floor ceiling window doorway bed . witness amazing sunrise bed . ( pull blind first night . ) go Vertigo Sky Lounge drink Saturday night . awesome dancing cuddle fire pit . staff want make we happy , feel welcome , exceed expectation quality stay . must say make reservation Dana . 
 Mar 20 2009 	 well Chicago megahotel ! 	 slightly pretentious , reception staff friendly outgoing ; check guy reception fingering finger ring nonchalant like uninterested . our room clean , however heating/ cool noisy sensitive . set 21c constantly turn nosily night . niggle , enough annoy enough push anyone one old hotel town ! breakfast great touch , staff friendly , other look nose customer . & quot ; Free internet & quot ; throughout hotel not exceptional Chicago Dana compliment too . never use Spa , could not bother - 's prohibitively expensive compare hotel spa facility really good day spa town . if go back Chicago would stay already know mundane alternative ... 
 Mar 12 2009 	 good location modern design dark room small balcony 	 stay two night business . usually stay starwood hotel hotel like westin sheraton book . well , hotel recommend friend Chicago . rate incredible . half cost comparable hotel . the good : location good near many major restaurant . Michigan Ave , close enough short walk . room comfortable modern . bed bed comfortable . recall free internet , large LCD tv sound system . large modern washroom , wall shower room clear glass . bother I . service friendly , general crowd young hip . the bad : room give small glass patio door . window room feel dark . rooom pretty small , darkness bit problem . floor concrete , slipper , provide . if give well room , would recommend . dark room turn . would recommend get different room . have dinner one night hotel . restaurant quite good . also free continental breakfast decent . the rate incredible . think pay less $ 100 per night . steal Chicago . think promotional rate . anyhow , mixed feeling hotel . would probably recommend like trendy , modern hotel . 
 mar 3 2009 	 fabulous place especially cost ! 	 ' ve stay twice , become favorite Chicago hotel W even Peninsula . , be look true 5 - star accomodation like Peninsula Ritz , not stay ; be kind place . be totally unpretentious , hip , minimalist , modern definitely 4 - star establishment . staff equally unpretentious friendly . Chicago , room rate , spa price , room 's & quot ; mini - bar / wine / snack & quot ; price beat ! want good experience , get corner room ; get Cozy King standard room balcony . 
 Mar 2 2009 	 Sheek romantic boutique hotel breathtake loft room 	 good part hotel room . walk immediately meet floor ceiling window 's exterior wall - look city . room dark hardwood floor , shower fantastic , flatscreen nice . rest hotel nice pretentious ... steakhouse / sushi - bar main level club top floor rooftop deck . wife love spa . 
 Feb 28 2009 	 Different Hotel 	 friend stay hotel prior see Oprah taping . arrive lobby usher check desk . uneventful checking in . we get room little take back . unique hotel . ceiling wall window overlook State Street cool . however one minor complaint would bathroom . set rather odd- shower overlook room . yes , overlooks room . be like not want build solid wall , glass . purpose ? people across street glass building watch take shower ceiling floor window open ? rather odd . ceiling appeard unfinished- block concrete . tell purpose design . the floor hardwood , except bed locate . use slipper caution- mighty slippery hardwood floor . the breakfast morning good- fresh fruit , yogurt , coffee , pastry . excellent breakfast . the door man next morning hail taxi we . going excite we . Valet parking nice . due show taping later day , check early , keep luggage without question . would return- possibly . need think outside box hotel . 
 Feb 25 2009 	 Great Hotel Great Location Minor Flaws .... 	 wife stay 4 day enjoy hotel much . corner suite absolutely awesome . room 2 balconie small 17 degree not bother we much . bathroom amaze large walk shower two rain style shower head . bed also extremely comfortable . room spotless room service spot . hotel prime location . be near everything . shopping walk distance well great restaurant . Chicago Art Institute ( fantastic ) $ 8 cab ride away well . Field Museum also area not care . one issue hotel service provide . not blame Dana necessarily problem fairly common boutique style hotel . gym small however hotel fairly empty time not issue . room service severely limited . two night come back hotel late pint slim pickin menu . 11 option chip dip edaname . call see could make burger something could not . total loss little inconvenient . wife get message tell book leave review read people able get appointment . well call 3 day prior weekend able get something 7 pm Sunday therapy limited guy perform message not able want . ... nature beast boutique hotel . overall ... 's great hotel would definitely recommend . type hotel everyone though . be bit trendy young . 
 Feb 19 2009 	 amazing view service lounge ! ! ! ! read realistic hotel review 	 arrival bit tricky , VALET service , need park front Hotel . Bell Man Concierge come greet we . take bag immediately ask name long would . personal comforting . concierge proceed take we check second floor , greet warm smile friendly attitude . as leave Concierge ask dinner , call sure got & quot ; primium seating & quot ; stand . ask lunch , call make sure receive first service premium seating . room AMAZING ! ! ! ! corner room 2 wall expose City Glass WINDOWS ! amazing view State Street wonderful Church , could even hear bell ring evening . night fall view become breathtaking . bathroom fun , creative . floor room wood remarkably warm Chicago February . lounge top floor something never forget , would hard time walk away couple cocktail . outside patio expose air City , Glass wall something never experience Chicago . breakfast next morning either Continental could order menu . omlet die ! stay Chicago ; Drake , W , Congress ( old Chicago Charm ) , one place could stand next Dana Hotel Spa . stay every single time go Chicago . amazing ! ! ! 
 Feb 18 2009 	 pay close attention bill ! 	 sister celebrate 10th wedding anniversary . find dana hotel . think bit pricey , sister think stay great downtown location might pay play . book two room online , one hubby one hubby . stay Friday Sunday . also , book couple massage . make reservation , sister call next day make sure hotel get resevation see spa accomadation . well , surprise , spa opening stay . although computer except reservation spa service . ask staff try fix situation . tell concierge celebrate anniversary would like know hotel anything special special occasion . hotel assure we would something special . well , make long story short . hotel nothing special . remind front desk Saturday evening whatever hotel planning , check next day . sister tell front desk clerk drink champange hotel go give , send . hour later , sister call room tell room service send champagne strawberry want know get . well , . call concierge desk , one answer . leave message . morning letter along bill . short hotel appolgize forgot anniversary give we free breakfast bed . also comp one night stay . wow , reaction . pretty happy . well , story . next day , work husband call ask go money . want check bank account . check surprise , monie take stay additional $ 600.00 dollar take . , cause account overdrawn . course shock . call hotel ask explain charge . could . say charge take $ 600 . Dana claim could charge . make copy account fax hotel . call bank Monday cancel charge . bank , fortunately . however , Dana still costly mistake . call talk managment , one hardly ever available talk happen . moreover , bed wonderful , view spectacular breakfast offer roomservice continental . dinner overprice great . housekeeping also bite lousy . 
 Feb 18 2009 	 Great Hotel - highly recommend couple ! ! ! 	 think strange one ask know name Dana Hotel Spa - must b / c 's new would like start spread word great . fabulous hotel - very romantic staff great & amp ; friendly ! enjoy every second 3 night hotel stay last weekend highly recommend 30 something couple . modern trendy . price , location view incredible . would recommend stay floor ceiling room ditch balcony room b / c panoramic view breathtaking . king bed sheet extremely comfy along nice large open shower . highly recommend hotel stay future . 
 Feb 17 2009 	 great time great rate ! 	 look trendy hotel 's clean great location place . staff great , gym workable lobby fun . great deal ! 
 Feb 16 2009 	 Worth Hype 	 come birthday , room tiny , window ( tiny balcony side ) amenity extras brag . know be go minimalist design , room depress basic miss . example , call aspirin headache & quot ; not & quot ; . be unacceptable- would expect Motel 6 would aspirin we ! staff nice , little surly . place worth price . 
 Feb 15 2009 	 great location . oh many problem . 	 first wife book room Expedia Valentines Day last time use Expedia future vacation plan . request king bed apparently reservation could guarantee upon arrival find availability two double . the hotel arrangement overall poorly execute elevator situation awful . hotel could use another 4 - 5 elevator . wait average 3 minute elevator one point 10 minute wait decide take stair . use elevator ( even go lobby room ) swipe key card press button . ' m hotel security , overkill . at night hotel restaurant full force unpleasant fish odor throughout hotel lobby ground level area . as room , small even Chicago standard . bathroom offer little way privacy . admit glass wall shower provide opportunity & quot ; fun & quot ; time , slide door ( never stay closed ) exterior shower curtain not provide proper privacy actually use bathroom . to whomever design room , expose concrete ceiling pillar attractive especially water / rust stain . overall not recommend hotel unless business trip alone not plan staying room much time . location great , hotel staff extremely friendly , room quality sub - par . 
 Feb 9 2009 	 Good Potential Poor Execution 	 choose stay Dana Hotel fantastic location wife want try spa . first , spa average slightly average , however price high average . friendly staff , however appropriate equipment ( example , massage wife pre natal , however pre natal table , massage chair pedi , etc . ) expect Canyon Ranch experience , keep look . second , hotel room OK . nice furniture ( comfortable couch desk ) , good amenity ( nice bedding , reasonable wine snack ) . housekeeping leave lot desire ( dry toothpaste vanity top , green mystery substance mirror , hair floor wall bathroom ) . also , hear every step ( ... & quot ; movement & quot ; ) upstairs neighbor take . major point annoyance fact housekeeping come 9:05 day check . even awake yet ! almost fall back sleep , another knock door , time restock mini bar . check time noon ! want sleep bit , seem hotel staff intention grant we guilty pleasure . with many outstanding hotel Chicago price point , probably would make Dana choice . 
 Feb 7 2009 	 New Chicago Find ! 	 great new Boutique Hotel . even couple startup bumps- everything address approrpriate manner overall experience far exceed expectation ! perfect trip end business trip full month travel ; already plan pleasure trip back . location excellent- great restaurant walk distance concierge outstanding exceptionally knowledgable . room amentitie bring grumpiest traveler big smile ; room consistently clean every day ! greet welcome back warm welcome even cold day ! ! absolute pleasure ! 
 Jan 29 2009 	 good Potential yet ... 	 hotel nice ammenitie modern styling suffering startup pain . check Sunday night find room temperature 46f , thermostat set 72f call assistance . engineer came quite fast tell hotel open 6 month many problem heat pump not want fix anymore want manufacturer replace . work furnace turn tv - picture un - watchable much static - engineer call guy come quite quickly fix time engineer get heater work . great , minor mishap , understandable new hotel . I wake 4:30am , room 55f . put hat keep sleep get , get ready conference ( conference heating ventilation - irony ) call front desk request new room furnace going get fix ; send engineer . engineer tell building problem insist want new room pack bag , wait bellhop move high floor room directly one ; room 55f ! leave conference tell front desk second room cold heat work . response problem build heating working - ok . I come back 6:30pm room still 55f . call send engineer ( guy ) . guy helpfull , appologize said & quot ; let get different room , side building & quot ; . pack bag move new room . final room great , heat work fine . check next day expect apology possibly even rebate spending night room heat bitter Chicago winter pack bag two time move room ( like shirt crisp re - ironed time fold bag ) . not even get ask stay be . will stay ? maybe summer rate low give money back guarantee HVAC operate otherwise . 
 Jan 5 2009 	 one Chicago 's good ! 	 recently stay Dana business trip week . impressed entire experience . general manager send courtesy email stay . be exactly write back , probably make good review : * * * * * * * * * * * * * * * * * * * * * * * * * * * * Lisa - I not often return feedback . , staff hotel exceptional last week , far exceed expectation great experience value . especially good concierge staff . really wish could remember name , gentleman shift young woman evening shift could well host . ' ve already emphatically recommend hotel many colleague , ' m look forward hospitality future . * * * * * * * * * * * * * * * * * manager send wonderful reply ( remind concierge staff name Tim Cameron ! ) . correspondence indicative personalized service receive would recommend hotel emphatically . 
 Jan 1 2009 	 Fabulous every way ! 	 celebrate New Year 's Eve Dana year fabulous ! suite well appoint floor ceiling window fabulous view city . every detail room fantastic , include shower bath fixture , hardwood flooring room , iPod stereo room . Vertigo 's party evening great crowd shot vodka flow & quot ; V & quot ; shape ice sculpture heat patio overlook city wonderful . each every staff member come contact friendly helpful everyone say hello we make we feel welcome . location hotel within walk distance many amenity , include shopping , bar much more . the Dana highly recommend ! 
 Dec 31 2008 	 Hotel exceed expectation spa much ! 	 begin stay , hotel staff accomodate . arrive pour , cold rain quick help we unload valet . staff would greet we name leave / return hotel . treat though guest hotel . room modern hip tremendous view room ( panoramic view state street ) . bathroom spa - like shower wonderful ( bit water flow onto floor , lay towel ) . complaint room : find bed / pillow comfortable review claim . also , find challenge find comfortable temperature room- floor ceiling window , bit chill room , heat turn , instantly become hot dry . ( note- address staff , notice theme among review ) . continental breakfast average , typical , fine we . big complaint spa- find small ' posh ' expect . luckily , husband receive massage another spa ( terrific- exhale spa state st ) . pedicure dana spa -- $ 70 pedicure ! ! woman pedicure ask would like additional service without tell would extra fee , know charge extra $ 30 go pay . , pedicure mediocre say least . sit bench instead spa chair , receive leg foot massage , foot spa , etc . we find hotel location nice- easy walk mag mile state st / rush st . area . 
 Dec 31 2008 	 can not wait go back 	 absolute pleasure stay Dana Hotel way Chicago . actually choose hotel base review comment Trip Advisor . impress every aspect hotel , booking , conclusion . call time question arrive people helpful pleasant . when arrive , find easy get check floor . staff excellent , accomodate obviously proud hotel . friendly helpful . the room gorgeous . stay many four five star hotel . rank one good hotel ever stay . bed amazing . bathroom make we want redecorate . shower fabulous . think take two shower first night shower ! amentie well think . bit disconcert floor ceiling window first . certainly get use . find view amazing . could see & quot ; Chicago & quot ; sign window . mention food Aja Steak . oh God . good steak ever ! room service first night want chill . food die for . the continenal breakfast next morning nice . lot fresh fruit , bagel muffin . & quot ; throw & quot ; breakfast . I mention Tim main conceierge . wonderful . helpful suggestion . part way day buy Hawkshop ( see Bill Murray ) many bag carry around we . call Tim ask delivery service . come cab collect bag take back hotel . well , unfortunately 10 year old son lose camera back cab . Tim front desk staff help we try locate . Tim fantastic . able get camera back we Canada . good conceierge ever see . we sad leave . can not wait go back . place would consider stay Chicago . 
 Dec 25 2008 	 extremely noisie room heater 	 design hotel modern huge window replace wall . unfortunately , huge glass window good installation . room equip individual heater extremely noise keep awake entire night . may good stay hotel weather nice winter time ! 
 Dec 14 2008 	 great little hotel 	 Chicago times new area want stay . cam across Dana Hotel tripadvisor - check number site get GREAT price - decide try it . what fantastic find.the location fantastic , staff friendly helpful room great . balcony room - smoker . be not large sufficient . stand shower.the bar top floor great fro late 20' / early 30's.breakfast continental - bit thin , food restaurant , goodoverall - really great place - definitely somewhere return 
 Dec 9 2008 	 quite 100 % yet 	 new hotel , billing & quot ; cool , small boutique & quot ; sum . maybe cool term visitor come restaurant bar , staff incredibly friendly . corner room - floor celing window two side room tend cold ( concrete , noncarpted floor excruciatingly ) take time close blind order change ( fair , staff part turn service night ) . comfortable bed , reasonable workout facility ( 1 eliptical , 1 bike , 1 treadmill one lateral motion trainer ) well free weight new - ish italian machine design core strength building . small , perfectly adequate well use . plus , tv piece cardio always nice plus . , yet sort cable service room - movie demand handful channel . ' m sure be sort . nice enough amenity full suite . steam room available fitness / spa floor locker room . nice complimentary breakfast - usual US contintental scheme . overall tend quite good value practical part town business well vacation . 
 Dec 7 2008 	 Modern Luxury Dana 	 boyfriend stay Friday night . request upper level room promptly place corner room 20th floor . room two wall window spectacular view . view alone justify price . addition view , however , Dana room contain single comfortable hotel bed ever sleep -- import linen , king - sized bed , fluffy comforter , mountain pillow . strange enter hotel bottom floor restaurant , friendly host quickly direct we upstairs lobby . also check Vertigo , lounge top floor , pack 11:30 Friday night , opt quiet room instead . shower big enough several adult water pressure great . set - up little strange -- one night , not able master shower without soak rest bathroom , shower door close , be still quite nice . curtain glass wall block view shower / bathroom rest room , not issue we . continental breakfast Saturday morning impressive , far continental breakfast go . large room service menu available times day , try . take breakfast back room make mimosas . overall , staff friendly competent , ambiance great , furnishing modern comfortable , , prime location , close much activity downtown , simply can not beat . 
 Dec 1 2008 	 Nice Hotel 	 husband stay Dana Friday Saturday night November . travel Chicago long weekend get away , look forward relaxation . will start say enjoy many aspect hotel , though minor issue . check Friday request upper level room , hope nice view . place 24th ( 26 ) floor , nicely appoint room . bed quite comfortable , plush comforter pillow . i - pod speaker system convenient , definitely nice addition . shower big enough two adult , bathroom whole nice . Friday night , husband quite tired long work week , want rest go bed early . approximately 9 pm , begin hear rather loud , thump bass music . wait several hour , attempt determine sound come ? ! 11 pm , bass continue quite loud slightly disrupt attempt fall asleep . husband call front desk report noise advise would investigate . 11:30 , music continue , call front desk . finally , 12:15 , husband go search sound come . point , realize night club 26th ( top ) floor , music could hear several floor . request room transfer , move ( 1 ) 12th floor , thankfully quiet . hotel give we complimentary bottle wine , nice compensation . Saturday night , many night club patron also hotel elevator , music note loud upper floor . , suggestion may avoid upper level room light sleeper , want quiet room atmosphere . overall , enjoy room , personally feel like old - fogey ( early 30 's ? ) , trendy , chic atmosphere hotel . 
 Nov 16 2008 	 Lovely Boutique hotel 	 hotel quietly tuck corner great location . cab driver hard time finding , will not find light marquee porte - cochere doorman happily hold door make sure bag get room . restaurant ground floor depend go one floor may litte confuse . reception desk desk wih couple monitor phone . different work . corner room , 2 wall floor ceiling window , black shade sheer shade available . bathroom , level privacy entirely person leave room .... shower stall glass wall look bedroom toilet .... curtain room side . enough say . the room large plasma tv speaker system ipod well free internet . bed comfortable , pillow overall nice . the continental breakfast offer bagel , cereal , coffee , juice fresh fruit . drawback siren , firehouse hospital nearby active night . believe would go back . 
 Nov 9 2008 	 great experience 	 wonderful stay Dana Hotel . can not speak size standard room receive complimentary upgrade suite upon arrival . however , think would enjoy hotel ( almost ) much not . location hotel excellent . additionally , wine lover , selection offer mini bar well ever experience . staff nice friendly complementary breakfast great extra . 
 Nov 6 2008 	 Loved Dana ! 	 stay Dana 3 night Oct. 24th - 27th find excellent location well fun friendly place stay . book Fall Dining Package 1 night great deal . Dinner AjaSteak good enjoy atmosphere . also include & quot ; breakfast bed & quot ; enjoyable . also opportunity see 3 different room must admit - great . corner room 2 & quot ; wall & quot ; ceiling floor window amazing although stay . suite one good shower ( 2 ) see hotel price range . room comfortable love . nice advantage wine ( full bottle ) snack room reasonably price nice switch hotel . also love contemporary look hotel still warm inviting feel . drink upstairs vertigo rooftop bar . experience Sat . night seperate entrance outside non - guest people line get come inside hotel get . return hotel evening someone stand elevator check make sure hotel guest could go issue go back room . all employee pleasant already recommend hotel other . 
 Nov 3 2008 	 pleasant surprise ... 	 look place interview downtown Chicago stumble upon Dana internet . book price , location , think might interesting major chain usually stay . right . avg . per night price approx . $ 210.It 's boutique hotel , hip , friendly staff help intrusive overly cheery . room 22nd floor corner , great view State St. Chicago theater . living room part two wall floor ceiling window , flat screen tv corner , fully stock wine / beverage fridge . lover wine really appreciate ! also tea , coffee terrific little snack , reasonable price . the bedroom separate living space slide japanese type door . bed really comfortable , bathroom wonderful . one wall shower glass honey could fun : - ) . rain shower head amazing long flight city , toiletry top notch . if , try restaurant . lettuce wedge salad sea bass entree . great . bistro across street handy terrific ambiance food . all would recommend anyone except turn ultra - modern decor . will definitely stay area ! 
 Oct 30 2008 	 good concept work 	 Fist let say great Dana Hotel - its location . block Starbucks , Trader Joes , Dues Pizza , movie theater , everything else . neighborhood call Northbridge jumping ! one great place block away Champaign Bar epitome chic ! ! want go like Champaign always pack . one night spot empty seat bar land . large selection Champaign glass range price $ 18- $ 22 . two glass great . highly recommend place . also upscale frozen yogurt place directly across street hotel sell avant - garde frozen yogurt large one cost $ 10 . place open 2 am weekend . immediately across street Dana upscale restaurant serve dinner 4 am . test true- go 3 get great fillet minion dinner place pack . People still come 3:30 ! downside hotel . new hotel advertise room one wall literally floor ceiling glass great view city . well room ( rather small ) wall glass directly across narrow street building condominium . view glass wall directly live quarter 20 people , vice versa . bad night would walk around room light " nightie " someone across street turn kitchen light would light room would grab sheet cover . privacy practically put shade room make another small dark room . another problem find Dana bar roof access elevator go room . come home one evening hotel hawker street front hotel promote bar draw crowd street hotel . become quite crowded first floor wait line get elevator go people pull street . pleasant experience . look hotel Chicago Dana lowest price 4 star hotel $ 172 compete hotel $ 300 range . would say price Dana deal worth choose . high price would think twice stay . 
 Oct 28 2008 	 Perfect Hotel Chicago ! 	 great property . 's new favorite hotel Chicago . hip modern without pretencious . staff plain nice - robot nice - really nice . arrive doorman welcome we , ask name reservation , arrive & quot ; front desk & quot ; 2 minute later welcome name ! ! ! fomer favorite Sofitel couple block away - . nice , staff even nicer much less expensive . cool & quot ; lobby & quot ; bar huge fireplace - great chilly Chicago night . great location N. State Street Gold Coast neighborhood . Chicgao native - hotel represent real Chicago - young , hip . nice , affordable ! 
