clean 	 recently stay hotel 2 night . room clean well maintain quite small . time sleep 2 night not problem . the staff friendly helpful . query attentive help we sort everything out . the location good . quiet location within easy walk distance Midtown . I would definately stay hotel . 
 Nov 30 2008 	 great location ... shame elevator bite pricey ! 	 partner choose hotel 's locate near Penn Station - approximately 10 minute walk away . arrive Boston train , walk four block downtown along 7th Ave 26th . lobby small reception staff friendly , efficient professional . room 15th Floor - 's big average New York hotel room , two queen - sized bed ! bed amazingly comfortable ! tv awesome . offer 100 's satellite channel - not go see friend , would happy staying room two whole day watch tv ! main problem hotel lack elevator . two , tiny . guest share bell - boy , cleaner hotel staff . , sometimes wait age , especially morning . time , crowded . vacation , ok - hurry ( i.e . businessman ) , would not great . secondly , breakfast include price , consider pay US $ 350 per night . luckily , two McDonald 's nearby - one 6th Ave 7th Ave ( 24 hrs ) . nearest subway station two block away 28th . overall , 's great hotel Flower District . great location - right heart Manhattan . definitely stay . may sound cliche , & quot ; love New York ! & quot ; . 
 Nov 26 2008 	 one person 's cosy .... 	 ... another person be cramp , hotel 's review would seem indicate . recently stay one night start holiday four night end . first night room 2507 , top floor air conditioning system ! fabulous view towards financial district wholly compensate noise level . our twin room , american way , funishe two double bed . work hotel stay trip mean , small room hotel possess , difficult open , store manoeuvre around two farly large suitcase . four night spend room 807 . still noise problem within ( air conditioning duct run inside wall ' 07 ' room ) without . think bedroom window triple glaze , would add great deal cost recently open hotel . as reviewer note , lift issue . last morning one break , seemingly uncommon occurrance , take partner 20 minute get lobby case - manage get lift way ! plus side hotel within walk distance many major tourist attraction three subway line . room clean reasonably well appoint . reception staff helpful could give chaos sometimes reign coach party squeeze small lobby . would stay would choosey room would accept . 
 Nov 16 2008 	 great hotel 	 fantastic view room . that sum hotel room I . it also fantastic HD flat screen tv , perfect air con , comfortable bed great location . 28th Street subway station 2 minute walk away , MSG ( Penn Station ) 5 - 10 minute . the hotel room massive , ample 2 person . the room clean although hotel 2 lift , never long wait . small gym office free internet access basement . I 21st floor room view toward Empire State Building . next time ask south Facing room look towards Lower Manhattan . 
 Nov 4 2008 	 never stay hotel one night 	 would never stay hotel again- never ! two main issue make hotel inconvenient stay one nightthere two elevator whole hotel- 25 floor expect long long wait . bad twice week one elevator break last day wait 22 minute get top floor lobby . would walk luggage bring . standard thru week ten minute wait morning . as check leave luggage come back 3 pm pick up- one elevator still work move luggage storage 3rd floor . lobby full people wait luggage wait 20 minute get luggage . know problem elevator would move luggage lobby ! ask Manager apparently work try find luggage client could wait long . staff look regular thing shell shock . good apologize must agonize day day . room fine- nothing elaborate clean . 25th floor stay 2501 right elevator shaft hear elevator move night . move first night . well hotel area- normally stay Hilton Garden Inn 28th Street book Halloween night . 
 Oct 31 2008 	 good hotel thing look .... 	 type trip : leisure TripRoom type Stayed trip : Standard Room King Size BedMain thing look type trip : Central HotelQuiet RoomsClean RoomWelcoming / comfortable roomgood showergood size towel Room fan / airconblack - out curtainsirone Board RoomComfortable bed , duvet , ability request feather pillowInternet Room area workNon - essential : enough socket plug laptop phonesfilm demand tv good size tvtoiletrie provide ability order bathrobe slippersroom servicegood breakfastextra ( Fitness room , sauna , steam room , pool ) hotel fare follow : Central Hotel : , walk distance Times Square , Macys , near subway . quiet room : yes , see down . clean room : YesWelcoming / comfortable room : YesGood shower : yes , bath . good size towel : standard size large . Room fan / aircon : yes black - out curtain : yes , good crack . Ironing Board Room : yescomfortable bed , duvet , ability request feather pillow : bed comfortable , duvet two type good pillow however feather . internet Room area work : yes , internet wire wireless however slow morning evening hotel use it . enough socket plug laptop phone : YesFilms demand tv good size tv : new large flat screen tvtoiletrie provide ability order bathrobe slipper : toiletry provide bathrobe slipper . room service : YesGood breakfast : eat hotel bar good cocktail . Extras ( Fitness room , sauna , steam room , pool ) : fitness room close , however hotel organise facility site . overall : new hotel , room small ( compact ) comfortable well design . however hear go corridor outside room . recommend use room fan full speed night , stop hear noise outside room . internet stable however slow . wait elevator two hotel 24 floor 10 room floor . ' good little hotel nicely comfortable . 
 Oct 29 2008 	 Nothing Special 	 want stay Holiday Inn nearer Little Italy , book . able use Priority Club point stay 6th Ave . location . lobby hole wall room big . could easily get claustrophobic space small . Priority Club get we room 21st floor , make wait elevator much long . breakfast miserable high priced- oatmeal , granola yogurt , tea coffee come $ 30 . starbuck well deal . 2 day advise key card rekeye , course get way room find key card work . near Times Square near Little Italy WTC area . really good much . someone say year area well , want wait . service elevator compete bellman clean staff lift . 
 Oct 14 2008 	 Loved Holiday Inn Manhattan 6th Ave 	 first time go New York City , absolutely love . hotel room small cozy , feel like home . bed good ' ve sleep vacation . staff helpful location great . return New York will definitely stay hotel without doubt . t - shirt right say ... love New York ! ! ! 
 Oct 9 2008 	 Loved . great 	 extremely professional service . manager ( Juniors ) extremely helpful professional . room little small , new hotel provide room top floor ( 25 th ) . comfy bed , clean room bathroom . 
 Oct 9 2008 	 Happy Holiday Inn 	 read review concerned . instead check area small fine- maybe 15 people area still get right front desk check quickly . front desk staff professional , courteous , genuinely want assist travel / tourism need ( check ) . room nice view downtown . smallish , sufficient new mattress- new everything ! bathroom small basic- Ritz Carlton , NYC size reduce . location sufficient . I nornally not stay Holiday Inn hotel ( hilton , hyatt ... ) like stay would recommend anyone consider hotel . 
 Oct 7 2008 	 commencement long holiday 	 stay two night commencement three week tour . we happy location hotel whole . we enjoy evening meal good . 
 Oct 5 2008 	 ok could well 	 stay two night end coach tour . state early review , hotel appear able handle coach tour . lobby area small quickly get fill luggage . two lift cause major problem major delay . tour arrive hour check seem cause chaos luggage leave sidewalk porterage pay . reception staff generally ok could unhelpful time . limited number securty box avalable surprise consider many room hotel . room good small limited storage space . hotel location good 
 Oct 5 2008 	 would not recommend one 	 reviewer find many delay lift . 25 floor 2 lift not make sense . add tiny crowded reception , key not work two consecutive day mean hotel will not return . young staff helpful though , top floor problem noise . 
 Oct 5 2008 	 another good Holiday Inn 	 stay two night start family holiday . room little small , hey , Manhattan ! hotel staff great , helpful , slick , good luggage handling / storage etc , wifi holiday accept outgoing mail server . not breakfast ( expensive ) lot diner restaurant around corner . want somewhere comfortable , clean secure lay head , good . pay watch website carefully price - get two night cheap one night follow month . 
 Oct 2 2008 	 average hotel 	 Allow extra time holiday take account time wait lift . everything seem good get room find tiny double . book twin 6 week previously . think mistake go reception - say overbooke twin ( not bother tell we ) manner indicate fault would put . make fuss eventually give twin room . room tiny - nowhere put two suitcase furnish item way large room - light take half desk . air conditioning loud night . housekeeping seem vary ok tea bag , paper cup pillow strew room . could not wait leave . 
 Oct 1 2008 	 ok housekeeping hit miss 	 hotel good location , close good bar restaurant Chelsea . several subway stop within couple block . as be new , everything new clean . good HDTV , free wifi printer available business centre . we not wait much lift , however break one day ( inside ! ) . also find room quiet street noise ( 23rd floor ) , great view Empire State Building . room small , gather be normal New York ! main issue hotel housekeeping . one day towel replace , take several call get . another day coffee cup not replace . another day bin empty replacement bin liner put in . maybe staff spend less time joke lift together thing would forget ? ? reception staff friendly helpful though . overall happy , room free ( reward point ) , $ 400 night may impressed ? 
 Sep 24 2008 	 will need PATIENCE EAR PLUGS ! 	 ok , one new hotel IHG New York , still struggle find footing . however , people put hotel together obviously rush make buck . 2 big issue stay , first NOISE second LIFTS.The noise issue normal external sound associate New York , rubbish truck come call 12 am , bottle collector come 3 am tour bus sit outside hotel idle 6 am - would think double glaze minimum standard . big issue inside noise guest door close neighbouring room . 10 room floor , every time someone open close room door hear , everytime someone wait lift ( time , later ) talking - hear , everytime maid start yell corridor hear . bring ear plug , will need . not like hotel room lot , - wish weren't . the big issue lift . hotel 25 floor roughly 10 tiny room floor , imagine long wait lift get ! high floor good less noise , sacrafice time wait lift . also appear staff lift , often staff clog lift 's use use go floor , maid get floor morning , call lift deciding take stair . plus Porter need use trolley , take half lift leaving room another 3 4 people . really frustrating . result many people resort use stair , can not get lobby level stair go basement outside fire exit . , oh watch floor 's rubbish maid put stairwell well wait collection . hotel also really struggle handle group , group arrive , lobby small wait , cram lift , lobby full luggage , - group friendly . staff not really interact well , generally friendly helpful , apology thing stuff - attitude care . overall disappointing . will not return . tiny , tiny room - aware . 
 Sep 23 2008 	 Close Penn Station - Great stay friendly staff 	 go NYC catch local band 2 night , want stay one night vs 3 hr trip home back ... train NJ back . find Holiday Inn 6th Ave low rate reward night , positive review , book it . on arrive Thursday , quick walk Penn Station Holiday Inn , 6 block . front desk 3 people work help right away . check - in maybe 2 minute ! room small side , crowd . new furniture , fixture , flat screen tv . room clean , hotel see . like location , kind midway visit midtown low east / west side . little time energy , easy walk Times Square midtown . easy cab ride , long walk , low east side . they business center basement , 2 computer , use free . easy access check email . staff friendly accomadating . also able leave bag thru day pick leave Fri night . charge . I will definately check future trip NYC ! 
 Sep 23 2008 	 Echo 2travelers 	 Nice hotel , update room think small , decent view Empire State . two lift ( elevator ! ) busy , could take 10 minute toget . nice staff , quick efficient check . quiter area , need walk busy area , like NYC safe . 
 Sep 15 2008 	 Holiday Inn ok maybe 	 book two night ( Fri & amp ; Sat ) weekend NYC . use & quot ; discount & quot ; hotel site honest , even so - call discount price seem bit steep property type location . big plus : hotel brand new June 08 everything still fresh clean . staff interact efficient friendly . eat hotel restaurant ; can not comment . build small - ten room per floor ! room one king bed well appoint large flat screen tv ( hundred channel ) coffee maker . small , tiny closet drawer clothe . naturally , since pay & quot ; discount & quot ; stick room right loud air intake vent hallway - sound like airplane engine even door close . sound sleeper not issue we might many . bathroom small new clean . lot towel . complimentary item limited bar soap , small shampoo small lotion ( shower cap hair conditioner ) . room fine two people weekend could issue long period time . also one first floor use stair go - real time saver . elevator busy hear other complain long take get room . would recommend hotel tourist unfamiliar NYC . location great unless confident use subway and/or walk comfortably several block get restaurant . Chelsea area really nice beat track not lot touristy thing . front desk staff good check people limited advice area get around . interject one point advise elderly , somewhat frail - look foreign couple take subway somewhere instead cab . subway goof schedule due track maintenance ( common ) would entail transfer line . thankfully decide take cab ' m sure arrive destination fine . overall , good location intrepid traveler , familiar NYC stay brief visit . otherwise , may want consider another location close familiar sight . 
 Sep 10 2008 	 great new hotel nice little location - get teethe problem 	 stay 7 night mixture business travel . overall , would say good experience . plus point : really like hustle bustle tourist hoard , nearer Chelsea Garment district . also find free business centre plus staff really helpful time . go back location , be close Fashion Museum / College handy , 's CVS street , Whole Foods block various store around . easily walkable Square Garden 34th St shop like Macys . negative : might something hotel relatively newly open occasion issue lift operational ( altho 1 action time ) sometimes painfully slow wait lift . 22nd floor , long day not really fancy walk ! room : one bed , perfectly comfortable , choice pillow . flatscreen , two phone , tiny wardrobe drawer . bathroom fairly compact , shower though suit . 10 room room floor think altthough could hear noise door closing could not really hear people around . high floor room back building . , ' m sure be upgrade room type great view across Empire State Building , might worth ask decent veiw hard come NYC hotel . room service , adequate come good time - not try restaurant . overall , would stay good location budget hotel . 
 Sep 2 2008 	 modern new hotel great location 	 stay 5 night . room 1907 corner room 2 double bed . 2 adult 1 child room . bed comfortable luxurious bed linen choice soft hard pillow . regular size NYC , two bed room , desk , small closet iron board . clean easy room seem like tip due size . there flat screen tv , air condition lovely weather outside 90 's . room look south could see building . however , room overlook Empire State building . hotel 26th st 6th ave end . 5 min walk Penn Station near subway 7th ave 28th st . broadway 28th st . plenty deli 's nearby do not worry lack mini bar room . also ice machine vend machine 3 separate floor soda , water ( 2usd ) crisp sweet . also Olive Garden McDonalds Starbucks 6th Ave . within 5 min walk . also nice bar call Rogue could sit outside 6th Ave . nice seating area outside . also bar next door hotel look nice . the bathroom small bath adequate shower small sink hairdryer basic toiletry . towel fluffy replace require . maid need look rear bed though find pair man underpant ( yes bit disgusting ) men deodrant . would not let put though obviously staff new hotel . staff friendly store bag we source we taxi enthusiasm . the reception staff friendly welcoming try hard keep happy . the reception small hey all pass . bar next reception comfy sofas bar stool . friendly offer we lunch evening menu night eat . evening menu bit expensive normal hotel NYC . 8usd large glass wine . food good kid eat free get free soda . next area restaurant part bar area . gather breakfast serve . I use hubby priority point trip 15000 night good NYC normally would need 25000 - 40000 per night . there safe room . however , free safety deposit box reception . lose key charge 350usd . on basement level small gym area business centre . 2 computer free internet . close midnight . also free wifi hotel room laptop . would stay . would yes . would pay 250 night max though think NYC hotel slightly large room , . 
 Aug 30 2008 	 Serviceable Hotel basic 	 currently stay Hotel Labor day weekend . hotel front desk staff accomodate . lobby small , elevator small , hallway small . see build hotel ground space save big priority . hotel build ground , finish three month ago . ( June 2008 ) room small , course bathroom tiny . shower almost pressure , watering save device . & quot ; SInk & quot ; Joke . small sink ever see . furnish nice , bed good . put clothe armoire tiny , close door property . nice flat panel LG tv room . overall room good shape , clean . Bed Linens upgrade , carpet room nice . modern , update room . door thin , hear everything go outside hallway . travel alone , space issue bad . couple cramp . three Forget ! hotel room close , hear opening closing time someone come . closet room . bottom line stay $ 200 would take . anything $ 200 would look elsewhere . would rate 3.5 star property , small area room . property well locate , close train stop . 
 Aug 26 2008 	 nice small 	 stay NY Gift Show season . MUCH well Mildew Plaza . hotel modern , nicely appoint , staff good job . take cab GCS cabbie not know hotel . 's half way 6th & amp ; 7th 26th St . 's ATM right door leave ( credit union ) . plenty convenience / drug store around block ( CVS , Duane Reade ) need . normallly business trip like stock bottled water , fruit yogurt place keep item minibar fridge . well , minibar hotel go plan . reception : tiny desk right enter . maybe 2 people fit behind . tall skinny hotel . 10 room floor . elevator like molasse . expect wait 5 min ride . room : room 1705 small nice . clean , modern . bed actually plastic mattress pad reason . hell , happy hotel new less chance bedbug ! ( none ) Matress comfy . pillow comfy small . wireless internet work fine free . could even order room service . tv nice large LCD dresser . small closet ironing board & amp ; iron . Cable box almost like home . one problem phone . not work . go reception report upon check . tell someone would come fix . one . figure next day would fix work . nope ! 3 day later go back complain . send someone look . 5 min check extension repeatedly , realize plug wrong jack somehow . finally work . bathroom : tiny ! provide plenty fluffy towel , shampoo / conditioner all - in - one , lotion , bar facial soap . 3 day stay bar bath soap show , not use bring bodywash . find odd wait 3 day give bath soap . lol mini spat maid keep put waste basket leave sink wall . rightie , keep want throw stuff right ( sink & amp ; toilet ) keep move , keep move back next day . oh well . nice water pressure temperature shower / tub . Kinda awkward open door bath mat small bathroom . Restaurant & amp ; louge : nice . breakfast restaurant first morning . wait quite serve order not early ( 8:30 ) .food tasty , though . price little high . louge loungy dark nice small . never get chance see gym . taxi wait outside morning convenient even not 1 subway line stop 2 block away 28th 7th . convenient , clean , nice . recommend . 
 Aug 21 2008 	 Excellent Stay ; ) 	 Excellent hotel ! stay 2 night moment check , could find anything negative . location great central location , subway couple block away . staff outstanding , friendly accommodating . every staff member talk helpful pleasant , typical ny attitude . management do great job ensure good customer service atmosphere . would definitely stay . 
 Aug 17 2008 	 Pleasant hotel stay 	 stay two night satisfied , whole . view not great , room clean , air condition nicely furnish , huge , fantastically comfortable bed high , could climb ! would love flat screen tv , mine faulty pick many channel available . phone main desk assistance give , problem resolve - ( disappoint offer refund money ) . also problem block toilet - quickly resolve . like coffee maker complimentary daily newspaper , also availability iron board nearby ice machine . hotel staff welcome pleasant two great , undisturbed night ' sleep . not try food hotel , bar area look nice . number decent place eat close . 
 Aug 17 2008 	 Great experience 	 look convenient hotel , near MSG , one fit bill . use Priority Club point , hotel well worth pay ! clean , small room , bed great . high bed , great pillow bed good night 's sleep . bathroom small , hard shut door be . tv not work , think cable 's NYC watch tv anyway ? valet parking mention book site non - existent . drive car garage street . plan valet none . bummer trip . eat on - site restaurant breakfast , staff attentive food good . desk clerk great check , give we map subway advise we get subway want . pleasant . highly recommend hotel . 
 Aug 8 2008 	 great location ! 	 Great Location ... close subway , Madison Square Garden , Penn Station , Empire State Building .... small room , typical ny . 4 night . first room top floor , corner room , much room put suitcase anywhere .... 1 night 1 , smoke alarm keep go , call front desk 3 time 40 min someone finally come put new battery ! lose water 8 hour entire hotel ...... take money night w/o ask . notice side bed rug wall damp , really damp 2nd night , figure ceiling bathroom leak .... request move . pack bag leave front desk , room ready time . room ready get back outing part day . 2nd room even small ! could open door room way due luggage ...... even bad situation luggage 1st room . say hotel seem clean , front desk person deal stay nice helpful .... food restaurant good . sure would stay tho ... get great rate time . 
 Aug 4 2008 	 perfectly fine nothing fancy 	 stay Holiday Inn 6th Avenue two night business trip NYC . hotel old building ( brand spank new picture online would indicate ) , completely redo . elevator slow , bad . room small , well keep . bed comfortable , like offer choice firm soft pillow room . bathroom clean , small . bathtub , excellent shower . big deal , see people might want tub . front desk staff uniformly polite professional . hold bag several hour checkout without problem , everything leave return . restaurant bar , partake either , comment . room service menu ( expect ) pricey limited choice . plenty restaurant bar within short walk hotel , would recommend venture little rather eat hotel . overall , enjoy stay would problem stay . 
 Jul 29 2008 	 Perfect Stay ! 	 upon arrival New York , discover could stay small studio apt . relative need hotel . get internet possiblitie find Holiday Inn vacancy . stroke luck we . accomodation could well . staff friendly helpful request . room perfect , a / c work wonderfully , service excellent , stay hotel return New York . highly recommend hotel . 
 Jul 27 2008 	 highly Recommend Holiday Inn 	 book hotel last minute ... like right land NYC decide get hotel rather crowd step sister studio apt . google something close end affordable gem ... luxury , everything would want like travel budget champagne taste . like : friendly staff ; clean room , lobby , sit area small bar cocktail exhausted touring city ; good location starbuck train station around corner ; flat screen t.v ; comfy pillow ; coffee pot room ( bring coffee , kind yucky go starbuck around corner ) ; Martha Stewart film one block away ; great central location sightseeing .... else could ask ? room small , small , 220.00 night rate Manhattan complain one bit ! travel mom fun weekend getaway would definitely stay husband friend . 
 Jul 17 2008 	 comfortable stay great location 	 recently spend two night Holiday Inn Manhattan . hotel brand new high rise actually locate W. 26th Street near 6th Avenue . overall excellent experience . king room small , serviceable , great bed nice flat screen tv . bathroom tiny , full equipped . staff friendly , seem anxious help foreign visitor NYC first timer . the location fabulous . chelsea close theater , great restaurant , food market lovely tree line street . our problem shower curtain reach base shower stall , water get bathroom floor . minor fault . 
 Jul 17 2008 	 upscale holiday inn 	 Hotel recently open everything new clean . upscale typical holiday inn . room small , wonder room two double bed would accomodate 3 people get answer , have fall eachother . ' m cut hotel slack since open mean towel rack bathroom , table chair , refrigerator ( despite website claim one every room ) top dresser tv room . closet small wardrobe ontop coffee machine perch ( good Magic Johnson , bad 6 ' 5 & quot ; ) . two small elevator be high floor build wait time trip . second floor take stair trip can not go back since stairdoor lead outside . bed comfortable . Maid service soso , make bed leave fresh towel , look like bathroom not touch ( empty toilet paper replacement replacement toiletry / cup ) . Desk / Restaurant staff great , restaurant good . make sure park assign lot get sticker parking ticket check , change parking fee 2 day $ 101 $ 60 . overall nice hotel , really good finish everything 
 Jul 16 2008 	 comfortable great location 	 ( family 4 two kid 8 6 ) stay one night leisure trip . hotel new fresh . location good nice mix new york life . three block two subway line . 7 block Penn station . block Chelsea eclectic neighborhood . even interesting restaurant club block hotel . overall hotel new staff helpful friendly . room small per New York room ' ve still comfortable . would definitely like stay . 
 Jul 15 2008 	 Perfect location 	 New hotel everything nice clean . staff pleasant helpful . king room small side unexpected ny . central location definitely bonus . 's perfect tourist business guest . anyone need pampered look elsewhere . minus - elevator slow ( minor issue ) . would absolutely stay ! 
 Jul 15 2008 	 great Stay ! 	 stay one night Holiday Inn Manhattan 6th Avenue . hotel room NYC bite small side , fitting king bed , desk small bathroom . suggest occupancy room heed ... try fit large group modest size room . roll away available ... would not fit king room anyway ! say nicely appoint comfortable bed big flat screen tv . free wi - fi plus . we use workout facility hotel , one treadmill , one exercie bike elliptical . brand new . locate basement hotel . only two elevator 25 floor wait long ( around 4 minute ) . problem wait though ! front desk staff helpful friendly . always willing help question request . knowledgeable area restaurant etc . a convenient location multiple subway stop within 3 block . neighborhood , Chelsea , feel safe time day night . we would stay area . good price / value ratio ! overall great stay ! 
 Jul 15 2008 	 Tres bonne situation - chambre minuscule 
 Oct 30 2009 	 Buono 
 Oct 29 2009 	 super Hotel 
 Oct 7 2009 	 posizione comoda camere molto piccole graziose 
 Aug 27 2009 	 superbe et très bien situé 
 Aug 19 2009 	 Hôtel rénové fin 2008 bien situé à prix raisonnable 
 Jul 13 2009 	 Klein aber gut 
 May 2 2009 	 Super Standort gut Hotel 
 Dec 19 2008 	 Che gentili all'holiday Inn 
 Dec 12 2008 	 Nuovo e posizione comoda 
 Nov 16 2008 	 Bien situé propre et pas chère 
