elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Mar 4 2009 	 Nice hotel parking outrageous 	 make booking tell park $ 30 / night seem extreme line property . check bill state park $ 55.86 one night . tell price go since booking . hotel still $ 30 / per night rate consider hotel pedestrian nothing special , may want check around . also , strange noise evening . every 3 - 5 minute loud rumble . ask train , construction , etc . tell none . go hour luckily , time return dinner noise go 
 Mar 3 2009 	 great hotel ( chain hotel ) 	 stay 3 night teenage daughter . pay government rate , get wonderful room high floor beautiful bay view . staff friendly helpful - especially concierge . location convenient shopping area public transportation . 
 Feb 25 2009 	 great location wonderful staff nice room perfect hotel 	 title say . stay Le Meridien short weekend trip Feb 2009 . able book one king room one double double room $ 85 / night hotels.com . price , would expect much less , accomodation perfect every way . arrive OAK , take BART Embarcadero station walk 10 minute hotel . upon arrival , warmly greet present room . two separate floor , big deal request room close check later evening . night ( weekend long ) turn concierge help find restaurant , direction , activity service outstanding . entire staff wonderful , front desk clean staff leave & quot ; thank & quot ; note tip leave room . the hotel 's financial district location present issue weekend warrior ( i.e . restaurant shop immediate area close weekend ) , still centrally locate . 10 minute BART station Ferry Building , 15 minute Union Square . the room well appoint . double double desk flat screen tv large closet . bathroom clean large standard room . king room desk large wall storage unit hold tv . bathroom separate shower stall bathtub add feature slide door open balcony view Bay Bridge . all , great stay , make possible cheap rate , wonderful staff , convenient location , nice room . 
 Feb 22 2009 	 nice property great staff 	 book hotel use point attend wed Santa Cruz want extra night Cali ! please staff hotel . check early also ask different room ( get ) , concierge also helpful recommendation free loaner umbrellas . location great , California Street trolley around corner . ferry Alcatraz pleasant 20 minute walk , many attraction . business center lobby great , ' use dining option . room great , nice view , large tv viewable bed lounge ( jr suite ) comfortable bed . downside bathroom smell bit dirty . great hotel , would definitely stay . 
 Feb 18 2009 	 Great Hotel - friendly staff 	 stay hotel 3 night Valentines Weekend . get great rate Travelzoo manage get studio suite . check - in tell give room great view - boy right . could see Bay bridge , Coit Tower many sight - truely wonderful view . the hotel financial district - shut weekend . short walk away ferry build great vibe evening . hotel staff nice hotel top class - comment would quiet night weekend . think hotel would good restaurant copensate food available limited choice lobby bar . nice think possibly expect - realise Park Grill shut evening . other love hotel - room service quite delicious ! 
 Feb 17 2009 	 Nice hotel great location money 	 stay one night Le Meridian SF find nice hotel money . upgrade room executive suite though small amazing view SF Bay , Coit Tower Transamerica Building . though financial district hotel close everything short walk get cable car ton bus line nearby . yes parking quite expensive even factor ( $ 50 / night ) hotel still cheap other area far . bed quite comfortable handy refrigerator room ( minibar empty ask ) . thing could improve stay would little generous towel since give we two regularly use two home ( though appreciate try conserve water ) also cabinet nice flat screen could clothing storage besides closet . staff quite friendly overall satisfied stay . Visit Stinking Rose restaurant be SF food amazing ( assume like garlic ) . 
 Jan 31 2009 	 comfortable . 	 spend 3 night Le Meridien short stay San Francisco . hotel financial district great location walk sight . book via Starwood Hotels Resorts affiliate Le Meridien many hotel . pay $ 115 per night , great price room stay . king size bed , spacious room , modern decor , big wide screen tv could watch lounge bed , iPod docking station stereo , bar fridge free newspaper . locate 10th floor view Bay Bridge . room also magazine complete tourist information different idea thing . staff friendly , umbrella provide free use rain business centre available use provide free convenient access internet .. holiday time restriction walk everywhere hotel : China Town , Union Square , Ghiradelli Square , Fishermans Wharf , Piers , Coit Tower Lombard St . good hotel stayed throughout US would definitely stay . 
 Jan 27 2009 	 Great Long Weekend Le Meridien 	 hit San Francisco long weekend stay Le Meridien , mostly great rate ( $ 119 ) offering . arrival departure , hotel experience 100 % enjoyable . check fast friendly , despite low rate , upgrade hospitality suite - high floor , corner window living room area . arrive late Friday night , Ferry Building Farmers Market first Saturday morning , set perfect enjoy food market purchase breakfast snack . ( town Fancy Food Show , not need much way full meal . bit unfortunate SF , go hungry ! ) staff friendly responsive request - whether information , newspaper , check - in , hallway conversation . know lack in - room coffee prior review - , lobby coffee actually unexpectedly civilized experience . relax way , early a.m. take turn go lobby in - room coffee , bad . give small bag coffee offer w/ in - room system , & quot ; unlimited & quot ; access kind nice . location bit mixed - love proximity Ferry Bldg , bit hike downtown convention center . glad exercise , not bother w/ transportation option - airport transportation . BART breeze hotel ! generally stay St. Francis - love location character - would probably move Meridien top list future trip . love proximity Ferry Bldg , layout inside room MUCH well . 
 Jan 27 2009 	 nice hotel 	 stay recently , would recommend off - season . pay around $ 100 usd one night , peak season cost around $ 330 . hotel next Embarcadero shopping complex , short walk take Fisherman 's Wharf . chinatown within walk distance too . the room slightly small King size bed comfortable ' ve ever sleep ( well bed home ! ) . problem shower fix within 10 minute report it . staff friendly , helpful efficient . 
 Jan 27 2009 	 Hated . 	 first location financial district . good suppose week , weekend nothing open . near nothing . next front desk staff . rude unhelpful . opinion since book Orbitz get give . ask room away elevator get room next elevator . go front desk get treatment say could nothing . ask manager give different room higher , least view . next morning realize adjoining suite conversation next room may well room . check hotel refuse refund next 2 day stay 2 room prepay Orbitz . 3 star hotel pretend . bad location , bad service , would never stay . 
 Jan 25 2009 	 nice value ! 	 SF weekend business conference . hotel locate financial district , right across street Embarcadero Center . easily within walk distance major bank area , also center entertainment . even nice 25 minute walk Fisherman 's Wharf . hotel pleasant . room clean modern . bed comfortable . wireless hook - up internet access available . desk staff concierge helpful . fitness center hotel , use . hotel would good casual traveller business traveller . good location meet todays standard comfort amenity . 
 Jan 22 2009 	 's something say 4 * hotel 	 husband normally stay small , boutique hotel , drive Sea Ranch want near Embarcadero go large , impersonal business type hotel . get fabulous rate New Year 's day day . upgrade we high floor problem lovely room . concierge service excellent ... really good , non touristy recommendation dinner lunch . access free computer setup helpful . stay away breakfast ( succombe 1 drink bar ) always extremely pricey hotel like . not get gym , ' m sure excellent . wish pool , pay , can not get everything . highly recommend hotel expecially time rate low . 
 Jan 21 2009 	 romantic getaway 	 great weekend here . great room location . get fantastic rate directly hotel . 
 Jan 15 2009 	 expensive extra 	 confortable hotel good location.service poor70 $ breakfast 260 $ parking20 % service charge plus taxis room service 
 Jan 15 2009 	 pleasantly Surprised Le Meridien be not ' Business Hotel 	 travel back San Francisco visit friend family holiday . book three night end add another night end price book previously . get excellent deal stay dead time hotel , especially Financial District . we check early New Years day tell not room ready , not surprised . disappointed though not get much sleep friend 's house night . luckily guy able find we room great one . be often upgrade be Starwood preferred guest time get great room one top floor ; corner room spectacular view bay . could see Coit tower , north beach everything . the room typical Le Meridien style somewhat modern , clean room spacious . bathroom fine , could update nice shower . prefer 2 sink well , one one . one nice thing though , shelf area really help . 's crowd toilottrie one sink , shelf thing really help that.the mini bar price ridiculous , room service , guess ' expected.we originally look stay close union square ' ve always turn financial district location , pleasantly surprised . 's easy get cab walk bart not bad.overall really impressed room , service hotel . not sufficient business traveller like expect . although location may quite good Union Square leisure traveller , get great deal definitely worth . can not believe value price pay would definitely stay price right . 
 Jan 15 2009 	 beautiful view 	 overall experience ok . view room good part . include bay bridge wharf . room tiny awkward - upgrade ( thank ) . room clean nice lacked coffee machine . never really feel welcome almost like staff not care . oh , baby crib provide ( thank ) pathetic . barely pack play . blanket , pad , clean . we pay 119 room reasonable . anything $ 200 look elsewhere far well hotel SF ST Regis W price . 
 Jan 10 2009 	 good place stay 	 great location - easy take BART airport . got bit confused straight Embarcadero Station , typically , helpful , local commuter point we right direction . great room - spacious good view include Bay Bridge . 's easy get around foot use cable car , tram , bus , ferry , metro system etc . within easy walk distance . Embarcadero Station newspaper kiosk sell visitor pass use transport except line back airport . there starbuck across street - great quick breakfast . Embarcadero Centre restaurant second level low level . many seem shut centre , around 7 . lot bar serve food be never sure work 16 year old tow . be use eat early - thankfully Le Meriden bar area shortish adequate menu . eat twice - staff really friendly helpful . note main restaurant shut 2 afternoon ! 
 Jan 9 2009 	 one good ! 	 Dec 26 - 30 , 2008 , 2 roomsvery quiet clean climate control system , comfortable bed , spacious and / but cozy room partial nice view bay bridge , two Windows corner open fully , kind staff member good service , convienent location quiet street front Embarcadero - easy acess ferry buiding , union square , etc .. , reasonable price - would stay 1.5 time price pay ( ~gbp60 ) . 
 Jan 6 2009 	 nice time Le Meridien SF 	 rather large family group visit San Fran two day stay Le Meridien . also rather complicated reservation two room book one way another room book differently . arrive noon ( three hour check - in ) easily link reservation , check place room directly next . refreshingly quick efficient check - in . go three room check - in make sure bed type request , everything fine . thing notice room slightly large other , see building map build large toward center , narrow end . even get small room , would think anything . room slight view Bay Bridge , nothing spectacular . like floor ceiling window find ( seem ) newly renovate room nice . probably big bonus hotel location . 's middle action : Chinatown , Financial District , Embarcadero Center ( mall ) , couple block Ferry Plaza Embarcadero . location alone worth let alone 's nice hotel . also , note many previous post , parking significantly steep hotel ( hotel around city ) . follow someone else 's suggestion park 1 Embarcadero Center ( literally across two lane street ) $ 32 dollar day . fine option walk minimal most . pro : -location , Location , LOCATION - nice room - good check - in pleasant staffcon : -Not good view ? -parke expensive 
 Jan 4 2009 	 Excellent choice 	 stay two night Le Meridien late December 2008 , find excellent choice stay city . choose Le Meridien base positive recommendation TripAdvisor , combine unbeatable rate four star accommodation . especially impressed professionalism staff -- trip SF delay day due cancel flight , reservation clerk immediately offer move reservation forward day , despite fact room technically prepay internet rate change allow . addition , front desk helpful speedy check - in midnight ( due airline delay ) , 15th floor room could nicer clean . faux - corner view Bay Bridge ( open slide glass door ) terrific , quality bedding . lastly , location ideal -- witness chaos horde tourist Union Square area , relieve choose LM 's location much less hectic financial district location . Ferry Building Embarcadero BART station within walking distance , well invite Elephant Castle pub across street , feel like plenty go near hotel , yet without Times Square - ish atmosphere overtouristy Union Square area many luxury hotel locate area . overall , extremely pleased Le Meridien -- especially give great price -- would gladly return next time San Francisco . 
 Jan 3 2009 	 beautiful hotel less perfect service . 	 room really elegant comfortable bed wonderful ... ... staff helpful friendly . one phone hotel seem knowledge room particularly good phone manner , book one expensive room hope need would cover . arrive rush front door , , although request early check ( 1 hour ) , tell room would probably ready even normal check time ! later find room , fact , ready available . also , sure put privacy sign night not want disturb early morning housekeeping enter room . still enjoy stay , know expect much way service . 
 Jan 1 2009 	 impeccable choice ! 	 find one tripadvisor . hotel immaculate , bed extremely comfortable , pillow steal - able though not . room spacious view extraordinary . Linda , concierge , professional expert . breakfast , expensive , delicious fresh . worth ! fabulous location , near Ferry terminal public transportation . good , incredible value . thank tripadvisor reviewer ! 
 Dec 17 2008 	 Great Hotel 	 recently stay 4 night Le meredian business trip . hotel within minute Financial District SF well large high end shopping area . check check efficient . front entrance guard door man valet , lot attention give arrive guest . room extremely nice . stay business suite office , balcony , oversized bathroom . fan room design . bed fluffy 5 pillow king bed . large flat screen tv provide , along fully stocked room bar . the bathroom extremely spacious , bathtub shower provide . even great view Bay Bridge bathroom . hot water quick come . even fancy bathroom soap , shampoo 's conditioner . the fitness center well equip perfect business traveler . work 2x 's 4 day stay . overall find Le meredian outstanding hotel would stay future visit San Francisco . 
 Dec 15 2008 	 great hotel ... thin wall ? 	 really hate write anything bad hotel start good thing . price really steal . stay Studio Suite really nice cramp . bed really comfortable , pillow . impressed usually pillow way puffy , big , uncomfortable hotel . stay 6th floor nice partial view Bay Bridge . staff friendly accommodating , concierge really helpful entire 3 night stay . bathroom kind small type room opinion , nice shower pressure great water hot . lobby pretty small nothing impressive , decent enough . also like location -- block BART , easy catch public transportation walk area . really enjoy stay follow happen twice ! first night get 1:30 use restroom , guest next door talk laugh phone extremely loud . happen room partition , could open room next door ( case get 2 adjoining room ) . , probably not seem loud , feel like room really hard get back sleep . almost move new room next night -- hotel accommodating request -- figure chance bad luck , happen could call complain problem would solve immediately . move ! ! next night fine . third night , go bed around 11 pm exhausted . surprise , 2 , deep sleep , suddenly awaken REALLY loud woman speak foreign language scream / laugh . however , not even come partition side ( first night figure could hear one lady ) side room ! lady really obnoxious loud unacceptable , call complain security send . voice come , could still hear people talk , even though talk loud . ' ve never experience hotel , unless people hallway someone rage party next door . next day really tired disappoint not get good 's night sleep travel home . , enjoy stay chalk bad luck , although obviously problem thin wall hotel . 
 Dec 5 2008 	 great hotel + good location 	 ' ve stay 4 night Le Meridien SF really enjoy stay . friendly staff check - in , nice room perfect location . really suggest hotel . 
 Dec 1 2008 	 pleased ! 	 able secure wonderful rate Thanksgiving weekend Le Meridian website studio suite @ $ 145 . amount pay advance ( something never ) , fine . location nice perfect access everything love city , although coffee set bar area morning , Starbucks & amp ; Peets Coffee next door across street ! favorite restaurant within 2 block walk . we drive Santa Barbara , offset $ 51 parking fee per night ( be SF ) , park @ SFO $ 14 per day take BART Embarcadero stop , walk 3 block ... easy peezy fast . Park Hyatt @ one time , meticulously maintain lovely property . room spotless spacious ( # 2106 ) . great view Coit Tower bay . window open : ) ... provide ocean breeze ... must we . bed comfortable , gripe , important , sheet small king bed ... thin . surprised , rule thumb @ starwood property ... hopefully get remedied . feather comforter wonderful pillow . bathroom large separate shower small bath spotlessly clean well . property classy , serenely low - key . staff knowledgeable professional . ' ve stay @ Ritz Carltons , Four Seasons , Omni , independent Leading Hotels World , starwood property many country find accomodate . husband find new hotel future SF business well . merci ... Le Meridian ! 
 Dec 1 2008 	 Excellent Hotel ... ... ( contrarian review ) 	 wife stay Le Meridien Thanksgiving weekend . travel San Francisco day Thanksgiving nearly every year number year , see light Christmas tree Union Square decoration offering big store , range Nieman Marcus Bloomingdale 's Macy 's , Gumps , other . since hotel virtually business convention traveler Thanksgiving weekend , rate tend considerably lower normal . Le Meridien exception . as many reviewer attest , Le Meridien good hotel . argument . studio suite relatively spacious reasonably good view portion Bay Bridge Coit Tower . decorate would call upscale contemporary fairly comfortable , though would call & quot ; designer chic & quot ; & quot ; warm . & quot ; complaint ; however , several hotel ' ve stay San Francisco room approximately nice , often bit small . similarly , hotel staff , though minimal interaction , friendly efficient . my two quibble hotel thing remedied , , admittedly , least somewhat eye beholder , : ( ) location , ( b ) lack truly memorable lobby public amenity . ( ) location . Le Meridien bad location . something & quot ; blah & quot ; lackluster location . nearly mile walk ( level ground , choose right street ) Union Square , historic scenic heart San Francisco center main shopping area . taxi cost six seven dollar way include tip . also , L.M . hotel car may able take , provide book advance . thus , location relatively minor quibble , still quibble , since many good hotel compare . ( b ) lack truly grand memorable quality . Le Meridien comfortable room capable staff , lack certain memorable quality number compatriot . compare : Hyatt Regency truly grand atrium lobby ( large interior hotel lobby world , accord Guinness ) location directly San Francisco waterfront , across Ferry Building public market . Christmas decoration atrium area really attractive . ( Le Meridien rather average- sized Christmas tree , little . ) Westin Palace unforgettable Garden Court dining . the Fairmont Hotel , Nob Hill , grand enough facade feature opening close credit television series & quot ; Hotel & quot ; ( number year ago , facade interior still grand ) . together lobby feature , image grand hotel . similarly , Mark Hopkins Intercontinental Stanford Court share & quot ; top world & quot ; location Nob Hill . the Ritz Carlton facade grandeur many would say equal surpasse Fairmont . the Marriott , Westin Market Street , Westin St. Francis , Nikko , Hilton , Four Seasons , Monaco , Campton Place , Parc 55 , Grand Hyatt ( along hotel ) much close shopping restaurant scene center Union Square . many , notably St. Francis , deck regally holiday -- be practically center action . in summary , Le Meridien good hotel , comfortable contemporary room , location okay rather nondescript convenient hotel center around Union Squre Nob Hill . next time will probably pick hotel close Union Square . 
 Nov 30 2008 	 great Stay Le Meridien 	 wife great stay Le Meridien . favorite part location . hotel locate heart financial district easy access airport BART ( block Embarcardero station ) . although tourist attraction right hotel , easy get central location . Union Square easy walk Nob Hill Fishermans Warf . also cable car stop block away . upgrade studio suite check - in additional charge . room nice large comfortable bed extra seating area . bathroom nice clean nothing special . many coffee shop vicinity coffee / breakfast morning bar well evening drink . if plan drive , valet parking expensive ( around $ 50 / day ) . research , seem common area . 
 Nov 24 2008 	 Perfect Location . Great Comfort . 	 stay 2 night business trip Le Meridien . Le Meridien conveniently locate Financial District mere 5 minute away famous TransAmerica Building well Embarcadero Chinatown . room large spacious , slide door allow obstructed view bay . Room come sit area tv act partition bed sit area . toiletry bath body work . hotel also swanky Mercedes free use take nearby place reserve ahead . downside size hotel bar . rather small blend lobby / lounge . overall , fantastic stay ! 
 Nov 18 2008 	 Wonderful Hotel 	 book hotel web - site $ 119 , plus tax . updgraded check - in 19th floor . room great balcony . room staff wonderful . use room service . eat breakfast Nob Hill Cafe , somewhat pricey ( $ 33 two people ) , food really , really good . park garage one Embarcadero $ 30 / night . sure well deal could find somewhere , not lot time . hotel $ 8 cab ride fisherman wharf $ 6 cab ride north beach . could walk place would like . stay next time city . 
 Nov 12 2008 	 Loved Hotel ! ! ! 	 really enjoy hotel ! clean , friendly , loved location . quiet night , important we not regularly live city ! room clean staff helpful . concierge staff incredibly helpful fun . hotel great find ! ! 
 Nov 10 2008 	 Great Hotel Great Price 	 book room Hot Wire pay saw name immediately come see review . great review right money ! bed comfortable , room right size , staff great , excellent location well . block cable car bus stop right corner hotel block . every thing could want close include China Town . right across street excellent pub call Elephant Castle never bad meal . would highly recommend breakfast , lunch dinner moderately price . bring bad part hotel ; price hotel restaurant . breakfast regular 2 egg one meat type breakfast coffee juice two people $ 50.00 . good , not $ 50 good . all though great hotel would definitely stay . 
 Nov 5 2008 	 Loved hotel service great ; still rave food . 	 excellent location ; easy get airport close public transportation , china town market square . wonderful experience . highly recommend . 
 Nov 5 2008 	 Best Hotel West Coast 	 hotel one kind - staff treat like family accomdation movie star - esq .... GM Bob Lacasse wonderful job . 
 Nov 4 2008 	 Excellent Hotel 	 stay Le Meridien last 2 night 17 day trip California . October 11th 13th . already explore fisherman Wharf area week , perfect location , .Upon check ask room upper floor bay view . say let see give room 24th floor overlook bay . Blue Angles town watch right window room . hotel accomodate expect booked priceline low rate . room service fast food hot . internet use charge hook room , unlike last hotel , 4 user station business center use instead . the room large , clean cd player speaker next flat screen television . staff helpful everytime question Barb Laura concierge 's duty beyond . pack leave call ask front desk tape box wine , say someone would 10 min . moment later knock door , not know arrive fast . over experience exceptional . stay many nice hotel , service ' OUTSTANDING & quot ; 
 Oct 29 2008 	 great experience Le Meridien 	 great stay . room nice - floor ceiling window partial bay view . hotel dog friendly - rule aside put sign outside warn housekeeping . dog , convenient - couple block grassy area short 7 minute walk Ferry Building lot downtown restaurant . 's bit financial districty , central close Embarcadero , North Beach , SoMa Union Square . aware parking fee ( around $ 50 per day ) breakfast add quickly ( $ 70 ! ) . 
 Oct 14 2008 	 worth every Cent ! ! ! ! 	 stay Le Meridien San Francisco Holiday California September 2008 . Moment Stepped Taxi Cab Treated Amazingly Staff Hotel . concierge helpful Giving Directions Suggestions Restaurants . check - in Simple Hotel Able Accomodate early check - in request problem . high - speed Wireless internet Available Hotel , Fee charge per Day . however , Hotel Business Centre 3 Computers Highspeed internet Available Guests . room Quite Spacious & amp ; Bed extremely comfortable . large LCD Television , DVD Player . however Day sightseeing , find need dvd Player Anyways . overall , stay Le Meridien Amazing Worth every penny ! ! ! ! would definitely stay . 
 Oct 10 2008 	 Amazing Stay ! ! 	 hotel staff helpful booking last minute stay everthing turn great ! ! beautiful room top floor great view ! definitely return ... 
 Sep 28 2008 	 Spectacular View good room imaginable ! 	 loyal Starwood fan stay St. Francis Palace San Francisco . Le Meridien 's room far superior . two room 23rd floor spectacular view coit tower , Washington Square cathedral , bay transamerican building . view well hotel stay S.F . ( Marriot Fisherman 's wharf , St. Francis , Palace , Omni , Milano , Grand Hyatt , Sir Francis Drake , etc . - S.F . day year ) staff cordial professional . room amazing ! easily say amenity , linen , spaciousness , luxurious bathroom among nice room stay anywhere . everything beautiful feel discover new & quot ; favorite hotel & quot ; . financial district great want enjoy entire city rather Union square . s.f . opera brunch friend . taxi opera less $ 10 . would mean taxi Union square would $ 5 within walking distance California street cable car . Chinatown Embarcadero walk distance . Farmer 's market nearby . museum soma 15 minute walk $ 5 taxi . restaurant Belden Place close Omni , additional 5 - 10 minute walk Le Meridien . course room Le Meridien far spacious luxurious . adjoining room Omni last year view alley half space room . choose something negative say Meridien - parking $ 49 . little ridiculous . 
 Sep 21 2008 	 Beautiful Hotel Fantastic Location 	 girlfriend stay Le Meridien San Francisco 3 night September 2008.we able land suite $ 200 US book week travel prepay entire stay . fantastic rate great value . anyway , hotel nice , room large well design well . large screen plasma tv could rotate face bed sofa area . staff pleasant valet service ( mandatory car ) quick bring car up . we not eat restaurant can not comment , definitely think least quasi - five star experience , couple value ( , $ 200 night ! ) leave we happy experience . sure check hotel website type discount , much cheap anything see website . the location also tremendous . 's financial district , not useful , 5 minute walk pier , 15 minute max Union Square , 20 minute Fishermans Wharf . also catch Giants game nice 20 minute walk along Embarcadero & amp ; Stadium . thing consider , would absolutely stay . 
 Sep 17 2008 	 Fabulous Location 	 return 4 night stay Le Meridien San Francisco . hotel clean , room comfortable location fabulous . room : small side $ 300 view great ( room 707 - low floor 22 floor beauty ) room functional plan . mini bar overprice sfo.the hotel : Bar 333 & amp ; Bistro serve stiff drink great place relax . friend enjoy eat Park Grill 3rd floor feel menu great . fitness center offer nice equipment run lift weight . location : wow ! block hill Chinatown , block west Pier 39 block east shopping Union Square . not overlook Embarcadero Center across street great store place eat . late night drink can not beat right next door Elephant & amp ; Castle Pub . we Sonoma Wine Tour Beau Wine tour great . 8 person limo 9 hour $ 1000 tip come champagne knowledgeable driver . ask Steve ! take we Golden Gate Bridge stop picture direction . recommend Girl & amp ; Fig lunch Sonoma - fabulous ! 
 Sep 16 2008 	 visit 	 great stay Hotel . staff hotel top friendly . would recomend hotel highly . stay 24th floor view outstanding . also food hotel second none breakfast dinner . back soon . 
 Sep 8 2008 	 Great Location 	 husband return great weekend San Francisco . travel often , first trip San Francisco . Meridian Hotel great choice . book trip American Express fine hotel program , therefore receive upgrade room daily breakfast . arrive early morning hotel able accommodate request early check much appreciate long flight . check smooth bell service prompt informative . room clean well maintain modern decor . great view room 22nd floor . eat breakfast restaurant morning . breakfast menu diverse service restaurant excellent . location hotel great . close many attraction . able walk Fisherman 's Wharf , Ferry Building , Chinatown , Alcatraz Ferry . street car run along Embarcadero also close hotel . Alcatraz night tour great especially enjoy take ferry Sausalito . would highly recommend hotel great location , good service , helpful staff . follow weekend San Francisco couple day Napa Half Moon Bay . would return hotel . 
 Sep 7 2008 	 nice hotel 	 room nice spacious . bed sheet not comfortable expect . service staff good friendly . favorite thing hotel complimentary house car take around city . 
 Sep 1 2008 	 amazing hotel ! ! ! 	 book hotel Hotwire ( 4.5 star hotel FInancial District ) impress ! hotel amazing ... super luxurious ... good part hotel car take anywhere want go reservation free ! beautiful Mercedes ! let tell - nice ride take directly hotel destination without look taxi , etc . everyone welcome nice . would stay heartbeat . if travel first time SF like ... bike tour Golden Gate Sausalito Tiburon . Highlight stay . 
 Sep 1 2008 	 Nice Stay 	 stay hotel 3 night end August . location convenient . actually fly SFO take BART train Embarcadero stop able walk hotel . 's bit process , significantly less expensive take taxi . also walk Embarcadero shop restaurant even walk way Pier 39 . hotel financial district , not quite many option dining bar night neighborhood , always able find something . hotel , room large clean . bathroom fine well . other mention , bed comfortable . nice view bay 18th floor . also appreciate accommodate we request early check - in . make mistake go hotel restaurant one morning breakfast . omelette good , not quite worth be $ 30 price tag ( not remember exactly much , something ridiculous ) . use concierge several time recommendation time , happy . ask restaurant Chinatown send nice little restaurant majority patron local ( make lot happy send tourist trap ) . two restaurant concierge suggest also right line ask . also give we good direction couple place want go . all , complaint hotel . would stay , question . 
 Aug 30 2008 	 confortable hotel 	 Excellent hotel , good location , nice room , frendly concierge . 
 Aug 29 2008 	 great great great 	 Excellent excellent excellent - moment check moment check , service exceptional . the young man front desk ( goatee ) wonderful . greet we name time walk , meet need ask change room ( room next elevator could hear go shaft night ) .The hotel great neighborhood , close ferry building embarcadero . good thing homeless people near ( huge problem SF ) view magnificent ! well , although big hotel , feel like small boutique hotel . the room well decorate large ! like everything hotel , ever go back SF , definately stay get good rate . I use work SF look room every hotel stay lot hotel , far good hotel stay SF ! 
 Aug 26 2008 	 Le Meridien = Le marvelous 	 location ... concierge ... food ... great show = teatro zinzanni ... ferry build ferry sausalito tiburon ... room flat screen , great olympic ... le meridien = le marvelousboomer SAN DIEGORALPH MARJORIE 
 Aug 22 2008 	 Awesome location 	 stay 6 night husband son . arrive 11 am thinking would drop luggage hit town . room surprisingly ready able check - in early . since room two double bed available , give room 17th floor king size bed . request roll - away bed deliver next day . complaint , would call roll - away bed really non - issue . the hotel great location financial district . take BART SFO hotel . $ 5.35 per person one way , economical cab . BART station block away Embarcadero area . also , hotel within block lot muni bus train line travel convenient . fact , would discourage rent car unless necessary since valet parking $ 50 + taxis per night . pillowtop bed incredibly comfortable . usually not sleep well hotel Le Meridien bed exception . also , hotel extremely quiet . room close elevator hear people hallway room next door . lady concierge desk amazing . swear human GPS . will give awesome recommendation restaurant . check - out easy surprise . overall , upscale hotel highly recommend location hard beat . 
 Aug 18 2008 	 comfortable bed ever ! 	 hotel beautiful service impeccable . room relatively spacious downtown San Fran . though , bed like sleep cloud . extremely comfortable much almost sleep miss seminar . would definitely recommend hotel . 
 Aug 15 2008 	 Perfect Experience 	 stay Le Meridien three night everything exactly want . room 21st floor 180 degree view Bay City . view great . first time San Francisco lot sightseeing plan . hotel perfect spot use homebase . walk distance Union Square , North Beach , Chinatown , Nob Hill , soma Fisherman 's wharf . staff great . relative surprise we wine cheese room staff handle tremendously . Angela concierge great always able get we reservation send we restaurant exactly look time . room big modern feel . would highly recommend stay everyone . 
 Aug 13 2008 	 nicely remodel bit overprice 	 Le Meridian locate locate financial district San Francisco , recently undergo major renovation . room nicely appoint , staff friendly efficient , would recommend anyone want stay near Embarcadero Market Street . rate bite high ( $ 250 + per night ) seem go rate downtown area . 
 Aug 11 2008 	 Middle City 	 Le Meridien wonderful hotel . wife stay King mini suite , 18th floor . view spectacular , actually open glass door outside take air . able lean see much downtown , include Bay bridge . place first class , take care . already city , attempt 12:45 check - in , willing accomodate need . other state , complaint $ 55 valet parking fee ( motel parking fee available ) . sure car comfortable . time , walk Union center , eat Cottage Pie Foley 's pub , excellent . 
 Aug 6 2008 	 nice hotel 	 2 , 2 c ) book Le Meridien via Expedia . 40 % + 1 day free . got nice , cleany spacious room 20th floor . bed comfortable , batrooom clean new marmor / granite , LCD screen + large window GREAT VIEW downtown + bay . it one block califormia st . cable car line , starbuck across street shopping mall beside . turn valet parking expensive . solve , reason take hotel & lt ; 200 usd San Francisco . 
 Aug 6 2008 	 Great Hotel 	 stay Le Meridien three day past July ( 2008 ) could happy stay . book hotel Priceline half publish rate . room spacious , bed comfortable , room nicely furnish clean . staff polite helpful . fact , front desk employee upgrade room upon check - in one would spacious one originally assign we . great location Financial District . would definitely stay hotel . 
 Aug 5 2008 	 Fantastic hotel 	 wonderful hotel . highly recommend . room fantastic . honeymoon , upgrade room 20th floor view city bay . room great - modern , amazing bed nice bathroom . would hesitate recommend hotel . not want leave ! one complaint price parking - valet $ 56 / night . stay , park next door Embacadero Center 's $ 30 / night . 
 Aug 1 2008 	 Great Hotel 	 Excellent around , complaint . stay ! 
