excellent 	 spend 3 night hotel really enjoy stay . reception area attractive Christmas tree add ambience . reception staff accommodate arrive 2 hour early find we double room right away . spacious , clean , well decorate nice product bathroom . eat restaurant first night , food good exceptionally friendly spanish waiter really helpful . breakfast excellent plenty choice something everyone . well equip little gym sauna intend use sadly run time . Gloucester Road tube station 3 min walk away make easy we get around capital . two good little pub nearby shop cafe . negative thing say hotel towel really small thin - 's time change new fluffy BIG bath towel . 
 Mar 28 2008 	 good value excellent location 	 stay although recent traveller give rave review thought little circumspect hope fair . check good small price get upgrade executive room . check 10.30 a.m. problem . room good size although bathroom bite small noticed complimetaiy ' smellie ' reduce . think room generally bit tired need redecoration . reasonable choice tv channel internet connection whioch look expensive . the lounge area tastefully do little spartan breakfast time . ok pretty standard 4 * London hotel . overall would stay good quality price compare equivalent hotel . shop around comparative website good price vary £ 50 per night . location fantastic - minute walk Gloucester Road tube easy access almost everything . 
 Mar 10 2008 	 Fantastic 	 come back weekend Harrington Hall . excellent . helpful staff , large room , comfy bed even offer choice pillow ! perfect location lot cafe restraunt nearby choose tube station 2 min walk away . also walk Hyde Pk , Museums Knightsbridge 20 min . draw back breakfast include ! would definitely stay . 
 Mar 2 2008 	 absolutely wonderful 	 daughter stay lovely english hotel 2005 . absolutely wonderful . room large nicely decorate . bathroom adequate nice large tub . facility gym , restaurant , concierge course wait staff nice . bar small , quaint . staff extremely helpful time . breakfast variety food pleasing . feel safe time . staff take time get know . personable . give hotel excellent rating due response tourist . complain room large hotel chain small cramp . would love go back England course stay Harrington Hall . 
 Feb 26 2008 	 Served purpose 	 stay early February long weekend . location really ideal Gloucester Road tube stop block away , tube stop Piccadilly Line fast / easy / direct airport ( LHR ) station also elevator accommodate luggage ( ' ve always take underground to / from airport various trip fun lug luggage multiple flight stair ) . initial problem check - in prepay non smoking room assign smoking room -10 min room make nauseous asked get nonsmoke room booked/ pay . seem great difficulty take hour make change . rate $ 160 include breakfast comment breakfast except many breakfast option around corner excellent . the good : room huge London standard . bathroom modern . body / hair product nice . king bed comfortable tv large . quiet street , undisturbed sleep . also location ideal quick access London offer . quick trip Heathrow . the bad : fee room internet connectivity exorbitant $ 30 day ! $ 13 hour ! Room really update . get wake call request . desk service good . the ugly : furniture old / worn . broil ! heat room warm +80F , open window , FEBRUARY ! , appear bathroom exhaust system always like steamy sauna . assign smoking room nonsmoker -the stench make gag . all thing consider want big quiet room great location three . would stay price right . 
 Feb 25 2008 	 fantastic customer service 	 stay NHHarrington Hall Hotel 6 night February . check - in quick professional . lobby completely redone reflect rather generic peaceful atmosphere . luggage safely store check time . our room 4th floor immaculate , large well appoint . room bit wear & quot ; chintzy / flowery & quot ; ... ( like ) , huge well appoint : in - room safe , fridge , iron , hairdryer , soap , etc . bedroom modern , marble bathroom clean fresh . staff leave candy note welcome we . nice touch . drawback room : mattress really awful : lumpy hard . associate front desk tell American standard comfort quite different european standard ! doubt traveler world happily tolerate substandard , lumpy mattress ! anyway , great customer service kick associate send someone housekeeping build mattress bit , rather like homemade pillowtop mattress . help quite bit . manager concierge tell plan full refurbishment guest room complete 2009 include mattress . would suspect rate hotel skyrocket refurb . take place location service available fantastic . rate include breakfast buffet real treat . expect usual croissant , cold cereal fruit present full buffet offer anything one could want : full english mushroom , bean , tomato , various cheese include wheel brie , hot meat , cold meat , cereal , yogurt , pastry , fresh fruit , etc . etc . , fantastic customer service . the hotel locate quiet side street minute walk Gloucester Road tube station conveniently locate close various pub , restaurant grocery store , museum Hyde Park . hotel stand location , cleanliness dedication provide consumer superior lodging experience . NH influence apparent quality stay superior . 
 Feb 19 2008 	 expected- far ! 	 early February , wife take trip celebrate 25th anniversary , find Orbitz offer seem great deal internet . pre - pay room uh Harrington Hall Hotel eight day stay hope would well - than - average room pleasant stay . definitely well price even book directly advertised internet price hotel post . , honestly , attractive we fit within budget set- pretty tight ( consider cost London ) . pay $ 1450 total eight night room ( include fee taxis ) - advertise ' standard non - smoking room two minimum hot egg bacon serve table . ' trip Advisor rate hotel good good review , look one carefully start . ( semi ) problem ( concern ) , use Orbitz book room , hotel not get confirmation name 24 hour ahead actual date arrival , call ( hotel Orbitz ) make sure indeed expect arrival next day . ok- ' m trust internet middleman .... , arrive , indeed expect we , ask clerk desk could upgrade little bit since special occassion we , conferred supervisor , give we superior room additional cost . plus- really surprised us- send bottle champagne gift we ! wow ! thing really , really surprising absolutely wonderful breakfast buffet every morning ! three buffet line everything could possibly imagine- hot food , cold food , pastry , cheeze , yogurt sort beverage ... everything ! - get breakfast include room- automatically get amazing buffet ! way- cost breakfast walk street buy 17 pound per person ( roughly $ 68 two people today 's exchange ) ! food , breakfast main meal day . help huge Sainsbury grocery store four block away , would make sandwich room lunch , often would fix light supper eat hotel room watch t.v . long day walk , look wonderful museum , enjoy beautiful city . hotel overall quiet since not main thoroughfare , yet two block Glouster Road tube station . numerous grocery store restaurant , cafe 's little shop nearby convenience . , could not please hotel . value got- wonderful attitude helpfulness hotel staff five star service . would recommend hotel heartbeat- especially get breakfast deal ! 
 Feb 13 2008 	 great home base stay 	 husband quite pleased service facility 5 night stay . food breakfast buffet ( include rate ) restaurant well expect . pleasant helpful staff . room pleasant modern , beautiful bath . would hesitate recommend . locate midst price range eatery close Gloucester Road tube station part 3 tube line . 
 Feb 11 2008 	 Favorite London Hotel 	 first thing appeal Harrington Hall three minute walk Gloucester Road tube station ( three line intersect ) right Piccadilly line- straight 40 minute shot Heathrow . impressed friendliness reception gorgeous contemporary lobby . room - impeccably clean - be good size amenetie look ( room safe , minibar empty thing , like food Borough Market ! , comfortable area round table two upholstered chair . ) breakfast buffet enormous . full english breakfast , well lot fresh fruit , smoke salmon , prosciutto , plum apple tart , etc . open noon Sunday ! proximity three underground line make get around breeze . Tesco Express minute walk hotel . good hotel eight ' ve stay London last nine year . highly recommend . 
 Jan 22 2008 	 could not fault 	 return 3 night Harrington Hall Hotel South Kensington disappoint . the location hotel great , area safe quiet plenty shop & amp ; restaurant / bar around . Gloucester Road underground 2 minute walk away . the reception bar / restaurant area impressive room give massive comfortable . natural History Museum 10 minute walk away , make fascinating day . buffet breakfast every option could think fruit , yoghurt , cheese , cold meat pastry tasty cook English . also discover day 3 get 15 free minute internet per day stay , handy need keep touch quick research . not use Spa / Gym facility , can not comment . good thing stay staff . every single person polite , friendly attentive time , reception , dining area , bar maid . 
 Jan 3 2008 	 wow wow wow ! ! 	 hotel everything ! lucky full Christmas period give suite extra cost , that s second time that s happen 2 different hotel . world . could not fault hotel , facility , breakfast location 10/10 . well worth every penny , sad could not stay long . look forward next stay whenever . 
 Nov 6 2007 	 Good Accommodation London . 	 partner spend five night Harrington Hall August . third time stay hotel , last six year ago . since last visit , Harrington Hall take NH group , staff seem european . however , staff member dealt speak good English , standard service remain high . there much recommend Harrington Hall . location excellent , Gloucester Road tube station nearby good selection shop , restaurant , bank etc within minute walk . ground floor area hotel recently refurbish clean , modern style , restaurant breakfast buffet evening meal excellent . our disappointment visit guest bedroom update since first visit 1996 , look quite tired . room top floor hotel , furniture quite badly mark scuff . bathroom number heavily crack tile floor wall , glass shower screen look like become detach wall time . in opinion Harrington Hall offer good standard accommodation reasonable tariff London , however would good see new owner refurbish guest room along line renovate ground floor area . 
 Oct 16 2007 	 good value London 	 wander around Gloucester Road / Cromwell Road area hour look reasonable hotel reasonable price . good hotel , part , would break bank - cheap hotel would broken health . stumble Harrington . this seem part spanish chain call & quot ; nl & quot ; several staff spanish although speak good English ; reception concierge attentive . set place little average size , furnishing decor room . be cheap - 'd desperate stay really cheap London hotel - think extremely good value money . be right opposite Imperial Hotel , car park use ( price ! ) , be close Gloucester Road Tube Station , Exhibition Road lot place eat drink . 
 Sep 10 2007 	 pleased ! 	 stay husband one night whilst visit natural history museum science museum reasonably close . friendly reception staff , hold luggage check able visit museum suitcase free . nice modern reception area , bar restaurant . room slightly date still lovely . nice modern bathroom . tv bit old fashioned . first inspection bed seem hard lack spring , actually turn comfortable . great hotel , would stay . however get room half price would not pay £ 200 + price quote reception . 
 Sep 5 2007 	 great location 	 Stayed night August book website Lastminute.com top secret hotel reduce rate £ 65 - hotel great spot minute walk tube surround bar restuarant . reception staff really friendly helpful - think reception must newly renovate much nice modern rest hotel . hallway remind pub quite date , room although bathroom may recently renovate . London standard room huge although decor old fashioned comfy plasma tv . lot free toiletry though bit citrusy like . all pleasant hotel young guest would prefer something bit modern . 
 Aug 27 2007 	 excellent hotel 	 August 24 2007the Harrington Hall excellent hotel , take Grandson London book 3 bed room , plenty space , good sized comfortable bed . bedroom iron ironing board useful . the staff friendly helpful , grandson find mobile phone charger lobby useful forget . breakfast include price get excellent usual choice continental full english , everything tasty freshly cook think key thing often Hotels offer full breakfast sit hour time get eat . hotel 5 minute walk away tube station well postione eating do not want travel far mixture steak house , restaurant burger king easy walk distance . side price hotel , mini bar expensive drink bar would find london hotel . 
 Aug 20 2007 	 Pleasant Hotel 	 stay one night room large comfortable . bathroom modern clean , personally keen toiletry ( citrus ) minor detail . reception staff pleasant helpful . breakfast average . south Kensington pleasant area stay hotel 3 minute tube station . stay area would probably choose hotel . 
 Aug 1 2007 	 Nice hotel 	 stay part tour group . note desk price around 215 pound regular room , equate $ 430 american dollar . way would actually pay hotel room ! check stressful maybe beat flight maybe part tour group ... would give we room one moment & quot ; appoint check time & quot ; fact , still wait half hour get room . happen everywhere particularly irksome exhausted could see we sleep lobby . could see folk get room . one would think would want get we lobby give condition . guess not . after fine . hotel nice clean . Decor traditional tasteful . course room small typical european hotel complaint . hotel air conditioning , although rain really not need . bed comfortable sleep well . seem quiet hotel street night . there small exercise area pool . gym dressing area nice . small , nice . Location ok , kind Kensington area . be near underground entrance get around easy . breakfast include package . buffet really well stocked . could not find something eat breakfast , deserve go hungry ! everything fresh tasty also , not always case buffet . dinner restaurant first night group . food good . not eat since tour . bar , bar get drink sit lobby . lobby nice though . provide great bathroom ammenitie . really nice smelling , kind citrus smell . could purchase big bottle front desk . also toothbrushe razor provide need . small stuff , nice touch . overall would stay price become affordable . nice place . 
 Jul 26 2007 	 Perfect Hotel ; simply wonderful excellent location great staff 	 LOVED every moment hotel . not look another hotel , go ! ! ! ! reception area bright friendly , could check without problem , quick well organised . even though room not ready yet ( arrive 10 ) , could store luggage secure room right next reception desk . get back 9 pm , give room immediately . room cosy , perhaps bed bit small be use english hotel bed ( 1.40 metre broad , really not matter , everything else great : tv , minibar , lovely , clean bright bathroom , even iron board ironing & quot ; machine & quot ; along . breakfast simply one good buffet ' ve ever see hotel . lovely full english Breakfast , also usual bun , croissant , muffin , fruit , cheese , ham , even salmon , flake , joghurt , simply perfect . coffee great , tea . service extremely fast attentive ; manage spill coffee table , fuss . location hotel really excellent : be 2 - 5 minute walk Gloucester Road station , Piccadilly , Circle , believe Central Line tube . great , sit tube get anywhere like . reception always someone responsible information London , like good mean transport , Underground work etc . etc . etc . . obviously also exchange staff worker country , least could hear fluent italian , foreign language not problem . really can not find one negative thing Harrington Hall hotel . reception always someone responsible information London , like good mean transport , Underground work etc . etc . etc . really perfect stay , want go back right away . obviously even & quot ; Swiss Airlines & quot ; think , cause seem use hotel stopover hotel personnel . check fast indeed , basically hand room card , . able store luggage 10 5 pm , perfect , another full day explore London . : not go search hotel , one be get everything need London . 
 Jul 25 2007 	 classy hotel 	 classy hotel , beautiful big room , lovely decoration , generous breakfast . good area eat 
 Jul 17 2007 	 breakfast feast Harrington Halll 	 hotel process refurbish stay end May would never know sign apologise ! room compact tradtionally furnish bathroom modern . breafast buffet tremendous . hotel really well locate underground . good pub around Tesco Metro . 
 Jul 13 2007 	 Good Hotel - Complaints 	 lot research London hotel first trip decide Harrington Hall . friend recommend staying area , HH seem get generally favorable review price good London . think room good size , nice sit area . room bathroom feel clean overall good shape . large lobby bar enjoyable us - 2 couple travel together , convenient meet start end day plan . bartender nice . drink not cheap - pay convenience . pay breakfast opt coffee shop across street . would stay HH . hotel nice , location convenient metro 24 hr Tesco mini mart across street . feel safe . fairly self - sufficient , can not really comment helpfulness staff . problem except key / lock issue , mainly not understand lock work . seem night clerk competent day clerk issue . 
 Jul 5 2007 	 refurbish ... patient 	 daughter stay mid - June 2007 enjoy stay . seem attract business traveller airline personnel , indicate reasonably price , good accommodation . property well - locate minute Gloucester Road tube station . breakfast ( include price ) comprehensive , cater dietary requirement , even great coffee , american standard ! hotel apparently buy somewhat recently chain ( thus NH designation front name ? ' m familiar ) . extensive renovation go , particularly main lobby , could appear bit uninvite access adjacent dining area / bar , not spend much time except breakfast ( dinner menu seem overpriced populated . ) thing note : room fixture ( i.e . lighting , television , bathroom ) upgrade , not get around yet hallway / common area . still bit outdated , decorwise relation rest property smell ancient cigarette odor ( strong , still sensitive ) . definitely get feel restoration stage upgrading / refurbishing process complete , could quite fine property .. room fairly large ( european standard ) fit two we comfortably . would stay ? definitely , price right . 
 Jun 18 2007 	 much well option available nearby ... stay NH Kensington instead . 	 hotel old come room . size not surprise , old tv , bathroom , bed , carpeting , etc . . ' ve stay numerous NH hotel , bad . also , stay , Fire Alarm go 3 time one night , not hot water 2 night . hotel staff promise & quot ; fix & quot ; , never come . finally , 2nd night , slide letter door offer free transfer another one NH hotel nearby . however , slide letter midnight knock door alert . hotel room long hallway , not actually see door get . needless say , & quot ; offer & quot ; present cover darkness upset great deal . addition consumer - friendly , hotel offer 2 night hot water one night alarm 30 % discount . long story short , NH Harrington also recommend finish stay NH Kensington ( sister hotel 2 minute drive away ... one tube station ) . NH Kensington MUCH modern , great / modern ammenitie ( flat panel tv , alarm clock , great furniture , great bathroom , wonderful bar , etc . ) . able find internet afterwards , hotel rate . , stay NH Kensington will not disappoint . 
 May 29 2007 	 nice 	 recently stay friend . two twin bed even small sit area TV . plenty room two we . would difinately stay . buffet breakfast day plenty choice tasty . cheap internet place across street . close many resturant , laundrymat tube station . staff friendly helpful needed . 
 May 13 2007 	 comfy costly food / drink 	 missus think place quite cosy . bed king size price food drink ! £ 17 per person per day breakfast cereal yoghurt . much like go plenty egg bacon mushroom lashing tea toast . could always use one nearby eatery grub instead want kind defeat object stay hotel humble . bar area really comfy day credit card abuse price bite steep ' ve got make live . room nice quiet good hot shower clean bathroom . Gloucester Road tube 2 min away would gladly stay necessary . 
 Apr 26 2007 	 Decent stay nothing special price charge 	 stay four night . reservation four night , hotel five night system . whether company office fault , extremely rude remove extra night charge . would it . room old fashion spacious ( London ) . plenty storage , nice modern bath , firm bed . internet charge $ 24 day , work well though . fitness room gloomy tiny . convenient location , breakfast include room rate ( however breakfast not use still include rate ! ) .The staff front desk extremely rude . regardless question ask , act annoyed rude ! reason enough stay . 
 Apr 18 2007 	 ten stay good value money 	 last 4/5 year stay Harrington Hall mainly business purpose . since pay corporate rate 98 GBP per night exclude breakfast would say pretty good value money . hotel situate near Gloucester tube station , nice south Kensington area , quite nice restaurant close proximity London attraction ( Albert & amp ; Victoria museum , natural history museum ) . NH take hotel notice bell boy main entrance open main entance door . major improvement implement apart form colorful bath product . seem little refurbishing need . curtain especially worn , remote control usually function problem maybe little bit modern touch . fitness room small convenient want use it . breakfast good , nice choice everything worth additional 15 gbp . staff less spanish . total get good price worthy stay . 
 Apr 9 2007 	 horrible avoid cost 	 stay NH Kensigton five night . two highlight stay - first see outside arrive airport . second leave airport . everything horrible , really unbelievable . one bad hotel stay ever - travel business almost every week . the first impression room strange say least . 17 - inch tv stand 6 inch floor . alarm clock radio . mattress soft old pillow feel like empty pillow case . as get ready sleep first night notice power outlet near bed . call reception ask extension cord . phone feel interrogate Scotland Yard need power bedside . tell need 10 pound cash deposit go reception make payment - could charge room . go reception 50 pound bill person reception put light give counterfeit . when make reservation request refrigerator store medication . none . call reception ask , tell fridge room . actually automate bar full drink room anything else . top fridge / bar room temperature . place store prescription medication hotel kitchen refrigerator . choice , ' m even sure legal . almost everyone reception rude arrogant - guess staff think pay serve , instead way around . we three room wife teenage son . make reservation include breakfast . surprise , even though room reserve three people , breakfast two - funny math ... ask help bus service many underground closure weekend . give two - year old bus route map ( date 2005 ) miss bus line . on last night hotel smoke fire alarm malfunction alarm sound multiple time . many guest congregate around reception middle night staff tell everyone hotel would take care . shortly everyone leave overheard hotel manager tell staff give anything guest hotel responsible . next morning sign post elevator excuse hotel culpability malfunction smoke fire alarm . as check multiple guest complain lack hot water - staff tell everyone boiler not work . 
 Mar 22 2007 	 Excellent Hotel Fantastic Staff 	 return weekend stay hotel would definately go back . staff lovely time , always polite extremely helpful . room good size bed comfortable bathroom great powerful shower . location great round corner Glouster Road Tube 15 minute walk Kensington High Street . thing would say beware bar price high , get hotel . 
 Feb 27 2007 	 go back anytime soon 	 recently stay three night two girlfriend Harrington Hall . one review hotel help take care problem review would alot well . basically , hotel perfectly fine . room bathroom clean comfortable enough . however , follow occurance ruin view hotel . first , call housekeeping order additional bath towel never deliver despite two call . second , bath tub would not drain take shower . three we , know , gross enough one . big deal first though , call speak front desk first night tell problem ask would plan fix follow day . next morning left day stop front desk remind tub . night get back tub still fix . call again- little irritated still huge deal- speak manager tell would fix next day ( last day ) . last day roll around shower still fix . despite three call face face request could get one person come put draino drain . lastly , friend get witness heat exchange housekeeping lady manager leave one morning think incredibly unprofessional . however , good part hotel location absolutely perfect look stay South Kensington area . 3 minute walk Gloucester Road tube station , make close anything really since right Circle Line . rate great London area , definite & quot ; get pay & quot ; unlike many hotel find Trip Advisor . suggestion shop around little more . if choose stay would expect whole lot . 
 Feb 13 2007 	 Great Rooms expensive extra 	 stay wife business trip . excellent large room nicely decorate . bathroom excellent reason not give soap shower gel ( european thing ) . Breakfast expensive Hotel . nice italian cafe 100 yds road full english 5 pound . recommend hotel couple business traveller . pay 99 pound website advertise 75 time 
 Feb 2 2007 	 Fantastic 	 write review hotel happy w/ stay . 16 year old daughter stay London week . price hotel expensive concerned going find hotel . book hotel w/ British Airways package . read review Oct. hotel mix . however , find hotel great . staff could helpful . room w/ two twin bed - comfortable clean . breakfast every morning good . location ideal safe . two block walk Tube . walk Kennsington Palace . truly great place . 
 Jan 7 2007 	 wonderful hotel 	 teenage daughter stay three night Christmas . upgrade superior room front hotel 10 pound extra per night . room extremely spacious , even north american standard , graciously decorate . bathroom well appoint show excellent water pressure . staff , concierge particularly , courteous helpful houskeeping top notch . breakkfast good , many healthy choice . room service also good - terrific salad nicoise good late night snack two we ! tube 3 minute walk area well lit night . woman travel alone need worry . several restaurant within 3 - 5 minute walk waitrose tube station good deli wine selection quick snack back hotel . internet cafe block away use instead pay high daily rate hotel ( 17 pound per day ) .We definitely return . 
 oct 22 2006 	 lovely stay 	 love hotel definitely use . excellent room , helpful staff ( problem couple stay close we arguing night long hotel staff intervene quieten ) .Food great , general atmosphere aristocratic , would say 4 * hotel , 3 star ' ve see rating . 
 Sep 7 2006 	 good value money 	 stay one night Superior Room . arrive late leave early without breakfast . therefore comment room , spacious , bright , clean quiet . spacious bath tub . knowledgeable staff eager please . check - in check - out take one minute . would give five point not outrageous phone bill : 5 pound six minute local phone call . 
 Aug 29 2006 	 ok - could well 	 book hotel read positive tripadviser review . book Superbreak ; give we well price hotel website critically include breakfast price . we agree quite lot write . hotel well place convenient public area well appoint . room large London hotel , clean bathroom OK . breakfast good . there be & quot ; & quot ; come however . strong impression could well . example , abide whiff tobacco smoke , include smoking room , despite profusion smoking sign . allocate double room book twin . window cill cover wap ( albeit dead one ) . restaurant understaffed breakfast . fire alarm go ( briefly ) 4 am , mattress firm pillow thin . could go on . these issue would not definitely stop we stay would probably look elsewhere - possibly Reubens Buckingham Palace Rd previously good experience . 
 Aug 21 2006 	 enjoy hotel 	 wife stay early August give smoking room request non smoking room . make right request another . room size good english standard . big reason select room King size bed . 's Califormia King , foot hung end ( 6 ' 4 & quot ; ) , really not bother . look forward new law suppose take effect January 2007 , think , allow smoking inside hotel . lounge / lobby nice size , take one smoker llighte change otherwise enjoyable experience complimentary coffee / pastry / newspaper early morning . concierge service good Nik also help we well . nice breakfast room nice buffet breakfast . would definitely stay . research hotel London lot select Harrington Hall . appear good size quality money . oh , like concerned noisy door close , hear neighbor wall , stomp footstep floor , concern either room trip . 
 Aug 8 2006 	 Average Hotel - Nothing Special 	 stay hotel end July think average well . would not class 4 star . positive room big , location fantastic , safe room , secure errr .... negative tv room tiny , enough towel ( three v thin one two us ) - surely 4 minimum ? hotel london info room disappoint bar area tiny ( especially be smoker ! ! ) . addition 6th floor window partly block roof room pretty dark . also book taxi early morning firm hotel book we charge £ 18 15 min journey seem bit steep ! overall - think hotel ok reasonably price location nothing special 
 Jul 11 2006 	 Great Choice 	 select hotel base review site disappoint . first trip London , prove great expereince well average room size ( consider warning small hotel room ) . centrally locate tube , helpful staff wqe would recommend highly . 
 Jul 10 2006 	 Good Choice 	 stay Harrington Hall week . lovely place nice neighborhood . 3 minute walk tube station . staff polite responsive . especially concierge , Nik . get we GREAT seat Mary Poppins 24 hour notice . ( must see show ! ) would stay Harrington Hall . 
 Jul 3 2006 	 Great Hotel 	 stay Harrignton Hall part concert package . pick hotel several option not chain own one make right choice . great location , minute walk near tube station . room large , clean comfortable . staff courteous polite . would stay . 
 May 19 2006 	 great hotel ! 	 good hotel I´ve ever stay . locate near metro station . clerk friendly , speak many language . the room absolutely great , big convenient tv desk chair huge bed . also bathroom nice clean . breakfast good , also offer room service dinner opportunity . 
 may 15 2006 	 great location - average hotel 	 think hotel average . bathroom nice , large usual amenity . room reasonable size good closet space 2 people . room could use update decorate . public room nice . breakfast good come room . staff . concierge helpful . rest desk staff try helpful , not know much area . the location great . 2 block Tube station . several cute afforable restaurant within walking distance . 
 Apr 19 2006 	 Harrington excellent 	 lovely hotel spacious well appoint room great location . good service . close Gloucester Road Tube stop , restaurant Museums . would heartily recommend well price hotel . exceed expectation . 
 Apr 10 2006 	 TOP LONDON HOTEL CLASSY make valentine weekend special 	 one nice hotel ever stay , london.i go girlfriend valentine weekend 2006 . stay one night weekend whole experience hotel magical.if like touch class nice thing life place you.the hotel foyer say , sheer style , friendly staff.the room clean decorate classy , room en - suite bathroom one powerful shower ever experience . hehehe : - ) room satalite tv , coffee tea , iron , mini bar , free room safe.breakfast also excellent highlight stay , much offer , coffee superb , stay many hotel coffee diabolical , chap , A1.the location hotel also A1 take 5 min walk slow get near tube station gloucester road.there also lovely restaurant 1 min walk hotel.i end review say stay anywhere London make hotel top list.cheer hope enjoy stay London much do . paddy : - ) 
 Apr 4 2006 	 great hotel great location 	 stay seven night Harrington first stay . anyone want simply relax without need always move hotel location need keep happy . single room could bee well . breakfast offer wide selection morning food relax din room . would send friend without worry . 
 Mar 20 2006 	 Excellent Hotel 	 room large , fabulous location . 2 block tube . also easy get Heathrow , 40 minute tube eliminate expensive taxi ride . staff accomodate . would definitely stay . 
 Mar 10 2006 	 Great Stay 	 return 7 night stay Harrington Hall . impressed upon arrival . nice lobby reception area . reception polite helpful . arrive 10:30 let we go ahead check . problem . judge UK standard , room spacious . nicely furnish clean . bathroom tile plenty hot water . ask two towel we . also give we electric fan think room hot . also window open help . nothing bad say . location perfect . everything need include tube , around corner . breakfast include room price serve buffett style . anything want . full English , fruit , yogurt , juice , kind pastry , cereal , everything . nice restaurant . fee internet access high internet cafe right street . nice stay . 
 Feb 22 2006 	 Excellent Hotel 	 really great find . location excellent . one block away Gloucester underground station . case quick airport use tube , H - Express + cab Paddington taxi line Pad pain . hotel part NH chain , ' ve get nothing good thing say . entrance give sense expect . overall quality much line star rating hotel . service miss internet connection room ( matter time ' m sure ) . room nice . love bed ( firm good ) . bathroom great stuff NH include among good ' ve find . breakfast bit expensive , particularly compared offer local resturant / cafe . however , good sometimes include rate . stay 3 night definitely stay . 
 Feb 12 2006 	 good value excellent location ! 	 stay NH Harrington Hall Hotel one night ( 11th Feb ) visit theatre . get good deal include breakfast on - line discount site . hotel 2 - 3 min walk Gloucester Rd tube station ( provide good access many London attraction via Piccadilly , District & amp ; Circle line ) . V & amp ; , Natural History & amp ; science museum , well Harrods , within walk distance . first impression approach enter hotel good - nice facade , spacious elegant lobby . check quickly request quiet room away front meet problem . staff polite , pleasant efficient . pleasantly surprised size l - shape room twin bed , two comfortable , high back armchair plenty wardrobe space . also iron / iron board safe . decor traditional frame print flowery fabric , good quality well maintain . bedroom bathroom immaculately clean . bed comfortable give we good night 's sleep . breakfast follow morning provide one good hot cold buffet selection ' ve see . , hesitate stay anytime visit London get similar rate . definitely recommend hotel other . 
 Feb 6 2006 	 nice room long stay 	 husband stay Harrington Hall last December 2005 . less one minute walk Glouscter tube , easy conveinent link London . the room nice . book twin quite pleased space . would recommend . fourth floor room open courtyard plesant view . bathroom nice . everything quite clean . good mattress . fantastic full breakfast buffet . book though go - today travel get fantastic deal season . not know would pay premium price hotel . , safe nice conveninet issue important , say book . oh , fantastic little deli walk Glouster tube leave side street . good food great price . Sue Oklahoma City 
 Feb 6 2006 	 Harrington Hotel - Great Hotel family holiday 	 family stay Harrington Hall 10 night 30th Dec 2005 . many hour scour internet reasonably price fairly central hotel , absolutely delighted stay Harrington Hall . on arrival London greet quite downpour , decide catch tube Heathrow , look forward block half walk station , delighted find close , inside hotel within minute leave Gloucester Road station . the hotel much expect . grant , really lucky get great rate discount hotel website book directly hotel early much high rate , ( cancel first booking ) pay 74 pound per room include full breakfast . happy breakfast , say hotel not cater vegetarian review say , think unfair . ample selection cereal , hot cold selection amply satisfy vegetarian . the room English quite good size London Hotel . reasonable gym take advantage every day breakfast , fantastic concierge able point we direction good tour london . the hotel around corner range restaurant within 5 - 7 minute walk South Kensington also range great restaurant . Gloucester tube 5 minute Oxford Circus Regent Street perhaps 10 minute Big Ben , Westminster Abbey etc . we would hesitation recommend hotel anyone plan travel London , would hesitation stay Harrington Hall . give price London Hotels , consider lucky stayed Harrington hall . 
 Jan 26 2006 	 great 8 day stay 	 return yesterday 8 night stay . arrive 8 am give room arrival . also twin bedded room please size facility , ample closet space 2 storage suit case , toiletry replace daily room clean never disturb we morning Disturb sign hang door . staff pleasant helpful , telephone malfunction rectify immediately . third stay area location wise everything return hotel future . 
 Jan 5 2006 	 Great Hotel 	 fantastic stay six day New Years . room large expect . require room two twin bed ( travel daughter ) . room desk , two sit chair , side table , dresser , tv , large closet , etc . bathroom standard size shower / tub . everything clean . the hotel staff ( especially concierge ) extremely helpful . we not eat hotel restaurant , look nice good menu . variety place get something eat street ... breakfast , lunch , fine dining . extremely convenient location . Gloucester Rd Underground station one block away Circle , District , Piccadilly line . 
 Dec 31 2005 	 great hotel ! 	 Harrington Hall buy NH group since last time stay . little worried , since like hotel much . delight , hotel still great place . staff ( largely spanish , appear ) cordial helpful , especially Javier . bent backwards accomodate we , even though reserve incredibly low rate . room clean , exception rubber bath mat . keep put ( unfolded ) floor housekeeper clean . refolde every day , mildew still . ask new one , prefer bother . toiletry replace daily , housekeep good . bedspread brand new tidy looking . lobby nice ever , complimentary newspaper ( variety language ) every morning . location beat . area lot restaurant , couple small grocery store , coffee shop , fish - n - chip , etc . also find stay bother Heathrow Express ! much fast take Picadilly line Heathrow ( 4 GBP ) directly Gloucester Road station ( 30 min ) . express take Paddington meer 15 minute , switch back Picadilly line anyway , take taxi , take forever congested traffic . cut lot time save we 20 GBP take tube . 19 stair total , luggage problem . apart stair , everything else escalator elevator . let say , really enjoy hotel . fourth stay stay . 
