great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Jun 8 2009 	 Great Hotel Michigan Avenue ! 	 husband fantastic experience InterContinental Hotel downtown Chicago . stay two night . location perfect , Michigan Avenue , close Chicago River . check , ask could stay Historic Tower . say would cost extra . discuss whether wanted pay $ 50 extra upgrade , go ahead compe upgrade -- charge ! get corner room 17th floor . could see little bit Lake Michigan , little bit river . hear view even well 25th floor higher , not go complain . still great view . bed ... ... heavenly ! can not remember ' ve sleep well . mattress exceptionally comfortable , pillow . large bathroom ( nice ) . use robe slipper provide . staff extraordinarily nice . one night make use cozy bar locate adjacent lobby . definitely stay future ! 
 Jun 7 2009 	 ideal location friendly service good value ensure return hotel 	 stay two friend & quot ; girl ' weekend & quot ; hotel February , ' 09 . get good & quot ; Stimulus Package & quot ; rate pleasantly surprised size decor suite Historic Tower ( bedroom living room pullout bed ) , 2 bathroom ! room furnish everything need comfort breakfast excellent next morning . good , hotel 's location middle Magnificent Mile beat every choice far be concerned . would definitely come . 
 Jun 7 2009 	 Great Location 	 second time stay intercontinental past month . time staff friendly helpful . find location excellent Michigan ave . gym pool incredible hotel . first time well room . believe business suite second time regular room . regular room appear less keep . carpet clean standard . also first night kill bug bathroom . present first time stay . general good hotel great location . 
 Jun 6 2009 	 great location 	 hotel situate directly Magnificent Mile yard away river , walk straight centre Chicago . manage get good rate Hotwire , IC still honor Ambassador status upgrade large corner room Historic Tower benefit . please large room two - way view Downtown Lake Michigan . historic decor part hotel : like perhaps everyone 's taste . comfortable bed , great power shower rather shallow bathtub average quality toiletry . towel especially thick . staff helpful , especially keycard stop work 30 minute late 4 pm check - out : immediate offer make extend check - out 5pm . the swimming pool must historic association , note set lane swimming may suitable diversion family young child . the wireless internet charge extra particularly quick . choose $ 49 1 - week option pleasantly surprised charge automatically reduce $ 37 end 5 - day stay . the Starbucks lobby offer cheap option breakfast coffee bun . if get good rate porperty , go . 
 Jun 3 2009 	 Ideal Hotel Chicago Holiday 	 stay 7 night Intercontinental & amp ; find excellent hotel one good location especially first time visitor Chicago . we get great rate Hotwire & amp ; delighted corner room 8th floor view towards river Michigan Ave . some previous review mention room small quite happy & amp ; everything high standard clean . we spoil choice selection shop & amp ; restaurant within walk distance hotel , serious retail therapy Eddie Bowers directly across road , great bargain . five minute walk boarding area Wendella lake & amp ; river tour -great trip,10min walk fab Millenium park,5 minute House Blues great Sunday brunch -little touristy great fun , 3 block red line metro get theatre district 5 minute & amp ; Wrigley Field Celluar Field 15 minute , directly beside stops free trolley Navy Pier really could not ask well location . starbuck ground floor handy early coffee & amp ; nice local bar Blackies directly behind hotel . because many choice close hotel never try hotel bar restaurant .The slight negative excessive hotel charge wifi & amp ; free Starbucks either own hotel pop apple store Michigan . 
 Jun 3 2009 	 say 's luxury not follow . 	 staff friendly , almost fault . superior room nice good space , small detail undercut luxury atmosphere ; curtain severely wear couple place , iron sputter rusty steam turn , could easily conversation neighbor . steep discount , worth , look luxury hotel , have book elsewhere . oh , 's hotel Chicago internet not complimentary . 
 Jun 3 2009 	 Intercontinental Chicago 	 stay last summer 5 day . impressed . first tell phone reserving enough point deliberately transfered account , stay 2 day . pay 3 night . get hotel , tell case . make wait lobby nearly hour argue manager make right . visit start . 5 time , different time , promise make call back noone ever . call President 's Club deal . need annoy like suppose vacation ? room : speaker phone work . turn service Sunday . pool difficult way get . step difficult ladder traverse get pool . elderly person party could swim ot egress pool.the building beautiful though . their wine cheese bar lovely . the concierge call 10 different time never answer phone Restaurant recommendation go concierge person finally , awful chain - type restaurant . one time ask special birthday upscale french restaurant instead get french chain - fair food place crowd . waiter chain type restaurant tell we concierge know anything send we restaurant instead go Les Nomades ; next night fabulous . overall , would go back hotel . fabulous location good get cheapy - cheap rate convention . service friendly lousy . way airport , Limo service order we show jump cab . wait 40 minute . apparently finally arrive 45 minute later book . would miss flight wait he . would not go back , even though Ambassador President 's Club Member ; maybe , maybe free ! ! ! 
 Jun 2 2009 	 incomparable ! 	 fabulous hotel ! location directly Magnificant Mile surround fine shopping , curtious staff excellent restaurant bar , hotel one good Chicago . room clean fresh , public area comfortable staff concierge front desk extremely helpful . place stay cnetre action Chicago . HIGHLY RECOMMENDED ! 
 May 31 2009 	 Elegance convenience 	 attend training conference Chicago opt book room thru one online discount program rather stay rather sterile pedestrian hotel conference hold . book 4 night intercontinental pleased elegance convenient location ( easy walk conference ) . lobby room , hotel life 's storied reputation . ( indoor pool seem import set Busby Berkeley movie ! ) even tho ' conference , hotel 's location Mag Mile quick jaunt restaurant theater , make pleasant stay affordable price . 
 May 28 2009 	 great Wedding Weekend 	 block room everyone group excellent experience . service friendly attentive . Handy Starbucks lobby great wine bar hotel . nice big room great view historic build modern amenity like internet , hair dryer , iron , coffee maker , etc . nice pillow linen . incredible indoor pool . location superb ; 1 block river pick boat tour ; 1 block city tour ; 1 block water taxis Navy Pier , aquarium , museum , etc . walk Millenium Park , Art Institute , sightseeing , ton shopping , restaurant , nightlife . taxis front time . easy walk train . plenty affordable family friendly place eat nearby . love suite hang snack drink . 
 May 27 2009 	 can not wait go back 	 first trip Chicago . service experience InterContinental first rate . location early check - in concierge , top notch . speak Concierge daily never lead we wrong path . count breakfast , lunch , dinner , travel route . one time let we down . as far location , not know much well . right mile couple block River . thank wife make trip one never forget ! ! see soon ! ! 
 May 26 2009 	 great Stay always 	 ' ve stay hotel close 10 time past year , always provide excellent service hospitality . price pay , could not ask well hotel . specifically , last visit -- clean , well - attend lobby . friendly staff . efficient elevator . comfortable room / bed . pristine bathroom . room quiet throughout night . never hear peep neighbor , despite holiday weekend plenty guest . lounge wine bar provide friendly service front desk . know menus well make excellent recommendation . great hospitality continue end stay . need late check - out , provide without hesitation . bill incorrect charge , remove without question . overall , great stay . will gladly stay next visit Chicago . 
 May 26 2009 	 wow beautiful hotel ! 	 stay Intercontinental & quot ; girl & quot ; weekend , attend wed Wisconsin . hotel old , ornate , beautiful . good thing we fantastic location ! could walk everywhere , shop close hotel great . rely concierge several time restaurant recommendation reservation , helpful friendly . fortunate assign corner room , offer beautiful view Michagan Avenue night , 24th floor pretty quiet . bed comfortable room tastefully decorate . book Hotwire get great rate , other family use Priceline get hotel - thrill luck could not happy visit . sure see firework Navy Pier , take Shoreline Cruise water view Chicago firework something always remember . 
 May 26 2009 	 view die 	 arrive late Chicago flight delay , learn book hotel room smoking room , room available evening . around corner & quot ; budget & quot ; smoke accomodation , InterContinental Chicago room historic tower . luck change : clearly design king bed , room extremely well appoint , high end bathroom view Chicago skyline die . concierge suggest late dining breakfast restaurant within easy walk distance w hich ask . return Chicago , want stay . 
 may 25 2009 	 Luxury live along mile 	 moment walk hotel impressed . reception absolutely pleasant one imagine . couple minute room . go & quot ; budget & quot ; room room great . super view sleep . bed fantastic . room incredibly quiet -- sound siren occur hour . road noise hall noise issue corner away elevator . the room huge two person manage . tv service bit clunky although tv beautiful flat screen HD . bathroom well appoint . use room service . at hotel use Starbucks , bar , wine bar attach . bar pricy Chicago ! watch . $ 15 mixed drink norm city . wine bar cute exceptional . the location probably one good Chicago . walk popular destination minute be along mile ... everything find mile ! 
 may 25 2009 	 Upgrades Worth buck 	 get room InterContinental Chicago year ago . excite prom decade ago always remember luxurious . well get & quot ; four - star & quot ; room look like Holiday Inn . ask upgrade show several room . not happy pick one due Hotwire . room never clean three day . GM finally listen explained & quot ; four star & quot ; property . put profile free suite upgrade . see suite .... worth another round . Stayed Conrad across street never leave . 
 May 24 2009 	 Classy locate power spot Michigan ave . rack rate $ 100 ! 	 last minute rate 4 + star classic style hotel . right middle Michigan ave . nice restaurant , work room friendly accomadating staff . do seminar little room excellent great catering food . parent classy hotel hip trendy kind place . room excellent , bed comfortable . stay Hotwire last minute deal $ 100 ! 
 May 24 2009 	 Amazing Hotel 	 thouroughly impress service quality Intercontinental Hotel Chicago . build gorgeous ammenitie provide comparable good 5 star hotel area . little thing Intercontinental Hotel really set apart hotel . bed linen , soap shampoo , towel , luxurious fine quality . room equip large flat screen tv ! hotel gorgeous . beautiful indoor swimming pool , full gym , multiple fine restaurant ( especially love Chocolate , Cheese , Wine bar ! ) inside facility . service also top rate . everyone prove helpful . concierge service especially helpful recommend Chicago destination provide valuable information guest , especially guest familiar Chicago . the good feature hotel locatation . magnificiant mile , heart shopping district Chicago block away fine restaurant , museum , destination . overall satisfied stay Intercontinental Hotel Chicago would highly recommend anyone travel Chicago . definately visit ! 
 May 20 2009 	 totally delightful Stay 	 time car pick we Ohare delivery back airport , stay delight . upgrade suite previously two room . real treat two bathroom hotel . also comfortable livingroom terrific bed . we late breakfast one morning , kindly serve us bar apply credit . find step beyond do . finally , service warm , friendly available need ! 
 May 14 2009 	 great location shopping downtown ! 	 daughter go stay mother / daughter weekend shopping . hotel nice . pool beautiful water temp great . not try restaurant look busy great atmospher . room small nicely decorate . read review rude staff mistake mini bar not . front desk staff kind never charge anything room . back June another stay week time . good part hotel definetly location . smack middle everything downtown . bus trolley stop hotel . subway 2 3 block west . 
 May 14 2009 	 Dark room ? 	 nice hotel . buy ticket via Hotwire . maybe low rate give room window completely block brick wall outside . 7 hour time difference Europe hard adjust can not see night day . 2 day complain ( do soon ) , get well room high floor . ' m still surprised 4,5 start hotel even room daylight . 
 May 12 2009 	 Needing evening desk clerk overhaul ... 	 spending hour airport standby , last thing need rude desk clerk checking . already late ballgame heading , want check , change clothe , get go . young lady check , short , rude , extremely unfriendly hand key walk away regardless whether question . need direction get United Center fast possible . go one help . bellman front hotel helpful everytime need help transportation point right direction . bedspread room , suppose white , dirty white , almost grey . numerous hundred dollar property charge room , would think could keep blanket white . glad activity keep happy , hotel do not . staying tell anyone know stay . 
 May 11 2009 	 Great Location Accomodations 	 location : Smack dab Michigan Mile . halfway Millenium Park Water Tower mall . hotel : nice linen , pillow , clean room , nicely decorate , flat screen tv . full - service Starbucks lobby . pay $ 99 / night via Hotwire . would pay $ 150 / night still think have get good deal . con : pay extra internet access per day . pay - per - view movie $ 15 . parking $ 53 / day think outrageous even Chicago . several self - park lot block away reasonable ( $ 36/24 hrs ) . hotel food pricey . 4 + star hotel , would think would single ply toilet paper ! ! Grand Luxe restaurant block across street ( Ann Taylor ) outstanding term view food breakfast . 
 May 8 2009 	 lovely hotel great location incredibly slow check - in 	 fifth time ' ve stay hotel attend conference . 's terrific location , room nice , check - in process interminable . time first stand line ( 2:30 p.m. ) get key room , almost 30 minute pass . wait another 20 minute get luggage . know would take long , would retrieve luggage bell service store early day check . 
 may 5 2009 	 find well less money 	 room small compare american hotel . room stay loud noise . think may heat cool system . noise & quot ; boomed & quot ; every minute . stay room 2506 . location good worth money consider size / noisy room . hotel review 4 1/2 star ' ve stay well 3 1/2 - 4 star . not think consider 4 1/2 star America maybe another country . fitness center cost $ 16 swap credit card use computer business center . ' ve never disappoint decide use computer . staff not impressive ok . concierge service not helpful ' ve receive well service lower rate hotel . overall , think hotel overrate big disappointment . 
 may 3 2009 	 good place stay Chicago ! 	 love hotel . staff helpful responsive . centrally locate easy get anywhere hotel . Chicago convention shuttle service convenient . the room would cool ( like hotel room cool ) staff bring floor fan work fine . spend lot time bar even though busy , staff , attentive . 
 Apr 30 2009 	 great place stay ! 	 spend 10 hour hotel ( check @ 10p 8 am ) , everything great . front desk staff pleasant friendly , common area beautiful , room ( historic tower ) clean comfortable . would definitely recommend hotel ! 
 Apr 29 2009 	 Great Hotel - service room 	 Service , room laocation outstanding . hotel staff helpful without overbear . room nice , yet amenity pricey ( $ 6.95 half liter water ) . location great , within walkiing distance Loop , Hancock center Navy Pier . bus station across street take museum , aquarium planitarium . West Egg Restuarant block serve breakfast , lunch dinner ; great food reasonable . hotel restaurant pricey we nice . Starbucks lobby handy . only complaint charge use gym internet service outrageous ( $ 9.95 15 minute $ 1.00 per sheet print ) 
 Apr 27 2009 	 Great Hotel - Great Location - Great price 	 stay three night wife two nine - year - old boy . nice hotel . clean room friendly staff . old fashioned lap - pool nice enough be expect water park ( not ) . good enough kid practice cannonball ! awesome location . walk distance Hancock Tower , Ghirardelli , Giordano 's Pizza , ESPN Zone course , Billy Goat Tavern ( cheezboogya , cheezboogya ! ! ) get incredible deal via Priceline use tip bet69terbidding.com . parking killer ( other mention ) homework willing walk block , find alternative parking ( pay $ 69 total self - park garage Sat , Sun Mon night ) .Would nice high - speed wireless free . 
 Apr 25 2009 	 Beautiful Hotel 	 great hotel , perfect location , friendly efficient staff . starbuck site , room smallish adequate . beautiful pool build great history , staff passionate hotel history . efficient valet parking expensive ( $ 53 per 24 hour ) - local parking still $ 40 may well stump extra $ 13.i would definitely stay , get Hotwire around $ 100 ! 
 Apr 18 2009 	 5 - star Intercontinental ok 	 Location perfect - right North Michigan Av . standard room main building - room size pretty small ok . swimmingpool great disapointment . We´d pick Hotel we´d get rate $ 99 per night , otherwise we´d try antoher hotel ( Sofitel , Sissotel , etc . ) . 
 Apr 16 2009 	 intercontinental excellent hotel every category 	 hoel excellent location . room attractive find staff friendly helpful . 
 Apr 12 2009 	 Excellent Hotel center thing 	 would rate 4 * + , beautiful public area . location outstanding , excellent restaurant price range shop easy walk distance . excellent large grocery store liquor store , within block hotel . bus service outside door get sight without expence taxi . .Had nice room old section ( expensive part hotel ) , large room , nicely furnish traditional style . bed breakfast rate , good deal , slightly room without breakfast , probably deal two person . good bath tub shower , high quality ameniteis good selection . nice large towel . hotel staff helpful area . good bed pillow , although pillow menu promised never realize . internet slow , probably full house Information Teck personnel , discuss front desk remove charge ( nice ) . excellent large hdtv , good tv ever hotel price range . desk large plenty electric plug , desk chair look good comfortable . negative part stay room warm even though outside tempature 30 . keep window open heat entire 6 day still almost warm . offer move we , maintance say would temp room . food okay , bit high side , normal class hotel , restaurant area , concern . car parking $ 50 per day , valet , car need . public garage area seem $ 30 day range , . 
 Apr 12 2009 	 Great Hotel -- Great Location -- Great price 	 family -- mom , dad , two girl 10 5 -- stay three night . hotel great location , right Michigan avenue . lot store restaurant within easy walk distance . beyond , El -- subway actually -- three block away Grand Ave . everything exceptionally clean . Decor attractive . great service , deal staff check - in , check - out , fitness center . the pool phenomenal . be huge . holdover hotel 's day athletic club . room multiple tier seat table parent watch kid . much shallow end little kid . whirlpool . price great : $ 130 / night Wed - Thurs - Fri stay . not know long downtown Chicago rate stay cheap . probably economy improve . only two slight negative . ( 1 ) room ( two double bed ) small . two kid , sometimes juggle act get we move around . & quot ; new & quot ; tower hotel . ( 2 ) in - house restaurant expensive : $ 25 breakfast buffet . give number restaurant around , not big deal . great breakfast , check West Egg Cafe Ontario & amp ; Fairbanks , two block north two block east . also starbuck lobby coffee / snack . overall , would stay heartbeat . 
 Apr 9 2009 	 Terrible Service 	 stay business meeting November . stay fine actually need help return home recover couple blouse accidentally leave hang bathroom leave . not run mill t - shirt have blow stupidity , rather expensive blouse . invest hour call around hotel talk Security , Housekeeping , Front Desk get absolutely nowhere . want speak manager ? hah - good luck . operator 6 - Sigma train direct call anywhere manager not want bother mundane issue like customer service . could shirt possibly go ? clearly not walk hotel set aside someone . 's decent place , need special assistance anything , not likely get . 
 Apr 8 2009 	 great Stay - Great Service 	 great hotel short cab McCormick . staff extremely nice service prompt . clean comfortable decent price . believe one nicer stay Chicago . great restaurant walk distance ! breakfast buffet little pricey . bar come alive evening . very pleasant stay overall ! 
 Apr 5 2009 	 great location alittle snub front desk 	 can not say enough location . right across Nordstrom magnifcant mile . room alittle small nice decorate . really do not know place shower tub ; sooo much nicer separate shower big deal , stay room . the real complaint , want two double bed tell phone would get non smoking room two doub , check , girl rude place we smoking room , tell we & quot ; do not worry can not smell smoke & quot ; . that s insane comment think room that s use 24/7 people smoke , smoke embed drape mattress etc , try tell will not smell . well right walk elevator , reek smoke ! ! ! do not want move we next day could careless comfort .. ask additional room key look like ask moon move well view . great location , small nice room , front desk rude could careless costomer ... 
 Apr 3 2009 	 Affordable beautiful centrally locate chicago hotel 	 love hotel ! stay hotel Girls Weekend . clean , beautiful spacious room . hotel heart downtown Chicago walk distance everything want ( shop , eat , see play ) .The hotel restaurant excellent well . 
 Apr 3 2009 	 Great Hotel ! 	 can not say enough good thing hotel . decor beautiful , staff friendly helpful , restaurant outstanding . room stayed beautifully decorate bed extremely comfortable . make sure check pool , amazing . 
 Apr 1 2009 	 hotel illustrate good Chicago . 	 hotel great location Michigan Ave allow vistor go anywhere city ease . cab , bus river allow see museum , theater architechture minute . the room small size , due historic nature buliding . recommend walk around building see wonderful 1920's-30 's feature ball room . pool area miss architechture . fact many peolpe come pool deck take picture room fantastic . the Tower room offer great deal privacy handfull room upper floor . 
 Mar 30 2009 	 Perfect ! 	 service outstanding . room large ( king bed historic tower ) . even birthday surprise wait ! location perfect . ENO fun . bar cozy . check - in check - out breeze . starbuck premise . concierge help transportation dinner reservation . bell man store luggage we last day could shop 5 pm flight . nice romantic . complaint , not prepare tipping keep make sure small bill pocket . 
 Mar 29 2009 	 Best IC Hotel 	 stay IC hotel Rome , Vienna , Madrid , Paris , Helsinki , Amsterdam London . hotel fabulous room ( upgrade ) service . ic hotel close price luxury Vienna still quite good . business wife would love . window open outside . perfect location . 
 Mar 23 2009 	 Intercontinental Hotel Chicago .... 	 two - night stay exceptional . room perfectly clean , ask extra towel , room return shop . drink snack bar good , expensive ( , come expect Chicago ) . location perfect shopping dining . walking require ( 1 mile less ) welcome . look forward return . 
 Mar 23 2009 	 horrible - Bad Customer Service 	 horriblly rude ! add item bill checkout treat we like lie . review camera saw make mistake be not even offer apology . almost miss plane miss shuttle deal rude obnoxious . plus do not even think room service overcharge like hotel ' ve ever . regular omelette cheese $ 37.50 - yes , $ 37.50 . plus , amenity not even free . pay internet . pay gym pool . would never go back ever ! 
 Mar 17 2009 	 defintely stay 	 clean comfortable roomslocate center Michigan Mile shopping areaclose attractionsrestaurant , Bar Wine Chesse bar premiseUp date fitness room , lap pool sauna . on bad weather day not need leave hotel . have stay hotel area would recommend theInterconcontinental Chicago . 
 Mar 15 2009 	 Perfect get Chicago 	 location absolutely perfect , arguably good location Michigan Avenue . staff professional friendly . stay historic tower . nice room though floorplan kinda odd tad small . nice large bathroom though . we go hotel bar seperate wine bar . great hang cool vibe . expensive , guess expect . food bar typical bar grub decent except battered fish undercooked . complaint . overall , great time Chicago hotel lot . 
 Mar 13 2009 	 terrible hotel - bad service - worth - block elevator 	 hotel book behalf 2 night could not change . would left otherwise first night . friend book room lake view . get view building . room cost 299 usd worth 3 star . special amenity room make evening . service terrible . expect fax . could not give we ask front desk . promise deliver next minute . follow day , ask phone together wifi kit . hour later none deliver . go front desk none ready . not even feel embarrassed complain . follow day , flash red light phone say another fax arrive . know true expecting . front desk say nothing arrive . fax send next destination make sure would it . the day check , stuck elevator ( 22nd floor ) 10 minute , ring bell . seem ' business usual ' since someone mysteriously unblock elevator one seem worried alarm ring ten minute . 
 Mar 10 2009 	 romantic gem Michigan Avenue prepare walk well dining 	 could ask nice room , well service , well location $ 125 night . $ 8.00 cab ride Union Station , , way would highly recommend take train Chicago . parking price seem ridiculous & amp ; drive crazy ! stay Historic Tower King Room view Michigan Avenue . room luxurious & amp ; romantic . would nice cd player room . P.S . ladies- use complimentary lotion , smell bad , like old playdough something ! two minor complaint . not use pool area check out- nice large pool lap swimming . not see sauna whirlpool , either . every single staff member encounter extremely professional & amp ; courteous . 2 employee work right outside door loading & amp ; unload luggage , hail cab , & amp ; even escort door umbrella night return & amp ; rain ! 's service ! must try Passiontini bar entrance- $ 13 good drink weekend ! drinking expensive chicago- not think find cheap drinks- not & amp ; go lot different style bar . dining option limit large hotel . preview breakfast menu & amp ; charge $ 14 2 pancake ! nothing , 2 pancake ! find great diner right around corner unbelievable breakfast much well value ( Mary 's Cafe ) , pretty much every breakfast $ 10.95 , 4 different thing & amp ; super delicious ! go right hotel set stair take Michigan avenue- keep walk straight bottom step 2 block , right Mary 's . pass Reagle Beagle one nighttime stops- end favorite bar . low key , great food , great atmosphere , great 80 's decor & amp ; music . song make roll eyes- one make say & quot ; ' ve got put ipod ! ! & quot ; must try Brady Brunch Punch , $ 10 soooo good ! boneless buffulo tender one night fry & amp ; great . 2 place near hotel , nothing really stand out- ' ve get walk option . could not ever find popcorn shop everyone rave , looking discover Hubbard Street would great afternoon bar hop street . someone else tell Rush Street lot bar , . unfortunately find last morning : ( need late check & amp ; absolutely problem get , even free charge . amazing hotel , prepared walk nightlife & amp ; dining . 
 Mar 9 2009 	 excellent customer service 	 slight confusion room , hotel upgrade room . truly remarkable stay upgrade room exceed expectation . make every effort meet need . 
 Mar 6 2009 	 over - rate 	 excited see 4.5 - star hotel Hotwire $ 95 , disappointed hotel . barely 4 - star facility service . long line check - in , clerk loudly announce people 's room number check ( much discretion ) . room ( ask see one ) remind Times Square Sheraton : probably nice one point past prime poorly maintain , ' ve add photo unfortunately cell phone camera not clear . carpet wear stained place , baseboard bang , furniture dinge scuff , , bathroom wallpaper peel counter permanent stain . second room see also bizarre brown stain middle wall -- room suppose & quot ; improvement . & quot ; since stuck nonrefundable rate , decide make well get minibar drink get hotel bathroom -- eeeeew , stain ! grant small lipstick stain pretty icky think robe may launder guest . judge crown check - in hotel get heavy tourist traffic , wear tear really show . poster also note , lot , well choice Chicago , vendor would rate 4.5 - star beyond , even 4 - star would look elsewhere , 
 Feb 25 2009 	 4 star quality . would advise staying 	 recently stay 3 night book hotwire . 4 star hotel area say many well intercontinental cost little less . concerned quality regard room , review might important . first , valet go 53 buck day . apparently , run way Navy Pier get car wait little long usual . wait half hour . let get tot real disappointment : room . incredibly peeve walk room . tiny keep bump knee furniture move suitcase around . suitcase would even fit closet cramp make hassle get clothe . 2 star hotel room look nicer . little cat hair red velore like love seat , cheap , really stiff cushion . say room dirty certainly spotless either . quite hole sheet well . sleep impossible due loud heating system . call front desk immediately send someone look . sort giggled say nothing could suppose loud . believe . ' m sure get many complaint heating system . staff friendly , food pretty good , however , many hotel comparable price much well quality room , service , ambiance . 
 Feb 22 2009 	 Amazing 	 husband stay intercontinental second time Valentines day year . celebrate February birthday valentine day . upgrade executive suite let tell fabulous ! room two bathroom make get ready really convenient comfy couch outer room perfect relax watch T.V . actually want spend time hotel room . favorite part stay hotel staff . truly helpful really go way make sure stay enjoyable . bell man first help bag pleasant kind front desk staff , make feel like special guest . nice spend time place people greet smile kind word even answer question phone . definately back ! 
 Feb 20 2009 	 great location decent quality price 	 book package deal airfare hotel . pleased find hotel right heart Michigan Avenue . think decor update room like Starbucks attach lobby . also , check pool area ( even not swim ) cool architecture . great trip , enjoy staff , bar , room , etc . room service pretty good ! would recommend several reason good location . can not wait visit ! 
 Feb 17 2009 	 Great Chicago Hotel Experience @ Hotel Inter - continental 	 work alot ' m able get away vacation child much . work chicago area want alittle getaway weekend , choose intrercontental . need little break . great time .went swimming , pool beautiful . and everyone hotel accommodate . I return another stay . 
 Feb 15 2009 	 horrible hotel 	 avoid say other already say , not stay hotel unless be look super cheap hotel city . my fiance book room Valentine 's Day get away daily grind little know disappointed would . hotel staff mediocre , decor old hotel smell stale ! ceiling short , be even close 6 foot tall , be go bump head .... seriously ! gym small people bathroom think be go anything run treadmill , forget ! charge $ 12 workout not one weight lift , resistance ball room stretch .... simply horrbile ! top , wait 10 minute every time want use elevator slow . ice machine 7th floor , needless say , waste lot time get ice . overall , hotel pitiful ! fiance agree time would ' ve well spend home . live downtown already want spend night really nice hotel city shopping Michigan Ave . not location , hotel would not business ! not even worth $ 112 spend book Priceline . end , guess get pay .... 
 Feb 12 2009 	 Great Location Great Experience 	 Stayed InterContinental base recommendation co - worker . excellent choice ! 's great location right Michigan Avenue , room nice , staff extremely accomodating ! next trip Chicago , will definitely stay InterContinental . 
 Feb 10 2009 	 girl Weekend Intercontinental 	 book one night stay Intercontinental Saturday night girl could night downtown Chicago . intercontinental fabulous location . walk distance quick cab ride anything downtown area . book room cousin directly hotel . give promotional package time booking include room upgrade historical tower $ 50 food / beverage credit use hotel restaurant / bar . arrive hotel , tell room available historic tower 2 double bed , even though guarantee ahead time reservation . disappoint nice hotel thing like happen . offer we room king bed historic tower , decide take room 2 double bed main tower . room nice , small . bathroom nice , narrow doorway get bathroom , think little odd . use food credit breakfast buffet morning . buffet excellent , although quite pricey . buffet $ 24.95 per person , upside overlook Michigan Avenue . would recommend splurge breakfast - nice relaxing way spend morning . , would recommend hotel night 2 time , go spend lot time room , would recommend look elsewhere since quite small room . work downtown Chicago job demand know in out hotels downtown area . ' ve never intercontinental stay , book hotel 's location also check work . 's nice hotel , many nice hotel downtown Chicago , one special other . able get good deal hotel ( $ 200 night ) , would recommend . 
 Feb 7 2009 	 great location unique wine bar can not wait go back . 	 Shame pool close , offer use pool another hotel across road . can not fault location , central everything . especially enjoy wine & amp ; cheese bar downstairs , visit drink head - excellent staff there . we offer free tour old building never get around , save next time ! 
 Feb 2 2009 	 whoever design instal plumbing shot 	 whoever design and/or instal plumbing shot . 37th floor shower unusable . little water pressure shower stream could not hit opposite wall shower . moreover , temperature could not adjust . 30 second , gave take bath . not happy slowness flow bathroom sink faucet , plus sink not drain properly . manage use shower , light shower burn . bathroom scale not work . internet service slow $ 12.95 day . maid fail refill supply coffee cream / sugar call downstairs . decor room nice bed comfortable . front desk personnel friendly bellman helpful . 
 Jan 26 2009 	 pleasantly Surprised InterContinental 	 husband decide use Hotwire book one night stay downtown Chicago celebrate anniversary . choose $ 110 / nightly 4.5 star rating Hotwire tell we would stay InterContinenal must admit little bummed hope small , boutique style hotel . arrive Saturday afternoon lobby bustle energy many people float bar . make way front desk nicely greet front desk attendant extremely friendly . carry bottle wine bring we notice , jokingly comment , & quot ; oh nice bring we ! & quot ; ask special occasion tell celebrate anniversary . click keyboard later tell we apply several upgrade reservation . uncommon give use 3rd party source book stay . room , suite really , Historic Tower 34th floor . large bathroom tub set underneath large window awesome view city separate glass enclose shower . bedroom spacious king bed , desk , couch , entertainment center . also two large window bedroom . overall impressed room , give pay $ 110 . husband really like bed ( firm ) find bit lumpy uncomfortable . tub beneath window nice regular size large enough really lie relax . maid service quick bring extra towel need button system door let know disturb . decorative style room bit date , cheesy old looking . Sunday check assist front desk manager , , extremely friendly courteous . grab Starbucks ( nicely locate within lobby area ) take bag bell stand . bell staff ( working desk ) far least helpful / most rude staff hotel . not smile seem pretty annoyed wanted store bag hour walk around downtown . real problem retrieve car valet ( ridiculously price $ 50 ) . wait 30 minute finally go back valet desk pay get car . woman forget give one runner key car never send . fortunately not hurry go get car immediately apologize , take responsibility , take husband refund $ 50 fee . thrilled response professionalism . Overall InterContinental nice place stay city . would pay stay , nah , many great place great price . 
 Jan 25 2009 	 Intercontinental Chicago -- * World Class ! 	 Intercontinental Chicago World Class -- amazingly low rate ! begin ( check Agnieszka Szumal -- polite , professional , & amp ; personal ) walk fabulous room ( wife & amp ; son ) enjoy incredible pool & amp ; gym ( mention restaurant / bar ) shop Magnificent Mile ( & amp ; take advantage huge sale ) , time hotel simply fabulous ( & amp ; travel around world , lot compare ! ) . next time windy city , big favour ... & amp ; check Intercontinental Chicago ! 
 Jan 15 2009 	 really happy birthday wife 	 everything spacious , clean , well - furnish junior suite overlook Magnificent Mile impeccable service every turn make hugely satisfy experience . front desk staff compose competent young woman reflect well - train well - suit job . special hat Agnieska honor request room change ( well view ) without flinch . turn - down service evening allow we return bedroom bathroom impeccably refresh . location Intercontinental walk upscale shop north Art Museum theatre district south easily doable make take cab unnecessary . rarely comprehensively positive hotel experience . Bert HudnallCharleston , SC 
 Jan 13 2009 	 will love Intercontinental 	 return three day business meeting Chicago 's Intercontinental could not nicer . staff go overboard accomodate guest . room clean , well furnished , spacious well appoint . room service quick food great . located heart Chicago 's Magnificent Mile ... shop dining possibility galore . ms . J.B. Hancock 
