Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 Apr 5 2009 	 real gem could fault ! 	 get back stay fantastic hotel celebrate 10th wedding anniversary . book double Deluxe room via Expedia check hotel leave luggage prior book email . inform book Deluxe room . panic ! however Rashida finish email say would upgrade . Phewwww ! email say room reserve slightly small normal Deluxe Plus , notice , , especially room ( 203 ) look directly onto Trafalgar Square , view . room everything , cd player , dvd player , flat screen tv more . the bathroom great even though expect walk shower . staff incredible really helpful ( many thank extra , unexpected appreciated ) bed comfortable massive . breakfast amazing , even guitar playing singer , first . stay recommend hotel , without doubt would follow reason : location - central fantastic view . food- breakfast really well present great choice . room 203 - amazing view , great faciltie , comfortable . Staff- really could not enough special thank Rashida . cost- do not come equation due above . many thank remarkable stay one remember . 
 Apr 1 2009 	 Fabulous bed 	 , tell headline 2 big thing look travel . last -- nice linen , also include . I travel quite bit point burn Hilton property . choose one b / c notice manager read review every reply back . think quite smart , also mean s / he touch w/ guest really think . the room modern , build old . walk , kind feel like W hotel , ' ve ever one . night , turn nightclub , friend like , check door show key . walk thru people dress cocktail , friend hate . not mind much . the window double glazed hear anything street . fabulous . G20 demonstration go could not hear -- 's good soundproofing . 2 sleepless night Arran House , hotel heaven . also , staff accomodate , receive welcome email 2 day prior arrival confirm need early check , get ( 10 ! ! ! ) . also extend check graciously -- nice asian girl front desk perfect manner courteous . note - hairdryer drawer desk room , locate bathroom . could not find til next day . also , run late airplane fly towards hotel front door stop security ask show key . annoying since run late , however , retrospect , think 's good type security . although might want practice ask bit soft way ... annoyance pay 3 pounds/15 min internet . Hilton real ? free internet pretty standard country , guess city London one . think provide service free guest -- briefly check email anyway . I would definitely stay . 
 Mar 27 2009 	 pleasant experience 	 Trafalgar special place . fact time review compose hotel rank numerically 80 's 1100 London hotel speak . specifically , wife 's trip 6 evening March : note many review , hotel FANTASTIC location corner Trafalgar square , make easy walk many theater , museum , gallery , Leister Square , Picadilly Circus , etc . , etc . yes , reception area may bit small staff exceptional attempt please . every request meet quick , efficient friendly response . room , paratial view Trafalgar Square , spic span clean -- important traveller , especially wife . ! hotel pretend Ritz not expect . nothing fancy , quite comfortable . hotel actually evening lounge certain evening d.j . spin tune cater lively ( yell loud intensity ) pleasant crowd . actually relax enjoy theater wish . return theater evening would often find snack lay reception area guest hotel . sense concert effort management please patron , eye , property successful . phony snobishness exist place ! ' m trying find something negative say place , seem find fault . summer actually rooftop location view city , table chair larage umbrella along service drink . find good rate Hilton go . 
 Mar 16 2009 	 great location ok service pricey 	 stay Trafalgar Hilton two week business trip London . overall ok experience , could - do - well service high price compare option region . room ok , one stay small window open , ' partial view Trafalgar ' see : ( bed ok , usually Hilton high comfort standard . Reception badly locate / organize , somewhat messy 3 people check - in / check - out . hhonor diamond status hardly recognize ( welcome amenity , welcome letter , ... ) , unless really insist hardly they . fitness small equipment modern . location definitely good part hotel : right Trafalgar sq , within walk distance business company , palace , big ben , theater , etc . I would stay corporate expense great deal find . 
 Mar 16 2009 	 excellent staff lovely room perfect location ! 	 husband often come London least year stay many good central London hotel . trip , celebrate 25th wedding Anniversary , first stay Trafalgar LOVED ! ! something special hotel rarely find similar London hotel . mainly lovely staff ( especially reception ) .We arrive mid afternoon Friday book standard room Tesco clubcard deal . staff reception congratulate we wedding anniversary efficient pleasant check - in . go room 6th floor find room lovely spacious lot ' extra ' not usually get standard room similar hotel . dimmer switch light , separate ajustable reading light , large flatscreen tv , cd dvd player , bathrobe / slipper large ajustable mirror light spacious modern bathroom feature usually find standard room . however , overly impressed view ( courtyard full office block ) husband pop reception say think room lovely disappointed view ask , anniversary , room nice view . man reception ( Alexander think ) extremely appologetic . say want upgrade we check , unfortunately available room , face front hotel , time . after 30 min call reception ( lisa ? ? ) tell we extremely sorry view would like offer we upgrade room next day . ( stay 2 night late check - out book Sunday ) cheer we , time ask ' upgrade ' lovely offer one . as get ready go evening knock door staff member bring complimentary bottle champagne ice delicious treat consist 2 glass fresh fruit chocolate caramel drizzle scrumptious handmade chocolate ! next morning reception say packed bag , would move new room out . when get back give key new room upgrade room ( even spacious bath walk - in shower much well view ! ) every time walk hotel warmly greet reception staff , nice touch . breakfast excellent . wide variety continental buffet item smoke salmon , many cheese meat freshly bake bread plus fresh fruit . also usual delicious hot breakfast fayre . slight disappointment not muesli cereal section , despite masse choice nut , seed dry fruit would normally add muesli . all will not try London hotel find perfect one stay . staff extremely friendly helpful , room delightful location could not beat ! near tube station less minute hotel entrance Westend destination ( eg Leicester Sq . , Piccadilly Circus , major theatre , Covent Garden etc . within ten fifteen minute walk . National Gallery practically next door ! ! two small grumble , rooftop bar close Easter . bring binocular look forward spend time rooftop observe London 's sight . also would like information folder room ( general hotel info , restaurant opening time , thing London , useful phone number etc . etc . ) say , definitely return Trafalgar would thoroughly recommend ! ! 
 Mar 3 2009 	 good great 	 ' m sure one Trafalgar get good write up Trip Advisor . experience first stay left bit let . location good business meeting , hotel well present . however , arriving not greet diamond member , & quot ; welcome back & quot ; anything like , bit cheesy suppose part script recognise Hilton 's frequent guest loyalty . towards end check procedure front desk clerk tell upgrade , would nice , ' m always grateful know 's space available - except book double deluxe room upgrade ....... twin deluxe ! disagree upgrade clerk dispute original reservation deluxe double . room end fine although low floor view Texan embassy sure upgrade . ask diamond amenity ( hotel executive lounge ) tell bottle water breakfast - room rate already include breakfast . either drink voucher bottle wine room property , poster indicate provide wine / fruit . discussion , agree send wine room ( not turn ) . however , dinner comp glass wine , nice chocolate turn bit later part turndown service . feel like push publish HHonors diamond benefit , unlike experience poster - not DYKWIA - happen automatically . the Upper Rockwell Bar close function mean cocktail , view window either - plan bit relaxation . the time recognise diamond breakfast follow day - al carte menu hand ( not appear & quot ; hot buffet & quot ; week ) - query tell could continental breakfast get free ! may remember B & amp ; b rate . , , great . high expectation ? yes , little touch important build loyalty Hilton . plus point , nice toiletry good bathroom , two pleasant helpful staff ( seven encounter - remainder take professionalism aloof end spectrum ) - anywhere near service standard ' ve Tower Bridge Canary Wharf last two week . disappoint - post 12 day send feedback hotel - response - seem well chance reply post ! would recommend city break due excellent location ( pricey ) well hotel business traveller . 
 Mar 2 2009 	 excellent little money 	 usually think London hotel think really expensive rate . I get Hilton extremely good rate room 90 € breakfast include . the hotel conveniently locate Regent Street . trendy hotel . room clean big London standard . great breakfast , fresh juice bake bread ; breakfast serve singer singe ols music unplugged guitar . the hotel steal definitely recomend especially strategical location heart shopping area . 
 Feb 26 2009 	 great location modern hotel 	 stay week+ Hilton business trip leave generally good impression . will quickly go high / low ... positive : Room - be ' upgrade ' due length stay find room clean , comfortable . nice view Trafalgar Square right outside window . bed decent although would prefer well pillow . internet work fine . Bathroom modern , prefer functionality . robe nice have . location - I not mind walk find location close sight , nightlife / restaurant . gym - good equipment , never busy . would ` nice pool least hottublounge - quite funky busy night , although see staff belownegative : Minbar - not cold , take 5 day get restock , although never call frontdesk meeting trip , not wherewithal call . learn drink tapwaterstaff - never find anyone overly friendly whether front - desk bar ( attitude ) , although girl front desk good checkout . all , would return . 
 Feb 25 2009 	 Good Value Hotel little niggle 	 Girlfriend book hotel buy ticket wicked birthday , pick Trafalgar Square central everything , initial impression good , hotel easy find , sure bright pink flower pot outside , make easy see guess . reception strange since not sure reception internet point , 4 computer square desk , take member staff ask could help realise reception . staff however polite helpful . the room good size , large TFT screen double size walk shower , shower head not great hey , get alot use ! room quite bare could do picture wall , appart happy room . at 9:30 sunday morning fire alarm go , make girlfriend jump 4 foot bed quite funny . bit worried fire alarm procedure , staff outside advise go , check everyone , prove go back pass people obviously ignore alarm , go reception check ! bit worrying ! resolve one thing , smell bur not toast reception kinda explain alarm ! breakfast excellent , plenty choice fruit , continental , buffet style english breakfast , good quality food . tea , coffee fruit juice also available decent sized glase silly small thing normally get . breakfast include price ( £ 120 per room per night ) overall pleased hotel , yeah little niggle , nothing would stop stay ! 
 Feb 19 2009 	 good twenty - nine year . 	 title say it . I stay hotel business since 1980 .. world . London call home hotel experience always somewhat disappointing . small room noisy environment , second class service norm . I arrive Trafalgar last week . book Amex Hilton Honors surprise , taxi pull , see Hilton signage . honest , think wrong place . polite young doorman answer query smile .. & quot ; be unbranded & quot ; say . inside , reception open - plan area delightfuly pleasant receptionist take detail . mention surprise lack brand . smile said & quot ; 's way , enjoy stay - let know need anything & quot ; . room back hotel due error Amex amazingly large airy normal London standard . five minute later , knock door friendly waiter deliver complimentary bottle wine fruit . evening , London business dining road iod . also leave early follow morning able sample restaurant certainly look good walk past . just walk front door one famous area London amazing amongst genuinely friendly attentive staff real bonus . I impress hotel take family weekend break hotel major part treat . Believe , time sample restaurant everything else offer . lovely touch already management email say wait welcome back . I idea brand Hilton honest , not care . hotel offer apartment , would pay king ransom London home . well do management staff . whatever happen , not let anyone change ... be perfect ! 
 Feb 8 2009 	 amazing hotel great location 	 always try stay Trafalgar whenever travel London . fall love hotel first stay three year ago . think big asset property amazing staff - evryone welcome accomodate willing make stay enjoyable . checkin , bar , restaurant - make feel welcome everywhere . usually book Deluxe plus room view Trafalgar Square ( really nice ! ) , room spacious , always clean comfortable . HHonors Diamond member , upon arrival always find personal welcome letter bottle wine fruit drink coupon room ... hhonor perk generous property compare London Hilton hotel ( however , hhonor member note lounge ) . minor complaint upgrade , Hilton hotel usually upgrade . bar restaurant great ( good cocktail ! ) . nice staff remember always give personal welcome . roof restaurant missed open . breakfast selection good ( service ) . location great . everything right sight within walking distance . look need nice hotel great location ! 
 Feb 7 2009 	 Great Location Value - Best overall London 	 stay Trafalgar 5 night business trip London . fourth time stay hotel . room spacious recently renovate . property overlooks Trafalgar Square somethinig go time . weekend day long series rock concert square . hotel great full english breakfast low level musician play soft music throughout breakfast . offer buffet kitchen make breakfast dish - high quality . hotel good location London - walk distance theater , Picadilly Circus , Soho , Regent Street shopping tube stop 50 yard entrance one choose walk . concierge knowledgeable helpful theater restaurant information . staff train friendly helpful ; say hello every time pass lobby . main level operate bar quite crowd Friday Saturday nite bit unusual , fun . good appetizer menu great drink selection . overall great value good location London . one would think Hilton build hundred year old character , fully redo inside contemporary look . highly recommend hotel either business family travel - one trip family connect room kids wife love hotel . 
 Feb 5 2009 	 fantastic except one point 	 hotel excellent location , easy get around London . 2 minute walk Charring Cross tube station & amp ; 5 minute embankment . the room modern large good amenity ( iron & amp ; iron board , tea & amp ; coffee , mini bar , safe , decent hair dryer etc ) - downside hot . staff friendly & amp ; helpful . my complaint & amp ; something want make other aware many hotel , check take £ 100 card guarentee room extras / mini bar etc ( would imagine per night ) . whilst completely understand do , annoy despite spend anything hotel , £ 100 still refunded ( 4 day check ! ) . could even annoying end month money leave ! aware this . on whole though , love hotel definitely return . 
 Feb 3 2009 	 fantastic weekend 	 Trafalgar excellent hotel . location brilliant , staff really friendly helpful . would definately stay . 
 Jan 27 2009 	 Trafalgar Great ! 	 family go London Christmas stay Trafalgar . definitely great choice since centre London activity ! location perfect since 's walk distance prominent sight . the service really good , helpful- bar restaurant staff especially really friendly . room clean , modern spacious . 
 Jan 26 2009 	 lovely hotel excellent location ! 	 really nice hotel , excellent location . room really spacious . nice little touch like well normal toiletry , bath robe , slipper . staff reception friendly . overall excellent , modern hotel . 
 Jan 22 2009 	 nice ! 	 book hotel treat birthday not hassle night bus travel night Leicester Square friend . get great deal lastminute.com , room kingsize bed £ 98 . room great , quite bit spacious expecting , fab flat screen tv , cd stereo system dvd player , take advantage ! bed amazingly comfortable little amenity bathroom great . negative think tap bath bit loose , could not take anything minibar put stuff would charge . apart minor thing , love hotel would definately stay could get cheap rate . I can not comment public area like bar restuarant not use . 
 Jan 19 2009 	 outstanding 	 always go London wedding anniversary , look comtempory style hotel , consequently would usually book Hilton occasion . trafalgar like Hilton way look brand Hilton - which attraction we . hotel good position easy enough find secure public parking right behind . able unload bag side street outside meet member staff take luggage check . early problem , call house keeping find room ready , park car wife help room bag . studio room exactly want comtempory furnish minimal separate lounge area huge flat screen T.V , DVD , bose sound system , sofa , dining table even second W.C . bathroom big , clean modern . bedroom good size everything could need . bed comfortable lounge view London Eye big Ben bedroom Trafalgar square . cocktail bar see show buffet Breakfast accompany live acoustic guitar- perfect ! stay top Hip hotel London never return one twice anniversary . however definitely return Trafalgar right mix everything we , central position comtempory modern- , probably Hilton , right mix people- young vital type combine mature resident ensure fantastic mix feel totally comfortable . well do Trafalgar . 
 Jan 16 2009 	 great start trip 	 fiance make reservation Hilton Hotels website . arrive couple day check super easy everyone polite helpful map information . use room service decent selection arrive quickly great . I speak Rashida previously gift waiting ( cordinate several e - mail prompt friendly ) gave promise , greeting . arrive couple day later luggage promptly bring greet entrance . we view overlook square gorgeous . centrally locate great time wander time , subway access right across street . staff always friendly curteous withoout intrusive . accomodation not extravagant , room bathroom large plenty room comfortable . we hope go back visit . 
 Jan 15 2009 	 Service weak try hard good location 	 use Hilton Honors point think way american stay London pound remain ridiculous exchange rate use hotel point highway robbery . anyone use hotel point US surely waste they . the service staff completely disintereste , bellman stand door watching open go inside . front desk staff also relatively unaccommodate . stay London hotel recently gut tell comment another reviewer regard fact well option elsewhere ring true I . the room also unusual view , bi - level good view television bed awkward layout furniture ever see . place attempt modern backwards awkward english style . we want English Tea somewhere concierge completely unhelpful finding place offer assistance secure place tell we another Hilton town offer . neglect say know place book day advance make special trip avail . complain management never get response end able tea seem English live London hospitality long since disappear colony . 
 Jan 6 2009 	 give miss ! bad plenty well around ! 	 hotel great location , general facility great . the room ok , small fairly comfy . clean good bathroom . the internet charge expensive , do not use this . the front desk good receive & quot ; peliminary & quot ; bill checkout contain charge minibar have not use . call front desk query say bill would amend card would charge . it charge £ 68 ! call ask , never call back . call guy say would check minibar list refund card . yet happen . Overall 's good money cost . go stay somewhere else although location good , be worth money . 
 Jan 2 2009 	 great stay great staff perfect location 	 Perfect everyway . room great , staff friendly helpful breakfast awesome . would stay heartbeat . 
 Dec 5 2008 	 London way 's mean experienced 	 ' ve stay Trafalgar 4 time past year . ' m always thrilled location right Trafalgar Square make walk distance sight , theatre nighlife West End step away tube . familiar W Hotel chain , property offer combination style , smartly dress guest generally flashy / yuppy environment . room appointment good London standard . room comfortable somewhat spartan comfortable . definite must - see rooftop terrace . be fortunate enough London warm month , 's wonderful vantage point take city . the breakfast offer low level excellent commensurately price . recommend stop least decide forgo sloppy english breakfast favour something bit North American . 
 Dec 3 2008 	 great Stay 	 wife , daughter stay Trafalgar Thanksgiving week . people complain able find hotel - right square , across street Canada House . look clock doorway . other could find reception area , ; know , lobby realtively small someone corner door direct leave funky reception . we arrive overnight flight 9:00am - room ready - check we upgrade we large room king bed . take care luggage go quick tour . upon return 12:30 give room key show room . luggage already bring - great . the room London spacious . minimalist - picture wall - big deal . clean well stock towel etc . bed - could well horrible - roll away bed daughter adequate . be Hilton Diamond , give three us breakfast morning low level . english breakfast adequate excellent variety bread , chee , smoke fish , fresh fruit on.the location imagine excellent . easy walk many sight block Underground . take Underground hotel . need make change piccadily either Bakerloo Northern Line . recommend Bakerloo transfer piccadily deal few step luggage . ; take fast express train airport - expensive take Paddington - frankly pain butt get Trafalgar - might well save money take underground . other recommendation - purchase London Pass - good value go atl east 6 site Travel Pass . know get moeny worth three day pass - one less money thing worry well . bottom line - nice hotel , nice staff , clean room good experience ! ! 
 Dec 3 2008 	 birthday treat 	 stay start quite bad , journy not great room think book online available ! enter Rashida , pleasant girl big smile . well Rashida quickly sort room ( great ) arrange birthday girl , ( wife aunty ) lovely bottle Champagne send room . weekend go splendidly agree visit London another show ( birthday ) book Trafalger hope wil greate Rashida believe indeed lok we again . Dean , Shropshire 
 Nov 28 2008 	 wicked time London 	 make book Hempel hotel London cancel base review look new botique style hotel girlfriend stay weekend London . Trafalgar Hilton hotel come back google search site . read review go ahead book . glad . one well hotel experience while . now , say hotel may suit everybody . 30yr old man take girlfriend away great weekend top notch . upon arrival come bar downstairs , lively suit Friday evening nice buzz place . go check upgrade immediately deluxe room ( nice ) . time weekend staff ( desk room service ) top notch . fault friendliness attention detail sense duty look guest hotel . room lovely ( bit minimal taste ) plenty movie etc well stock , bathroom great . room service spot , slow one time order steak sandwich call kitchen already let know would 15min arrive . BEST BLOODY MARYS get well ! ! mean tasted believe . breakfast buffet lovely , staff downstairs great . would stay next time back London . 
 Nov 27 2008 	 Great Location 	 will start positive - the location amazing ! able come back hotel anytime want able walk every sight , road , tube , 5 - 10 minute . National Gallery literally step away double decker bus tour meeting point across street . wonderful stay not LOVE hotel . room bathroom big bed comfortable . staff overly friendly drink expensive . use point get hotel would pay full price would disappoint . since use point thrill great time ! 
 Nov 14 2008 	 Trafalgar - Hilton ? 	 Trafalgar describe ' Unbranded ' Hilton ..... ? really good hotel kind way - thing ' Hilton ' standard service . De - Luxe plus room promise view Trafalgar Square , well reach neck crane side - get glimpse . room also de - luxe plus ..... be nice , be big central London be stark minimalist . please take brand hotel familiar Hilton fashion show we real luxury de - luxe plus room ( see Glasgow Hilton example ) . location wonderful , really superb , staff & amp ; service also wonderful . restaurant ok breakfast morning bit gloomy 's basement natural light - & amp ; lose live music breakfast pipe - spend money room ! really like Trafalgar not love - usually LOVE Hilton hotel ....... 
 Nov 5 2008 	 pleasantly surprised 	 stay 4 night Trafalgar Hilton somewhat wary due review turn like hotel . the reception area easy find leave go in . we find staff friendly helpful even though probably old guest . the bar one side separate walkway lift not come contact nightclubber . the room nice clean good quality furniture , would not class minimalist austere . the bathroom well appoint good quality towel toiletry . the position Hotel good get use walk across multiple traffic light get want go . a Tesco Metro near handy big one available bit Strand . all would happy return Trafalgar . 
 Oct 29 2008 	 Excellent Property 	 wife stay Hilton reward point throughlly enjoy stay . room comfortable spacious , service excellent - hotel staff bring we complimentary fruit bottle wine .. night something wait we . this hotel extremely well locate easily make way foot many london landmark include Buckingham Palace , Big Ben ( British Parliament ) , Westminster Abbey . also short walk Charing Cross Subway station give convienient access London . would definately stay hotel ! 
 Oct 18 2008 	 great hotel 	 get hotel quite cheap lastminute 's secret hotel . pro : fantastic location , comfy bed , great view rooftop bar lovely staff . con : dvd library hardly dvd ! 's think . 
 Oct 13 2008 	 Modern Rooms Great Location Miserable bed 	 positive : great location Trafalgar Square . Quick walk Parliament , Eye , SoHo , Piccadilly . two good art museum London doorstep . nice sized room ample bathroom . Plasma tv.hip happen bar lobby roof deck good weather . the negative : bed horrendous . thin mattress spring platform . linen poor quality . would wash car towel . no build closet - instead , dormitory style armoire - drawer 7 hanger per closet.15 pound per day internetroom service & quot ; service , & quot ; & quot ; tray , & quot ; & quot ; delivery & quot ; fee . if want great location large room hip hotel , good moderately price choice . light sleeper weigh 150 lbs , think twice . 
 Oct 3 2008 	 great hotel great location 	 long series stay Hiltons America job take road time . wife 's suggestion , cash sizable portion HHonor & amp ; Continental point dream vacation London . destination , Trafalgar . arrive none issue find hotel other . be right Trafalgar Square across street Canada House . problemowhen arriverd , hotel staff certainly cut norm . question resolve issue not arise cut could even become issue . room pleasent enough . 4th floor view Nelson 's Column . outside noise speak - even face busy square weekne . bathroom bite confuse first - 6 knob tub : ) figure delightful . three staff member deserve special mention:1 . Tom Howard - concierge extraordinaire . part trip planning see specific painting Vermeer . problem , paint own Majesty , Queen always display gallery . Google web help track canvas . Mr Howard precisely pin location help make trip success . 2 . danny , reception desk . Danny consistently anticipate need - map direction scheduling taxi return Heathrow . service cut ' ve grown enjoy Hilton . 3 . Craig , Breakfast Waiter . table service table service . Craig , one night , know name , meal preference , drink order , even often need glass refill . travel , ' ve yet find server quick make wife fall home . truly credit Trafalgar help we start day excellent note . plenty deluxe touch wonderful bar rot guitarist breakfast make stay delight . summary , Trafalgar , addition perfectly locate heart London , provide level service beyond norm . 
 Sep 23 2008 	 pleasant stay 	 hotel conveniently situate ; wonderful step outside instantly Trafalgar Square , perfect Autumn day 9 am tourist get . walkable distance many central London location , . find staff extremely helpful friendly . lobby trendy stylish , like it . although food breakfast buffet top notch , care decor breakfast room . dimly - light , black chair , guitarist ! feel Monty Python cheese shop sketch - want stand say ' stop bloody bouzouki play ! ' . breakfast , require light airy space , newspaper quiet , ' m sure ' m alone this . the room fine - white bedclothe , many electrical point , upmarket toiletry . despite fact central London , traffic noise , window apparently triple - glaze . Wardrobes irritatingly locate inside room door outside bathroom , make impossible one person go past whilst look wardrobe . way , think 's funny people complain able see hotel sign ; address hotel , word TRAFALGAR outside , revolving door people walk suitcase kind giveaway . perhaps can not find hotel yet ready rigour international travel ! 
 Sep 10 2008 	 GREAT LOCATION - good value london 	 Hilton hotel room typical Hilton standard . hotel give Hilton Honours credit ; otherwise good value hotel London .The location really great , walk distance many , many central London sight . stay three night . take package include dinner first night daily breakfast include GBP 138 / night include taxis . roof bar worth visit , note drink expensive . avoid room 610 612 close entrance Roof Bar noisy people go toilet . Lobby also , noisy bar avoid room low three floor . 
 Sep 6 2008 	 Location Location Location 	 Excellent hotel aspect especially location . hotel within wlake distance much major attraction London . attraction away easilt reach tube bus right outside entrance hotel . room nice view Trafalgar Square also . 
 Aug 25 2008 	 Perfect location friendly staff chic 	 curious hotel read several divergent review . 's real scoop see . hotel perfectly locate , central everything . hotel typical Hilton ( ' m Gold member ) , much like boutique type hotel . find quite refreshing . lobby really not typical lobby many say . 's large lounge nice jazz cool vibe time except perhaps early . come one door , walk directly check - in desk , counter desk . seem bother not seem odd . come door , meet concierge direct side check desk locate . say , typical perfectly fine . the room nice , minimalistic , cool , beautiul tile marble bathroomn wonderful . complaint whatsover . skip minimbar though go break $ 8 coke . find staff courteous nice . bartender great , manager true pleasure . check rooftop bar great place drink . finally , let say Michael Phelps stay hotel time , arrive Beijing olympic handover London . not good endoresement particular hotel , not know . enjoy ! 
 Aug 25 2008 	 win formula great weekend ! 	 say stay Trafalgar Hilton , apart absolutely amazing romantic weekend . hotel offer fabulous location convenience Londons attraction . staff extremely polite helpful anytime ask assistance direction , call taxi contact restuarant . find whole Trafalgar setup chic , stylish boutique presentation pretentious . the trafalgar part Hilton hotel group , glad do not fall line big brand Hilton hotels partner & amp ; stay , personally think sometimes focus much big brand name therefore lack character atmosphere , something girlfriend personally think Trafalgar , due different norm . I see alot people maybe ' concerned ' due lack exterior Hilton sign etc . however build display sign say & quot ; Trafalagar & quot ; main front door lead straight conceirge desk , check - in reception 10 m away ( leave bar ) .The room Trafalgar always spotlessly clean well maintain , everything change daily far could tell . find room extremely comfortable modern contemporary feel inline rest decor hotel , see hotel picture actually get . nice little touch cream lotion leave pillow night , bed turn etc . the Trafalgar bar , Rockwell , nice seem endless selection drink choose , try Vanilla Mojito . evening reviewer comment , bar become lively , attract young professional crowd dj playing , Friday Saturday night , do not transform bustle nightclub , pre go bar anything . all would definitely go back stay Trafalgar make romantic getaway even well ! thank hotel staff , job well do . 
 Aug 14 2008 	 Disappointed HH Diamond member 	 holiday family stay 3 night Trafalgar Hilton . hotel would well serve change name & quot ; W & quot ; hotel . minimalist boutique hotel sparse decor room little semblance Hilton hotel ; cold sterile good description . reserve 2 room , twin bed one room would well describe " cot " extremely small . HHonors Diamond member give complimentary room upgrade free continental breakfast . later offer negotiate breakfast option forfeit room upgrade . hotel finally oblige offer we amenity room upgrade breakfast . year diamond member situation ridiculous . another gimmick find interesting hotel add gratuity beverage restaurant bill fact without inform action . sure appropriate tipping standard UK , add tip bill . upon check realize server receive double tip . candidly , hotel ideally situate . point reference next stop Arc de Triomphe Paris Hilton … …… .. outstanding hotel manager Trafalgar Hilton pay visit . 
 Aug 10 2008 	 Great Location 	 book 4 room Trafalgar Hilton one night stay prior cruise . little difficult find , realize circle block corner discreet sign say Trafalgar , big Hilton sign . walk lobby & amp ; bar & amp ; small desk check although take minute realize indeed check desk . staff helpful & amp ; check breeze . room well appoint , bed comfortable , nice bathroom . decor modern , contemporary . find enjoy change home & amp ; hotel usually stay . , not find & quot ; souless & quot ; be fond type decor may want stay long . good part hotel LOCATION . walk theatre see Jersey Boys . would stay simply location & amp ; access . 
 Aug 10 2008 	 trendy different good location 	 good stay trendy hotel . 's standard Hilton therefore different sensational . standard plus room , wich spacious calm view location nearby office building . room well equip DVD , cd - player , flatscreen , coffee / tea make facility , bathroom slipper , Temple Spa bathroom amenity . bar nice dj serve signature cocktail , well restaurant basement serve good food ok price . breakfast ok nothing special- could use little bit innovation focus improvement . breakfast Waldorf Hilton much well . 's luxury good trendy first class choice . location convient good Trafalgar Square , foot step China Town , Big Ben , Downing Street , Bond Street , Buckingham Palace - name . unfortunately service limping overall , seem staff well train service skill . order ice room service not recivie , breakfast waitress miss serve we coffee orange juice well front desk staff insignificant . 
 Jul 30 2008 	 large room London 	 Moved spend first couple day awful Sheraton Park Lane . talk go outhouse Penthouse . whereas Park Lane punish book priceline give dreadful , shabby room , Trafalgar give beautiful enormous room - the large ' ve ever London . okay contemporary decor , ' ve find London contemporary decor usually mean room 's redone since Tories last power . unlike reviewer find service fine . yes , modern , W Hotel variety , typical front desk . maybe arrive right time , staff could not lovelier . meanwhile location PERFECT . trafalgar outside door , everything literally minute away . 
 Jul 28 2008 	 Modern ... 	 enter hotel lobby get confuse . least . really hotel ? look like bar . especially arrive evening sound level really high visible reception desk . anyway reception staff friendly . hotelroom like ordinary hotelroom , modern . however spacious , furniture . would like two armchair doubleroom , especially room large . the breakfast ok , anything special . the location course perfect , overall hotell soulless . in view worth money stay . load exit hotel London . 
 Jul 23 2008 	 staying 	 husband Hilton honour member pick hotel stay family trip London . people comment hotel poor signage taxi driver would hard find . room minimalistic plain , look like someone forget put art wall . useful aware room back hotel back onto office block close could see computer screen saver . make room quite dark . main problem hotel : -- maid come son ' room 11.00pm turn service . quite frightened already go bed . on another evening turn service 5pm.-one night find housekeeping run duvet cover decide put duvet 2 sheet move soon get bed .-in breakfast last day bread product run tell would try replace come early look lovely . also issue teapot lid , run . positive side hotel ideal location overall stay well Hilton hotel less pretentious welcoming . 
 Jul 19 2008 	 Great Service @ Trafalgar 	 stay Trafalgar Hilton wonderful . spend 3 night perfect location short stay art museum great shopping dining step away , well Covent Garden , theatre , great night life . room overlook Canadian Embassy street view source entertainment people watch late one night . room upgrade husband Hilton Diamond member surpass even expectation . huge bathroom glass shower spectacular — love bathroom ! room also huge step sit area . everything decorate trendy modern style appeal . plenty closet drawer — flat screen tv ' without . comfortable bed — great late night reading , gift basket wine , newspaper daily goody . staff something rave second step lobby also lively bar . attentive great direction , dinner suggestion — you name make certain everything . bar ( ' Bourbon Bar ) huge well attend nightly everyone well dress office worker tourist girl ' night attendee . fun place drink dinner . room service one night serve elegance white cloth cover cart . food , come promptly , hot delicious — my prawn perfect . breakfast downstairs beautifully appoint room food delicious — service excellent . also handle mishap husband realize train Edinburgh leave clothing closet . call hotel tell ' back London week later . hold clothe deliver hotel staying return . 
 Jul 15 2008 	 okay ...... 	 stay two night european cruise . hotel centrally locate accesible public mean transportation . make sure actually Hilton Hotel let taxi go since see Hilton name outside . set lobby front desk bit different usual lobby hotel . agent stand around rectangular table check stand awkwardly behind . still try figure logic behind set . decor whole hotel retro towards & quot ; boutique & quot ; type design - green blue elevator & quot ; fancy & quot ; art work . room / bathroom clean service okay . food bit expensive get , London ! location , would stay . 
