hotel 	 unaware watch 4:00 pm est check - in prematurely . therefore 1:00 p.m . think manager behind front desk take without complaint whimper . nothing fancy B & amp ; b clean comfortable . much interaction staff find rudeness . unlimited free breakfast excellent . much well last stay La Quinta L.A . definitely come back get nice deal . 
 Apr 18 2007 	 Great Place stay Strip 	 stay follow good review Trip Advisor , location good do not want need stay Strip much much cheap ! front desk efficient helpful , room spacious clean ( great fluffy towel ) -super , comfortable bed . complimentary breakfast enough good quality cinnamon roll ....... well good claim ! regular free shuttle Mandalay Bay bonus - check 
 Apr 9 2007 	 Honey moon stay 	 bad place stay employee friendly room clean . room basic hotel room nothing fancy . free bus Mandalay Bay free brakfast save money . afew problem however . first employee nice do not know much get around Vegas second pool close reason 3 day stay go another hotel use pool wasent heat . also recharge back battery light hall one day . have not make mind satye strip yet . less busy store not pay arm leg get drink snack extra little trip strip seam like pain time not quite get magic feeling strip . would stay think well place you ve Vegas afew time . 
 Apr 8 2007 	 Great - want live end runway ! 	 book hotel great review ! mistake ! hotel nice , furnishing , clean etc ... however could sleep . airport 5 block end Mccarran Airfield plane take literally every minute day night ( less frequet night count 17 midnight 1 am ) .because close airport much noise airplane engine . pool relax space noise plane constantly drone . want relax hotel use pool avoid hotel cost , true , great inside noise plan ruin whole place . 
 Mar 18 2007 	 airport handyI could not sleep 	 clean room , mini fridge microwave . pool well locate tanning day . pool hot tub temperature good . bfst excellent variety cinnamon bun , muffin , bagel , oj excellent coffee etc . noise room , window air condition 1 high speed not drown airplane noise continuous nite . schuttle mandalay handy food expensive -- $ 60 boil bag dinner 2.It 90 degree outside still not allow short lounge . snob ? 
 Mar 6 2007 	 good .. 	 stay Holiday Inn Express Detroit Solvang , California , know one Las Vegas would pretty safe bet . must say ' m bit surprised Tripadvisor member rate 3 . good hotel / value Vegas . room perfectly fine , staff friendly efficent . agree positive comment hotel , be can not give hotel three points:1 . advisor say noise airport not loud . say depend whitch direction plane take . take hotel noise quite bothersome.2 . AC - least room - loud.3 . time many budget hotel Vegas offer 42 & quot ; flat screen tv , hie still old school tv 's . reseption mine pretty bad several channel . 4 . location . deside stay hotel want stay Strip . area dull , can not walk strip , need car . unless want spend money taxi , wait around shutle run Mandaly Bay every half hour midnight . 5 . price good , great , compare great strip deal like Orleans South Point . however one thing other can not beat hie - bed . ' m regular visitor Las Vegas stay 10 different hotel . Paris comfortable bed . room Paris cost twice much . the Holiday Inn Express safe bet strip hotel . aware everything perfect advisor seem think . nice trip Vegas - good luck . 
 Feb 28 2007 	 great value 	 surprise ! well run , nicely equip upscale furnishing establishment . honestly expect quite basic -but excellent service combine casino lovely interior bring back next time ' m Las Vegas . 
 Feb 20 2007 	 Excellent hotel 	 stay hotel 13 - 17 Feb 2007 . clean good condition ( new hotel ) . staff front desk helpful . breakfast good . easy get strip free shuttle leave every half hour Mandalay Bay . also catch shuttle back hotel Mandalay Bay make sure wait low valet level shuttle sign . safe area morning run runner locate nice commercial area . booked hotel read previous review disappoint . review right . pool good hot tub nice . see pic review . good value money . 
 Feb 15 2007 	 fantastic place stay - not miss bargain Las Vegas 	 reviewer say hotel one good place stay long . last time Vegas Oct 2005 stay Luxor enjoy value money Holiday Inn Express win hand . bed comfortable , want take home we ! ! cleanliness room rest hotel brilliant great stay ( 3 night February 2007 ) . one slight glitch room key nothing major . make use free shuttle Mandalay Bay quite lot get tram Excalibur . time thing well , not take much day case , spend lot time walk casino get big hotel . if go back Vegas would stay . 
 Feb 10 2007 	 good value close strip 	 attend conference Las Vegas . could get group rate Mandalay Bay good public rate double rate Holiday Inn . mandalay include HIE free breakfast free internet access ( wireless room pc free printer lobby ) . stay several Holiday Inn Express hotel formula pretty similar , one far nice . bed pillow ( choice hard soft ) upgrade dream sleep . room look almost new bathroom , shower etc great condition . holiday inn continent breakfast typically bit limited , well choice Yogurt fresh fruit . free shuttle every 30 min Mandalay bay ( side freeway - 5 min ) plenty time take free shuttle train Mandalay Excalaber walk Excalaber MGM catch monorail town ( $ 5 single , $ 15 day ) . location really downside hotel want able walk hotel onto strip not place . car take shuttle describe look much save . none friend impress room ( mostly Mandalay bay ) - price pay complain take 15 min walk casino get room car park room tired even dirty . great feature holiday inn pool / spa . even Feb warm enough swimming outdoor heat pool spa great . 
 Jan 22 2007 	 Secret Strip ! 	 stay 2 night Luxor 3 night . free stay transfer Amex point Holidays Inn 's Priority Club Rewards point . ( would paid going rate ) hotel less 5 minute strip . Valet parking right outside door . long walk room . room 322 directly across elevator hear nothing . executive suite mini fridge , coffee pot microwave . bathroom nice ........ extend shower curtain & quot ; rain drop & quot ; showerhead . bed like sleep cloud . , comfortable . duvet 4 pillow . bedding top notch . request soft firm pillow . free internet access lobby . free continental breakfast newspaper . 5 minute check room , front desk call see need anything room like . ( nice classy touch .... thank management . ) do strip hotel numerous time ......... definetly back . also free shuttle Mandalay Bay twice hour ......... 2nd floor laundry room . nice touch consider hate smell smoke nice wash everything pack go home . nice switch walk chimney smell casino . front desk always smile ask need anything ................. can not say enough stay .......... except great ! ! ! ! ! 
 Jan 2 2007 	 good stay 	 newish hotel , décor clean bright . staff courteous helpful . never Las Vegas not really want stay strip . hotel good alternative - 's side interstate , shuttle Mandalay Bay resort run half hour work well ; Mandalay Bay catch free tram Excalibur , walk across road MGM Grand monorail head strip . walk spot monorail station . noise adjoining room noticeable , bad . iron room ' work , new one provide within minute . be probably time hotel like HIE stop use disposal plate cutlery breakfast though ; be wasteful probably irresponsible era environmental awareness . 
 Dec 30 2006 	 place awesome ! 	 can not believe would say Holiday Inn , first time ' ve stay HI Express , impressed . ' ve travel quite lot past year , new , clean comfortable room ' ve , question . hotel still new , 3 year old , good condition . husband stay Thanksgiving holiday , even busy time pool empty breakfast room always seat available . seem like small thing grateful , majority time stay hotel free breakfast room crowd place eat , often skip altogether . extend family stay Flamingo , nightly rate get free internet free breakfast without walk smoky casino , think get well deal . 
 Dec 20 2006 	 oasis strip 	 recent experience place match many other comment place . nice , quiet hotel hustle bustle Strip . stay Dec 16 - dec 19.the good : - decent location . strip , be actually quiet welcome retreat Strip . easy get airport , easy catch I-15/215 access part city - free shuttle Mandalay Bay . ran roughly : 10 : 40 past hour time . operate 7 am 11 pm , late night excursion limit . Taxi 's well option late night , morning afternoon excursion , shuttle work well.-helpful , curtious staff . go way make sure serve well . real complaint herethe great : -Did wish breakfast bar little robust . 's okay way start day probably tide people til hit buffet casino , ' m little picky . -One pc lobby . wish another , since busy time try use . notebook PC wireless card ( even not wireless card ) encourage use option give access infomation @ checkin . consider option next time stay there . I would stay , make back Vegas . be definitely great place stay . 
 Nov 19 2006 	 lot search make right choice ! 	 demographic : middle aged , middle class husband wife , look good * value * accommodation dollar . I lengthy review like read indepth review . skim , ' money shot - " Book room , ! " , go Vegas first time . simple midwestern folk live normal , middle class life . live modest home , couple kid , dog cat . want stay clean , nice place would feel safe . I search , literally , 40 hour settle property . reason ' find soon unknown , unfair reason rate 2 star property ( user rate 4 - 5 star ) . reality least 4 star opinion . detail follow below . firstly , book hotel web site month half advance . pay $ 96 night Mon - Friday stay . after find hard way Polaris Street continuous wrong side break , call hotel yield need direction rescue we . upon arrival greet nice , clean , orderly look outside hotel . far good . go inside welcome nice gal courteous helpful . request strip view room , already we one face strip . thing go well . up second floor opening door reveal nice clean smell room . ( room NON smoke ! ! $ 250 charge anyone defile room smoke . good , apologize smoke , ' sicken stale cigarette smoke smell , ugh ) bathroom spotless rest room ' show appreciable wear tear beyond crack wall socket plate . Holiday Inn Express ( HIE ) make big deal bedding setup . choose King bed comfortable , 3 pillow ( 2 soft 2 firm ) fancy sheet stuff ( know , ' guy real important ) towel kick * * . nice fluffy . one primary reason choose property free in - room high - speed internet Access . computer geek , frankly , dad could set , easy . access speed adequate 750Kbs . also complimentary computer laser printer lobby one carry laptop . a free breakfast bar available 6:30 - 9:30 ( remember correctly ) . Cinnamon roll good . also ton eat drink : Cereal , bagel , toast , fruit , hard - boil egg , OJ , milk , coffee , etc . we interact staff time time outstanding . one word warning , wake call service use run 7 minute behind first morning call . alarm clock room big deal , since gush thought would mention one little flaw find . the location hotel strip somewhat . * could * walk , would jaunt sure . rent car Alamo ( good experience also ) drive since 100 location park free get there . the first night take hotel sponsor shuttle . free , advise run 11:00 , people way early . issue drop Mandalay Bay severe south strip . * long , long * way end . first night walk fall . next day find make 1/3 way strip . forget mention also provide free USA Today want it . so , close , extremely happy hotel would absolutely stay . may rate Expedia 2 star , much nice . since small property , service staff provide like Midwest service use back home . one last thought , go Vegas * * eat Rio ' seafood buffet . OMG , eat lobster . pig , God great ! ( hint : get fun book Harrah ' . $ 10 per person coupon buffet ( $ 35 head normally ) shuttle Harrah Rio free . also , find review helpful want ask question , feel free contact : tomraker @ programmer.netcheer ! 
 Nov 3 2006 	 Clean Convenient Nice ! 	 spend one night Vegas head Grand Canyon northern Arizona . great hotel fantastic price . get huge discount pay advance website . wonderful free breakfast : hard boil egg , cereal , bagel , waffle , yogurt , juice , coffee , hot chocolate , etc . room modern clean . bed extremely comfortable . remind & quot ; Heavenly Beds & quot ; advertised Westins . shower wonderful . view nice panorama strip . convenient strip without hassle strip . overall , good hotel ' ve stay year . 
 Oct 24 2006 	 recommend 	 well place 1/3 mile Strip , convenient quiet . Police Dog Convention , feel secure ! bed confortable . room / bathroom clean . shuttle bus strip wish . would 5/5 breakfast good place stay . say , would recommend Hotel . take flight Grand Canyon fab . one tip - go tour give extended time Canyon give hour two soak enormity place - nearly enough . 
 Oct 19 2006 	 Perfect spot 	 first hotel stay 4 week drive trip around west coast . room clean big enough 6 we . location great , drive strip self park free without problem explore . leave strip evening go shopping dinner strip . leave hotel one night go Grand Canyon leave thing room without problem . breakfast self service great light healthy start day . glad not stay strip stay . child get see Vegas away strip night . 
 Sep 9 2006 	 will back ! 	 take gamble location , good bet make Vegas ! husband 3 - day seminar Mandalay Bay early September , see good review site , decide take chance stay , save $ 50 per night & quot ; special seminar rate & quot ; Mandalay . great choice . room spotless comfortable , relatively quiet ( especially close airport ) , bathroom hospital - clean . free continental breakfast , free wireless internet ( huge we ) , super - helpful front desk staff , free shuttle every 30 minute mandalay . great pool hot tub -- unlike trendier place strip , fight chair ! huge bonus we not wander around smoke - fill casino 20 minute get building , pool . away action , yet close enough middle within 15 minute . not Vegas gambling ( want get away finish ) , will not regret Holiday Inn Express ! 
 Sep 5 2006 	 great one night stay 	 stay Holiday Inn Express one night first part September . check - in smooth desk staff professional . get back room follow time local casino , would leave message make sure everything meet need . the room wonderful ! comfortable bed pillow . could not decide like -- bed shower , also great . breakfast bar meet expectation . several different kind muffin / bagel / frozen waffle / pastry , along fruit , coffee , juice cereal . would definitely stay , also look Holiday Inn Express hotel future travel plan . 
 Aug 31 2006 	 Nice Hotel - would stay 	 spend three day weekend Holiday Inn Express . clean room pleasent staff . quiet bed / pillow rock . a / c perfect . Holiday Inn Express become favorite place stay everywhere . shuttle Mandalay Bay save $ 8 cab fare . bay , take tram Excalibur take Monorail MGM way Stratosphere . easy save dough cab fare . ask shuttle driver day go airport see take . likely free ! bad thing vend machine hotel take money . certainly big deal Vegas compare slot take . 
 Aug 23 2006 	 Clean ' Near Strip ' alternative 	 Holiday Inn Express , Russell Road Polaris Avenue , Las Vegas . relatively new , clean , non - casino property . room comfortable- & quot ; new & quot ; HI express bedding linen . breakfast adequate- juice , egg , muffin , cereal , biscuit & amp ; gravy , fruit , yogurt , etc . hotel shuttle transport to / from Mandalay Bay . be within eyeshot many south strip casino . Convenient McCarren Airport via freeway- take & quot ; airport tunnel & quot ; i-15north , exit leave Russell Road . two night convenience store / gas station step away , well Colonial Bank ATM . discover studio / warehouse Magician David Coppefield across street - you will see many touring trailer park . much else walk distance hotel complex , except & quot ; Gentlemen 's Club . & quot ; pool jacuzzi sparkle clean , nice nighttime view Strip light . oh , really want walk Mandalay Bay- could probably make appx 25 - 30 minute pedestrian sidewalk , will cross freeway entrance exit . complimentary computer kiosk / printer lobby . 
 Aug 16 2006 	 Perfect 	 spending 2 night Strip , need cheap hotel spend last night flight home . read reviews Trip Advisor go ahead book room family - 2 adult & amp ; 2 teenager . spacious , modern , clean well equip room . complimentary continental breakfast , internet access shuttle strip . staff friendly helpful , offer local info - even though one night . kid love pool hot tub - area spotlessly clean tidy - nice shower area toilet facility . drawback construction area - much like rest Vegas moment ! ! - not cause we problem . would highly recommend hotel - not bother stay Strip ( do first 2 night - 's crack ) - hotel perfect - complementary shuttle service get strip - 5 min drive away . hop deuce bus $ 5 day - hop ever choose - hotel also 10 min airport - plane noise problem . 
 Aug 15 2006 	 good location good front desk butpoor housekeeping . 	 let us start say hotel , even directly strip , optimal location . move ( rent ) car , strip 5 minute far . the swimming pool good busy . the breakfast almost find holiday express hotel . talk bad thing , ' ve unlucky housekeeping service : four day stay find room undo 2.00pm three consecutive day . last day , room still undo 3.40pm ! Said , find room always clean . overall , front desk service good , housekeeping organization need strong improvement . 
 Aug 14 2006 	 good alternative strip 	 stay one night August . nice , clean room new bed linen showerhead . good alternative stay strip . less expensive easy drive casino strip . casino free self parking leave car walk strip drive back hotel do . free wireless internet continental breakfast plusse . negative loud group hallway middle night , Las Vegas guess expect . 5 minute drive airport . shuttle Mandalay Bay car use . restaurant within walking distance ( least none could see ) . 
 Jul 18 2006 	 g8 t Hotel good value 	 stay wife 2 kid 17 & amp ; 11 - 2 bed room fantastic - clean - large comfortable . swimming pool also handy clean , also busy . get free bus hotel Mandalay run every 30 min . stay day - night strip load get taxi back cost $ 10 . sit hot tum bathe foot . go stay really good ! oh ! breakfast also super ! continetal style 
 Jul 16 2006 	 Hotel great - unfortunately service poor 	 first , reservation information readily retrieve front desk person . thing finally sort ( thought ) check room , turn smoking room ( want NON ) totally stink .... entire floor ! show get quickly , could not much call front desk ask happen non - smoking room reserve . basically question meet disintereste comment room available , would like room & quot ; spray & quot ; . positive note , bed bedding room nice , breakfast bar staff run top knotch . back bad stuff ..... follow day complain new front desk person bad room smell interestingly able move we . bit inconvienience , new room much fresher . big bag dirty laundry day , figure would put load watch kid pool ..... bring bag laundry room , notice be not supply available ... go front desk . apparently run guest laundry supply .... tell store nearby get need want . needless say , not impressed . next day , call front desk see obtain laundry supply yet .... told & quot ; yes & quot ; someone would run room . well , half hour wait , call front desk get different guy say supply ! downside hotel location , limit shuttle service strip ( drop pick Mandalay Bay ) . guess not want spend much time strip , location not much factor . the bottom line we poor service receive .... primarily front desk staff . reason alone , likely would return hotel . 
 Jul 15 2006 	 great family holiday 	 stay four night trip USA , use stay five star accommodation stay great reccommendation Trip Finder disappoint ! hotel clean , quiet comfortable family room comfortably accomidate family six ! staff friendly helpful stay strip great decision . ball Las Vegas stay heartbeat ! 
 Jul 6 2006 	 always nice 	 love hotel . always extremely clean fairly quiet , deal sound airplane nearby ( block pretty well air conditioner run ) . bathroom large , massive granite counter inside hot shower excellent pressure . breakfast selection great convenient , computer lobby internet access . shuttle hit miss be work problem drop pick Mandalay Bay . also brand new linen top sheet - cover comforter choice either soft firm pillow every bed . will stay ! 
 Jul 4 2006 	 Great Hotel entire family ! 	 may consider & quot ; budget & quot ; hotel treat like royalty . their bed amazing ! ! apparently be new line bed , linen , soap , shampoos ... whatever GREAT ! come dump hotel night previous refreshing change . I ' m kid , nice bed home would trade mine home bed hotel . could spend entire vacation there . the hotel super clean , breakfast great . even give we hot oven cookie evening . the pool nice definitely need Nevada heat ! ... free shuttle Mandalay Bay tram 11:00pm night . I would stay ! ! 
 Jun 7 2006 	 Top Value ; not bother stay strip ! 	 back two week California , drive San Fran Las Vegas back . night stay Holiday Inns Express reward point . interesting see varied face . one good bunch ; fresh clean smell corridor make good impression even see room . warm cinnamon roll breakfast nice touch find elsewhere . the pool good place stay room quiet . minor problem aircraft noise ; be right glide path . surprised window double glaze ; London Heathrow equivalent feel like landng roof sound inside . airport seem close around midnight open 7.00ish not disrupt sleep . beware free shuttle strip ! think would take break drive jt arrive 10 minute late already full . driver claim would another along 15 minute sit outside , find minute later queue outside least shuttle full . still not arrive pick leave car 25 minute later . parking free big hotel , ' ve worked get outside onto strip ' ve got make . 's 10 minute drive Paris easy park exit . 
 Jun 6 2006 	 nice place 	 listen ? ' m someone usually stay modest hotel - Hampton , Fairfield , Holiday Inn . Ramada Hilton occasion . Lodge resort / spa treat . mostly want CLEAN ROOM prefer new hotel recently renovate one . I not get use hotel like might . check 6 pm go 4 am . room immaculant . clean , nicely decorate . bed bit soft option pillow ( firm soft ) bed first rate . the staff friendly capable . provide great direction eat dinner - something simple - Chillii 's . drive airport simple , 3 turn be . the negative thing say not airport shuttle . want mistakenly think - fault . otherwise , clean , nice lobby , quick elevator , helpful staff , problem . I would stay . 
 Jun 4 2006 	 clean 	 husband way Florida Grand Canyon via Las Vegas . really need room night start drive Grand Canyon . choose Holiday Inn Express Polaris never Las Vegas not sure stay right strip . Las Vegas honestly not really idea vacation destination . Holiday Inn Express clean . room nice comfortable . breakfast next morning basic necessity great . keep area well stock clean . hotel close strip , , yes go hour . easy drive , think make two quick , easy turn get . would definitely recommend hotel . 
 May 10 2006 	 pleased .. 	 second stay HI Express virtually : PROS : 1 . terrific value- $ 120 weekends2 . Great Shower- rainfall showerhead , curve curtain space , great water pressure.3 . good free Breakfast . coffee complimentary anytime . free internet Lobby WIFI room.4 . 30 Secs Max Entrance RoomCON:1 . Shuttle continue overcrowded ( weekend ) . plan backup taxi ride $ 7 south side strip . ' count shuttle make dinner show reservations- plan ahead reserve limo call taxi ! 
 Apr 11 2006 	 nice hotel 	 please one night stay hotel . 's strip , west I-15 , within 2 minute drive MGM , Mandalay Bay , etc . price much cheap strip hotel include excellent breakfast everything need start day right foot . really nice walk mile get room like big strip hotel . the hotel offer shuttle strip , though not use service can not comment . the negative experience hotel construction go next door freeway side hotel . even work weekend surprise we . not loud , occasional back sound tractor crane . room western side hotel might alleviate concern absolute peace quiet require . otherwise , really not big deal we . 
 Mar 13 2006 	 great off - strip hotel 	 agree everything last couple reviewer write . great choice budget , especially weekend . room clean comfortable , staff friendly helpful . wireless internet connection room work perfectly , computer lobby printer . arrive 11 am Saturday able check early trouble . breakfast bar great lot seating , include sofa front fireplace . the one small complaint free shuttle go Bellagio Mandalay Bay . 's popular deal traffic , be rarely time sometimes full come . still seat outdoors wait outside , wait lobby driver come announce shuttle . be hurry , shuttle nice convenience . if not want wait , front desk great call cab , pay $ 8 get strip . cab airport $ 12 . plan expense cab airport not drive , none airport shuttle come hotel . the value , quality service hotel provide make transportation issue . would definitely stay . 
 Feb 12 2006 	 place half cost 	 husband stay january 2006 great stay , hotel clean staff could helpful , however blot copy book courtesy shuttle was'nt good arrive time anything 30 - 45 min late.also could do seat / seating outside guest wait . despite well worth money would happily stay next time . 
 Jan 4 2006 	 Great Find 	 sceptial booking Strip 4 night need bed night . this hotel fantastic , get upgrade suite , make sure ask suite 422 pay suite view strip . room spacious lovely , swim pool open even though December also laundry facility 2nd floor . also tea / coffee maker room . service efficient polite , nothing much trouble . there curtesy bus drop off / pick Bellagio every 1/2 hour 7 am 11 pm use well stay strip dead central . would stay , without doubt . 
 Jan 1 2006 	 Loved ! ! 	 husband , two son stay two night December 2005 please . not go Las Vegas gamble , want see Hoover Dam . staff wonderful , room nice clean . get good night sleep bed sooo comfortable , room quiet . continental breakfast good . computer lobby use check email also , free USA Today newspaper . ever go Las Vegas , would definitely stay . 
 Nov 28 2005 	 Great Value ! super clean room tasty breakfast 	 pick hotel read rave review not exactly sure Holiday Inn express much rave except price . exception distance block ( would either drive take shuttle ) , hotel one good value Las Vegas . room look clean new , breakfast offer large selection include hotel room price . great hotel budget price , much well hotel strip . parking free , hotel enjoyable car drive strip . 
 Oct 4 2005 	 Excellent launch pad Strip ! 	 stay Sept. 2005 think hotel great price . hotel clean room excellent . unfortunately put next room service ' storage room , never notice noise . important note : free shuttle every 30 minute Strip , get early . shuttle joint operation 3 hotel peak time , seat limited . breakfast : ok , really go Vegas eat nice restaurant , nice get cup coffee bagel leave morning . also free internet hotel , nice . would recommend hotel Strip Casinos day . 
 Sep 10 2005 	 great Breakfast ... clean ..... 	 wonderful wake early Breakfast everything think .... include Cranberry Juice ( mix well Vodka , say husband ) ... wow ! ! smoker though ... would nice chair front , wait shuttle ( arrive every 20 min . ) love bed ( foam matteress ) sound sleep . they even hydraulic door every room , door slam hallway . let us forget Holiday Inn 's shower wide spread pressure great . laundry room availiable we well , feel like home ... ha ! & quot ; bring Vegas ..... Stayed Vegas & quot ; ... $ $ $ $ $ -- -0,000.00bob Mari Ann - Cartersville , Georgia . ( originally Illinois ) 
 Jun 8 2005 	 nice clean hotel 
 Jun 8 2005 	 good Stay 
 Jun 6 2005 	 pleasant stay room smell clean ! ! ! ! ! 
 may 4 2005 	 Holiday Inn - near strip 
 Mar 28 2005 	 perfect quick access ( without immersion ) Strip 
 Jan 27 2005 	 isolate 
 Jan 24 2005 	 Great Hotel 
 Oct 12 2004 	 Holiday Inn Express 
 Aug 1 2004 	 New friendly well keep . Buffet breakfast great . 
 may 25 2004 	 Brand New Hotel - little strip 
 Oct 1 2008 	 Genial 
 Aug 28 2007 	 tolle Adresse sich nach einem erlebnisreichen Tag auszuruhen 
