Great 	 Baldwin great location near Union Square Chinatown . room average size many area small compare many new hotel . stay Thanksgiving Friday . noisy Thursday night quiet Friday night . stay 2 day shopping special include free parking taxis also include . use mainly sleep change clothe . room clean staff helpful ! ! ! would stay . 
 great value 	 stay good sized Queen room recently renovate , good light flat screen tv . accommodation basic , clean comfortable . staff friendly helpful . amazing low rate post website , include parking . location central , safe convenient , close shopping , downtown , Chinatown , restaurant public transportation . this place stay want pamper cater , great value price . 
 Jun 28 2008 	 great value great location 	 wife stay Baldwin Hotel five night enjoy pleasant stay . book online service , pre - pay take BART San Francisco Airport , subway stop three block Baldwin . check - in quick easy . room 10th floor , queen - size bed private bath . room small clean maid service every day thorough . two pillow bed ask two happily comply . read complaint front desk experience ; always friendly helpful . first night stay hot ceiling fan keep pretty comfortable . temp . drop comfortable . elevator slow much problem . location excellent , right block Chinatown ; beyond Chinatown North Beach ( little Italy ) bite far Coit Tower ( another slow elevator worth $ 5 charge top , spectacular view ) . Union Square also near , cable car terminus Fisherman 's Wharf . Trips Alacatraz leave Pier 33 make reservation - trip fill fast summer . cable car trip fun long wait turn - around . also take BART F line trolley Fisherman 's Wharf , also work well . be also Starbucks block Baldwin . Checkout 11 a.m. plane leave 5 p.m . however , let we leave bag front desk wander around Chinatown hour . one depressing note : lot homeless general area , though see congregate Baldwin . pretty aggressive demand money though overall anything else sad testiment society 's inability make folk ' life well sleep street beg . 
 Jun 21 2008 	 Basic Hotel Great Location 	 Baldwin really get & quot ; 3 & quot ; rating , however location comparison SF hotel price give extra edge . make mistake , old - style , bare bone hotel extra amenity . AC , creaky , slow old elevator , sloooow front desk sevice . however management make good , room smell fresh paint bathroom newly redone , immaculately white grout , new tile fixture , effort give sense nice stay decent toiletry . there AC , large ceiling fan job spring evening . front desk usually man one , maybe two people like multi - task . many Europeans seem stay , language barrier , well ridiculous amount paperwork upon check - in , well antiquated computer system use old fashioned metal key lead lengthy wait line . check check take 15 minute -- decent free coffee lobby 24 hour day , nice touch . bed lot desire , pillow synthetic flat . two pillow queen bed instead four , cheap , thin cover extra blanket closet . plus side , large safe closet hold laptop large personal item , leave room use deadbolt lock addition handle lock . also , hotel lock front door hour 10 pm 6 am keep non - guest , guest enter key . front desk always someone late early hour , add security . the location beat . turn direction front door Union Square around many restaurant shop . gate Chinatown right well . close financial district too . there many boutique hotel SF , never quite know get , especially low price range . Baldwin , pretty much meet average expectation , negative surprise , even positive one , like clean , good security , overall feel least effort make make good . neighborhood great vibrant , , Union Square , turn shady fast . location . , would stay favor ( luxury ) hotel seasonally price range . great choice good value excellent setting . 
 Jun 7 2008 	 Cozy 	 Cozy every sense word . room small comfortable . clean , new furniture , good bed . nice bathroom claw - foot tub . make & quot ; interesting & quot ; shower really nice bath . report , a / c , ceiling fan help . window open alley street noise . forwarne , bring small sound machine . fan enough , double - pan window shut outside noise excellently . noise room next door . the staff friendly , responsive , knowledgable area . Baldwin great starting point anywhere town . cable car , bus , BART nearby . reasonable San Francisco standard , Baldwin real find ! P.S . ( single ) elevator slow lot hotel ' ve , fast . 
 may 29 2008 	 can not complain 	 good thing say hotel . excellent value , close many sight , public transport . good size room , nice new clean bathroom . can not think way fault Baldwin . definately return . 
 May 19 2008 	 great location 	 Baldwin Hotel good location ... easy access great restaurant , bar store .... great place stay ... staff helpful , room clean .... great place stay .... would definitely stay ever visit SF ... 
 May 19 2008 	 Great Value 	 great hotel great location , 10 step away gate China Town 2 block Union Square . great value location . be aware two things:1 . be stay big city night noise outside : pick garbage big noizy truck , fill newspaper box , clean street people like honk horn driving . not take streetview room bother you.2 . room not aircon , open window get fresh air noise garbage truck etc . again : minor issue concider great location low price ! 
 may 13 2008 	 Great Location - Great Value 	 stay Baldwin one night , move fancy dig remainder group arrive city . thoroughly enjoy stay , consider hotel one good bargain come across . hotel locate within couple block Union Square , therefore , within easy walk shopping eating might want San Francisco . staff helpful knowledgeable area . bathroom room honestly clean ever encounter hotel . bed comfortable , room perfect size . one small elevator , slow , street noise excessive , especially early morning . however , minor issue ask room back hotel low floor . , highly recommend hotel . 
 May 13 2008 	 great location good price 	 great rate hotel convenient location . half block Chinatown gate , block Union Square lot great store , theater en restaurant within walking distance . room rate raise however parking expense ... hotel offer $ 25 day deal local parking service really consider parking little save cost take public transportation taxi . the hotel pretty basic . clean room small . bathroom . storage closet ( personal safe ironing board ) big ! hardly noise come room unpleasant noise come alley come empty dumpster 4 a.m. another annoying noise come shower . whenever turn , make incredibly loud screatching noise deafen ! idea cause . skip coffee lobby ( yuck ! ) go starbuck two door stead . 
 May 10 2008 	 Hidden Gem San Francisco 	 Baldwin Hotel perfect choice recent trip San Francisco . clean , quaint affordable . city pricey , 's store luxury hotel , perfect frill hotel . locate right outside entrance China Town , block BART station , trolley , streetcar bus . would definitely stay ever return San Francisco . 
 Apr 29 2008 		 Hotel room small great view . parking ramp two block away get vehicle $ 30 extra park ramp addition regular hotel booking . may San Francisco , ' m really sure . area really nice hotel employee helpful tell we get around town go . 
 Mar 14 2008 	 great location value 	 stay four night would stay . 's convenient location good value . room small big enough unpack bag get way . bathroom likewise small clean claw - foot tub . 's Starbucks door away lot great dining option . staff pleasant . feel quite safe come husband meeting . take BART airport -- montgomery station block hotel . 
 Mar 13 2008 	 great value 	 stay Baldwin two night attend seminar Grand Hyatt block away . hotel right gate Chinatown Grant Avenue . flight happen get early BART trip Montgomery station short walk hotel , ask possible check graciously accommodate . I single room second floor lobby . although request & quot ; quiet room possible , & quot ; room right street . noisy unbearably ; window really good , always travel earplug . weekend , might quiet much early Friday Saturday night . really tired not disturb city noise ( thing wake 2:00 a.m. garbage truck ) . room super clean . digital safe roomy closet . wireless internet available $ 9 / day . water pressure excellent , complaint . this ten - story property ' m really glad room second floor -- elevator slow anything ' ve ever see , get bag room use stair duration stay . staff friendly , helpful , efficient , AAA rate $ 104 per night , could ask well experience ! 
 Mar 10 2008 	 Great Value San Francisco 	 clean , warm safe . super site stay family . save money stay . Great Location downtown Moscone center ! 1/2 block away gate Chinatown Grant street . ( could see room window ) 3 - 4 block away BART Montgomery station . easy walk Moscone center Kearney street . want catch muni Kearney Market street ! recommend get city map Muni Bart route . get 7 - 11 $ 4 online version print bring . http : //transit.511.org / static / provider / maps / SF_712200711012.pdfWireless internet access $ 10 per day , tel call 50 cent pop . ( recommend buy call card 7 - 11 1or2 block away Pine street ) buy food 7 - 11about 2 block away . numerous inexpensive restaurant within walking distance . recommend Lori 's Diner near Powell Market second floor . $ 20 nice turkey dinner 2 beer . not try restaurant lobby . folk front desk watch bag check want go walk .. http : //maps.google.com / map ? f = q & amp ; hl = en & amp ; geocode= & amp ; q = grant+street+san+francisco+ca & amp ; sll=36.71431 , -76.24785 & amp ; sspn=0.593359,1.109619 & amp ; ie = UTF8 & amp ; ll=37.792117 , -122.404647 & amp ; spn=0.00457,0.008669 & amp ; z=17 & amp ; layer = c & amp ; cbll=37.789924 , -122.405439 & amp ; cbp=1,341.66173738753173 , , 0 , -2.1873763128327104 view street . print map find direction BART cost $ 6 ride SFO airport . wireless internet $ 10 per day parking available $ 30 day street . definately recommend ! lot small hotel like area .. search internet .. internet sitesorbitz etc .. find fthrough chinatown website .. http : //www.ihsadvantage.com / h / hotelinfo / san_francisco / can / us/83079/ ? pfs=887 # trafficLogID=507700402 & amp ; visit = trueEnjoy stay ! 
 Dec 7 2007 	 good deal San Fran ! hand ! 	 Baldwin hotel great finding ! cheap , clean , spacious amazingly central thing San Francisco ! be go , save money know will stay decent hotel booking room ! truly expectation . travel uber - picky boss - pleased ! thing disappointing hotel staff not seem know much social life give good tip good club bar , hey , add experience explore ! 
 Nov 17 2007 	 Excellent price 	 nice place . convenient downtown , next Chinatown , near Union Square , Moscone , etc . room small , much space need ? bed comfy . shower tub curtain , work GREAT . room clean ; service good . like many big city hotel , might hear dumpster empty late night early morning . be nut job expect 4 star 2 star price , pick another place . otherwise , would recommend anyone budget , want centrally locate hotel . pleasantly surprised . 
 Nov 12 2007 	 Perfect place perfect stay 	 stay Baldwin Hotel 4 night great stay . the room clean , warm spacious . book double bedroom two king size bed . the bathroom spotless also provide soap , shampoo ecc ... good travel hand luggage nowday bring many fluid board . there nice satellite tv , WI available even though not use it . there breakfast include complementary tea coffee ground floor snack beverage machine . the location Hotel fantstic , outside door Chinatown , could work almost everywhere . many restaurant either chinatown union Square two block away . the area safe well transport connect . I definately recomend ! ps Price : pay 360 € total 
 Oct 28 2007 	 Perfect location good service 	 stay Baldwin end October . location hotel great , everything close . the room quite big ( 1 queen - size bed ) , least big expect . furniture old ok . bathroom clean everything good shape work . room 6th floor window two side room , could openend . staff reception helpful . I would come back ! 
 Oct 17 2007 	 Perfect Location 	 Stayed Baldwin Oct. 12 - 14 , 2007 . first time . person front desk helpful throughout stay . check flawless , room average size classic San Francisco hotel . 10th floor room 2 wall window open high enough see city . location put 45 second gate China town . next door starbuck across street upscale wine lounge . no noise night fire truck . we take BART get hotel Montgomery Station 3 - 4 block away . easy enough roll suitcase hotel . will stay . 
 Oct 6 2007 	 nice hotel excellent location 	 get good price hotelclub website 4 night . email hotel confirm book ask early check - in , reply say would try could leave luggage behind reception desk not available . arrive 11 am , easy check - in room available . hotel lobby nice reception staff friendly . there s internet pc ( chargeable ) , sightseeing leaflet , settee , drink snack machine well coffee machine ( be none room ) .The room nicely lay , large clean . nice size wardrobe ( walk ) , ensuite , desk , tv ( usual channel ) comfy queen size bed . the hotel excellent location , right chinatown two block Union Square catch cable car Fishermans Wharf . one complaint hair ( head hair ! ) bath towel ask reception desk get replace afternoon . another complaint ( definitely not Baldwins fault ) re - tarmacing road outside ! 2nd night digging , luckily stop 11:30 3rd night tarmacing . tired 16 mile bike ride across Golden Gate Bridge Tiburon fall straight asleep not bother . be book next couple year will not need worry road dug ! book shuttle airport hotel . tell back 10 minute allocate pickup time arrive 20minutes , luckily go back hotel 25minute sort thing . cost $ 15 driver drop correct terminal . 
 Oct 5 2007 	 get poor sleep 	 value , location , service hotel great . however , get poor sleep Friday night trash pick - up outside window 3AM . also really loud furnace room make funny noise night . next morning hotel personnel shut help lot . hotel staff friendly helpful . 
 Sep 18 2007 	 Good Price Great Location 	 stay past weekend . be simple , gracious old hotel excellent proximity number San Francisco attraction . Chinatown 's gate half block Grant ; Union Square couple block away . there be air conditioning , not much issue time year . room face Grant , high floor , pretty quiet . loudest get folk came stumble back party , not hear anymore actually go room . only downside in - room copy free tourist magazine page rip previous occupant . put trash . maid put back desk , rip half put back trash . magazine free , 's though need reuse page rip . : ) 
 Sep 2 2007 	 excellent choice 	 prime plus point hotel location , right gate China Town . couple blockas Union Square . price Superb , Staff also Superb . though room little sparten , spacious comfortable . advice though , get room end 01 , I.E 201 , 301 etc right luift shaft noisey . 1st night , follow day request room change . staff helpful ; . 
 Aug 30 2007 	 Best Deal Town ! ! Book ! 	 want everyone know highly recommend hotel . 3rd time visit . usually patron Kimpton Hotel Group ; 4 - 5 Star Hotels pay small fortune every time . however , Baldwin fit need perfectly location amazing room clean . rate could find anything well . 
 Aug 22 2007 	 Awesome location ! great deal ! 	 like other say great location . practically everything within walking distance , public transporation right around corner ( subway , bus , cable car ) . one minute walk gate Chinatown awesome . room quite large clean , staff easygoing try helpful whenevery question . even though room face street , problem noise . downside poor water pressure shower ( also hallway bit funky smell - room fine ) 
 Aug 16 2007 	 Great Deal 	 location perfect . room clean actually fairly large downtown San Francisco . can not beat price quality location . 
 Aug 9 2007 	 great location 	 great price , great location - gate Chinatown two block Union Square - clean room , great bath , helpful friendly staff . complaint . room front lower noisy try one high side . quiet . 
 Aug 8 2007 	 look . great location perfect price ! 	 research many hotel TA week . look good clean place good area , not want pay $ 100 night . not go San Francisco hotel , not look anything fancy , Baldwin want want ! stay 3 night , leave luggage front desk 5 hour flight leave . husband please . walk BART station ( 3 block ) . staff nice helpful . maid service good location great ! hotel literally step China town , 1 block Union Square . hotel old , room smell , non - smoking , pet hotel nice . do well update . window open ceiling fan keep we plenty cool , new bed comfortable . side bathtub gross , deal . get great room big bathroom one queen bed . stay next time come . 
 Jul 29 2007 	 great location \ noisy 	 stay Baldwin Hotel four night . location absolutely great need stay close Union Square and/or Chinatown.all staff meet friendly cleaner execellent job . bath room qiute big small claw foot bath tub . the bed really comfortable ceiling fan not really make much noice , find noice Grant St. bit loud - especially start tear street outside one night .... ABSOLUTELY BALDWIN 's FAULT ! ! 
 Jun 16 2007 	 Baldwin perfect ! 	 Baldwin exceed expectation . want stay somewhere wife $ 100 less , seedy . Baldwin seedy , pretty elegant ! people work front desk well ' ve encounter - extremely friendly helpful . although check - in mid - afternoon , able get we room 9am . our room fabulous . overlook Grant St. immaculately clean . large , ridiculously small either . bathroom nice good water pressure . Baldwin 's location absolutely perfect see San Francisco , safe area . continental breakfast , though offer subpar coffee . also , wireless internet free ( quite expensive , pass ) . overall , would absolutely recommend Baldwin friend . 
 Jun 14 2007 	 Great Location 	 clean , neat great location . highly recommend good value money 
 Jun 11 2007 	 Great Hotel great location 	 great hotel , great location great price . luxury pool restaurant , however room good size , clean , lovely bathroom roll top bath . perfect budget city break . 
 may 29 2007 	 good basic accomodation disappoint 	 hotel fairly clean great location . busy street hear lot traffic noise day , although night 's bad . location can not beat want close shopping , Chinatown , Union Square , public transportation . room small , clean not look hard , freshly paint . clawfoot bathtub view shop Grant Street . long expect anything reasonably clean , safe hotel basic accomodation 's fancy , disappointed . price range , be well majority . right price , would hesitate stay . 
 May 28 2007 	 great locaction 	 terrific find ! hotel locate right China Town Gate 2 ½ block Union Square 3 parking garage within block half . room huge , room enough 3 we . everything room new : carpet , linen , fabric , window , tile , furniture paint charm quirk historic old hotel . appreciate hotel room open window . stay 9th floor water pressure fine — the shower low flow head , much . staff friendly helpful . noisy — you middle busy city . close window siren go away . 
 may 24 2007 	 good clean great location 	 stay Baldwin three night Bay Breakers race weekend find completely enjoyable . Spartan well - scrub well - keep room pleasant staff . compare favorably expensive place ' ve stay San Francisco . good value great location Chinatown Gate . 
 Apr 23 2007 	 Stink Stank Stunk 	 cockroacke ice machine , weird stain carpet room , clean maids awful . nearly trip pan handler outside door place . take wrong turn area may never hear , scary ! ! ! let forget incredible rude woman desk . 
 Apr 9 2007 	 would not stay anywhere else ... 	 ... s.f . unless decided spend lot money . be travel budget simply not feel like spend dollar hotel room , mean stay . Baldwin hotel locate Chinatown gate , be close Chinatown ( obviously ) , Union Square Market St. BART station ( not use Powell Street station be offend / bother beggar like .. walk Market St station , however , perfectly ok ) . walk Fisherman 's Wharf take 15 minute . I stay three night late March . room ok actually expect € 50 night . bit like two three star hotel european capital . bathroom large everything clean , important thing come hotel room . staff always nice helpful . , location beat would not even consider stay anywhere else , plenty opportunity spend money s.f . 
 Mar 14 2007 	 Great Hotel ! ! 	 would recommend hotel , great location great price . staff friendly helpful . room comfortable clean . visit San Francisco would stay . airport shuttle bus drop pick right outside hotel . 
 Mar 13 2007 	 good ! ! 	 read 60 review various hotel SF choose Baldwin Hotel . fancy , completely adequate . recommend hotel highly . yes , plainly furnished , clock , bathroom mirror opposite wall sink . , everything else look . stay 3 night March . safe location . friendly , helpful staff . excellent price . clean , comfortable room . 1 block Chinatown . I miss mini fridge micro . definately stay . 
 Feb 26 2007 	 Clean Simple 	 book Opodo get reasonable deal ( $ 70 per night coffee breakfast ) although collegue find cheap rate next door Astoria ( $ 50 / night include small breakfast ) .I please hotel nothing fancy clean secure friendly helpful staff . without wireless laptop , internet available lobby $ 10 per hour . the location excellent , right entrance China town , near Nob Hill far Little Italy . an overall favourable experience . 
 Feb 6 2007 	 Clean Comfortable Hotel Excellent Location 	 husband stay week hotel . location convenient ( 1 min walk Chinatown , shop etc ) , lot tram / trolley / bus nearby also easy walk place . also feel safe walking around night ( hotel price range dodgy area ) . room clean , bed comfortable would definitely recommend hotel friend . 
 Jan 5 2007 	 nothing fancy still like 	 place terrific bargain San Francisco . describe review nothing fancy fact room rather spartan bed comfortable , be well located consider location street noise bad . travel stay meet criterion something not budget buster still well locate place would feel comfortable solo female . arrive late flight ask front desk clerk safe ventured 7Eleven get snack 2 am feel ok . 
 Dec 5 2006 	 good hotel though noisy 	 hotel quaint , clean situate close San Francisco 's Union Square . staff member kind helpful , get great deal weekend night use Travelocity . room simple clean -- nothing fancy , nice . shower old - fashioned bathtub curtain go around entire perimeter . experience generally good except follow : - considerable amount noise outside room 8 a.m. Saturday morning . sound like glass bottle dump garbage bin truck.- old - fashioned furnace room make incredibly hot , not clear turn off.- hotel deal nearby parking garage $ 20 , actually good deal . however , be couple block away , valet service garage . fun walk back hotel 's late night & amp ; cold ! 
 Nov 17 2006 	 Great Hotel Great Locations ! ! ! ! one Concern 	 hotel location great . extremely clean . close ChinaTown shopping district . wife stay two night able walk everything . hotel offer discount rate nearby parking garage work perfect stay . negative noise room next elevator . elevator cable beat wall move floor floor . think room 201 , 301 , 401 .... next elevator . one detail , would highly receommend hotel . 
 Nov 14 2006 	 Great Find 	 husband excellent stay Baldwin Hotel ( Oct 21 - 26 ) . staff friendly even 11 pm check . room large spacious walk closet . bathroom spotless look new . room thoroughly clean everyday complain whatsoever . fresh coffee foyer everyday ...... way well starbuck door away . hotel close Chinatown cafe 's , restaurant main sight . we highly recommend traveller San Fran . regard saxophone player ..... repertoire not great nice music drift room long day sightseeing ........ seem like real deal . overall ... great , would love go back 
 Nov 7 2006 	 Great Location Great Price 	 amaze centrally locate hotel , cheap price per night . would suggest get room gigantic clawfoot tub , perfect soak worn leg walk hill ! room need fresh coat paint , etc . , price can not get well location . 's wonderful able step front door see gate Chinatown good shopping town ! mention close public transit cable car ! be never far great food , Chinatown 's dim sum excellent 's ton continental & quot ; fancy & quot ; restaurant block . staff courteous willing help anything . cautious room door lock , be sure happen seem like door key open door door , be certain . overall great place stay ! 
 Oct 29 2006 	 big Baldwin ! 	 ' m glad take look tripadvisor site make reservation like other completely satisfy Baldwin Hotel . we take room w/ two doublebed walk - in - closet clean bathroom w/ spacious bathtub . no view ever not matter since seldom room . location fab ! close everything , cable car , attraction , shop ... name . friendly staff well . the thing annoy - hotel part -was saxophone player unfortunately spot right window play tune ... aaargh . but apart sincerely recommend hotel everyone travel reasonably low budget . 
 Oct 18 2006 	 great hotel ! ! 	 good deal San Francisco . excellent hotel , nice price , great location , clean pleasant room , kind staff , prime location , safe area . check hotel see advertised price , Baldwin truly much well . 
 Oct 16 2006 	 charming central hotel 	 comfortable bed six week trip . unbelivable location right outside chinatown gate near Union Square cable car line . wish could stayed long 2 night stay . 
 Sep 18 2006 	 Run hotel great location 	 hotel great location . minute Union Square china town 15 min walk fisherman ' wharf….and ' nice walk too . the hotel run need new carpet etc .. bed full double disappointed . ask move room large bed say nothing available ! noisy hear elevator rooms….only slightly get away . however suppose ' case get pay . relation hotel cheap want spend money attraction ideal . find staff ok nothing special . bad hotel wonderful city 
 Sep 3 2006 	 Great Little Hotel Center everything 	 extremely pleased hotel ! staff nice helpful ! get anywhere simple short walk calling desk make transportation arrangement . room clean , comfortable , decent size consider age hotel . overall hotel great value ! 
 Aug 29 2006 	 great price ! 	 Baldwin 1940 's hotel Chinatown Gate . good location shopping get anywhere mass transit . get Tourist Pass go crazy . room good size , clean reasonably quiet ( stay away elevator ! ) . breakfast , place eat nearby abundant . staff friendly helpful need . clock room crap TV , really issue . good value . 
 Aug 18 2006 	 Pleasant Stay 	 stay four night . room simple small chain hotel be see city room 's problem . room clean good condition exception carpeting need replace . noise room not near elevator comment . must say staff front desk friendly helpful suggestion place go . overall , pay room , please . oh , good part - location ! chinatown right . North Beach , Union Square , BART , cable car within walking distance . would stay . 
 Jul 31 2006 	 good bargain 	 book , learn Hotwire rate Baldwin one - star hotel . make apprehensive , stay late July effectively erase . Hotwire 's ranking base , part , hotel 's amenity . standard , be true Baldwin far luxury . room not refrigerator , hair dryer , safe , coffee maker , air conditioning tv not movie option . 's restaurant premise room service nightly turn - down service . swimming pool , either . while fine feature , affect room price . also affect room price -- case make Baldwin bargain expensive downtown San Francisco . here be room : lot space absolute cleanliness . hotel - average furniture . two comfortable bed good mattress . new window effectively keep street noise . thick wall construction -- sound transmission room . ceiling fan . Cable TV . usual shampoo / soap . lot good - quality towel . Bathroom look recently modernize new tile floor . general look good maintenance -- chip paint dirty wall window . lobby 's free a.m. coffee tea . borrow hair dryer . 's public internet computer ( pay extra use ) . 's also parking garage around corner ( think hotel 's web site info ) . staff helpful courteous . this hotel safe area step Chinatown Financial District , make extremely well locate business vacation travel . 's Starbucks block , japanese restaurant next door , cafe across street , convenience store around corner chinese restaurant count within three block . recent year ' ve stay half dozen San Francisco 's small boutique hotel ( one large one -- Marriott , filthy ) . can not say Baldwin absolute favorite ( like in - room fridge ) , truthfully nice nice other cost more . I would stay instant . 
 Jul 27 2006 	 Great Price Great Location Great Hotel 	 Baldwin Hotel locate half block away gate Chinatown . able look outside window see gate Chinatown -- wonderful view . get twin size bed room . room decent size . room bathroom ( huge PLUS budget hotel ) . one strange thing mirror sink bathroom . find shaving bit awkward . mirror locate behind ( side sink opposite ) . old style claw foot bathtub w/ shower . definitely stay . also 5 - minute walk financial district . budget , hotel fantastic place stay . 
 Jun 25 2006 	 Excellent deal 	 stay Baldwin Hotel week , amase place compare pay hotel convenient location . the room clean helpful staff . I understand complain small room noisy elevator . the location excellent block Union Square . starbuck place breakfast outside main entranceif return SF , would use Hotel . 
 Jun 5 2006 	 Great Deal ! ! 	 would stay Baldwin heartbeat return San Fran . room basic little small clean . bathroom large walk - in closet great storage . hotel great , safe location . stay 3 girl mid - twenty never feel unsafe . hotel close Powell Montgomery stop BART middle high - end shopping district . block Union Square 50 yard entrance Chinatown . look affordable place stay spend money sightseeing shop Baldwin ! 
 May 23 2006 	 Perfect price 	 honestly , not expect much husband go SF . know 's expensive city , usd 90 two night sound little good true . arrive ( walk block Montgomery bart station ) hotel , gladly surprised . build interesting , size room considerably big ( huge , definitely small ) clean , location awesome ( 1 minute walk Chinatown gate ) , people helpful friendly . could not recommend hotel . 's worth every cent . 
 May 17 2006 	 good place stay 	 stay hotel 5 day ( 22 - 28 Apr 2006 ) . staff friendly helpful . price right . 10 min walk Montgomery Powell St . room basic . 
 May 9 2006 	 clean cozy value 
 Apr 8 2006 	 Fantastic Bargain 
 Apr 3 2006 	 proper expectation fantastic deal ! 
 Mar 23 2006 	 go prepare 
 Oct 11 2005 	 Basic Clean Hotel Excellent Location 
 Sep 27 2005 	 Loud Elevator ! 
 Sep 27 2005 	 Great Hotel Price ! 
 Feb 19 2005 	 great little hotel 
 Feb 2 2005 	 good value central hotel 
 Aug 11 2004 	 Perfect location great price 
 Oct 24 2009 	 muy buena ubicación 
 Oct 13 2009 	 Sans ame 
 oct 8 2009 	 Accueillant 
 Sep 20 2009 	 hotel sympa 
 Sep 2 2009 	 très bon hotel 
 Jul 25 2009 	 Hotel correcto bien ubicado 
 Jun 4 2009 	 Pratique 
 Sep 21 2008 	 très bon plan pour se loger à SF 
 Aug 17 2008 	 buon hotel 
 Aug 8 2008 	 Ottima solo la posizione 
 Apr 24 2008 	 Parfait ! 
 Mar 28 2008 	 Tolles Hotel ! 
