excellent 	 clean , friendly , cheap staff hand whenever want . smallish comfortable room good facility . excellent gym , breakfast area , room tv 's etc . good situation really interesting bit NYC . helpful friendly staff could not seem enough make stay success . american mostly europeans seem residence do not hear complaint either . Manager Concierges particularly helpful 
 View value 	 book hotel price , location , fact ' ve always good l luck Hampton Inns . never expect fantastic view . room 15th floor perfect view Empire State Building Chrysler building . People need understand thing Manhattan hotel . room often small , bathroom small , lobby almost non - existent . true Hampton Inn well . clean , staff pleasant professional , affordable great location great bonus wonderful view ( least north side ) . honestly say not check breakfast . Saturday a.m . feel weather husband went get soup cracker . Sunday plan brunch . sorry can not speak . husband seem indicate quality Hampton Inns - fancy , adequate . even bus load people cram tiny entrance get check return walk , get right elevator room . ' m really sure possible , staff seem make thing work out . when not feel well , husband go leave sleep . stay nice hotel staff seem ignore & quot ; disturb & quot ; sign either barge right knock every 20 min . happen hotel . able rest morning husband take fresh air little soup , able find housekeeper bed make , new towel hang , trash emptied time return . I not give 5 not 5 - star hotel . however , one good value hotel ever stay . would recommend anyone come visit nyc.only one suggestion - find spot vending machine besides cellar space . : ) 
 May 4 2009 	 great deal Soho stay 	 stay two night 4/09 . great value Soho location ; decent hotel $ 250 per night . hotel easy find website direction ; parking couple block away . room two double face Watts St. tenth floor . problem noise Watts St. , even weekend night . room good size , plenty space three we . Breakfast first morning good ; fresh fruit , pastry , bagel , cereal , yogurt hot dish . second morning , look little tired . fruit look like day hot dish look quite fresh . , plenty yogurt , bagel , juice etc . staff always courteous helpful . location hotel pefect ; quick stroll heart Soho shopping eat ; also great location hop subway Spring St. head uptown . would hesitate stay . 
 Apr 26 2009 	 Nice hotel 	 check early red - eye flight 8 night stay . room elevator electrical room . initially concern potential noise , unwarranted . pro : outside mid - town ManhanttanA block Soho offera couple block two different set subway line ( direct link AirTrain JFK airport - Line ) ValueBreakfast hot foodcon : recommend hotel car hotel street lead Holland Tunnel , congested everyday PM peak period - never get hotel - car issue usNoise street even though 12th floor - CitySome breakfast item run early - late riser usually make breakfast last 15 minvery slow elevatorsNot many restaurant shop immediate vicinity hotel Soho block awayoverall , nice stay ! 
 Apr 10 2009 	 poor service tiny room hope not want take bath ... 	 not know begin . know New York , expect NYC stereotypical people service Hampton Inn . whole visit sub - par say least . cram 3 people one bed every night ( whole trip ! ) double reserve pay . ( finally ) able check long wait room ready ( watch other walk right room ready ) tell people check double 2 night could give we double . guess ? not , either . wall thin hairdryer next room loud clear wake we two morning . room tiny , small practically turn sideways walk beside foot bed . discover upon check - in bathtub room , tell bathtub room , stand - up shower check last day , see room next we open GUESS ? BATHTUB ! ! ! another thing : call & quot ; Business center & quot ; one computer TINY lobby privacy ALWAYS people wait check quick email event mean 20 - 40 minute sit - down wait . mention disappointed poor service , tiny room , one bed 3 people , staff lie we least twice , told & quot ; well get good rate . & quot ; next time , definitely spend another $ 50 per night get pay . 
 Apr 8 2009 	 Great reasonably price 	 Hotel edge Soho walkable couple minute . couple minute away various subway stop easy get around . street look little unsalubrious ignore - lone female never feel worry - 's always people & amp ; traffic around . breakfast pretty decent include . european eye room size fine , room modern & amp ; clean , satellite tv , pay per view etc - stay W night hotel & amp ; virtually difference except $ 200 night . would highly recommend anyone want clean , basic , reasonably price hotel NYC . 
 Apr 7 2009 	 nice hotel / good price 	 book Hampton Inn special travelzoo make hotel reasonable $ 129 / night . stay 2 night move NYC Atlanta . overall , hotel nice new . room 7th floor . small room think 's typical NYC hotel . bed comfortable bathroom actually big expect . one drawback int eh bathroom - storage makeup , hair stuff , etc . sleep well not hear noises street hall . a / c unit bit loud though . the Hampton Inn close C 1 train Canal make commuting work easy . also , right Holland Tunnel make get Newark easy . 's center thing tourist not mind bit away fromt eh hussle bussle like hotel . 
 Mar 28 2009 	 great stay right price . 	 Hampton Inn Soho new hotel . originally book two room three people concerned room would tiny . one room king size room # 1006 one double # 1107.overall nice small hotel , easy access subway , Soho , Chinatown . easy get Grand Central via subway short walk station . much around location , block two away pub restaurant . breakfast include room , pretty good continental breakfast . food drink plentiful plenty seat . bar run yet . elevator kind slow , big deal . front desk staff quite friendly . general room , bed comfortable , bathroom nice , overall room clean good shape . heating / cool unit seem less modern old actual hotel inefficient get comfortable temperature quite loud . room two wardrobe type storage chest nice HD flat screen television . room wifi , internet hookup . Wifi available lobby area . king size room small , would fine two people , ie couple . much term storage lot luggage much floor space . bathroom little small nicer room . room , even number room , face holland tunnel side building . room definitely louder side hotel . get much sleep room , really peak travel hour , try get odd room . 2nd room double room , back side hotel ( 1107 ) great view city quite large . plenty room 3 people 2nd night . storage could issue lot stuff , ok weekend . room much much quieter comfortable . would recommend try odd numbered room double get one . 
 Mar 14 2009 	 ok hotel great location 	 Rooms shower clean . small room . lack minibar , iron , robe etc . corridor feel like prison steel door . bed great . worth 100 - 150 $ / night 
 Mar 9 2009 	 great deal close Soho 	 be definitely west Soho , would certainly heed advise look taxi , room comfortable quiet ( room end 7 , quiet face Watts street ) . arrive hotel early come back later check . unforturnately room still ready ( 5:30pm ) disappoint nice not make big deal . the bathroom nice ( lovely shower tub ) lot counter space - matter - bed comfortable ! two double bed room plenty roomy two we . breakfast great surprise - pick take breakfast , great ! close two three subway stop great bus route . , would stay ! 
 Feb 27 2009 	 way expectation ! 	 book last minute trip visit family new york city expect pay 300 night live comfortably . one close friend actually tell Hampton Inn call make reservation . receive pretty fair price would not minded pay little see hotel . they little drive able drop friend bag find parking elsewhere since do not parking .. ( nyc hotel anyway ? ) Checkin speedy courteous consider prime time checkin . hotel friendly worker everywhere turn . get room 15th floor phenomenal ! room spotless clean , tvs LCD , chair bed comfy , view pretty extraordinary . People complain room small have not visit hotel nyc.the gym also great addition . hate rain especially new york . gym enough equipment get full workout waste 2 hour pour outside . be not rain store soho amazing 2 - 3 block away hotel . lastly , want comment breakfast . breakfast be not grade food free every morning . would compare McDonalds breakfast egg muffin etc . purpose rather buy food every morning.one last thing- stay try mooncake . someone hotel recommend restaurant salmon finger lick good . $ 8 free breakfast $ 8 lunch good trip nyc . they something right definitely come back summer . 
 Feb 22 2009 	 small room clean friendly staff 	 room small , not get room book . overbooke , take even though make reservation month advance . 's convenient subway , good walk place particular . would stay . 
 Jan 22 2009 	 Great Experience Hampton Inn Soho 	 husband stay Hampton Inn Soho last weekend . special birthday present husband . trip number 8 NYC one favorite far . can not say enough good thing stay hotel . staff amazing . problem heat first day . one cold day year . engineering able fix problem heat move another room spectacular view Empire State Building city . room immaculate bed comfortable . great shower bathroom . lot counter space bathroom , workable . nice touch room flat screen tv , coffee maker , lot cabinet space . staff friendly welcoming . greet we morning smile . beautiful solarium back hotel . relax peaceful . really enjoy morning coffee . first time stay Soho . 's nice area Manhattan . convenient Chinatown , Little Italy , Village . 's nice upscale chocolate shop call Mariebelle hotel Broome St . little cafe back husband share chocolate lava cake- one rich decadent dessert ' ve ever . lucky NYC last weekend snow . beautiful walking around city especially Central Park . like postcard ! ' m already plan next visit New York , great city world , will probably stay Hampton Inn Soho . 
 Jan 22 2009 	 great Stay - Lovely Staff ! 	 go NY grilfgriend new year , great stay hotel . staff great , good we stay . room , althoug small ( like every hotel NY ) everything would wish include really comfy bed huge bathroom , downside really small size counter , nothing bad , great view Empire State Building Midtown Manhattan . complimentar breakfast great really save we lot buck , complimentary coffee offer throughout whole day . lot subway station close hotel , lot shop restaurant . location , rather small downside , wast hotel locate entrance Holland tunnel small kind unknown street ( Watts St. ) mean traffic jam whole day ( never hear , though ) cab driver ` stop directly front hotel ( ` abou 20 step walk ... ) driver ` know street ( try say ` end Broome St. , major problema ) .Overall GREAT stay , love place , really clean staff , really polite friendly ! ! really cheap one well ( US $ 1800 7 day , include New Year ` Eve / Day ) ! ! ! 
 Jan 15 2009 	 small room - invisible taxi driver 	 check - in straight forward fuss . night porter check we gentleman . the room however tiny ' ve ever stay way survive one person move time . bathroom tiny shelf space whatsoever . two wardrobe ample drawer space , also free safe . central heating old fashioned rickety affair make racket . room appear vaccume 5 night there . the bar open . I look forward complimentary breakfast sausage turn slice sauerkraut brie . follow day slice sausage , instead strange look egg ' ve ever see - round completely flat - hard describe really , look like fried egg poach . however plenty coffee , toast , fruit , yoghurt , cereal bagel . the conservatory quite nice , wee bit chilly winter . probably , lovely summer . the decor like student apartment 70 's , spray paint hotel room door silver metallic paint cheap look carpet breakfast room . reckon six month , look like tatty old hotel do cheap whose good feature neon entrance . the big problem we actually hotel , fact taxi driver could not find . three time , get taxi utter frustration walk . show map let read direction Blackberry . tell 6th Avenue Varek St , approach Holland tunnel etc , understand exactly worth Street could not work Watts Street . one driver stop phone hotel solve problem . guy sit - nav ? hotel , would seriously consider give guest business card map direction give taxi driver . would stay - , sorry folk good would give 5/10 . 
 Jan 13 2009 	 Cheap 	 stay Hampton Inn 8 night Christmas / NewYrs 08/09 . time year , get extremely good deal ; pay $ 2,000 . complimentary breakfast save we fortune . the hotel itslef nice clean . city view king room could see Empire State building room . room bit small manage fine , bathroom spacious like side , extra shelving ' go amiss . location hotel : 2 min edge Chinatown 2 min edge Little Italy . metro stop use edge Chonatown get hassle time buy handbag watch ' forceful . Spring Street near hotel good restaurant , ' decent pub near head uptown that . all hotel little want price good suit we 
 Jan 6 2009 	 good choice 	 go rate low NYC & amp ; property still fresh . everything look nice 2 month old instinct 18 month old will not nearly appeal choice . room small , closet small , bathroom counter small , overall space fairly adequate unpack & amp ; store suitcase top closet . north side high floor will love view , least get bargain . neighborhood would rather stay splendid luxury Mercer , low rate start $ 600 per night league . will never stay midtown . 
 Jan 6 2009 	 initial hiccup overall pleasant stay 	 friend book week New York welcome 2009.bee New York lot hotel expensive mention book 26th December 31st December . happened come across hotel via Expedia upon read people 's review see price hotel happy book it . we book hotel via UK Expedia website select 2 double bed option . pay stay full . upon arrival , come discover give 1 King Size room house 4 people ! ! ! ! unfortunately 2 double bed room available new year . lady front desk helpful explain we Expedia give additional information would need contact Expedia try sort . offer we discount rate extra room want . 3 be London , unable contact UK Expedia , pay extra room decide try call Expedia morning . end Expedia refund we money deal hotel directly . people hotel helpful understanding situation make stay little bit pleasant . some advice ; try book hotel directly least double check hotel arrive make sure get ' ve request upon booking . the room size expect New York hotel 2 set luggage plus shopping , room fine . room clean pretty much everything require include in - room safe LCD tv . bathroom pretty roomy think little shelf room house toiletry 's . although WIFI room ( plug laptop internet cable ) , internet free . bed comfortable quite sad leave come back bed : ) thing think 's lacking room tea make facility - guess Americans coffee people .. offer free basic breakfast morning great . well way start morning bread , fruit , tea / coffee / juice . there also computer printer available use patron also free . Handy ' ve forget print something important print boarding pass etc . the hotel street right across Holland Tunnel pretty bad traffic peak hour . good bet get drop either 6th Avenue Varick Street walk minute hotel sit traffic . quite subway line available nearby too . overall stay great . room great , location great , service great . would definitely recommend anyone ! 
 Jan 4 2009 	 nice great value oustanding service ... 	 stay entire week nye location outstanding , near canal st . little italy , great restaurant around safe neighborhood , close sub station 10 minute time square ... front desk good part make stay nice experience ... 
 Jan 3 2009 	 typical Hampton Inn - good way ! 8.5 10 	 Room Type : StandardRate pay : $ 149 per nightreason stay : BusinessOverall Average Score : 8.5/10location - 8/10very convenient subway , short walk shop dining option , get direction first . downside : hotel right one main road tunnel , make traffic mess peak period . cab get , 's lot easy let around corner ( note , since new hotel , cab driver familiar , tell Watts Varick downtown ) . also , extra traffic mean decent bit additional road noise peak period . Room Design - 9/10the room small US standard , fine NY standard . space available well use , plenty storage option . bathroom ok sized . would recommend room 2 people . Room Amenities - 9/10standard Hampton toiletry . nice touch include screen saver feature LCD tv music Hampton alarm clock . drape close tightly , always plus ny.design Layout - 8/10Unlike ' traditional ' Hampton Inns , hotel try modern look mostly succeed . entry area fairly invite small , lot people check could problematic . amenity - Non Club - 8/10There executive club hotel . small decently appoint fitness room basement level breakfast area serve large seating area day 24 hour coffee available . there gift shop location purchase sundrie . near drug store 10 min walk . one lack wireless internet room . however , provide cord long enough reach almost around small room . Club Room - applicableHotel Staff - 10/10I please hotel staff . friendly knowledgeable willing help . housekeep great day , room clean freshen . dining - 10/10 ( breakfast ) dining hotel include free breakfast . small bar still wait license open . Breakfast well do . day include different hot selection well bread , fruit , cereal , etc . seat area well light keep clean food always hot well stocked . comment note : hotel new ( 2 month ? ) offer low rate attract traveler . easy access Tribeca / SoHo area good downtown location , value miss right . 
 Jan 2 2009 	 economical gem expensive city ! 	 return NYC . book trip , hotel , back June ' 08 $ /£ exchange rate pretty good . however know economy since take tumble . therefore look cheap hotel begin December come across Hampton Inn Soho open couple review - albeit good review . decide take plunge let down . before go Hampton Inn Soho Plaza Mandarin Oriental , never go try . however brilliantly good value hotel city expensive . Hotels NYC rarely offer breakfast within room rate . Hampton Inn generous offering include : - choice coffee ( Robust Regular ) , tea hot chocolate 24 hour day take drink hotel take away you.- good , help much like breakfast , include choice cereal , fruit , yogurt , bagel , toast , cheese scone , egg , sausage , waffle , honey , Philadelphia , peanut butter.- Fruit juiceThe check super fast easy . within less 5 min ' room . I ' ve never another hotel New York read review lot , size room appear small side . king room ample size . slight issue space end bed desk problem . room actually nice . bathroom great double size shower ( bath though ) . room decent size plasma watch early morning show hit city . also radio alarm clock . well free internet access hotel . New York Times USA today newspaper also free take away . the front house staff friendly , approachable helpful . make sure get map work way around city . always smile face . the location great . want midtown tourist trap hit spot we . turn right hotel walk 30 foot Fifth Avenue , take around 30 minute Madison Square Gardens 50 minute Times Square . also Subway stop call Spring Street 1 minute 2 minute hotel Fifth Avenue take downtown . also edge great area Greenwich , Soho West Village - favourite place NYC.In Summary would highly recommend hotel , offer great value money great location great city . happy give detailed advice anyone think stay . drop email ! 
 Jan 2 2009 	 Great Hotel Soho ! 	 arrive hotel 11:30 short flight Atlanta pleasantly suprise ! front desk staff extremely friendly ! thank Tianna ! make reservation hotel request room far elevator possible light sleeper ! shock step elevator see assign room 1204 right across ! immediately go back downstairs Tianna assign we room 1507 incredible ! fantastic view Empire State Building ! ! hotel quite small 9 room per floor ! make sure request room back side front face road lead Holland Tunnel ! room small 2 nice size wardrobe belonging ! unpacked everything place suitcase top ! bathroom zero counter space toiletry , use drawer desk store makeup hair product ! bed cozy nice linen ! breakfast typical chain hotel ! Cereal , yogurt , bagel , muffin , fresh fruit egg sausage ! hotel 2 block subway make easy get around ! ! would definitely stay ! 
 Dec 27 2008 	 maid 's day ? 	 four friend share room hotel 4 day . staff front desk great & amp ; location close subway good thing . problem seem housekeeping . not know maid new carpet vacuum , bathroom clean ( hair & amp ; toothpaste still sink & amp ; bathtub ) , & amp ; one day give we 2 towel 4 we . call front desk ask towel bring within 10 minute say front desk great , little disappointed housekeeping . 
 Dec 26 2008 	 Perfect ! 	 return wonderful stay 3 night . room sparkle clean , new , comfortable NYC , fine towel , bed linen , in - room safe , closet drawer space fine ( cold ) breakfast . staff attentive , helpful , gracious . desk clerk even run hail us cab . location great -- close subway Chinatown , etc . exercise room nice . 
 Dec 20 2008 	 good value gem 	 stay family party Manhattan use Hilton Points . we feel we great deal . parking free since weekend . alone make hotel find weekend get away . plus nice free breakfast Sunday complimentary NY Times . coudl want weekend NYC . location excellent right heart soho- great shopping . street Vosges Kee 's Chocolatiers among NY 's fine . the hotel immaculate nice high tech room bathroom . floor dozen room place nice quiet . highly recommended want stay Soho . usually quite critical hotel praise place . would stay . 
 Dec 15 2008 	 start problem overall lovely stay 	 hotel room ready get 3 pm , problem , check bag walk nearby fantastic shopping . room spacious , expensive hotel . clean modern . check staff get bill wrong could cost lot credit require . overall satisfied would definitely go back . 
 Dec 14 2008 	 Pros Cons ! 	 pro : - good location concern mass transport ( several bus subway line close ) SoHo / TriBeCa shop dining.- nice staff.- Good housekeeping.- Attractive ( though obviously low - cost ) design approch.- great bed . con : - bad location regard taxi ( approach hotel peak traffic get stick Watts St. lead Holland Tunnel chronically congested hour ) , mean hail taxi distance hotel ( impossible us post - cruise luggage we ) get set back 65 usd limo ( take one hour arrive ) .- room incredibly small even NY standard , though try make provide lot storage space drawer wardrobe , travel one suitcase , company , get problem move around room.- check - cash front desk.- quite noisy room face Watts St. especially morning traffic jam a / c lead outside.- real bell staff hand . baggage handle front desk ( mostly lady ) designate staff members.- quite expensive ( 281 usd per night although NY fully book - Hampton Inn Times Square offer room 249 usd time ) .advice : - avoid room number end 01 09 accord floor map seem especially tiny avoid 05 03 ( elevator room ) .- go room number end 07 . seem large room . 
 Dec 13 2008 	 Hands - well worth every penny 	 Hampton Inn Soho far FAVORITE hotel New York City ! ! Hampton Inn , hotel unlike see many year traveling.1 ) design : right enter hotel , awe design - steel beam column lobby fit well historical industrial neighborhood . quick personable check - in , notice 2 gong behind front desk . bar , 4 plasma screen tv large one near breakfast area . absolute favorite spot hotel greenhouse back . giant buddha head ground candle line wall behind stream flow middle room . good part ? ... staff mention warm month , retractable roof open . definitely come back check ! ! room pretty spacious Manhattan . ' ve stay room cost arm leg , without convenience cozy room Hampton Inn Soho . bed amazingly comfortable ! ! stand shower great , good water pressure , nice bathroom amenity . 18th floor view breathtake night - girlfriend sit bed gaze light city Empire State building Chrysler building.2 ) location : 4 day visit NYC , staff cater beautifully need check - in hail cab help bag check - out . since girlfriend never city , staff recommend numerous tourist attraction , inform we special good time go show , point we direction great restaurant good shopping . couple step hotel West Broadway , line designer store , good brunch spot like Balthazar , upscale bar club . hotel also near Greenwich Village , tribeca , Chinatown . could not ask well location ! ! nyu right around corner ... lot restaurant bar area.3 ) PEOPLE : side note - hotel attract good look people . sure 's neighborhood Hampton Inn , impressed . everyone really trendy gorgeous ! vacation way short , bet back Hampton Inn Soho ... love trendy , hip design , young fashionable people , convenience restaurant , nightlife , shopping , site - see Manhattan , friendly staff warm smile genuinely want we enjoy stay . like say .. hand BEST hotel Manhattan less $ 250 ! ! ! 
 Dec 2 2008 	 Reliable Inspiring Beautiful 	 Hamptons normally stay company account . franchise , normally run mill nothing exciting . Hampton Inn Soho gorgeous . location want , SOHO . hotel jam pack design inspiration beam column , greenhouse . employee warm welcome . hard communicate housekeeper , helpful cheerful . usual , free breakfast coffee . Hampton 's continue build property distinction , pleased . view upper floor stun well . definitely back . 
 Nov 23 2008 	 Excellent Digs Amenities Services tour Big Apple 	 Short version : clean ; amazing value ; incredibly warm , friendly , accommodate staff ; good location . long version : need place stay film festival East Village . choose Hampton Inn need two bed place clean -- travel persnickety person . thank review TripAdvisor , select property other close East Village . ' m glad ! ( 1 ) check - in breeze , friendly , warm staff . woman explain available , find , etc . also shortly settle make sure everything satisfaction . front desk Otis Spunkenmeyer cookie , mint , snack gratis . also free coffee available 24 hour lobby . ( 2 ) room great size Manhattan standard : two double bed great , fluffy comforter three pillow per bed . little lap desk people want use laptop lie bed , two dresser , desk . everything spotlessly clean , include bathroom . great water pressure , lot hot water . plenty towel : two large one per person , two washcloth per person , two hand towel per person . ( 3 ) Breakfast include . cereal , fruit , yogurt , muffin , toast , PB , honey , biscuit , hot chafing dish sausage waffle . Breakfast serve 6 am 10 , Saturday morning leave food slightly long accommodate later riser . ( 4 ) free internet . ' Nuff say huge plus . also computer printer lobby , use print boarding pass . also free . appear cater business traveler , friendly helpful tourist crowd : take - out menu , map , tour recommendation .... like & quot ; ask ! & quot ; negative -- -which really quite minor one -- -is properly locate right near Holland Tunnel . traffic back street hotel , taxi may drop block avoid get stuck traffic . be quick walk 6th Ave Houston , Bleeker , Spring street right heart Soho . pay ridiculously cheap $ 159- $ 189 / night , book hotel 's website . generally try avoid patronize sterile chain establishment , would make exception property . definitely back ! 
 Nov 21 2008 	 talking ! 	 Hampton Inn Soho perfect locaiton . great shopping , art gallery , nightlife , restaurant , culture history within block . subway 2 block away . Soho 's main artery 2 block away , art gallery 2 block away well . West Village great nightlife either NYU hangout , jazz club , comedy club pub . restaurant abundant Soho . think 20 3 block radius . chinatown , tribeca , West Village , Little Italy within 5 10 minute walk . hotel clean new . room spotless . checkin extremely efficient . lobby gorgeous well design . greenhouse first see New York City . fantastic stay family would highly recommend anyone . want stay away tourist trap , come side Soho stay away Times Square . 
 Nov 3 2008 	 Loved hotel 	 concerned book hotel NYC since never really know find city large . hotel open day two check love everything . hotel personnel extremely friendly , helpful . hot breakfast morning ' ve see hotel . usually get continental type breakfast . room beautiful perfectly clean night come back room . bedding bed extremely comfortable . concern , bathroom need counter space shelf spread in . I would definately plan stay hotel , experience , Hampton Inn . 
 Oct 21 2008 	 Great Hotel 	 great hotel . decor detail typical Hampton Inn . feel like really soho hotel embrace image , especially expose beam lobby . giant head greenhouse unexpected add effect trendiness . room good size nyc room . north face room 16th floor great view empire state building . staff helpful refer great place eat . thing would make well bar open . would great grab quick drink go . 
 Oct 13 2008 	 outstanding value . 	 new hotel open 2 week prior stay . hotel well decorate contemporary upscale theme . staff helpful friendly . find bed comfortable appear same / similar bedding / bed find Hilton Garden Inn chain . 32 & quot ; LCD room two armoire 's place belonging . room North side around 14th/15th floor small relatively large Manhattan . wall / door soundproof little thin . quiet room hear next room tv normal level , muffle overly disturbing unless sensitive . city noise noticeable either except occasional siren beep . New York though somewhat expect , never awaken noise . bathroom nice granite , stainless steel , glass touch . shower door slide glass heavy , mine keep slide open due weight door , quick fix . also light bathroom keep pop , sure not normal switch button tap nightlight embed light , must hiccup switch newness site . issue sometimes electric card reader door want work take couple try get room . real surprise hotel complimentary breakfast . coffee , tea , juice , yogurt , bread , bagel , muffin , pastry , fresh fruit , oatmeal , cereal , egg , usually meat choice although one day meat . fresh fruit awesome every day , enough get healthy breakfast , egg great , powdered fake something like . also give USA Today room lounge get breakfast . surround area lot place eat shop , safe walk around get subway easily , get cab Watts St difficult due proximity Holland tunnel , front desk assist call cab front door . easy walk corner 6th Ave hail cab , desk assist . wire wireless Internet , ( free guest , give internet access code ) , solid broadband connection 500k 1.5 m up / down . stay hotel visit . 
 Sep 29 2008 	 Gem Heart Soho 	 ordinary Hampton . walk expect see silver lobby high arch , pendant lighting , silver backdrop , stream artifact buddha head .. however , want look . place nice , especially greenhouse . bar open yet . ask front desk bar suppose open give date . hotel use lot steel , glass iron give industrial chic feel . do not surprise Soho know cast iron district . guestroom pleasant bed comfy . corridor pleasant city unframe artwork unique lighting . realize bed like 4 different kind pillow case one do not work , switch another . lcd tvs room . chair do not fully go desk though . gym freeweight , bike , elyptical , treadmill mat . meeting room stainless steel tile .. small enough 10 people . the hotel 2 block away West Broadway , know shopper row . trendy european feeling neighborhood . compare pay 500 + night hotel neighborhood , mine $ 300 2 block away .. 
 Nov 23 2009 	 hotel 
 Nov 18 2009 	 Super Hotel für Städtereise 
 Nov 17 2009 	 quasi parfait 
 Oct 26 2009 	 Incontournable ! 
 Oct 13 2009 	 Ottimo rapporto qualità / prezzo 
 Oct 8 2009 	 Hotel pulito e già questo è piu che sufficiente ! 
 Oct 1 2009 	 hotel sympa bien placé à prix raisonnable 
 Sep 16 2009 	 preis-/leistungsverhältni nicht zu toppen 
 Aug 22 2009 	 Génial super confotable et prix compétitif 
 Aug 12 2009 	 city never sleep .... 
 Aug 5 2009 	 Manhattan hautnah 
 Jul 29 2009 	 Hotel ohne Bar 
 May 18 2009 	 Giusta mediazione 
 May 18 2009 	 très bien mais petit bémol au niveau du bruit 
 Apr 10 2009 	 Excelente ubicación terraza propia increíble vista un precio imbatible 
 Apr 8 2009 	 Muy buena estadía un buen precio 
 Mar 24 2009 	 Hotel ottimo tutto 
 Jan 25 2009 	 très bon séjour ! 
 Jan 12 2009 	 Fantastica eleccion . 
 Jan 7 2009 	 ' send bien ! 
