Charming 	 wonderful stay Inn Opera ! locate across City Hall nice walk Union Square . decor charming quaint , yet update classy . service excellent . 
 Charming lovely ! 	 charming lovely hotel , minor glitch . first , room prove rather noisy : awaken nearly every morning neighbor shower ! could not believe loud sound water pipe ! ! ! ! ! real problem , though inattentive concierge , spend time sound like personal call look see people wait thing could help . 
 LOVE Inn Opera ! 	 recently spend night perfectly situate Inn Opera San Francisco . small hotel right across street stage door gorgeous San Francisco Opera . short walk wonderful restaurant shop , great location stay San Francisco . rent car time , determined figure driving , right Civic Center make easy get around . tiny lobby , big hearted staff , love guy park car take care we , delightful concierge print huge list vintage shop woman make tiny room big people complain ... look next trip , catch music , vitality , joy Inn Opera . fun ... two old , somewhat handicapped seasoned traveler . 
 great stay 	 staff friendly accomadating . hotel bit worn clean charming . room bit small , adequit . location outstanding San Francisco performance Hays Valley reason . 
 Jan 9 2007 	 Charming . . . 	 second time ' ve stay . charming , wonderful european atmosphere . staff friendly . will feel quite home . price certainly right centrally locate quality hotel . , however , expect charm personality . room European , , small spartan . 's individual room climate control , get whatever heat / AC hotel think appropriate . ( be January writing room warm ! thank God window open . ) wall thin neighboring room 's plumbing right next bed , someone next door shower morning , noise deafen . not try sleep late . ovation restaurant ? bar not bourbon ? unbelievable ! complimentary continental breakfast poor even european standard . even two - star hotel Italy ' ve stay diverse interesting breakfast option . finally , concern staff training . yesterday blackout neigbhorhood . power go , front - desk staff panic . not know , call . stand front desk pick phone wonder not work . emergency exit light work properly . hotel staff show control , suggest call power company cell phone , etc . * * train emergency response measure , ? 
 Sep 30 2006 	 nice hotel time share exchange 	 stay IATO Labor Day week . loved hotel , be quiet , intimate clean good location . & quot ; junior suite & quot ; , bedroom adjoining sit room / kitchen ( well , sofa , small table , sink , microwave mini - refrigerator ) . virtual tour website accurate depiction room , note mirror wall make junior suite look like two bed . would stay , time share exchange - -since 's resort on - site amenity usually experience exchange . the continental breakfast ok day , never change offering , will become bored couple day . go around corner Citizen Cake instead - - great coffee , breakfast people - watching . also go crepe place across street Citizen Cake ... good . 
 Aug 25 2006 	 great find ! ! 	 great value ! room exceptionally small .. enough bed room walk around . ( hard get use ) however , keep tidy & amp ; day suitable . microwave room , neat & amp ; excellent little ' kitchen ' area small fridge , plate even wine glass ... chic ! ! Maids friendly good job leave chocolate behind do ... nice touch . remember hotel boutique hotel old .. slight musty smell hallway gag .. get use . great renovation hotel old . room CLEAN update . front staff excellent ; complimentary breakfast great first boring day . elevator surprise innovative .. see . : ) waiter courteous first . ' tab ' folder place table breakfast paper indicate tip suggest . day observe waiter sense anxiousness await open ' tab ' folder . reaction waiter unreal ... & amp ; talk language . good feeling . 
 Jul 24 2006 	 Charming a / c 	 charming hotel ... use stay many year ago ( travel business ) forget stop agency book we . soon arrive , remember ! air conditioning ... stay July 2006 room hot , ask fan help , still , room constantly around 78 degree ! love hotel service , not get summer ! another thing surprise we time room service menu . one vegetarian item . vegetarian , quickly get bored eat thing . luckily many good restaurant nearby 's big issue , hotel nice ( except lack a / c ) well room service menu . I go back , winter ... 
 Jun 21 2006 	 nice small room ... 	 husband travel Inn Opera mid - July . friendly , helpful staff , conveniently locate place want go . breakfast morning pretty good , week , get little tired . ever change buffet menu , already quite limited . the room nice small . bed barely fit room let alone give walk space . look spacious place stay , may good option . the hotel clean part , find hair bed sheet shower ... completely gross out . I really like turn bed night leave chocolate bed . nice add touch ! one restaurant must try ... Scoma ! ! 
 May 8 2006 	 absolutely delightful 	 spend weekend hotel charming . attend ballet choose hotel location - right around corner venue . 's Hayes District , house many top restaurant dessert / drink cafe . area 's architecture pretty - in heart Culural Arts / Civic Center District . upon arrival upgrade Junior Suite - a pleasant surprise . room lovely many nice touch . parking package valet service great . cookie early everne look delicious way dinner . service great - very willing please . continental breakfast lovery restaurant good- nice array food beverage choice . find ! 
 Apr 12 2006 	 romantic great honeymoon 25th wedding anniversary ! 	 husband fall love San Francisco 25 year ago want stay great location San Francisco 25th wedding anniversary . stay Inn Opera relax , romantic week entire marriage ! staff treat we special know anniversary . want return every year ! 
 Mar 16 2006 	 great service 	 husband stay hotel week via time share exchange . delighted hotel . room small people use find cozy nicely furnish . not find bathroom small . breakfast well usual continental breakfast . several kind cereal , muffin , bagel , toast , danish well hardboile egg , pineable , watermelon cantalope , banana several kind juice well coffee . enough start day . breakfast lovely restaurant , Ovations . room service real bargain food Ovations kitchen good . front desk acknowledge room small say try make fine service would say excactly . guest invite wine cheese party week could chat fellow guest meet management . hotel well lite area right across City Hall near Opera , Symphony Ballet always something go people around . area direction Market St good direction toward Gough nice restaurant shop . restaurant recommend Citizen Cake Indigo . use 7 day pass use lot cable car , bus & amp ; trolley . not really need car hotel garage need one . take Wine tour company call supersightseee less crowd Gray Line tour run . tour guide ( Steve ) wonderful knowledgeable . good place see walk tour Pacific Heights victorian home great view City . stop Union St. Pacific Heights great cafe boutique . would definitely return hotel visit . 
 Mar 4 2006 	 nothing much trouble 	 staff could helpful courteous , Jose - Louis help we end staff helpful friendly . Inn Opera ideally locate walk close reliable public transport . not take cable car hurry , car operator certainly not ! 
 Feb 5 2006 	 charming small hotel 	 husband book hotel base 's location positive review . stay one night attend SF Ballet 's & quot ; Swan Lake & quot ; . ballet beautiful hotel short walk away . staff friendly room extremely small . would estimate 200 sq foot . room 4th floor window look alley nice could open fresh air unseasonably warm . bed comfortable unfortunately discover ear plugs drawer nightstand next morning . awoken 1:30am extremely loud garbage truck alley empty garbage bin find difficult sleep due noise night . bathroom small difficult find space put toiletry shower adequate pressure . complimentary breakfast morning continental style , choice . rather strange waiter hand tip portfolio breakfast , since nice enough refill coffee cup we leave dollar . parking package book via internet $ 142 / night . although hotel adequate , feel accommodation simply small comfortable . next time visit SF seek hotel large room , even location convenient . enjoy nice dinner Hayes Street Grill sure book advance reservation performance night get crowded . would recommend grill fish , french fry course wondeful creme brulee ! restaurant area , expensive service absolutely wonderful make lovely meal . 
 Nov 10 2005 	 think small 	 perceive inn depend much , think , package arrange hotel 's website . stay property ten different occasion , hope provide insight . we almost always book room parking include . since parking rate $ 25 night plus 14 % tax , snare arrangement . since many guest seem mind small room , problem unless large suitcase . room equip kitchenette ( microwave , small fridge , enough utensil reheat food ) two packet coffee , replace $ 1.75 . policy force four five year . yes , replace daily , free . the service desk accommodate , , thing not work properly room , count help fix thing . room likely assign randomly , even request specific room . often inn fully book performer and/or guest management always guarantee request . , however , ask room adjacent room jacuzzi tub , noise bath suite make sleep difficult . street - side room nice neighborhood view noisy choose leave window ( ) open . since air - conditioning , certainly need occasional hot day . a complimentary continental breakfast include ( inspire fresh fruit unlimited drink ) , yes , folder present upon departure . heaven 's sake , put dollar two . many establishment . ' ve eat couple time opulent restaurant Ovation , locate past front desk . although enough choice menu , price escalate seriously enough service grow indifferent good , point long recommend . try instead Absinthe , Jardinière , Hayes Street Grill , , super budgeter , Stelline 's . 
 oct 9 2005 	 none well 	 famliy stay Inn 2nd 3rd Oct . pull curb wife recieve call mother ( 85 ) rush hospital Spokane , Washington look good . 10:00am Sunday morning . hotel let we check early , staff look book wife plane Spokane . mother law condition improve next hour decide stay . room 64 , suite , absolutly delightful . sit / kitchen area , living room / 2nd bedroom , full size main bedroom , two full size bathroom . staff nothing excellent every instance return accomadation plan vacation Bay area . 
 Oct 4 2005 	 review Hotel ? 	 can not understand review Inn Opera . , ( 2 couple ) , find excellent . book Expedia get excellent room £ 55/ $ 96.some reviewer say room small , US motel standard , europen standard good size . the staff efficient , courteous friendly , room spotless . towel seem change soon wet ! continental breakfast extensive , delicious good , complementary ! ok , not Fisherman 's Wharf , Union Square , reflect price , many people ( we include ) , regard plus point , minus . you walk Market Street cable car 15 min , cab ( 4 people ) $ 8 anywhere centre , back beyond . check hotel town similar price , one choose - highly recommend . 
 Feb 8 2005 	 Old - fashioned attention 	 great location , friendly extremely courteous staff , reasonable price . little piece european boutique hotel elegance San Francisco . near great shop interesting eatery . plan stay next month ( March 2005 ) . 
 Jan 24 2005 	 Petty 	 must complain incident occur stay . first , find room stay January 18th 19th cramp . barely room walk around bed armoire door open fully view television . otherwise , staff well mannere everything else satisfactory except small incident . tell however petty may sound find charge $ 3.50 unjust . complaint coffee packet leave room . $ 1.75 charge request extra coffee packet . assume mean per day find ( dismay ) charge $ 3.50 request another decaf caf packet second day stay . tell maid must forget put room could even speak English well . assume make mistake frequent hotel always give additional coffee packet free charge day clean room . know would charge checkout . petty charge really bother . 
 Oct 25 2004 	 old Hotel Nice Staff Small room 	 stay one night October 2004 . make reservation hotel 's website get room $ 109 per night . unfortunately , call airport find hotel 's cross - street confirm room available , learn hotel erroneously make reservation 10 day later . hotel tell full would find room reservation mistake fault . arrive find hotel locate essentially behind city hall , put walk distance government building Civic Center . however , street business ( appear old apartment building metal security gate ) , night dark walk restaurant Van Ness ( California Pizza Kitchen , Chevy 's , noodle place , McDonald 's ) seem like good idea . hotel rather small . lobby consist small sit area front desk . elevator ancient contraption claim fit six person . classical music play hotel , include elevator . assign room 68 6th floor overlook street . furnish antique - look furniture , include amoire desk . also sink , microwave undercount refrigerator . bathroom tile , tub / shower combination , thick towel , nice toiletry . everything room appear generally tasteful good condition . fact hotel old noise travel wall would old home , drawback room small size . literally one foot space end bed front amoire . the staff pleasant check - in check - out . all , Inn Opera small , kind creaky hotel , small , nicely furnish room , street lend walk night , nice staff . would stay . 
 Sep 9 2004 	 Perfect Accomodations ! 	 want give niece mom ( sister ) treat birthday . want nice accomodation could relax time conveniently close bart station theater . two room Inn Opera room separate bedroom double bed living room area make another bed . bed comfortable , area roomy , well treat breakfast bring room . staff nice could ever meet help we map , bus , taxi , direction ! amazing weekend would go back second ! 
 Aug 23 2004 	 IATO great place stay 	 Location nicely appoint comfortable . staff ever ready assist whatever may need . get call manager offsite , regard connection internet room . breakfast good . stay chain hotel expensive not offer ammenitie IATO . Parking Package great deal . stay IATO whenever SF . 
 Jun 16 2004 	 Nice Hotel Overal .... 	 Overall Inn Opera boutique hotel ( nice , antique furnishing ) small side . however , beware noise issue . hear plumbing surround room ( toilet flush , water pressure pipe run shower / bath , etc . ) . noise get quite audible odd hour . still , get home night , room true oasis . hope room work ! nice , quiet ( non - Union Square ) locale relax . 
 Jun 7 2004 	 Great Location . . . 	 location perfect event opera house , symphony hall , etc . the hotel special . european ( i.e. , small room , small , slow elevator ) . dining room could accomodate we dinner call day advance . call front desk cab wait half hour , cause we late off - site dinner . when ( other ) return opera ( Saturday night 10:30 p.m. ) , restaurant bar close . go elsewhere drink . the price , however ( $ 99 - Orbitz ) , right . 
 Apr 23 2004 	 Great go Opera Ballet Orpheum 	 go see Lion King Orpheum Theater spending night . look hotel along Market St. find one Market Opera House . want within walking distance Orpheum . 's 10 - 15 minute walk theatre , not walk theater market , use Hayes . avoids panhandler ( especially night ) . restaurant hotel great , service good room , though small , quiet comfortable . 
 Mar 8 2004 	 Excellent service great hotel 	 extremely pleased service attention detail hotel . staff accomodate pleasing talk . complimentary continental breakfast great , mention convenient . we feel safe walk neighborhood trouble find good restaurant within walking distance . would definitely stay make way back San Francisco . 
 Feb 11 2004 	 Immaculate Hotel Safe Area 	 impress two star hotel -- friendly helpful staff , pretty , clean ( rather small ) room , fresh complimentary breakfast , free daily newspaper ( except Sunday -- $ 1.50 ) , fresh cookie every evening . area ( 333 Fulton Street ) nice also . attend ballet practically next door walk around area feel safe secure ( Hayes Street great shop ! ) 
 Feb 5 2004 	 stylish friendly 	 stay August 2001 find hotel beautifully appoint turn century european feel . room small well appoint situate beside Opera , ballet City Hall far business district . breakfast lavish cold buffet , everything superband include price . drink bar expensive though . lucky return SF , would want stay . 
 Oct 28 2003 	 gem - Inn Opea 	 although hotel close & quot ; touristy & quot ; attraction ( i.e . Fisherman 's Wharf , Ferry , etc . ) , inexpensive cab ride away across Opera House Ballet . right heart variety restaurant bar within walking distance . hotel staff superb - knowledgeable accomodating . request bother could accomplished . warm cookie await front desk late afternoon return day 's activity . hotel absolutely charming tight posh interior . room european style expect small quarter ( i.e. , armoire instead closet ) , clean nicely decorate . complimentary continental breakfast could beat . great start day . would stay Inn Opera heartbeat ! 
 Aug 25 2003 	 good choice 	 enjoy week stay Inn . charm feel small euro - hotel . staff highly professional attentive . Valet parking prompt secure . room well appoint clean . breakfast buffet worth money , dining room cosy . hotel around corner many small , top - notch restaurant , City Hall - Opera House complex , Market St. will back . 
 Oct 29 2009 	 nous avon fait un excellent choix ! 
