Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Sep 11 2008 	 good hotel budget conscience traveller 	 boyfriend stay 4 night start Sept expect much prior arrival due previous review photo get room ( 11th floor ) , pleasantly suprise . think must one renovate room . expect really chintzy bedspread floral pattern everywhere , get nothing like that . the room decent size New York hotel . wardrobe big enough put suitcase away . in - room safe wardrobe ( find upon check pay $ 1 day ) . room hang clothe ( hanger provide ) space shopping bag . bed comfy . television mount wall . table chair room well . fridgethe bathroom small , big enough need for . Breakfast include . get basic : bagel , juice , tea / coffee , toast , doughnut , cereal . cutlery plastic , take we suprise . get cook breakfast will cost dollar . location good - never far attractionreception staff not friendly bunch people ' ve ever meet . recommend nice chinese restaurant across street ( next korean restaurant ) room not clean till late afternoon ( 3 pm ) 2 day . ' maid service ' sign hang doorif go New York explore city shop spend whole time lock away hotel , place fine . 
 Aug 14 2008 	 great location 	 return trip nyc stay comfort inn mid town manatton great location around corner empire state building macys department store . tell book would minor buiding work go stay saw indication whatsoever .the hotel clean perfect need base new york . bathroom rather small closet think would struggle hang clothe stay daysthe free breakfast set we day great stair wells narrow attractive use lift fine .staff pleseant helpful would definatly stay everything easy find location . 
 Aug 13 2008 	 Location Best Thing Hotel 	 love location hotel . Macys , Herald Square , Empire State Building right around corner . Times Square short walk away . stay NYC time small hotel room yet . room clean carpet replace year ago find electrical outlet fall wall bit disturbing . lobby attractive everything else build look old . furniture bad bed okay , guess hope little well . need lot room expectation high , hotel fine , come NYC stay hotel room ? free breakfast -- usual fare -- would love fruit see . overall -- staff nice , great location certainly okay one night stay . 
 Jul 23 2008 	 Love Place ! ! ! ! ! 	 first stay hotel 1995 ist time NYC , book part package Virgin Holidays . next visit November 2004 wife & amp ; 2 kid , Virgin Holidays . visit every november / december since christmas shopping & amp ; would not stay anywhere else . the location absolutely perfect shopping , 5th Ave one end street , Macy 's end street . walk Times Sq around 10 min . hotel safe location , side street runnung 5th & amp ; 6th Avenues . room fine , old hotel & amp ; people site seem knock spotless would expect modern hotel . always find room clean & amp ; well keep , fresh towell day & amp ; nice warm , safe environment . would not take kid not good . the hotel two small lift time may wait moment real problem . hotel offer free continental breakfast morning serve Brendans bar , wide selection cake , pastry , cereal , juice , tea / coffee & amp ; also fresh fruit . love & amp ; set ypu nicely day ahead . hotel staff friendly , NYC may find little abrupt , get use fact New Yorkers like busy city & amp ; everything move quickly . get know staff well & amp ; treat nicely treat nicely . brian senior reception guy absolutely great , need information anything ask & amp ; ; help . Benny luggage / concierge guy absolute diamond , real New Yorker heart gold . really say , love hotel , staff & amp ; city . want info go , see & amp ; good get ticket please email & amp ; share knowledge & amp ; experience New York . davidsweeney2 @ aol.com 
 Jul 5 2008 	 Good Location 	 hotel locate good location . easily walk Empire State Building Macy . also walkable Times Square , Public Library Central Terminal hotel . also close subway station . however , hotel provide we small room poorly design maintain bathroom . different photo show website . though bathroom poor , still recommend hotel friend due location . 
 Jun 23 2008 	 ` ` ok '' 	 stay get two free night Choice Privleges point . however , pay would disappoint . room small dark . bed look clean however dust floor board . could use major scrub . breakfast & quot ; ok & quot ; coffee tea lobby day . however , one morning go get coffee breakfast open decaf lobby . desk clerk suggestion go street rather make regular coffee . elevator slow one broke lot . also , ice machine 2nd floor never work entire stay . would go elsewhere price . nicer hotel midtown cost . look . 
 Jun 22 2008 	 Dark dingy room 	 upon arrive hotel first impression Lobby area 's small clean , date well maintain . upon take elevator 3rd floor somewhat disappoint standard corridor area , could serious update . feel like wandered accident staff area hotel ! unforuntately case make way room 307 . whole time give door one hell kick open inserting room keycard.we attractive view brick wall , window recess mouldy top window outside dirty even light able enter doubt would able penetrate dirt ! make dingy room result 3 lamp daytime able see do . the rest room average , apart dodgy look stain carpet make reluctant walk around room shoe sock on . the bathroom basic clean . the hotel good location plenty hotel also close area can not bad one ! return New york future avoid hotel like plague . 
 Jun 12 2008 	 clean 	 stay 3 day beautiful hotel . room stay 403 clea spacious 2 bed . bathroom spacious well . empire state building macy one block subway take uptown right well . good restaurant extensive free breakfast great pic 
 Jun 6 2008 	 not expect much will ok 	 ' ve NYC time big fan stay Jersey make short trip PATH train . fin hotel much nicer usually around half price . anyway .. meet friend leave early next morning get hotel . take context , price , 's rubbish . context , be talk Manhattan .... room big enough ( admittedly comfortable ) bed bathroom tiny clean .... 's ... room could find available Marriot $ 500 / night ... therefore , take account location comparison hotel nearby , represent good value . , favour , prepared travel 10 minute stay outside Manhattan . 
 May 20 2008 	 great location 	 great hotel locate near Macys one block away . empire state building direction one block away . easily walk times square 15 - 20 min . hotel great restaurant bar , load different restaurant area fancy something different . great base explore Big Apple , would definately stay 
 May 13 2008 	 great place stay ! 	 fortunate use hotel 2 night stay NYC April 2008 . find room clean , reasonably quiet city ( sleep well ! ) , convenient see sight . everything work great . staff courteous helpful need . negative , would say could use small refrigerator . would recommend hotel anyone ! 
 May 2 2008 	 Perfect location Superb Room Friendly Staff ! 	 three friend stay hotel Apr 3 - 5 , 2008 . pleasantly surprised central hotel many wonderful thing NYC . Macy 's Herald Square literally across street hotel ( well , exactly across street right corner block ) . close Empire State build many subway line . staff eager please we approachable reference suggestion dining , sight - see ! room small ( two room ) clean perfect expect ( not go NYC spend time room ) . bathroom spacious , clean great water pressure . continental breakfast , include , fill exactly need get day start . free coffee available lobby 24 hour day computer high speed internet service also available lobby free guest use ! would definitely stay ! friend love well ! 
 Apr 22 2008 	 could not ask well 	 friend stay 11apr-16apr08 . upon checkin non - smoking room request know guarantee we . willing move we follow morning provide we air freshener meantime . end stay put smoking room keep window open problem room length stay . our room clean tad big expecting ; always plus . bathroom also clean . floor dip get room right step bathroom could possibly ruin holiday . say enough staff . accommodate kind . friend may feel differently , though , try call complain noisy room next door ( word ) greet indifference two call front desk . tell deal opinion clearly . also difficulty in - room safe repair we wonderful trip dampen spirit all . the location perfect . subway station block we , Empire State Building right around corner , shopping girl Macy 's skip away ! enough smackdab middle glorious garment district ! take willpower spend whole time try gorgeous clothe instead see site beautiful city . the free continental breakfast donut juice , thank goodness . always assortment bagel cream cheese ( , , New York ) hard boil egg great addition . never try free coffee lobby plenty other take advantage could bad . a great tip learn another forum : head staircase rooftop hotel . unlocked wide open . get unbelievable shot Empire State Building , personal favorite , Chrysler Building . not forget wave diner eat roof across street ! 
 Apr 18 2008 	 bad Hotel ever ! 	 stay March 2008 wish could give zero star . worst nasty hotel ever see . website deceive . believe picture . room tiny . suppose two double bed , instead one double bed twin shove corner . bedspread badly stain know . & quot ; view & quot ; creepy alley nothing trash . smell terrible extremely loud . really understand good review get . anyway , check immediately , never even unpacked . stay , especially travel family . family place . however management nice , immediately checked not charge we date book room . 
 Mar 27 2008 	 Good Value 	 wife stay Hotel three night . select due location , block Broadway , price . difficult find decent Hotel $ 200 per night fit we fine . room small two people could barely walk around room without bump . time , sleep . wide screen tv , bed excellent , room bath new clean . continental breakfast morning average . parking site , one across street . also , bellman service , handle everything fine . look budget hotel Manhatten would recommend one . 
 Mar 17 2008 	 Top Line ! 	 stay hotel regularly last 6 year , probably three four time per year . staff wonderful , accommodate personable . room clean spacious breakfast , delicious ! midtown Manhattan motel , price reasonable . would recommend hotel every time , hand ! 
 Mar 8 2008 	 ok good really 1 1/2 star . 	 put business . hotel & quot ; european & quot ; sense cheap place might stay college student Paris 80 . yes , NYC expensive , seem good value . dime , priceline NYC get much well deal . postives1 ) staff friendly helpful.2 ) nice old aspect generic.3 ) bathroom redo . Negatives1 ) hallway room desperate need renovation . filthy.2 ) 1/2 & quot ; gap door one could see 1/2 bed hallway.3 ) free wireless strong signal hotel across street . depend point view1 ) majority room face air shaft ( quieter ) 
 Mar 2 2008 	 clean great location 	 stay 2 night , first trip NY . see sight do not really spend much time hotel . hotel quite small , staff ok - nothing special - do not really care long room ok . room actually quite nice - bit big would expect city centre hotel . clean warm ( good consider -4 degree outside ! ) . window look brick wall one side view Empire state building ! be not stare window see city ! ! place be not anything spectaular clean , need . use subway lot station right end road . also handy sight / Macys etc.would stay . 
 Mar 1 2008 	 Fantastic Location ! 	 great hotel fantastic location - minute away Macys shop , lot restaurant / fast food outlet nearby subway end street . room large enough need clean . safe provide room store valuable storage area suitcase . free breakfast ok lot lovely cafe nearby want something different . although room could warm possible turn heat air con up . would hesitate recommend hotel anybody look great location reasonable price . 
 Feb 26 2008 	 Excellent Value + Brilliant Stay 	 back 6 night Comfort Inn . brilliant ! room spacious ( ny standard ) , cosy , warm , safe clean . room 803 , look onto front hotel . everything work ! free breakfast complete bonus negative that s cos ' m bit snob breakfast paper / plastic plate .... believe God give we china , knife fork use ! ( joke ! : ) book trip next year . location fantastic .... 's little tip ...... go Macys either begin end day ..... empty ! ENJOY 
 Feb 16 2008 	 like 	 husband stay hotel 7 - 11 Feb 2008.i book hotel thru travelagent want basic hotel central location , exactly get ! stay 11 th floor , one window face busy street face Empire State Building . New York busy city never sleep ... hear traffic night long , hear building work skyscraper around , still think hotel FANTASTIC value money . the room basic , right middle sight shop . Macey 's ( big department store world ) end street 's cheap ! ! ! ! ! ! ! ( hotel give extra 11 % card ) Empire State Building around corner sight would want see . the place take metro Statue Liberty even breeze ! ! ! ! metro leave hundred yard hotel take 20 minute go side island . the breakfast poor .... stay middle New York zillion little cafe , corner shop restaurant around ... REALLY need stay hotel ? ? ? ? hotel room clean fit purpose ( shopping , sightseeing explore New York fantastic location ) condolencie family Jackie Timmins Andrew Hardie , excite trip New York briefly speak they . the sad memory trip . 
 Feb 15 2008 	 bad hotel stay ever ! ! ! 	 stay grotty hotel 4 night Jan 08 . wow ! ! shame hotel ... deceive foyer nice clean shiny fmarble floor . room tell different story . night long horrid noise someone trying break room- long bang crashesagainst window door . air con not work play up- hence loud noise ! ! stay NYC number time fantastic hotel honestly say bad hotel ever ... want somewhere peaceful , nice clean steer clear Comfort Inn Manhattan ! 
 Feb 14 2008 	 great stay Great Location 	 read review hotel quite worried go hotel guess people like complain . its exactly Waldof do not pay Waldof pay budget hotel central manhattan exactley get location fantastic around corner empire state building road macy's . we book twin room place 8th floor front hotel look building work do not hear noise do not bother we room large expect 2 queen size bed bathroom small side manage . agree breakfast be not good like pay actually prefer eat find lovely deli call Pax around corner . all great stay be not 5 star hotel do not advertise be . the virgin rep great call 2 week due depart answer load question , also book excusion we do not worry get would def recommend Lady Liberty Helicoptor Tour , Tv Movie site , empire state building woodbury common great bargain . all great time return would quite happerly stay hotel unless coarse win lottery . 
 Feb 12 2008 	 Good Hotel great location 	 good hotel great location . empire State Building round corner macys end street . room adequate , clean warm , though really room first thing morning fall bed end day . great irish pub across road serve great food . good get breakfast head day , bagel , donut etc . staff always really friendly helpful . first time NY would would love go back would definately stay hotel . 
 Feb 10 2008 	 Location Location Location 	 good hotel ever stay , location excellent , staff friendly breakfast basic free . the room small ensuite clean . for pay room good value money compare hotel New York . if planning stay use base explore city location great , not expect luxury 4 star service will not get . 
 Feb 8 2008 	 Tatty round edge ok ... 	 stay colleague 4 night last week . arrival bit gutte , bad money . stay New York expect small bedroom , bad . other say bed really comfy , shower good . towel crap , thin nasty , bathroom need renovation . room 12th floor , look Empire State Building 1 block away . heat uncontrollable noisy overnight pain . would not like stay summer aircon inefficient noisy . the staff nice organise taxi collect we 5.30am flight home . breakfast bit crap . however give excuse eat glaze doughnut breakfast ! free internet access reception area . , great location , price never go plaza . city like New York never going spend much time room , way save money bargain shopping ! 
 Feb 8 2008 	 hate every Minute ! ! ! 	 book property three night Virgin spend two week Colorado . arrival put second floor front hotel . awful , room dirty , big black hair stain mean clean towel . top construct new hotel directly opposite guy worlk night . get exactly zero sleep . radiator hiss stay bring earplug . complained manager & quot ; Tony & quot ; next day busy internet chat room ( computer mean guest ) eventually get move rear hotel small room discover another building site rear . rotten . try Virgin firstly not return call get tell could move hotel pay £ 150 . word advice book & quot ; CANCEL & quot ; avoid cost .... face sleep deprivation . 
 Jan 24 2008 	 Great Location - Needs facelift 	 stay 30th Dec 2007 till Jan 3 2008 . arrival disappoint place look like real need lick paint general face lift . the room small ish clean . get initial snobbery realise place not bad travel budget not mind compromise style location save penny thing like shopping . the sheet clean , shower excellent bed comfy . amount time actually stay place , can not really complain much . the breakfast bit crap I m honest . self service paper plate cup plastic knife fork etc . if like fine thing life avoid place like plague . however , snob like put paper plate , place good value money really well locate . 
 Jan 22 2008 	 Location Important 	 reward credit card chain hotel earn we free night . enough point two free night hotel locate heart NYC . last time go NYC stay New Jersey save money take train city every day . big mistake . hotel locate block Macy 's within walk distance kind Manhattan attraction . subway stop ( b , , F , N , r , V Q , W ) corner minute walk away . e train ( JFK ) also within walking distance , around 10 min bag . staff friendly helpful . arrive early check - in offer store bag luggage room without we ask . provide we touristy handout map come handy later . 11th floor - think 12 building . room bed pretty small - go territory NYC . bathroom ridiculously small see picture post . look window could see Empire State Building tower overhead , light beautifully night . usually leave disturb sign time . housekeeping give we courtesy call ( leave message ) let we know want room clean could call 4 pm . think considerate . would definitely stay , even though bathroom small . location absolutely wonderful . stay free , can not really speak price , know room pretty pricey Manhattan imagine hotel different . pretty clean , location A+ - definitely would stay . 
 Jan 7 2008 	 impressed 	 spend 5 night Comfort Inn Christmas . would go back ! book Virgin Holidays think hotel would value good location . arrive Christmas Eve put smoking room ( asthma ) alternative . next morning large fuss move similar non smoking room ( available night apparantly ) . skip breakfast room look dingy rest building - dark doomy . hotel serious need make . staff extremely unfriendly . redeem feature great location . 
 Jan 7 2008 	 bad Hotel ever 	 book part East Coast tour Virgin Holidays arrive lovely three star hotel experience Boston not botherto unpack case . our room 7th floor - entire corridor stank cigarette smoke . room stank equal proportion , blood duvet bathroom miniscule . Front desk advise we hotel full , request smoking room ( ) would wait next day anychance room swap . after couple hour ring around find new hotel move . new hotel delightful ensure absolutely fantastic time New York . I appreciate Manhattan money buy less - truly awful experience . okay , location good - aboutit ! 
 Jan 4 2008 	 great central location 	 great stay comfort inn - excellent location - 5th avenue end macy 's . spacious room , helpful staff , standard breakfast perfect short stay . wewere 11th floor , lift excellent . free coffee lobby , yum ! ! 
 Jan 1 2008 	 Renovate please -- location deserve ! 	 can not beat 1 block Herald Square Christmas time . property big room old paint , thin towel helpful staff . breakfast pleasant lot seating . many guest european . Hotel Metro across street appear well condition . really location conscious budget , may choice . get well condition new property west 8th Avenue , sacrifice proximity thing come . 
 Dec 31 2007 	 Great Location 	 fault location visitor . subway end block Macy 's across road . empire State Building one block behind . pretty good breakfast spread - bagel , toast , cereal , juice , coffee / tea , boil egg , donut , fruit - addit . cost . room reasonable . hot - turn radiator . clean . bathroom fine . Toilet 2nd book room get block attend . shower fine . staff OK . noise intrusion construction work across road - start quite early ! 
 Dec 27 2007 	 Amazing Location 	 Location could well , 5th & amp ; 6th Avenue W35th Street . walk outside hotel , turn left walk straight junction & amp ; Macy 's straight front ! ! ! leave top road Empire state building ( see room back hotel , high floor ) 10 minute walk Times Square . excellent base shopping , bag weigh 's short walk hotel : ) staff friendly & amp ; helpful , arrange sightseeing tour transport back airport . room little date , hotel NY ( unless be look 5star hotel ) 2 double bed , great selection t.v . channel . always hot water bath / shower . say room date , clean 's important . breakfast fantastic , ' ve never stay hotel ny provide free breakfast ! ! bagel , toast , cereal , fruit , doughnut , waffle , muffin , juice , coffee keep we go till well lunch : ) bar next hotel & quot ; Brendan 's & quot ; great place get dinner , guest hotel get 15 % meal show be room key ! would recommend hotel anyone go sightseeing / shopping . Email questionsrachael 
 Dec 23 2007 	 good value 	 back new york , second time stay , basic hotel , good value money , complementry breakfast great , brendan grill great steak well recomende , good location , go back . 
 Dec 12 2007 	 enjoy 	 room bathroom clean thought bathroom 12th floor pretty spacious Manhattan . pretty quiet except briefly first night sound like someone could not figure open door . bang , bang , bang door . problem anything missing . not let check right away freshen closet bathroom basement- oh well . be super convenient almost subway line . like Macy 's touristy stuff one direction neat Murray Hill neighborhood . could do without porter try sell car service ignore not go . be foodie , not expect good recommendation desk clerk . send irish tavern / gambling establishment across street saltiest French Onion soup ever . love Manhattan would stay . 
 Nov 27 2007 	 Weekend stay NYC 	 14 yr old daughter stay 1 night November 17 . hotel close Penn Station , 2 block walk . arrive around 11 am pleasantly surprised could check right . give room 1207 double twin bed , room little bit large other . actually pretty good veiw Empire State Building . night look really neat . read review hotel expect small room . overside closet luggage rack bathroom good size . bathroom clean border wallpaper peel due ventilation shower steam . stock shampoo , conditioner , soaps shoe polish . also pleanty towel . partialy unpack head explore . front desk staff ver friendly give we map direction subway line . take subway form Penn Fulton St. see Street Seaport . walk around bit , take picture Brooklyn Bridge eat wonderful lunch restaurant call Red . upstairs table window face water . food price good . mexican restaurant portion huge . snack breakfast , still complete meal . after lunch head toward Chinatown shop . get little track friendly local turn we right way . find Mott street head north . buy reasonable pocketbook couple poster paint name present . Mott Street turn Little Italy . wish not eat much lunch .. canollis look wonderful . actually line street buy . time get NOHO start look cab . not easy around 4:30pm . end getting pick head back hotel . cab driver friendly . walk Times Square . southern part city afternoon , sooo crowd . city . play & quot ; Grinch & quot ; cancel due stagehand strike decide go see movie . our movie show 4th floor , restroom 3rd concession 2nd . confusing follow crowd escalator miss thing . after movie grab slice pizza way hotel crash . the next day go breakfast . well equip coffee , juice , bagel , donut , muffin , toast egg . hotel hold bag we lock room give we ticket . we end go American Museum Natural History hour , walk Central Park FAO Schwartz ( insanely busy hot ) take cab back hotel get luggage . again convienent Penn station walk train station . think literally walk 20 mile 2 day ! 
 Nov 21 2007 	 average 	 family 2 adult 2 child share one small room double bed ... 7 night ( UGGH ! ) .The room bathroom clean . toilet became block night start overflow ( fortunately , water ... ) . maintenance person come promptly fix problem , ok . shower pressure woeful adjust temperature character building . the room fairly warm airconditioner leave overnight . try leave window open , noise traffic , bin emptying , construction work , etc . , leave untenable proposition . New York really never sleep . the staff fairly friendly computer provide lobby internet access . a continental breakfast provide , average . rely brekky Starbuck 's end road . plenty restaurant close meal . there guest laundry provide . near laundrette 3 block away . this second time New York wife probably last . however , come back , would not stay again . happy provide suggestion recommendation via email . 
 Nov 18 2007 	 prime location 	 back nyc stay hotel location excellent hotel lot desire although clean date could major overhall old fashion . staff helpful always right information ask direction .great free breakfast keep we go lunchtime .overall enjoy stay hotel could defo update . 
 Nov 18 2007 	 's bed - Nothing Else 	 stay hotel June 2006 4 night ... old hotel really need total overhaul . we get pick Virgin private car , leave front door get key card go room ... sight , king bed room big room , Bathroom hnd really bad smell really bad damp room , air con that s call stick half window allow damp get around rest window ... sight window something really want view - right office block ! bedding smoke butt mark - whole room dark would get stay Real Comfort Inn UK .... stay hotel / room return go bed - 's NY anyway hotel take away & quot ; New York & quot ; place never sleep ! good Thing Hotel : hotel couple block away Times Sqe hussleSight seeing : use bus sight seeing help see sight ... would go back ? wife say would go back NY would love , see 1 % offer - know sure Comfort Inn , NY place will still recommend . last word : hope enjoy trip , book another Hotel ... please ! 
 Nov 17 2007 	 great tourist hotel great location 	 hotel excellent base tourist . right centre , 6th 5th avenue ! right next macy 's empire state build 15 min walk time square.no problem check , recpetion staff really helpful ( not expect change money never seem cash , visit macy 's ! ) . room small adequate we . 10th floor clean bright . tv lot choose . stay building work across road could hear right night early morning become annoying . hotel air con ( never use Nov ) . breakfast good enough free , toast , bagel cereal mainly.i recommend visit irish pub across road , lovely , great food good atmosphere ! 
 Oct 2 2007 	 really good hotel 	 book stay hotel choice - hotel - website . easy so . when arrive ( party 4 adult share one non - smoking room ) everything work properly . from outside building look old - fashioned seem well renovate . lobby really great sofas sit big fireplace . even computer free internet access everybody . the staff reception really friendly . window room not close anymore send somebody repair immediatly . on last day leave luggage hotel evening . bag mark nothing get lose . the room rather small hear room NYC way . 2 bed , large desk chair , bureau TV walk - in cupboard . bathroom clean get new towel time . always enough hot water 4 we ! little room put stuff bathroom . store thing floor . not mind ! one good thing free delux - breakfast ! nearly everything : bagel , toast , muffin , doughnut , butter , creamcheese , fruit , cornflake , boil egg , coffee , tea , orange apple juice , ... enjoy breakfast every single morning ! problem sometimes not enough table . split sit bar . the subway - entrance really close buy , Empire State Building easy walking distance well Macy 's Times Sq . all highly recommend hotel . 
 Sep 23 2007 	 great hotel . pleased . 	 hotel great location . far Times Square ( not mind walk little bit ) . lobby beautiful staff nice . room average size , really expect NYC . nice big closet bed comfortable . everything clean , hskpe great since stay multiple night . breakfast simple , free . bar / Rest attatche nice , pricey ( although reg NYC price think ) . would definitely stay . 
 Sep 11 2007 	 rundown midtown 	 Comfort Manhattan way overrate Expedia website . certainly right spot want shop Macy 's bit sightseeing bus , get ready serious walking . décor stark , old room dilapidate , air con loud impossible sleep , shower . room windows face wall use rust away air con pile ) stand close enough , peek dirt could see Empire State Building . certainly do not charge view . breakfast pretty good diabetic , sweet treat , except boild egg butter . stuff lovely except man call Brian , extremely moody avoid even eyecontact do not ask thing , bad day surely would bite head . hotel restaurant get good food pretty . internet complimentary wireless cover good serious data transfer . two irish bar road beer dirnker . otherwise suggest look elsewhere . 
 Aug 29 2007 	 Bed Bugs 	 come home weekend New York surprising souvenir : tiny , itchy , red bite leg . suspect bed hotel infest bed bug . sheet one bed also appear blood stain . , second bed room pull - out couch , would fine form support accross bottom frame hold mattress . unfortunately , botton two foot mattress unsupported fell frame slight pressure . add insult injury , one morning cleaning staff decide make room . good thing stay pleasant helpful front desk staff . 
 Aug 15 2007 	 great location 	 hotel great location - couple block away Empire State build 10 min walk Times Square . room adequate size comfortable big bed bathroom small . job though . free coffee lounge decent free continental breakfast restaurant next door . also get 15 % discount key food restaurant - 's scrumptious brilliant food - amazing meal brilliant service . check staff helpful friendly . 
 Aug 12 2007 	 Shaby room helpful staff great location 	 arrive hotel drive Philadelphia , staff helpful , however , room disappointing . gloomy , small noisy A / c drown tv . need switch A / c get sleep , A / c temperature c 90 degree - sleep . remind Bates Motel ! room gloomy light , light switch wall ceiling light , two reading lamp bathroom light . bathrrom tiny , could swing small cat great care ! try get big room stay 5 day , surprised hear form staff fully book rooom ( 301 ) one large room . not spoil New york experience would stay ! 
 Aug 1 2007 	 great location ! 	 husband , daughter stay hotel 7 night July . 's great location : Empire State Building around corner , 's metro station end street Macy 's well . get 11 % discount - card Macy 's frontdesk use often . : - ) friendly staff . breakfast complimentary fine . bagel , toast , cereal , boil egg , creamcheese , marmelade , tea , coffee , orangejuice applejuice . lot donut ! room fine . 5th floor . view ... wall , therefore bit dark . get knee , could see Empire State Building . downside double bed bit small . there be coffee / tea machine lobby , everytime get back sightseeing get nice cup tea . there computer free internet access lobby . use time update homefront . we great time New York . return , would defenitely stay Comfort Inn Manhattan ! 
 Jul 28 2007 	 Shabby hotel good location . 	 not expect great deal hotel since fairly cheap however disappoint standard room helpfulness staff . location hotel fantastic breakfast fine plus point . reception area fantastic soon get public area 's actually find room corridor shabby desperate need redecorate . arrival tell book smoking room order , begrudingly find we another non - smoking room good size obviously not modernise year . tell put valuable room safe find safe not door ! mention reception basically shrug shoulder - checkout cheek try charge we use safe ! try use pay phone find not work - staff basically shrug shoulder say would walk pour rain end block use phone corner - good customer service ! would recommend spend little nice hotel staff care . 
 Jul 21 2007 	 not look picture 	 Location – excellent . airconditioning - very old noisy . make sure check one . room one . thank good move we another room . Rooms- small smelly . room dark . picture web site easly confuse . look nice reflect true . easly « survive » one night . would think second , third … if sensitive smell . in general Hotel clearly use past « award » success order bring attention potential guest.staff- friendly try good 
 Jul 17 2007 	 rare value ny real find 	 need stay overnight NY short notice , work late , book comfort inn due excellent midtown location great price - least $ 80 less anywhere else neighborhood . single room tiny large much expensive room stay paramount $ 250 night ! spotless , linen comfortable , toiletry bathroom acceptable upkeep decor good . air conditioning work well noisy , barely noise either street , stairwell , adjoining room . free breakfast next day nice touch . common area spartan impeccably keep , check effortless bill accurate , could fault thing . look good base explore city , need safe comfortable place stay night , excellent choice . would call bedroom roomy , hey new york ! stay , congratulate get bargain . 
 Jul 12 2007 	 5 Star Budget Traveler ! 	 travel considerably year one thing know least expect , well place ( time ) . Comfort Inn exceptional customer service exceptional free breakfast , consider make order . room stay two double bed , wonderful walk closet good sized bathroom . much definitely overall , impressed . bed pillow comfy maid service a-1 . use 5 star hotel call Gregorian . miss fine detail place . obvious 5 star one time . lot elegance , especially breakfast eating room . husband love place . friendly staff , great customer service , clean room comfy bed . else could one want . oh , forgot mention , location , location , location ! ! A++++ way . 
 Jul 8 2007 	 Fantastic Stay ! ! ! ! 	 stay th Comfort Inn 1 week 25th June 2007 , find reception service acceptional , helpful ! ! . room clean big ! , breakfast good , quite choice thing have . the location fab 1 minute walk Macys , 5 minute walk Times Square Empire State Building , well locate ! ! . come New York every year hotel well worth money , hotel good couple , family , always get warm welcome , hotel great first time New York City ! definately come back Comfort Inn ! ! ! ! 
 Jun 21 2007 	 Great Location 	 Stayed Comfort inn 5 night - big family group , family wedding . hotel locate right middle Manhattan , central every thing - empire State round block . hotel clean comfy - ultra modern part look abit shabby . breakfast part deal eat much buffet breakfast . tea coffee available time reception . reception friendly . there 13 we stay great time . planning go back New York use hotel . 
 Jun 19 2007 	 great location friendly staff 	 location hotel unbeatable , empire state building around block , macy 's 100 m away . accidently book room small bed , prepare pay extra large room available except one smoking allow . checking decide take , staff kindly give we large bed free . good service ! overall , staff friendly helpful , give direction tip . unlike many hotel New York City , one offer good free breakfast ! great way start day countless hour sightseeing .. room quite small bathroom , be nothing unusual NYC , clean albeit somewhat old . go elevator . we please stay vacation NYC , expect . recommend ferry trip around south Manhattan , really give perspective ! 
 Jun 8 2007 	 Great Location 	 select hotel 3 day stay New York due location & amp ; disappointed . luxurious hotel , not think try . however , go New York , nothing much hotel room sleep & amp ; shower far much else do . the room well expect . clean & amp ; air conditioning unit . Towels & amp ; bed linen change daily & amp ; ice machine readily available . staff font desk friendly & amp ; helpful . lift little slow & amp ; busy peak time , major issue . the complimentary breakfast consist coffee , orange juice ( nice fresh juice powder ) , selection bagel , donut , cereal & amp ; fruit . fresh coffee always available hotel lobby . the good thing hotel location . couple minute walk Macys & amp ; 5th Avenue & amp ; subway street . couple deli's / diner close hotel . actual street little dingey people sleep rough sleeping bag , fairness not impact stay . do not stay look luxury , look cheap , reasonable hotel gret NY location ideal . book stay kid shopping trip December . find book direct hotel cheap option - select interent booking good rate . , 
 Jun 8 2007 	 GREAT location tourist ! ! 	 husband , sister spend 5 night hotel . location great . ny typical tourist see everything come see . walk hotel Penn station , subway end block , Macy 's one block away . basic hotel except clean comfortable , actually ok . room tiny , need CLEAN bed seep , get . mold , bad smell , great free breakfast morning . NY tourist budget hotel great . would definitely stay . 
 May 30 2007 	 Basic well locate 	 hotel well locate average . beside Empire State building Macy 's 35th St. 5th Avenue . room small dark ask room back hotel may reason . air con loud . room old fashioned clean . make sure u request non - smoking room smell stale smoke room dreadful day later eventually move we non - smoking room . the staff fine - overly helpful polite . the hotel attach Brendan 's Bar room key card entitle 15 % food ... time eat surprisingly nice ! nice irish bar staff strange lay - out . bar seem attract ' suit ' type evening . there free ' Continental ' breakfast serve Brendan 's bar dreadful ... bad hostel food . buffet style one morning try place dirty everything serve paper plate paper cutlery even though proper restaurant . also guy ' look ' breakfast area could not get people fast enough . would avoid . little cafe side hotel lovely breakfast buck . we stay someone recommend Comfort Inn since discover 2 ! one mean Comfort Inn Midtown happen pass look much nice recently renovate . all well locate hotel good value hard find Manhatten think go back would prob stay one Midtown different hotel . 
 may 26 2007 	 location fantastic 	 stay 3 night May ' 07 . room fine - small side clean bed absolutely huge ! bathroom tiny functionable anyway - spend long room be manhattan ? ? location definitely good thing hotel , central everything short distance away . ' m even plan next trip would definitely stay . 
