amazing 	 look website . look odd - not go . , like , think look amazing re - mortgage house , sell family silver - whatever take - visit ! ! think bad review people not get ? take Partner overnight birthday . hotel stunning . wonderfully eclectic mix style . gold tooth gnome seat next giant chess set foyer - need say ! ! staff wonderful make day absolutely perfect . Booked ' romatic package ' room look amazing arrival champagne rise petal . do not eat dinner hotel cocktail Asia de Cuba midnight pack still find we table 5 3 minute somehow . fabulous vibe really relaxed atmosphere somewhere busy . thank staff make day special . 
 fabulous ! 	 beautiful , hip trendy hotel , lovely room ( studio room champagne , rise petal , candle amazing view ) bar fantastic . Asia de Cuba wonderful food service perfect , although seem little keen move ' ve finish eat , even still drink wine . pricey worth money spend ! 
 Overpriced 	 Crowdy hotel , nice people , good restaurant Asia de Cuba nice lounge bar small room expensive quality 
 Mar 13 2009 	 incredible ! ! ! ! go hotel ! ! ! 	 strongly recommend hotel afford . 's great location , atmosphere unbeatable , service ( reception , guest service , room service , etc ) high QUALITY . design room top line , bathroom .... nice ! ! ! thing not agree kind hotel , pay $ 360 one night , internet connection must free . overall rating : 10/10 ! ! ! ! 
 Mar 8 2009 	 London Shines St. Martins Lane Hotel 	 St. Martins Lane Hotel must confident identify . hotel name appear modern structure . confidence well found . contemporary hotel modern style excellent service , great location , clean room see , spacious bathroom . wife thoroughly enjoy stay . heart Covent Garden Lane Trafalgar Square , relatively quiet street centrally locate close tube wonderful restaurant . lighting use great effect create different mood sense sun shine 24 hour day -- quite trick London . next trip London certainly bring we back St. Martins Lane . 
 Mar 4 2009 	 worth money 	 stay husband 6 month old daughter weekend really disappointed , mean 4/5 star hotel really get value money . ask 4 time travel cot bring room even although informed advance would require one book stay . room small put cot behind door fit , obviously cause fire hazard . room ready arrive left bag tell would phone we ready , never call return evening . also ' City View ' building work . finally awake late evening hotel staff try get room , could not give we explanation , apology . the hotel nicely decorate staff ok neither anything special . 's saviour location fab , near Covent Garden , theatre underground amongst thing . next time visit London will stay cheap hotel use money save shop ! ! 
 Mar 2 2009 	 fantastic hotel superb restaurant 	 stay birthday boyfriend ... organise dinner gorgrous Asia de Cuba staff could accomodate . room amazing view sixth floor look London great facility . room perfectly form , large great querk luxury make stay fantatsic one night surprise . restaurant far highlight get £ 100 food bill staying night . could recommend place highly enough , top , short walk gallery shop ... whatever take fancy sunday morning 
 Feb 18 2009 	 good stay hip hotel superb location 	 St Martins lane defnitely ' funky ' hotel - first impression definitely strong one ' psychedelic lighting ' enveloping enter lobby step elevator . room modern , clean decently equip . loved decor mood light behind bed . thing totally dislike lack kettle tea / coffee bag room . might act picky have not stay hotel around world do not kettle tea morning cup . also , everything chargeable be not bottle water house . otherwise , lovely stay nice hotel heart London . also , Asia De Cuba restaurant serve absolutely wonderful food ! 
 Feb 16 2009 	 Great Location ..... 	 location hotel can not beat must like modern decor . room ridiculously tiny - could pay slightly big room , even far spacious . believe may large room available . the size room bother much flimsy towels- even one actual hole ! book Expedia pay average 200 pound per night . although realize good rate , think proper towel would expect . the final thing bit annoying tiny room total 8 cubby hole clothe ( drawer room not big enough dresser . ) management decide use one cubby put soap , shampoo etc available sale ! finally , list thing purchase hotel tiny clock room , $ 30.00 laundry bag ( plastic one not provide ) last least horrible towel ! 
 Feb 14 2009 	 Lovely Hotel Great Location darn expensive ! ! 	 stay lovely hotel Feb 7th & amp ; 8th - 6 us 3 room . £ 195+vat per room , include full english and/or continental breakfast . the good ( bad ) - clean , tidy , warm room . lovely en - suite ( bath , shower ) - 6th floor - nice open view ( venetian blind glass pane could not adjust look higher lower ) -hi fi , tv , dvd , ipod dock , & amp ; room facility excellent . ( wi - fi free though ) - efficient room heater ( numeral display , quite tricky work set ) -Asia de Cuba - pleasant restaurant breakfast , - eat dinner - nice food , ( service bit slow ) -ajoine disco / bar funky well staff ( God drink pricey - seven QUID single cointreau ! ! ! ) -reception & amp ; door staff helpful friendly.- thoughtful . free bottle wine daughter 's room 21st , pick on.-wonderful location , barely 5 min Leics Square tube . ( could take hotel location map several ' St Martin ' street nearby bit confusing first ) - bungalow 8 night club hotel , access via lobby , hotel guest go free 6 till 10 pm . ( one else time ! ! ) -ability use adjoining gymn facility ( pool ) . not happens.overall - lovely hotel great location , darn expensive . back ! ! 
 Jan 27 2009 	 Great Place Tragically Hip 	 place caricature cool hotel . golden molar chair lobby highly tout & quot ; mood lighting & quot ; headboard continuous video loop swimming goldfish elevator , one would hard - press find place live undeserved hipster reputation place . crowd range people wish - to - be - see 55 year old businessman pull wheelie bag lobby think presence hotel give credibility people 25 year junior . seriously . room size postage stamp , furniture Ikea quality . want mix amongst crowd , deserve place . positive note , location great , doorman polite friendly . 
 Jan 27 2009 	 cool funky hotel 	 hotel really quite different hotel one stay . colour , interior , staff , come together position hip , funky place stay ! lobby really unique unconventional piece furniture , along lemon green lighting , almost make seem like lounge bar one enter rather hotel ! bar ground floor happen evening closes become huge fish bowl day . restaurant , Asia de Cuba , feature excellent carribean cuisine . book early ( even recessionary time ) want wait ! passage room deep blue orange room number door carpeting front room . inside lemon green shade return form wall make complete visual experience . good bed , excellent . crib ought kettle room hot cup tea cold London morning would make totally excellent stay ! 
 Jan 26 2009 	 location 	 stay property throughout 2008 want drop line . the location hotle . west end close everything . service ok breakfast fine . real deal restaurant Asia De Cuba experience . the room minimal could irritate . I would return get good rate . 
 Jan 23 2009 	 walking distance Theater District 	 stay sister property , Sanderson 2006 , suite . modern , lot glass minimalist line use . floor ceiling window , welcome bouquet evening munchie . Yada , yada . walk distance Theater District , helpful . much fun London , can not wait go back ! yes , suppose 's bragging right . ' ve certainly stay much well hotel , London experience . 
 Jan 22 2009 	 Style substance 	 great location stylish room not big , 's much bed soft uncomfortable - back not since ! tea / coffee make facility room , mirror mile plug shower flood bathroom . also room quite small much vaunted ' floor ceiling window not impressive . we pay £ 37 two small ordinary cocktail ( admittedly chic ) bar breafast £ 25 per person fill roll hot drink . 
 Jan 21 2009 	 Minimalist Comfort 	 Location key , 2 min . walk near tube get everywhere London want go . take Underground piccadily line Heathrow -the economical easy way not much luggage . cost 4 pound 45 minute . friend take cab , cost 80 pound 80 min . ! always prefer minimalist approach hotel decor appeal . simple clean clutter . complain- aluminum steel chair study desk much cold sit ! stay property - get breakfast internet package . bring IPOD , music dock room . ' ve stay Clift San Francisco Royalton NY , Morgan Hotel property tend attract young hip clientele . 
 Jan 13 2009 	 Great bathroom 	 room expensive , worth special occasion . there huge floor ceiling window room decorate modern bright way nice white furnishing . bed large comfortable mood light bed . the bathroom far sell point . huge bath ( big enough two ! ) plenty bubble provide . also big separate shower cubical , nicely design lay out . the location great , right near leicester sq , covent garden west end theatre . the breakfast look delicious , unfortunately could not justify £ 25 . hindsight may mistake early Sunday morning struggle find anywhere else eat ! ! oh would expect drink minibar expensive - £ 4 0.5l bottle still water £ 5 even small bottle oj.overall nice stay . 
 Jan 5 2009 	 service orient 	 hotel solid modern design ( although guess modern anymore ) decent location clean ( although wall wall carpeting good cleanliness ) however , seem try make money every single thing . expensive hotel would assume would happy customer pay much money . example , go club nearby doorman suggest take hotel cab cost we 18 pound even though regular cab would cost 5 ( ask distance assure far price ok ) . overall , snobbish feel hotel . interesting see design element . although go bar drink lunch go theater . 
 Jan 5 2009 	 good 	 new year 's eve . good location far theater concerned central . the room stylish , though small . ask make reservation club , send we club worth talk about . breakfast cost 25 pound , extremely expensive crisis ' period . we ask taxi , suggest hotel car cost 3 time taxi price cheat we tell place want go 15 minute away . ( place 5 block away ) not worth money , enough hotel appear 5 star 3 star hotel . want five star hotel , respect customer . 
 Dec 29 2008 	 can not imagine well place stay London ... simply great ! 	 spend Christmas week wife 16yo daughter amazing time . upgrade we deluxe room , could give we early check - in . staff pleasant helpful ( ask Greg ) . make nice dining suggestion get we great seat Billy Elliot way great well . room clean , modern complimentary turndown service also include quick clean nice touch . restaurant hotel excellent , cuban fusion portion two amazing desert . hotel location . right top Trafalgar Square minute walk everywhere ( Piccadilly , Covent Gardens , Oxford , Leicester , Whitehall , etc ) . recommend place enough . 
 Dec 26 2008 	 trendy hotel great location 	 hotel much minimalist / trendy category , popular bar & quot ; white cube & quot ; room floor ceiling glass . girlfriend book one cheap room still nice view onto street , huge bathroom large tub , reasonable size bedroom ( especially London ! ) . location excellent - close Trafalgar Square ( National Gallery National Portrait Gallery ) surround theatre Covent Garden restaurant . highly recommend - designer hotel really work ( unlike other - include New York 's Hudson even hotel group ) .. 
 Dec 19 2008 	 good hotel London 	 Awesome hotel . stay least month business ( total around 15 stay last year ) . locate immediately behind Leceister Square Station minute Trafalgar Square perfect tourist . 5 min walk distance picaddilly Circ , Convent Garden / theatreland . Buckingham Palace 10 min walk . it design boutique small scale hotel way , do not behave like one count . business centre , wireless internet , breakfast downstairs awesome ( although pricey 24 pound get include room rate able ) . lot room great view either old surround theatre building gerkhin / london eye . affiliation gymbox next door state art gym class include - small gym within hotel . good room service menu super fast service well price ( compare london price generally ) . staff always friendly happy assist wherever possible . shower fantastic bed comfortable . the hotel well maintain ( ie painting / carpet steam clean ) unlike hotel not modern trash . room well size compare typical london hotel room size . deluxe room comfortable 2 traveller load luggage standard room also quite good size compare mid city hotel . I would recommend hotel highly business traveller definately tourist smack bang heart everything go London . try number hotels local area , prior find St Martins Lane , would never stay anywhere else . 
 Dec 16 2008 	 enjoyable stay 	 friend head London see & quot ; Wicked & quot ; travel Agent pal , owe favour , kindly book we St Martins Lane Hotel ( Courtesy company ) night . on first enter hotel help notice unusual seat chair scatter around reception area . although look like visual effect rather comfort certainly fit overall design hotel provide good talking point . hotel staff great start finish . pleasant check - in staff porter . immediately give key room bag follow close behind . lovely twin room pure white furnishing colour mood light . room exactly spacious large enough short stay bathroom good size . room safe mini - bar , flat screen tv ipod speaker . even choice umbrella hang wardrobe . hairdryer , hotel , pretty useless glad bring own . the bathroom lot large bath towel one use early evening replace later night out . the hotel bar open day . want order cocktail 4 pm sit restaurant drink it . when come back theatre headed & quot ; Light Bar & quot ; drink . prove costly experience 2 Gin Tonics approx £ 28 ! ! ! not know London well would set another bar . when get back room someone light scented candle bathroom - lovely touch , turn bed . weekend hotel serve breakfast noon think great benefit anyone want relax morning . we head breakfast 10.30am want squeeze shopping go home . breakfast really good although ' m glad include stay cook breakfast approx £ 27 per person . our breakfast waiter superb . not catch name lovely guy ! check - out effortless hotel staff take care bag wander Covent Garden ( 5 min walk ) . come back hotel staff arrange taxi take us airport . all - in - all lovely time . glad pay bill end stay expensive hotel complimentary extremely happy ! 
 Nov 25 2008 	 's much well expect ! 	 read review little bit concerned love ! nice location , helpfull people , clean room , large room , overall : would recommend hotel & quot ; young & quot ; couple ! also Miami Delano hotel Shore Club ( Morgans group ) hate hotel , St Martins lane 100 time well ! 's place go child suppose . like trendy hotel : go ! 
 Nov 23 2008 	 St Martins Lane Bliss 	 stay one night St Martin 's Lane hotel London absolutely love it . I concern somewhat read review , particularly small room , first floor twin - room ample size well equip . bed comfortable pillow die for . the area lie fault exclusive guests/ member & quot ; Light Bar & quot ; find bit overrate honest . staff rather disintereste not like fact put automatic 15 % discretionary service charge drink - even get bar ! score receipt amend total matter principle , not change amount put bill put full amount . nevertheless , reception amend without fuss morning sort nicely . all , gorgeous . can not wait return . love . 
 Oct 28 2008 	 Good ergonomically challenge 	 stay St. Martin 's personal holiday husband . second hotel stay London , one many Morgans Hotels stay . location superb - close many amazing shop , restaurant , tourist destination , tube stop - location good thing hotel . staff polite amenable would not say hospitality superb . big issue room lay . impossible manuever room , everything get way everything else . example , plug bathroom hairdryer . fine , necessarily unusual hotel ' ve London , available plug either entryway , close nothing floor , behind tv , somewhat near floor length mirror . , every day , crawl hand knee , manuever tv way plug hair - dryer , sit floor dry hair . thought give stuff leave college . another design issue , yes work desk , require size 2 sit , be wedge close window . place put luggage except bed , suitcase not fit , sit next bed . 4 hangar , 2 small shelf fit two people 's clothe . showerhead angle shower door swung , , turn shower , reach shower close door , due angle showerhead , spray barely warm water shut door . also , , limited private bathroom space , get drift . room people never live together spend time travel together.that say , location make poor design - expect morgan hotel . 
 Oct 21 2008 	 fun lively 	 Stayed St martin lane 17th girlfriend . hotel trendy fun , really feel like never sleep . stay weekend bar full funky music play lobby love . location perfect , right heart London . criticism ridulously small old fashioned television room . black box not quite go rest interior , 's lucky not watch much tv . hotel great say prefer hotel , Sanderson . be think stay St martin also check Sanderson ! 
 Oct 6 2008 	 close Perfect Possible London 	 Outstanding hotel every way ! London recently 100 % Design could not get usual place find St Martin 's Lane Morgan website - glad ! seriously one comfortable , cleanly design , friendly , convenient hotel London . class act way . good part hotel definitely fact 's middle Covent Garden walk Wagamama lunch , grab tube , even walk Regent Oxford St shopping . pleasant staff - one game entire stay - great Asia de Cuba ( little pricey ) make absolutely favorite hotel Europe . highly recommend ! 
 Sep 27 2008 	 Lovely Hotel small room good value get deal 	 stay couple time business . room phenomenally small terrible 1980 's portable tv ( somewhat contradictory rest room 's appearance ) . however , desk staff alway wonderfully pleasant . book corporate travel agent rate quite good ( cheap over - price Hilton Trafalgar ) location excellent . stay away mini bar - 3 pound & amp ; Ms not expect able make cup tea room facility ( big annoyance ) . room clean bed comfortable 
 Sep 17 2008 	 Weak Service bit soulless 	 stay week together friend week around 40th birthday . my main observation despite make book guest via Amex Centurian [ black card ] treat bad other give incredibly small [ though well design ] room . find end see Americans friend room Much Larger ! pay . service poor consider high end place . 
 Aug 24 2008 	 special place 	 return night not know begin - everything wonderful moment check second leave everyone seem go way pleasant helpful towards we . birthday get cocktails house nice . room not massive well design great shower . love mood light . breakfast gorgeous worth stay alone . could do comp water room . 
 Aug 14 2008 	 * * * * * 5 star * * * * * 	 stay St Martins Lane couple time , stay London hotel ; staff service St Martins Lane Hotel second none ( particular mention Daryl Front Desk ) . lucky enough stay room one new tv ' ( previous one quite " historic " . ) great location brilliant west end show go watch heart Soho ! overall , 5 star , would highly recommend hotel . 
 Jun 23 2008 	 Fun boutique hotel 	 great stay St. Martin 's Lane . hotel modern minimal . familiar Philadelphia restaurant , hotel remind Pod . room white mood light like restaurant . location hotel excellent . near Leicester Square Tube station Trafalgar Square ( 1 minute walk away ) . also close lot London Theatres . the front desk effecient concierge helpful . room available early morning helpful overnight flight . the hotel lively weekend night scene . two bar popular restaurant . despite people , quiet room . St . Martin 's also attach great gym call Gym Box . hotel customer allow work free . gym modern new , state art machine . also variety class one take . overall , positive experience St. Martin 's Lane . would highly recommend hotel . 
 Jun 22 2008 	 Modern - Loved 	 stay hotel 2 - night personal add - on business trip London . unfortunately flight delay miss first night . the outside building impressive , inside feel / look like moma hotel . check - in quick , concierge desk staff helpful answer many question . free gym pass full service & quot ; gym box & quot ; stay , tired go . hall elevator barely light indirect , colored lighting . elevator small tv play stylize loop ( old movie extract ) . room large , white , modern accoutrement indirect colored lighting want . room real view . bathroom glass limestone ( think ! ) combination modern fixture ( great water pressure ! ) . flush toilet interesting , need tap metal fixture wall ( wave , press , touch , work hard tap ) . also eat dinner restaurant , pack 11PM . portion large clearly tailor non - single guest could share . still good . music quite loud . really enjoy place visit , ( think would return ) certain would want work room laptop due small desk provide . 
 Jun 21 2008 	 Felt totally rip 	 website hotel make look chic amazing , room look like something else . disappoint . room tiny absolutely average . stay one night , breakfast next morning couple drink bar bill come close gbp500.00 , way much . normally stay Hilton Park Lane definitely go back . 
 Jun 9 2008 	 love place ! 	 book hotel boyfriend 's birthday weekend absolutely love . 's ' cool ' hotel inside , decor etc staff great . reception buzzing , staff friendly , snooty helpful local place eat . food Asia de Cuba stunning although shockingly expensive bar next door great cocktail . complaint would size room . book cheap / standard double room consist double bed metre space around walk , besides bathroom entrance . however , love much would definitely recommend like space go one large expensive room . 
 May 27 2008 	 Pretentious Staff correctly train 	 location build fine staff simply self important pretentious joke . someone really need take peg two . hotel really top range , well one London . 
 May 23 2008 	 Cool Hotel worth price unless ... 	 ok , hall really cool , cocktail bar restaurant really stylish point room worth price . everything fine bathroom huge want something high price . an example : tv really tiny not mirror front desk ( know , make thing woman ) .this hotel style design , unexplainable lack thing comfort standard even low class hotel . 
 May 18 2008 	 quite good great location 	 quite nice design hotel close Trafalgar Square . service , room , food great . problem actually find hotel . reason sign outside hotel call actually find hotel . 
 May 9 2008 	 colourful ... 	 first time stay hotel , though dine Asia de Cuba restaurant 8 year ago . I remember time impressed design lobby restaurant , show Philip Starck touch . enter hotel could see little change since . still similar exactly 8 year ago . staff reception extremely polite helpful around . go room must say though artistic find lift bit claustrophobic side ... room bright basically glass external wall view area magnificent . must say bit small side business not really mind . check whole colour change light thing behind bed gimmick room momentarily amuse ... must also stress room spotlessly clean , probably important factor I . on side find mini - bar expensive ( 4 - 5 pound chocolate bar ) tv extremely small supposedly high tech hotel . breakfast satisfactory not impressed . addition see Asia di Cuba restaurant day light , somehow destroy image mind place ... general feel hotel , though major problem , feel bit neglect . use avant garde hotel stress go & quot ; used & quot ; . feel bit date fresh anymore ... say stress enough politeness helpfulness staff . 
 May 2 2008 	 tool cool serve price hot 	 extremely high expection stay especially treat parent stay hotel well trip theatre . initially service excellent attentive . hotel minimalist ' sophisticated ' effort go public area bedroom sterile cramped - paint everything white not enough ' cool ' . interactive lighting enable ' light mood ' joke . feel like simply different coloured light bulb behind bedhead - hardly mood enhance . hey central London . room small forgive cool Philippe Starck furniture . service bar / restaurant appaulingly bad . simply want coffee venture take age get anyone 's attention charge something like £ 5 coffee . Rip . even smile . Breakfast morning next rip . include room rate mother want full breakfast , simply scramble egg . even though cheap la carte menu full breakfast , tell would pay - £ 30 egg . rest breakfast cook , cold plainly good enough . the final straw apparently father take ' urban beat ' cd room . father would prefer listen brass band . charge left notify letter . check dad case pick mistake , doubted comment dare not touch anything room everything charge extra ! clearly mistake hotel simply call sort . 5 call later , even leave message manager , head house keep etc , one could bother call back . spend £ 800 one night two room , coffee , breakfast etc , call back would appreciate . , hey , already money care ? next time stay try trust hotel like Covent Garden Hotel One Aldwych . understand value service . SML - abbreviation merchandise clearly stand small service , replace XXL price ! Jake - Leamington Spa 
 May 1 2008 	 London Favorite 	 use stay St Martins Lane regularly visit London . recently couple year 's absence . remain London favorite I . the hotel change much past couple year . still funky Ian Schraeger vibe - techno come lobby bar , colorful lighting artistic video elevator , staff dress entirely black . staff friendly helpful . standard room small , comfortable . downside workspace really inefficient ( small desk need move order sit ) , wi - fi help . bar great , overpriced . restaurant Asia de Cuba , good also expensive . serve breakfast , prefer go starbuck across street . the big change visit free membership Gym Box , gym right next door hotel . 's great gym - big , lot cardio machine plenty workout space , vibe hotel . great way start day . location wise can not beat St Martins Lane . close West end , easy access tube , good eat pub within 5 minute walk . I expect spending time London come month , back St Martins Lane . 
 Apr 27 2008 	 great location pricey 	 arrive prior check - in time despite call request early check - in ( say may may able accommodate , understandably ) , room ' available . able upgrade additional fee , though . upgrade superior garden room . nice spacious enough , though one odd thing setup way desk position front window . chair crammed window ( floor - to - ceiling ) desk , ' essentially climb windowsill squeeze chair . also find funny room unusual yet interesting thing like " interactive light installation , " whereby could choose light color room , amenity ' consider standard sub - par . tv date tiny ; ' fit modern look feel room . also merchandise sale , ' talk regular mini - bar item . everything skin care " intimacy kit , " t - shirt hat , umbrella adaptor . everything outrageously price find really tacky . become disappointed " upgrade " realize room right restaurant night club . seem private event go well 2 a.m. Monday night , pleasure hearing . ' look quiet room , avoid 112.despite , thing stay enjoy , like tremendously comfortable bed . bathroom also nice – clean tastefully - design . fitness center basic sufficient . may seem small never run another guest use week stay . ' look robust facility , hotel offer pass Gymbox right next door . staff attentive . call iron / ironing board , well hair dryer ( one room break ) , extremely fast . room service , well , though food okay . ' recommend opt ' truly exhaust leave room , ' expensive get . all , stay fine location ' beat . 
 Apr 23 2008 	 let poor service 	 regard hotel , decor amazing . modern . ( room cold though ! ) .However , say staff . check , ignore reception staff even though see we wait seem busy anything else . standing desk quite serve . reception staff rather cold unfriendly . apply restaurant . whilst wait seat ignore three time staff . usually staff restaurant would say & quot ; will moment & quot ; even acknowledge . simply brush past us way . seat , waitress manage take order without smile eye contact whatsoever . service also slow . boyfriend work customer service industry know customer treat , definitely not . check much check ; payment ask . nobody ask stay , need taxi etc . feel hotel rely much aesthetic place attract custom , whilst overlook way staff treat customer . way treat , would go back . 
 Apr 2 2008 	 memorable stay 	 stay one night husband two teenage child . immediately strike decor , modern artistic never stay anywhere look like . go room lift little tv 's show arty short film , light change purple lift move . find really entertaining , although imagine suppose serious , make we smile . the room clean modern , bed lovely , light interesting entertaining , furniture . bathroom nice , daughter really idea door bathroom . wonder do ? perhaps modern arty people shun door something . anyway , do not really mind much admit sometimes bit embarrass different reason . agree odd tv old looking room , matter . the restaurant really different enjoy meal immensely . decor , music staff good . the breakfast morning good . the location hotel great , could easily wander Covent Garden shop nearby brilliant - small , interesting , many independent . interesting people walk ( bump Sienna Miller Rhys Ifans ( ? ) - great area people watch . we go see Lord Rings evening - world question whether people would get lose do not know story go . we would definitely come . 
 Mar 31 2008 	 hip Hip Hip 	 St. Martin 's Lane quite place ! everything hotel highly stylize epitomize & quot ; boutique & quot ; experience . design everything sleek , modern whimsical touch ( include gnome statue fore - mention & quot ; mood lighting & quot ; control . if be stay place like , follow probably matter : crowd stylish boisterous make quite lobby , bar restaurant ( fusion Asia de Cuba obvious name ! ) scene . like everything London place expensive one would expect little touch : flat screen TV iPod doc starter . my room always clean bed super comfortable . the staff know be & quot ; trendsetter & quot ; always polite friendly obliging . 
 Mar 29 2008 	 Chic Hotel Great Service Location 	 trendy hotel perfect location . great service staff . one slight problem request 2 bed room available , still great place . 4 star well deserve . 
 Mar 26 2008 	 moment ( 5 year ago ) 	 let every step way . booked large room available . room ready 1600 hour . try fob we - wait . bathroom tap squirt water round bathroom . air - con break . bed see well day - end middle mattress . tv date . breakfast absolutely dreadful stone cold . staff attitude unapologetic - excuse instead genuine concern . this hotel great 5 year ago . date staff , although well train , deliver . 
 Mar 18 2008 	 great location hip hotel expensive 	 Husband book hotel theatre package see joseph , brilliant way not see go . pay £ 350 1 night include theatre ticketshotel close covent garden strand easy go sight seeing , 10 minute cab ride waterloo station cost around £ 7.00the hotel modern mdf white wall gold tooth design chair , check staff nice get upgrade garden room , garden room small patio garden table chair want sit outside.very clean room average size nice large bathroom luxury fitting , tv dvd player mini bar , hairdryer bathrobe , travel plug even umbrella . there tea coffee facilite room order pot tea 2 arrive £ 17.00 ! daylight robbery cup tea . I would recommend hotel location do not use bar resturant , gym free guest usebit overprice nice . 
 Feb 8 2008 	 Great Hotel Experience 	 finish 3 day stay St. Martins Lane Hotel . bit nervous give mix review , bit nervous first day arrive find reservation mix . however , minor glitch resolve hotel ( upgrade ) , say thoroughly enjoy stay would / will stay hotel . frequent business leisure traveler find hotel everything look travel . hotel room well decorate ( like minimalist decor , ) , bright , spacious London / european hotel similar price range . bed / pillow comfortable . location great leisure ( could walk everywhere ) business ( tube stop eurostar office ) visit . not try in - hotel gym , instead use free access Gymbox next door ( show hotel 's website , in - house gym ) , fantastic . staff accomodate friendy . however , would say depend one 's perspective , lay - backness front - desk staff ( dress demeanor ) might off - putting ( say certain type business old traveler ) welcome ( say single , young couple , young business traveler , etc . ) . impression stay hip , high - end hostel design young , international , frequent traveler run other likeness . cost : want internet breakfast - book room package service considerably expensive pay individually . breakfast deliver - always time food fresh , plentiful , tasty . hide charge bathroom product , suggest , & quot ; extras & quot ; spread throughout room cost extra ( normal ) - , want unwrap baseball cap wear around town , cost . suggest stay least Deluxe Room ( space brightness ) . attract St. Martin 's brightness room / floor ceiling window , go Garden Room , , go Queen Garden ( rather King ) garden outward face window , although bit small . note outlet bathroom ( tell require UK law ) near mirror bedroom , need bring ask extension cord . would definitely return St. Martins . 
 Feb 7 2008 	 fabulous hotel ! 	 St Martins sleek & quot ; Morgan Group & quot ; hotel . interior contemporary , miss comfort sometimes get sacrifice fashion . love comfortable bed complete plump feather duvet . bathroom limestone line , luxurious sterile . fluffy bathrobe part package . I not dine Asia De Cuba , perhaps next time ! staff soooo friendly . negative wireless signal room ( 431 ) not useable . 
 Feb 6 2008 	 nice little hip funky ... 	 great location comfortable , prepared stark , minimalist experience . staff extremely courteous helpful . however , wifi 15 pound / day ... 
 Feb 4 2008 	 St Martins Lane Hotel - stay well 	 come back stay Hotel . theatre package book friend group 7.It centrally locate Theatre District , 10 minute walk theatre . the service find poor . arrive around 1200hrs tell room ready 1400hrs ( know ) . later come back hotel 1600hrs room even prepare . upgrade Garden Room extra cost ( have already pay money rest group room ) .The room clean , big weird layout . window blind could not close . curtain hard close window floor ceiling . tv small portable handful channel . bed comfortable . 2 bulb light blow replace . complimentary toiletry . the restaurant food ok ..... much choice pre - dinner theatre package menu menus set give box . Chef would accomadate change ..... try get not order . service poor go back hotel later evening dessert come late leave theatre . I room service breakfast . worth money overcharge . nice little cafe around corner breakfast reasonably price too . overall hotel would pick choose . well stay nearby Strand Palace Hotel Trafalagar Square Hotel . * * * * * * * 1st floor hotel designate smoking FLOOR room stink smoke ..... staff gladly come ' spray ' smell away * * * * * * * * * would recommend high floor . also noise bar area hear 1st floor . 
 Feb 3 2008 	 can not make 	 spend 2 night hotel £ 450 per night . arrive greet friendly reception staff check we room , judge shopping bag lie around un - make bed , clearly occupy . return hastily reception ask , " actually see anyone room " say , " occupy " come reply . compensate potentially embarrassing faux pas grade we suite ! smoke suite ! , find ( manager get bit lose ) nice , smell like old ashtray . give bottle champagne nice gesture . Dinner Asia de Cuba evening good pass without incident . breakfast next morning good , even though took 30 minute arrive bared resemblance order . go day come back relax room , late afternoon , go theatre , find service , leave room do . breakfast include rate would usually set back £ 20.00 . however , 2nd morning partner order pancake charge extra £ 6 part full english rate apply . £ 26 2 pancake . smoke salmon scramble egg also part full English allow . idea enquire still ' . £ 450 night service superb . guy need go Asia America see ' do . still , ' never proper service like Faulty Towers ' go love . 
 Jan 23 2008 	 St Martins Lane - Outstanding 	 stay St. Martins Lane treat wife , go show ' next door ' coliseum . eat Asia de Cuba several time always blow away place . ' trendy ' Light Bar fantastic place early late drink . however never stay hotel , booked , little concerned many negative review site . even contact hotel booking , express concern also check refurbishment / alteration take place could disappoint people . astound speed reply almost immediately Hotel Manager express assurance would pleasant stay , hotel always frustrate people pass negative comment without inform hotel give chance answer rectify . worry ? experience moment politely greet door staff delightful reception staff truly outstanding . hotel room magnificent , large light , noisy reviewer comment . request bath , fortunate get , bath . superbly comfortable , huge ! similarly enormous bathroom usual ammenitie , touch one would expect hotel . towel , interested thing , luxurious , ranked bed - linen , wife describe beautiful ' expensive' . in room , lovely furnishing , massive bed , chaise - longue , georgeously trendy table , excellent mini bar / television cabinet , totally keep hotel 's minimalistic style . already inform room plasma screen tv , room undergo major upgrade vein . large old - style widescreen perfectly adequate , late model . much time spend watch ? ...... 30 minute , issue . one reviewer comment , mini - bar ' toppy ' side , anyone ever experience cheap one ? last minute convenience , can not bother nip one all - night store nearby , spend sort amount room , really issue ? think not . shabby carpet also mention ..... wrong people , place spotless immaculate . we dine early Asia de Cuba , staff brilliant courteous , outstanding meal . appreciate good food , fortunate eat impressive place .... rank well they . similarly take breakfast , could describe one good breakfast ever . expensive people maybe , think stay , really case get pay ..... £ 10 greasy plate egg bacon cafe Leicester Square , continental massive full English , unlimited tea / coffee juice food , extremely reasonable £ 20 truly efficient staff . know would always opt for . in conclusion , fantastic experience wait get back . Congratulations Hilary Cross staff maintain tremendously high standard service extremely busy hotel . 
 Jan 22 2008 	 silver experience we ! 	 bit nervous stay negative review . say staff desk courteous efficient delighted garden room . shame rain still lovely bit outdoors centre london . room white minimal still great experience . room service breakfast time staff member discreet efficient . great celebration silver wedding anniversary ! 
