love 	 really love hospitality great experience stay Taj ! 
 beyond business 	 stay comfortable staff curteous attentive professionalism around 
 Quiet comfortable 	 11th floor room city view quiet . 7 8 meter room green carpet , slightly stiff pillow . 42 & quot ; flat - screen tv , dvd player available . amenity include fax / phone , mini - fridge , white marble desk , amoir , fresh fruit , safe , white marble bath ( shower ) , build - in AC electrical adaptor , personal wake - up call . great service . 
 Aug 14 2008 	 great service 	 stay week find really excellent . & quot ; luxury room & quot ; comfortable , everything work good shape . part hotel perhaps look bit date , sense fashionable sense worn way . case room not feel outmoded . try room service several time excellent - really top notch . breakfast pretty good dinner Machan restaurant real let - down stay - muzak way loud pretty awful , food uninspired . restaurant hotel look really interesting not get try - new japanese place , brand new & quot ; gourmet Indian & quot ; , chinese restaurant apparently one good town year . the good thing hotel excellent service . really get sense want everything perfect . ask something get do promptly . slight drawback member staff push little hard please get annoying . the hotel gym fairly large well equipped . pool also nice . the lobby hotel function room always seem buzz favourite local event ( classy one ) celebrity political VIPs . , good place get good deal room , would go . 
 Jun 10 2008 	 Best Delhi 	 can not find well hotel Taj Lutyen 's Delhi . superb location , efficient service broad smile , top class eatery ( newly open japanese restaurant must good country ) , well appoint room spectacular view top good club lounge town efficient staff always service . stay Taj club floor 24 hour butler service . find butler alert super efficient every way . three cheer Taj , Delhi ! 
 May 1 2008 	 super efficient hotel 	 stay twice hotel arrival departure India , total 3 night . it high class quiter residential area new city excellently place easy travel main site . what impress we really welcome efficient staff good service standard . the room excellently appoint comfortable great view city . the restaurant efficient cioffee shop lounge one good . we could fault recommend pass city . 
 Apr 14 2008 	 great hotel unparalleled service 	 ' m write club room Taj -- first stay . club room comfortable , although wish bathroom big . public space quite tasteful Old World ( be 30 - year - old hotel ) , grand dame air befit one top 2 hotel Delhi VIPs . complaint far , even spa , old Taj hotel Delhi , still well - maintain well - appoint . however , enjoy far -- much book stay way India cancel previous booking another hotel -- unparalleled service . everyone friendly , professional , helpful great talk -- many remember name detail . be like home away home , quite important visitor foreign place like Delhi . think staff member impress . alone make stay memorable . time make feel anyone expect tip we return ! 
 Apr 7 2008 	 good business hotel 's 	 wife stay New Delhi Jan 2007 . upgrade suite upon arrival , per AMEX . suite large doubt , decor stick 1980 . bathroom shower glass half door hate - water splash everywhere . however Taj property use Molton Brown toiletry , nice . the Taj Mansingh ( local call hotel ) well know 's ayurvedic massage . , love dual syncronize massage . the business center good fully staff time . also tea snack suite guest . Rick 's Bar actually one hot spot New Delhi - serve good cocktail cuban cigar . this hotel gear toward businessman . town business , good option . 
 Mar 31 2008 	 Exceptional service 	 stay hotel one night join tour service faultless . book online advance contact arrive find special request . staff extremely helpful friendly restaurant bar excellent . bar quite loud lot fun ! impressed book back 2 night tour level service live first stay . pool also wonderful much nice oberoi imperial . eat hotel well service compare Taj . say disappointed . 
 Mar 30 2008 	 Great Hotel - club room 	 really enjoy 2 stay hotel . pickup airport go well time . pay call first double - check though . our first room small club room really big enough 2 weary traveller lot luggage . appreciate personalise check - in ( cold drink ) hold room way whisk there . the club lounge make small room . thoroughly enjoy breakfast nibble first - rate service . also pc internet access seperate small private office . on second stay room much large comfortable - still club room ' m sure why . staff hotel excellant soon sort little quibble . we 2 great meal ground floor restaurant one pool . price - wise restaurant meal reasonable good quality . the pool menu over - price though really enjoy bird swoop try steal snack . another nice feature hotel spa . 's free hotel guest good staff , steam room usual thing . can not recommend highly . in , ' m really glad choose hotel . stay lot 5 * through - out world extravagent one . 
 Feb 29 2008 	 really GREAT Hotel 	 stay Taj Mahal Hotel twice recent 3 week trip India . first time Club room , second basic room . from friendly airport greeting ( warning : Indira Ghandi Airport undergo major renovation make even confusing disorganized ever . absolute zoo ! ) throughout stay treat though guest matter hotel . pool side room grat view garden pool , ornate parliament building distance . without exception staff attentive , service flawless . even elevator guard address we name first remember we return . butler service Club floor impeccable , Club room come separate lounge dining area full waiter service evening cocktail memorable breakfast . many year various Club floor nothing even close Taj Mahal Hotel . our return stay basic room ( slightly small , well furnished ) less perfect . first stay note preference make sure room set like prior arrival . other reviewer complain price . hotel rate Delhi extremely high Taj good value compare competition . little homework website reveal good special rate ( special rate Club room $ 475 plus tax height season , include early check - in , airport transfer , bottle import wine , flower , fruit bowl , bottled water , chocolate attentive butler ) .there really single thing feel could improve ... be easy please ! 
 Feb 24 2008 	 Amazing Art 	 wonderful hotel . amazing ambience authentic artwork lobby . wonderful city change life . everyone must visit India get chance . 
 Feb 18 2008 	 great hotel ! ! 	 stay couple day wonderful structure New Delhi . hotel beautiful area south city , member Leading Hotels World ( 5 star ) . course room top level , interesting idea , typical luxury hotel ( every morning basket important newspaper front room , also first two page internet important newspaper home country ) , large swimming pool restaurant inside . room confortable , well bathroom . breakfast average international indian food . price course high ... thing appreciate much area ( embassy area ) sort & quot ; closed & quot ; area indian people , sort & quot ; gold prison & quot ; , mean choose structure typical indian atmosphere , maybe good choice . snapshot : expensive really beautiful . 
 Dec 26 2007 	 bad definitely great . 	 service good luxury property India . 's charm hotel . business hotel pc user . mac user like , would prefer Imperial Hotel . ( know mean ... ) avoid hotel . 's construction japanese restaurant hotel smell toxic fume lobby . ( whatever toxic fume know give bad headache . besides , Sushi India sound like bad idea . ) 
 Nov 1 2007 	 Nice hotel great service 	 nice hotel would stay . great service . outsandingly beautiful hotel , reception lobby quite average 4 - star perhaps bit disappointing 5 - star room bog standard good stay . good business trip take good care of . I eat one restaurant ( indian ) twice occassion become sick . may co - incidence avoid ever since . 
 Oct 23 2007 	 wow ! Superb ! 	 stay two day visit Delhi . come back Jaipur attend wedding return Europe Delhi visit Delhi . good rate , kind tricky . officially room 200 euro person , turn 40 euro book travel agent . least be understand information give . maybe 200 / room ( 3 people ) - vs 40 euro per person ( ? ) .Anyway hotel like paridise middle Delhi , probably like top hotel Delhi / India . room great , modern , well keep , clean , ... lobby look like palace , especially night light lot candle near small pool . the breakfast meal also superb . not like India much , glad could eat normal food . hotel New Delhi , want go old part , take time . hey , taxi 's quite easy expensive . bad thing taxi driver take tourist shop stead drive directly place want stay . I would certainly recommend hotel get rate we . 
 Oct 2 2007 	 Delhi Delight 	 stay four night saga tour . could fault hotel way - service impeccable , room comfortable , food : good buffet breakfast ever , lunch dinner well standard ' Delhi Belly ' , ground , pool location excellent . abide memory wonderfully friendly helpful staff plus Shilpa Shetty next table lunch ! 
 Sep 5 2007 	 Lovely Taj 	 choose hotel great location name . hotel provide excellent value money . bite old property outstanding service . throughout stay feel extremely well take care . magnificent pool ambience . nice spa gym . quality food great overall service , staff lay back vacation sort environment make one good stay Delhi . 
 Jul 20 2007 	 beware ` ` Special Offers '' ! 	 originally book less expensive Taj Ambassador one night stay New Delhi transport connection . check , happily inform have upgrade room nearby Taj Mahal absolutely extra cost . first hotel charge 130 usd per night Taj Mahal 's rack rate 290 usd per night , pleased accept . room clean , well - lay amply provide usual hotel bit piece . however , check early next morning way airport , try stick huge tax bill base Taj Mahal 's rack rate . excuse & quot ; special Delhi charge & quot ; . refuse pay , fortunately , website printout original booking . eventually , charge suddenly waive explanation offer exactly go . not eat hotel extortionately expensive 's offer lot great dining option nearby - try Khan Market . good thing view 4th floor room - right garden Delhi Vijay Chowk Presidential Palace . however , sure would worth fork 300 usd . overall , disappointed Taj Group stay India . 
 Jun 24 2007 	 5 star world nasty New Delhi 	 arrive smelly New Delhi International Airport mid - night June 38 C heat joke - however , management staff Taj Mahal know exactly make stay completely comfortable . order pick hotel way navigate Airport hotel comfort . arrive meet saree clothe dedicated member front desk take room check - in . hotel really well air - condition assume unusual sweet smell throughout hotel due insect repellent - stay Taj hotel yet see mosquitoe type insect . room excellent 7 foot wide bed , tv , work desk , sofa wifi access ( extra fee ) . foyer common area hotel expansive , clean comfortable relaxation small business meeting take place . breakfast excellent fare wide range - dinner / lunch 24 hour dining also range restaurant choose from . service staff excellent throughout . place stay New Delhi . 
 Jun 12 2007 	 Good Hotel Good Service 	 Taj Mahal first stay DOHA 2006 Tourch Relay team . good hotel start mission . room clean , tidy stylish , pool OK . however major paint do hotel building . .. stay want go Delhi good price . 
 May 1 2007 	 hotel ok food toxic 	 veteran world traveller New York City five decade belt long background South Asia . stay New Delhi 's Taj Mahal Hotel mid - March 07.it well - run hotel excellent service . small , drab , tired room , worthy 1960 's generic Hilton , certainly worth extraordinary rate charge . I seriously poisone food lobby restaurant 14 March two type parasite require three course powerful antibiotic anti - parisitic drug . indian friend also tell Delhi Taj notorious food poisoning . shock hotel chain standing cost would serve contaminate food . obviously , last stay Taj Hotels . 
 Apr 30 2007 	 one Best New Delhi 	 's thing day reasonably price first - class hotel New Delhi . budget allow , however , Taj Mansingh , be know local , one well choice . location great staff attentive . level service Oberoi property Taj run close number two New Delhi among big indian chain Club level room appear slightly large regular room sure worth extra expense . hotel superior spa ( one top three city opinion ) . one area need improvement quality food . Machan , especially , hit miss although pack many hour due lack alternative hotel immediate area upscale variety . Rick 's popular bar , especially weekend . sedate friendly alternative try lobby tea lounge . get drink , well , staff attentive . 
 Jan 28 2007 	 Excellent arrival trans - atlantic flight 	 Perfect service upon arrival meet airport , greet repeatedly entrance take directly room without hassle front desk check - in . indian restaurant wonderful , breakfast buffet sumptuous , over - all service exceptional . ( one small exception check prior departure switchboard inform friend go sit room wait . ) read previously taxis , room argue , prepare extra amount bill . , however , confirm rate pick we airport ( $ 65 ) . thank tripadvisor comment select hotel could please . friend use beauty shop work - out room , also . would recommend hotel highly . 
 Jan 6 2007 	 Excellent Service . watch excess taxis . 	 recently spend 4 night Taj Club room . room nice ( nothing ordinary ) , could not ask well service . we arrive New Year 's Eve ready exciting evening hotel 's outstanding indian restaurant . however , fall sick end stuck room . in - room dining manager go way provide partner outstanding dinner personally serve room . extremely nice touch cheer we could disappoint evening . the butler service Taj Club lounge excellent , food good restaurant . my complaint way taxis levy . instead charge 12.5 % tax rate pay ( $ 370 per night book throught Five Star Alliance -- $ 100 per night less lead Hotels offer ) , hotel charge tax rack rate ( $ 550 per night ) also charge small tax ( $ 2.50 per day ) breakfast , include room rate . add $ 150 tax anticipate paying . I complain vigorously duty manager evening check . insist never see practice anywhere else world willing pay excess taxis . take copy reservation confirmation , show would pay 12.5 % tax make mention tax apply rack rate . confirmation possession insist willing pay excess tax , eventually get tax reduce 12.5 % $ 370 rate instead rack rate . would not give breakfast tax , eventually give one . , go prepared paperwork remain steadfast refusal pay excess room tax , avoid bit fight . 's shame fight take place ! despite tax issue , fantastic place stay really appreciate help staff give we ! would definitely go back . 
 Nov 27 2006 	 terrific property watch luxury tax charge 	 hotel , locate away central Delhi green , government area , still allow easy access desirable site , lot go : astounding lobby period art rotundas , big city service , elegant room , pleasant view , responsive staff , one thing watch luxury tax charge . book $ 210 / night Travelocity , confirmation advise 12.5 % tax . closing bill , however , attempt charge 12.5 % advise rack rate $ 500 . first learn ! needless say , refuse pay exorbitant amount manager relent . clear make reservation . club room dining salon , Grille Room , pricey delicious alternative week delicious indian food . concierge knowledgeable , without play commission game , breakfast buffet varied , delicious pleasant setting . would stay snap . Mercedes airport comfortable ride . 
 Oct 30 2006 	 good service ever experience 	 stay week October business expectation continually exceed . Asia know good service hotel take good service whole new level . stay Peninsula Hong Kong , St Regis , Mandarin Oriental , Shangri La other service level hotel even well . 4 room we travel together find share good service story day . this hotel little expensive other well worth extra $ . certainly feel like royalty . 
 Oct 29 2006 	 watch brown water 	 wife stay Club Room Taj Mahal 10 day October . like other comment hotel , find service welcome impeccable . mercede wait us arrival treat . never experience enjoyable check - in . staff attentive unobtrusive . try restaurant quality excellent . breakfast buffet good indeed , although see even impressive buffet Beijing hotel ( China World ) . waiter service breakfast somewhat inconsistent . hotel could use update ; infrastructure 20 year old , without investment since . room smallish associate executive - level service . become ill unrelated reason , hotel secure physician promptly attend need outrageously reasonable cost ( bargain associate hotel ! ) . really troubling go shower , turn water , watch yellow - brown water pour . question wait clear -- - keep come regardless long let run . premium price Taj hotel , unacceptable we enough tell we return , matter attentive service . hotel need get basic right - rusty dirty water simply unacceptable . plumber claim abnormally high water pressure force rust old lead pipe . never answer question lead pipe first place . unacceptable today 's environmental human health standard . 
 Sep 11 2006 	 sanctuary middle delhi 	 Taj Mahal sanctuary middle Delhi . room well equip pleasant view greenery . staff first rate . reception staff incredibly welcome . buffet breakfast well ever . wait staff friendly efficient without beig intrusive . particularly kind 12 year old son . tout tip . pool huge , deep peaceful . although aim primarily business market , excellent teenager . well Imperial . 
 Jul 30 2006 	 cheat Sales tax 	 experience other . overcharge sale tax , nearly $ 100 . make wonder cheat part bill . 
 Jun 5 2006 	 really love stay ! 	 stay seven night , must say choose hotel first place difficult . end go solely opinion trip - Advisor member able afford ( australian dollar worth US $ 0.75 ) . find good rate possible Five Star Alliance site ( thank another Trip Advsor member tip ! ) book package include standard room ( differ deluxe room fax machine ) , round trip airport transfer breckfast , US $ 170 per night . obviously rate get executive club room use club facility , go visit club room see miss anything . so firstly , turn airport midnight , tired 15 hour journey , , bless sock , Taj driver wait we name huge piece cardboard . agian , not Merc go cheap package , car great driver professional . check - in carry room , lobby , take couple minute complete . overall , room spacious , fixture perhaps little shabby worn round edge , bathroom huge do nicely dark red / black marble , separate bath shower two fabulous shower head . apparently give we corner next corner room ( ie end corridor ) , big bathroom . room facility generous , mini room - service every evening , daily chocolate , six complementary bottle water every day ( contrary member 's comment hotel , tip get extra water - give anyway ) four huge towel ( rather standard three ) . bed reasonably comfortable ( indian plank standard ) although smoking floor , hint stale smoke room . the Club room check exactly size , modern decor new touch - probably worth extra money , especially since standard room bathroom big ( luck though ) .what really impress we hotel absolutely excellent level service provide staff - friendly , helpful , attentive welcoming . concierge go way help we couple really difficult busine request ( like source three hundred bar special soap make south India ) , elevator guy know floor number within couple day . another excellent feature breckfast buffet - probably good selection food ' ve ever see hotel . overall , one good hotel stay ' ve ever . 
 may 23 2006 	 cheat sale tax 	 previous reviewer say - charge 12.5 % tax shameless reception price , actual one book ! extremely p -- -- check - out decrease little bit nevertheless way expect time pressure would stood ground ... write complaint manager later day ( month ago ) receive answer doubt . anyone idea require refund - maybe write Best Hotels World indian tax authority ? otherwise excellent service . 
 may 5 2006 	 beware tax charge Taj Mahal Hotel 	 HOTEL TAX 12.5 % per NIGHT . however , EXPERIENCE , CHARGED TAX twice amount ACTUAL BILL . thus , BILL approximately US $ 600 TAX $ 75 ( 12.5 % X600=75 ) , HOTEL charge approximately $ 150 tax . bring overcharge attention hotel , say charge 12.50 % amount feel room worth rather actual amount pay . make we feel cheat . 
 Mar 23 2006 	 Taj one good hotel ever … 	 Imagine arrive Delhi ' chaotic airport late middle night exhaust 10 + hour flight ( way we West arrive ) . hope email send request meet hotel car airport read understand . as emerge custom , literally hundred people wave sign people ’ name . amidst mob , man dress white carry large ( possibly large ) sign emerge crowd . say Taj Mahal Hotel . name write bold letter right middle . relief flow . take bag walk short distance late model white Mercedes . whisk hotel 30 minute so . you greet step hotel enormous bearded man dress traditional indian gear petite young woman know name ready take directly room . two man open door elevator operator greet name . emerge elevator see man hall . greet name . butler hold tray . two glass fruit juice ( orange pineapple ) may choose . butler show around room , equip electronic control everything light temperature curtain . room butler arrange technology butler Internet WiFi service turn . leave allow get sleep – can . around room complimentary bottle wine several different kind fresh fruit . plate dry date apricot . luxuriously stock mini - bar fill unmet need . the bath granite decorative tile separate shower stall one good showerhead good water pressure hotel stay . bowl fill rise petal three vase orchid around room . toiletries Molton Brown include everything might need comb toothbrush . complimentary shoe shine clothe press include rate , continental style breakfast cocktail evening . club level Taj Mahal Hotel . yes , ' expensive indian standard . cost decent hotel room New York City ' , much nice . the bar restaurant hotel wonderful . staff uniformly helpful mission please . you go wrong stay Taj Mahal Hotel . 
 Mar 2 2006 	 treat like royalty Taj 	 moment walk , feel like give special treatment Taj Mahal Hotel , New Delhi . outer door open traditional Raj - clothe attendant , inner door open elegant smile lady learn name day two . lobby organize personal manner hotel , table hospitality specialist rather large off - put counter . indeed , lobby elegant , yet cozy , decorate invert domes ceiling Mogul style artifact . around lobby area set many table morning business conversation afternoon tea . one end bakery , delicious espressos tea well fabulous french pastry . we usually stay Imperial Delhi , book decide try Taj . able get good deal stay five day Five Star Alliance website . seem difficult book upper end hotel Delhi $ 300 night day . room somewhat small Imperial , nicely appoint , wood trim granite bathroom . bathroom nice tub separate shower quite large . room also quite clean bed delicious , comforter cotton linen . for , highlight stay Taj breakfast buffet . array truly amazing - good ever encounter anywhere . vegetarian , quite bit choose , include fruit , bake museli yogurt cup , six variety bread toast , vegetable tofu , croissant plus indian specialty parantha . pleased able offer array invite friend join we . dining room sunny comfortable service excellent . another highlight laundry service . finished item return within 8 hour , protect plastic , starched linen basket rise top . press service also excellent . I communicate email Taj several time trip receive prompt response . need , non - smoking room , well take care of . the staff quite courteous respect solicitous need . one case , change another room , call apprise we update situation let we know aware work it . I would hesitate recommend Taj Mahal Hotel New Delhi visitor . we , great place overcome jet lag , feel well take care far home , enjoy elegance grace style king . 
 Jan 18 2006 	 Good Place stay Delhi 	 hotel look great outside . concrete pile even need repair . inside well . staff friendly efficient . corridor somewhat smelly ( smell damp ? ) . group fix meal meal standard average . breakfast buffet good generous . room seem bit outdated comfortable enough wide range amenity . 
 Nov 14 2005 	 well good 	 place lovely - room everything could desire nicely decorate clean possible . warm welcome Staff add great touch breakfast cook order spot . place faultless stay first time would not stay anywhere else Delhi . 
 Oct 18 2005 	 Excellent hotel staff ! 	 husband spend 10 day stay cottage , forest , mountain north India run water electricity . 12 hour drive Delhi really look forward 2 day stay Taj Mahal Hotel fly home London . disappoint ! fab ! room lovely - usual attention detail - robe , slipper etc . paper morning , plus summary UK news . intend go evening explore hotel away hustle bustle Delhi go Rick 's bar cocktail evening eat hotel ! hotel staff superb personal butler ! book standard room read review site , lead believe club room come service ( upgrade knowledge worth check ) .On final morning sample buffet breakfast vast selection food continent . bother pre - book car airport ( expensive ) instead , doorman get us cab ( immediate ) fraction price ( around 300 - 350 rupee ) .All would thoroughly recommend hotel . 
 Aug 18 2005 	 business hotel ... worth review ... special whatsoever ! 	 lack interesting place stay Delhi , stay Taj Mahal first night last night 10 day India trip March . tour operator , Abercrombie & amp ; Kent also rave . result ... rather mild disappointment . 's doubt hotel one good , good , Delhi . 's business hotel big city , like big city . entrance lobby grand majestic , however , room small blah . also stay club floor room , standard one sell . price room quite bit , even global standard . complete rip ! ! room tiny ... character ... boring & quot ; Hilton , Sheraton & quot ; -like standard hotel room . probably big rip entire India trip . the restaurant downstairs , suppose one good town , ... whatever . restaurant service good , however , front desk staff rude . one evening , go new , modern hotel , Park , dinner . grant , Park look like stylish boutique hotel find lot day . personally feel would much happy Park rather pay dumb price Taj Mahal . restaurant good , . ( see review Amarvilas , Taj Mahal Delhi , Rambagh Palace , Lake Palace , Devi Garh ... ) 
 May 6 2005 		 excellent hotel , possibly one good stay . attention detail key make place stand everyone else . highly recommend get driver afternoon show around , not scared drop mate go explore Old Delhi rickshaw .... experience can not recommend highly enough . room comfortable , check - in process dream , attentive staff pitch exactly right level without intrusive . negative comment make two hour drive around delhi price excellent 800rps ...... pick airport extortionate 1,700 's 20 minute drive . 
 Oct 24 2004 	 pure luxury 	 enter reception Taj Mahal Hotel , confront spacious opulence . marble , gleam glass brass , luxurious wall hanging - first impression excellent . room large , comfortable keep beautifully clean . every night bed turn orchid head place pillow . restaurant superb good choice food - excellently cook well serve courteous helpful staff . my complaint , sit around large swimming pool , distinct smell drain course noise traffic outside hotel - indian traffic prolific - expect . would hesitation recommend hotel . sheer luxury . 
 Nov 8 2009 	 ? ? … 
 Aug 29 2009 	 ? ? ? ? ? ? 
 Nov 2 2008 	 Uneingeschränkt empfehlenswert ! 
