excellent 	 say read review hotel regard location , nearly cancel booking . please not . hotel clean , modern pleasure stay . location problem whatsoever transport link superb . bus stop locate right outside hotel regular 24hr service either drop nearby Kilburn tube station Oxford Street . would not hesitate recommend hotel would definitely stay whilst visit London . 
 great hotel decent pub attach ! 	 guilty pleasure staying hotel London time time , even though live London . 's great way see city 's nice wait every ! crown great place stay . price reasonable London , room clean comfortable pub attach great - even good live music . food pub good - not try King Sitric look bit expensive seem less atmosphere . cricklewood lovely part town good bus link town not far Wembley . capital connect ( ex - Thameslink ) station 5 minute walk away train St Pancras , Farringdon etc . be busy neighbourhood hotel ( main street certainly safe walk around ) dozen shop , restaurant fast food place . said not noise outside hotel night . the thing less happy noise corridor group arrive late night ( hotel 's fault ) bed not big comfortable ' ve sleep . minor criticism would certainly recommend Crown Moran . 
 Aug 27 2007 	 overate - Average Hotel - worth Price ! 	 spend 2 nigts hotel Rugby League Challenge Cup Final Webmbley - August 2007.I ' ve read lot review booking , whilst accomodation hotel new , hotel definitley situate run part London high ethnic population . hotel excellently situate anything go Wembley Stadium . Wembley Arena . here general comment hotel1 : room excellent - spotlessly clean modern2 : reception area - spotless airy modern - reception staff foreign difficulty understand english language3 : restaurant - eat ther night - food ok - standard London price - much quantity though.4 : breakfast - average - standard continental buffet style layout - cook breakfast order via waiter / waitress - get he / her understand ! - much quantity . get really frustrated staff breakfast - foreign , describe egg breakfast order ! , also order toast , request butter , come along 5 minute later ! 5 : lesuire facility - end hotel basement , facility good , feel man staff - someone get difficulty , not think anyone would come aid ! - worry kid . the swiime pool look lovely - nice size - freeze cold ! look like cost cut meThe jacuzzi work fine water smell like damp smelly clothe . to use sauna , request hotel staff turn heater 45mins using - look like cost cut meMy overall impression hotel great location Wembley Stadium , Station 15 minute walk away 4 stop ( 15mins ) train get , walk around outside hotel problem local ethnic population . the hotel nice modern , need employ right balance british foreign staff - currently far many staff hotel little grasp english language , customer service skill . it comfortable stay could improve tweak hotel owner . as London hotel , opinion , overprice , be get choose visit London . 
 Jul 30 2007 	 Excellent hotel 	 stay hotel 2 night choose good review also irish connection . book Easyjet half cost hotel ' website . use hotel 's direction get tube Willesden Green walk hotel . wonder go work class residential area . leave hotel walk Kilburn station instead - would advise access Tube Kilburn - much convenient . straight uphill walk back hotel get lose . bus road stop directly outside hotel directly opposite tube station . buy book bus ticket shop outside Kilburn station . we arrive mid - morning room available yet breakfast Brunch Menu glass atrium foyer ( impressive entrance hotel ) . breakfast perfectly cook reasonably price . also eat evening ( rather restaurant ) food beautiful . the room big clean window face side street affect noise . bathroom also luxurious spotlessly clean . the staff extremely pleasant helpful . enjoyable stay Crown Moran would definitely recommend . although outside city centre ( far ) , quality hotel well worth would defintely stay . 
 Jul 27 2007 	 Brilliant 	 Booked hotel part hen weekend fantastic time . hotel great area transport link Central London main airport good . meal restaurant lovely , although people eat . visit local ' nightclub ' finish evening pub adjoining hotel . breakfast subdue due hangover reflect good quality quantity breakfast . negative pool cold , stay since problem regard . say would highly recommend . 
 Jul 10 2007 	 excellent hotel rubbish restaurant Ideal location Wembley 	 stay 2 night July whilst attend live Earth concertthe hotel superb nice ' traditional ' irish pub attach late opening , live music 5 bar . pub definate highlightcheck - in quick efficient friendlyroom comfortable well equip , thoughly clean day , bathroom luxurious slight critisism would room slightly small average class hotel - although still adequate hotel shiney new throughout communal area impressiveThe problem come attach restaurant ( King Sitric ) take advantage sound like good fix price menu deal - 3 course £ 20my wife chicken salad lovely however tomato mozerella salad cover salt pepper extent unedible - would never believe salad could ruin badly ! main couse even worse - present small pork steak overcook , hard cut let alone eat extremely salty . come alone middle large plate small bowl chip company ( 8 chip total ! ) wife chicken supreme similar - chicken breast bed potato , chicken undercooke still pink ! understand chicken supreme white creamy sauce serve rice - apparently chef idea supreme cut chicken ! ! ( , sizewise look like pigeon 's breast ! ) order side salad ask come french dressing - salad arrive dressing tell chef know make time make french dressing ! ! ! ! complain ( first time ever feel need restaurant ) manager quite rude saying would eaten pork smeant chargrille ( read charcoal ! ) - well matter opinion eat undercooked chicken ! offer 10 % bill - absolute insult - leave money cover eat drunk head KFC next door ( also McDonalds BurgerKing opposite along superb baker open late excellent cake dessert ! ! ) plus side waitress good return breakfast next 2 morning breakfast superb however stay taint first night experiencecar parking hotel underground carpark state £ 10 night website , hotel say £ 20 24 hour however ask pay checkout - ( get carpark do not seem many place park around ) pay £ 95 night alpharooms.co.uk ( £ 190 quote direct hotel website ) London superb value . hotel handy Wembley ( 10 minute walk station 2 stop Jubilee line ) central London ( Jubilee line ) surround area reasonably plesant long remeber london suberbhotel would score 5 5 restaurant experience well 
 Jun 27 2007 	 Excellent ! ! 	 hotel may centre London , worth . stay suite husband 's 40th birthday & amp ; absolutely amazing , one nice hotel ' ve stay . lovely pub attach , always busy & amp ; really great atmosphere . staff friendly & amp ; helpful . kilburn tube station 20 minute walk away hotel , nice stroll crowd busy London , hill way back . area bad review , week & amp ; feel totally safe every night walk back hotel . would certainly go & amp ; recommend ! 
 Jun 19 2007 	 Friendly Hotel 	 wife spend 4 night hotel . we like much . ok centre London bus stop outside hotel frequent bus . we young yet able stroll near tube station 15 minute ( Willesden Green ) hotel room large clean . bathroom spotless . there noise main road night , drink excellent pub part hotel complex , never really notice noise ! one reviewer think area rough ; well fairly work class area never feel threaten way ! downside hotel parking . we drive underground car park hotel soon fill ( especially wedding reception ) .finde alternative place park easy . fair problem happen ( Saturday ) something aware go car . the staff area friendly helpful food good . we shall certainly stay next London . 
 May 29 2007 	 Love ! 	 absolutely LOVED Crown Moran Hotel . 's immaculately clean , relax facilite great . breakfast ' full irish ' much hotel . bar relax comfortable hotel restaurant - King Sitric fab ( though little pricey side ) . okay , area not exactly Knightbridge transfort link city fast frequent complaint . would definitely recommend hotel stay next visit . 
 May 28 2007 	 Fantastic Hotel worth distance centre 	 stay one night , pior attend conference , choose good review , get good price ( £ 86 B & amp ; b ) sort know Cricklewood anyway . yes centre , maximum 45 minute peak time bus , hotel lovely . wish could stay remainder trip ( book stay Holiday Inn Regents Park next couple night ) . area unsafe , real London , one normally show tourist . plus provide whole host takeaway food outlet want themthe staff friendly , room bathroom comfortable , classy huge . room large double bed plus single bed . shower powerful hot , bath big enough two . we room service fab , mega expensive ( big bowl soup doorstep bread £ 5 ) surcharge . the breakfast fill hot , breakfast buffet seem provide everything want irish breakfast . never use leisure facility , look lovely . fact problem encounter plug socket flush / close skirt board / desk Nokia charger would fit , staff offer lock away behind reception night charge . really wished could stay long return hotel . 
 May 27 2007 	 great hotel trek get 	 stay business 2 day could not get hotel central london Chelsea flower show . hotel great . major plus point really friendly welcoming staff , good breakfast restaurant evening great . room large London standard finish high standard . 's large safe big enough stow laptop good measure decent hotel aim business guest bathtowel actually bath towel size tiny usually find . downside - location not ideal - 's trek jubilee line 10 minute walk either Willesden Green Kilburn tube station . however think quality hotel price paying make this . other thing notice let hotel - enough staff reception breakfast room take age check 20 minute get serve morning breakfast . hotel standard surprised room not 's iron iron board blanket instead quilt - strike bit old fashioned approach respect . 
 May 14 2007 	 fantastic wedding reception ! 	 fantastic wedding reception Crown Moran 14th April . wedding good day live Crown Moran play key role ! plan wedding , staff always friendly professional , hotel offer great value money relation many London hotel . day food fresh delicious , room decor perfect staff professional yet relaxed . guest comment nice hotel , room confortable welcoming morning kid go swimming pool ! Cate Simon Jolley 
 May 14 2007 	 Loved hotel 	 book 3 night stay hotel last weekend April . all staff helpful polite . restaurant food pub food high quality . room service good expensive hotel stay , particularly useful come back concert want food 10.45pm . we make use swimming pool every morning usually empty good supply clean towel . the room nice clean bed comfortable . room quiet even though urban location room temperature coulsd easily control air system . it 10min walk Wilsden Green tube station would recommend use tube station slightly close hotel pleasant walk ( uphill ! ) . 
 May 14 2007 	 lovely 	 pleasure stay Crown Moran cousin 's wedding . small banquet room beautiful location reception hotel perfect place stay wedding guest . room clean , comfortable spacious aesthetic , modern decor . hotel staff oblige courteous need , mention helpful prepare host wedding reception . although hotel locate central ( Zone 1 ) London , public transportation readily accessible . number bus stop main road hotel locate access tube 10 minute walk . check Location tab hotel 's official website information . 
 Apr 12 2007 	 great value parking little bit trek 	 two - night stay Crown Moran Easter comfortable , thank book laterooms.com exceptionally cheap ( pay GBP 79 per night , include breakfast parking ) .The room comfortable spotless , full mark . kettle tea - make equipment , though hide away . 's pool fitness centre , deserted try first thing morning , though pool hot - tub little cloudy ( possibly over - chlorinate ) .breakfast pretty good , especially give 's include price ( see picture irish breakfast ) . buffet breakfast look dire though selection poor , full lard one go . 's complementary newspaper ( spot Irish Indie Daily Diana ... mean Daily Express ) .The hotel around 15 minute walk , short bus ride Jubilee line , 's well locate hotel Tube . say , also around 5 - 10 minute drive North Circular around 15 minute end A1 / M1 , combine free parking , could convenient be drive London . supposedly GBP 20 per night parking fee , hotel not charge we . 
 Jan 20 2007 	 Great Hotel 	 decide book couple night hotel basis trip Advisor review . prove excellent choice would endorse good comment . beautiful modern hotel slightly run area city feel perfectly safe entire stay . room decent size lovely bathroom spotlessly clean . choice meal reasonable price restaurant adjoining Crown pub . good choice breakfast serve lovely helpful staff . a little far central London serve excellent bus service right outside door . highly recommend . 
 Jan 9 2007 	 well recommend value 	 excellent 4 star hotel irish twist . hard find well value London . hotel superb restaurant , bar lovely health club . Booked company web site . locate busy bus route 5 min Jubilee line . well recommend . second time stay , hotel impressive first visit . 
 Nov 8 2006 	 recommend lovely hotel 	 wife book one night early November , theatre weekend sight seeing plan couple day London . the hotel brisk 15 - 20 minute walk Kilburn station ( station turn leave straight Cricklewood Broadway hotel Mcdonalds right ) . area seem quite mixed , would say typical inner city London area numerous eatery shop wide variety different country . well tube , manage get bus ( 189 ) time take we right heart Oxford Circus , bus journey cost we £ 1.50 . bus stop right outside hotel 24 hour bus late returner . London traffic take 20 - 40 minute get ' real ' centre bus . not know could flag 189 take we Kilburn tube station hotel , know next time . hotel , think room clean , modern , spacious . bed nice comfortable adjustable heating room . bathroom awesome , lovely decoration modern tiling could hear tv station via speaker , whilst shower ! staff seem friendly helpful . breakfast great , order full cooked irish breakfast , also entitle choose continental breakfast . eat much could lovely ! gripe lady change room leisure centre closed maintenance , fair enough . lady direct use disabled facility decorate clean . also , one person could get change . jacuzzi closed maintenance , pool bit chilly . fair get good deal room wonder price low time year maintenance ? not spoil anything we love hotel would love stay again . would highly recommend , without doubt good hotel ' ve stay ! Kate Andrew , Lincoln , England ( btw another lovely place visit ) 
 Nov 5 2006 	 birthday treat 	 Booking hotel easy staff warm friendly . three we stay triple room back hotel . room nice feature state website , although room mini bar . room spacious bed comfortable . bathroom fantastic ( modern clean ) provide toiletry stay . order room service serve time friendly waiter , breakfast excellent good choice food taste good . nothing much trouble staff wonderful take mum birthday . leisure facility excellent 4 pm one gym pool ourself although overlook pool guest hotel via room pool glass roof . downside ask coffee cup etc . third person room triple room sort quickly . also view room face back Iceland 's car park except Cricklewood scenic place . three we enjoy stay hotel afford would definatley go back . 
 Sep 1 2006 	 great hotel 	 hotel perhaps good hotel price London . although area may good london , defiantly safe , even late night , close underground . ( zone 2 ) area hotel locate , large street Cricklewood , thus probally safe . book room Expedia save large amount well get full breakfast . will defiantly go stay . 
 Aug 26 2006 	 Beautiful Hotel 	 find hotel excellent . room large bright well lay . new room corner view 2 large window overlook Main Street . room bathroom spotless clean shower excellent . there number different area one large building pub , noisy social scene quite cosy corner ' plush leather seat , perfect relaxing afternoon . the area typical London , mix culture provide shop , pub restaurant suit different taste . shortage good place eat drink doorstep . there frequent bus right outside hotel take city 2 tube station . Kilburn Tube station 8 minute walk hotel , would recommend walk possible get bus £ 1.50 2 min ride ! tube Bond St 15 minute . enjoy stay Crown Moran Hotel look forward come back .. 
 Aug 25 2006 	 First Class Hotel 	 stay top hotel London . , none compare Crown . hotel build way guest comfort first foremost . staff attentive , really not time ask anything , ensure everything ok . room comfartable , spacious , decorate comfort design help relax . food , well , can not comment enough food , meal mouthewateringly delicious , cook care attention . Admittedley , previous review say , breakfast get litlle bit hectic , relax take time enjoy , find actually good . yes hotel situate quite grotty area North London , 5 min staples corner , secure carpark hotel , bus - stop outside bring straight west end within 20min - ask ? know personally returnne hotel time time , whenver feel need bit luxury pamper . 
 Aug 21 2006 	 Jewel Crown 	 situate rough part London Hotel look good first . unfortunately service poor , management rude food truly awful . breakfast cold & quot ; make - do & quot ; approach tend expensive meal . not ingredient item ' ve order will throw anything . not expect apology complain . 
 Aug 3 2006 	 Great Hotel ok location 	 stay three night two lady 4th July weekend . 15 - 20 minute walk form nearest subway station , little unexpected fine . beautiful hotel , great accomodation nice strip restaurant shop . ( would feel safe walk night fine day ) . restaurant / bar connect hotel great food . bus stop right door . room clean , great bathroom staff friendly helpful . AC blessing , since heatwave . 
 Jul 31 2006 	 nice modern hotel 	 choose hotel visit friend area , rough , ordinary London area , mean could run across road get kebab midnight - lovely . build onto side old pub , always handy . public transport London straight forward , 20 minute walk Kelburn tube station , 5 minute hill bus . breakfast good , though & quot ; full irish breakfast & quot ; fry - up bit disappointing compare ' ve anytime ' ve Ireland . good wee hotel short stay London . 
 Jul 26 2006 	 great hotel - convenient 	 hotel excellent . nice room , good staff , 4 pub - one open night register guest . pool , hot tub , sauna - not get european hotel rate . drawback whole thing trip central London . good way , find , get weekly travel pass bus subway - jump bus outside hotel ( come every couple minute ) - jump first underground stop ( 5 min ) , take subway town . 30 min hotel Thames . bad , day , get little tedious . lot place eat nearby , pub food good , forget anyone say neighborhood good . 's typical London suburb may little different people expect . problem , people friendly , feel safe time . would stay ? yes - focus downtown . , would get place little close . 
 Jul 6 2006 	 recommend ! 	 wife stay 4 night Crown pleasure leisure stay London . hotel excellent ... clean fresh decent - sized room , friendly service , beautiful pool roomy gym . previously stay central West London price get cramp room , measly facilitie skimpy breakfast , place real . distance centre real inconvenience . get bus hotel Kilburn , tube rest way , stay bus enjoy adventure . regard area , English live area , mostly student , feel homely . local pub shop colourful welcome change expensive city centre . think crime risk back home Västerås , Sweden . another point location .... be arrive Luton Airport get train cricklewood . hotel 5 minute walk round corner station , need travel centre get tube back . 
 May 29 2006 	 great find 	 daughter return three - day stay Crown Moran hotel . we read many positive review site 's decide stay hotel . arrive Stansted Airport go hotel bus . First National Express service Golders Green London Transport bus get we straigh hotel . at Golders Green buy bus pass serve we well day come . any bus stop front hotel take Kilburn Station ( Underground ) Brondesbury Station ( Silverlink Railway ) five minute . silverlink take Hampstead Heath ( ten minute ) kew Gardens ( 25 minute ) . also want visit terrific place , make sure get pass appropriate zone . off - peak hour get great deal . serious shopping do Brent Cross Mall , also easy reach bus . take ten minute . we ' ve London many time spend lot money hotel ' t good . Crown Moran worth every pound spend . make sure bit homework go . London transport system excellent website . our room spacious european hotel room , spotlessly clean , bathroom really nice . Breakfast make order . not find neighbourhood & quot ; rough & quot ; . ethnic maybe , not part fun travel : see people live . 
 may 21 2006 	 great hotel 	 reading review tripadvisor decide stay Crown Moran . as review state area quite ethnic never feel unsafe time . bus right outside hotel take right centre London . we stay many major city hotel rate right well . feel like oasis long day tour London . find staff helpful breakfast excellent . would hesitate recommend friend would certainly return ever visit London . 
 May 16 2006 	 nice average far city centre 	 Reviewers complain area totally top - danger time . lively neighbourhood , perhaps bit rought , dangerous . hotel ok , nothing really new . old part hotel nicely refurbish pub meeting area upstairs . room new building rather average , enough plug business traveller charger , adaptor etc . overall quite expensive keeping mind central London ! 
 May 15 2006 	 great little hotel ! 	 stay crown moran two night weekend . lovely bright airy hotel friendly staff . our room big , two us one single bed double bed could hear radio tv bathroom , delight ! breakfast great - full cooked breakfast include within price . leisure facility great . pool small , lovely one morning . gym modern well equip . reviewer say , downside location proximity tube . good 20 minute walk get bus straight high street . area little outside central London . however , would rather stay lovely hotel outside central London stay nice hotel centre . depend want . area ethnic , many area London , that s waht get cosmopolitan city . never feel threaten . would definitely stay ! 
 Jan 30 2006 	 Great Hotel 	 nice hotel stay UK . true , bit far City Center , worth . breakfast great . continental type breakfast lay . may order hot breakfast waitress . everything great . fresh squeeze orange juice . dinner so - so . room great . clean . staff could not enough helpful . neighborhood ethnic .... slum . bus stop front door , minute tube , 15 min downtown . buy day pass tube zone 1 2 , GBP4.90 give unlimited use tube bus ( get tube station ) . hair dryer dresser drawer . 
 Jan 25 2006 	 Great Hotel great loaction 	 hotel fantastic . nice hotel ' ve stay London . room large stylish . bathroon nice fixture . breakfast good . the downside location . other say neighbood bit dodgy ( rough ) . also , close tube , need take 10 minute bus rid get tube . 
 Jan 21 2006 	 absolutely fabulous 	 little know hotel beat track , well worth book . look hotel less expensive within city limit London . hotel clean , modern , spacious , generous breakfast include price . cost room considerably lower within city . area safe # 16 bus ride center London . room newly renovate service excellent . staff seem helpful friendly . look forward stay travel England future . 
 Jan 17 2006 	 maybe 's husband grow NYC ... 	 think place great , not trouble neighborhood . must completely different idea slum average person . hotel definately little way , bus pick front hotel take maybe bit road tube station , anywhere want time . the actual street nothing terrible - lot little ethnic restaurant , internet cafe , hole wall joint - never feel unsafe walk around , would Daytona Beach night . notice whole area shut certain point - eat lebonese place three time one open get back . the hotel great , everyone else review place say . new , breakfast cook order delicious . room service prompt , polite , serve hot restaurant downstairs . smoking allow indoor , strange ( quickly adjust ) not problem - high ceiling allow lot ventilation . also , bathroom room large ' ve Europe - ever . huge , completely spotless . door shower poorly design , definately dealbreaker . the staff excellent , price unbeatable . will likely stay anywhere else London till afford InterContinental = ) call average anything do wrong , not want people think 5 star place . great - smoke air , actually see clean people , polite , staff cater . will really enjoy not go grand expectation . 
 Jan 14 2006 	 highly recommend 	 wife stay Crown Moran Hotel two night 12/1/06 - 14/1/06 , find hotel clean room large ' ve ever London . eat hotel one evening special £ 5 course menu food excellent . leisure centre pool , jaccuzi & amp ; sauna , go deserted ourselves . as previous review state hotel slum afraid dark ? people come , part London up - market hardly slum . terrify walk night could catch bus ( stop directly outside hotel ) Oxford Street perhaps might scary ? 
 Jan 10 2006 	 good facility far town 	 stay Crown Moran wedding anniversary weekend June 2005 . facility clean modern . bathroom large good shower bath . bed comfortable although room hot aircon effective . open window let street noise . area ok definitely inner - city area . feel safe come back late night theatre although nothing happen . main drawback time take get tourist area - factor average 40 min ( ie wait bus , bus full , traffic jam , connection get destination ) . staff polite friendly helpful ( mostly Eastern European ) . dinner restaurant indifferent . stay hotel host local wedding - 's ideal type function- bank noisy Saturday night people come back late room party night . nothing management since hotel full wedding party big spender . good part pool although security part hotel weak ( male wedding guest wander around female change room ) feel safe swimming alone . 
 Jan 3 2006 	 hotel middle slum . 	 hotel nice . note many review , little outside London , okay . okay hotel bad part London . someone prior review describe neighborhood & quot ; work class & quot ; neighborhood . think & quot ; slum & quot ; accurate description . fact matter feel safe walk street night girlfriend . relative live London , upon find part town , uncle tell we change hotel would want kid stay part town . find ironic flight home , girlfriend flipping magazine , celebrity interview mention use live Cricklewood ( i.e. , neighborhood Crown Moran locate ) crappy be / be . we move hotel Swiss Cottage . really like , tube stop city center , area nice , get hustle bustle city end day . 
 Dec 16 2005 	 Excellent hotel ! 	 arrive Crown Moran afternoon 10th december stay three night . room lobby like picture . lot light , comfortable , fresh , modern spotless clean . someone remark review hotel lack atmosphere . not true . sober , classy kind amosphere , personally quite enjoy stay modern environment lot light contrast restaurant , castle museum visit trip . evening guest come sit table lobby talk . 's relaxed friendly . the pub , Crown , quite popular Saturday night , discover , quite noisy say least . pleasantly surprised find none noisyness could hear far away room inner part building . even beat bass ! bathroom clean bathtub huge . handle kind surfice bottom keep one slip . imagine 's valuably information elderly disabled visitor . visitor Sweden happy know bathtub / shower sink mixer tap ( sw . & quot ; blandare & quot ; ) wich otherwise rarely see Britain . danger , therefore , scaulde shower ! reach popular attraction may take bus way ( bus stop right outside hotel entrance ) change subway kilburn station . yes , take minute reach destination , London large city afterall , even live Piccadilly Circus would take taxi , bus tube point . depends be go . attraction , like beautiful Kenwood House , quite nearby actually . irish hot breakfast , like scramble egg , bacon toast , serve table restaurant ( come ask would like ) continental breakfast ( cereal , yogurt , boil egg etc ) buffet table . be also possible breakfast serve room extra change think 4 5 pound . one thing especially like restaurant window look kitchen . think really show nothing hide . I recommend hotel ! 
 Dec 9 2005 	 far centre London 	 hotel modern lacked atmosphere . the Crown pub next door serve bar food child allow evening . food service average . would reccomend hotel London short stay . take long travel centre . on plus side bedroom clean comfortable . 
 Nov 21 2005 	 Superior Hotel 	 reading tripadvisor review book Crown Moran recent visit London . delighted choice . hotel lovely , clean modern 20 minute hustle bustle city centre . bedroom accommodation spacious , staff friendly bar staff make feel welcome . experience stay compensate short time travel north city . cost stay exceptionally good value ( include breakfast ) consider expensive city central hotel sometimes provide poor service experience viste London . definitely superior hotel problem recommend other . 
 Nov 10 2005 	 close London quietl 	 stay London one week Crown Moran Hotel . hotel nice staff helpful . Hotel London , room quite big similar size superior class north american hotel . add bonus swimming pool quite uncommon Hotel London . find Hotel close major tourism location London use Tube ( 15 20 minute ) . breakfast include quite good choice buffet fruit/ yogurt cereal or / and typical english breakfast well fry black pudding taste . supper night Hotel food good expensive especially week since special deal . also , adjacent hotel nice English pub eat light lunch drink good english beer . finally , room rate one low quality able find Expedia . would recommend Hotel anyone planning trip London . 
 Nov 10 2005 	 highly recommend ! 	 Husband , mother - in - law return stay Crown Moran Hotel London 6 night excellent stay ! room new , clean , high quality . service hotel staff restaurant wonderful . read review say far action absolutely true ! hotel 10 minute walk Kilburn Station Jubilee line , one nice Underground line . hotel locate ethnic residential neighborhood mean ever feel unsafe reviewer note . reviewer must familiar city living travel . grocery store next hotel hotel many nice amenity . find reasonable rate Expedia full cooked breakfast 's include stay make great deal . definitely stay next time go London . 
 Nov 10 2005 	 Excellent Hotel 	 I ve return 1st anniversary crown moran stay 3 night . we brilliant experience . the checkin quick staff helpful friendly . the hotel excellent value park £ 20 long stay also good value . it bite town go 189 bus come every minute outside hotel take 20 minute get oxford street . the room clean spacious hotel close centre london lobby really beautifully decorate . also restaurant hotel good quality . I recommend hotel enough ! 
 Nov 9 2005 	 lovely hotelfriendly staff great value 	 room big . bed comfy . bathroom clean nice bath - tub . staff friendly . I bite weather sleep one day . the front desk phone see anything need . breakfast excellent . having travel France taste continental breakfast , really nice sausage egg change . it come black white irish pudding . I never quite good . there buffet table juice cereal , etc . it gym , pool jacuzzi . too much chlorine put jacuzzi start foam . London hotel expensive Europe hotel reasonably price . the trade - off may location . with luggage , impossibe walk tube . it crucial take bus stop front hotel . the ride 15 minute . also , take half hour get downtown London tube . I would rather saving stay lovely hotel . 
 Nov 2 2005 	 lovely remote 	 stay one night early november - nice room bathroom - clean , tidy , well equip - facility excellent price - pool hot tub - excellent full irish breakfast - good price via hotel website - problem position hotel - difficult recommend anyone plan spend time central london really bit far situate nice area - still , well worth money do not mind bit travel 
 Oct 24 2005 	 good ! 	 Husband back week London . spend one night Crown Moran Hotel decide check - out go elsewhere . yes beautiful hotel look like picture post board . problem warn several people reveiw board - hotel way way way . near anything city London . area sorry really bad , almost depressing look walk around . would never believe England . travel not want spend whole day train bus get sight . eat half day try get hotel ! near anything ! yes agree price ok like old saying go ... get pay . room large bathroom nice . room front hotel impossible sleep night noisy street . think get ice cube England problem . get bucket ice room drink etc . hotel charge $ 5.00 find bit tacky ! staff hotel bit cold unfriendly . maybe bad day - know . new visitor England warm friendly . desk anything set lobby tell tour England , map , information tube , bus , play - nothing ! hotel . pretty hotel first time visitor England spot . spend day tube bus trying get anywhere . hotel far town close anything . check cab driver take we tiny little bed breakfast place call Park International Hotel locate Keningston . wonderful . write review hotel board . cost we $ 70.00 night full breakfast . wonderful , clean , bright good location walk almost anything . think hotel .... remember ... spend day tube try get hotel . shame really beautiful location really bad ! also breakfast include Crown Moran really sad . egg , bacon sausage . hard roll throw , ask butter , cold - cut , juice - ! big disappointment . hope help . good luck happy travel ! 
 Oct 21 2005 	 good deal London 	 travel London 12 time per year travel stay big time dump . London fun city honest hotel standard way city Europe . room London filthy , small grossly overpriced . Crown Moran fabulous piece paradise situate train tube stop form heart London . room generous size , extremely clean , hotel staff first rate . addition , site 5 pub bar entertainment , well excellent restaurant . not put work class neighborhood ... hotel first rate , price fantastic . easy get Luton Airport ( recently upgrade Luton Airport ! ) .. hotel gem ! ! 
 Oct 5 2005 	 excellent stylish hotel 	 hotel fab , walk look great , room lovely pub great . lovely breakfast . stay one night would love go back . would definitely recomeend anyone stay London happy stay outside central london 
 Oct 5 2005 	 great small hotel 	 husband & amp ; book Crown Moran compare price review Trip Advisor please . 's great value money . breakfast well receive UK service people helpful . hop # 16 bus morning take we Marble Arch pick bus city section . neighborhood almost exclusively middle eastern restaurant also middle Eastern , thai phony fish chip shop . either eat hotel , food good , eat London return night . one caution : not use high bathtub side , careful . take pretty bad fall misjudge distance get . 
 Oct 3 2005 	 wonderful stay 	 stay Crown Moran 3 day September . wonderful place . little bit away city center , well connected bus tube . get around problem . lot little restaurant around hotel well . staff helpful room nice well appoint . great water pressure shower . good deal hotel include nice breakfast well . would definitely stay . 
 Aug 31 2005 	 London 's new friendly liveliest hotel 	 recent visit July 2005 London decide check new Crown Moran Hotel northwest city Cricklewood hear quite good comment . delighted find assessment true indeed . 4 star hotel modern , air - condition spacious bedroom . reception area huge relaxing . dip clean warm pool relieve stress travel . eat restaurant enjoyable . facility generally superb accept iron board room , although believe available almost room . however , provide one request . since Irish manage hotel expect enterainment would lively . not disappoint public resident 's bar pack capacity weekend night . attract age group mingle together . hotel large disco dance facility . whatever age enjoy experience . bedroom area quiet unaffected entertainment quarter . finally , make impression hotel 's exceptionally friendly staff . would hestitation recommend hotel business pleasure customer . 
 Aug 30 2005 	 wonderful 	 share praise wonderful hotel . although be fifteen minute Tube ride sight see attraction , ideal location we . work New York City , London similar many way . in addition good thing say reviewer , would like say pool sauna fantastic . lovely departure meal , live music , hotel restaurant , say good thing staff . one feature think cute , efficient , notice telephone call tv screen room . also , Fabiano , concierge , extremely helpful . the Crown Moran terrific ! would love stay . 
 Aug 28 2005 	 Crown Moran meet expectation ! ! 	 returend staying week Crown Moran . service staff friendly professional . triple room spacious well decorate clean . although centrally locate easy get center London take bus stop outside hotel ( 189,32,16 ) Kilburn Underground station . would suggest get travel card helpful able jump bus underground week . real nice restaurant area enjoy eat several local pub . enjoed stay Crown Moran would return future . 
 Aug 22 2005 	 Perfect wedding reception 	 wedding reception Crown Moran Hotel 29 July , can not recommend highly enough . staff excellent . particular , event manager Chef great planning stage , day whole team work together exemplary warmth professionalism make sure everything go perfectly . hotel smart , stylish , clean spacious . reception room comfortably seat 80 guest , mezzanine area great place welcome drink grand piano provide tune . receive much praise guest quality food , staff hotel - guest stay overnight impressed room . also find price compare favourably competition . look many venue North London , Crown beat competition mile every regard . wedding fantastic day . 
 Aug 19 2005 	 absolultely love crown moran 	 family visit London first time . book hotel expedia . visit London , Ireland place stay Crown Moran . staff excellent . answer many question assist arrange taxi whenever need . hotel exceptionally clean beautiful . 
 Aug 17 2005 	 Loved ! 
 Aug 15 2005 	 GREAT HOTEL - LOVED stay ! ! ! ! ! ! ! ! 
 Jul 25 2005 	 good buy London hotel great location 
 Jun 7 2005 	 excellent return visit 
 Jun 1 2005 	 Excellent choice 
 Mar 23 2005 	 home away home 
 Mar 9 2005 	 great hotel 
 Feb 26 2005 	 forget west end 
 Jan 24 2005 	 Fantastic Hotel ! 
 Sep 9 2004 	 happy surprise ! 
 Sep 9 2004 	 Heel mooi hotel 
 Nov 20 2009 	 super Hotel 
 Nov 5 2009 	 schöne Hotel mit kleinen Macken 
 Aug 13 2009 	 Muy buen hotel 
 Aug 2 2009 	 Traumhafte aber ruhige Lage Zentrumnähe . Alles tiptop ! 
 Apr 22 2009 	 Sehr zu empfehlen - nicht zentral aber verkehrstechnisch hervorragend angebunden 
 Jan 28 2009 	 Il Crown Moran Hotel e ' fantastico 
