Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 Jul 17 2009 	 think elevator ... will spend long time wait ! 	 get negative point , good thing hotel .... - lovely room : modern , slick , bright , good size , good view , good amenetie , etc- health club : big , clean , great gym , nice spa- location : great want near term shop , business , etcand negative : - structure hotel . 's scenario : offer upgrade ( fee ) junior suite , include access club floor perk associate . however , junior suite basically differently shape room normal room ( corner hotel ) room pretty much exactly size . suite offer 37th floor ( 66 floor ) . club floor locate around 55 60 . accept room , would daily voyage : - take life ground floor 20th floor lobby is- take another lift lobby floor 37th floor get room- fancy use cub floor ? well take lift back 20th floor- take another lift club floor . fancy go gym ? ok , well will need get stuff room : - take lift club floor , 20th floor , another 20th floor 37th floor , go back 20th floor get another lift 10th floor ( different 3 lift ' ve already take ! ) get spa- etc etc etcthe number different elevator also mean ask anything , like card access wifi , wait staff work myriad elevator also ! ( yes , can not sign wifi room .... costly 100 rmb need order business centre , staff bring code personally room sign ) . lot people mention breakfast buffet . yes admit food nice , buffet restaurant like mad house . literally 100s people , swarm around . service slow ( e.g . want coffee ) probably one least attractive relax place ever breakfast ! service good ... nothing beyond have experience elsewhere China ( country find service excellent ) overall , modern , massive hotel , good location . can not fault room , spa , top floor bar .... will go somewhere slightly less ' mass production line ' next time 
 Jul 13 2009 	 Perfect Hotel Stay ! 	 stay 7 night Royal Meridien , love . first time ever China , central location hotel Shanghai near multiple metro exit , people 's square , museum shop great . staff speak excellent english helpful accomodating need . upgrade Executive Lounge status , include free breakfast / afternoon tea / snack , cocktail / appetizer evening + free internet access - save us ton money time , convenient . gym amazing , new equipment machine , clean huge indoor pool / jacuzzi area . the chinese restaurant hotel moderately price AMAZING , really blow away superb quality fair price . beautiful setting , overlook city . french restaurant good quality , like selection 4 - course menu - chef include 3 seafood item meat beyond french menu . go order ala carte . exectutive lounge staff recommend another nearby chinese restaurant - Jade Garden Porsche building - also amazing even affordable , Anglos challenge find restaurant ordering - may good chinese food ' ve ever ( except Sweet / Sour Pork Le Meridien restaurant spectacular ! ! ) .nearby shopping price point everywhere , hop clean easy metro taxis shopping area . lotus pond people 's square stunning , must see right across street ! Yu Garden 3 - rmb ( $ 1.50 usd ? ) ton shop ancient city setting , side street excellent dumpling - 15 pork dumpling $ 1.50 usd . side street food vendor like see Travel / Food Network show , fun . 
 Jul 12 2009 	 Great Hotel round 	 return four night thele Meridien Hotel find position , service , Rooms , food excellent standard . I stay junior suite 36th Floor overlook people square room perfect amenity available large Plasma tv rotate face bed Lounge large bathroom huge showerhead . breakfast highlight amazing Buffet available . in fact lunch dinner also offer outstanding Buffet selection . the staff speak english always friendly ask need assistance . the Bar 66th floor great place drink watch light come around city night . overall could recommend Hotel highly enough deserve number one rank trip advisor Shanghai Hotels . 
 Jul 11 2009 	 Modern Hotel - Small room 	 stay October 2008 family . ideal hotel stay family . room small request 2 bed , stiff 2 twin bed . room modern well keep . Windows big give quite view city . location descent locate right Nanjing Road . wireless internet available room . go business center locate another floor . convenient hotel cater business traveler . sink outside bathroom . counter bathroom put clothe . also bathroom window transparent pulldown curtain . good hotel couple business traveler . pick another hotel travel family . 
 Jul 9 2009 	 great breakfast buffet 	 average great hotel . one thing stand quality food breakfast buffet . 
 Jul 6 2009 	 ultra modern hotel 	 thoroughly enjoy stay hotel , perfect place spend last couple day China . pick airport guide , know way around , otherwise might struggle check - in not ground level . also need concentrate make sure use correct lift , not go floor . room great , floor ceiling window , massive television wall fantastic glass bathroom . sure reviewer mean door bathroom , frosted glass , certainly see - through . the pool area clean , pool quite large perfect temperature . the breakfast outstanding , probably well ever . choice amazing . first morning lead table rather dark part restaurant , ask could sit nearer window , start say none available . notice empty table somewhat reluctantly move we . the business centre charge 50p per minute internet think expensive , even upmarket hotel . the fruit juice ice water reception nice touch , & quot ; turn - down & quot ; service always ask want extra water . overall good hotel , would hope revisit sometime . 
 Jul 1 2009 	 Great Location little pricey huge breakfast buffett 	 stay one night trip mostly part China . hotel nice location great . problem hotel . great view room , although room little small outside wall big window , make feel big . 
 Jun 9 2009 	 Location luxury tip top service ! 	 recently stay Le Meridien Shanghai must say overwhelmed granduer property well personal service offer . arrive email Concierge hotel arrange train ticket Shanghai Beijing , different class option offer ticket wait arrival ......... smooth reassuring not try arrival Shanghai . hotel impressive ( brand new , maybe 2 year old ) , build one tall Shanghai locate perfectly end Nanjing Road ( walk / shopping street ) across road Peoples Park . subway 100metres hotel taxis plentiful . breakfast hotel amazing nice receive & quot ; illy & quot ; coffee breakfast start day . indoor swimming pool gymnasium perfect place end mad day shopping Shanghai ........ hotel perfect sanctuary battle masse street . would definitely stay Le Meridien Shanghai ........ staff build top notch ! 
 Jun 8 2009 	 mind blow ! 	 sucha great time hotel ! spa amazing ! many different type massage , amazing ! 
 May 30 2009 	 Fantastic 	 hotel basically one good starwood property ever stay , every thing flawless , can not remeber thing disappoint , location great , food great , room service excellent important staff friendly polite 
 May 28 2009 	 Fabulous ! 	 husband stay hotel 1 week . far one good hotel ' ve ever stay . room modern , clean , comfortable . breakfast amazing satisfy palate . great location - right Nanjing Rd . close metro . people , shop , food right doorstep . service excellent - staff even take time show use local cell phone . royal meridien make stay Shanghai much well . 
 May 20 2009 	 Ultra Modern Shanghai 	 recently start travel Shanghai . Travel Agent recommend hotel . great location near People Square Bund side . originally think Bund agent description , not . high enough see Bund area modern Pudong . view night stunning . there strange qwerk hotel . could never figure elevator need ride floor . change elevator least two time journey . also not understand sound nature lobby ( bird chirp ) .Overall enjoyable stay . 
 May 18 2009 	 fabulous modern hotel heart Shanghai 	 love Le Royal Meridien Shanghai . build stunning see city Pudong . staff - wonderful - polite , really helpful ; room - spacious , stylish , spotless - love fact glass bathroom part room also LOVE floor ceiling window spectacular view city Pudong . Breakfast superb - staggering choice food around world serve smart surrounding . note : eat one hotel restaurant ( chinese food ) service not great food good ( although arrive different time bit frustrating ! ) . also bar stunning view slick - service not brilliant . would certainly recommend hotel would definitely stay . 
 May 8 2009 	 absolutely gorgeous ! 	 stay four night Le Royal Meridien Shanghai love every moment . room small stunning view imaginable Shanghai . truly spectacular . hotel 's location fantastic -- right heart city -- decor remind stylish modern art deco . staff helpful , restaurant good . trek sightseeing , book massage spa , probably good massage ever . husband still talk fabulous hotel . 
 May 1 2009 	 good Le Meridien world 	 good Le Meridien ever stay . club lounge amazing , restaurant fantastic , staff wonderful . sure drink bar top floor - view stunning night . 5 - star hotel Shanghai - can not imagine anything well . 
 Apr 29 2009 	 great hotel great location inadequate facility 	 ' ve stay property Shanghai room one good . location superb well , tourism , corner Renmin Square Nanjing East Road , easy access metro . hotel metro get ask couple time want fake Rolex pretty good compare Nanjing East Road . the negative point breakfast . first morning ( Sunday ) buffet restaurant full waiting minute queue take additional area around corner lobby area inferior atmosphere reduce selection breakfast offering . second morning normal breakfast absolutely superb much variety . breakfast important , insist sit main area . 
 Apr 17 2009 	 Great Place stay 	 Good Ambience , good place stay business / event . if leisure trip shanghai need find hotel close shopping place & amp ; tourist attraction . 
 Apr 15 2009 	 Great Hotel spectacular room service value 	 stay 10 day tail end 3 week Mission Summer Para - Olympics . service top notch ; staff really care ensure stay perfect . be upgrade suite SPG Platinum . the club floor lounge one good view city offer excellent selection drink tapas . walk distance main sight seeing area . 
 Apr 13 2009 	 Great Hotel ! almost perfect ! 	 stay Le Royal Meridien last minute change package tour . disappointed ! room spacious . bed comfortable . toiletry complete .... l'occitane toiletry ! ! amenity also completelocation perfect . right Nanjing Road . accessible department store Nanjing . concierge helpful knowledgable go Shanghai . speak good English well . one drawback wi - fi free . housekeeping service quite slow well ... maybe almost fully book hotel . breakfast wide selection ... smoke salmon appetizer canape egg benedict . would love stay hotel ! 
 Apr 13 2009 	 Excellent hotel great location 	 return 4 day stay Shanghai Easter . think Le Royal Meridien Shanghai decent choice . location : hotel locate centre Shanghai , next Nanjing West Rd Shopping street several mall include Raffles City . People 's Square subway station . location well much convenient tourist Pudong Xujiahui . cost rmb140 taxi Pudong airport . ROOMS : design ultra modern comfortable . view room spectacular . bed comfortable . appreciate l'Occitane toiletry . service : excellent except waiter chinese restaurant , rather aloof . staff speak good english helpful thoughtful . check - in concierge efficient whole . breakfast : excellent wide range choice good hotel Asia . 
 Apr 9 2009 	 good great . 	 stay night hotel April 2009 . SPG Platinum member give Royal Club room . view good , disappointed size layout room . all - glass bathroom effectively part room . also surprised find wi - fi chargeable even Royal Club lounge . lounge nice spacious , outstanding compare SPG lounge Asia ' ve visit , include Westin Bund Centre , Westin Kuala Lumpur , Le Meridien Kuala Lumpur . all - in - all , disappointed stay give good review rank . 
 Apr 9 2009 	 Landmark hotel East Nanjing Road good breakfast buffet 	 architecture hotel strike . come towards East Nanjing road , really can not miss . service good staff speak decent English . room nice good thing hotel breakfast buffet . ' ve get good deal Hotels.com pay EUR 125 ( include breakfast ) good deal . bad thing hotel high charge use internet ( EUR 1 per 2 minute ) . since internet available top hotel , not much choice . like shopping , East Nanjing Road place . personally like french Concession like nice little boutique good restaurant situate . 
 Apr 7 2009 	 location 	 choose hotel two night quick visit Shanghai reason . first , come Pudong airport , want experience Maglev ( overrate must kid ) . Maglev connect easily direct subway hotel . sure look East Nanjing exit subway put front hotel . second , subway outside hotel also direct shoot Circus World , see ERA ( highly recommend acrobat show . ) next , hotel close Shanghai Museum . unfortunately , expect long admission line Sunday morning , end enough time visit . also , right outside door East Nanjing Street . Saturday night 10 PM March , feel like Times Square speed ! 20 minute walk Bund , Bund , dynamic . could really feel bound pulse Shanghai .. lastly , block away hotel two great local dumple restaurant , Jia Jia Tang Bao ( soup dumpling ) Yangs ( fry dumpling ) Huanghe Road . see , Le Royal Meridien location . 
 Apr 6 2009 	 would like give 5 star review can not 	 Le Royal Meridien great location next Nanjing Lu , main shopping street Shanghai . build magnificent building , ( rare clear day ) many room wonderful view Shanghai Pudong across river . hotel clean , bedroom comfortable well equip , dining facility good . however , certain feature hotel make impossible call 5 - star facility . first , hotel apparently inactivate room key whim departure date - even ( case ) late check arrange , hotel aware time departure car book airport . second , complain practice , front desk staff pretend manager available talk & quot ; right & quot ; . ( start talk contact general manager , front desk manager suddenly appear . ) third , business centre charge price see simple task 50 similar hotel around Asia . fourth , hotel well signpost internally - example , different lift lobby require get grind lobby level , bedroom floor hotel . finally , although food serve restaurant high standard , training wait staff - odd reaction request simple beverage , plate whisk away food consume , coffee tea leave yearn nearby Starbucks . want see downtown Shanghai , hotel definitely unbeatable location - nearby ( experience ) many hotel well attitude service , good view , highly acceptable room food standard . 
 Mar 31 2009 	 really great hotel . 	 stay weekend really everything expect . large , clean room amazing view Shanghai . bed nice comfy plasma screen tv attach wall . bathroom big bath nice shower set - up . internet little pricey chinese standard , not really need not bother . breakfast excellent service almost good . second waste appear table staff right pick . almost get comical . not mind little mess table nice clear . whenever get get something always come back serviette refolde place table . choice food outstanding . staff helpful . doorman always get taxis we make sure driver know exactly want go . Overall Royal Meridien good choice . may bit pricey compare hotel area , get pay . 
 Mar 25 2009 	 bad Starwood hotel ever stayed 	 stay Shanghai time ( business travel respectively ) bad experience ever hotel here . I request double - bed non - smoking room book . check reception tell twin bed room leave . offer asisstance ask check say one double - bed smoking room . seem like not care customer 's requirement . request speak manager , manger come simply repeat thing tell double - bed smoking room twin - bed non - smoking room . point attitude cool indifferent . although one easily see hotel work hard appear come lot artistic element modern style , room 5 star hotel standard well . paper coaster use tap water smell even boil . lift hanger work properly . the advantage locate busy shopping street centre CBD.Their entrance convenient well - would take lift lobby floor right step elevator , would see restaurant lobby reception area . quite maze first time customer . all , indifferent manner staff make feel good . business traveller not expect warm welcome staff , least hotel staff care customer would something expect . think lot good hotel town one . 
 Mar 20 2009 	 Spectacular right spot get know Shanghai ! 	 amazing service beautiful , ultra - modern room service . minute arrive , service exceedingly welcome efficient . view wonderful . restaurant wonderful . motif hyper modern warm beautiful asian decoration . 's middle bustling area many choice restaurant , shop cultural site . location perfect , two block Peoples ( Renmin ) Square Shanghai Musem . major pedestrian shopping street literally front door step leave . walk way Bund river easy stroll 30 - 45 minute take moment shop gawk Chinese dance Tai - chi work pocket park way . 's wonderful place great price .... superb value . 
 Mar 16 2009 	 Excellent hotel 	 stay Royal Meridien weekend love . location excellent . staff discreet , friendly helpful . room well equip , spotlessly clean excellent view . request non - smoking room get , trace smell . bed comfortable . aware bathroom design bit unusual ( see - through glass bathroom main room ( ? - see tv bathtub , course ) , non see - through glass toilet shower ) would comfortable share room e.g . colleague , well suited family romantic get - away . 
 Jan 23 2009 	 good choice Shanghai 	 stay Le Meridien 5 night use Starwood point , good deal we . since platinum status , upgrade suite , access lounge . first suite terrible smell , go downstair get new room . brief confusing front desk , quickly do . concierge bring luggage new room . overall , good hotel ! definitely worth stay , stay . definitely pro / con hotel : pro : good location Nanjin Road . get high floor room , get amazing view . since summer , view somewhat questionable smog . metro station across street , remember exit take get metro , might end side park . pro : Suite HUGE , floor ceiling window . room also come laundry bag ( crappy plastic kind ) , shoe cover bag , shopping bag , slipper , robe , hot tea pot , daily bottled water . House keep super .. .we never see hall room always clean upon return . bathroom big spacious , come everything need road . pro : lobby beautiful , building . love modern decor , fresh flower , overall design impressive . pro : guy handle cab line front hotel know place need go , seem organized . con : total mis - management prefer guest concierge lounge . would & quot ; seating & quot ; breakfast ( first time experience hotel prefer guest lounge , Asia US ) . since & quot ; serve & quot ; ( be buffet style food ) lounge , good luck get coffee / tea ( ask ) flag 20 young people work . one six computer lounge internet connection stay ... 's point six computer ? since speak local Shanghai dialect , catch talk guest ( professional , ? ) con : perhaps many people work ? two people stand lobby level push elevator button guest -- 's entire job ! get cab , least 3 4 people stand greet ... ( mind , help bag , GREET .. people help luggage , etc . ) . mention , many people & quot ; working & quot ; lounge . weird thing never see housekeeping anywhere hotel , hotel spotless . 
 Jan 11 2009 	 over - rate 5 star hotel 	 husband stay hotel 5th Jan 10th Jan 2009 . 5 star expectation hotel read numerous review also stay 5star Hotel Intercontinental Financial Street Beijing . however , hotel disappoint expect 5star hotel . Front desk meet request high floor . stay 35th floor ( starwood prefer guest floor , seem ) . room ok , plasma tv nice toiletry . sink area open main area eg be not door entire bathroom . could due space constraint fit room ? bed springy sound . worksmanship finishing fixture quite poor - see silicon plastering , etc . bedside LED lamp work properly shower handle ( metal portion ) look like come . first night , funny smell around bathroom area . housekeeping come around spray entire room smell like scrub toilet . addition , throughout stay , constant knock sound disturbed sleep . good part clean interesting feature ( pulldown clothe hanger , neatly tuck power socket , etc ) .In room dining / room service ok food item bad . ask chilli sandwich tomatoe sandwich . remember tomato forgot chilli ( bring second time ) . Breakfast look good beginning become bore menu almost 5 morning . breakfast station close dish unreplenishe arrive breakfast area around 10.15am . chinese , think chinese food item buffet breakfast good . western food bad though . waitress walk past table three time fail clear empty plate cluttered table . time , three table leave . interested clearing table guest leave replace towel . ( 10.30am ) . Buffet breakfast close promptly 10.30am fine . stay past 10.30pm finish breakfast unpleasant experience hurry change buffet item ( lunch , think ) . concierge 5 star quality . give standard answer / reply ask trip Hangzhou . Front desk seem fluster take find review card ask one upon checkout give slightly worn look one . staff generally smile ( save one direct right lift lobby ) .The main good thing hotel good location . walk bund , Shanghai museum surround hop onto metro . can not see 5 star , like 4star try 5star service fail aspect . , rate average ( average 5star hotel ) . 
 Jan 4 2009 	 Le Royal Meridien Shanghai - really style 	 although travel April , finally get around post China trip . normally , prefer venture , China decide take organize tour . lot research , choose Pacific Delight tour company- 13 Day Golden Route Gold Experience ( Beijing , Shanghai , Xi ' , Guilin , Hong Kong ) . choose company base small group size upgrade hotel . fabulous time . tour great- twelve people group guide efficient knowledgeable . stay Shanghai two night Le Royal Meridien . admit ' one favorite place throughout trip . really nothing wrong hotel . sleek decorate ultra - contemporary fashion , feel kind cold we . want like well since review favorable . lobby 11th floor switch elevator get room . room good size , bathroom / shower enclose glass wall . screen come , true feeling privacy even though really ' see glass . sink also outside bathroom , rather inside . good want continue get ready person shower , force leave bathroom finish . sink seem place rest room also space put toiletry either . bed frame wooden stick bit . get one night smash leg , point still mark leg . ouch ! laundry expensive . ( two us ) change clothe launder $ 75 . realize city / Le Royal Meridien price , excessive nonetheless laundry . suggest travel several city China need laundry , wait get small town like Xi ' Giulin . price third Shanghai . breakfast good . ' busy breakfast though get forget rush . one morning fine , next problem get service . ensure get lounge 66th floor ( confuse lounge lobby level ) . view bar 66th floor amazing ! clear evening , get fantastic panoramic view city . service bar good well . the location also great ! step away heart Pedestrian Walkway , People ' Park , People ' Square . 
 Dec 30 2008 	 Oasis Shanghai 	 Shanghai exciting city representative " new " China . also sprawl , noisy extremely crowded . therefore important stay hotel oasis bustle metropolis . find Royal Meridian perfect antidote chaotic , exciting city . if like modern design , hotel . tourist , ' ask well location . ' right People ' Square , near Metro station lot shop far major tourist attraction . hotel 20 - minute walk Bund 25 - minute walk french Concession . Shanghai , attraction also cheap cab ride away , well . besides location , thing really like hotel : § good security – take elevator 11th floor lobby , plus always hotel personnel station entrance elevator bank.§ Cheerful , comfortable room good bed linen ever sleep 42 - inch flat screen tv decent selection English - speak channel . great view room since high floors.§ Bathroom one good shower ' ever experience hotel . note bathroom probably ' offer much privacy traditionally design hotel room.§ one good hotel pool ' ever see . ' perfect swimming lap even kick board . ' use gym look excellent.§ overall , helpful friendly staff . concierge particularly helpful ; ' able get around city without help.§ excellent restaurant outrageously price elsewhere . eat chinese , italian , Buffet restaurant ; quite good . my criticism hotel relatively minor . : § reviewer note , elevator system confuse time . however major concern.§ staff gym pool tend hover time . maybe cultural thing , think need train behavior get annoying while.§ finally , free wi - Fi room lobby . ' know standard practice China , would convenient least lobby . note , walk across street Costa Coffee , delicious blueberry muffin free wireless internet . overall , stay Le Royal Meridien great , highly recommend hotel ! 
 Nov 16 2008 	 Magnificent hotel 	 ' ve never write review hotel , though ' ve use Trip adviser numerous time , successfully , find . hotel outstanding compliment recommend anyone visit Shanghai choose . though cheap , less many other come Trip Adviser , ranking , service , location , amenity , view room ( floor 38 ) quite amazing . know daughter great experience moment arrive . daughter leave passport paperwork back seat taxi airport immediately say leave - would track taxi retrieve document . within hour , phone we beautiful room say way hotel . particular bonus , though heart busy centre , bit noise night - seal window excellent air conditioning . I ' ve nothing praise every aspect stay . 
 Nov 12 2008 	 Loved Le Royal Meridien 	 come back 3 night stay Le Royal Meridien , Shanghai . new & amp ; ultra - modern hotel one good hotel ' ve stay . amenity well , staff really friendly & amp ; helpful , food good 's centrally locate midst busy street Nanjing . 
 Nov 4 2008 	 Fantastic Hotel 	 fussy traveller , hotel oasis middle crazy city . travel un - westernised area realise joy hygiene hotel ! spot one man clean carpet toothbrush ! ! staff beyond lovely grind lobby floor , housekeeping . bit shirty fabulous 789 bar 66th floor heck ! view , bit ' lost translation ' . usual , bugbear , cost drink bar drink Sauvignon Blanc one Cloudy Bay - otherwise Chardonnay ok available Shanghai ( n.b . ABC drinker ) .The location unbelievable , especially short visit - everything doorstep . concierge full great idea restuarant . great hotel - stay 8 day love . 
 Oct 27 2008 	 good location great view 	 stay 4 night . originally book standard room Starwood tempt Club Floor facility ( complimentary breakfast , snack , drink internet ) check decide upgrade . change handle quickly efficiently find large room 62nd floor . great view clear day ! tourist , big attraction hotel location ; walk distance Shanghai 's magnificent museum Bund . anywhere else taxis cheap concierge make sure driver know take . instance leave airport want go Maglev train taxi driver want take we direct airport - Meridien staff ensured get wish . 
 Oct 4 2008 	 Good Bad Ugly 	 GoodGreat view ( high floor room look east towards Pudong ) . clean functional room , comfortable bed . the BadTotal confusion check - out , staff , include foreign guest relation manager idea deal 1 night charge book prepaid hotel website night charge pay direct hotel . 5 people stand around stare computer screen mumbling scratch head take something away professionalism . insist pay incorrect invoice explain concept credit card guarantee check ( really ) . staff need re - training educate hotel policy . good experience . the UglyThe waitress / attendent breakfast room finger stuck nose . in conclusion seem 50 % staff dealt train somewhat professional .... pleasant girl ground floor would welcome press elevator button , next day different girl much interested chat one floor attendent even notice guest . need elevator button press example 50 % staff idea suppose , seem stand around fill space . there lot option Shanghai maybe well take money elsewhere enjoy accomodation staff ( include foreigner ) train standard service little bit consistent . 
 Sep 25 2008 	 great detail 	 business traveler , appreciate detail hotel room like : lot multi - country electric plug , reliable internet access , walk - in rain hand - hold shower , safe big enough fit lap - top plug - in , do - not - disturb room setting , lot complementary bottled water , different task lighting , well maintain . one detail not see gas mask & quot ; fire safety & quot ; hotel room . we enjoy location hotel across People 's Square , near many restaurant along Nanjing pedestrian mall . 
 Sep 14 2008 	 unbeatable view ! 	 's worth go Le Royal Meridien , interesting thing Shanghai — the incredible view cityscape . would shame go city high - up . hotel situate huge tower right centre city room 52nd floor . also opt rate , give we access executive club lounge 44th floor 's something would recommend traveller . breakfast relative tranquillity , all - day internet access , cocktail nibbles evening ... fantastic panorama stretch skyscraper Pudong district . we find hotel 's location pretty perfect . 's situate right heart city easily within walk district Bund old french quarter . drawback actually be really touristy commercial part Shanghai thus , soon step onto street , be accost people want sell & quot ; watch , bag , t - shirt ... & quot ; every ten metre . realise , often choose avoid Nanjing Road take one parallel street , many hawker . other , room perfectly clean comfortable . also try chinese restaurant , service friendly food really quite nice . ever go back Shanghai ( certain , not keen actual city ) , would definitely return Royal Meridien . 
 Sep 11 2008 	 nice room great location comfy bed 	 spend two night Meridien Shanghai find excellent hotel . location Nanjing Road i.e . heart commercial shopping district make great hotel leisure traveller deep pocket , addition business traveller . hotel , possible walk Bund - Shanghai 's renowned promenade . shopper literally drop bag room head another bout shop major mall Raffles City within hotel 's vicinity . checking - in checking - out hotel breeze . need use business centre due short stay . overall impression - frontline staff competent without major communication issue , though smile come across rather plastic , know mean . my room well appoint plush carpeting , huge tv comfortable king bed give restful slumber two night city . highlight comfortable bed practically hotel China rock - hard mattress fall asleep even tired person take effort like lie bench . bathroom could luxe comparison Meridien Hotels Asia , though delighted spa quality toiletry L'Occitane . gripe afternoon sun - still strong 6 pm - shine room 35th floor . morning night fine , wonderful view cityscape picture window room . would return Meridien subsequent trip primarily central location comfortable mattress - rarity China . 
 Sep 10 2008 	 fantastic area 	 arrive Shanghai midnight Sept. 5 . friend hail taxi Pudong Airport hotel . upon reach hotel , usher wait elevator go lobby . approach receptionist , already know name . probably early morning already . immediately give key bring room . room low floor ( 27th ) corner room . walk - in closet . bathtub view city . sadly , Ramada hotel block view bund skyscrapers pudong . room also view people 's park unobsctructed . concierge good friend . tremendous assistance . book reservation jean george , give direction museum , schedule sunday mass , even order mooncake ! hat jimmy , sandy , edison guy whose name sadly forget . & quot ; bad & quot ; comment wait staff restaurant hard time communicate english . recommend hotel anyone wish see museum since minute walk . nanjing lu road ground floor shopping . 
 Sep 9 2008 	 Perfect location @ Le Royal Meridien 	 stay Le Royal Meridien last week ( 3 Sep ) , first time go Shanghai , be 5 star hotel price room expensive spend 1 night hotel . 's 5star hotel talk room , be perfect , bed , pillow , bathroom , view room especially stuff shower gel , shampoo , lotion etc .... course 's l'occitane brand . evening around 6 pm staff come room turn service ( prepare bed+roomor give water towel ) sleep . really love bathroom bath tub include 2 shower + 1 shower cele 's like stand rain . location , perfect spot , get metro station People square staion exit 19 look see hotel high 2 pole top help get lose ( shop Nanjing rd ) build high 's little bit complicate not really like go elavator L floor lobby , ( be first floor , see elevator one go floor . change many elevator . 
 Sep 2 2008 	 Scenes Shanghai 	 presently stay Royal Meridien Shanghai . city dynamic ; change considerably since last visit nine month ago . ' astonishing watch city progress inevitable future become world ' capital . Royal Meridien locate heart city ' popular Nanjing Road . ' within walking distance ( 10 minute ) Bund . plenty taxis public transportation option take Pearl tv tower Shanghai World Financial Centre nearby Pudong . suite great city view overlook Nanjing Road well decorate modern asian theme . might want ask two set key card check since need insert key card slot inside room turn A / C , tv light . personally like A / c run leave room particularly 34 c outside . the walk - in shower two showerhead large marble tub right next bath time fun time manipulate showerhead spray tub . toiletry well choose L ' Occitane En Provence collection . four day still mystify elevator system . four different set elevator locate various area hotel . need take two set elevator get room . ' good staff member take room first time check . confuse part get gym / spa / pool . appear take lift 11th floor ( lobby ) walk set stair 10th floor , go corridor take another set stair back 11th floor access gym area … truly riddle wrap inside enigma . overall , hotel adequate either business pleasure . fortunate enough receive room suite high floor , view hauntingly mesmerize . 
 Aug 9 2008 	 nice view interior design 	 tall enough eagleview . great bed tv . 
 Aug 9 2008 	 Great Hotel ! could little well . 	 luxury hotel well situate . convenient People 's square east Nanjing street . walk Bund . first class hotel . mention other , elevator confuse figure . club level , hotel long charge internet use . could direct result comment make other site improvement . two problem encounter concierge staff great . apparently , uncommon problem find helpful language skill lack somewhat . want sell tour ! problem find book company website , impression final price include taxis fee later learn . make price $ 50 per night would think . yes , could definitely mistake look pretty closely usually look . actual price would less have book expedia hotel 's site . advice would watch . hotel similarly situate Radisson maybe JW Marriott check price . would suggest stay Puxi Pudong . TIP - if stay , check bar top . view spectacular everywhere , bar worth visit . romantic ! 
 Jul 8 2008 	 Fantastic Hotel 	 stay first night Shanghai Four Seasons , certainly nice , better . move advice travel companion ( business ) stay Le Royal Meridien . room fantastic , one good layout hotel room . service attentiveness high level . 
 Jul 7 2008 	 fantastic service great hotel 	 move Shanghai June 18 month first 3 week ( sort permanent place live ) lucky enough stay Royal Meridien downtown Shanghai . it superb hotel . tall building Puxi side Shanghai . fantastic view - especially top floor bar ( 65th floor ) Royal Club lounge 44th floor . we stay exec . suite 2000rmb per night ( 300 $ ish ) . large room - large ' ve ever stay , great big swivel tv ( watch bed , sofa bath ! ) huuuuuggggeee bed ( must big king size ) .We get free breakfast Royal Club lounge every day , good ( freshly make egg , crispy bacon , pastry , fruit , yogurt etc ) free drink 5.30 til 8 pm every day ( include premium brand like Tanqueray ) .There good gym pool weight cardio equipment top notch . the real reason hotel great though service ( nothing much trouble - even help we find place live ! ) location ( near People 's park Bund ) .staye make move Shanghai much less stress free might otherwise . base stay , also stay Royal Meridien Hong Kong , good . 
 Jul 3 2008 	 great location comfortable international - style hotel 	 bland , international hotel great location do well , hence rate . right People 's square , hotel landmark building easy find anywhere ( look ) . room large , amazing view ( 52nd floor ) , floor ceiling window , usual luxury like posh bathroom , comfortable bed , mini - bar ( pricey ) large tv ( be much watch CCTV ) . hotel decent swimming pool leisure club , lot spa treatment ( not try ) , bar top ( 65th floor ) excellent staff go way help . get good price , go ' Royal Club ' deal , get room near top hotel , good breakfast , free afternoon tea , nibbles drink evening dedicated lounge , bit piece . do not stay want chinese character charm - try small hotel hide Hutongs . 
 Jun 25 2008 	 Great Location service facility 	 Royal Meridien well locate surounde shop point interest . fantastic Bar 65th floor , great buffet Lobby floor . room spacious well equip . very attentive staff . 
