Nov 	 Valentine 's Day 	 love city trip ! hotel great , guess celebrity room stay ? 
 Mar 20 2008 	 great stay Triton ! 	 read several review , bit concerned may enjoy stay Hotel Triton . need concern long one prepared make right request . staff could pleasant accommodate . Nick front desk make sure get quiet room ... quiet one face inner atrium . view , perfectly quiet , otherwise would face busy street bad yet , alley garbage truck empty load early morning . Kimpton in - Touch loyalty member , receive bonus amenities- bottle vitamin water dry cranberry , banana chip , nut mixture , even personalize letter desk manager welcoming , nice touch ! Gemelli , bellman , terrific- retrieve new card key mine not work , get ice , explain new flatscreen tv , etc . always call name overall gracious , staff encounter . the room small , whimsically decorate . queen bed extremely comfortable , bathroom include shower fine . wine hour 5 - 6 great , nice chat guest , repour generously give director sale hotel . yes , different type hotel , staid business kind , lot fun well - keep . 
 Feb 12 2008 	 cool trendy great location 	 Hotel Triton unique hotel cool feature suit people tired monotonous lodging choice . wife spend weekend really enjoy stay . walk lobby will think be trendy night club . lot different color cool / colorful lighting accent eclectic furniture . room style ..... modern trendy . little small not mind since time spend enjoy San Francisco . thing like hotel : - overall style . be definitely cool place stay- complimentary happy hour . first night drink lobby DJ play dinner . not get hotels.- Service great . - Location con : - free wireless internet . yes , free slow . pay premium service think service works.- room small side , like say not big deal we . overall , be something trendy , modern , exciting Hotel Triton right alley . 
 Feb 7 2008 	 San Francisco Boutique Hotel 	 Hotel Triton somewhere want stay fortunately , business trip come would cover cost . yay ! hotel south edge China Town corner Bush & amp ; Grant . great location , easy access taxis public transport . the lobby cool eclectic mix furnishing color . upgrade not know king size bed 7th floor Bush side bldg . co - worker & quot ; daybed & quot ; 3rd floor Grant side . say quite bit street noise hard time sleep . room seem workout pretty nicely . street noise , turn fan & quot ; white noise & quot ; . room pretty modest size , quaintly decorate . love . bathroom need shelve / wall storage next sink . bathroom small counter space minimal , shelve would help . towel great - plentiful fluffy . tv pretty small . someone another review mention flat screen tv good addition agree . honor bar good stuff , high price typical something like that . the business center desk next check - in counter . fast nice computer though - $ 5.99 15 minute internet time . Doooh .... morning , complimentary coffe / tea lobby . food . early evening happy hour , could never make back time make . Bummer . I love San Francisco wan na taste funky side , suggest hotel . teenage daughter would love . would return .... could afford . ; - ) 
 Feb 4 2008 	 fun favorite 	 love Hotel Triton ! location perfect weekend getaway S.F . immeditaly front gate Chinatown , be short walk downt street Union Square . staff friendly helpful . make great concierge . ; stay room love Jerry Garcia Suite . great Tub ! around corner Belden Lane tuck away . great spot want little french Quarter dining . one outdoor dinner spot city . Triton honor Kimpton happy hour guest wine visit lobby . often chair massage avilable ' ve see tarot reader happy hour well . hotel pet friendly & amp ; water dish near door . this really fun place stay ! 
 Jan 26 2008 	 great hotel excellent location 	 book last minute Priceline pay $ 75 per night ( versus standard rate $ 200 per night ) . hotel 5 minute walk Union Square Market Street also distance Montgomery Street BART station . ten minute Ferry building / Embarcadero also 10 - 15 minute Chinatown North Beach italian restaurant . having book Priceline low amount not expectlng much , give excellent room 6th floor . not problem street noise mention early post . room small , queen bed lot room around , enough . bathroom equally cozy , shower although well - keep clean , Aveda shampoo lotion . sink bathroom ; post suggest room sink outside bathroom . room well - furnish clean although think replace large cathode ray television LCD screen could wall - mount hotel could away large television - and - minibar - contain cupboard , dominate small room . highlight include zebra - stripe bathrobe ( black stripe mine purple , presumably result bleach washing ) , iPod docking station , reliable WiFi , clean , comfortable white bedding also wine / beer hour 5 - 6pm . really nice take couple beer room spend day walk around San Francisco . I breakfast adjacent Cafe de la Presse attempt recreate ambiance service parisian cafe , price match . I think rack rate charge much hotel , assign Priceline Hotwire have happy . 
 Jan 17 2008 	 short stay ever ! like every minute . 	 boyfriend live SF , due scheduling snafu holiday ( many parent town time ) find need hotel one night . Priceline , Hotel Triton rescue . we check midnight 8 , pretty short hotel stay , say restful night , even manage find free street parking ! stay many Kimpton hotel SF , agree assessment interior seem bit tired , also bite particular aesthetic . say , location fabulous visit town . 
 Jan 6 2008 	 Rainy 	 weather outside frightful , stay Hotel Triton delightful ! take 1 night foray San Francisco check hotel 's website price reasonable . send email would like upgrade $ 9 , end corner room top floor view entrance Chinatown ! room cozy , clean comfortable . employee helpful friendly check right advice way bring car fast getaway drive rainstrorm ! 
 Jan 3 2008 	 Awesome Way Ring New Year ! ! ! 	 read review hotel return morning trip . hotel awesome room BEAUTIFUL ! like bland cookie cutter hotel go stay motel 6 . first time San Francisco think talk much excitement sight city hotel . front desk friendly helpful hour night ( stay New Year 's come back pretty late ) . help we find awesome club ring New Year 's even make reservation online we . stay boyfriend 6 family member . awesome room feel staff hotel excellent . can not wait go back San Francisco stay hotel ! get picture hotel develop will post . 
 Dec 31 2007 	 Nice hotel night - time street noise pretty intense 	 4th floor corner room ( Grant & amp ; Bush ) nice view , night - time street noise intense . not traffic much , people shout ; early - morning trash truck sidewalk washing . grant , be probably average part town . hotel staff friendly helpful . shop around , probably find less expensive parking $ 43 overnight valet service . 
 Dec 31 2007 	 Hotel Triton Funky ( good way ) 	 hotel Triton locate literally next door China Town . decor ultra funky people desk really helpful , also friendly . downside : room small , particular room view inner courtyard could never figure get . room outside view street Chinatown . coffee morning good breakfast even snack go say coffee . cookie serve weird time ( never see ) . night , place come alive happy hour wine champagne serve , compliment hotel . tarot reader Astrologer one sit fireplace watch San Francisco go . stay four night enjoy much . run two well know actor stay ( stay separately ) dog friendly . good enough Sean Penn good enough bring canine friend , nothing bad say place . oh , product bathroom AVEDA ! also walk distance Bay Bridge across street Starbucks around corner really cool irish Pub . 
 Dec 27 2007 	 sweet suite ! 	 husband stay Hotel Triton wedding night ; married San Francisco want stay city embark honeymoon ( be local ) . have hear great thing Triton friend , everything hear meet surpass . Triton friendly , accommodate , quiet , wholly unique . room beautifully furnish hip , offbeat decor , not hear noise street go bed . furthermore staff friendly check check , leave we sweet letter suite congratulate we marriage offer we free drink . also carry Aveda bath product , definite plus ! say , hotel definitely 20 - 30 something set , think . young vibe ; DJ play house music downstairs complimentary wine hour afternoon . say generation appreciate Triton ; uniquely San Francisco lot way . 
 Nov 21 2007 	 Loved ! 	 read plenty review hotel booking . many review complain room size noise . decide ask room away elevator , alley , high floor . stay wonderful ! room nice clean , like sardine other suggest . size fine husband , enjoy . notice someone say bathroom shower , regular room bath / shower combo . bathroom stock Aveda product ( small , travel size course ) , mini bar lot choose . true , bar restaurant hotel , right next door little cafe get wine , pastry , food . plus ton place nearby . locate Union Square right across China Town gate -- perfect location ! overall decor hotel condition little old - seem , bad . stay 2 night , complaint . need ear plugs , 's good idea bring & quot ; case & quot ; stay city be light sleeper . one bad thing sign inside door mention danger lead ( can not remember sure believe lead ) building . think say something prolong exposure . not happy , since 2 night figure would o.k . overall , great experience . 
 Oct 29 2007 	 Boutique past good 	 Hotel Triton Grant Avenue downtown San Francisco promise fantastic boutique hotel experience counter usual Holiday Inn Marriott experience . location - wise could well , locate block Union Square , though suspect nouveau boutique review write back . $ rate good location , though ( read ) guess get pay .... unique hotel decor entertain little tired . little way facility : 's bar restaurant , though load neighbourhood . overcharge minibar movie correct . room small poorly light . free WiFi signal bad room take laptop reception work - 's hard - wire broadband room . & quot ; view & quot ; hugely unattractive side - street garbage bin local restaurant staff puff cigarette , day evening end world . 1st night wake 3.10 hotel alarm clock , honest not checked incorrectly set 6 hour . 2nd night wake next door 's restaurant empty hundred glass bottle bin one - by - one 2.00 3.00 . every night wake 5.00 6.00 garbage collection truck . lousy experience - will never stay not recommend , many well San Francisco hotel day . 
 Oct 3 2007 	 can not wait come back ! ! ! 	 stay Triton 3 girl dental convention September 26 - 30 . hotel book ADA pick thought look like fun . second get second left treat like old friend . remember old saying , treat other way would like treat . walk hotel attitude chip shoulder be probably go get return ... ya know ? ya probably deserve . anything need right . make dinner reservation us occasion need anything else take care immediately . not seem need anything though . not thing wrong room , bed comfortable , room clean . anyone complain room size pain rear . think 's small ? go Europe ! want big room go stay $ 400 night hotel ! care ! ' m 500 pound fine time get around roommate not plan room sleep anyway not even matter . love fresh cookie wine offer . free . also think complimentary massage tarot card reading cool . 's dog friendly nice need . not see one trace animal whole time . be locate great area , right across street China Town . complain noise , get ! 's CITY PEOPLE ! , go street noise . sleep like baby . think that s bad ... go New York ! ! want 100 % absolute quite go stay bed breakfast mountain Montana ! Gee , review really errke ! rate , great hotel , fantastic pub around corner call Irish Bank , ask Mark , tell Alicia send ya . can not wait go back definatly stay Triton ! oh note single girl ..... place earth well meet single straight man ! : ) 
 Sep 15 2007 	 never . 	 love boutique hotel stay Triton . Triton boutique rather budget hotel . room small ( tiny ) bathroom space toiletry . room need refurbish appear unkept . view alley . pay $ 181 night taxis . hear friend live San Francisco go rate room Triton isbetween $ 80- $ 90 night would appropriate price property . the hotel advertise Frete sheet one bed . advertise Aveda product get one small bar soap two people . encourage another couple stay Triton leave next day . find rather elegant room block away price . stay want hassle move short Labor Day weekend trip . write hotel observation date receive response . read Trip Advisor booking since review mixed decide give try . Big Mistake part . 
 Sep 13 2007 	 enjoy stay hotel staff attitude . 	 get really good deal thru priceline ( $ 80 night ) request quiet room honor . glad get quiet room part SF . first trip SF think hotel speak uniqueness city . like aquatic theme go lobby . room work fine . look smell clean sleep well . see people would find tacky . would never decorate place zebra - stripe headboard , fine day room . also see 1 person room could become uncomfortable . like eco - friendly touch bathroom ( i.e . instead bottle shampoo conditioner , wall - mount dispenser ) . like Aveda product counter . favorite part hotel probably elevator lighting ( pink blue instead flourescent ) , imo , make elevator fun relaxing . I not use valet garage car time . wanted use public transport experience trolley . find easy find parking lot nearby block two away cheap . want go , though idea would ' ve still cheap . place eat close ( i.e . starbuck across street ) , food easy get . the con people work . courtesey pay hospitality ? 's SF pride ? great city . much proud ! friendly staff helpful . think meet one nice person behind counter . put cookies afternoon have good . I probably would not return hotel unless major customer service overhaul mainly b / c not prefer union square / chinatown area . definitely would not pay full price . unique experience first visit convenient transportation , union square Chinatown . 
 Aug 3 2007 	 colorful 	 Triton great location right next gate Chinatown . good - Pet Friendly - organic coffee tea available lobby every morning - Aveda Toiletries - Soft bathrobe - great wine reception - soft & amp ; wonderful linensthe bad - room size - Musty smell hall - shower bathroom - small elevator - smelly gym 
 Jul 10 2007 	 Met Expectations 	 stay Hotel Triton one night head coast . request king room , early check high floor . staff meet request . hotel 11 although check 3 room ready . think room fine . king room . would agree past post say room small , small , 's city hotel expect . Triton eclectic boutique hotel decor & quot ; funky & quot ; . personally , like . room immaculately clean bed comfortable . think staff fine . problem . pleasant surprise work room . big , good equipment top working order . can not beat location . be right across street Chinatown gate walking distance Union Square . would definitely stay . 
 may 8 2007 	 stay 	 location : good - walk distance Union Square & amp ; restaurant . staff : mostly friendly helpful , get attitude question room . General Feel : like hotel . really funky style . people call & quot ; fun & quot ; - call weird borderline tacky . experience : be Kimpton property expect much get . work relate trip w/ spouse first night , give double room , right across elevator door clear someone smoking room previously despite non - smoking policy . room also tiny . remain night move King room still small little well 2 people . the room service option french restaurant next door menu limit term option type option . nice perk , free wine / beer lobby 5 - 6pm , coffee , cookie afternoon . none thing make room experience well 4 day . 
 May 5 2007 	 Great Hotel -- Pet Friendly -- Fab Location 	 return ( 24 hour ago ) one week stay SF Triton . stay previously Monaco ( another great Kimpton hotel ) read previous review Tripadvisor not expect much . pleasantly surprised : staff young , friendly knowledgeable . room , though course suite , comfortable we ( early sixty ) little dog . can not beat location right foot Chinatown Gate five minute Union Sq . suggest take dog , walk he / her around corner Bush Avenue St. Mary 's Park ; lovely , safe park . ' m happy say SF pet friendly . btw not put pet 's excrement trash barrel . many people , unfortunately , scour trash can food . our room face Grant Bush avenue quiet . Request Room 209 ! bathroom spotless modern ( new marble stainless steel wash basin separate , alcove , main room ) . peel paint , fade fabric foul carpeting . comfy king size bed , comforter freshly starch linen . try Cafe de la Presse downstairs . cookie . we would definitely stay heartbeat . my suggestion future guest : specific need preference . vertigo ? vacation Dayton . not want excessive noise ? request place room overlook alley . not like dog ? ( one guy hallway totally freak see 5 lb . dog leash hallway ) well , not stay hotel allow pet . like inexpensive , creative homestyle Japanese / chinese / vietnamese food ? chinatown two minute away . also go stair Hotel lobby mezzanine gallery check art work emerge young artist . hell yeah -- leave heart San Francisco . enjoy ! 
 Apr 23 2007 	 Small Lousy 	 get hotel Priceline . understand sell room discount . despite Kimpton ( ' ve stay Palomar Monaco love ) , one bad hotel ' ve ever visit . room impossibly small , small Stuart Little might find room cramp . dominate room enormous armoire ( apparently , letter & quot ; L - C - D & quot ; reach ear management ) . room & quot ; cool - small & quot ; like New York hotel , either . be small . one lucky , one might get tiny window 6 foot clear view another window . room view net use keep pidgeon away , although several pidgeon roosting . feel like Birdman Alcatraz . hotel disappointing every way one measure hotel . 
 Apr 9 2007 	 small room good service great location 	 small problem reservation resolve quickly professionally . room small , be old hotel rate generally good area . free wi - fi could use upgrade , work need . will stay . 's Ritz , 's bad value money . 
 Apr 4 2007 	 pretty good 	 Triton smart little boutique hotel locate right Chinatown block Union Square . design pretty quirky - outlandish furniture bright paint abound . 2 lift light bright blue pink respectively liable induce headache result . lift door also narrow , cause trouble move luggage . the room tidy smart little small , even SF standard . bathroom especially small , sink room outside bathroom result . there neat touch hotel though . free cookie bake twice daily delicious , daily wine reception 5 pm - sample wine beers extra charge . room also feature iPod speaker great iPod . overall , would say hotel possibly price , will not bad stay . 
 Mar 31 2007 	 Mixed Feelings 	 husband travel extensively business weird traveller need . stay business husband , pleasure , reveiw take perspective account . mid - thirty , use live SF , like stay nice hotel , stuffy hotel - choose Triton W Clift . previous local , would stay another neighborhood not conference ( stay downtown intense ) , since business - work great . positive : -The Triton hit criterion stay folk age stay , stuffy , within walk location transit ( great bonus head dinner neighborhood ) convention Moscone Center - perfect.-our room maid 's closet stairway , quiet . weekend week never hear anyone party loud.-free Coffee morning lobby awesome . travel lot pain shower run street coffee every morning week . nice bop lobby get free organic coffee taste pretty good.-small fridge room get yogurt water , etc . keep room huge plus . nice breakfast cut eat 24/7 ( even though heavenly SF ) .-staff nice helpful . one thing though - forgot 3:00 wake - up call 4:00 taxi , work out.-huge bed - barely know husband there . negative : -I take early review account ask stay along alleyway ( good call ) , room face courtyard absolutely view . think would prefer along Grant Bush.-We not book decor - online look obnoxious , , be okay . -Our room small . look room seem bit big , decide quiet trade size.-The decor need update . room seem worn . hotel could really serve well update . hate bathroom grout grey / black floorboard beat , wall paper peeling , etc . though houseclean great - room seem like could clean . stay ECO room carpet house , time replace . little rug kind nasty . walk around SF really need take shoe room , shoe tray door help emphasize that . overall , would stay positive outweigh negative , would investigate place first . like place little clean little well update . use Ritz , not stay - like funky edge , smell cannabis float hall , see healthy young American 's European 's , overall good location downtown business , stay . 
 Mar 19 2007 	 overprice tiny room 	 stay several Kimpton property around Union Sqare . term price value , far , disappointing . decor top try way hard . particularly small room size small college dorm room . staff not friendly . well Kimpton property around Union Square truly fun quirky . go one instead . 
 Mar 9 2007 	 want sleep not stay Triton 	 Triton awful - shockingly bad . read Time 's review site book three night . arrive San Francisco young kid full high hope , stay one night could not get quick enough . ok , be good location , quirky reception groovy carpet , not make good hotel . 's cramp , date , tired ill - equip . idea may " … bump Cher Courtney " laughable . perhaps stay long , long time ago bet never come back .. Pete Doherty would probably like place . here be five thing particularly hate . 1 . small room - first room show two small bed ( double double ) cram , leave room even open suitcase . bathroom see tiny . 2 . Grotty decor - move ' Gerry Garcia suite ' extra $ 100 , look like last clean 15 year ago . Gerry must stone ' design ' room , ' design ' poorly paint nicotine brown chequer board effect wall . look like crude stage set . floral curtain ( greasy ) headboard borrow Gerry 's mum 's house ? gloomy lighting , chip paint , knackere furniture , wear carpet - . accept could not face move young kid long journey pretty grim . constitute suite ? one medium size room double sofa bed.3 . noise rubbish truck 10 pm , 3 am 4 am , right outside hotel deafen unbearable . wake we , get back sleep another one would crash around , reverse light beep , crush glass bottle window . turn street next hotel house bin street 's shop bar , god know need empty many time night . hotel not invest triple - glaze window keep sound beyond - can not believe anyone would experience level sleep deprivation stay second night , let alone come back recommend friend . know full well still proceed put we ' suite ' quite happily . 4 . staff - nice well - mean great service . ask babysitter , guy desk spend hour look giving . not bother tell we not find one , go back ask have find one say 'd look Google could not find one ! point late evening take tired kid dinner we . maybe be use child , be part Kimpton Group , call sister hotel recommendation . also , dvd player not work guy send could not fix really ' know . wireless log - in not work , call support line . point get pretty cheese place . complain noise follow morning manager nod knowingly " ah , yes , garbage truck .. beyond control ' afraid " .5 . 's bar , restaurant . yes , be bistro next door , be hardly able pop downstairs drink bar . ' wine - taste ' comprise bottle cheap Banrock Station ( Australian ! ) Chardonnay couple bottle Zinfadel - hardly introduction californian wine expect ! night disrupt sleep stumble reception make complaint , credit reimburse we extra $ 100 ' paid move we ( excellent ) Argonaut , sister hotel part Kimpton Group . highly recommend great kid . the Triton need serious investment bring scratch . want good night 's sleep , look elsewhere ! 
 Feb 22 2007 	 nice staff .... ! 	 stay Hotel Triton two night Feb . experience one reviewer . room third floor face alley , 3 garbage truck start arrive empty dumpster . stay Hotel Triton request room side building . they nice agree switch another room ask . move luggage . return new room discover water floor bathroom . call front desk send someone clean . little later water back , request another room change . find third room quiet , although king size bed , ok time . the third room sink slow drain , could live one night . the staff nice . obviously try hard make guest comfortable . decor funky interesting . complimentary wine hour afternoon fresh bake cookie , even Tarot card reader lobby entertainment . room rates reasonable location good . shortcoming facility make unsure whether would stay visit SF . 
 Feb 1 2007 	 love Jerry Garcia suite 	 place great ambience funky decor . management friendly location super - convenient downtown business meeting . 
 Dec 9 2006 	 Location location ! 	 stay Hotel Triton 4 night recently book Hotwire competitive rate . expect treat small room so - so service base various review ( guidebook , website , etc ) . brother stay proclaim room tiny . receive room Eco floor ( 7th floor ) face away main street . room small , uncomfortable husband 's opinion . bathroom renovate granite countertop tile showerstall . find room exceptionally peaceful quiet , perhaps top floor . problem Eco floor shower gel / shampoo/ ( thin & amp ; runny ) conditioner dispenser wall , fill Aveda product ( normal amenity Kimpton hotel ) . hotel remedied request . hotel good value- great location ( next Chinatown , step shop , close BART / MUNI / cable car ) , nice perk morning coffe & amp ; tea , newspaper , fresh apple , cookie . willingly credit Kimpton reward even though book Hotwire . service flaw encounter check , less - than - friendly sole front desk person involve personal telephone conversation . would probably stay request 7th floor steer clear room face elevator blare music . 
 Dec 2 2006 	 Nice hotel read 	 ' ve comb San Francisco hotel - $ 150 / night range , Triton favorite -- location , cleanliness , friendly helpful staff , decor average . recent stay , though , room call & quot ; Zen den , & quot ; face alley along hotel 's south side . around 2:00 , awaken loud clang metal hydraulic whooshing sound . continue , , well hour . eventually look window see enormous garbage truck pull alley . pass alley morning , count eighteen dumpster ! consider ask another room , figure likely twice per week occurrence . thing happen next night . get 4:00 ask another room , accommodate without fuss , quiet . keep mind . ( also , aware & quot ; Zen den & quot ; room quite small , double bed along one wall little open floor space . second one give stall shower require crouch get shower stream . ) 
 Oct 6 2006 	 Liked Jerry Garcia Suite 	 really feel like SF , stay eco - friendly hotel funky decor Greatful Dead inspire theme . staff super friendly suggest great eat nearby . 
 Oct 3 2006 	 's Staff People 	 room well average , restrauant excellant , however Hotel Staff good .. great time , not feel like stranger , Triton aaa+ close everthing San Fran ... stay will not sorry ! 
 Sep 30 2006 	 Good Value 	 stay hotel 3 night . location great - central . hotel unique find good value . bit surprised small room bathroom , not problem since hardly . front desk people helpful . would probably stay . 
 Sep 19 2006 	 bad experience 	 stay hotel mostly good experience , however , recent trip vehicle damage hotel and/or valet service . manager valet admit damage accept responsibility -- check leave . guess tell we want hear . return home , receive hostile letter valet company refuse accept responsibility . try call hotel management remind accept responsibility never return phone call email . be bad enough damaged car , took forever bring car around morning cause we late important meeting investor . hotel management would behave way mistreat customer mystery we . buyer beware ! ! 
 Jun 29 2006 	 Cool different 	 stay two night business trip recommendation colleague regular Triton . think really cool hotel different colourful touch , & quot ; red light disco elevator & quot ; . room small homey comfortable . small stereo cd music . good bathroom . there fortune tell lady reception area one evening , bit odd . table client . location excellent . central , right outside China Town . probably stay . 
 Jun 19 2006 	 Hotel Triton get A+ 	 book room reccomendation friend live tour guide San Francisco . love hotel ! since travel job stay major hotel chain ( Hyatt , Westin , Hilton , etc . ) Triton breath fresh air ! one word - Unique ! hotel old 's give charm . room small ambiance incredible . clean ! decorate WAY cool . free wireless internet work perfect we . bed comfortable day night town . good sheet comfortor . bathroom small shower excellent soft towel ! room flat screen tv also radio could plug iPod . refrigerator mini bar . the front desk staff helpful . give two wonderful suggestion fantastic restaurant . also print map we . serve wine every evening 5 - 6 pm coffee tea every morning . even elevator experience ! excellent location ; right gate China Town . walk distance Union Square , North Beach , Ferry Building . stay Triton return San Francisco ! 
 Jun 15 2006 	 Nice Hotel Good Location 	 ' beat location , right chinatown gate Grant Ave , five minute walk Union Square , Market Street , cable car stop , BART station . take BART airport Montgomery station easily walk hotel . even though know nothing SF , difficulty find hotel . SF ' mostly square - grid street layout make easy . all staff unfailingly polite , friendly , enthusiastic . check - in , mention first visit San Francisco , front desk clerk give map brochure , orient area , make suggestion dine sightseeing option base interest . music play lobby , inaudible 2 nd floor room . intersection outside window , crosswalk texture pavement , rough grind noise every time car go , air conditioner low speed provide enough white noise mask traffic noise . weather cool require AC , run fan - only , circulate outside air . the room big enough meet need , small . require large room might good place . yes , hotel old ( explain room small ) , thoroughly renovate clean . room immaculately clean , picky cleanliness . fire alarm system sprinkler . see sprinkler head room soothe worry stay old hotel . wireless internet work fine room . shower luxurious . low - flow showerhead , would never believe it . I enjoy hotel ' morning coffee , ' like coffee walk Starbuck ' directly across street . ' like Starbucks , walk 1 block find next one . SF seem Starbuck ' almost every corner . I minor problem bill . use item honor bar , fill tally sheet turn front desk night check . unbeknownst , maid already charge item use prior day . cause duplicate billing item . bring attention front desk clerk , cheerfully resolve problem , credit account duplicate charge . accept explanation without question , show hesitancy suspicion . overall , pleasant stay probably stay next visit SF . 
 May 19 2006 	 convenient comfortable 	 like lot . cozy great location ( across Chinatown gate ) . bit expensive . ( $ 200 taxis ) . might try find another hotel time plan . ( book 6 - 8 week ahead ) . music lobby bit annoying . nice . pool anything , not care thing . block BART . 
 may 14 2006 	 good location nice room - bit small 	 stay Triton week overall enjoy experience . arrival give double room rather twin switch without complication trouble next morning . room small clean quirky hotel general - Prince William speak early call alarm ! ! staff generally helpful one two rude totally unhelpful . free internet access lobby handy . fortune teller evening waste money . the location good , within minute Union Square ( quiet night ) , hotel gate Chinatown unlike alot hotel steep hill ( major bonus ) .The restaurant closed ( renovation think ) can not comment it . I would recommend hotel long not lot luggage . 
 May 8 2006 	 Perfect Location ... Fun Hotel 	 return two - night stay Triton , say experience contrast reviewer feel lack restaurant neighborhood staff not helpful enough . receive excellent recommendation dine neighborhood ( Taylor St. , Ryoko Le Colonial ) night stay helpful concierge , Nick . add perfect location -- practically Chinatown , right next Union Square , convenient waterfront -- fun decor . 's true facility could use well upkeep ( e.g. , plumbing ) , price , would go back Triton heartbeat . 
 May 3 2006 	 nice surprise ... 	 travel San Francisco conference big name hotel sell come acrosss wonderfully decorative place alternative . location great ... right across gates China town staff friendly . really pleased see hotel also environmentally friendly . decor make feel like live San Francisco bit chic sophistication . room small thought adequete room someone know fairly well . daily fresh baked cookie lobby also add plus . quite surprised much enjoy whimsical little place . 
 Mar 25 2006 	 good location reasonable accomodation 	 husband excite stay hotel begin honeymoon seem bit different norm . stay number different hotel trip least favourite little bit tired . the location hotel good , although find couple decent restaurant close proximity hotel . lobby nice start see tired decor stepping lift floor . leak outside one room wallpaper peeling , plaster paper lie carpet . room spacious big enough . need upgrading though order make trendy boutique hotel advertise . bed however comfortable bathroom facility fine , bit cramp . we find reception staff helpful , housekeeping not give much warning burst make sure use lock disturb want avoid ! ! overall thought could find well hotel money one would fine central location night . 
 Jan 24 2006 	 former Triton fan disappoint 	 Hotel Triton one favorite San Francisco hotel – disappointed recent visit . first discover hotel mid-90s , appreciate great location , artsy ambience , state view save environment . unfortunately , quality hotel 's guest experience really decline , seemingly favor bottom line . the building show age maintenance average . shower pipe squeal loudly bathroom sink drain extremely slowly . report front desk , neither problem resolve stay . many amenity need request front desk . request three amenity , receive one , even two request . troubling surprisingly low quality service concierge desk staff , seem young inexperienced . couple staff courteous interested helping , couple seem lack aptitude guest relation etiquette . one concierge provide major mis - information waste valuable time last day city . check , problem room service portion bill , unable resolve . email hotel date ( week later ) hear back . disappointing end disappointing stay . I hope comment like Triton take good , hard look management , staff , training , maintenance , etc . , become well hotel . , ' explore accommodation next time ' SF . 
 Jan 23 2006 	 well locate Kimpton outlet 	 beside Chinatown Gate , Triton close Union Square Market Street , well place transit shopping , good starting point walk Ferry Terminal SFMoMA . much way good inexpensive food neighborhood , good clear early get residential neighborhood . hotel clean , pleasant staff , room well - appoint , though rather silly contemporary style favor Kimpton hotel . noise court - face room minimal , despite construction go neighborhood . 
 Jan 3 2006 	 would not stay place pay 	 look forward stay arty SF hotel sometime . chance spend one night October 2005 . room small look dreary lightwell . tv cabinet large , dominate room . decor OK.All would forgive hallway brawl awake 5:15 . call front desk twice , listen clearly brutal fight hall room across finally decide call 911 . afraid go hall , sound , think another guest finally go hall help . finally venture hall break glass debris . thought would receive least simple apology someone desk . receive bill . even hallway not promptly clean up . I ' ve never call 911 hotel . even understand unusual incident would happen , one say anything , yet 2 SF patrol car need incident . ' m glad venue available tell other experience . 
 Nov 13 2005 	 Solid Boutique Hotel 	 lobby guest room nicely decorate , bathroom clean , bed comfortable . guest room small ( standard queen ) , work desk awkward , power outlet work . stay one night Triton , price , satisfied stay . 
 Oct 24 2005 	 Friendly Hotel great Location 	 stay Hotel Triton 4 night September . ever visit would definately stay place . from first arrive hotel staff exceptionally friendly . complimentary wine serve 5 - 6pm . unfortunately arrive 6 , however staff front desk insist get glass wine long journey . perfect start holiday ! yes , room bathroom small side , hotel make ' different ' . lift , decor , lobby etc interesting whether taste , make change regular hotel look ! hotel great location , couple minute walk Union Sq . contrary people say find hotel quiet . other good point ; free internet access , nice warming fire lobby , afternoon cookie 3 pm , coffee serve lobby morning good value money ! 
 Sep 20 2005 	 Cafe renovate 	 contrary comment , like hotel . yes room small , want stay room city like S.F. ? clean ( smell ) , practical everything need + style ! service friendly helpful , drawback end August Cafe available renovation . ask 's open like breakfast hotel . 's worth book well advance , rate go check later . book website convenient - allow later change cancellation , plan change . 
 Sep 20 2005 	 Hotel Triton ! Excellent Location Great Staff 	 stay Hotel Trition September 1st September 5th really enjoy . hotel excellent location walk distance almost attraction tourist may want see ( chinatown , union square , fisherman 's wharf etc . ) also short walk cable car stop locate two block hotel . my family get taxi couple time . hotel staff courteous enough hail taxi we . also , cafe close stay easy access nice breakfast place . posh BAGELS franciscan crossiant right around corner Starbucks . also Walgreens 7 - eleven right near hotel . , work perfectly we . I book hotel priceline $ 80 night . get two Zenden room single bed . upon conversation staff , upgrade room two double bed one king bed without problem . room view chinatown noise issue . upon read previous review hotel , request give room face alley request meet without hesitation . the hotel staff already tell room 14 11 size size room surprise . admit room could little update . complain bathroom exhaust . overall , stay pleasant . staff helpful informative would definitely stay . 
 Sep 18 2005 	 bad hotel great location 	 great location close excellent shopping good start point tourist destination find Triton disappointing . staff friendly competent room small , badly decorate ( thought decorate four year old ! ) overprice . whole feel hotel quite shabby feel formal design input put room corridor mish - mash ebay garage sale junk throw together little care overall aesthetic . say reception area furnishing decor work well corridor room hope day soon choose lose blue red light lift interior ( ! ) Cafe de la Presse close ( since least last trip April ) real blow ' ve eat many time really enjoy . shame charge Tarot reading wine event wine endure poor quality . whole idea could fun talking point good opportunity socialise . 
