okay 	 Liked hotel eventhough funny area . 24 hr auto shop across street , stable Central Park Horse street high rise building construction one side . look like 's middle nowhere fact close everything . felt safe enough go smoke night . big room clean staff friendly recommande excellent restaurant dinner . 
 Jul 13 2007 	 bad Hotel ever stay ! ! ! ! ! ! ! ! ! ! ! 	 hotel absolutely awful . stay Motel 6 place . previous review accurate . situate 38th st close convention center . book hotel priceline $ 70 / night . great price NYC always book priceline never problem hotel give . far picky . unlike guest , problem lobby check . upon go room second floor , unimpressed condition . curtain fall hanger notice main recess light well stale cigarette smoke permeating room . call front desk ask could move another room . say none send asian man speak english hand we light lamp . say pointed ceiling leave . minute later , come back light ( ladder ) . since 5 ft tall , took change . follow introduce horrible breakfast . 10 table everyone serve brown banana ( yummy ) stale look doughnut well plain bagel . limited selection cereal whole milk ? ? drink whole milk . hear one lady ask butter bagel one worker say week ! evening , call extra blanket wife cold . blanket never come . also ask 7 wake call could get early start . wake call come follow morning 7:25 . 25 minute late .... lucky do not catch plane . do not oversleep , however , prompt wake call bang 24 hr cab repair shop across street . one night pass front desk , overhear one staff cell phone call one friend stupid [ -- ] . NICE.Not mention hotel horribly locate . sell drug 24 hr cab repair place . also pleasure see multiple prostitute two block away hotel way back . feel unsafe area woud recommend carry gun . the positive aspect hotel $ 70 / night price . pay posting say pay , would demanded refund go somewhere else . 
 Jun 5 2007 	 not 	 far bad hotel ever stay entire life . walked first greet terribly hot muggy lobby area , lack a / c whatsoever . room second floor , even though ask non - smoking assured request honor , entire floor overwhelmingly reake like stale smoke . enter room find , finish gag odor , could not walk around without shoe floor soak . curtain break hook would not close way , leave privacy 24 - HOUR cab repair shop right across street , make loud , obnoxious noise entirety night . blow - dryer start spark profusously two minute , smell like light something fire . bedspread cigarette burn - hole , front desk staff knowledge door knob speed immobile 90 - year - old . half block road horse buggy area , lovely enough fill nostril smell urine manure right emptied smoke smell hotel room . location mildly convenient city go convention center , convenient anything else . not feel safe walk around area daytime , see two lovely hooker one walk toward Time Square , mention spooky crowd . far well stay somewhere like Milford Plaza , comparitvely price , provide shuttle convention center . must stay absolutely hellish hotel , bring one - piece body suit , rubber boot , glove , gas mask . 
 Jun 3 2007 	 Hated ! ! ! ! ! 	 location terrible . across street 24 hour cab lease auto repair shop , street carriage horse stable ( lovely smell horse urine ) next noisy train track . ` may 29 thru June 2 year NYC warm . a / c lobby , vend machine order well lobby lady ' room . neither bathtub drain 2 room work . request repair day arrive never fix . non - smoking room , corridor smell cigarette smoke . a / c unit room noisy . room extremely small . tiny bottle lotion amenity bathroom . go desk shampoo . twice 1 day room key re - program . our room overlook dirty tar roof train track . could call room room . continental breakfast next nothing ... doughnut , bagel , bread poor cereal selection ... fruit , yogurt anything healthy . very bleak , unsafe neighborhood . we expect Taj Mahal , pay US stay . Lesson learn ... get pay . 
 Jun 3 2007 	 Hotel Hell 	 Location room describe review : healthy walk Times Square fine , small room . fact , superb cleaning room daily basis reason ' m rate terrible . two desk clerk rude border hostile . tell check amenity ( breakfast , fitness center , internet access ) clerk act welcome . request ethernet cord connect laptop provide fee initially $ 3.00 immediately change $ 10.00 . ethernet cable work , return refund $ 10 ; ask could access internet via wireless told & quot ; go ahead . & quot ; not work , either , follow morning mention another desk clerk , scoff we tell we wireless available lobby . Wish have know ! also overhear desk clerk check we advise another guest breakfast , never tell . ask taxi service JFK departure tell would $ 65 $ 10 deposit , pay . check around , find several well deal cancel hotel book taxi . third desk clerk , pleasant respect , tell we deposit refundable . check receipt state return hotel , show receipt another desk clerk tell we , & quot ; go room bring later ! & quot ; addition , hallway floor reeked marijuana several occasion . never stay hotel . low rate worth grief inconvenience . feel intruder welcome guest . unpleasant . room , however , keep clean first day find wet towl hang bathroom door hairs bed sheet . 
 May 1 2007 	 Decent Place Bit Hike 	 ' ve stay around city every area use Priceline ( never really know end ) . got great deal place ... one night stay . go concert friend ( another woman ) MSG not really care ... long clean safe . hotel . walk Grand Central ... always not necessarily mind ' m sure other would find hike . reviewer say ... industrial area little cafe be across street anything like . front desk clerk tell we go build area soon 's good hear . room small appear re - do recently . bedding , bathroom , furnishing etc brand new . seem nice breakfast not partake . front desk gal great . though feel safe walk home night MSG definately little disconcert since basically dead area time night ( 11 pm ) . not mind walk want deal .. give try . oh yeah Saturday Sunday flea market street block .. thing ... check . 
 Mar 20 2007 	 Worry 	 stay hotel March 17 2 couple one night . hotel beat path middle somewhat industrial area , problem location . not mind walk ( seem always go walk NYC anyway ) , good location . actually walk Grand Central hotel ( 1/2 hour walk ) slushy weather , brave ! meet friend London Time 's Square probably take we 10 minute walk partie local Irish Pub 's 9th Street / Ave ? seem less crowded Time 's Square area ( cheap ) . Felt safe walk area night - late night / quick bite place nearby ( hot dog / pizza ) 9th . Room yes , small , clean problem room . try check early 3:00 p.m. check - in , not happen , return , get room disappoint ( 3 set we ) .The continental breakfast acceptable - cereal , bagel , croissant 's , fruit , coffee , tea , juice , donut - we fine quick bite leave . hey , be RITZ , not pay Ritz ... money pay , would definately stay location get price . not worry , will fine long able walk , open - minded expect extravagent place . fun ! 
 Mar 13 2007 	 quaint nice 	 friend venture New York Big East Basketball Tournament . book hotel ' name price ' link [ -- -- ] , sure get prior booking . offer price $ 100 accept three night stay Best Western Convention Center Hotel . first nervous location review read hotel . review read hotel justice . first , location great not mind walk bit . true lot restaurant bar directly area , five ten minute walk remedy . garage across road bit eyesore , noise minimal . time feel unsafe walk around area . validate parking cost $ 21 day ( be phenomenal ) lot 5 minute hotel . staff extremely cordial accomodate ( need switch room one night , do problem ) ; room although small , clean nice , CONTINENTAL breakfast decent substantial . great stay hotel make New York trip outstanding . 's 10 minute walk Garden Times Square . Great Trip . Great Hotel . 
 Mar 2 2007 	 good deal~ 	 husband take bar exam Jacob Javis Convention Center book hotel 's close one . price 199.99 / per night ( exclude tax ) . price NY hotel , not complain . room small size bathroom ok . 's clean everything need . offer free internet , be big plus we . staff friendly . need kind help , good . area safe . often walk around husband concentrate exam , go back hotel sunset . 7 pm , stree get quiet . would suggest walk around alone . take 15 - 20 minute walk Time Square NY Penn Station . several starbuck & amp ; supermarket 42nd stree . also find several restaurant around corner 42nd St. & amp ; 10th Ave . not care small room & amp ; little bit walk , be great choice . 
 Jan 5 2007 	 Great Deal 	 stay 5 night week Christmas . pay $ 116 night queen bed . pleasent stay . Place tourist area feel completely safe walk area . ( two girl ) least ten minute walk subway able walk quiet thing , like ... time square , madison square garden , macy 's , empire state building , port harbor tour begin , theatre district . room clean staff friendly . make breakfast one morning great well nothing . could hear car repair stair . stay 9th floor . 
 Nov 17 2006 	 fine ' cheap ' 	 hotel fine ' cheap ' NYC . pay $ 214 / weeknight plus tax , hotels short notice booking run $ 300 . 3 4 long ' avenue block ' west 7th 8th avenue , really 15 min walk Times Sq ( north ) Penn Station ( south ) . Hotel build 3 year ago , room new clean . bed sheet bite cheap , clean real complaint . location bit odd , share block taxi repair garage , horse barn , gentleman 's club , safe worry nervous solo pedestrian midnight might take cab rather walk last block ( though never problem feel necessary ) . room granite floor bathroom , coffee maker , safe . window tilt open bonus . 's 11 story building , something like 60 room guess . Front desk friendly . take leave luggage check cheerfully time explore want . check noon , add hour half ( 130 ) request extra charge . Convention Center , location would superb . continental breakfast skimpy , free coffee bad bagel hard complain much . overall , fine ' cheap ' alternative find similarly price accommodation update hotel close wherever go NYC . 
 Nov 8 2006 	 average 	 hotel fine people budget ! room small date , adequate . absolutely everything breakfast plastic ( include bagel think ! ) not sufficient seating . the area okay - quite convenient get around , not nice feel opinion . 's surround car wash . say though great able walk Times Square within 10 min ... 
 Sep 17 2006 	 surprised ! 	 first see hotel thought have make mistake choosing , arrive change mind . staff friendly efficient , room small clean comfortable . 's block away shopping sight find foot fine . hotel not restaurant allow we order food , menu 's room . breakfast basic - cereal toast . avoid use phone room , charge absoloutly dismal - especially payphone city ( get work ) ! ! overall can not think reason not stay ! 
 Sep 7 2006 	 Awesome Hotel ! 	 stay hotel march , keep fairly open mind place . room great , clean everyday ( want ) good standard , staff great , location pretty poo nothing short taxi ride could not sort out . I alone female travel staff make feel really welcome , feel safe surround area night own . WOULD RECOMMEND ! ! ! 
 Aug 12 2006 	 surprisingly comfortable ! 	 hotel great deal price . use take bar exam Javits Center , could ask anything . room quiet clean , staff accommodate helpful . the hotel close find Javits Center , conference , great option . free continental breakfast start 7 am , get , option limit ( order 24 hour diner - hotel provide menu ) .One drawback block quiet . cab repair place right across street , find cab typically not much issue . night ( say , past 7 pm ) virtually nobody area , problem plan hit bar late night . also horse stable block , make area little smelly , constantly hay blow around . also , & quot ; gentleman 's cabaret & quot ; block . in summary , area great , extremely convenient Javits Center good value . comfortable stay stressful period . 
 Jun 7 2006 	 not stay third floor 	 hotel across sfreet car repair service 's open 24/7 . hear hammer middle night . third floor face 38th street . memorial day weekend hotel full would ask another room . , room clean employee pleasant . 
 Jun 5 2006 	 clean budget hotel 	 New York sister ' graduation decide make vacation stay city 5 night . hotel clean cozy necessity . though reservation first bit far west side , stick reasonably price hotel third week May . bed bit hard taste blanket thin . , complain hotel . however , location exactly prime . ' locate Hell Kitchen , equivalent local " ghetto " neighborhood . close subway station 2 avenue block away ( ' New York , know long avenue block ) . minute walk hotel , smell horse manure right next door stable right next , " gentleman ' club " . , money spend tax cab , could stay Times Square average $ 50 cab money day . nonetheless , hotel clean 's important . 
 Apr 11 2006 	 cheap cheerful 	 stay hotel 8th 11th december 2005 . spend age search hotel leave last min find majority place either book expensive . find good western convention centre ! arrive little unsure location - especially walk back hotel first night - problem ! 's short walk times square ! staff hotel friendly . room small well equip clean . continental breakfast great , really set day ! two young woman shopope trip hotel perfect ! would definately recomend people ! 
 Apr 8 2006 	 Great Hotel budget 	 stay hotel week march much around short walk Times square 34th street . room nice , clean comfortable Tony door man really nice helpful would stay budget . 
 Apr 8 2006 	 Great Little Hotel 	 stay 7 night March April would recommend bargain break New York . hotel spotlessly clean Staff friendly welcoming . room bite small side nicely decorate furnished . bit worried location first arrive short walk civilisation restaurant , experience problem . perhaps would recommend lone woman Traveller due location , would problem day might feal uneasy night . would stay without hesitation , can not beat value cleanliness , New York bit lottery hotel concern , unless afford good . 
 Mar 23 2006 	 Ideal Hotel 	 stay hotel week March . first location seem dodgy actually safe . be not much immediate location block away 9th avenue numerous diner restuarant . hotel within walking distance Times Square 34th street good shopping . hotel room small clean main thing ! breakfast set day . 6th floor do not hear noise traffic . would definately recommend stay . 
 Mar 4 2006 	 Close Amtrak 	 Nice hotel convenient Penn station 
 Dec 1 2005 	 Felt Safe basic 	 stay best western read review BW President , good . really rely tripadvisor truth . location probably big downfall , Manhattan ! hotel feel safe near NYPD . middle night hear bullhorn pull car . although bit walk activity aside Convention Center , adequate one night . staff nice continental breakfast adequate . good walk towards Convention Center take right night time walk . way walk NYPD , safe . walk 42nd St. turn right . great restaurant along way call Cafe Josephine . walk 42nd St. start light . room small clean . frill . would stay go Convention Center , right across street . price right around $ 200 night Thanksgiving weekend . 
 Nov 18 2005 	 like ! 	 stay hotel review go conference convention center . leave two day feel safe . ' m woman travel alone like character go & quot ; gentleman 's club & quot ; block taxi driver hang night long across street . even fight late one night get loud scary ! yell , swearing , etc . scared go night get dinner not even eat . homeless people thug street . room small , clean . staff helpful . location awful . move Times Square much happy . 
 Nov 14 2005 	 modest marvelous 	 hide gem ... ok ' Waldorf clean friendly . breakfast complimentary bagel fresh ! ! endless tea coffee .. hotel 15 20 min walk ( stroll ) distance Times Square . point either hotel walk back night hotel feel uneasy . area busy quiet main street lead sight etc lit feel safe walk . room smallish well equip friendly daily maid service perfect short stay nyc.try get room 11th floor quiet view not bad either . this great hotel get 15 min stroll town well worth stay . 
 Sep 21 2005 	 Great Hotel 	 staff great ... helpful courteous . room always clean not small NY hotel . breakfast ok , coffee , juice , bread . although hotel locate street among garage block Times Square , feel safe would stay price . 
 Sep 6 2005 	 great hotel 	 stay September , room spotless well clean . staff friendly helpful . breakfast A1 plenty machine late night snack . the hotel situate quiet part town , even taxi repair shop / fire house nearby , much quieter hotel stay 34th Street . only short walk centre ideal attraction like Circle Line/ US Intrepid . it say tin ....... 
 Aug 28 2005 	 Bargain 	 book hotel last minute first choice hotel available entire stay . read review Trip Advisor expect average hotel iffy area pleasantly suprise . most importantly hotel , bedroom bathroom immaculately clean . room not overly big , small uncomfortable . 11th floor view Hudson room nice . breakfast complimentary buffet style - Cereal , Toast , Juices , Tea & amp ; Coffee , Fruit , Bagels , Doughnuts . the hotel 38th Street 10th 11th Avenue locate amongst numerous 24 hour taxi repair garage . mean constantly people around feel completely safe walk hotel night . although much see immediate vicinity hotel 's ideal base sightseeing . 10 minute walk either direction take near Metro Stations Penn Station / Port Authority Bus Terminal also plenty shop restaurant . 15 - 20 minute walk get Empire State Building 's also similar distance Times Square . see horse near hotel final day , however notice poo smell report Tripadvisor user ! 
 Aug 23 2005 	 's yes well worth ! ! ! ! 	 second time NYC first time stay 4 * * * * hotel front central park double price . walk time square room without doubt much recent . airconditioner new , water pressure temperature 10 10 . drawback 24 hour bodyshop front hotel not feel like million buck come hotel . area like central park price , day . also get parking 21 $ day 25 $ van 4x4 negociate 21 $ day 4x4 . also , internet access free , continental breakfast include ( toast , cereal , pastery ) service excellent . hope help choice . 
 Jul 29 2005 	 jewel ! 	 ok hotel W38th 10th & amp ; 11th avenue yes 20 min walk shopping sightseeing area LOVED place . in fact organise next NYC break ' m go stay . clean room clean bathroom ( big factor ) , nicely sized , friendly staff , lovely complimentary breakfast . my cousin stay Pennslyvannia 34th & amp ; 7th pit , gross bathroom small room knock thing over . this hotel great find , hide away well worth price . you must prepared walk , frankly good way see nyc.its far Penn Station link Long Island Rail Road JFK 's Airtrain station Jamaica Center . 30min leave airport Manhattan less hour leave airport check room . try place , will not regret . 
 may 23 2005 	 good western nice 	 Best Western Javits Convention Center clean comfortable . around corner covention center 's convenience attend trade show . employee friendly . serve continental breakfast every morning also free internet access via ethernet provide forget . 
 May 12 2005 	 pleasant suprise ! 	 partner return 5 day Best Western Convention Center Hotel must say I m impressed . room spotlessly clean size accepatable . staff friendly cleaner always greet we smile . Breakfast consist bagel , muffin , doughnut , toast , cereal , juice tea / coffee . think hotel locate ok area , point feel unsafe , half mile time square ! ! gripe ? hallway outside room smell quite strongly smoke . 
 Apr 23 2005 	 fair deal clean new 	 close enough walk everywhere midtown . travel nine year old able get around easily foot.staff helpful polite .... room new , neat clean although seem small ... stay Hilton room not much big least three time price . they check bag hold check - out ready leave . hotel staff greet we time enter left appear know belong hotelthere plenty food free continential breakfast well large , comfortable area eat .... food replenish need staff attentive buffet arearecommend short stay Times Square area 
 Apr 11 2005 	 impressed 	 surprised impressed stay Best Western Convention Center Hotel . little way , NYC must get use walk anywhere go . think place NY & quot ; ideal & quot ; location . complaint could find room extremely small . course , stay sleep , not matter . clean , bed comfortable , maid come every day clean give fresh towel . staff friendly outgoing . highly recommend place . yes , might smell little like horse poop outside , get use . plus , going stand outside anyways . suggest see firestation right road cute , outgoing fireman . , look nice , clean , good price hotel ... stay Best Western Convention Center . 
 Feb 7 2005 	 good clean friendly hotel 	 book hotel shopping trip NYC read review site . hotel basic really good base explore New York . good location not mind walk ! cab garage near v.easy hail one need . feel area safe sensible walk back every night . ( 4 we ) . complaint breakfast area far small queue coffee morning silly ! not worth wait Times Sq couple block away could get good cuppa deli corner . 
 Dec 10 2004 	 Hole 
 Oct 24 2004 	 good value modern clean 
 Aug 13 2004 	 love 
 May 9 2004 	 handy Jacob K Javits convention center ... 
 Apr 8 2004 	 73 read yes walk relative ! 
 Feb 29 2004 	 Great Hotel iffy neighborhood 
 Dec 12 2003 	 far away 
 Jun 28 2003 	 Bait 
 May 12 2003 	 exceed expectation 
 Apr 24 2003 	 Good Hotel great location ! 
 Oct 28 2009 	 Hotel @ NY : consigliato ! 
 Aug 7 2009 	 Une vraie bonne affaire à New - York 
 May 19 2009 	 Vraiment tre bien ! 
 Mar 27 2009 	 bon rapport qualité - prix 
 Mar 26 2009 	 très bon rapport qualité prix pour NYC 
 Dec 6 2008 	 hotel trés convenable à Manhattan 
 Dec 4 2008 	 Bon hôtel moderne propre bien situé 
 Sep 28 2008 	 Assolutamente sconsigliato 
 Jun 18 2008 	 Mi estancia en Nwe York 
 Jun 10 2008 	 hotel senza troppe pretese 
 Apr 17 2008 	 malas instalcione 
 Mar 19 2008 	 Hotel Pratique Propre Sympathique et Calme 
 Feb 15 2008 	 Se ritornassi NY andrei questo albergo 
