five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Sep 2 2009 	 would rather stay Ramada could not pay stay 	 hotel absolutely pathetic , believe Donald Trump put name establishment . hole towel , sheet pillowcase . broken tv . top incompetent valet service scratch brand new car right front . file report security , one ever contact . call almost everyday since , trying reach someone actually care , ' m hold breath . 
 Sep 1 2009 	 great 5 star hotel without hustle bustle New Orleans 	 want walk lobby hotel hear slow machine see ton people , hotel . want far enough strip not hear drunk rowdiness want close enough walk enjoy little fun place great ! great 5 star hotel . stay Bellagio , Mandalay Bay , Luxor , Hilton love hotel ! sometimes little overpriced . get right time get room fairly cheap . room top level standard beyond amazing ! shower separate tub . tub great want little bath time someone special ! also middle mirror , turn tv ! two sink useful ! watch news brush tooth movie take bath ! also every standard room come kitchen . stove sink everything ! great ! truly gem strip boyfriend thoroughly enjoy ! also ... free valet ! 
 Sep 1 2009 	 TRUMP MISSED INCH 	 want touch luxury bit different Vegas stay . hotel casino not endless line people trail property . feel little bit personal oasis away strip . employee nicest ever experience strip , room service attendant concierge wait staff . person not impressed gruff man check - in , still nice . hotel fast check - in ever experience strip . 10th trip Vegas . room awesome . city view room , room still amazing . five piece bath gorgeous . large jet tub , 2 sink , hide commode , large shower , well tv imbedded mirror . beef beautiful floor would turn ice rink step one drop water careful . bath mat . hair dryer sit bag shelf vanity . even like makeup mirror . feel flat screen tv could big , main room . sit area comfortable . also expect comfortable bed . hump . King though . bad problem train would blow whistle every hour tacky museum beneath window . could also hear highway . hotel limit eat facility design cook glass cooktop two burner microwave . room service also available 24 hour . restaurant good breakfast expect expensive . find cheap buffet . easy walk across street Fashion Show Mall snack shopping reach Treasure Island Hotel Casino , walk toward east experience Encore Wynn . take taxi ride quite bit average $ 12 tip . seriously enjoy get away rat race strip would stay . check pool area , quite large pool nice fitness facility . room service fast food really good . 
 Aug 27 2009 	 nice enough hotel be go Vegas Vegas experience not stay 	 hotel really nice . reason people go Vegas experience hotel integral part . reason would not stay 's bit way be go give experience . money huge issue not care Vegas experience , go . room really nice fun get view Nevada instead strip , kind bring back reality . unfortunate thing fire alarm go around 8 am , arrive walk 49 flight stair reason , false alarm . not even want imagine party people feel . 's hotel 's fault really . 
 Aug 25 2009 	 5 STAR ! ! ! 	 Donald Trump , ? think ? put name ? ' m embarrassed . 5 star , 4 star , maybe 3 star . Rio Hotel well mismanage disappointment . even official website hotel horrible . not time list every single * GASP * moment stay . hate . hate , hate . room ugly , loud , lobby uninteresting , boring , cheap , ridiclous resort fee ugly community style pool , wifi not free ( even nasty Motel 6 free wifi ) , staff apathetic ridiculously min - wage snobby . wife probably would not stay here . no , , . whatever spread word stay . Edit Remove Send Friend Link Review 
 Aug 25 2009 	 great place stay 	 book two room two night priceline.com $ 95 . immediately book , come know $ 15 per room per night resort fee . definitely piss first add $ 60 total stay Trump change view . pros:1 ) Decent Location , block walk Wynn strip2 ) valet nice $ 15 pay . tip valet much still angry $ 15 resort fees.3 ) super clean hotel crowd chic trendy.4 ) super clean room great room service view . upgrade suite huge . 5 ) smoke smell 6 ) nice pool , would go take look girl serve drink . cons1 ) slightly strip2 ) 24hr restaurant 
 Aug 24 2009 	 finally place Vegas will return ! 	 trump perfect choice traveller want close action Strip not want swim horde casino resort check - in return room r & amp ; r. location fabulous , within walk distance Wynn right across road Nordstroms Fashion Mall ( wife really appreciate ! ) . building - lobby elevator common area studio room - immaculate spotless ( pool okay size really go Vegas hang pool day , right ? ) . service uber - friendly courteous . security lobby discretely ensure place pay guest . DJT restaurant lobby quite good enjoy meal Strip well ... breakfast overly pricey worth second visit . real nit - mandatory valet service take 10 - 15 minute everytime . include resort fee , think reasonable , valet staff great , self - parking available would choice . finally figure , though , short non - overnight stop hotel change clothe , take nap , etc . , trick park underground parking Nordstroms walk 90 second across hotel - save we bunch time . , great value ( pick 5 - star Priceline pay $ 120 / night Strip view room ) . 
 Aug 24 2009 	 Perfect Vacation 	 could would rate vacation would give ten star . trump ideal spot . step away strip yet far enough hustle bustle noise Las Vegas Blvd . hotel first rate . staff courteous attentive could . arrive one thirty check - in three , get room five minute strip view free upgrade . view room good Las Vegas offer . fashion mall right across street . great pool , large room everything need . deffinately back . 
 Aug 24 2009 	 Noise problem light sleeper beware 	 can not believe nice smelling & quot ; 5star & quot ; hotel not think acoustical insulation . freight train blow whistle 2 am continuus blow every 20 - 30 min keep night . stay 29th floor think high hear despise read freight train problem reviewer . front desk nothing tell train not give schedule not understand schedule would help . also say engineer & quot ; working & quot ; . 
 Aug 23 2009 	 Perfection 	 beautiful room , excellent customer service . treat . 
 Aug 23 2009 	 good keep 5star secret ! ! ! ignore whiner review stay 	 request early checkin 8AM Wednesday stay thru Saturday completely enjoy . advice give previouis poster , decide look Peter upon checkin / registration make feel like internet celebrity voilla , upgrade 1br Suite 51st floor overlook strip . view overlook Treasure Island straight southern part LasVegas Boulevard Strip . book deal priceline name price pay $ 110 / nite check hotel site offer $ 89 / nite . contact Priceline they re give we 100pct difference two rate additional $ 50 next booking . let us quickly address people whine . $ 15 / day & quot ; Resort Fee & quot ; . we know front review go charge fee act surprise tack bill ? rent car thru priceline , name price , stay much pretty much save we tips valet parking service part resort fee . ask front desk could & quot ; Free Internet & quot ; instead pay $ 12 / day say , & quot ; NoProblem & quot ; ! word , use Resort Fee advantage . the train ? train ? lol , perhaps request upgrade really do not notice train . would honestly say hear train whistle maybe twice whole stay never sleep hour . hotel clean top bottom inside . white glove service soon arrive . anytime see housekeeping person throughout hotel , polish something . issue location . walk mall niiiiice especially record 110 degree temperature outside . laptop netbook , free internet anywhere mall . mall accessable early 8 am . long 10 am open time store . room beyond expect especially upgrade checkin . could not ask well view strip . room , could see part water light show Bellagio amd part Volcano light fire show Mirage . value ? well , net price $ 89 / nite , could ask 5star Trumps name ? price do not include choke casino smoke 5Star hotels strip . trump Smoke Free . do not use site restaurant . use restaurant othe hotel . Bellagio Breakfast Buffet 18.95 Incredible . great way start day . also take 10minute drive Hash House GoGo Sahara blvd breakfast . feature episode & quot ; Man Vs Food & quot ; . food incredible portion tremendous . we would recommend Trump 
 Aug 23 2009 	 quiet hotel 	 look real hotel vegas place , look big casino theatre big show shopping galery , you.in place ' need walk thru casino go room make long line register hear kind noise night . problem : train crosse next hotel every day 6 a.m. listen . tip , choose hotel , recommendation visit strip : rent car stay . 
 Aug 21 2009 	 expectiing worst- pretty much get expect 	 friend decide quick weekend trip vegas , book Trump Priceline good rate . read review , think could live . well , arrive 3:30 ( check time 3 ) wait check - in line almost 40 minute . W hen arrive front , tell we room clean would need wait hour . leave luggage bellman , walk across Nordstrom ( good thing hotel ) . come back finally get room giant soak wet spot carpet bathroom bedroom . 10 minute later , housekeeper open door without knock tell we room have not clean still need leave . say would come right back never . gross ! ! ! luggage finally bring , realize friend 's camera miss bag partially open . bellman say do not , figure maybe fall car . valet say do not , friend camera steal someone , probably hotel employee . goig night arrive back hotel 3 am . 6:30am housekeeper decide come back ( time rang doorbell 3 time ) itrritate try get sleep . do not even bother check figure staff would probably keep come room unannounce anyway would figure soon enough . overall , hotel 5star lobby ( include check process ) , 2 * everything else . 
 Aug 21 2009 	 quiet escape las vegas strip 	 good price , good quality . concierge helpful . basic room nice , feel like suite ... bed fantastic ! bath even jet ! ohh man wish back right .... lobby corridor nicely scented , however little strong time . location nice , right action close enough attraction . right across fashion show mall make convenient . review complain train , never really notice anything bother . would definitely stay . 
 Aug 19 2009 	 avoid SCAM like PLAGUE ! ! ! 	 ' ve return Trump Int ' l Las Vegas , 's bad experience life ! ! ! first , lie every turn reserve two room -- tell anything get spend money . get , everything lie . add $ 15 - per - day fee room ( resort fee ) without tell upfront . hotel locate industrial area right next train track ... train blow ghastly horn night every night -- like HOURLY -- sometimes four five blast time . trump manager reluctantly move we 42nd floor , bad . soundproof hotel . maid service dreadful , bathroom bug . one potty seat break , tip maid bring TP -- be suppose already ! bed hard end sleep couch hour time train blast ! ! ! facility look posh , end . tell arrive early would upgrade we Strip view room . folk , strip view Trump Int ' l except maybe Circus Circus one crappy hotel end strip . trump couple block away strip 's virtually impossible see light Strip everyone want . view Circus Circus cost $ 50 additional . 's . lie . send picture room have ( two ) get put room -- nowhere close picture send . call attention , say , & quot ; oh 's mistake will ' upgrade ' additional $ 100 / day . & quot ; not call ' false advertising ? & quot ; could go day bash , walk door back home 's 2 : ... first thing come tell -- business , condo buyer -- everyone ! ! ! get rope TRUMP INTERNATIONAL LAS VEGAS SCAM ! ! ! BARGAIN ! ! ! 
 Aug 19 2009 	 Great Las Vegas Hotel ... still rough around corner though ... 	 ok , usually stay place strip like MGM Monte Carlo ... go vegas day celebrate Best Friends bday , decide splurge something bit nicer ... boy find true gem ... sure Beverly Hills quality staff , beautiful property well price Belagio Wynn .. love fact able get early checkin 7 am , durre week .... front desk agent nice quiet , try talk , respond one word answer .. , room beautiful nice high floor great view ... two door entrance cove feel secure/// bad thing , 1st reason get 4 star ... room clean except plate food leave mini bar ... opp , housekeeping must miss something ... be not like find hair pillow , dirrty bathroom , bell man , apoligize remove right away ... bad thing tv evening entire hotel ... hmm ... do not go vegas watch tv still property nice option ... return get deal , something close , since right stip .. 
 Aug 18 2009 	 strip sorta strip 	 stay recently weekend Vegas hubster . use priceline get 5 star hotel strip get Trump . kinda disappointed get Trump since priceline say strip , be really strip . 's right strip across Nordstrom Fashion Mall . well , get long arduous drive SoCal 15 nice dinner Mon Ami Gabi Paris . first drive , greet valet white glove . okay , nice touch . next , door hold open we enter hotel . okay , get use . walk beautiful lobby immediately go check desk . not wait long get courteous Peter check we . ask we want upgrade one bedroom suite studio unit reserve . politely decline give we room key . elevator go get floor . get door room , show 2 room number behind door . confuse , go open door . surprise surprise . 2 door behind first door one door lead room . walk much surprise , one bedroom suite . Front desk Peter hook we unexpected upgrade . thank Peter ! full kitchen , full bathroom kitchen , bedroom humongous master bathroom . seriously bathroom size 2nd bedroom . lcd living room another LCD bedroom . suite view area behind strip great view Deja Vu ( gentleman 's club ) love Boutique . distance , could see Fremont Street 15 freeway . overall , really enjoy suite even though not really use kitchen . nice know full kitchen decide eat . would totally come back enjoy hotel . nice smoke - free hotel casino . 
 Aug 17 2009 	 amazing hotel 	 spend two night Trump past weekend , amazing experience ! one bedroom room upgrade suite free . full kitchen , two bathroom , king bed , queen sofa sleeper , massive master bath complete spa tub dual head shower . service impeccable . bell hop staff make we feel special , service quick . absence casino frustrating try gamble , nice walk twenty minute get hotel room . location strip , cab ride strip $ 6 ; hotel house car ! would HIGHLY recommend stay hotel . 
 Aug 17 2009 	 5 star hotel 	 husband go long weekend extremely disappoint everything experience . hot water tempermental good . force take cold shower twice stay . House keep day norm five star hotel . pool level hotel Vegas list 4 star even 3 . call complain Manager water , lack cleaning towel , meet disinterest apathy . elevator bank section one elevator 4 work ride 5 couple find none room hot water either one really care call front desk well . we never stay advise anyone everyone well . 
 Aug 17 2009 	 nice hotel minor hiccup 	 cost : pay $ 120 per night Priceline.com ( Fantastic Rate ) name price 5 star north strip get . $ 30 upgrade suite living room ABSOLUTELY worth every penny . resort fee include price $ 15 . really annoyed put bad mood 30 minute . need include price . food pool expensive ( $ 15 burger ) quality great . quality food make forget much spend . service : service great . everyone friendly helpful know talk . feel bad front desk people explain charge $ 15 per night resort fee privilege use pool gym . room : GREAT ! fridge , sink , glassware , oven etc . well appoint . criticism Donald must one tough cookie toilet paper feel cheap would use public high school bad area . all Trump great hotel . get good rate not mind casino lobby place . 
 Aug 15 2009 	 luxurious accomodation affordable price 	 great hotel stay Vegas want get away smoky casino still close enough action . spacious room excellent decor , studio comfortably sleep 4 ( bed sleeper sofa ) . ' ve twice every time , room sparkle clean - ' m impressed ! get great deal Priceline 's & quot ; Name Price & quot ; advertised price hotels.com , travelocity.com website much different . keep hear guest spa heavenly . check pool , good nothing spectacular . really love hotel be right across Fashion Show Mall jacuzzi tub ! charge $ 15 ( maybe $ 12 , can not remember ) & quot ; resort fee & quot ; cover valet parking . 
 Aug 14 2009 	 Great price 	 hotel absolutely great value . amazed people pay admit get room $ 70 priceline say hotel not standard 5 star hotel . fact , always get hotel $ 130 ... often $ 100 . price city stay Courtyard Holiday Inn . instead get wonderful studio suite , great bed , wonderful view huge window , nice ammenitie , robe , huge huge jet tub , flat screen tv , tv bathroom mirror , fridge , stove .... room perfect condition . compain room rate opinion really base , likely come people expect get star treatment get room priceline $ 50.now thing could complain location . not great , terrible either . 30 second walk hotel Nordstroms mall . 7 minute walk Wynn . thing make location bad opinion valet , can not come go easily may want ... not huge problem mean . would stay ? absolutely . fact , trip also stay Renaissance Hotel Celebrity Suite MGM . room major let Trump . finally , hotel smell great ! wish could get house smell like . 
 Aug 13 2009 	 fantastic deal 	 wife head Vegas meet family . family snag room Encore , could not get room $ 300 night . look around see Trump easy walk book room Priceline bargain rate . hotel quiet non - smoking - nice change usual Vegas casino hotel . offer reasonable upgrade upon check - in , happily pay . one bedroom suite kitchen nicer one home . view Strip downtown . room 2 bathroom , include one size hotel room ' ve stay . be look crazy bar / pool scene , not . want get away noise crowd typical Vegas hotel , Trump perfect . bar entertainment quirky fun . 
 Aug 12 2009 	 Beautiful Hotel 	 return 4 day/3 night stay Trump Hotel . admit , 's nice walk hotel Las Vegas offer non - smoking , gambling . suite beautiful , overlook strip . short walk Wynn , saw & quot ; La Reve & quot ; , afterwards , eat Grand Lux Cafe Palazzo late dinner . trump employee extremely nice helpful . may miss ' hub - bub ' casino resort hotel , appreciate peace solitude . never hear peep hallway . love exercise room -- state art treadmill tv -- bring headset set ! pool scene remind MGM Flamingo , lot beautiful , young people , many family , go pool 4 day . really complaint , family ambiance pool . one minor complaint would bed , soft liking , bit lumpy . otherwise , great choice ! ! . also , book Trump website , get 95.00 rate night . 
 Aug 11 2009 	 absolutely great nice price 	 tremendous , beautiful hotel , large , comfortable , luxury room , price affordable class oh hotel . casino hotel , additional reason choose hotel Vegas . nice swimming pool . 
 Aug 10 2009 	 great place stay 	 hotel room perfect . room large , bed comfartable . big bathroom perfect . would definetly stay . never wait long taxi , like large hotel . 
 Aug 10 2009 	 avoid hotel unless senior citizen 	 let start say huge fan & quot ; name price & quot ; priceline . rarely issue hotel & quot ; & quot ; . however , recent trip Vegas , & quot ; & quot ; say & quot ; lost & quot ; cause end stay TRUMP Vegas . start state room nice lobby pretty boring . hotel casino . also charge $ 15 + around $ 2 tax two small bottle water , access swimming pool close time & quot ; free ( accord attendent ) valet parking & quot ; . fee manditory could check without agree pay . happy , point name price go force pay check ? aside , would also like point valet slow , take 20 minute car arrive . also , hotel quiet train outside loud . 40th floor nothing room train . yike ! 
 Aug 9 2009 	 stay week would return ... back Vegas ! 	 great price result Priceline .... quiet side Vegas ... LOVED ! little STRIP , bad . service great ... bad Vegas go . smoking advantage ... want hit town minute away anything Taxi ! ! ! - want walk , cut throught Mall please come infront Wynn / Venetian / Mirage part stirp.- bathroom hit we ! - like slipper robe ! - buy refreshment fridge usefull ! - room service good , priced.remember VEGAS ... get room explore ... come back sleep recover ! ! ! 
 Aug 9 2009 	 nice stay except train 	 return Trump . nice hotel . two block strip Fashion Show Road . easy walk take Wynn Encore . hotel quiet , casino . big plus we not enjoy throng people hotel visit strip . nice come back serenity . staff friendly , even open front door u approach . room even ready upon check 11am . the maid normally prompt efficient . 1occasion call water etc . twice , none leave room deliver first request . room hallway , pool etc nice keep quite clean . bathroom room die ! ! ! service available pool intrusive . however , quite pricey , may expect ( .5l water $ 6 , pitcher spike lemonade $ 55 ) .The real problem train road noise come room thru window vent . vent not seal well windy actually whistle ! think alarm first ? ! 39th floor @ 4 am , 4:30am , & amp ; 5 am train would pass blow whistle repeatedly . wake every nite . hotel charge $ 15 day service fee . suppose valet , water room , daily paper use pool fitness center . really not option park valet , not fuss charge . pool lobby hotel Las Vegas . nice . not parade thru casino gawk passersby way either pool adjacent fitness center nicely equip . TIP : Las Vegas Blvd . pack , turn Russell Road south come airport , take Dean Martin Industrial way hotel backside . problem traffic . kind service road . overall nice stay would return . 
 Aug 9 2009 	 amazing view huge room everything hope ! 	 select hotel Priceline.com honeymoon , look forward non - smoking hotel require we walk casino get room . lobby magnificent ... gold everywhere , even public drinking water fountain ! refreshing battle long line big crowd . arrive , greet friendly girl front desk promptly upgrade we mention newlywed . get 58th floor spectacular Strip view ! room huge beautifully furnish : jacuzzi , two bathroom sink , tv build bathroom mirror , full set kitchen appliance , work . location - wise , hotel feel like middle nowhere especially walk back night , really not far casino ( Wynn / Encore ) daytime , across street Fashion Show Mall really convenient . at night , hear train pass otherwise room quiet . we use fitness centre , spa , pool look great . all , great time would go back . 
 Aug 8 2009 	 CONDOMINIUM HOTEL 5 STARS 	 great condominium hotel , clean , pleasant staff . stay good hotel world . steal 100 - 150 ever people pay , know pay 500 multiple thousand night . want full treatment pull 500 venetian . hotel give 5 star treatment discount , find staff helpful , friendly , problem one correct right away . know see people become rude away home demand extreme . want & quot ; clean & quot ; , quiet high end experience great spa away smoky casino , wonderful bed , kitchenette enormous bathroom ( shower ) stay trump . like gamble early till late hour night , Gaudy room stay TRUMP . 
 Aug 8 2009 	 Great Room / Poor Location 	 surprisingly 5 star property , hotel affordable . lobby gorgeous happy room . beds vultra comfortable ! bathroom marble tub big enough two nice jet . bathroom extra feature tv mirror . nice hearing news weather get ready morning . bill suite , room well equip pot pan , want cook Vegas , anyway ? $ 15 resort fee tack onto bill every day whether use pool exercise room . beware cocktail price pool - at $ 15 pop , tab get huge hurry . real complaint location . hundred yard strip TI , walk night isa little scary unlit street spot sidewalk disappear front Fashion Show Mall . since casino , hotel quiet night - except train run 5 morning . also , thre self parking must use valet service . phone room be ready th head wait minute . 
 Aug 8 2009 	 Read Fine Print oh wait ... be even Fine Print 	 let us say hope Donald not approve hotel 's policy put name side hotel simply put , quality comfort associate Trump knowingly , pray soul.1 . $ 15 / night & quot ; resort fee & quot ; not mention book room , & quot ; resort fee & quot ; ? ? ? ... use gym pool , park car ? ... not include f * * king hotel stay ? 2 . run train 50 time day ... literally ... train whistle rumble not enough ruin stay maybe will actually enjoy room.3 . $ 100 / night hold debit / credit card ... unless be coke rockstar doubt need ... 's $ 700 hold card ( money can not use ) be stay week.4 . $ 12 day internet ... not include ? $ 12 day downright outrageous . generally ' m picky person , insult guest 's intelligence offensive would not stay , 's shame , not screw hide fee & quot ; catch & quot ; would nice room , albeit , noisy really close anything else except mall . crap fee credit card hold make price room jump close $ 30 extra per night ... bother could get & quot ; real & quot ; suite another hotel ? 
 Aug 5 2009 	 disappoint service staff ... 	 totally look forward come visit . get great deal , room AMAZING , spa staff excellent ... since review ... 5 7 people come contact horrid ! check breeze one bell hop gem 2 woman concierge ask help could not bother . talk personal experience not think would proper discuss . quality service totally would expect Trump name . upon try checkout via tv , since leave extremely early not want bother ( guess forgot 's get pay ) option not work call front desk ask square away bill greate extremely rude condescend woman tell use tv option not even let explain not work ... maybe not not night ( oh right , get pay ) . last bad experience bell hop security buddy . rude mean ask call cab ATM locate leave tear . enough say ... will never return . 
 Aug 5 2009 	 worst HOTEL EVER 	 not even know begin shocking stay . come hotel highly recommend . bad idea.essentially , charge $ 600 two night stay $ 99 , well take $ 300 cash . record charge account , claim would not charge account , do authority - offer show bank statement change mind agree , say take 5 business day refund account - time back home . therefore - be take spend money ( ( without authority ) ) will not give back long leave country . after initial difficulty check , offer get alternative credit card authority send . seem like like fair solution - hotel screw multiple way . firstly , send form ask authority first night - , incidentally , already charge twice seem want 3 - for-1 deal ? ? ? ; person receive not print , take next day mean , 48hrs later , even though ' ve receive authority charge multiple time , be ask money , deny ' ve charge anything card refuse use credit card authority ' ve already receive . all , bad hotel experience ever . staff helpful . hotel charge multiple time single night take money card not authority use , mysteriously charge account yet record it . on top , staff extremely patronizing . get feel young female traveling , lady especially , GO HOTEL ! ! ! ! ! 
 Aug 4 2009 	 train issue 29th floor 	 stay Trump Towers July 31 August 3 . pro 's saw hotel room new , well equip , large . use kitchinette breakfast , save meal budget . con 's service location . 29th floor could hear train pass fairly regularly night morning . every morning wake 's 730am pass . con service . not replenish soap , shampoo , regular totlietry item trip . call ask upon request give item . annoying thing hotel nickle dim occur . prepay hotel still $ 15 daily hotel fee . 
 Jul 31 2009 	 Thank Donald ! 	 Fantastic Hotel , room amazing Kitchen well equip want cook ..... ... hey .... want cook Vegas ? ? ? excellent service , new , modern good value money . also across Fashion Mall shopping . 
 Jul 31 2009 	 stay Trump 	 start vacation 2 night stay Trump . never stay wonder would compare hotel strip . upon check , offer upgrade much & quot ; well & quot ; room additional $ 50 per night , accept . enter room , terrible stale odor ( remember thetrump odor - specific ) - probably nobody room . bellman confirm problem call front desk request another room . move we another & quot ; well & quot ; room similar odor ( much less , though ) decide take ( tired flight waste much time ) . bathroom nice , thing break . & quot ; kitchen & quot ; anything - utensil , 2 glass ( guess want show class : - ) ? ? ? - advertise kitchen ? ) . next day go - way , * nothing * hotel , boring - spend day normal hotel strip . come back , find room clean even though leave housekeeping light ! message voicemail housekeeping say clean room leave disturb sign door ! [ -- ] ! blind someyhe ? call housekeeping explain situation - apologize say send someone clean room right away . wait wait wait ... 50 min . ( mean time , kid tired want go bed already ) . eventually , nodoby come , call housekeeping . stupid [ -- ] pick phone start apologize , say somebody way ( obviously lie ) . wait 20 min . call back ask manager . put hold 15 min . eventually talk someone present & quot ; manager housekeeping & quot ; . say go find 's go mean time send someone clean room . eventually housekeep lady come ( 30 min ) cleaning room ~2 hour ! ! ! ( sloooowwww ) . upon check , ask stay , try explain issue time , tell front desk lady worry much enjoy rest day : - ) ( obviously , want improve ) - mess ! btw , way back , stay Palazzo much less service hotel perfect . 
 Jul 31 2009 	 nice room decent location agree noisy 	 room nice , tv bathroom , modern . wife think bed uncomfortable ... lumpy ... not think bad . surprise much traffic noise come window , 54th floor . enough wake we , noticable . view strip great though . like location , within walk distance strip , really like across mall , always cut A / c mall get strip , also provide lot affordable food option . I ' ve previously stay Mandalay Bay Monte Carlo , definitely much nice Monte Carlo , would say Mandalay Bay nicer feel . promotion run ( $ 89 / night free strip view upgrade ) really good value hotel . 
 Jul 29 2009 	 beautiful problem 	 build second Gilded Age operate great recession , hotel seem hard time hang . public area , restaurant , room beautiful . bathroom nicest ' ve see , ' ve stay lot luxury hotel . restaurant offer amazing $ 29 three - course meal special , everyone seem chagrin waiter probably expect $ 100 tab take job . air conditioning barely cool room -- think many unit empty a / c room simply could not cool 100 * heat . bed frame break . furniture stain . valet parking quick check - in well worth $ 15 & quot ; resort fee . & quot ; 
 Jul 28 2009 	 A - M - a - z - I - N - g ! 	 fly Vegas see Jason Mraz @ Palms . travel Vegas often favorite hotel . time last minute one night , decide gamble ( pun intend ) use Priceline . bid SUPER low price ( way $ 100 ) 4 star near strip . surprised reveal Trump Tower . never stayed not know anyone . fly take shuttle airport . arrive hotel WOWED ! lobby anything typical hotel lobby . luxurious , high - end , fifth avenue like , glamorous . delicate fragrance air throughout hotel . front desk staff helpful . elevator rocket fast quiet . room word , AMAZING ! condo - like subzero fridge , cooktop , king bed , 2 - 3 person jacuzzi tub , huge glass wall shower beautiful floor ceiling window enjoy view strip . not casino every casino close , barely even notice 's miss . we would definately stay , without huge Priceline discount . instantly become one favorite ! 
 Jul 28 2009 	 minor issue - all make perfect ! ! ! ! ! 	 wife check find night tv 's not work . give upgrade evrything room , service , little extra incredible . thank Gerald ! 
 Jul 27 2009 	 nice hotel 	 read review resort quite nervous . but . , arrive , actually start think stay completely different hotel . must say think people invent thing complain -- simply capable good time anywhere . here complaint site : staff snotty -- absolutely ! find staff incredibly friendly courteous . come across one snotty unfriendly staff . everybody , front desk gym pool friendlyloud noise -- never hear either . hotel quiet . never hear peep room . never hear train loud music . never hear loud guest . never hear anything . dirty room . -- room clean . say cut something carpet . foot bleeding call front desk . immediately send doctor room . need medical attention go beyond take care situation shouldn'th happen . negatve experience tripHotel strip . ok , read everything hotel dark road , take 15 minute walk strip , sidewalk , take cab strip . true ! sidewalk run hotel strip . fairly light 5 minute walk ! time . take time , easy walk . long way mall , right across street . want stay strip , not stay Trump . not mind 5 minute walk , bad place stay . hotel . casino . , TI 10 minute walk end gambling . hotel clean pool nice . huge . medium sized , loud music but fun environment . friendly server serve drink . enjoy pool much . room great . bed beyond comfortable ! bathroom huge nice . great kitchen . recommend run mall -- store call ABC , pick grocery . all nice hotel . not think 5 star hotel . get good deal , worth . want quiet , less roudy place stay , Trump . not drunk 20 something fall lobby ! 
 Jul 25 2009 	 ' m sure lovely finish building sidewalk - dangerous 	 Service can not rate simply not . room kitchen COOKING EQUIPMENT make concept pretty pointless . could not even geg teaspoon stir complimentary coffee ( not provide tea ) tv not work . crap ! lobby impressive , look like decorate sand man design motorway service station . give wide berth ! 
 Jul 24 2009 	 LOVED Trump 	 trip celebrate 40th birthday - enjoy ! 9 us 3 room , aged 1 71 , pleased hotel choice . pro - nice , clean roomflat screen TV mirrorthe kitchen - someone wash dirty dish daythe uncrowded pool ( walk TI 's pool wow full ) strip view - spend much time look windowtub toy kid ( ask twice ) get hotel , little walkingCon - long walk anythingno convenient buy milk grocery ( close find ABC store mall ) great experience . Tip - 4 people group , may trouble find cab take . bro family pay $ 30 get hotel airport . pay $ 52 book stretch limo 6 we . have figure would cheap 2 cab - much fun . even book get back airport . use company find google - http : //www.lasvegastransportation.com - driver Troy great fun trip . 2 4 year old fun . 
