location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Jul 4 2009 	 pleasant nice hotel 	 pleasant nice hotel , especially people work make pleasant . much praise staff , thank . next New York want back stay 
 Jul 3 2009 	 charming oasis step theater staff go way . 	 impeccably clean , top notch decor , great staff . Rick 's cafe help place sit give room small . serve excellent buffet breakfast good evening snack . close Times Square room front real noise / neon problem , 's trade able walk show . restaurant be affiliate ( ? Montenapo ) lovely serve excellent italian food . guest access fitness center nearby . 
 Jul 2 2009 	 great little hotel great location Times Square . 	 rate steep quality , part , high . spotlessly clean . service excellent facility good class small hotel . provide superior continental breakfast experience quality food , include good cheese egg along great coffee . rub room small hot unable get anyone fix air conditioning several day . attach restaurant feature good home style food one serve enough feed entire normal size family , forwarne . 
 Jul 2 2009 	 Excellent hotel long room front . 	 spend 3 night Casablanca . mostly first class although mix allocation room upon arrival eventually rectify . Rick 's cafe excellent complimentary breakfast plus coffee light refreshment available throughout day . one drawback room face front hotel West 43rd Street . build opposite take delivery night noise pretty bad . would stay hotel although would insist room face street . location perfect however . turn right hotel lobby Times Square 50 yard away . 
 Jun 30 2009 	 oasis calm within bustle mid - town Manhattan 	 walk 20 yard Times Square , walk perfect little gem hotel . welcome ' ve guest year ( first visit ) . front desk could not helpful information . staff cafe friendly finally room staff make feel people look . decor tasteful keeping 's moroccan heritage . little gem one would want re - visit . sometimes 's nice keep secret oneself , without people 's review would not learnt hotel - go - visit enjoy ! 
 Jun 29 2009 	 's treat stay friendly staff location perfect theatre . 	 great location . top , convenience breakfast afternoon snack make wonderful place meet family friend could assemble daily activity . room clean quiet . definitely come back . 
 Jun 28 2009 	 surprisingly tranquil hotel close Time Square 	 stay four night Casablanca Hotel . location excellent , two minute Time Square . staff friendly overbearing . room back hotel good serve early evening oasis tranquility frenetic pace morning sightseeing shop allow we recharge head explore New York 's many attraction . 
 Jun 26 2009 	 gem middle Manhattan ! 	 can not find anything important criticise hotel . mini - suite good oder -the sofa bed slightly stain room set 3 people , 4 ( tiny fact sort less 60 second phone call arrival towel etc ! ) . staff could not helpful , especially vanessa reception Keith desk night - nothing much trouble , find bus train route place recommend book restaurant . lounge , 24 hour - a - day coffee , tea , bun , biscuit fruit god send breakfast cheese wine excellent . great start evening couple glass Proseco town ( directly doorstep ) await ( really recommend Spice Market restaurant Meat Packing District ) . location hotel tourist second none - leave 3 teenager ! everywhere easy safe ( busy ) get . attraction visit easily access . stay every time visit ny . 
 Jun 26 2009 	 Calm eye neon storm 	 travel partner 3 friend Casablanca recommend friend also travel agent . caution room two people would small parlour style room three separate lounge area . simply put , great location , 30 odd metre walk Times Square noise light hit end walk . staff friendly , efficient helpful , include breakfast wine cheese evening lovely room well renovate welcoming . the thing find off - put slightly noisy airconditioner room . fitness centre onsite could get free pass one street . if like old - school class modern touch , style 's sterile welcoming place come ' home ' mix mayhem , Casablanca fit bill . 
 Jun 24 2009 	 Outstanding - surpass expectation ! 	 know hotel time actually stay , hear positive thing . upon make spur - of - the - moment decision stay Manhattan late Saturday evening ( enjoy wonderful day not want leave ) remember hotel , call , start absolutely first - rate experience . rate good , service impeccable , decor room far exceed expectation . not let typically small Manhattan entryway fool - enter hotel pass front desk guest treat spacious wonderfull - decorate environment . honestly awareness right middle maelstrom Times Square - 's almost strangely insulated . staff unquestionably excellent . check fast , smooth extremely courteous . personally show room , wonderful huge surprise since expect normal ' shoebox ' room one normally find Manhattan . the next huge surprise breakfast ! include room rate wonderful spread serve welcome helpful staff . , could ask well stay hotel Manhattan anywhere else . hotel # 1 TripAdvisor list . speak highly enough . 
 Jun 23 2009 	 definitely return ! 	 Casablanca hotel simply good staff around . plan stage trip ( start January ) last minute NYC , staff helpful , friendly , welcoming . hotel quaint well locate . group four two mini - suite , perfect size . grandmother need wheelchair walk first day hotel gladly provide one we . Rick 's Cafe -- great breakfast evening wine cheese retreat , ambiance full class . also enjoy adjacent & quot ; Tony 's & quot ; restaurant dinner drink . fabulous location , fabulous staff , fabulous vacation -- could not hope well ! 
 Jun 23 2009 	 fantastic accomodation location people - impressive . 	 14 year old daughter come last year dance studio sound wonderful , want come . sister meet we part trip . warn high price small room Times Square location . think room comfortable , can not say enough wonderful Rick 's Cafe ! huge benefit , cost wise , breakfast snack . also interesting talk guest thing do place . staff also helpful . love place sorry leave ! 
 Jun 23 2009 	 perfect base New York trip ! 	 book hotel 4 - day trip New York mother , husband & amp ; I. base reservation purely great review Trip Advisor . disappoint . our room perfectly clean keep way throughout stay , towel replace twice day need , hotel also turndown service evening . side husband find bed bit small side 2 we ( queen bed room ) , cope fine ! Rick 's Cafe star show - 's nice relaxed 24 hour day . breakfast good ( although thought could high table , rather coffee table , be difficult eat breakfast coffee table table available ) . find come back hotel quick cup tea ( good New York ! ) rest madness Times Square ! also enjoy wine & amp ; cheese evening , staff helpful attentive . we meet Mr Taboada , general manager hotel find one morning plan shop day , point we right direction good place go . also arrange car take we back airport end trip , turn stretch limo - free upgrade ! ! 's true everyone say - Casablanca Hotel oasis middle Manhattan - truly believe step away Times sqaure moment walk lobby - quiet relaxed ! expensive , find location , lounge lull give we frenetic city definitely worth extra dollar . 
 Jun 22 2009 	 Gem hotel 	 spend two night hotel would definitely recommend anyone like luxury . bedroom quite compact everything could possibly need . staff extremely helpful go way accommodate guest . room clean comfortable . excellent choice breakfast item ( special K fresh fruit ) evening cheese wine great way start night . around corner Times Square although manage convey atmosphere serenity inside buidle . decoration wonderful worth pay bit extra get excellent service . 
 Jun 21 2009 	 's little thing ... 	 choose hotel base Trip Advisor review echo praise . service absolutely superb ( thanks especially Peter Vanessa reception , help book ticket , always volunteer information : good route subway take . ) staff Rick 's lounge , , friendly , although sometimes even & quot ; efficient & quot ; -- minute step away seat plate drink go ) . lounge make huge difference : be will get chit chat people glass wine champagne also beverage available time ( include favorte coffee ! ) overall , can not speak highly enough effort . room fairly small , tastefully decorate , essential little extra make trip special : chocolate , complementary water , bathrobe etc . usually not use hotel bathroom product love one . complaint room pretty loud A / C , since not really get warm , not really problem . ' ve give 4/5 value money , NYC twice expensive major city Europe , example , hotel expensive standar , although & quot ; moderate & quot ; NYC . would go back nano - second ! 
 Jun 20 2009 	 fantastic hotel fantastic location can not wait go 	 come back four night stay . hotel location could not well , right Times Square quiet inside . room lovely , quite small comfortable . breakfast lovely staff could not enough . find hotel location , ideal pop back hotel refresh coffee , always available Lounge area pastry biscuit . also , cheese wine evening great , friendly atmosphere nice way start evening out . we could not fault hotel would definately go . 
 Jun 18 2009 	 wonderful multi generation 	 take 13 year grand daughter New York first visit . city big , busy , exciting loud , love . however , peace , quite , friendliness hospitality Casablanca welcome end day . three we look forward wine lemonade , cheese fruit offer Ric 's Cafe 5:00 . staff one good ' ve ever experience travel lot . 
 Jun 17 2009 	 Exceeded Expectations 	 stay partner end May . first trip New York . hotel fantastic location , literally step Times Square . ask room back get room face inward towards room . way problem could not hear noise reason not need room view not plan spend long room ( much sightseeing ) . hotel staff fantastic , professional courteous . Breakfast include cold continental buffet , ample . night provide cheese wine , fabulous idea , great way prepare evening 's activity also meet guest swap story recommendation . shall go back New York one day would not consider stay another hotel . 
 Jun 11 2009 	 Casablanca well keep secret ! 	 brother decide go see Big Apple first time . read review Casablanca think would great place stay , not expect fantastic experience . staff exceptional , friendly , helpful even think thing not ask . first night even give free theatre ticket . stay fantastic , quiet surprising hotel one door away Times Square ! breakfast morning awesome , huge range food every taste throughout day rick free drink snack . night cheese wine guest heap , one piece share . ( even get block chocolate every day - nothing sweet ! ) travel around Europe , SE Asia beyond experience well bad , Casablanca well keep secret ! lucky rely Trip Advisor would never pleasure ! Love Casablance , definitely back ! 
 Jun 9 2009 	 lack nothing 	 good friend stay Casablanca college reunion trip . since be different sleeping schedule , opt one suite , find large perfect need . think ' ve do combine 2 room one , since sit room size bedroom . give we ample drawer / desk / sit closet space . bedroom suite come either king bed , case , 2 double bed , comfortable , 4 pillow choice firmness . room # 309 seem bit big big closet # 609 , stay return trip . request empty small fridge put leftover cooking class take morning evening provide nocharge . separate minibar . robe slipper provide , nice bathroom amenity . 's chocolate bar pillow night . addition breakfast wine cheese 5 - 8 pm , also coffee , tea , water , fruit cookie available second floor 24 hour . one computer printer print boarding pass whatever . staff sooooo nice , especially young woman breakfast room . even though Times Square 50 yard front door , hotel quiet . Grand Central Penn Station within walking distance unless lot luggage . one word warn : upper floor stair narrow ! take tumble try balance full coffee . take elevator hand full . not fitness center site , offer one ( lap pool ) want walk block . 
 Jun 6 2009 	 always good come back 	 second stay Casablanca Hotel enjoy much last stay . place really feel comfortable home away home . staff friendly courteous , room spotlessly clean amenity wish ; sit Ricks Cafe wine cheese evening relax . much enjoy atmosphere generousness . repeat glorious detail tell many time , think ok point minor flaw : one thing , room stay really small , beautiful small , enough space put clothe , least you´re staying week like . guess room small extra shelf cupboard chest drawer ... air condition noisy , could keep night , rather unpleasant . ( european woman ) also never understand shower work - turn handle leave , right , - whatever water always come unexpectedly . last least find bit disturb Rick´s cafe tv time , time classical music play . consider hustle bustle NYC would grateful bit quietness . Non make stay less pleasant , without would perfect . 
 Jun 5 2009 	 WOW ! ! wonderful hotel many great feature ! 	 perfect boutique hotel ! husband love stay heart city yet small hotel know staff end trip .... exactly . literally step outside right ball drop New Year 's ! right middle Manhattan fairly close major attraction and/or subway line get . although spend little time Times Square , awesome get walk outside get feel head different part Manhattan . room small ( much expect middle New York City ) really everything need super clean . friendly staff great give we hint tip definitely make trip well . small , yet classy sophisticated hotel step craziness Times Square . not even hear hustle bustle room ! think one favorite feature great little hotel wonderful ( complementary ) breakfast afternoon cheese wine ! include reasonable rate abundance tasty food beverage twice day . vacation NY eat wonderful place , tight budget , literally could eat large breakfast go back evening load popcorn , cheese , bread , cracker , veggie , wine spend dime day food . 
 Jun 5 2009 	 Absolute gem hotel 	 hotel fantastic ! right centre near Times Square within easy reach sight . staff excellent - everyone friendly welcoming go way help . breakfast include rate serve lovely setting - easy chair , paper beautiful courtyard lead . free internet access available use . serve complimentary wine cheese every evening 5 8 pm , lovely way relax sightseeing meet guest . can not wait go back ! 
 Jun 1 2009 	 great value wondeful staff 	 wife spend 4 wonderful day Casablanca - could ask well - parking next door reduce rate - excellent location , Time Square - clean , comfortable homey - ultra luxurious pretentious , right small detail make special hotel - breakfast wine / cheese excellent Rick 's cafe welcome quiet break hustle bustle Time Square - staff extremely helpful always friendly smile - return . 
 May 28 2009 	 need 	 Casablanca Hotel everything visitor NY could possibly want need , , , easy get ; central sightseeing trip , shopping , show ; proximity Times Sq yet quiet room ; good service every employee ; cleanliness priority ; good breakfast free wine cheese 5 - 8 pm serve attractive unusual surrounding ; free internet , book , paper Rick 's Cafe ... moan coffee machine provide good coffee break ! would recommend hotel anyone afford upgrade standard room quite small although adequate good bathroom . hoho bus good bus tour guide knowledgeable interesting . subway easy enough use . see Marvellous Wonderettes ( orsomethe similar ) 4 girl prom 1958 reunion 1968 ... familiar song 50 60 absolutely brilliant .. Broadway prod veryy worthwhile especially celebrate 60th birthday ! ! eat Diner next door , worth visit . 
 May 28 2009 	 jewel place ! 	 hotel meet expectation . great location heart Time Suqare . delight ( suprise ) upgrade large room . customer service outstanding , room clean . breakfast complete wine cheese evening great ! quite comfortable . definetly return may also try one fo theri 3 property although really like Casablanca . 
 May 27 2009 	 lovely hotel . friendly staff . highly recommendable . 	 love hotel . when first plan trip NYC hopingn find budget hotel . first choice Pod Hotel , $ 169 night tiny room , tiny bed , breakfast include , share bathroom . luckily someone TripAdvisor recommend Quikbook.com get great deal Casablanca $ 259 night . sure , cheap , get bathroom ( big clean ! ) , spacious room queen size bed , free breakfast everyday ( good way ) , good location NY . think worth every dollar spend . Rick 's Cafe awesome . say , breakfast really good , include fresh fruit , cereal , bagel , muffin , cookie , yogurt , orange juice , tea , coffee like . also , cheese wine reception every night 5 8 , one hotel favorite ! bar open 24 hs , seriously , get muffin 3 one night . good part do not pay extra anything eat here . the staff friendly . always happy help anything need , time day . never grumpy ! room 406 , pretty quiet . not get view get good night sleep ! ! ! will not even bother upload picture place , look exactly picture web page . trick there . conclusion : strongly recommend stay Casablanca , can not afford regular price ( like ! ) recommend check Quikbook.com . 
 May 27 2009 	 wonderful ! ! 	 special little hotel centre Times Square . hotel live expectation make holiday something definetely remember . service good , staff helpful . Champagne waiting room us arrival ( celebrate Silver wedding ) . room spotless room face back hotel could hear air - con unit outside . keep we sleep tired visit sight ! room service good , lot little touch . Ricks Cafe special . 24/7 coffee etc cheese wine every night wonderful . relax hotel , difficult imagine step Times Square sit Ricks Cafe . would definetely recommend . 
 May 26 2009 	 New York finger tip ... 	 3rd time New York . husband research online hotel NY & amp ; decide go Casablanca .... get good review . moment walk door staff friendly & amp ; nice . stay 6 night Monday 18th 24th May 2009 . really like hotel ..... convenient Times Square , Broadway show & amp ; 5th Ave . shopping . cool location . room stay comfortable & amp ; clean nice bathroom modern . 2nd floor lounging & amp ; patio area ... breakfast service every morning . evening time serve Cheese & amp ; Wine one night ...... sadly , miss night & amp ; . free tea , coffee & amp ; internet prove useful planning day 's . husband & amp ; would definitely stay . loved hotel . one suggestion go King size bed rather queen size . 
 May 26 2009 	 Fabulous Hotel - we can not wait return Casablanca ! 	 first visit NYC - and disappoint ! spend 5 night hotel moment arrive sad day departure incredible time ! room 6th floor away street . king size bed spacious bathroom greatly appreciate . delicious continental breakfast , complimentary water ( real treat starting day walk ) , juice , sweet fun wine cheese set evening entertainment staff hotel never disappoint we . stay Boutique Hotel staff know attentive need way travel . thank ! 
 May 24 2009 	 Excellent value 	 visit New York frequently spend time many hotel city . say Casablanca far convenient , good value . clean , pretty hotel , 's wonderful location , heart theatre district . pleasant dining room serve wonderful , complimentary breakfast free , high speed internet connection room , also without extra cost .. true , room small , will not get great New York skyline view window . woman travel alone , couple child cozy , safe environment fill motivated staff member really care nice stay . could not nice , especially Hassan . would definitely go back . 
 May 24 2009 	 Loved NY Casablanca 	 1st time NY could better . the Casablanca Hotel choose base Tripadvisor review could happy . location absolutely amazing ! Times Square doorstep . broadway ... room great whole atmosphere excellent . hope chance go back ny . hotel - couse - Casablanca . 
 May 23 2009 	 little disappointed . 	 stay April 6 night . start positive . hotel great location want go theater times New York City . include breakfast good include fresh fruit salad , cereal , yogurt , muffin , bread hard boil egg . bed comfortable noise street excessive use silicone earplug . hear hotel guest room . room small . room particular carpet shabby stain . need replace . blind cover window completely privacy although window face inward away street , people go fire escape outside room occasionally . television leave wall wall face bed could view comfortably . shower bathroom bathtub . overall , since plan see 5 play evening stay hotel convenient , intent think could get well hotel almotst $ 300 per night block away Times Square . I receive request email hotel management give feedback stay reply comment , however , acknowledgement receive feedback . 
 may 22 2009 	 will not stay anywhere else NY Casablanca Hotel . 	 friend stay double room May 19 May 21 celebrate birthday . moment arrive moment ( sadly ) leave , everyone could not nicer . staff tremendously friendly helpful . room great . comfortable bed , nice bathroom amenity ( great water pressure shower , ) . clean . good part Rick 's Cafe . lot choice breakfast , good coffee , great wine cheese every night , pc internet available 24/7 free . can not say enough pleasant relax stay . location unbeatable . walk everywhere . show come see two block away . restaurant next door ( Tony DiNapoli 's ) good price . plenty convenient shop eatery around corner need . amazed quiet room night . street noise whatsoever . cozy . like oasis bustle part city . I can not say enough much thoroughly enjoy hotel find worth every penny . definitely stay - will stay whenever come ny , hope twice year . 
 May 22 2009 	 Fabulous Oasis Heart Big Apple 	 Casablanca yard Time Square - would never know ! step inside greet attentive staff imagine . second floor lounge patio area fabulous - complete piano player cocktail evening ! feel like enter another world leave hassle bustle New York street step comfort tranquility Casablanca . will not stay anywhere else ! 
 May 21 2009 	 Great Location Tiny Room 	 location hotel perfect anyone see show Broadway . short walk theater , amazing . , location , though step Broadway hubbub Times Square relatively quiet . parking garage right next door diner side sort thing . subway stop nearby , several block ' walk Grand Central Station get anywhere city subway want move car . bad walk major site . actually take subway Metropolitan Museum Art decide walk back Central Park past Rockefeller Center . long walk , definitely doable . the one thing room small . understand normal NYC hotel , someone stay NYC hotel , want mention people say small , mean small ! difficulty set luggage really nowhere put . also hard keep toiletry bathroom much way shelf counter space . room chair sit bed . guess expect small room bit big . trust , small ! decor really nice free wine cheese really make hotel . nice able sit relax Rick 's Cafe nice quiet break . also small outdoor area main room nice sit . never see anyone use we 2 day , like private dining area due breakfast . overall , place great place stay . 
 May 17 2009 	 lifetime experience ! ! 	 first trip NYC . select Casablanca recommendation friend . glad ! ! location close theater , restaurant , meet tour bus . room small , adequate nicely furnish . good part Casablanca Rick 's -- breakfast every morning enjoy snack throughout day . would highly recommend Casablanca . 
 May 9 2009 	 home home Big Apple 	 wonderful hotel . fiance stay six night April 30th birthday could not pick well place stay first visit New York . fact , stay Casablanca feel like privileged member ' in - the - know ' club feel sorry people go New York spend money bland chain hotel . we find Casablanca DK ' New York Top Ten ' guidebook see highly recommend TripAdvisor know book . hesitant stay near Times Square noise crowd , reviewer point , barely hear thing outside . fact Casablanca relatively small hotel also make calm atmosphere , especially Rick 's Cafe , great place unwind - fantastic day pound street NYC ! wonderful breakfast , cheese wine , complimentary snack throughout day add great value Casablanca , highlight wonderful staff . everyone seem pleased we stay always smile , ready chat pleased offer suggestion . one morning mention John reception go shop promptly hand 20 % discount card Bloomingdales , plus give we great tip shop downtown . ( stay , make sure ask lot tip go always good one ! ) read review book mention bedroom small . not find case book queen room , small . plenty room move - lot closet space lovely bathroom nice toiletry gorgeous soft towel change twice daily . temperature room also find fine bed comfortable . the thing would mention hotel not bar - not bother we ( complimentary wine 5 - 8pm plenty bar around Times Square ) guess people might disadvantage . find make place feel like home honest depend kind experience want hotel . want excellent service , excellent quality acccommodation feel home soon arrive pick Casablanca - great time . 
 may 5 2009 	 would definately recommend Casablanca 	 really enjoy stay Casablanca . room spacious clean staff friendly helpful . lovely come back cheese wine evening , serve cosy drawing room . bustle Times Square seem far away inside welcome hotel . would definitely recommend . 
 May 1 2009 	 hotel like oasis desert . 	 pleasant staff phenomenal amenity make stay comfortable relaxing . stay . 
 May 1 2009 	 Casablanca help make visit NYC perfect . 	 hotel 's great location ideal walk safely show attend get quickly bus . room clean comfortable , bathroom modernize spotless . staff could not friendly helpful . breakfast great convenience , provide lot choice , offer comfortable , nicely decorate room - nice way start day . pleasant step hustle bustle NYC comfortable ambience Casablanca . 
 Apr 29 2009 	 fantastic 	 Casablanca perfect place stay long trip . be peaceful , yet middle everything . the free tea , coffee internet prove useful planning day 's sightseeing . breakfast nice , room big compare expect . the staff friendly helpful . there be also big supermarket across road- perfect stocking yummy peanut butter theme american sweet can not get UK . 
 Apr 27 2009 	 perfect place NYC holiday 	 wife spedt 3 night charming hotel April 2009 . read late comment hotel arrive , strongly advise anyone go hotel . perfect location neartimes Square , noisy , hotel charming , staff friendly helpful , breakfast simple , enough , someone want , one hotel usd 25 - 30per person ... 's include price . room spacious enough space , would spend 2 week , day , enough . clean friendly . summary : well available hotel category , reasonable price ! will back ! 
 Apr 26 2009 	 good hotel New York ! ! ! ! ! ! 	 OMG , place AWESOME . thank John Taboada General Manager wonderful staff . everyone hotel make feel special . friend birthday , sing happy birthday also present birthday cake . will not find lot hotel . I would stay , New York minute . wine cheese excellent . suite nice clean . definitly one New Yorks hidden gem . 
 Apr 26 2009 	 good place stay New York 	 excellent find . location terrific , Times Square , convenient major sight , shop , show . staff friendly helpful , nothing much trouble . room spacious well appoint necessary amenity . small hotel , term number room , give cozy family feel . despite next TImes Square noisy . buffet breakfast ( include price ) perfect we , though hot food . restaurant hotel necessary plenty place eat next door ( either side ) get room service Tony 's italian restaurant . smoke deck lovely oasis . free internet access printer , always stock paper , lounge nice touch . plenty free umbrella rain . be cheap great value money . would highly recommend Casablanca pleasure business . 
 Apr 25 2009 	 oasis calm civilization step Times Square 	 enjoy wonderful visit New York City theater - going , make relaxed comfortable Hotel Casablanca . little gem hotel , far pleasant personal huge nearby Marriott Marquis , Doubletree , Milford Plaza , etc . ' ve stay , location hotel good access Broadway / Times Square , Hotel Casablanca like stay lovely B & amp ; B England . check - in service cozy personal , like frantic airport atmosphere big chain . room , small side ( hotel room NYC small -- unless afford presidential suite ! ) , nicely decorate comfortable , well quiet , real bonus near never - sleep Times Square . bathroom , lovely moroccan - blue tile , unusually large nicely appoint . enjoy luxury touch bottled water room , bathrobe , dvd player , etc . staff , hover , always available whatever need quiet pleasant efficiency , whether call cab recommend nice play . Breakfast Rick 's Cafe real bonus -- simple continental -- extra like hard - boil egg yogurt well good bagel , pastry , fresh fruit , cereal , juice . short , would give strongly positive recommendation hotel anyone take trip NYC , especially calm relaxed atmosphere seek . well do , Hotel Casablanca ! 
 Apr 24 2009 	 oasis amidst mayhem 	 Casablanca Hotel little oasis tranquility amidst mayhem madness Time Square . hotel step Time Square would know inside . staff helpful customer service excellent , willing help everything restaurant reservation bus ticket . location excellent pick tour bus Time Square , train New York withe walk distance Central Park Rockefeller Centre . room quite colonial comfortable clean . free cheese wine evening welcome lovely touch . overall really enjoyable stay would definitely recommend hotel anyone travel New York . restaurant Row 46th Street 8th 9th Ave lot place eat choice several different cuisine . pay extortionate price ride around park pick ride park quarter price . pay taxi airport get bus $ 30 Bryant Park 42nd Street Port authority . pay $ 90 taxi Newark Airport apparently cheap JFK La Guardia . go top Rock instead Empire State get excellent view Empire State . 
 Apr 24 2009 	 great . 	 choose hotel spring break getaway 17 year old daughter base review tripadvisor . room small know go . Casablanca everything - free internet , great breakfast , great location , clean room , wonderful staff - especially vanessa front desk wonderful young lady work Rick 's cafe . recommend hotel friend visit New York . 
 Apr 23 2009 	 perfect New York experience 	 choose Casablanca anniversary trip New York favourite film ! however , delighted find hotel also live many excellent review indeed exceed expectation . apart great location Times Square ( though provide oasis calm ) find room bathroom comfortable spotless , staff efficient , helpful charming , Rick 's Cafe real bonus breakfast buffet , drink cookie , evening wine cheese . the Casablanca make first trip New York really special can not wait return . 
 Apr 22 2009 	 Perfect place stay New York City 	 return leisure trip New York City two girlfriend want share experience stay Casablanca Hotel . wonderful . location good , right TImes Square , one block main subway station , wonderful restaurant , etc . staff superb . always friendly helpful , go extra mile make stay memorable . entire hotel tastefully decorate keep clean . one pleasant extras lounge area provide breakfast every morning , cheese wine evening area pleasant place go , sit relax . love go back New York , first place check accomodation . 
 Apr 22 2009 	 AMAZING Staff one many Reasons Adore Hotel 	 good hotel ever stay , hand . say lightly either . my husband , 18 - month - old arrive late one night look like something cat drag . soak 10 - block walk chilly rain extremely long day travel way AZ ... toddler , less ! staff member work front desk check we rapidly . what really test staff ( allow shine ) fact daughter vomit room night eat something not realize egg . ( allergic . ) feel horrible happened , respond * immediately . * new towel blanket bring stinky towel sheet go . ( remember , around 11 p.m. time . ) next morning , ask someone could steam - clean carpet . figure would take , tell someone would immediately . sure enough ... throughout 4 - night stay , staff greet we warm smile want check daughter 's well - being . ' ve never stay hotel ( ' ve stay many ) could care less . time request anything , respond immediately . even without amazing staff , hotel stand beautiful , cozy , conveniently locate countless NYC attraction . we love partake daily continental breakfast cozy , spacious 2nd - floor lobby . good continental breakfast ' ve see hotel lot yummy pastry , cereal , fresh fruit , juice , coffee , hot chocolate , bagel ... even hard - boil egg ! unlike * * hotel ' ve stay , virtually wait ever use high - speed internet computer printer . super convenient need look up / print direction somewhere . this hotel clearly & quot ; family & quot ; hotel per se , nonetheless , feel really welcome toddler . nobody make we feel like impose hotel 's vibe bring small child . instead , seem view special treat hotel 's community feel . do remember say hotel pristine ? would recommend hotel anyone heartbeat . 
 Apr 21 2009 	 warm welcome await 	 first impression arrival long flight favourable , friendly reception staff news give free upgrade king sized room ! bed comfortable , room well decorate extensive facelift end 2007 spotlessly clean good sized bathroom bath . a simple buffet style continental breakfast provide plenty variety . evening complimentary wine cheese counter include tea coffee lay 1700 2000 newspaper provide . the overall decor individual North Africa feel furnishing high standard . the Casablanca 43rd West street Times Square convenient sight mid Manhattan . subway close . piece advice would ask room side back hotel could hear occasional wail police car siren night . room near corner Times square 5th floor . 
 Apr 20 2009 	 right place 	 look small hotel trip New York granddaughter celebrate tenth birthday . casablanca right place . fact small lot atmosphere balloon room ; plus milk cookie beckon call , could ask . staff delightful Rick 's Place breakfast ( favorite ) wine cheese ( favorite ) make perfect . enjoyed stay return future , sure . 
 Apr 19 2009 	 pleasure delight ..... perfect location 	 one good hotel stay , term staff professionalism , overall service add little extra make time NYC one remember . 's locaton Time Square make ideal base explore NYC inside 's door would never think close busy place ... quiet relaxing . a definate anyone look get good visit NYC ! ! 
 Apr 18 2009 	 quiet clean friendly helpful great business trip 	 room stay ( 306 ) clean , small , spacious enough , quiet . sleep one day ( late night ) place remain quiet 9:30 , go . closet large - nearly walk - in . use iron board - fine . shower good - good pressure , decent soap , hot water . firm , good mattress , good pillow - firm feather provide ( two , extra closet . wireless internet free ( - never pay internet access ) , little slow . service great - front desk helpful friendly , maid good . the location probably great tourist - really right Times Square . business , interested Times Square . however , location work many subway line converge Times Square - make get around city easy . I try include breakfast , comment that . rate quite reasonable compare similar boutique hotel stay business trip . 
 Apr 15 2009 	 Location Amenities Service ! 	 plan Getaway trip NYC Broadway show explore city . location important , also want place could take break , relax recharge day . Casablanca fit bill & quot ; & quot ; . Time Square , could access subway system , walk show , still back hotel enjoy Rick 's Cafe ( 2nd floor lounge comfortable seating , 24/7 coffee , tea cookie well breakfast afternoon wine cheese ) excursion . staff could not helpful go way make stay enjoyable . NYC hotel future stay hope take family next year . 
 Apr 14 2009 	 New Years disrespect ... 	 stay New york City excellent however stay casablance disrespectful . insult General Manager night New Years , rudely tell get way . waste sense go . felt disrespect raise voice threat . seem high drunk therefore keep mouth shut avoid get beat . recent trip well morning front desk agent respond dirty attitude commit offensive act aganst . one night stay do not mind . overall hotel location excellent , however management lack professionalism discipline . stay Library well experience worth money mind stay bit Time Square 
 Apr 13 2009 	 great location . excellent service . 	 beautiful hotel excellent service amenity . hotel whenever travel take we New York . everyone work Casablanca helpful , friendly efficient . 
